-0.00071201+0.0010985i,-0.0011341-1.0312e-05i,-0.0017729-0.0013801i,-0.001521-0.0011516i,-0.0012908+4.8574e-05i,-0.0015491+0.0013682i,-0.0010402+0.0018973i,-0.00014022+0.0022662i,0.00099223+0.0012183i,0.00077862+2.1568e-05i,-6.6738e-05-0.00020993i,5.2193e-05-0.0012949i,0.0001378-0.0017405i,-0.00051855-0.0012062i,-0.00044476-0.00042827i,-0.00016843-7.5583e-05i,-0.00069933+0.00018046i,-0.00038807+0.00059131i,-0.00020279+0.00019452i,-0.00010542-0.00036948i,0.00020772-4.6142e-05i,0.00014275-0.00022741i,-0.00033091+0.00029484i
0.00067258-0.00028735i,0.0018128-0.00010957i,0.00088685-0.00045446i,-4.0835e-05+6.9967e-05i,-0.00044998+0.00077642i,-4.8067e-05+0.001208i,0.0003426+0.00096561i,6.9673e-05+0.00051913i,-0.00023127+6.3332e-05i,-0.00052554-1.1487e-05i,-0.00035685+0.00064203i,6.8387e-05+5.5892e-05i,-0.00042667-0.00018478i,-0.00064783-0.00020168i,-0.00012792-0.0007026i,0.00047778-5.5308e-05i,0.00058668+0.00063389i,-0.00036586+0.00079691i,-0.00099016+0.00078713i,-0.00057839+0.00076647i,-0.0001038-0.00014213i,0.00055222-0.00031638i,0.0007499-0.00013881i
-0.0012669-0.0022429i,-0.0010288-0.0022275i,-0.0020657-0.0013746i,-0.0029485+4.717e-06i,-0.0023005+0.0010936i,-0.0010427+0.0014607i,-0.00066421+0.00010316i,-0.00096379-0.00068614i,-0.00047895-0.00068672i,-5.4601e-05-0.00031643i,-0.00035123-0.00052052i,-4.7358e-05-0.00071233i,0.00064022+0.00034536i,7.3064e-05+0.00054406i,-0.00028268-0.00029068i,7.2718e-05-0.00091414i,0.00039816-0.00067706i,0.00094801-0.00038321i,0.0008025-0.00055285i,0.00053387-0.00085555i,0.00040348-0.0007907i,-0.00045055-0.00071957i,-0.00014387-0.00038574i
-0.00043674-0.00057614i,-0.0012654-0.0015345i,-0.0018309-0.0011591i,-0.0021089-0.00045312i,-0.0014837+0.0006278i,-0.00064254+0.0014758i,0.00060836+0.00078555i,0.00024183+3.882e-06i,-0.00097962-2.6336e-06i,-0.00088547+7.8582e-05i,-0.00025376-0.00014524i,0.00023846-0.00058397i,0.00055948-0.00079478i,0.00043321-0.0004257i,0.00035109-0.00050937i,-0.00026831-0.0010578i,-0.00043489-0.00059082i,-0.00073795+0.000565i,-0.0013837+1.9386e-05i,-0.00086657-0.00049994i,-0.00057673-0.0003056i,-0.00077705-0.00038156i,-0.00043191-0.00032002i
-0.0015346-0.00020239i,-0.0019819-0.0014195i,-0.0009504-0.0021766i,-0.00090562-0.0010296i,-0.00095042+0.00011833i,-0.00011516+0.00041401i,-9.9721e-05-0.00011376i,-0.00091427-0.00021074i,-0.0013089-0.00032507i,-0.0017262+0.00011193i,-0.0010757+0.00016212i,-0.00049956-9.3958e-05i,-0.00077227-0.0002541i,-0.00071567-0.00026946i,-0.00034329-0.0002036i,0.00010613-0.00047983i,0.0003942-0.00049108i,0.00013841-5.6823e-06i,-0.00032826+0.00060609i,-0.0011151+0.00014872i,-0.001518-9.263e-05i,-0.0003094+7.7835e-05i,7.5038e-05-9.2064e-05i
0.00026008-0.0031991i,-0.00098421-0.0037086i,-0.0023862-0.003312i,-0.0029425-0.0016538i,-0.0035661+0.00069451i,-0.0025734+0.0021011i,-0.00048636+0.0021158i,-6.9339e-06+0.0014118i,-0.0010779+0.0002071i,-0.001315+0.00043934i,-0.00087289+0.00051127i,-0.00087866-0.00012386i,-0.00073385+0.00034821i,-0.00066806+0.00068586i,-0.00042105+6.7342e-05i,-4.4851e-05-0.00015429i,0.0003626+0.00019509i,0.00054006+0.00019783i,-0.00052308+0.00030642i,-0.00040024-3.9723e-05i,0.00071347-0.00065013i,0.00088399-0.000752i,0.00077184-0.00054611i
0.0034852+1.9701e-05i,0.0029509+5.6608e-05i,0.0021361-0.00056148i,0.00080775-0.00089143i,-8.7695e-05-0.00073235i,-0.00064293-0.00030287i,-0.00070974-6.7272e-05i,-0.00026624-0.00063455i,-0.00011411-0.00079182i,-0.00073475-0.00098018i,-0.00081293-0.00035291i,-0.00058032-8.412e-05i,-8.0933e-05-0.0012888i,0.00075883-0.0012574i,0.001038-0.00070064i,0.00085389-0.00094713i,0.0007659-0.00048523i,0.00099679-0.00041899i,0.00092564-0.0010938i,0.00062914-0.00051725i,0.00021611+0.00022701i,-7.77e-05+7.0778e-05i,0.00020812-0.00010089i
-0.0023944-0.0020126i,-0.0026164-0.00087146i,-0.0016839-0.00024262i,-0.0018802-1.4806e-05i,-0.0014102+0.0011708i,-0.0001542+0.0016859i,0.00021919+0.0010163i,-0.00035597+0.00029879i,-0.0011002+0.00016663i,-0.000908+0.00062854i,-0.00019148+0.00078977i,-0.00010698+0.00085072i,-0.00044555+0.00027605i,-8.0835e-05-0.00067103i,-0.00041725-0.00090836i,-0.00074152-0.00076811i,-0.0010261-0.00075619i,-0.00056683-0.0013873i,6.655e-05-0.0012522i,-1.4625e-05-0.00056522i,0.00027254+5.6509e-05i,0.00012973-0.00019347i,-0.00034934-0.00064793i
-0.00013041+0.0015096i,0.00015665+0.0013197i,-4.3319e-05+0.0007137i,-5.9073e-05-3.9057e-05i,-0.00057012-0.00089855i,-0.00044527-0.00088053i,-0.00080036+3.8513e-05i,-0.00091515-9.1739e-05i,-0.00056198-0.0003586i,-0.00079123-0.00035891i,9.5184e-05-0.00068704i,0.00095733-0.00082448i,3.4029e-05-0.0010433i,-1.5744e-05-0.00045488i,0.00042813-0.00026882i,-0.00056802-0.0013136i,-0.00074445-0.0013596i,-0.00085468-0.00074784i,-0.0011371-0.00072095i,-0.00030088+0.00012587i,-0.00073222+0.00052354i,-0.0005552+0.00025692i,0.00031052+0.00062565i
-0.0024513-0.00037768i,-0.0025189-0.00029043i,-0.0027567-0.00027691i,-0.002509+0.00069134i,-0.0010974+0.0021049i,0.00025294+0.0018221i,-0.00027279+0.00050673i,-0.00094442-0.00030413i,-0.0012778-0.00057878i,-0.0015661-0.0006351i,-0.0010194-7.7526e-06i,-0.00099432+0.00050868i,-0.001215+0.00027144i,-0.00053417+8.3386e-05i,6.8521e-05+0.00013492i,-4.0637e-05+0.0009028i,-0.00027513+0.0013758i,-0.00019844+0.0014443i,-0.0002497+0.0015982i,-0.00030305+0.00095652i,1.6075e-05+8.5702e-05i,0.00087429-0.00017219i,0.00061071-8.5361e-05i
0.00010621+0.0012897i,0.00030721-0.00015653i,-0.0002765-0.00011142i,-0.00087496+0.00011522i,-0.00055984+0.00052183i,-0.00014991+0.001274i,0.00038291+0.0010009i,0.00042877+0.00054778i,2.7761e-05+0.00050216i,0.0001593+7.7281e-05i,0.00023971+0.00045727i,-0.00038881+0.00084959i,-0.00030567-0.00012266i,-0.00021936-0.0012148i,-0.00049514-0.0013899i,-0.00071756-0.00082084i,-0.00077951+0.00012598i,-0.00054289+0.00057584i,0.00023077+0.00031765i,0.00087471+9.6294e-05i,0.00024952+0.00049929i,-0.00012504+0.00036624i,0.00020085-5.7104e-05i
-1.121e-05+0.0012887i,0.00069534+9.5108e-05i,0.0008291-0.00090664i,-0.00048453-0.0002095i,-0.0013289+0.00088387i,-0.00035058-0.00017877i,0.00021522-0.0014226i,-0.00043702-0.0009285i,-0.0010444-7.4369e-05i,-0.00054369+0.00010293i,-0.00016737-0.00034154i,-0.00053419-0.00079522i,-0.0008707-0.00095077i,-0.0010156-0.00052672i,-0.00026201-0.00031605i,0.00026036-0.00019605i,-3.7771e-06-1.1773e-05i,6.8018e-05+0.00023067i,-6.468e-05-3.0599e-05i,-0.00019664-0.00074503i,0.00010495-0.0005011i,0.00019963-0.00014308i,-0.00035051+0.00024392i
-0.0024688-0.0007322i,-0.0033964-0.0011275i,-0.0047864-0.0024322i,-0.0035208-0.001174i,-0.0012986+0.00014147i,-9.5698e-05+0.00069835i,0.00013756+0.00087237i,-0.00050858+0.00060859i,-0.0014838-7.7208e-06i,-0.0016932-0.00035871i,-0.0012633+0.00035043i,-0.0012031+6.4887e-05i,-0.0011649-0.00050284i,-0.00063007+2.0893e-05i,4.7582e-05+0.00073209i,-0.00020635+0.00053663i,-0.00020109-0.0002512i,0.00043847-0.00010113i,2.9422e-06-0.00014341i,-0.00028854-1.6956e-05i,1.2063e-05+0.00043003i,0.00021778-0.00038721i,-0.00026815-0.00035096i
0.0016034-0.0029957i,0.0009121-0.0043473i,-0.0012274-0.0052868i,-0.0028707-0.0038291i,-0.0038668-0.0011902i,-0.003398+6.3597e-05i,-0.0023028+0.00045575i,-0.0015771+0.00025296i,-0.0016478+0.00011472i,-0.0015209-0.00053482i,-0.00071461-0.00064339i,-0.00038879-0.00029619i,-0.00032189-0.00070794i,-0.0002975-0.00070726i,-0.00033327-0.00075128i,-0.00035868-0.00070551i,-0.00033198-0.00024181i,-0.0011894+0.00031022i,-0.0020118+0.0004368i,-0.0016021+0.00024022i,-0.00083757+0.00056889i,0.00028172+0.000889i,0.00064692+0.0010812i
-8.236e-05-0.001234i,0.0013971-0.0009659i,0.00085687-0.0007905i,0.00013895-0.00093897i,-5.9134e-05-0.0001907i,-0.00049772+0.00069358i,1.9418e-05+0.0001916i,0.00038866-0.00082875i,2.5157e-06-0.001338i,-0.00012628-0.00098292i,0.00042617-0.00073858i,0.0006944-0.00062644i,0.00027804-0.00068114i,-0.00038929-0.00080022i,-0.00063002-0.00030507i,-0.00014893+0.00069289i,0.00030825+0.0015676i,0.00078285+0.0016067i,0.00077672+0.0011371i,0.0004978+0.00098448i,0.00047092+0.00013591i,0.00017039-4.3287e-05i,0.00025298+0.00033602i
-0.00033156+0.00061078i,-0.001494-0.00025354i,-0.00119-4.7946e-05i,-0.00082325+0.00011147i,-0.00056684+0.00013776i,1.0755e-06-7.1812e-05i,-0.00012041-0.00027506i,-0.00042652-0.00011677i,-0.0012685-0.00016144i,-0.0015423-0.00036092i,-0.0012206-0.00022284i,-0.0012285+0.00011793i,-0.00076049-0.00024316i,0.00041328-0.00082691i,0.00036332-0.00051821i,3.6904e-05-0.00021633i,0.00051775-0.00018998i,0.00099456-0.0001994i,0.00074533-0.00056474i,-1.8429e-05+0.00033474i,-0.00026908+0.0014135i,-0.00013612+0.00097512i,5.011e-05+0.00032462i
0.0013743+0.00047876i,0.0012658+0.0016874i,0.0015522+0.0019612i,6.8867e-05+0.0011254i,-5.2234e-05+1.8875e-06i,0.00059771-0.0002848i,0.00060268+0.0005368i,-0.0002256-0.00011845i,-0.0008035-0.00098538i,-0.00079446-0.00075268i,-0.00081848-0.00040442i,-0.00036049-0.00013408i,-0.00029166-0.0008733i,2.8062e-05-0.001089i,0.00032176-0.00045118i,-7.0309e-05-0.00021401i,-0.00039461-0.00021587i,-0.00064337+4.5505e-05i,-0.00087097+0.00041536i,-0.00039682-0.0003331i,-9.931e-05-0.001174i,2.7733e-05-0.00052818i,0.00023776+0.00014363i
-0.0010265-0.0012032i,-0.0014174-0.001819i,-0.0025805-0.0016718i,-0.0035609-0.00027803i,-0.0025793+0.001076i,-0.00035383+0.0008513i,0.00034745-0.0001377i,0.00021333-0.00017139i,-0.00044754+0.00029154i,-0.0017838+0.00052098i,-0.002106+0.00071562i,-0.0015805+0.00057736i,-0.0012033+0.00015549i,-0.00069507+0.0004584i,0.0005222+0.00077878i,0.00071952+0.00013038i,-0.00065942-0.00033847i,-0.001449-0.00033916i,-0.001309-0.0001675i,-0.00079256-0.0003276i,-0.00025932-0.00072393i,0.00041026-0.0010238i,0.00063973-0.00012491i
-0.0017208-0.0013364i,-0.0027078-0.0011761i,-0.0041981-0.001124i,-0.0042085-0.0009273i,-0.0035694+0.00072415i,-0.0020166+0.0018823i,-0.00095166+0.00061533i,-0.00064832-0.00021448i,-0.00050683+0.00020904i,-0.00024475+0.0013169i,-0.00013013+0.0013145i,3.679e-05+0.0008973i,-0.00012273+0.0006292i,-0.00066014-3.5864e-05i,-0.0006804-0.00053565i,-0.00063038+0.0003706i,-0.00056917+0.00089425i,-0.0010669+0.00055346i,-0.00076465+0.00062331i,-0.00015681+0.001109i,-2.7678e-05+0.00036768i,9.4155e-06-0.00093005i,0.00045988-0.00099867i
0.00031492+0.00020463i,0.00015609-0.00086579i,0.00034208-0.0011439i,0.0001745-0.001078i,0.00017286-0.000909i,-5.2268e-05-0.00080772i,-0.00041872-0.0011887i,-0.00051323-0.0010467i,0.00035462-0.00032893i,0.00077579-0.00091724i,0.00074175-0.0012283i,0.0011961-0.0011476i,0.00073056-0.0014864i,0.00013789-0.0018042i,4.4458e-05-0.0017856i,-0.00028901-0.0014615i,-0.00036635-0.00066123i,0.00019649-0.00035258i,0.00030759-0.00014287i,-0.00020267+0.00079091i,-0.00032885+0.0010881i,-9.7382e-05+0.00029433i,0.00049955+0.00025605i
-0.0024323-0.00086393i,-0.0023204-0.00084541i,-0.0034799+0.00030986i,-0.0041796+0.0012974i,-0.0020588+0.0012959i,1.0556e-05+0.00086782i,-0.00035633+0.00081444i,-0.0011925+0.00056172i,-0.0012657+0.0004925i,-0.00095838+0.00061641i,-0.0007649-0.00022302i,-0.00013169-0.00014211i,0.00022238+0.00040772i,7.0747e-05+0.00033086i,-0.00025334+0.0002644i,-0.0010042-0.00090912i,-0.0011533-0.0015925i,-2.2347e-05-0.0015487i,0.00042478-0.00098604i,-0.00033197-0.00020241i,-0.0003268+3.1537e-05i,0.00025532+0.00034145i,4.5371e-05+0.00077558i
0.0014431+0.0018842i,0.00095933+0.0010585i,-0.00058028-1.3627e-05i,-0.0013023-0.0012258i,-0.00071747-0.0014351i,-0.00011933-0.00090818i,0.00040516-0.00010728i,0.00024491+0.0003148i,-0.00076804+2.2974e-05i,-0.0015691-0.00022178i,-0.0017503-0.00038329i,-0.0012254-0.00094435i,-0.00017338-0.0010523i,0.00070539-0.00018876i,0.00052187+0.00020947i,-0.00055185-0.00056006i,-0.0008576-0.001048i,-0.00090085-0.00045798i,-0.00091283-0.00025205i,-0.00022769-3.4718e-06i,0.00089797-0.00026932i,0.00098482-0.00041753i,0.00029744-0.0003405i
-0.00037023+0.0011177i,-0.00094025+0.00066836i,-0.0016445+0.00050661i,-0.0015531+0.0014318i,-0.00086133+0.0010757i,-0.00068749-8.3155e-05i,-0.0011942-0.00013651i,-0.0013772-0.00011143i,-0.001032+0.0002347i,-0.00074201+0.00037669i,-0.00033123+0.00091705i,-2.7818e-05+0.0016412i,0.00012359+0.001313i,0.00056866+0.00017405i,0.0012085-0.00027077i,0.0011752-0.0002253i,0.00076969+0.00013013i,0.00018539+0.00039092i,0.00021505+0.00050936i,0.00012668+0.00050467i,-5.7093e-05+2.8482e-06i,0.0007018-0.00013294i,0.00099429-2.538e-06i
0.00064372+0.00055817i,-0.00050682+0.00031825i,-0.00097271-0.00013474i,-0.0010261+5.6526e-05i,-0.00061207+0.00076431i,0.00017701-3.646e-05i,7.9224e-05-0.00056258i,-8.8156e-05-0.00040237i,0.0001806-0.00099106i,-0.00021656-0.00088795i,-4.8168e-05-0.00039041i,0.00027981-0.00047856i,-0.00024199-0.00073448i,-0.00049365-0.0010733i,-0.0004941-0.0012572i,-0.00025578-0.0011731i,-5.1401e-05-0.00010055i,0.00033358+0.00063877i,0.00048195+0.00039211i,0.00021291-0.00015556i,0.00029278+6.4493e-05i,0.00044132+0.0009514i,0.00019264+0.00058232i
0.00073428+2.3648e-05i,0.00010139-0.0002723i,-0.0013245-0.0012897i,-0.0024644-0.00132i,-0.0021741-0.00010604i,-0.00078934+0.00053698i,-0.00013812-7.4142e-05i,-0.00071708-0.00069205i,-0.0014904-0.00060242i,-0.0014689-0.0010184i,-0.00066049-0.0011506i,0.00026048-0.00087803i,0.00059991-0.00022268i,4.499e-05+0.00018322i,-9.466e-05-0.00028549i,0.00012015-0.00077539i,-0.00020018-0.00099542i,-0.00016209-0.0012672i,-3.2497e-05-0.00092009i,3.7427e-06-0.00035364i,0.00030571-0.0005884i,0.00039294-0.00032742i,0.0013266-0.00066648i
0.00087093-0.00050998i,0.00087444-0.001429i,5.5389e-05-0.0015136i,-0.0014815-0.00063256i,-0.0019028+8.8694e-05i,-0.0011427+3.0593e-06i,4.9507e-05-0.00037786i,-7.1665e-05-0.00018398i,-0.00077723-5.3677e-05i,-0.0010752-0.00058041i,-0.00095276-0.00099012i,-0.00013624-0.0012165i,0.00037475-0.0013221i,0.00011025-0.00069796i,-0.00011253+0.00042142i,-0.00048823+0.00082533i,-0.00064118+0.00059016i,-0.00049098-0.00031598i,-5.9629e-05-0.0010213i,0.00058866-0.001062i,0.00028058-0.00020088i,-8.3374e-05+0.00087304i,0.00032223+0.00058474i
0.0021223-0.0018732i,0.0018857-0.0019744i,-7.447e-05-0.0023311i,-0.0013307-0.0026854i,-0.00095871-0.0015445i,-0.00034661+0.00015929i,0.00014803+0.00028405i,0.00047033-0.00017061i,0.00015425-0.0001935i,-0.00056901-0.00028845i,-0.0010346-4.4507e-05i,-0.00056139+0.00051231i,0.00014002-0.00030996i,-0.00051719-0.0012315i,-0.0014689-0.00050135i,-0.0012357+0.0012044i,-0.00021261+0.0019203i,-0.00030803+0.0012216i,-0.0014855+0.00051546i,-0.0012461-0.00028538i,0.00011153-0.00080621i,0.00095407-0.00048477i,0.00035045-8.6819e-05i
0.0011629-0.0031848i,0.00083975-0.0036912i,-0.00020671-0.0036276i,-0.0010159-0.0021787i,-0.0013941-0.00029965i,-0.0013687+0.0011765i,-0.00073665+0.00039591i,-0.00029506-3.4855e-05i,-7.3453e-05-2.2979e-05i,-0.00037953-0.00023143i,-0.00071215+3.2576e-05i,-5.2383e-05+0.00019042i,0.00025529+0.00033237i,-0.0008281+0.00023516i,-0.00082177+0.00024811i,-0.00019439+0.00035574i,0.00073852+0.00045952i,0.001233+0.00050371i,0.00060097+0.00014563i,0.00064091+0.00022919i,0.0015162+0.0006681i,0.0011447+0.00043855i,0.0005502+0.00023045i
-0.001365+0.00016774i,-0.0018737+0.00032934i,-0.001472+0.00015381i,-0.00081461+0.00017867i,-0.00032326+4.4395e-05i,0.0001711-0.0003445i,-0.00043323+5.2859e-05i,-0.0017577+0.00047543i,-0.001435+0.00017558i,-0.0005113-0.00032461i,0.00025922-0.00070253i,0.001303-0.00017116i,0.001366+0.00031726i,0.00095716-0.00041421i,0.00046353-0.0010273i,0.00040185-0.0012022i,0.00092409-0.001192i,0.00044311-0.00076646i,-0.00010992-0.00072019i,-0.00025058-0.00078508i,-0.00012419-0.00024399i,0.00044267+0.00039843i,0.00031922+0.00090089i
0.0025497-0.00045129i,0.0025939-0.00050367i,0.0027336-0.00038774i,0.0016842-0.00093949i,0.00066751-0.00091403i,-3.3165e-05-0.00023034i,-5.5641e-05+5.2804e-06i,-0.00028012-9.9397e-05i,-0.0008019-0.00013849i,-0.00085162-0.00022328i,-0.00062108-0.00083129i,-0.00057279-0.00046875i,0.0002923-1.979e-05i,0.00034893+0.0002964i,-0.00087876+0.00016272i,-0.0013304-0.00042048i,-0.00081708-0.00061259i,-0.00041157-0.0012122i,-0.00029938-0.0013485i,0.00026356-0.00067275i,-0.00033739+8.0638e-05i,-0.0010078+0.00010226i,-0.0005955+0.00017643i
0.00027839+0.0014528i,-0.00098685+0.00060662i,-0.0018685-8.2863e-05i,-0.00228+0.00022867i,-0.0010246+0.0013818i,0.00012143+0.0015795i,0.00010584+0.0006626i,-0.00011843+0.00018383i,-0.00041009+0.00077677i,-0.00079769+0.00097334i,-0.0009808+0.0001316i,-0.0011981+0.00054143i,-0.00036955+0.0013966i,0.00020885+0.0010821i,-0.00053071-0.00017882i,-0.00092538-0.00084i,-0.00081011+0.00058438i,-0.0009804+0.0015359i,-0.00087183+0.00064538i,-0.00058322+0.00023317i,-3.1932e-05+0.0010755i,0.00023237+0.00091396i,0.00031121-0.00017867i
-0.00047262-0.0019917i,-0.001489-0.0021802i,-0.0025621-0.0023022i,-0.0028312-0.0008186i,-0.0022914+0.0012916i,-0.00056271+0.0018916i,9.7236e-06+0.0012042i,-0.00056464+0.0010411i,-0.0011662+0.00081095i,-0.0014884+0.0008089i,-0.0011191+0.0010424i,-0.00071996+0.00036248i,2.4098e-05-0.000144i,-0.00022679-8.3596e-05i,-0.00036678-5.441e-05i,0.00017063+0.00052528i,0.0002279+0.00097586i,0.00089196+0.00086354i,0.0016366+0.00094268i,0.0010182+0.0010907i,-1.1349e-05+0.00028873i,-0.00013615-0.00039248i,0.00042619-0.000538i
-0.00078113-0.00047769i,-0.0018742-0.0016972i,-0.0019168-0.0033554i,-0.0019909-0.0028212i,-0.0016168-0.00096047i,-0.000863+6.6168e-06i,-0.00085158+0.00028599i,-0.0018201-0.00012069i,-0.0014191-0.00096363i,-0.00024004-0.0011374i,-0.00026637-0.00071618i,7.2642e-05-0.00084759i,0.00041566-0.00049736i,-2.2693e-05-0.00055888i,-0.00077357-0.00027613i,-0.00057392-0.00020306i,0.00047424-0.00077114i,0.00042556-0.001026i,0.00016185-0.0011633i,0.00069475-0.0010926i,0.00028476-0.0010221i,-0.0011673-0.00038666i,-0.0012823+0.00010324i
0.0013212-0.0017394i,0.0014061-0.0021942i,-0.00011385-0.0016528i,-0.001874-0.00082529i,-0.0021641-0.00021565i,-0.001066+0.00031025i,-0.00022749+0.00051865i,3.5915e-05+0.00018715i,3.3444e-05-0.00068097i,-0.00040406-0.0013162i,-0.00093018-0.0018967i,-0.0010169-0.0014304i,0.00011044-0.0006531i,0.0010115-0.00032449i,0.00054556-0.00030185i,-0.00029376-0.00064134i,-0.00070206-0.00098161i,-0.00062458-0.0016757i,-0.00045178-0.0014604i,-0.00078393-0.0010037i,-0.00082949-0.00082214i,-0.0006183-0.00069764i,-0.0002803-0.00064743i
-0.00091365+0.0025778i,-0.00057979+0.0020787i,0.00037316+0.0007467i,6.8808e-05-0.00013443i,-3.4083e-05-0.00030046i,0.00030774+0.00013693i,-0.00052462+0.00050723i,-0.0010824+0.00013267i,-0.0015645-0.0003393i,-0.0016312-0.0002694i,-0.00090028+3.4453e-05i,-0.00055388+5.9172e-05i,0.00013545-0.00035144i,2.3738e-07-0.00058964i,-0.00065281-0.00072422i,-0.00046161-0.00075575i,-0.00049159-0.00076349i,-0.00093966-0.00025821i,-0.0012466+0.00023011i,-0.00086583+0.00027313i,-8.4037e-05+0.00036446i,0.00045928+0.00011346i,0.00051217-0.00029965i
-0.00176+0.0014334i,-0.001539-4.619e-05i,-0.0023472-0.0013846i,-0.0022323-0.00073311i,-0.001241+0.00074585i,4.955e-05+0.0004154i,0.00023224+1.4023e-05i,-0.0005414-0.0002654i,-0.00061204-0.00017945i,-0.0004242+0.00031623i,-0.00034766+0.00061396i,-8.7847e-05+0.00098885i,0.00033836+0.00038342i,0.00013416-7.6776e-05i,0.00012218+0.00023943i,0.00018861+8.054e-05i,-0.00021423+0.00016117i,-0.00052598+0.00059783i,-0.00030694+0.00048954i,0.00059857+0.00025654i,0.00085002-0.00010152i,0.00035896-0.0006931i,0.00027428-0.00080422i
0.0017911+0.0022898i,0.0025199+0.001556i,0.0023501+0.0011042i,0.001252+8.628e-05i,8.8144e-05-0.00072927i,-0.00081064-0.0011456i,-0.0012059-0.00092i,-0.0012786-0.00015221i,-0.0012966+0.00067383i,-0.0011525+0.0014795i,-0.00036506+0.0011948i,-6.0271e-05+0.00049207i,0.0004397-0.00041945i,0.00096657-0.0013143i,0.00127-0.0012062i,0.00095492-0.00091382i,0.00056937-0.00090104i,0.0010579-0.00026711i,0.0011146+8.4934e-06i,0.0013799-6.9727e-05i,0.0014168+0.00019442i,0.00072366-0.00017101i,0.0004924-0.00016942i
-0.00054083+0.00090322i,-0.00088428+0.00024985i,-0.0014269+0.00048986i,-0.0019295+8.172e-05i,-0.0013643-0.00047469i,-0.00059473-0.00040313i,8.0276e-05+0.00022119i,-0.0001505+0.00027534i,-0.0011545-0.00074863i,-0.00052551-0.00084754i,0.00011824-0.0006952i,0.00045055-0.001212i,0.00067356-0.00087894i,8.9447e-05-0.00063721i,-0.00015749-0.00044111i,0.0002708-0.00031553i,0.00034885-0.00030558i,0.00022345-0.00080305i,-0.00014113-0.0012732i,-0.00027723-0.00094988i,-0.0004842-1.6207e-05i,-0.00021994-6.392e-05i,0.0006171-0.00028789i
4.2893e-06-0.00021679i,-0.0013507+0.00020886i,-0.0028705-0.00031759i,-0.0025569+0.0005186i,-0.0014358+0.001482i,-0.00010679+0.00088719i,0.001055-0.00019994i,0.0011017-0.00013108i,0.00015554+0.00019804i,-0.00064905+0.00010355i,-0.0012653+0.00016471i,-0.0013669+0.00088268i,-0.00089105+0.00083491i,-0.00056892-0.00054187i,-0.00086169-0.00097465i,-0.0017838-0.00032775i,-0.00124+0.00023006i,-0.00052371-7.9183e-05i,-0.00060935-0.0006653i,-0.00042867-0.00046598i,0.00024218+0.00018342i,0.0010967+0.00018025i,0.00071034+3.364e-05i
-0.0012253+0.00093128i,-0.0024584+0.00016798i,-0.0040863+0.00071321i,-0.0029846-0.00011722i,-0.00099863-0.00020452i,0.00020124+0.00031976i,0.00019882+0.00023512i,-0.00042046+0.00056462i,-0.0010004+0.00071805i,-0.0015814+0.0012426i,-0.0012398+0.0014929i,-0.00010686+0.00065802i,0.00056101+0.00013093i,0.00076215+0.00036956i,0.00045991+0.00031257i,-0.0003481-0.00041076i,-0.00079972-0.00062121i,-9.2669e-05+0.00032886i,0.00012025+0.00085092i,-0.00026961+0.0009831i,-0.00065485+0.00013424i,-0.00046074-0.00067435i,0.00035629+0.00013609i
0.00029259-0.00099027i,0.00096648-0.0013998i,-0.00082834-0.0018696i,-0.0014129-0.0018568i,-0.0014844-0.00052739i,-0.0010169+0.00012809i,-0.00020923-5.2711e-05i,-0.00014161+0.00049772i,-0.00019486+0.00031459i,-0.00035822-0.00048584i,-0.00018248-0.00059683i,0.00048073-7.108e-05i,0.00072451+9.759e-05i,0.00030049-0.0001968i,-6.1822e-05-0.00035673i,0.00020089-0.00013319i,0.00054108-0.00032806i,0.0008612-3.1611e-05i,0.0013661+0.00049037i,0.001186-0.00024326i,0.00066445-0.0013355i,0.0005953-0.0016892i,0.00048767-0.001019i
-0.0028272+0.0020836i,-0.001934+0.0032407i,-0.0024171+0.0030388i,-0.0018166+0.0022652i,-0.00032911+0.0021433i,0.00038113+0.0024254i,0.00013131+0.0012604i,-0.00032826+7.3384e-05i,-0.00065486+0.00025956i,-0.0006698+0.00018235i,-0.00079352-0.00058826i,-0.00066278-0.0008249i,-0.00026374-0.00082896i,-6.303e-05-0.0013263i,-0.00018524-0.0017774i,-0.00043079-0.0012763i,-0.00065906-0.00072745i,0.00014941-0.000449i,0.00068571+0.00022421i,0.0004504+0.00029896i,3.4155e-05+9.118e-05i,-0.00096319+0.00021572i,-0.00084534-0.00013789i
-0.0019659+0.0022033i,-0.001511+0.0019852i,-0.0006571+0.0013156i,0.00017075+0.00092599i,0.0005629+0.0012541i,0.00069589+0.0007836i,3.0669e-05-0.00012437i,-0.0008268-0.00076462i,-0.00043111-0.000546i,0.00027297-0.00021936i,0.00045079-0.00026756i,-5.8467e-05-0.00048385i,0.00043583-0.00085389i,0.00026208-0.00026121i,-2.0233e-05-0.0002324i,0.00080977-3.0879e-05i,4.9613e-05-0.00024286i,-0.00060667-0.00046197i,-0.000821-0.0002529i,-0.0012144-0.00059563i,-0.000571-0.00083116i,1.0914e-05-0.00038167i,-0.0008612-1.2139e-05i
