0.001147-0.0017365i,-0.00024627-0.001823i,-0.00099725-0.0010934i,-0.00098479-0.00034534i,-0.00090845+0.00028496i,-0.0014051+0.0013466i,-0.0012299+0.0017606i,0.00025229+0.00071403i,0.0016332-0.00029785i,0.0012307-0.00036096i,9.1247e-05-0.00024225i,0.00052578+0.00017374i,0.00079021-0.00025826i,0.00038739-0.000933i,8.323e-05-0.00081302i,-0.00019815-6.093e-05i,-0.00029928+0.00016412i,0.00015607+0.00023293i,0.0010503+0.00066959i,0.00088461+0.0006845i,0.0002163-0.00011531i,-2.8669e-05-0.00094692i,-0.00036067-0.0010525i
0.002363-7.0529e-05i,0.0015432-0.00030557i,0.0011968-0.0015681i,0.0011895-0.0014856i,0.0011777-0.0010806i,0.00090769-0.0012678i,0.00031819-0.0012329i,0.00106-0.0011764i,0.0016174-0.0007152i,0.00046826-0.00066465i,4.5545e-05-0.00026859i,0.00039415+0.00094552i,0.00094014+0.00074001i,0.0011574-0.0004846i,0.00088038-0.00032271i,0.00058139-2.4909e-05i,0.00015713-0.00010797i,0.00016013-0.00013729i,0.00035614+0.00035637i,5.535e-05+0.00060851i,8.674e-05+0.00035083i,0.00018381+0.00038385i,0.00022397+0.00047477i
0.0013322-0.0012106i,0.0014675-0.00013495i,0.00021287-0.00030099i,-0.00081296+0.00016721i,-0.001342+0.00035875i,-0.0011097+0.00082197i,-0.00066484+0.0011709i,-0.00015982+8.3824e-06i,0.00072365-0.00086331i,0.0010547-0.0003493i,0.00064132+0.0006262i,0.00012503+0.0010673i,-8.6417e-06+0.00083988i,0.00036094+0.00033237i,0.00015604+0.00039007i,0.00024202+0.00024237i,0.00012069-0.00056712i,-0.00011855-5.6426e-05i,-0.00038913+0.00041539i,-0.0004528-0.00020183i,7.6353e-05-0.00059316i,0.00059758-0.00030154i,0.00073398+0.00069105i
0.00047216-0.0015796i,0.00023724-0.00044723i,-0.00039513-0.00026944i,-0.00069475+9.753e-05i,0.00016661+0.00088582i,0.0013597+0.0015614i,0.0011329+0.0009411i,0.0017214-0.0002449i,0.0023817-0.0010737i,0.0005607-0.00082704i,-0.00082721-0.00054506i,-0.0010351-0.00045549i,-0.00014839-0.00039822i,0.00087657-0.00039322i,0.0005821-0.00048806i,-0.00015486-0.0010234i,-0.00057448-0.0015956i,-0.00071208-0.0015472i,-0.00074528-0.0006139i,-0.00035422+0.00013164i,0.0001476+0.00076224i,0.0003407+0.0014042i,6.6402e-05+0.0007186i
0.0012649-0.00039396i,0.00041775+0.00019079i,0.00027066-0.00031168i,0.00023214-0.00057867i,0.00013087-0.0004261i,-0.00027901+0.00078067i,2.1116e-05+0.0016942i,0.0013374+0.00056094i,0.0017196-0.00067859i,0.00060424-0.00035088i,1.9547e-06+0.00038601i,-0.00039634+0.00067004i,-0.00039431+0.00066332i,-0.00016588+4.1508e-05i,-0.00015648-9.4918e-05i,-7.6421e-05+7.4426e-05i,-3.2204e-05+0.00036337i,-2.3426e-05+0.00026738i,-0.00032261+0.00015687i,0.0001644-0.0001047i,0.00077179-0.00072065i,0.00024886-0.0010045i,0.00051393-0.00064762i
0.00063818-0.0029534i,0.00054224-0.0027124i,-0.00095219-0.0013159i,-0.0016787+0.00050527i,-0.0010353+0.0015476i,0.00024665+0.00087294i,0.0011432-1.1616e-05i,0.0015318+9.1817e-05i,0.0017243-0.00033162i,0.00038877+0.00029203i,-0.00015381+0.0012485i,0.00035583+0.0010027i,0.0004305+0.00087855i,4.665e-05+0.00066876i,-0.00063472+0.00056266i,-0.00069265+0.00083154i,5.1737e-05+0.00052642i,0.00030654-0.00029222i,0.00028316-0.00048596i,0.0008991-0.00010521i,0.0013444+0.00066307i,0.00079935+0.00069669i,6.7726e-05+0.00014867i
0.0002584+0.0011742i,0.0012807+0.0011748i,0.0014925+0.0018203i,0.00080447+0.0020176i,0.00029036+0.0019279i,0.00091807+6.3852e-05i,0.0016964-0.0010753i,0.0020799-0.00095887i,0.0017757-0.00077918i,0.00070798-0.00035173i,4.5438e-05+0.00058697i,0.0003475+0.0012461i,0.0011585+0.00076835i,0.00049489+6.3199e-05i,-0.00014813-0.00027583i,-0.00014532-0.00013005i,0.00081542+0.00031689i,0.0015819+0.00082286i,0.00060336+0.00062524i,-0.00012096+0.00025832i,0.00013707+0.00023414i,0.00059699+2.8763e-05i,-3.6384e-05-0.00037772i
-0.0010131-3.3981e-05i,-0.0013327+0.00014673i,-0.0012371+0.00093337i,-0.0010551+0.0013237i,7.3315e-05+0.0011211i,0.00083108+9.9507e-05i,0.00066359+0.00015729i,0.00099025+0.00049764i,0.0018788+0.00050141i,0.0016499+0.00046607i,0.00092917+0.00064599i,0.00028805+0.00068065i,-0.00045835+0.00076875i,-0.00085708+0.0007982i,-0.0014911+0.00020857i,-0.0011548-0.00058782i,-6.4734e-05-0.00010431i,0.00023873+0.00032324i,3.9084e-05-8.3254e-05i,0.00014611+0.00014107i,-0.00044479-0.00028605i,-0.0010163-0.00095833i,-0.0010319-0.0003301i
0.0011802-0.0011636i,0.00051199-5.5406e-05i,-0.00054676+0.0001631i,-0.00089887+0.00029596i,-0.00094946+0.00061493i,-6.9761e-05+0.0011741i,0.0013771+0.0010462i,0.0032279+0.00044205i,0.0034882-0.00077189i,0.0013308-0.00092301i,-0.00021999+1.9702e-05i,-0.00053805+0.00063234i,-0.00058554+0.00067282i,-0.0006043+0.00036307i,-0.00087431+0.00048698i,-0.0010576+0.0004024i,5.8998e-05-0.00035049i,0.0010142+0.00041088i,0.00076756+0.00086212i,0.00035615+0.000901i,0.00022941+0.00017316i,0.00049423-0.0005953i,0.00063396-2.2945e-05i
-0.0022334-0.0013519i,-0.0036203-0.00043709i,-0.0038603+0.00098148i,-0.0024039+0.0020106i,-0.00013035+0.0023387i,0.0015805+0.0015257i,0.0013558+0.00041613i,0.0011515-0.00041928i,0.0012944-0.00059069i,0.0008277-0.00046351i,0.0004378+0.00042438i,3.0844e-05+0.0017258i,-0.0004069+0.0015694i,-0.00070672+0.0013563i,-0.0010198+0.00097503i,-0.00097505-0.00036599i,-0.00089286-0.00099731i,8.9969e-05-0.00047668i,0.0011712+0.00028628i,0.0012445+0.00025676i,0.00042027-0.00053489i,-0.00082233-0.0010323i,-0.0014874-0.00094556i
0.0011551-0.0010686i,0.00036907-0.0022782i,-0.002261-0.0020286i,-0.0024713+0.00016783i,-0.0014514+0.0012465i,-0.00064788+0.00047174i,0.00048369-0.00024606i,0.0014042-0.00043761i,0.0024345-0.00051721i,0.0016008-0.0001557i,-0.00041405+0.00091083i,-0.00099797+0.0012805i,-0.00078313+0.00082041i,-0.00091426+0.00053092i,-0.00076667+3.4046e-05i,0.00014074+9.6371e-05i,0.00045637+0.00021683i,0.00059724-0.00081425i,0.001449-0.00095857i,0.0015577-0.00028189i,0.0011663-0.00016052i,0.00075999-0.00026294i,0.00024887-0.00094361i
-7.9036e-05-7.9401e-05i,-0.0010988+0.00092367i,-0.0015501+0.00044894i,-0.00030915-0.00042442i,0.00046155-0.00088204i,0.00064373-0.0015335i,0.0011321-0.00086284i,0.0017927-3.0659e-05i,0.0022155+3.7118e-05i,0.0019069+0.00039718i,0.00046438+0.00082684i,-0.00065893+0.0015064i,-0.00034778+0.0014242i,-8.6319e-05+5.9811e-05i,-0.00084441-0.00024205i,-0.0013665-0.00011486i,-0.0010329-0.00029616i,-0.00082743-0.00094451i,-0.00034538-0.0010678i,0.000623-0.00023151i,0.00085731-0.0003132i,-0.00028726-0.0011374i,-0.0012033-0.0013256i
-0.00081165-0.002592i,-0.0012437-0.0025023i,-0.0017369-0.0028016i,-0.001561-0.001039i,-0.00087273+0.0010582i,-0.00016402+0.0012533i,0.00047905+0.00043693i,0.00076594-0.00014519i,0.0015292-0.00032564i,0.0016272-0.00036824i,0.00022584+0.00016073i,-0.00074062+0.00081456i,-0.00048651+0.00074947i,-0.00016959+0.00031232i,-0.00060922+0.00023127i,-0.0010699+8.9811e-05i,-0.0010663+0.00056441i,-0.00049934+0.001266i,0.00022787+0.0009152i,0.00023759+0.00058531i,0.00015906+0.00027425i,0.00028785-0.00044981i,0.00014114-0.00078476i
-0.00013136+0.00090327i,-6.9082e-05+0.00077157i,0.00091782+0.0008978i,0.0012056+0.0011607i,0.00089984+0.0015597i,0.00053465+0.00084004i,0.00095729-0.00013785i,0.0012777-0.00072991i,0.0014985-0.00094488i,0.0014758-0.00035735i,0.00020206+0.00019518i,-0.00068843+0.00012952i,-0.0014824+0.00033709i,-0.001933+0.00058477i,-0.00087333-0.00056598i,0.00014464-0.00071994i,0.0003431+0.0002335i,0.00049511+0.00019339i,0.00023918-6.7274e-05i,-0.00017973-6.9246e-05i,-7.0827e-05-0.00016892i,-0.00050076-0.00037103i,-0.00080083-0.00079265i
0.00037296+0.00026163i,0.001165-8.3946e-05i,0.00059618+0.00037079i,-0.00048822+0.00099278i,-0.00083476+0.00053439i,-0.00018796-0.00094988i,0.00031181-0.0014646i,0.0012634-0.0012542i,0.0024052-0.00041192i,0.0017557+0.00024935i,0.00037149+0.00035143i,-0.00047607-6.329e-05i,-0.00038097-0.00053912i,-0.00058774-0.00030363i,-0.00088224+0.00053348i,-0.00074541+0.0010139i,-9.4832e-06+3.4203e-05i,0.00077605-0.00066959i,0.00033796-3.3995e-06i,-0.00022458+0.00020574i,-0.0001142-0.00025678i,0.00076864-0.00031268i,0.00073769+0.00028091i
0.0020568-0.00099265i,0.0024635-0.00010301i,0.0010391+5.0487e-05i,-0.00053656+0.0010177i,-0.0012433+0.0018409i,-0.00090199+0.00091241i,5.452e-05-0.00033094i,0.0010148-0.00079931i,0.0017756-0.0013409i,0.001289-0.00089761i,0.0005537-0.0003351i,0.00026068-9.0467e-05i,7.1004e-05-0.00025233i,3.7621e-05-0.0010725i,0.00015626-0.001075i,4.9452e-05-0.00030915i,0.00022537+0.00018373i,0.00017167+1.3339e-05i,0.00045081-0.00044165i,0.00031263-0.00073363i,-0.00024894-0.00066086i,-0.00046734-0.00054537i,-0.00068563-0.00060082i
-0.0002128+0.00077787i,-0.00096445+0.0024689i,-0.0015373+0.002355i,-0.0010139+0.00082585i,-0.0002439+0.00022813i,-0.00025602+0.0006202i,0.00015225+0.00067095i,0.0015606+0.00050567i,0.0027549+0.00025949i,0.0021409+0.00051553i,0.0010698+0.00066226i,0.00070002-0.00037251i,-0.00035007-0.0014925i,-0.00099021-0.0012815i,-0.00088602-4.0981e-05i,-0.0010344+2.2864e-05i,-0.00029679-0.00090861i,-4.9439e-05-0.00087617i,-0.00066119-0.00080822i,-0.00044647-0.00017579i,-0.00020693+0.00018197i,3.3395e-06-0.00012945i,-0.00042395-0.00019854i
-0.0015018-0.00018983i,-0.0014696+0.00097849i,-0.0014391+0.0012201i,-0.00077775+0.0021544i,-0.00028474+0.0024466i,0.00014921+0.0024496i,0.0013985+0.0009352i,0.0025523-0.0011391i,0.0023877-0.0016725i,0.0012002-0.00078394i,8.0283e-05-0.00025362i,-0.00050139+0.00014009i,-0.00043798+0.00039887i,0.00017411+0.00066885i,-0.0003806+0.00041671i,-0.00063169-0.00028701i,-0.00019743-0.00058022i,-0.00041266-0.0004643i,-0.00064637-0.00047647i,-0.00050483-0.00025176i,-0.00041901-0.00022991i,-0.00067174-0.00060972i,-0.0012861-0.00072675i
-0.0027185-0.00081117i,-0.0027029-0.0012329i,-0.0030483+2.5631e-06i,-0.002929+0.00111i,-0.0014819+0.0004374i,0.00050506-0.00054094i,0.0013788-0.0011527i,0.002437-0.0020656i,0.0028392-0.0019014i,0.0016448-0.00049426i,0.00080427+0.0011903i,0.00017587+0.0017055i,-0.00012349+0.0010458i,0.00011128+0.00035338i,-0.00010832-2.8204e-05i,-9.1396e-05-0.00050098i,8.1129e-05-0.00031879i,0.0003629-1.4422e-05i,0.00046766-0.00064861i,2.8246e-05-0.0010689i,-0.00043462-0.00095318i,-0.00035419-0.0007199i,3.5141e-05-0.00043232i
-0.0010346-0.00405i,-0.00020644-0.004518i,-0.0016076-0.002465i,-0.0016796-0.00015394i,-6.2279e-05+0.0016317i,0.0015506+0.0015743i,0.0013208+0.00091622i,0.0010366+0.0010677i,0.0018663+0.00085212i,0.00090024+0.00058708i,0.00033155+0.00074691i,0.0010488+0.0011488i,0.00098949+0.00069457i,0.00070062-8.2886e-05i,0.00021069-0.00030283i,-7.8361e-05-0.00090019i,0.00010897-0.00085187i,-0.00012003-0.00050401i,-0.00033869-0.00030989i,-0.00041595-0.0002437i,-0.00031555-0.00052068i,-0.00013847-0.00064144i,-0.00081384-5.8456e-05i
0.0012893-0.00088887i,0.001398-0.00052504i,0.0003306-0.00014324i,-0.00065131+0.00046762i,-0.00030883+0.0011547i,0.00074811-9.6712e-05i,0.0014075-0.00094815i,0.002056+0.00034632i,0.0024124+0.000777i,0.0015821+0.00060852i,0.00035292+0.00034072i,0.00010744+0.00060676i,0.00048106+0.0012436i,0.0008754+0.0003395i,0.00039109-0.0005593i,-0.00021409-0.00035661i,-0.00039472-0.00090653i,-0.00029475-0.0014124i,0.00017035-0.0010102i,0.00080138+8.1143e-05i,0.00029538+0.00043995i,6.1768e-05+0.00012606i,0.00027564-0.00022201i
-0.00059908+0.0026003i,-0.00026104+0.0022156i,9.5616e-06+0.001489i,0.00026619+0.0011024i,3.9019e-05+0.0010698i,0.00028616+0.00010558i,0.00097203-0.0009396i,0.002233-0.00079668i,0.0027204-0.00045976i,0.002299+0.00025478i,0.00089932+0.001153i,-7.876e-05+0.0015615i,0.00021289+0.001025i,-0.00053345+7.3454e-05i,-0.00080933-0.00049496i,-3.799e-05-0.00043347i,-0.00036507+2.1209e-05i,-0.0009941+0.00021878i,-0.00078178+6.7684e-05i,-0.00056398-0.00077715i,-0.0004057-0.0013889i,-9.4983e-05-0.0014097i,-0.00032551-0.0012942i
-0.0022383+0.00026271i,-0.0026711-0.00015634i,-0.0039374+0.0017087i,-0.0024187+0.0033497i,0.00078861+0.0032691i,0.0018799+0.0017299i,0.00071162+0.00030964i,0.00065602-0.00012843i,0.0012401-2.4106e-05i,0.0008573+0.00022496i,0.00057086+0.00065418i,0.00023083+0.001096i,-0.00033318+0.00075083i,-0.00096668+0.00030118i,-0.0010328-4.2646e-05i,-0.00034102-0.00022577i,-7.5123e-05+0.00048216i,-0.00038245+0.00017168i,-0.00060013-0.00038817i,-0.00088531-0.00046415i,-0.0005458-0.0005091i,-0.00030879-0.00059237i,-0.00023131-0.00020335i
-0.0028063-0.0013032i,-0.0033613-0.0023164i,-0.002808-0.0012312i,-0.0011782+0.0010969i,0.0004716+0.0022664i,0.0018158+0.0012152i,0.0015243+0.00058782i,0.00094817+0.0011559i,0.0016646+0.001858i,0.0013053+0.0014591i,0.00027666+0.00060199i,-0.00025366+0.00083949i,-0.0007491+0.0012751i,-0.00080977+0.00085142i,-0.0010686+0.00032317i,-0.0012334-6.2449e-05i,-0.00021668-2.4407e-05i,0.00088944+9.1511e-05i,0.00055654-0.00018635i,2.1261e-05+0.00012415i,4.4625e-05-0.000211i,0.00088013-0.0011916i,0.00089679-0.0012239i
0.0010929-0.00043704i,0.002288-0.00031932i,0.0015673+0.00068807i,0.00089914+0.00055062i,0.001579+0.00078106i,0.001525+0.00033295i,0.00135-0.00028843i,0.0015162+0.00017831i,0.0018182+0.00017077i,0.001078+0.00016581i,9.9144e-05+0.00072161i,-0.00019101+0.0011352i,-7.5864e-05+0.00021572i,0.0002224-0.00034841i,-2.9954e-05+0.00027786i,3.3972e-05+0.00036735i,-0.00024628-3.4949e-05i,-0.00011011-0.00023126i,0.00029625+0.00015027i,0.00015969-7.7147e-05i,0.00075251-0.00078488i,0.00082767-0.00032098i,0.00020021+0.00030475i
7.634e-05+0.0010349i,0.00060844+0.0015773i,-0.00030945+0.0025666i,-0.0010446+0.0014358i,-0.00051972+0.0010644i,-0.00019866+0.00021422i,-9.8203e-05-0.00076148i,0.00062027-0.00079336i,0.001175-0.00092286i,0.00030131-0.00062412i,-0.00083525+5.0966e-05i,-0.0010714+0.00054322i,-0.00060774+0.00093932i,-8.3076e-05+0.00079266i,-0.00054542+0.0010684i,-0.0010087+0.00072234i,-0.00067369+0.00020928i,-0.00022643+0.00038085i,0.00045721-0.0002658i,0.0010716-0.00073848i,0.00075545-0.00072791i,0.00024531-0.0011866i,0.00065535-0.00060517i
-0.0030607+0.0011408i,-0.0018208+0.0010144i,-0.0016784+0.0023135i,-0.00031911+0.0029791i,0.0011689+0.0031429i,0.0019543+0.0014277i,0.00086804-0.00048842i,0.00053768-0.00018922i,0.00077135+0.00053523i,-1.5349e-05+0.00017509i,-0.0003679+0.0001131i,0.00029435+0.00018812i,-0.00032359-0.0004146i,-0.0017245-0.00097753i,-0.0023161-0.00029571i,-0.0014214+0.00033131i,-0.00031799+4.2422e-05i,0.00024061+1.4576e-05i,0.0003806+0.00047753i,3.1509e-05+0.00034151i,0.00013863-0.0001818i,0.00052854-0.00061884i,0.0005553-8.5642e-05i
-0.0023577+0.0016058i,-0.0025669+0.00055612i,-0.0018329-0.00017434i,-0.0005194+0.00021457i,0.00063921-0.00055757i,0.0011897-0.0014076i,0.0013206-0.00087323i,0.0014174-0.00065433i,0.001766-0.00064242i,0.0011789-8.4527e-05i,0.000602+1.8198e-05i,0.00019967+0.00070333i,-0.00020921+0.0014145i,-0.00017134+0.00063148i,-0.00073646+0.00042373i,-0.000943+0.00046073i,-0.00062958+0.00047466i,-0.0011865+0.00039455i,-0.00095471+0.00032254i,-0.00049434+0.00036481i,-0.00012536-0.00017438i,0.00085503-0.0010126i,0.00098491-0.00064397i
-0.0010767-0.0021272i,-0.0014816-0.0026738i,-0.0013663-0.0026301i,-0.0019819-0.001778i,-0.0017966-0.0013816i,-0.0017064-0.00078978i,-0.00099266-0.00058951i,0.00088704-0.0011752i,0.0019293-0.0016052i,0.001128-0.0015596i,-3.4136e-05-0.0010781i,-0.0003212+0.00017027i,0.00024311+0.00093648i,0.00067369+2.8259e-05i,7.5331e-05-0.0008667i,-0.00042284-0.00046165i,-1.074e-05+0.00031628i,0.00034473+0.00022842i,9.3614e-05-0.0004794i,2.3719e-05-0.00018658i,0.00093737-0.0005262i,0.001105-0.00027463i,0.00044325+0.00073835i
-3.7839e-05+0.00043869i,-0.00066969-0.00032454i,-0.001378-0.00071612i,-0.00040475+0.00067063i,0.0010054+0.00099148i,0.0024739-0.00039774i,0.0022069-0.00031957i,0.0018286-5.1865e-05i,0.0022366-0.00074576i,0.0017209-0.00046076i,0.0006101+0.00054421i,-0.00029192+0.00065936i,-0.0003297+1.2951e-05i,-0.00037724-0.00061454i,-0.00023777-0.001478i,0.00035913-0.0011306i,0.0002879-0.00070301i,0.00029774-0.0005383i,0.00064907-0.00029522i,0.00070972-0.00019876i,0.0003058-2.78e-05i,-0.00017857-0.00033942i,-6.2984e-05-0.00063756i
0.0010593+0.00022531i,0.00045247+3.0467e-05i,0.00052789-0.00012806i,0.00078402-7.6851e-05i,0.00052785-0.00048212i,0.00022424-0.001566i,0.00097247-0.0012513i,0.0023243-0.00011635i,0.0028254+0.0004453i,0.0020033+0.0004856i,0.00065836+0.00076221i,-0.00017943+0.0010986i,-0.0011649+0.0012565i,-0.0013374+0.00048307i,-0.0011453-0.00054087i,-0.00065936-0.00029981i,0.00016258+0.00034251i,0.00011581-0.00030281i,2.1271e-05-0.00027788i,0.00036091+0.00026418i,0.00052312+9.2542e-05i,0.00046213-9.5994e-05i,0.00034333-0.00010275i
-0.00022968-0.00012543i,0.00031372+0.00051898i,0.00087442+0.0011825i,-0.00042571+0.0016108i,-0.0011759+0.001683i,-9.063e-05+0.00055739i,0.0011089-0.00012852i,0.0020786+0.00041729i,0.0021873+0.00029471i,0.0015527-0.00021975i,0.00073681+0.00068589i,0.00027432+0.0016226i,0.00056314+0.0010075i,0.00032953+0.00038774i,-0.00072668+0.00024083i,-0.00076075-0.00011659i,8.7315e-05-0.00025506i,0.0008155-0.00045224i,0.0011204+0.00017581i,0.00031328+0.00088776i,-0.00027042+0.00095134i,-0.00026575+0.00050157i,-0.00020549+0.00067672i
-0.00088029-0.0017027i,-0.00068319-0.0020478i,-0.0017884-0.00053782i,-0.0022025+0.00087023i,-0.001281+0.00092919i,0.00041352+0.00062881i,0.0009921-0.00024402i,0.0010766-0.0013224i,0.001381-0.0014421i,0.001137-0.00057167i,0.0001286+0.00037977i,-0.00012423+0.0005188i,3.3229e-05+0.00047828i,0.00014979+0.00011854i,-0.00042979-0.00034711i,-0.0010448+0.00026232i,-0.00084635+0.00072358i,0.0003248+7.4338e-05i,0.0011456-0.00016823i,0.0014844+5.323e-05i,0.0013031-0.00018657i,0.00062264-0.00030506i,-0.00033091+0.00067769i
-0.0019484-0.00063346i,-0.0013026-0.00025965i,-0.00081769+0.0010387i,-0.00028729+0.0015111i,0.0010977+0.0011044i,0.0018362-0.00058328i,0.001064-0.00094869i,0.0008674-0.00018358i,0.0013614+0.00023331i,0.00091786+0.00089436i,-3.0464e-05+0.001545i,-0.00032843+0.0012117i,-0.00018054-0.00018379i,-5.9179e-05-0.00083447i,0.00012484-0.00039787i,9.6223e-05-0.00055939i,-0.00015089-0.00039837i,-0.00019252-0.00025835i,-0.00042024-0.00055234i,0.00066623-0.00030963i,0.00060401+7.2511e-05i,-1.8533e-05+0.00016704i,-0.0004885+5.0053e-05i
-0.0017391-0.0014938i,-0.0024505-0.0019791i,-0.0031812-0.0010136i,-0.0024896-6.3155e-05i,-0.0013525-0.00022967i,0.00012728-0.00049143i,0.00090029-0.00022459i,0.0017535+0.00049683i,0.0027518+0.00058978i,0.001329+0.00063795i,-0.00037451+0.00042803i,-0.00052052+8.9494e-05i,-0.00042938+3.495e-05i,0.00017094-0.00030145i,0.00085997-0.0010641i,0.00016481-0.0013788i,-0.00012673-0.00068855i,-0.00031587-2.9353e-05i,-0.00059763-8.0954e-05i,-0.00020217-0.00055801i,-0.00016331-0.00025509i,-0.00045777-0.00037729i,-0.00071484-0.0011457i
0.00027626-0.0018379i,-0.00046123-0.0024885i,-0.0008256-0.0010141i,-0.0003144+0.00098137i,-0.00019361+0.0016036i,0.00047964+0.0011354i,0.001597+0.00071818i,0.0028273+0.00011035i,0.0029005+0.00021278i,0.0011774+0.0014914i,-0.00093017+0.002234i,-0.0018401+0.0015292i,-0.0018291+0.00039524i,-0.00119-0.00089947i,3.0608e-05-0.0014741i,0.00019403-0.0009107i,-0.0002105-0.00010835i,-0.00051022-6.7314e-05i,4.3014e-05+0.00037774i,0.00029047+0.0011368i,0.00017338+0.00087441i,-2.8548e-05+8.6682e-05i,-8.7519e-06-0.00039754i
0.0034077+0.0012667i,0.0029316+0.00034942i,0.0016235-0.0011119i,0.00081331-0.0012836i,0.00076086-0.0013892i,0.00046657-0.0013349i,0.0003209-0.00012939i,0.0012783+0.0010027i,0.001802+0.00031134i,0.00050734-0.00052827i,-0.00049114-0.00041658i,-0.00019024+0.0006218i,0.00013781+0.0012948i,0.00066776+0.00089595i,0.00052029+0.00014675i,9.3401e-05+0.00019705i,7.0612e-05-0.00020736i,0.00015189-0.00031501i,0.00043512-2.2713e-05i,0.00068995-0.00019313i,0.00051905+0.00010682i,0.00053987+0.00039821i,0.00042757-2.2835e-06i
0.00045337+0.0010903i,0.00041195+0.001173i,0.0006199+0.00050311i,0.00040955+0.00020237i,-2.9157e-05+0.00024627i,0.00054533-0.0003886i,0.0014476-2.6134e-05i,0.0019343+0.00018246i,0.0019656-0.00028843i,0.0011815+9.0263e-05i,-0.00013598+0.00059501i,-0.00092109+0.00015289i,-0.00041446-0.0004615i,0.00013995-0.00083924i,-0.00032242-0.001132i,0.00068266-0.0013996i,0.0017584-0.0012206i,0.0011041-0.00089413i,0.00069888-0.00065132i,0.0005117-0.0001062i,8.6427e-05-9.948e-05i,0.00017391-0.00080385i,-0.0003106-0.00068065i
-0.0033813+0.002664i,-0.0025849+0.0014349i,-0.0011616+0.0016679i,0.00080837+0.0017729i,0.002226+0.0008531i,0.0023284-0.00096164i,0.0016157-0.0018712i,0.0012823-0.0020697i,0.0012161-0.0013402i,0.00071399-0.00079079i,6.26e-05-0.0010492i,2.9593e-06-0.0012138i,0.00027408-0.001237i,0.00058007-0.00094651i,0.0010831-0.00095495i,0.0011431-0.00065138i,0.00062253-0.00035769i,0.00044957-0.00037831i,0.00042266-0.00053355i,0.00031919-0.0004182i,0.00046318-0.0014098i,0.00085909-0.0016034i,0.0010195-0.00066609i
-0.0020329-0.0013985i,-0.0025128-0.0019214i,-0.0023345-0.0002049i,-0.0016643+0.0016387i,-0.00057906+0.0017078i,-5.4316e-05+0.00075836i,0.00058858-0.00018975i,0.0017373+0.00013723i,0.0022394+0.00046296i,0.0016969+0.00024866i,0.00044942+0.00015664i,0.00022442-3.3987e-05i,0.00058886-0.00024311i,0.00084139-0.00018056i,0.00064795+0.00012205i,0.00012911-0.00018399i,-0.00024272-0.00042352i,-0.00085658-0.0004049i,-0.0005525-6.1056e-05i,-0.00036822+7.738e-06i,1.8308e-05-0.00042926i,0.00086391-0.00044061i,0.00079502+0.0004418i
0.0017614-0.0017393i,0.0016474-0.0018201i,0.0012522-0.0012222i,-0.00012605+0.0011236i,-3.2441e-05+0.001848i,0.00060658+0.00087057i,0.0011132+0.00039957i,0.0023955-6.7668e-05i,0.0030836-4.0541e-05i,0.0020713+0.00011826i,9.8455e-05+0.001029i,-0.0010717+0.0015587i,-0.00059029+0.0010738i,0.0003527+0.0011233i,0.00074515+0.00048641i,0.00043325-0.00064874i,-0.00037234-0.00029727i,-0.00011973+0.00011447i,0.00046109-0.00015458i,0.00024353-0.00039622i,0.00027059-0.00049059i,0.00040711-0.00052646i,5.727e-05-0.00029018i
0.0021932+0.0024705i,0.0011531+0.0025786i,0.00073844+0.0010385i,0.00055549-0.00041957i,0.00049199-0.00070705i,0.00046875-0.00039962i,0.00088966+0.00029201i,0.0020919+0.00087764i,0.0024855+0.0010751i,0.0014384+0.00087553i,0.00098697+0.0011046i,0.00026701+0.0017735i,0.00030556+0.0016065i,0.00089553+0.00088023i,0.00064048+0.00038325i,0.00021962+0.00014644i,-0.00036472+0.00034067i,-0.00035312+0.0013066i,1.6567e-06+0.00089325i,0.00088152+0.00010495i,0.0012242-0.00023142i,0.00059959-3.0599e-05i,-6.4532e-05+0.0004493i
0.00085094+0.0040413i,-1.4453e-05+0.0036363i,-5.0181e-05+0.0028368i,-0.00046238+0.0021748i,-0.00069087+0.0016059i,-0.00048262-0.0002218i,0.00064081-0.0010651i,0.0015166+0.00021356i,0.0021435+7.6371e-05i,0.0022442-0.00026229i,0.00074141+0.00025888i,-0.00042303+0.00056857i,-0.00012912+0.00053942i,0.00067088+9.3985e-05i,0.00058663+0.00010032i,-9.2071e-05+7.4416e-05i,-0.00044887-0.0004377i,-0.00033718-0.00030256i,0.00010864+3.9448e-05i,0.00080046-0.00051342i,0.0011511-0.0011871i,0.00096362-0.00084713i,0.00079651+1.5501e-05i
-0.0028951+0.00010447i,-0.0034002+0.0004099i,-0.0036781+0.00043782i,-0.0022413+0.00066596i,-0.00049325+0.00052076i,0.0013808+1.12e-05i,0.0016679-0.00023358i,0.0021962-7.7533e-06i,0.002955+0.00033562i,0.001888-7.4976e-05i,0.0010735-0.00046706i,0.00031362+4.483e-05i,-0.00067852-0.00011034i,-0.00025181-0.00023002i,2.0988e-05+0.00086237i,-0.00067533+0.0013432i,-0.0009339+0.00091295i,-0.00084219+0.0005569i,-0.00014761-0.00050043i,0.0005707-0.00094277i,0.00074504-0.00011612i,0.00057208+0.00061295i,-2.2744e-05+0.00088305i
