0.00020699+0.00066612i,0.0002208-0.0007229i,-0.00026516-0.0013978i,-0.0017182-0.0014886i,-0.0026439-0.0010861i,-0.0017845+0.00080568i,0.00014998+0.0019745i,0.0016291+0.0011501i,0.0021783+0.00055627i,0.00089998+0.000105i,0.0002557-0.00088791i,0.00047673-0.00087669i,0.00036666+0.00057006i,-5.1356e-05+0.0013169i,-0.00028797+0.00055018i,-5.1529e-05-0.00016958i,0.00071452-0.0003145i,0.0012084+1.1515e-05i,0.0010961-0.0002848i,0.0015547+4.6794e-05i,0.0013797+0.00030943i,0.00031694+1.7433e-05i,0.00033456+0.00022204i
0.00011502+0.00075474i,-0.00017934+0.00059824i,9.7859e-05-5.2053e-05i,0.00080684-0.00064549i,0.0017597-0.0011418i,0.0011413+0.00037814i,0.00053838+0.0016337i,0.001116+0.0017353i,0.0011+0.0015596i,0.0010393+0.0010984i,0.0010164+0.0010157i,0.0012443+0.00037882i,0.0010632-0.00016582i,0.00017908+0.00019852i,-0.00074993-6.9624e-05i,-0.0013492-0.00070515i,-0.00071398-0.00061836i,-6.0044e-05-0.00069252i,-9.7198e-05-0.00027998i,-0.00039286-0.00033883i,-0.00062192-0.00073196i,-0.00049959-0.00068183i,8.7296e-05-0.00048688i
-0.0023095+0.001164i,-0.0013841+0.00062809i,-0.0011943-0.00064237i,-0.0016984-0.00078272i,-0.0016776-0.0005641i,-0.0014004-0.0005603i,-0.0016893-0.00039703i,-0.0013065-0.00012147i,-0.00093739+0.0003668i,-0.00057225+0.0008483i,4.6988e-05+0.00059879i,0.0011914+0.00096771i,0.001768+0.0011966i,0.0010935+0.000531i,0.00014371+0.00029947i,-0.00030089+0.00022866i,-0.00053601-3.1143e-05i,-0.00039234-8.7369e-05i,-0.0002051-0.00073741i,-7.2184e-06-0.00069001i,0.00023218+0.00054321i,0.00013476+0.0007669i,5.4141e-06+6.0096e-05i
0.00030413-6.278e-05i,0.00098147+0.00091089i,0.0012293+0.00058399i,0.0016794+0.00037769i,0.0014855+0.00044754i,0.0010604-0.00041875i,0.00074199-0.00021129i,0.00052245+0.00060781i,0.00050691+0.00025147i,0.00037379+0.00012227i,0.00031429+0.00077731i,0.00025262+0.0011122i,0.00066476+0.00045629i,0.00087468-0.00050381i,0.00035774-0.00013164i,0.00012414+0.00019873i,-1.8171e-05-0.00016792i,-0.00019268-0.00031978i,0.00029407-0.00064316i,0.00067549-0.00067307i,0.00013632-0.00048606i,-8.5864e-05-0.00034366i,0.00018506-8.5912e-05i
0.00057964-0.0016442i,0.00025611-0.0013326i,0.00015198-0.0016722i,-0.00035291-0.001005i,-0.00052764-0.00069333i,-0.00013214-0.00035975i,-0.00010959+0.00057606i,-0.0007077+0.00012422i,-0.0010651-0.00037759i,-0.0012151-0.00020613i,-0.0011247-0.0001451i,-0.00027379+0.00011378i,0.00051706+0.0008272i,0.00053455+0.00092282i,0.00051453-0.00017741i,0.00090579-0.0010446i,0.0020222-0.0005127i,0.0026447+0.00019487i,0.001527+0.0002847i,0.00034066-0.00018115i,0.00027304-0.00080409i,0.00076992-0.0013006i,0.0008115-0.00050022i
0.0018351-0.00095252i,0.0011681-0.0019879i,0.0017917-0.0022561i,0.0019837-0.0017187i,0.0012719-0.00086501i,-0.00014516+0.00010385i,-0.0011765+0.0010885i,-0.0008443+0.001801i,-0.00011818+0.0012447i,0.00044179+0.00029952i,0.00057708-0.00027901i,0.00038287+9.3028e-05i,-0.00042337+0.00040454i,-0.0011763-0.0004214i,-0.0005241-0.0013344i,0.00026119-0.0002138i,0.00090533+0.00069096i,0.0013873+0.00060634i,0.00086143+0.00062454i,0.00019862+5.8368e-05i,0.00059166-0.00020936i,0.0015492-0.0001435i,0.0010941-6.1496e-05i
0.0013535-0.00055232i,0.0010869-3.5172e-05i,-0.00011304-0.00090521i,-0.00040689-0.0011104i,-1.9392e-05-5.8619e-05i,0.00038795+0.00012382i,0.00065459-0.0005722i,0.00046993-0.00076058i,0.00027705-0.00015579i,0.0012018+0.0003801i,0.0013972+0.0001732i,0.0013189-3.237e-06i,0.00059945-0.00037424i,-0.0004114-0.0010458i,0.00021231-0.00022911i,0.0012252+0.00073588i,0.0014525+0.0010023i,0.00079992+0.00053062i,0.00059896-0.00028196i,0.00056825-0.00030635i,4.8966e-05-0.00088694i,-0.00026782-0.00071984i,-0.00022265+0.00050335i
0.00094385+0.003471i,0.0011264+0.0028458i,0.0014687+0.0021896i,0.0029269+0.0013421i,0.0021076-0.00040886i,-0.00042542-0.0016077i,-0.00062391-0.001113i,0.00032821-0.00059851i,0.00011289+0.00010777i,0.00021895+0.00097888i,0.00037289+0.00077578i,-2.1981e-05-0.00029513i,-0.00031303-0.0010412i,-0.00037195-0.0012742i,0.00044367-0.00096894i,0.00093282-0.00018006i,-9.6163e-05-1.5305e-05i,-0.00097609+7.7883e-05i,-0.00088593-4.5316e-05i,0.00013482-0.00027443i,0.00099157-0.00046607i,0.0010728-0.0003208i,0.00071031-4.2349e-05i
0.00070381+0.0019633i,0.00022984+0.0011743i,-0.0007219-0.00051527i,-0.0011186-0.0018557i,-0.00066376-0.0016648i,-0.00069337-0.00016022i,-0.0015943+0.0010491i,-0.0010292+0.0010098i,-0.0003963-8.2539e-05i,-0.00021243-0.00046906i,0.00020282-0.0001282i,0.00028298-0.00052401i,0.0002203-0.00044678i,0.00099792-0.00053081i,0.0017724-3.2914e-05i,0.00093445+0.00064736i,0.00054624+0.00049546i,-8.5093e-06-0.00025872i,-0.00057325-0.00084832i,-0.00019471-0.00060346i,0.00013675-0.00061563i,0.00046467-0.00044929i,0.00027569+9.1514e-05i
-0.00031168-0.00056457i,-0.0010538-0.00058233i,0.00031205-0.001245i,0.00040757-0.0016413i,-0.00063714-0.0011121i,-0.0012771-0.00018952i,-0.0014211+0.00011687i,-0.00097353+0.00054897i,-0.00055107+0.00089754i,-0.00041941+0.00055599i,-0.00028929+0.00011182i,-0.0005485+0.00045041i,-0.00049658+0.00054504i,2.5788e-05+0.00062993i,0.00085499+0.0010606i,0.00068849+0.0011153i,-0.00022454+0.00045014i,-0.00045361-6.921e-05i,-3.2282e-05-0.00049832i,-0.00010992-0.00038851i,-2.1569e-05-8.4763e-05i,1.4281e-05-0.0003651i,0.00027562-1.8322e-05i
0.0017336+0.0001804i,0.0021379-0.00065287i,0.0022408-0.0012688i,0.0010129-0.0010049i,-0.00049639-0.00063108i,-0.0018049+0.0001403i,-0.001676+0.0011272i,-0.00055601+0.00084792i,0.00018499+0.00014631i,0.00010674-0.00010441i,-0.0002728+0.00059324i,-0.00058755+0.0015885i,-0.0013327+0.0020728i,-0.0011929+0.0018882i,-0.00080841+0.0015688i,-0.0015146+0.00088912i,-0.0017945+0.00037441i,-0.00086158+0.00029813i,-0.001011+0.00058388i,-0.0016788+0.00060796i,-0.00079605+0.00065085i,0.00015786+0.00081842i,0.00064731+0.00097397i
0.0026451-0.00023837i,0.0019022-0.0013036i,0.0024965-0.0031458i,0.0022321-0.0035351i,0.00088336-0.0026369i,-0.0011681-0.00103i,-0.002264+0.00062127i,-0.0012031+0.00080822i,0.00026366+6.8482e-05i,0.00060798-0.00018431i,-0.00024678-0.00033509i,-0.00051516-0.00027999i,-6.6749e-05+0.00053498i,-0.00017121+0.0020278i,-0.00060152+0.0025097i,-0.00031329+0.0012353i,0.00041277+0.00020607i,0.00034698-0.00010275i,-0.00012717+0.00022861i,-0.00015119+0.00080152i,0.00044011+0.00066741i,0.0011078-0.00022813i,0.00047669-0.00023563i
0.0016661+0.0015267i,0.0021671-0.00031978i,0.0024596-0.00055928i,0.0017816-0.0010145i,0.0011465-0.0017319i,0.00017746-0.0018218i,-0.00073386-0.0001611i,-0.00043042+0.001173i,0.00049276+0.00057368i,0.00096871-6.1153e-05i,0.00080196+4.322e-05i,0.00039744-0.00062778i,-0.00023306-0.00080894i,-0.00075756+0.00033747i,-0.00078878+0.00092589i,-0.00070049+0.00038734i,-7.1026e-05-4.3319e-05i,0.00035524+0.0006264i,0.00025949+0.0007461i,0.00025398+0.0003664i,0.000511-0.00035939i,0.00072166-0.00065583i,0.00080975-8.67e-05i
0.00023207+0.0016878i,-0.00015798+0.00099967i,0.00064385+0.00097184i,0.0012835+0.00025318i,-3.8988e-06-0.00069165i,-0.0013072-0.00025781i,-0.0022239-8.1874e-05i,-0.0013194+0.00014493i,0.00010456+0.00042067i,0.00033718-0.00021554i,-0.00027092-0.00075718i,-0.00087664-0.00020047i,-0.00071849-0.00022304i,-0.00056599-0.00064792i,-0.00059712-0.00060124i,-0.0004073-0.00087532i,-7.7785e-05-0.00022296i,-7.7977e-05+0.0005056i,0.00036305+0.00059831i,0.00060041+0.00018901i,0.00042571-0.00032672i,0.00028694-0.00038481i,-0.00016163+0.00028206i
0.00063852+0.0020227i,0.001224+0.00099248i,0.0016557+1.6005e-05i,0.0017226-0.00031921i,0.0010802-0.00079527i,-0.00031537-0.00097297i,-0.0012576-0.00069629i,-0.00081082-0.00033159i,5.777e-05+0.00047714i,0.00045017+0.0011295i,0.00028546+0.00069715i,-0.00054587+1.1788e-05i,-0.00091931-0.00088798i,-0.00024206-0.0014093i,-0.00028125-0.00074064i,-0.00086138-0.00041433i,-0.001109-0.00068607i,-0.0005641-0.0010134i,-0.00060888-0.00030433i,-0.00074108+0.00055674i,-0.0001691+0.0010285i,-0.00013467+0.00037954i,-0.00033696-0.00074559i
-0.00048086-0.00056619i,-0.0012612-0.00096029i,-0.0011686-0.0010842i,-9.3659e-05-0.00065951i,0.00063142-0.0003375i,0.00019454-0.00061779i,-0.00067068-0.00021984i,0.00023601+0.00084476i,0.00018777+0.0010314i,6.8261e-05+0.0012338i,0.00060913+0.00071921i,0.00065156-0.00073107i,0.00037589-8.0336e-05i,0.00035948+0.0009285i,0.00046831+0.00052732i,0.00021902+0.00090372i,-0.00014046+0.0010611i,0.0005661+0.00069326i,0.0015855+0.0011203i,0.0011235+0.0010437i,0.0002662+0.00036574i,0.00023497+0.00011711i,0.00043716+0.00051389i
-0.00018979-0.00092071i,-0.00069628-0.0013505i,-0.0011409-0.00097525i,-0.00013205-0.00083731i,0.00039382-0.00065708i,-0.00059128-0.00027272i,-0.00091575+0.00028941i,-0.00012126+0.00050521i,0.00065534+0.00028235i,0.00045498+0.00073425i,-0.00017666+0.00071278i,-0.00015771+0.00018313i,-0.00020327+7.8291e-05i,-9.4424e-05-0.00016078i,0.00033296-0.00044222i,0.00059927-0.00082891i,-0.00024737-0.00037836i,-0.0014488+0.00087088i,-0.0013782+0.0010747i,-0.00068686+0.0013298i,-0.00012455+0.00055428i,-0.00039812-0.00080193i,-2.7325e-05-0.0011055i
0.00097821+0.00059105i,0.001789+0.00026259i,0.0018882+0.000472i,0.0014421-0.00022909i,0.001374-0.0013438i,-0.00017688-0.001261i,-0.0014225-0.00044186i,-0.0015164+0.00013134i,-0.0014611-0.00028735i,-0.0010199-0.00099062i,-0.00042059-0.00064905i,0.00040321-7.8754e-05i,0.00093485-0.00027741i,0.0010259-0.00089687i,0.00028186-0.0007561i,-0.00020036-0.00055858i,-0.00036318-0.00024996i,-0.00024048+0.00032597i,-0.00033064+0.00040924i,-0.00017132+0.00022837i,0.00021833+0.00022584i,0.00016491+0.00067101i,2.7017e-05+0.00048916i
0.00088501+0.0032471i,0.0017007+0.0015345i,0.0024219+0.00036164i,0.0016307-0.0010231i,5.756e-05-0.002063i,-0.00072984-0.0015595i,-0.0014942-0.00074284i,-0.0012076+0.00038833i,-0.00062205+0.0011409i,0.00011976+0.00079321i,0.00025029+0.00012955i,-0.00058871-0.00034137i,-0.0011839-0.0004748i,-0.0018945-0.0005448i,-0.0014901-0.00097226i,-0.00039652-0.0012204i,-3.042e-05-0.0017136i,-0.00022037-0.0013333i,-0.00050242-0.00043957i,-0.0006731-0.00023539i,-0.00012702-0.00022978i,0.00041861-0.00015672i,3.8683e-05-0.00020444i
-0.00027371-0.0011102i,-0.00056364-0.002021i,-0.00021712-0.0017027i,4.5978e-05-0.001764i,-5.4335e-05-0.0016363i,-0.00040694-0.00099277i,-0.0014222+0.00038851i,-0.0013856+0.0018342i,0.00019461+0.0014499i,0.00055111+0.00037521i,0.0002848-0.00025416i,-5.563e-05+0.00071309i,-0.00028313+0.0015625i,0.00056427+0.001459i,0.00078055+0.00092187i,0.0010602+1.213e-06i,0.001264-0.00091659i,0.00046566-0.0016635i,-0.00022196-0.0014559i,-0.00057256-4.365e-05i,-0.00015684+0.00016586i,0.00057599-0.00057302i,0.00029136-0.00040091i
-0.001266-0.00031278i,-0.00048477-0.0012622i,-0.00071523-0.0013446i,-0.00050826-0.00074514i,-2.2265e-05-0.00096407i,0.00037868-0.00013662i,0.0010886+0.0010767i,0.00059821+0.00067479i,-0.00026394+0.00029987i,-0.00025561+0.00059291i,0.00042693+0.00062317i,0.00090201+0.00063849i,0.0011685+0.0015914i,0.0013069+0.0025833i,0.0011982+0.0015398i,0.0014196+0.00040765i,0.0011666+0.00073338i,0.0006069+0.0006179i,0.00084299-0.00015944i,0.00072742-0.00014312i,-0.00010813+0.00022901i,0.00017732-0.0002333i,0.0003643-0.00036911i
-0.00057151-0.0023036i,-0.0010842-0.001237i,-0.0016297+0.00029455i,-0.0014131+0.0017171i,-0.00010645+0.0017159i,0.00016789+0.0012079i,-0.00016206+0.00088795i,-0.00023134-0.00012603i,9.4845e-05-0.0012343i,0.00031029-0.00062778i,5.1356e-05-0.00016738i,-0.00036446+0.00017963i,0.00068034+8.3812e-05i,0.002124-0.00056944i,0.0019511-0.0004428i,0.0013103+0.00018461i,0.0013954+0.00057197i,0.00096198-0.00022248i,0.00069791-0.00064991i,0.00067915-0.00032954i,0.00031856-0.00027014i,0.00062267-0.00029154i,0.00053916-0.00013394i
0.00054389-0.00021248i,0.0013672+0.00043869i,0.0012605+2.5466e-06i,0.0011534-0.0012877i,0.0015753-0.0013509i,0.001271-0.00055999i,-0.00046405-0.00037021i,-0.0014548-0.00049205i,-0.00096439+0.00018824i,-1.9171e-05+0.00054706i,0.0007472+0.00031143i,0.00049137-0.00020235i,-0.00012167-0.00038872i,-0.00039362-0.00070893i,-6.3434e-05-0.00019618i,0.00037488+0.0012358i,0.00087664+0.0013685i,0.0011678+0.00067311i,0.00082474+0.00058339i,0.00077818+0.00035376i,0.00075887-0.0001784i,0.00062172-0.00051225i,0.00066641-0.00062934i
-0.0010098-0.0012343i,-0.0017949-0.0016324i,-0.0014363-0.0016528i,-0.0011489-0.0011247i,-0.0016465-0.00056802i,-0.0012793+0.00069336i,-0.00067442+0.0016232i,-0.00036747+0.0010125i,0.00010271+0.00071229i,-0.00031087+0.00045498i,-0.00041299+0.00060097i,0.00035133+0.0007345i,-6.5031e-05+0.00057985i,-0.00021745+0.00035411i,-0.00011105+0.00080291i,-0.00022333+0.0015734i,-0.00088993+0.0011196i,-0.00075994+0.00067674i,-0.00071259+0.00019993i,-0.00095463-0.00034169i,-8.1334e-05-9.6169e-05i,0.00066455+0.00062531i,0.00027278+0.0010143i
0.00033609+0.0002418i,0.00042672+0.00074659i,-2.1862e-05+0.0010545i,0.00019591+8.6142e-05i,0.00063256-0.00040666i,0.00014444+4.2171e-05i,0.00016603+0.0012462i,0.00052614+0.0017637i,0.00066199+0.001092i,0.00098063-1.1489e-05i,0.001099-0.00042097i,0.001195-0.00014308i,0.0008492-0.00011666i,0.00034184-0.00024877i,6.3928e-05-0.00042672i,-0.00070017-0.00068423i,-0.00078643+0.00017819i,-0.00083532+0.0016294i,-0.00069376+0.0017947i,-0.00055675+0.0015492i,-0.00083369+0.0012614i,-0.00060056+0.0006676i,-0.0004136+0.00078021i
-0.00055872-0.00037904i,-0.0003085+0.00022965i,-0.00023416+0.0005853i,0.00034881+0.00072525i,0.00084982+0.00060794i,0.0001091-0.00018633i,-0.0004504-8.3342e-05i,-0.00018664-0.00032718i,0.00038993-0.00071073i,9.9093e-05-0.00036911i,-0.00025623-0.00068638i,4.2256e-05-0.0011832i,0.0012931-0.0012267i,0.0020963-0.0011112i,0.0012315-0.00045265i,0.00034263-0.00031305i,-0.00038064-0.00019463i,-0.00087577+0.00058814i,-0.0010655+0.00081665i,-0.00077014+0.0010814i,-0.00018094+0.001533i,-0.00021729+0.0012342i,-0.00039186+0.00049428i
0.00086448+0.00017341i,0.0015288-6.8395e-05i,0.0019826+0.00044796i,0.0018802+0.00011109i,0.0008248-0.00094359i,0.00035467-0.00057999i,-2.0625e-05-0.00013781i,-0.00018289-0.00089417i,-0.000287-0.0008932i,1.2056e-05-0.00047651i,0.0010332+0.00019626i,0.00099631-7.2661e-05i,0.00023885-0.0012057i,0.00027034-0.0011834i,0.00051427-0.0011473i,-0.00041291-0.00092385i,-0.0011956-0.0008309i,-0.0013505-0.00080651i,-0.00077164-0.00036686i,-0.0001986+0.00038675i,-0.00056815+0.0014977i,-0.00056688+0.0011671i,-0.00072459-0.00027261i
0.0013467+0.00061077i,0.00091296-7.1417e-05i,0.00034303-0.0014727i,0.00032445-0.0021966i,3.2319e-05-0.0019542i,-0.0015818-0.0013923i,-0.0027599-0.00047409i,-0.0030794+0.00030289i,-0.0022979+6.3368e-06i,-0.000677+0.00036617i,-0.00025966+0.00049825i,-8.4538e-05-0.00040937i,0.00026223-0.00048774i,-0.00023031+0.00049859i,-0.00057818+0.00057499i,-0.00021193+0.00041146i,-0.00055046+0.00025283i,-0.0010336-0.00060138i,-0.0010399-0.0014706i,-0.0008101-0.0017692i,-0.0002074-0.0010804i,0.00035114+6.6458e-05i,-0.00010531+0.001232i
-0.00021744-0.00011788i,-0.00091151-0.0011816i,-0.00035435-0.00096229i,0.0004133-0.00033495i,-1.7878e-05+6.2861e-05i,-0.00071079+0.00060549i,-0.00062435+0.0014412i,-0.00035677+0.0018552i,-0.00045331+0.0015892i,-9.9141e-05+0.0016462i,0.00040766+0.0016551i,0.00088821+0.0016096i,0.00089499+0.0024866i,0.00033073+0.003147i,0.00057938+0.0022698i,0.0011901+0.00066055i,0.00091964-0.00082785i,3.5307e-05-0.0015611i,-0.00038139-0.0016529i,-0.00021355-0.00096112i,-0.00034601-0.00099556i,-2.6199e-05-0.0010678i,0.00010578-0.00033769i
-0.0011619-0.00038924i,-0.0018366-0.00017538i,-0.0013535+0.00069249i,-0.00055555+0.0014392i,-0.00055432+0.00031662i,-0.00056134-0.00075555i,-0.00025113+0.00016416i,0.00077864+0.00046357i,0.0018272-0.00049508i,0.00088316-0.00041792i,-0.00064548-8.5453e-05i,-0.00052921+0.0007562i,0.00035475+0.0010378i,0.0013092+0.00089328i,0.0014154+0.001148i,0.00049551+0.00057125i,0.00038437-0.00026269i,0.0014549-0.00029696i,0.0015352-0.00064441i,0.00066609-0.0010391i,0.00033764-0.00078536i,0.00076482+2.2901e-05i,0.00061283+0.00038508i
0.00039924-0.0020693i,-0.00044346-0.0026031i,0.00018872-0.0032309i,0.0011592-0.0036016i,0.00070763-0.0028155i,-0.00033845-0.0011712i,-0.0011644+0.0001766i,-0.0012369-0.00012181i,4.4625e-05-0.0010474i,0.00039512-0.0012484i,0.00016129-0.00097785i,0.00048709-8.0394e-06i,6.2683e-05+6.1235e-05i,-0.00037329-0.00046634i,0.00043179-0.00037052i,0.00068266+4.4729e-05i,0.00080688+8.9099e-07i,0.0010555-0.00032938i,0.0011578-0.00015859i,0.0011841-0.00057898i,0.00038439-0.0013894i,-8.0179e-05-0.00097436i,-0.00045701-0.00019614i
0.00075661-0.00064602i,0.00010565+0.00044474i,-0.00070148-0.00043392i,-0.00021422-0.0009316i,0.00050964-0.0007592i,-0.00030333-0.0010419i,-0.0015013-0.0016135i,-0.0014474-0.00086921i,-0.0012318+0.00050604i,-0.00092973+0.00032953i,-0.00073613-0.00045048i,-0.0004758-0.00048438i,-0.00085019-0.00093897i,-0.0013912-0.0012084i,-0.0012381-0.0004755i,-0.00058986-0.00018401i,-0.00023697+0.00024427i,5.7323e-06+0.00078443i,0.00089611+0.00048151i,0.00054303+9.1287e-05i,-0.00010476-0.00011473i,-4.7214e-05+0.00032634i,-0.00080918+6.1559e-05i
0.0020017+0.00092335i,0.0013793+0.00068003i,0.00085813+0.0005946i,9.2529e-05-0.00067963i,-0.00054801-0.00082168i,-0.0002463+8.052e-05i,-0.00070493+0.00046236i,-0.0012066+0.00061551i,-0.00065961+0.00040389i,0.00058898-0.00031782i,0.00095525-0.00015905i,0.0005002+0.0002636i,-0.00015728+0.00057626i,-0.00074158+0.00091804i,-0.000269+0.0014173i,-0.00046783+0.0020653i,-0.00025782+0.0019849i,0.00048767+0.001446i,1.5411e-05+0.0010298i,-0.00024374+0.00031901i,-0.0005015+0.00025381i,-0.00089456+0.00039719i,-0.00056551+0.00071139i
-0.00041089-0.0017911i,-0.00052467+7.0318e-05i,-0.0013069+0.001067i,-0.00078609+0.0020207i,-8.5416e-06+0.0017622i,0.00029379+0.00073925i,-0.00020985+0.0010626i,-2.8477e-05+0.0016789i,0.00045244+0.0013724i,0.00075806+0.0011368i,0.0008031+0.00099602i,0.0011786+0.0008777i,0.0019014+0.00058877i,0.0021131+0.00083473i,0.0020489+0.0013035i,0.0016232+0.0006135i,-0.00019954-0.00015551i,-0.00099479-0.00086814i,-0.00028973-0.0010319i,6.4823e-05+8.4011e-05i,0.00029489+0.00075212i,0.00079702+0.00055529i,0.00026098+0.00027547i
-0.000372+0.00037803i,-0.0011141+0.00017839i,-0.00064008-0.00096947i,-0.00021136-0.0022374i,7.3765e-06-0.0016209i,-2.649e-06-0.001421i,-0.00036784-0.00090205i,-0.00022075+0.0001507i,5.1272e-05+2.8474e-05i,0.00056728+4.0083e-05i,0.0006671+0.00015436i,0.00041115-0.00060982i,0.00085258-0.0011287i,0.00065288-0.00070027i,-0.00018267-0.00033416i,-6.7535e-05-0.00024191i,7.3221e-06-9.0167e-05i,-0.0010071-0.00041394i,-0.0013335-0.00018371i,-0.00076161+0.00068305i,-0.00016551+0.0011664i,0.00044422+0.0010291i,0.00052138-0.00016016i
9.703e-05+0.00051335i,-0.00059606+0.00062484i,-0.0012444-0.00014617i,-0.0014229-0.00085361i,-0.0017746-0.00096862i,-0.0011607-0.0008664i,-0.00066523-0.00016262i,-0.00061351+0.00040567i,-0.00035442-4.3377e-05i,-0.00031652-0.0004141i,-0.00075105-0.00038953i,-0.0013248+0.00024014i,-0.001826+0.00019815i,-0.0011203-0.00090558i,0.0001003-0.0016062i,0.00056005-0.0016544i,2.5539e-05-0.0014601i,-0.00090563-0.00077455i,-0.00032419-8.114e-05i,0.00091849-7.3174e-05i,0.0010147-0.00051024i,0.00047634+0.00041964i,0.00061072+0.00029748i
-0.0018207-0.0010995i,-0.0017222-0.0012179i,-0.00063562-0.00039365i,2.8133e-05+0.00039725i,-1.5054e-05+0.00012947i,-0.00027083-0.00042637i,-0.00079615-0.00066322i,-0.0011809-3.1581e-05i,-0.0014548+0.00085243i,-0.0013706+0.0013501i,-6.6287e-05+0.0013912i,0.00015636+0.0011025i,-7.6338e-06+0.0014776i,0.00021929+0.0018309i,-0.00051025+0.0018803i,-0.00049046+0.0012443i,0.00017377+0.00037851i,0.00041149-0.00034684i,-0.00031839-0.00075472i,-0.00032036-0.00030291i,0.00055921-7.4094e-05i,0.00041134-0.00032874i,0.00067612-0.00054905i
0.0014722-0.0019145i,0.00091126-0.0014965i,0.00093673-0.0013071i,0.00088577-0.00042143i,-9.4832e-05+0.00048423i,-0.0013399+0.00017583i,-0.0015191+0.00084759i,-0.00046377+0.0015517i,0.0002722+0.0014136i,0.00043362+0.001274i,0.0010417+0.0012017i,0.0015619+0.0015363i,0.0020368+0.0017086i,0.0022436+0.0023513i,0.0016815+0.0028037i,0.0011546+0.0015698i,0.00098907-0.00032048i,0.00096243-0.0012968i,0.00066852-0.001733i,0.00065996-0.0011274i,0.00060536+0.00016475i,0.00025125+0.00080696i,-0.00040725+0.0011416i
0.00049657+0.00036397i,0.0016544-0.0012792i,0.001219-0.0029856i,0.00098973-0.0035012i,0.00044221-0.0034673i,-0.00017104-0.0027909i,-0.00065122-0.0010129i,-0.00082974+0.00010909i,0.00027888-0.00014883i,0.001205-0.001108i,0.0012709-0.0011455i,0.0012371-0.00044649i,0.0006545-0.00011661i,0.00023234-2.3354e-05i,0.0011049-0.00020019i,0.0012101+1.9009e-05i,0.0013796+0.00037244i,0.0018548+0.0002634i,0.0012-7.0345e-05i,0.0002026-0.00018612i,0.00022057-8.9113e-05i,0.0004723-0.00016481i,3.9344e-06-0.00059194i
-0.00030459-0.00071564i,-0.0003952+0.00016918i,0.00010873+8.5215e-05i,-0.00051456-0.0003019i,-0.0012035-0.00015564i,-0.00080941+0.00036885i,-0.00054607-0.0001322i,-4.0785e-05-0.00036614i,-0.00042183-0.0001367i,-0.00090514-0.00041497i,-3.578e-05-0.00053973i,-0.0003682-6.4665e-06i,-0.0008252+0.00073649i,-0.00017174+0.00070216i,-7.0607e-05-0.00015561i,0.00012288-0.00065806i,0.001002+0.00029656i,0.0014495+0.0010163i,0.0011775+0.00024522i,0.001217-2.2912e-05i,0.00090909+0.0003941i,-3.6399e-05-2.5238e-05i,-0.0005703-0.00083738i
0.00067919-0.00015325i,3.3387e-05-0.001152i,0.00086543-0.0012492i,0.0012477-0.0015687i,0.00089864-0.0010328i,0.00085479+0.0010073i,0.00021506+0.0015291i,0.00013386+0.0008027i,-0.00015902+0.00088184i,-0.0013145+0.0012238i,-0.0012911+0.0013368i,-0.00063949+0.0010557i,-0.00078669+0.0011067i,-0.0015083+0.0019088i,-0.0023327+0.0019105i,-0.0018379+0.0014967i,-0.00052245+0.0016408i,0.0003738+0.0021292i,0.00066203+0.0016938i,0.00087532+5.2829e-05i,0.0010518-0.00019333i,0.000806+0.00070097i,0.00017064+0.0007992i
0.00085738-0.0010221i,0.00094926-0.0013478i,0.0013761-0.0021619i,0.0022809-0.0024104i,0.0012322-0.0021511i,-0.0009788-0.0011667i,-0.0015301+0.00040782i,-0.00095494+0.00085369i,8.668e-05+0.00057436i,0.000997+0.0010361i,0.00077566+0.0011955i,0.00076234+0.0015268i,0.0005209+0.0019903i,0.00033799+0.0016901i,0.00050481+0.0021122i,-7.1146e-05+0.0020706i,-0.00047549+0.001837i,-0.00014935+0.0025289i,5.198e-05+0.0024132i,-0.00048111+0.0012347i,-0.00082826+0.00077235i,-0.00056542+0.00081104i,-0.00025469+0.00048887i
0.0027118-0.00044876i,0.0030671-0.00021138i,0.0031037-0.00057728i,0.0023958-0.00084625i,8.7784e-05-0.00043076i,-0.00098508-0.00016393i,-0.00027171-0.00012969i,0.00063359+6.3335e-05i,0.00048757-0.000211i,0.00028454-0.00029463i,0.001327-0.00067424i,0.0023334-0.001152i,0.0022593-0.0012416i,0.0013315-0.001279i,0.00078545-0.0006429i,0.00023277-0.00026987i,-0.00034818+0.00020098i,-0.00072814+0.00072533i,-0.00095661+0.00062017i,-0.0012943+0.00039008i,-0.001425+0.00048848i,-0.00099004+0.00023491i,-0.00025294+0.00017809i
0.00014864+0.0010944i,0.00023176+0.0016162i,-1.3399e-05+0.0017951i,-0.00065799+0.0014267i,-0.00016764+0.0011857i,-0.0003146+0.0011556i,-0.0010594+0.00074639i,-0.00029032+0.00064754i,-0.000289+8.2579e-05i,-0.001407-0.00082888i,-0.0009513-0.00084314i,-0.00011506-0.00052515i,-0.00014018-0.00072043i,-0.00083838-0.0012506i,-0.0010377-0.0021973i,-0.0013458-0.0017846i,-0.0021608-0.001i,-0.002302-0.00045738i,-0.0016873+0.0006572i,-0.00066667+0.00057321i,-0.00016457-0.00068901i,8.959e-05-0.0010004i,0.00010517-3.1755e-05i
