-0.001071+0.0002686i,0.00014765-0.0010133i,-0.0011485+0.00038938i,-0.0019109+0.0017231i,8.8581e-06+0.0021405i,0.00098941+0.0010793i,-0.00018803+0.00075181i,3.2473e-05+0.0010385i,0.00082019+0.00043245i,0.00068217-6.5983e-05i,0.0011297-0.00041785i,0.0016917-0.00061547i,0.0010267-0.0012026i,0.00047591-0.0021238i,0.00057147-0.0023406i,-0.00026472-0.001696i,-0.00091363-0.00037289i,-0.00066701-0.00051287i,-0.0012155-0.0016495i,-0.0017311-0.0012602i,-0.00068365+3.2073e-05i,0.0007904+0.00065233i,0.0012035+0.00051242i
0.0036097+0.00097059i,0.0042576+0.00039705i,0.0035917-0.00030825i,0.0024006-0.00054527i,0.0017273-0.00052509i,0.0011317-0.00054217i,0.0002099-0.00072461i,0.00026286+2.3475e-05i,0.00061395+0.00094394i,8.5836e-05+0.00086646i,-0.0004503-6.6868e-05i,0.00034251-0.00096701i,0.0007244-0.00065771i,0.00011124+0.00034335i,0.00013001-3.942e-05i,0.00016667-0.00069253i,-0.0003287-0.00064139i,-0.00036403-9.5101e-06i,-0.0001052+0.00050278i,-0.00047537+1.5716e-05i,-0.00083384-0.00023217i,-0.0010857+2.0725e-05i,-0.0013778-0.00042841i
0.0015923+0.0018632i,0.0023089+0.0012351i,0.0020135+0.00078894i,0.0014055-1.2723e-07i,-4.5173e-05-0.00055707i,-0.001045-0.00054643i,-6.7123e-05+3.3611e-05i,0.00021654+0.00026419i,0.00011697+0.00035035i,0.00066896+0.00035286i,0.00049604-0.00026036i,-0.0002426-0.00044675i,-0.0006263+7.0291e-05i,-0.00050455+4.6643e-06i,-7.6976e-05-0.00016307i,-0.00039226+0.0002706i,-0.00095535+0.00073863i,-0.0013+0.00076481i,-0.00072138+0.00061399i,-0.00052542+0.00044547i,-0.00095447+0.00047205i,-0.00049869+0.00095882i,-0.00012307+0.0009072i
0.0040472+0.0021797i,0.0030114-0.00050882i,0.002103-0.0036308i,0.00090723-0.0035815i,0.00045712-0.002124i,-2.9465e-05-0.0011206i,-0.00061901-0.00049403i,0.00026676-0.00049332i,0.0013472-0.0010499i,0.00048636-0.0015292i,-0.00029146-0.001431i,-0.00046509-0.00078204i,-0.00053496-0.00025944i,-0.0010286+0.00041578i,-0.0011753+0.0013097i,-0.00078841+0.001156i,-0.00087316+0.00047683i,-0.00094138+0.00018728i,-0.00065266+0.00016818i,-0.000338+0.00056565i,-7.185e-05+0.00058254i,-1.304e-06+0.00031029i,0.00045196+0.000523i
0.0016458+6.4687e-05i,0.0022244-0.0020573i,0.0028393-0.0031368i,0.0017766-0.002826i,0.00018462-0.0016484i,-0.00023716-0.00096078i,-0.00062494-0.00068033i,-0.00040018+0.00036031i,0.00016005+0.00071903i,0.000261+0.0006234i,-0.00020236+0.00028947i,-0.00017126+0.00030214i,-0.00030618+0.00059212i,-0.00081335+0.00036304i,-0.00025928-3.5355e-05i,0.00024734+0.00010554i,-0.00032076+0.00059298i,-0.00099086+0.00044605i,-0.00089992+2.421e-05i,-0.00060323-0.00014295i,-0.00028051+0.00045208i,2.8358e-05-1.181e-05i,-0.00034383-0.00035033i
0.00058685+0.0020098i,0.0028509+0.0012708i,0.0035592+0.00018077i,0.0032171-0.00057535i,0.0026786-0.00097038i,0.001491-0.0012824i,0.0007342-0.0011195i,0.00055316+0.00016532i,0.00087977+0.0013826i,0.0018664+0.00077071i,0.0020261+0.00048886i,0.00086501+0.0013377i,-9.7341e-05+0.00068939i,0.00019994-0.00019073i,0.00054249-0.00030688i,0.0011167-0.00079483i,0.0013719-0.00086829i,9.0578e-05-0.00016507i,-0.00074926+2.6449e-05i,-0.00021983-0.00032673i,-0.00029937-0.00092245i,-0.0010268-0.0011173i,-0.001332-0.00056989i
0.0038621+0.00042028i,0.0045738-0.00093782i,0.0046607-0.001925i,0.0020087-0.001299i,0.00036541-0.00048564i,-0.00023079-9.0529e-05i,-0.00049267+0.00063758i,0.00015487+0.00090552i,0.00055171+0.00043653i,-4.2341e-05-0.0001398i,-0.00089343-0.00012064i,-0.0010003+9.2607e-05i,-0.00074171-0.00020284i,-0.00027392-0.00057979i,-0.00015791-0.00075558i,-0.00027157-0.00076113i,-0.00063487-0.00071968i,-0.0011068-0.00047135i,-0.0010019-0.00014714i,-5.7503e-05-9.1136e-05i,0.00070643-5.7791e-05i,0.00062175+0.00012189i,-0.00030306-0.0002451i
0.0028774+0.0029972i,0.0038322+0.00057208i,0.0042039-0.0020394i,0.00264-0.0034345i,0.0011535-0.003392i,-0.00062298-0.0021087i,-0.0012417-0.00056821i,8.5837e-06+0.00041888i,0.00038823+0.0010806i,-0.00037252+0.0006586i,-0.00087285-7.0206e-06i,-0.0012382-0.00031926i,-0.0010137-0.00011033i,-0.00055768-0.00024939i,-0.00068666-7.2678e-05i,-0.0002133-0.00034463i,0.00069377-0.00080469i,0.00067379+0.00019036i,0.0002042+0.00077308i,-0.00022954-0.00017067i,-0.00013317-0.00067i,-0.00015637-0.00050909i,-0.00035224-5.7837e-06i
0.0031011-0.00042056i,0.0031868-0.0013886i,0.001416-0.0021687i,-0.0005609-0.0006514i,-0.00025244+0.001146i,0.00068736+0.0011564i,0.0007888+0.00053141i,0.0015963+0.0007511i,0.0010521+0.00058269i,-0.00019559+0.00026657i,0.00013516+0.0012439i,0.00097969+0.0011601i,0.00099471+0.00045279i,0.00085338+0.00021712i,0.0011464+0.00031354i,0.0013952+0.00040244i,0.00053987+3.9352e-05i,0.00019294-0.00064052i,8.6348e-05-0.00052138i,-0.00016757-0.00018995i,0.00011506-0.00023063i,0.00022262-0.0003378i,0.00025116+3.2524e-05i
0.0028412+0.00099811i,0.003449-0.0010721i,0.0030749-0.0023656i,0.00085658-0.002041i,-0.0005506-0.0012973i,-0.00056437-0.00088335i,9.4503e-05-0.00052359i,0.00087984-0.00027318i,0.00066471+6.5103e-06i,7.9401e-05-0.00043991i,0.00046163-0.0010657i,0.00074752-0.00079823i,8.6789e-05-0.00045654i,-0.00053172-0.00040882i,-0.00048971-0.00048459i,-0.00038823-0.00044727i,-0.00017259-0.00089837i,-0.00010016-0.001602i,-0.00045711-0.0011035i,-0.00048466+4.7821e-05i,-0.00017474+0.00019702i,-0.00053593+7.6388e-05i,-0.00083391+0.00084779i
0.002112+0.0023419i,0.0041159-0.00024138i,0.0035876-0.0046096i,0.0029473-0.0052777i,0.0015597-0.0021917i,0.00013154+0.00021136i,0.00058783+0.0012424i,0.0014121+0.0020223i,0.00037813+0.0016727i,-0.00098396+0.00049385i,-0.0014959+9.0267e-05i,-0.00058085-5.9248e-05i,0.00038635+0.00028564i,8.6413e-05+0.000604i,-2.2461e-05-9.1813e-05i,0.00023693+0.00016858i,-0.00010184+0.00067622i,-0.00037423-0.00013049i,-0.00056324+0.00015769i,5.3447e-05+0.00078259i,0.00043721-4.2726e-05i,0.00025835+6.5163e-05i,-0.00029024+0.00066484i
0.0010168+0.002705i,0.0036047+0.0019665i,0.0037321-7.7245e-05i,0.0024853-0.001071i,0.00095902-0.00076028i,-0.00017217-0.00097586i,-0.0002073-0.00057536i,0.00052173+0.0012623i,0.00038122+0.0014399i,-0.00029373+0.0008146i,0.00040834+0.00083828i,0.0010758+0.00038391i,0.00033998-0.00065454i,0.00036481-0.00072904i,0.0008169-0.00071205i,0.00074472-0.0011325i,0.0013302-0.00042291i,0.0010389+0.00086337i,0.00020827+0.00049413i,0.00035704-3.3099e-05i,0.00034029-0.00022161i,0.00025895-0.00019407i,9.5038e-05+0.00011327i
0.0016297+0.0023396i,0.0033539+0.0017724i,0.0029989+0.00044582i,0.0022498-0.00021218i,0.0012628-0.00041973i,-0.00040141-0.0011318i,-9.2421e-05-0.00069623i,0.00066042-0.00026132i,0.00076306-0.00093216i,0.00044854-0.0011628i,-0.00022116-0.0013045i,-0.00035172-0.0014426i,0.0001587-0.00028345i,3.9949e-05+0.00087219i,3.1917e-05+0.00074714i,0.0010962+0.00012109i,0.00086905-0.00048943i,0.00013702-0.00052509i,0.00027037-2.1e-05i,0.00025198+0.00034548i,-0.00017799+0.00054603i,-0.00031641+0.00098706i,-0.00022588+0.0012581i
0.0023449+0.0030006i,0.0027798+0.0011791i,0.0026564-0.00099419i,0.0011509-0.0023729i,2.9853e-05-0.0025i,-0.00057572-0.0016107i,-0.00078654+0.00065785i,-0.00096222+0.0019606i,-0.0012039+0.0013514i,-0.00093819+0.00051551i,-0.0011818+0.00015107i,-0.001345+0.00016255i,-0.0013258-5.5146e-05i,-0.0011448-0.00033045i,-0.00042787-3.7411e-05i,-0.00010042+0.00017342i,0.0001523-0.00010465i,0.00071855-0.0010843i,0.00083669-0.00087265i,0.00053777+8.2552e-05i,0.00026042+9.2684e-05i,0.00011255-0.00060868i,0.00014733+0.00010915i
0.0035689+0.00062168i,0.0033966-0.00075449i,0.0012502-0.0028479i,-0.0009631-0.0020815i,-0.0019253-0.0003962i,-0.0021107+0.00019961i,-0.0017338+1.2916e-05i,-0.00029112-5.0587e-05i,0.0012715-0.00078106i,0.0015144-0.00058963i,0.0010986+0.00086052i,0.00048388+0.00035784i,0.00052599-8.5686e-05i,0.00033154+0.00023826i,0.00040344+0.00027449i,0.00036704+0.0003848i,0.00015122+0.00017838i,-0.00026859+0.00038989i,-0.0002337+0.00032977i,0.00053699+0.00017637i,0.00051814+1.8392e-05i,1.5604e-05-0.00077636i,3.07e-05-0.00051169i
0.0001154+0.00093484i,0.00095722-0.00023992i,0.00020582-0.0019985i,-5.5365e-05-0.0023412i,2.7616e-05-0.001242i,0.00047642-0.00088469i,0.00077286-0.0005758i,0.00068617-0.00023171i,0.00069596-0.000524i,0.00078355-0.0014015i,0.00046999-0.00060913i,0.00033024-0.0001843i,0.00066953+0.00019027i,0.0013304+0.00017137i,0.0019177-0.00062507i,0.001503-0.00099615i,0.00029592-0.0012291i,-0.00017748-0.00082763i,-2.6636e-05-0.00027094i,0.00027249-0.00030365i,-0.00086066+0.00022759i,-0.0016339+0.0011601i,-0.00052405+0.0016823i
0.0027172-0.00018233i,0.0036899-0.0013068i,0.0033069-0.0026613i,0.0019243-0.0019649i,0.00031379-0.0006889i,-0.00052899+7.2751e-05i,1.8098e-05+0.00025878i,0.000912+0.00036414i,-5.2711e-05+0.00049928i,-0.0011481+0.00088829i,-0.001626+0.00082062i,-0.0011529+9.1758e-05i,-4.0185e-05+0.00045939i,0.00035132+0.00053535i,0.0005774-0.00035365i,0.00088806-0.0006689i,0.00076574-0.00051937i,0.00053119-0.00035316i,-0.00012534-0.00030496i,-0.00031893-0.00034026i,-1.1031e-05+0.00026031i,-1.7173e-07+0.00021624i,0.00025555+2.274e-05i
0.0023318+0.00073373i,0.0036273-0.00095026i,0.0036155-0.0026614i,0.0011926-0.0021366i,-0.00040825-0.0013145i,-1.6884e-05+0.00017316i,6.7285e-05+0.0008804i,0.00058307+0.0003354i,0.0014648+0.00056402i,0.0010783+0.001482i,0.00092469+0.0020204i,0.0012845+0.0015754i,0.00086164+0.00093249i,-5.3149e-05+0.00085506i,-4.5314e-05+0.00069233i,-8.3248e-06-0.00024352i,-0.0001683-0.00034726i,-0.00045077-1.1009e-06i,-0.00028906-7.2387e-05i,-0.00010821-2.4395e-07i,-0.00028502-0.00026209i,0.00024733-0.00042199i,0.00060258-0.00019617i
0.0012912+0.0011709i,0.0028156+8.2337e-06i,0.0023819-0.00089658i,0.0010002-0.0018338i,0.0014272-0.0018042i,0.0014426-0.0014943i,-0.00015077-0.0008841i,-0.00045177+0.00043861i,0.00052822+0.00020486i,0.00097686-0.0010979i,0.00076919-0.00099119i,-0.00039767+0.00021268i,-0.00071711+0.00037229i,-0.00049014+1.2465e-05i,0.00010679-0.00029713i,0.0018645-0.00010313i,0.0017945-0.00045087i,0.00036281-0.0011337i,0.000635-0.0010058i,0.00050967-0.00042501i,-0.00068218+2.0245e-06i,-0.0009239-0.00024901i,-0.00038602-0.00057305i
0.0036105+0.00069173i,0.0052967-0.00036522i,0.0044996-0.0015636i,0.0022881-0.0019308i,-0.00020027-0.0011713i,-0.0013271-0.00055642i,-0.00071924+0.00069396i,-0.0010423+0.0015346i,-0.00099431+0.001048i,-0.001008+0.0005259i,-0.0016444-0.00016828i,-0.00067385-0.000493i,4.3076e-06+0.0001154i,-0.00062679+0.001396i,-0.00074962+0.00097789i,-0.00022214-0.00051946i,-5.3026e-05-0.00093759i,-0.00034671-0.00077478i,0.00021274+1.5837e-05i,0.0014267+0.00016341i,0.00093233-7.4564e-05i,9.4112e-05-0.00030078i,0.00017972-0.00032447i
0.005052+0.0030657i,0.0054757+0.001283i,0.0038453-0.0019943i,0.0016984-0.0035866i,-0.00030339-0.0032957i,-0.0016437-0.0019363i,-0.0015466-0.00017737i,-5.6632e-05+0.0011676i,0.0011797+0.0017529i,0.00093778+0.002267i,0.00060219+0.0013644i,-0.00034432-0.00020255i,-0.0012656-0.00052132i,-0.0010606-0.00031565i,-0.00067527+0.00048747i,-3.5216e-05+0.0010956i,-0.00012583+0.00061682i,-0.0001997-2.4567e-05i,-9.85e-05-0.00022776i,-0.00037999-0.0001779i,-8.5364e-05+3.2342e-05i,0.0002982-0.00039899i,0.00020783-0.0004911i
0.001612-0.00065764i,0.0036347-0.0022273i,0.0024737-0.0041317i,-8.6199e-05-0.0035624i,-0.00037933-0.0016476i,0.0010447-0.00046198i,0.0015417-6.0338e-05i,0.0017294+0.00044419i,0.0011453+0.00027261i,0.00032291-6.5505e-05i,-3.0627e-05+5.0833e-05i,-6.7179e-05-0.00036604i,0.00010061-9.0244e-05i,0.00051333+0.0007321i,0.0010587+0.0011273i,0.00065544+0.0005417i,-3.1686e-06-0.00054261i,0.00020496-0.00095844i,0.0005199-0.00081137i,0.00052584-0.00046525i,-0.00070432-0.00041957i,-0.0013232-0.00025917i,-0.00032385+0.00018905i
0.0026781+0.0031696i,0.0042003+0.0019125i,0.0039386-0.00099995i,0.00244-0.0011006i,0.00020593+0.00048828i,-0.0012629+0.00079395i,-0.00086295-8.2193e-05i,-0.00010502+0.00011782i,-0.00029236+0.00070603i,-0.0007909+0.00097839i,-0.001135+0.00082372i,-0.0010502-0.00019383i,-0.0012852-0.0011543i,-0.00067882-0.001515i,0.00065733-0.0011132i,0.00072893-0.001092i,-5.4261e-05-0.001327i,-0.000413-0.00077538i,0.00021464-0.00079323i,0.00079718-0.0016587i,0.00026226-0.0017972i,2.7973e-05-0.0015756i,-9.4736e-05-0.0011923i
0.0017502+0.001779i,0.0034395+0.00054364i,0.0039358-0.0014604i,0.0025125-0.001382i,0.00056148-0.00083041i,0.00029762-0.0010436i,0.0011285-0.00049216i,0.0015567+0.0012757i,0.0014897+0.0017134i,0.00027772+0.00092613i,-0.00043177+0.00081662i,-8.0444e-05+0.00099351i,0.00037422+0.00023414i,-0.00014891-5.5258e-05i,-0.00012159-0.00019848i,0.00016066+1.5017e-05i,-0.00059698+0.00039894i,-0.00096061+0.00074105i,-0.00021145+0.00095663i,0.00055432+0.00060625i,0.00035444-5.5641e-05i,-0.00017929-0.00045059i,-0.00088502+8.2097e-05i
0.003555+0.0029576i,0.0043713+0.0010771i,0.0044254-0.00069544i,0.0021249-0.0011315i,0.00019527-0.0013016i,0.00028203-0.00095729i,0.00077768-0.00027622i,0.00062214+0.00062783i,0.0014215+0.00096219i,0.0017208-0.00017021i,0.00024559-0.0011866i,-0.00075511-0.0011214i,-0.0011415-0.00063043i,-0.001546-0.00057524i,-0.0013389-0.00050087i,-0.00051016-0.00030626i,0.00032889-0.00048445i,4.2986e-05-0.00099173i,-0.00018384-0.00047941i,8.6449e-05+0.00063873i,-0.00046231+0.00065864i,-0.0001356+0.00024729i,0.00043728+0.00030912i
0.00028484+0.0030111i,0.0020557+0.0014804i,0.0029988-0.00035901i,0.0022283-0.0007104i,0.0003256-0.00034148i,-0.0011127+3.4185e-05i,-0.0012039+0.0012266i,-0.0010204+0.0017268i,-0.00068923+0.0010002i,-0.00039423+0.00076159i,-0.00056454+0.00068084i,-0.00082263+0.00052299i,-0.0011103+0.00023918i,-0.0011759+0.00010684i,-0.00063359-0.0003697i,-0.00076317-0.0009417i,-0.001347-0.0013384i,-0.00054022-0.00062635i,0.00035756+0.00019805i,-0.00031584-0.00033515i,-0.00085034-0.00036314i,-0.00051532+0.00024107i,0.0001605+0.00011632i
0.0010289+0.001585i,0.0010651-0.00043256i,0.0015106-0.0017583i,0.0018304-0.0016211i,0.0021756-0.00085041i,0.0024206-0.00080642i,0.0010997-0.00023393i,-0.0003012+0.0011311i,-3.819e-05+0.0011358i,0.0007664+0.00077131i,0.0011981+0.00060666i,0.00092898+0.00085412i,-0.00013633+0.0009392i,-0.00084818+7.865e-05i,-2.7712e-05-0.0010576i,0.00076558-0.0014496i,-0.00036071-0.0012783i,-0.0014992-0.00096887i,-0.0010415+3.5643e-05i,-0.00051854+0.00080715i,-0.0009919+0.0007023i,-0.0016012+0.0005i,-0.0011477+0.00064379i
0.0026413-0.0022779i,0.0025807-0.0047627i,0.0012044-0.005016i,-0.00045839-0.0020524i,-0.0015521-0.00055852i,-0.0013943-0.00025597i,-0.0012315+0.00052957i,-0.00049666+9.1866e-05i,0.00063838-0.00058054i,0.00013586-0.00054969i,-0.00083555+0.00029757i,-0.00050316+0.0014628i,0.00024779+0.0012496i,0.0011696+0.00039058i,0.0016148+0.00068074i,0.00096415+0.00070197i,0.00010923-0.00053515i,-0.00065431-0.00084902i,-0.00074116-8.4228e-05i,-0.0001337+0.00034544i,3.4971e-05+0.00025598i,-0.00026803-0.00024324i,-0.00090929+0.0001467i
0.0021997+0.00086274i,0.0029589-0.0013931i,0.0028816-0.0022559i,0.002586-0.0013347i,0.00061688-0.0015164i,-0.00069238-0.0023227i,0.00035205-0.0011064i,0.00014737+9.5103e-05i,-0.00069935+0.00042113i,-0.0013872+0.00017538i,-0.0014173+0.00038698i,-0.00023368+0.00016025i,0.00047555-0.00062243i,0.0002791-0.00047423i,0.00053732-0.00026115i,0.00082969+8.7627e-05i,-3.6211e-05+0.00015252i,-0.00096323-0.00028416i,-0.0011253+7.4249e-06i,-0.0013132+0.00039732i,-0.00074871+2.5137e-05i,0.00018789-0.00023731i,0.00020275-5.9141e-05i
0.0029455+0.00053404i,0.0050799-0.00098657i,0.0054985-0.0023442i,0.0046477-0.0024726i,0.0029575-0.0023015i,0.0014052-0.0025716i,0.0005058-0.00062769i,0.00033495+0.0011994i,0.00086979+0.0012531i,0.00024877+0.0013744i,-0.00087937+0.001589i,-0.00066499+0.0010888i,-0.00054064+0.0006383i,-0.00076299+0.00010029i,0.00027123-0.00069273i,0.00034751-0.0009412i,-0.00066234-0.00083936i,-0.00070144-0.00087465i,-0.00055889-0.00050211i,-0.00071417+0.00036589i,-0.00061878+0.00044065i,-9.2105e-05-0.00017506i,0.00062132+0.00027737i
0.0043377+0.0012835i,0.0060633-0.00088189i,0.0041857-0.0030561i,0.0013107-0.0029569i,-0.00038283-0.0020997i,-0.0005091-0.001244i,9.042e-05-0.0002832i,0.0011635+0.00024221i,0.0021004+0.00075163i,0.0012659+7.2251e-05i,0.00045265-0.00019422i,-0.00030264+0.0010412i,-0.00026536+0.001295i,0.00015159+0.0004406i,0.00031782+3.9862e-05i,0.00070569-0.00017898i,0.001059-0.00058855i,0.00088557-0.0006455i,0.00073206-2.3766e-05i,0.00039775+0.00019154i,-0.00033595+8.0582e-06i,-0.00091845+2.6978e-06i,-0.00057431+0.00098899i
0.0039971+0.0030016i,0.0052233+0.00077364i,0.0045336-0.0031499i,0.001859-0.0048057i,-0.00041875-0.0037662i,-0.0008949-0.0015889i,-0.00096707+0.00030772i,-0.00057779+0.00076064i,-0.00022976+0.00019404i,-0.00093839+0.00058498i,-0.0014119+0.00072859i,-0.0014994-0.00023468i,-0.0014483-0.00087758i,-0.00081261-0.00089377i,0.00046316-0.0002922i,0.00046104-0.00084705i,0.00021388-0.0017113i,-0.0001067-0.001672i,-0.00075306-0.00092082i,-0.00093957-5.802e-05i,-0.00072894+0.00059157i,-0.00076997+0.0012154i,-0.00058573+0.0011109i
0.0029502+0.00027278i,0.0033085-0.0015268i,0.0020322-0.0042136i,-0.00071447-0.0026867i,-0.0010121+4.5918e-05i,0.0008253+0.00087643i,0.0012903+0.0012528i,0.00093441+0.0014921i,0.0011054+0.0013025i,0.00055042+0.0013638i,-0.00062925+0.0017714i,-0.00047746+0.0019629i,-0.00054161+0.0018629i,-0.00091358+0.0013765i,-0.00044148+0.00023029i,-0.00066313-0.00030607i,-0.00079958-0.00052495i,-0.00096641+0.00014598i,-0.00062394+0.00050907i,0.00076474-0.00071082i,0.00032802-0.001064i,-0.00091941-0.00040991i,-0.0007682+0.00019502i
0.00077831+0.0023371i,0.003127+0.0011732i,0.0039018-0.0014426i,0.0025591-0.0025439i,0.0013183-0.002098i,0.0018837-0.0015012i,0.0013683-0.00020189i,-0.00020996+0.00070838i,-0.00055181+0.00064384i,5.3651e-05-0.0004117i,0.00011081-0.0012308i,-0.00014375-0.0008779i,0.00019957-0.00042098i,0.00077824-0.00052789i,0.00073593-0.00064154i,0.0003125-0.00056199i,0.00039124-0.00056862i,-5.849e-05-0.00036652i,-0.00064344+0.00014093i,-0.0006941-0.00030259i,1.6965e-05-0.00077269i,0.0012318-0.00054527i,0.0011469-5.0638e-05i
5.8699e-05+0.0028296i,0.0025977+0.0011497i,0.0054194-0.00075173i,0.0047817-0.0010462i,0.0031556-0.00071313i,0.0018261-0.00079264i,0.00049846-0.0011231i,-0.00016651+4.7526e-05i,-0.00069979+0.00039565i,-0.0011997-0.00053313i,-0.0013182-0.00045053i,-0.00066842-0.00028519i,-0.00025946-0.00055357i,-0.00015106-0.0015834i,0.00089254-0.0017462i,0.0003568-0.0011456i,-0.00069239-0.00078464i,-0.0011562+0.0003514i,-0.0014182+0.00072543i,-0.00088688+0.00038047i,-0.00043761+6.5493e-05i,-3.9034e-05+0.00060135i,0.00082083+0.0012954i
0.0032658+0.0015802i,0.0032638-0.00038985i,0.0023965-0.0020077i,0.00022319-0.0015503i,-0.0016062-5.9461e-05i,-0.0013792+0.00068191i,-0.00092811+0.00079335i,0.00011953+0.00095986i,0.0014121+0.0012631i,0.00071896+0.0018669i,1.2401e-05+0.0017255i,-0.00078275+0.0010079i,-0.001437+0.00062001i,-0.0014309+0.00041763i,-0.00095622+0.00094839i,-0.00093206+0.0006293i,-0.0016066-0.00014402i,-0.00062244+0.00013438i,5.0167e-05+0.00025653i,-8.8935e-05+5.6398e-05i,0.00017274-0.00017349i,-2.5616e-06-0.00042876i,-0.00051134-0.00011924i
0.0016071+0.001373i,0.0034351-0.00087344i,0.0029197-0.0039734i,0.0014044-0.0055308i,-0.00046451-0.0039867i,-0.0011935-0.0016625i,-0.00081678+0.00024858i,-0.00048023+0.00061932i,0.00075306-0.00023653i,0.00086983-0.0008876i,0.00046243-0.00058369i,0.00030308-2.9622e-05i,0.00024007+0.00016952i,0.00029761+0.0010442i,7.3538e-06+0.0015596i,0.00026169+0.00084693i,0.00081713-0.00012809i,0.00084748-0.00020671i,0.00058335+1.1875e-05i,-0.00021545-0.00025304i,-0.00069093-0.00032365i,-0.0007218+9.9743e-05i,-0.0010024+0.00085292i
0.00063995+0.0018927i,0.0018836-0.00033064i,0.0029529-0.0027403i,0.0031864-0.0030553i,0.00215-0.0014515i,0.0004117-0.00039154i,-0.00091839+0.00028207i,-0.00081675+0.0010872i,0.00024636+0.00048446i,0.00016062-0.00057275i,-0.00037893-0.00059064i,-0.00028986-0.00047766i,-3.3432e-05-0.00080944i,-0.00051978-0.00091499i,-0.00067852-0.000827i,0.00018914-0.0010064i,0.00080479-0.00068586i,0.00030154+9.2442e-05i,-0.00060875+0.00046405i,-0.00097113+0.00034004i,1.5364e-06+0.0004422i,0.00025377+0.00043962i,-8.6883e-05+4.2226e-05i
0.0011052-0.00044752i,0.0019995-0.00091472i,0.0022345-0.0017311i,0.0011874-0.0014619i,-0.00030657-0.00070819i,-0.00010177-0.00017197i,0.0003075+0.000518i,9.2325e-05+0.0014365i,0.00013513+0.0016412i,0.00039587+0.0015479i,0.00025934+0.0012963i,-0.00056576+0.0011211i,-0.00084194+0.0011552i,-0.00047199+0.00053052i,-5.0668e-05-0.0007042i,0.00072101-0.00037867i,0.0003229+0.00082528i,-0.00053584+0.0018588i,5.337e-05+0.0021548i,0.00072858+0.00030378i,0.0012456-0.00081317i,0.00090112+4.2173e-05i,0.00020927+0.00091274i
0.0022141+0.0034831i,0.0043932+0.0013274i,0.0047549-0.00078755i,0.0040044-0.0022593i,0.0027894-0.001832i,0.0013327-0.0016104i,0.00060532-0.00093254i,0.00082538+0.00030446i,0.0011616-0.00022782i,0.0010539-0.00036619i,0.00069384-0.00086166i,0.00040584-0.001539i,-0.00021046-0.0014126i,7.3122e-05-0.00044319i,0.00049729-0.00035409i,0.00059906-0.0013043i,0.00059037-0.0011129i,0.00038649-0.00013735i,-0.00040605+1.2327e-05i,-0.00059369-0.00014077i,-0.00018365-0.0001903i,-0.00014607+0.00017422i,-0.00015744+6.3415e-05i
-9.2953e-06+0.001523i,0.0016147-0.00033474i,0.0011084-0.0013527i,0.00015418-0.00052431i,9.0311e-05-0.0002969i,-0.00034164-0.00064688i,-0.00087669-4.3444e-05i,-0.00038716+0.0009626i,-5.6609e-05+0.001081i,-0.00021787+0.00041397i,-0.00011838-0.00051416i,0.00025298-0.00072152i,0.0005397-0.0011966i,0.00034717-0.0012159i,0.00033919+6.0064e-05i,0.00073449+0.00012398i,0.00059209-9.3019e-05i,-4.6872e-05+0.00069419i,-0.0006666+0.0008665i,-0.00064258+0.00083203i,-0.00028052+0.00064084i,-0.00071351+0.0008158i,-0.00094923+0.00068051i
0.0025041+0.0011356i,0.0033398-0.0020497i,0.0032038-0.0041693i,0.0017047-0.0030146i,0.00077833-0.0010232i,2.6379e-06-5.308e-05i,-1.8633e-05+0.00048815i,0.00023999+0.0018209i,0.00082004+0.0019478i,0.00050162+0.001275i,-0.00018206+0.0012426i,-0.00044716+0.00063383i,-0.00081121-6.4552e-05i,-0.00042782+0.00013196i,-0.0005055-2.0217e-05i,-0.00038944+8.5059e-05i,-0.00026346-0.00019245i,-0.00011522-0.00035742i,0.00011746-7.1627e-05i,-0.00037607-0.00051714i,-0.00035825-0.00062765i,-0.00024928-0.00029921i,-0.00060032+0.00036078i
0.0041055+0.0011903i,0.0051535-0.0013198i,0.0044877-0.0046663i,0.0023023-0.0062951i,0.00075452-0.0047627i,-0.0001056-0.0026987i,-8.2292e-05-0.0009161i,0.00060503+0.000639i,0.00045028+0.00076675i,0.00014131+0.00046467i,-0.00019507+0.00015378i,-0.00043165+0.00029242i,-0.00041072+0.00032721i,-0.00064086+0.00030684i,-0.00040665+0.00060219i,0.00034606+0.0008599i,8.3245e-05+0.00076674i,-8.5437e-05+0.00067625i,0.00049437+0.0012874i,0.0004766+0.0012815i,-1.2812e-05+0.00061343i,0.00018077+0.00034307i,0.00043796+0.00062756i
0.0039559+0.0022076i,0.006154+0.0010082i,0.0056367+0.0002419i,0.0022656+0.001077i,0.00019428+0.0014729i,0.0002923+0.00076865i,0.0013305+0.00057937i,0.0015866+0.00091082i,0.00073209+0.00067741i,0.00036587+0.00075664i,2.6465e-05+0.00040045i,0.00035475-2.9907e-05i,0.00034449-0.00026663i,-0.00011107-9.6362e-06i,-9.1295e-05+9.6723e-05i,-0.00031055-3.0377e-05i,-0.00088648+0.00014735i,-0.00089937+0.00027457i,-0.00039211+6.0951e-05i,-2.6342e-05-6.1542e-05i,-0.00049869+0.00062526i,-0.0011357+0.0010445i,-0.0017649+0.00044315i
