-0.0020911+0.001143i,-0.0012159+0.0016729i,8.1064e-05+0.0012315i,0.0011699-0.00029384i,0.001904-0.0013625i,0.0021807-0.0013704i,0.00079714-0.001169i,7.3199e-05-0.0010773i,0.00043328-0.00090024i,0.00097449+0.0001692i,0.00044758+0.00090671i,-0.0001673+0.00075269i,0.00049417-4.4656e-06i,0.00079842-0.00019748i,-0.00023058+0.00044475i,-0.00015285+0.00024678i,0.0002635+0.00021682i,-0.00016915+0.00012479i,-0.00052332-0.00025945i,0.0003909-0.00042976i,0.00057792-0.00014352i,-0.00017943-0.00010334i,-0.00024717-3.2037e-05i
-0.0020797-0.00057529i,-0.0027177-0.0016114i,-0.00043838-0.0010695i,0.00053339-2.6397e-05i,0.00020621+0.00023354i,0.00082434+0.00062828i,0.00094257+0.0015975i,0.00064128+0.0020427i,0.00022703+0.0013122i,-0.0001464+0.00084636i,-0.00053726+0.00016822i,6.2954e-06-0.00077165i,0.00082716-0.00097807i,0.00099507-0.00081659i,0.0011667+2.8825e-05i,0.0011695+0.00026334i,0.00047107-0.00027597i,-0.00039926-0.00060605i,-0.00092185-0.00034039i,-0.00063058-0.00063118i,1.1857e-05-0.00089281i,0.00035769-0.00018814i,0.00010801+8.2488e-05i
-0.0012752+0.00063154i,-0.00073983+0.0012488i,0.00051592+0.0016253i,6.2963e-05+0.00079033i,-0.00021129+1.1492e-05i,6.3678e-05+0.00042153i,-4.5953e-05+0.00059915i,-0.00042738+0.00088952i,-0.00026873+0.0013095i,-0.00013362+0.0007909i,-3.0846e-06+0.00033441i,0.00030877+0.0001803i,-7.012e-05+0.00010854i,-0.00012707+0.000385i,0.00046846+0.0010156i,0.00057475+0.00088507i,5.2167e-05+0.00052083i,-0.00052972+0.00012073i,-0.00089417-0.00034779i,-8.7425e-05-0.00059856i,0.00069098-0.001286i,1.8032e-05-0.00073484i,-0.00075322+0.00016785i
-0.0019918-0.00089338i,-0.0013656-0.0017855i,0.00045675-0.0010263i,0.00050847-0.00011334i,-9.5607e-06-0.00036412i,0.00022941-0.00058392i,0.00065272-0.00019314i,0.0006834+0.00012128i,0.00085376+0.00015848i,0.00070409+0.0001944i,1.5867e-05+0.00063469i,-0.00031726+0.00058252i,-0.00012621+0.00027575i,-0.00011287-4.8567e-05i,-0.0006732-0.00024824i,-0.00093792-0.00027779i,-0.00076499+0.00027019i,-0.00090699+0.00059339i,-0.00094543+3.6009e-05i,-0.00027717-0.0004627i,7.0414e-05-0.00049776i,-4.2128e-05-0.00045828i,0.00072064-0.00074794i
-0.0036082+7.1531e-05i,-0.0031315+0.0011871i,-0.0019172+0.0022404i,-0.0011448+0.0021551i,-0.00043506+0.00076868i,0.00022811-8.6558e-06i,0.00029182-2.4885e-05i,0.00080283-0.00011832i,0.0005785-0.00012515i,0.0001802+1.1548e-05i,0.00034287+0.00024685i,0.00065704+4.5483e-05i,0.00068404-0.00029376i,0.00043939-0.00024743i,0.0004588+3.678e-06i,0.00094196+6.6675e-05i,0.00044803-1.5495e-05i,-9.5976e-05-0.00022341i,-0.00038727-0.00031287i,-0.00045306+0.00027893i,0.00022088+0.00049301i,0.00026239+0.0001419i,0.00030854+0.00062923i
-0.0025719+0.00091251i,-0.0018124+0.00098816i,-0.00042962+0.0011093i,0.0011091-0.00022722i,0.0020472-0.0010364i,0.0015695-0.00069903i,0.0008741-1.9938e-05i,5.6555e-05+0.00090606i,-2.2066e-05+0.0012737i,0.0011132+0.00029636i,0.0010992-0.00032775i,0.00010056+0.00036685i,-0.00023046+0.0006641i,-0.00088138+0.00018482i,-0.0014418-0.00038684i,-0.0012132-0.00013643i,-0.00059569+0.0007586i,3.2876e-05+0.001292i,-9.578e-06+0.0010155i,-0.00036556+0.00053635i,-5.1873e-05+0.00027172i,0.00032192-0.00012249i,0.00047685-0.00079074i
-0.0026952-0.00097565i,-0.0021458+0.00025041i,-3.4512e-05+0.00069658i,0.0011295+0.0010894i,0.0013544+0.0010553i,0.0013846-0.00032103i,0.0012032-0.00099271i,0.00087065-0.00037738i,0.00034446+0.0002153i,0.00014708+1.7237e-05i,0.00036235-0.00036001i,0.0004791-0.00033393i,1.758e-05+0.0001604i,-0.00032961+0.00050656i,0.00025997+0.00025705i,0.00069841+0.00065921i,0.00026128+0.0012812i,-0.00052003+0.00068864i,-0.000493+0.00053977i,5.1986e-05+0.0011653i,0.0002652+0.0010763i,8.7025e-05+0.00064795i,-5.6016e-05+0.00014747i
-0.0013743+0.0011967i,-0.001162+0.0012018i,-7.9405e-05+0.0012501i,0.00067604+1.1737e-05i,0.00030532-0.00093399i,-0.00024191-0.00087168i,-0.0007357-0.00043854i,-0.00058963+0.00033618i,-3.9939e-05-4.7882e-05i,0.00063375-0.00046728i,0.0012702-9.4257e-05i,0.0012307+0.00011303i,0.0004893-0.00027621i,-0.00013555-0.00039477i,1.968e-05+0.00019283i,0.0003856+0.00028754i,-0.00036535+0.00053055i,-0.0008021+0.00073424i,-0.00021961-4.3738e-05i,0.00028514-0.00031142i,-1.6736e-05+2.2929e-06i,-0.00059136+0.00014074i,-0.00011591-4.6971e-05i
-0.0012774+0.00023494i,-0.0022641+4.3216e-05i,-0.0013475+0.0003016i,-4.9976e-05+5.0915e-06i,-0.00010798+0.00059199i,0.00056325+0.0015034i,0.001326+0.0013276i,0.00042004+0.00075355i,4.0053e-05+1.6509e-05i,-8.2207e-05-0.00020624i,-0.0003452+1.8007e-05i,-0.00018027+3.6226e-05i,-9.3752e-05+0.00046595i,-0.00021048+0.0011002i,0.00038696+0.0010766i,0.00072578+0.00022495i,0.00036047-0.00022517i,0.00015869-2.3036e-05i,0.00045143-0.00024974i,0.00065217-0.00054356i,0.00016593-0.00045448i,-0.00027071-0.0004422i,-0.00018293-0.00064851i
-0.0010763+2.4199e-05i,-0.0010983-0.00044202i,-0.00070297-0.0011455i,-0.00046887-0.0011039i,-0.0002241-0.0010929i,-0.00025865-0.00053944i,-0.00024776-0.00036014i,0.00012718-2.2103e-05i,0.00053842+0.0010441i,0.00049576+0.0004887i,0.00025761-0.00015565i,0.00021831-0.00018216i,0.00056923+2.5499e-05i,8.8358e-05+0.0005106i,-0.00046958+0.00062538i,6.5816e-05+0.00083599i,0.00052012+0.00026226i,0.00030418-0.00028563i,0.00072937+0.00038496i,0.00052174+0.00038325i,-0.0007044-0.00017914i,-0.00066349-0.00026421i,-0.00033481-0.00022707i
