-0.0029108+0.0011778i,-0.0014864-0.00073701i,-0.0013848-0.0011824i,-0.00013751-0.00050557i,0.00081884+0.00033243i,-8.4356e-05+0.0012057i,-0.00063591+0.0014093i,-0.000167+0.0017037i,0.00056418+0.0016129i,0.00062539+0.0010293i,0.00065215+0.0007048i,0.00095952-0.00015253i,0.0004332-0.00012763i,-7.0077e-05+0.00036648i,6.6235e-05-5.8349e-05i,-0.00020403-0.00011537i,-0.00011154+0.00010897i,3.9094e-05-0.00033976i,-0.00049204-0.00078044i,-0.00058304-0.00070587i,5.541e-05-0.00023758i,0.00034436+0.00017098i,0.00010823-0.00062607i
-0.0012073-0.0049085i,-0.00036146-0.003307i,-0.0008909-0.00048204i,-0.00025875+0.0015969i,0.00070868+0.0015589i,0.0010581+0.0007633i,0.00022953+0.0002517i,-0.0011293+0.00065722i,-0.0015962+0.0015353i,-0.0015763+0.0014547i,-0.0014862+0.0010745i,-0.00087249+0.0012871i,-0.000584+0.001494i,-0.00027408+0.00062022i,0.00053119+0.0003517i,0.00065017+0.00064797i,0.0010698+0.00027378i,0.00086717-0.00042622i,0.00018356-0.00023832i,0.00044256+0.00026655i,0.00039616+8.2316e-06i,0.00053491-0.00039916i,0.00055156-0.0010797i
0.0016628-0.0018606i,0.0027935-0.0013113i,0.0023686+0.00023487i,0.0016009+0.00064959i,0.0014282-0.00065345i,0.00047808-0.0016112i,-0.00069435-0.0010382i,-0.0011296+0.00028046i,0.00011962+0.0011779i,0.00057235+0.0016226i,-0.00060241+0.0014855i,-0.0013866+0.0010658i,-0.00042094+0.00075964i,0.00061301+0.0010391i,0.00040197+0.00092693i,0.00071945+0.00059464i,0.00055026+0.00074231i,0.0002958+0.00049026i,0.0011348-6.8876e-06i,0.0013773-0.00015583i,0.0006553-0.00042707i,0.00034789-0.001118i,0.00058027-0.0012574i
-0.0021034+0.0011155i,-0.0009806-0.00076416i,0.00088134+9.5499e-05i,0.0019661+0.0018151i,0.0029941+0.0012257i,0.0025079-0.0008359i,0.0012118-0.0010287i,0.0010732+0.00048125i,0.0013586+0.00062566i,0.0012065+0.00023332i,0.00024787+0.00015621i,8.8353e-05+0.00066975i,0.0007563+0.0010674i,0.00059921+0.00051612i,0.00072557+0.00027983i,0.00101+0.00031876i,0.00089803-8.6483e-05i,0.0007543+2.8705e-05i,0.00055695+0.00010244i,0.00042811+0.00012206i,0.00011263+0.00046472i,-4.236e-05+0.00021726i,9.3321e-05-0.0010502i
-0.002737-0.0015195i,-0.0016883+0.00013689i,-0.0012576+0.001425i,0.00093869+0.0025119i,0.0023636+0.0022325i,0.0017659+0.00088631i,0.00045975-0.00038441i,0.00049323-0.0015072i,0.0010324-0.0015298i,0.0010373-0.00095366i,0.0011157-0.00026485i,0.0014378-0.00013475i,0.0016557-0.00053592i,0.00083445-0.0004452i,0.00053164-0.00029457i,0.00085136-0.00017606i,0.00036161+0.00014315i,0.00037057+0.00065263i,0.0005814+0.00059404i,0.00050946+5.8941e-05i,-7.0167e-05-6.0358e-06i,-0.00047439+8.2712e-06i,-0.00056644+4.0318e-05i
0.0016585+0.0017431i,0.00053342+7.6913e-05i,0.0009377-0.00046981i,0.0023618+0.00091545i,0.0025861+0.00091254i,0.0019394-0.00065919i,0.0011226-0.0014582i,0.00059278-0.0020512i,0.000654-0.002894i,0.00038609-0.0026194i,0.00025647-0.0014085i,0.0015616-0.00028861i,0.0018144-0.00028546i,0.0006535-0.00076547i,-6.7909e-05-0.00030219i,0.00033026+0.00017588i,0.00045162-0.00021953i,0.00052036-0.00029371i,0.0012214-0.00048197i,0.001193-0.00069433i,0.00069894-0.00021734i,0.00033574+0.0001509i,7.4221e-05+0.00013395i
-0.0017054-0.001293i,-0.0021682+0.00036224i,-0.0029637+0.00053391i,-0.00041408+0.00075512i,0.0015686+0.00094552i,0.00080137-6.9574e-05i,-0.00035064-0.0013447i,-0.001228-0.0025796i,-0.0017574-0.0033136i,-0.001673-0.0018957i,-0.00099726+0.00014164i,0.00051479-0.00046599i,0.00090327-0.0017449i,0.00013593-0.001878i,0.00017651-0.0010016i,0.00010983+0.00015851i,-4.0081e-05+0.00082943i,0.00019623+5.0111e-05i,0.00023165-0.0011914i,0.00010486-0.00093465i,-8.781e-05-0.00041714i,-0.00068948-0.00017071i,-8.1603e-05-0.00028341i
0.0046795-0.0032388i,0.0016755-0.0025977i,-0.00030509-0.0014871i,0.0011347-0.001191i,0.0020883-0.00082212i,-4.7983e-05-0.00090511i,-0.0014554-0.00089335i,-0.001918-0.00098048i,-0.0027524-0.0018463i,-0.0020383-0.0021709i,-0.00030036-0.0014803i,0.00054179-0.00097836i,0.00048419-0.0008894i,-1.0515e-05-0.00035451i,0.00017552+7.8652e-05i,0.00033522+0.00018272i,0.0001917+0.00038501i,0.00040661+0.00061122i,0.00047884+0.00029512i,-1.1227e-05-0.00039616i,0.00023845-0.00063475i,0.00051036-0.0007201i,0.00033312-0.00037202i
0.00012593-0.0022964i,-6.8216e-05-0.00027539i,-7.631e-05+0.00094366i,0.001728+0.0010183i,0.0025449+0.00054947i,0.0015612-0.00036576i,-0.00067194-0.00081553i,-0.0019428-0.0011879i,-0.0031731-0.00091175i,-0.003836+0.00060227i,-0.0024372+0.0012313i,-0.0011334+2.7929e-06i,-0.0003917-0.00019064i,-6.897e-05+0.00029399i,-0.00065549+0.00012226i,-0.00039597+0.00015058i,-0.00032429+0.00022114i,-0.00040567-0.00021453i,-0.00040397-0.00029672i,-0.00072495-0.00036134i,-0.00029621-0.00014638i,0.00027592+0.0006338i,2.0918e-05+0.0002166i
0.00099453-0.0025412i,0.0024903-0.0017152i,0.0030898-0.00039706i,0.0034764+0.0011651i,0.0041665+0.00072916i,0.0032108-0.00066869i,0.00073814-0.00072281i,-0.0016276-0.00010563i,-0.0023812+0.00060503i,-0.0016774+0.00079609i,-0.00072633+0.00051114i,-0.00042818+0.00080754i,-0.00064388+0.0013089i,-0.0010767+0.0011086i,-0.00059207+0.00094091i,0.00043686+0.00092689i,0.00081302+0.0007889i,0.00054524+0.0010578i,3.1005e-05+0.00060397i,-0.00012906+0.00013459i,0.00030907+0.00013219i,0.00035911-0.00038855i,0.00014667-0.0013618i
-0.0044747+0.0012678i,-0.0018317+0.00072276i,0.00035582+0.0016782i,0.0027132+0.0027384i,0.003188+0.0024361i,0.0018673+0.0012433i,0.00069455+0.00031464i,3.7588e-05+0.00082278i,-0.0010908+0.0018447i,-0.0012637+0.002553i,-0.00048826+0.0017343i,-0.0009623+0.00049869i,-0.00054222+0.00023795i,0.00067802+0.00069795i,0.00064127+0.00056453i,0.00015775+0.00049723i,0.0001568+0.00099292i,0.0007355+0.0012066i,0.0003042+0.0008591i,2.6018e-05+0.00017821i,0.00056792+0.00030248i,0.00061004+0.00023849i,0.00020486-0.0003131i
-0.002669-0.0032375i,-0.0028651-0.0042081i,-0.0016445-0.0014249i,-0.00020618+0.0010023i,0.00084613+0.0012734i,0.00065629+0.00055259i,0.00029443+0.00034074i,0.00073096+0.0014272i,0.0012162+0.0022947i,0.0010856+0.0020159i,0.00091712+0.001136i,0.00064657+0.0011802i,0.00052158+0.0014127i,0.0011356+0.0015669i,0.0012717+0.001164i,0.00073197+0.0006724i,0.00063286+0.0005909i,0.0006912-0.00061172i,0.00068918-0.00087487i,0.0010003-0.00024762i,0.00094956-0.00013657i,-3.0163e-05-0.00030686i,-0.00022765-0.00096427i
-0.0026864+0.0015098i,-0.0035399-0.00016279i,-0.002712-0.0009307i,-3.8093e-05-5.8282e-05i,0.0016173+0.00068865i,0.001426+0.00054725i,0.0017014+0.00036007i,0.0017734+0.00022155i,0.0019686+0.00055393i,0.0017354+0.00078802i,0.00046177-0.00042246i,3.7946e-05-0.00044454i,0.00060946+0.0009417i,0.00078068+0.00095878i,0.00068465+0.00030473i,0.00056476+0.00039029i,0.00038993-0.00015039i,0.00027739-0.00078115i,-6.1374e-05-0.0008479i,-0.00043832-0.00081893i,5.6578e-05-0.00047011i,0.00011684-0.00077593i,-0.00065862-0.00061269i
-0.0022238+0.00033119i,-0.003596-9.3195e-05i,-0.0034892+0.00079174i,-0.00069346+0.0020762i,0.0014468+0.001063i,0.001483-0.00063833i,0.00067855-0.00013722i,0.00075804-0.00063344i,0.00098216-0.001894i,0.00039636-0.0011573i,6.7346e-05+0.00024165i,0.00037284+0.0011033i,0.0013354+0.0010951i,0.00085239-0.00011532i,-0.0001095-0.00056494i,1.035e-05-2.8855e-05i,0.00019743-0.00044136i,9.2534e-05-0.00099967i,-7.4142e-05-0.00066236i,-0.00028718-0.000832i,-0.00025261-0.0015666i,-0.0004727-0.0013497i,-0.00037035-0.00036114i
0.0046524+0.0024312i,0.0028304+0.0031334i,0.0018977+0.0033397i,0.0032935+0.0035689i,0.0038522+0.0016948i,0.0022736-0.0013723i,0.00061423-0.0024564i,0.0005633-0.0031685i,0.00019817-0.0032816i,-0.00072264-0.0020119i,-0.00056493-0.00078495i,4.8695e-05+0.00023686i,-0.00014691+0.00062513i,-0.00055604-0.00036948i,-0.00030905-0.00057448i,-0.00010596+0.00072698i,0.00038128+0.0014568i,5.4927e-05+0.00094891i,-0.00061258-0.0005723i,0.00010583-0.001088i,0.00030678-0.00068183i,9.5623e-05-0.00012013i,0.00046483+0.0001593i
7.5236e-05+0.0019772i,0.00090218+0.0026771i,0.0012604+0.0033725i,0.0034281+0.0030311i,0.0044776+0.0013685i,0.0029224-0.00090818i,0.00089439-0.0023643i,-0.00076498-0.0027645i,-0.0013641-0.0026767i,-0.00073853-0.0019025i,-0.00018258-0.00077499i,-0.0002415-0.00027654i,-0.00022833-0.00038836i,-0.00020587+0.00028117i,-0.00061723+0.00069057i,-0.00073231+0.0003535i,-0.0001717-0.00030691i,0.00034705-0.00046333i,0.00011703-0.00028153i,-0.00051661+2.5134e-05i,-0.00083519+0.00057317i,-0.0012259+0.00082367i,-0.0010369+0.00047816i
0.0033946-0.0015278i,0.0040154+0.00059268i,0.0038706+0.0025722i,0.0043011+0.0023393i,0.0041074+0.0009179i,0.0021498-0.00080561i,-0.00063262-0.0016306i,-0.0019528-0.0018201i,-0.0022434-0.0017907i,-0.0016096-0.00043236i,-0.00017525+0.00067279i,0.00079086+9.471e-05i,0.00053111-0.00059197i,-0.00038528-4.9794e-05i,-0.00030506+0.00020771i,0.00033318-0.0004913i,0.00051778-4.635e-05i,0.0003754+0.0004554i,-0.00013767-0.00051887i,-8.4755e-05-0.001024i,-0.00018227-0.00092179i,-0.00065651-0.0010043i,-3.2681e-05-0.00031031i
0.0019205-0.0050418i,0.0018265-0.0050463i,0.0022952-0.0028232i,0.0032912-0.0012038i,0.0027298-0.00048578i,0.00023036-0.00054112i,-0.0024737-0.00040825i,-0.0035112+0.00062759i,-0.0036215+0.00091116i,-0.0024+0.00079733i,-0.0003425+0.00033657i,0.0001008-2.0821e-05i,-0.00029833-0.00028678i,6.5808e-05-0.00042469i,5.4788e-05+0.00016402i,0.00014141+0.00092176i,0.00017955+0.00066609i,-0.00025467-5.3918e-05i,5.5013e-05-0.0002612i,8.9855e-05-0.00025595i,-0.00016689-0.00013889i,0.00037593+0.00052089i,0.00099016+0.00056043i
-0.0045589-0.0041986i,-0.0032932-0.0035686i,-0.0017152-0.0014947i,6.1811e-05+0.00036738i,0.0011105+0.00086534i,0.0011589+0.00065916i,-0.00015951+0.0011983i,-0.0023321+0.0017569i,-0.0034951+0.002285i,-0.0026404+0.0020133i,-0.0010921-5.3224e-05i,-0.0009243-0.0012344i,-0.0016158-0.000408i,-0.0014539+0.00041877i,-0.00085847+0.00083585i,-0.00019769+0.00049422i,-5.2929e-05+9.9389e-05i,-0.00038134+6.7556e-05i,-0.00065608-5.7083e-05i,-0.00039003-0.00048891i,0.00046776-0.0003532i,0.00016509+0.00051337i,-0.00050781+0.00051726i
-0.0016103-0.0013615i,-0.0022591-0.0027273i,0.00012305-0.0029238i,0.0020693-0.001815i,0.0027239-0.00076837i,0.0013185-5.6552e-05i,-0.00046171+0.0019468i,-0.0007122+0.0030133i,-0.00072352+0.0028421i,-7.4067e-05+0.0023111i,0.00030107+0.0011426i,-0.00077267+0.00010196i,-0.0017224-0.00014154i,-0.0014736+3.7236e-05i,-0.00042428+0.00028997i,9.1147e-05+0.00022965i,0.00048942+0.00027018i,0.0010324+0.00056563i,0.001182+0.00073982i,0.0017612+0.00075988i,0.0014214+0.00053101i,0.00078789-0.00031858i,0.00091889-0.0013557i
-0.0017714+0.0030453i,-0.0035699+0.0015804i,-0.0032952+0.00079254i,-0.0009178+0.0012705i,0.0016975+0.0013184i,0.0029962+0.00068759i,0.0016483+0.000977i,0.0011944+0.001972i,0.0016248+0.0013374i,0.00098153+0.0002195i,0.00020241+0.0003591i,-0.00037471+0.0010504i,-0.00054947+0.0015642i,-0.00020166+0.00082447i,6.3552e-05+0.00040294i,2.9849e-05+0.00023281i,0.00014225+0.00027864i,7.6696e-05+6.5766e-05i,0.00030267+0.00018855i,0.0010121+0.00065431i,0.00087791+0.00011378i,-0.00015388-0.00097279i,-0.00062917-0.0012623i
-0.00024467+0.0039481i,-0.0011345+0.0042714i,-0.0015236+0.0042437i,-0.00022717+0.0032831i,0.0019365+0.0016548i,0.0028136-0.00010925i,0.0026579-0.0012398i,0.0028296-0.001455i,0.0031103-0.0011781i,0.0015254-0.00059761i,-2.8107e-05+0.00035651i,-0.00010451+0.0012355i,-0.00056886+0.0011369i,-0.00042815+0.00093021i,0.00022086+0.0010896i,0.00029696+0.00069366i,4.0458e-05-2.6015e-05i,-0.00027449-0.00013198i,0.00040524-0.00014655i,0.00092402-0.00050018i,0.00039809-0.00038634i,-0.00042627-0.00047597i,-0.0012782-0.00056658i
0.0022556-0.00027646i,0.0010206+0.00079633i,-3.0403e-05+0.0022399i,0.0012774+0.0032023i,0.0030791+0.0015877i,0.0028046-0.00085512i,0.0019156-0.0023172i,0.0018232-0.003027i,0.0016865-0.0026369i,0.0013146-0.0010538i,0.0008157+0.0009278i,0.00038126+0.0019472i,-0.00034654+0.0015936i,-0.00075277+0.00083337i,-0.0003738-2.4497e-05i,0.00014999+0.00038375i,-5.302e-05+0.000223i,-0.00051546-0.00070266i,-0.00048892-0.00054725i,-0.00036452-0.00031185i,-0.00017509-0.00023154i,0.00033982+0.00012697i,3.4109e-05+2.4021e-05i
0.0029377-0.00062121i,0.0032377+0.00037708i,0.0018896+0.0019309i,0.0013887+0.001712i,0.0023313-0.00015935i,0.001474-0.0015149i,0.00011886-0.0023875i,0.00037341-0.0028398i,9.4456e-05-0.0035692i,-0.00072534-0.0023051i,-0.00022278-7.6341e-05i,0.00095916+0.00076596i,0.000717+0.00081826i,-0.00052726+0.00095023i,-0.00081167+0.00054594i,-0.00038417+0.00020271i,-6.0282e-05+0.00080962i,0.00020113+0.00027629i,0.00050117-0.00037036i,0.00075183-0.00045664i,0.00027181-0.00028515i,-0.00050605+0.00037386i,-0.00047812+0.00045668i
0.00079713-0.0052851i,0.00097955-0.0034548i,0.0015412+0.00018624i,0.0026904+0.0019631i,0.0026485+0.00070214i,0.00087485-0.0016468i,-0.0013026-0.0026885i,-0.0027853-0.0023524i,-0.0027322-0.0017466i,-0.0018581-0.0011662i,-0.00082308-0.0006183i,0.00053983-0.0011383i,0.0012454-0.0015266i,0.00095302-0.00040334i,5.1842e-07+0.00039879i,-0.00037602+0.00032985i,0.00030822+0.00076359i,0.00057632+0.00067463i,0.00043433+0.00034103i,0.00070163+0.00038316i,0.0013706-2.471e-05i,0.00086589-0.00021291i,-0.000239-0.00045931i
-0.0013407-0.006582i,-0.0017448-0.0061865i,-0.0014622-0.003397i,0.0010252-0.00016516i,0.0020968+0.001132i,0.00060389-0.00047026i,-0.0018647-0.0012424i,-0.0033258-0.0012722i,-0.0039835-0.0010371i,-0.0035499+0.00032818i,-0.001513+0.00076528i,0.00023639-0.00017717i,0.00078664-0.0010847i,0.00099905-0.00045763i,0.00036336+0.00062028i,-0.00020346+0.00035043i,-1.8546e-05+0.00053674i,-0.00040921+0.00094438i,-0.00058527-8.4116e-05i,0.00028502-0.00041911i,0.00062201+0.0006535i,0.00063926+0.00064565i,0.00075802+0.00016202i
-0.00037752-3.7839e-05i,-0.00088183-0.0027143i,0.0014764-0.0028024i,0.0042429-0.0011944i,0.0042148-0.0013803i,0.00034813-0.0018253i,-0.0038062-0.00066269i,-0.0039052+0.00071172i,-0.002479+0.0019326i,-0.0013407+0.0021707i,0.00043101+0.00068322i,0.00073438-0.00049586i,-0.0002327-0.00053471i,-0.0004608-0.00077626i,0.00017442-0.0006986i,0.00025956+0.00012656i,3.6762e-05+0.00039343i,0.00051314+4.4414e-05i,0.0012474+0.00015747i,0.0010407+0.00016754i,0.00030922-0.0006108i,0.00024398-0.0011416i,1.4617e-05-0.00064142i
-0.0029781-0.002384i,-0.0050864-0.0026423i,-0.0035773-0.0021896i,-0.00040047-0.0012034i,0.0013948-0.0011465i,0.00035444-5.9393e-05i,-0.0012813+0.0016013i,-0.001964+0.0022107i,-0.0013984+0.0026988i,-0.00015617+0.0018086i,0.00017531-0.00017599i,-0.0010789-0.0010158i,-0.0012894-0.0013337i,-0.00061626-0.0019811i,-0.0011405-0.0014151i,-0.0019198+0.00019642i,-0.0011238+0.00091252i,0.00017103+0.00018844i,0.00058866-0.00094365i,0.00067225-0.0010435i,0.00057543-0.00044477i,0.00018793-0.00016041i,2.6005e-05-0.00010192i
0.0012992+0.0038347i,0.00045103+0.0027773i,2.7771e-05+0.0013158i,0.0011213+0.00069959i,0.0020967+0.00039509i,0.0020807+0.00071549i,0.0017152+0.0018335i,0.0012797+0.0025385i,0.00032055+0.0023219i,-0.00021739+0.0014284i,-7.2981e-05+0.00081695i,-0.00090696+0.00097602i,-0.0019321+0.00099975i,-0.0013522+0.00083194i,-0.00022249+0.00091381i,-0.00030933+0.0014843i,-0.00060406+0.001424i,0.00026449+0.00098187i,0.00073888+0.00080378i,0.00089468+0.0003208i,0.00045613-0.00013378i,2.0223e-06+0.00013606i,0.00014719+0.00028304i
-0.001632+0.0026765i,-0.0025581+0.0034992i,-0.0023775+0.0025276i,7.6141e-05+0.0016449i,0.0028533+0.00085342i,0.0035166+0.00039848i,0.0033914+0.00091429i,0.004146+0.0012843i,0.0037292+0.00046237i,0.0020721-0.0007973i,0.00035315-0.0011155i,-0.00066647-0.00025528i,-0.00090708+0.00026713i,-0.00071971-0.00047928i,-0.0006591-0.0012191i,-0.00040278-0.00037709i,-0.000317+0.00011653i,-0.00020158-0.00026332i,-0.00013342-0.00047391i,0.00060942-0.00039757i,0.0011093-0.0011994i,0.00094893-0.0013947i,0.00096284-0.00039135i
0.0067267-0.00021193i,0.0056475+0.0010343i,0.0031176+0.0022383i,0.0010813+0.0031914i,0.00088744+0.0023555i,0.0017486+0.00010485i,0.0028971-0.0014856i,0.0032923-0.0016397i,0.0019011-0.0019739i,0.00015382-0.0016437i,-0.0011033-0.00059289i,-0.00078938+0.00013563i,3.6805e-05+0.00080049i,0.00038232+0.00095692i,0.00030439+0.00049994i,0.00055668+0.00027486i,0.00021704-0.00052092i,0.00013787-0.0016424i,5.65e-05-0.0011847i,-0.00027601-0.00070029i,-9.4644e-05-0.00080459i,0.00017889-0.0011731i,0.0010215-0.0011027i
0.001875-0.0027362i,0.0018991-0.0028438i,0.0014657-0.0004646i,0.0012822+0.0020208i,0.0021887+0.0016206i,0.0027795-0.00078339i,0.0024724-0.0030263i,0.0013668-0.0044129i,0.00015163-0.0037154i,-0.00036069-0.0016043i,-0.00026715+0.00029941i,0.00014249+0.0014016i,0.00098481+0.0011396i,0.0011328+0.00057593i,0.00090036+0.0010107i,0.00027375+0.0012646i,-0.00028541+0.00050931i,-0.00015443-1.2777e-05i,-1.2959e-05-0.00046009i,-0.0001427-0.00069528i,-0.00026902-0.00051255i,-7.6799e-05-1.3014e-05i,0.00041042-0.00028993i
-0.0023559-0.0017526i,0.00020526-0.00040999i,0.00094303+0.001597i,0.0026096+0.0029661i,0.0045246+0.0022317i,0.003153-0.0011806i,0.00021096-0.0038123i,-0.0013834-0.0043307i,-0.002145-0.0032298i,-0.0026446-0.00078697i,-0.001551+0.00053608i,0.00030841+0.00060414i,0.00091187+0.0006507i,0.00061808+0.0002918i,-7.7772e-05+0.00019379i,-0.00051973+0.00061295i,-0.00027338+0.00035819i,-0.00029381+0.00017239i,-0.00018509+0.0005599i,0.00016277-0.00020109i,-0.00013395-0.0010555i,-8.8793e-05-0.00081246i,0.00054254+2.7623e-05i
-0.0017138-0.0015247i,-0.0023393-0.0022754i,-0.00049925+9.7097e-05i,0.0022608+0.0020609i,0.0035759+0.00066159i,0.0011551-0.0014104i,-0.0025794-0.0026652i,-0.0040415-0.0030236i,-0.0037832-0.0020208i,-0.0027162-0.00080829i,-0.00056692-0.00021729i,0.00077339-0.00030854i,0.0004029-0.00099025i,0.0002176-0.0018005i,0.00055596-0.0018506i,0.00020225-0.00086265i,-0.00039911-0.00035984i,0.00011042+0.00015811i,0.00063758+0.00032027i,0.00043408+0.0001547i,-0.00013493-0.00033248i,3.2679e-05-0.00050345i,0.00030996-2.1328e-05i
-0.0046503-0.002204i,-0.0063614-0.0023149i,-0.0051007-0.00040404i,-0.0014196+0.00084613i,0.00035764+0.00036744i,-0.0013437-0.0002899i,-0.0035344-0.00055204i,-0.0045329-0.00059016i,-0.0043949+0.00010577i,-0.0022404+0.0013172i,-0.00022271+0.0011867i,0.00035762+0.00038162i,0.00035955-0.00057021i,0.00042912-0.0012986i,7.8565e-05-0.0014995i,-0.00020765-0.00092178i,8.5264e-05-0.00077031i,0.00080339-0.0010122i,0.0014775-0.00039976i,0.0011097-0.00024853i,0.00065061-2.826e-05i,0.0003111+0.0004496i,-0.00019466+0.00038411i
0.00096098-0.0019841i,-0.00091928-0.0014425i,-0.00086579-0.0019164i,0.0008531-0.00053406i,0.00056699-1.588e-05i,-0.0016707+0.00018695i,-0.0036318+0.0017081i,-0.0036079+0.0028316i,-0.0016739+0.0022839i,-5.2235e-05+0.0014693i,0.00032809+0.0011147i,-0.00053645+0.00043782i,-0.001103-0.00023246i,-0.0010805-0.00059494i,-0.00052539-9.8598e-05i,-3.2462e-05+0.00062768i,0.00043605+0.00079399i,0.0014522-6.5204e-06i,0.0015324-0.0008848i,0.00052061-0.00057305i,-0.00020861-0.00041159i,-0.0004954-0.00065056i,-0.00056558-0.00036074i
0.00051288+0.0018396i,0.00084838+0.0030998i,0.0010384+0.0025928i,0.0021978+0.0023083i,0.0025328+0.0011741i,0.0012019+0.00014612i,-0.00059907+0.0015522i,-0.00028527+0.0030464i,0.00062229+0.0027426i,0.00050882+0.001314i,0.00014274+0.00013438i,-0.00041308+9.0059e-06i,-0.0011226+0.00028067i,-0.00080127-9.6947e-06i,-0.00064102-0.0002612i,-0.00034507-0.00037455i,0.00054616-9.5412e-06i,0.00062042-0.00011558i,0.00020921-0.00099319i,-0.00038892-0.00058727i,-0.00013456-0.00035819i,0.00036512+3.1479e-05i,1.7014e-05+0.00029549i
0.0032303-0.0015303i,0.0041336+0.00021988i,0.002896+0.0019383i,0.0027103+0.0028721i,0.0033073+0.0022325i,0.0031377+0.0014215i,0.0026163+0.0015517i,0.0027463+0.0020453i,0.0022666+0.0016545i,0.001255+0.00079054i,0.000724+0.00069875i,6.6943e-05+0.0013673i,-0.00096938+0.0015482i,-0.0012427+7.5883e-05i,-0.00079183-0.00064055i,-0.00025691-0.00066873i,-0.000113-0.00027355i,-0.00058091+0.00094336i,-0.00062487+0.0016853i,3.2369e-06+0.0015381i,0.00071493+0.0006897i,0.00042999+0.00032965i,-0.00023735+0.00058463i
-0.0016666-0.0040698i,0.00088992-0.002169i,0.00028629+0.00029567i,0.00094813+0.0019552i,0.0027954+0.0015272i,0.0034131+0.00086708i,0.0039786+0.00087901i,0.0041471-0.00037088i,0.0023452-0.0012452i,-0.00025754-0.00089918i,-0.00098784+0.00035675i,-0.00077114+0.0016931i,-0.00046222+0.0016628i,0.00011827+0.00049636i,0.00038112-0.00021267i,0.00016291-0.00087674i,-0.0001454-0.00065549i,0.00015012-6.6908e-05i,0.00056877+7.0388e-05i,0.00044657-0.0001806i,0.00033759+9.7393e-06i,0.00023731+9.1278e-05i,-0.00068777-0.00035595i
-0.0007609-0.0041943i,0.0015586-0.0052128i,0.0019553-0.0033172i,0.0017451-0.0009007i,0.003041-0.00068956i,0.003076-0.0027458i,0.0021863-0.0040274i,0.0022171-0.0039863i,0.0015585-0.0030885i,0.00028264-0.0016813i,-1.3777e-05-7.3275e-05i,0.00090768+0.0011111i,0.0018436+0.001122i,0.0010306+0.00059444i,0.00019366+0.00053496i,0.00056572+0.00041827i,0.00052832-0.00030089i,-0.00036723-0.0004623i,-0.00010642+0.00072579i,0.00084622+0.0010689i,0.0017795+0.00021675i,0.0014671-0.00027697i,0.00038144-0.0003185i
-0.0031145-0.0039697i,-0.0027466-0.0058617i,-0.0020316-0.0038983i,-0.00073271-0.000924i,0.001514-0.00025055i,0.0016128-0.0022358i,-1.1923e-05-0.0037505i,-0.0013852-0.0044246i,-0.0015766-0.0042479i,-0.0014149-0.0019845i,-0.0011552+0.00094013i,0.00015497+0.0017226i,0.0013322+0.00081829i,0.0018134+0.00041596i,0.0013477+0.00096662i,0.00088775+0.0013543i,0.0002973+0.00053366i,-0.0005517-2.8521e-05i,0.00033665+0.00038123i,0.0012187+0.0001331i,0.00018668-0.000643i,-0.00049043-0.00071577i,-7.0994e-07-0.0005985i
-0.0029151+0.0023997i,-0.0037234+0.0013865i,-0.0022509+0.0015982i,0.00039467+0.0011643i,0.0018008-0.00017259i,0.0008016-0.0017006i,-0.00059004-0.002743i,-0.0016028-0.0038138i,-0.0027331-0.0034112i,-0.002767-0.001177i,-0.0013317+0.0002957i,-0.00019991+0.00047809i,0.00029343-0.00090401i,0.00026396-0.00090965i,-9.2679e-07+0.00051002i,-0.00025163+0.0011317i,-3.1874e-05+0.00038147i,-1.4018e-05-0.00028133i,-0.00045947-5.7911e-05i,-0.00060604-0.0003058i,-0.00096008-0.00074949i,-0.00037038-0.00045374i,0.00026753+0.00013753i
0.001628+0.0035898i,-0.0013327+0.0020695i,-0.0019191+0.002415i,-0.00011508+0.0036306i,0.0026078+0.0013327i,0.00065508-0.001406i,-0.0037572-0.0013701i,-0.0051265-0.00047532i,-0.0039037-0.00066056i,-0.0019446-0.00052841i,-0.00061849-0.00047347i,0.00027937-0.0017182i,0.00036157-0.0020699i,-0.00011127-0.0014675i,0.00023519-0.00049006i,0.0010038+0.00052759i,0.00092126+0.00070516i,0.00029343+0.00020131i,4.7192e-05-0.00028105i,1.2074e-05+2.1394e-05i,-0.00055359-0.0002673i,-0.00088122-0.00066628i,-0.00034659-2.9237e-05i
0.0021322+0.0057009i,0.0010387+0.007265i,0.00040361+0.0067496i,0.002306+0.0051759i,0.003167+0.0026981i,0.00060198-0.00012961i,-0.0019887-0.00014423i,-0.0026558+0.0017404i,-0.0029165+0.0018508i,-0.0022626+0.00095453i,-0.0011665+0.00031977i,-0.00079056-0.00015071i,-0.00146-0.0001738i,-0.0014171-0.00029376i,-0.00016082-0.0005955i,0.0006077-8.7853e-05i,0.00014986+0.00012963i,8.2969e-05+2.3773e-05i,-2.782e-05+4.3689e-05i,-0.00017967-0.00031165i,-0.00018581-0.0013549i,0.00018294-0.0013047i,0.00028693+0.0002172i
