-0.0011587+0.0021646i,-0.00046808+0.00048874i,-0.0012099-0.00017436i,-0.0015942-0.0010333i,-0.001446+0.00031382i,-0.0010111+0.0014893i,-0.00031839+0.0018113i,0.00064245+0.0018104i,0.00080404+0.00092977i,0.0008613+8.5183e-05i,0.00070527-0.0001242i,0.00015925-0.00058506i,-0.00026397-0.00050155i,-0.00022677-0.00087518i,0.00059519-0.0017136i,0.00079152-0.0014535i,0.00035218-6.3389e-05i,0.00040882+0.00014442i,0.00091853-0.0013796i,0.0009588-0.0011191i,0.00044992-1.4096e-05i,0.00027447-4.1435e-05i,-0.00047291-0.0002727i
-0.0017674+0.0011661i,-0.00071449+0.0022492i,-0.00035285+0.0012397i,-0.00075401+2.7292e-05i,-0.001489+0.0012844i,-0.0020679+0.0019024i,-0.0018617+0.00068569i,-0.00015146-0.00020248i,0.00057268-0.00058712i,0.00014536-0.00082726i,-0.00040634-0.00076284i,-0.00084481-0.00088694i,0.00018974-0.00077386i,0.0016862-0.00034169i,0.0017665+9.8875e-05i,0.0013552+0.00012855i,0.00096966+4.1725e-05i,0.00067348-0.00038356i,0.0007016-0.00022098i,0.00090676+0.00015548i,0.0009836+0.00057525i,0.00086797+0.00031091i,0.00032892-0.00055316i
-0.0020779-0.0012939i,-0.0020493+0.0010914i,-0.0018502+0.0014513i,-0.00136+0.00087765i,-0.00085481+0.00015008i,2.9092e-05+0.00011301i,0.00021366+0.00032097i,9.7456e-05+0.00047331i,-0.00020367+0.0005076i,-0.00015891+2.5425e-05i,0.00066104-0.00022943i,0.00096778-0.00022545i,0.0011897-0.00037482i,0.0019245-0.00019238i,0.0013531+0.00038239i,0.00079442-0.0001741i,0.00098562-0.00054247i,0.00076572-0.0004821i,0.00037527-0.000777i,0.00037909-0.00072656i,0.00031592-0.00034364i,-0.00017477-0.00053268i,0.00044071-0.00053914i
0.0010964-0.00057214i,0.00025481-0.00051857i,-0.00089095-7.1695e-05i,-0.0018213-0.00032969i,-0.0019198-0.00065724i,-0.0016696-0.00025733i,-0.00089616+0.00036339i,0.00037363+0.00083768i,0.0011462+6.2606e-05i,0.0006716-0.0010173i,0.00026364-0.0010513i,0.00026969-0.00071905i,0.00070658-0.0009745i,0.00062671-0.0010497i,0.00056168-0.00063657i,0.00098206-0.00020629i,0.0014027-2.9434e-05i,0.0014725+8.3519e-05i,0.00091907+0.00027621i,0.0001835+0.00062253i,0.00041864+0.00050219i,0.00043257+0.00047793i,-0.00038174+0.00041734i
0.00071342-0.001064i,0.00010561-0.00082125i,0.00085802-0.0019205i,0.00081189-0.0016028i,-0.0003616+2.029e-05i,-0.00032319+0.0010047i,0.00072169+0.00087279i,0.00060818+0.00051739i,1.0601e-05+0.0005628i,-0.00051939+0.00058992i,-0.0011444+0.0004482i,-0.00056465+0.00076599i,0.0004754+0.00091274i,0.0010397+0.00044717i,0.00055402+0.00077813i,-0.00035043+0.00091425i,-0.00013938+0.00067645i,0.0015111+0.0012999i,0.0024136+0.001545i,0.0010338+0.00075367i,4.2634e-05-0.00020356i,-0.00032313-0.00057251i,-0.00030074+8.7291e-05i
-0.00085446-0.00067901i,-0.0017373-1.4841e-05i,-0.0016514+0.0012848i,-0.00114+0.00044252i,-0.00083501-0.00084586i,-0.00080991-0.00057505i,-0.0003621+0.00026158i,0.0002329+0.00090731i,0.00052383+0.00085068i,0.00095551+0.00020345i,0.00079376-0.00011518i,4.5599e-05-0.00059606i,3.0922e-05-0.00053982i,0.00039923-0.00036069i,0.00062624-0.00023338i,0.00049936+0.00071516i,-9.6298e-05+0.00041966i,0.0001339-0.00025031i,0.00015813-0.00023571i,0.000421+7.731e-05i,0.00061087+0.00070294i,0.00050261+0.00030282i,-0.0002127-0.00033715i
0.0025188+0.0025784i,0.0028689+0.0010858i,0.0029989+9.5458e-06i,0.0015403-0.00041416i,-0.00018162-0.00015948i,-0.00066866-0.000198i,-0.00078815+1.1159e-05i,-0.00050415+0.00016986i,-0.00017334+0.00020945i,-0.00034284+0.00018494i,-3.6065e-05-0.0001567i,0.00070098-0.00052686i,0.00036805+0.00028722i,-0.00029884+0.0013592i,-0.00045939+0.00020832i,-0.0006244-0.0012945i,-0.0012231-0.0011867i,-0.0012399+4.8827e-05i,-0.00016904+0.0005124i,0.00067189+0.00030473i,0.00051949+0.00061445i,0.00010846+0.00052711i,-0.0002519-0.000145i
-0.0010392-0.0016001i,-0.0016011-0.0012731i,-0.0022025-0.00070152i,-0.0023268-0.00070557i,-0.0014257-0.00038315i,-0.00048726+0.00026288i,-0.0006866+0.00087981i,3.9441e-05+0.00071405i,0.00074165-4.057e-05i,0.00019124+3.1169e-05i,0.00060845+0.00061252i,0.00075791+0.00087259i,0.00044943+0.0011409i,0.00044003+0.0016882i,0.00020128+0.0018254i,-0.00049071+0.001134i,-0.0014781+0.00070282i,-0.0010717-2.4331e-06i,0.00028554-0.0011429i,0.00069846-0.0012059i,0.00019939-0.0006649i,-5.9944e-05-0.00033508i,-0.00016424+4.0065e-05i
0.00055852+0.0026125i,0.0018741+0.0033048i,0.0022026+0.0025785i,0.0018145+0.00074834i,0.0012188-0.00053526i,0.00012736-0.00035982i,-0.00089697+0.00086939i,-0.00071802+0.0014388i,0.00024587+0.0010198i,0.00069833+0.00038689i,0.00069742+0.00016031i,0.00037002-0.000213i,2.2945e-05-0.0012583i,-0.00034135-0.0011529i,-0.00092543-0.0010811i,-0.00092743-0.0014157i,-0.00053722-0.0012397i,-0.00023532-0.00049161i,-0.00018367+0.00029237i,-0.00028142+0.0010353i,-0.00020296+0.00092561i,0.00040865-0.00045443i,0.00083374-0.00071587i
-0.0020217+0.00017034i,-0.0017551+0.00040923i,-0.00079076+0.00083149i,-0.00030095+0.0011499i,-0.00061809+0.00099664i,-0.00059159+0.00021363i,-0.0010039-0.00060521i,-0.0010717-0.00011095i,-0.00051731+9.305e-05i,0.00013861+0.00025669i,-0.00010907+0.0012481i,-0.0005529+0.0010018i,-0.00090002-5.5498e-05i,-0.0010568-0.00065923i,-0.00053156-0.00088599i,-0.00023824-0.0010233i,-0.00070085-0.0010583i,-0.001106-0.00049297i,-0.0008915+1.0589e-05i,-0.00058041+0.00025955i,-0.00039697+0.00092423i,-0.00072526+0.00084472i,-0.00078616+0.00026673i
0.0012141-0.00067224i,0.0017994-0.00083697i,0.0023488-0.00086278i,0.0026408-0.00060546i,0.0018203-0.00032114i,-0.00013117+0.00035696i,-0.001308+0.00038632i,-0.00088873+5.4832e-05i,1.961e-07-0.00018638i,0.00014272-0.00034732i,-0.00028105-0.00050453i,-0.00053585-0.00080584i,-0.00080068-0.00098622i,-0.0008084-0.0014013i,-0.00075786-0.0016991i,-0.00066448-0.0017959i,-0.00094044-0.0012627i,-0.00093105-0.00075874i,-0.00077124-0.00038214i,-0.0004234+0.0003322i,-9.7896e-05+0.00020677i,-4.8081e-07-0.0004345i,-0.00010501-0.0010167i
0.0020448+0.000963i,0.0015424+0.0011377i,0.00048145+0.0014297i,0.00032016+0.00093485i,0.00098563-0.00097457i,0.00076266-0.00087443i,5.2037e-05+0.00028488i,0.00017187+0.00025193i,0.00019079+0.00037081i,9.9494e-05+0.00046431i,0.0003641+0.00048742i,4.2949e-05-5.2504e-05i,-0.00057278-0.00097978i,-0.00046424-0.00042975i,0.00014339-0.00011778i,0.00030213-0.00062587i,0.00019194-0.0010544i,-0.00061657-0.00085333i,-0.0010902-0.00071366i,-0.00093351+0.00024841i,-0.00026833+0.00081653i,-8.2516e-05+0.0003611i,-0.00072707+9.4948e-05i
-0.00066536+0.0026256i,0.00013791+0.0025747i,0.00075573+0.0015587i,0.001194-0.00016369i,0.0013465-0.00046736i,0.00094685+0.00017015i,0.0004711+0.0007738i,-2.9242e-05+0.0010491i,0.00057188+0.00036981i,0.00042433-0.00050831i,-0.00053296-0.00045149i,-0.00056668-0.00028967i,-0.00077516-0.00091368i,-0.0010319-0.00078383i,-0.00073365-0.00044779i,-7.0452e-05-0.00047981i,0.00044382-0.00094462i,0.00024612-0.0016859i,-0.00021099-0.0010991i,-0.00015266-0.00021021i,-0.00064056-0.00019387i,-0.00090768-0.00088864i,-0.001168-0.0009661i
-0.00051364+0.0013066i,-0.00012361+0.002664i,0.0015249+0.0040287i,0.0022967+0.0034832i,0.0016942+0.0026813i,0.00051672+0.0016622i,-0.00020464+0.0001808i,0.0003048+4.877e-05i,3.6694e-05-0.00019983i,-0.00055985-0.0011817i,-0.00065102-0.0013248i,0.00016515-0.00046453i,0.00038175-0.00063323i,0.00027486-0.0018612i,0.00060525-0.0018938i,0.00072467-0.0015709i,0.00067836-0.00074278i,0.00030385+0.00018802i,0.00057254-0.00047307i,0.0008572-0.00056966i,0.00043217+0.00011966i,3.0245e-05+0.00031608i,-0.00024291-0.00018651i
-0.0031871+0.0005635i,-0.0033503+0.00065771i,-0.0028212+0.0013259i,-0.0026027+0.00058546i,-0.001838-0.0006448i,-0.0011058-0.00063387i,-0.00099421+8.0305e-05i,-0.0010551+0.0011627i,-0.00066224+0.0016328i,-0.0002028+0.00085643i,0.00038463-5.4642e-05i,0.00039634-0.00073084i,0.00055566-0.0013548i,0.000955-0.00056584i,0.0010985-0.00045405i,0.0012406-0.00078467i,0.0013026-0.0016247i,0.00092905-0.0012909i,0.00014604-0.00058594i,0.00027256-0.00055522i,7.8511e-05-0.00030631i,-0.00042178-0.00030246i,-0.00022419-0.00012402i
0.0026139+0.0018622i,0.0027598+0.00039058i,0.0027449-0.0014041i,0.0016849-0.0012035i,-7.0956e-05-0.00017358i,-0.001657+0.00094326i,-0.0017252+0.0015948i,-0.00073018+0.0014929i,0.0007853+0.0004384i,0.0012369-0.00096229i,0.00059186-0.001454i,0.00066484-0.00083608i,8.4335e-05-0.00038707i,-0.00062973-0.00091196i,-0.00056754-0.00092028i,-0.00014844+0.00036557i,0.00021262+0.0012716i,0.00093447+0.00042401i,0.0012363-0.00040787i,0.00085264+4.144e-05i,0.00090647+0.00010685i,0.0010468-0.00051306i,0.00038496-0.0001049i
0.00038805+0.001726i,0.00078638+0.0021497i,0.0010633+0.0022898i,0.0011531+0.0019942i,0.00083123+0.00053077i,-0.00037764-0.00092428i,-0.0012983-0.00089739i,-0.00039922-0.0004909i,0.0007786+0.0001284i,0.0010326+5.516e-05i,0.0010358-0.0004814i,0.0011386-0.00080482i,0.0020986-0.00096872i,0.0022438-3.0401e-05i,0.00093512+0.00044145i,0.00010463-0.00019759i,-2.7104e-05-0.00043457i,0.00030826-0.00067977i,0.00017245-0.001185i,0.00063152-0.0002874i,0.00081568+0.0010142i,1.628e-05+0.00080047i,-7.7982e-05-0.00041655i
0.00080075+0.0033148i,0.001575+0.0032397i,0.0015572+0.0017419i,0.00095396-0.00023033i,0.00013191-0.001006i,-0.0011111-0.0011697i,-0.0021968-0.00033109i,-0.0014785+0.00096743i,-0.00020577+0.0014129i,0.00021102+0.00063263i,0.0003862-0.00053281i,0.00039714-0.00065644i,0.00050944-0.00059047i,0.00023258-0.0013371i,0.00051518-0.00080669i,0.0007212-9.7667e-05i,0.00046579+0.00037815i,0.00036724+0.00082771i,-0.00025306+0.00059059i,1.0276e-05+0.00044676i,0.00045018+0.00022688i,0.00067361-0.0004529i,0.00062718-0.00071257i
-0.0015863+0.00040801i,-0.0014362+0.0013114i,0.00018895+0.0016679i,0.00045042+0.0014257i,0.00037507+0.00065378i,7.848e-05-7.6724e-05i,-0.00066018+0.00038949i,1.0382e-05+0.00075137i,0.0010346+0.00077362i,0.00087095+0.00084191i,0.00010476+0.0009007i,7.2553e-05+0.0012593i,0.00083864+0.00070551i,0.00096458-0.00071414i,0.00086848-0.0010099i,0.00053354-0.00038959i,0.0008645+0.00032277i,0.00030083+0.00074396i,8.9227e-05+0.00068628i,0.0003242+0.00047391i,5.4664e-05-0.00018266i,0.00037197+0.00051812i,-4.767e-08+0.0012844i
-0.00097434+0.0012002i,-0.0010401+0.00092557i,-0.00057312+0.0010661i,0.00052441+0.00090593i,0.0010045+8.3652e-05i,0.001185-0.00078786i,0.00034323-0.00076615i,-0.00034409+0.00010297i,3.7529e-06+0.00012786i,0.00053882-0.00015433i,0.00076227-0.00011668i,0.00015474-0.0005256i,0.00030794-0.00045392i,0.0013227-0.00056168i,0.001312-0.00058503i,-0.00015232+0.00025928i,-0.00048766+0.0004387i,-0.00015842+0.00015431i,0.00022756-0.00042031i,0.00044371+0.0001453i,6.624e-07+0.001445i,-0.00012268+0.0014786i,0.00051475+0.00028094i
0.0011697+0.00019861i,0.00099988-0.00099837i,0.00047225-0.0013365i,-0.00090787-0.0007876i,-0.0018701-3.6812e-05i,-0.0012527+0.0002882i,-0.00011111+0.00044765i,0.00021187+0.00096253i,0.00012601+0.00052089i,-0.00027551-0.00017908i,-0.00029284+0.00037179i,-3.5979e-06+0.0011235i,-0.00063767+0.00077809i,-0.0017474+0.00035692i,-0.0014708+0.00047145i,-0.00067014+0.00040367i,-0.00066465+0.00052592i,-0.0014609+0.0011391i,-0.00091851+0.00051128i,6.0214e-05-0.00070835i,0.00045969-0.00025946i,0.00060133+0.00045927i,-0.00052998-0.00028078i
-0.00071129+0.00068804i,-0.00011728+0.00091583i,0.00083261+0.0010918i,0.0015472+0.00089352i,0.0017342+0.0006196i,0.00042827+0.00073902i,-0.00028721+0.00049943i,-6.7516e-05+0.00039589i,-8.1107e-05+0.00078555i,-0.00039704+0.00027566i,-0.0010113-0.00025309i,-0.00093269-0.00036696i,-0.0010648-0.00012321i,-9.7876e-05+0.00012146i,0.00071702+0.00017113i,-6.7968e-05-0.00023095i,-0.00038372-0.00084774i,-0.00033988+0.00014856i,0.00034431+0.0011708i,0.0005064+0.00068284i,0.00018194+0.00025645i,-0.00018238+0.00015186i,-0.00036964-0.00016252i
0.0011837-0.00062524i,0.0019197-0.00065347i,0.00085868-0.00067467i,-0.00028143-0.00055576i,-0.00023252-0.00091744i,-0.00069941-0.00090947i,-0.00099859+0.00029127i,-0.00040478+0.001022i,-0.00021843+0.00043903i,-0.00015153+0.00018114i,0.00068794+3.4128e-05i,0.0013486-0.00037251i,0.00082071+0.00056145i,0.00084778+0.001399i,0.00081444+0.0007905i,-0.00015935+0.0002758i,-0.00096502-0.00039762i,-0.0004516+0.00014105i,-0.00039025+0.00089024i,-0.00061001+0.001074i,-0.00036516+0.0007808i,-0.00052216+0.00027488i,-0.00042381+4.2392e-06i
0.00028986+0.0023511i,0.00087635+0.0026756i,0.00033269+0.00092177i,0.00015177-0.00090701i,0.0007552-0.0013136i,0.00051703-0.00076385i,-2.7588e-05+0.00030993i,0.00052817+0.00069711i,8.2127e-05+0.00039186i,-0.0003965-0.00015221i,-0.00069875-0.0008127i,-0.00092137-0.00050488i,-0.0014538+4.5051e-05i,-0.0017181+0.00032378i,-0.0011811-2.1265e-05i,-0.00085972-0.00089739i,-0.00080034-0.0010909i,-0.00059194-0.00037475i,-0.00034444+0.00034803i,-0.0006221+0.00098626i,2.466e-05+0.0012039i,0.00071575+0.00074781i,0.00032155+0.00028037i
0.0006604+0.00026224i,-0.00023475+0.00079433i,0.00048546-0.00013848i,0.0013387-0.00085098i,0.00078178-0.00068436i,-0.0004679-0.00037419i,-0.00070358-0.00028698i,-9.9876e-05-4.8407e-06i,0.00027225+0.00036883i,0.00028012-6.8124e-05i,-0.00016683-0.00034932i,-0.00094817-0.00028306i,-0.00059441+0.00051106i,-0.00030616+0.0011799i,-4.5401e-06+0.00039637i,0.00057073-0.00036028i,-0.00022111-0.00085805i,-0.00068277-0.00052356i,0.00017777+0.00028471i,0.00036828+0.0012444i,-4.6588e-05+0.00083781i,1.3244e-05-0.00017406i,-4.2639e-05+0.00011912i
-0.00021847+0.00074412i,-0.00012683+0.00085267i,-0.00019098+0.00073269i,0.00031789-0.0005577i,0.0006624-0.0014018i,0.00068621-0.00059883i,0.00062519-0.00010342i,0.00038361+5.8914e-05i,0.00056245+0.00035597i,0.00078717+0.00067773i,0.00092402+0.00053995i,0.0004257-0.0002083i,-0.00027707-0.00044445i,0.00022216-0.00012132i,0.0002316+7.2895e-05i,0.00017048+0.00036098i,-0.0004761-0.00023909i,-0.0012419-0.0011736i,-0.00067652-0.00059054i,0.00020336-6.2143e-05i,0.00091188+0.00029503i,0.00047391-0.00091541i,-0.00042478-0.0018685i
-0.00023527-0.0012019i,-0.00076039-0.0012355i,-0.00088734-0.00074315i,-0.001054-0.00036785i,-0.0013878-0.00079202i,-0.001918-0.00058477i,-0.0020401-4.6895e-05i,-0.0012251-0.00046417i,-8.6673e-05-0.00086305i,-0.00023419-0.00087525i,0.00011051-0.00068051i,0.00068939-0.0010823i,7.616e-05-0.0010674i,-0.00040218-0.0001024i,-9.1785e-05-0.00032037i,0.00017211-0.00087688i,0.00015279+0.0002304i,-8.6713e-05+0.00016113i,0.00035328-0.00066577i,0.00046637-0.00015821i,-0.00018099+0.00048566i,-0.0004664+0.00096874i,-0.00027494+0.00090044i
0.0026981+0.00061432i,0.0016527-0.00072832i,0.0018214-0.0005322i,0.0019884+0.00073363i,0.00072893+0.00098002i,-0.00060339+0.0016436i,-0.00021745+0.0013662i,0.0010646+0.00085617i,0.00063464+0.00054062i,-7.6917e-05-0.00017816i,-0.00036821-0.00069701i,1.4367e-05-0.0014087i,0.00022142-0.0011946i,-0.00066294-0.00076004i,-0.00078914-0.0010151i,0.00015853-0.00045274i,0.00030817-8.2242e-05i,0.00050083-0.00021849i,0.00061118-7.0683e-05i,-0.0003531+0.00026624i,-0.00068584+0.00042432i,-0.00038577+0.00026436i,-0.00022239-0.00020237i
-0.00011883+0.00075566i,9.1277e-05+0.00055746i,-0.00099157-0.00032659i,-0.0018956-0.00030071i,-0.0023275-0.00021971i,-0.0026773+0.0010012i,-0.0014796+0.0010816i,-1.6262e-06+0.00031179i,-3.7133e-05+0.00037171i,-0.00074768+0.00065714i,-0.001105-0.00012793i,-0.00032368-0.00068485i,0.00076388-0.00018708i,0.0011523-5.051e-06i,0.00022195-0.00086031i,-7.2096e-05-0.0013629i,0.00027393-0.0011721i,0.00061837-0.00072265i,0.0011667+0.00026497i,0.0010769+0.00092204i,0.00058946+0.00023986i,8.4049e-05+0.00010799i,-0.00044147-0.00018161i
-0.0023434+0.00078199i,-0.00061998+0.0023838i,9.1143e-05+0.0023187i,0.00098554+0.0020392i,0.0015382+0.00094104i,0.0011976-0.00021529i,-2.7899e-05-0.0001493i,-5.9654e-05-0.0003821i,0.0007098-0.00085087i,0.00057872-0.00067385i,0.00023067-0.000432i,-4.4283e-05-0.0008083i,-0.00037195-0.0011585i,-0.00036637-0.0011434i,-0.0001077-0.00099504i,1.0486e-05-0.00072801i,0.00021298-0.00049296i,0.00027425-0.00014005i,0.00022248-0.00024757i,0.00012653-0.0005359i,0.00025688-0.00049899i,0.00085611-0.00085885i,0.00042909-0.0010727i
-0.0016011+0.0003691i,-0.001726+0.0015151i,-0.00087963+0.0020348i,0.00051651+0.0017075i,0.0013378+0.00024936i,0.0011291+0.000385i,0.00019871+0.00097097i,-0.0001518+0.00069669i,0.00022101+0.00076271i,0.00083413+0.00095981i,0.0010981+0.00048347i,0.00080248-0.00048814i,0.00071046-0.0011356i,0.0005582-0.0017476i,0.00031047-0.0020461i,-0.00010104-0.0011841i,0.00013051-1.8284e-05i,0.00016148-0.00026381i,-0.00039505-0.00078246i,-0.00079941-0.00018519i,-0.00071534+0.00026562i,0.00022126+0.00041236i,0.0005384+0.00028677i
-0.0010264+0.0008556i,-0.00094069+0.0015231i,-0.00056838+0.00052019i,-0.00086199-0.00036714i,-0.0013976-0.00060945i,-0.0013552-0.0011944i,-0.0011234-0.0010186i,-0.0003625-0.00017129i,-6.8426e-05-4.9602e-06i,-0.00010254+0.00037936i,-0.00019791+0.00040868i,-0.00055031-4.635e-05i,-0.00046953-0.00039071i,0.00014904-0.00080408i,0.00087597-0.00098552i,0.0011389-0.00067854i,0.0011415+1.3722e-05i,0.0011204+0.0001823i,0.00092638-0.00063069i,0.00038175-0.00019592i,-0.0001298+0.00035891i,-0.00048994-5.8059e-05i,-0.00039467-0.00010052i
-0.003165+0.00076393i,-0.0025627+0.0014963i,-0.0015665+0.0023217i,0.00047297+0.0022074i,0.0023316+0.00080636i,0.0023366-0.00091493i,0.00058256-0.00096478i,-0.00051577+0.00049476i,-0.00032557+0.001618i,0.00032759+0.0017443i,0.00051275+0.00076673i,2.4144e-05+6.841e-06i,0.00033975-0.00084699i,0.00080296-0.002335i,0.00061682-0.0023794i,-0.00010326-0.00088023i,-0.00028367+0.00031626i,-0.00017358+0.00086234i,-0.00030485+0.00067134i,-0.0001965-2.2357e-06i,5.286e-05+0.00059769i,-0.00027723+0.00068109i,-0.00014348+0.00021841i
-0.0001016+0.0005009i,-0.0007124-0.00038622i,-0.00059601-0.00065032i,5.0499e-07-0.00020944i,0.00029671+0.00013335i,-0.00062165+0.00012526i,-0.0013617-0.00015313i,-0.0007111-0.00065393i,0.00092184-0.00043805i,0.0011517-1.8559e-05i,-9.2638e-05+0.00016811i,-0.00045454+2.9135e-05i,0.00069427-0.00059786i,0.001344-0.00099955i,0.0010666-0.0012499i,0.00020816-0.0011595i,-0.00043122-0.00027227i,-0.00020199+0.00017597i,-0.0001021+0.00027068i,-0.0007622+1.6954e-05i,-0.00042805-0.0005226i,0.00052442-0.00081978i,0.00086664-0.00092307i
0.0016202+0.0024484i,0.0014137+0.00083346i,0.0016619-0.00067981i,0.00032956-0.0013878i,-0.0010809-0.00077705i,-0.0012892+0.00061572i,-0.0013537+0.00080344i,-0.00099144+0.00026235i,-0.00015415-8.7313e-08i,-1.7745e-05-0.00046076i,-0.00031087-0.00067551i,-0.00042327-0.00081005i,-0.00023572-0.0012136i,0.00010827-0.00049285i,0.00024182+0.00014247i,0.00030108-0.00015074i,-0.00039884-0.00035345i,-0.00044807-0.00052579i,0.00020945-0.00078508i,7.2038e-06-0.00062889i,-0.000273-0.00075622i,-2.7792e-05-0.00050472i,-8.1318e-05-0.00083535i
0.0008884-4.0676e-05i,0.0014118-0.00071045i,0.0012867-0.00028024i,0.00098018+0.00016895i,0.00052322+0.00027867i,0.00056252-1.2459e-06i,-4.2703e-05+0.00031953i,-0.00012476+0.00097527i,0.00051532+0.00095391i,0.00055252+0.00037539i,-6.0861e-06-0.00046782i,-0.00035645-0.00061973i,0.00052368-0.00039281i,0.0013605-0.00080299i,0.0015423-0.00077382i,0.0010494-0.00046248i,-9.355e-05-0.00018281i,-0.00079923-0.0003106i,-0.0009098-0.00074262i,-0.00042519-4.5557e-05i,2.0375e-05+0.00050377i,0.00020367-0.00036607i,-3.058e-05-0.0011274i
-0.0012043+0.0043713i,0.00035147+0.0029482i,0.0022779+0.0012245i,0.0026288-5.6996e-05i,0.0010101-0.0010237i,-0.00072571-0.0005104i,-0.0008675-0.00079068i,-0.00021043-0.0011063i,-0.00036078+3.0625e-05i,6.1151e-05+0.00060535i,0.00041408+0.00015321i,8.0523e-05-0.00078647i,0.0010906-0.00091627i,0.0020296-0.00055733i,0.0016264-0.00028295i,0.00084401-0.00088059i,-0.00027233-0.00105i,1.6457e-05-0.00010366i,0.00076865+0.00061255i,0.00062993+0.00039581i,0.00064979-4.0639e-05i,0.0010223-0.00015648i,0.0014478-0.00055886i
-0.0013201+0.0031586i,0.00041421+0.0039848i,0.0011707+0.002968i,0.00013623+0.0014332i,-0.00024108+0.00040595i,-0.00021269-0.00057246i,-0.00099259-0.00064723i,-0.001663+5.1298e-05i,-9.6976e-05+6.9895e-05i,0.0018689-0.00072695i,0.0010662-0.00057634i,-0.00016459-0.00020197i,9.3249e-05-0.00019607i,0.00022077-0.00010625i,0.0011156-0.00038708i,0.0015208-0.00051213i,0.001183-0.00048953i,-8.0496e-05-0.00025144i,-0.00081093+0.00033122i,-0.00030759+0.00072901i,-0.00059732+0.00060066i,-0.0010342-0.00012957i,-4.7494e-05-0.00038559i
-0.0020124-0.0013611i,-0.001738+2.323e-06i,-0.0017412+0.0014316i,-0.0011532+0.0019621i,0.00038792+0.0021351i,0.00089893+0.0015973i,0.00028788+0.0010662i,-0.00026231-0.00013612i,-0.0009376-0.00053316i,-0.00138+6.7321e-05i,-0.00062733+0.00068146i,0.00058186+0.00022567i,0.0011545+0.00016124i,0.0015488+0.0011058i,0.0025561+0.00049305i,0.0018907-0.00084401i,0.00025571-0.0021332i,-0.00016552-0.0021016i,-0.0002245-0.0013187i,-0.00049332-0.0014147i,-0.00043695-0.0006941i,-0.00012769-1.2041e-06i,0.00040489-2.921e-05i
0.00074772-0.0018524i,-0.00026657-0.0015349i,-1.3081e-05-0.0017858i,-0.00078535-0.0015529i,-0.0020131-0.0009461i,-0.0023286-0.00028744i,-0.00096755+0.00025927i,0.00039417+0.00036437i,0.0004786+0.00027702i,0.00075156-0.00018043i,0.00040449-0.00061066i,0.00032228-9.1886e-06i,0.00019426+0.0010352i,0.0001782+0.0017789i,0.00046651+0.0015004i,0.00098249+0.00077797i,0.0011324+0.00019778i,0.00023984-7.3946e-05i,-0.00070084+5.5154e-05i,-0.0010057+0.00033704i,-0.00073312+0.00046046i,-0.00075979+6.3808e-05i,0.00014684-0.00066695i
-0.002119+0.0019107i,-0.0012324+0.0034131i,-7.665e-05+0.0034358i,-8.3465e-05+0.0022782i,0.00031407+0.00085452i,0.0015146+0.00073342i,0.0010343+0.00047512i,-0.00033606+0.00025959i,-0.00050961+0.00036812i,0.00050766+0.00028443i,0.00064855+0.00015082i,0.00014017-2.2008e-05i,-9.2134e-05-0.00020396i,-0.00055435-0.00021657i,-0.0011459+0.00032836i,-0.00080251+0.00056198i,0.0008572+0.00015201i,0.0020655+0.00027941i,0.001175+0.0010811i,-0.00066052+0.00091852i,-0.00067157-0.00011914i,0.00023179-0.00019631i,0.00017669+0.00025016i
0.0014795+0.00062816i,0.0019824+0.00038289i,0.0021859-0.0011219i,0.0014353-0.00202i,0.0011004-0.00077515i,0.00067783+0.00010241i,0.00023375+0.00059157i,0.00020781+0.00088032i,0.00012862+0.0003242i,-8.7534e-05-0.00015966i,0.00031562-0.00060897i,7.0012e-06-0.00019091i,-0.00059971+0.0009102i,-0.0015922+0.001943i,-0.0021447+0.0019241i,-0.0006589+0.00017109i,0.00043978-0.00041874i,0.00013432+0.00015851i,-1.4747e-05+5.4885e-05i,0.00012495+0.0004213i,0.00030099+0.00033014i,0.00032908-0.0001491i,0.00041799-0.0003709i
-5.8515e-05-0.0020878i,-0.00083073-0.00046752i,0.00061276-0.00038828i,0.00036705-0.0015081i,-0.0017484-0.0010487i,-0.0036342+0.00070969i,-0.0036304+0.001145i,-0.0011103+0.00031606i,0.0003934-0.00024565i,-0.0002912-0.0014051i,-0.00066044-0.0011186i,-0.00061572+0.00079691i,-0.0007371+0.0022048i,-0.0013164+0.0024932i,-0.00135+0.00094961i,1.4914e-05-0.00051116i,0.0013368-0.00072901i,0.0010697-0.0011448i,0.00029467-2.0282e-05i,2.2758e-05+0.0014023i,-0.000122+0.00071896i,0.00015808-8.5866e-05i,-0.00016516-8.7759e-06i
-0.0028481-0.00016287i,-0.0032251+0.0021479i,-0.0017727+0.0039914i,6.7192e-05+0.0033576i,0.00051897+0.0022789i,0.0007843+0.0016067i,0.00041737+0.0010074i,-0.00043562+0.0001245i,-0.00044016-0.0003654i,0.00018487-1.3351e-05i,0.001273+0.00099118i,0.00088579+0.00098289i,5.8034e-05-0.00016185i,0.00023504-0.0013835i,0.00010052-0.0015155i,-0.00021497-0.00069549i,0.00025991+0.00014057i,0.0008662+0.00012972i,-0.00023092-0.00025759i,-0.0013344-0.0001167i,-0.00043935+0.00053764i,0.00066885+0.00047467i,0.00064353+0.00014347i
