-0.001813+0.0011965i,-0.0023167+0.0025677i,-0.0028317+0.0031545i,-0.0017412+0.0034326i,-0.0012689+0.0041723i,-0.0008988+0.0039327i,-0.00059602+0.0028312i,5.0823e-05+0.002234i,0.00090996+0.0020998i,0.0017604+0.0011544i,0.0019837+0.00030092i,0.0011019+4.8137e-05i,0.00021195-4.5223e-05i,-3.4559e-05+0.00035855i,0.00045512+0.00047087i,0.00033793+0.00035446i,0.00026636+0.00029401i,0.000588+0.00011892i,0.00020352+7.5104e-05i,-0.00011986+3.2582e-06i,0.00015272+0.00039999i,-1.8297e-05+8.1181e-05i,-0.00041214-0.00061684i
0.01674-0.010718i,0.0078818-0.0061982i,0.0076546+0.0034252i,0.01546+0.0093941i,0.012176+0.00689i,0.00060422+0.0035888i,-0.0027597+0.002139i,0.00083678-0.00035827i,0.0023827-0.0016669i,0.0019014-0.001644i,0.0017844-0.0019118i,0.0014433-0.0015899i,0.00098714-0.0011962i,0.0020679-0.00038293i,0.0026731+0.00064212i,0.0019984+0.0014737i,0.0013751+0.0019017i,0.0016469+0.0014308i,0.0023317+0.00027475i,0.0028626+0.00028301i,0.0024208+0.0012568i,0.0012842+0.0017174i,0.00033981+0.0022353i
-0.0030486-0.019589i,-0.00098274-0.0081243i,0.0072424-0.0042726i,0.01406-0.010528i,0.01051-0.0093424i,0.00307-0.0004054i,0.0011023+0.0022503i,0.0011653-0.0021949i,0.00078315-0.0043398i,0.00051741-0.0025303i,-0.00053143-0.0011136i,-0.0012758-0.0019009i,-0.0013421-0.0026989i,-0.0013227-0.00178i,-0.00034544-0.00036924i,0.0012582+0.00072675i,0.0025959+0.00046911i,0.0029472-0.00081891i,0.0023545-0.0020984i,0.001802-0.0023136i,0.001812-0.0013987i,0.0015746-0.0010254i,0.0015554-0.00019092i
-0.016151-0.0097575i,-0.0056196-0.0048236i,-0.0009709-0.0090483i,-0.0069203-0.018705i,-0.0096542-0.013892i,-0.0034685-0.0022854i,0.0010057+0.0011231i,0.00081001+0.00015875i,0.00013499+0.00041317i,-0.00014514+0.0010345i,4.0015e-05+0.0010272i,-0.00063746-0.00018214i,-0.0015133-0.0015678i,-0.0014688-0.0011366i,-0.00078713-0.00044707i,0.00046448-0.0010362i,0.0019798-0.0016456i,0.0016098-0.0021264i,-5.2873e-05-0.0023954i,-0.00097399-0.0019143i,-1.196e-05-0.0019587i,0.0012063-0.0023895i,0.0016394-0.0023715i
-0.018399+0.012901i,-0.008429+0.0046688i,-0.0084832-0.00028737i,-0.019469+0.0032445i,-0.016816+0.0063701i,-0.0036811+0.003078i,0.0017874+0.00025894i,0.0011565+0.0021848i,0.00039159+0.0035322i,0.00095578+0.0032687i,0.00046215+0.0024003i,-0.00084649+0.00077305i,-0.00081764+0.001092i,-0.00047166+0.0019103i,0.00028136+0.0010454i,0.00018213-0.00064058i,-0.0013219-0.0018409i,-0.0022736-0.0019451i,-0.0024999-0.0015789i,-0.002803-0.00057865i,-0.0022842-0.00032386i,-0.0016399-0.0011159i,-0.0013572-0.0018842i
-2.5459e-05+0.02418i,0.00070911+0.011532i,0.00043113+0.0099862i,-0.0010292+0.019155i,0.00075818+0.014863i,0.0009072+0.001201i,-4.6587e-06-0.0028626i,0.00030833+0.0012395i,0.00067908+0.0037535i,0.00056373+0.0037498i,1.1399e-06+0.0027673i,-0.00055871+0.0024752i,-0.00047934+0.002667i,-0.00027429+0.0020423i,0.00017703+0.0015186i,-0.0003493+0.00144i,-0.0010723+0.0011212i,-0.0016715+0.0014009i,-0.0025826+0.0019081i,-0.0018594+0.0026626i,-0.001289+0.0028949i,-0.0019991+0.0017278i,-0.0025545+0.0014256i
0.020287+0.01114i,0.0085728+0.0058181i,0.0059009+0.0032755i,0.013813+0.0067691i,0.012718+0.0041418i,0.0015988-0.0010754i,-0.0034495-0.00063431i,-0.0013589+0.00095743i,0.00077664+0.00085549i,0.00042046-0.00029658i,-0.0005738-0.00059746i,0.00010456+0.00033481i,0.001635+0.00055944i,0.001714-1.7436e-05i,0.00052093+0.0001396i,0.00050824+0.0010391i,0.0012313+0.0015858i,0.001351+0.0019214i,0.0014637+0.0020111i,0.001818+0.0026434i,0.0021206+0.0027289i,0.0017589+0.0023303i,0.0013542+0.0014495i
0.022839-0.01019i,0.01217-0.0023226i,0.0069325-0.0026927i,0.011025-0.011229i,0.0079423-0.013489i,-0.00077343-0.0056458i,-0.004088+0.00099127i,-0.003145+0.00082173i,-0.0019696-0.001177i,-0.0018727-0.0022104i,-0.0018397-0.0022787i,-0.00057985-0.0019611i,0.0003831-0.0014572i,-0.00018864-0.00049611i,0.0001171+0.00044418i,0.0014004+0.0012753i,0.0022975+0.0010531i,0.0027647+0.00046279i,0.003271-9.1753e-06i,0.0032518-0.00043264i,0.0029495-0.00036035i,0.0023897-0.00057571i,0.0015989-0.00027515i
0.0010324-0.026694i,0.0027413-0.012741i,-0.0024942-0.0079547i,-0.010278-0.015224i,-0.012394-0.011854i,-0.0062261-0.00035918i,8.3275e-05+0.0040908i,0.00072553+0.0016411i,-0.00010832-0.0012287i,-0.00067825-0.0015695i,-0.0014884-0.00030335i,-0.0023144-0.00035626i,-0.0023049-0.00062966i,-0.0011425+0.00055807i,-0.00036436+0.0010546i,0.00031022+0.00053917i,0.0015951-0.00037186i,0.0022982-0.0011823i,0.0013948-0.0024075i,0.00031084-0.0033816i,-1.1172e-05-0.0029314i,-8.5717e-05-0.0027214i,0.00061577-0.0023255i
-0.024754-0.014741i,-0.011203-0.0089117i,-0.0084965-0.00031257i,-0.018483+0.0055073i,-0.016259+0.0083898i,-0.0029663+0.0067395i,0.0041384+0.0018684i,0.0032814-0.00040486i,0.0010326-0.00044239i,0.00060045+0.00071516i,7.0347e-05+0.0023696i,-0.0016087+0.0019747i,-0.0020152+0.0010752i,-0.00091646+0.001868i,0.00059049+0.0019289i,0.0012164+0.00098219i,0.00053066-0.00042486i,-6.1528e-05-0.0017504i,-0.00094746-0.0022494i,-0.0015195-0.0022271i,-0.0016602-0.0012058i,-0.001823-0.0006628i,-0.0017906-0.00088166i
-0.027949+0.016912i,-0.016083+0.0058165i,-0.0033301+0.0049474i,-0.00048867+0.016249i,0.0011181+0.016777i,0.0030339+0.005018i,0.0028387-0.0025286i,0.0029081-0.0023124i,0.0032918-0.00042629i,0.0034007+0.0018771i,0.0029052+0.0031357i,0.0018435+0.0028312i,0.0010178+0.0023435i,0.00069066+0.0021534i,0.0004065+0.0015833i,-0.0001149+0.00087626i,-0.0009344+0.00056872i,-0.0019301-4.6332e-05i,-0.0022434+7.061e-05i,-0.0014576+0.0013461i,-0.00075901+0.0017323i,-0.00045959+0.001356i,-0.0010452+0.0013018i
-0.0004337+0.033583i,-0.0037575+0.016092i,0.0023182+0.0015834i,0.012488+0.00091812i,0.012125-0.00023291i,0.0020942-0.0038243i,-0.0034603-0.0024623i,-0.0014448+0.00045577i,0.0010964+0.001146i,0.0016361+0.0010766i,0.00138+0.00049428i,0.0017099+5.4338e-05i,0.0020247+6.517e-05i,0.00085769+0.00020919i,-0.0003274-0.00016537i,-0.00070494-0.00021021i,-0.00034634+0.00012441i,-0.00063782+0.00046598i,-0.001597+0.0010629i,-0.001408+0.0016059i,0.00076019+0.0013436i,0.0021446+0.00089201i,0.0014172+0.001072i
0.031331+0.018075i,0.015056+0.014165i,0.0019702+0.0019424i,0.0037888-0.010337i,0.0023209-0.012177i,-0.0057232-0.004604i,-0.0076079+0.0021112i,-0.0041378+0.0038834i,-0.0014835+0.003275i,-0.00056709+0.0014703i,-0.00052188-0.00033034i,-0.00062496-0.0015515i,-0.00092852-0.0033365i,-0.001407-0.0029421i,-0.0016408-0.00092178i,-0.00090387+0.00015618i,0.00027943+0.00066375i,0.0004988+0.00036837i,0.00096029+0.00034652i,0.0013237+0.00027393i,0.0013775-0.00044985i,0.0014402-0.0015828i,0.00135-0.0020575i
0.034059-0.02036i,0.022406-0.0077653i,0.0012026-0.0013202i,-0.011504-0.0075491i,-0.014421-0.0074427i,-0.010305+0.0020139i,-0.0035405+0.0072098i,-0.0008604+0.0062203i,-0.0008715+0.0035692i,-0.0022958+0.0017581i,-0.003165+0.00037047i,-0.0026397-0.00062566i,-0.0019121-0.00060926i,-0.0013056+0.00083272i,-0.00079977+0.0012648i,-0.00067097+0.00038443i,1.6222e-05-1.5287e-06i,-5.9709e-05-0.00041232i,-0.00012685-0.0010886i,-0.00023112-0.0018052i,-0.00046312-0.0023424i,-7.6537e-06-0.002201i,-0.0003008-0.001846i
-0.0035263-0.04079i,0.0046226-0.024381i,0.0021594+0.00045598i,-0.0095106+0.012408i,-0.010002+0.01322i,0.0011086+0.0098154i,0.0071323+0.0041081i,0.005058+0.00068787i,0.0013454-0.00054959i,-0.00081427-0.00082048i,-0.0020074+8.1213e-05i,-0.0025236+0.0014777i,-0.0019531+0.0019137i,0.00014693+0.0013312i,0.0018564+0.0013153i,0.0019848+0.0013047i,0.001526+0.00012652i,0.0014833-0.00051365i,0.0017774-0.0006497i,0.0014033-0.0014076i,-5.5468e-06-0.00067265i,-0.0014177+0.00075547i,-0.0014012+0.00077019i
-0.041103-0.015188i,-0.021342-0.015565i,0.0023365-0.0035081i,0.0093938+0.010673i,0.0099823+0.010738i,0.010742+0.00024631i,0.007815-0.0059909i,0.003848-0.0064002i,0.0018711-0.0055206i,0.001589-0.0027621i,0.0012659+0.00046083i,0.0019447+0.0024932i,0.0026753+0.0027656i,0.0023051+0.00055413i,0.0020245-0.0014621i,0.0019725-0.0015454i,0.0020809-0.0011479i,0.002362-0.0017168i,0.0012184-0.0012951i,-0.0004158-6.0119e-05i,-0.00055784+0.00070848i,-0.00056434+0.0010685i,-0.0012965+0.0013072i
-0.03566+0.029948i,-0.028253+0.012025i,-0.0056477-0.0062191i,0.013216-0.0081614i,0.014022-0.0066679i,0.0039534-0.0094573i,-0.0030535-0.0093732i,-0.0032274-0.0054397i,-0.00081453-0.0022026i,0.0011737-0.0011077i,0.0033119-0.00076394i,0.0049122+0.00076175i,0.0046409+0.0008632i,0.0021371-0.0010897i,-0.00041888-0.0011545i,-0.00011576-0.00015653i,0.0011978-0.00059134i,0.00082306-0.0015193i,-0.00097079-0.00094387i,-0.0011095+0.00055149i,0.00081782+0.0013035i,0.0019667+0.00079774i,0.0011571+0.00038218i
0.011142+0.051034i,-0.0015554+0.036526i,-0.010384+0.0062868i,-0.0078602-0.013769i,-0.0074898-0.014699i,-0.012167-0.0060173i,-0.011223+0.0014622i,-0.005846+0.0031572i,-0.0017424+0.0025832i,0.0010568+0.0013698i,0.0022376-0.00043754i,0.0021227-0.0016381i,0.00067145-0.0015637i,-0.00077649+0.0001531i,-0.0014645+0.0018719i,-0.0016518+0.0018157i,-0.0017503+0.00090306i,-0.0017851+0.00073942i,-0.0017445+0.0012168i,-0.00037135+0.00084772i,0.00087677+1.9618e-05i,0.00096267-0.00067197i,0.00030489-0.0011904i
0.052196+0.012575i,0.034911+0.017804i,0.0015922+0.014435i,-0.01892+0.003165i,-0.020322+0.0020635i,-0.013982+0.010425i,-0.0061853+0.012899i,-0.00056344+0.010166i,0.001957+0.0067535i,0.0018482+0.0029901i,-0.00041727+0.0007434i,-0.0024532-0.00046306i,-0.002836-0.00017509i,-0.0017433+0.0023347i,-0.0012028+0.0031727i,-0.001981+0.0024903i,-0.002418+0.002277i,-0.0019946+0.0021696i,-0.0012655+0.002114i,-0.00045543+0.0013295i,0.00017061+0.00033797i,-0.00021151-0.00093091i,-0.0009742-0.0019551i
0.038369-0.043455i,0.035907-0.026222i,0.016167+0.0042614i,-0.0041788+0.021046i,-0.0067794+0.02228i,0.0031294+0.018044i,0.0086725+0.010928i,0.0073105+0.0056702i,0.0045657+0.0031915i,0.0011952+0.0027964i,-0.0024079+0.0034641i,-0.0043261+0.0034472i,-0.0034362+0.0036748i,-0.0011764+0.0023664i,-0.00011297+0.00064411i,-0.00027044+0.00079834i,0.00025218+0.0016451i,0.0012782+0.0018418i,0.0014831+0.00078557i,0.00081311+0.00066088i,-5.3123e-05+0.00072314i,-0.00057455-0.00058279i,9.8863e-05-0.0010774i
-0.018824-0.05598i,-0.0032075-0.048484i,0.016422-0.021282i,0.021144+0.0038408i,0.017255+0.0081465i,0.015065+0.00018507i,0.010724-0.0039622i,0.0057239-0.0040486i,0.0023169-0.0026942i,-0.0013697+0.00073221i,-0.0035269+0.0038541i,-0.0021317+0.0054318i,0.00033365+0.0050742i,0.0013732+0.0028098i,0.0013604+0.00097646i,0.0019363+0.00037641i,0.0032311-0.00021563i,0.0039248-0.00047242i,0.002979-0.0010615i,0.002057-0.0011789i,0.0013709-0.00023811i,0.0011288-0.00016934i,0.00025364-0.0005158i
-0.062777-0.003185i,-0.049387-0.013562i,-0.013987-0.023908i,0.011065-0.02304i,0.012306-0.019792i,0.0038619-0.018888i,-0.0011127-0.014294i,-0.0025309-0.008958i,-0.003352-0.0058401i,-0.0029096-0.0025421i,-0.00062981+0.00017581i,0.0018079+0.00080256i,0.0018103+8.7586e-05i,0.00025279-0.00096754i,0.00066857-0.0015101i,0.0018644-0.0012186i,0.0021792-0.0020312i,0.0018903-0.0027445i,0.0010828-0.0029941i,0.00046174-0.0028143i,0.00010425-0.0019744i,-0.00024678-0.00033905i,-0.0010092+0.00098639i
-0.034138+0.058673i,-0.038763+0.045657i,-0.033492+0.0098951i,-0.022217-0.017134i,-0.016903-0.021003i,-0.018009-0.012406i,-0.014985-0.0048717i,-0.00918-0.0012922i,-0.0053354-0.00079706i,-0.0015469-0.0024385i,0.0014808-0.0039333i,0.0019565-0.0049345i,0.00039393-0.0040855i,-0.00045901-0.0017673i,-0.00025352-0.00049137i,-0.00018721-0.00071657i,-0.00019899-0.0017084i,-0.0013856-0.0021852i,-0.0027372-0.001766i,-0.0029025-0.00090398i,-0.0028637-0.00010262i,-0.0024949+0.00096568i,-0.0016202+0.0020701i
0.039742+0.058316i,0.027714+0.056747i,-0.0029823+0.037178i,-0.025606+0.016077i,-0.027051+0.010064i,-0.017678+0.013099i,-0.0092899+0.011223i,-0.003793+0.0064916i,-0.00059627+0.0024938i,0.00063063-0.0021185i,0.00047573-0.0058072i,-0.00066758-0.0066617i,-0.00080934-0.004615i,-0.0001148-0.0010144i,0.00027582+0.00093823i,0.00011305+0.0014703i,-0.00046445+0.0012654i,-0.0012054+0.00093727i,-0.0016527+0.0017201i,-0.00097955+0.0029713i,8.7996e-05+0.0037527i,0.00044902+0.0025735i,0.00079618+0.0012282i
0.071035-0.0093842i,0.067235+0.0001188i,0.037929+0.020874i,0.0095662+0.032799i,0.0012985+0.03062i,0.0048568+0.022999i,0.0070986+0.013677i,0.0063033+0.0060867i,0.0055489+0.0020226i,0.0040381+0.00039149i,0.00025403-0.0002103i,-0.0023301-0.00069958i,-0.0019723+0.00014071i,-0.00028326+0.0011113i,0.0005771+0.00082181i,3.2197e-05+0.0010252i,-0.00080033+0.0020908i,-0.00019151+0.003599i,0.00068272+0.0035313i,0.001561+0.0023151i,0.002402+0.0017494i,0.0029802+0.00023707i,0.0024299-0.0018517i
0.020768-0.070042i,0.028756-0.065742i,0.038276-0.031558i,0.037702+0.0015486i,0.029144+0.009692i,0.020303+0.0029873i,0.013145-0.0011012i,0.0089794-0.0008361i,0.0060522-0.00059067i,0.0033812+0.00045058i,0.0014256+0.0034083i,0.00045885+0.0057462i,0.00074255+0.0052694i,0.0008178+0.0023353i,0.00040079+0.00069779i,0.00032294+0.0010869i,0.0011834+0.0015373i,0.0020282+0.001491i,0.0029456+0.00075518i,0.002923-0.00042771i,0.0029435-0.0012989i,0.0026664-0.0022878i,0.0013185-0.002939i
-0.056869-0.050548i,-0.053219-0.057231i,-0.022227-0.053518i,0.006382-0.04126i,0.011005-0.028875i,0.0033281-0.020551i,-8.31e-05-0.012631i,0.00022-0.0058547i,0.00039533-0.0012076i,0.0013033+0.0032747i,0.0032645+0.0070117i,0.0039384+0.0069373i,0.0025541+0.0028497i,0.00040717-7.2561e-05i,-0.00074396+0.00036537i,-0.0001464+0.0020126i,0.00092006+0.0012366i,0.0014954-0.00090887i,0.0010518-0.0023093i,9.046e-06-0.0030225i,-0.0012499-0.0024581i,-0.0026242-0.001674i,-0.0023934-0.00096311i
-0.072866+0.029929i,-0.078724+0.029204i,-0.064684+0.0023615i,-0.043874-0.022872i,-0.029647-0.024586i,-0.021883-0.013673i,-0.013497-0.0047603i,-0.0069454-0.0010401i,-0.0038794+0.001467i,-0.0015143+0.0036064i,0.0012107+0.0035216i,0.002906+0.0020284i,0.0018966+0.00085509i,-1.7544e-05+0.001352i,-0.00055953+0.0019693i,-0.00074142+0.00097035i,-0.00077766-0.00029639i,-0.00020115-0.0019161i,-0.0013505-0.0027686i,-0.0030094-0.0026132i,-0.0034835-0.0012063i,-0.0038301+0.00060688i,-0.0033431+0.0020972i
-0.0019913+0.080898i,-0.0035255+0.087635i,-0.019464+0.065319i,-0.034756+0.034942i,-0.033308+0.018336i,-0.022036+0.012759i,-0.011379+0.0081012i,-0.0058555+0.0049585i,-0.0043245+0.003473i,-0.0035243+0.00072566i,-0.003357-0.0024007i,-0.0030081-0.0039949i,-0.0032039-0.0024163i,-0.002268-8.4583e-05i,-0.00016145+0.00075467i,0.00092044+0.00091489i,0.00059479-9.0043e-05i,-0.00023297-0.0007802i,-0.00086085-0.00080143i,-0.00060851+0.00097298i,0.00023457+0.0031031i,0.00058313+0.003675i,0.0014711+0.0034763i
0.073283+0.037028i,0.083358+0.039628i,0.058864+0.046025i,0.024973+0.048606i,0.0091239+0.038095i,0.0070829+0.022898i,0.0048736+0.01126i,0.0014956+0.0051616i,-0.00052889+0.001698i,-0.003016-0.0017485i,-0.0066066-0.004147i,-0.008024-0.0041439i,-0.0050741-0.001506i,-0.0011961+0.00033971i,-4.4582e-05+0.00010064i,-0.00013623-0.00080031i,0.00018454-0.00098371i,-0.0001852-0.00045132i,3.5241e-05+0.00042712i,0.0015208+0.0012386i,0.0036503+0.0016768i,0.0038315+0.00090463i,0.0032776-0.00079292i
0.06408-0.049506i,0.073324-0.061723i,0.071844-0.041519i,0.061626-0.011205i,0.044723+0.0014778i,0.027201-0.00014589i,0.013588-0.0019093i,0.0052642-0.0011452i,0.0012087-0.0017656i,-0.0014592-0.0035811i,-0.0037245-0.0035025i,-0.0041902-0.0014459i,-0.0020819+0.00069547i,-4.8114e-06+0.00041676i,9.3216e-05-0.00084031i,-0.00039502-0.00027771i,-0.00015333+0.00088444i,0.00011433+0.0019225i,0.00010668+0.0026618i,0.00052707+0.00094495i,0.0018052-0.0019686i,0.0018616-0.0036869i,0.0005974-0.0044891i
-0.021041-0.07629i,-0.03345-0.092103i,-0.018835-0.085052i,0.0075974-0.064074i,0.014971-0.041055i,0.0065743-0.023869i,0.0012441-0.012356i,0.0018677-0.0055287i,0.0029918-0.0030909i,0.0027144-0.00212i,0.0026692-0.00067184i,0.0034137-0.00049702i,0.0025937-0.0018419i,0.0006054-0.0022389i,-0.00014441-0.0006394i,-0.00039045+0.00083179i,-0.0005305+0.0016271i,-0.00016982+0.0018086i,0.00054907+0.0013904i,0.00024293-0.00036254i,-0.0011951-0.0025541i,-0.0022958-0.0036508i,-0.0030473-0.0035005i
-0.081034-0.011677i,-0.10216-0.0041667i,-0.092993-0.011746i,-0.066117-0.02552i,-0.041683-0.024041i,-0.025641-0.01081i,-0.012465-0.0019107i,-0.002476+0.00015292i,0.0027157-0.00038819i,0.0052797-0.00023431i,0.0070282+0.00041091i,0.0071364-8.6177e-06i,0.0045528-0.0012488i,0.0019324-0.00070871i,0.0010082+0.00042399i,0.00094794+0.00071827i,0.0011381+0.0011842i,0.0013851+0.001518i,-4.9466e-05+0.00061515i,-0.0021867-0.00024783i,-0.0035128+0.00043378i,-0.0039196+0.001021i,-0.0027361+0.0015919i
-0.043623+0.068746i,-0.043164+0.095481i,-0.044192+0.088601i,-0.04853+0.060225i,-0.041977+0.036206i,-0.024742+0.022464i,-0.010118+0.01244i,-0.0024206+0.0048162i,0.0010176+0.0014389i,0.0039751+0.0019053i,0.006428+0.0018924i,0.0059898+0.000423i,0.0030929-0.00019093i,0.001029+0.00029183i,0.00025897+0.00091266i,-3.0149e-05+0.00068241i,0.00050122-0.00067066i,0.0014455-0.0014811i,0.00090553-0.0010134i,-0.00023739+0.0015021i,-0.00050631+0.0042043i,-0.00032845+0.0046817i,0.00098079+0.0038273i
0.044523+0.065599i,0.072475+0.076591i,0.068313+0.073492i,0.038339+0.064787i,0.014407+0.046896i,0.0078026+0.025258i,0.0052197+0.010594i,0.00092202+0.0042754i,-0.001309+0.0031399i,-0.00099995+0.004045i,-0.00027587+0.0035174i,-0.00027665+0.0022057i,-0.00078114+0.0029044i,-0.0010288+0.0033803i,-0.0011949+0.0024645i,-0.0006815+0.0016833i,0.00055148-0.00018772i,0.00095818-0.0026563i,0.00086414-0.003128i,0.0015335-0.0021544i,0.0026826-0.00057056i,0.0034024+0.0007526i,0.0032614+0.00043116i
0.076579-0.015454i,0.098403-0.041485i,0.096045-0.042844i,0.078108-0.020985i,0.052796-0.004932i,0.028706-0.0050927i,0.011076-0.0053681i,0.00074618-0.00055739i,-0.0029542+0.0032405i,-0.0038682+0.0045737i,-0.0048507+0.0050843i,-0.0043928+0.0056994i,-0.0018456+0.0044093i,-0.00062275+0.001975i,-0.00028401+0.00093967i,0.00097922+0.00047271i,0.00068157-0.0011799i,-0.00055135-0.0024123i,-0.00055926-0.002101i,0.00015579-0.0014873i,0.001277-0.0022024i,0.0012474-0.0024422i,0.00045609-0.0016399i
0.015815-0.072762i,-0.0020624-0.10558i,-0.0083929-0.10932i,0.0041592-0.088342i,0.011294-0.058404i,0.0039818-0.033105i,-0.0024377-0.014538i,-0.0023254-0.0029881i,-0.0011066+0.0014986i,-0.0027081+0.0018195i,-0.0052838+0.0027265i,-0.0043784+0.0037691i,-0.00061046+0.0024801i,0.0006828+0.0012238i,0.0005599+0.00073508i,0.00035438-0.00015008i,-0.000592-0.00046061i,-0.001319+0.00050776i,-0.0014156+0.00086008i,-0.0018664-0.00010975i,-0.002083-0.0015021i,-0.0019529-0.0021836i,-0.0029039-0.0014424i
-0.061685-0.037795i,-0.10236-0.034086i,-0.10979-0.028804i,-0.084596-0.032211i,-0.051317-0.02891i,-0.028691-0.014264i,-0.013139-0.0033263i,-0.0013183-0.0015715i,0.0025026-0.0039252i,-0.0012712-0.004874i,-0.0038998-0.0026986i,-0.0024953-0.0011471i,-0.001381-0.00097184i,-0.0012961-0.00047753i,-0.0013481-0.00058732i,-0.0019043-6.8701e-05i,-0.0020429+0.0011116i,-0.00097463+0.0022763i,0.00032505+0.0028515i,0.00021687+0.0020265i,-0.0010914+0.00075329i,-0.0017958+0.00084802i,-0.001199+0.0014868i
-0.058718+0.043717i,-0.067763+0.084386i,-0.060984+0.098116i,-0.05386+0.07587i,-0.04041+0.04381i,-0.020455+0.025023i,-0.0047317+0.013858i,0.0025756+0.002215i,0.0033528-0.0058291i,0.00091663-0.0074783i,0.00030402-0.0067458i,0.00064883-0.005336i,-0.00067764-0.0021572i,-0.0011312+0.00019258i,-0.0013186+0.00069472i,-0.0013693+0.0012722i,0.00059566+0.0024964i,0.0031462+0.0034381i,0.0028452+0.0034485i,0.00081911+0.0032429i,0.00017612+0.0017117i,0.00062477+7.4333e-05i,0.0015658+5.7983e-05i
0.016629+0.067395i,0.053629+0.091499i,0.073134+0.090659i,0.055942+0.077648i,0.027255+0.056616i,0.014098+0.032088i,0.0092483+0.012913i,0.0039311+0.0018961i,0.0019173-0.0019856i,0.0032066-0.0023146i,0.0037494-0.0045547i,0.0022657-0.0054743i,7.6611e-05-0.0027637i,-0.0015582+0.00033526i,-0.0016343+0.0016771i,-0.00021189+0.0012785i,0.0014943-0.00069227i,0.0023079-0.0025873i,0.0017197-0.0020022i,0.0015498-0.0005398i,0.0011174+0.00040115i,0.0006292+0.00022792i,0.0016212-0.00047022i
0.06674+0.011649i,0.10353-0.015198i,0.10944-0.036954i,0.089653-0.028495i,0.057663-0.0089316i,0.029242-0.0049428i,0.011397-0.0063286i,0.0012353-0.0007691i,-0.0011862+0.0051247i,0.0028425+0.0051358i,0.0052321+0.0015636i,0.0032865-0.00071987i,0.0017579+0.00035779i,0.0013534+0.0015019i,0.0013611+0.00095545i,0.0020542-0.00017771i,0.0016245-0.0016743i,1.623e-05-0.0033865i,-0.00073016-0.0039492i,-0.00052898-0.0022595i,0.00037765-0.00057023i,0.0008317-2.0377e-05i,0.00046024-3.2871e-05i
0.033654-0.056188i,0.020398-0.10125i,-0.0026801-0.11843i,-0.0059798-0.10097i,-0.0007156-0.064271i,-0.0049383-0.033646i,-0.0091577-0.013231i,-0.0056441+0.0017194i,0.00086408+0.0087857i,0.0053591+0.008212i,0.0062103+0.0052726i,0.004808+0.0039756i,0.0026238+0.0015827i,0.00177-0.00060098i,0.0022192-0.0016378i,0.0013726-0.0025785i,-0.0010501-0.0024353i,-0.0036608-0.0023364i,-0.0040568-0.0021979i,-0.0021999-0.0016781i,-0.00067618-0.00039708i,0.00052351+0.0010966i,0.00045985+0.0016029i
-0.041245-0.04929i,-0.087517-0.052757i,-0.11525-0.035369i,-0.10207-0.025417i,-0.065744-0.021343i,-0.036311-0.010655i,-0.018464-0.00024424i,-0.0059989+0.0036813i,0.0017288+0.0030738i,0.0023689+0.001908i,0.00071386+0.0035078i,0.0011095+0.0039684i,0.0011982+0.0016616i,0.0010448-0.0002486i,0.0013194-0.00098831i,0.00077922-0.00079381i,-0.0010962+0.00064936i,-0.0025053+0.0027147i,-0.0021812+0.00275i,-0.0013721+0.00091193i,6.4645e-05-0.00037733i,0.00095917-0.00045826i,0.00060608+0.00057026i
-0.059973+0.022186i,-0.07745+0.065081i,-0.06753+0.098518i,-0.052465+0.08912i,-0.035572+0.052478i,-0.015506+0.027082i,-0.0015722+0.014344i,0.0030754+0.0026395i,0.00049953-0.0051637i,-0.0052092-0.0036716i,-0.006039+0.0013761i,-0.0020372+0.0036103i,0.00016657+0.0036573i,5.1692e-05+0.0019579i,-0.0010796+0.0010245i,-0.0015099+0.0019347i,0.00056378+0.0028507i,0.002841+0.0034588i,0.0028678+0.0034669i,0.001873+0.0015077i,0.00087236-0.00045499i,0.00039504-0.0013556i,0.0010824-0.0017455i
-0.0056221+0.063245i,0.028467+0.093976i,0.070103+0.094292i,0.073051+0.075532i,0.046229+0.048737i,0.027236+0.023248i,0.017807+0.0061431i,0.006697-0.0033659i,-0.0040883-0.00663i,-0.009181-0.0033282i,-0.0089915+0.00055351i,-0.0067084+0.0011656i,-0.0042379+0.0016346i,-0.0028055+0.0026532i,-0.0025638+0.0033918i,-0.0010133+0.0029231i,0.0025386+0.0018829i,0.0047737-8.8419e-05i,0.0037123-0.0010767i,0.0014647-0.00073793i,-0.00025089-0.00050841i,-0.00099505-0.0012666i,-0.0013759-0.0021767i
0.054298+0.026845i,0.093+0.0040397i,0.10762-0.036775i,0.091957-0.047928i,0.059449-0.02904i,0.031458-0.015719i,0.014164-0.012394i,0.0029408-0.0076569i,-0.003463-0.0019737i,-0.0041156+0.00029949i,-0.0038499-0.00050027i,-0.0046932-0.00098694i,-0.0032303+7.1848e-05i,-0.0014275+0.0015653i,-0.0010187+0.0022875i,-9.5369e-05+0.0017418i,0.00073446-0.00064901i,0.0012493-0.003349i,0.00090874-0.003163i,-0.00067714-0.00074344i,-0.0010017+0.0010552i,-0.0003439+0.00071458i,-1.5632e-05+0.00017256i
