-0.0043417+0.0014969i,-0.00028973-0.0003704i,-0.00077295-0.0012406i,-0.001425-0.0010467i,0.00037678-0.00076577i,0.0021199-0.0014368i,0.00147-0.00054186i,0.00014518+0.0012657i,0.00043853+0.0014216i,0.0011113+0.00068798i,0.00087752+0.00028891i,0.0014155-0.00031786i,0.0019847-0.00060748i,0.0015009-0.00044389i,0.0012443-0.00062475i,0.00072361-0.00065923i,0.00017204-0.00015897i,-0.00023433+0.00033943i,-9.747e-05+0.00038298i,-0.00024531-8.443e-06i,-0.00072431+0.00040561i,-0.00095751+0.0010068i,-0.00062509+0.00076832i
0.00011154+0.002032i,0.0057527+0.00042021i,0.0062477-0.0007351i,0.003207-0.00053834i,0.0010871-0.00067703i,-0.000364-0.0013135i,-0.00070835-0.00094738i,0.00013927+0.00060583i,0.00074361+0.0014783i,0.00079939+0.001379i,0.00021005+0.0011707i,-0.00029703+0.00090088i,7.241e-05+0.00047014i,-0.00080901+0.00050571i,-0.0012664+2.3567e-05i,-0.00018714-0.00054435i,-4.9081e-05-0.00042025i,0.00044592+0.00032488i,0.00095671+0.00049227i,0.00036894-0.00016746i,-0.0006048-0.00047877i,-0.00086713-0.00020134i,-0.00036591-0.00028667i
0.0011406-0.0011548i,0.0036622-0.0025217i,0.0037247-0.0043871i,0.0018074-0.0033391i,0.0010096-0.001903i,0.0015638-0.0014201i,0.0010344-0.00029768i,0.00065492-0.00023219i,0.00050158-0.00098708i,-0.00055221-0.00034256i,-0.00079536+0.00089596i,-0.00029287+0.0012243i,-1.0563e-05+0.00082663i,-0.00017322+0.00056036i,6.0827e-05+0.00054545i,0.00055539+0.00014105i,5.7399e-05-0.00059192i,-0.00057903-0.00074319i,-0.00052434+0.00017523i,-0.00022919+3.8081e-05i,0.00043769-0.00077018i,0.00018551+0.00013903i,-0.00049943+0.00069377i
-0.0019283+0.00023601i,0.001582-0.00062495i,0.0026225-0.0017572i,0.00193-0.00062856i,0.0018247+0.00094846i,0.002094-4.3221e-05i,0.0013874-0.00052757i,0.0006891+0.00032582i,0.0011865+0.00083031i,0.0016323+0.00070405i,0.00034226+0.0015708i,-0.00040718+0.0017541i,1.3053e-05+0.00084058i,0.00019889+7.4152e-05i,0.00070777-9.5101e-05i,0.00096788+2.0877e-05i,0.00016393-0.00056225i,-0.00013373-0.0010505i,7.5096e-05-0.00069528i,0.00010408-0.00011975i,-0.00066275+0.00025332i,-0.0013774-2.1095e-05i,-0.00094226-0.0003681i
0.00012117+0.0015038i,0.004364-0.00056887i,0.0052989-0.0022522i,0.0030923-0.0020786i,0.0020045-0.0015727i,0.0016811-0.0016226i,0.00096026-0.0010357i,0.00024014+8.2853e-05i,-0.00016115+0.00042535i,-0.00014437+0.00041809i,-0.00019909+0.00029513i,-0.00057007+0.00012323i,-0.0005797+0.00028371i,-0.0002766+0.00076188i,-0.00021593+0.00034881i,0.00027079-0.00080115i,0.00076098-0.0010694i,-0.00035116-0.00027511i,-0.0010329+0.00010858i,-0.00030307+0.00014415i,-0.00064579+0.00042853i,-0.0012837+0.00022483i,-0.00078586+9.8641e-05i
-0.0010783-1.4674e-05i,0.0032218-0.0012421i,0.0045158-0.0026811i,0.0029951-0.0022037i,0.0021926-0.001737i,0.0023891-0.0016289i,0.0017342-0.00089497i,0.0011013+9.8258e-05i,0.00086149+0.00031776i,0.00048176+0.00042082i,-8.5665e-05+0.00063239i,-0.00037963+0.0011011i,-0.00046861+0.0014197i,-0.00020587+0.00065362i,0.00040823+0.00041473i,0.0007465+0.00075188i,0.00078791+0.00017979i,0.00074907-0.00024273i,0.00037841-0.00028935i,0.00025316-0.00023879i,3.3483e-05+0.00062098i,-0.00022622+0.0011756i,-0.00019041+0.00049654i
-0.003518+0.0014392i,0.0014493-7.6921e-05i,0.0028375-0.0020282i,0.00065608-0.0020037i,0.00049742-0.0012725i,0.0015541-0.0011027i,0.0014778-0.0013982i,0.0010502-0.00070269i,0.00040873+0.00040858i,-0.00034822+0.00074074i,-0.0001116-6.3023e-05i,0.00021167-0.00035413i,-9.5333e-05+7.1356e-05i,0.00030199-1.5644e-05i,0.00081769+0.0004076i,0.00022823+3.264e-05i,-0.0008185-0.00089464i,-0.00090701-0.0007772i,-0.00050163-0.00048988i,-0.00056672-2.7216e-05i,-0.00028408-0.00017342i,4.3395e-05-0.00073671i,-0.00011846-0.00044428i
-0.0015195-0.00034641i,0.00173-0.001237i,0.0039541-0.0017138i,0.0027876-0.0016434i,0.0008439-0.0015814i,0.00013257-0.0020454i,0.0006306-0.0011862i,0.00087898+0.00011106i,0.00068341+0.00019248i,0.00082554-7.6292e-05i,0.00057281+0.00035383i,-0.00026648+0.0010343i,-0.00092461+0.00094482i,-0.00088234+0.00039473i,-0.00023393-0.00078618i,0.00073943-0.0014346i,0.00088727-0.0007866i,-0.00025787-0.00031361i,-0.00071951-3.6365e-05i,-9.2124e-05-7.2128e-05i,6.9748e-05-9.2745e-05i,-0.00083519-0.00059449i,-0.00075426-0.0011769i
-0.00098305+0.00031257i,0.0026778-0.001472i,0.0041973-0.002505i,0.0033889-0.0023493i,0.0022832-0.0017356i,0.001397-0.0014442i,0.00051875-0.00084932i,0.00039054+0.00046588i,0.00080895+0.0015793i,0.00099734+0.0011929i,0.0010029+0.00024829i,0.00075526+5.6293e-05i,-0.00014502+0.00036198i,-0.0007716+0.00066969i,-0.00069477+0.00097874i,-0.00038514+2.9318e-05i,0.00025084-0.0010381i,0.00069027-0.00089722i,0.00015676-0.00048283i,-0.00033183-0.00082746i,0.00010657-0.00031927i,-4.8411e-05-0.00027598i,-0.00036745-0.00054723i
-0.00030461-0.00079982i,0.0019936-0.00084912i,0.0028778-0.001593i,0.0012103-0.00080587i,0.00039044-3.04e-05i,0.0010688-0.00063945i,0.0011027-0.00034981i,0.00048997+0.00024623i,9.2536e-05+0.0002992i,0.00036478+0.00058433i,0.00033597+0.00066497i,-0.00053222+0.00096713i,-0.00014157+0.000851i,0.00049121+0.00022112i,0.00035061-0.0007977i,-0.00013553-0.001031i,-0.00065092-0.00097343i,3.0159e-05-0.0011334i,0.0012918-0.00037076i,0.0012948-0.00016933i,0.00032334-0.00067438i,-0.00016516-0.00077853i,-0.00051987-0.00080051i
0.00073909+0.00011059i,0.0036184-0.00042029i,0.0050293-0.0016732i,0.0033353-0.0023538i,0.0018922-0.0022251i,0.00099104-0.0014185i,1.7739e-05-0.0011271i,0.00032487+6.5733e-05i,-0.00010292+0.001127i,-0.00021331+0.00078915i,0.00076205+0.00019175i,0.00080848+0.0008076i,0.00027714+0.0010152i,-0.00040563-0.00046401i,-0.00024509-0.00087413i,7.2633e-06-0.0005686i,0.00030136-0.00088232i,0.0003575-0.00062682i,0.00018299-0.00011695i,-4.2065e-05+8.6376e-05i,-0.00054617-0.00014557i,-0.0008482-0.00015149i,-0.0010964+0.00030684i
-0.0012529-0.00172i,0.00081877-0.002782i,0.0015247-0.0042841i,0.0010343-0.0027011i,0.00098856-0.00051741i,0.0011959-0.00059169i,0.0012039-0.0006668i,0.0012338+0.0002669i,0.0014887+0.00070141i,0.00089277-8.4133e-05i,-9.5196e-05-0.00054724i,-0.0011429-4.9439e-05i,-0.00071352-9.7015e-05i,0.00045542+7.104e-05i,0.00029491-0.00019355i,0.00025057-0.00029268i,0.00066872+7.9654e-06i,0.00073423+0.00012582i,0.00010194+0.00052244i,0.00026869+0.00019292i,0.00012801-0.00057733i,-0.00067148-0.0004317i,-0.0010172-2.9283e-05i
0.00073274-0.00037712i,0.0040861-0.0028123i,0.0047409-0.004213i,0.0024617-0.0034194i,0.00070557-0.0020061i,0.00073148-0.0010733i,0.00080609-0.00031819i,0.0011288+0.00089088i,0.0014717+0.0013837i,0.00040599+0.0010317i,-0.00033324+0.001248i,-0.0007427+0.0011652i,-0.00089902+0.00053277i,-0.00039354+0.00050522i,-0.00035213+9.0187e-05i,-0.00089558-0.00011608i,-0.00059419-0.0004334i,0.00043274-0.00069755i,0.00039139-0.00053213i,8.1266e-05-0.00024182i,0.00037394-2.4667e-05i,0.00050058-0.00021395i,-0.00035838-0.0004857i
0.00052614+0.0016773i,0.0038841-0.00047344i,0.0055109-0.003502i,0.0038752-0.0047864i,0.0025989-0.0043171i,0.0010081-0.0033717i,-0.0008648-0.0020233i,-0.00080153-0.00019122i,0.00033249+0.00036113i,0.00088018-8.6703e-06i,0.00023375+0.00033099i,-0.00031438+0.00066288i,-0.00044094-7.7714e-05i,-0.00077816-0.0011451i,-0.0007177-0.0009724i,-0.00058237-0.00044204i,-0.00072771-0.000774i,-0.00050992-0.00037467i,-0.00057745+0.00050424i,-0.00041976+0.00071762i,0.00022885+0.00064542i,0.00031716+0.00059186i,-7.816e-05+1.5583e-05i
-0.0021512+5.5462e-05i,0.0020828-0.00060391i,0.0041459-0.001231i,0.0029018-3.9053e-05i,0.0022629+0.0011096i,0.0017955+0.00071274i,0.0010777+0.00014774i,0.00042605+0.00019523i,0.00012063+0.0006689i,-7.0117e-05+0.0014898i,-0.00031549+0.0012775i,0.00020736+0.00042891i,0.0015715+0.00030306i,0.0019334+0.00040216i,0.00097949+0.00035501i,0.00045152+0.00029274i,4.2921e-05+3.8037e-05i,-0.00036594+8.7793e-05i,-0.00071999-0.00010521i,-0.00088035-0.00037411i,-0.00028084+0.00026855i,-0.00071032+0.00018814i,-0.0011923-0.00068064i
-0.0017652+0.00071606i,0.0013235-0.00022381i,0.00254-0.00048617i,0.0014859-0.00026301i,0.0010926-0.00027782i,0.0014853-0.0014295i,0.00015143-0.0010696i,-0.00083701-4.424e-05i,-2.3108e-05+5.074e-05i,0.00093928+0.0006096i,0.00081446+0.00061166i,-0.0002009+8.811e-05i,-0.00064316-0.00027053i,-0.00015746-0.00029283i,0.00011862+0.00040201i,-0.00081271+0.00036306i,-0.0013038+0.00013177i,-0.00049544-0.00036527i,-0.00027781-0.00051501i,-0.00021838-0.00027959i,-4.8771e-05-0.0001357i,-0.00071186+0.00022618i,-0.00090249-0.00025236i
-0.00086378-0.0010449i,0.0014836-0.0017881i,0.0026428-0.0024978i,0.0013134-0.0026484i,0.0010783-0.0024778i,0.0013015-0.0016401i,0.00088031-0.0015969i,0.00072615-0.0010231i,0.00057295+0.0011044i,-0.00010571+0.001475i,-0.00085467+0.00083518i,-0.00010511+0.00050845i,0.00053713+0.00029081i,-0.00035351+3.9735e-05i,-0.001452-0.00068751i,-0.0010996-0.0013326i,3.9287e-05-0.00094467i,6.5883e-05-9.0049e-05i,0.00049421-0.00025166i,0.00087763-0.00011022i,0.00042117+7.3803e-05i,0.00052968+3.5206e-05i,0.00060285-0.00048056i
-0.0029616+0.0014036i,0.0017606+0.00067603i,0.0043078+0.00022306i,0.0033415-0.00030778i,0.0018097-0.001158i,0.00098863-0.0012851i,0.00021638-0.00042087i,5.314e-05+0.00056125i,0.000435+0.00076503i,0.0012259+0.00045502i,0.0009904-0.00017366i,0.00010878-1.0296e-05i,-0.00017457+0.00044178i,0.00032548-0.00039443i,0.0011154-0.0013399i,0.00058839-0.00075008i,0.00012574+0.00010368i,0.00032822-7.004e-05i,-0.00047479+2.8299e-05i,-0.0012243+1.7334e-06i,-0.00030954-0.00011382i,1.8766e-06+0.0007036i,-0.00047993+0.0011022i
-0.00030618+0.0011154i,0.002784-0.0011271i,0.0048738-0.0040801i,0.0040675-0.0037669i,0.0022607-0.0028565i,0.0011378-0.0026189i,0.0004946-0.0017556i,0.00049499-0.0003848i,0.00077837+0.00011656i,9.1208e-05-0.00016764i,-0.00043225+7.3894e-05i,-0.00093248+0.00069985i,-0.0014969+0.0012536i,-0.0014845+0.0008918i,-0.00093898-0.00035058i,-0.00059039-0.00076908i,-0.00020189-0.00052105i,-0.0003036-0.00012652i,-0.000669+9.4759e-05i,-0.00082926-0.00068771i,-0.00055952-0.00067708i,-7.844e-05+0.00041498i,-5.2907e-05+0.00058488i
-0.0005979-0.00044637i,0.0018008-0.0017825i,0.0037578-0.001872i,0.0035604-0.00097597i,0.0026963-0.00046939i,0.0013321-0.00067415i,0.00075915+0.00026476i,0.0010229+0.0010782i,0.00088912+0.0011669i,0.00079442+0.00071741i,0.00038195+0.00031744i,5.8428e-05+0.00072102i,0.00010584+0.001631i,-3.4231e-05+0.0015184i,-0.00051415+0.00049475i,-7.5087e-05-0.00030719i,0.00030585-0.00062807i,-0.00021619-0.0005638i,-0.00023111-0.00016377i,-0.00031636+0.00023783i,-0.00020198+0.00013147i,-6.8663e-05+0.00034026i,4.8414e-06+0.0002068i
-0.0022318-1.6776e-05i,0.0012382-0.00071709i,0.0026439-0.0010583i,0.0014995-0.0004452i,0.0011108-0.00090081i,0.0016308-0.0015563i,0.001434-0.0016642i,0.00089384-0.0011774i,0.00014598-0.00077512i,-0.00029077-0.00018308i,-0.00037484+0.0002943i,-0.00072241+0.00091794i,-0.00093015+0.0010701i,-0.00012201+0.00034842i,0.00037794+0.00017458i,0.00033054+0.00057873i,0.00080363+5.5509e-05i,0.00052836-0.00047498i,-0.00046611-0.00024919i,-0.00073378-0.00010712i,-0.00088217-0.00045511i,-0.00088186-0.00081959i,-0.00079626+0.00020694i
0.0004332+0.00020177i,0.0025164-0.0003837i,0.003095-0.0018151i,0.0021593-0.0022596i,0.0015976-0.0016959i,0.00079862-0.0011075i,0.0001823-0.00071089i,0.00020822+0.00048343i,0.0004829+0.00080984i,0.00020981-1.8318e-05i,0.0001566+0.00056437i,0.00053068+0.00099486i,0.00041837+9.9829e-05i,9.1136e-05-0.00066615i,-0.00048972+4.838e-05i,-1.2618e-05+0.00032121i,0.0011969-0.00071785i,0.00071553-0.0012544i,0.00010132-0.00037796i,0.00023579+0.00065715i,0.00021004+0.00066844i,-0.0002863+0.0005826i,-0.00040681+0.00048008i
-0.00094682+0.00048377i,0.0023949-0.0017788i,0.0043892-0.0038371i,0.0030855-0.0031722i,0.0018227-0.0021897i,0.0011978-0.0020178i,0.00069258-0.0015998i,0.00037744-0.0009286i,0.00071302+0.00015096i,0.00096672+0.0010864i,0.00037089+0.00071441i,-0.00033794+0.00010631i,-0.00052884-4.9469e-05i,-0.00077908-0.0004967i,-0.00064742-0.0011368i,-0.00049012-0.0011355i,0.00020614-0.00099816i,0.00076838-0.0011555i,0.00032939-0.00043184i,0.00025547+0.0005624i,0.00068084+0.00056486i,0.00030689+0.00017428i,0.00013306-0.00044607i
-0.00049251-6.4542e-05i,0.003337-0.00045048i,0.0055865-0.0026235i,0.0043531-0.002722i,0.0024744-0.0019783i,0.0019989-0.0019134i,0.0013238-0.0016106i,0.00052361-0.00078081i,-0.00022896-0.00031047i,-0.00039118+8.0121e-05i,-0.00030589+0.00030369i,-0.00025977+0.00093004i,0.00035279+0.0009697i,0.00020956+0.00017551i,9.5012e-05-0.00068128i,0.00044066-0.0004064i,0.00018122+0.00031009i,-0.00036366-0.00021731i,-0.00011579-0.00080306i,0.00012457-0.00033319i,5.1382e-05-0.00047693i,-0.00038684-0.00036694i,-0.00039275-0.00030621i
-0.0017172+0.0048042i,0.003096+0.004112i,0.00591+0.0024957i,0.0037163+0.0010654i,0.0014492-0.0012316i,0.00038871-0.002863i,-0.00054137-0.0018907i,-0.00088289-4.8662e-05i,-0.00029772+0.0010057i,0.00031954+0.0010287i,-0.00024761-2.4244e-06i,-0.001393-0.00066588i,-0.0014897+0.00038168i,-0.0015522+0.0012113i,-0.00188+0.00042792i,-0.0012676-0.00016358i,-0.00054207-0.00015296i,0.0002329-7.2892e-05i,-9.0151e-05-0.0004237i,-0.00016486-0.00060991i,0.00035941-0.00052172i,-0.00014302+0.00018532i,-5.9802e-05+9.9857e-05i
-0.00016219+0.0014227i,0.0018118+0.0004548i,0.0018124-0.0018914i,0.00068658-0.0027859i,0.0014756-0.0020657i,0.0013976-0.00089055i,-0.00022156-0.00025792i,-0.00049694-3.1246e-05i,0.0006475+0.00010249i,0.00083672-6.8588e-05i,0.00042115-4.608e-05i,-0.00020868-8.9172e-05i,-0.0008216-6.1034e-05i,-0.00050588+9.1165e-05i,-0.00023649-0.00015298i,-0.0002851-0.00013801i,-0.00013478-0.00026214i,-4.0614e-06-0.00046915i,-0.00025882-0.00027518i,3.7747e-05-0.00041721i,-0.00022391-0.00055139i,-0.0012817-0.00020368i,-0.0013516-4.091e-06i
-0.0012954+0.000569i,0.0015145+6.1362e-06i,0.0014528-0.0020205i,3.872e-05-0.001621i,-5.2195e-05-0.00043061i,0.00044132-0.0010955i,0.00051166-0.00061269i,0.00015562+0.00049535i,-2.2085e-05+0.00039661i,0.00013366-6.5229e-07i,0.00011289+0.00020123i,7.6612e-05+0.00049473i,0.00012913+0.0010364i,-0.00059398+0.00074041i,-0.00074642+0.00033063i,0.00021772+0.00034551i,0.00015262-0.00014079i,-0.00038324-0.00081316i,-0.00033392-0.0016564i,0.00041291-0.0012539i,0.00087699+0.00030221i,0.00021305+0.0010282i,-0.00065711+6.1327e-05i
-0.00047558+9.6185e-06i,0.0031624-0.0017344i,0.0041704-0.0042297i,0.0019051-0.0040594i,0.00054509-0.0021184i,0.0013868-0.0015582i,0.001239-0.0013693i,-7.3229e-05-0.00066876i,-0.00024217+0.00070281i,-0.00015117+0.0012574i,-0.00071558+0.00038078i,-0.00090214+0.00023225i,-0.00011982+0.00011301i,0.00035702-0.00026892i,0.00055558-0.00011165i,0.00029965+0.00038641i,-0.00049558-1.0851e-05i,-0.00052167-0.0005991i,0.00055125-0.00041718i,0.00080367-0.00023459i,-0.00014286-0.00029703i,-0.00021596-0.00017489i,-0.00025807+0.0002285i
-0.0018977+0.00081642i,0.0025179-0.001385i,0.0051867-0.0023979i,0.0042843-0.0018395i,0.0034673-0.0011196i,0.0027664-0.0016345i,0.0011452-0.0024977i,0.00022959-0.0014568i,0.00043181+0.00065833i,0.00053214+0.0010017i,0.00025603+0.00082404i,-0.00096638+0.00049208i,-0.0010697-0.00011394i,-0.0002007-0.00088398i,-0.00015426-0.0013981i,0.0001862-0.00082622i,0.0005805+0.00041881i,0.0001192+0.0005644i,-0.00013525-0.00023595i,0.00011497-0.00036367i,-0.00030107+0.00031609i,-0.00076839+6.2422e-05i,-4.5546e-05+2.719e-05i
-0.00041386+0.00076318i,0.0028457-0.00011946i,0.004215-0.0020751i,0.0028622-0.0022254i,0.0016011-0.0011559i,0.0018453-0.00033477i,0.0015019+0.00011582i,0.0010463-5.3325e-05i,0.00074507-0.00033057i,-8.3725e-05+6.231e-05i,-0.00047778+0.00034253i,-0.00026597+0.0004632i,-8.342e-05+0.0011518i,-0.00023966+0.0014209i,-0.0007529+0.00079369i,-0.0006649+0.00027244i,-0.00030095-0.00021834i,-0.00052908-0.00079537i,-0.00030594-0.00074656i,3.0981e-05-0.00063209i,-0.00056417-0.00040255i,-0.0009934+0.00048522i,-0.00080963+0.00077748i
-0.0022444+4.2695e-05i,0.00054247-0.00069045i,0.0014205-0.0019459i,0.00082648-0.0012925i,0.0017779-0.00023134i,0.0023123-0.00020814i,0.0016503+0.0002975i,0.0011922+0.00071958i,0.00088916+0.00067337i,0.00062359+0.00076965i,0.00031015+0.00074891i,-5.1707e-05+0.00064279i,0.00057108-3.9945e-05i,0.00084533-0.00078278i,0.00044675-0.0010132i,0.00084225-0.00093732i,0.0011121-0.00017811i,0.00094858+8.3998e-05i,0.00031077+6.9842e-05i,-0.00018191+0.00016118i,-0.00043163-2.8961e-05i,-0.0011499+0.0001345i,-0.001488-0.00038335i
0.00063574+0.00053025i,0.003211-0.002645i,0.0033128-0.0050682i,0.0012658-0.004826i,0.00086109-0.0031722i,0.00080259-0.0022096i,-5.9201e-05-0.00027209i,-0.0001604+0.0019137i,0.00026012+0.0018901i,0.00052636+0.0012133i,0.00050337+0.00033181i,-0.00011921+1.5239e-05i,-0.00044374-0.00027846i,-0.00095843-0.0008791i,-0.0011871-0.0015375i,-0.00083345-0.000913i,-0.00030703-0.00022908i,-0.00028439-0.00049437i,-0.00058133-0.0005667i,-0.00058656+6.9793e-05i,-4.014e-05+0.00073371i,0.00010453+0.00083517i,-0.00074089+0.00050698i
-0.0014875-0.0012565i,0.0022702-0.0013657i,0.0040273-0.0021668i,0.0035897-0.0021912i,0.0031019-0.00085635i,0.0026799-0.00094351i,0.0016466-0.0015191i,0.0012834-0.0012685i,0.00089965-0.0012845i,0.00030634-0.00090371i,0.00029987-0.00049798i,-5.3846e-07-0.00018229i,-3.1675e-05+0.00013408i,0.00092675+0.00011122i,0.00046817+0.00020317i,-0.0010561+0.00015022i,-0.00097087-8.1112e-05i,-0.00029854-0.00036345i,-0.00076158-0.0007053i,-0.0009393-0.00022924i,0.00048142+0.0010054i,0.00090572+0.0011666i,0.00029081-0.00021012i
0.00034102+0.00020505i,0.0037018-0.0012635i,0.0057894-0.0028947i,0.0036198-0.0026377i,0.0001821-0.001611i,-0.00098259-0.00039892i,-0.00062735+0.00036495i,-0.00012416+0.00076914i,0.00054223+0.00076936i,0.00063204+0.00011911i,0.00061745-3.4383e-06i,1.2176e-05+0.00064482i,-0.00038049+0.00060602i,-0.00048832+0.00039222i,-0.00041221-3.2348e-05i,0.00051423-0.00025445i,0.00064446-4.434e-05i,-1.0702e-05-0.0001408i,0.00018378-4.2572e-05i,0.0003354+9.3453e-05i,-0.00069873+0.00025161i,-0.0013425+0.00023185i,-0.0011464+0.00029974i
-0.00034703-0.00085876i,0.0031492-0.0013757i,0.00491-0.0023624i,0.0035413-0.0025016i,0.0013076-0.0024071i,0.00051496-0.002604i,0.00054174-0.0013176i,0.00086778+0.00024662i,0.00051713+0.0010212i,-8.7003e-05+0.0013875i,-4.5104e-06+0.001225i,-0.0002051+0.00074948i,-0.0005149+0.00053415i,-0.00065993+0.00046515i,-0.00063238+0.00035739i,-8.1346e-05+0.0003536i,-7.7087e-05+8.4241e-05i,-0.00025812-0.00052562i,-2.6816e-06-0.00073829i,-0.00030219+0.00031593i,-0.00051176+0.0012501i,0.0001082+0.00092323i,-9.3786e-05-2.1776e-05i
-0.00053085-0.0022097i,0.003571-0.003427i,0.0038439-0.0033051i,0.0020992-0.0021595i,0.0015978-0.0010837i,0.00052829-0.0011148i,-0.00072577-0.00074188i,-0.00025325+0.0003654i,-7.3784e-06+0.00091897i,-0.00067979+0.0010828i,-0.00053646+0.00099901i,7.3566e-05+0.00096967i,-0.00023244+0.0006658i,0.00035612+0.00038907i,0.0010646-0.00053236i,0.00088917-0.00088907i,5.7019e-05-0.00012797i,-0.00032343-0.00057092i,-0.00030271-0.00064655i,-0.00056393+0.00031104i,-0.00026944+0.00053701i,0.00054763+0.00052756i,0.00056868+0.00084699i
0.0017795-0.0011866i,0.005033-0.0022035i,0.0053389-0.0029948i,0.0029399-0.0024615i,0.0014961-0.001824i,0.0011891-0.0018387i,0.000393-0.00054054i,0.00036818+0.0010341i,0.00066032+0.0013866i,0.00093198+0.0010258i,0.00065489+0.00085542i,0.00013647+0.0016723i,0.00035782+0.0017118i,0.00037447+0.00098616i,1.5208e-05+0.00017095i,1.729e-05+0.00011975i,-8.9149e-06-0.0010193i,0.00029203-0.0020023i,0.00072742-0.0011036i,0.00076191-0.0001925i,0.00059534+4.0562e-05i,6.8224e-06-9.3337e-05i,-0.00076487-0.00033197i
0.0012298+0.0004069i,0.0054326-0.00091515i,0.006699-0.0026652i,0.0041831-0.0026505i,0.0016152-0.0019931i,0.00059843-0.0017942i,-0.00057613-0.0013444i,-0.00033738-4.2335e-05i,0.0008073+0.00059984i,0.00085442-0.00046327i,0.00048102-0.00098275i,-0.00044794-0.00052117i,-0.00054475+7.7335e-05i,-4.9439e-05+0.0010042i,-0.00031975+0.00083464i,-0.00075692+0.00038752i,-0.0007215-3.9149e-05i,-0.00065298-0.00070033i,-0.00072672-0.0005088i,-0.00034458-0.00060426i,0.00045544-0.00071207i,1.7052e-05-0.0002544i,-0.00082869-0.00035621i
-0.0026291-0.00064875i,0.00062536-0.00065509i,0.0038215-0.0012774i,0.0040802-0.0004402i,0.0024279-0.00063276i,0.00088106-0.0013763i,-0.00021409-0.0014595i,-0.0004336-0.00034868i,-0.00019434+0.00032147i,-3.6425e-05-0.00022904i,0.00017321-7.6743e-05i,-0.00012146+0.00030958i,-0.00088238+0.00024481i,-0.0012142-0.00011945i,-0.00069257-0.00062085i,-0.00040782-0.00018842i,0.00019435+0.00025174i,0.00072004+0.00016436i,0.00046301+0.00012066i,0.0010122-2.0546e-05i,0.0010228+0.00021897i,-1.4337e-05+0.00027039i,-0.0006877+0.00062895i
0.0019094-0.0035057i,0.0048076-0.0044266i,0.0046893-0.0037324i,0.0019266-0.0014762i,0.0007115-0.00052149i,0.00042533-0.001007i,0.00028227-0.0010213i,0.00052568-0.00032642i,0.00083163+9.8371e-05i,0.00070481+0.00042503i,-0.00038117+0.0016253i,-0.0011866+0.001907i,-0.00095851+0.00051516i,-0.00025468-0.00026683i,-0.00014861+0.00027023i,0.00010117+0.00059337i,0.00021591-0.00015329i,-0.00046131-0.00032193i,-0.00099704+0.00031074i,-0.0004527+6.113e-05i,-8.6669e-05-0.00043123i,-0.00039487-0.00072487i,-0.00035331-0.00077772i
0.0040534-0.00055186i,0.0085976-0.0023312i,0.00856-0.0033686i,0.0042305-0.0025074i,0.0011441-0.0013885i,0.00060386-0.0011452i,0.00092878-0.0011353i,0.0010139-0.00067159i,0.00062827-0.00038829i,0.00014986-0.00048486i,-0.00036266+0.00012479i,-0.00087236+0.00056728i,-0.00099435+0.00019066i,0.00018443+4.6536e-05i,0.00098685+0.00037858i,7.5813e-05+0.00010971i,-0.00029092-0.00056336i,-6.7116e-06-0.00060239i,0.00044446-3.1702e-05i,0.0012003+0.00022035i,0.0010565+0.00021949i,-0.00044522+0.00011544i,-0.0016406-0.00081369i
0.0010452+0.00057873i,0.0058794+0.00093644i,0.007079-0.00030566i,0.0044032-0.0018419i,0.002752-0.0022425i,0.002496-0.0025373i,0.00060806-0.001633i,-0.00059073-0.00070249i,-0.00053659-5.346e-05i,-0.00020354+0.00070683i,0.00056213+0.00074486i,0.00019082+0.00083716i,-0.00011636-3.6324e-05i,0.00036118-0.00084516i,-1.7099e-06-0.00030641i,-0.0001228+0.00012078i,9.8317e-05+0.00030431i,-0.00035418+0.00067938i,-0.00051295+0.00051999i,0.00018768-0.00041501i,0.00090708-0.00041931i,9.7723e-05+5.4643e-05i,-0.00048891-3.7887e-05i
0.0015225+0.00095103i,0.0049761+0.00032313i,0.0052972-0.00042369i,0.0031773-0.0010487i,0.0015238-0.0010309i,0.00018633-0.0006538i,-0.00068897-0.00050899i,-0.00052555+0.00027501i,0.00059058+0.00058489i,0.00083666+0.00097208i,-5.9394e-06+0.001548i,-6.9794e-05+0.0016695i,-0.00022917+0.00094673i,2.5457e-05+0.0001445i,0.00066023+0.00055449i,0.00086549+0.00052726i,0.0012265-0.00024326i,0.00089163-0.00018562i,-0.0003624-6.5514e-05i,-0.00081744-0.0011985i,-0.00035176-0.0012151i,-0.00051274-0.00022505i,-0.00066479+0.00033276i
0.0018781+0.00035198i,0.005313-0.00070582i,0.005599-0.0020306i,0.0037837-0.0026891i,0.0017829-0.0028472i,0.00050471-0.0030858i,0.00045092-0.0025924i,0.0005896-0.00059168i,0.00045725+0.00097919i,0.00030248+0.0012361i,-0.00026676+0.00095831i,-0.0010751+0.00063925i,-0.00067902+0.00086508i,-4.3462e-06+0.00048837i,-0.00013036-0.00025064i,-0.00017016-0.00028272i,-0.00017009-0.0008256i,-8.0976e-05-0.0012435i,0.00026621-0.00089902i,0.00030044-0.00020439i,-0.00012878-0.00039715i,8.01e-05-0.00058964i,-0.00035273-0.0002172i
