0.0025214+0.00067843i,0.0019046-0.00034213i,0.0010941-0.0024618i,-0.00066682-0.0029928i,-0.0027951-0.0010464i,-0.0041688+0.0016174i,-0.0031142+0.002535i,-0.0011231+0.0021508i,0.00047638+0.0012246i,0.00095436-0.00029948i,0.00023512-0.0015617i,-0.00037238-0.0014124i,-0.0010375+0.00016281i,-0.0009169+0.00055764i,-0.0010188-4.6475e-05i,-0.00078556-0.00020264i,-0.00036343-0.00030467i,-0.0005063-0.00021269i,-0.00074016+0.00049259i,-0.00089754+0.0012851i,-0.00043423+0.00089722i,-0.00023942-0.00018993i,-0.00073303-5.283e-05i
-0.0030205-0.00029456i,-0.0020743+0.00012429i,-0.001348+0.0013558i,-0.00068708+0.0029205i,-0.00020738+0.0027863i,-0.00075132+0.0018061i,-0.00061298+0.0010193i,-0.00051331+0.00097393i,1.0824e-05+0.0007412i,0.00048701+0.00065786i,0.0004682+0.00083918i,0.00031065+0.00039242i,4.1694e-05-0.00020751i,-0.00013642-0.00016702i,0.0001016-3.5216e-05i,0.00054512-0.00030376i,-0.00010248-8.1176e-05i,-0.00058069-2.2454e-05i,-0.00055343-0.00054227i,-6.8668e-06-0.00052697i,0.0003144-8.8291e-05i,1.2552e-05-5.5853e-05i,-0.0004278-0.00050915i
0.0011118+0.0021336i,0.0016474+0.0018791i,0.0017293-0.00050405i,0.0017558-0.0021016i,0.0013641-0.0012072i,-0.00014466+0.00011687i,-0.00029411+0.001026i,-0.00030966+0.001146i,-0.00047285+0.00027175i,0.00029169-0.00033404i,0.00061472-0.0001201i,0.00027951-0.00013202i,-4.5555e-05-0.0002386i,0.00027886+0.00013061i,0.0012356+0.00040646i,0.0012772+7.964e-05i,0.00070923-0.00031872i,-0.00016069-0.00032302i,-0.0007802-0.0002822i,-0.0011108-5.3127e-05i,-0.0014544-0.00036917i,-0.0010617-0.0014757i,-0.00046937-0.00099393i
-0.0016216+0.0013398i,-0.0012129+0.002048i,-0.00021472+0.0025201i,0.00011635+0.0023582i,-0.00075367+0.0020658i,-0.0018345+0.0018046i,-0.0018915+0.0015504i,-0.0013989+0.001116i,-0.0009277+0.00088052i,0.00021059+0.00048441i,0.0010117+0.00069488i,0.0014463+0.0012135i,0.0016289+0.0007564i,0.00096573+0.00043786i,-6.5726e-05+0.00079392i,-7.8745e-05+0.00072162i,0.0002087+0.00023582i,-0.00014062+8.6341e-05i,-0.00018008+0.00038599i,-0.00031088+0.00054469i,-0.00017741+0.00033787i,-0.00029449-0.00020359i,-0.0011912-0.00025652i
0.00057553-0.0021192i,8.6421e-05-0.0017734i,-0.00098671-0.0010016i,-0.0008757-0.00043994i,-0.00054788+0.00043406i,-0.00091428+0.0011303i,-0.0012606+0.00078334i,-0.00082195-0.00017141i,0.00027294-1.2346e-05i,0.00056416-6.5747e-05i,9.6901e-05-0.00092897i,-0.00020052-0.0010527i,-8.0605e-05-0.00016437i,-3.0541e-05-0.00030135i,-3.0848e-05-0.00011837i,0.00036455+0.00035655i,0.00057068+0.0002296i,0.00082017-3.8703e-05i,0.0014048-0.00042075i,0.001237-8.7634e-05i,0.00041473+0.00074777i,-0.00028256+0.00074419i,-0.00011328+0.00013143i
0.0020757-0.00013337i,0.0014282+0.00059756i,0.00090882+7.9203e-05i,-0.0010015+0.00020898i,-0.0023009+0.00014241i,-0.0023942+0.0010867i,-0.001645+0.0014915i,0.00013448+0.00037295i,0.00071945-0.0010141i,0.00042342-0.0015458i,4.4011e-05-0.0012854i,0.00013301-0.00061258i,-0.00067297-0.00073601i,-0.0012034-0.00086997i,-0.0012513-8.0991e-05i,-0.00063139+0.00046926i,-0.00012068+0.00016457i,0.00019156-0.00035267i,0.0005187-0.0002164i,-4.288e-05-0.00038061i,-3.3158e-05-0.00023499i,0.00014368+0.00031361i,-2.2371e-06+0.00028789i
-0.0054684+0.00066324i,-0.004996+0.0015155i,-0.0033385+0.0031525i,-0.0013417+0.0032804i,-0.00029955+0.0025557i,-0.0010989+0.0023383i,-0.0018795+0.0018502i,-0.0012154+0.0012543i,-0.0012524+0.00090097i,-0.0012798+0.00055151i,-0.00067707+0.00037553i,-0.00075722+0.00023125i,-0.00083029-0.00017076i,-0.0005271-0.00025223i,-0.00013133-0.00015657i,0.00052195-0.00010773i,0.0008302-0.00043552i,0.00022997-0.00056035i,0.0001699+0.0003851i,6.4563e-05+0.0002098i,-0.00033357-0.00037802i,-0.00012335-7.5365e-05i,0.00036278-7.1002e-05i
-0.00037736-0.0015383i,1.9538e-05-0.00046227i,0.00021668+0.0010879i,0.00042391+0.0012048i,7.8815e-07+0.00086017i,-0.0009594+0.00093225i,-0.0016055+0.0006297i,-0.001209-3.9715e-05i,-0.0004448-6.2317e-05i,0.00052671+0.00053223i,0.00094607+0.00058497i,0.0001041+0.00019945i,-0.00082337+0.00011194i,-0.0010601+0.00028987i,-0.00041803-0.00011729i,0.0001304+1.3305e-06i,0.00012621-0.00021983i,6.7978e-05+7.9253e-05i,-0.00017129+0.00048334i,-0.00015039+5.8893e-05i,-0.0001557-0.00042241i,0.00031689-0.00071674i,0.0011014-0.00014447i
-0.0019524-0.0011599i,-0.0030136-0.00051873i,-0.0029299+0.0010025i,-0.0020031+0.0024657i,-0.0013033+0.0023215i,-0.0018864+0.0023701i,-0.0015274+0.0025201i,-0.00084488+0.0018321i,-0.0011017+0.001066i,-0.00052526+0.00095299i,-6.3028e-05+0.00060566i,0.00049211+0.00032625i,0.00084339+0.00075921i,0.00054218+0.00096156i,0.00054008+0.0012572i,0.00056948+0.0012707i,0.00034014+0.00033399i,-0.00010192-3.4456e-05i,-0.00015813-0.00045391i,0.00089197-0.00026585i,0.0012218+9.8162e-05i,0.00085848+0.0001358i,0.00017969+0.0005192i
-0.0019698-0.0013006i,-0.0023867-0.0012839i,-0.0022549-0.00098943i,-0.0019135-0.00055925i,-0.0021283+0.0010008i,-0.0023526+0.0016791i,-0.0012102+0.0014954i,-0.00016502+0.0010565i,0.00020845+3.476e-05i,0.0009475-5.4135e-05i,0.00092297-0.0001627i,0.00074153-0.00013686i,0.00098207+0.00060572i,0.00069798+0.00077664i,0.00056628+0.00094628i,0.001447+0.00059432i,0.0014656+0.00076635i,0.00025644+0.0010992i,-0.00029873+0.00059814i,-0.00027059-0.0001786i,-0.00074385-0.00011132i,-0.00082374+0.00014853i,-0.00025273-0.00024421i
0.00139+5.4858e-05i,0.00091996+0.00080619i,0.00096681+0.00043295i,0.001048+0.00067645i,-0.00043881+0.0011372i,-0.0015558+0.0018629i,-0.00081007+0.0019474i,0.00068729+0.00097537i,0.0010607-0.00035783i,0.00058504-0.0011015i,-5.7627e-05-0.0016524i,-0.00045898-0.0019856i,-0.00024136-0.0012069i,0.00069898-0.0002547i,0.0011007+0.00026236i,0.00032821+0.00016674i,-0.00038356-0.00020388i,-0.00049217-0.0005189i,0.00010426-0.00049734i,0.0009898+3.6768e-05i,0.00060321+0.00040015i,-0.00030325+0.00020271i,-0.00020333-0.00042854i
-5.9406e-05+0.00023263i,-0.0007511+0.0011285i,-0.0010928+0.0022686i,-0.0010512+0.0020336i,-0.00055723+0.002191i,-0.00032417+0.0015524i,-0.0007478+0.00076087i,-0.00065891+0.0007656i,-0.00021353+0.00058847i,-0.00038332+0.00042487i,-0.00069904+0.00019287i,-0.00092079-0.00064848i,-0.00090695-0.0015529i,-0.00028452-0.0012495i,7.8615e-05-0.000739i,-0.0001225-0.00069294i,-0.00067134-6.9936e-05i,-0.00072162+5.6312e-05i,-0.00051462-0.00017718i,-0.000687+8.0017e-05i,-5.4895e-05+0.00022508i,0.00088383-0.0001722i,0.00062825-9.6616e-05i
0.0026814-0.00101i,0.001388-0.00083643i,0.0011576-0.0013372i,0.00093644-0.00079831i,-0.0015106+0.00014761i,-0.0030791+0.0007019i,-0.002273+0.00084543i,-0.00094261+0.00036598i,8.3144e-05-0.00055298i,0.00078571-0.00059284i,0.00033158+0.00033044i,-0.0011288+0.00066848i,-0.00086567+0.0011135i,0.00010494+0.00091234i,-0.00020122+0.00010057i,-0.00012199-0.00049002i,-5.5236e-05-0.00095193i,0.00010843-0.00032645i,-0.00033321+0.00042815i,-0.00092117+3.3359e-05i,-0.00044052-0.00021896i,0.00018256+0.00019602i,-0.00026997+0.00038707i
0.00071043+8.4044e-05i,-0.0017674+0.00010565i,-0.0023794+0.00064639i,-0.0011599-0.00033164i,-0.00077183-0.0014974i,-0.0014637-0.00065224i,-0.0011777-0.00011407i,-0.00051476-0.00038626i,-3.3554e-05-7.4051e-05i,0.00022149+0.00010256i,-0.00027706-0.00021744i,0.0001836-0.0007997i,-4.2652e-05-0.00036591i,-0.00084529+0.00045686i,-0.0011229+0.00058913i,-0.0014121+0.00035864i,-0.0012273-0.00031425i,-0.00057978-0.00025261i,-7.8825e-05+0.00038006i,-0.00027506+0.00061782i,-0.0003872+0.00018516i,-1.7775e-05+0.00019524i,0.00013219+0.00053323i
0.0014443-0.0013107i,0.0014218-0.00275i,0.0015732-0.0039904i,0.00027962-0.0037211i,-0.0012942-0.0016002i,-0.0016233+0.00040745i,-0.0009958+0.00069401i,0.00027904+0.00043432i,0.00049921+0.00066333i,0.00058457+0.00020267i,0.00091063-0.00027429i,0.00042859+0.00038974i,-0.00056135+0.00060556i,-0.00074896-0.0001987i,-0.00022622-0.0003055i,-0.00014798+0.00012551i,0.00022169-0.00012818i,0.0010983-0.0004177i,0.00073853-9.5838e-05i,0.00046321+0.00032174i,0.00031718+0.00071421i,0.00027023+0.0010061i,0.00079434+0.00083295i
0.0022248+0.00019484i,0.0012025+0.0016287i,0.00019169+0.0025497i,-0.00097775+0.0028124i,-0.0019447+0.0022187i,-0.0026245+0.0021008i,-0.001654+0.0021741i,-0.00045584+0.0012194i,-0.00040904-0.00032795i,-8.8291e-05-0.00056293i,0.00015461-0.00081713i,0.00029666-0.0014668i,-0.0001552+8.7576e-05i,-0.00068319+0.0010826i,-7.9245e-05+0.00087979i,0.0010284+0.0008183i,0.00045509+0.00047114i,-0.00043125+0.00028737i,-0.00071825+0.00018253i,-0.0010986-0.00041482i,-0.00067217-0.00044008i,-0.00084014+2.4706e-05i,-0.0010024+0.00013546i
-0.0012612+0.00073338i,-0.0011034-0.00012659i,-0.00033036-0.00049794i,0.00088728-0.00047976i,0.00092764-0.0012839i,-0.00051865-0.00054227i,-0.0017946+0.00086667i,-0.0011363+0.00082458i,-5.0687e-05+0.00045421i,0.00014136-6.8859e-05i,0.0002684-0.00071493i,-0.00017741-0.00099048i,-0.00018653-0.000489i,0.00018487-0.00038399i,0.00040246-0.00018836i,0.00047547+0.00014557i,0.00037971-0.00015647i,-2.1198e-05-0.0002911i,7.0922e-05-0.00039601i,0.00074495-0.00042535i,0.00081265+0.00011967i,0.00024713+0.00023115i,-0.00016138-7.8773e-05i
0.0015259+0.0028257i,0.002008+0.002727i,0.0029639+0.0018426i,0.0023871+0.0011584i,0.00019319+0.0011273i,-0.0015291+0.0021497i,-0.0020693+0.0027066i,-0.001002+0.0010165i,-0.000227-0.00058485i,-0.00045035-0.00053593i,-0.00081714-0.00042846i,-0.00047524-0.00017908i,-0.00032409-0.00013095i,-0.00012761-0.00079052i,0.00028427-0.000933i,0.00026014-0.00096539i,-0.00033593-0.00046762i,-0.0005783+0.00017595i,-0.00042608+1.5375e-05i,0.00014856-0.00012313i,-9.2116e-05-0.00022201i,-0.00067061-0.00024023i,-0.00045832-8.075e-05i
-0.00229+0.0023077i,-0.0029006+0.0030666i,-0.0017405+0.0034641i,-0.0001177+0.0025554i,0.00024792+0.00031148i,-0.0012617-0.00089235i,-0.0023348+0.00026584i,-0.0018377+0.00090192i,-0.00039435+0.00103i,0.00029104+0.00064588i,0.00027557-0.00069306i,-1.1577e-05-0.00086311i,6.3688e-05-0.00067912i,4.568e-05-0.00031848i,8.1428e-05+0.000411i,0.00032255-3.7164e-05i,0.0005266-0.00080538i,0.00036646-0.00062972i,-0.00019999-0.00041429i,-0.0006441-0.00028288i,-0.0011779+0.00014688i,-0.0015308+8.6886e-05i,-0.0007968-9.7063e-05i
0.0020016-0.0014211i,0.0010456-0.00081816i,6.8957e-06-0.00097501i,-0.0011288-0.00050308i,-0.0015662+0.0011121i,-0.0013185+0.0012248i,-0.0013669+0.00060748i,-0.0010346+0.00068541i,-0.00045902+0.00039958i,4.4774e-05+0.00026655i,0.00014856+0.00060644i,8.1194e-05+0.00068943i,0.00042364+0.00065512i,0.00012708+0.00095044i,-0.00012177+0.00061433i,0.00030157-0.00020962i,0.0003204-0.00019369i,-0.00071936+2.7091e-05i,-0.00079033-0.00015398i,-0.00014124+3.409e-05i,5.7413e-05-0.00030338i,-0.00029724-0.00043702i,-0.0013254+3.1457e-05i
-0.00057769-0.00040442i,-0.00073492+0.00026884i,5.36e-05+0.00096014i,-0.00087911+0.0014376i,-0.0025958+0.0008558i,-0.003088+0.0010912i,-0.0025336+0.0010999i,-0.0010518+0.00034341i,-0.00022052+0.00011282i,-0.00026174-0.00020391i,-0.00025755-0.00014775i,0.00074702-2.2031e-06i,0.0012789+0.00086363i,0.00044575+0.0015078i,-9.2837e-05+0.0012533i,-0.00018699+0.00030417i,7.7615e-05-0.00051276i,0.00041504-0.00055376i,-0.00016174-0.00042915i,-7.0191e-05-0.00066103i,0.00024565-0.00059676i,0.00024345-0.00035374i,0.00088374-0.00063344i
-0.0047377-0.0007318i,-0.0047518-0.00016629i,-0.0042783+0.0013987i,-0.0024282+0.0031275i,-0.00068822+0.0027592i,8.6195e-05+0.0015909i,0.00030582+0.0011867i,-0.000132+0.0010123i,0.00021254+0.00045175i,0.00059466+0.00034418i,0.00066175-0.00057861i,0.00080568-0.0010992i,0.0013885-0.00072585i,0.001202-0.00041719i,0.00017977+0.00041376i,-9.3123e-05+0.00055425i,-0.00012672-0.00046873i,0.00013676-0.00096218i,0.00041131-2.2466e-05i,0.00041333+0.00040232i,0.00055258-8.9057e-05i,0.00081562-0.00025337i,0.00074303-0.00018442i
-0.00014026+0.00045395i,0.0018731+0.00049026i,0.0035263+0.00044332i,0.0029471+0.0008032i,0.00057409+0.0015008i,-0.00054699-0.00018037i,-0.00080394-0.0010464i,-0.00071917+5.8517e-05i,-0.00040438+1.1108e-05i,5.3343e-05-0.00063245i,0.00087678-0.00086167i,0.0013949-0.0006771i,0.00076491-0.00020299i,0.0008553+5.2397e-05i,0.0014233+7.6058e-05i,0.00082614-0.00030267i,-0.00043691-0.00083576i,-0.00085409-0.00069889i,-0.00022968-0.00022203i,0.00016425+0.00029991i,0.00010668+0.00060757i,-0.00036104+0.00015904i,-0.00016883-0.00014638i
-0.00063894+0.0017451i,-0.0015393+0.0026945i,-0.0023654+0.0022259i,-0.0021532+0.001712i,-0.0017273+0.0015518i,-0.001826+0.0013831i,-0.0016848+0.0013496i,-0.0010139+0.00010387i,-0.00071469-0.00094402i,-0.00057946-0.00085698i,-0.00019075-0.00020701i,0.00045699+0.0005666i,0.00046888+0.00073058i,0.00022883+0.00053864i,0.00034383+0.0013507i,-0.00010245+0.0016237i,0.00048502+0.0007195i,0.00083025+0.00059527i,9.1355e-05+0.0011294i,-0.00019873+0.0014274i,-0.00012745+0.00090832i,0.00046664-0.00071803i,0.00096773-0.00039963i
-0.0019332+0.00076285i,-0.0017215+0.00076443i,-0.00060039+0.0019138i,0.00062235+0.0018485i,0.00092243+0.00093566i,0.00078678+0.00034877i,0.00012828+0.00057559i,-0.00066439+0.00038069i,-0.00081043+6.2404e-05i,-0.0001749-0.00011167i,0.00063549-0.00027845i,0.00071864-0.00027063i,0.00041819-9.2124e-05i,-0.00012956-0.00012817i,0.00032939-0.00031772i,0.00077103-0.00019749i,0.0004251+0.00031938i,0.00035483+0.00033953i,8.1921e-05-0.00023876i,-7.7187e-05-0.00074239i,-0.00019588-0.00062523i,-0.00029225-0.00059469i,-0.00077711-0.00058494i
-0.0015038-0.00010967i,-0.0018633-0.00024306i,-0.0011796+0.00077533i,-0.00013273+0.0017548i,2.2242e-05+0.0015294i,-0.0014263+0.00079747i,-0.0016743+0.00029417i,-0.00069297+0.00035719i,-7.7139e-05+8.7808e-05i,0.00014016+2.899e-05i,0.00058078+7.8646e-05i,0.00091575+0.00014488i,0.00047271+0.00035646i,0.0001674+0.00083356i,0.00020801+0.00076865i,0.00067721-7.2011e-05i,0.0011146-0.00010452i,0.0013218+0.00012297i,0.00028558+0.00079156i,-0.00048619+0.00019246i,-0.00054309-0.00095444i,-0.00021446-0.00030717i,4.1537e-05-1.5822e-05i
-0.0002599+0.0009965i,-0.00035046+0.0022689i,-0.00036404+0.0028642i,0.00019213+0.0013382i,-0.0003044-7.5033e-05i,-0.0016913+0.00037727i,-0.0013271+0.00074773i,-0.00028795+0.00057207i,8.8947e-05-6.994e-05i,0.00013697-0.00042545i,2.4396e-05+9.2407e-05i,9.5121e-05+0.00067378i,0.00048649+0.00040158i,0.00046925+0.00017723i,0.00032465+0.00067374i,0.0002442+0.00063416i,0.00022166-0.00087785i,0.00033588-0.00093957i,8.3992e-05+0.00037347i,-3.5072e-05+0.00083822i,-1.4184e-05+0.0005788i,0.00035148+0.00034425i,0.00084207-5.5797e-06i
3.1756e-05-0.0011499i,-0.00049602-0.0026477i,0.00013473-0.0040852i,0.00016944-0.0028689i,-0.00078336-0.00046945i,-0.0011378+0.0010913i,0.00020945+0.0012017i,0.00083556+0.00057871i,0.00077975-0.00010994i,0.00074601-0.00044074i,0.00030067-0.00044263i,0.00019933-0.00092233i,0.00013983-0.00116i,-7.9461e-05-0.00013131i,-0.00050622+0.00087719i,-0.00036603+0.00069027i,0.00018337-0.00011981i,0.00045062-0.00046723i,0.00096497-0.00014295i,0.0005036+0.00065429i,0.00024801+0.00080221i,0.0004012-3.0139e-06i,8.0937e-05-3.5802e-06i
-0.00030578-0.0012401i,-0.00078335+0.00048185i,-0.0017991+0.001071i,-0.0026138+0.0019791i,-0.0028134+0.002498i,-0.0022637+0.0015728i,-0.0017048+0.00074348i,-0.00085411+6.5995e-05i,-0.00032401-0.00030595i,-0.00032927-0.00012067i,-8.0438e-05-0.00011192i,0.00023172+0.00039421i,-0.00039355+0.00076672i,-0.00018388+0.00032471i,0.00018737+0.00027123i,-9.9762e-06-0.00014881i,0.00032993-0.00064201i,0.00035942-0.00018135i,0.00010721+6.0595e-05i,8.1527e-05+7.6086e-05i,0.00063763-0.00010745i,0.00090978+0.00014092i,0.00014532-0.0002767i
-0.001262-0.001503i,-0.001024-0.0013178i,-0.00096725-0.0013852i,-0.0007775-0.0010068i,-0.0017022-0.00041361i,-0.0021342-3.354e-05i,-0.0011127-0.00068951i,6.0849e-06-0.0014582i,-0.00018061-0.00075339i,-0.00037545+0.00058536i,0.00027093+0.00088598i,0.00084607+0.00035797i,0.00075957-0.00010912i,0.00022722+0.00015319i,-0.00037769+0.00072571i,-0.00073129+0.0013069i,-0.00041125+0.00074434i,-0.00033036-0.00015312i,-0.00041732+0.00020129i,-0.00057253+0.0001831i,-0.00077865-0.00063303i,-9.6935e-05-0.00054263i,-0.00027665+0.00034355i
-0.00066154+0.00021793i,-0.001091+0.00068675i,-0.0017058+0.0026074i,-0.0013888+0.0036232i,-0.0012103+0.0028432i,-0.0018401+0.0017457i,-0.0024958+0.0010199i,-0.0015667+0.00010833i,-0.00053346-0.00067964i,-0.0005977-0.0008855i,-0.00031377-0.00089978i,-0.00054478-0.00056781i,-0.00071622-0.00041965i,-0.00047002-0.00038347i,-0.00041332-0.00014965i,4.4498e-05-0.00017144i,0.00051908-2.5534e-05i,0.00067003+0.00051388i,0.0014041+0.00081651i,0.0020929+0.00014444i,0.0013306-0.00088959i,-0.00010668-0.00098685i,-0.00084369-0.00046165i
-0.00163+0.0013478i,-0.0012251+0.0017644i,-0.00015166+0.0014526i,0.00053602+0.00099974i,0.00062387+0.0012075i,-0.00050316+0.0019933i,-0.0013561+0.0015395i,-0.0011516+0.00032149i,-0.00074225+0.00014903i,-0.00040205+6.3325e-05i,0.00043346+0.0001142i,0.0014027+0.00014227i,0.001363-0.00038109i,0.00051178-0.00033661i,0.00045566+0.00034763i,0.00057743-0.00017978i,0.00063516-0.00062731i,0.00031947-0.00019874i,-0.00067823+0.00022746i,-0.00044952+0.00056171i,-6.5072e-05+0.0006799i,8.2856e-06+0.00086106i,0.00036679+0.00097102i
-0.00099307+2.6778e-05i,-0.002253+0.00028207i,-0.0019894+2.3765e-05i,-0.0011424+0.00081649i,-0.00076454+0.00036823i,-0.001376-0.00032889i,-0.0016288+0.0002642i,-0.0011925+0.00047248i,-0.00033724-0.00018137i,1.7437e-05-0.00046271i,-0.00035679-0.00059648i,-0.0001018-0.00052536i,-0.00054798-0.00046324i,-0.00033817-0.0001024i,0.0005465+0.00062257i,0.00037782+0.00029104i,-0.00012934-0.00019149i,-0.00033045-7.9715e-05i,-0.00012949-0.00033392i,0.00030393-0.00022864i,0.00024932+0.00023956i,-0.00011701+9.8742e-05i,0.00046753+0.0002481i
5.2785e-05-0.00061587i,0.00049183-0.00049335i,0.00025942-0.00023216i,0.00012222+0.0003448i,-0.0013545+0.0015028i,-0.0019142+0.0019574i,-0.0016038+0.0014143i,-0.0012301+0.00085858i,-0.00027105+0.00012238i,5.0527e-05+0.00010021i,-2.7874e-05+0.00022407i,-4.6113e-05+0.00011572i,-0.00061121+0.00068581i,-0.0014638+0.0011211i,-0.00074765+0.0010353i,0.00075952+0.00052931i,0.00053112-0.00021427i,-0.0001914-0.00021375i,-0.00026627+0.00045367i,-7.2762e-05+3.7025e-05i,-2.1127e-05-0.00048454i,-0.00037623-5.6758e-05i,-0.00032011+0.00027234i
-0.00023065+4.9745e-05i,-0.00077916+0.0011603i,-0.0015018+0.0010273i,-0.0015782+0.001045i,-0.001438+0.0016831i,-0.00073662+0.00070627i,-0.00037971+0.00016667i,-0.00078076+0.00051059i,-0.00078256-0.0001383i,0.00029493-0.00015744i,0.00070136-0.00039697i,0.00055148-0.001056i,0.0001873-0.00043046i,-0.00038013+0.00020464i,-0.00050592+9.733e-05i,0.00017505+0.00042242i,0.00047239+0.00077801i,-0.00023285+0.00037182i,-0.0010095-0.00033608i,-0.00078181-0.00064413i,-0.00030907+0.00049146i,-0.00046637+0.0014737i,-0.00077639+0.0011059i
-0.003098-0.001514i,-0.0047513-0.0020138i,-0.0042933+0.00036887i,-0.0013076+0.0028519i,0.00029103+0.0027526i,-0.00085659+0.0017194i,-0.0015419+0.0012762i,-0.00079598+0.00037724i,0.00030036-0.00052103i,0.0009416-0.00011973i,0.00095031+0.00078936i,0.00057421+0.00054124i,0.00060179+0.00010574i,0.0010764+0.00050753i,0.0011457+0.0003271i,0.00092403+2.2602e-05i,0.0004179+0.00038803i,0.00060036+0.00039914i,0.0011843+0.00024904i,0.00074407+3.642e-05i,0.0001434-0.00044295i,-0.00010966-0.0002587i,-0.00045369+0.00020862i
0.002809-0.00018857i,0.0025765-0.000931i,0.0017081-0.0015858i,0.0010493-0.0015036i,-5.2415e-05-1.829e-05i,-0.0017857+0.0013764i,-0.0018972+0.001281i,-0.00042199+0.00098272i,0.00049815+2.4891e-05i,0.00056558-0.000485i,0.00016256-0.00082949i,0.00029729-0.0011694i,0.00090019-0.00095444i,0.00102-0.00038055i,-0.00031879-0.00024532i,-0.0010532-5.1569e-05i,-2.1286e-05+0.00050216i,0.00061175+0.00061343i,-3.6777e-05-0.00018573i,-0.00028313-0.00027108i,-0.00033239+0.00044574i,-0.00064134+0.00023887i,-0.00045611-0.0002336i
-0.001454+0.00075545i,-0.0020643+0.0013465i,-0.0014624+0.0029209i,-0.001211+0.0034158i,-0.0016439+0.00295i,-0.002431+0.0026958i,-0.0024374+0.0014641i,-0.00063906-5.8503e-05i,0.00051143-0.00034628i,0.0001487+4.6454e-05i,0.00021089+0.00051266i,0.00013132+0.00057237i,-0.00021525+0.00045753i,-0.00052894+0.00098711i,6.6195e-05+0.001247i,0.00069875+0.00068907i,0.0002548-0.00025769i,-0.00016604-0.00098944i,-0.00025131-0.00047277i,0.00017576-1.1125e-05i,0.0003155-0.00093528i,0.00048423-0.0012923i,0.00043003-0.00099987i
-0.00017047+6.1837e-06i,-0.0012496-0.0015237i,-0.0010004-0.0029207i,-0.00043325-0.0022639i,-0.00094649-8.3901e-05i,-0.001374+0.0016279i,-0.0010943+0.0018252i,-0.00092104+0.0012335i,-0.00092605+0.00013025i,-0.00074403-0.00035554i,-0.00037744-0.00080236i,-0.00027131-0.0011877i,-0.00062989-0.00084667i,-5.7655e-05+0.0003087i,0.0004406+0.00058226i,1.6781e-05-9.132e-05i,0.00034926-0.00048113i,0.00015538-0.00030737i,-0.00020283-0.00031588i,0.0003621-0.00015737i,0.00052453+0.00044242i,0.00033854+0.00034872i,0.00039321-3.6373e-05i
0.00035401+0.0030663i,0.0010007+0.0026377i,0.0020546+0.0040268i,0.0012878+0.002593i,-0.00085217+0.00044772i,-0.0029846-0.00014882i,-0.0031596+0.00080486i,-0.0018183+0.0016408i,-0.00034001+0.00082943i,0.00038885+5.8258e-05i,0.00041439-0.00031856i,0.00038633-0.00088788i,0.00010039-0.00083981i,-0.00023311-0.001038i,0.00035321-0.00060598i,-9.7996e-05+0.00015768i,-0.0011167+0.00036595i,-0.00071344+0.000928i,-0.00062777+0.00061902i,-0.001093+0.00087177i,-0.00049268+0.00098456i,0.00070367+0.00020288i,0.00088664-0.00050531i
-0.0018644-0.00059503i,-0.0030606-0.00068495i,-0.0024425-0.00021187i,-0.0012779+0.00058271i,-0.0011915+0.0015524i,-0.0012889+0.0016883i,-0.00081649+0.0014478i,4.2352e-05+0.001104i,0.00046299+0.0010804i,0.0010475+0.0012994i,0.00068155+0.00095474i,-0.0008405+0.00065503i,-0.00097073+0.00067216i,-0.00050952+0.00047244i,-0.00012459+0.00070749i,0.00085514+0.0011128i,0.00037092+0.0010077i,-0.0011281+7.9607e-05i,-0.0012801-0.00038749i,-0.00028732+8.5447e-05i,0.00067307+0.00069048i,-0.00012763+0.0006718i,2.6049e-05-0.00029753i
0.0029059+0.0042744i,0.0027009+0.0029484i,0.0035805+0.00085573i,0.0029904-0.00077494i,0.00053715-0.0018201i,-0.0020374-0.0010653i,-0.0020172+4.3549e-05i,-0.00014264+0.00038601i,0.0012176+0.00040141i,0.0012441+0.0010643i,0.00041425+0.0010702i,-0.00014668-0.0004295i,-2.2108e-05-0.00070081i,0.00041107+5.8919e-05i,-4.461e-05-0.0001621i,-0.00062925-0.00040288i,-0.00095883+0.00021958i,-0.0010217+0.00018621i,-0.00040468-0.00018374i,-0.000507-0.00045759i,-0.00049293-0.00063353i,-0.00049197-0.0001056i,-0.00059002-0.00043895i
-0.00010058+0.00096128i,-0.0013113+0.0005247i,-0.0010528+0.00067625i,-0.0007197+0.001253i,-0.0019798+0.001359i,-0.0028422+0.0006215i,-0.0019507+0.00073155i,-0.00041345+0.00066985i,0.00076209+6.3198e-05i,0.0012729-2.6346e-05i,0.00034567+0.00022742i,-0.00018251+0.00037399i,0.00019726+0.00085458i,0.00072572+0.0012118i,0.00011346+0.00038323i,-0.0013102-0.00031066i,-0.0007713-0.0003649i,0.0004381-0.0004433i,0.00097508-0.00027942i,0.00056022+0.0005405i,0.00017457+3.1128e-05i,1.2526e-08-0.00044619i,-0.0001992+9.1399e-05i
