-0.0014255-0.00023618i,0.00035244-0.00011015i,0.00072572+0.00098355i,0.00039586+0.0009792i,-3.605e-05+0.00025467i,0.00089412+0.0006022i,0.0012199+0.0006135i,0.00047613+4.6195e-05i,0.00047093+0.00011323i,0.00082073+0.00070837i,0.00079779+0.00080118i,0.00034371-0.00020989i,0.00025032-0.0011284i,0.00038763-0.0011973i,0.00068534-0.00090021i,0.00017105-0.00047552i,-0.00041283-0.00057527i,-9.9066e-06-0.00072951i,0.00044632-0.00042727i,0.00059404+6.1168e-05i,4.1887e-05+0.00028447i,-0.00047807+0.00048925i,-0.00085106+0.00054215i
7.7171e-05+0.0019051i,0.0014155+0.0038842i,0.0013685+0.0046146i,0.0014765+0.0027149i,0.00097276+0.0010259i,-0.00062748+0.00072822i,-0.00092883+0.0014286i,-0.00042785+0.0015197i,-1.0086e-05-3.1428e-05i,-0.00046482-0.0012483i,-0.0010209-0.0011997i,-0.0019459-0.0014184i,-0.0014895-0.0020646i,0.00019763-0.0020847i,0.00079202-0.0015492i,0.00070906-0.00059971i,0.0011971+0.00037914i,0.0013812+0.0001122i,0.0011412-0.00091524i,0.0010801-0.00094239i,0.00077026-5.398e-05i,0.00023903+0.00055398i,0.00046123+0.00038977i
0.002535+0.00035564i,0.00071387-0.0014553i,0.0008995-0.0028454i,0.0014624-0.0028195i,0.00097053-0.0022404i,0.00067312-0.00090337i,0.00030035+0.00046246i,-0.0004234+0.0011135i,-0.00084604+0.00032211i,-0.0013561-0.00031706i,-0.0012326-0.00023036i,-0.0013529-0.00031035i,-0.0013571-0.0005066i,1.762e-05-0.00069311i,0.00048988+0.00049427i,-0.00017864+0.0011663i,-0.00066994+0.00069735i,-0.0004486+0.00066629i,1.7893e-05+0.00078422i,-0.00049257+0.00024948i,-0.00054644+0.00036428i,-0.00030268+0.0010743i,-4.5392e-05+0.00042275i
-0.0002743+0.00041234i,-0.00010487-0.00061769i,0.0003067-0.0011144i,0.00010446-0.0012124i,0.00081347-0.00082622i,0.0013724-5.2355e-05i,0.00047145+0.0011444i,-0.00036024+0.0017585i,0.00032467+0.0011322i,0.00079559+0.00036034i,-0.00025284-4.8174e-05i,-0.0009407-0.00014213i,-0.00096036-0.0004584i,-0.00084222-0.00012169i,-0.0010419+0.00036603i,-0.0012002+0.00039449i,-0.00053806+0.00065427i,-0.00020008+0.0002311i,-0.00042007-0.00013859i,-0.00080114+0.00014697i,-0.00055266+1.7432e-05i,-5.224e-06+0.00011558i,0.00012843+0.00071346i
0.00091855+0.00017178i,0.0017008+0.0017778i,0.001224+0.0027806i,0.00060683+0.0015603i,-3.2851e-06+0.00041918i,7.3609e-06-0.00026165i,0.00022744+4.1023e-05i,-0.00019738+0.0010503i,-7.1057e-06+0.0017494i,0.00044238+0.0016122i,0.00012305+0.00093797i,-0.00064336+0.00054227i,-0.00080761+0.00037434i,-0.00083225-0.00019461i,-0.0010637-0.00050107i,-0.00053231+6.1939e-05i,-7.0651e-05+9.8787e-05i,-0.00016638-0.00042571i,-0.00043352-0.00024569i,-0.0001581-0.000656i,-0.00010694-0.0010392i,-0.00045258-0.00047686i,-3.1869e-05+4.6727e-05i
0.00039768+0.0035328i,0.00075701+0.0034667i,0.0017171+0.0025572i,0.0016411+0.0018345i,0.0008873+0.00060632i,0.00041404-0.00075795i,-0.00067832-0.00048717i,-0.00088519+0.00020746i,-5.5516e-05+0.00041804i,0.00072947+0.00018421i,0.00053226-0.00039145i,-0.00016677-0.00093715i,-0.00079158-0.0010662i,-0.00097132-0.00075456i,-0.00076321-0.00052194i,6.5743e-05+1.2332e-05i,0.00063453+0.00044562i,0.00059961+6.2108e-05i,0.00011935+0.00024981i,-3.6414e-05+3.1163e-05i,6.576e-05-0.00069552i,7.6031e-05-0.00057874i,-0.00016383-0.00041093i
5.4255e-05+0.0017118i,0.00074292+0.00022585i,0.0021797-0.00014945i,0.0031168-0.0010812i,0.0026715-0.0018487i,0.00033042-0.00064082i,-0.0014353-6.1725e-05i,-0.0008628-0.00047089i,0.00026546-0.00090856i,0.00075626-0.001498i,0.00023293-0.0013888i,0.00028272-0.00113i,0.00034563-0.0011675i,-0.00021126-0.0012676i,-0.00042674-0.0011225i,-0.00040678-0.00081064i,0.00038071-0.00044041i,0.00066508-0.00071012i,0.00062544-0.00067278i,0.0012487+0.00086182i,0.0011258+0.00062645i,0.00082243-0.00023421i,0.00049981+2.6495e-05i
-0.0015086-0.00027559i,-0.00035099+0.00010644i,-0.00054855+0.00099164i,-0.00040253+0.00078449i,0.0011461-4.2714e-05i,0.0010148-0.00013239i,-0.00051979+0.00031352i,-0.00091505-0.00022413i,-0.00032065-0.0013003i,-0.00076397-0.0011862i,-0.00066125-0.00024577i,-0.00016426-0.00020828i,-0.00049735-0.00078025i,-0.0010101-0.0010476i,-0.0011702-0.0019021i,-0.0010241-0.0021243i,-0.00027805-0.00056518i,9.6998e-05+0.00031319i,0.00018893+0.00041403i,0.00051719+0.00082529i,0.00075685+0.0005653i,0.00053378+0.00060818i,-0.00046183+0.00040859i
0.00018083-0.00098817i,0.0011264+0.00011181i,-0.00065136+0.00065663i,-0.0016956+0.00022994i,-0.0011268+0.00031195i,-0.00019757+1.0437e-05i,0.00027116+0.00030013i,0.0004526+0.00042975i,2.021e-05+0.00041237i,-0.001031+0.001144i,-0.0018954+0.0010217i,-0.00162+0.00025663i,-0.00014934+0.0006333i,0.00078256+0.0014806i,0.00083067+0.0012743i,-0.00021995+0.00062859i,-0.00041379-6.2227e-05i,9.7096e-06-0.00058604i,-0.00088457-0.00056492i,-0.0014508-0.00035841i,-0.00047924-0.00026602i,0.00023466+0.00042948i,0.00097466+0.00044746i
-0.00024913+0.00084138i,-0.0012672+0.0014583i,-0.0018155+0.0023139i,-0.0011782+0.0021322i,-0.00044857+0.0017745i,-0.0010569+0.0014631i,-0.0010148+0.0010496i,-0.00038507+0.00089327i,-0.00031811+0.00076509i,-4.5301e-05+0.00057272i,0.00032389+0.00086244i,0.0001807+0.0014498i,-0.00012321+0.00067068i,-7.3831e-05-0.00014875i,0.0004878+6.1076e-05i,0.0011107+0.00050503i,0.00053087+0.00048057i,-0.00058665+0.00045921i,-0.00068724+0.0002437i,5.0849e-05-1.5746e-05i,-3.3304e-05+0.00046561i,-0.00081262+0.00098334i,-0.00087739+0.0010442i
-0.00034139+0.0011414i,-3.5365e-05+3.8042e-05i,0.00050906+0.00022964i,0.00066806-0.00015559i,0.00063341-0.00050217i,-0.00011844-0.00016139i,-0.00068008+0.00028371i,1.6061e-05+0.00018698i,0.0014667-0.00040381i,0.0019189-0.00058821i,0.00033081-0.00052219i,-0.00067788-0.00036577i,-0.0003657-0.00040635i,-0.0002421-0.00099352i,-0.00063456-0.0011493i,-5.4001e-05-0.00029175i,0.0005234+0.00049458i,0.00021315-0.00020174i,7.4898e-06-0.00087137i,0.00021422-0.0013144i,0.00062246-0.00095388i,0.00014577-5.4083e-05i,-1.9868e-05+0.00019632i
0.00038241-0.00029926i,0.00061383-0.00065988i,0.0011664+0.00038637i,0.0014401-0.00025642i,0.0020055-0.0022397i,0.0020693-0.0020624i,0.0018159-0.00010371i,0.001588+0.0010919i,0.0012274+0.00023777i,0.00078868-0.0010865i,0.00048322-0.0015744i,0.00088656-0.0014183i,0.0013409-0.0017533i,0.0012728-0.0024513i,0.000246-0.0024165i,-8.8823e-05-0.0011176i,0.00050892-0.00019744i,0.00091741+0.00017121i,0.00062656+0.00092365i,6.5874e-05+0.00087069i,0.00053011+0.00064218i,0.00073647-1.5622e-05i,-0.00013139-0.00069652i
-0.0014314+0.0013584i,0.00028224+0.0019344i,0.0011123+0.0013854i,0.00043812+0.00016236i,1.4391e-05-0.000545i,0.00052825-0.00035i,0.0010295-0.00041705i,0.0013348-0.00086016i,0.00030006-0.00069674i,-0.00049143-0.0007347i,-0.00040403-0.00080722i,-0.00089647-0.00091732i,-0.00042416-0.00056131i,8.1354e-05-0.00023866i,-0.00074123-0.00046229i,-0.0011167+0.00011687i,-0.00081566+0.00031065i,-0.00066373-0.00056256i,-0.00042941-7.1473e-05i,-0.00020542+0.00048579i,-8.0276e-05+0.00034629i,-5.166e-05+0.00024151i,0.00053603-1.5664e-05i
-0.001977+0.0027926i,-0.0011227+0.003339i,0.00036246+0.004432i,0.0017721+0.0039362i,0.0020085+0.0024443i,0.00073396+0.0007374i,-0.00033802-8.6478e-05i,-0.00077869+4.6331e-05i,-0.0012056+9.5435e-05i,-0.0010117+6.6168e-06i,-0.00069256-0.00040049i,-0.00086409-0.00093296i,-0.0013845-0.00091234i,-0.0015375-0.0016786i,-0.0013066-0.0024241i,-0.00082831-0.0013661i,-0.0010169+3.1972e-05i,-0.001396+0.00071426i,-0.0014394+0.00035406i,-0.00082033+0.00018524i,0.00043467+0.00038053i,0.0014055+0.00016575i,0.0012265+0.00014883i
-0.0025237-4.6303e-05i,-0.00375+0.00080849i,-0.0030893+0.0018184i,-0.00074978+0.0017972i,0.00082566+0.0015957i,0.0007782+0.00082949i,-0.00015063+0.00018701i,-0.0009296+0.00024851i,-0.0012225-4.3599e-05i,-0.00071596-0.00024797i,0.00056423-0.00025921i,0.0013148-0.00036702i,0.0011115-0.00021121i,0.0014953-1.291e-05i,0.0011446-0.00027731i,0.00097213-0.00035195i,0.001338+0.00027991i,0.00091974+0.0004988i,-0.00038657-3.0253e-05i,-0.001357-7.9047e-05i,-0.0013596+0.00043641i,-0.001038+0.00048774i,-0.00099489+8.3887e-05i
-0.00015944+0.0003927i,0.00064629-0.00019037i,0.00082025-0.0012224i,0.00043225-0.0014309i,-0.00058173-0.0013553i,-0.00031646-0.0010911i,9.0636e-06+0.00054056i,-0.00019157+0.0011202i,0.00010214+0.0010557i,0.00031369+0.00095507i,-1.6569e-05+0.00079401i,0.00011187-0.00011527i,0.00065139-0.00045139i,0.0005447-0.00038066i,0.00084169-0.00033122i,0.0011867+6.5956e-05i,0.0013405+0.00016806i,0.0011334+5.7162e-05i,0.00093963-0.00066499i,-0.00012565-0.00060547i,-0.00090521-0.0001166i,-0.00032622+0.00030178i,-0.00011676+0.00085279i
-0.00049583-0.0013065i,-0.0011126-0.00096846i,-0.0016427-0.00062238i,-0.0014466-0.00043093i,-0.00088179-8.2573e-05i,0.00030161+0.00069666i,0.00049254+0.0008577i,0.00034148+0.00048078i,0.00084095+0.00032954i,0.00088126-0.00012547i,-6.1237e-05-0.00081232i,-0.00044823-0.00074213i,0.00014033-0.00033188i,0.0007964-0.00074034i,0.0013192-0.00084266i,0.00093927-0.00027663i,8.0625e-05-2.3195e-05i,0.00018044+0.00045573i,0.00087671+0.00051279i,0.00047176-0.00039097i,-0.00046197-0.00079415i,-0.00023174-0.00027897i,0.00011238+7.3499e-05i
-0.001049-0.0012277i,-0.0006628+0.00051666i,-0.0011084+0.0029211i,-0.00098295+0.0031953i,-0.00042935+0.0025123i,0.00029517+0.00098951i,0.00045777+1.5565e-05i,0.00057243+0.00012196i,0.00032896+0.00059226i,-0.00019727+0.00040339i,-0.00039494-0.00010855i,-0.00039172-0.00026355i,0.00042295-0.00028253i,0.0016791-0.00039373i,0.0013427-0.00023198i,-0.00018445-0.00011002i,-0.00034956-9.361e-05i,0.00013041-4.0085e-05i,0.00086352+0.00013427i,0.0012573+0.00011952i,0.000484-0.00029481i,0.00062381-0.00037868i,0.0011301-0.00017806i
0.00053667+0.0042618i,0.0015364+0.0043433i,0.0029118+0.003362i,0.0038925+0.0014523i,0.0039793-0.0002771i,0.0015979-0.00068172i,-0.00091872-0.00021167i,-0.00095071+0.00072162i,0.00048181+0.0015421i,0.00099135+0.00058788i,0.00034756-0.00089871i,-0.00092948-0.00088413i,-0.0024127-0.00098872i,-0.0020329-0.0018242i,-0.00069539-0.0028124i,-0.0011367-0.0021471i,-0.0019262+1.062e-05i,-0.001692+0.0013716i,-0.0018052+0.0016042i,-0.00091715+0.0011956i,0.0005622+0.00070723i,0.0008461+0.00021601i,0.00034634-0.00012144i
-0.0022728+0.0039174i,-0.0023086+0.0034592i,-0.00074456+0.0026002i,0.00040582+0.00084855i,0.00088213-0.00060311i,0.0010581-0.0008378i,0.000426-9.7423e-05i,0.00089257+0.00021498i,0.0013861+0.0004708i,0.0015373+0.00053103i,0.00062854-0.00032301i,-0.00064995-0.00098436i,-0.0020319+2.5172e-05i,-0.001762+1.1223e-05i,-0.00069499-0.00081934i,-0.00073862-0.00077574i,-0.00046289-0.0010717i,-0.00065977-0.00085631i,-0.001197+1.5859e-05i,-0.00069266+0.00067832i,0.00049263+0.0012157i,0.00141+0.00074805i,0.00085535+0.0012072i
0.00097089-0.0020022i,0.0011599-0.0028494i,0.00079896-0.0022487i,4.3604e-05-0.0009102i,-0.00013837-0.00028701i,-0.0002534-0.0001362i,-7.8154e-05+2.9528e-05i,-0.00012364+0.00042198i,-1.5835e-05-0.00068954i,0.00020531-0.0016927i,-0.00057795-0.00093473i,-0.00096022-0.00050141i,2.8391e-05-0.00023197i,-8.5722e-05+0.00065769i,6.5683e-05+0.0012788i,0.00042855+0.00048969i,0.00021937-0.0009656i,0.00086788-0.0014377i,-0.00012837-0.00065054i,-0.0006131-0.00014637i,0.00033253+1.3139e-05i,0.00058517-0.00011226i,0.00049125+0.00017541i
0.0010047-0.00032638i,0.0012033-0.00011576i,0.00086869+0.00058097i,-0.00039395+0.00056609i,-0.0005071+0.00053424i,-0.00069128+0.00071693i,-0.00071155+0.00010833i,-0.00055522+1.4181e-05i,-0.00059048-0.00016078i,-7.412e-05-0.0011595i,0.00035555-0.001242i,0.00073516-0.00065891i,0.00091211-0.00039729i,0.0010259-0.00041067i,0.0017541-8.2928e-05i,0.0011495+0.00055133i,0.00023551-0.00045183i,0.00089776-0.0015004i,0.00049711-0.00085779i,-0.00040244+0.00018921i,-0.00034302-7.4321e-05i,-0.00060842-0.00068963i,-0.0009141+0.00025661i
0.0021557+0.0032318i,0.0026729+0.0029603i,0.0034191+0.0021805i,0.0032097+0.0013441i,0.0015111+0.00086643i,0.00020015+0.00088011i,-0.00075268+0.0012552i,-0.0010391+0.0018873i,-0.0010774+0.0013954i,-0.00070039+1.3716e-05i,-2.227e-05-0.00079894i,-0.00038731-0.0016726i,-0.00039563-0.0020057i,-0.00044207-0.0020151i,-0.00018266-0.0015267i,0.00032492+0.00067451i,0.00029561+0.0020031i,0.00066404+0.0011311i,0.00025405-0.00022563i,0.00010001-0.00065675i,0.00061049+0.00014824i,0.00068211+0.0011853i,0.00031651+0.00065052i
-0.00017835-0.00083505i,-0.0011092-0.00049757i,-0.0023893+0.00036277i,-0.00068991-0.00023456i,0.00025108-0.00048082i,0.00018643-0.00032154i,0.00043766+0.00080436i,0.0010388+0.0012482i,0.00086918+0.00085925i,7.5138e-06+0.00084067i,3.3932e-05+0.0005447i,-0.00061566+0.0001195i,-0.00094969-0.00053522i,-0.0003224-0.0010934i,0.00016794-0.0006353i,-0.00025868+0.00026909i,-0.00091793+0.00034676i,-0.00042857+0.00034844i,0.0001944+0.00041074i,0.0001201+3.1881e-05i,6.8121e-05-9.8426e-05i,0.00047142+0.00024547i,0.00030087+0.00050822i
-0.00014861-0.0021128i,3.8191e-06-0.0019112i,-0.0012248-0.0021646i,-0.0022066-0.0022272i,-0.0016813-0.0013945i,-0.00082275-8.3094e-05i,-0.00029629+0.0007561i,0.00076095+0.00027523i,0.00078502+0.00055972i,0.00064623+0.00099872i,0.00036629+0.00086385i,-0.00074774+0.00092285i,-0.0013494+0.00069191i,-0.00076185+2.1629e-05i,-0.00022757-0.00037713i,-0.00049452+0.00022804i,-0.0003923+0.0010933i,-0.00060369+0.00042036i,-0.0010955-0.00014017i,-0.00091195-7.3913e-05i,-0.00040015+8.2581e-05i,-0.00045494+0.00031095i,-0.00062933+0.00038786i
0.0008126+0.00037372i,0.00061441-0.00028784i,0.00029109-0.00022775i,-0.00050422-0.00015975i,0.00050566+0.00019369i,0.0013749+5.8519e-05i,0.00064168-0.00037925i,0.00029709-0.00068216i,0.00088415-0.00037829i,0.00097699+0.00010787i,0.00023904+0.00061294i,0.00017259+0.00086837i,0.0005785+0.00066279i,-0.00020553+0.0010466i,-0.001043+0.00093471i,-0.00096617+0.0004107i,-0.0013613+4.0877e-05i,-0.0020365-0.00013815i,-0.0018369+2.2443e-05i,-0.00085222+0.00042841i,-0.00057288+0.0003684i,-0.0011092-0.00052217i,-0.00028298-0.00054468i
0.0017552+0.0015744i,0.00092638+0.0011894i,0.00032101-0.00081158i,0.0010568-0.0022285i,0.0014666-0.0014565i,0.00026046-1.6379e-05i,-0.00071098+0.00081808i,-0.00059005+0.00022744i,0.00043351-0.00035627i,0.00040664-0.00020406i,0.00018607-0.00043855i,0.00018979-0.00051967i,-4.1673e-05+5.4338e-06i,-0.00016016+0.00063237i,-0.00030016+0.00039528i,-0.00025916-5.7126e-05i,0.00019693+7.4585e-05i,0.00020482+0.00041758i,-0.00019257-2.7126e-05i,-0.00022399+4.0844e-05i,-1.15e-05+0.00036641i,0.00050061-0.00010186i,0.00032016-0.00021995i
0.0021811+0.00089741i,0.0021284+0.0023662i,0.0022395+0.0015752i,0.0014104-0.00018809i,-0.00017796-0.0013435i,2.025e-05-0.00071752i,0.00053431+0.00073339i,0.00032341+0.00058097i,0.00041729-0.00022323i,6.6508e-05-0.00039702i,-0.00025822-0.00012216i,0.00057633-0.00038575i,0.0011401-0.0010325i,0.0009488-0.0013075i,0.00035536-0.0007492i,0.00068757-1.7035e-06i,0.0014642+0.00088306i,0.0016389+0.00099615i,0.0015444+0.0010296i,0.0011506+0.00063605i,0.0007826-0.00041359i,0.0001691-0.00040318i,-0.00030049+0.00042544i
-0.00095921+0.0016552i,-0.0009955+0.0022431i,-0.0003642+0.0014715i,0.00010974+0.00048295i,0.00031168-0.00060089i,0.00068065+0.00047542i,0.00067658+0.0023713i,0.0010633+0.0019159i,0.0012189+0.00025289i,0.0003402-0.00083062i,-0.00048496-0.0013565i,-0.00095814-0.0020725i,-0.00021921-0.002767i,0.0016348-0.0025979i,0.0023333-0.0011371i,0.00099219+0.00072649i,0.00062275+0.00085805i,0.0021014+6.3714e-05i,0.0027091+0.00057295i,0.001627+0.00081269i,0.00026187+0.00023109i,-0.00017215-0.00015685i,6.1595e-05+6.3453e-05i
-0.003639-0.0028763i,-0.0048215-0.0027684i,-0.0044712-0.0015337i,-0.0025507+0.00039141i,-0.00077864+0.00080681i,-0.0003732+0.00021357i,6.6909e-05+0.00057214i,0.00021626+0.00037779i,-0.00032823+0.00026926i,-0.00037632+0.00076564i,-0.00030481+0.00059865i,-0.00070918-0.00031903i,-0.0015454-0.00053965i,-0.001476+8.4801e-05i,-0.00038472+0.00020469i,-0.00023753+0.00044647i,-0.0009416-0.0001116i,-0.00047432-0.00033595i,0.00022433-0.00016772i,0.0006304-0.0009432i,2.8889e-05-0.00056991i,-0.00055235+0.00014326i,1.1802e-06+0.00022051i
-0.00075723+0.00010028i,0.00044998+0.00046542i,6.8376e-05+0.0016514i,-0.00041288+0.0013744i,0.00094625+0.00013227i,0.0012429-0.00136i,-0.00035498-0.00081736i,-0.0013068+0.00012452i,-0.0015328+0.00039754i,-0.0011349+0.00058067i,-0.0008689+0.00031243i,-0.00091533+0.00019855i,-0.00079525+0.00011586i,-0.00061076+1.0496e-05i,-0.00028114+5.9783e-05i,-0.00041911+0.00034585i,-0.0010894+0.00019598i,-0.0016852-0.00054538i,-0.0020376-0.000128i,-0.0019193+0.00023274i,-0.0010324+0.00067028i,-0.00099325+0.0010832i,-0.00096061+0.00082649i
-0.0015694+0.0017124i,-0.0015559+0.0030039i,-0.0010637+0.0035106i,2.82e-05+0.0020123i,0.00094312+0.00043321i,0.00081109-0.00023239i,0.0002464-0.0001998i,0.00033259+0.00065986i,0.00090338+0.0011542i,0.0012617+0.00065673i,0.0010564+0.00017054i,0.00061216-0.00018765i,0.00038373+1.6017e-05i,0.0008066+0.00016685i,0.0011716+0.00048106i,0.00094423+0.00077176i,0.0006294+0.00067742i,-0.0002747+0.00025232i,-0.0016157-0.00073809i,-0.0020967-0.00015719i,-0.0015878+0.00090724i,-0.00096653+0.00025029i,-3.2617e-05-0.00058196i
-0.0022967-0.00045676i,-0.0013775+0.00042961i,-0.0001525+0.00018796i,0.00096679+0.00034686i,0.0013622+0.0008194i,0.0011931+0.00050469i,0.00091126+0.0005038i,0.00061265-0.00044032i,0.00027901-0.0016901i,0.0004303-0.0014489i,0.00087802-0.00055773i,0.00084605-0.00065988i,0.0013606-0.0010415i,0.0025379-0.00069423i,0.0025851-0.00062876i,0.00089082-0.00068242i,-0.00047833-0.00076016i,0.0003791-0.0001898i,0.0014486+0.00046161i,0.0014634+0.00034125i,0.00077507-0.00012802i,2.7763e-05-0.00023823i,-0.00025528-3.2707e-06i
-0.00093644-0.00010847i,-2.6327e-05-0.0017452i,0.0012378-0.002059i,0.0010503-0.0011705i,0.00012062-0.00027247i,0.0003929+0.00027371i,0.00053325+0.00068157i,0.00085123+0.0010663i,0.0017548+0.00091354i,0.0013589-0.00032145i,0.00097678-0.0006018i,0.0013742-0.00071022i,0.0013446-0.0010871i,0.0010798-0.00098639i,0.00097411-0.0012946i,0.00038561-0.001212i,-0.00019403-0.0006223i,0.00031439+4.0989e-05i,0.00089105+0.00048723i,0.00064266+0.00032726i,0.00062858-0.00013767i,0.00040337-7.2698e-05i,0.00079965-0.00012527i
-0.00018766-0.0011536i,0.00026174-0.00014508i,-0.00052312+0.00047994i,-0.0010576+0.00032497i,-0.00037245-3.9673e-05i,0.0005594-0.0011639i,0.001269-0.00069364i,0.0014294+0.00070635i,0.00051639+0.00065396i,-4.1768e-05+0.00043412i,-0.00026634+0.00027552i,-0.00064965-0.00040079i,-0.00074721-0.0018882i,-0.00029043-0.0022859i,0.00022901-0.0009081i,0.000443+0.00030454i,0.00021055+0.001014i,-0.0004099+0.0011691i,-0.00043726+0.00076278i,-0.00021103+0.00022011i,-0.00074883+0.00052868i,-0.0017067+0.00094351i,-0.0015785+0.00048043i
0.002788+0.001152i,0.0034317+0.0027262i,0.0030596+0.0024508i,0.00073941+0.00048755i,-0.00069983-0.00016357i,-0.0015738+0.00034439i,-0.0014785+0.00054708i,-0.001273+0.00020951i,-0.0014712-0.00075616i,-0.0010541-0.0011264i,-0.00088898-0.0010295i,-0.00084492-0.00026952i,-0.00078106+0.00068093i,-0.00085959+0.00077435i,-0.0010563+0.00039353i,-0.000631-0.00052965i,0.00010259-0.00089147i,-4.5881e-05-0.0005531i,-0.00025077-0.00014533i,-0.00031708+0.00041089i,-0.00060269+0.00058854i,-0.00067272+0.00041266i,-0.0006065+0.0008472i
0.00048792-0.0022115i,-0.00021983-0.00041642i,-0.00080376+0.0015444i,-0.00070611+0.0014432i,0.00012248+0.0010618i,-5.0535e-05+0.0011962i,-0.00060131+0.0019215i,-0.00020749+0.0020757i,-0.00035057+0.0007129i,-0.00062254-0.0010597i,-0.00062171-0.001894i,-0.00031157-0.0010694i,0.00019146+0.00061171i,0.00058729+0.0014956i,0.00035799+0.0012055i,0.00032595+0.00035861i,0.00022425-0.00067793i,-0.00048553-0.0012004i,-0.00092933-0.00082588i,-0.00095415-0.00012664i,-0.00026335+3.2854e-05i,-0.0004149+0.0004373i,-0.00029356+0.00053969i
0.0013969-0.0013144i,0.00088657-0.0024339i,0.00089735-0.0024539i,0.0013684-0.0013445i,0.0020898-0.0012686i,0.0025829-0.00036398i,0.0016737+0.0013324i,0.0012769+0.0016329i,0.00080616+0.00021237i,-0.00035715-0.0014404i,-0.00072686-0.001413i,0.00011944-0.00097673i,0.00053492-0.00073261i,0.00066384-0.00033281i,0.00023628+0.00070886i,0.00036538+0.00024522i,0.00079829-0.00059564i,0.00065083-0.00099097i,0.00088921-0.0007318i,0.00085725-0.00041034i,0.00094402-0.00024465i,0.00094083+0.0003569i,0.00060235+0.00029056i
-0.00067937+0.0034637i,-7.8029e-05+0.0019137i,0.00029393+0.0006432i,0.00045521-0.00080544i,0.00051079-0.0022897i,3.5894e-05-0.0025396i,-0.0007302-0.00064834i,-0.00032078+0.0016693i,0.00053728+0.0014939i,0.00051682-3.4555e-05i,-0.00046731-0.00091687i,-0.00061021-0.0020883i,-6.4438e-05-0.002294i,-0.00029898-0.0022131i,-0.00024178-0.0021202i,-0.00016984-0.00057775i,-0.00050357+0.00087119i,8.3063e-05+0.00075625i,0.00049935-0.00016314i,-0.00041785-0.00041317i,-0.000315+0.00031011i,0.00073903+0.00061862i,0.00075003-0.00016136i
-0.0020571-0.00094759i,-0.0020502-0.0014999i,-0.0025629-0.00090686i,-0.0024456+0.00015233i,-0.0021935-9.5105e-06i,-0.00098612-0.00021385i,0.00084391+0.0007988i,0.0010132+0.0013129i,0.00047721+0.00094945i,0.00057605+0.00061355i,0.0011915-7.4367e-05i,0.00083586-0.00073362i,-0.00022073-0.00053619i,-0.0008308-0.0011625i,-0.00045325-0.0020342i,-0.0003762-0.0010447i,-0.00058021+0.00077552i,-0.00047106+0.0010865i,0.00042583+0.00078848i,0.00054297+0.00020668i,-0.00038766-0.0002417i,-0.00049943+0.00033817i,-0.00023825+0.00067812i
0.00094612+0.00023897i,0.0016103+0.00087245i,0.0016248+0.0015024i,0.0016902+0.0026372i,0.0018286+0.0034293i,0.00074043+0.0021442i,-0.00013951+0.0010385i,-0.0010335+0.00095106i,-0.0015094-2.5145e-05i,-0.0002952-0.00099033i,0.00051794-0.00046253i,9.9801e-05-0.00052696i,-0.0010891-0.0011163i,-0.0016999-0.0015013i,-0.001275-0.0011054i,-9.6197e-05-0.00043908i,0.00023732+0.00026098i,5.0232e-06-0.00034494i,-7.659e-05-0.00015666i,0.00011837+0.00084887i,0.00026279+0.0007371i,-0.0001441+0.00078269i,-0.00026041+0.00068233i
-0.00040335-0.0020045i,-0.00023222-0.0016939i,0.00060425-0.00074916i,0.0015399-0.00038458i,0.0018753-0.00069296i,0.0013149-0.00048189i,0.00047135-0.00010316i,-0.00064364+9.6003e-05i,-0.0013666-2.0015e-05i,-0.0009316-6.1077e-05i,0.00026897-0.000386i,0.0013275-0.00078112i,0.0012701-6.6608e-05i,0.001082+0.0006085i,0.0015203+0.00069819i,0.0012515+0.00049126i,-0.00016701-8.7247e-05i,-0.00067186-0.00054335i,-0.0004526-0.0007057i,-0.00031844-0.001451i,-9.0839e-05-0.0011382i,7.966e-05+0.00069638i,0.00014203+0.0018091i
-0.00059237+0.0020395i,0.00030546+0.0025122i,0.00056973+0.0025026i,0.00038284+0.00092234i,0.00011401-0.0012988i,-0.00064666-0.0021674i,-0.0015431-0.0013786i,-0.0014339-0.001048i,-0.0014228-0.00048024i,-0.001196-0.00016485i,-0.00020309-0.00097048i,8.7832e-05-0.0012856i,-1.4761e-05-0.00086039i,0.00066752-0.00052048i,0.001626-0.00048256i,0.0018361-0.00054067i,0.00090883-9.6153e-06i,0.0002156+0.00016676i,0.0006034-0.00020124i,0.00074287-0.00058699i,0.00011572-0.0012512i,0.00031204-0.0009421i,0.00042739+9.5772e-05i
0.00031346-0.00061337i,-0.0013814-0.0016402i,-0.0020462-0.0019898i,-0.0025692-0.000834i,-0.0038245+0.00037321i,-0.0031915+0.0015654i,-0.00053089+0.0022325i,0.0010559+0.0016491i,0.00012156+0.00086717i,-0.0013092-2.7721e-05i,-0.00096274-0.00023389i,-0.00076157+0.00015187i,-0.00099494+0.00021945i,-0.00069294+0.00052362i,-0.00024735+0.00041474i,0.0009415+0.0010602i,0.0012838+0.001415i,0.0007883+9.418e-05i,0.0012049-0.00069179i,0.0013266-0.00095844i,0.0011596-0.0015111i,0.0011066-0.0011995i,4.4203e-05-0.00053775i
