-0.003581+0.0009409i,-0.003457-0.00015002i,-0.0036661+0.00026652i,-0.0026938+0.00093657i,-0.0015709+0.0014955i,-0.00083653+0.0014873i,-0.00019703+0.0014236i,0.00029955+0.0014678i,0.00045533+0.0014092i,0.00027293+0.0011368i,0.00051484+0.00018554i,0.00070731-0.00046236i,2.9347e-05-0.00019538i,-0.00043295+0.0002097i,-0.00034844+0.00067612i,0.00025988+0.00097142i,0.00045728+0.00047998i,0.00019854-0.00059441i,-1.9614e-05-0.00011066i,-0.00043347+0.00031793i,0.00012353+0.0003003i,-6.3432e-06+0.00041582i,-0.00080612-0.00021993i
-5.0625e-06-0.000651i,-0.00050716+0.00021063i,-0.00098702-0.0006154i,-0.0010539-0.0007655i,-0.0010785-0.00039985i,-0.0009247+0.0005882i,-0.0011956+0.0007941i,-0.0007746-0.00048132i,0.00061855-0.0022123i,0.00098795-0.0029465i,0.00099589-0.0028137i,-0.00038918-0.0029083i,-0.0028835-0.0022754i,-0.003616-0.001225i,-0.0017496-0.00027845i,-7.2755e-05+8.8912e-05i,0.00062391-0.00011957i,0.00025861-8.8312e-05i,-0.00023122+0.00015174i,-0.00061423-0.00012367i,-0.0012115-0.0009078i,-0.00086966-0.00095077i,-0.0003869-0.00030581i
0.00050119-0.0022319i,0.00024372-0.0024886i,-0.0001379-0.0018749i,-0.00059031-0.0015518i,-0.00089516-0.00091218i,-0.00039783-0.00037848i,0.00048863-0.0011098i,0.00039911-0.0018249i,-0.00074313-0.0015212i,-0.0015086-0.00095937i,-0.001656-0.0010751i,-0.0018202-0.0012567i,-0.0025241-0.00077872i,-0.00209-0.00057127i,-0.0010661-0.0011166i,-0.00048341-0.0015965i,0.00020651-0.0017082i,0.00030816-0.00098404i,-0.00031346-4.3598e-05i,-0.00099664+0.00034856i,-0.001303+3.1362e-05i,-0.0010632-9.5877e-05i,-0.001258-0.0003067i
0.0023108+0.00021655i,0.0026039-4.4002e-05i,0.0020409+0.0016162i,0.0010296+0.0024101i,0.00029207+0.0019198i,-9.1318e-05+0.00079361i,-0.00042539+0.00054105i,-0.00062606+0.0003108i,-0.0010443-0.0007816i,-0.0012451-0.00012569i,-0.0011086+0.0010083i,-0.00090088+0.00025039i,-0.00015501+0.00016226i,-0.00055726+0.00038006i,-0.0014601-0.00041529i,-0.0012082-0.0011907i,-0.00099067-0.00057407i,-0.0012582+8.8417e-05i,-0.001051+0.00024759i,-0.00062905+0.00077635i,-0.00066421+0.0010051i,-0.0006213+0.0006097i,1.3282e-05+8.9335e-05i
0.0010966-0.00079133i,-0.00030454-0.0003102i,-0.0011654-7.3297e-06i,-0.0014415+0.00026011i,-0.00062427+0.00040844i,-0.00022447+0.00062012i,-0.0007853+0.0009337i,-0.0012695+0.0016835i,-0.0012115+0.0020275i,-0.00085211+0.002445i,0.00071876+0.0031334i,0.0022933+0.0028764i,0.001876+0.00065444i,0.00089161-0.0008694i,0.00030699-0.00055911i,-0.00053002+0.00076865i,-0.0012158+0.0016234i,-0.00058884+0.00056732i,0.00072603-0.000316i,0.0010842-0.00054485i,0.00076219-0.00069474i,0.0001072+0.00017243i,-0.00078982+0.0003019i
0.00042473-0.0017698i,-0.0008542-0.0021973i,-0.003104-0.0022709i,-0.0035387-0.00085565i,-0.0016126-8.1941e-05i,0.00020055+0.0005312i,0.00062314+0.0014047i,0.00034484+0.0021716i,0.00023566+0.0012736i,0.00056115+0.00039463i,0.0015635-0.00042728i,0.0026153-0.0019357i,0.0021326-0.0025902i,0.00066848-0.002259i,0.00019189-0.00059916i,0.00024955+0.0012089i,0.00057512+0.0013673i,0.00052178+0.00080348i,0.00052177+0.00018021i,0.00064737+1.4451e-05i,0.00087015-0.00012336i,0.00032153+0.00025193i,-0.00031328+0.00076824i
0.0018156+0.00067907i,0.002552+0.001405i,0.0025569+0.0017928i,0.0011416+0.0017156i,0.00013566+0.0011018i,-0.00017627+0.00018881i,-0.00022774+2.1781e-05i,0.00010479+0.00017178i,-3.2426e-05+0.00036492i,-0.00015533-0.0013801i,0.0010881-0.0028738i,0.001474-0.003643i,0.00081817-0.0039687i,0.00013305-0.0020643i,0.00057583-0.00047474i,0.0016967-0.00069004i,0.0013946-0.00073294i,0.00073843-0.00079632i,5.9132e-05-0.00096866i,-0.0010917-0.00077912i,-0.0011298-0.00049192i,-0.00065869+0.00023438i,-0.0011745+0.00058972i
0.00056891-0.0010468i,0.0016699-0.0010563i,0.00077633-0.00037821i,-0.00058368-0.00035953i,-0.00091097-2.9035e-06i,0.00053458+0.00077771i,0.0014747+0.00016508i,0.0006846-0.00061358i,0.00021525-0.0001923i,-0.00017737-0.00017451i,-0.0011036-0.0001495i,-0.0012841-3.6792e-05i,-0.0015716-0.00024488i,-0.00094985+4.1645e-05i,5.6651e-05+0.0001427i,0.0010167-0.00037488i,0.0012679-0.00045081i,-1.8275e-05-0.00091296i,-0.00069497-0.0012705i,-0.0001801-0.0008018i,-0.00034791-0.0003194i,-0.00085506+4.3166e-05i,-0.0006283+0.0001881i
-0.0010058-0.00066755i,-0.0017815-9.0154e-05i,-0.0025121+0.00042492i,-0.0019615+0.00065279i,-0.0016921+0.0012428i,-0.0011522+0.00083507i,-0.00012659-6.6043e-05i,-0.00019116-0.00056725i,-0.00068717-0.0014666i,-0.0012746-0.00036596i,-0.0019586+0.0021365i,-0.002368+0.0026114i,-0.0021292+0.001829i,-0.00053068+0.001191i,0.00026172+0.00017986i,-0.00075949+8.1172e-05i,-0.0010854+0.00064403i,-0.0005109+0.00014101i,0.00015752-0.00044331i,-0.00014752-0.0002219i,-0.00058466+0.00021998i,-0.00022646+0.000496i,-0.00021344+0.00083214i
-0.0024911-0.0010164i,-0.0027631-0.00085342i,-0.0031712+0.00039408i,-0.0027695+0.0019352i,-0.0017923+0.0020803i,-0.00067504+0.00096778i,-0.00051498-0.00037106i,-0.00095457-0.0011573i,-0.00036377-0.00068981i,0.00073036+0.00078602i,0.0012847+0.0022738i,0.0010681+0.0031904i,0.0012643+0.002908i,0.0014591+0.0018305i,0.00084128+0.00034742i,-0.00010738-0.00038373i,-0.00071187+0.00011993i,-0.00060584+0.0007648i,-0.00044792+0.0004239i,-0.00058767+0.00073291i,-0.00074689+0.0013048i,-0.00073331+0.00097202i,-0.00041275-0.00031922i
-0.0037129-0.00069202i,-0.0039663-0.00029836i,-0.0051347-0.00023057i,-0.0043168+0.00054713i,-0.0022295+0.00089238i,-0.00034687-0.00029543i,-9.7256e-05-0.0011683i,-0.00060089-0.00017913i,-0.00066511+0.0012529i,-0.00031959+0.000983i,0.0015617+0.00093413i,0.0036705+0.00097109i,0.0032489+0.00030582i,0.0017578+3.2491e-05i,0.00088538+0.00049201i,0.00091981+0.0014368i,0.0010443+0.0012187i,0.00087196+0.00041425i,0.00071044+0.00034414i,0.00047996+0.00058386i,-0.0001514+0.00077244i,-0.00066549+0.0009401i,-0.00064701+0.00069908i
0.00031152+0.0014188i,-0.0010118+0.0012394i,-0.0011633+0.0018648i,-0.00084846+0.0025036i,4.0443e-06+0.0016172i,2.988e-05+0.001021i,-0.00050645+0.00086556i,-0.00054354+0.00067159i,-0.00085735+0.00018758i,-0.00073905-3.8448e-05i,0.00096503+0.00014867i,0.001429-0.00028983i,-0.00020372-0.0010558i,-0.0005779-0.0008026i,3.286e-05-0.00026676i,-5.3356e-05+0.00011965i,0.00063773-0.00015064i,0.00032883-0.00047464i,-0.0012296-0.0001779i,-0.00086761+0.00048573i,0.00023798+0.0011392i,0.00092659+0.0014168i,0.00064434+0.00094587i
-0.00051981+0.00054528i,0.0011407+0.0008862i,0.0011093+9.214e-05i,-0.00011138-0.0001501i,-0.00077672-0.00069557i,-0.00041094-0.00083815i,0.00018443+7.7974e-05i,1.5615e-05+0.001177i,-0.00047004+0.0018275i,-0.00098036+0.0014719i,-0.00096679+0.00041947i,-0.0013289-0.00068076i,-0.0021631-0.0011591i,-0.0017782-0.00031345i,-0.0010916+0.00042955i,-0.00031577-9.2067e-05i,-0.00021035-0.0010109i,-0.0010278-0.00101i,-0.00034214-0.00025097i,0.00055697-0.00051909i,0.0001555-0.00087437i,0.00015227-0.00023098i,0.00060963-0.00050467i
0.0020279-0.0026967i,-0.00045753-0.0023205i,-0.0028475-0.0025384i,-0.0035191-0.0017028i,-0.0020175-0.00037073i,-0.00036055+0.00046637i,0.00036458+0.00055046i,0.0011185+0.00014299i,0.0012746+0.00033855i,0.0011036+0.00047419i,-0.00051223-0.00018238i,-0.0018204-0.00012105i,-0.0023635+0.001197i,-0.0021006+0.0014407i,-0.00099411+0.0011652i,-0.00056669+0.0011477i,-0.00080545+0.00078282i,-0.0010867+0.00016404i,-0.00019138+0.00020051i,0.0001463+0.00039188i,-0.00058101-0.00031844i,-0.0012087-0.00051539i,-0.0014797-0.00052136i
0.0019481+0.0018242i,0.0005838+0.0020066i,0.00088884+0.0020044i,0.00082056+0.0020586i,-0.00022848+0.0017832i,-0.00041928+0.001313i,-0.00054496+0.00088898i,-0.00038035+0.00015138i,0.00071304-0.0012035i,0.00096967-0.0022512i,0.00087178-0.00098129i,0.00070357+0.00062705i,4.1626e-05+0.00035279i,-0.00067552-0.00029151i,-0.00030594-0.00069385i,0.00013889-0.0010769i,-6.5428e-05-0.00016459i,-0.00043388+0.00075355i,-0.00025043+0.00015445i,-0.00086828+7.3458e-05i,-0.0013478+0.00031085i,-0.00096127+0.00014652i,-0.00033741+0.00048077i
-0.00029047-6.5672e-05i,-1.4729e-05-0.00083953i,-0.00029294+0.0007294i,-0.00094944+0.0018714i,-0.00036728+0.0012426i,0.00094964+0.00032791i,0.0007117-0.00033948i,-0.0001134-0.00085703i,-0.00087841-0.001653i,-0.0012282-0.002056i,-0.00057577-0.001522i,0.00079957-0.00088437i,0.0010699-0.0011231i,0.00094521-0.0014112i,0.0011996-0.001375i,0.001477-0.00096265i,0.0014893-0.00076236i,0.0011063-0.00055473i,0.00065453-0.00030956i,-8.3476e-07+0.00025044i,-4.7417e-05+0.0006301i,-0.00023783-9.8338e-06i,-0.0006655-9.575e-06i
0.0025373+0.0013233i,0.0020192+0.0011183i,0.0010284+0.0011857i,-0.00074718+0.0015068i,-0.0013121+0.0010488i,-0.00059835+0.00069933i,0.00021482+0.00071514i,9.2371e-05+0.00061548i,-0.0012215-0.0001434i,-0.0031117-0.00064952i,-0.0023761-0.0014572i,-4.8635e-05-0.0033888i,0.00069907-0.0044729i,-6.2087e-05-0.0034271i,-0.00035239-0.0019129i,0.00025189-0.00098116i,0.00032032+3.6632e-05i,3.2667e-05+0.00014124i,-0.00060589+0.00017864i,-0.0011276+0.0007211i,-0.000221+0.00025719i,0.00013776-9.9229e-05i,-0.0002785+0.00029284i
0.0008767-0.0014297i,0.00021914-0.0017236i,-0.00015522-0.0029824i,-0.0015298-0.0018941i,-0.0019898+2.6385e-06i,-0.00137-0.00030959i,-0.00094598-0.00095058i,-0.0012981-0.0003365i,-0.0018842+0.0011512i,-0.001762+0.0016143i,-0.0011079+0.00062094i,-0.00091717-0.0012256i,-0.0018651-0.0027597i,-0.0020773-0.0021022i,-0.00088962-0.0013211i,-0.00010269-0.000657i,-0.00015992-0.00037237i,-0.00037213-0.00065132i,-0.00073936-0.00061146i,-0.00068914-0.00028288i,-0.000188+0.00069932i,-0.00029346+0.00023426i,-0.00036078-0.00057437i
-0.00041942-0.0022669i,-0.0020642-0.0020416i,-0.0029355-0.0013613i,-0.0017243-0.001029i,-0.00097733-0.0012414i,6.2287e-06-0.0009516i,-0.00028218-0.00040426i,-0.0010238-0.00015023i,0.00089484+0.00080483i,0.0022572+0.002304i,0.0013357+0.0024131i,2.3027e-05+0.0011029i,0.00012579+0.00073577i,0.00073397+0.0014112i,0.00097463+0.0009592i,0.00062848+0.0005711i,0.00020122+0.00080145i,-0.00028197+0.00070072i,-0.00091274+3.3675e-05i,-0.00097364-0.00047217i,-0.00014894+0.00017708i,-0.00022039+0.00043426i,-0.00040578-0.00013495i
0.00017546+0.0017063i,-0.00014939+0.0016856i,0.00011234+0.0021454i,-0.00026906+0.0031565i,-0.00099319+0.0029819i,-0.00066226+0.0019237i,-0.0005895+0.0014507i,-0.001006+0.00076362i,0.00040461-0.00038949i,0.0029433-0.0011799i,0.0036367-0.00033885i,0.002859+0.0014835i,0.0027275+0.0020199i,0.003026+0.00082166i,0.0027958-0.00033772i,0.001666-0.00055955i,0.00064385-0.00039631i,-9.7692e-05+2.4087e-05i,-0.00014626+0.00015561i,-0.0005572+0.00036352i,-0.00068519+0.00056751i,-0.00032107+0.00043007i,-0.00036807+0.00043467i
0.0011441+0.0006358i,0.0012507-0.00020818i,0.00076022-0.00090185i,-0.0001145+0.0004446i,-0.00040982+0.0018925i,-0.00030396+0.0018349i,-0.00011846+0.0018485i,0.00065912+0.0022343i,0.00039996+0.0017165i,-0.0010978-0.00023837i,-0.00037821-0.00031561i,0.0021824+0.0012922i,0.0033277+0.00049342i,0.0026366-0.00050564i,0.0011518-0.00085455i,8.2582e-05-0.00119i,0.00013067-0.00083261i,-7.2989e-06-0.00062533i,-0.00024071-0.00010766i,-0.00018002+0.00015587i,8.4704e-05+7.3163e-05i,0.00031408+0.00089436i,0.00039606+0.0011708i
0.00068129-0.00050524i,0.00077681-0.00082468i,0.0010789-0.00040373i,0.0012963+0.00061502i,0.0013437+0.0011013i,0.0011176+0.00061135i,0.0022145+0.00025464i,0.0024103+0.00055027i,0.00029756+0.00023888i,-0.0013076+7.7733e-05i,-0.0013428-0.00023932i,0.0004626-0.0010207i,0.0014408-0.0015384i,0.00050829-0.0018199i,-0.0014449-0.00090212i,-0.0026151+2.586e-05i,-0.0017611-0.00062293i,-0.00074295-0.0020067i,-0.00029474-0.0018763i,-0.00058858-0.0010639i,-0.00044374-0.00045176i,0.00015932+0.00021475i,3.11e-06+0.00032892i
0.00046484+0.0020223i,5.6658e-05+0.0020403i,0.0003578+0.0022392i,-0.00087163+0.0019903i,-0.0018858+0.00054466i,-0.0007348+0.00060906i,-0.00012949+0.00038166i,0.00033851-0.00071723i,0.00034614-0.00055028i,-0.0015638+0.0012743i,-0.0029391+0.0017481i,-0.0030084-0.00049328i,-0.0029831-0.0014229i,-0.0024705+7.451e-05i,-0.0024401+0.00066937i,-0.0024097-2.4886e-06i,-0.001804-0.00046137i,-0.0007895-0.0006844i,-0.00015795-0.00036163i,-0.00017166-0.00025i,-0.0003211-6.9767e-05i,0.0002053+0.00028025i,0.00060899+0.00015883i
-0.0012652+0.00094686i,-0.00082787+0.0014835i,-0.002231+0.0017677i,-0.0025734+0.0017035i,-0.00076022+0.0011738i,-0.00013449-0.00078574i,-0.00060837-0.0022635i,0.00015449-0.0019696i,0.00031683-0.00041698i,-0.00019892+0.0014899i,-0.00089492+0.0025086i,-0.0033159+0.0021251i,-0.0048205+0.0019573i,-0.0035366+0.0020025i,-0.0012331+0.0024178i,-0.00029221+0.002875i,-0.00043981+0.0020253i,-0.00032515+0.00082005i,0.00043273+2.434e-06i,0.00061827-0.00046131i,-0.00031725-0.00047448i,-0.00087319+0.00042148i,-0.00014658+0.0016408i
-0.0011468-0.00065818i,-0.0015939-0.00088053i,-0.0029857+0.00066392i,-0.0027435+0.0021609i,-0.0015709+0.002265i,-0.0012773+0.0012997i,-0.0011741+0.0011027i,-0.0014657+0.00070568i,-0.0012992-0.0008029i,-0.00024779-0.0009773i,0.00056399+0.00040903i,-0.00057871+0.0020125i,-0.0014905+0.0033302i,-0.00080887+0.002532i,0.00088843+0.00080938i,0.0019646+8.1113e-05i,0.0018511+0.00011318i,0.0010189+0.00032416i,0.00019003+0.00051254i,0.00022417+0.00065692i,-0.00020189+0.00072623i,-0.00041112+0.00092017i,0.00048901+0.0011837i
0.0012894-0.00013109i,0.00055465-0.00027499i,-7.6788e-05+9.1195e-05i,-0.00088567+0.00065487i,-0.0012233+0.0012529i,-0.0004489+0.001583i,-0.00083421+0.0023822i,-0.0014614+0.003107i,-0.001854+0.0017958i,-0.0018034-6.2933e-05i,-0.00087571+0.00019483i,0.00055987+0.00032373i,0.0011965-0.0005555i,0.0009818-0.00076712i,0.0010211-0.0014332i,0.0015443-0.0019887i,0.0015713-0.001412i,0.0010722-0.000842i,0.0005651-0.00059385i,0.00032299+0.00019632i,0.00028175+0.0010535i,-3.6315e-05+0.0017903i,-0.00049024+0.0012275i
-0.00084035-0.00176i,-0.00091998+0.0002722i,-0.0019285+0.00069679i,-0.00075364+0.00037087i,0.0012175+0.00066604i,0.0017191+0.0016946i,0.0011089+0.001909i,0.00099591+0.0022884i,0.00078521+0.0031043i,-0.00083324+0.0019519i,-0.0011999-0.00024513i,0.00092563-0.0022334i,0.0020302-0.0041568i,0.00043944-0.0044307i,-0.00059053-0.0036802i,-0.00041147-0.0025909i,-0.00048995-0.0010384i,-0.00013229-2.559e-05i,0.00011742+9.3237e-05i,-0.00031664-4.209e-05i,-0.00031944-4.1917e-05i,0.00011127+0.00025333i,0.00017157+2.6311e-05i
0.00014816+0.0023326i,-0.00079129+0.002922i,-0.0020544+0.0041944i,-0.0019399+0.0036969i,-0.00064459+0.00099884i,0.00048818-0.0014198i,0.00093948-0.00068765i,0.0023961+0.0013818i,0.003462+0.0023182i,0.0022382+0.0025898i,0.00048335+0.00096922i,-2.0575e-05-0.0025186i,-1.7858e-06-0.0047707i,-0.0002748-0.0047981i,-0.000715-0.0030032i,-0.0009106-0.001163i,-0.0010934-0.00042118i,-0.0010622+0.00023992i,-0.0010343+0.00050558i,-9.9354e-07+0.00039204i,0.0011615+0.00079155i,0.00066142+0.001165i,-0.00042486+0.001148i
-0.0027637+0.0011935i,-0.0021369+0.0015569i,-0.00104+0.0028996i,0.00026478+0.0030564i,0.00031907+0.0013515i,-0.00011071-0.0007158i,-0.00033926-0.0012296i,0.00098279-0.0022089i,0.0031101-0.0025439i,0.0029332-0.0012116i,0.00055243-0.00094508i,-0.001217-0.0021266i,-0.001854-0.0022235i,-0.0018244-0.00066487i,-3.1133e-05+0.0013232i,0.00094565+0.0020425i,0.00039633+0.0017535i,0.0003861+0.0010373i,0.00084165+0.00075996i,0.00016609+0.00099698i,-0.00046246+0.0013008i,0.00011802+0.0010051i,0.00015701+2.345e-05i
-0.00019896+0.00053339i,0.00052206-0.00068617i,-7.1925e-05+0.00039623i,-0.00022318+0.0016464i,0.00024546+0.0019456i,0.0002841+0.0016342i,-0.00063837+0.00082575i,-0.0029138-0.0010404i,-0.0033172-0.0030359i,-0.0021293-0.0027558i,-0.0014158-0.0010441i,-0.00040972+2.4609e-05i,-0.00017863+0.0011848i,0.00027316+0.0021889i,0.0015359+0.0015076i,0.0023556+0.00080446i,0.0020021+0.0010922i,0.00089076+0.0011113i,2.0972e-05+2.5482e-05i,-0.0012425-0.00091647i,-0.0020966-0.00050941i,-0.0016117-0.00027431i,-0.0012478-0.00042993i
0.00031083+0.0036472i,0.0012718+0.0041866i,0.0015599+0.0037455i,0.00092776+0.0026359i,0.0012213+0.0011892i,0.0014082-3.6563e-05i,-1.5226e-05+0.00039834i,-0.0018993+0.001068i,-0.0034328+0.00025467i,-0.0039351-1.8274e-05i,-0.0018687+0.00030905i,0.0017935+0.0003471i,0.0035224+0.0013407i,0.003018+0.0018858i,0.0022896+0.0013916i,0.0015183-6.745e-05i,0.001291-0.0016276i,0.0015745-0.0012191i,0.00098119-0.00091295i,0.00010725-0.00088127i,-0.00044871-0.0004462i,-0.00043269+0.00045814i,-0.00071299+0.0017497i
-0.0026152+0.00036589i,-0.0024845+0.00098455i,-0.0026663+0.0027654i,-0.0019681+0.0025366i,-0.00052147+0.00097975i,0.0011332-0.00010902i,0.0015021+0.00020868i,0.00061991+0.0027851i,-0.0012784+0.0056443i,-0.0023071+0.0060239i,-0.00034515+0.0037532i,0.0031166+0.0014736i,0.0043231+0.00064027i,0.0032128+0.00052686i,0.00093068+0.00059599i,-0.0010296-8.0459e-05i,-0.0010328-0.00063232i,-0.00079962-0.0011603i,-0.0014614-0.0006954i,-0.0015066-0.00032954i,-0.0010571-0.00066989i,-0.0009214+0.000211i,-0.00017206+0.00080787i
-0.0031973-6.5679e-05i,-0.0046788+0.00060211i,-0.0062588+0.0026017i,-0.0066013+0.0031208i,-0.0040198+0.0025846i,-0.00092799+0.00077538i,-0.00034076-0.0006634i,0.0011196+0.0010822i,0.0027378+0.0042268i,0.0025143+0.0049303i,0.0017111+0.0034644i,0.0013472+0.00089i,0.0011167-0.00086709i,0.0010568-0.00057032i,0.00073883+0.00053047i,-0.00019303+0.00093324i,-0.00055382+0.00064162i,-0.00022723+0.00016216i,-0.00013432-0.00054254i,4.5913e-05-0.00035176i,0.00050054-0.00044882i,0.00023607+0.00040663i,-0.00015376+0.0010808i
-0.00079278+0.0014319i,-0.0010689+0.0017977i,-0.0013177+0.0025367i,-0.0012618+0.0029244i,-0.00088649+0.0029799i,-0.00074346+0.001737i,-0.0010276+0.0002931i,0.0004654-0.00040983i,0.0029037-0.0017298i,0.0037553-0.0020877i,0.0027826-0.0011995i,0.00049361-0.00097274i,-0.0011118-0.00077383i,-0.00094711-0.00079821i,-0.00014644-0.0010595i,0.00058435-0.00022218i,0.00085134+0.00035981i,0.00094055+0.00039217i,0.00027296+0.00016364i,-0.00014758-0.00087322i,-0.00025659-0.00064445i,-0.00031349-0.00023167i,-0.00030623-0.00075747i
0.0019449-0.00093371i,0.0028092-0.00062783i,0.0024692-0.0012611i,0.0011263-0.0016046i,0.00027906-6.372e-05i,-0.00026406+0.0013612i,-0.00045371+0.0010789i,-0.00086179-0.0010713i,-0.00096658-0.0043887i,-0.0014485-0.0053765i,-0.0019525-0.0029355i,-0.0023638-0.00030793i,-0.0024366+0.0010626i,-0.001235+0.0015801i,7.0233e-06+0.0010456i,0.00044258+0.00071993i,0.00069359+0.00031983i,-7.651e-05+9.4144e-05i,-0.00051533+0.00041231i,-0.00011947+0.00044356i,-0.00035338-2.1852e-05i,-0.00078832+0.00056693i,-0.0013123+0.0010562i
0.0015304+0.00093191i,-0.0003313+0.00041183i,-0.00033283+0.0012622i,-0.00013287+0.0016465i,0.0006765+0.00097275i,0.0015685+1.1454e-05i,0.0014414+0.00060557i,-0.0007672+0.00077483i,-0.0040982-0.00049351i,-0.0056352-0.0011873i,-0.0041993-0.00053756i,-0.0020019+0.00065283i,-0.0018132+0.0012073i,-0.0022439+0.00085165i,-0.0023872+0.00027619i,-0.0018192-0.00018282i,-0.00035397-0.00030239i,-0.00054454-4.4282e-05i,-0.0011563-0.00036945i,-0.00062593-0.00068058i,0.00054278+0.00013086i,0.0012148+0.0013502i,0.00070513+0.0011798i
0.00099518-0.0019502i,0.00046074-0.0021184i,-0.0010131-0.0024282i,-0.0030419-0.0014619i,-0.0035782-0.0019878i,-0.0023588-0.0032522i,-0.00051668-0.002607i,5.7406e-05+0.00052032i,-0.0013718+0.0028892i,-0.0027909+0.0030455i,-0.0018903+0.0019652i,-0.00051985+0.00039693i,-0.00017999-0.00061957i,-0.00069417-0.00061952i,-0.001264-0.00058601i,-0.0014971-0.00068873i,-0.00039291-2.9255e-05i,0.00086219-0.00042003i,0.00063236-0.00029104i,8.9848e-05+0.00071081i,0.0008744+0.0011427i,0.0016334+0.00084136i,0.0010443-0.0002012i
-0.0025918-0.0017402i,-0.0022444-0.0014973i,-0.0023296-0.00032448i,-0.0014872+0.00074562i,-0.00117+0.0010165i,-0.0017406-0.00032125i,-0.001645-0.0014593i,0.00061581-0.00079225i,0.0029513+0.0013497i,0.0031899+0.0025377i,0.0026314+0.0012034i,0.0017808-0.0011705i,0.00038147-0.0012012i,-9.936e-05+0.00054448i,0.00046549+0.0005462i,0.0002731+0.0005176i,5.8528e-05+0.00050257i,0.00022203-0.00055471i,0.0008591-0.00054853i,0.00097934-0.0002696i,0.00062503-0.00065175i,-4.3791e-05-0.0011178i,-0.00023841-0.00097086i
-2.5933e-05+0.00065544i,0.00058088+9.5367e-05i,0.0003546+0.0011008i,-0.0014073+0.0031026i,-0.001442+0.0043458i,-0.00082607+0.0042469i,-0.0016053+0.0024983i,-0.00085861-0.00051632i,0.00058539-0.0027896i,0.0018881-0.0024792i,0.0019514-0.0016439i,0.00074773-0.0017494i,0.0004377-0.0020736i,0.0011109-0.0016916i,0.0019222-0.00047576i,0.0017743+9.4401e-05i,0.001535-0.0006143i,0.0010238-0.0011046i,0.00025519-0.00070915i,-0.00069327-0.00070285i,-0.0017138-0.001418i,-0.0023498-0.0010003i,-0.002272-0.00022635i
-0.002781-6.1949e-05i,-0.0030233+0.0010885i,-0.0026033+0.0011825i,-0.001893+0.00023778i,0.00015299-0.00052418i,0.0024741+0.00046774i,0.00076803+0.0012964i,-0.0025864+0.00016573i,-0.004058-0.0028684i,-0.0036786-0.0036671i,-0.0019283-0.0016029i,0.0001314-0.00050257i,0.00043095-0.00040585i,-0.00067878+1.3421e-05i,-0.00042181-0.00010353i,0.00057437-0.000459i,-0.00019755-0.001384i,-0.0012807-0.00098927i,-0.0018855-5.5077e-05i,-0.0024817+0.00010882i,-0.0018711+0.00097013i,-0.00040332+0.0015179i,-0.00042147+0.00051063i
-0.0024059+0.0018652i,-0.0039516+0.0035683i,-0.0047314+0.0044563i,-0.0029952+0.0042265i,-0.00094467+0.0034878i,0.0018793+0.002215i,0.001957+0.0015335i,-0.0016076+0.0022857i,-0.0044567+0.002766i,-0.004249+0.0020815i,-0.0018771+0.0012514i,0.00024278-0.00027229i,0.001197-0.00062149i,0.0011535-0.00019066i,-0.00022207-0.00073234i,-0.00069322-0.00039877i,-0.00043853+0.00033959i,-0.0008569+0.00031678i,-0.0013099+0.00066718i,-0.0014339+0.00090915i,-0.00065448+0.0011187i,0.00022982+0.00093336i,0.00018179+0.00014768i
-0.002392-0.0001402i,-0.0029342-0.00012788i,-0.004+0.00096606i,-0.0051585+0.0013738i,-0.0054086-6.1668e-05i,-0.0036885-0.0022467i,-0.00079995-0.0010286i,0.0011775+0.0028757i,0.0011293+0.0055862i,0.0006656+0.0055153i,0.0018654+0.0032858i,0.003004+0.00012112i,0.002446-0.0011785i,0.0012215-0.00047307i,1.5703e-05+0.00015909i,-0.00028075+0.00049749i,5.7852e-05+0.00078264i,0.00056351+0.0007722i,0.00066568+0.00021643i,0.00072939+2.3637e-05i,0.001026+0.00035266i,0.0007885-0.00044016i,-4.291e-06-0.00072696i
0.0013092-0.0014991i,0.0017144-0.002455i,0.0014128-0.0035443i,0.0013945-0.0020187i,0.00092018+0.0012963i,0.00092444+0.0022215i,0.0016648+0.00052354i,0.0040242-3.0174e-05i,0.0060868+0.0017687i,0.0044647+0.0021721i,0.0018125+0.0012196i,0.00070451+0.00040337i,-0.00039746-0.0010464i,-0.0010522-0.00095573i,1.5451e-05+0.00067837i,0.00097232+0.001147i,0.0012006+0.00065597i,0.0012783-0.00014796i,0.00096002-0.0011034i,6.7224e-05-0.0018054i,-0.00015747-0.0019219i,0.00037904-0.00093364i,0.00084087-0.00075804i
0.0031475+0.001488i,0.0042429+0.00072026i,0.0026499+0.00028365i,-0.00026428+0.0009429i,-7.1273e-05+0.0017509i,0.0012194+0.0021433i,0.0010301+0.00064936i,0.0011496-0.0036618i,0.0032537-0.0064011i,0.0036533-0.004476i,0.0017165-0.0011031i,0.00039939+0.00032167i,-0.00076041+0.0004543i,-0.00081473+0.00085829i,0.00056339+0.00074607i,0.0006757-0.0008803i,-6.0149e-05-0.0016514i,-0.00070514-0.0013357i,-0.0010321-0.001044i,-0.00081805-0.00070994i,-0.00059136-0.0012733i,-0.00077518-0.0012674i,-0.00082068-0.00071475i
