-0.00053772+0.00063089i,0.00099314+0.0010852i,0.00050796+0.0015568i,-0.0004097+0.0026563i,-0.0010087+0.0029315i,-0.00027169+0.0013773i,0.00060162+0.00065333i,0.00082384+0.00088372i,0.0011009+0.00033456i,0.0011961+0.00014464i,0.00083541+0.00068879i,9.7201e-06+0.00049501i,0.00022519-0.00076076i,0.001055-0.001438i,0.0014873-0.00049489i,0.0011457+0.00042439i,4.706e-05-0.00031696i,-0.00053704-0.00041157i,-0.00050101+0.00015031i,-0.00034243+0.00038741i,-0.00069+0.00066705i,-0.00071487+0.0008042i,0.00043682+0.0010384i
0.0019882+0.00014628i,0.0024745+0.0018088i,0.0020011+0.0023281i,0.00057066+0.0019023i,-0.00030752+0.00056028i,0.00017984-0.00081764i,0.00083136-0.0016302i,0.00070403-0.0016302i,0.00039148-0.00016469i,0.00056279+0.00053907i,0.00049654-0.00027813i,0.000398-0.00024835i,-1.1903e-05+0.00050602i,-0.0005803+2.1433e-05i,-0.0013964-0.00057589i,-0.0015866-0.0004599i,-0.00087991-0.00083497i,-0.00089994-0.00070605i,-0.00074107+0.00026669i,-0.00020703+0.0001668i,-0.00026165+0.00017142i,-0.00025536+0.00047614i,-0.00032254+0.00058893i
0.0019685-7.248e-06i,0.00063609+0.0019141i,9.2452e-05+0.0022451i,-0.0002283+0.0016708i,0.00031079+0.00029871i,0.0016354-0.0016045i,0.0014697-0.0015817i,0.00040197-0.0010219i,2.6573e-05-0.00069806i,0.00068631+2.4078e-05i,0.00089088+0.00049157i,-0.00013041+0.00078026i,-0.00082729+0.001244i,-0.00042466+0.0014144i,-0.00052462+0.00091571i,-0.00088021-0.00024489i,-0.00072878-0.00090421i,-0.00045613-0.00018392i,-6.5354e-05+0.00095803i,-0.00021542+0.00091837i,-0.00060773+9.1008e-06i,-0.00037542-0.00010649i,-0.00030487+0.00021457i
0.0032962-0.00072836i,0.0029405-0.0012258i,0.0015131-0.00087908i,0.00055698-0.0011614i,0.00091095-0.0019259i,0.00069578-0.00099167i,0.0011197-0.00059695i,0.0012531-0.0018747i,0.00030077-0.0020469i,0.00039913-0.0010854i,0.00021222-0.00037249i,-0.0012148+0.00065095i,-0.001552+0.0013672i,-0.00062247+0.0012081i,-7.3904e-05+0.00083235i,-6.1856e-05-5.9058e-05i,-3.4333e-05-5.8566e-05i,0.00062308-0.00021689i,0.00090767-0.00081299i,0.0004247-0.00032006i,0.00015858+0.00023537i,0.00035124+2.9363e-06i,0.00060367-0.00023667i
0.002154+0.0038114i,0.0018705+0.0037676i,0.0012097+0.0050327i,0.0013296+0.0043959i,0.0019187+0.0014193i,0.0016356-0.00063479i,0.00028853-0.0015092i,-0.00068053-0.001664i,-0.00078906-0.0012392i,-0.00052225-0.00089825i,-0.00068233+3.009e-05i,-0.00092958+0.00010496i,-0.00023733-0.00075164i,-7.679e-05-0.0013312i,-0.00024967-0.0017397i,-0.0004908-0.0018546i,-0.0004683-0.0015473i,-0.000273+0.00017996i,-0.00085967+0.0016746i,-0.00077057+0.0011781i,9.0695e-06+0.00050272i,0.00034523+0.00017191i,0.00045608-0.00024122i
0.00023474+0.0041544i,0.001091+0.0051395i,0.00095839+0.0046971i,0.0015226+0.0022163i,0.0016382-0.00061825i,0.00072768-0.0021765i,0.000543-0.0020309i,0.00068399-0.00064372i,0.00038367-0.00024384i,0.00052493+1.0415e-05i,0.0012372+0.00022531i,0.00061656-4.8666e-05i,-0.0001856-0.00027259i,8.2128e-05-0.00017775i,-5.1129e-05-0.00041601i,0.00014831-0.00075835i,0.00042992-0.00085674i,9.4418e-05-0.00052614i,4.1664e-05+6.9964e-05i,0.00016804-2.4994e-06i,0.00042565-0.0010755i,0.0004816-0.0013847i,0.00065832-0.00055422i
-0.0020893+0.0023175i,-0.0019346+0.0042933i,-0.0016779+0.0035526i,-0.00034336+0.0020468i,0.0015543+0.00056675i,0.0021955-0.00066058i,0.0011002-0.0012272i,0.00077159-0.0012388i,0.0017862-0.0009777i,0.0020367-0.00099332i,0.0012095-0.001314i,0.0008173-0.0010993i,0.0004758+0.00024541i,0.00068239+0.00033728i,0.0010067-0.00056713i,0.00081958-0.00048053i,0.00067852-7.4135e-05i,0.0004217+0.000617i,-4.7366e-06+0.00087785i,-0.00023339+0.00017532i,-3.5313e-05+0.00015695i,-0.00022718+0.00060748i,-0.00023554+0.00082599i
-0.00041634+0.0013625i,0.00074338+0.0039036i,0.0023139+0.0043522i,0.002783+0.0017041i,0.0011904-0.0011037i,-0.0010567-0.0022006i,-0.0019356-0.0021636i,-0.0018728-0.0015755i,-0.0014711-0.00078734i,-0.0012704-0.00039417i,-0.0010146-0.00028609i,-0.00095406+0.00024979i,-0.00088672+0.00021408i,-0.00012304-0.0012775i,0.00082699-0.0021055i,0.0011917-0.0013147i,0.0012249-0.00024797i,0.00082365-0.00018522i,-3.8338e-05-0.00084429i,-0.0006231-0.0011173i,-0.00049589-9.9481e-05i,-5.322e-05+0.000361i,-0.00018401+0.00034174i
0.00079129-0.0020227i,-0.00061318+0.00039691i,-0.0018691+0.0018687i,-0.0023782+0.0015505i,-0.0007186+0.00084262i,0.00085266+0.00019089i,0.00067333-0.0004404i,0.00048421-0.00057316i,0.00057903-0.00091557i,0.00096364-0.0010595i,0.00072916-0.00018355i,-0.00010987+0.00026784i,0.00042753+0.00066015i,0.0010578+0.00098357i,0.00081709+0.00062478i,-6.0523e-05+0.00027676i,-0.00063339-0.00029222i,-0.00062692-0.0007627i,0.00017575-0.00045126i,0.0012111+7.9115e-05i,0.0010165-7.5889e-05i,0.00072754-0.00032961i,0.00082285-0.00033388i
0.0015149+0.00055083i,0.0011304+0.0029695i,0.00044887+0.0041092i,-0.00010914+0.0019002i,-8.4694e-05-0.0011309i,0.00015697-0.0032908i,0.00059543-0.0028242i,0.00069716-0.00075066i,0.00040461+0.0001506i,0.00048781-0.00070533i,0.00035917-0.0013387i,0.00088373-0.00084229i,0.00081167-0.00018602i,0.00044427+0.00014794i,0.00069188+2.7043e-05i,0.00053426-0.00023087i,-9.8684e-05+0.00019477i,-0.00066835+0.00035655i,-0.0004384-0.00038722i,-0.0001301-0.0012867i,0.00025297-0.00079i,0.00021645+2.7201e-05i,0.00018239-0.00044028i
0.0028462+0.0015469i,0.0019206+0.0025886i,0.0014082+0.0023273i,0.0011899+0.00079394i,0.0006741-0.00025123i,0.00063226-0.00025402i,0.00085688-0.00057483i,0.00058594-0.0016135i,9.3415e-05-0.0017307i,-0.0002798-0.0015201i,-0.00017881-0.0010086i,-0.00058469-0.00034355i,-0.00084977-0.00023534i,-0.00054238-0.00012151i,-0.00018315-5.7312e-05i,0.00059682-0.00019943i,0.00093502-0.00046456i,0.00014647-0.00050899i,0.00010817-0.00021331i,0.00055965+8.4883e-05i,0.00039954+0.00024235i,0.00044539-0.00031302i,0.0010441-0.00084769i
0.0012929+0.0014447i,0.0014462+0.0026229i,0.002278+0.0044286i,0.0029918+0.0037307i,0.0020808+0.00066517i,0.0010912-0.0011928i,0.00087654-0.0018276i,0.000531-0.0018464i,-0.00015392-0.00090476i,-0.0014042-0.00027547i,-0.001184-0.00026093i,-0.00030411-0.00035113i,0.00032734-0.00026788i,0.00064614-0.0001706i,9.3446e-06-0.00048729i,-0.00047467-0.00099624i,-0.00043865-0.0015966i,-0.00039592-0.0013491i,-0.00052686-0.00073654i,-1.8933e-06-0.00019708i,0.00057815+0.0010661i,0.00042828+0.0008592i,0.00019637+0.00058721i
0.0010322+0.0018079i,0.00032075+0.0034665i,-0.00076983+0.0037774i,-0.00044464+0.0024356i,-0.00017714+0.00079664i,0.00031276-0.00056595i,0.00057596-0.001317i,2.0891e-05-0.0010729i,-0.00011594-0.0002297i,0.00089659+0.00030776i,0.00089875-9.5511e-05i,0.00073625-0.00044342i,0.00095036-0.000831i,0.00089274-0.00091608i,0.00035574-9.4027e-05i,-9.0917e-05-0.00040242i,-2.346e-05-0.00018657i,0.00037757+0.00058043i,0.00012573+0.0016455i,-0.00031797+0.0016382i,0.00012322+0.0010232i,0.00020196+0.00074981i,0.00013511+0.00049778i
0.0015469+0.00371i,0.0027139+0.0050312i,0.0027215+0.0055633i,0.0020366+0.0038318i,0.0014745+0.00019794i,0.00047131-0.0022125i,-0.00025002-0.0013492i,-1.7943e-05-3.5397e-05i,0.00041712-0.00065543i,0.00097609-0.0018683i,0.00056306-0.0015474i,-0.00031715-0.0010268i,-0.00014146-0.00068208i,0.00042817-0.001001i,0.00016428-0.00079882i,-6.608e-05+0.00042278i,0.00056064+0.00065611i,0.00099775+0.00028309i,0.00061406-0.00019084i,0.00010477-0.00074595i,7.0323e-05-0.00048702i,6.5905e-06-5.7436e-05i,-0.00039886-0.00036516i
0.00012339+0.0039605i,0.00080379+0.0068283i,0.0013369+0.0065432i,0.0020608+0.0042836i,0.0023978+0.0018151i,0.0019446-9.2594e-05i,0.0013644-0.0010804i,0.00068101-0.001413i,-0.00073675-0.00078812i,-0.0012169-0.00041944i,-0.0010441-0.00079281i,-0.00064294-0.00033861i,-0.00059839+0.00010928i,-0.00086855-0.00057665i,-0.00018664-0.00097697i,0.00092645-0.00093259i,0.0011766-0.00061972i,0.00064782-0.00082386i,0.00011896-0.0006162i,-0.00027515-8.8225e-05i,-0.00075598+0.00048096i,-0.00072658+0.00075677i,0.00016688+0.00023638i
0.00019719+0.0022707i,-0.0003518+0.0034674i,0.00044261+0.0039435i,0.00029828+0.001984i,-0.00065971-0.0013809i,-0.00087111-0.0025961i,-3.8543e-05-0.001681i,0.00019441-0.0015312i,0.00056984-0.0014746i,0.00025755-0.0011922i,-0.00030068-0.0010907i,-3.8239e-06-0.00076642i,-0.00049782-0.00034964i,-0.0011431-0.00018551i,-0.0010065-0.00052107i,-0.0005884-0.0010184i,-0.00024341-0.0013913i,-0.00071384-0.001444i,-0.00064274-0.00053213i,-0.00022902+0.00051684i,0.00083762+0.00080888i,0.001341+0.0011374i,-0.00022785+0.00084755i
0.0013309+0.0025188i,9.5732e-05+0.0032123i,-0.00011385+0.0034828i,0.00074483+0.0027941i,0.0018282+0.00088329i,0.0025233-0.0013388i,0.0018345-0.0014185i,0.00034424-0.00068109i,-9.9255e-05-0.00089176i,0.00072118-0.00068595i,0.0017223-0.00067351i,0.0016039-0.0008147i,0.00032714-0.0010407i,0.00021894-0.0015788i,0.00065894-0.0015404i,0.00030531-0.00021458i,-8.2233e-05+0.00042515i,-5.1348e-05-0.0002351i,4.9709e-05-0.00055219i,-0.00063255+5.5755e-07i,-0.00071711+0.00032053i,-0.00066176+0.00036237i,-0.00047356+7.6017e-05i
0.0036976+0.0028867i,0.0027644+0.0026141i,0.0013558+0.0022802i,0.00066226+0.0015582i,0.00044017-0.00034609i,0.0012922-0.00080398i,0.0012152-0.00012964i,5.7421e-05-0.00030578i,-7.5417e-05-0.0010974i,0.00056488-0.00093422i,0.00064414-0.0003129i,0.00069843+0.00015756i,0.00030093+0.00020592i,-0.00018035-1.886e-05i,-9.2518e-05+0.00035983i,0.00015725+0.00096955i,0.0003246+0.0011706i,-9.1857e-05+0.00051245i,0.00016025-6.5705e-05i,0.00051374-0.00038946i,3.9671e-05-0.00034169i,-0.00016157+0.00018227i,0.00013328-0.00016638i
0.00071906+0.0035464i,0.00046286+0.0041223i,0.00047652+0.0038417i,0.00041821+0.0026073i,0.00022487+0.0012904i,0.00029609-0.00015545i,0.00069466-0.00038748i,0.00060228-0.00040253i,-0.00014828-0.0011302i,3.4777e-05-0.0018001i,0.00026663-0.00059828i,-0.00014929+0.0004154i,-0.0003419+0.00037109i,0.00026257-0.00021288i,0.00075915-0.00049823i,0.00029109-0.00049201i,0.00010905-0.0014421i,0.00022251-0.0013492i,0.00068333-0.00063951i,0.00035771+0.00010646i,-0.00039921+0.0009349i,-0.00062528+0.00083824i,-0.00017829+0.00073138i
-0.00039441+0.0033555i,0.00074751+0.004492i,0.0012747+0.0042163i,0.0011259+0.0029498i,0.0017231+0.00083369i,0.0015929-0.0019938i,0.00094606-0.0026196i,0.00029256-0.0017892i,0.00011315-0.0011079i,0.00073458-0.00081763i,0.0009305+0.00015814i,0.00051763+0.00096654i,-0.00053202+0.00069959i,-0.00044485-3.1693e-05i,-0.00045754-0.00028624i,-0.00086264-0.00019279i,-0.00093133-2.5943e-05i,-0.00014468-0.00029626i,0.0010222+0.00026501i,0.00096907+0.00038469i,0.00021622+9.7938e-06i,0.00034273+0.00031729i,0.00043193+0.00041385i
-0.0019362+9.0245e-05i,-0.0030364+0.0023254i,-0.0036806+0.0046693i,-0.001926+0.0049258i,-0.00087342+0.0026783i,-0.00010706+0.00084475i,0.00099413+0.00018829i,0.0010343-0.00079085i,0.0014129-0.0014781i,0.0012853-0.0003271i,0.0010455+0.00043692i,0.0011402-6.7835e-05i,0.00090647-0.00026077i,0.00094526+6.5924e-06i,0.0011944+0.00041539i,0.0015012+0.00075999i,0.0011223+0.00066411i,0.00046855+0.00092829i,0.00037784+0.00083741i,-0.00011303+0.00013456i,-0.00016536-0.00029358i,0.00035853+0.00010907i,0.0003604+0.00083259i
-0.00033142-0.00076669i,3.4652e-05+0.0010101i,0.00052565+0.0020644i,0.00085749+0.0020041i,0.0010958+0.0018514i,0.0011271+0.00032158i,0.0013154-0.00015104i,0.00090433-0.00028172i,8.8297e-05-0.00061878i,-0.00021409+8.4841e-05i,-0.00013496+0.00037091i,0.00014901+5.1926e-05i,0.0006674-0.00012552i,0.001211-0.00054274i,0.0013681-0.0011071i,0.00083835-0.00056773i,0.00055104-0.00032038i,0.00057244-0.00042183i,-0.00027236-0.00085899i,-0.00039962-0.00051375i,2.8994e-05+0.00069441i,0.00032608+0.00054679i,0.00062703+2.4283e-05i
0.0013998+0.0023862i,0.00081368+0.0045329i,0.0012437+0.0051748i,0.0022249+0.0022842i,0.0015596-0.00083144i,0.00030772-0.0021341i,0.00023825-0.0016023i,0.00024654-0.00052593i,-0.00016097-0.00014411i,-0.00051927-0.00077812i,-0.00033846-0.0008074i,0.0003756-0.00069887i,0.00028503-0.00069879i,-0.00032732+0.00035093i,-0.00026749+0.00086928i,-0.00026109+0.00048715i,-0.00072571-0.00022538i,-0.00066374-0.00089795i,-0.00072955-0.00068526i,-0.0011278-0.0006679i,-0.0012149-0.000598i,-0.00065799-0.00064148i,0.00012599-0.0010326i
0.0024166+0.00101i,0.0021345+0.0021175i,-8.4668e-05+0.00352i,-0.0012725+0.003202i,-0.00092693+0.0015003i,-0.00055252-0.00036166i,0.00033932-0.0017121i,0.001039-0.00083053i,0.00046477-0.00021698i,0.00092923+0.00012006i,0.0013201+0.00026932i,0.00085446-0.00031847i,0.00066017-0.00010472i,0.00091707+0.00057545i,0.00094709+0.00082528i,0.00078451+0.0009499i,0.00094993+0.0013199i,0.00076316+0.00063689i,2.6238e-05+0.00024593i,-0.00019212+0.0010377i,-0.00045079+0.0013629i,-0.00083743+0.00014692i,-0.00011704-0.0010805i
0.0028379+0.0014973i,0.001643+0.0024835i,0.0013259+0.0025794i,0.00069904+0.001404i,0.00053124+0.00026317i,0.00076905-0.00066842i,0.00084967-0.0019006i,0.00084345-0.0020146i,0.0010975-0.00096226i,0.0006637-0.00051334i,-0.00011659-0.00067062i,-0.0010213-0.00089207i,-0.0016318-0.0010915i,-0.00092006-0.00061568i,-0.0002263-0.00085083i,0.00019407-0.00074053i,0.00057332-6.8759e-05i,0.00043451+0.00025007i,-0.00015839+0.00058319i,-0.00049105+0.00049597i,-0.00066046+0.00012431i,0.00040336-0.00046086i,0.00090726-0.00096222i
0.0021712-0.00019411i,0.0011925+0.00024343i,-0.0006866+0.00049557i,-0.00093437+0.00045422i,-0.001273-0.00027734i,-0.0013182-0.00077647i,-9.8754e-07-0.00060321i,0.0010518-0.00031228i,0.0006845-0.00048524i,-2.9856e-05-0.0005199i,-0.00021275+0.00041318i,-0.0011533+0.00074841i,-0.0010783+0.00066661i,-0.00056189+0.0011292i,-0.00065731+0.00044728i,-0.00032148-0.00077889i,0.00036904-0.0011858i,9.2854e-05-0.00082022i,-0.00073357-0.00061463i,-0.00017343-4.8803e-05i,0.00054193+0.0010902i,0.00013845+0.0007545i,-0.00024451-0.00035905i
0.0038118+0.0011512i,0.0037756+0.0026259i,0.0021487+0.003828i,0.0011493+0.0025641i,0.0010373+0.00070913i,0.00072016-0.0013038i,0.0011003-0.0023146i,0.00089549-0.0018765i,0.00077291-0.0016634i,0.00070321-0.0014818i,-2.3939e-05-0.00060541i,0.00027686+0.00046962i,0.0011447+0.0011057i,0.00048112+0.0010684i,3.1543e-05+0.000519i,0.00038219+0.0010676i,-0.00025268+0.0020395i,-0.00052124+0.00098611i,0.0001386-0.00029431i,-0.00062066+6.6955e-05i,-0.0010508+0.00055775i,-0.00056583+9.43e-06i,-0.00018059-0.00050399i
0.00061313+0.0023519i,2.6628e-05+0.0036296i,-0.0014615+0.0041066i,-0.00078309+0.0032788i,0.00069743+0.0017532i,0.0010358-0.00011583i,0.00042003-0.0012643i,0.00018934-0.0018819i,0.00031272-0.0013928i,0.00073823-0.0003474i,0.0013525+6.3344e-05i,0.0019649-0.00017656i,0.0019232-0.00062808i,0.001667-0.00076611i,0.0017812-0.00030311i,0.001414+0.00029618i,0.0015475+0.00068656i,0.0014782+0.00096652i,0.0010798+0.00025082i,0.0010888+0.00017559i,8.84e-05+0.00036076i,6.1515e-05-0.00032872i,0.00080807-7.1658e-05i
0.0018502+0.0025484i,0.000843+0.0022656i,0.00015526+0.0019001i,0.00041431+0.0011666i,0.0008481+0.00018859i,0.00084838-0.00012659i,0.00060733-0.00039904i,-0.00015162-0.0011828i,-0.0012253-0.0015101i,-0.0012131-0.0017312i,-0.00054017-0.0013913i,-0.00095203-0.0012978i,-0.0012067-0.0012758i,-0.0012406-0.0010213i,-0.0013575-0.0014232i,-0.0007971-0.0015016i,0.00020169-0.00081417i,0.00094279-0.00041751i,0.00068144-7.9667e-05i,3.0118e-05+0.00042438i,-0.00033801+0.0006025i,-8.9087e-05+1.0838e-05i,0.00032513-0.00067346i
0.0013729+0.0027459i,0.0018122+0.003219i,0.0011299+0.0032894i,0.00086493+0.002453i,0.0013071-0.00017601i,0.0011802-0.0012965i,5.0411e-05-0.0013834i,0.00017652-0.0011793i,0.000973-0.00015738i,0.00049737-1.5202e-05i,0.00016779-0.0011307i,-0.0002747-0.0010597i,-0.00078277+0.00059715i,-0.0013049+0.0011522i,-0.0013805+0.001065i,-0.0002713+0.001301i,0.00063257+0.00088175i,0.00010172+0.00024087i,-0.00087759+0.00028991i,-0.0010167+0.00034621i,-4.5747e-05+0.00051009i,0.00045008+0.00091214i,0.00021118+0.00023301i
-0.00013989+0.0025647i,-1.9086e-05+0.0036081i,-0.00012179+0.0047831i,0.00044748+0.0043604i,0.0013+0.0012743i,0.0013727-0.001673i,0.0011327-0.0019088i,0.00064043-0.0013661i,-0.0001815-0.0016558i,-0.0005847-0.0012094i,0.00018967-0.00026821i,0.00042159-1.2016e-05i,0.00028233+0.00052219i,0.00071826+0.00099561i,0.00081098+0.001339i,0.0011091+0.0016597i,0.00081638+0.0012089i,0.0012398+0.001548i,0.0015891+0.0017675i,0.00085391+0.0011606i,0.00014896+0.00070472i,-1.4138e-05+0.0010451i,-0.00020788+0.0012526i
0.0035841+0.00031412i,0.0015683+0.0016538i,0.00013108+0.001193i,-0.00093469-0.00014224i,-0.0011129-0.00086607i,-0.00067455-0.0013404i,-0.00038072-0.00073672i,0.00034941-0.00079386i,0.00077949-0.0013405i,-3.0283e-05-0.0010248i,-0.00025026-0.0011594i,-0.00021698-0.0013084i,-0.00019281-0.00049577i,-0.00010687+0.00038715i,-0.00011383+0.00062769i,4.7318e-05-4.4172e-05i,8.5146e-05-0.0009074i,1.6911e-05-0.00035226i,0.00021378-9.0565e-05i,0.00012259-0.00020873i,-0.00038661-0.00014229i,0.00021868-2.7704e-05i,0.00091463+0.00044577i
0.0026256+0.0036029i,0.0013716+0.0050037i,0.00016702+0.002899i,-0.00045695+0.00046378i,-1.4719e-05-0.00084406i,0.00079821-0.0016701i,0.00026685-0.0016721i,-0.00029979-0.001109i,5.9604e-05-0.00012618i,8.2397e-05-0.0010008i,-0.000212-0.0023404i,-0.00037552-0.0016522i,-0.0006724-0.00077111i,-0.00065739-0.0010274i,-0.00044381-0.0009273i,1.2215e-05-0.00020411i,0.00042944+0.00063435i,3.8447e-05-0.00032139i,-0.00054288-0.0009239i,-0.00051919-0.00014217i,-4.9697e-05-0.00049194i,0.00027774-0.00046293i,-2.2928e-05-0.00016844i
-0.00050034+0.0021665i,0.0010296+0.0045283i,0.0005874+0.0057966i,0.00017144+0.0050311i,0.00016701+0.0029419i,0.0012541+0.00051382i,0.0018883-0.00019936i,0.001568+0.00010799i,0.0010202+9.7721e-05i,7.9861e-05+0.00032626i,0.00043077-0.00012723i,0.00066574+0.00031421i,-3.9771e-06+0.0013483i,-4.2146e-05+0.0012263i,0.0007888+0.00074964i,0.00079507+0.00071161i,0.0006812+0.00033137i,0.00098692+0.00038664i,0.00039236+0.00018362i,-0.00047718-0.0002645i,-0.00039362-0.00060227i,0.00013875-0.00025024i,0.0005955+0.00027937i
-0.0016195+0.00022786i,-0.0030623+0.0026034i,-0.0040235+0.0040352i,-0.0020696+0.0033895i,0.0003535+0.0015311i,0.00089791-0.00064087i,0.0016363-0.0011881i,0.0019106-0.0012371i,0.0011634-0.0015681i,0.00078221-0.00072659i,0.001642+0.00031276i,0.0016727+0.00036541i,0.00091082+5.8896e-05i,0.0012707-0.00013229i,0.0021596-0.00029503i,0.0014417-0.00024482i,0.00035132+7.564e-05i,0.00023776-6.2112e-05i,0.00032451-0.00030682i,-0.00022088-0.00047581i,-8.3447e-05-0.00079865i,-9.1158e-05-0.00044252i,-0.00056471+0.00013601i
0.00012119-0.001098i,-0.00076938+0.0012041i,-0.0011988+0.0020743i,-0.0010513+0.0011316i,-0.00050097-0.0001346i,0.00045099-0.00092037i,0.00062624-0.00080084i,8.3025e-05-0.00074001i,-0.00068301-0.0014142i,-0.00079132-0.0019323i,-0.00085109-0.001354i,-0.00046618-0.00047583i,0.00037575+7.9138e-05i,0.00093581-0.00041132i,0.00087479-0.0014735i,2.407e-06-0.0018434i,6.4752e-05-0.00052945i,0.00041947+0.00016948i,0.00027158-0.00034352i,0.00015216-0.00087618i,0.00032353-0.00081886i,0.00030596-7.8251e-05i,0.00054004+0.00048092i
0.0017563+0.00011656i,0.0011293+0.0020755i,-8.4461e-05+0.0031971i,-0.00071517+0.0017569i,-0.00041777-0.00033692i,-4.0772e-05-0.0014968i,0.00020976-0.0012955i,0.00051708-7.8423e-05i,0.00074266+0.00069611i,0.0012178+0.00049576i,0.0016255+0.00039282i,0.0013161+0.00061773i,0.00062192+0.00079677i,-0.00044427+0.00087914i,-0.0011998+0.00057514i,-0.0010377+0.00064414i,-0.00030028+0.00027824i,-0.00028754-0.00020722i,-0.00032582+3.8115e-05i,-0.00013566+0.00073296i,-0.00055185+0.00052123i,-0.00073208-0.00013821i,-0.00017765-0.0005101i
0.0023006+0.0017761i,0.001832+0.0023086i,0.0013755+0.0033342i,0.0015213+0.0021472i,0.0024707-0.00017866i,0.0023313-0.0016177i,0.0016606-0.0017922i,0.001801-0.0012016i,0.002503-0.00078063i,0.0027283-0.00049792i,0.0021696-0.00014526i,0.0013133-2.7613e-05i,0.0010329+0.0002857i,0.0011367+0.00094i,0.00085708+0.0013783i,0.0010802+0.0014652i,0.0010979+0.00081254i,0.00077063-0.00037878i,0.00052862-0.0010475i,0.0007777-0.00066861i,0.00083735+0.00027686i,0.00052101+0.00092304i,0.00099717+0.0012485i
0.0012052+0.0023576i,-0.00023935+0.0035865i,-0.00134+0.0037992i,-0.0012568+0.0021444i,-0.00099508+0.00011903i,-0.00025459-0.0010098i,0.00079902-0.0013367i,0.00048904-0.0013984i,-0.00064705-0.0016056i,-0.00028338-0.0017869i,0.00058291-0.0010594i,0.00031638-0.00037859i,-0.00037566-0.00024824i,-0.00041523-0.00068444i,-0.00042033-0.0011599i,-0.00030444-0.00076282i,0.00043612-0.00014061i,0.00058616-0.00046255i,0.00058856-0.00075068i,0.00051973-0.00060747i,-0.00017948-0.00043597i,-0.00050051+0.00014477i,0.00016454+0.00043621i
0.00048767+0.0021796i,-0.00050412+0.003308i,-0.0014422+0.0038542i,-0.00081917+0.0028444i,0.00064952+0.0014753i,0.0010476-1.2545e-05i,0.0004057-0.00075292i,-0.00046596-0.00033665i,-0.0011987+0.00032293i,-0.0013007+0.00041686i,-0.0012587-0.00017837i,-0.00091082+0.00017708i,-0.00034407+0.00034767i,-0.00027669+0.00023065i,-0.0013437-0.00056688i,-0.0011571-0.00061739i,0.00038676-5.4311e-05i,0.00073429-0.00011552i,0.00039665+0.00045008i,0.00018336+0.0013659i,0.00040161+0.00094098i,0.00074961+0.00017726i,0.0010907+0.00024394i
0.0031381+0.0018505i,0.0031524+0.0020576i,0.0026753+0.002212i,0.0022643+0.0013994i,0.0017836-0.00030064i,0.00062021-0.0013482i,0.0011791-0.0010867i,0.0022719-0.00078574i,0.0021378-0.0001979i,0.0016368+0.0011899i,0.00086209+0.0012516i,-3.1883e-05+0.00026483i,-0.00087881+0.00029594i,-0.0014099+0.0009034i,-0.0012184+0.0021579i,-0.0011433+0.0021517i,-9.7942e-05+0.0004247i,0.00068505-0.0002008i,0.00019076+0.00046751i,-9.1081e-05+0.00076259i,-0.00023705+0.00012014i,0.00018674+0.0006751i,0.00055105+0.0010471i
0.0014183+0.0016175i,0.0013915+0.0043516i,0.00054855+0.0043658i,-0.00021799+0.0024295i,1.3681e-07+0.00020849i,0.00099243-0.0014969i,0.0016862-0.0019625i,0.0015211-0.0019243i,0.0020401-0.0019347i,0.0025691-0.0015135i,0.0017402-0.0011035i,0.00093277-0.00015923i,0.00036164+0.0011971i,0.00031935+0.0013173i,0.00045111+0.00063207i,0.00020354+0.00038765i,0.00030503+0.00036978i,0.00010663-0.00023579i,-0.00016114-0.00022032i,-8.5244e-06-0.00027115i,0.0001669-0.0004378i,0.00054716+0.00020388i,0.000454+0.0011333i
0.00056149+0.0019759i,-0.0014158+0.0039128i,-0.0028909+0.0044081i,-0.0015949+0.003364i,0.00062233+0.0015971i,0.0012788+6.2639e-05i,0.00075848-0.0012456i,-0.00032608-0.0019243i,-0.0012819-0.0022794i,-0.0013447-0.001222i,-0.00055492-2.2602e-05i,-0.00024813+6.3304e-05i,-0.0007991-0.00012957i,-0.00087719-1.5032e-05i,-0.00096351-0.00032703i,-0.00099434-0.00037403i,-0.00048893-0.0003039i,0.00062832-0.00039059i,0.00094163-0.00025635i,0.00015465-0.00071895i,-0.0010025-0.001049i,-0.0012088-0.0006702i,-0.00017784-0.00020088i
0.0014604+0.0017392i,0.00043739+0.0037196i,0.00027815+0.0030865i,0.0012733+0.0010409i,0.0022257-0.00053946i,0.0019521-0.0016043i,0.00098039-0.0012618i,-2.0377e-05-2.9142e-05i,-0.00068298+0.00095519i,-0.00019761+0.00081966i,-0.00089854+0.00059279i,-0.0017481+0.00066069i,-0.0004824+0.00067943i,7.7433e-05+0.00021976i,-0.001121+0.00066072i,-0.0012296+0.00087672i,-5.6939e-05+0.00019906i,0.00055201-0.00046134i,0.00044439-0.00070117i,-0.00022633-0.00054651i,-0.00018065-0.00020427i,0.00030661-0.00019014i,0.00067327-0.00047415i
