-0.001672+0.00022706i,-0.0029634-0.00084264i,-0.00412-0.0013657i,-0.0025098-0.0011103i,-0.00085897-0.00020914i,-0.00016758+0.0008238i,0.00030667+0.0014362i,0.0007348+0.001569i,0.00088266+0.00046287i,0.0011506-0.00040799i,0.000888-0.0007873i,-0.00048105-0.00099393i,-0.0011176-0.00054922i,-0.0011159+0.00038725i,-0.0010901+0.00023947i,-0.00068284+0.0001832i,-0.00042847+0.00033277i,-8.8494e-05+0.00034035i,-3.468e-05+5.0397e-05i,-0.00082283-0.00080157i,-0.00015043-0.0013336i,0.000963-0.0011199i,0.00024447-0.0002339i
-0.0028282+0.00043304i,-0.0013627+0.00040833i,-0.0014154+0.00068605i,-0.0010562+0.00014082i,-0.00044687+9.0172e-05i,7.5692e-05-0.00034851i,0.00033979-4.3662e-05i,-0.0004413+0.00032955i,-0.00075068+0.0010786i,0.00027453+0.0014718i,0.00057279+0.00089133i,4.1441e-05-0.00013944i,6.9341e-05-1.0682e-05i,-0.00029071+0.00028667i,-0.00093127-0.00092103i,-0.0017479-0.0013838i,-0.0020554-0.00028175i,-0.0013447+9.7848e-05i,-0.0001051-0.00020605i,0.00038401+0.00058819i,-5.485e-06+0.0014231i,-0.00052584+0.0013669i,-0.00064044+0.00047478i
0.00012686-0.0020315i,0.00070231-0.0022732i,-1.0586e-05-0.0023157i,5.9401e-05-0.0011138i,8.3545e-05-0.00014033i,-0.00025236-0.00041047i,-0.00014766-0.00084893i,-0.00053411-0.00040497i,-0.0004023+0.00032013i,-0.00037068+0.00019977i,-0.00043383-0.00019066i,0.000645-7.0973e-05i,0.00078245+8.2701e-05i,-7.1651e-05+4.6792e-05i,-0.00017531-0.00018786i,0.0001684-0.00096232i,6.9041e-05-0.0018079i,-0.00038692-0.001218i,-0.00038273-0.00014974i,0.00025322+6.8857e-05i,0.00098732+0.00027688i,0.00071084+0.00046197i,0.00052433+0.00036578i
-0.00055189-0.0022221i,-0.00069256-0.0017028i,-0.0023553-0.0013705i,-0.0027955+0.00025914i,-0.0020586+0.0013226i,-0.00099922+0.0015733i,-0.0002048+0.00093699i,-5.7502e-05+0.00025442i,-9.8591e-06+0.00069933i,0.0002971+0.00042188i,0.00031416-0.00032665i,0.00060455-0.00026476i,0.00084514-0.00010139i,0.0001567-0.00034148i,-0.00079142-0.00039253i,-0.00069867-7.2874e-05i,-0.00051405-0.00023184i,-0.00078975-0.00011293i,-0.00051403+0.0010553i,0.00046057+0.001121i,0.00090589+0.00045901i,0.00036581+0.00079025i,-0.00054038+0.00054463i
0.00098117+0.001442i,0.0015426+0.0012727i,0.0018884-0.00034667i,0.0017015-0.0012942i,8.1313e-05-0.00079103i,-0.00016255-0.00073451i,0.0011007-0.0010699i,0.0010257-0.00051038i,0.00020745+0.00065321i,0.00021326+0.00066494i,8.0369e-05-0.00020904i,-0.0002893-0.00051193i,-0.0010102-0.00031102i,-0.001243-0.00055429i,-0.00050023-0.0013048i,-9.5452e-05-0.001472i,-0.00012966-0.0004858i,-0.00038633-1.702e-05i,-0.00016059+0.00038723i,-0.00031164+0.0001058i,-0.00045469-0.00052073i,-0.00057366-0.0007985i,-0.00085372-0.0011975i
0.0001963-0.00058202i,-0.0011062-0.00011431i,-0.0025614-0.00025633i,-0.0019931-0.00039327i,-0.00040344-7.1094e-06i,0.00091369+0.0011324i,0.0011242+0.0013873i,0.0013061+0.00065805i,0.0012818-0.00023959i,0.0003378+0.00020422i,-0.00027977+0.00059192i,-0.00051015+0.00022358i,-0.00016192-0.00046119i,0.00081696-0.00025202i,0.0006329+0.00035644i,-0.0003729-1.651e-05i,-0.00039577+3.7328e-05i,-6.5617e-05-0.00018394i,0.00028824+7.8646e-05i,0.00055622+0.0015881i,0.00065257+0.0011236i,0.00054896-7.4844e-05i,0.00018804-7.8532e-05i
-0.0010371+0.00043358i,-0.0011672+0.00083763i,0.0011557+0.00065764i,0.0015081+0.00024713i,0.00091618-0.00084348i,0.0017114-0.0010862i,0.0021707-4.687e-05i,0.0021402+0.001005i,0.0020421+0.001194i,0.0017163-0.00013967i,0.00088657-0.00055178i,-1.7142e-05-4.0995e-05i,-0.00046497+0.00052839i,-0.0011189+0.00041297i,-0.0015694+9.3209e-06i,-0.0014655+0.0001694i,-0.00087951-3.8809e-05i,0.00035321+3.9909e-05i,0.00039865+0.00093117i,-0.00021845+0.00079688i,0.00052914+0.00063243i,0.00049974+0.00025828i,-0.00038106-0.00014536i
-0.0013769-0.0012416i,0.00061653-0.00065567i,0.00077349+0.00019945i,0.00013557+0.00055189i,0.00058641+0.00089451i,0.0011892+0.0014781i,0.00060089+0.00095223i,0.00033009+0.00025264i,0.00056253-0.00013303i,-0.0001695-0.00031736i,-0.00042795-0.00075986i,-0.00045609-0.00082452i,-0.00074671-0.00031719i,-0.00015739-0.00087982i,-3.8728e-05-0.0011959i,-0.00044446-0.0005285i,-0.00039764-0.00025361i,-0.00036796-0.00070811i,-0.00044744-0.00066669i,-0.00067033+0.0001311i,-0.00030868+5.6726e-05i,0.00027344+0.00053691i,-0.00018295+0.00098582i
0.00071782+0.00018758i,0.00085734+0.00014022i,0.001537+0.00043142i,0.00079833+0.00018744i,0.00037623-0.00072028i,-0.00064815+0.00030691i,-0.00063226+0.00067124i,0.0006069-0.00072618i,0.00098232-0.0012152i,0.00034162-0.00021313i,-0.00030355-0.00018542i,-0.00078258-0.0011517i,-0.00077691-0.0012857i,-0.00074521-0.00056593i,-0.00056868-0.00062407i,-0.00020333-0.0010196i,0.00016338-0.00054994i,6.0438e-05+0.00022392i,2.4843e-05+0.00095751i,0.00021321+0.0011171i,0.00030111+0.00044146i,0.00028391+0.00012471i,-2.2677e-06+9.4676e-05i
-0.0004958+0.002969i,-0.00027654+0.0036389i,0.0013775+0.0035313i,0.0024502+0.001778i,0.0024367-0.00029682i,0.0018703-0.0011601i,0.0011342-0.00088214i,0.00064112+7.7352e-05i,0.00023723+0.0010093i,0.00060177+0.00014454i,0.00031455-0.0013098i,-0.00044776-0.0019625i,-0.00086947-0.0011346i,-0.00091417-6.5869e-05i,-0.0008489+0.00079882i,-0.00093175+0.0010292i,-0.00090898+5.2962e-05i,-0.00018511-0.00063324i,0.0006821-5.9542e-05i,0.00089566+6.5024e-05i,0.00041659-0.00017605i,0.00037121-0.0004324i,0.0009931+5.1935e-05i
-0.001638-0.00030637i,-0.0010188-0.0014411i,-0.00087458-0.0009392i,-8.2063e-05+0.00035377i,-3.2991e-05+0.00058537i,0.00060004+0.00056348i,0.0010935+0.00025672i,0.00063653-9.216e-06i,0.00032937+0.00057117i,0.00035128+0.0012504i,0.00017538+0.00069588i,0.00013006+0.00019362i,0.00057013-3.7363e-06i,0.00045759-0.00012451i,-0.00040175+0.00023377i,-0.00064729-0.00023342i,-0.00014609-0.0010573i,-5.8168e-05-0.00027491i,0.00014761+0.0007669i,0.00028627+0.001005i,0.00014815+0.00053985i,0.00073881-9.7476e-05i,0.0011051-0.0004126i
0.0012769-2.4181e-05i,0.0013728-0.00028054i,0.0013911-0.0012802i,7.5571e-05-0.0021643i,3.028e-05-0.0018139i,0.0005392-0.00091814i,0.0003113+2.3852e-05i,0.00045332+4.1777e-05i,0.00050264-0.00032857i,0.00035463-0.00023295i,0.00013798-0.00028186i,8.4358e-05-0.00013479i,0.00035414+0.00088099i,0.00030982+0.0014543i,-7.3553e-05+0.00097415i,-0.0004254+0.00070239i,-0.0012445+0.00060086i,-0.0017061-0.00030907i,-0.0010407-0.00075042i,-0.00059354-0.00015967i,-0.00041943-0.00032631i,-0.00015699-0.00044596i,0.00012925+0.00023163i
-0.0002735-0.0014649i,0.0003371-0.00093133i,0.00073997-0.00026883i,0.0010487-0.00049211i,0.00029551-0.00057089i,-0.00054092+0.0004976i,-0.00060382+0.00065064i,-0.0004301+0.00031533i,0.00015692+0.00062934i,-3.1961e-05+0.00052756i,-0.00077701-0.00021478i,-0.00039238-0.00086512i,-7.3508e-05-0.0011905i,-0.00021008-0.0010129i,-0.00059133-0.0012459i,-0.0005637-0.0012383i,-0.00044212-4.0343e-06i,0.00018468+0.00032008i,0.0011808-0.00012591i,0.0011158-0.00026711i,0.00020213+0.00023996i,-5.6598e-05+0.0010138i,-0.00024071+0.0008062i
0.00038303-0.0011288i,-0.00040781-0.0020922i,-0.00066577-0.00106i,-0.0010041-3.4197e-05i,-0.00081682-0.00021784i,0.00014787-0.00016347i,0.00099212-0.00061272i,0.0013194-0.00055779i,0.0005653-6.9079e-05i,-0.00050539-0.00037157i,-0.0012059-0.00068049i,-0.00062754+0.00015485i,0.00062915+0.00059113i,0.00035543+0.00010683i,-0.00054193-0.0003089i,-0.00051134-8.2354e-05i,3.1515e-05-0.00049849i,-0.00018914-0.00049224i,-0.00091687+0.00043836i,-0.00053189+0.0007987i,0.00032293+0.00065572i,0.00059737+0.00083207i,9.2119e-05+0.0013002i
0.0011649+0.0011124i,0.00080036+0.0017839i,0.0010919+0.00088882i,0.00061849-0.00087742i,-0.00069561-0.0016627i,-0.001012-0.001329i,-0.00028708-0.00027392i,0.00043068+0.00099003i,0.00088584+0.0013377i,0.00063808+0.00057488i,-0.00046199+0.0001463i,-0.0011487+0.00028277i,-0.0011214+0.00068807i,-0.00079358+0.00045984i,-0.00074227-0.00058429i,-0.0010393-0.00062715i,-0.0010069-0.00016316i,-0.00044863-0.00035772i,-0.00039566+0.00015913i,-0.00020881+0.00027695i,0.00021946-0.00019761i,0.00021329-0.00011454i,-0.00042126+0.00013121i
0.00022393-0.0017598i,-0.0012776-0.0019172i,-0.0017198-0.001491i,-0.00087838-0.0005294i,-0.00089809-0.00027042i,-0.0010405-0.00056298i,-0.00039345-0.0004465i,0.00019862+0.00055059i,-0.00010137+0.00096889i,0.00011929+0.00018118i,0.00074373+0.00041734i,0.0005174+0.00047236i,-0.0003413-0.00077401i,0.00026583-0.001304i,0.00019988-0.00097469i,-0.00047841-0.00099828i,-0.00013627-0.00075173i,0.00027007+7.6287e-05i,0.00025655+0.00071908i,0.00011237+0.0008844i,-6.9382e-05+0.00019972i,0.00017291-0.00012766i,0.0011498-0.00028755i
0.0003008+0.00054954i,0.0012785+0.00035384i,0.0017354+0.00024769i,0.0014526+0.00042533i,0.00093256+0.00014887i,0.00077882-7.4715e-05i,0.00032327-3.9482e-06i,0.00050038+0.00013932i,0.00066671+8.9473e-05i,0.0003049+7.9947e-06i,-0.00015572-0.0005213i,-0.00031844-0.00068505i,-0.00072357+0.00037285i,-0.0012339+0.00033639i,-0.00091162-0.00070921i,-0.00042378-0.00079069i,-0.0003887-0.00038904i,-0.00010155-0.00081005i,-0.00012408-0.00067029i,-1.905e-05+0.00037748i,7.2154e-05+0.00095433i,6.3286e-05+0.00089822i,0.00021314+0.00098812i
-0.0022809+0.0030607i,-0.0017407+0.0030242i,-0.0013406+0.002947i,0.00029394+0.002209i,0.0025569+0.0012968i,0.0024056-8.9574e-05i,0.00086774-0.00071673i,0.00084206-0.00013885i,-0.00018402+0.00030697i,-0.00085864+0.00051431i,-0.00049868-0.00072601i,-0.00034895-0.0018666i,-0.00067817-0.00085779i,-0.0014827-0.00032698i,-0.0011778-0.00059262i,-0.00040045-0.00030594i,-0.00030262-0.00019673i,-9.0015e-05-5.0601e-05i,-0.00017319+0.00059288i,-0.00036259+0.00053787i,3.866e-05+0.00016951i,0.00057799-6.4322e-06i,0.0004639-9.2196e-06i
-0.0011008+0.0001206i,-0.0015483-0.00016819i,-5.3358e-05-0.00091257i,0.00038882-0.0012684i,0.00064798-0.00080202i,0.0011727+0.00053616i,0.00094386+0.0010749i,0.00087871+0.00093401i,0.0011591+0.00082452i,0.00081439+0.00026436i,0.00086894-0.00036626i,0.00011879-0.00037022i,-0.00023932-0.00013353i,-0.00016142-0.00061378i,-0.00050907-0.00079566i,-0.00060886-1.249e-05i,-0.00079266+0.00023421i,-0.00099401+0.00050732i,-0.0010677+0.0010736i,-0.0010912+0.00079003i,-0.00020702+0.00027905i,0.00085809-1.2731e-05i,0.00046721-0.00014538i
-0.00032161+0.0008514i,0.00055314+0.00099487i,0.00060966+0.0013531i,0.0013168+0.00031162i,0.0015527+0.00033613i,0.0011308+0.0010546i,0.00050025+0.00093755i,-0.00041112-0.00023114i,-0.00053145-0.00049571i,-0.00016916-3.2354e-05i,0.00053728+0.00016521i,-0.00051341-0.00061394i,-0.0010132-0.00095695i,-0.0010895-0.00025152i,-0.0012134+0.00033857i,-0.00085787+0.00055625i,-0.001039+0.00043299i,-0.00093998+0.00037056i,-0.00053884+0.00055583i,-0.00043997+0.00053531i,-0.00015328-0.00029241i,0.00049237-0.0007023i,0.00018309-0.00017142i
-0.0012161-0.00076636i,-0.00012912-0.00077483i,-8.5327e-05-0.00071592i,-6.4963e-05-0.0001436i,-0.00019409-0.00026789i,-0.0002547-0.00032593i,0.00038658+0.00012947i,0.00070536+6.8899e-05i,0.0012477-0.0005202i,0.0013828-0.00027756i,0.00038895+0.00093811i,0.00027065+0.00093499i,0.0010412-0.00022491i,0.0013131+3.6613e-05i,0.0013448+0.00052251i,0.0008211+0.00048851i,-0.00079467+0.00036034i,-0.0014671-7.9791e-05i,-0.00052221-0.00053752i,3.3502e-06-0.00045352i,0.00016425-0.00030418i,0.0011426-0.00062417i,0.0011735+6.363e-05i
0.0013665+0.00091299i,0.0013358-0.00036575i,0.0016194-0.00054992i,0.00068323-0.00072793i,-1.1281e-06-0.001365i,-0.00035478-0.00079267i,-0.00057144-0.00032184i,-0.00024021+0.00036935i,0.00029056+0.0013356i,-6.118e-05+0.00090805i,-0.0004565+5.5961e-05i,-0.00030246+0.00022052i,-0.00050621+0.00037407i,-0.00054898+6.2989e-05i,-0.00038423-0.00036177i,-0.00068361-0.00074773i,-0.00090738-0.00067611i,-0.00083444-8.2428e-05i,-0.0001228-6.5624e-05i,-1.8178e-05-0.00041905i,-0.00035544-0.0002543i,0.00041691-0.00048528i,0.0008851-0.00089184i
-4.6215e-05-0.0027999i,0.00037287-0.0026243i,-0.00042248-0.0029159i,-0.00087274-0.0017601i,-0.0010148-0.00054582i,-0.0010227-0.00065188i,-0.00047568-0.00024547i,0.00010009+7.3964e-05i,0.00038616-9.0873e-05i,0.00060233+0.0003154i,0.00038598+0.00033171i,-0.00019194-0.00029672i,3.5994e-05-0.00097754i,0.00059871-0.00095133i,0.00068951-0.00012978i,0.00047223-0.00024602i,-0.00049841-0.00086179i,-0.0011059-0.00048001i,-0.0014263+0.00012607i,-0.0012016-2.1512e-06i,-0.00092543-0.00030589i,-0.00082552-0.00054854i,-0.00022772-0.00047962i
-0.00099656+0.00032307i,-0.00086249+0.00092765i,1.7168e-05+0.0004878i,0.00049099+0.00058449i,0.00050893+0.0009624i,0.00020195+0.00029315i,-0.00040472+5.5059e-05i,-0.00038983+5.3499e-05i,-1.9683e-06+0.0010328i,-0.00026471+0.0014558i,-0.00049153+1.6186e-05i,-0.0012093-0.00034944i,-0.0014069-0.00021719i,-0.0005157-0.00051509i,-0.00019345-0.00037146i,-0.00023085-0.00066497i,-0.00024705-0.0013308i,-0.00047792-0.0016003i,-0.00049534-0.0011091i,-0.00053593+0.00038994i,-0.00051501+0.001063i,5.3466e-05+0.00036564i,0.00055391+0.00013178i
-0.001572-0.0016636i,-0.0013542-0.0012341i,-0.0024716-0.00083067i,-0.002476-0.00042904i,-0.00093827+0.00035998i,0.00041644+0.00045099i,0.0011034-3.0935e-05i,0.00082292+8.6647e-05i,0.00070288-0.00010033i,0.00022512+0.00036455i,-0.00040885+0.00026415i,-0.00019174-0.00066016i,-2.0921e-05-0.00085578i,0.0004013-0.0015264i,0.00040174-0.0019297i,-1.146e-06-0.0017044i,-0.0003573-0.0014139i,-0.00094567-0.00063239i,-0.00068216+0.00010352i,0.00038353+0.00051079i,0.00045842-0.00014999i,-0.00010633-0.00049292i,-0.00041304+0.00010955i
0.0023113-0.0016555i,0.0023461-0.0024384i,0.0017168-0.0031569i,0.00036676-0.0032609i,-2.7112e-05-0.0026475i,0.00011625-0.00090988i,0.00042731-0.00041423i,0.00096336-0.00043253i,0.00060266+0.00022499i,2.7832e-05+0.00035485i,-0.00055809+6.1181e-05i,-0.00077615-0.00035902i,5.9015e-06-0.00031284i,0.00084076+0.00042511i,0.00045659+6.9717e-06i,-4.2552e-05-0.00085572i,0.00014528-8.6463e-05i,0.00048074+0.00062302i,0.00099924+0.00056739i,0.00071349+0.00050283i,0.00066825+0.00041009i,0.001315+0.00038651i,0.0013563+0.00062941i
-0.00067081-0.00060139i,-3.2547e-05-0.00051168i,-0.0006614-5.4641e-06i,-0.000538-0.0001169i,0.00070721-0.0004738i,0.00080747-0.00027526i,0.00077192+0.00044027i,0.001058+0.0013222i,0.00093211+0.00038633i,0.00050682-0.0010323i,0.00019288-0.0010197i,-0.00027165-0.00016505i,-0.00026548-8.3574e-05i,-0.00052735-0.00051801i,-0.00090963-0.00017682i,-0.00010324-0.00040865i,0.0003615-0.001139i,-0.00042729-0.0020809i,-0.00038771-0.0015404i,0.0001967-2.2191e-05i,0.00074635+0.00046734i,0.00075087+0.00046862i,0.00019523+0.00029891i
-0.0011455-0.0017679i,-0.00092611-0.0025985i,-0.0015219-0.0020497i,-0.0022444-0.0012422i,-0.0018612-0.00019539i,-0.00073066+0.00058793i,0.00073655+0.00047445i,0.0011926+0.00054309i,0.0004512+0.00051365i,-0.0001819+0.00038233i,5.9403e-06+0.00029305i,-0.00014666-0.00012725i,-0.00011301-0.00031787i,-0.00020041+0.00027937i,-2.0228e-05-0.0001631i,-4.4249e-05-0.00039828i,-0.0006393-0.00016263i,-0.00070601-0.00094562i,-3.6275e-05-0.0010021i,3.7407e-05-4.3699e-05i,0.0002224+0.00075732i,-5.1944e-06+0.0012438i,-0.00055085+0.0011879i
0.0010406-0.00098163i,0.0013307-0.00039086i,0.0017543-0.0015055i,0.00054232-0.0015604i,0.00015545-0.00015455i,-0.00015558+0.0011449i,-0.00031093+0.0011886i,0.00046052+0.00095348i,0.00057743+0.0007333i,3.0392e-06+0.00028659i,-0.00036875-0.00017476i,-0.00052581+0.00019152i,-0.0001809+0.00074385i,0.00040346-2.9911e-05i,0.00064248-0.00063946i,9.1378e-06+0.0003395i,-0.00037658+0.00073791i,-0.00060726+0.00078489i,-0.00084954+0.0008597i,-0.00028954+0.00031691i,-0.00029743-0.00015596i,-0.00060339-0.00010052i,-0.00077518+0.00010363i
-0.00013558+0.0010831i,0.00056514+0.0026691i,0.00094697+0.0023344i,0.0010652+0.00076697i,0.0011654+0.00054062i,0.0010316-1.9382e-05i,0.00027828-0.00049609i,0.00024913-0.00042154i,0.00028588-0.00052472i,0.00090664-0.0005408i,0.001086-0.00050117i,0.00073687-7.681e-05i,0.00013148+0.00025053i,-0.00064036+0.00023252i,-0.0007022+0.00028591i,-0.00075608-0.00013969i,-0.00073813-0.00056106i,-0.00043592-0.00020819i,6.51e-06-0.0003577i,6.3803e-05+9.5199e-05i,7.0563e-05+0.00093845i,0.00080579+0.00036382i,0.0010204+0.00055144i
-0.0020195-0.0012103i,-0.0027843+0.00025945i,-0.0034743+0.0011222i,-0.0033349+0.0014526i,-0.0023102+0.0008239i,-0.00050745+0.00022479i,4.3542e-05+0.00058764i,-0.00050826+0.00078496i,-0.00037956+0.00063189i,2.6707e-05+0.00063224i,0.00030665+0.00012809i,0.00061351-0.00041907i,0.00086744-0.00044402i,0.00045654-0.00047643i,-0.00089169-0.0008295i,-0.0012455-0.00073144i,-0.00042929+1.5962e-05i,-0.00040582+0.00014822i,-0.00099456+0.00037616i,-0.00070276+0.00032815i,0.00019634+7.5094e-06i,0.00059485+0.000764i,7.994e-05+0.0011533i
-0.0022351+3.5694e-05i,-0.0019404-0.00021565i,-0.0015958+0.00047235i,-0.00034042+0.00082721i,0.0014472+0.00032098i,0.0011238-0.0001477i,-8.1883e-05-0.00018173i,-4.6261e-05-0.00023442i,0.00026171+8.2048e-05i,0.00035299-0.00018776i,0.00084597-0.0006423i,0.00070958+1.5244e-05i,0.00013676+0.00045647i,-0.00018981-0.00011093i,-0.0004512-0.00014779i,-0.00085003-0.00056001i,-0.0007789-0.00081795i,-0.00080818+9.9512e-06i,-0.0010265+0.00052755i,-0.00071508+0.00020578i,-0.00071815+0.00030414i,-0.00093703+7.8558e-05i,-0.00060712-0.0012351i
-0.0016592-0.0007599i,-0.00086434-0.00078337i,-0.0007256+0.00082211i,-0.00088224+0.0010492i,-0.00051387+0.00018512i,8.6014e-06+7.4965e-05i,0.00033316+0.00088264i,-5.2848e-06+0.00065574i,-0.00068412-0.00046945i,-0.00069046-0.00034929i,-2.8899e-05-5.5992e-06i,0.00020162-0.00053323i,-0.00026998-0.00081501i,-0.00048454-0.00091118i,-0.00065594-0.0010514i,-0.00089618-0.00070681i,-0.0015087-0.00062209i,-0.001489-0.0012426i,-3.5911e-05-0.00056987i,0.00028906+0.00021262i,3.122e-05-0.00036053i,0.00074786-0.00021254i,0.00030929-0.00022409i
-0.00071699+0.00013322i,-0.00023627+0.00025026i,0.0013749+0.00068636i,0.0023228+2.9816e-05i,0.0026487-0.0002157i,0.0027205-0.00017693i,0.0023896-0.0004256i,0.0021638-4.1965e-05i,0.0011284+0.0010237i,0.00073484+0.0016355i,0.00032007+0.00078609i,-0.00061706+0.00017671i,-0.00050598+0.00054779i,-0.00049344+2.7298e-05i,-0.00075327-0.0011861i,-0.00084577-0.0016601i,-0.00049364-0.0018951i,-0.00072978-0.0016442i,-0.0012208-0.00087047i,-0.0009508-0.00011376i,-0.0005715-0.00015298i,-0.00014995-0.00057373i,0.00012401+6.0191e-05i
-0.00079423+0.00063037i,-0.00082074+0.00018277i,-0.00039494+0.00084289i,-0.000248+0.00084338i,0.00018769+0.00017338i,0.00051463+0.00042178i,0.0008956+0.00079715i,0.00099734+0.00043504i,0.00083397+0.00018231i,0.00096771+0.00030448i,0.00062675-0.00013669i,0.00017177-0.00099359i,-4.9291e-05-0.0012885i,-0.00057093-0.001397i,-0.00058069-0.0015132i,2.2322e-05-0.0012175i,0.00034325-0.00057946i,3.8468e-05+0.0005766i,-0.00048157+0.0010291i,-0.00060068+0.00026722i,-0.0002634-0.00013207i,0.00051479-0.00014066i,0.00083039-0.00018183i
-0.00035886+0.00034841i,-0.00062377+0.00082992i,0.00026853+0.0012317i,0.00071716+0.00060666i,0.0003691-9.8268e-05i,-0.00017296-0.00066961i,-0.00013755-0.00096374i,0.00014691-0.0010467i,0.00033615-0.0012793i,0.00071073-0.00065926i,0.00058425-3.0838e-05i,0.00026071-3.8992e-06i,-0.00030248-0.00016195i,-0.0011237-1.4844e-05i,-0.0012059-0.00016796i,-0.0005893-0.00025135i,-0.00071907+0.0003512i,-0.00118+0.00065703i,-0.00052404+1.4591e-05i,0.00037139-0.00010156i,0.00036193+0.00038631i,0.00034287+0.00081916i,0.0004462+0.00075603i
0.00032293+0.00093488i,0.00032446+0.0011824i,0.00097006+0.0009381i,0.00037315+0.00093092i,0.00057843+0.00065992i,0.00086462+0.00022797i,0.0011847+0.00093493i,0.001543+0.00073048i,0.00094037+0.00034715i,0.00079347+0.00019148i,0.0012355-0.00017386i,0.00037266-0.00048399i,-0.000729-0.00053433i,-0.0002839-0.0010217i,0.00020507-0.0009765i,0.00017877-0.00027813i,0.00045162-0.00022644i,0.00097499-1.2896e-05i,0.0009227+0.00064297i,0.0012478+0.00062197i,0.0017529+0.00071549i,0.00029297+0.00034264i,-0.00050738-8.8612e-05i
0.00050767+6.8209e-05i,9.7083e-05-0.00011281i,0.00014105-0.0017361i,0.00039212-0.0021888i,-0.00049826-0.0016797i,-0.00090733-0.0015747i,-2.7495e-05-0.0012218i,0.0010455-0.00050212i,0.0013648-0.00025062i,0.00088016-0.00065268i,0.00043886-0.00037493i,0.00010533-0.00054801i,0.00010161-0.0012281i,3.8873e-05-0.0011939i,8.3049e-05-0.00046851i,5.0762e-05+0.00027982i,-0.0010045-0.00013849i,-0.001712-0.00029383i,-0.00097655+0.00045538i,0.00039838+0.00084577i,0.00080875+0.00061992i,0.00019029+0.00026965i,-0.00059542+0.00032752i
-0.00014096-0.0012758i,-0.0010339-0.0019173i,-0.0018886-0.00079749i,-0.0012359+0.00031683i,-0.00035647+0.00019981i,0.00087223+0.00019142i,0.0011756+0.00045127i,0.00017126+0.00010978i,0.00015213+2.9599e-05i,0.00043398+0.00032121i,-0.00015784+9.7748e-05i,-0.00057194-0.00055752i,-0.00015762-0.00055745i,0.0010006-9.7836e-05i,0.0010363+0.00030535i,-0.00016496+4.109e-05i,-0.0008479-0.00063082i,-0.0010987-0.0010926i,-0.00092596-0.0004622i,-0.00039223+0.00015214i,-6.7562e-05+0.00010012i,-5.6134e-06+0.00020567i,0.00015363+0.00040628i
-1.321e-05+0.00086767i,0.0011943+0.00038798i,0.0012101-0.00067325i,0.00086173-0.0010635i,0.0011269-0.0010994i,0.00055845-0.0011222i,-0.00035067-0.00045603i,-0.00086813+0.00047089i,-8.6288e-05+0.00040859i,0.00067434+0.00034663i,0.00013729-0.00023433i,0.00011854-0.00093057i,0.0001302-0.00072304i,0.00055622-0.0005931i,0.00028323+0.00037343i,-0.00040929+0.00086245i,-0.00065457-0.00021561i,-0.0010396-0.00057935i,-0.00079752-0.00050916i,-3.5274e-05-3.9963e-05i,0.00084058+0.00038178i,0.0011424+9.5827e-05i,0.00061368+0.00031534i
-5.9579e-05+0.0017506i,0.0017332+0.001851i,0.0026551+0.0010701i,0.0019922+0.00016119i,0.0014758-0.00012993i,0.0017156-0.00055971i,0.0015517-0.00042607i,0.00065685+0.0005439i,-0.00021439+0.00091306i,-0.00024542+0.00023162i,-0.00011398-0.00034726i,-0.00073165+4.5675e-05i,-0.00074789+0.00075322i,-0.00067412+0.00059819i,-0.00091916+0.0007532i,-0.00074869+0.00064605i,-0.0002388-0.00039777i,-4.6555e-05-3.3791e-05i,-0.00046828+0.00062952i,-0.0004757+0.00077864i,0.00024962+0.00052772i,0.00031525-0.00029612i,-0.00021552-0.00087029i
-0.0020632+4.77e-05i,-0.0016252+0.00093066i,-0.0017546+0.0008002i,-0.0026859+0.0017632i,-0.0017212+0.0021451i,0.00053711+0.00096349i,4.3328e-06-0.00025547i,-0.00089946-0.00026088i,-0.00049891+0.00038276i,-5.0311e-05+0.00058229i,-0.00030883-0.00029853i,-0.00017486-0.001049i,-0.00026077-0.00058232i,7.0717e-05-0.00087378i,0.00035417-0.00094375i,-0.0003753-0.00010292i,-0.00042571-0.00019701i,6.2404e-05-0.00045443i,5.4239e-05-1.8507e-05i,-1.2621e-05-0.00025386i,0.00013177+0.00022018i,0.00040472+0.00074605i,0.0004876+0.00030935i
-0.0012715-0.00022781i,-0.00054953+0.00011589i,-0.00028006-0.00028316i,1.7406e-05-0.0013756i,0.0005807-0.0017241i,0.0017493-0.00063396i,0.0015688-0.00014955i,0.00040836-0.0001598i,0.00028974+0.00059123i,0.0004365+0.00028648i,0.00079376-0.00012316i,0.0005134-0.0002385i,-0.00057396-0.00046736i,-0.00044989-0.00037072i,-0.00046036-0.0004103i,-5.5183e-05-0.00091483i,0.00026581-0.0015359i,-0.00020556-0.0016566i,-0.0003609-0.00050013i,0.00011338+0.00046205i,1.7328e-05+0.00013634i,-0.00041648-0.00038498i,-0.00037647+5.7698e-06i
