-0.0035176-9.0264e-05i,-0.0026859-0.00043074i,-0.0025633-9.7365e-05i,-0.0029035+0.0015518i,-0.0032113+0.0027545i,-0.0022779+0.0018742i,-0.0016203+0.00060144i,-0.0012448+0.0010522i,0.00011005+0.0018003i,0.0014115+0.0010189i,0.0015972+0.00021481i,0.0013097-0.00051215i,0.00096704-0.00050562i,0.00029633-0.00040883i,0.00016789-0.0003239i,-0.00025352+6.2473e-05i,-0.00012317+1.222e-05i,9.4876e-05-0.00027116i,-0.0007415-9.9531e-05i,-0.00074952-0.0003667i,5.0251e-05-0.00066645i,-0.00029228-0.00093704i,-0.0007073-0.00097908i
-0.0015961+0.0024875i,-0.0010345+0.0018047i,-2.1222e-05+0.0011265i,0.00031931-0.00014199i,0.00038103-0.0013657i,1.2248e-05-0.0016004i,-0.00041379-0.0011844i,-0.0012064+5.5537e-05i,-0.00098005+0.0014861i,-0.00041202+0.0013847i,0.00014273+0.00025463i,7.4331e-05-0.00042598i,-7.4429e-05-0.00058165i,0.00034857-0.00037192i,0.00039623+7.6204e-05i,-6.4743e-05+0.00027441i,0.00018185+0.00027679i,8.5537e-06-0.00021532i,-0.00037001-0.00057418i,-0.00085283-0.00042855i,-0.00064082-7.3493e-05i,-4.4721e-06-0.00016475i,1.5208e-06+8.7393e-05i
-0.00061357-0.0011398i,-0.00034485-0.0016384i,2.251e-05-0.0014378i,-0.00052983-0.00085375i,-0.00038839+7.1117e-05i,0.00083416+7.4376e-05i,0.00029339-0.00091099i,-0.00057513-0.00072918i,-0.00043565+0.000468i,-7.1019e-05+0.00058609i,0.0003485-0.00030197i,0.00072772-0.0001951i,0.00082272-2.186e-05i,0.00054832-0.00016968i,0.00020229-0.00026344i,0.00033169-0.00038078i,-0.00023842-0.00044888i,-0.00067256-0.0006487i,4.536e-05-0.00078745i,0.00027678-0.00067269i,-6.5859e-05+3.0537e-05i,-0.00035455+0.00089502i,-0.00067374+0.00093747i
0.0015923-0.0014625i,0.0016033-0.0022218i,0.00101-0.0030475i,0.00072043-0.0022517i,-6.5679e-05-0.0014292i,-0.00091545-0.00080521i,-0.0011968-0.00030659i,-0.00072837+5.436e-05i,-0.00031977+0.00070502i,-0.00012755+0.00052606i,2.412e-05+6.019e-05i,0.00016308-0.00020603i,0.00044266-0.00015155i,0.00047271+0.0007647i,-0.00016368+0.0008271i,-0.00024601+0.00038061i,0.0002707+0.0001972i,0.00017026-0.00020823i,-0.00046244+2.3158e-05i,-0.0002736+0.00014772i,0.00084164-3.3969e-05i,0.0011019+9.0332e-05i,0.00045969+0.00012231i
0.0016061+0.00062492i,0.0015492-0.00056406i,0.0011155-0.00067595i,0.0012058-0.00033784i,0.0018304+0.0001607i,0.0009658-0.00027598i,-0.00031403-0.0010819i,-0.0011137-0.00011294i,-0.00066294+0.00068667i,0.00070267+0.0010371i,0.0018193+0.00088753i,0.0018105+0.0004313i,0.00020428+0.000686i,-0.00030985+0.0009767i,-0.00019873-0.00032825i,-0.00031281-0.00090452i,-0.00039339-0.00022997i,-0.00020182-0.00073552i,-0.00019889-0.00015345i,0.00030085+0.00071342i,0.00082678-0.00015719i,0.00056272-0.00088422i,-8.2427e-05-0.00053347i
0.0018627+0.0018652i,0.0025237+2.6374e-05i,0.0016855-0.0011242i,0.00021633-0.0019436i,-0.00019931-0.0025461i,-0.00021983-0.0018444i,-0.00056887-0.00039731i,-0.00057385-0.00015298i,-3.2155e-05-3.1769e-05i,0.00021341+0.00021814i,-0.00020912+0.00021447i,-0.00049767-0.00028138i,8.7846e-05+0.00018322i,0.00078183+0.00036808i,0.0010312-6.5182e-05i,0.00076594+0.00058559i,0.00011256+0.00090082i,-0.00045619+0.00046449i,-0.00059703-0.00027309i,-0.00044393-7.7019e-05i,-0.00016188+0.00046005i,-0.00016321+0.00069149i,-0.00011717+0.00048717i
-0.0014681-0.0015913i,-0.0009328-0.0014294i,-0.0010518-0.00088227i,-0.0015555+0.00016009i,-0.0013027+0.00036485i,-0.00054173-0.00068941i,-0.00041861-0.00096877i,-0.00036293-0.00038067i,0.00053259+0.0002201i,0.00092679+0.00065185i,0.00081738+0.0001419i,5.2545e-06-0.00025078i,-0.00010152-0.00058176i,0.00021893-0.00094626i,0.00029373-0.00069395i,0.000165-0.0002116i,0.00032754-0.00026902i,0.0006061-1.2764e-05i,1.0739e-05+0.00069346i,-2.2655e-05+1.2272e-05i,0.00061182-0.0003535i,0.00029404+0.00036152i,0.00021946+0.00042249i
-0.0001304-0.0023747i,-0.00027816-0.0016907i,-0.00058561-0.0025414i,-0.00073098-0.0024469i,-0.00058505-0.00080046i,-0.00020537+3.7466e-05i,-0.00031039+0.00032433i,-0.0010705+0.00084313i,-0.0013654+0.0015161i,-0.00055726+0.0017546i,-0.00022286+0.0011284i,-0.00041321+0.00078788i,-0.00088395+0.00045779i,-0.00020014-0.00036747i,0.00065069-0.00064179i,0.00055133+1.6541e-05i,0.00030739-5.1842e-05i,-0.0002896-0.00021371i,-0.00031596+0.00033575i,-7.3426e-05+0.00019153i,-9.0795e-05-0.00065771i,-0.00015366-0.00019843i,2.4121e-05+0.0003123i
-0.0026319+0.00049188i,-0.0019176+0.00085665i,-0.00070809+0.0014495i,0.00047361+0.001134i,0.0014156+0.0003569i,0.0013948-0.00020515i,-6.9249e-05-0.00074116i,-0.0015564-0.00095618i,-0.0017196+4.7426e-05i,-0.00043547+0.0007531i,0.00064058+0.00032597i,5.3104e-05-0.00028769i,-0.00091495-0.00015126i,-0.00060802+0.00011021i,0.0005701+0.00020333i,0.0012516+0.00054926i,0.00086309+0.00070954i,0.00066482+0.0008996i,0.00038878+0.00026812i,6.7648e-06-0.0012339i,1.8149e-07-0.0010352i,-4.0993e-06+6.8401e-05i,-0.00020523+0.00039866i
0.0018051-0.0015179i,0.00019259-0.0018866i,-0.0012092-0.0034663i,-0.0023806-0.0035095i,-0.002424-0.0027861i,-0.0015352-0.0016059i,-0.00080336-0.00086532i,-3.3787e-05-0.00018521i,0.00095764+0.00061474i,0.00076059+0.00037398i,0.00062743-4.3602e-05i,0.0010259+0.00034466i,0.00089947+0.0004104i,0.001382-0.00017621i,0.0014593-0.00013558i,0.00095751+0.00012793i,0.00017029+0.00033697i,-0.00023217+0.0010875i,0.00018483+0.0011702i,0.00051448+0.0004494i,3.7439e-05+0.00066221i,-0.00042118+0.0011649i,-0.00040391+0.00073294i
-0.0019374+0.00032599i,-0.00065348+6.6761e-05i,0.00022213+0.0002895i,-0.00032205+0.00061561i,-0.00033834+0.00018965i,7.6062e-05-0.00041718i,2.4871e-05-0.00052386i,0.00017907-0.00021118i,0.00053231+0.0010203i,0.000745+0.0015475i,0.00048453+0.00018851i,0.00029138-0.00078359i,0.00063145+0.00013078i,0.00090007+0.0008337i,0.00047921+0.00060873i,8.4917e-05+0.00047938i,0.00030753+0.00045082i,0.00074699+0.00031841i,0.00074217+9.8083e-05i,0.00020285-5.7941e-05i,-0.00066894-0.00010054i,-0.00059471-0.0001698i,-0.00020511-0.00034145i
-0.0023213+0.0013001i,-0.0026705+0.001923i,-0.0016726+0.0016751i,-0.00098681+0.00012264i,-0.00095153-0.00079205i,-0.00061162-0.0007872i,-0.00085102-0.0007269i,-0.0013306+5.5295e-05i,-0.00024314+0.00074977i,0.0014799+0.00083551i,0.0009003+0.00040885i,-0.00048441-0.00030507i,-0.00069547-9.621e-05i,0.00015783+0.00033251i,0.00060475+0.00034313i,0.0004527-0.00017731i,0.00025356-0.00062704i,0.0006523-0.00059601i,-1.6576e-05-0.00020411i,-0.00037712+0.00042278i,0.00017556+0.00077836i,4.5043e-05+0.00076966i,-0.00046869+0.00052153i
-0.0016113-0.00041052i,-0.0016132-0.00063841i,-0.0014606-0.0010008i,-0.0013214-0.00053666i,-6.9315e-05+0.00059422i,0.0015325+0.0005365i,0.0010614-0.00051504i,-0.00040616+0.00017443i,-0.00059474+0.00082165i,0.00037372+0.00031296i,0.00097621-7.3542e-05i,0.00055814-0.0003309i,0.00068035-0.00046092i,0.00064755-0.00070045i,0.00036737-0.00042224i,0.00012054+0.00054077i,-9.4321e-05+0.00061067i,-0.0007186+0.00030055i,-0.0013311+0.00042243i,-0.0010016+0.00057327i,-0.00085459+0.00034601i,-0.00042274+0.00019414i,-0.0002037-0.00023329i
0.0018673-0.00018844i,0.00076451+0.00065705i,-0.000211-0.00044662i,-0.0013831-0.0015384i,-0.0013571-0.00081451i,-0.0020536-0.00050114i,-0.0016235-0.00042804i,-0.00040721+0.00024979i,0.00056168+0.00077776i,0.0014357+0.00034973i,0.0014718-3.9661e-05i,0.00074719+0.00019853i,0.00026235+0.00082546i,0.00090683+0.00053914i,0.0014045-0.00024518i,0.00068752-0.00089585i,-0.0001344-0.0011217i,-0.00033119+8.5259e-05i,-0.00014196+0.00068686i,0.0008149+0.00057796i,0.00037741+0.00017145i,-0.00036086-0.00050435i,-0.00042564-0.00013976i
0.00065805-0.002229i,-0.00048335-0.0019761i,-0.00072025-0.001916i,-0.0012375-0.0015481i,-0.0019079-0.00081555i,-0.00082671-0.00036512i,-0.00053827+0.00011622i,-0.00060296+0.00025725i,-0.00031075+0.00065203i,-5.6019e-05+0.00070356i,0.00044401+0.00045636i,-0.00030916+0.00052544i,-0.0004717+0.00043231i,0.00051164+0.0004308i,0.00070489-0.00023328i,0.00034351-0.00086569i,0.00029734-0.0011559i,0.00056033-0.00090617i,0.0008183+0.00010337i,0.0007465+0.00099041i,0.00031805+0.00083911i,0.00029007+9.9167e-05i,0.00018084-0.00026597i
-0.0013149+0.00026958i,-0.00039294+0.00099077i,-0.00097534+0.00040522i,-0.00081982-0.00017729i,-0.00019906-0.001025i,-3.1579e-05-0.0010629i,-0.00082184-0.00098289i,-0.001283-0.00029383i,-0.00052703+0.00068619i,-1.0572e-06+0.0015614i,-0.00010336+0.0016738i,-0.00012066+0.00078733i,-5.2731e-05+0.00055276i,0.00043889+0.00052131i,0.00033999+0.00024018i,-0.0010375+0.00033787i,-0.0019188+0.0010592i,-0.0015807+0.00037983i,-0.00084223-0.00031402i,-0.0007314-0.00017387i,-0.00068956+0.00024421i,0.00019085+8.0038e-05i,0.0010381+0.00025032i
-0.00030077-9.91e-05i,-2.9458e-05-2.2333e-05i,0.0011547-0.0011453i,0.00018736-0.0018362i,-0.00098285-0.0012676i,-0.00036102-0.00043746i,0.00021485-0.00041556i,-0.00010906-0.00010765i,0.00035113+0.00075266i,0.00047592+0.0010537i,0.00014154+0.00059139i,0.00040283+0.00035144i,0.00049589+0.00010523i,0.00016088+0.00013313i,-0.00021113+4.6492e-05i,0.00045691-0.00050768i,0.00059301-0.00037214i,3.5896e-05+0.00045661i,-8.1792e-05+0.00021284i,-0.00011338-0.00043601i,0.00026982-0.00034451i,0.00063755+0.00011336i,0.00021774+5.9147e-05i
-0.00086698+7.5454e-05i,-0.0014855-0.00053883i,-0.00053872-0.00073917i,-0.0010904-0.00046932i,-0.00057496-0.0013488i,0.00074662-0.0016728i,0.0006479-0.0014083i,-0.00044914-0.00070361i,-0.0002233+0.00020004i,0.00056585+0.00026863i,0.00088431-6.1813e-05i,0.00097912-0.00024198i,0.00077743-0.00035214i,0.00057044-1.9108e-05i,0.00024858-0.00055819i,0.00029896-0.0013284i,2.4428e-05-0.00037734i,-0.00024781+0.00032572i,0.00027621-0.00028476i,0.00046462+8.0814e-05i,0.00020857+0.00082516i,-0.00095565+0.00046625i,-0.00083394+0.00016432i
-0.00067533-0.00048646i,0.00036929-0.00050602i,-0.00025821-0.00079225i,0.00011481-0.00090651i,0.0010774-6.5983e-05i,0.00045118-0.0001241i,-0.0006076+0.00011728i,-0.0010524+0.00076795i,-0.00073074+0.0013017i,-0.00021138+0.0017117i,5.4032e-05+0.0016461i,-5.7807e-05+0.00083568i,0.00011751+8.7146e-05i,7.3103e-05-0.00028437i,-0.00068486-0.00052986i,-0.00053032-0.00041648i,7.7149e-05-4.9514e-05i,-0.00014734+0.00035745i,-0.00047226+0.00049348i,8.8827e-06-0.0005254i,0.00044735-0.0014019i,5.3345e-05-0.00083166i,-0.00043878-0.00050602i
6.2636e-05-0.00090018i,-0.00025449-0.0012954i,-0.00040329-0.0020719i,-8.6236e-05-0.0027475i,-0.00078956-0.0019277i,-0.000438-0.00097034i,0.00032148-0.00072158i,-0.00022837-0.00033723i,-0.00023741+0.00040631i,0.00058266+0.00030958i,0.0012887+0.00013415i,0.0010991+0.00037255i,0.00065607-0.00015569i,0.00039769-0.00060438i,0.00023654-0.00080811i,0.00044556-0.00071084i,0.0002331+0.00014346i,0.00043817+0.00038836i,0.00054186-0.000159i,5.6574e-05-0.00022166i,-5.5074e-05+3.8892e-05i,0.00043531-7.5989e-05i,0.00062653+0.00039915i
-0.0004308+0.0002758i,-4.2554e-05+0.00046626i,-0.00053877-0.00030566i,-0.0016637-0.002163i,-0.00074116-0.0024159i,-0.00010227-0.00056036i,-0.00029055+0.00025387i,0.0003633-0.00015956i,0.00089231+0.0002921i,0.00063938+0.0011587i,-0.0002212+0.0011286i,-0.00054949+0.00081707i,-0.00021294+0.00062584i,-0.00015317+0.00022211i,-0.0002093+0.0006375i,0.00033148+0.00054551i,0.00061377-0.00041021i,-7.7747e-05-0.00031674i,-6.9772e-05-0.00029256i,-0.00018185-6.3837e-05i,-0.00027678-0.00030867i,0.00015626-0.00069146i,8.3801e-05+0.00052501i
0.00082559-0.00084966i,-0.00015205-0.0021029i,-0.00096478-0.0031205i,-0.0012537-0.0026661i,-0.00023295-0.0018914i,0.00031584-0.00124i,-0.00030126-0.0016544i,0.00015519-0.0010504i,0.00077428+0.00057713i,0.0010214+0.0011106i,0.0011238+0.00093982i,0.0014382+0.00031626i,0.0012909+0.00014541i,0.0011684+7.2728e-05i,0.00086531-0.00027795i,0.00018799-0.00068989i,-0.00044089-0.0009939i,-0.00035528-0.00037513i,0.0005119+0.00027854i,0.00078364+0.0003735i,0.00024945+0.00039402i,-0.0005518-0.00017671i,-0.00037235-0.00070542i
-0.00039332+0.0022431i,0.00026491+0.0012076i,0.0013836-0.00024092i,0.0012534-0.0018166i,-6.8937e-06-0.0018235i,3.8686e-05-0.0015623i,0.00024829-0.0016449i,-0.00012288-0.00087732i,0.00018551+0.00028293i,0.00054707+0.0013858i,0.00023872+0.0010371i,-0.00079735+0.00049343i,-0.0011943+0.00038254i,-0.00073167+0.00049538i,-0.00028701+0.0011574i,2.8924e-05+0.0014148i,0.00016586+0.001089i,0.00095353+0.00043899i,0.0014919-3.0187e-05i,0.001328-0.00058666i,0.00027521+0.00014766i,-0.00047973+0.00051557i,0.00054379+0.00011178i
-0.0012225+0.00047751i,-0.00082267+6.4419e-06i,-0.00011501-4.1346e-05i,0.00014252-0.00028096i,-0.00045045+9.2073e-06i,-0.00041561-0.00021863i,-0.00019254-5.8015e-05i,-0.00022202+0.00074536i,7.0821e-05+0.00054447i,0.00063458+0.00070464i,0.0011145+0.0014273i,0.00060258+0.00078457i,0.00052524-0.00043003i,0.0010008-0.00091933i,0.00078081-0.00050697i,0.00054639+0.00050869i,0.00038668+0.00040751i,-8.1164e-05+7.4561e-05i,-0.00045833+0.00036843i,-0.00059633+0.00013715i,-0.00057355+0.00020043i,0.00015015+0.00050543i,0.00076068+0.00039206i
0.0012157-0.0013907i,0.0011471-0.0017621i,0.00017255-0.0023705i,-0.000434-0.0027271i,-0.0003826-0.0023565i,-0.0014467-0.0012678i,-0.0013949-0.0001234i,-0.00078233+0.00063978i,-4.2564e-05+0.00092612i,0.00051215+0.000828i,1.5146e-05+0.00047174i,-0.0001566+0.00061904i,0.00031898+0.00056575i,0.00077271+0.00030652i,0.0006128+0.00065474i,0.00059836+0.00067238i,0.00058026+0.00054439i,-1.8292e-05+0.00025283i,-0.0001478-0.00010649i,-0.00025241-0.00025879i,-0.0001916-0.0003222i,-5.2436e-05+0.00015752i,-5.0513e-05+0.0007214i
0.0026678+0.00058779i,0.0027954-0.00068142i,0.0020132-0.0024461i,-0.00010584-0.0033732i,-0.0016692-0.0029813i,-0.0021347-0.0016725i,-0.00078137-0.0011335i,0.00052446-0.00059805i,0.0010679-0.00010538i,0.0014446+0.00042487i,0.00088317+0.00079344i,2.5249e-05+0.00091391i,-0.0003072+0.0012686i,0.00011793+0.0010395i,0.00037194+0.000703i,-0.00019466+0.00055417i,-0.0003839+0.00080129i,-6.5409e-05-0.00019737i,0.0004196-0.0012032i,0.00021045-0.00018668i,-0.00027115+0.0011576i,0.00023102+0.0014339i,0.0005166+0.00093689i
-0.0021107+0.00013262i,-0.0028073+0.00088227i,-0.002609+0.00029119i,-0.0015954-0.00046748i,-0.00054819+0.00019565i,0.00015209+0.00074675i,0.00011963-3.7707e-05i,-0.00027037-0.0002142i,-0.00034766+0.00088523i,-0.00062987+0.0015247i,-9.6311e-05+0.0014882i,0.00024463+0.00099452i,-0.00014196-0.00018411i,0.00020969-0.001002i,0.00085557-0.00081176i,0.00049409-0.00021742i,0.0004867-0.00057683i,-0.00010751-0.00051119i,-0.0012315-0.00025223i,-0.0011599+8.8604e-05i,-0.00054243+0.00040364i,-4.5962e-06+9.9024e-06i,0.00012061+5.0354e-05i
-0.00089024+0.00048075i,-0.0015583+0.00023833i,-0.0006395-0.0015623i,8.8056e-05-0.0015743i,-0.0005442-0.00056691i,-0.00086405-0.0011303i,-0.00081257-0.0011638i,-0.00081272-0.00010704i,0.00014524+0.00045362i,0.0014534+0.00095098i,0.0013266+0.0013998i,0.00065279+0.0011277i,0.00039629+0.0018008i,0.00084564+0.0021463i,0.00049062+0.0012273i,0.00016609+0.00058364i,0.00067702+0.00075227i,0.00067108-0.00026701i,0.0009609-0.0012026i,0.0011144-0.00056693i,0.00064586-0.0003538i,0.00029434-0.00059664i,0.00079199-0.00062368i
-0.0016405-0.0016454i,-0.0016077+0.00015712i,-0.0016969+0.0012034i,-0.00047565+0.0011406i,0.00045066+0.00092179i,0.00062137+0.00054506i,6.732e-06+0.00031545i,-0.00094746+0.0005349i,-0.0012217+0.00011076i,0.00020117+0.00044262i,0.0011714-2.4517e-05i,0.00027359-0.00083525i,-0.00034167-0.00097741i,-0.00014149-0.0012773i,8.0385e-05-0.0011866i,0.00028174-0.0005258i,0.00056686+6.8732e-05i,0.00026716-0.00023405i,4.8904e-05-0.00065162i,-1.3186e-05-0.00073748i,-0.00028623-0.00057347i,-0.00059501-0.0008328i,-0.00040267-0.00079045i
0.00021075+0.00017694i,0.00047047-0.00060589i,0.00017643-0.001259i,-0.00030409-0.0014825i,-0.00074507-0.001065i,-0.0010058-0.00053437i,-0.00078393-0.00096211i,-0.00041788-0.00033572i,-0.00056173+0.0010225i,3.0279e-05+0.00092014i,0.00064183-6.2394e-05i,6.9977e-05-0.00030186i,-0.00024718-0.00025781i,-6.4614e-05-0.00073475i,0.00080778-0.00054924i,0.0010231+0.00023195i,-7.4272e-05+5.1228e-05i,-0.00016545-0.00036145i,0.00028678-0.00054991i,0.0001497-0.00053538i,0.00032048-0.00043291i,0.00093404-9.4407e-05i,0.00073456+0.00028299i
-0.00040736-0.001818i,-0.0012122-0.0018008i,-0.0011216-0.00093452i,-0.00096294-0.0013177i,-0.0012975-0.0017395i,-0.001338-0.00085068i,-0.00083401-0.00068373i,-0.00060071-0.00016069i,-0.00087828+0.00096592i,-0.00055341+0.00084609i,3.8911e-05-0.00019423i,0.00023234-0.00037848i,4.6888e-05+4.0581e-06i,0.00062124-0.00038619i,0.0014855-0.00067457i,0.0011769-0.00044848i,0.00062137-0.00048423i,0.00053875-0.00066348i,0.00086692-0.0009924i,0.00028988-0.0010669i,0.00013912-0.00068758i,0.0005536-0.00056477i,5.5125e-05-0.00021868i
0.0010913+0.00059911i,0.001954+0.00013868i,0.0014197-0.00039092i,-1.9272e-05-0.00060208i,-0.00069224-0.00084507i,-0.00049444-0.0010912i,-0.00021718-0.00097028i,-0.00022138-0.0002582i,-0.00010071+0.00084254i,0.00027669+0.0011486i,9.4968e-05+0.00081387i,-0.00019732+0.00085434i,-0.00037299+0.0011606i,-0.00026688+0.00030589i,0.00027472+0.00030843i,0.00070375+0.00076874i,0.00087045+1.107e-05i,0.00079976+6.1522e-05i,0.00054273+0.00051127i,0.00053208+0.00035904i,-0.00014861+0.0003697i,-0.00033114+0.00072364i,0.00025316+0.00035532i
-0.0015983+0.0007988i,-0.0019546+0.00051369i,-0.0010702-6.4134e-07i,-0.0006223+0.00033615i,0.00033226+7.0973e-05i,0.0016525-0.00057038i,0.0011892+3.8471e-05i,0.00039914+0.001031i,0.00010492+0.0015172i,8.2188e-05+0.0014518i,-6.519e-05+0.0010652i,-0.00025874+0.00061278i,-9.8743e-05+0.0004031i,0.00036852+6.8783e-05i,0.00024136-0.00074362i,0.00035998-0.00028469i,0.00035073+0.00051495i,0.00033275-5.9845e-05i,0.00025281-0.00054058i,-0.00039178-0.00033243i,-0.00052778+0.00026133i,-0.00042266+0.0010099i,-0.00029161+0.0011309i
-0.0014647-0.0017462i,-0.002298-0.0017866i,-0.0023713-0.0015779i,-0.0018073-0.0011672i,-0.0008558-0.00037305i,0.0002306+3.8705e-05i,8.7254e-05-5.1733e-05i,0.00038656+0.00029649i,7.153e-05+0.00051805i,6.6171e-05+0.00044962i,9.2104e-05+0.00084784i,-2.6902e-05+0.00084496i,0.00027865+0.00049267i,0.00036665+0.00024182i,0.00049881+0.00012394i,0.00037249-0.00033304i,-0.0003455-0.00042886i,-0.00054807-7.0283e-06i,-0.00063401+0.0002785i,-8.4582e-05+0.0002746i,0.00036339-0.00051858i,-0.00032495-0.00093077i,-0.00022541-1.867e-05i
0.0012201-0.00046992i,0.0012151-0.00073756i,0.0006906-0.0005532i,-0.00030237-0.00091734i,-0.00042445-0.0015686i,-0.00029142-0.0010824i,-0.00036401-0.00088571i,-0.00097484-0.0010743i,-0.00071441+1.6348e-05i,5.3293e-05+0.0013422i,-0.00025858+0.00050586i,-0.0007475-0.00056825i,-0.00045264-0.00027534i,-0.00066047-0.00040126i,-0.00020722-0.0013989i,0.00091651-0.001041i,0.0010075+2.7971e-05i,0.00069113-0.00017689i,4.6312e-05-0.00031132i,-0.00092035-0.00023353i,-0.0013156-0.00014557i,-0.00065556-0.00018824i,-4.6164e-05-0.0001616i
0.00088342+0.0013529i,0.00081427+0.00039091i,0.00041079-0.00081747i,-0.00076268-0.0016303i,-0.00087647-0.0016981i,-0.00058508-0.0016373i,-0.00069543-0.0015737i,-0.00036744+0.00023696i,-0.00047436+0.0023236i,0.00022541+0.0026747i,0.0010022+0.0020802i,0.00084169+0.00055622i,0.00035883-0.00015014i,-5.442e-05-7.4988e-05i,0.00020358-6.2505e-05i,0.00033069-0.00029279i,1.917e-05-0.00035145i,0.00030191-0.00030454i,0.00035811-9.7341e-05i,0.00020953-0.00031101i,0.00045648-0.00041075i,0.00056473-0.00046478i,0.00021272-0.00064051i
0.00035744+0.0011345i,0.0012349+0.0005495i,0.0013107-4.7319e-05i,0.00024548-0.00047849i,-0.00026249-0.00088505i,-0.00029149-0.0010504i,-0.00038454-0.0015294i,-0.0005072-0.001128i,-0.0005054+0.0002784i,0.00044113+0.00040612i,0.0008777-0.00031505i,0.00056962-0.00073104i,0.00038522+0.00013468i,0.00061673+0.00052077i,0.00074142+0.00029987i,0.00076969+0.00014273i,0.00072128-0.00032961i,0.00060625-0.0002721i,0.00078315-0.00032758i,0.00064072-0.00038218i,5.1783e-05+0.00013728i,-0.00053383+0.00035954i,-0.00062731-0.00010619i
-0.0021991-0.00058696i,-0.0020335-0.0018535i,-0.0013731-0.0021326i,-0.00040762-0.0013749i,-7.565e-06-0.0011532i,0.00038713-0.001093i,0.00033886-0.0011618i,1.8954e-05-0.0007086i,0.00029902-0.00021457i,0.00022319+0.00013684i,-0.00052148-1.7276e-05i,0.00012828+1.9245e-05i,0.00082492+0.00045478i,0.00060374+0.00033033i,0.00027784+0.00040609i,0.0004276+0.00064112i,0.00042364+0.00012933i,0.00063257+4.9166e-05i,0.00079266+0.0001539i,0.00020026-0.00042997i,0.00020083-0.00056035i,0.00024022-0.00024709i,0.00049257-0.00071856i
-0.0014798+0.00014336i,-0.0017386+0.00065994i,-0.0018662+0.00069848i,-0.0012208-0.00026074i,-0.00066972-0.00035221i,0.00017092-5.5131e-05i,-0.00030679-0.00057214i,-0.0011651-0.00029971i,-0.0004816+0.00041959i,0.00069047+0.0013534i,0.00063093+0.00093547i,0.00032701-0.00045152i,0.00020997-0.00072416i,-0.00021395-0.00072134i,-0.00063036-0.00089027i,-3.912e-05+0.00025034i,0.00010374+0.0011387i,9.3826e-05+5.0658e-05i,0.0011868-0.00031373i,0.0013365-0.00037839i,0.00047191+2.6256e-05i,-0.00037756+0.00086501i,-0.00026435+0.0001975i
0.00245-0.0013671i,0.0022759-0.0019153i,0.0005657-0.0017876i,-0.0011973-0.0011366i,-0.0011358-0.00081121i,-0.00010107-0.00055535i,0.00046535-0.00023771i,0.00038112+0.0001312i,0.00041267+0.0009018i,0.00071903+0.0012746i,0.00054819+0.0013691i,0.0007557+0.0011635i,0.0013187+0.00091013i,0.001489+0.00070703i,0.0010396+7.2091e-05i,0.00076934-0.00063775i,0.000501-0.0010936i,-0.00051649-0.00047317i,-0.00098799+6.3314e-05i,-0.00051244+0.0005963i,-0.00010012+0.00087939i,-0.00047537+0.00058548i,-0.00046774-0.00049578i
0.00055144+0.00041205i,3.5421e-05-0.00030933i,9.2256e-05-0.00056305i,0.0006056-0.00023061i,0.00018035-0.00023429i,5.4721e-05-0.00076176i,0.0010457-0.00023212i,0.00074611+0.00021106i,0.00011987+0.00016418i,0.00034033+0.00052405i,0.00018152+0.00032841i,0.00058279+0.00031941i,0.00073271+2.2404e-05i,0.00059817+0.00019121i,0.00076917+0.00012775i,0.0014187+0.00037406i,0.0016783+0.001115i,0.00066507+0.00015089i,0.00020244-0.00046204i,-0.0001628-0.00057453i,-0.00045513-0.00035111i,-0.00085336+0.0002483i,-0.00067667+0.00026989i
-0.00094312+0.002554i,-0.00033184+0.0012284i,-0.00069909-0.00066566i,6.8598e-05-0.0011099i,0.00064176-0.00058804i,-7.9974e-05-0.00039237i,-0.00048667-0.00080868i,-0.00064166-0.00070701i,-0.00098345-6.2067e-05i,-0.00044372+0.00053501i,0.00023734+0.00042115i,-0.00014834+5.354e-05i,-0.00055302-7.4826e-05i,-0.00037976-0.00029298i,-0.00012109-1.5581e-05i,-0.00020672+0.00069538i,0.00016936+0.00066418i,0.00042425+7.6223e-05i,-0.00046571+0.00020046i,-0.00062533+0.0011592i,0.00053319+0.00072846i,0.0011538+0.00016301i,0.00036699+0.00053439i
-0.0028595+0.00016093i,-0.0017711+0.0006397i,-0.00061042+0.001512i,-3.6499e-05+0.0008442i,-3.4104e-05-9.7606e-05i,-0.00024405-0.00071792i,-0.00042443-0.00054185i,-0.00075134+0.00015557i,-0.00088669+0.0003186i,-0.00058344+0.000585i,-0.00071696+0.00067782i,-7.0791e-05+0.00060601i,0.00048343+0.00056955i,0.00010511+0.00021939i,0.00026185+0.00020283i,0.00042452+0.00029808i,0.00024347+0.0002914i,1.9126e-05+6.992e-05i,-0.00042315-0.00026531i,-0.00072227-0.000486i,-0.00064946-0.00071891i,-0.00052112-0.00063031i,-0.00026438-0.00028776i
