-0.0030314-0.0001683i,-0.0026437+0.00055039i,-0.0035962+0.0017806i,-0.0033551+0.0011584i,-0.0022883+0.0011917i,-0.00184+0.0021234i,-0.00045848+0.0021845i,0.0017078+0.0011536i,0.0017388+0.00041741i,0.0010575-7.7152e-05i,0.00067676-0.00079037i,0.00018676-0.00078668i,0.0005443-0.00028735i,0.0016939-0.00035242i,0.0025134-1.0426e-05i,0.00082919+0.00011627i,-0.00074775-0.00019783i,-0.00097801-0.00030047i,-0.0010979-0.00026965i,-0.0010559-0.00027343i,-0.00057954-0.00049621i,0.00011013-0.00043432i,0.00042913+4.573e-05i
-0.00079665+0.0016995i,-0.00034789+0.0015265i,0.00081395+0.00060243i,0.00015358-0.00022301i,-0.0006308-0.00045679i,-0.00013273-0.00038413i,0.0001294+0.00024027i,0.00013217+0.00096173i,0.00050523+0.0012505i,0.0013522+0.00081012i,0.00095721-0.00060329i,-0.00025333-0.0017347i,-0.00023584-0.0017859i,-0.00085625-0.0010799i,-0.00089161-0.00038741i,-3.4423e-05+9.5456e-05i,3.2798e-05+4.006e-05i,0.00054772-0.0005483i,0.00033186-0.00013341i,-0.0005008+0.00063798i,-0.00015017+0.0015844i,-0.00020695+0.0018453i,-0.00027496+0.0012854i
0.00036887-0.00075927i,-6.9471e-05-0.00072972i,0.00028802-0.00049291i,0.00064219-4.029e-05i,0.00042801+0.00048549i,0.00070916+0.0010371i,0.0014639+0.0011066i,0.0018198+0.00089693i,0.00088179+0.00052671i,6.8418e-05+0.00010697i,-0.00013312-0.00064752i,-0.00072118-0.0011709i,-0.00050866-0.00059786i,-0.00080304+0.00034485i,-0.0010829+0.00041209i,-0.00048164+0.00060055i,-0.00043427+0.00075343i,-0.00064206+0.00060802i,-0.00051194+3.2741e-05i,-0.00051259+1.3158e-06i,-0.00073341+0.00033653i,-0.00072348-0.00052496i,-0.0004005-0.00023303i
0.0018437-0.0011339i,0.00023093-0.0016051i,-0.00025466-0.0015034i,-0.0011-0.00091981i,-0.0020057-0.001504i,-0.0015207-0.0015663i,-0.0005623+0.00020085i,0.00059157+0.0010104i,0.0007419+0.00054411i,0.00032613+0.00020776i,-1.3238e-05-4.8806e-05i,-0.00036487-0.00015063i,-0.00071457+0.00039582i,0.00035054+0.00067381i,0.0016724+0.00068595i,0.0009009+0.00093622i,0.00021367+0.00043554i,-4.3519e-05+0.00014453i,-7.3318e-05+0.0003627i,0.00021184-2.5105e-05i,-0.00017678-0.00017281i,-0.0007994-4.752e-05i,-0.00036909-0.00030128i
9.2476e-05-0.00021347i,0.00040883+0.00066216i,-8.2142e-05+0.0011659i,-0.00045873+0.00090888i,-0.00029898+0.00052376i,0.00043827+0.0011424i,0.00086139+0.0015669i,0.00061626+0.001027i,0.00043309+0.00034086i,0.00028239+0.00041991i,0.00019375-0.00012328i,0.00051471-0.00089949i,0.00076103-0.00095482i,6.9255e-05-0.00026175i,-0.00048116+0.00055698i,-0.00041908+0.00024449i,0.00021221-0.00059359i,0.00062846-0.0010206i,0.00014668-0.00056317i,-4.8148e-05-0.00030767i,2.7006e-05-0.00011327i,6.3638e-05+0.00017086i,-0.00016562-0.00034255i
-0.00078012+0.00098425i,-0.0011771+0.0010599i,-0.0014097+0.0006709i,-0.0010163+0.00048256i,-4.3664e-05+0.0011118i,0.00082258+0.0018859i,0.00052826+0.0016975i,0.00095549+0.0016801i,0.0016924+0.0012257i,0.0013147+0.00032648i,0.00077605-0.00022447i,0.00039351-0.00059208i,-6.9067e-05-0.0011698i,-0.00010988-0.0011085i,8.2983e-05-0.00066882i,0.00069508-0.0006699i,0.00091713-0.0007684i,0.00083811-0.00058846i,0.00065468-0.00093403i,0.00053198-0.00059542i,0.0001653-0.00043128i,0.00026484-0.00031263i,0.00059268+0.00046525i
-0.00066662-0.00096445i,-0.0015224-0.0003405i,-0.001051+0.0012535i,-0.00023917+0.00045388i,0.00025404-0.00058789i,0.00097351+0.00032899i,0.0014056+0.0015187i,0.00098279+0.0016763i,0.00045792+0.0012725i,0.00064513+0.00097217i,0.00026463-0.00016523i,-6.4699e-05-0.0009041i,0.00079315-0.00010543i,0.00089349+0.00054033i,-5.2752e-05+0.00091727i,-0.00024923+0.0012963i,-0.00015612+0.0009694i,-0.00031088+0.00074642i,0.00013356+0.00060681i,0.00064157+0.00017413i,0.00039273+0.00013721i,-0.00014364+0.00040286i,-0.00010443+0.0002867i
-4.3211e-05+0.0026346i,0.00090602+0.0019384i,0.0017566+0.0017064i,0.001422+0.0010142i,0.0010131-0.00010657i,0.00038527+0.00011218i,0.00038394+0.00077672i,0.00082493+0.00070939i,0.0009486+0.00084749i,0.00045297+0.00026911i,-0.00010829-0.00066196i,-0.00012164-0.001176i,-0.0005717-0.00087072i,-0.0010468-0.00030198i,-0.0010445-0.00053233i,-0.00052813-0.00011489i,0.00056395+0.00029041i,0.0010203+0.00060392i,-0.00023263+0.00059085i,-0.0012775-0.00054054i,-0.0010049-0.001157i,-0.00032058-0.00067923i,-0.00039221+9.5459e-05i
0.00021815+0.00010369i,0.00046107-1.4231e-05i,0.00059707-0.00059009i,-0.00040813-0.00012246i,-0.0010531+0.0014906i,-7.1361e-05+0.0026003i,0.00032476+0.0026439i,0.00014706+0.0015334i,0.00050794+0.00016887i,0.00023228-0.00041484i,-0.00013931-0.00032296i,0.00023652-0.00053158i,0.00015951-6.2878e-05i,-3.6364e-05+0.00028195i,-7.2187e-05+0.00063418i,-0.00042482+0.00054905i,-0.0011426-0.00010872i,-0.0013614+0.00027693i,-0.0012033+0.0003019i,-0.00097677-0.00044635i,-0.00061973-0.00033339i,-3.0585e-05+0.00060935i,0.00025555+0.00082426i
0.001711+0.0015479i,0.0018812+0.00078817i,0.001608-8.6976e-05i,0.00084843-0.0013702i,0.0011762-0.0014753i,0.0011863-0.00097178i,0.00063282-0.0012505i,0.00035198+0.00020096i,0.00038103+0.0013253i,0.0009314-0.00011957i,0.00089707-0.00069439i,2.5254e-05-0.00064693i,-0.00076031-0.00088253i,-0.00044164-0.0011616i,6.4875e-05-0.0012937i,-0.00018417-0.00069461i,-0.00013483+2.8146e-05i,-0.00041729-7.5269e-05i,-1.0242e-05-0.00033417i,0.00064437-0.00033339i,-0.00019142-0.00036163i,-0.00089781-0.00033592i,-0.00064008-5.0054e-05i
0.0011216+0.00025303i,0.00063671+0.00023083i,0.00021617+0.00029505i,-4.3967e-05+0.00023277i,-0.00067566-0.00012154i,-0.00087363+0.00011171i,-5.0017e-05+0.00051204i,0.00065504+0.00085154i,0.00059926+0.00068498i,0.00022584-0.0004733i,0.00050312-0.00040925i,0.00055074+0.00024383i,-0.00036268+8.5891e-05i,-0.0013842+0.0001599i,-0.0010942+0.00051995i,-0.00068195+0.00022715i,-5.968e-05-0.00085815i,0.00059294-0.00084521i,0.00088707-0.00063498i,0.00063659-4.9793e-05i,0.0002848+0.0001303i,0.00062691-0.00066345i,0.00035805-0.0011636i
-0.00034969+0.0018957i,-0.00016046+0.0011577i,-0.00013352+0.00065296i,-0.0010084+0.00084703i,-0.0017398+0.00065269i,-0.0013465+0.00015924i,-0.0003005+0.00018493i,-0.00020397+0.00038205i,8.4065e-06+0.00046268i,0.0003208-0.00036512i,0.00013194-0.00078377i,-0.0002139-0.0010228i,-0.00056391-0.00096508i,-0.00092911-0.0011858i,-0.0011715-0.00077099i,-0.00087505-0.00016832i,-6.1674e-05+0.00010482i,-8.095e-05-7.8384e-07i,7.9468e-05-0.00020406i,0.00024032-0.0003075i,0.00032303-0.0007073i,0.00024451-0.00066635i,0.00022958-0.00013907i
-0.00092404+0.00025444i,-0.00053136+0.00014751i,0.00067105-0.00058576i,0.0011359-0.0007128i,0.0012105+0.00068063i,0.0011097+0.0018453i,0.0014393+0.0010669i,0.0010651+0.00023648i,-0.00014741-0.00012759i,9.8937e-05-0.0010892i,0.00092812-0.0012191i,0.0010326-0.00070998i,0.00050924-0.0006633i,0.00026919-0.00015117i,-0.00020996+0.00032662i,-0.00028462-0.00018314i,1.6186e-05-0.00011838i,-0.00036399+0.00024434i,0.00017418-3.2225e-05i,0.00037131-0.00067498i,-0.0007309-0.00065072i,-0.00076655-0.00052182i,-0.00016855-0.0004653i
0.00072415-0.0017862i,-0.00024891-0.0020118i,-0.00092486-0.00063547i,-0.00044778+0.00034599i,-0.00042233+0.00068858i,-7.1014e-05+0.000157i,0.00086917-7.763e-05i,0.00078955+0.00043451i,0.00027937+0.00055718i,-0.00038292+0.00054895i,-0.00010326+0.00094616i,0.00032724+0.0010558i,0.00086086+0.00027839i,0.00082219-0.00024356i,0.00067962-4.6918e-05i,0.00047054+0.00092927i,2.6877e-05+0.0012092i,-0.00046415+0.00069221i,-0.00069596+0.00046609i,-0.00029109-8.7673e-05i,3.1593e-05-0.00082475i,-0.00040226-0.00066513i,-0.00048327-0.00038299i
0.0024371-0.00092164i,0.0024922-0.00065337i,0.0025008+7.6804e-05i,0.001148-0.00058626i,-0.00043549-0.0015454i,-0.00015218-0.00086126i,0.00081234+0.0010658i,0.0010956+0.0022805i,0.00067885+0.0013133i,0.00065879-0.00024377i,0.00053721-0.0009104i,-4.7259e-05-0.0010216i,-4.5538e-05-0.00078334i,0.0004441-0.0001945i,0.00052119-0.0002667i,0.00069456-8.657e-05i,0.00019843+0.00051278i,-0.00034151+0.00080401i,-0.00024147+0.00081278i,0.00021873+0.00021024i,0.00067229-0.00013617i,0.00072452+0.00011666i,0.00038492+0.0001692i
0.00037066+0.0035452i,0.00088892+0.0036822i,0.0015054+0.0030547i,0.00091202+0.00057883i,0.00056787-0.00082313i,0.00052429+0.00047103i,0.00042417+0.0021689i,0.00059335+0.00208i,0.00063304+0.00071106i,0.00085145-0.00039174i,0.00075141-0.00015508i,0.00035987+0.00027955i,-0.00064503+0.00049574i,-0.0012591+0.00023427i,-0.00096263-4.5649e-05i,-0.00097408+2.0219e-05i,-0.00079925+0.00030793i,-5.5021e-05+0.00036738i,-0.00012276+4.6653e-05i,-0.0011036+0.00042476i,-0.0012547+0.00014577i,-0.0009575-0.00064669i,-0.0010532-0.00023533i
-8.0034e-05+0.0020364i,-0.0010299+0.0017325i,-0.0011672+0.00024531i,-0.0003036-0.0011303i,0.00031997-0.00028541i,0.001391+0.0014644i,0.0017048+0.0015802i,0.00063951+0.0010026i,0.00016417+0.00056045i,0.00030626+0.00071108i,-0.00043351+0.00051568i,-0.00047993+5.433e-05i,0.00028126+0.00040015i,0.00049048+0.00059252i,0.00064164+0.00028858i,0.00092743-0.0003816i,0.00042382-0.00048602i,-0.00028052+0.00014483i,-0.00054506+0.00071674i,-0.00014336+0.00082489i,0.00023139-0.00010504i,-0.00043936-0.00025971i,-0.00029345+1.4794e-05i
0.00044291+0.00025148i,0.00056245-0.001324i,0.00052358-0.0012244i,0.00052287-0.00081214i,0.0003168-0.00048057i,-0.00034026-0.00016309i,-0.00073975+0.00049855i,-0.00090347+0.00087205i,-0.00076316+0.00052744i,-0.00054577+9.7296e-05i,-0.00067706+9.0963e-06i,-0.00087561+4.4263e-05i,-0.0008045-0.00013291i,-0.00043781-0.00065759i,-0.00057898-0.00046785i,-0.0017645-0.00012688i,-0.0014541-0.00069489i,0.00044821-0.00081624i,0.0010224-6.6183e-05i,0.0006006-0.00017482i,-0.00013196-0.00056542i,-0.000717-0.0002236i,-0.00064794-0.0005872i
0.0015708+0.0019501i,0.0026691+0.00064303i,0.0025672-0.0002514i,0.00079908+7.7367e-05i,-0.00063152+0.00024097i,-0.00061071+0.00075636i,-0.00058056+0.0018918i,-0.00011693+0.0017099i,0.00054502+0.0010717i,0.00073024+0.00052319i,0.00058349+7.2425e-05i,2.9125e-06-0.0004973i,9.705e-06-0.0014801i,-8.4538e-05-0.0016192i,-0.00093717-0.00046182i,-0.0012635+0.00032722i,-0.00084328+0.00020598i,-0.00077358+0.0001462i,-0.00081073-0.00010568i,-0.00047443+0.00013836i,9.8196e-05+0.00023398i,0.00020062-0.00034901i,-0.00021612-0.000836i
0.003157+0.0018638i,0.003637+0.00090517i,0.0033316+0.00048455i,0.0017601-0.0007401i,0.00018783-0.00058131i,-0.00063231+0.00090927i,-0.00064817+0.0012627i,-0.00029951+0.0010533i,-9.3796e-05+0.0010682i,-0.00011067+0.00055299i,-0.00037342-0.00080558i,-0.00051146-0.0011751i,-0.00084526-0.00037048i,-0.0010718+0.00038561i,-6.1253e-05+0.00087627i,0.00025558+0.0001797i,0.00023595+3.0822e-05i,0.0005592+0.00027925i,0.00038333+0.00087677i,-0.00017209+0.0013963i,-0.0004099+0.00063683i,-0.00028442+4.9505e-05i,0.00019924+0.00036612i
-0.0014596+0.0011136i,-0.0023254+0.0012811i,-0.0011481+0.0016616i,0.00018638+0.0011796i,0.00094926+0.00033078i,0.0015853+0.00015072i,0.0016114-0.0001751i,0.00078298-0.00035123i,0.00053123-0.00042648i,0.00057627-0.00058141i,0.0005039-0.00091717i,0.00021638-0.00044483i,0.00017744+0.00018722i,0.00019105+0.00011562i,0.00026371-0.00012727i,0.00070195-9.1944e-05i,0.00069346-0.0002472i,0.00094987-0.00058012i,0.0011206+3.1534e-05i,7.1012e-05+0.0010248i,-0.00036064+0.00052392i,-0.00024329-3.5601e-05i,-0.00012136+0.00029109i
-0.00095035-0.00044037i,-0.0013064-0.00016538i,-0.0010549+6.7151e-05i,-0.00052143+0.00055964i,-0.00041277+0.0004824i,-0.00033767+0.00018018i,9.3756e-05+0.00036873i,0.00021105+0.00079799i,-0.00019333+0.001085i,-0.00036672+0.00051515i,-1.4887e-05+0.00031112i,2.825e-05-4.7545e-05i,0.00025606-1.973e-05i,0.0002167+0.00091408i,0.00063727+0.0009945i,0.00037254+0.00079169i,-0.00030386+0.00057822i,0.00037592+5.5659e-05i,0.0011279+0.00012623i,0.001058+0.000453i,0.0009456+0.00043406i,0.00019311+0.00038081i,-0.00044433+0.00013613i
0.00027945-0.00061923i,-0.00023063-0.0001636i,-0.00074411-0.00046849i,-0.00052202-0.00050203i,-0.00034071+0.0012797i,-0.00048157+0.0029148i,0.00012718+0.0028313i,0.0011323+0.0015626i,0.0011925+0.00050973i,0.00036965-1.4866e-05i,-0.00016175-9.8477e-05i,-0.00033983-0.00014446i,-0.00043481-0.00049347i,-0.00023301-0.0011078i,5.3152e-05-0.00042671i,0.00056194+0.00013876i,0.00046825-0.00027933i,0.00059845-0.00042588i,0.0013183-0.0001759i,0.0013021+0.00046041i,0.00048246+0.0010083i,0.00018265+0.00088226i,0.00055958+0.00011633i
0.00044468-0.00025227i,-0.00055706-0.00089412i,-0.0010697-0.0019651i,-0.00079346-0.0016501i,-0.00090765-0.00026524i,-0.00088077+0.00030582i,-0.0001813+0.00063887i,0.00071593+0.001371i,0.00077578+0.001501i,0.00033112+0.00056397i,0.0007995-0.00042368i,0.0012776-0.00029474i,0.00095307-0.00023343i,0.00025925+0.0002564i,2.2876e-05+0.00031694i,3.8925e-05+6.8151e-05i,-0.00019386+0.00050244i,-8.7417e-05+0.00068788i,0.00017121+8.9131e-05i,-0.00047023-0.00025055i,-0.00078526+0.00044598i,-0.00063416+0.00077775i,-0.00065903+3.8432e-05i
7.1006e-05-0.0010845i,0.00032582-0.0012484i,-0.00065234-0.0012274i,-0.0009443-0.00089124i,5.7673e-05-0.0005546i,0.0014033+0.00016886i,0.0014821+0.00068297i,0.00072958-0.00017797i,-4.2617e-06-0.00060519i,-0.00042462-3.8612e-05i,0.0003146+0.00015038i,0.00063163+8.4927e-05i,0.00044335+0.00010405i,0.00081918+0.00037934i,0.00072748+0.0003513i,-0.0004246-5.261e-09i,-0.00046039+0.00018689i,0.00055503+0.0007703i,0.00057717+0.00069989i,1.4258e-05+0.00027253i,-0.00050691+0.00066597i,-0.00076091+0.00080014i,-0.00016734-5.1036e-06i
-0.001342-0.00037181i,-5.6536e-05+0.00060215i,0.00043816+0.0011008i,-0.00036253+0.0014568i,-0.0010523+0.0010265i,-0.00053207+0.0012396i,-4.9012e-05+0.0014187i,-1.3945e-05+0.0008875i,0.00015806+6.6702e-05i,0.00059211-0.00053818i,0.0011479-0.00056616i,0.00056683-0.00028012i,0.00018804+2.6657e-05i,0.00027175-9.3838e-06i,-0.00011954-0.00053836i,6.3249e-05-0.00021002i,0.00033065+0.00018485i,0.00032439-0.00012976i,0.00056462+7.8913e-05i,3.3248e-05+0.00031006i,7.9858e-06-0.0004987i,0.00072479-0.0009636i,0.0006982-0.00056744i
-0.0021606+0.0032014i,-0.0017104+0.0035268i,-0.00045766+0.0034892i,0.0011517+0.0029772i,0.0016844+0.0015601i,0.0011666+0.0011741i,0.00062981+0.0016381i,-0.00016788+0.0014333i,0.00046263+0.00067348i,0.0014366+0.00028403i,0.002005+0.00058126i,0.0021651-0.00060624i,0.0009735-0.0014094i,0.00023528-0.00086633i,0.00063923-0.00030869i,0.00052079+0.00017966i,8.6312e-06+0.00059367i,-0.00019765+0.00067824i,-7.2864e-05+5.3045e-07i,-0.00036026-0.00021401i,-0.00046769+0.00027645i,-0.00017173+0.00033253i,0.00010432-0.00068655i
0.002467-0.0012094i,0.0020203-0.0030529i,0.0012843-0.0032493i,0.0010497-0.0021742i,0.00091049-0.0011235i,0.00033562+0.00036053i,0.00018056+0.001391i,0.0005785+0.0014754i,0.0016713+0.00097201i,0.0021207+0.00015433i,0.0010357-0.00045915i,0.0002211-0.00043716i,0.00011336-4.5786e-05i,0.00030968-0.00038574i,0.00040518-0.00094105i,-4.2041e-05-0.00026117i,-9.244e-05+0.00076148i,0.00038716+0.0011385i,0.00041805+0.0012477i,3.2692e-05+0.00097035i,0.00026358+0.0004535i,0.00085506+0.00026943i,0.00059924+0.00013707i
-0.00153+0.0015518i,0.00013317+0.0022504i,0.002121+0.002468i,0.0019358+0.0020257i,0.0013125+0.00099602i,0.00065266+0.0008839i,-0.0004078+0.00060188i,-0.00047267+0.00018583i,-0.00017047+0.00034819i,8.5678e-05+0.00034187i,3.3942e-05+0.00011555i,-0.00030713-0.00018111i,0.00021094-0.00067046i,0.00069212-0.00041921i,0.0008407-0.00023499i,0.00043274-0.00070715i,-0.00017178-0.00084611i,-0.00030835-0.00062892i,-0.00030971+1.1579e-05i,-0.00023461+0.00045037i,-0.00016797+0.00051823i,-0.00032284+0.0002833i,-0.00020858+6.7871e-05i
0.00069478+0.0021757i,0.0019631+0.003311i,0.0022155+0.0025405i,0.00156+0.00035955i,0.00062696-9.4606e-05i,-0.00022099+0.00052312i,-4.4004e-05+0.0012653i,-6.7476e-05+0.0010212i,3.5136e-05+0.00074119i,0.00039277+0.00098715i,0.0001915+0.00014618i,-0.00049185-0.00068189i,-0.00076654-0.00038996i,9.668e-05-0.00049613i,0.00020936-0.0015093i,0.0003107-0.0013572i,9.648e-05-0.00028973i,-0.0013186-0.00016731i,-0.00090947-0.00022577i,0.00016298+0.00021815i,-0.00017563+0.00061182i,-0.00052916+0.0007746i,0.00042917+0.00015907i
0.0010808+0.0011491i,0.0015146+0.0026505i,0.0026651+0.0013598i,0.0018491-0.000821i,5.1726e-05-0.00069726i,-0.00045686+0.00043229i,0.0001102+0.00018456i,0.00062419+7.5855e-05i,0.00077118+0.0003303i,0.00078783-0.00028851i,-0.00024854-0.00023469i,-0.00041903+0.00045088i,-0.00030055+0.00095052i,-0.00057592+0.0011517i,-0.0004847+0.00061362i,0.00019436+0.00072063i,0.00073161+0.00055709i,0.00063345+0.00022468i,0.00073306+0.00052273i,0.00079907-0.00019428i,0.00052414-0.00045852i,-0.00027359-0.00012948i,-0.00017821-0.00077399i
0.0013875-0.00089247i,0.0009033-0.0010512i,-0.00071637-4.6091e-05i,-0.0021926+0.00063539i,-0.0020812-3.7842e-05i,-0.00047206+0.00029425i,0.000553+0.0014415i,0.00044084+0.001189i,0.0001395+0.00045775i,0.00016453-2.3909e-05i,0.00060025+7.077e-05i,0.00071247-0.00022308i,3.7473e-05-0.00041121i,-0.0007315+8.9904e-05i,-0.00011512+0.00059951i,0.00041522+0.00069216i,0.00029984+0.00030588i,-0.00032198+7.2628e-05i,-0.00082962-0.00065343i,-0.00035503-0.00022025i,-0.0002247+0.00083683i,-0.00069288+0.00078709i,-0.00017525+0.00066486i
-7.7466e-05-0.00042758i,0.00015041+0.00015261i,0.00073084-0.00027429i,0.00031233-3.5883e-05i,-0.00085523+0.00023552i,-0.00091312+0.00093492i,0.00014718+0.001692i,0.00099844+0.0013013i,0.00061393+0.00061923i,-0.00047151+0.00039806i,-0.00037474-0.00019825i,0.0007866-0.00082627i,0.00045281-0.0011267i,-5.9938e-05-0.00037009i,0.00068317+0.00042442i,0.00079567+0.00047203i,0.0013857+0.00042728i,0.0011399+9.8396e-05i,8.2835e-05-0.00043197i,0.00013571-0.00068594i,-5.4285e-05-0.00035686i,-0.00031378-5.5233e-05i,0.00017839+0.0001085i
-0.00077509+0.00085613i,0.00035097+0.0013813i,0.00047626+0.0013769i,-3.5334e-05+0.0012849i,0.00016052+0.0010357i,0.0027678+0.00084938i,0.0032711+0.0012637i,0.0011266+0.0011484i,0.00027777+0.00050612i,0.0011085-0.00059792i,0.0019367-0.001158i,0.0018155-0.0010389i,0.0013699-0.00057582i,0.0010046-0.00066594i,0.00077437-0.00040975i,0.00063164+0.00024678i,0.00096872+0.00055335i,0.00069545+0.0012664i,-6.1632e-05+0.00063384i,0.00022262-0.00012587i,-3.5389e-05+0.00015239i,-0.00087922+0.00037636i,-0.00023023+0.00040034i
0.00011539-2.4722e-05i,-0.00075007-0.00034134i,-0.00089332-0.0012776i,-0.00066989-0.0029059i,-0.00074474-0.0027224i,-0.00080705-0.00098003i,-0.00066514+0.0010261i,-0.00037171+0.0016237i,6.0039e-05+0.00090632i,-7.7675e-05+0.00054949i,-0.00041889+0.00030918i,-0.00057085+0.00024502i,-0.00050483-5.8134e-05i,-0.0010439+0.00022355i,-0.0010776+0.00054313i,0.00027661+0.00089535i,0.00030417+0.0011013i,-0.00021042+0.00096182i,0.00061742+0.00062501i,0.0016594+7.5662e-05i,0.0014093-0.00047542i,4.5532e-05-5.1903e-05i,-0.00095819+0.00027664i
-0.0012135-0.0016588i,-0.0010437-0.001443i,-0.00060906+5.4601e-05i,-0.00072815-0.00015595i,-0.0010264-0.00060922i,-0.00062212+0.0002776i,-0.00044798+0.0012703i,-0.00095465+0.0010874i,-0.00097144+0.0011324i,0.0003487+0.00060933i,0.0016815+0.00017485i,0.0010329+9.9104e-05i,0.0005484-0.00046478i,0.00052325-0.00036623i,-3.2043e-05+3.1709e-05i,-0.00018088-0.00016488i,4.6006e-05-0.00029564i,0.00016111-5.0084e-05i,1.0542e-05+0.00039473i,-0.00018219+0.00015541i,-2.7842e-05-0.00074643i,0.0001698-0.00044152i,-8.439e-05+0.00053939i
1.2781e-05+0.00077259i,-3.1094e-05+0.002232i,-0.0001503+0.00334i,-0.00064754+0.0030567i,-0.00077659+0.0023942i,-0.00025477+0.0018192i,-3.1436e-05+0.0017336i,-0.00067437+0.0022266i,-0.00072663+0.0013722i,-0.00019307+0.00037109i,0.00029093+7.2181e-05i,0.00030263+0.00030857i,0.00026223-0.00058138i,0.00052945-0.0011062i,0.00060884-0.00027061i,0.00051228+0.00067501i,0.00053614+0.00095732i,6.2053e-05+0.00045232i,-0.001279-2.5965e-05i,-0.0018365-0.0010361i,-0.001241-0.0013812i,-0.00054805-0.00014138i,-0.00028566+0.00066302i
-0.00051847+0.0024055i,0.00055864+0.0027847i,0.0015011+0.0024225i,0.00049068+0.00093787i,-0.00010823-0.00055278i,0.00041515-0.00090737i,0.00025743+0.00077525i,0.00032894+0.0014258i,0.0006049+0.00071709i,0.00053766+0.00012021i,0.0007674-0.00015551i,0.0011494-0.0002521i,0.0011251-0.00045016i,0.0007371-0.00085096i,0.00051917-0.00079325i,-0.00018114-0.00019514i,-0.00076867+7.0153e-06i,-3.6072e-05+2.3455e-05i,0.00077009+0.00015107i,0.00046326-7.0221e-05i,0.00022977-0.00042244i,0.0001014-0.00030432i,0.00016209-0.00029184i
-0.0018991+0.0022522i,-0.0022882+0.0020831i,-0.0014639+0.0018526i,-0.0001739+0.00094985i,0.00032112-0.00020375i,-0.00076019+0.00045223i,-0.001343+0.0013939i,-0.00054292+0.0011835i,-7.1399e-05+0.00059999i,-0.00048151-0.00058732i,-0.00075259-0.00105i,-0.00089876-0.001577i,-0.00061948-0.0018222i,-0.00077207-0.0010172i,-0.0008776+6.6165e-05i,-0.00033796+0.0001912i,0.00022737-0.00024879i,4.8819e-05-0.00050987i,-8.6246e-05-0.00063812i,2.9342e-05-0.00029318i,2.1568e-07+0.00032594i,0.00020148+0.00090739i,0.00022306+0.00061603i
-0.0024055-0.0012078i,-0.0011962-0.00061544i,-0.0007532+0.0010574i,-0.00021533+0.00072715i,0.00059505+0.00034381i,0.0019901+0.00061665i,0.0020693+0.0009705i,0.00050471+0.00070772i,-0.00014245+0.00050478i,0.00025573-9.3618e-05i,0.00059797-0.00099173i,0.00040285-0.0015957i,5.5351e-05-0.0014017i,0.00044647-0.00075823i,0.0007473-0.00059794i,0.00051234-0.0011279i,-0.00010178-0.0003602i,-0.00027324+0.00012205i,0.00012025+0.00027761i,0.00056005+0.00077982i,0.00041492+0.00045654i,-1.3764e-05-2.2784e-05i,3.1159e-05-0.00046576i
0.0010015-0.00053204i,0.00099048+1.8849e-05i,0.001038+0.0005113i,0.00059194+0.00092749i,-0.00024952+0.00062159i,-0.00086255-9.2224e-05i,-0.00057145-1.4746e-05i,-0.00046564-0.00032519i,-0.00046206-0.00077237i,-0.00060397-0.00095571i,-0.00080233-0.00036582i,-0.00094961+7.569e-05i,-0.0009126-9.6026e-05i,-0.00028453-0.00030709i,-0.00024237-0.00017881i,-0.00060786-0.00025686i,-1.4491e-06-8.102e-05i,5.6781e-06+0.00082826i,-0.00030032+0.00033739i,-0.00024255-0.00055829i,0.00026385+0.00011906i,0.00072461+0.00050202i,0.0013542+0.00022871i
0.0020017+0.0049195i,0.0030002+0.0054409i,0.0045628+0.0045611i,0.0042896+0.0012012i,0.0028445-0.00036436i,0.0015438-0.00053955i,0.00055581-0.00034353i,0.00016884+0.00054715i,-0.00017293+0.00030261i,0.00021719-0.00060132i,0.00011576-0.001281i,-0.00068921-0.0015541i,-0.00072103-0.0019237i,-8.4831e-05-0.0028944i,-0.00034819-0.0023047i,-0.0010977-0.00037806i,-0.00068319+5.0605e-05i,0.00040156-0.00051361i,0.00021503-0.00061275i,-0.0003886-0.00012267i,-0.00036921+0.00091383i,0.00042887+0.00095836i,0.00080162+0.00046053i
0.0043115-0.004644i,0.0025301-0.0066345i,-0.0020772-0.010429i,-0.005468-0.0074125i,-0.0069354-0.0013843i,-0.0042852+0.0037639i,-0.00014839+0.0048157i,0.0012029+0.0030386i,0.00057506+0.0011618i,-0.0011977+0.00098316i,-0.0021056+0.0016943i,-0.0010851+0.0016214i,0.00092018+0.0030356i,0.002023+0.0048994i,0.0019595+0.0055005i,0.00063573+0.0043037i,-0.00035009+0.00158i,0.00055196-3.3479e-05i,0.0018953+0.00038693i,0.0017688-5.9271e-05i,0.00044232-0.0012287i,-0.00068943-0.00079767i,-0.0014181+0.00025678i
0.00011545-0.00096743i,-0.00021155-0.0025693i,-0.0014824-0.0032783i,-0.0020233-0.0019917i,-0.002572-7.8113e-05i,-0.0015298+0.0023005i,-0.00038143+0.0034584i,0.00013341+0.0026261i,0.00057655+0.00052477i,-0.00023051-6.1192e-05i,-0.00028223+0.00025584i,0.00046799-0.0002133i,0.0010319+2.6883e-05i,0.0013381+0.0011466i,0.00071708+0.0012238i,0.00017015+0.00058912i,-5.2326e-05+6.1131e-05i,0.00047787+0.00055195i,0.00089648+0.0011602i,0.00052913+0.00011828i,-0.00035006-0.00029952i,-0.0013003+0.0001465i,-0.00067098+0.00050694i
