-0.0032704+0.00013026i,-0.0021528-0.00011363i,-0.0033312-0.00050218i,-0.003567+2.2799e-05i,-0.0020581+0.00077346i,-0.00055177+0.0011127i,0.00021159+0.0010805i,0.00080097+0.0007844i,0.0010611+0.00066648i,0.00052009+0.00070161i,0.00033861+0.00029885i,-0.00019457-1.3763e-05i,-0.00042021+0.00011073i,0.00020654+0.00049405i,-0.00028426+0.0011224i,-0.00058993+0.00073503i,1.6396e-05+0.00068253i,-0.0007652+0.00051125i,-0.0011729+0.0001584i,-0.00039809+0.00041907i,-0.00051522+0.00015601i,-0.0006796-0.00024312i,-0.00038533+2.9241e-05i
-0.00060825+0.00028735i,-0.001092+0.00038839i,-0.001562+4.0231e-05i,-0.00021908-0.00055632i,0.00099396+0.00023773i,0.00022695+0.0012855i,-0.0010809+0.0013069i,-0.0032812+0.0014809i,-0.0046075+0.0017208i,-0.002409+0.00080815i,0.00010751-0.00052621i,-0.00018461-0.0010309i,-0.001154-0.00018012i,-0.00095412+0.0011191i,-0.00061197+0.0015423i,0.00013602+0.0024745i,-0.00039686+0.0028775i,-0.0013362+0.0016336i,-0.00063738+0.00046288i,0.00030154+0.0001728i,0.001091+0.00046817i,0.00061093+0.00068328i,-6.1255e-05+0.00058299i
0.00040933+0.0022686i,0.0004525+0.0021642i,0.00022774+0.0033225i,0.0011025+0.0029432i,0.0017723+0.0011687i,0.0013843-0.0001043i,0.00096509+0.0017391i,0.0015199+0.0049934i,0.0024081+0.006169i,0.003031+0.0037902i,0.0016715+6.7999e-05i,-8.2197e-05-0.00060528i,0.00047416+0.00095172i,0.0011441+0.0016077i,0.001356+0.0015704i,0.0017206+0.0021542i,0.0016184+0.0018635i,0.0011256+0.00073041i,0.00013918-5.2267e-05i,5.9187e-05-0.00072393i,0.00041365-0.00017579i,9.8809e-06+0.00058708i,-0.00037254+0.00063963i
-0.0010324-0.0014688i,-0.00051978-0.00028662i,-0.00026366+7.308e-05i,0.00031947-0.00065455i,0.00071966-0.00053645i,0.001476-0.0001056i,0.003636+0.0011593i,0.0071977+0.0023974i,0.0079881+0.0019285i,0.0048971+0.00069131i,0.0012299+0.00015044i,-0.00034115-1.2981e-05i,-8.7142e-06+1.3252e-05i,0.000843+0.00029827i,0.0015859+0.00036665i,0.002055+0.00023225i,0.0019872-2.0076e-05i,0.001487-0.00014444i,0.001006-8.4773e-05i,0.00025994-0.00037812i,-0.00028087-0.00036631i,-0.00019616+0.00027336i,0.00017283+0.0011388i
-0.0031412-0.0020969i,-0.0036229-0.0027801i,-0.0044138-0.0034033i,-0.0029703-0.0023601i,-0.0015787-0.0011705i,-0.00089695-0.0011481i,0.0017373-0.0024228i,0.0055164-0.0047511i,0.0062221-0.0060678i,0.0034797-0.004289i,0.00061317-0.0016087i,0.0002598-0.0005526i,0.00077075-0.00041026i,0.00035819-0.0006455i,1.6378e-05-0.0011288i,-0.00042842-0.0016873i,-0.00078619-0.0014172i,-0.00084055-0.0015135i,-0.00046043-0.0012845i,-0.00046776-0.00034276i,-0.00057752-0.00031772i,-0.00036418-0.00019855i,-0.00029883+6.7292e-05i
0.0010918-0.00065161i,0.0013494-0.00094327i,0.0021734-0.0013966i,0.0016556-0.0013385i,0.00012525-0.0016965i,-0.00050393-0.0021904i,-0.0001701-0.0030114i,-0.00072377-0.006175i,-0.0017516-0.0075708i,-0.0013876-0.0051322i,-0.00042937-0.0024426i,0.00029644-0.0013023i,0.00018827-0.00082364i,-0.00062071-0.00056303i,-0.0018341-0.00096483i,-0.0029118-0.00087953i,-0.0028834-0.00012724i,-0.0022565+0.00061883i,-0.0011742+0.00092065i,-0.00075611+0.00083001i,-0.0011556+0.00089687i,-0.0010513+0.00047545i,-0.00063617-0.00014687i
-0.0022853-0.00077949i,-0.0019906-2.5708e-05i,-0.0030377+2.1445e-05i,-0.0029154+0.00093774i,-0.00086509+0.0012432i,0.00054069+0.00027924i,-0.0011929-0.00079237i,-0.0041425-0.0015086i,-0.0058678-0.0021866i,-0.0052599-0.0017649i,-0.0017919-0.00050422i,0.00072936+0.00018226i,-7.9485e-05+0.00061176i,-0.0017462+0.00088751i,-0.0019875+0.0011619i,-0.0018217+0.0016392i,-0.0019257+0.0015227i,-0.0019254+0.00080513i,-0.0014218+0.0011792i,-0.00080187+0.0017701i,-3.1983e-05+0.0015585i,-0.00033529+0.00074354i,-0.0005589-0.00064562i
-0.0012133-0.00019181i,-0.0017176+0.00094328i,-0.0014863+0.0011094i,-0.0011764+0.0016905i,-0.0012494+0.0019279i,-0.0006072+0.00068264i,-0.00019913+0.0016277i,-0.0022235+0.0042364i,-0.0037607+0.0054159i,-0.0026596+0.004097i,-0.00091962+0.0017748i,-0.00092156+0.00080313i,-0.00099087+0.001374i,-0.0010581+0.0015808i,-0.0006518+0.0012687i,0.0007334+0.0015192i,0.0015881+0.0016218i,0.00077219+0.0013456i,0.00025503+0.00031744i,0.0010267-0.00046875i,0.0013448-0.00034566i,0.0015161-0.00027126i,0.0012671-0.00030358i
0.00064129-0.0010417i,0.00083738-0.0017034i,0.00096765-0.00079118i,0.0012117-0.00083026i,0.0010235-0.0016812i,8.8979e-05-0.0014432i,0.00086891-0.00028406i,0.0025496+0.0027403i,0.0027621+0.0056567i,0.0024533+0.0049904i,0.0017613+0.0020665i,-0.00011499+0.00056708i,-0.00042151+0.00044448i,0.0010137-0.00014056i,0.0017966-0.00074324i,0.0021171-0.0010962i,0.0016986-0.0011093i,0.00091807-0.00059598i,0.00066051-0.00077186i,0.00012555-0.0011354i,-0.0012676-0.00087331i,-0.0017988-0.0001205i,-0.00012984+3.2698e-05i
-0.00095395-4.4626e-05i,-0.00030147-0.0001677i,-0.00011028-0.00087286i,0.00046418-0.00051497i,0.0011354-0.00052859i,0.0017361-0.0010757i,0.0032674-0.00050636i,0.0056646+0.00070814i,0.0078372+0.0011395i,0.0068987-0.00016359i,0.0035584-0.0013681i,0.00059456+9.0288e-05i,-0.00019923-0.00012557i,3.6395e-05-0.001961i,1.6137e-05-0.00192i,5.23e-05-0.001852i,-0.00014128-0.0024131i,-1.875e-05-0.0022158i,-0.00038391-0.00095742i,-0.0012968+9.3549e-05i,-0.0011099+0.00028421i,-0.00075914+0.00037352i,0.00035017+0.00057758i
-0.00011028+0.00012669i,-0.00051486-0.00075053i,-6.2731e-05-0.00091468i,0.00033104-0.0009251i,-0.00057201-0.0012781i,-0.00087824-0.0010248i,0.00090194-0.0019851i,0.0034343-0.0044477i,0.0051877-0.0057174i,0.0041848-0.0051432i,0.0013827-0.0031462i,-4.783e-06-0.00062963i,-0.00053087-0.00063277i,-0.0013831-0.0023378i,-0.0018296-0.0021721i,-0.0016206-0.0010233i,-0.0019615-0.00073135i,-0.0016453-0.00029547i,-0.00015816+3.8212e-05i,0.00039936+0.00085467i,-0.00019859+0.001934i,-0.00059379+0.0010645i,-0.00023812-7.9335e-05i
0.00038113-0.0016441i,0.00010532-0.0016871i,-0.0013044-0.0014081i,-0.0029919-0.00071478i,-0.0030957-0.00039959i,-0.0020089-0.00047853i,-0.00083032-0.00080759i,-0.00069788-0.003387i,-0.0017068-0.0061043i,-0.0020668-0.0058661i,-0.00062842-0.0032579i,-0.00012546-0.0020049i,-0.00088343-0.0013487i,-0.0023278-2.6619e-05i,-0.0026153+0.0008499i,-0.0020766+0.0016995i,-0.0017272+0.0021151i,-0.0011047+0.0020625i,-0.00063126+0.0016638i,-0.00015339+0.00082807i,-0.00020471+0.00081053i,2.2858e-05+0.0011148i,-0.00036198+0.00078604i
0.0010739-0.0016685i,0.00099983-0.00095856i,0.0012143+0.00024326i,0.0010393+0.00092033i,0.00099998-0.00041559i,0.00064967-0.00087314i,-2.7684e-05-0.00026719i,-0.0017226-0.00063063i,-0.0038761-0.0015597i,-0.0047363-0.0015194i,-0.0024903-0.00078432i,0.00033782-0.00018955i,0.00090012+0.00050243i,0.00030516+0.0017997i,3.5809e-05+0.0028099i,0.00055167+0.0028169i,0.00032908+0.0018693i,-0.00072951+0.0014908i,-0.00013307+0.0016256i,0.00097322+0.00061361i,0.00077082-0.00028847i,0.00017775-7.6654e-06i,-0.00052273+0.00095348i
-0.001766-0.00062087i,-0.00090033+0.0013676i,-0.00011524+0.0022429i,0.0012614+0.0017308i,0.0013575+0.00075974i,0.00082244+0.00020853i,0.00051635+0.0007879i,0.00031717+0.0023895i,-0.001019+0.0048754i,-0.0020502+0.0048497i,-0.0012715+0.0025526i,0.00047199+0.00044254i,0.0016109-0.00033742i,0.0023917+0.0011847i,0.002663+0.0022341i,0.0022875+0.001141i,0.001587+4.6357e-05i,0.00088337+0.00011347i,0.00019886+0.00050245i,0.00040826+0.00028213i,0.00010975-0.00036324i,-0.0010538-0.00055179i,-0.00069574-3.8449e-05i
0.00090385-0.0015333i,0.001028-0.0018742i,-0.00010277-0.0020503i,0.00011925-0.00093208i,8.5023e-05-0.00026001i,0.00032479-0.0011146i,0.003134-0.0005015i,0.005576+0.0023254i,0.0060317+0.0041187i,0.0045309+0.0041391i,0.0019986+0.0019953i,0.00012845-0.00040055i,0.0003609-0.0011609i,0.00099319-0.001535i,0.0011294-0.0028307i,0.0012424-0.0034673i,0.0010472-0.0025019i,0.00072828-0.0016588i,0.00049145-0.0012123i,-8.1021e-05-0.00034468i,-0.0010571+0.00014836i,-0.0011014+0.00064071i,-4.6097e-05-9.3507e-05i
-0.0029824+0.0023263i,-0.0020796+0.0020295i,-0.0013737+0.00072324i,-0.00014098-0.00045386i,0.0016718-0.0014893i,0.0018419-0.0029515i,0.0026678-0.0033523i,0.0055233-0.0029573i,0.0074856-0.0023001i,0.0068416-0.0013705i,0.004332-0.00086845i,0.0014181-0.00090309i,-0.00010386-0.00065643i,-0.00043849-0.0014615i,-0.00073963-0.0027211i,-0.00053597-0.0024112i,-0.00087007-0.0017709i,-0.001729-0.0017173i,-0.0014374-0.0014149i,-0.00084065-2.2037e-05i,-0.00060657+0.0011276i,0.00032631+0.0015662i,0.000798+0.0011784i
-0.0013699+0.0012411i,-0.0012099-0.00035844i,-0.0015802-0.00037357i,-0.0016928-0.00088656i,-0.00094949-0.0017866i,-0.00073804-0.0010527i,-0.00021363-0.0018262i,0.00085565-0.0046546i,0.0013183-0.0062509i,0.0014037-0.0053061i,0.0004072-0.0025975i,-0.00062508-9.7386e-05i,-0.0016923+0.00051046i,-0.0024362+0.00054516i,-0.0026461+0.00066435i,-0.0028204+0.00085311i,-0.0023899+0.00063505i,-0.0013094+0.00013942i,-0.00030563+0.00039929i,0.00081338+0.0013222i,0.0011317+0.0017319i,0.0005218+0.0010636i,-0.00020781+0.00087472i
0.0025465-0.00035273i,0.0025378+0.00076742i,0.0017874+0.0014117i,-0.00051191+0.0023636i,-0.002906+0.0025783i,-0.0034134+0.0025686i,-0.0029834+0.0017912i,-0.0038045-0.00093892i,-0.0045803-0.0030273i,-0.0034306-0.0032984i,-0.0017592-0.0025707i,-0.0011184-0.0014691i,-0.00050642-0.00069931i,-0.00027293+0.0001296i,-0.00095975+0.0018641i,-0.0013085+0.0026707i,-0.00059573+0.0015343i,4.4497e-05+0.00068025i,-0.00032376+0.0010964i,-0.00027519+0.00076327i,9.9488e-05+0.00016866i,0.00010258-0.00033635i,-6.2799e-05-0.00076855i
-0.0013969+0.0013578i,-0.0018889+0.0018343i,-0.0018822+0.0022645i,-0.0005271+0.0017001i,0.0010875+0.00030714i,0.0017931+0.00058578i,0.00113+0.0034659i,-0.00081973+0.0048442i,-0.0024302+0.0043624i,-0.0033209+0.0038767i,-0.0023959+0.0021295i,-0.00011654+0.00097568i,0.00065596+0.00087989i,0.00044743+0.0018429i,0.00069293+0.0030164i,0.001063+0.0028209i,0.00061673+0.0023002i,-0.00040078+0.0017635i,-0.00020098+0.00073823i,-0.00038613+0.00013568i,-0.00037019-0.0003569i,0.00048194-0.00091807i,0.00021723-0.00047385i
0.00025045-0.00030526i,0.00061761-0.00074405i,0.0006567-0.0012414i,0.0013609-0.001081i,0.0019326-0.0015242i,0.0032329-0.0015495i,0.0060953+0.00089141i,0.0070379+0.0037354i,0.0054139+0.0052178i,0.0035251+0.0047313i,0.0019504+0.0024168i,0.00098906+0.00010102i,0.0013984-0.00056211i,0.0026906-0.00052397i,0.0031865-0.00025369i,0.0020263-0.00030445i,0.0011117-0.00066999i,0.001461-0.00049748i,0.0011593-0.00028986i,-0.00029629-0.00028492i,-0.00065364-0.00041355i,-0.0010065-0.00050031i,-0.0014577-0.00055241i
-0.00094723-0.00088141i,-0.00072391-0.0019032i,-0.00062456-0.0013841i,0.001033-0.00077673i,0.0021207-0.0020703i,0.0016423-0.0039262i,0.0026911-0.0045799i,0.0056888-0.0036942i,0.0073763-0.002831i,0.0060241-0.0016548i,0.0032392-0.00069882i,0.0010394-0.0015893i,0.00085581-0.0018445i,0.0019322-0.0012951i,0.0021712-0.0017321i,0.0017121-0.00238i,0.00082684-0.0022671i,0.00065464-0.001585i,0.00067857-0.00067807i,-0.00018555-0.00014585i,-0.00059958-0.00066693i,-0.00027736+5.7108e-05i,4.0839e-05+0.00079403i
-0.00061004-0.00060692i,-0.00063811-0.00046826i,-0.0016087-0.001225i,-0.0023704-0.0016895i,-0.0016917-0.0017042i,-0.0018986-0.0024357i,-0.0022245-0.0047206i,-0.00050184-0.0075362i,0.0015241-0.0078058i,0.0021244-0.0055481i,0.0010571-0.0028801i,-0.0011288-0.0011809i,-0.001826-0.00080621i,-0.0016162-0.0010753i,-0.0018945-0.0021282i,-0.0023319-0.0025089i,-0.0019591-0.0019312i,-0.0013228-0.0011402i,-0.00097486-0.00039147i,-0.00044328+0.00034885i,-0.00029528+0.0013056i,-1.8626e-05+0.0011766i,0.00094124-0.00028356i
-0.00043977+0.0010372i,-0.00019459+0.0024923i,-0.00075605+0.0028913i,-0.0015968+0.0021701i,-0.0018314+0.00082711i,-0.0030599+0.00091528i,-0.0038915+0.001577i,-0.0037254-0.00061582i,-0.0035877-0.0023962i,-0.0028565-0.001926i,-0.0013462-0.00084259i,-0.00084076+0.00017342i,-0.00084964+0.0010534i,-0.0016052+0.0018061i,-0.0031739+0.0017087i,-0.0030119+0.0011174i,-0.0021531+0.0011556i,-0.001981+0.0016974i,-0.0019891+0.0025645i,-0.00071324+0.0026218i,0.00047967+0.0013376i,0.00088613+0.00069884i,0.0014597-0.00023651i
-0.0010828+0.003415i,-0.0011488+0.004418i,0.00023697+0.0046494i,0.0014676+0.0034995i,0.002001+0.0020522i,0.0028149+0.0016733i,0.0021789+0.0033016i,-0.00043817+0.0035179i,-0.0027298+0.0029347i,-0.0027547+0.003269i,-0.0014394+0.0022655i,-0.00091691+0.0014671i,-0.00041436+0.0010741i,-0.00011767+0.0013351i,-0.0007971+0.0022174i,-0.00075157+0.0030873i,-0.00033265+0.00383i,0.00044617+0.0040043i,0.00098671+0.002924i,0.0011672+0.0007929i,0.0011043+0.00031841i,0.00045182+0.0011552i,-0.00019618+0.00075402i
0.00057136+0.0016605i,-0.00030953+0.0021172i,9.1672e-05+0.0029876i,0.0012573+0.0022985i,0.0016921-9.0708e-05i,0.0022898-0.00068817i,0.0041966+0.0012041i,0.0043829+0.0040291i,0.0035577+0.0050224i,0.0028923+0.0043028i,0.001647+0.002274i,0.0014359+0.00044279i,0.0017445+0.00039781i,0.0015511+0.00090509i,0.0018347+0.0015977i,0.0025447+0.0019151i,0.0025962+0.0018137i,0.002355+0.0015833i,0.0017183+0.00060949i,0.00070905-0.0001323i,0.00025807-9.5244e-05i,-0.00024299+0.00038207i,-0.00061791+0.00094492i
0.00026712-0.00064544i,0.00025956+0.00015253i,0.00011761-0.00058487i,0.0015653-0.0014896i,0.0018454-0.001851i,0.0010253-0.0024733i,0.0020814-0.0022346i,0.0052213-0.00087643i,0.0062894-0.00011421i,0.0042583-0.00041365i,0.0019666-0.0010797i,0.00033174-0.0022628i,3.9474e-05-0.0022083i,0.0011063-0.00088432i,0.0022631-0.0010699i,0.0026059-0.0011243i,0.0021294-0.00074456i,0.001521-0.00087647i,0.00077046-0.0013427i,-0.00041116-0.0011102i,-0.0012975-8.8112e-05i,-0.00092999+0.00058818i,0.00010919+0.00093175i
0.00056423+0.0022138i,-3.4403e-05+0.00065121i,0.00096202-0.0002513i,0.0028605-0.0011463i,0.0033203-0.0028257i,0.0013443-0.002803i,0.00058096-0.001804i,0.0027626-0.002675i,0.0040448-0.0046696i,0.003142-0.0053952i,0.0012633-0.0035302i,-0.00069747-0.0019669i,-0.00083999-0.00206i,-0.00047993-0.0031018i,-0.00079417-0.0032i,-0.0010801-0.0028807i,-0.00089217-0.0031196i,-0.00070593-0.002323i,-0.001081-0.00097273i,-0.00060253-0.00035924i,0.0001557+7.6258e-06i,0.00107-0.00024355i,0.0012786-0.00083154i
-0.0018397-0.0037683i,-0.00055598-0.0035468i,-0.0021629-0.0037838i,-0.0029633-0.0036045i,-0.0011117-0.0025305i,-0.0009234-0.0004873i,-0.0013662-0.00054895i,-0.0012357-0.0034016i,-0.0017153-0.00506i,-0.0026003-0.004117i,-0.0019321-0.0021004i,-0.0013403-0.00031665i,-0.0019774-4.2479e-05i,-0.0030767-0.00068491i,-0.0040939-0.00079223i,-0.0035803-0.00036869i,-0.0029419-0.00068576i,-0.0024281-0.00045558i,-0.0017578+0.00057447i,-0.00077451+0.00072722i,0.0007569+0.00073457i,0.00066313+4.9039e-05i,-0.00013708-0.00095518i
-0.0020809+0.00029658i,-0.0025618+0.00068167i,-0.003558+0.0011188i,-0.0046238+0.0017131i,-0.0040146+0.00066043i,-0.0025657-0.00023449i,-0.002257+1.1478e-05i,-0.0028857-0.00075021i,-0.0030995-0.00059999i,-0.0023817+0.001781i,-0.0012906+0.0024595i,-0.00074598+0.0019784i,-0.0012401+0.0025498i,-0.0014807+0.0032163i,-0.001112+0.0028236i,-0.0014787+0.0018763i,-0.00097042+0.0021305i,-0.00065298+0.0024883i,-0.00096873+0.0016719i,-0.00061526+0.0009689i,0.00012345+0.0003072i,0.00017723-2.6273e-05i,-0.00086832-0.00019364i
0.003487+0.0023907i,0.0049053+0.0031149i,0.0060345+0.0036655i,0.0037616+0.0021177i,-0.00012261-0.00018745i,-0.0017841-0.0010114i,-0.00087731+0.00097039i,0.00026604+0.0031595i,0.00047159+0.0046224i,0.00071308+0.0052418i,2.1628e-05+0.0033677i,-0.0004638+0.0011932i,0.0013932+0.0018965i,0.0027518+0.002377i,0.0025427+0.0015846i,0.0031007+0.0013816i,0.0032598+0.0019859i,0.0022089+0.0024547i,0.0016613+0.0026608i,0.000805+0.0014488i,-0.00046814+0.00015531i,-0.001139+0.00034634i,-0.0006066+0.0011008i
-0.0022228+0.0035365i,-0.0019801+0.0042966i,0.00041067+0.0062227i,0.003435+0.0049964i,0.0053528+0.0024702i,0.0044261+0.0015685i,0.0044802+0.0026434i,0.0064073+0.0047144i,0.0065425+0.005836i,0.0050245+0.0042102i,0.0036533+0.0016739i,0.0023743-0.00027043i,0.0021861-0.0011517i,0.0032713-0.0013988i,0.0031013-0.001208i,0.0027788-0.00013719i,0.0032969+0.00043937i,0.0030618+0.00071413i,0.001783+0.00050265i,0.0001063+0.00054141i,-0.00029391+0.00084896i,0.00061333+0.00092548i,0.0015522+0.00043027i
-0.0020319+0.00048577i,-0.0013462+0.00019795i,0.00049092-0.00031834i,0.003332-0.0012064i,0.0064257-0.0020492i,0.007399-0.0023974i,0.0072443-0.00204i,0.008262-0.0010776i,0.0078587+0.00034066i,0.0048977-0.00054263i,0.0016559-0.0019041i,-0.00014815-0.0016403i,-0.00033023-0.0021847i,-0.00018525-0.0023894i,-0.00035273-0.0015813i,4.395e-05-0.00029928i,0.00097288-0.00092493i,0.0013417-0.0020353i,0.00055263-0.00029893i,-0.00076159+0.0016423i,-0.00092632+0.0011762i,-0.00096589-2.4146e-05i,-0.00046066-0.00051424i
0.0027634+3.0195e-05i,0.0026624-0.0018074i,0.00099467-0.0032665i,0.00013647-0.0049042i,-7.2272e-05-0.0061605i,0.00037454-0.0073111i,0.0014359-0.0092042i,0.0028173-0.009682i,0.0028619-0.0085068i,0.001001-0.0071772i,-0.0010438-0.0055567i,-0.0021993-0.0029821i,-0.0022873-0.0010347i,-0.0023863-0.0003248i,-0.0026074-0.00021366i,-0.0028962-0.00070563i,-0.0028538-0.00091298i,-0.0019028-0.00096853i,-0.0014419-0.00024187i,-0.0012645+0.00092343i,-0.00016416+0.00083356i,-0.00014501+0.00029i,-0.0013525-0.00058439i
0.0034276+0.00083303i,0.0037307+0.0004572i,0.0013219-0.00014246i,-0.0025609-0.0013141i,-0.0053699-0.0032079i,-0.0073675-0.004558i,-0.0082311-0.0048572i,-0.0074916-0.0066097i,-0.0054865-0.0074909i,-0.0039785-0.0057347i,-0.0040106-0.0028841i,-0.0042351-9.7263e-05i,-0.0037918+0.0019748i,-0.0022836+0.0025144i,-0.0015588+0.0016203i,-0.0023093+0.00081133i,-0.0034778+0.00090539i,-0.0039412+0.0015126i,-0.0032412+0.00080511i,-0.0016244+0.00028573i,-0.00076298+0.00055999i,-0.00093575+0.00067374i,-0.00058591+0.00060507i
0.0030522+0.0017385i,0.0036993+0.0035937i,0.0043388+0.0037181i,0.0010701+0.002675i,-0.0044196+0.0023514i,-0.0083674+0.0042317i,-0.009478+0.0070032i,-0.0095838+0.0061718i,-0.0074031+0.0018642i,-0.0036441+0.00050358i,-0.00089496+0.0022569i,0.00010908+0.0030082i,0.00093118+0.0026363i,0.0018766+0.001508i,0.0013848+4.7742e-05i,0.00069965+9.1224e-05i,0.00038801+0.001561i,0.00040967+0.0015757i,0.00074584+0.00067445i,0.00078811+0.00081498i,0.00071083+0.0009375i,0.0013581+0.00084933i,0.0011702+0.0010192i
-0.0017666-0.00052334i,-0.0031032+0.0010098i,-0.0026423+0.0041062i,-0.00010038+0.0068716i,0.0017914+0.0073849i,0.0029887+0.0082427i,0.0050148+0.011923i,0.0047079+0.012979i,0.0023249+0.010108i,0.0021591+0.006659i,0.0039468+0.0034486i,0.0046541+0.00050677i,0.0042274-0.001956i,0.0042188-0.0025055i,0.0035631-0.0016755i,0.0018831-0.0010302i,0.0016953-0.0012066i,0.0025553-0.0011951i,0.0020662-0.00036795i,0.0014703+0.00037663i,0.0013652+0.00027875i,0.0015749-0.0011341i,0.0017864-0.0020035i
0.0019683-0.0027063i,0.0030561-0.0051522i,0.0051299-0.0051728i,0.0077293-0.0027439i,0.0096975-0.0011591i,0.011203-0.0007112i,0.012847+0.00014799i,0.013805+0.0028866i,0.011322+0.0056638i,0.0065649+0.0042544i,0.0035711+7.1857e-05i,0.0019714-0.00309i,0.00090214-0.0041956i,0.00040799-0.0039852i,0.00036242-0.0036397i,0.00061154-0.0032353i,0.0018927-0.0026656i,0.0026469-0.0025622i,0.0016179-0.0021098i,0.00017617-0.0012155i,-0.0012082-0.001126i,-0.0020547-0.0015319i,-0.0013785-0.0015978i
-0.0022911+0.00012336i,-0.0012189-3.6405e-06i,-0.00013562-0.0017778i,0.00096495-0.004849i,0.0029798-0.0081015i,0.0050049-0.010262i,0.0067087-0.01233i,0.0094164-0.011424i,0.0097739-0.0066732i,0.0056271-0.0025275i,0.00074299-0.00147i,-0.0026177-0.0019972i,-0.0039592-0.0020554i,-0.0033208-0.0003664i,-0.0017942+0.001527i,-0.00085482+0.002004i,-0.00080501+0.00070677i,-0.00068934-0.00096455i,-0.00042667-0.0010344i,-0.00062649+0.00011591i,-0.0014959+0.00081941i,-0.0019555+0.0010292i,-0.001808+0.0012384i
-0.0021463+0.0021478i,-0.0034025+0.0011724i,-0.0056114-0.00076969i,-0.0063077-0.003209i,-0.0060447-0.006046i,-0.0065697-0.007766i,-0.0067286-0.0090864i,-0.0044925-0.011655i,-0.0013369-0.011895i,-0.00076589-0.0073587i,-0.0026232-0.0028156i,-0.0044586+0.00057765i,-0.0040512+0.0032537i,-0.002244+0.0039659i,-0.0012529+0.0041664i,-0.00081482+0.0044057i,-0.0011856+0.0031298i,-0.0016255+0.0024771i,-0.001731+0.0022906i,-0.0011549+0.0013374i,-0.00070321+0.001154i,-0.00085835+0.00238i,-4.7969e-05+0.0021777i
-0.0025986+0.0027574i,-0.0031949+0.0041089i,-0.0038833+0.0058879i,-0.0049211+0.005122i,-0.0064184+0.0026217i,-0.0076424+0.0014545i,-0.0097005+0.00047455i,-0.011169-0.002296i,-0.0095728-0.0050247i,-0.006023-0.0036752i,-0.0028927+0.00067084i,4.0304e-05+0.004251i,0.0022388+0.0059992i,0.0024697+0.0049722i,0.0019842+0.0027966i,0.0010699+0.0011051i,-0.00019396+0.0016343i,0.00016888+0.0027186i,0.00055084+0.0023815i,0.00056085+0.0019483i,0.00057089+0.0016392i,0.00040211+0.0010367i,0.00060071+0.00071922i
-0.0018512+0.00070973i,-0.0039437+0.0019969i,-0.0042528+0.0062194i,-0.0021578+0.010722i,-0.0011713+0.013028i,-0.0017247+0.011757i,-0.0038012+0.010114i,-0.0066095+0.0091374i,-0.008392+0.0069831i,-0.005992+0.003599i,0.00015616+0.0013469i,0.0044265+0.0013683i,0.0049567+0.0013809i,0.003329+0.00023233i,0.00089414-0.0014191i,-0.00059287-0.0025335i,-0.00055133-0.0019922i,0.00023066-0.00050438i,0.00097992+0.00014618i,0.0011202+0.00035528i,0.0007024+0.00033449i,0.00083991-0.00070454i,0.00050473-0.0017309i
0.00048857-0.0012305i,0.0027863-0.00098162i,0.0045128+0.0016745i,0.0065734+0.0046353i,0.0071326+0.0055021i,0.0067453+0.0062195i,0.0066357+0.0085926i,0.0056806+0.011567i,0.004015+0.011864i,0.0029089+0.0077349i,0.0028969+0.0016124i,0.0027394-0.0028528i,0.0011665-0.00483i,-0.001245-0.0051106i,-0.0026929-0.0044679i,-0.0026633-0.0029312i,-0.0022162-0.0019646i,-0.00082116-0.0024414i,0.00010047-0.0029031i,-0.00012975-0.0025403i,-0.0005185-0.0017449i,-0.00057866-0.0017452i,-0.00083188-0.0011112i
-0.00034348-0.00065024i,-0.0010622-0.001422i,0.00085425-0.0033094i,0.0059414-0.0052567i,0.010823-0.0065459i,0.012713-0.0052577i,0.014743-0.00067225i,0.017409+0.0032567i,0.016871+0.0042875i,0.011919+0.0031145i,0.00405-0.00044421i,-0.0024611-0.0041528i,-0.0052095-0.0048274i,-0.0055266-0.0037055i,-0.0038276-0.0014552i,-0.0011748+0.00054006i,-0.00078511+0.00029706i,-0.0013735-0.00032735i,-0.0007816+0.00010143i,-0.00051684+0.00062729i,-0.0011904+0.00042899i,-0.00089513-0.00010255i,-0.00024031+2.8707e-05i
-0.001576+0.00010464i,-0.0007554-0.00048189i,-0.0012537-0.0026314i,-0.0020623-0.0071239i,-0.00080949-0.010393i,0.003057-0.010679i,0.0089624-0.010917i,0.013809-0.01262i,0.013739-0.012968i,0.0090616-0.008118i,0.0021149-0.0023163i,-0.0035877+0.00019298i,-0.0043983+0.0018001i,-0.0019451+0.0036177i,0.00052607+0.0041672i,0.0019511+0.0032293i,0.0010211+0.0016956i,-0.00076982+0.00045279i,-0.0014507+0.00058846i,-0.0013108+0.0010034i,-0.00090397+0.0011953i,-0.0011777+0.0016418i,-0.00051705+0.0015678i
-0.0052332+0.0022901i,-0.0072095+0.0048306i,-0.0099151+0.0066139i,-0.01177+0.0029441i,-0.011358-0.0027985i,-0.0082431-0.0082877i,-0.0068278-0.014995i,-0.0067267-0.020022i,-0.005802-0.018604i,-0.0032903-0.010466i,-0.001064-0.0014883i,0.00028219+0.0034738i,0.0026989+0.0045293i,0.0056672+0.0040624i,0.0065969+0.0026049i,0.0051354-0.00029845i,0.0023816-0.0019177i,0.00051314-0.0009159i,-7.7735e-05+0.00058143i,0.00018839+0.00083136i,0.00044675+0.0012112i,0.00047809+0.001372i,0.00069873+0.00051274i
