0.00165+0.00074835i,0.00032325-0.0019661i,-0.00068943-0.0045949i,-0.0012069-0.0046674i,-0.0016526-0.0022645i,-0.002092+0.00053658i,-0.0010366+0.0019386i,0.00048369+0.0017442i,0.0012532+0.00040588i,0.0011504-0.00044387i,-0.00053087-0.00055464i,-0.0011483-0.0002778i,-0.00024342-0.00033169i,0.00023268-0.00043614i,0.00061773+0.00030589i,0.00075333+0.00052695i,0.00048142+0.00048958i,-0.0001911+0.0010679i,-0.00073751+0.0015843i,-0.00046907+0.00093095i,0.00030605-0.00013394i,0.00037959-0.00016819i,-0.00036956-0.00031571i
-0.0043465+0.0020286i,-0.0031345+0.002617i,-0.0010371+0.0022128i,0.0016815+0.0012279i,0.0025759+0.00040898i,0.0012445+0.00010497i,6.3656e-05+0.00091178i,4.7204e-05+0.0018782i,0.00070112+0.0027465i,0.00045551+0.0025835i,-0.0003617+0.0013863i,-0.00027439+7.6833e-05i,-0.00039393+3.0726e-05i,-0.0015586-0.00014603i,-0.0020901-0.00062229i,-0.0014027-0.00050331i,-0.00037196+0.00076963i,0.00047547+0.0012245i,0.00062908+0.0008962i,0.0008204+0.00067282i,0.0006173+0.00087206i,0.00017835+0.0010292i,-3.8569e-05+0.0003784i
0.00053593+0.0013091i,-0.00078426+1.747e-05i,0.0006076-0.0011114i,0.0021005-0.00082134i,0.0012545-0.0013985i,0.00051962-0.0015183i,8.1989e-05+4.6077e-06i,0.00021512+0.001207i,0.0011157+0.0014744i,0.0010773+0.0013445i,0.0012557+0.0018309i,0.0015253+0.0020039i,0.0004471+0.00068164i,-0.00081722-0.0004311i,-0.0012639-0.00078206i,-0.0015096-0.00055874i,-0.0008661-7.2616e-05i,-0.00069307+0.00024908i,-0.00076853+0.00063657i,0.00023061+0.0014334i,1.9115e-05+0.0016267i,-0.00062434+0.001044i,-0.00010772+0.00045804i
-0.0019634-0.00063051i,-0.00096576-0.00092948i,0.00083548-0.00082248i,0.0021964-0.00074858i,0.0018718-0.00058416i,0.0012377-0.00017856i,0.00025735+1.9217e-05i,-0.00072668+0.0004359i,-0.00050734+8.159e-05i,-0.00036713-0.00043525i,-0.00074216+0.00017003i,-4.7819e-05-0.00027662i,0.00041479-0.0015596i,0.00019078-0.0022865i,-0.00025261-0.0024262i,-0.00041681-0.0016583i,-7.6125e-05-0.001119i,0.00063024-0.00019582i,0.0010506+0.00081993i,0.00042871+0.00080351i,-0.00068156-0.0001788i,-0.0010019-0.00014637i,-0.00068755+0.00052459i
-0.0026915-0.0028885i,-0.0028622-0.0021963i,-0.0026211-0.00044924i,-0.0013196+0.00013746i,0.00011825-0.00089895i,-0.0005203-0.0013551i,-0.0020587-0.0012097i,-0.0028333-0.0011526i,-0.0028533-0.00092487i,-0.0025273-0.00050362i,-0.0016709+0.00023301i,-0.00069936+0.00083076i,-0.00017894+5.7997e-05i,-0.00037466-0.0016236i,-0.0013762-0.002488i,-0.0017245-0.0011368i,-0.0011674-7.2854e-05i,-3.2109e-05-6.359e-05i,0.0007408+1.7287e-05i,0.00019493+0.00017752i,-0.00040578+0.00051142i,2.9812e-05+0.00054729i,0.00021142+0.00029099i
-0.0005048-0.0016307i,-0.00030159-0.0018985i,0.00061203-0.0026018i,0.0010535-0.0023094i,0.0002472-0.0010179i,-0.00075521-0.0011236i,-0.0018055-0.0014514i,-0.0027135-0.0010559i,-0.0033692-0.0005088i,-0.0029441+0.00016745i,-0.0016016+0.00051641i,-0.00052678+0.00068857i,0.00011185-0.00033267i,-0.00022674-0.0015115i,-0.00072116-0.0015012i,-0.00067914-0.0011563i,-0.0001675-0.00094704i,-0.00014629+4.2956e-05i,-0.00073201+0.0011923i,-0.00066649+0.0014868i,-0.00032046+0.00074861i,-0.00095271+0.0001461i,-0.0006978+4.8255e-05i
-0.00089577-0.0029962i,0.00020628-0.0019136i,0.00093079-0.00032233i,0.0010205+0.00044854i,0.00047157+1.9932e-06i,-0.00057427-8.7191e-06i,-0.0019167-0.00048872i,-0.0020721-0.00045227i,-0.0012795+0.00029182i,-0.0010664+0.00071636i,-0.0010644+0.0019672i,-0.00039036+0.0024542i,0.0004532+0.0011126i,0.00067188-0.0011176i,0.00063202-0.0025317i,0.00022183-0.0018232i,-0.00029715-0.00059608i,-0.00064976+0.00016216i,-0.00096655+0.0008115i,-0.0011825+0.00030387i,-0.001445-1.9595e-07i,-0.0015029+0.00034864i,-0.00082244+0.00030776i
0.00018413-0.0024743i,-0.00015394-0.0022016i,0.00011927-0.0020423i,0.00018717-0.00084158i,-0.00023788+0.00037659i,0.00017196-0.00061046i,0.0012074-0.0024933i,0.0015044-0.0029912i,0.00085597-0.0026916i,-5.9797e-05-0.0019835i,-0.00034998-0.00083636i,-0.00015694+0.00017797i,0.00015699-0.00026794i,0.0007482-0.0009844i,0.0012334-0.00082149i,0.0012099-0.0017458i,0.00084737-0.0022347i,-0.00014588-0.0020001i,-0.00052814-0.0013227i,-0.00086266+0.00017042i,-0.0010482-0.00016615i,-0.00038683-0.00092366i,0.00063402-0.0009767i
0.0016544-0.0013584i,0.0017849-0.0016811i,0.001171-0.0026742i,0.00087664-0.0022749i,0.00016102-0.0013335i,-0.00085238-0.0007507i,-0.00074965-0.0018605i,-0.00022792-0.0030518i,-0.00075041-0.0030353i,-0.0011435-0.0020356i,-0.00093833-0.00055317i,0.00023507-0.00020838i,0.00082961-0.0012515i,0.0011706-0.001763i,0.0012778-0.001986i,0.00085285-0.0015925i,0.00053642-0.00055879i,-0.00069782-0.00062286i,-0.0012778-0.0010618i,-0.00056497-0.001176i,0.00025204-0.00097657i,-5.2385e-05-6.3694e-06i,-0.000369-0.0001606i
0.0007294-0.00016263i,0.00083205+0.00024382i,0.00047003+0.00028065i,0.0002998-0.00043791i,0.00042531-0.0015891i,0.00085601-0.0027173i,0.0016272-0.0033871i,0.00095511-0.003556i,-0.00029309-0.003009i,-0.0010649-0.0020491i,-0.0022905-0.00078574i,-0.0024744+0.00059689i,-0.0016066+0.00052776i,-0.00044729-0.00029176i,0.000545-0.00044409i,0.0010821-0.00046054i,0.0015569-0.00079149i,0.001528-0.0012705i,0.00035503-0.0013641i,-0.0010842-0.00098501i,-0.00068198-0.0008664i,0.00046543-0.00012364i,0.0011931+0.000821i
-0.0018555-0.0016205i,-0.00082835-0.00076728i,-0.00023558+0.0012859i,0.0015531+0.0018257i,0.0024825+0.00098897i,0.0023074-0.00071154i,0.00205-0.0028442i,0.0015743-0.0040499i,0.00013138-0.0028464i,-0.0012703-0.00043771i,-0.0014357+0.001436i,-0.0003368+0.0019853i,0.00014981+0.0010681i,0.00028669+0.0004248i,0.0015917+0.00053647i,0.0022364+0.00033464i,0.0020388-0.00021034i,0.0014379-0.0010824i,0.00048439-0.0013863i,1.032e-05-0.0011456i,4.7354e-05-0.00089847i,0.00018149-0.00068727i,0.0001523-4.7993e-05i
0.0004221-0.00054534i,-0.00035398+0.00028885i,-0.00040189+0.00054893i,0.00057439-0.00037462i,0.00057836-0.0013804i,0.0012571-0.0018403i,0.0023548-0.0024856i,0.0021725-0.0029516i,0.0021128-0.0019568i,0.0020225-0.0011153i,0.0011489-0.0005692i,-4.0288e-06+0.00028065i,-0.00016079+0.00071429i,0.0010598+0.00014728i,0.001946+0.00028284i,0.0018921+0.00029802i,0.0016103-0.00023857i,0.0013346+0.00011479i,0.0010653+0.00037078i,0.0014551-0.00074983i,0.0011273-0.0015041i,0.00035907-0.00092222i,-0.00028159+0.00013231i
-0.00296+0.0029719i,-0.0011478+0.0027832i,0.00034586+0.0023771i,0.0014113+0.0013338i,0.0021777-0.00046844i,0.0027164-0.001564i,0.0033908-0.0017361i,0.0045834-0.0018282i,0.0041094-0.0016342i,0.0020949-0.00097696i,0.0008413-0.0013632i,0.0001832-0.0021249i,-0.00025698-0.001313i,0.00065843+0.0005489i,0.0022349+0.001065i,0.0030136+0.0002487i,0.002562-0.00018942i,0.002234-0.00034928i,0.0017572-0.00038743i,0.00089812-0.00068931i,0.00098406-0.00038047i,0.00085899+0.00014801i,0.00023904+0.00034037i
-0.0010812-0.00093907i,-0.0020335-5.6896e-05i,-0.0020972-0.00021225i,-0.001334-0.00018126i,-0.00023495+0.0006982i,0.0017006+0.00067266i,0.0037974-0.00024018i,0.0046406-0.00078662i,0.0031739-0.0013347i,0.00073864-0.001677i,-0.00086527-0.00099709i,-0.0016259-0.00018879i,-0.0020197+0.00031244i,-0.0013502+0.00075499i,0.00015402+0.0012803i,0.00083134+0.0016766i,0.0013109+0.0011735i,0.0018259+0.00049804i,0.0017976-0.00029108i,0.0017505-0.0015208i,0.00093805-0.002075i,0.00010502-0.0017791i,-0.00014433-0.0011311i
-0.0007128+0.00025179i,-0.00074826+4.8555e-05i,0.00012454-0.0013737i,0.00076257-0.0029652i,0.0018271-0.0026061i,0.0023823-0.00081104i,0.003623-0.00038111i,0.0045959-1.3931e-08i,0.0039174+0.00077312i,0.0024537+0.00024376i,0.0012493+0.00041252i,-0.00019688+0.00091353i,-0.0012052+0.0011201i,-0.0012886+0.0012935i,-0.00075416+0.0013219i,0.00030371+0.001252i,0.0014745+0.0010425i,0.002423+0.00062648i,0.0023269+0.00019981i,0.0011779-0.00026706i,0.00015493-0.00018527i,0.00033295-0.00030867i,0.00022145-0.0006296i
-0.0024042-0.00010335i,-0.002838-0.00032954i,-0.0012821-0.00050449i,0.00074219-0.00053972i,0.0022902-0.0010281i,0.0025311-0.001613i,0.002801-0.0011647i,0.0034032-0.0002762i,0.0040182+0.00041499i,0.0037372+0.00021831i,0.0024627-0.00053601i,0.00096701-0.00084068i,-0.00057569+1.3305e-05i,-0.00039521+0.0010325i,0.00031627+0.0014019i,0.0010038+0.0013344i,0.0024499+0.00090971i,0.0025646+0.0010253i,0.0015086+0.0010522i,0.00038264-0.0001276i,-0.00046768-0.00076956i,-0.00054001-0.00021513i,-0.00033072-0.00068561i
-0.00099734-0.001545i,-0.0014795-0.0018746i,0.00018789-0.001056i,0.0016332-0.0012642i,0.0011075-0.0020214i,0.00086371-0.00051532i,0.001821+0.0016575i,0.0021063+0.0014579i,0.0024893+0.00023664i,0.0023907-0.00068558i,0.001454-0.0019116i,0.00094932-0.0030071i,-5.2469e-06-0.0023377i,-0.0011563-0.00066371i,-0.0011674+0.00040354i,-0.00015405+0.00073539i,0.00056091+0.0013577i,0.0011612+0.0018363i,0.0017309+0.0015952i,0.0010835+0.001284i,3.9369e-05+0.00071431i,6.2708e-05+2.2341e-05i,0.00069384-0.0007032i
0.0019893-0.00031032i,-3.0026e-05-0.00065512i,-0.00076099-0.00043597i,0.00034535-0.0020787i,0.00089543-0.0033275i,0.00068245-0.0013259i,0.00073783+0.0023375i,0.0015452+0.0038595i,0.0019717+0.0031576i,0.00090064+0.00066293i,-0.00029067-0.0017232i,-0.00042481-0.0021014i,-0.00043318-0.0012128i,-0.0012533-1.8753e-05i,-0.0017159+0.00096166i,-0.00089236+0.0015113i,0.00028239+0.0016157i,0.00024118+0.0019784i,0.00012569+0.0018572i,0.00084154+0.0012352i,0.0011699+0.00094364i,0.0012953+0.00065958i,0.000702-1.8837e-05i
-0.0019637-0.002564i,-0.00049474-0.0028273i,0.0014076-0.002105i,0.0026888-0.0012114i,0.0021145-0.00015849i,0.0010216+0.001124i,0.0011992+0.0033062i,0.0018176+0.0055167i,0.0022213+0.005553i,0.0018756+0.003803i,0.0010418+0.0023486i,0.0006656+0.0012367i,-0.00016786+0.00062859i,-0.00094196+0.001228i,-0.00097241+0.0018317i,-0.00077367+0.002036i,-0.0003732+0.0017871i,0.0002182+0.00166i,0.0004013+0.0017693i,0.00034304+0.00095729i,0.00083532+3.6475e-05i,0.00087332-0.00064604i,0.00013045-0.00090728i
0.0014292-0.0020874i,0.0011715-0.0020523i,-9.3944e-06-0.00067204i,-4.1352e-05-0.00051522i,0.0012536-0.00018029i,0.0012338+0.0014219i,0.00088623+0.0027921i,0.001291+0.003115i,0.0020426+0.0030466i,0.0027367+0.002737i,0.00323+0.0021569i,0.0028533+0.0015272i,0.0017339+0.0010062i,0.00030269+0.00064591i,-0.001611+0.0020597i,-0.001806+0.0031625i,-0.00048283+0.0025261i,-0.00018792+0.0019992i,-0.00033203+0.0017714i,0.00038036+0.00063814i,0.00071015-0.00050374i,-0.00024957-0.00068905i,-0.00028785-0.0007999i
0.00074058-0.0015834i,0.00029197-0.0012419i,-0.00011443-0.0013693i,0.00020583-0.0014588i,-9.9319e-05-0.00099613i,-0.00064354-0.00039683i,-0.0011446+0.00011878i,-0.00098528+0.00069932i,0.00089641+0.00072917i,0.0027453+0.00062139i,0.0031137+0.0005916i,0.003234+0.0002373i,0.0027873-0.00033167i,8.8824e-05-0.00030654i,-0.0019354+0.0006432i,-0.0018887+0.0019046i,-0.00067523+0.001869i,-0.00012547+0.0013721i,-0.00043558+0.0013094i,-0.00032541+0.00068325i,0.00015279+0.00031889i,0.000864+0.0006612i,0.0011579+9.7942e-05i
0.00057939+0.0043104i,0.0025874+0.0034493i,0.0029097+0.0019473i,0.0021125-0.00015898i,-7.0004e-06-0.00044968i,-0.0029229-9.6662e-05i,-0.0037305+0.00056635i,-0.0041697+0.0012246i,-0.0040498+0.00084747i,-0.001911-0.00027982i,0.00015829-0.00021334i,0.0001747-0.00031013i,-0.00022705-0.0018138i,-0.0006732-0.0016729i,-0.0019292-0.00017643i,-0.0019363+0.00077357i,-0.001745+0.0011864i,-0.0020727+0.0012048i,-0.0013485+0.0016009i,-0.00052071+0.00085473i,0.00070413+2.2092e-05i,0.00092325+0.00026822i,-0.00039047-0.00014741i
0.00086388+0.001798i,0.00019179+0.002981i,-0.00076525+0.0025494i,-0.00062685+0.0010216i,-0.00037081+0.00027387i,-0.0014427+0.0004576i,-0.0038362+0.0013126i,-0.0054443+0.0024986i,-0.0052864+0.00365i,-0.0039177+0.0029639i,-0.0029108+0.0018586i,-0.0019714+0.00092455i,-0.00053088-0.00070915i,-0.00059183-0.0016631i,-0.001321-0.00099732i,-0.0015026+0.00041686i,-0.0017278+0.00081758i,-0.00071112+0.0011823i,-0.00022149+0.0017798i,0.00021223+0.0011602i,0.0016648+0.00071745i,0.001247+0.00061301i,0.00019174-0.00013647i
0.0022178+0.0011001i,0.00065921-0.00049879i,0.00080028-0.0030844i,0.0010794-0.0042232i,0.0003587-0.0035255i,-0.0012445-0.0023068i,-0.0029155-0.00077051i,-0.0034013+0.0017897i,-0.0022973+0.0041771i,-0.0013299+0.0046606i,-0.00044892+0.0035984i,0.0010357+0.002466i,0.0007448+0.0012911i,-0.00039852-0.00066772i,-0.0013761-0.0016855i,-0.0016293-0.0010775i,-0.001085-0.00014243i,-0.00037423+0.0003019i,0.00063787+0.00047405i,0.0016671+0.00075592i,0.0015408+0.0012469i,0.0007024+0.0010451i,0.00030625+0.00059153i
-0.00083766+0.0035075i,-0.00045908+0.003798i,0.0016925+0.0015944i,0.004268-0.0016842i,0.003356-0.0045075i,0.00029166-0.0049588i,-0.0015682-0.003105i,-0.0010303-0.0022933i,0.00042117-0.0016155i,0.0011066-0.00021863i,0.0011832+0.00057496i,0.00067679-0.00031885i,-0.00013884-0.0009774i,-0.00062065-0.0010789i,-0.00047059-0.0017379i,-0.00087835-0.0014705i,-0.00098002-0.00040127i,0.00021747-0.00071286i,0.00027526-0.00094898i,-7.3009e-05-0.00015058i,0.00039487+0.0006546i,-5.431e-05+0.00061539i,-0.00072691-1.2055e-05i
-0.0016311-0.0019637i,-0.0048895-0.0023768i,-0.0062997-0.0025045i,-0.0049789-0.0020897i,-0.0045003-0.0030232i,-0.0039463-0.0041301i,-0.0033897-0.0040829i,-0.0037235-0.0043213i,-0.0037885-0.0044835i,-0.0024428-0.0036402i,-0.00076006-0.0021686i,0.00030977-0.00054746i,0.00027262-0.00049074i,0.00052671-0.001398i,0.00033481-0.001508i,-0.0011747-0.0010784i,-0.0011097+1.269e-06i,0.00020968+0.00028037i,-0.00026532-7.1112e-05i,-0.00076666+0.00025106i,-0.00031669+0.00055988i,0.00055013-0.00018114i,0.0012644-6.1971e-05i
-0.001997-0.00016972i,-0.00056979-0.0021855i,0.0013875-0.0043859i,0.0017499-0.0042411i,0.00036919-0.0022706i,-0.00055824-0.0022515i,-0.0015062-0.0046695i,-0.0044369-0.0055367i,-0.0059408-0.003861i,-0.0051142-0.0026954i,-0.0034388-0.0018445i,-0.0012405-0.0007748i,0.00042588-0.0001781i,0.00087578-0.00024199i,2.0412e-05-0.00083066i,-0.0010747-0.00059371i,-0.0011607-6.2665e-05i,-0.00079273-0.00014648i,-0.0011885-6.1246e-05i,-0.0017057+0.00058694i,-0.0016628+0.00058382i,-0.0007177+0.00016016i,-6.672e-05+0.00011674i
-0.0030827-0.001744i,-0.0022355-0.00025937i,-0.00019006+0.0013138i,0.0037445+0.0014178i,0.0048616-0.0010322i,0.0033448-0.0031956i,0.0019402-0.0041582i,-0.00060923-0.0032715i,-0.0032465-0.0013646i,-0.0036093+0.00048522i,-0.0018507+0.0015912i,0.00025238+0.0019372i,0.0014582+0.0017724i,0.0012962+0.0005829i,0.00060201-0.00079562i,-0.0003917-0.00050877i,-0.00063531+0.0010707i,-0.00068777+0.0018067i,-0.00043111+0.00097475i,-0.00059965+0.00083234i,-0.0013182+0.0014015i,-0.0015911+0.0013877i,-0.0014051+0.0014382i
-0.0028861-0.0043259i,-0.004202-0.0063796i,-0.0032231-0.0066207i,-0.00058144-0.0053437i,0.0010996-0.0051466i,0.0011086-0.005661i,0.0015461-0.0053061i,0.0023535-0.0034528i,0.0020355-0.0017948i,0.00094771-0.00044335i,-0.00063069+0.00052739i,-6.2717e-05+0.00065989i,0.0017876-0.00014211i,0.0020929-0.0011767i,0.0014405-0.0013521i,0.00063662-0.00060179i,0.00013168+0.0007217i,0.00056285+0.0018058i,0.00034857+0.001646i,0.00010526+0.0010307i,0.00082038+0.00056767i,0.0010094+0.00043333i,0.0010046+0.00079276i
0.0018937-0.0012595i,0.0046641-0.004247i,0.0066434-0.005021i,0.006213-0.0043362i,0.0034128-0.0033641i,0.0023005-0.00376i,0.0036423-0.005529i,0.0039723-0.0066153i,0.0034813-0.0069214i,0.0023742-0.0057898i,0.001399-0.0033807i,0.0011069-0.0016438i,0.0007783-0.0015558i,0.00079183-0.0011038i,0.0010244-0.0012424i,-0.00014981-0.0010461i,-0.00068875+0.00022152i,0.0001307+0.00037095i,0.00074465+0.00012973i,7.7596e-05-4.1532e-05i,-3.1483e-05-3.1925e-05i,0.00040649+0.00011424i,-0.00019806+2.0545e-05i
0.0023643-0.00061401i,0.0037633-0.00028755i,0.0035429+0.0011341i,0.0030468+0.0019194i,0.0033374+0.0004062i,0.0040356-0.0014427i,0.0043041-0.0026936i,0.003323-0.0051126i,0.00095586-0.0067423i,-0.00073495-0.0056614i,-0.0011283-0.0029737i,-0.00061118-0.00092365i,0.0001193+0.00049833i,-3.0788e-05+0.00065364i,-7.0356e-05+0.0003959i,0.00030437+0.0011566i,-6.0806e-05+0.0016033i,-0.00035138+0.001475i,-6.2869e-05+0.0015164i,0.00026249+0.0013458i,-0.00032538+0.0012085i,-0.00085565+0.00029284i,-0.0011776-0.00082349i
0.00020349-0.0019919i,0.0018-0.0023606i,0.0028392-0.0023327i,0.0035087-0.0019709i,0.0045934-0.0011638i,0.0069107-0.0013826i,0.0067151-0.0024717i,0.0044937-0.0025464i,0.0017954-0.001192i,-0.00092908+0.00036508i,-0.0013052+0.00066791i,0.00028856+0.00047291i,0.00082171+0.00034521i,0.00028772+0.00084306i,6.8951e-05+0.00096938i,-0.00018106+0.00011164i,-0.0013649-0.0001881i,-0.0020716+0.00050205i,-0.0018814+0.00088154i,-0.0014992+0.0006798i,-0.0010588+0.00067154i,-0.0012044+0.00072749i,-0.00094475+0.00036061i
0.0030311-0.0011389i,0.0061045+0.0011101i,0.007426+0.0033594i,0.0061192+0.0024499i,0.004828-0.00011836i,0.0051533-0.0014779i,0.0060973-0.00073686i,0.0066923-0.00011949i,0.005405-0.00010625i,0.0036963+0.00041481i,0.0030501+0.00091676i,0.0026716-0.00020348i,0.0020517-0.00089181i,0.0019586+3.5831e-05i,0.001786+0.00070081i,0.00036425+0.00093012i,-0.0010066+0.0005572i,-0.0005839+0.00053198i,0.00026697+0.0011758i,0.00099039+0.0011506i,0.00093962+0.00086227i,-4.8416e-05+0.00067368i,-0.00058654+0.00038312i
-0.0029035+0.0022523i,-0.0019258+0.0038355i,-0.0013332+0.0064941i,-0.00016224+0.0059048i,0.0022825+0.002849i,0.004668+0.0012124i,0.006276+0.00043188i,0.0078183-0.00096509i,0.0088213-0.002188i,0.0070567-0.0025948i,0.0036681-0.0013408i,0.0024376-0.00028223i,0.0019354-0.00067224i,0.0012103-0.00046648i,0.00027277+0.000368i,-0.00070163+0.00042292i,-0.0011569+0.00016129i,-0.0011147+0.00029534i,-0.00013795+0.00033851i,0.00096946+0.0006227i,0.0010158+0.0010416i,-6.4418e-05+0.00022037i,-0.0006355-0.00071514i
0.0013769-0.00044853i,0.0022111+0.00020527i,0.0030575+0.0018997i,0.0026536+0.0019053i,0.002436+0.001466i,0.0031421+0.0019284i,0.0041491+0.002033i,0.0043301+0.00016607i,0.0031661-0.0029983i,0.0022313-0.0036783i,0.0015903-0.002066i,0.0011222-0.00063853i,-6.8047e-05-0.00014171i,-0.001408-0.00014695i,-0.00085939-0.0002953i,-0.00023254-0.0007911i,-0.00042004-0.00096639i,-0.00043214-0.00077092i,-0.00039088+0.00044638i,-0.00073241+0.001312i,-0.0013941-4.8734e-05i,-0.0012071-0.00065059i,-0.00090292-0.00017437i
0.00081139+0.0021218i,-0.0006104+0.00495i,-0.0010521+0.0062983i,-0.0012605+0.0052377i,-0.00042696+0.002624i,0.0007079+0.0015942i,0.0019088+0.0019374i,0.0021691+0.0015051i,0.00075249+4.462e-05i,-0.0014481-0.00023554i,-0.0022112+0.001581i,-0.001452+0.0027354i,-0.0010048+0.0016063i,-0.0010435+4.267e-05i,-0.00028798-0.00083899i,0.00075388-0.00093957i,0.00012751-0.00077906i,-0.0014101-0.00018187i,-0.0017827+0.00097392i,-0.0015183+0.0009008i,-0.0017444+0.00068071i,-0.00068839+0.00081291i,1.3844e-05+0.00049345i
-0.0055134+0.0016329i,-0.0053498+0.0025567i,-0.0058124+0.0027089i,-0.0047859+0.0021522i,-0.0016563+0.0018101i,0.00065414+0.0028946i,0.0017269+0.0041848i,0.0030954+0.0050978i,0.0035823+0.0052603i,0.0028455+0.005034i,0.0024111+0.0047461i,0.0024155+0.0027763i,0.0021946+0.00053586i,0.00093693-0.00016893i,-0.00025182+0.00053889i,0.0003552+0.00069637i,0.0001105+0.00035007i,-0.001171+0.00040123i,-0.0016845+0.00029798i,-0.0015816+0.0007393i,-0.0013734+0.00059003i,-0.00053751+0.00065296i,0.00039007+0.00049144i
-0.00072461-0.00011749i,-0.00043187+0.0019099i,-0.0016141+0.0018103i,-0.004253+0.00017995i,-0.0039391-0.00023991i,-0.0013966+0.0020679i,0.0018499+0.0027229i,0.0056758+0.0022294i,0.0079873+0.0017367i,0.0074792+0.00077104i,0.0049218+0.0015191i,0.0025628+0.0024974i,0.0014923+0.0010077i,-9.9464e-05-0.00048171i,-0.0014662-0.00061626i,-0.001141-0.00075551i,-0.00025978-0.00074442i,-9.7645e-05+0.00018652i,-0.00071791+0.0017801i,-0.00072732+0.0025157i,-0.00055211+0.0020856i,-0.00014725+0.00067992i,0.00076182+0.00045391i
-0.0032183-0.0016013i,-0.0059724+0.00035562i,-0.0092281+0.00090336i,-0.0076585-0.0011372i,-0.0038498-0.0028602i,-0.002417-0.0011782i,-0.00086355+0.0014305i,0.0023341-9.045e-05i,0.0044195-0.0033403i,0.0034449-0.0043253i,0.0012632-0.0025717i,0.00090932-0.00071285i,0.0017985-0.00076076i,0.0013056-0.001197i,0.00039742-0.0006445i,3.0573e-05+0.00017975i,-0.00035112-3.2282e-05i,-0.00066537+0.00028952i,-0.00083871+0.0013817i,-0.00023493+0.0020616i,-8.4227e-05+0.0017587i,-0.0001867+0.00057033i,0.0003274-0.00038278i
-0.0037736+0.00081218i,-0.0031697-0.00040189i,-0.0036851-0.0027205i,-0.0027065-0.005288i,-0.00080743-0.0046483i,-0.0017756-0.0020248i,-0.0029422-0.00063927i,-0.0033888-9.5407e-05i,-0.0045475-0.00038684i,-0.0050205-0.00086721i,-0.0035355+0.00082729i,-0.0011357+0.0021865i,0.00054067+0.00076322i,0.0008821-0.000746i,0.00081885-0.00038622i,0.00042449+0.0010262i,-0.00048425+0.00093111i,-0.0010207+0.00027547i,-0.00084839+0.00033418i,-0.001489+0.00027227i,-0.0016255+5.6008e-05i,-0.00081135+0.0002023i,-0.00026278+0.00015115i
-0.0039701-0.0023389i,-0.0058604-0.00025831i,-0.0076599-0.0014489i,-0.0057237-0.005359i,-0.0023363-0.005792i,-0.00061482-0.003584i,-0.0014549-0.00086788i,-0.0021977+0.0031369i,-0.0010659+0.0060017i,-0.001116+0.0063554i,-0.0021015+0.0059887i,-0.0008126+0.0043865i,0.0014885+0.0014876i,0.0024233+0.00014502i,0.0014176+0.00023353i,0.00017471+0.00063499i,-0.00045317+0.001631i,-0.0016279+0.001936i,-0.0022139+0.0012195i,-0.0013292+0.0010106i,-0.00066312+0.0016172i,-0.00033532+0.0014625i,-9.9675e-05+0.00015218i
-0.0029482-0.0019139i,-0.0061059-0.0026892i,-0.0079211-0.0073087i,-0.0048466-0.0094843i,-0.00058727-0.007633i,0.00023113-0.0050378i,0.00084021-0.001252i,0.0033045+0.0034362i,0.0052923+0.0054536i,0.0049885+0.0046444i,0.002981+0.0039072i,0.0020455+0.0032995i,0.0023807+0.0016691i,0.0023067+0.0003341i,0.0011923+0.00036447i,-2.393e-05+0.00097144i,-0.0010291+0.00085245i,-0.0017959+0.000292i,-0.0016279+0.00062667i,-0.0018168+0.0005986i,-0.0015737+2.2826e-05i,-0.0005245-8.0325e-05i,0.00081136+0.0010307i
-4.7909e-05-0.00050474i,-0.00084503-0.0026606i,0.0011549-0.0071591i,0.0043853-0.01131i,0.0046159-0.01136i,0.0024481-0.0085817i,0.0012598-0.0055033i,0.0031744-0.0032191i,0.0068171-0.0023845i,0.0061687-0.0028852i,0.0025056-0.0027429i,0.00052954-0.00031555i,0.0014457+0.00039086i,0.0018712-0.00055789i,0.00062564-0.0002085i,-0.00028633+0.00016328i,-0.00089917+0.00015564i,-0.0015637+2.9388e-05i,-0.0024744-0.00035562i,-0.0025774-0.001246i,-0.0015927-0.0018966i,-0.00089821-0.001486i,-0.00075498-0.00072488i
-0.0013645-0.0029118i,-0.0033496-0.0056613i,-0.0019528-0.0098897i,0.0043821-0.011706i,0.0069768-0.0087755i,0.0038245-0.0062202i,0.0003417-0.0054369i,-0.0013966-0.0045093i,-0.0019597-0.0039451i,-0.0020355-0.0036958i,-0.001919-0.0020978i,-0.0017308+5.8017e-05i,-0.0009411+0.0010331i,0.00062699+0.00056104i,0.0012042-0.00043225i,1.2388e-05-0.00041481i,-0.0012361-0.00031041i,-0.0022929-0.00088114i,-0.0020452-0.00076174i,-0.0014768-0.00057669i,-0.0019729-0.00051603i,-0.0014861-0.00010478i,-0.00037946-2.5469e-05i
