-0.0064014+0.00050133i,-0.0081399+0.0015623i,-0.0072393+0.0059219i,-0.0020395+0.0074704i,0.0020751+0.0064802i,0.0023062+0.0029636i,0.0013866+0.00062397i,0.00090872+0.0010146i,0.0010719+0.0013266i,0.00191+0.0011601i,0.0024383-1.2685e-05i,0.0020554-0.001276i,0.0011822-0.0016056i,0.0007154-0.0014387i,0.0002649-0.00099657i,0.0002526+0.00021668i,0.00058773+0.00101i,-9.348e-06+0.00075694i,-0.0011065+0.00078995i,-0.0011545+0.00093349i,-0.00031104+0.00054332i,-0.00020612-0.00010005i,-0.00030095-0.00013402i
-0.0010243-0.0022003i,-0.00055035-0.0011082i,-0.00082821-8.3508e-06i,-0.002062+0.00083066i,-0.002899+0.00023839i,-0.001664-0.00084889i,-0.00014769+0.00013197i,0.00028003+0.0011129i,-0.00019932+0.00034981i,-0.00014475-0.00036043i,0.00024732+0.00079477i,-8.0074e-05+0.0017915i,-0.00030799+0.0019074i,6.9051e-05+0.0012558i,0.00010596+0.00011294i,-0.00049052+0.00052449i,-0.00063942+0.0010709i,-0.00048301+0.001191i,-0.00048543+0.00050604i,-0.00038817-0.00016014i,-0.00056488+9.6936e-05i,-0.00041432+0.00018869i,-0.00079883-0.00031516i
0.0011573-0.0027865i,0.00051517-0.0031202i,-0.00067684-0.0010641i,-0.0015171+0.0017996i,-0.0022739+0.0037677i,-0.0023112+0.0033887i,-0.0008002+0.0023069i,0.0010669+0.0014379i,0.0012824+0.00013073i,0.00066265-3.2233e-05i,0.00077243+0.0009389i,0.0013588+0.0013874i,0.0021137+0.0011416i,0.0015747+0.00090977i,0.00056941+0.0015075i,-5.64e-05+0.0012071i,-0.00011713+0.00033524i,-0.00032541+0.00093372i,-0.00042864+0.00085529i,-0.00051541+0.00051763i,-0.00037969+0.00082951i,0.00072389+0.00028483i,0.0008358-7.1561e-05i
5.4527e-05+0.003265i,-0.0010998+0.0033558i,-0.00014929+0.0025262i,0.0016351+0.0019109i,0.0024429+0.0019113i,0.0019801+0.001687i,0.00033918+0.00091827i,0.00024207-6.7476e-05i,0.00070087-0.00076069i,0.00010664-0.00025178i,0.00029657+0.00043034i,0.001383+0.00027966i,0.0013576+3.9343e-05i,0.0010248+0.00039331i,0.0012087+0.00057902i,0.0012338-0.00030428i,0.00063381-0.0010728i,0.00058226-0.00052019i,0.00029804+0.00051477i,0.00029183+0.00099428i,0.0007244+0.00044038i,0.00075585+0.00026241i,0.00050273+0.0002336i
0.0017616-0.0015821i,0.0011026-0.0013195i,0.00047848-0.00027402i,0.00089766+0.00042431i,0.002248+0.00045485i,0.0024851-0.00011738i,0.0014618-0.00022485i,6.1232e-05-0.0007924i,-0.00067692-0.0016706i,-0.001134-0.00091345i,-0.0017529-2.1691e-05i,-0.00092388-0.00051711i,0.00048405-0.0014297i,0.0011255-0.0014831i,0.0011103-0.00085648i,0.00012018-0.00034893i,-0.00047668+3.8929e-05i,-5.3641e-05+0.00031837i,0.00041529+0.00030767i,0.00020798-0.0006356i,5.2944e-05-0.00082064i,-0.00017672-0.00059164i,0.00017679-0.00062136i
0.002991-0.0015682i,0.0031372-0.0009803i,0.0033675-0.00064569i,0.0022041-0.0013297i,0.00095895-0.002747i,0.00061163-0.0029836i,-0.00045889-0.0006754i,-0.0014605+0.00092435i,-0.00068932+0.00081302i,0.00015691+0.00064059i,-0.0005504+0.00064301i,-0.0016222+0.00081661i,-0.00093479+0.0004798i,0.00026659+0.00046819i,0.00034253+0.00046123i,0.00014201-8.8529e-05i,0.00033472-0.00020626i,-0.00037203+7.8839e-05i,-0.00084586-0.00033357i,-0.00038519-8.5883e-05i,-0.00010797+0.00022708i,0.00018194+0.00020004i,-8.6019e-05+0.00024474i
-0.0045578-0.0012252i,-0.0043116-0.00028165i,-0.0033658+0.0026216i,-0.0019129+0.0042827i,-0.00063616+0.0031325i,-9.7057e-05+0.00027848i,0.00055736-0.00069765i,0.0016104+0.001231i,0.0010999+0.0026344i,0.00039564+0.0025111i,0.00048955+0.0015281i,0.00066285+0.0011956i,0.00070898+0.0010568i,0.00063936+0.0006637i,-7.8413e-05+1.675e-05i,-0.00077701+0.00039603i,-0.00053922+0.00042721i,-0.00018893+0.00015372i,-0.00068983+0.00019222i,-0.00075545-0.00029117i,-0.0012664-0.00079052i,-0.001456-0.00074421i,-0.00062503-0.00077852i
-0.0015496+0.00010215i,-0.0023424-0.00055107i,-0.001971-0.0003153i,-0.0017118+0.00050223i,-0.00141+0.00095634i,-0.0014274+0.00032678i,-0.00091238+0.00026924i,0.00099715-0.00032439i,0.0014929-0.0010913i,0.00085428-0.00097119i,0.0010139-0.00073657i,0.0015381+0.00043299i,0.0017701+0.001446i,0.0012868+0.0016358i,0.00018883+0.0020907i,-0.00037606+0.0021091i,1.4444e-05+0.0014128i,0.00032509+0.00012147i,0.00025419-0.00068969i,-0.00012543-0.00033925i,0.00016119+0.00016656i,0.00014919+0.00027859i,-0.00038264+0.00040244i
-0.0013638+0.00014208i,-0.0020491+0.00072195i,-0.0013467-0.00026442i,0.00060543-0.00017248i,0.00076246+0.0018915i,-0.00019914+0.002399i,-0.00016788+0.00028433i,0.0010618-0.0011795i,0.0012818-0.0015908i,-0.00038579-0.0008482i,-0.00083202-0.00063109i,0.00021717-0.001775i,0.00036626-0.0014952i,0.0005694-0.00031368i,0.00012048+0.00095174i,-0.00012974+0.0010347i,0.0010701+0.00014609i,0.0012546-0.00062897i,0.0008388-0.00083976i,0.0002082-0.00038365i,-2.1838e-05+0.00011908i,0.00023154-3.5692e-05i,0.00097259-0.00017044i
0.0020512-0.0015708i,-0.00038073-0.00046494i,-0.0032169+0.0014984i,-0.0027959+0.0032328i,-0.00037733+0.0044592i,0.0012137+0.0034771i,0.0012094+0.0011912i,0.00073312-0.00022936i,-0.00013022-0.0012774i,-0.0011199-0.0012076i,-0.0011513-0.0012799i,-0.00055343-0.0013394i,-1.8293e-05-0.000731i,0.00054956-0.00059921i,0.00123-0.00090948i,0.00097401-0.00026693i,4.173e-05+0.00049386i,0.00029753+0.0002374i,0.00033648+4.4091e-05i,-0.00015569+0.00057243i,-0.00012126+0.00069558i,-2.8353e-05+0.00014669i,0.00023099+0.00021434i
0.0016182-0.0030459i,0.0024466-0.001701i,0.00021401+0.0010862i,-0.00021796+0.0021521i,0.0012245+0.0014802i,0.00071655+0.0006086i,-0.0008946+0.00054512i,-0.0018279-6.6086e-05i,-0.0024223-0.00080945i,-0.0023459-7.0643e-05i,-0.0017325+0.00059812i,-0.0014584+0.00063396i,-0.00092835+0.00047323i,-9.7487e-05+9.3839e-05i,0.00043666-0.00074835i,1.5892e-05-0.00078304i,-0.00044864+0.0003884i,-0.00043305+0.0005642i,-0.00045886+0.00075878i,-0.00041536+0.0012377i,9.8768e-05+0.00022183i,0.00054815-0.00059277i,0.00015421-3.6136e-05i
0.0023773-0.0029929i,0.0034593-0.0022991i,0.0041321-0.0012265i,0.0025133-0.0016688i,0.00066756-0.0031867i,0.00013159-0.0028709i,-0.00021396-0.00048637i,-0.00054303+0.0015377i,0.00021173+0.0018284i,0.00081237+0.0017427i,-4.9455e-05+0.0017225i,-0.00066369+0.001962i,0.00011675+0.002131i,8.7795e-05+0.0011638i,-0.00064484+0.00034881i,-0.00069985+0.00038995i,-0.00029088+0.00026935i,0.00018309-9.176e-05i,-9.1239e-05+6.8129e-05i,-0.00072088-0.00026846i,-0.00097679-0.00097426i,-0.00058678-0.00097182i,0.00034393-0.00050517i
-0.0026358-0.00091053i,-0.0017773-0.0025424i,0.00019273-0.0028986i,0.0015646-0.0016236i,0.00084775-0.00016441i,-0.00066822-0.00022888i,-0.0004856-0.00027421i,0.0011958+0.00030195i,0.0018491+0.00075407i,0.0021551+0.00064653i,0.0025393+8.2601e-05i,0.0015522-0.00042119i,0.00070511-0.00069755i,9.3421e-05-0.00028126i,-0.00017023-8.1888e-05i,0.00063078+0.00044178i,0.00034276+0.00087548i,-0.00033375+0.00094539i,0.00033968+0.0010498i,3.3952e-05+0.00020058i,-0.00058093-0.000363i,-0.00051507+0.00019776i,-0.0008544+0.00034105i
-0.0017064+0.0032964i,-0.0031289+0.0016278i,-0.0031394-0.00068762i,-0.001641-0.00025598i,-0.00032435+0.0021598i,-0.00067773+0.0022291i,-0.00018162+0.0010926i,0.0014731+0.00011495i,0.0020403-0.0011644i,0.00086578-0.0019005i,0.00044564-0.0023613i,0.0012008-0.0017005i,0.0011229-0.00078263i,0.0004863-0.00059926i,-5.5684e-05-6.0153e-05i,-0.00069253+0.00019909i,0.00016126+0.00023179i,0.00088958-0.00027064i,0.00047787-0.00064747i,0.00015481-7.6362e-05i,-0.00039148-0.00017452i,-0.00069487-0.00023539i,-0.00047522+4.5739e-05i
0.0048689+0.0027216i,0.0026897+0.0042399i,0.0004538+0.0031332i,0.00045506+0.0013877i,0.00046851+0.00061464i,-0.0008074+0.00069591i,-0.0013829+0.00075093i,-0.00046649-0.00028151i,0.0002295-0.0026692i,2.8997e-05-0.0030479i,-0.00069265-0.0020912i,-0.0012698-0.0025352i,-0.0012741-0.0020016i,-0.00095272-0.00052316i,-0.00055871-7.9828e-05i,-0.00075866-0.00031509i,-0.00049643-0.0008901i,0.00094826-0.0011322i,0.0011257-0.00074426i,0.00050925-0.00033479i,0.00022641+4.3833e-05i,-0.00018944+4.4775e-05i,0.00026263-3.0927e-05i
0.0042497-0.0014877i,0.0052598+0.0016812i,0.003701+0.0034976i,0.0022151+0.0033001i,0.0025092+0.0026956i,0.0020152+0.0018261i,0.00024047+0.0001011i,-0.00072302-4.5118e-05i,-0.00088103+0.00030893i,-0.0016509+0.00018396i,-0.0020299+6.2763e-05i,-0.0019049+0.00020894i,-0.0012638+0.00068155i,-0.00097394+0.00088714i,-0.00087694+3.9762e-05i,-0.00043671-0.00085928i,-0.00014657-0.00080494i,-0.00011372-0.00063843i,-0.00040673-0.00063678i,-0.0003582-0.00089924i,-0.00045349-0.00076598i,-0.00064466+0.00014577i,-0.0010218+0.00058859i
-0.0014998-0.0038792i,-0.00098993-0.0030591i,0.0010786+0.00033781i,0.0022234+0.0020946i,0.0020885+0.0014183i,0.0016236-0.00017445i,0.00015722-0.00047847i,-0.00067469+2.6963e-05i,-0.0010392+0.0009984i,-0.0011632+0.0022387i,-0.00086716+0.0027481i,-0.00078938+0.0021507i,0.00013131+0.00062977i,0.0014938-0.00067664i,0.0012939-0.00034028i,0.00070184+0.00023695i,6.9039e-05+0.00071405i,-0.00022116+0.00080152i,2.5711e-05+0.00055681i,-0.00035141+0.00023173i,-0.0002618-0.00084725i,0.00017814-0.0014376i,-0.00051784-0.00066991i
-0.0077121-0.0034932i,-0.0072843-0.0050783i,-0.0035782-0.0044932i,-0.00096738-0.0017565i,-0.0011673-0.00084401i,-0.001129-0.0010446i,-0.00096554-0.00014366i,-0.0003971+0.0014373i,0.00059235+0.0022024i,0.0016612+0.0015924i,0.0021155+0.0020982i,0.0014199+0.0027859i,4.1723e-05+0.0017416i,-0.00015381+0.00082472i,-0.00028429+0.00081092i,0.00013579+0.00089865i,-6.7851e-05+0.00068998i,-0.00024817+0.00028738i,0.00042163+0.00064743i,0.00019464+0.00025523i,-7.6541e-05-0.00054977i,5.1638e-05-0.00038425i,9.0487e-05+0.00016984i
-0.0025499+0.0010807i,-0.0048681-0.00060786i,-0.0055651-0.0022797i,-0.0035682-0.0016968i,-0.0016851-0.00071349i,-0.00071655-0.00047101i,0.00017267-3.3423e-05i,0.001733+0.00066715i,0.0026798+8.2086e-05i,0.0027591-0.00052884i,0.0023298-0.00057955i,0.0024902-0.00049722i,0.002282-0.00032241i,0.00097569-0.00010255i,-0.00020494-0.00028517i,-0.00052034-0.00026914i,0.00018416-0.00025252i,0.00063904-0.00035085i,5.7284e-06-0.00017649i,-0.00051529+0.000265i,-0.0003431-2.0217e-05i,-0.00019848-9.2043e-05i,0.00071774+0.00021454i
0.0028052+0.006809i,0.0027038+0.0087071i,0.0014063+0.0078196i,0.0014856+0.0050557i,0.00093868+0.0027065i,-0.00046412+0.0011733i,-0.00034571+0.00098426i,0.00066797+0.00039562i,0.0012968-0.0011617i,0.00076727-0.0024935i,0.00048004-0.0028296i,0.00045993-0.0022696i,-0.00034534-0.000686i,-0.0012242+0.00030698i,-0.00048757+0.0002145i,0.0002607+0.00040328i,3.5277e-05-0.0003215i,-0.0005308-0.00093744i,-0.00022489-0.00039511i,-0.00028973+0.00039281i,-0.00024873+0.00041674i,0.00026249+0.00058102i,0.00028663+0.00041606i
0.0056449+0.002976i,0.0053021+0.0048102i,0.002813+0.0059539i,0.00068261+0.0046195i,0.00011534+0.0021248i,-0.0003465+0.0010765i,-0.00063002+0.00090197i,-0.00056338-0.00029506i,-0.00055332-0.0016671i,-0.001448-0.00096384i,-0.0019249-0.00060246i,-0.0016528-0.0012005i,-0.00087285-0.00042342i,-0.00038749+0.00044676i,-0.00032238+2.3046e-05i,0.00027616-0.00014116i,0.00096147+0.00010747i,0.00045054-0.00053147i,-0.00019939-0.0006215i,0.00025826-0.00027407i,0.0001641-0.00011027i,-0.00022434+0.0005307i,0.00022909+0.00084266i
0.0033193-0.0035071i,0.0038247-0.0040207i,0.0043776-0.0028156i,0.0047054-0.002054i,0.0037993-0.0018166i,0.0024576-0.0018383i,0.00081905-0.0010625i,-0.0012162+0.00018428i,-0.0018306+0.0006103i,-0.0017251+8.2448e-05i,-0.0020696-0.0002705i,-0.0020309+0.00039565i,-0.00071002+0.00068286i,0.00050704+0.0003594i,0.0004791+0.00068057i,0.00086165+0.00095694i,0.0015812+0.0008159i,0.000838+0.00046065i,-0.00037276+0.00017822i,0.00018879+0.00044196i,0.00079099+0.00062273i,-0.00025167+0.00044735i,-0.0010547+0.00015098i
-0.0043563-0.0094415i,-0.0046408-0.010566i,-0.0048392-0.0076454i,-0.0045095-0.0022482i,-0.0020487-0.0005173i,0.00026818-0.00050946i,0.0007887+0.0002743i,0.00087399+0.0014548i,0.00089645+0.0014198i,-0.00036305+0.0016356i,-0.0010451+0.002435i,-0.00020208+0.0023935i,0.00083869+0.0014423i,0.00085674+0.00037321i,0.00024189+0.00060052i,0.00040844+0.0010735i,0.00022331+0.00095591i,-0.00036058+0.00058168i,-0.0001735+0.00047964i,0.00055509+0.00075446i,0.0005867+0.00067561i,7.4558e-05-0.00013122i,0.00016781-0.00056766i
-0.0085216-0.0016717i,-0.0097862-0.002354i,-0.0095667-0.0010853i,-0.0060632+0.0012484i,-0.0023038+0.0020609i,-0.00044306+0.00012897i,-0.00027638-0.0013684i,4.3631e-05-0.0012604i,0.00070709-0.00015315i,0.0014872+0.00095586i,0.0020344+0.0016513i,0.0013813+0.0014432i,0.00098634+0.00046094i,0.0010106-0.00030359i,0.00108-0.00060834i,0.00067874-0.00057123i,0.00035295+0.00010875i,0.0002633+0.0007221i,0.00056798+0.00016753i,0.00091183-0.00088913i,-0.00011055-0.00052434i,-0.0012874+0.00023968i,-0.0010712+0.0006405i
-0.00088739+0.0044039i,-0.0022181+0.0065891i,-0.0026646+0.0055669i,-0.0020016+0.0034284i,-0.0021889+0.0021089i,-0.0024908+0.0010027i,-0.0015169+0.0005949i,-0.00018228+0.00053131i,0.00080337+6.9547e-05i,2.9452e-05-0.00023792i,0.00010783-0.00086195i,0.00078296-0.0013165i,-0.00042492-0.00037696i,-0.0012162+0.00027146i,-0.00082559-0.00033705i,-0.00020404-0.0005624i,-0.00039457-0.00082125i,-0.00059681-0.0014197i,-0.00049862-0.0014111i,-0.00036617-0.00014667i,-0.00030672+0.00084073i,-0.00091087+0.00060804i,-0.00072138+0.0011024i
0.0022718+0.004977i,0.0033413+0.0060265i,0.0019827+0.0074574i,0.00078232+0.005453i,0.0013436+0.003601i,0.0010307+0.0024634i,-0.00012406+0.001368i,-3.5398e-06+0.00026015i,0.00026543-0.0003438i,-0.00020306-0.00069752i,-0.00051637-0.0012416i,-0.0010695-0.0010965i,-0.0012953-0.0010717i,-0.0013106-0.00067713i,-0.0015846-3.7723e-05i,-0.0013443-0.00030404i,-0.0011977-0.00073896i,-0.0012872-0.00056749i,-0.0011582+0.00048415i,-0.0011988+0.00049679i,-0.00079567+0.00078172i,-0.00017473+0.00082982i,-0.00017039+0.00032141i
0.0061458-0.0050808i,0.0080273-0.004655i,0.005865-0.0005615i,0.0026122+0.0025899i,0.0013897+0.0023374i,0.00050352+0.0010557i,-0.00016558+0.00099167i,-0.00033061+0.0013328i,-0.00015801+0.0011387i,-0.00025777+0.00015384i,-0.00083757-0.00048785i,-0.0013912-0.00037986i,-0.0002965+0.00022671i,0.00086068+0.00033469i,0.00093249+0.00015487i,-6.4613e-06+8.0495e-05i,-0.00070306+0.00021847i,-0.00066096+0.0002452i,-0.00072621+0.001124i,-0.00038882+0.002191i,-5.7158e-05+0.0012722i,-0.00055904+0.00075767i,-0.00039923+0.00079369i
0.00076657-0.0063917i,-0.0012922-0.0090454i,-0.00012921-0.0069505i,0.0019108-0.001616i,0.0023236+0.00046146i,0.002732-0.00091607i,0.0020061+9.6474e-05i,0.00098242+0.00087368i,0.00083783+0.00039444i,0.00023168+0.00056979i,-0.00037815+0.00091996i,7.6124e-05+0.0016592i,0.00068003+0.0017698i,0.00099839+0.0013069i,0.0016722+0.001551i,0.0023012+0.0011774i,0.0019586+0.00046809i,0.0010431+0.0012718i,0.00064093+0.0014137i,0.00060886-0.00023544i,0.00073771-0.0012449i,0.0004375-0.00070494i,-0.00028652-0.00062922i
-0.0078438-0.0028616i,-0.0088578-0.0030564i,-0.0051007-0.0026428i,-0.0011591-0.00056394i,0.0012083+0.0007711i,0.0018689+4.894e-05i,0.00070535-0.00079813i,0.00066974-0.00053727i,0.00084688+0.00032613i,0.00038953+0.00077622i,0.00027918+0.00080527i,0.00053339+0.00028527i,0.0012225-0.00043332i,0.0019673-0.00078794i,0.0014923-0.00054123i,0.00129+4.5514e-05i,0.0017442+0.00070715i,0.0014751+0.0011908i,0.00074219-1.1319e-05i,6.964e-05-0.00074886i,-2.194e-05-0.00053595i,-0.00023672-0.00026934i,-0.00039801+0.00036559i
-0.0037873+0.0053374i,-0.0063116+0.0077007i,-0.0056437+0.0059849i,-0.0026608+0.0021343i,-0.00070259-0.00044008i,-0.00082604-0.0017619i,-0.00062968-0.0015589i,-0.00013926-0.0012271i,0.00051462-0.00062814i,0.0011491+0.00018086i,0.0012384+0.0004195i,0.00088999-0.00010051i,2.5813e-05-0.00096441i,-0.0004179-0.001058i,-0.0001594-0.0010546i,5.6948e-05-0.00098034i,-1.4171e-05-0.0004151i,-0.00022203+0.00032112i,-0.00048021+0.00017859i,-0.0011665+0.00017581i,-0.0011386+9.0417e-05i,-0.00060142+9.5322e-05i,-0.00029261+0.00061264i
0.0026889+0.0067024i,0.0040401+0.0085114i,0.0025364+0.0079478i,-0.00056347+0.0040618i,-0.0019961+0.00044961i,-0.0022289-0.00036636i,-0.0021769-0.00020223i,-0.0016014-0.00076952i,-0.0010491-0.0010769i,-0.00050402-0.0011151i,0.00035624-0.0013019i,-0.00015472-0.00096622i,-0.0013798-0.00065425i,-0.0018423-0.00061977i,-0.0013016-0.00053126i,-0.00063551-0.00079522i,2.7791e-05-0.00051228i,-0.00035584-3.3536e-05i,-0.00081514-0.00044042i,-0.0009888-0.00049806i,-0.00063728+0.00058019i,-0.00044901+0.0014077i,-0.00054301+0.0010647i
0.0077617-0.0014655i,0.010908-0.0035604i,0.0098358-0.0018727i,0.0051039+4.0481e-05i,0.0007262+0.0004262i,-0.0017724+0.00066096i,-0.0017565+0.0016421i,-0.0011638+0.0022651i,-8.2496e-05+0.0015813i,0.00067587+0.00032477i,0.0010237-0.00067124i,-1.5103e-05-0.00060842i,-0.00086767-5.0189e-05i,-0.00042035+4.2368e-05i,-0.000277-0.00027722i,-0.00027529-0.0002611i,-0.00063379+1.2469e-05i,-0.00092247-1.9703e-05i,-0.00099219+0.00023463i,-0.00064073+0.0010081i,0.00032164+0.00091242i,0.00099328+0.00024949i,0.00095376+0.00029604i
0.0043805-0.0068815i,0.0030372-0.010175i,0.002298-0.0074909i,0.0016602-0.0006436i,0.00054756+0.0033303i,0.00065871+0.003295i,0.0015833+0.0021156i,0.0015644+0.0020074i,0.0017153+0.0015495i,0.0010066+4.3241e-05i,0.00012782-0.00039082i,0.0001688+0.00074338i,0.00017505+0.0014975i,0.00028924+0.0015613i,0.00018594+0.0015025i,-0.00053838+0.0012022i,-0.0003939+0.00089891i,-0.00011485+0.00029079i,-0.00020722+0.00063149i,0.00012446+0.00092974i,0.00032665+0.00039622i,0.00078971+0.00018985i,0.0011655+0.00019102i
-0.0045676-0.0026276i,-0.0094814-0.0040189i,-0.008932-0.0043119i,-0.0031334-0.0030849i,0.00080907-0.0008992i,0.0018024+0.00034992i,0.0021691+7.4607e-06i,0.0025351-0.00066131i,0.001547-0.0010966i,-3.0484e-05-0.00050184i,-0.00022545+0.00011303i,0.00071914-0.00051024i,0.001329-0.00032275i,0.0011969+0.00045368i,0.0013282+0.00075308i,0.0017411+0.0012086i,0.0023239+0.0016177i,0.0017418+0.0014672i,0.00076221+0.00056734i,0.00043013-9.2947e-05i,-0.00024278-0.00076243i,-0.00067928-0.0014349i,-9.1841e-06-0.0018378i
-0.0063762+0.0027736i,-0.0097744+0.0075142i,-0.0085788+0.0068538i,-0.0037254+0.0028899i,-0.00032707+0.0004105i,0.0006325-0.00037594i,0.00084449-0.00078676i,0.001033-0.0018946i,0.00039674-0.0027374i,3.5077e-05-0.0014868i,0.00026595+6.4745e-05i,0.00065011-4.9218e-05i,0.00086888-0.00105i,0.0008138-0.0012283i,0.00078279-0.00041399i,0.00090675+1.1951e-05i,0.0013713+0.00026656i,0.0014623-0.00024099i,0.00041989-0.00074843i,-0.00055319-7.8471e-05i,-0.00059211+0.00069118i,-0.00067182+0.00041298i,-0.0010108-0.00043336i
0.00071966+0.002136i,0.0025918+0.0069003i,0.00087749+0.0084898i,-0.0022061+0.0048316i,-0.0023337+0.00079939i,-0.0013491-0.00067669i,-0.0016424-0.0013664i,-0.0018579-0.0014838i,-0.0017975-0.0011437i,-0.0018608-0.00049864i,-0.00095651-0.00040339i,-0.00060311-0.00078202i,-0.00059617-0.00099815i,-0.00014907-0.0012401i,-2.6252e-05-0.0015335i,0.00022703-0.0013152i,-0.00017058-0.00082432i,-0.00072403-0.00099483i,-0.00073785-0.00072925i,-0.00091293+0.0010234i,-0.0014351+0.0014598i,-0.00095842+0.00066914i,-0.00022071+0.00058819i
0.0086212-0.0002387i,0.015078+0.00014871i,0.014301+0.00071987i,0.0076026+0.0015107i,0.0010237+0.001032i,-0.0025976-9.4052e-06i,-0.0034055-0.00010481i,-0.0026654+0.00057754i,-0.0015795+0.00067719i,-0.00047768-4.397e-05i,-0.00027572-0.00066443i,-0.00089554-6.3034e-06i,-0.001759+0.00063813i,-0.0016117+0.00020975i,-0.0012878+0.00025065i,-0.0012194-0.00023653i,-0.0013916-0.00079528i,-0.0014541-7.0441e-05i,-0.001148+0.00089287i,-0.00091517+0.0014573i,-0.00077514+0.0013898i,-0.00026727+0.0014403i,-0.0003222+0.0011682i
0.0036698-0.003812i,0.0056468-0.010154i,0.0079808-0.0083727i,0.0056943-0.0019579i,0.0024535+0.0016258i,-0.00069325+0.0020465i,-0.0017321+0.0019313i,0.00020401+0.0015973i,0.0015389+0.00097881i,0.0014216+0.0011582i,0.00061393+0.00089564i,-4.9978e-05+0.00055573i,0.00069635+0.0004126i,0.0011432+0.00068268i,0.00023603+0.0010264i,-0.00065387+0.00061826i,-0.00087739+0.00014407i,-0.00095759+0.00071258i,-0.00032549+0.0012389i,0.00034227+0.0010883i,0.00011365+0.00087422i,-0.0003992+3.7841e-05i,-0.00018575-0.00053767i
-0.00079542-0.00083697i,-0.0072755-0.0060156i,-0.0059617-0.0093576i,5.4611e-05-0.0068098i,0.002601-0.0031503i,0.0010881+0.00036119i,0.00026191+0.0023828i,0.0017565+0.001647i,0.0029578+2.4366e-05i,0.0020924-0.0011109i,0.00082544-0.0014102i,0.0010896-0.00052077i,0.0011363+0.00070481i,0.00065132+0.00076501i,0.00033266+0.0014839i,0.00057678+0.0016226i,0.00088754+0.0010234i,-7.7319e-05+0.00083827i,-0.00025002+0.00027354i,0.00057871-8.0863e-05i,0.00068008-0.00018825i,-4.8591e-05-0.00081793i,-0.00075419-0.00090749i
-0.0050527+0.0023023i,-0.0127+0.0062611i,-0.012695+0.0051782i,-0.0057113+0.0016657i,0.00015614-0.00010731i,0.0026293-0.00055799i,0.0027343-0.0003713i,0.0015089-0.00072429i,0.00036534-0.0010994i,-0.00014008-4.3413e-05i,-0.00010942+0.0007574i,0.00026244-0.00059498i,0.0002247-0.0011951i,0.0001517-3.8256e-05i,0.00053264+0.00047464i,0.0011307+0.00092488i,0.0013584+0.0014195i,0.0012972+0.00015921i,0.0015331-0.00099369i,0.0012483-0.00076497i,0.00020693-0.00075774i,-0.0007589-0.00010069i,-0.0012047+0.00068288i
0.0032832+0.0058939i,0.0037128+0.01392i,0.0011933+0.015568i,-0.00031995+0.0091169i,9.5846e-05+0.0021026i,0.0015671-0.001885i,0.0017358-0.0027044i,0.00084946-0.0015486i,-0.0011462-0.0010715i,-0.0020703-0.00090537i,-0.0008925-0.0014001i,-0.00019455-0.0017972i,-0.00036945-0.00082654i,-0.00048566-0.00073159i,-0.00021762-0.00082834i,0.00032809-0.00011566i,0.00071605+0.00021464i,0.0010245-0.00048444i,-0.00012119-0.001127i,-0.00085972-0.0007463i,-2.6048e-06-0.00035755i,0.00037199+0.00015606i,-0.00048865+0.00037029i
0.0041457+0.00056675i,0.012768+0.0038362i,0.013177+0.0079247i,0.0063523+0.0085011i,0.00098564+0.0043832i,-0.0010414-0.00062942i,-0.001811-0.0022999i,-0.0019916-0.0011224i,-0.0018129-0.0002058i,-0.0011099+0.00016559i,-0.00092581+0.00044316i,-0.0017114+2.2834e-06i,-0.0018131-0.00068472i,-0.0010085-0.001677i,-0.00038177-0.0024032i,-0.00044481-0.0016191i,-0.00092573-0.00073349i,-0.00095677-0.00025502i,-0.00088697+0.00040611i,-0.00073805+0.0009679i,-0.00028949+0.00026725i,-0.00024856+0.00017872i,0.00064093+0.0011906i
0.0039597-0.006091i,0.0095391-0.011517i,0.012096-0.011316i,0.0078052-0.0054844i,0.00076038-0.0012657i,-0.0034066-0.00033743i,-0.0037679+0.00035592i,-0.0022+0.001602i,-0.00085678+0.0020376i,-0.00010557+0.0015355i,-0.00025947+0.00056701i,-0.00035737+0.0006316i,-0.00011894+0.0014925i,-0.00016257+0.0013359i,-0.0006927+0.00033064i,-0.0011107-0.00047806i,-0.0011158-0.00054963i,-0.0010429+0.00030328i,-0.00063654+0.00089461i,-0.00041397+0.001245i,-4.8112e-05+0.00077264i,0.00017632-7.4796e-05i,-7.8102e-05-0.00019086i
-0.0062772-0.0048941i,-0.012015-0.014086i,-0.0106-0.015893i,-0.0051904-0.0087009i,-0.0026906-0.00064222i,-0.0029512+0.0030274i,-0.0024128+0.0035685i,-0.00014839+0.002797i,0.0018162+0.0015274i,0.0019303+0.00070853i,0.00053853+0.00057883i,-0.00048117+0.0012903i,-0.00047642+0.0020984i,-0.00030427+0.0016557i,-0.00011779+0.0012858i,-0.0010676+0.001542i,-0.0015022+0.0014864i,-0.00059627+0.0012566i,0.00023694+0.0010156i,0.00048371+0.00093861i,-0.00036171+0.00076252i,-0.0014557+0.00048721i,-0.0013912+0.00061661i
