0.0010178-0.00089457i,0.0010548-0.0011857i,9.1367e-05-0.0024219i,-0.0008712-0.0022049i,-0.00048055-0.0011955i,-0.0001788+0.00077473i,8.7003e-05+0.0014019i,0.0016231+0.0011165i,0.0020667+0.00058398i,0.00094491-0.00025439i,0.0006995-0.0006088i,0.0011019-0.00038844i,0.0010243+0.00023039i,0.00029928+0.00049481i,-0.00031467+0.00055102i,-0.00019245+0.00039822i,-0.00058106+0.00041527i,-0.00097389+0.0010007i,-0.001005+0.00074632i,-0.00092501-0.00020029i,-0.00016394+0.00016497i,0.00066136+0.00071081i,0.00059397+0.0003039i
0.0002343+0.00011724i,0.00024679+0.0011542i,0.00068845+0.00046463i,0.0010354+4.3184e-05i,0.0013722+0.00018807i,0.0014162+0.0003077i,0.0007795-3.8825e-06i,-0.00014756+7.186e-05i,-0.00033867-0.00022992i,2.4969e-05-0.0010213i,-0.00025671-0.0012472i,-0.00026067-0.00081565i,0.00018113-0.00047734i,-8.3263e-05-0.00023332i,-0.00065538+0.00031498i,-0.00075667+0.0004672i,-0.00053755+0.00023572i,-0.00023342+4.201e-05i,-0.00053701-0.00075345i,0.00021202-0.0014345i,0.00085207-0.0010903i,0.00082412-0.00097461i,0.00074617-0.00073634i
-0.0012214+0.0012546i,0.00054581+0.0012742i,0.0012168+0.00099555i,0.0023765+0.00026304i,0.0032579+0.00040312i,0.002136-0.00052231i,0.00077864-0.0013019i,0.00040335-0.00058643i,0.00026801+0.00048832i,0.00015595+0.0012036i,1.7825e-05+0.00044211i,-4.7032e-05-0.00086767i,-0.00036209-0.00076342i,-0.00010836-0.00047144i,0.00033262-0.0006264i,-0.00036773-0.00038036i,-0.0002443-7.7711e-05i,8.6353e-05+0.00052421i,-7.6034e-05+0.00074164i,-0.00082758-0.00013454i,-0.0012384-0.00028413i,-0.00058226+2.2217e-05i,0.00035305+0.00037159i
0.0018737+0.0028777i,0.0024185+0.0021827i,0.0030342+0.0013715i,0.0028219+8.4815e-05i,0.0029142-0.0013226i,0.0011656-0.00099451i,-0.0010073+0.00014416i,-0.00053387+0.00064054i,0.00058637+0.00098889i,0.00068464+0.0013005i,5.1551e-05+0.00061072i,-0.00026122+0.00010264i,-0.00058811+0.00038865i,-0.00088256+0.00033442i,-0.00052557-0.00047688i,0.00039541-0.0008423i,0.00043304-0.00054475i,0.00060753-6.5058e-05i,0.00067562+0.00021947i,0.00011955-0.00011736i,-0.0002234-0.00084068i,0.00016667-0.0011033i,0.00073443-0.00032551i
-0.0014536-0.001487i,-0.0033767-0.0013793i,-0.0028087-0.00059595i,-0.0014391+0.00056232i,0.00016326+0.00046283i,0.00068918-0.00032298i,0.00039812+0.00047178i,-7.3519e-05+2.3195e-05i,-0.00068789-0.00075076i,-0.00088613-1.2524e-05i,-0.00051978+7.863e-05i,4.9515e-05+0.00018694i,0.00023489+0.00030723i,0.00064257+8.6094e-05i,0.0004777-3.8792e-05i,-0.00058609-0.00018223i,-0.00031056-0.00027565i,0.00045632-0.00042797i,-7.3503e-05-0.00059437i,1.3879e-05-0.00033701i,0.0010102+0.00025485i,0.0011102+0.00044962i,0.00058832+0.00047037i
0.00010935-0.00087028i,0.00029136-6.4132e-07i,0.0017371-0.00041817i,0.0023149-0.00038361i,0.0014966-7.5043e-05i,0.0015157+1.6435e-05i,0.0015931-9.0163e-05i,-0.00027976-0.00016292i,-0.00069612-0.00042749i,0.00011565-0.00060866i,-3.8189e-05-0.00051454i,0.00029171-0.00015634i,0.0005576+0.00037025i,0.00022915+0.00065867i,-0.00029466+0.00023949i,-0.00051809+4.9105e-05i,-0.00057524+0.00058769i,-0.00040493+0.00079294i,-0.00067188+0.0004488i,-0.00048753+3.2849e-05i,0.00074473+0.00089217i,0.00081788+0.0014504i,0.00033794+0.00043628i
0.00057735+0.00074081i,-0.00017179+0.0017983i,-7.0173e-05+0.0028105i,0.0012986+0.0027087i,0.0028575+0.001598i,0.0020772+0.00040873i,0.00049656+0.00010084i,0.00038536+0.00053838i,0.0010977+0.00026515i,0.0014916-0.00069573i,0.0016715-0.00096997i,0.0012703-0.00082729i,0.00039619-0.00037182i,5.1458e-05-0.00013041i,2.844e-05-0.0005579i,0.00064307-0.00035328i,0.00043944+0.00011196i,0.00019869+0.00049498i,-0.00015812+0.00070252i,-0.00092262+0.00069255i,-0.00054853+0.00017385i,-8.0882e-05-0.00043864i,-3.1242e-05-0.00045089i
0.00058932+0.0022403i,0.0014106+0.003856i,0.0030045+0.0036692i,0.0037941+0.0024467i,0.0034057+0.0016797i,0.0021982+0.00013471i,0.00057391-0.00069011i,0.00058735-0.00088651i,0.0010608-0.0010623i,0.00093722-0.00088192i,0.00047442-0.00054403i,-0.0004883-0.00051187i,-0.00066647-0.00043728i,-0.00053807+0.00026158i,-0.00067275+0.00078163i,-0.00043746+0.00020752i,-0.00042909-0.0005033i,-0.00012954-0.0008474i,9.8179e-05-0.00078516i,0.00033214-0.00045145i,0.00041734+3.877e-05i,0.00020955-0.00029848i,8.8466e-06-0.00091178i
0.00039157-0.0042295i,-0.0015325-0.0049259i,-0.0036021-0.0036441i,-0.0022185-0.00089185i,0.00024397+0.0011343i,0.00099182+0.0014102i,0.000867+0.00072387i,0.00051691-0.00027346i,0.00043253-0.00082968i,0.00011105-0.00026767i,-0.00044092+0.00048932i,-0.0003963+0.00050262i,-0.00064377+0.00038018i,-0.00072685+0.00029879i,-0.00028281+0.00092956i,0.00039984+0.0013081i,0.00065394+0.00083499i,-0.00029732+0.0003664i,-6.503e-05+0.00049285i,0.00038218+0.00084317i,0.00023929+0.0011222i,0.00054218+0.00097935i,0.00068197-0.00043922i
0.00029196+0.0021111i,0.00055149+0.0016555i,0.0021662+0.0008793i,0.0032158+0.00042368i,0.002317-0.0004616i,0.0011737-0.0007041i,0.00062736+0.00019817i,0.00056139+0.00027299i,0.00024979-0.00032684i,0.00039151-0.00081715i,0.0003633-0.00076175i,-0.00011778-0.000723i,-0.00058271-0.0010458i,-0.0010714-0.0009993i,-0.00099463-0.00058817i,0.0001701-3.7209e-05i,0.00072926-0.00028496i,0.00063041-0.00029451i,-9.4902e-05-0.00043102i,-0.00074349-0.00027552i,-0.00071703+3.3775e-05i,0.00011163+4.1362e-05i,0.00067117+0.00075996i
-0.00094771+0.00087173i,-0.0013953+0.0019849i,0.00072088+0.0024735i,0.0027019+0.0013221i,0.0031617+4.4732e-05i,0.0019295-0.00042254i,0.00035911+8.0491e-05i,9.996e-05+0.00042569i,0.00065641+0.0007036i,0.00078097+0.00079099i,-0.00018429+0.00031895i,-0.00054275+7.3701e-05i,-0.00099162-1.4645e-05i,-0.00064226-0.00030388i,3.3569e-05-0.00036812i,-0.00028205-6.5816e-05i,-0.00047408+0.00012579i,-0.00074621+0.00021693i,-0.00076862-0.00046668i,-0.00071049-0.00068586i,-7.4328e-05+8.9765e-05i,0.00015403+0.00032097i,-0.00045623-7.1752e-05i
0.0022232+0.0016741i,0.002525+0.0011022i,0.0033808+4.4977e-05i,0.0029693-0.00011584i,0.002796+0.00082989i,0.0021174+0.00086293i,0.00060429+0.00034015i,0.00064579+0.00068661i,0.00078634+0.0014607i,0.00054739+0.00074472i,0.00059669-0.00088622i,0.00030638-0.00049472i,-0.00026815+0.00011057i,-0.00032619+2.3072e-05i,-0.0006042+0.00020663i,-0.00039464-9.4203e-06i,-0.00025373+2.7685e-05i,-0.00083254+0.00064646i,-0.00082172+0.00095273i,-0.00055432+0.0010933i,-4.987e-05+0.00068835i,0.00057947-0.00027832i,0.00033197-0.00051884i
-0.0020038+0.0014768i,-0.0029703+0.0015989i,-0.0031713+0.0025259i,-0.0020899+0.0022465i,-0.00022694+0.00070555i,0.0014432+0.00024506i,0.0021358+0.00063604i,0.0020448+0.00067813i,0.0019259+0.00032561i,0.0017373-2.5315e-05i,0.0018373+0.0001449i,0.0018786-0.00038605i,0.00050435-0.0013766i,-0.00026081-0.0014856i,-0.00021431-0.00061974i,0.00016959-0.00082102i,0.00041777-0.00053149i,0.0001245+7.2512e-05i,0.00046448+0.00017467i,0.00052051+0.00019872i,-0.00031801+0.00018469i,-0.00069709+0.00015125i,-0.000517-8.6169e-05i
-0.00035549+0.00049597i,0.00048698+2.8786e-05i,0.0021113+0.00036753i,0.0029693+0.00082116i,0.0032734+0.00062565i,0.002039+0.00072974i,0.00081126+0.00060712i,0.00062842-2.6497e-05i,0.0003117-0.00019018i,6.4507e-06+0.00013762i,0.00055246+0.00034435i,0.0010412+0.000195i,0.00091005+8.2161e-05i,0.00037655+5.8118e-05i,-0.00044521-0.00094377i,-0.00092165-0.0013696i,-0.00099413-0.00065906i,-0.00093614+0.00024779i,-0.00091556+0.00038336i,-0.00048053-8.2955e-05i,0.00015346-0.00010988i,0.00023763-0.00022772i,0.00052891-0.00018031i
0.0018684-5.804e-05i,0.0017621-0.00043818i,0.0021913-0.00071462i,0.002168-0.00045288i,0.0015368-0.0010064i,0.00064908-0.00095102i,0.00014214+0.00034125i,0.0001625+0.0011847i,0.00029978-0.0002896i,0.00038299-0.001135i,-0.00026746-0.00076219i,-0.0012619-0.00058646i,-0.00063606-0.00024493i,8.9365e-05+0.00023479i,4.0423e-05+0.00035512i,-0.00058911+0.00043191i,-0.00075254+0.00079194i,-1.3739e-06+0.00086713i,0.0004969+0.00024017i,0.00023652-0.00012076i,0.00044187-4.5161e-05i,0.00078534+0.00018639i,0.00097888+0.00033547i
0.00093028+0.002624i,0.00127+0.0028704i,0.0018294+0.0032382i,0.0026215+0.0015307i,0.0030728+0.00043067i,0.0016963+0.00032084i,0.00059677-0.00037526i,0.00051478-0.0004937i,-0.0001839-9.9818e-05i,-0.00049556-0.00033721i,-0.0003924-0.00059682i,2.677e-05-0.00052679i,0.00063984-0.0003774i,0.00015009-2.3301e-06i,-0.00056912+0.00044591i,-0.00024843+0.00069538i,-0.00027694+0.00028561i,-0.00078005+3.7282e-06i,-0.00070358+0.00010138i,-0.00030353+0.0001877i,-0.00034757+0.0002492i,5.4031e-05-0.00027405i,0.00025986-0.0004099i
0.00065107-0.0017004i,-0.00037057-0.00081644i,0.00058882-0.00067749i,0.001286-0.0013483i,0.0012909-0.0015547i,0.0018366-0.00083528i,0.0021419-0.00058637i,0.00080212-0.00029733i,9.3977e-05-0.00073814i,8.5024e-05-0.000927i,-0.00077293-0.00012644i,-0.0011856-0.00013745i,7.9668e-05+7.7552e-06i,-0.00025238+0.00067354i,-0.00090666+0.00087569i,-0.00046832+0.0009974i,-1.5472e-05+0.00072098i,0.0004566+0.00018644i,0.0002544+0.00024574i,-0.00099923+0.00032777i,-0.00098552-0.00017682i,-0.00041627-0.00093725i,-0.00039643-0.00013833i
0.0010021-0.0012348i,-0.0005258-0.0019885i,-0.0016793-0.00013344i,-0.00042361+0.0017315i,0.0021406+0.0019008i,0.0027889+0.00089392i,0.0011112+0.00033201i,-0.00022654+0.00030986i,-0.00081547+0.00035394i,-0.0011946+0.00080411i,-0.00031176+0.001197i,0.00033651+0.00071349i,0.0004817+7.4779e-05i,0.00068295+0.00013819i,0.00075146+0.00030165i,0.00064903-7.2792e-05i,0.0003031-0.00011369i,0.00024038+0.00033859i,-0.00037185+0.00058987i,-0.00091744+0.00038406i,3.9626e-05-8.5087e-05i,0.00073856-0.00035884i,0.0002217+0.0004647i
-0.0022422+0.0028998i,-0.0016734+0.0040179i,0.0013034+0.0046211i,0.0031509+0.0033707i,0.0043383+0.00067397i,0.003815-0.00086077i,0.0019652+0.00028866i,0.001571+0.00084577i,0.0015045+0.00029413i,0.0007585+0.00023662i,0.0007032-7.0725e-05i,0.00066583-0.00042247i,9.8549e-05-0.00072693i,-0.00038072-0.00089687i,-0.00069059-0.00086777i,-0.00075533-0.0011136i,-0.00015782-0.00053485i,0.00041114+0.00042709i,3.4808e-05+7.4011e-05i,-0.0001785+0.00016003i,-0.0002406+0.00080714i,-0.00020749+0.00059254i,0.0001376+0.00046578i
0.012347-0.0029371i,0.014077-0.0052109i,0.0099038-0.012462i,0.0016633-0.013049i,-0.0040665-0.0088841i,-0.0054851-0.0026144i,-0.002919+0.00032981i,-0.0005284-0.0003083i,0.00086374-0.0015678i,-0.00028169-0.0021879i,-0.0017258-0.0014143i,-0.00083153+0.00051943i,-0.00024157+0.002432i,-0.00074592+0.003484i,0.00032021+0.0028447i,0.0012122+0.0006128i,0.00063828-0.0010485i,0.00038554-0.0012241i,0.00085544-0.00097303i,0.00076913-0.00066061i,9.7544e-05+0.00011367i,-0.0001111+0.00066838i,-0.00018334+0.00033619i
-0.001814-0.0022051i,-0.0020837-0.0022445i,-0.001429-0.0032019i,-0.00029082-0.0022328i,-8.9046e-06-0.00024779i,0.0010229+0.0011283i,0.0019066+0.0015438i,0.0016532+0.00060721i,0.00074885-0.00067599i,-5.2251e-05-0.0013504i,0.0006539-0.00074042i,0.00098439-0.00027175i,0.0010402-0.00049142i,0.0011012-0.00024291i,0.0010904+0.00022839i,0.0013449-1.7846e-05i,0.0013152-0.00042755i,0.00091304-0.0003637i,0.0011807-0.00051075i,0.0017366-2.455e-05i,0.00066987+0.00061451i,-0.00029647+0.0009035i,-0.00062012+0.00046844i
0.001589-2.767e-05i,0.0011989+0.00012687i,0.00035837+0.0006893i,0.00027471+0.0012389i,0.00097705+0.00088918i,0.0010778+0.00039852i,0.00066462-1.3779e-05i,0.00048971+1.9851e-05i,0.00028623-0.00033324i,-0.000131-0.00066909i,-0.00099034-2.1756e-05i,-0.001471+0.00044044i,-0.00054794+0.00037364i,-5.4338e-05+0.0008063i,-0.00068259+0.001278i,-0.00022992+0.001056i,-0.00012614+0.00060698i,-0.00093896+0.000165i,-0.00029704-0.00068532i,0.0010364-0.00094758i,0.0015206-0.00092866i,0.0015221-0.0013228i,0.0013298-0.0010358i
0.0028193-0.00082463i,0.0034472-0.0012959i,0.0032375-0.0019001i,0.0023475-0.0020333i,0.0016993-0.0013109i,0.00094288-5.3675e-05i,0.00016177+0.00099639i,-0.00063058+0.0017161i,-0.00026312+0.00076993i,6.3327e-05-0.00032218i,-0.00048865-2.9108e-05i,-0.00031086+0.00035198i,-8.0443e-05+0.00057471i,-0.00022727+0.00062735i,-0.00018976+0.00063488i,-0.00029541+0.00042804i,-0.00044333-0.00017403i,-5.7514e-06-0.00073735i,-0.00015757-0.00024027i,-0.00055717+7.3098e-05i,-0.00052046-0.00028972i,0.00019481-0.00030749i,0.00038659-0.00025705i
-0.00054961-0.0020093i,-0.0011955-0.0012259i,-0.00080209+0.00032146i,-0.00024929+0.0011854i,0.00021788+0.0010444i,0.00096293+0.0011313i,0.00091768+0.0011197i,0.0010947+0.00023498i,0.00063506-0.00014223i,-0.00037334+0.00013987i,-0.00050896+5.7911e-05i,-0.00023386+0.00014674i,0.00034971+0.00014835i,0.00036364-0.00031667i,0.00026124-0.00043846i,0.00062348-0.00016682i,0.00013099+7.2467e-06i,-0.00036179-0.00020461i,-0.00037264-0.00040763i,-0.00068209-0.00042591i,-0.00052629-0.00030225i,-2.9154e-05-0.00036667i,-0.00049021-0.00053918i
0.00055835-0.00046481i,0.0016023-0.00054541i,0.0010517-0.0016707i,0.0011868-0.0016936i,0.0020753-0.0013569i,0.0014342-0.0013974i,0.00043886-0.0012281i,-0.00020403-0.0011479i,-0.00025614-0.00062267i,-0.00040107+9.3442e-05i,-0.00060192+0.00043986i,-0.00052007+9.5845e-05i,-2.0021e-05+0.00033363i,0.00031161+0.00048901i,5.8539e-05-2.0229e-05i,-0.00079222-0.00026713i,-0.0010373-0.00036228i,-0.00034881+1.6823e-05i,0.00023699-7.1838e-05i,0.00071481-0.00013505i,0.00076752-0.0001309i,-2.6248e-05-0.0002162i,-0.00011726-0.00039995i
0.001306+0.0017699i,0.0005667+0.0014149i,-0.00089153+0.0015404i,-0.00075724+0.001056i,0.00039501-0.00023754i,0.00028385-0.00053339i,-0.0006197-0.00014836i,-0.00044369+0.00074438i,5.6589e-05+0.00095904i,0.00016282+0.00098082i,0.00025936+0.00050896i,1.0959e-05+0.00010315i,-0.00028064+8.146e-05i,-0.00024444+0.00068788i,-0.00047099+0.00099093i,-0.00058277+0.00045935i,-0.0001725-7.3892e-05i,0.00060555+0.00040519i,0.00097559+0.00081447i,0.00035115+0.00025594i,-8.0935e-05-0.0002287i,0.00034884+0.00016947i,-0.00011395+0.00019959i
0.00025645-0.003549i,0.00036465-0.0036303i,0.00042865-0.0038961i,-0.00038746-0.0025924i,-0.00037567+0.00020129i,0.00057555+0.0023016i,0.00082836+0.0021123i,0.00058904+0.00085772i,0.00062346+0.0002021i,0.00035757+9.7083e-05i,0.00013459+0.00010783i,0.00037197-0.00012401i,0.00068274-0.00024661i,0.00048068-0.00042431i,0.00022767-0.00024654i,-0.00017361-4.7114e-05i,-0.00061992+0.00031793i,0.00016207+0.00028695i,0.0013759+0.00016236i,0.00057797+0.00082989i,0.00030285+0.00050255i,0.00049014+0.000304i,-0.00038416+0.00036877i
2.8281e-06+0.0025722i,0.00089596+0.0027617i,0.001219+0.0025077i,0.0017594+0.0028281i,0.0020955+0.0021097i,0.0013284+0.00027829i,0.00071454-0.00073426i,0.00041908-0.0009581i,0.00042584-0.00063845i,1.4648e-05-0.0006316i,-0.00029109-0.0011319i,-0.00029974-0.0014335i,-0.00041103-0.001376i,-0.00075376-0.001301i,-0.00020269-0.0013494i,0.00046636-1.8391e-05i,0.00035128+0.0004982i,-0.00013421+6.5815e-05i,-0.00022269+0.00039554i,-0.00020486+0.00043427i,-0.0005847-8.3719e-05i,-0.00021697-0.00048982i,0.00015482-0.00055904i
-9.6897e-05-0.0011029i,3.0806e-05-0.0010602i,-0.00068257-0.00076742i,-0.00083319-0.000125i,0.00062655+0.00011123i,0.0013163+0.00012215i,0.0004793-2.4821e-05i,-0.00041173-0.00030879i,0.00023799-0.00020121i,0.00043237-0.00022712i,-0.00023479-0.00013762i,0.00012022+0.00089618i,3.3331e-05+0.00089777i,2.2351e-05-0.0003207i,0.00048432-0.00072613i,0.00076762-0.00047448i,0.00078535+0.00015247i,0.00027939+0.00020914i,0.00071719-0.00020058i,0.00077289-0.00071946i,0.00028477-0.00058845i,0.00026607+5.9587e-05i,2.8846e-05+0.00052834i
0.00015017-0.00079108i,-0.0012737-0.00031206i,-0.0017674-0.00019038i,-0.00017234+0.00030185i,0.0017438+0.0011497i,0.0025054+0.0012232i,0.0018468+0.00086114i,0.00057623+0.00049753i,-0.00054309-0.00013117i,-0.00054319-0.00039151i,0.00066522+0.00012421i,0.00067511+0.00062805i,0.00017379+0.00080124i,0.00012842+0.00067374i,-0.00041263+7.0939e-05i,-0.00055357+0.00017518i,-0.00018024-0.00013077i,8.0586e-05-0.00059353i,-0.00033372-0.00077228i,-0.00012435-0.00067545i,1.1168e-05-0.00059456i,-0.00016624-0.00064644i,5.4161e-05-0.00058778i
0.00097366+0.00037459i,0.00013891-0.00063358i,-0.00074428-0.00075591i,0.00021648+0.00017048i,0.0011227+0.00066571i,0.0014666+0.00032152i,0.0010275-0.00028618i,0.00057776+0.00010304i,0.00039943+0.0010344i,-0.00064112+0.0012812i,-0.0010401+0.00085071i,0.00030355-0.00020676i,0.00124-6.1154e-05i,0.00097954+0.00066791i,0.00064305+0.00066657i,0.00095198+0.00013368i,5.6631e-05-0.0002521i,-0.00024905+0.00044636i,-3.1964e-05+0.00093458i,-0.00027941+0.00073977i,-0.00056785+0.00011922i,-0.00078005+0.00073381i,-0.00086947+0.0007552i
-0.0022234+0.00068735i,-0.00053161+0.00046786i,0.0006309-0.00060713i,0.00077756-0.00062682i,0.00093231-0.00037287i,0.00051431-0.00068435i,9.186e-05-0.00019404i,-1.9091e-05+0.0007823i,0.00018359+0.00062952i,0.00098248+0.00069813i,0.00047556+0.0010621i,-0.00034298+0.00044966i,-0.00015904-0.00024518i,0.00031072-0.00086805i,0.00037934-0.0011408i,-0.00012481-0.00051344i,-0.00049147+0.00048912i,0.00041029+0.00085742i,0.00046431+0.0011198i,-0.00049013+0.00070145i,-0.00053146-0.00037583i,-0.0008343-0.00089892i,-0.00052758-0.0010736i
-0.00065654-0.002478i,-0.0021545-0.0016184i,-0.0018735+0.00025246i,-0.00077684+0.0026134i,4.1364e-05+0.0029586i,0.00088798+0.002388i,0.0014417+0.0020543i,0.0014107+0.0013751i,0.00093887+0.0004584i,0.00053603+0.00029454i,0.00099552+0.00093463i,0.0012157+0.00064777i,0.00050007+0.00013379i,0.00049842-0.00041278i,0.00037014-0.0010585i,0.00042166-0.00092832i,0.00064112+6.2811e-05i,0.00033744+0.00039491i,0.00025281+0.00034059i,0.00062763+4.0718e-05i,0.00043212+6.5242e-05i,0.00040334+0.00052135i,0.0003279+0.00026637i
-0.0006123+0.00090428i,0.00075623+4.8519e-05i,0.00082669+0.00077304i,0.0011206+0.0010162i,0.0023862+0.00099614i,0.0019123+4.6084e-05i,0.00081863-0.00088375i,0.0011413-0.00040871i,0.0018567-0.0005864i,0.0021163-0.0012452i,0.00097028-0.0016128i,-0.00036533-0.00121i,-0.00045995-0.00054909i,-0.00024247+0.00016947i,-0.00020866+0.00016354i,-0.00074706-0.0002565i,-0.0011024-0.00028195i,-0.00081765+0.00031129i,0.0002301-7.7691e-05i,0.00043964-0.00068002i,-0.00014783-0.00044386i,-0.0003879-0.00054696i,0.00020661-0.00051907i
0.00025493-0.0035738i,0.00020022-0.0039538i,-0.00016341-0.0033185i,-5.5759e-05-0.00080094i,-0.00066197+0.00084447i,-0.00096264+0.00081226i,-0.00077906+3.2556e-05i,-0.00040735-0.0011567i,-0.00039637-0.0017528i,-0.0019072-0.00097385i,-0.0024995-0.0003526i,-0.0015134-0.00047482i,-0.0008676-4.0238e-06i,-0.00080434+9.2864e-05i,-0.00020884-0.00040326i,0.00063411-0.00045524i,0.0010613-0.00094042i,0.00028343-0.0010678i,-0.00080015-0.00073157i,-0.00020819+3.4111e-05i,0.00029213+0.00038i,0.0001567-0.00020287i,0.00020916-4.8148e-05i
-0.0011133-0.00057326i,-0.00037322-0.0013484i,0.00087514-0.0018301i,0.0018411-0.0013239i,0.0020837-0.00013474i,0.0012908-0.0001334i,0.0012227-0.00087919i,0.00062811-0.00026951i,-0.00033843-9.1485e-05i,-0.00092077+7.1465e-05i,-0.00095021+0.00028664i,-0.00077456-0.00023429i,-0.0012238+0.00020423i,-0.001323+0.00047055i,-0.00044513-0.00036445i,-7.5531e-05-9.6614e-05i,-0.00076562+0.00052979i,-0.0010419-5.9273e-05i,-0.00016825-0.00045526i,0.00073251+4.5521e-05i,0.00084416+0.00019575i,0.00069298+0.00015623i,0.00016247+0.0001404i
0.0010253+0.004179i,0.00069054+0.0033607i,0.00046564+0.0025188i,0.00083661+0.0017029i,0.0013318+0.00065849i,0.00086535-0.00055549i,0.00035865-0.00066774i,-0.00015883+0.00073171i,7.0777e-05+0.0018701i,0.00059055+0.0014388i,1.0669e-06+0.0011007i,-0.00069752+0.0011931i,-0.00020182+0.00069595i,0.00033533-0.00032305i,-6.5585e-05-0.00055157i,0.00027981-0.00028803i,0.00083948-1.6312e-06i,0.00020016+0.00071052i,-0.00048522+0.00057116i,-8.2167e-05+0.00022099i,0.00087145-0.00017816i,0.0008483-1.5819e-05i,0.00015177+0.00049232i
-0.0023958-0.00076752i,-0.0028761+6.722e-05i,-0.00136-0.00018094i,0.00053949-0.00080908i,0.0013443-0.0013822i,0.0014754-0.001078i,0.0012033-0.00088113i,0.0010731-0.00086914i,0.0011272-0.00043106i,0.00092334-0.00032188i,0.00037685-0.00027049i,8.2012e-05+6.1294e-05i,0.0001413-4.4449e-05i,0.00077116-0.00017208i,0.00089407+5.5269e-05i,0.00049031+4.7316e-05i,0.00027908+0.00037977i,6.4629e-05+0.00077848i,0.00019605+0.0010007i,-0.00021394+0.00046937i,-0.00040991-0.00017338i,0.00015656+0.00063134i,-0.00032183+0.00080675i
0.0012059-0.0039745i,0.0022288-0.0035095i,0.0025718-0.0017977i,0.0020524+0.00060554i,0.0020902+0.0021178i,0.0019654+0.0027036i,0.001359+0.0019737i,0.00015155+0.0012802i,-0.00065016+0.0012341i,-0.00052318+0.0013537i,0.00015464+0.00090324i,0.0013203-0.00031532i,0.0015153-0.0010886i,0.0012072-0.00063264i,0.00041759-0.00019641i,-0.00046814-0.00044127i,-0.00045836-0.0003762i,-0.0002713+4.7897e-05i,-5.5697e-05+0.00048852i,-2.3426e-06+0.00036951i,-2.3122e-05+0.00044716i,-0.00035818+0.00016147i,-0.00046036-0.0001435i
-0.0016366+0.0018875i,-0.0017232+0.0021324i,-0.0014268+0.0011442i,0.00083119+0.00030969i,0.002807+0.00054331i,0.0027854+0.00011167i,0.0018711-0.00010551i,0.0014733+0.00074968i,0.0015447+0.00080459i,0.0012504+1.7793e-05i,8.491e-05-0.0013889i,-0.00092182-0.0021842i,-0.00072422-0.0016501i,5.2933e-05-0.00047472i,0.00010842-0.00042363i,-0.00043022-0.00048445i,-0.00054571+1.1763e-05i,-0.00036206+5.538e-05i,-0.00040338+1.3028e-05i,-0.0012069+3.2121e-05i,-0.0015488-0.00015084i,-0.0011099+6.6259e-05i,-0.00098703+0.00038402i
0.0019103+0.0022597i,0.0021543+0.002364i,0.00249+0.0022326i,0.0018234+0.00092584i,0.00091459-0.0010715i,0.0003314-0.0014093i,-2.883e-05-2.3929e-05i,0.00018501-1.2153e-05i,0.00059596-0.0011907i,0.00062194-0.0019803i,7.6097e-05-0.0017287i,-0.00048204-0.00069744i,-0.00051075+0.0012514i,-0.00073764+0.0019245i,-0.00056095+0.00019438i,-2.0923e-05-0.00061793i,0.00039055+0.00029721i,0.00026304+0.00063921i,-3.1678e-05+0.00011165i,-8.6511e-05-0.00010714i,8.7624e-05-0.00018885i,0.00026351-0.00016341i,-0.00011053-0.00013204i
0.00079877-0.0012627i,0.00097738-0.0011312i,-0.00037998-0.0011726i,-0.00052286-0.00063077i,0.0002831+8.6076e-05i,0.00046965+0.0010758i,0.00055452+0.0014519i,-0.00045656+0.00052111i,-0.0016071+0.00012744i,-0.0023054-0.00040616i,-0.0020845-0.0006675i,-0.0012844+0.0002153i,-0.001372+0.00018283i,-0.00078449-0.00039941i,0.00046038-0.00016892i,0.00083439-0.00051053i,0.00091228-0.00050488i,0.0010226+0.00042556i,0.0010687+0.00068815i,0.00084509+0.00016181i,0.00052987-0.00028167i,0.00037507+0.00032631i,-0.00052113+0.00037848i
-0.0019516-0.0023801i,-0.0018006-0.0027986i,-0.0014368-0.0031659i,-0.0008831-0.0014501i,2.1999e-05+0.00045865i,0.0011218+0.00092345i,0.00083365+0.00061299i,0.00011577+0.00089167i,-0.00036738+0.0014511i,-0.00036489+0.0013882i,-0.00019359+0.00099086i,-0.00035953+0.00021466i,-0.00025168+4.3414e-05i,0.00016426+0.0011809i,4.0798e-05+0.0014957i,-0.00011778+0.0009728i,-7.7488e-05+0.00030291i,-0.00016104-4.1965e-05i,-0.0001105-0.00011653i,-0.00048482+0.00018554i,-0.00043439+0.00087278i,-0.000336+0.00058939i,-0.00026775+0.00010219i
0.003253-0.00084824i,0.0030802+0.00013919i,0.0023778+0.00059686i,0.00073209-0.00026725i,0.00057336-0.0011355i,0.00095876-0.00057146i,0.00069691+0.00037169i,0.00036605+0.00012885i,0.00024006+7.7071e-05i,0.00025377+0.0012497i,0.00030236+0.0014439i,0.00041304+0.00057098i,0.00044603+0.00040157i,0.00067286+0.00040059i,-0.00010157-3.9702e-05i,-0.00094815-0.0005382i,-0.00073233-0.00038341i,0.00012331+0.00018335i,0.00042229+0.00035415i,-0.0004363+0.00027236i,-0.00064439+0.00051352i,0.00029355+0.00015479i,0.0010765+7.2224e-05i
