0.0015738-2.8016e-05i,0.00033504-0.0013483i,-0.00082096-0.002293i,-0.0010804-0.0017047i,-0.0011227+0.00027437i,-0.0010955+0.0013173i,-0.00058037+0.00086122i,-0.00010134+0.00064135i,-0.00044094-1.9533e-05i,-0.0005817-0.0009359i,-0.00013017-0.00086543i,-0.00081058-0.00025106i,-0.0011237+0.00015107i,0.00042787-1.0664e-05i,0.00097507+0.00013073i,0.0010543+0.00047936i,0.0010779+0.00071147i,0.00029155+0.00056252i,0.00026288+0.00022801i,0.00074085+0.000153i,0.0007349+0.0002064i,0.00067847+8.8281e-05i,0.00116-0.00068429i
-0.002554+0.0011372i,-0.0016449+0.001801i,-0.00081345+0.0022585i,-0.0013646+0.0027524i,-0.0013182+0.0028373i,-0.00037208+0.0013497i,0.0010556-4.9926e-05i,0.00098839+0.0005085i,-0.00059239+0.00093892i,-0.00039061+0.00046237i,0.00063511-0.00013384i,0.00070622-0.00050887i,0.00043576-0.00069289i,0.00013803-0.00052653i,0.00019095-0.00029948i,-0.00043805+5.2846e-05i,-0.0014829-0.000157i,-0.00068469-0.00026595i,0.00050076+0.00058583i,0.00042367+0.0012466i,-0.00027154+0.0011724i,-0.00057721+0.00078934i,-0.00040295+6.3208e-05i
0.0016736-0.00044027i,0.00055629-0.00044611i,-0.00081607-0.00089409i,-0.0015844-0.0010209i,-0.001084-0.00052841i,-0.0007686-0.00078533i,-0.00089484-0.00094849i,-0.0010931-0.00039163i,-0.00090745-4.725e-06i,-0.00022061-0.0001837i,-0.0002559+0.00038161i,-0.00074242+0.0009211i,-0.00030776+0.0004803i,0.00033329-4.2561e-05i,9.247e-05-6.578e-05i,0.00026454+0.0001766i,0.00062127-0.00035735i,-0.00017698-0.0013196i,-0.00072437-0.0016956i,-0.00058765-0.00087152i,-0.00044855-9.3451e-05i,0.00013754-9.7749e-05i,0.00033722+0.00043748i
-0.0017707+0.0015142i,-0.0024167+0.0021076i,-0.0014464+0.003002i,-0.00043645+0.0020516i,-0.0001456+0.00043878i,0.0001957-0.00047421i,0.00069094-0.0006436i,3.813e-05-0.00072496i,-0.00079419-0.00064491i,-0.00010276-0.00082201i,0.00054119-0.00065257i,-0.00027099-8.4492e-05i,-0.00024223+0.00067928i,0.00040268+0.00066498i,0.00059441-0.00066046i,0.00013942-0.0008123i,0.00019501+1.744e-05i,0.00037756+0.00032964i,-0.00035299-0.0002632i,-0.00086501-0.0012999i,-0.00032919-0.0015434i,-6.7011e-05-0.00042176i,9.3031e-06-5.0477e-05i
-0.001741-0.00063041i,-0.0022576-0.00020172i,-0.0023798+0.00038062i,-0.0015487+0.0009554i,-0.0011049+0.0011235i,-0.0006664+0.00048104i,-2.2483e-05-0.00030349i,-0.00023257+6.7353e-05i,-0.0011679+0.00082063i,-0.0013928+0.00059542i,-0.0009355+0.00026852i,-0.00023747+0.00083567i,0.00090635+0.00053467i,0.0014354+7.6987e-05i,0.0016074+0.00015335i,0.0013652-0.00015948i,0.00028453+2.6477e-05i,-0.00069564+0.00037275i,-0.0006127+0.00030901i,-0.00064384+0.00023949i,-0.00054292-0.00047131i,-0.00081582-0.00065882i,-0.0012266-0.00068617i
0.00034884+0.0010425i,0.00023392-0.00018416i,0.0015147+0.00094031i,0.0017694+0.0011757i,0.0016733+0.00033866i,0.0016255+0.00028452i,0.00067765+5.9996e-05i,6.8137e-05-0.00015697i,0.00033315+0.00036988i,0.00078211+0.00054709i,-0.00015279-0.00023732i,-0.00079114-0.00043455i,-0.00014694-0.00029516i,0.00065931-0.0002358i,0.0012521+0.00044271i,0.00089269+0.00087392i,-9.3022e-05+0.00020755i,-0.00085078-0.00041401i,-0.00070835-0.00017252i,-5.641e-05-5.7494e-05i,0.00055313-9.2405e-05i,0.00072867+0.00059693i,5.518e-05+0.0010016i
0.00084572-2.3837e-05i,0.00081805+0.00068175i,0.00063075+8.394e-05i,0.00088539-0.00040287i,0.00056489+0.00045346i,-0.00030409+0.00026768i,0.00030196-0.00048772i,0.00031488-8.6395e-05i,-0.0011192+0.00059011i,-0.0013933+0.00071179i,-0.00073424+0.00026016i,-0.00038354+0.00044943i,-0.00032912+0.0015251i,0.00055556+0.0010058i,0.00065411+0.00032733i,0.00037294+0.00039542i,0.00083247+8.8078e-05i,0.00045921-0.00041626i,0.00010911-0.00029374i,-4.0293e-05+0.00069103i,-0.00042119+0.00066151i,0.0006475-4.6684e-05i,0.0022083-0.00020251i
-0.001587+0.0016135i,-0.00051774+0.0015653i,-5.9451e-05+0.0015706i,0.00054942+0.0018443i,0.0014067+0.0018778i,0.0012347+0.0009979i,0.0002206+0.00013215i,-0.00081168+0.0003986i,-0.00089115+0.0010208i,-0.00060984+0.00070343i,-0.00027196+0.00048641i,0.00077093+0.00040196i,0.00080808-0.00022927i,0.00056064-0.00051337i,0.00057334-0.00064138i,0.00058888-0.00040047i,0.00026081-8.1707e-05i,-0.00013922-1.6512e-06i,-8.1908e-05-0.00017033i,-2.1879e-05+0.00013493i,4.697e-05+0.00059974i,0.0007309+0.00021872i,0.0002099-0.00030434i
-0.00033211+0.0022731i,-0.00036539+0.0036801i,0.00012016+0.0039167i,0.00082708+0.0025749i,0.0011702+0.0012079i,0.00057374+0.00040224i,0.00049709+0.00017789i,0.00062795+0.00065957i,-0.00031789+0.0011664i,-0.0011481+0.00091803i,-0.00047443+0.00026269i,0.00069069-0.0006376i,0.00017008-0.00085847i,-0.00068468-0.00020764i,-0.00028684+0.00013077i,0.00044764+3.2721e-05i,0.0005735-0.00054885i,0.00041824-0.00095453i,0.0003347-0.00093941i,-0.00017961-0.00039633i,-0.00049722-0.00025711i,-0.00027889-0.00022915i,-0.00013107-4.6445e-05i
0.00028688-0.00013627i,-4.9249e-05-0.00062082i,-0.00096159-0.0012673i,-0.0004889-0.0015969i,-3.737e-05-0.00016726i,-0.00053213+0.00062938i,-0.0007437-0.0006544i,-0.00084642-0.0010606i,-0.00075976+5.9293e-06i,-0.00047767+0.00054391i,-0.00075597+0.00056096i,-0.00082546+0.00028992i,-0.00032356+0.00042842i,-0.00015132+0.00030516i,0.0005177-0.00053368i,0.001083-0.00067097i,-0.00013905-0.00045592i,-0.0010648+0.00032152i,-0.00094682+0.0003231i,-0.0005598+0.00057185i,-0.00036249+0.00019143i,-0.00036643-0.00043966i,0.00013716-0.00074762i
-0.00056684-0.0007097i,5.1527e-05-0.00096275i,-0.00042515-0.0016045i,-0.001255-0.00080936i,-0.0017792+0.00092522i,-0.0010464+0.0012773i,-0.00045737+0.00021571i,-0.00069973-0.00031682i,-0.0012608-0.00010741i,-0.0013885-0.0004869i,-0.001116+4.5537e-05i,-0.00069477+0.00080482i,-0.00020649+0.00024065i,0.00061194-0.00060494i,0.0016917-0.0012572i,0.0012357-0.00072016i,-0.00028618+0.00033817i,-0.0011362-9.8656e-05i,-0.00076671-0.00083495i,0.00012283-0.00053366i,0.00010137-0.00026187i,-0.00035827-0.0004169i,-0.00016732-0.00059056i
0.0010197-0.0016528i,0.00092651-0.0011798i,0.00075952-0.0012173i,-4.19e-05-0.0015019i,-0.0012667-0.0004599i,-0.0014698+0.00013452i,-0.00084265-0.00020466i,-0.00046261-6.9787e-05i,-0.0005065+0.00026479i,-0.0005134+0.00065105i,-0.00035247+0.0014724i,-0.0002324+0.0015285i,-0.00033655+0.00051791i,1.621e-06-0.00032163i,0.00033822+0.00021012i,9.3283e-05+0.0010146i,0.00029056+0.00092288i,0.00014393+0.00046317i,-0.00075334-0.00068465i,-0.00051311-0.0014697i,-0.00028327-0.00094806i,-0.00056912-0.00047371i,-0.00023581-0.0006656i
0.0014764-9.1775e-05i,0.0016491+0.00039438i,0.0012594+0.00062934i,0.0011029+0.00067743i,0.00065697+0.00037571i,0.00048089-3.1481e-06i,0.00060644-0.0004043i,0.00032559-0.00046748i,0.00033673+4.073e-05i,0.00064877+2.4319e-06i,0.00034845-0.00062664i,-0.00029265-0.00032229i,-3.7046e-05-0.00016188i,0.00025995-9.5986e-05i,7.15e-05+9.0417e-05i,-0.00048801-0.00030038i,-0.0010149-0.00032712i,-0.00067433+0.00017029i,-8.6758e-05+0.0002339i,-1.9275e-05+4.5957e-05i,-0.00036526+0.00015964i,-6.7875e-05+0.00013003i,-8.3892e-05+0.00012638i
-0.0011412-0.0020947i,-0.0015984-0.00070474i,-0.0030827+0.0010431i,-0.0034095+0.0013275i,-0.0021114+0.0014291i,-0.00019388+0.0016057i,1.15e-05+0.00067758i,-0.00046324-0.00020048i,-0.00093221-0.00010982i,-0.00096733+0.00081496i,-4.8003e-05+0.00088373i,0.0011392+0.00059716i,0.0017276+0.00075357i,0.0016894-0.00017745i,0.00091263-0.00055518i,0.00011666-0.00017892i,-0.00023604-9.8819e-05i,-0.0006838-0.00076533i,-0.00074684-0.00094547i,-0.00065255-0.00016546i,-0.00052111-0.00039498i,-0.0009746-7.8491e-05i,-0.00023373+0.00047308i
-0.00355+0.00058105i,-0.0027183+0.00052062i,-0.002142+0.0011399i,-0.0020936+0.001172i,-0.0015672+0.0010873i,-0.00026694+0.00061111i,0.00040452-0.00033919i,-9.8349e-05-0.00079496i,-0.0011777-0.00031674i,-0.001168+0.00070358i,-0.00054908+0.00094055i,-0.00035353+0.000849i,-0.00048056+0.00024666i,0.00011201-0.00073111i,0.00069874-0.0005652i,0.00064391-5.7642e-05i,0.00081219+0.00023847i,0.00079996+0.00011172i,0.00031263+2.064e-05i,-0.00035072+0.00028909i,-0.00029064+0.00044326i,4.172e-05+0.00037915i,0.0005616+0.00047129i
0.00078634+9.7578e-05i,-0.00016061+0.00016526i,-1.0592e-05-0.00025426i,0.00027651-7.0961e-05i,-0.0010646+0.00021106i,-0.00067788-0.00028405i,-0.00025139-0.00080832i,-0.00089285-0.001018i,-0.00099247-0.00043443i,-0.0015574+0.00086935i,-0.0013298+0.0010519i,-0.00024198+6.9801e-05i,0.00059948+7.2008e-05i,0.00059447+0.00025574i,0.00073816+0.00055626i,0.000859+0.00060848i,0.00036069+0.00030049i,3.7388e-05-6.1917e-05i,0.00015265-0.00041225i,-0.00021027-0.00022224i,-0.00066629+0.00019342i,-0.00056286+0.00056674i,-0.0003304+0.00063269i
2.5131e-06-0.0022961i,-0.0010716-0.0017759i,-0.0012598-0.001059i,-0.0014201-0.00064706i,-0.001308-0.00027715i,-0.0007963-0.00091477i,0.00010828-0.0014569i,-0.00033212-0.00089668i,-0.0019991-0.00010226i,-0.00218+4.8502e-06i,-0.001381-0.00025813i,-0.00019214+0.00015233i,0.00012194+0.00073956i,0.0003142+0.00062556i,0.0010878+0.00062953i,0.00051801+0.00086487i,-7.1972e-05-1.5773e-05i,-0.00033893-0.0014915i,-7.1544e-05-0.00071156i,0.00069644+0.00093249i,0.00062131+0.00071336i,0.00065223+0.00036802i,0.0010971-0.00043194i
0.0014682-0.0032238i,0.0022686-0.0035025i,0.0018647-0.0038083i,0.00043393-0.0024551i,-0.00055785-0.00057263i,-0.00025823+0.00076632i,-0.00087068+0.00075149i,-0.0016265+0.0001056i,-0.00080078-0.00037685i,-0.00047984-0.00023804i,-0.0012044+0.00032232i,-0.00072275+0.00031212i,0.00036021+0.00015383i,0.0011051+0.00023468i,0.0018422+6.8296e-05i,0.001427-0.00049396i,0.00027867-0.0013409i,-1.502e-05-0.0011501i,-0.00029486-0.00043536i,-0.00040595+0.00051706i,0.0006053+0.00081781i,0.001081-0.00016237i,0.0006077-7.4578e-05i
0.000641+0.0007088i,0.00079016+0.00060181i,0.00037934+0.00015556i,-4.103e-05+0.0002355i,0.00044032+0.0003879i,0.0011186-0.0002364i,0.00046225-0.00091976i,-0.00027789-0.0013853i,-0.00010874-0.0017607i,0.00034591-0.00078772i,0.00082302+0.00079273i,0.0007906+0.00042563i,0.00057291-0.0002087i,0.00058846+0.00024026i,0.0010008+3.2085e-05i,0.00025222-0.00036059i,-0.00046871-0.00057725i,0.0002657-0.00091663i,6.4811e-05-0.00084163i,-0.0010528+0.0001405i,-0.0012429+0.00061235i,-0.00045195+7.6556e-05i,0.0008265+0.00025137i
0.0013213+0.0025651i,0.0018668+0.0030904i,0.0025863+0.0020304i,0.0025283+0.00047212i,0.0026639-0.00037271i,0.0016224-0.00023852i,0.00040059+8.283e-06i,-0.00033701-0.00016331i,-0.00047736-0.000494i,-0.00082862-0.00069368i,-0.0010046-0.0002577i,-0.00067782+0.00068369i,-0.00011131+0.0012541i,0.00062708+0.0010025i,0.00079347+0.00091123i,0.0009035+0.00047129i,0.0010507-0.00066707i,0.00069428-0.0012294i,-0.00020482-0.0012973i,-7.9163e-05-5.4239e-05i,0.00026244+0.0013921i,0.0003396+0.00087663i,0.00043383+0.00012587i
-0.00016431+0.0024178i,-0.0012919+0.0027699i,-0.00059891+0.0026034i,-0.00069215+0.0023413i,-0.00133+0.0013083i,-0.00099956+0.00040094i,-0.0012855-0.00011179i,-0.00092882-0.00036475i,-0.00071016-0.00012794i,-0.00046716+0.000639i,-0.0011566+0.0012404i,-0.0016114+0.00084597i,-0.00054458+0.00036458i,-2.2945e-05+0.00018233i,0.00046936-0.00045436i,0.0010384-0.00099721i,0.0008597-0.00086154i,0.00037146-0.0005382i,-0.00039185-3.967e-05i,-0.00057283+0.0004386i,-5.1715e-05+0.00099276i,0.00074337+0.0014868i,0.0015364+0.00075291i
0.0017871-0.00045434i,0.00017821-0.00094341i,-9.5238e-05-0.00068239i,2.4097e-05-0.0013463i,-0.0001233-0.001527i,-0.00053294-0.0013918i,-1.2695e-05-0.0020845i,0.00010926-0.0013104i,-0.0005479+0.0001422i,-0.00080374+0.00013346i,-0.00030959-0.00010198i,0.00075108+0.00011123i,0.0014709-0.0001588i,0.0013948-0.00023629i,0.00067037-0.00025715i,0.0003658-0.00054734i,0.00028332-0.00076087i,8.9559e-06-0.00094517i,-0.00013926+0.0001297i,-0.00012154+0.0011699i,-0.00041973+0.00077785i,-0.00089513+0.00021058i,-0.00039964+0.0005607i
-0.0005939-0.0014819i,-0.00058753-0.0016397i,-0.00028986-0.0015242i,-0.0010861-0.00040814i,-0.0015796+0.00059776i,-0.0001044+0.00016455i,0.00059819-0.00033976i,-0.00035515-0.0010294i,-0.0007811-0.0012653i,-0.00065424+7.4692e-05i,-0.00077519+0.0010082i,-0.0001941+0.00061662i,0.00072305+0.00012929i,0.0010964-0.00051803i,0.0010411-0.00069248i,0.00056204-0.00079534i,-0.00038967-0.00047485i,-0.00084955-0.00050487i,-0.00058385-0.0010196i,-0.00020505-0.00095379i,-4.8443e-05-0.00026943i,-0.00044327+0.0003129i,-0.00011705+0.00024934i
1.765e-05+2.1237e-05i,8.4174e-05+0.00020705i,0.00062855+0.00021815i,0.00035169+0.00035534i,-0.00040616+0.00088731i,-0.00038798+0.00083626i,-0.00092738+0.00012289i,-0.0015679-0.00053394i,-0.00080349-0.00021387i,-8.7684e-05+0.00011728i,-0.00014789+0.00046933i,-9.1668e-05+0.00057557i,0.00029678+0.00013029i,0.0006706+8.0453e-06i,0.00073191-2.2064e-05i,-5.2492e-05+0.00013785i,-0.0010304+0.00024244i,-0.0013846-0.00088592i,-0.0018605-0.001834i,-0.00084924-0.00064545i,0.00027457+0.00017864i,-8.108e-05+0.00021249i,-0.00038885+0.00051189i
0.001018-0.00020729i,0.0020418+0.0012601i,0.0013579+0.0016928i,0.0005846+0.00054372i,0.00073054-9.4272e-05i,0.0010287-9.1778e-05i,0.00084318-0.00061047i,3.7835e-06-0.00078427i,-5.7875e-05-0.00070626i,-0.00055334-0.00030304i,-0.0013062+0.00018236i,-0.00056849+9.2709e-05i,0.00027801+0.00014696i,0.000792-3.0395e-05i,0.0016469-1.1771e-05i,0.0014956+0.00047558i,0.00098552+7.4252e-05i,0.00015801-0.00078228i,-0.00067245-0.00037318i,-0.00089384+0.00025952i,-0.0010993+0.00016874i,-0.00062849+0.000194i,3.6087e-05+0.0004128i
0.00080626+0.0022697i,0.00076962+0.0019587i,0.00040292+0.00081084i,0.00024181-0.00037318i,-0.00015573-0.00053869i,0.00036475-0.00035606i,0.00056333-0.00059299i,-5.3536e-05-0.0011823i,-0.00056869-0.00049363i,-0.0014251+0.00030248i,-0.0016042+0.00026706i,-0.0010643+0.00036026i,-0.00013488+0.00049923i,0.00037598+0.00037673i,0.00021215+0.0007054i,0.0002959+0.00065167i,0.00025603-0.000191i,-0.00043053-0.00069642i,-0.00058371-0.00027268i,-0.00049399+8.5973e-05i,2.4028e-05+0.00030364i,0.00028751+0.00034162i,0.00037203+8.8326e-05i
-0.0013515+0.00071082i,-0.0020776+0.00043103i,-0.00071441+0.00016131i,0.00062732+0.00028028i,0.00050641+0.00056896i,0.00079722-0.00015787i,0.0012091-0.00097677i,0.0001886-0.00053409i,-0.0013079-0.00015897i,-0.0014471-0.00016027i,-0.00086534+0.00047446i,-0.00014288+0.0005793i,0.00011178+0.00015109i,0.00024574+0.00019752i,1.7576e-05-0.00026449i,-0.0006072-0.00074382i,-0.00071682-0.0008226i,-0.0004608-0.00088568i,-0.0012045-0.00082911i,-0.001376-0.00076746i,-0.00044737-0.00021098i,-0.00031382+0.00054096i,-0.00044644+0.00073389i
0.00024808-0.0016918i,-0.00062784-0.0013394i,-0.0019882-0.00084537i,-0.0022388-0.00017363i,-0.0015625+0.00082962i,-0.0010338+0.00079576i,-0.00079215-0.00035649i,-0.0003929-0.00055463i,0.00013174-0.00034826i,0.00063343+0.0002886i,1.2049e-05+0.00083356i,-7.833e-05+0.00039638i,0.00063007-0.00020478i,0.0010542-0.00014574i,0.0011734+7.5167e-05i,0.00094675+4.2693e-08i,0.00029803-8.8078e-05i,-0.00019759+0.00021216i,-0.00086005+0.00011727i,-0.00098743-0.00014788i,-0.00037937-0.00030495i,-0.00014207-0.00047285i,-2.0851e-05+1.8065e-05i
-0.0012664-5.0956e-05i,-0.0011416-0.00030509i,-0.00039458+3.2203e-05i,0.00037499+3.637e-05i,0.0011797+0.00012039i,0.0014281+8.0585e-05i,0.00086141+0.00036383i,0.00065097+0.00027757i,-0.00054949+0.00023556i,-0.0010983+0.00092452i,0.00011117+0.0011628i,0.00078104+0.0011762i,0.0013275+0.00083845i,0.0016259+0.00051993i,0.00086584+0.00031949i,0.00041183-5.4089e-05i,-2.613e-05-0.00027425i,-0.00029834-0.0003522i,-0.00024316-0.0010178i,0.00033045-0.00049755i,0.00095754+0.00060324i,0.00052769+0.00071971i,-0.00051527+0.00090977i
0.0025141-0.0010942i,0.0024638-0.0010838i,0.00095859-0.0017527i,-0.0006675-0.0014412i,-0.00075606-0.00037156i,-0.00062355-2.0223e-05i,-0.0013766+0.00017884i,-0.0017789+0.00033867i,-0.0013193+0.00023151i,-0.00027935-0.00049776i,0.00035149-0.00070798i,-0.00047807-0.00012672i,-0.00069338-0.00013475i,6.6314e-05-4.9443e-05i,0.0004651-0.00058127i,0.00051701-0.0010143i,0.00030897-0.00013278i,-2.5841e-05+0.00044316i,-0.00023783+0.00046908i,1.6458e-05+0.00012553i,2.0674e-05+0.00013981i,7.2298e-05-5.198e-05i,0.00073546-8.6863e-05i
-0.00059283-0.00022676i,-0.00050474-0.0007719i,-0.001092-0.00012887i,-0.00086088+0.00078527i,-0.00012969+0.0013308i,0.00047042+0.0014584i,0.0009499+0.00099891i,0.00032753+0.00088285i,-0.0012473+0.0016144i,-0.0015313+0.0017287i,-0.00098064+0.00081743i,9.1314e-05+0.0004479i,0.0012865+0.00046839i,0.0013872-0.00046401i,0.00081491-0.00037442i,0.0002926+5.7227e-05i,-0.00030201-0.00043848i,-0.00090439-0.00030304i,-0.0014372+0.00027467i,-0.0014552+0.00031228i,-0.00096105+6.0114e-05i,-0.0004174+5.4051e-05i,-0.00011108+0.0004054i
-0.0010586-0.00015307i,-0.00037895-9.5663e-05i,-0.00042147+0.00067887i,-0.00045448+0.0010244i,-0.00060697+0.00024809i,-0.000445+8.5776e-06i,-0.00031228-0.00024082i,-0.00072726-0.00040648i,-0.001426-0.00028622i,-0.0010424-0.00037803i,-0.00018653-0.00013626i,4.9132e-05+0.00040359i,0.00035079+0.00019412i,0.00060953-0.0003775i,0.00064221-0.00053573i,0.00029566-0.00052771i,0.0001852-0.00022305i,-0.00033591-0.00029974i,-0.00068494+0.00024751i,-0.00083771+0.00075769i,-0.00025642+0.00069274i,6.0403e-05+0.00034809i,0.00047648+0.00028831i
0.00063906-0.00028388i,0.00024299-0.00080776i,0.0001539-0.0009869i,-0.00025846-0.0012717i,-0.00078119-0.0014182i,-0.00057128-0.001951i,-0.00037725-0.0020266i,-0.00057915-0.0016614i,-0.00080909-0.0012701i,-0.0018604-0.00073313i,-0.002031-0.00070986i,-0.00091008-0.0005693i,0.00017381-3.7107e-05i,0.00018048-0.00025406i,0.00010993+5.5161e-06i,0.00017941+0.00015624i,-0.00016818+7.7815e-05i,-0.00099043-0.00027915i,-0.00099352-0.00021672i,0.0003983+0.00060204i,0.0010931+0.00060171i,0.00018119+0.00068664i,-0.00043719+0.00046139i
-0.00029821+0.00084229i,0.00027223+0.00075228i,0.00073909+0.0012094i,0.0012981+0.0019955i,0.00099314+0.001746i,0.00061285+0.00093055i,0.00034744-0.00047551i,-0.00088731-0.00046664i,-0.0018295-0.00016055i,-0.001684-0.00014387i,-0.0012292+0.00087169i,-0.00040615+0.0014821i,-0.00022926+0.00073602i,-0.00067638+0.00049064i,-0.00059189+0.00083384i,0.00018858+0.00071221i,0.00098185+0.00042272i,0.00092694-0.00015491i,-0.00036163-0.00051167i,-0.0011279-0.00028506i,-0.00056916-0.00056792i,4.316e-05-0.00093498i,-0.00048273-0.00063643i
0.0010961-0.00056258i,0.0012885-0.0014375i,0.00012934-0.0023703i,-0.00037755-0.003048i,0.00025485-0.0018892i,0.00011261-0.00052691i,0.00018035-0.00072302i,-0.0001493-0.00058562i,-0.00020693+0.00017833i,6.2386e-05+0.00014848i,4.9797e-05+0.00027004i,-5.305e-05+0.0012821i,-0.00041654+0.00075481i,-2.3647e-05+0.00019812i,0.00063805+0.00071675i,0.0003003-0.00027342i,-3.8682e-05-0.00095964i,0.00017049-0.00089744i,-5.7447e-06-0.0016042i,0.000319-0.0016119i,0.0011745-0.00059914i,0.00090676-0.00047437i,0.00053644-0.0004979i
-0.0011463+9.9883e-05i,-4.0885e-05+0.00025516i,-9.8673e-06+0.0012933i,-0.0004567+0.0019321i,-6.1549e-05+0.00097935i,0.00062464-0.00032108i,0.00095513-0.00032339i,0.00056531-0.00049325i,0.00019723-0.00089424i,0.00020236+1.9525e-05i,0.00066562+8.6655e-05i,0.00093716-6.8074e-05i,0.00072096+0.00017166i,0.00070308-0.00080283i,0.00054679-0.0011964i,0.00040111-0.00055393i,9.9975e-05-0.00017826i,-0.00030698+0.00037806i,-0.00024437+0.0002679i,-0.00060094+0.00034825i,-7.377e-05+0.00083605i,0.0005034+0.00072459i,0.00033501+0.00028429i
-6.4081e-05-0.00038601i,-0.00081911+0.0002845i,-0.00092795+0.00022196i,-0.0014453+0.0011875i,-0.0010892+0.0015104i,-0.00010661+0.00079607i,-0.00060579-0.00042119i,-0.0011167-0.0010184i,-0.00083968-8.6247e-06i,-0.00098569+0.0001544i,-0.001335-0.00017951i,-0.00081123+1.6017e-05i,0.00013628-0.00042355i,0.0012382-0.0009331i,0.0016249-0.0011208i,0.0014821-0.0012797i,0.0011564-0.0005459i,0.00058518+0.00013832i,0.00097467-1.4664e-05i,0.00058077-0.00024184i,-0.00027881-0.00093857i,0.00030958-0.0010574i,0.00049992-0.00013518i
-0.0011569+0.0029111i,-0.00023159+0.0022742i,0.00074505+0.0014541i,0.00090189+0.0018102i,0.00083013+0.0013519i,0.0010951-0.00010856i,0.0012282-0.00063993i,1.2244e-05-0.00027988i,-0.0010321+0.00050281i,-0.00074197+0.00085934i,2.5459e-05+0.00030118i,0.00035215+0.00014038i,0.00020856+0.00052274i,0.00028046-0.00019169i,-0.00016458-0.0012733i,-0.00040945-0.00097938i,-2.5149e-05-0.00049412i,-0.00013851-0.00049583i,-0.00065988-0.00058391i,-0.00059677-0.00042481i,-1.0353e-05-5.7827e-05i,0.00026592+0.00038439i,0.00022667+0.00056675i
-0.0016313-0.0014329i,-0.0024048-0.0008172i,-0.0038476-0.00022151i,-0.0036363+0.0015529i,-0.0018348+0.0025164i,0.00049325+0.0014351i,0.0011355-6.481e-05i,0.00016928-0.00078302i,-0.0014682-0.0002384i,-0.0020535+0.00055731i,-0.0010665+0.00054061i,-0.00059346+0.00071659i,-0.00035306+0.000113i,0.00083265-0.0011083i,0.0012526-0.0011381i,0.0010803-0.00052051i,0.0008736+0.00034417i,0.00076204+0.00018419i,0.00019104-0.0007657i,-0.00041566-0.00018069i,-0.00070757+6.7266e-05i,9.9397e-06-0.00044917i,0.00062801-2.0119e-05i
0.0028883-0.000347i,0.0019878-0.00041318i,0.0021418-0.0013882i,0.0016541-0.002062i,-0.00030005-0.0018672i,-0.00069235-0.0016596i,-0.00051303-0.0012509i,-0.0011144-0.00049572i,-0.00065693-9.9627e-05i,-0.0003741-0.00050391i,-0.00091365-0.00051909i,-0.00061091-7.588e-05i,-0.00029517+0.00040408i,-0.00050139+0.00086106i,0.00021866+0.00053024i,0.00055023-9.5079e-05i,0.00067124-0.00040975i,0.00055293-0.00090922i,-0.00027809-0.0011087i,-0.00047016-0.00015839i,0.0004296+0.0010736i,0.0010497+0.0009972i,0.00079677+4.4259e-05i
3.7965e-05-0.00057404i,0.001574-0.00065722i,0.0015569+0.00012444i,0.00096044+0.00064181i,0.00050793+0.0013965i,4.0916e-05+0.00094536i,9.5095e-05-0.0004221i,0.00028503-0.00070885i,0.00014964-0.00010938i,-1.8823e-05+0.00056822i,-0.00033825+0.00088947i,-0.00015904+0.00050086i,-9.4022e-05-0.00011568i,0.00045441+1.4584e-05i,0.00038298+0.00055217i,-0.00011941+0.00082439i,8.5846e-05+0.00072846i,-0.00031853-8.0993e-05i,-0.0008252-0.00070145i,-0.00034001-0.00065921i,-0.00011975+4.806e-05i,6.1492e-06+0.00036503i,0.000482+0.00045815i
-0.00098609-0.0023475i,-0.00081912-0.0022821i,-0.001782-0.0029311i,-0.0021305-0.0019057i,-0.00095551-0.00027062i,0.00042438+0.00028411i,0.00013439+0.00038678i,-0.00065541+0.00062021i,-0.001102+0.00036198i,-0.00070265+0.00059659i,-0.00053845+0.001233i,-0.0006994+0.00070303i,-0.00046932+0.00057772i,-0.00023898+0.00089621i,-9.5463e-05-0.00013087i,-0.0001512-0.00081374i,-0.00028063-0.0010775i,-0.00076297-0.00071101i,-0.0015587-0.00077289i,-0.0016799-0.00030386i,-0.00086603+0.00045019i,0.00031882+0.00037725i,0.00088809+0.00041287i
-0.00076459+0.0010605i,0.00091534+0.0020042i,0.0020011+0.0022254i,0.0020723+0.0017668i,0.00037498+0.0010966i,-0.00036669+0.00026209i,-0.00012269-0.00057556i,-0.00044008-0.00080403i,-0.00059698+0.00023349i,-0.00062677+0.00080997i,-0.00016723+0.00016622i,0.00037857-0.00019261i,2.2043e-06+0.00042983i,0.00012904+0.00065625i,0.00067358+0.00042259i,0.00082143+0.00049366i,0.00049713+0.00053705i,-0.00018433+9.3916e-05i,-0.00047449-0.00071923i,-0.00073891-0.00049857i,-0.00062275+0.00070413i,-0.00029283+0.00088134i,0.00023311+0.00061855i
