0.00086924+0.0016526i,0.0015605+0.00051439i,0.0022008+5.7634e-05i,0.00058144-0.00059781i,-0.0010492-0.00043386i,-0.0022775+0.00078269i,-0.0022487+0.0018585i,-0.00066253+0.0017535i,0.00065978+0.0012899i,0.00049586+0.00071394i,0.0001936-2.7805e-05i,0.00033785-2.0798e-05i,0.0002624+0.00019991i,-0.00021844+0.00012022i,-0.00095176-0.0001842i,-0.00043004-7.5782e-05i,-0.0007235-1.0266e-05i,-0.00074298-0.00042646i,1.1595e-05-0.00042572i,0.00054381-0.00070615i,0.00095215-0.00039754i,0.00019394+0.00014265i,-0.00090883-2.7499e-05i
-0.0015808-3.6542e-05i,-0.00069362-0.0001213i,-0.00046346-0.00097033i,0.00012361-0.00044899i,0.00089047+0.00017011i,0.00060355-0.00021009i,0.00012375-0.0006168i,0.00067934-0.00064531i,0.001306-0.00011054i,0.0010479+0.00030164i,0.00023619-0.00014698i,0.00048925+2.9405e-05i,7.9912e-05+0.00052599i,-0.00072987-0.00038748i,0.00022078-0.0010912i,0.00045087-0.00079923i,9.2329e-05-0.00010131i,-0.00077571-2.2007e-05i,-0.00070383-0.00014903i,0.0006198-1.4546e-06i,0.00040567-0.00068709i,-0.00047267-0.00065023i,-0.00081429+0.00024214i
-0.00087186-0.000589i,-0.0019313-0.00059999i,-0.0032454+0.00033471i,-0.0033281+0.00078434i,-0.0019294-0.00079533i,-6.5377e-05-0.0021161i,0.00018807-0.0022151i,-2.25e-06-0.0012571i,-0.00027147-3.4297e-05i,-0.00067956-2.9885e-05i,-0.00094511-9.2096e-05i,-0.001062-0.0003862i,-0.00024851-0.00061897i,0.00044097+0.0002574i,-0.00055082+0.00037109i,-0.0013306-0.00067058i,-0.00095576-0.00044971i,-0.00043865-7.1179e-06i,0.0001665-0.00037812i,4.6537e-05-0.00095878i,-2.8678e-05-0.00011154i,0.00017148+0.0012645i,0.00017759+0.0012919i
-0.00067597+0.00028347i,-0.0010649+2.165e-05i,-0.00069562+0.00088401i,-0.00028115+0.0010136i,-8.0724e-05-0.00011107i,0.00052114-0.00092888i,-3.7787e-05-0.00059312i,-0.00086171-0.00027899i,-0.0013026-0.00059196i,-0.0014806-0.00044754i,-0.001103-0.00029179i,-0.00042683+0.00022376i,5.4179e-05+0.0010695i,0.00021935+0.00065841i,0.00038254-4.1124e-05i,0.0003194-0.00062643i,-0.00042567-8.6805e-05i,-0.00087431+0.00037699i,0.00028455-0.00011161i,0.0010146-0.00026238i,0.0012078-0.0003669i,0.00099893-0.00035952i,0.00047967+3.8733e-05i
-0.00025638+0.00047768i,-0.00015592+0.00082094i,0.00026691+0.00067522i,0.00050402+0.00079797i,4.036e-05-0.00074744i,-0.00041148-0.002013i,-0.00013035-0.00072391i,-0.00048418+0.00064317i,-0.00059897+0.0010682i,-0.0001417+0.001316i,0.00051385+0.00074544i,0.00064101-0.00014287i,0.00046888-0.00049192i,0.00042098-0.00055962i,0.00040184-0.00039911i,3.2969e-05+4.4632e-05i,-0.00038042+0.00043558i,-0.00076351+3.9153e-05i,-0.001266-0.0008279i,-0.0005476-0.00072181i,0.00076966+8.3049e-06i,0.001394+0.00043267i,0.00056463+0.00016968i
0.0018484+0.00013299i,0.0026193-0.00045584i,0.0023411-0.00088498i,0.00074703-0.00035222i,-0.00069351-0.00056504i,-0.00099046-0.00077727i,-0.00017162-0.00063318i,-0.00035869-0.00068037i,-0.0010286-0.00066287i,-0.00063151-0.00016947i,0.0004575+0.00019906i,0.0010167+0.00022228i,0.00087763+0.00016029i,4.9237e-05+3.0407e-05i,-9.228e-05-0.00031926i,0.00034599-0.00063496i,0.0002772-0.00044411i,-5.5619e-05-0.00010555i,-0.00063499-0.000158i,-0.00085863-0.00010457i,-0.00011465+0.00026595i,0.00065739+0.00012496i,3.7331e-05-0.00030842i
0.00037231-2.018e-05i,0.0012102+8.6128e-05i,0.0010002+0.00045653i,0.00012223+1.6091e-05i,8.9812e-05-0.00057327i,0.00057143-0.0016192i,-1.7125e-05-0.0020938i,-0.00024398-0.0012126i,6.2365e-05+3.0062e-05i,0.00010535+0.00046719i,0.00041363+0.00030454i,0.00033639-0.00020511i,-0.00010171-0.00098789i,0.00026724-0.0012563i,6.1399e-05-0.0010359i,-0.00069066+7.8715e-05i,-0.00079622+0.0012757i,-0.0002687+0.00097005i,0.00049135+0.00062543i,5.4761e-05+9.7048e-05i,-0.00053714+0.00028381i,4.6214e-05+0.00095773i,0.0005918+0.0005589i
2.2895e-06+0.00014032i,0.00019052-0.00050748i,0.00049182-0.00096016i,0.00089866-7.4769e-05i,0.00086669-0.00061978i,0.0010292-0.0012775i,0.00063028-0.00085278i,-0.0001287-0.00010297i,0.00026353+0.00060286i,0.0001923+0.00051832i,-6.3491e-05-0.0001514i,0.00032723-0.00055128i,-4.1519e-05-0.00068784i,-0.00010841-0.00044154i,0.00029863-0.00037532i,0.00014898-0.00041838i,-0.00041567+8.3817e-05i,-0.00117+0.00054663i,-0.0010903-2.3675e-05i,-0.00042684-0.00039168i,7.0834e-05+5.1343e-05i,0.00020031-0.00025864i,-0.00039331-0.00046969i
0.0031005+0.0015434i,0.0031481+0.0016106i,0.0037683+0.0013342i,0.0029953-0.00025141i,0.0016139-0.0012387i,6.3031e-05-0.0010804i,-0.00057998-0.00070766i,-0.00052543-0.00074906i,-0.00010097-0.00080661i,-0.00044288-0.000863i,-0.00045594-0.0011243i,0.00025251-0.0010799i,0.00018138-0.0007125i,-0.00023792-0.00029354i,-0.00010619-0.00047227i,0.00028876-0.00049149i,1.1692e-05+0.00017015i,-0.000625+0.00042689i,-0.00032833+0.00044394i,0.00042225+0.00062105i,0.00092587+0.00082828i,0.0010844+0.00025604i,0.00075438-0.00069681i
0.0011244+0.0033822i,0.00033056+0.0035718i,9.675e-05+0.0037206i,0.00086017+0.0023628i,0.00095954+0.00046394i,0.00013803-0.0011462i,-0.0004356-0.00037996i,-0.00018617+0.001104i,-0.0001187+0.0019791i,0.00011493+0.0019737i,0.00045472+0.0014058i,0.00039777+0.00081626i,0.00074804+6.1553e-05i,0.00070496-0.00050202i,-0.00040735-0.00054878i,-0.001578+0.00014946i,-0.0013397+0.00043313i,-0.00046071+0.00011671i,-0.00011091-0.00029289i,0.00011162-0.00047518i,0.00051139+0.00037819i,0.0013431+0.00073738i,0.0015808+9.6887e-05i
-0.0012722+0.0017642i,-0.00069129+0.0014023i,-0.0014698+0.0013579i,-0.0010743+0.0010806i,-0.00073446-4.8238e-05i,-0.00074833-0.0011988i,-0.00045863-0.0019725i,-0.00088728-0.001056i,-0.00093212+0.00061696i,0.00011243+0.0017473i,0.00061359+0.0020116i,0.00096666+0.0010764i,0.0010425+0.00026237i,0.00048172+0.00045637i,0.00033981+0.00031038i,0.00045301-0.00046508i,0.00071841-6.3374e-05i,0.00034823+0.0001434i,-0.00061182-0.00033609i,-0.0010086-0.00044693i,-0.00063704-0.00024634i,4.0761e-05-3.7635e-05i,-0.00015367+0.00027797i
-0.00038499+0.00065854i,-0.00011659+0.00094789i,0.00044598+0.00095275i,0.0011329+0.00052314i,0.0018382-0.00019408i,0.0012158-0.00029844i,-0.0004116+0.00018559i,-0.0010398-1.0962e-05i,-0.00089835+0.00027811i,-0.00081551+0.00086261i,-0.0008123+4.779e-05i,0.00018868-0.00053514i,0.0010978+8.161e-05i,0.00060356+0.00012227i,-2.0394e-05+0.00026117i,0.00027071+0.00026906i,0.00042451-0.00035006i,0.00036702-0.0002449i,3.4843e-05-0.00034776i,1.0118e-05-0.00069265i,0.00039712+0.0002156i,0.0004944+0.00060931i,0.00064186+5.6412e-05i
1.5122e-05+0.00099969i,-0.00047812+0.0011293i,-0.0013882+0.00043552i,-0.00078046-5.4745e-05i,0.00066453+3.744e-05i,0.0007493-0.0004883i,-8.0103e-05-0.0010784i,-0.00048883-0.00073864i,-0.00086256-0.00057092i,-0.0015758-0.00055222i,-0.00085162-0.00096838i,8.4226e-05-0.0011945i,0.00042357-2.6143e-05i,0.00017563+0.0011043i,-0.00018767+0.00048117i,-0.00032681-0.00019902i,-0.00064446+2.6774e-05i,-0.00067352+7.0025e-05i,-0.00056852-0.00025981i,-0.00070841-0.0003273i,-0.00047149-0.00082664i,-0.0006725-0.000875i,-0.00080573-0.0009616i
-0.0016875+0.0009961i,-0.0020564+0.001679i,-0.0014195+0.0014852i,-0.00056994+0.00085252i,1.79e-05+0.00027327i,0.00026755-0.00073877i,-0.00017248-0.00086946i,-0.000128+0.00057528i,0.00013812+0.001054i,-0.00013344+5.4643e-06i,-0.0001279+0.00026139i,0.00013568+0.00089503i,0.00039949+0.00097823i,-0.00042613+0.00074106i,-0.00083578-8.422e-05i,-7.6063e-05-0.00081049i,-3.7954e-06-0.00048981i,-0.00044146-0.0002145i,-0.00058094-0.00019011i,-0.00029217+0.00032977i,-4.3566e-06+0.00046043i,-0.00047666+0.00039018i,-0.0011676+0.0001851i
-0.00079336+0.00087578i,-0.0009068+0.00091701i,-0.0009113+0.00043151i,-0.00055625+0.00062875i,-0.00055001+0.00019038i,-0.00065491-0.00046149i,-0.0002787+3.846e-07i,-0.00016814+0.00026419i,-0.00034675-0.00012981i,-0.0001586+0.00043262i,0.00064404+0.00060405i,0.00037196+0.00056393i,-0.00010006+0.00059248i,0.00055952+0.00037289i,0.00010503+0.00033814i,-0.00069616-0.000168i,-0.00062234-0.00040502i,-0.00066086+4.817e-06i,-0.00025988+7.0412e-05i,0.00020758+0.00067305i,-0.00043274+0.00047118i,-0.00017981+6.7418e-05i,0.00048618+0.00053436i
0.0010649-0.00045032i,0.00041078+0.00057403i,-0.00081421+0.00080293i,-0.00059938+0.00016585i,-0.00021413-0.00041962i,-0.00069905-0.00076748i,-0.00074109-0.0012103i,-0.00033053-0.0010019i,0.00039571+0.00034496i,0.00073725+0.0009679i,0.00099376+0.00023783i,0.0014403+5.7658e-05i,0.0010605-0.00021088i,0.00039994-0.0010925i,-0.00066721-0.001375i,-0.001116-0.00073466i,-0.00051327-0.00019047i,-0.00019187-0.00050396i,-0.00052493-0.0004149i,-0.00079243-0.00014936i,-0.00045093-0.00010114i,0.00010064-0.00014378i,3.8165e-05-0.0004516i
0.0012489+0.002051i,0.00091246+0.0021007i,0.0030425+0.0011114i,0.0043054-0.00083406i,0.0029845-0.0012703i,0.0011068-0.0013039i,-0.00022299-0.0015365i,-0.0008402-0.0009141i,-0.00022096+0.00047225i,0.00036431+0.00066804i,0.00031279-3.7399e-05i,0.00049158-0.00038849i,0.00021314-0.00023004i,-0.00043977-0.00021713i,-0.00041379-0.00027513i,-6.3208e-05-0.00075504i,0.00016903-0.00074347i,0.00011913+0.00043101i,-0.00023914+0.00066765i,-0.00036417+0.00065341i,-0.00051881+0.00050826i,0.00011032+0.00052734i,0.00047416+0.00031014i
0.00051301-0.0009654i,0.0010232-0.0017729i,0.00061748-0.001909i,-0.00010195-0.00051231i,-0.00027319+0.00026277i,-0.00024516+0.0012468i,-0.00030245+0.00060099i,-0.0011528-0.00061255i,-0.0012201-0.00074879i,-0.00059702-0.00026725i,-0.00055038+5.0413e-06i,-0.00072278-0.00029848i,-0.0014942-0.00013704i,-0.0017867+0.00025135i,-0.0010857+0.00014032i,-0.00039614-0.00042292i,-0.00048828-2.4309e-05i,-0.00094803+0.0003725i,-0.0003425+0.00052263i,-0.00015533+0.00023616i,0.00010228-0.00033852i,0.00085983+0.00021068i,0.00071544-1.0273e-05i
0.0010866+0.00013144i,0.0012507+0.00038016i,0.0021657+0.00079104i,0.0018694-0.0010078i,0.001043-0.0020951i,0.0003148-0.0021513i,-0.00030186-0.0019189i,-0.00074379-0.0010911i,-0.00085956-0.00048288i,-0.00043439-0.00033586i,-0.0003477-0.00047345i,-0.00022406-4.3322e-08i,0.00034252+0.00077556i,0.00099578+0.00080539i,0.00073691+0.00063706i,-0.00051845-0.00019765i,-0.00038922-0.00064553i,0.00068095+9.1401e-05i,0.00030175+0.00094016i,0.00041521+0.00039854i,0.00062563-0.00012159i,-0.00015153-9.2831e-05i,-0.00059971+7.4651e-05i
-0.0014045-0.00088436i,-0.0011688-0.0019101i,-0.00099622-0.0016174i,4.393e-05-0.00020405i,0.00061326-0.00040915i,0.00087032-0.00069586i,0.00064439+1.8136e-05i,-0.0011286+5.1614e-05i,-0.0022511+0.00026602i,-0.0015787+0.00081533i,-0.0014469+0.001329i,-0.00095859+0.0014981i,5.8074e-05+0.00088607i,-2.5485e-05+0.00018127i,-0.00028513+1.6425e-05i,-0.00074653-3.7553e-05i,-0.00067745-0.0005911i,0.00020147-0.0010192i,0.00023459-0.00084392i,-0.00029883-0.00059723i,-0.00038471-0.00035713i,0.00036024-0.00023651i,0.00051305-0.0010342i
0.0025454-0.0010958i,0.0018922-0.0014921i,0.0023712-0.0021203i,0.0017542-0.0021344i,-2.538e-05-0.0016796i,-0.0010052-0.0020134i,-0.00080167-0.0021337i,-0.00013703-0.0010328i,0.00027587+5.054e-05i,-0.00020154+0.00085249i,-0.00062635+0.0011596i,-6.4847e-05+0.00062519i,0.00038482-0.00047489i,-0.00020373-0.00089226i,-0.00066903-0.00080913i,-0.00034256-0.0008519i,-0.00091273-0.0014719i,-0.0012997-0.0011547i,-0.00094299+3.2745e-05i,-0.00078593+0.00021473i,-0.00034818+0.00013515i,-0.00020673-0.00024705i,-0.00014975-0.00031855i
0.0025176+0.00037695i,0.0030372+0.0012892i,0.0033267+0.0025424i,0.0021368+0.0015055i,0.00077922-0.00054921i,0.00038886-0.00078885i,-6.0175e-05-0.00092964i,-0.00012603-0.0010932i,0.00061074+0.000482i,0.001055+0.0012948i,0.0001389+0.00055904i,0.00029542-0.00061153i,0.0014827-0.0013832i,0.0010166-0.00060458i,-3.8993e-05+0.0002152i,-0.00044334+0.00058478i,-0.00036699+0.00061345i,0.00028123+0.00059479i,0.00092273+0.00076215i,0.00038944+0.00086247i,-0.00010458+0.00035323i,0.00031762-5.1606e-05i,-1.6582e-05+0.00038148i
-0.0016491+0.0017461i,-0.0020511+0.0012264i,-0.0021711+0.0014538i,-0.00066596+0.0016868i,0.00059449+0.00051601i,0.00052082-0.0009854i,-0.00037677-0.0013518i,-0.00018235-0.0009682i,0.0010407-0.00022419i,0.0013901-0.00029207i,0.0014427-9.2957e-05i,0.00123+6.6334e-05i,0.00064173-0.00020896i,0.00069415+9.1661e-05i,0.00044128+0.00051817i,-0.00030123+0.00068959i,0.00012728+0.00071908i,0.00037892+0.0006124i,-0.00071802+0.0011737i,-0.00097643+0.0018406i,-0.000515+0.00097847i,-0.00034099-0.00049707i,-0.00021802-0.0002377i
0.0018902-0.0017957i,0.0028202-0.0019883i,0.003816-0.0020377i,0.0037291-0.0017356i,0.00161-0.0013521i,-0.00022154-0.0015673i,-1.639e-05-0.0011493i,-0.00022715-0.00069076i,-0.00029957-0.0011388i,-0.00054117-0.0010786i,-0.0003944-0.00067269i,-0.00039814-0.00047899i,-0.00038351-0.00024811i,-0.00053831+0.00028045i,-0.00045712+0.00028397i,0.00011696-0.00019489i,7.0373e-05+0.00011858i,0.0001014+0.00031763i,-0.00024592+5.1054e-06i,-0.00047287-0.000424i,0.00027609-0.00021167i,0.0011042+0.00053134i,0.00043765-4.5644e-05i
0.00080878+0.0020638i,0.0016937+0.0027066i,0.00072871+0.0010269i,-0.00063976-0.0007637i,-0.0015066-0.0024743i,-0.00225-0.0034768i,-0.0015619-0.0024045i,-0.00098964-0.0012798i,-0.0014516-0.0013349i,-0.0017426-0.0010688i,-0.0015302-0.00069542i,-0.0016056-0.00033921i,-0.0014297+0.00012171i,-0.00067703+0.00019593i,0.00029287-0.00025776i,0.0005917-0.00049713i,0.00014138+0.00012763i,0.00037854+0.00093088i,0.00014584+0.00067875i,-0.00059198-0.00022055i,-0.00018394-0.00076181i,0.00039842-0.00042152i,1.2606e-05+0.00050583i
-0.0020172-0.0013336i,-0.0024802-0.0015653i,-0.0030938-0.00079731i,-0.0016363+0.00083957i,0.00026075+0.00098778i,0.00098195-0.00026141i,0.00023734-0.00037239i,-0.0011074-5.4384e-06i,-0.001704+0.00040855i,-0.0021964+0.00099887i,-0.002232+0.0013509i,-0.0014948+0.0011479i,-0.00019176+0.00063361i,0.00030585+0.00079071i,0.00014805+0.00070872i,9.5721e-05+0.00014662i,-0.00030293-0.00075422i,-6.9109e-05-0.00071142i,0.0001754-0.00013849i,-0.00030017+0.00044915i,-0.00066768+0.00051469i,-0.00072991-7.3443e-06i,-1.9356e-05+0.00016073i
-0.0004019+0.0015531i,0.00048804+0.0021373i,0.000876+0.002484i,0.00025493+0.00063453i,0.00018048-0.00078347i,0.00015735-0.00059598i,-0.00042506-0.00096502i,-0.00077909-0.00010542i,-0.00073166+0.0022983i,-0.00023515+0.0021764i,0.00035445+0.00096199i,0.00070907+0.00047322i,0.00091624+0.00020706i,-0.00012401+0.00035315i,-0.00072288+0.00016066i,-0.00047581-0.0002925i,-0.00087741-0.00070453i,-0.0014794-0.0012363i,-0.0010069-0.00052169i,0.00020741-5.8681e-05i,0.00042554-0.00020285i,0.00038381+0.00041774i,0.0010061+0.000612i
-0.00059095+0.00034815i,0.00033978+0.0013617i,0.00062622+0.001397i,0.00073588+0.00077387i,0.0011474+0.0001531i,0.00078376-0.00049475i,0.00029684-0.00072833i,0.0010151+0.00038897i,0.0017108+0.0016795i,0.0014701+0.0020434i,0.0015633+0.0011838i,0.0015652+0.00011271i,0.00082968-8.6691e-05i,-0.00012798+0.00014179i,-0.00050075-0.00035696i,-0.0004397-0.00078644i,0.0005223-0.0001288i,0.00039599+0.00058962i,-0.0001553+0.00088719i,-0.00015203+0.00076667i,0.00040643+0.00033165i,0.0011035+0.00030047i,0.00090621+0.00052232i
0.00069196-0.00033901i,0.0004817-0.00038677i,0.0016926-0.0008507i,0.0016137-0.0011491i,0.0014227-0.0016232i,0.0015414-0.0024202i,0.00072419-0.002327i,0.00053896-0.0017918i,0.0013273-0.001747i,0.001788-0.0018928i,0.0012528-0.001823i,0.00080528-0.0010889i,0.0010038-0.00068065i,-0.00038559-0.00037061i,-0.001496-0.00021452i,-0.00097695+7.5578e-05i,3.437e-05+0.0006143i,-0.00014336+0.00065094i,-0.00042869+0.00096018i,-0.00027544+0.00085289i,-0.00015075+0.00053661i,-0.0001022+0.00025085i,-0.00042201-0.00039111i
-0.00067097-0.0031852i,-0.00027659-0.0027334i,-0.00090126-0.0031776i,-0.00029597-0.0019783i,0.00032028-0.00070894i,-0.00024492-0.00075028i,-0.0010989-0.00082076i,-0.0016718-0.00052822i,-0.0012873-0.0012415i,-0.00014164-0.0022085i,-0.00030611-0.0011582i,-0.00071165+0.00032744i,-0.00093616+0.00070111i,-0.0012655+9.1859e-05i,-0.00040384-0.00058911i,0.00044678-0.00046087i,0.00034736-0.00046534i,0.00073208-0.00064312i,0.00011671-0.00063884i,-0.00057555-0.00069066i,-0.00062808+0.00035003i,-0.0005416+0.00041963i,-0.00022282-0.00043367i
0.00099969+0.0035055i,0.0013749+0.0040972i,0.00071137+0.0046055i,0.0003776+0.0023603i,0.00097224-0.00039562i,-1.6939e-05-0.0017777i,-0.00068732-0.0016386i,-0.00089018-0.00085056i,-0.0017548-0.00085671i,-0.0020957-0.0014961i,-0.0012838-0.00076455i,-0.00051796-0.00039657i,0.00021988-0.00022885i,0.0006166-0.00017569i,0.00098448-0.00052178i,0.00033577-0.00058742i,-1.3168e-05-0.00081091i,0.00057871-0.0009449i,0.00020702-0.0012224i,-0.00010301-0.00091742i,0.00017168-2.7947e-06i,0.00082604+0.00018727i,0.00043669+0.0002248i
-0.001493+0.0018239i,-0.0023589+0.001303i,-0.0021352+0.0011243i,-0.0011326+0.0005077i,-5.6556e-05-0.001108i,0.00057282-0.0012503i,0.00084047-7.3955e-05i,-9.0925e-05+0.0012395i,-0.001261+0.001967i,-0.0014899+0.0014465i,-0.00053375+0.0011593i,0.0004861+0.00090537i,0.000883+0.00077344i,0.0010527+0.00061409i,0.0011057+8.0832e-05i,0.00060306+7.0385e-05i,-0.00060685+0.00020956i,-0.00052883-0.00022245i,0.00018402-0.00058354i,6.5091e-05-0.00051626i,0.00052158-0.00063004i,0.00034664-0.00062064i,9.5008e-05-0.00011325i
0.00095394+0.00067522i,0.0017513+0.00024384i,0.0012481+0.00063434i,0.0013069+0.00064672i,0.0019065+4.9692e-05i,0.0011829-0.00087293i,0.00041611-0.0012915i,-0.00047258+0.00034515i,-0.00095605+0.0022782i,-0.00063631+0.0024981i,-0.00037528+0.0024478i,0.00058268+0.0017122i,0.0005228+0.00058773i,-0.00037253-0.00022092i,-0.00068874-0.00013748i,-0.00047311+0.0009569i,-0.00048816+0.00072404i,8.7608e-05-0.00047108i,0.00093759-0.00072892i,0.00078985+0.00040872i,0.0010174+0.00082431i,0.0010862-0.00023625i,0.00077793-0.00042919i
0.0011414-0.00051834i,0.0014426-0.00098302i,0.0026843-0.00050652i,0.0021846+0.00060394i,0.00060457+3.0876e-05i,5.8323e-05-0.0014352i,-0.00029735-0.0015065i,0.00018844-0.00051164i,0.0015589+0.00092156i,0.0023389+0.0017352i,0.0016611+0.0012619i,0.0010375-0.00030059i,0.00047041-0.00063605i,-0.00050391+0.00028207i,-0.00080089+0.00035412i,-0.00071163+6.1691e-05i,-0.0011647+0.00012297i,-0.0014324+0.0004643i,-0.0003956+0.00077439i,0.00040799+0.00023975i,0.00033157+0.00059075i,-0.00023692+0.00073108i,-6.0994e-05-0.00026096i
0.0010789-0.00055039i,0.00080052+5.1151e-05i,0.00071273+2.3619e-05i,0.00026983-0.0005808i,0.00066867-0.0010467i,0.00019729-0.0010574i,-0.00029526-0.0010224i,0.00054488-0.00082935i,0.0021488-0.00067089i,0.0028835-0.00075078i,0.0020232-0.001332i,0.0013638-0.0015946i,0.00096487-0.0017774i,0.00037971-0.0011688i,7.9297e-05-0.00022077i,4.5749e-08-0.00014943i,0.00032316-0.00048818i,0.00056831-0.00076343i,0.00038492-0.00024373i,0.00020276+0.00019657i,-0.00030236+8.8115e-05i,-0.00078059-0.00030487i,-0.00060569-9.9755e-05i
0.0024536+0.00092986i,0.0023059+7.9194e-05i,0.0019105-0.00014302i,0.0012443-0.00010686i,0.00017016-0.0019175i,-0.0014148-0.0017746i,-0.001033-0.0001236i,0.00023124+0.00024943i,0.00083776-0.0011415i,0.00065452-0.0022732i,0.00015862-0.001942i,0.0003421-0.0013038i,2.3929e-05-0.0014979i,-0.00044342-0.0013469i,-0.00050307-0.00085965i,-0.00036737-0.00064356i,-0.00054268-0.00041336i,7.9493e-05-0.00061616i,0.00056028-0.00086107i,-5.3017e-05-0.00067697i,-0.00012056+0.00021864i,0.00034584+0.00050883i,0.00064479-0.00034132i
-0.00049327-0.00021837i,-0.0010077-0.0008494i,-0.0015182-0.00025752i,-0.0017333-8.8579e-05i,-0.0013476-0.00027089i,-0.00056975-0.00015747i,-0.00088519-0.00050336i,-0.0022449-0.0009308i,-0.0034178-0.00080107i,-0.0031878-0.00068381i,-0.0017837+3.6908e-06i,-0.00053665+0.00065872i,-0.00056945+0.00042838i,-0.0013386+0.00027255i,-0.0013636-0.00081174i,-0.00098998-0.0020361i,-0.00074443-0.0017864i,-0.00073361-0.0012421i,-0.00063524-0.00080897i,0.0001082-0.00066189i,0.00057397-0.0001087i,3.7129e-05+0.00074358i,-0.00016892+0.00035943i
0.00036794+0.00030708i,0.00053772+0.001005i,0.0007144+0.0013694i,0.00084162+0.0014988i,0.0015815+0.00059319i,0.0016726-0.0011496i,0.00033897-0.0012499i,-0.00089811-0.00022381i,-0.0020599+0.00097775i,-0.0025114+0.0016818i,-0.0014285+0.0013121i,-0.00018086+0.00058601i,0.00031535+0.000907i,0.00027135+0.00062367i,-0.00024918-0.00055085i,-0.00064247-0.00044338i,-0.00052285+0.00041695i,-0.00072925+1.0382e-05i,-0.001096-0.00032988i,-0.00083235+0.00033926i,-0.00022747+0.00012812i,0.00070402-0.00020418i,0.00046939-6.9593e-05i
-0.0011721+0.0010633i,-0.0011738+0.0018757i,-0.0013662+0.0025576i,0.00023934+0.0013791i,0.0012126+0.00010386i,0.0013847-0.0006019i,0.0011611-0.00021309i,0.00014919+0.001417i,-0.00055457+0.0030234i,-0.00016678+0.0031735i,0.0010968+0.0028918i,0.0014186+0.0031395i,0.00098345+0.0019137i,0.00066673+0.00073711i,0.00074797+0.0003165i,-0.0002934+0.00022057i,-0.00065688+0.0003203i,2.8716e-05+0.00012139i,-0.00021472+7.6894e-05i,-0.00042666+0.00014308i,-0.0002922+0.00035171i,-0.00023422+0.00098868i,-0.00019255+0.0010922i
-0.00060536-0.0018002i,-0.00060542-0.00236i,-0.0013112-0.001415i,-0.00090335-0.00027885i,0.00029496-0.00037029i,0.0003673-0.0011475i,0.00038391-0.0016471i,0.0011532-0.00086604i,0.0020385+0.00049792i,0.0022552+0.00096599i,0.0020402+0.0010148i,0.0020372+0.0012911i,0.0011151+0.0011297i,5.4699e-05+0.0011247i,0.00035411+0.00051545i,0.00063349-0.00031689i,0.00017741-0.00046814i,-0.00053251-0.00042888i,-0.0006879-0.00026672i,2.3887e-05-0.00014037i,5.1762e-05+0.00058777i,-0.00065431+0.0006497i,4.6708e-05-6.1684e-05i
-0.0018348+0.0010203i,-0.0022397+0.001784i,-0.0029176+0.0023022i,-0.0020175+0.00073899i,-0.0013746-0.00065106i,-0.0010636-0.0013414i,-0.00062369-0.0021239i,8.9133e-05-0.0018787i,0.00065993-0.00068502i,0.00045349-0.00030267i,0.00036474-0.0010455i,0.0013984-0.0011687i,0.0018898-0.00042115i,0.001201+1.5738e-05i,0.00076098+0.00017301i,0.00088404+0.0005132i,0.00094398+0.00046589i,0.00057463-0.0005334i,3.4379e-06-0.0011631i,-0.0001042-0.00064831i,-0.00023299-1.4425e-05i,-0.00045377+0.00078346i,8.7189e-05+0.0011339i
-0.001108-0.00085857i,0.00011725-0.001005i,6.3405e-05+3.238e-05i,-0.00025382+0.0011975i,-0.0002678+0.0013425i,-0.00072235+3.5848e-05i,-0.0009472-0.00052437i,-0.00067384-0.00033463i,-0.00036946-0.00082556i,-6.8412e-05-0.0010996i,-0.00065638-0.00068875i,-0.0012511-6.3037e-06i,-0.0010782-8.8892e-05i,-0.00029505-0.00069899i,-3.7217e-05-0.0008274i,0.00052498-0.0010147i,0.0017392-0.0011682i,0.0013359+4.0562e-05i,4.6274e-05+0.00063061i,-0.00023395-0.00036329i,0.0002454-0.00019973i,0.0004023+6.0773e-05i,0.00022917-0.00050779i
-0.00042366+0.001432i,0.00095534+0.0017454i,0.0012142+0.0024081i,0.00088448+0.0015599i,0.00056018-0.00022807i,0.00014767-0.00086896i,0.00011069-0.00058893i,-0.00020011+8.6443e-05i,-0.00068561+0.00081284i,-0.00068922+0.00050492i,-0.0010993+0.00084641i,-0.0012019+0.00085868i,-7.4346e-05+0.00016316i,0.00099724-0.0001803i,0.0012752-0.00083404i,0.00081359-0.0014104i,0.00013288-0.00068861i,-0.00066815+0.00035913i,-0.00049504+0.00013645i,-5.9149e-05+1.9934e-05i,0.00022296+0.00024714i,0.00029414+0.00020832i,0.00055259-0.0002461i
0.0019991-0.00013071i,0.0015896-0.00014347i,0.0016158+0.00018997i,0.0021791+0.00028225i,0.0015422-0.00058235i,0.00071075-0.0011938i,0.00049582-0.0014404i,-0.00015305-0.0010935i,-0.0010273-0.00018742i,-0.0015311+0.00064983i,-0.00066573+0.0011919i,-0.00019255+0.0011354i,-0.00041708+0.00080936i,-0.00029178+0.00040847i,-0.0005346-0.00031573i,-0.001022-0.00073739i,-0.0015076-0.00043087i,-0.00047237-0.00050275i,0.00080946+0.0005612i,5.8466e-05+0.0012691i,-0.00042376+0.00076339i,5.1873e-05+0.00090743i,0.00019102+0.0010341i
