-0.00098925+0.00022607i,0.00073808-0.0012143i,0.00079952-0.00045741i,0.00037071+0.00049611i,0.00011739+0.00097719i,0.0011472+0.0012729i,0.0019722+0.0012317i,0.0017332+0.001047i,0.0015165+0.00112i,0.0012878+0.00057089i,0.00069112-0.00051337i,0.00047744-0.00096067i,-9.9719e-07-0.0013884i,-0.00058643-0.0012206i,-0.00024503-0.00086513i,-0.00037527-0.00046743i,-0.00084584-0.00017227i,-0.00069984-0.00039973i,-0.00042936-0.00059517i,-0.00017489-0.0004822i,4.686e-05-0.00023616i,0.00030612-0.00014247i,0.00029976+0.00034943i
0.0026366-0.00028014i,0.0023569+0.0014225i,0.0022328+0.0022732i,0.0011303+0.0016251i,-0.00027137+0.00091114i,-0.00052907+0.0010816i,0.00035625+0.0013603i,0.00084509+0.0013497i,0.00059349+0.00054749i,0.0010534-0.00016557i,0.0011419-0.00049324i,0.0012053-0.0005837i,0.0010546-0.00024454i,0.0011318+9.0206e-05i,0.0018154+0.00039502i,0.0019968+3.0554e-05i,0.00094683+2.1131e-05i,-0.00010606-6.0281e-05i,0.00034171-9.7114e-05i,0.0010001+0.00047168i,0.00010974+0.00087091i,-0.00023503+0.001099i,-0.00026017+0.00088704i
0.0019879+0.00079494i,0.0015261+0.00024953i,0.00039623+0.00062921i,0.00064644+1.5606e-05i,8.5095e-05-0.0001004i,-0.0010035+0.00086847i,-0.00018044+0.0017869i,0.00022041+0.001604i,0.00012708+0.00055301i,-0.00057523+0.00076205i,-0.0011424+0.00058685i,-0.0004474-7.8568e-06i,0.00019737-2.6364e-05i,4.3388e-06+9.9271e-05i,-1.8163e-05+0.00030824i,-0.00034846-0.00032528i,-0.00084947-0.0011792i,-0.00046318-0.00055407i,-0.00011772+0.00058907i,0.00051682+0.0010159i,0.00039883+0.00044572i,-0.00032596-0.00053457i,-0.00042409+0.00010634i
-0.00080929-0.0008361i,-0.00023164+0.00031604i,0.0013179+0.0021293i,0.0030892+0.00097819i,0.0021351-0.00060153i,0.00085612+0.00057826i,0.00023371+0.0017724i,-0.00085022+0.001875i,-0.00098153+0.0017995i,-0.00028629+0.0014193i,-0.00013305+0.00086689i,8.1509e-05+0.00053745i,0.0011342+0.00023218i,0.002127+0.00012843i,0.0016677+0.00030896i,0.00085558+0.00075354i,0.000398+0.00054487i,0.00016351-0.00020567i,0.00062903-0.00032627i,0.00066822-0.00028037i,0.00082077-0.00070922i,0.00089301-0.00054856i,0.00058812-0.00028417i
0.0024907-0.0027967i,0.0020044-0.0011854i,0.0012313-0.0001096i,0.00042386-0.0005046i,-0.0007654-0.00068338i,0.00011455+0.00062175i,0.0014379+0.0020127i,0.0013145+0.0018568i,0.00091706+0.00076947i,0.00044022+9.3064e-05i,0.00020095+0.00024629i,0.00046129+0.00044909i,0.001092+0.00066282i,0.0019386+0.00062867i,0.0014022+0.00017031i,0.00028132+0.00032254i,0.00038729+0.00020206i,0.0010152-0.000497i,0.00096485-0.00076908i,0.00024502-0.00059163i,0.00019694-0.00048705i,-0.00011706-0.00019647i,-7.9463e-05-4.7506e-05i
0.0061038-0.00061937i,0.0057799+0.00051585i,0.0037681+0.00071982i,0.00059858-0.00065445i,-0.00052071-0.00029354i,0.00048772+0.0021181i,0.0018502+0.0028044i,0.0024309+0.0015446i,0.002075-0.0001167i,0.001261-0.00074447i,0.00034915-0.00077337i,0.00010282-0.00063297i,-6.4931e-05-0.00037812i,-4.1567e-05+0.00041649i,4.998e-05+0.0010909i,-0.00034609+0.00017592i,-0.00052574-0.00098867i,0.00015041-0.00047918i,0.00063632-2.4018e-06i,9.8132e-05-0.00017283i,0.00029911+0.00055209i,0.00080528+0.0010702i,0.0010439+0.00078454i
0.00048508+0.00066918i,0.00091526+0.0030521i,0.0019052+0.0027364i,0.0024662+0.00082207i,0.0014586-0.00057185i,0.00077315+0.00016838i,0.00010456+0.0011761i,-0.00071005+0.00072957i,-0.0012088+0.000855i,-0.001983+1.9281e-05i,-0.0017075-0.00085629i,-0.0006074-0.000387i,-0.00041568-0.00010562i,-0.00069835+4.9477e-05i,-0.00064574+0.00053248i,-0.00011883+0.00070441i,0.00085627+0.00028915i,0.00079044-0.00016537i,0.00028117-0.00074504i,0.00070202-0.00077181i,0.00072187-0.00018879i,0.00032402-0.00012225i,0.00026499+3.3028e-05i
0.0014167-0.00066148i,0.0023784+0.0019196i,0.0030816+0.0032777i,0.0024738+0.0020442i,0.00056118+0.00080305i,0.0001029+0.0014484i,0.0008583+0.0024594i,-0.00016323+0.0027437i,-0.00079941+0.0033028i,6.7891e-05+0.0031679i,0.00029072+0.0013856i,8.0199e-05-8.5223e-06i,0.00073234-0.00028346i,0.00080203-4.2713e-05i,-0.00022011-0.00012i,-0.00068313+0.00015614i,-0.0010909+0.00038543i,-0.0002914+0.0002659i,0.00067225+0.00060478i,-8.4506e-05+0.00033745i,-0.00042871-0.00028085i,-8.2625e-05-0.00032598i,0.00022673+0.00030181i
0.0025297+0.001224i,0.0020858+0.002181i,0.0019785+0.0023647i,0.0024265+0.0017975i,0.0022236+0.00083296i,0.0016139+0.0014288i,0.0018434+0.0026102i,0.0016468+0.0022533i,0.0016502+0.0024135i,0.0020373+0.0018902i,0.0018749-7.8533e-05i,0.00090395-0.00062536i,-0.00041363-0.00024297i,-0.00098068-0.00075116i,-0.0001325-0.00084348i,0.00051431-0.0010173i,0.00083795-0.0012767i,0.00024122-0.00063453i,-0.00033078-0.00051366i,-0.00015586-0.00042465i,0.00039882+0.001059i,0.00055136+0.0017904i,0.00060555+0.0010006i
0.0035965+0.0006827i,0.0023258+0.00042461i,0.0028749+0.0013299i,0.0030828+0.00054954i,0.0012683-0.00075957i,-0.00065717-0.00073613i,-0.00022627-0.0002682i,0.00024573+0.00038985i,0.00034175-0.0001748i,0.00078477-0.00077934i,0.00043379-0.00041496i,-0.00031842-0.00087215i,-0.00055747-0.00095011i,-0.00062797+0.00021152i,-0.00094994+0.00073819i,-0.00090924+0.00073958i,-0.00044816+0.00086961i,-7.3929e-05+0.00077463i,0.00051007+0.00026201i,0.0009451+0.0003058i,0.0009567+0.00049452i,0.0012453+0.00021239i,0.00093607+0.00031537i
0.0023383+0.00041004i,0.0027422+0.0014046i,0.0032307+0.0011019i,0.0031533+0.00040563i,0.00099499+0.00040557i,-0.00071353+0.0012394i,-0.00097344+0.0019806i,-0.0020244+0.0013897i,-0.0029257+0.00063883i,-0.0023432+0.0004402i,-0.0012719+0.00077958i,-0.00053885+0.00062432i,3.6171e-05+0.00079723i,0.0001662+0.0010236i,0.00042141+0.001456i,0.00038067+0.00087528i,-0.00021793-0.00050689i,-9.6649e-05-0.0013712i,0.00058939-0.0015179i,0.00058258-0.00079869i,-0.00010074+0.00047447i,-0.00057214+0.00088028i,0.00029682+0.00056512i
0.0010519-0.0010595i,0.00095425-0.00048588i,0.00080965+0.00033894i,0.00099955+0.0005559i,0.0015652+0.0017698i,0.0021446+0.0040961i,0.0019813+0.0046646i,0.00060604+0.0043643i,6.4128e-05+0.0035366i,0.0002503+0.002487i,-1.8912e-05+0.0019074i,0.00021059+0.0021245i,0.0010744+0.001508i,0.0017173+5.6822e-05i,0.0010886-0.000241i,0.0005025-3.1106e-05i,0.00023394-0.00076009i,-5.0291e-05-0.0013573i,0.00089965-0.00023374i,0.0013344+0.00058094i,0.00050917+0.00052001i,0.00019681+0.00070848i,-0.00018563+0.00026554i
-0.00060835-0.0012772i,0.00012394+0.00064023i,0.00056507+0.0022473i,0.00092713+0.0019535i,0.0011179+0.00091281i,0.0016048+0.0010658i,0.0023844+0.0010635i,0.0031945+0.00036129i,0.0037017+0.00012117i,0.0027964+3.0094e-05i,0.00032022+0.00011339i,-0.0012027+0.00055228i,-0.00069658+0.00031846i,0.0002477-0.00061206i,0.00013614-0.00059742i,-0.00037681-0.0005045i,-0.00024307-0.00084255i,-6.0726e-05-0.0010568i,0.00035865-0.00047333i,0.00036323-8.1275e-06i,7.4443e-05+0.00014207i,-0.0001858+0.00012988i,-0.00051437+0.00017972i
5.5153e-05-9.7094e-05i,0.00099606+0.0016887i,0.002874+0.0029024i,0.0034009+0.001371i,0.001583-0.00016334i,0.00022164+8.3645e-05i,0.00048729+0.00017023i,0.00058335-0.00072258i,0.00028271-0.0015203i,-0.00026012-0.0012331i,-0.00051229-0.00062052i,-9.6985e-05-0.00025014i,-0.00053507-0.00023639i,-0.0011909-0.00050036i,-0.0011646-0.0011846i,0.00025308-0.0013545i,0.0019336-0.0010501i,0.0012697-0.0005886i,-0.00047667+0.00048878i,-0.0004973+0.0005918i,0.00019462+0.00017771i,0.00066229+0.00025151i,0.0010953+0.00035689i
0.0044484-0.00027876i,0.004825-0.00022376i,0.0055914+0.00047263i,0.0051181-0.00046409i,0.0024164-0.0015721i,0.00057894-0.00059086i,-0.00012565+0.0015698i,-0.0015738+0.002969i,-0.0026123+0.0027671i,-0.0026992+0.0012123i,-0.0019308-0.00030103i,-0.0016557-0.00022967i,-0.0013688-3.6169e-06i,-0.00087285-5.7731e-05i,-0.0010905-0.0002579i,-0.00096596-0.00061695i,0.00015576-0.00067728i,0.0003571-0.00068857i,0.00046003-0.00067543i,0.00014181-0.00054745i,-0.00041453-0.00018763i,6.6042e-05+0.00032701i,0.00056241-4.6819e-05i
0.0041422-0.0037877i,0.0032421-0.0028369i,0.0026458-4.8623e-05i,0.0016946+0.0012707i,2.9604e-05+0.0019108i,-0.00079753+0.0030985i,0.00067259+0.0032289i,0.0014629+0.0029673i,0.00036354+0.0030643i,-0.000295+0.0029917i,-0.00016538+0.002297i,4.6462e-05+0.0013476i,-0.00023187+0.00056469i,0.00011512+0.0004608i,0.0012194+0.00022063i,0.00088449-5.7958e-05i,0.00069992-0.00019228i,0.00099468-0.00020372i,0.0017767-5.7257e-05i,0.0022918+7.9896e-05i,0.0013162+0.0010114i,0.00032105+0.0013241i,0.00023066+0.00059935i
0.0043652+0.00072025i,0.0044294+0.00083747i,0.0042447+0.0015447i,0.0033763+0.0013824i,0.0018488+0.001591i,0.0008137+0.0024522i,0.0012834+0.0024331i,0.0020264+0.0020437i,0.002437+0.0014031i,0.002325+0.00035146i,0.0016457+0.00012052i,0.00028654-0.00063822i,-0.00040663-0.0011774i,1.9309e-06-0.00015692i,-8.565e-06+0.00042228i,-0.00064382-2.5729e-05i,-0.00044644-0.0010705i,0.00030594-0.0010565i,0.00081505+0.00050904i,0.0010358+0.0010595i,0.00082501+0.00059157i,0.00086802-0.00011319i,0.0004982+0.00022741i
0.0026919-0.00059947i,0.0036437+0.00024862i,0.0038432+0.0012616i,0.0023543+0.00075789i,0.00041576+0.0001413i,-0.00045289+0.0011913i,0.00019674+0.0012204i,-0.0002322+0.00016268i,-0.0018158-0.00023781i,-0.0016468-0.00080267i,-0.00044877-0.0017497i,-6.2694e-05-0.00096673i,-0.0004286+0.00012144i,-0.00079824-9.8808e-06i,-0.0002239-0.00050524i,0.00089864-0.00067419i,0.00076742-0.00056657i,0.00091067-0.00080638i,0.0012581-0.00026638i,0.00081669+0.00041396i,-0.00021509+0.00014315i,-0.00080531-0.00028195i,-0.00065883-0.00033951i
0.001584-0.0031895i,0.00069622+0.00027323i,-0.00069992+0.0029864i,-0.00077098+0.0030454i,-4.3462e-05+0.0023645i,0.00031401+0.0025422i,0.00042278+0.002668i,-0.0003675+0.0020008i,-0.0018999+0.0020721i,-0.0018428+0.0020216i,-0.0011315+0.0012193i,-0.00087628+0.00016916i,-0.00023254-0.00073373i,0.0011145-0.00064616i,0.0016636-0.00062571i,0.00045298-0.00092129i,-0.00027328-0.0010402i,0.0001761-0.0012179i,0.00027943-0.0013063i,0.00019111-0.00097096i,-0.00048484+0.00024327i,-0.0010894+0.0012854i,-0.00057003+0.0010959i
0.0034418+7.1306e-05i,0.0028822+0.0011206i,0.0021956+0.0017646i,0.00084985+0.0020777i,-0.00092027+0.0013043i,-0.00081946+0.0024565i,0.00040235+0.0039041i,0.00090771+0.0032157i,0.00096127+0.0025467i,0.0010841+0.0023434i,0.0007319+0.0019221i,0.00060505+0.00065222i,0.0012101-0.00071206i,0.0014699-0.00060293i,0.0012715-0.00020796i,0.0018531-0.0003738i,0.0019994-0.0010719i,0.0017293-0.0011396i,0.0008473-6.1638e-05i,0.00023274+0.00039769i,0.00055021+0.00066778i,0.00040419+0.00079817i,0.00031116+0.00012888i
0.00082233+0.0015424i,0.0011609+0.0030765i,0.0010784+0.0045789i,0.00085544+0.0027005i,0.00025258-0.00056439i,0.00023577-0.00084648i,0.00049442+0.00032082i,0.00043424+0.00034645i,0.00033371-0.00047891i,3.9656e-05-0.0010426i,0.0004861-0.00089652i,0.00064-0.0012166i,-0.00038863-0.0020264i,-0.00095471-0.0010929i,-0.00061455-0.00038768i,4.6423e-05-0.00065644i,0.00091133-0.00087306i,0.0010212-0.0010135i,0.00032105-0.00056258i,-0.0002887-9.195e-06i,-0.00037355-1.2379e-05i,-0.00047114-0.00015619i,-0.00048665+6.6513e-05i
0.0012395+0.00034441i,0.00082746+0.0010442i,0.0010012+0.002472i,0.0017025+0.0023773i,0.0002177+0.00093852i,-0.0016215+0.0013285i,-0.0017013+0.0023788i,-0.0019721+0.0018105i,-0.0018116+0.0004348i,-0.00069844-0.00053628i,0.00021446-0.001274i,0.00011372-0.0019103i,-9.0289e-05-0.0018249i,0.00033423-0.001422i,0.001492-0.0013543i,0.0014561-0.00066247i,0.00062825+3.7461e-05i,0.00090444+0.00022519i,0.0010912-0.00040669i,-6.4536e-05-0.00068396i,-0.00070364+0.00046259i,-0.00050682+0.0019276i,-0.0004686+0.0016858i
0.00015529+0.0013537i,-0.00086184+0.0024992i,0.0010028+0.0025341i,0.0023185+0.00042193i,0.0014897-0.0023061i,0.0009643-0.0024549i,0.0016678-0.00033478i,0.0015784+0.0020672i,0.00023264+0.0031484i,-0.00084632+0.0018905i,-0.0015758+4.3818e-05i,-0.0018145-0.0007477i,-0.00089001-0.00053686i,0.0002555-7.7969e-05i,0.0010533-0.00014361i,0.0014406-0.00037892i,0.0014167-0.00019328i,0.0012638+0.00011312i,0.0008752-0.00018822i,-5.1439e-05-0.00033852i,-0.00040571+0.00012155i,-0.00053786+0.00081812i,2.4838e-05+0.00095933i
0.00017093-0.0011416i,-0.00069111+0.000959i,-7.1424e-05+0.0024568i,0.0011146+0.0010499i,0.00062538+2.931e-05i,-0.00038103+0.00063863i,0.00077919+0.0010219i,0.0018986+0.0014031i,0.0021915+0.0017681i,0.0020213+0.0019415i,0.001279+0.0013019i,0.0012267-1.9546e-05i,0.0017749-0.00058908i,0.0012927-0.0013895i,0.0010722-0.0017012i,0.0017443-0.0006094i,0.001693-0.00025107i,0.0013594-6.4576e-05i,0.001179+0.00039707i,0.00051544+0.00072301i,0.00011065+0.00079217i,0.00021384+0.0005137i,0.00024834+0.00069902i
0.0034266-0.0025176i,0.0021425-0.0022496i,0.0018594-0.00047523i,0.0029966+0.00075137i,0.0035723+0.00025636i,0.0026+0.0012693i,0.0010579+0.0019899i,0.00024365+0.00061658i,-5.1427e-06-0.00023465i,0.00062164-0.00099913i,0.001216-0.001829i,0.0003773-0.0017927i,0.0004972-0.0019568i,0.00098814-0.0017409i,0.00081658-0.00059072i,0.0005588-0.00031278i,0.00038552-0.00029985i,0.00039548-7.393e-05i,0.00074302+0.00037043i,0.000372+0.00025601i,-0.00036041-0.00024684i,-0.00077996-0.00023863i,2.7071e-05+0.00031383i
0.0030401-0.00085332i,0.003553+0.00081867i,0.0042481+0.0029089i,0.0037577+0.0020571i,0.0024595+0.00089184i,0.0022322+0.0011797i,0.0020396+0.0019944i,0.00035464+0.0029524i,-0.0016476+0.0026182i,-0.0020253+0.00077573i,-0.0018277-0.00059646i,-0.0015234-0.00076447i,-0.00079469-0.0012497i,0.00015792-0.0011976i,0.00085538-0.00035941i,0.0013483+0.00066716i,0.0012565+0.0013959i,0.0012666+0.00081125i,0.001843-0.0001651i,0.0009196-0.00049896i,0.0002621+0.00023632i,3.9161e-05+0.0010797i,-0.00019805+0.0015366i
0.004226-0.00022573i,0.0040394-0.00092558i,0.0038717-0.0008193i,0.0032496+0.00031853i,0.0018285+0.0015489i,0.0017299+0.0022768i,0.0020163+0.0032942i,0.0012474+0.0031656i,0.00063812+0.0029889i,-7.3398e-06+0.0025086i,9.5092e-05+0.0016676i,0.00080232+0.00043963i,0.00091762-0.00037543i,2.5921e-05-2.8158e-05i,-0.00050133+0.00057118i,-2.5443e-05+0.0010368i,0.0010873+0.0010805i,0.0014917+0.0010736i,0.0010568+0.00073976i,0.00040229+0.00079095i,-0.00016797+0.00092303i,-5.6951e-05+0.00083038i,0.00018689+0.00086509i
0.0027718+0.0029465i,0.0029345+0.0043921i,0.003455+0.0047066i,0.0023338+0.0034959i,0.00079826+0.002694i,-0.00024916+0.00221i,-0.00012432+0.00073779i,-0.0004259-0.0004178i,-5.2229e-05-0.0001007i,0.0014591-0.00020024i,0.001982-0.00089177i,0.0019236-0.0017743i,0.0011392-0.0027017i,-0.00036709-0.0026272i,-0.0010815-0.0013487i,0.00015949+0.00026614i,0.0018138+0.00032276i,0.0012719-0.0003104i,-5.4569e-05+2.1172e-05i,-0.00039456+0.000552i,-0.00064538+0.00085262i,-0.00098895+0.0005171i,-0.00066037-0.00023412i
0.0024831+0.0039479i,0.0038635+0.0041138i,0.0052706+0.0039428i,0.0044122+0.0023589i,0.0017686+0.00060483i,0.00029371+0.00066488i,-0.001152+0.0013339i,-0.002429+0.00089645i,-0.0013828+0.00025661i,0.00094504-0.00017401i,0.0017025-0.0013663i,0.00078454-0.0019878i,0.00026856-0.0017336i,1.8962e-05-0.0019215i,-0.00025621-0.0011955i,-0.00022379+0.00023759i,-5.7322e-05+0.0014345i,0.00027832+0.0014876i,0.00013392+0.0005308i,-0.00049986+0.00016744i,-0.00087788+0.00048417i,-0.00030314+0.0005737i,0.00033111+0.00021288i
-0.00062809+0.00086122i,0.0001462+0.0029334i,0.0010785+0.004408i,0.0018063+0.0031158i,0.0011884+0.002523i,0.0016566+0.0032598i,0.0015963+0.0027698i,-0.00052269+0.0023604i,-0.0013565+0.0024832i,-0.0013355+0.0013118i,-0.00087208-0.00028468i,0.00031269-0.0011912i,0.0012166-0.0013239i,0.0019707-0.0014958i,0.0021816-0.001428i,0.0017851-1.7501e-05i,0.001513+0.001649i,0.0011674+0.0022368i,0.00039502+0.0012772i,-0.00049533+0.00032742i,-0.0016869+0.00039311i,-0.00084458+0.00092623i,0.00039574+0.00063224i
0.0026194+0.00051534i,0.0028356+0.00088819i,0.0022367+0.0014385i,0.001809+0.00072516i,-0.000489-8.4795e-05i,-0.0008994+0.00073422i,0.00079368+0.0023685i,0.0014463+0.0030415i,0.0015229+0.0036282i,0.00080897+0.003599i,0.00044296+0.0023005i,0.0014293+0.00033909i,0.0017269-0.0012742i,0.0014195-0.0016786i,0.00031184-0.00095778i,-0.00057924-0.00067504i,-3.8691e-05-0.0002649i,0.00051158+0.00046598i,0.00065303+0.00090527i,0.00041675+0.00091895i,0.00039166+0.00027322i,-0.00019631-0.00070465i,-0.00055689-0.0013996i
0.0004489+0.0013559i,0.0017378+0.0014953i,0.0033886+0.0017158i,0.0031848+0.00079751i,0.0011693-0.00017012i,-3.7603e-05-3.4764e-05i,0.00016094+0.00092762i,0.00047953+0.00030594i,0.0014301-0.0007721i,0.0024214-0.00025261i,0.0026754-0.00017577i,0.0022031-0.00073425i,0.00089556-0.0013447i,0.00012495-0.0012094i,-0.00024327-0.00016132i,-0.00035369+0.00047334i,-6.2543e-05+0.0006107i,0.00026119+0.00074794i,0.0009256+0.00068788i,0.001051+0.00099474i,0.00057728+0.00070522i,-0.0001132+0.00011383i,0.00028499+0.00010896i
0.0025748-0.0019328i,0.0031713+0.00040787i,0.0039747+0.0027017i,0.0041842+0.0020349i,0.0018763+0.00057235i,0.00060926+0.0014405i,0.00079737+0.0019504i,-0.00029765+0.00037413i,-0.00099351-0.00077241i,-0.00067548-0.0006603i,-3.4919e-05-0.00097057i,0.00028714-0.0014223i,0.0011959-0.0011971i,0.0018695-1.0536e-05i,0.0012485+0.0010202i,0.0003835+0.0015642i,2.9817e-05+0.0015466i,-5.6477e-05+0.00038655i,0.00023796-0.0001486i,0.00080808-0.00044679i,0.00096107-0.00075801i,0.00078573-0.00050962i,0.00016728+2.4239e-05i
0.0046628+0.00094717i,0.0046679+0.0025209i,0.0043168+0.0036765i,0.0028141+0.0016415i,0.0022623-0.00095969i,0.0019381+0.0001424i,0.00062401+0.0035432i,-0.00097137+0.005542i,-0.0014222+0.0049065i,-0.001408+0.0027625i,-0.00086309+0.0010498i,0.00038807-0.00017247i,0.0013729-0.00098691i,0.0009761-0.0011963i,-0.00031283-0.00086161i,-0.00092168-0.00072772i,-0.00028915-0.0002071i,5.6028e-05+0.00074695i,-0.00051096+0.0012138i,-0.00070759+0.0010191i,-4.5736e-06+0.00023407i,0.00059293-0.00012294i,0.00054788-0.00029506i
0.0024648+0.001169i,0.0022144+0.0020891i,0.0035029+0.0024958i,0.0033753+0.0012853i,0.0022435-0.00038614i,0.0019463+0.00069318i,0.0018721+0.0022719i,0.0013601+0.0028379i,0.0010377+0.002726i,0.00067532+0.0024752i,0.0012599+0.001162i,0.0018047-0.00063122i,0.0011924-0.0012416i,0.00017468-0.0011615i,-0.00032667-0.00032463i,-0.0011482+0.00036348i,-0.0012046+0.00066923i,0.00028025+0.0009899i,0.0014434+0.0011413i,0.0013495+0.00060548i,0.001189-0.00037792i,0.000807-0.00069892i,-0.00019764+8.4627e-05i
-6.3518e-05+0.0028268i,0.00074294+0.0050026i,0.001375+0.0064811i,0.0025636+0.0051761i,0.001819+0.001862i,0.00091703-0.00029953i,0.0010483-0.00062848i,0.00086676-0.00057615i,0.00084744-0.00072859i,0.0010357-0.00066325i,0.0012178-0.00099834i,0.0013097-0.0021068i,0.0012484-0.0024763i,0.0010178-0.0019871i,0.000406-0.0018159i,-0.00037636-0.0008018i,-0.00090054+0.00081475i,-0.0011316+0.0017553i,-0.0011196+0.0009237i,-8.4995e-05-0.00019143i,0.00076561+3.0422e-05i,0.00070761+0.00012589i,0.00082253+0.00026063i
-0.00060607+0.0027878i,-0.0010715+0.0056628i,2.5454e-05+0.007067i,0.0013662+0.0056193i,0.00088703+0.0034942i,0.00029915+0.0031543i,0.00054161+0.0031976i,-0.00012843+0.0025318i,-0.001757+0.0013135i,-0.0015056+0.00052186i,-0.00019308+0.00031852i,0.0016579+0.00033181i,0.0029008-0.00010107i,0.0021042-0.001325i,0.0011635-0.0010534i,0.00071389-0.00014632i,-0.00035527+0.00045474i,-0.0011517+0.0010954i,-0.0011637+0.00095094i,-0.00052506+0.00052463i,-9.6128e-05+0.00061694i,-0.00018247+0.00048927i,0.00021182+0.00010943i
-0.0040169+0.0024395i,-0.0019641+0.0037508i,0.00094096+0.0045526i,0.003061+0.0038911i,0.0035368+0.00211i,0.0031473+0.0015497i,0.0024459+0.0022807i,0.0010404+0.0032633i,0.00021236+0.0038556i,4.5883e-05+0.0029042i,0.0011651+0.00084967i,0.0030165-0.00079057i,0.0035477-0.0024947i,0.0031571-0.0030601i,0.0018541-0.0017241i,0.00077362-0.00060159i,0.00061548+1.5021e-05i,-6.7103e-05+0.00039878i,-0.00021147+5.5418e-05i,2.2534e-05-0.00025203i,-2.8535e-05-0.00019086i,-0.00028574+0.00046095i,0.00033518+0.00057055i
-0.0015717+0.0011061i,-0.00044431+0.0029618i,0.00090486+0.0027419i,0.0017471+0.00054772i,0.00081891-0.0013991i,0.00040564-0.000882i,0.0010811+0.0014673i,0.0018676+0.0022933i,0.0022769+0.0012278i,0.0018265-4.8982e-05i,0.0010786-0.0009373i,0.00079512-0.0019698i,0.0013388-0.0029724i,0.0015621-0.0024012i,0.00063582-7.295e-05i,-0.00045941+0.0017563i,-0.0015279+0.0015424i,-0.0014443+0.00087957i,0.00022458+0.00072529i,0.0011197+0.00092724i,0.00081692+0.00077012i,-0.00018325+0.0012283i,-0.00016054+0.0012394i
-0.0022366-0.0016731i,-0.00020897+0.0014548i,0.0016784+0.005029i,0.001909+0.0052616i,0.00089054+0.0022995i,0.0011845+0.0012204i,0.0017478+0.0013184i,0.00091031+0.00033692i,5.6478e-05-0.00029563i,-0.00026788+4.4051e-05i,-0.00040181-7.3465e-05i,6.5469e-05-0.00046753i,0.0016838-0.00074735i,0.0022522-0.0014076i,0.0014001-0.0010109i,0.00023395-5.4662e-05i,-0.0011058+4.1632e-05i,-0.0023768-0.00050773i,-0.002247-0.000794i,-0.00087442-0.0007253i,-0.00045076-0.00025276i,0.00067107+0.00080683i,0.0012642+0.0012352i
0.001547-0.0058308i,0.00094403-0.0025692i,0.0013831+0.001143i,0.0011733+0.0017921i,2.3419e-05+0.00098763i,5.0765e-06+0.0021658i,0.00032724+0.0035866i,-0.00019651+0.0037401i,-0.00083087+0.0036181i,-0.00038921+0.0030587i,0.00049143+0.0020604i,0.0010223+0.0013842i,0.001998+0.00061927i,0.0020636+3.1243e-06i,0.00064608+0.00057104i,-0.00064124+0.00050392i,-0.0013785-0.00039343i,-0.0015655-0.00027733i,-0.00075935+0.00062723i,-0.00021082+0.00046574i,-0.0004221-0.00015408i,-0.00058247+0.00041845i,-0.00060371+0.00067521i
0.0031149-0.002637i,0.0025211-0.00032091i,0.0028465+0.0019966i,0.0028511+0.0021262i,0.0018852+0.0014682i,0.0012263+0.0029965i,0.0019759+0.0039892i,0.002253+0.0038971i,0.0026174+0.0032501i,0.0030345+0.0026179i,0.0030739+0.001447i,0.003022-0.00049324i,0.0026075-0.0017393i,0.0017198-0.0017853i,0.00047165-0.00087681i,-0.00033886-0.00090452i,-0.00063111-0.0011883i,-0.0012446-0.00022008i,-0.00097754+0.00040183i,-0.00025277+0.0011876i,0.00018916+0.0012888i,0.0010403+0.00044748i,0.0010296+0.00017123i
0.001612-0.0018721i,0.0012194+0.0008375i,0.0021615+0.0033909i,0.0023578+0.0025648i,0.0013575+0.0011674i,0.0014371+0.0012661i,0.001888+0.00099601i,0.00067487+0.00028205i,-0.00021448-0.00024149i,-0.00027974-0.00049791i,-7.673e-05-0.00052267i,0.0010922-4.0185e-05i,0.0023719-0.00031342i,0.0025785-0.0012002i,0.0020317-0.00076654i,0.00081349-0.00089461i,-0.00031451-0.00159i,-0.001135-0.0014414i,-0.00082147-0.0010266i,-2.1903e-05-0.00069183i,0.00054629-0.00028266i,0.00097218+0.00015694i,0.0006017+0.00049758i
0.005764-0.0057944i,0.0037933-0.0029562i,0.0014053+0.00055326i,0.00015315+0.0014508i,-0.00075129+0.0011304i,-0.00052833+0.003173i,-3.5387e-05+0.004262i,-0.0002096+0.002871i,-0.00098106+0.0016415i,-0.0014204+0.0012099i,-0.0010928+0.002172i,0.00048771+0.0024222i,0.0022711+0.0014177i,0.0020521+0.00051704i,0.0014765+0.00053449i,0.00071965+0.00041479i,-0.00093393-0.00063078i,-0.0017033-0.00073663i,-0.0015549+0.00047147i,-0.001131+0.0013328i,-0.0005627+0.00053344i,-0.0012074-0.00043624i,-0.0012663-0.00057891i
0.0054633-0.00059603i,0.0023819+0.00031808i,-0.00028239+0.0011904i,-0.00058305+0.0016619i,-0.0011384+0.0024074i,-0.0011312+0.004648i,0.00021391+0.0063519i,0.00061129+0.0050887i,0.0014779+0.003739i,0.0020826+0.0034913i,0.0023071+0.0029077i,0.0018565+0.0021607i,0.0022706+0.0010388i,0.0030489+0.00048317i,0.0020505+0.00076281i,0.0015456+0.0002549i,0.00095689-0.00055606i,-0.00018589-0.0014411i,-0.0008126-0.00081806i,-0.00068031+0.00067551i,-0.00028506+0.0011129i,-0.00060627+0.00094684i,-0.0013272+0.0011414i
