-0.0033089+0.00055602i,-0.0034137-0.00022382i,-0.0042453-0.0010592i,-0.0027784-0.0014774i,-0.0014572-0.00093005i,-0.0010198+0.00010307i,1.2993e-05+0.0010202i,0.00084384+0.0010354i,0.00083916+0.0012439i,0.00048663+0.0013863i,0.00056364+0.00025276i,0.00026439-0.00062394i,-0.0003338-7.1806e-05i,-0.00053061+0.00053515i,-0.00013832+0.00013783i,9.4533e-05-9.582e-05i,-0.00036567+0.00011816i,0.00032916+0.00059119i,0.00093059+0.0012057i,0.00042721+0.0010629i,-2.0474e-06+0.00032455i,-0.00026181-0.00036799i,-0.00048288-6.4798e-05i
-0.0025633+0.00088246i,-0.0024433+0.00081879i,-0.0021393+0.0024881i,-0.00081189+0.0025991i,0.0014378+0.00079635i,0.0030258-0.0003183i,0.0024911-0.00014245i,0.00070873+0.00034932i,-0.00078395+0.00056828i,-0.00015981+0.0006022i,0.0012757+0.0008491i,0.0010185+0.00086209i,0.00047629+0.00050812i,0.00037674+0.00015479i,0.00016178+0.00064473i,-1.4719e-05+0.00075174i,0.0001766+0.00024724i,2.3118e-06-0.00019714i,-0.00016915+0.00022001i,-3.7406e-06+0.00043468i,-0.0001463-0.00045646i,-0.00058889-0.0011085i,-0.00019061-0.00079973i
0.0013509-0.00069488i,0.0018303+0.00033276i,0.0020817-0.0005645i,0.0020233-0.00030999i,0.0011917+0.0005602i,0.00047495+0.00065868i,0.00022963-0.00040133i,0.00066521-0.0012095i,0.00065588-0.0007582i,0.0004518-0.00064586i,0.00022913-0.0011877i,0.00013811-0.0009645i,7.0224e-05-0.00021157i,-0.00019998-0.0005699i,0.00060542-0.00084059i,0.00076194-0.00054232i,-7.9027e-05-0.00036724i,-0.0003025+0.00032321i,-0.00018017+0.00046129i,-0.00027235+0.00013831i,-0.00026181+0.00017259i,-0.00015159+0.0005099i,0.00038368+0.00058607i
0.000975+0.00078093i,0.0011969+0.00179i,0.00068558+0.0017243i,0.0006728-4.3735e-06i,9.1583e-05-0.0014721i,-0.00029371-0.0017144i,-0.00014461-0.001094i,-0.00049132-0.00084766i,-0.00012087-0.000582i,-0.00015509+3.8456e-05i,-0.0008447-0.00055822i,-0.00048658-0.001692i,-3.8238e-05-0.0015635i,-0.00012822-0.00047851i,-0.00068612+4.6693e-05i,-0.00038724-0.00018135i,3.4136e-05-0.00042819i,-0.00088143-0.00020381i,-0.001156+0.00038861i,-0.00072362+3.6867e-05i,-0.00028903-0.00087802i,-0.00048795-0.00062526i,-3.5351e-05-2.05e-05i
0.0010336-0.0010211i,0.0011256-0.00075412i,0.001792-0.0010038i,0.0010063-0.00071384i,-0.00019919-0.00061599i,-0.00035702-0.00097242i,-3.7607e-05-0.0015245i,-0.00017981-0.0011745i,-0.0010485-0.00052436i,-0.00080324-0.00036954i,-0.00094519-0.00073681i,-0.0016113-0.00084723i,-0.0013509-0.00067539i,-0.00085677-0.00034179i,-0.00047581-0.00010208i,0.00025912+0.00065962i,0.0001469+0.0012273i,-0.00029746+0.0011544i,-0.00046566+0.0013002i,-0.00012082+0.00098936i,0.00018937+0.00078181i,-0.00036002+0.00046351i,-0.00062602+0.00018032i
0.0011759+0.000967i,0.0012677+0.0012084i,0.0015436+0.00095721i,0.0010856+0.0010134i,0.00069303+0.00010514i,-0.00012341-0.00018031i,-0.0014288-4.2661e-05i,-0.00061357-0.0003948i,-0.00031714-5.8377e-05i,-0.00069211+0.00047706i,-0.00035658+0.00022759i,3.1852e-05+0.00011009i,9.131e-05+0.0003243i,-0.00031817-0.0002255i,-0.00069627-0.0009496i,-0.00041552-0.00033449i,5.5648e-06+0.00095995i,6.7197e-05+0.0012385i,0.00027438+0.0006916i,0.00031834+0.00013306i,-0.00017131-0.00037156i,-0.001042-0.00040248i,-0.0011402-0.00017598i
0.0027551+0.00097603i,0.0024318+0.0010768i,0.0023342+0.0015308i,0.0023624+0.00059344i,0.0018778-0.00062253i,0.001782-0.00057217i,0.001366-0.0001193i,0.00067975+1.2651e-05i,-0.00025902+0.00024594i,-0.0004738+0.00029974i,-2.6457e-05-0.00026747i,-0.00025079-0.00052792i,-0.00049864-0.00076792i,-0.0006956-0.00062758i,-0.00036087-0.00048382i,-9.4232e-05-0.00067128i,4.9162e-06+0.00026684i,0.00023352+0.00089327i,-0.00024907+0.0007529i,-0.00049364+0.00014241i,-0.00022336-0.00033169i,-0.00046164+6.4105e-05i,-0.00084239-2.4356e-05i
0.00038421+0.00077142i,0.0014237+0.00075459i,0.0025972+0.00055227i,0.0025672+0.00017113i,0.0023322-0.0004679i,0.0014389-0.0011758i,0.00030002-0.0016406i,-0.00022707-0.00064217i,-8.8774e-05+0.00066025i,0.00053694+0.0003766i,0.00013625-0.00015468i,-0.00018514-0.00035864i,0.00015013+7.3347e-05i,-0.00022741+0.00025079i,-0.00050387-0.00066879i,-0.0006372-0.00059741i,-0.0012035+4.6689e-05i,-0.001199+6.7639e-05i,-0.00060205+1.7593e-05i,0.00048428+8.6905e-05i,0.0012977-0.00012638i,0.00086452-0.00062937i,0.00025009-0.00028376i
-0.0010413+0.0024248i,-0.00089511+0.003505i,-0.00078046+0.0047167i,0.00015823+0.0030579i,0.00063829+0.00094216i,0.00097375+2.798e-05i,0.00093198-0.0010463i,0.00052818-0.0013485i,-0.00025565-0.00089508i,-0.00030956-0.00060037i,0.00044204-0.00075451i,0.00049913-0.00083196i,0.0007154-0.00054467i,0.00072698-0.00080527i,0.00022686-0.00056238i,0.00018195+6.4108e-05i,-0.00021768-0.00026046i,-0.00014655+2.2311e-05i,0.00019519+0.00013045i,0.00020096-0.00025328i,-6.6952e-05+0.00036483i,-0.00066812+0.00067671i,-0.00045831-0.00027934i
-0.00081277-0.001608i,-0.00047214-0.0017067i,-0.00076377-0.002111i,-0.00076432-0.0028396i,-0.00016568-0.0025341i,-0.0003581-0.0014094i,-0.00041782-0.00077296i,-0.00071056-0.00030252i,-0.0011633+0.00044983i,-0.00065316+0.0009624i,-0.0011097-0.00026121i,-0.0013143-0.00085835i,-0.00042708-0.00049559i,1.3802e-05-9.1925e-05i,-0.0007446+0.00029333i,-0.00084206-7.488e-05i,0.00025084-0.00031283i,0.00026411-0.00044883i,4.1143e-05-0.00033673i,-0.00056322+0.00020921i,-0.00094533-3.2195e-05i,-0.00041045+0.00010717i,-0.00039954+0.00062431i
0.0023206-0.0010307i,0.0027447-0.0013566i,0.0030613-0.0010124i,0.002467-0.0012829i,0.00085084-0.0012726i,9.7704e-05-0.0011711i,-0.00042413-0.00059757i,-0.00080864-0.00087421i,-0.00098015-0.0012211i,-0.0013138-0.00070792i,-0.0012707-0.00072704i,-0.00084986-0.00086097i,-0.00057299-0.00011787i,-8.5253e-05-0.00012247i,-0.00013335-0.0005216i,-0.00042338+0.00013888i,0.00017622+0.0006568i,0.000442+0.00052622i,0.00056999+0.00043199i,0.00073869+0.00050533i,-7.5125e-05+0.00043061i,-0.00044952+0.00031606i,-0.00025248+0.00061466i
-0.0011931+0.00055631i,-0.00089777+0.00023623i,0.00058395+0.00092115i,0.0011394+0.00079436i,0.0011245+2.2923e-05i,0.00037928+0.00010196i,-9.3309e-05-0.00082955i,-5.1454e-05-0.0011103i,-5.2583e-05+8.1245e-05i,0.00014023+0.0011826i,-0.00049697+0.0011506i,-0.0014812+0.0010691i,-0.0015768+0.00077517i,-0.00076551+0.00037084i,-0.00079389+0.00046138i,-0.00082721+0.0002939i,-0.00016331+7.1758e-05i,0.00058167+0.00039179i,0.00036514+0.0010254i,-0.00026339+0.00087045i,4.914e-05+0.00016602i,0.00027033-0.00059669i,0.00052628-0.0008582i
0.00099154-0.0014703i,0.00048239-0.0010415i,0.0013905+5.9795e-05i,0.0018225-0.00024481i,0.00085879-0.00031325i,0.0002051-0.00043718i,0.00019468-0.0007775i,5.6097e-05-0.00046767i,-0.00053249-9.4454e-05i,-0.00029594-0.0001324i,-0.00048237+0.00026657i,-0.00073305+0.00031591i,-0.00052299-0.00035795i,-0.0012557-0.00059843i,-0.0012089-0.00010768i,-0.00030409-0.00015488i,-0.00014114+7.2393e-05i,-0.00064064+0.00024594i,-0.0011974-0.00017836i,-0.00088735-0.00045739i,6.6213e-05+0.00015248i,-0.00012172+0.00053494i,-0.00078841-0.00062003i
0.00023174-0.0012685i,0.00016124-0.0010271i,-0.00050046-0.00030581i,7.9205e-05+0.00011831i,0.0009109+8.8652e-05i,0.00039438-0.00075263i,0.00051994-0.00083109i,0.00057222-0.00025941i,7.6621e-05-0.00014629i,0.00019144+8.7543e-05i,0.0003246-0.00030658i,-0.00049797-0.00018354i,-0.0007283-0.00039798i,-0.00040409-0.00085671i,-0.00050502-0.00087834i,-0.00076077-0.00091582i,-0.00044504-0.00074897i,0.00033324-0.00055309i,0.0005799-0.0003386i,-8.3642e-05+0.00023057i,-0.00087365+0.00038828i,-0.00051972-0.00014764i,2.6035e-05+4.6753e-06i
-0.0011865+5.77e-05i,-0.00085873+0.00033658i,-0.0006663-0.00052219i,-0.00064828-0.00093082i,-0.00029931-0.00075372i,-9.7175e-05-0.0003418i,0.00011796-0.00042216i,0.00048257-0.0010785i,-1.1486e-05-0.00070282i,-0.00091877-0.00015102i,-0.0010671-0.00022216i,4.6453e-06-0.00026645i,3.0407e-05-0.00088162i,-0.0010217-0.0010946i,-0.00098583+0.00029525i,-0.00053351+0.0012773i,-1.4344e-05+0.00059332i,-9.5892e-05-0.00017292i,-5.9772e-05-0.00016818i,0.0005299+0.00012128i,0.00042872+0.00026935i,-0.00039696-8.9716e-05i,-0.00076508-0.00053598i
0.0011091-8.5194e-05i,0.0003284-0.00056853i,1.5468e-05-0.00074049i,0.00037883-0.0010152i,0.00032128-0.0015557i,-8.7457e-05-0.00066743i,0.0002991+3.4479e-05i,0.0003393-0.00042321i,-0.00031811-0.00076666i,-0.0011552-0.00075195i,-0.00057911-0.00091835i,0.00076156-0.00078641i,0.0010894-0.00049161i,0.00025243-0.00046768i,-0.0001207-0.00037317i,0.00022578+6.7509e-05i,-9.75e-05+0.00029006i,-0.00033259+0.00047494i,-0.00028838-8.9896e-06i,0.00030106-0.00064682i,0.0007154-0.0010727i,-0.00013708-0.00079926i,-0.00075048-9.9883e-05i
-0.00023331+0.0011591i,0.00014195+0.00064587i,0.00080978-0.00030743i,0.0010885-0.00047312i,0.00037605-0.00012191i,0.00014539+0.00049567i,0.00078696+0.00060543i,0.0010891+0.00027171i,0.00057124+0.00038493i,0.00033427+0.0003814i,7.5459e-05-0.00012952i,-0.00015162-0.0006078i,0.00030574-0.00032561i,0.0002554+0.00019411i,-0.00053323-0.00031764i,-0.00024101-0.00066507i,-0.00016059+0.00073845i,-0.00036049+0.0011743i,-0.00038007+0.00017006i,-0.000227-0.00070405i,4.8693e-05-0.00076017i,-3.6781e-05-0.00032364i,-0.00055183-4.3563e-05i
-0.001205+0.00062362i,-0.00059779+0.0019394i,-0.00040638+0.0027035i,0.0013002+0.00090175i,0.0016578-0.00046629i,0.0011797-0.00093821i,0.00066551-0.0016782i,-0.00030417-0.0017715i,-0.00097075-0.0012786i,0.00016489-0.0008223i,0.00031678+7.4832e-06i,-0.0008566+0.00030893i,-0.00063927-5.5054e-05i,-0.00068735+0.00048875i,-0.00087645+0.00085191i,-0.00017346+0.0013352i,0.00043192+0.0015943i,0.00028044+0.0010488i,-3.1398e-05+0.00068185i,-0.00047459+0.00079233i,-0.00054732+0.00017609i,-0.00011373+7.8646e-06i,-0.00022911+0.00026389i
-0.0011852+0.0029597i,-0.0019043+0.0029765i,-0.0020456+0.0044299i,-0.00076596+0.004024i,0.00048194+0.0018311i,0.00095167+0.00029101i,0.00042418-6.8921e-05i,-0.00047601-0.00017856i,-0.0010127+0.00014327i,-0.00082499+0.00028089i,-0.00055251+0.00012693i,-0.00025196+0.00074467i,0.00048719+0.00061174i,0.00086972-0.0004279i,0.00036152-0.00047642i,9.6695e-05-8.8293e-05i,-0.00028979+0.00014983i,-0.00041019+0.00024285i,0.00012967+0.00028239i,0.00045415+0.00017382i,0.00011311+0.00028147i,-0.00037253+0.00041888i,0.00053515+0.00025634i
0.0025411+0.00013695i,0.0037301+0.00040427i,0.0045268-2.2148e-05i,0.0025268-0.00048105i,0.00062283-0.0011762i,-0.00012453-0.00091686i,0.00016737-0.00038472i,0.00044399-0.00039407i,9.6427e-05-0.00012032i,9.3325e-05-0.0003521i,0.00032813-0.0004578i,0.00077322-0.00047621i,0.00057542-0.00014493i,4.7958e-06-7.8325e-05i,-1.031e-05-0.00039098i,1.5776e-05-0.0004713i,0.00020559-0.00035379i,7.5074e-05-0.00056499i,0.00017048-0.00061608i,0.00040415-0.00010345i,-3.7528e-05+0.00068967i,-0.00075795+0.0005097i,-0.0006461-2.7999e-05i
0.0016231-0.00050656i,0.0010641-0.00074564i,0.00099172-0.0012417i,0.0013512-0.0013503i,0.00070518-0.0014333i,0.00011631-0.0015873i,4.0174e-05-0.0016929i,0.00018575-0.0018079i,-0.0004596-0.0010954i,-0.0015106+1.2686e-05i,-0.00066518+0.00022599i,0.00045705-0.00046661i,0.0008914-0.00014222i,0.0010148+0.00092035i,0.00065266+0.00065248i,2.0519e-05-0.0004102i,0.00057148-0.00084193i,0.0010691-0.00035439i,0.0007725-2.6634e-05i,0.00043257-3.4402e-05i,-0.00017277-0.00067161i,-0.00042897-0.00096499i,0.0003028-0.00017651i
-0.0012184-4.9075e-05i,-0.001051-0.00037822i,-0.00095082-0.00032719i,-0.00047819-0.00033621i,0.00059794+0.00022338i,0.00091788-0.00046173i,3.0654e-05-0.0013584i,-8.7771e-05-0.00055342i,-4.0856e-05-0.00043758i,-0.00071888-0.00099387i,-0.00060887-0.00025181i,0.00038538+0.00081096i,0.00019636+0.00061717i,-0.00085477-6.4662e-05i,-0.0012139-0.00017862i,-0.00101-0.00044461i,-0.00048937-0.001287i,-0.00025464-0.0011657i,-0.00057899+4.7145e-05i,-0.00063333+0.00043886i,-0.00057922+7.595e-05i,-0.0007157+0.00016515i,-0.00077104+0.0011046i
-0.00068264-0.0014186i,-0.0010602-0.000886i,-0.0014068-0.00080646i,-0.0001314-0.00026103i,0.00035652+0.00051072i,1.7653e-05+0.00035991i,0.00089064-0.00022088i,0.00086533-0.00085789i,7.4675e-05-0.00052626i,5.8446e-05+0.00016408i,0.00032442+0.00010702i,5.0473e-05+0.0002063i,-0.0002377+0.00034394i,-0.00034583+9.2571e-05i,-0.00035106-0.00012127i,-0.00066221+0.00010034i,-0.00069411-0.00015011i,1.2045e-06+9.1938e-06i,-5.623e-05+0.00033271i,-0.00026894-1.6479e-05i,-0.00035688-8.7293e-05i,-0.00086632+5.1855e-05i,-0.00074322-0.00071544i
-0.00059655+0.00055493i,-0.00089822+0.00016136i,0.00020994-0.00056107i,0.0010123-0.00028362i,0.00062654-0.00027844i,0.00061255-0.00093793i,0.0007781-0.0011784i,0.00050913-0.0010488i,0.00056503-0.00024311i,0.0001728-0.00011906i,-0.00030429-0.00098686i,0.00054298-0.0013381i,0.00067105-0.00052885i,7.2223e-05+0.00034296i,0.00069746-9.5316e-05i,0.0011675-0.00016927i,0.00092308+0.00038743i,0.00087919+0.00087242i,0.00021057+0.0013948i,-0.00030745+0.00072352i,-0.00033714-0.00075315i,-0.00044683-0.0013819i,-0.00033839-0.000782i
0.0014261+0.0019878i,0.0022347+0.002635i,0.0019506+0.0017228i,0.00066606+0.00029768i,0.00077301-0.00019986i,0.0015495-0.00015341i,0.0011377-0.00067682i,0.00039658-0.0012309i,-9.1083e-05-0.0013766i,-0.00039161-0.0010578i,2.4477e-06-0.00033522i,0.00055256+5.0698e-05i,0.00029733-0.00043075i,0.0001066-0.00019103i,0.00050609+0.00037008i,0.00062415+0.00073244i,0.00048659+0.00019166i,0.00062344+9.6149e-05i,0.00010679-0.00021034i,0.00010594-0.00092005i,-3.9579e-05-0.00067974i,-0.00095715-0.00086682i,-0.00143-0.00078467i
-0.00010161+0.0013727i,-0.00095311+0.0020548i,-0.00045603+0.0026038i,0.0016632+0.003076i,0.0023196+0.0024905i,0.0014864+0.001318i,0.00047962+0.00075539i,0.00011923+0.00031927i,-0.00014273+3.669e-05i,-0.00072649+0.00037016i,-0.0010416+6.0717e-06i,-0.00069255+0.00013797i,-0.00043666+0.00055024i,-0.00052957+0.00049331i,-0.0005804+0.00034287i,9.9712e-05+0.0001584i,0.00062135+2.0318e-05i,0.00040632-1.0761e-05i,0.00033845-0.00030209i,0.00014509-0.00038134i,-0.00044922+0.00024066i,-0.00017427+0.00038688i,-0.00014325-0.00029145i
0.0033522+0.0013697i,0.0044898-1.2393e-05i,0.0063502-0.0012005i,0.005804-0.0031822i,0.0035953-0.003034i,0.0013263-0.0022739i,0.0011204-0.0012528i,0.0015122-0.00018109i,0.00050776+0.00057609i,-7.1482e-05+0.0006938i,-0.00051862-6.7922e-05i,-0.0014706-0.00049609i,-0.0014184-0.00025355i,0.00015497-0.00015395i,0.0007697-3.8126e-05i,0.0004883+0.00014639i,0.00093358+0.00024118i,0.00071692+0.00066462i,0.00034883+0.00064028i,0.00030355+3.644e-05i,0.00027905+5.2337e-05i,0.00025585-1.9641e-05i,-0.00037922+0.00035449i
0.00018551+0.00094139i,-0.00032057+0.0010865i,-0.00095656+0.00079294i,-0.00055536-0.00021316i,0.00085393-0.001094i,0.0011083-0.0016775i,-6.1237e-05-0.0020293i,-0.00050125-0.0015603i,-5.617e-05-0.00077803i,-0.00062564-0.0007169i,-0.0011106-0.0002675i,-0.00043938+0.00050354i,0.00047874+0.00053214i,0.0011844+0.00023751i,0.0012633+1.8258e-05i,0.00065661-0.0002589i,-4.8027e-05-0.00085594i,-0.00046144-0.0014592i,-2.0495e-05-0.00092194i,0.00060788+0.00017756i,0.00049324+0.00055106i,-2.1084e-05+0.000842i,-0.00060933+0.00036448i
0.0013272+0.00027358i,0.00087165-0.0003988i,0.0015681-0.00020866i,0.0013104+0.00033983i,0.0012824-0.00031269i,0.0015381-0.00052309i,0.001637+0.00027699i,0.001367+0.00017518i,0.00063729+0.0002196i,0.00069494+0.00068001i,0.0011878+0.00033002i,0.00052284+0.00015945i,0.0005249+0.00037563i,0.00085292+0.00035889i,0.00047573+3.3518e-05i,0.00065849-0.00011316i,0.0006215-0.00017287i,-0.00025764-0.00020186i,-0.00070706+0.00019217i,-0.00058131+0.00034003i,-0.0003747-0.00031874i,0.00027906-0.00090402i,0.0010633-9.1874e-06i
-0.00089236+0.0018271i,-0.00021813+0.0013467i,0.00034769+0.00119i,0.00027577+0.0010453i,0.00039068+0.00025252i,-0.00063956-0.00042043i,-0.0013736-0.0004523i,-0.0010234-0.00026703i,-0.00071288+0.00020033i,-0.00022014+0.00020606i,-0.00051494-5.1661e-05i,-0.00048834-0.00073378i,0.00057254-0.0006135i,0.00072522-0.00021762i,-0.00016684-0.00034468i,-0.00031699-0.00064259i,-3.7241e-05-0.00017885i,-1.5084e-05+0.00056678i,-0.00014695+0.00011916i,-0.00031591-0.00032754i,-0.00079559-0.00043758i,-0.00073049-0.00041799i,-0.0003039-0.00042076i
0.0010492+0.00019422i,0.00045282+0.00023941i,0.00056846+0.00054481i,0.00078653+0.00051875i,0.00066417+0.00070959i,0.00067391-6.363e-05i,0.00061206-0.00069334i,0.00051821-0.00030663i,0.00082743-8.3885e-06i,0.00087019+1.6357e-05i,0.00052061+0.00020698i,-0.00019138-0.00038101i,-0.000537-0.0013251i,-0.00053656-0.00098194i,-0.00054035+0.00027166i,-7.6256e-05+0.001137i,-3.44e-05+0.00077552i,-0.00027494+0.001138i,0.00015304+0.0014166i,0.0005701+0.00017384i,-0.00031237-0.00035165i,-0.0009973-0.0013753i,-0.00040024-0.0012086i
-0.0011669+0.00053925i,-0.001062+0.0014191i,0.00072273+0.0015808i,0.0019702+0.0011709i,0.0014204+0.00077098i,0.00051145+0.00016821i,0.00017699-0.0011521i,-0.00010949-0.0014866i,-0.00060353-0.00078858i,-0.00032447-0.00026565i,-0.00012895-0.00036416i,-0.0004714-0.00035341i,-0.00046858-0.00031005i,-0.0010478-0.00039536i,-0.00090368-0.00056518i,0.00052597-0.00021452i,0.00081418+0.00051615i,0.00012087+0.00091328i,0.00042174+0.00086617i,0.00070287+0.0004028i,-0.00044811-0.00023459i,-0.00070289-0.00050025i,-5.4569e-05+1.6386e-07i
-0.0019801+0.0024431i,-0.0013938+0.002311i,-0.00011017+0.0034221i,0.00116+0.0018257i,0.0013924+4.0273e-05i,0.0002241-0.0003374i,-0.0005642-0.0011913i,-0.00021815-0.0016508i,-0.00026483-0.0016223i,-0.00026983-0.001684i,-0.00028308-0.0014304i,-0.00042245-0.00012418i,-0.0004483+0.00052555i,-0.00049759+0.0003144i,-0.00033693+0.00018072i,0.0001615+0.00013946i,0.00019994+0.00035732i,0.00072832+0.00051307i,0.0012984+1.5172e-05i,0.00058304-6.1526e-06i,-0.00018916+2.4853e-05i,-0.00060249-0.00046011i,-0.0010999-0.00019642i
0.0012595+0.00049639i,0.0016015+6.9909e-05i,0.0024952-0.00064786i,0.0029278-0.00089047i,0.0025571-0.00049689i,0.0012276-0.0005095i,5.9428e-05-0.00022451i,-0.00013821-0.00034952i,-0.00027063-0.00054874i,-0.00024395-0.00047119i,-0.0001702-0.00019454i,-0.0013457+0.00032934i,-0.0017076+0.00074705i,-0.00090255+0.00075398i,0.00039829+0.00046775i,0.00072765+0.00049127i,-0.0001411+0.00040165i,-0.00085064-0.00048437i,-0.0012532-0.0014106i,-0.0011139-0.00076016i,-0.00087153-5.8452e-05i,-0.00072643+5.005e-05i,-4.7079e-05+0.00058957i
-0.0004612+0.0033179i,0.0009996+0.0042128i,0.00090156+0.0041252i,0.00099634+0.0024739i,0.0017172+0.00077569i,0.0017841-0.00033933i,0.0013012-0.0014509i,0.00062149-0.0015782i,2.6042e-05-0.00095601i,-0.00030967-0.00038916i,-0.00053332+0.00011376i,-0.00056618+0.00035332i,0.00033132+0.0003826i,0.0016218-0.00028904i,0.001633-0.00090629i,0.0011844-0.00071231i,0.00072149-0.00033906i,-5.2357e-05-0.00027985i,-0.00055344-0.00063554i,-0.00046858-0.00077i,-0.00075139-0.00020031i,-0.00091127+5.17e-05i,0.00045683+3.6664e-05i
9.2075e-05-0.0030979i,-0.00036243-0.0037131i,-0.00059133-0.0049288i,0.00014771-0.0030251i,0.00046458-2.1912e-05i,0.00085181+0.00053945i,0.00046695+0.00018262i,-0.00050318-0.00033925i,-0.0010095-0.00045166i,-0.0016093+0.00064104i,-0.00072865+0.0013056i,-0.00040685+0.00087878i,-0.00098383+0.00054638i,0.00022719-2.3205e-05i,0.0014449-0.00054095i,0.0009425-0.00074342i,-0.0005373-5.2517e-05i,-0.0012087+0.00080794i,-0.00067619+0.00041302i,-0.00014716-0.00027238i,-0.00013008-3.6388e-05i,-5.1356e-05+0.00024781i,0.000617-0.00019154i
0.0043023-0.00052379i,0.0044093+1.8925e-05i,0.0039045-0.00029958i,0.0024964-0.0012473i,0.00036828-0.0012653i,-0.00022425-0.0003809i,0.00012769-0.00017138i,-9.9879e-05-0.00043561i,-0.00028794+1.1314e-05i,-0.00016869+0.00070827i,1.8167e-05+0.0006796i,0.00062573-0.00041937i,0.001421-0.0011849i,0.0011378-0.00087746i,0.00011002-0.00065205i,-0.00054146-0.0010429i,-0.00053516-4.1144e-05i,-0.00055713+0.00093065i,8.9547e-05+0.00041334i,0.00044562-0.0004512i,0.00012855-0.00054163i,-0.00024849-0.00046686i,-0.00017823-0.00052484i
-0.0017135-0.0003426i,-0.0028678-0.0014135i,-0.0032066-0.0017037i,-0.0011519-0.00071729i,0.00084129-0.00072573i,0.0015758-0.0011842i,0.00085442-0.00045286i,-0.00040767+0.00024695i,-0.00081088+0.00060615i,-0.0010254+0.0010784i,-0.00038637+0.0005634i,0.00030514-9.5904e-05i,0.0001851-0.00022328i,-0.00042964-0.000798i,-0.0003834-0.00022816i,-0.00026024+0.00087238i,-0.00012593+0.00012067i,-6.4566e-05-0.00056482i,-0.00044097-0.00011936i,-0.00025216+0.00052796i,0.00049792+9.801e-06i,0.00032542-0.00066399i,8.3018e-05-0.00072248i
0.0011697+0.002334i,0.0020304+0.0021863i,0.0026451+0.0023906i,0.0022744+0.0011173i,0.0015233-0.00046162i,-1.205e-05-0.0010811i,-0.00072367-0.0011148i,9.0359e-07-0.0012744i,0.00096709-0.0007422i,0.00095702-0.00033891i,0.00047264-0.00066856i,0.00043675-0.0010987i,-0.00027831-0.0010065i,-0.00056794-0.00061988i,-0.00097043-0.000225i,-0.0013892+0.00037077i,-0.00070761+0.00037739i,1.0211e-05-0.0001426i,6.9587e-06+0.00016868i,-0.00015231+0.00015034i,6.4017e-05-0.00019462i,0.00037956-0.00036046i,0.001103+0.00010555i
-0.00027971+0.001794i,-0.00043736+0.0024142i,-0.00056177+0.0030823i,7.897e-05+0.0023019i,0.0011267+0.001116i,0.0017229+0.00036193i,0.0013293-4.0496e-05i,0.0012522-0.00040961i,0.0012813-0.00010429i,0.0002191-0.00024045i,-0.00078929-0.00011804i,-0.00056165+0.000576i,-0.0003035+0.00031647i,-7.6094e-06+0.00028883i,0.00030542+9.9151e-05i,-0.00014883-0.0003788i,-0.00020535-0.00091084i,0.00037428-0.00079675i,0.00066447-8.8388e-05i,0.00038323-4.8628e-05i,-0.00018649-0.00031871i,-0.00027032-6.2064e-05i,-0.00020738+0.00024164i
0.0009821+0.0020342i,0.0028186+0.0012503i,0.0042533+0.0012133i,0.0034665+0.00037844i,0.0023833-0.00076697i,0.0014654-0.0014161i,0.0007071-0.0010712i,9.6226e-05-0.001037i,0.00015735-0.00085012i,0.00032776-4.9733e-05i,0.00031094-0.00047876i,-6.4018e-05-0.00032753i,-7.9472e-05+0.00052055i,0.00062137+0.00035015i,0.00026993+1.1901e-05i,-0.00012483+0.00017048i,0.00025734+0.00083556i,0.00013993+0.00062536i,0.00026575+0.00031818i,0.00015993-0.0003588i,-0.00062474-0.00050126i,-0.0011965+0.00058275i,-0.00087263+0.00067685i
0.0012907+0.0023791i,0.0009582+0.0025618i,0.00047735+0.0020946i,0.00067739+0.00066321i,0.0016477-0.00025812i,0.0015407-0.00064439i,0.00032277-0.00058871i,-0.00010515-0.00077528i,-0.00058358-0.0011482i,-0.00053739-0.00073403i,-3.4064e-05-0.00056555i,0.00019117-0.00035801i,0.000392+0.00049266i,0.0002222+0.00067764i,-0.00012213+0.00014475i,0.00051181+0.00014788i,0.001058+0.00035398i,0.00050355+0.00059641i,0.00052425+0.00077859i,0.00017081+0.00056182i,-0.00015515+0.00095396i,-0.00034943+0.00132i,0.0001003+0.0015513i
0.0029407-0.00035848i,0.0030122-0.0010584i,0.0037233-0.00099197i,0.0025977-0.0012288i,0.0013851-0.0011409i,0.00061312+3.3881e-05i,-0.0010116+0.00019556i,-0.001311-0.00034996i,-0.0012461-0.00025839i,-0.0013523-0.0001242i,-0.0021193-0.00012804i,-0.0027603-0.00047267i,-0.0010659-0.00075552i,0.00064973-0.00078819i,0.00040037-0.00029231i,2.4884e-05+0.0002445i,0.00015256+5.3046e-06i,0.00042328-0.00020512i,7.9255e-05+0.00033712i,-0.00033443+0.00036913i,-0.00046632+0.00020566i,-0.00025499+0.00025642i,0.00063237+0.00017814i
