-0.0019991-1.2307e-06i,-0.0022339-0.00068244i,-0.0020075-0.00053819i,-0.0018687-0.00056446i,-0.0022625+8.8745e-05i,-0.0023911+0.0013181i,-0.0019287+0.0015196i,-0.00060801+0.0017647i,0.0010803+0.0018426i,0.001106+0.0014841i,0.00061965+0.00073791i,0.00083242-3.5517e-05i,0.00040137+0.00012719i,-0.00019983+0.00055301i,-0.00065574+0.0010163i,-0.0008531+0.0009658i,-0.00092385+0.00029112i,-0.00032393-0.00036942i,0.0008162-0.00028507i,0.0016999-0.00021511i,0.0011476-0.00074821i,0.00047089-0.0010552i,-6.2458e-05-0.00044397i
-0.00072161-0.00023983i,-0.00023879+0.00024902i,-9.4548e-05-0.0011847i,-0.0010868-0.0014179i,-0.0020831-0.00068522i,-0.0015972-0.00028075i,-0.0014953-0.00056831i,-0.00097177-0.00081951i,-0.00030019-0.0010722i,-0.0014378-0.0013478i,-0.0015568-0.0016176i,-0.00014064-0.0008944i,-0.00032842-0.00046763i,-0.00039985-1.8888e-05i,0.00065714+0.00049597i,0.0010321+0.00083477i,0.00094847+0.00087794i,0.00088615+0.00027724i,0.00066449-0.0003455i,0.0004038+0.00011101i,0.00014568+0.00031473i,-8.3833e-05-0.00021099i,-0.00034803-0.00042616i
-0.00067477-0.0022762i,0.00086988-0.0023377i,0.00045895-0.00088227i,0.00011713+0.00033109i,0.00046123+0.0016331i,7.1096e-05+0.0016221i,6.7209e-05+0.0010793i,0.00012563+0.0012181i,-0.00082186+0.00070102i,-0.0012408+5.7209e-05i,-0.00072361-0.00024524i,1.0005e-05-0.00062361i,0.00050806-0.00015204i,0.00048748+0.00071958i,6.7845e-05+0.00069812i,-0.00014983+0.00010714i,0.0003006-0.00019902i,-5.9536e-05-9.3254e-05i,-0.00061884+0.00046789i,-0.00034241+0.00058512i,-0.00041845+0.00065553i,-0.00021133+0.00068059i,0.00031601-9.3441e-05i
0.0017536+0.00181i,0.0017782+0.0016478i,0.00069201+0.00094536i,0.00016641+6.8254e-05i,-0.00071191-0.00064139i,-0.0011119+0.00022528i,-0.0010979+0.0011935i,-0.00060812+0.0012481i,-0.00044927+0.00093232i,-0.001345+0.00072928i,-0.0010661+0.0011098i,-0.00081453+0.0014522i,-0.0004861+0.0016402i,-0.00020313+0.0013755i,-0.00011423+0.00011964i,0.00019939-0.0002274i,0.00040121+7.0664e-05i,0.00070272-7.2972e-05i,0.00093801+0.00016871i,0.00075919+0.00037826i,0.00070373-0.00034891i,0.00046227-0.00061245i,0.00037123-0.0010243i
-0.0023767+0.00050758i,-0.0021004+0.00020769i,-0.00137+0.0019289i,-0.00062945+0.0030076i,-0.00044032+0.0021402i,-4.2123e-05+0.00038003i,-0.00034991-0.00019624i,-0.0010782-0.00011228i,-0.0010841+0.00019638i,-0.00019391+0.00020814i,0.00067918+0.00079408i,0.00010198+0.0018765i,-0.00072041+0.0022697i,-0.00086853+0.0015109i,-2.7978e-05+0.00019286i,0.00014777-0.00058168i,0.00018756-0.00063171i,0.00030477-0.00014743i,0.00011553+0.00010943i,0.000414+0.00014023i,0.00060845+1.8985e-05i,0.00066018-0.00046388i,0.00054048-0.00094047i
0.00070877-0.0031139i,0.0001874-0.0024521i,-0.00069232-0.00266i,-0.00096678-0.0027405i,-0.00019188-0.0015558i,0.0006051+0.00023544i,0.00034408+0.00083997i,0.00030104+0.00062186i,0.0010597+0.0001717i,0.00099998+0.00036369i,-3.9583e-05+4.1242e-05i,-0.00054295+0.00024708i,-0.00059544+0.0012854i,-0.00039163+0.0010206i,0.00023462+0.0002149i,-0.0003381-0.00028828i,-0.00033726-0.00029912i,5.8957e-05-0.00027907i,-0.00022911-0.00048123i,-0.00071759+3.4388e-05i,-0.00080183+0.0003369i,-0.00070356-0.00023343i,-0.00039604-0.00076996i
0.0015023+0.00057656i,0.00069883+0.0011583i,-0.00019777+0.00081748i,9.9657e-05-0.0006146i,0.00050451-0.0010659i,0.00036044-0.00089209i,0.00031264-0.0010249i,0.00076224-0.00019605i,0.0013103+0.00026427i,0.0014548-0.0003048i,0.00078017-0.00095452i,-0.00021796-0.0013164i,-1.9595e-05-0.0010454i,0.00057346-0.00037694i,0.00016824+2.0578e-05i,-9.8662e-05+0.00028949i,-7.6764e-05+0.00062085i,1.0694e-05+0.00042084i,0.00035457+0.00044856i,0.00064269+0.00024992i,0.00062804-0.0011185i,0.00025705-0.0013576i,-0.00056256-0.00049574i
-0.00098395-0.00015516i,-0.00012936-0.00028885i,0.00060881-0.00041875i,0.00066827-0.00018597i,0.00037025-0.00058512i,-0.00029905-0.0010574i,-0.0001099-0.00017031i,0.00055337-0.00022311i,0.00057009-0.00055613i,0.00023582-0.00018077i,-7.1815e-05-0.00045218i,0.00040189-0.00049816i,0.0014501-0.00016177i,0.0013777+3.6466e-05i,0.00077278+0.00041479i,0.00052695+0.00045779i,-0.00048529+0.00077462i,-0.0008763+0.0012018i,-0.00072488+0.00075023i,-0.00040204+0.00060174i,0.00021715+0.00059601i,7.3634e-05+0.00032263i,-0.00015649+3.711e-05i
0.00036847+0.00044973i,0.0011142+0.00065736i,0.0014988+0.0012622i,0.00072847+0.0015936i,0.00032667+0.0013088i,0.00043211+0.00028516i,0.00028213+0.00011134i,0.00021203+0.00037111i,0.00024268+7.5468e-05i,-0.00016189+0.0004382i,-0.00085444+0.00090636i,-0.00017387+0.00065606i,0.00049635+0.00046752i,0.00032947+0.00076627i,0.0003267+0.00027304i,0.00074245-0.00010525i,0.00076361+0.00075995i,0.00015734+0.00060432i,-9.3418e-05-0.00018579i,-0.00052315-2.341e-05i,-0.00042086+0.0002188i,-4.9174e-05-0.00063751i,-2.1741e-05-0.0011167i
-0.00028529-8.4699e-05i,-0.00065607-0.00029788i,-0.00092414-0.0016053i,-0.0005127-0.00099538i,-0.00040693+0.00059701i,-0.00031434+0.0011608i,-0.00035993+0.00077015i,-0.0005882-0.0001534i,-0.00069241-0.00091259i,-0.00097301-0.0008758i,-0.0011056+0.00020237i,-0.00094291+0.0012457i,-0.0010076+0.0018306i,-0.00062043+0.0017029i,8.5237e-05+0.00083181i,0.0011951+0.00083629i,0.00090398+0.00071839i,0.00038933-0.00073748i,0.00031637-0.0012186i,1.7146e-05-0.00029428i,0.00022997-4.4298e-05i,0.00030776+0.00054405i,-0.00015317+0.0014246i
-0.00036407-0.0026666i,-0.0013955-0.0018356i,-0.00072773-0.0017226i,-0.00023298-0.0013385i,-0.00078617-0.00013074i,-0.0010267+0.00074464i,-0.00071251+0.00091716i,-0.00068661+0.0011326i,-0.0015455+0.0010458i,-0.0021013+0.00055375i,-0.0017223+0.00067759i,-0.001845+0.0014584i,-0.0017716+0.0015738i,-0.00070047+0.0019589i,-0.0002647+0.0019626i,6.5288e-05+0.0011368i,5.0762e-05+0.00073306i,-0.00015976+0.00033052i,-5.925e-05+0.00044853i,-0.00011301+0.00033325i,-0.00047059+0.00020688i,-0.00065044+0.00029787i,0.00045676+0.00075069i
0.00082769-0.00071039i,0.0016244-0.0011341i,0.0017464-0.0011355i,0.00018289-0.0014271i,-0.001407-0.0009581i,-0.0011331+0.00041916i,-8.2725e-05+0.00081434i,-8.0516e-05+0.00072241i,-0.00036513+0.00090541i,-0.00051279+0.00076111i,6.3042e-05+0.00022461i,0.00036513-0.00063822i,0.00033409-0.00081469i,0.00054731+4.625e-06i,-0.00042166+0.00075257i,-0.00055947+0.00053507i,0.00031264+0.00055992i,0.00059237+0.00031445i,0.00034112-0.00030502i,-0.0001543+2.6352e-05i,-0.00040455+0.0011474i,-0.00033679+0.00089322i,-0.00034783+0.00027182i
6.0498e-05+0.0020531i,0.0010195+0.0020318i,0.0022+0.0014494i,0.0019694+0.00037401i,0.0016516-0.00039254i,0.0011356-0.00068682i,0.00054837-0.00027214i,0.00058281+0.00024615i,0.00063104+0.00065627i,0.00045099+0.0012698i,0.00056068+0.00064557i,0.00089904-3.5895e-06i,0.0012548-0.0002479i,0.0017015+0.00023901i,0.0016142+0.00023448i,0.00089349+0.00021151i,0.00021792+0.00099896i,0.00057765+0.00093799i,0.00082383+0.00062891i,-8.2918e-05+0.0011156i,-0.0011603+0.001171i,-0.0013832+0.00045241i,0.00029553-0.00013744i
0.0039263-0.00062941i,0.0035553-0.0029976i,0.0042184-0.0039263i,0.0031006-0.0033468i,0.001051-0.0025197i,8.8121e-05-0.0011955i,-0.00019257+2.8017e-05i,-0.00016336+1.8381e-05i,2.0107e-05+0.00028441i,-3.6864e-05+0.0005661i,0.00068385+0.00018631i,0.00087523-0.0002704i,0.00051695-0.00055011i,0.00028612-0.00072903i,0.00033375-0.00026724i,0.001336+0.00065052i,0.0018317+0.00074448i,0.00036568+0.00012534i,-0.0011922-8.5584e-05i,-0.00087819-0.00033196i,0.00065978-0.00076358i,0.00052693-0.0010054i,-0.00038044-0.00061472i
0.0011033+0.00018985i,0.00024927+0.00018156i,0.00020794+0.00047584i,0.0002863+0.0009804i,-0.00014203+0.00040373i,-0.00052483+0.00043226i,-0.00031947+0.0012268i,0.00012406+0.00092543i,0.00084815+0.00053464i,0.00037976+9.1149e-05i,-0.0010109-0.00024189i,-0.001784+4.9142e-05i,-0.0020398+0.00089999i,-0.0017964+0.001429i,-0.0007451+0.0014439i,8.5517e-05+0.0016703i,0.0008917+0.00090335i,0.0010641-0.00021073i,0.00065734-0.00051615i,0.00066813-0.00025689i,0.00069869+0.00019271i,0.00059427+0.00048804i,0.00038715+0.0008309i
-0.00028434-0.0010217i,-0.00034525-0.0001301i,-0.0005799-3.6101e-05i,-0.00063775+0.00048289i,-0.00052961+0.0003449i,-0.00013361-0.00022931i,-0.00025956+0.00055436i,-0.001075+0.00040505i,-0.00085592-0.00059844i,-0.00053862-0.0009267i,-0.00084771-0.0006911i,-0.0011764-0.0012312i,-0.0019139-0.0013258i,-0.0018195-5.4566e-05i,-0.00016011+0.00093686i,0.0011662+0.0011926i,0.0012936+0.0012868i,0.0011947+0.00067566i,0.00093771+0.00053548i,0.00076564-7.2975e-05i,-4.3838e-05-0.00015063i,-0.0005727+0.0006642i,-0.00045563+0.00042043i
0.0030629+0.0023761i,0.0037511+0.0013231i,0.0048388+0.00091546i,0.0042225+0.00031992i,0.0028488-0.0005116i,0.0012347-0.00059133i,0.00060897-1.0401e-05i,0.0012078+0.00016178i,0.00046037+0.00040325i,-0.00060293+0.00027317i,-0.0011457-0.00013492i,-0.0011891-0.00082836i,-0.00074637-0.0010968i,-0.00080969-0.00019465i,-0.00048513+0.00079518i,0.00024832+0.00084417i,0.00062397+0.00070786i,0.00091213+0.00095094i,0.00057417+0.00079775i,-0.00020878+0.00048225i,-0.00016001+0.00086275i,6.4433e-05+0.00062856i,-0.00031611+0.00027534i
-0.00068796+0.00053819i,0.00029776+0.00016259i,0.0009344+0.00068689i,0.00082407+0.001953i,0.00020717+0.0015242i,0.00080226-0.00020179i,0.0012079-0.00056017i,0.00027413-0.00043316i,-0.00089875+0.00014674i,-0.00086283+0.0015827i,-5.8666e-05+0.0025667i,0.00037183+0.0016295i,0.00053553+0.000222i,0.00068586+0.00045445i,0.00046175+0.0014325i,0.00011587+0.0011768i,0.00067351+0.00020129i,0.00086063-0.00030271i,0.0002189-0.00031349i,-0.00080181-0.00060592i,-0.00060738-0.00025207i,0.00019241+0.0011822i,0.0002314+0.0012179i
-0.00045471+9.4545e-06i,-0.00038236-0.001046i,-0.00019262-0.0017469i,-0.00073916-0.001799i,-0.0010533-0.0015229i,-0.00072368-0.00086695i,-4.7183e-05+0.00012674i,-0.00020363+0.0010279i,-0.0011069+0.0010548i,-0.0012891+0.00088876i,-0.00073323+0.0010677i,-4.0004e-05+0.0019387i,0.00094316+0.0018477i,0.0012022+0.00084189i,0.00059371+0.00071189i,0.00049527+0.00073042i,0.00029199+0.00051131i,-1.5581e-05+4.4688e-05i,-0.0001789-7.1167e-05i,-0.00038161-2.211e-05i,-0.00014862+0.00020693i,0.00012394+0.00058229i,0.00051639+0.00060447i
0.001446-0.00043593i,0.0007458+3.53e-06i,-1.9061e-05-4.8491e-05i,0.0002592-0.00014497i,0.00038653-0.00023829i,-0.00080147-0.00028561i,-0.0019978+9.1035e-05i,-0.0012178+0.00046046i,-0.00058445+0.00013331i,-0.001076+0.00011746i,-0.00076789+0.00024053i,7.7084e-05-0.00019458i,8.3353e-05-0.00046681i,-0.00041541-0.00013581i,-0.00012454-0.00017468i,0.00039478+0.00017882i,0.00094237+0.00054535i,0.00096089-0.00057325i,-9.8287e-05-0.00094061i,-0.00055455-0.0005665i,-0.00066247-0.0001933i,-0.00045337+9.1804e-05i,7.1093e-05-0.00053675i
0.0011541+0.0024501i,0.0019243+0.0029114i,0.0021985+0.0019911i,0.0025007+0.0005493i,0.0021662+0.00072185i,0.00075627+1.0844e-05i,0.00014722-0.00098755i,0.00040448-0.00030158i,0.00062301-5.0229e-05i,0.0019031-0.00071319i,0.0017811-0.00071217i,5.2178e-05-0.00077738i,-0.0010657-0.0011754i,-0.00097738-0.0014883i,-0.00012544-0.00012623i,0.00012882+0.0014524i,0.0006258+0.0014803i,0.0012876+0.00096026i,0.00073294+0.00010801i,4.1939e-05-2.4794e-06i,0.00049497+3.6854e-05i,0.0012647+8.8457e-05i,0.00069845+0.00028996i
-0.0020896+0.0018068i,-0.0016568+0.0028027i,-0.0014534+0.002468i,-0.00035321+0.0021822i,-0.00011325+0.0016381i,-0.0004312-0.00074004i,-0.00029946-0.0013835i,0.00016765-0.00013325i,0.00074333-3.2631e-05i,0.00053401-0.00091935i,0.00050614-0.0016643i,0.00033361-0.0011169i,-0.00071686-0.00067865i,-0.0010068+1.5745e-05i,-0.00086823+0.0012781i,-0.00071712+0.0015608i,0.00024324+0.00082556i,0.00097236+3.1064e-05i,0.00066177+0.00016709i,0.00020993+0.00056688i,0.00033421+0.00061481i,0.00063915+0.00089147i,-0.00037581+0.0012426i
-0.0019921-0.0011968i,-0.0011439-0.0013851i,-0.00072948-0.00065104i,-0.00024369+7.87e-05i,4.4733e-05+9.1555e-05i,0.00031859-0.0006925i,-0.00037914-0.00076038i,-0.00063052-0.00027443i,-6.8668e-05-0.00025424i,-0.0009305-0.00030746i,-0.0012413-0.00020854i,-0.00088783+0.00026106i,-0.00042658+0.00052189i,3.2438e-05+0.00049461i,5.0315e-05+0.00081464i,-0.00014607+0.0013861i,6.4627e-05+0.00076795i,4.0608e-05-6.1065e-05i,6.7349e-05-0.00030158i,1.6726e-05-0.00020751i,-1.4425e-05+0.00036541i,0.00033655+0.00086247i,0.00028569+0.0014624i
0.0001218-0.00085919i,0.0006407-0.001064i,-7.8299e-05-0.00083612i,-0.00095372+0.00055156i,-0.0010944+0.0011701i,-0.00058774+0.00064317i,0.00061485+0.0006368i,0.00043818+0.00026698i,-0.00070243+0.00025451i,-0.00093383+0.00058039i,-0.0006238+0.0010542i,-0.00045446+0.0013253i,-0.00086285+0.0017544i,-0.00033617+0.002135i,0.0011959+0.00099424i,0.0011651+9.3151e-05i,0.00035588+0.00018707i,0.00028558+0.00035124i,0.00048401-2.311e-05i,0.00037762-5.7506e-05i,0.00015118+0.00055124i,-0.00026458-0.00033612i,-0.00033243-0.00096523i
-0.00045938-0.00071383i,-8.2925e-05-0.00025886i,0.0010046-0.0012525i,0.0017367-0.0016211i,0.00047154-0.00094985i,-0.0012623-0.0001542i,-0.0016038+0.00014777i,-0.0016769+0.0001533i,-0.0012534+0.00021436i,-0.00037469+0.00018769i,-0.00046594+0.00046224i,-0.00042593+0.0012108i,0.00026038+0.0015738i,0.00045879+0.001781i,0.00038458+0.0010522i,0.0013131+0.00012408i,0.0015735+0.00036553i,0.00089162-3.0081e-06i,0.00029823-0.00064855i,-0.00040699-0.00031558i,-0.00049087-0.00011629i,-0.00058699-0.00099745i,-0.00086492-0.0012276i
-0.00030528+9.1328e-05i,-0.000679+0.0001076i,-0.00026687-2.8511e-05i,0.00026003-0.00070081i,0.0010047-0.00093053i,0.00070261+0.00031003i,-0.00024217+0.00081455i,0.00017363+0.00020199i,0.00060269+0.00081358i,7.3634e-06+0.0010088i,0.00051851+0.00010462i,0.00085895+0.00033991i,0.00021915+0.00042992i,0.00074351+0.00041022i,0.00090084+0.00062596i,0.00050172+0.00061699i,0.00086056+0.00045086i,0.00073571+0.00053532i,0.0012032+0.00060761i,0.0015239+0.00049892i,0.0011224-0.00017576i,0.00078655-0.00096053i,0.0003506-0.001028i
0.0019777+8.093e-05i,0.0019462-0.00061118i,0.00079832-0.0013146i,0.00043933-0.001479i,0.00021003-0.00070025i,-0.00011826-0.00023297i,0.0003-0.00012698i,0.00015989-7.1744e-05i,0.00071236-0.00028444i,0.0018813-0.0004257i,0.0014278-0.00026996i,0.00036758-0.00022449i,-0.00073655-0.00061921i,-0.0013481-0.00055018i,-0.001566+0.00040684i,-0.0014419+0.00090498i,-0.00011468+0.0012339i,0.00057685+0.0009408i,0.0005606+0.00014604i,0.0007124+0.00034895i,5.0617e-05+3.3488e-05i,-0.00016955+0.00018529i,-0.00037961+0.00073185i
0.0012451+0.0012013i,0.0021014+0.00095489i,0.002999+2.068e-05i,0.0031519-0.0011626i,0.0026523-0.0016672i,0.00083711-0.0014225i,0.0002984-0.00081239i,0.00093559-9.1075e-05i,0.00053979+0.00092468i,0.00010991+0.0010594i,-0.00054651+0.00024135i,-0.0013376-0.00055732i,-0.001485-0.00098799i,-0.0011189-0.00082267i,-0.00092114-0.00029199i,-0.0003684-0.00040082i,0.00017297+0.00059044i,0.00057407+0.0011656i,0.00050325-0.00033733i,0.00026993-0.0002047i,-0.00082827+0.00037398i,-0.0019138+0.00076569i,-0.001829+0.00088521i
0.00093859-0.00045527i,0.0008288-0.001449i,0.0010775-0.0021195i,0.00061252-0.0019188i,-0.00080802-0.00088177i,-0.0015981+0.00066131i,-0.0012685+0.00088821i,-0.00058842+0.0004973i,-0.00076259+0.00015524i,-0.00068552-0.0014235i,-0.00072999-0.0016298i,-0.0011878-0.00046058i,-0.0012835+8.8441e-05i,-0.0012111+0.00049307i,-0.00043674+0.0012013i,-0.0001881+0.0012236i,-0.00028256+0.00044482i,0.00028479-0.00026825i,0.00038442-0.00046952i,-5.2738e-05-5.4825e-05i,-0.0001356+0.0002386i,-0.00030912+0.00036509i,-0.00064445+0.00012136i
-0.00064143+0.0014346i,0.00061266+0.0010327i,-0.00028425+0.0022763i,-0.00047896+0.0023711i,0.00053382+0.0017765i,0.00020838+0.0011921i,-0.00054296+0.00059612i,-0.00089869-0.00038072i,-0.00067843-0.001425i,-0.00086886-0.00083687i,-0.0016032+0.00022684i,-0.00083758+0.00087662i,-0.0005408+0.0011828i,-0.00059304+0.0014186i,4.7847e-07+0.0010422i,0.0013326+0.00050445i,0.0022099+0.00030029i,0.0017473+0.00013448i,0.00086414-0.00035936i,0.00023114-0.00041807i,5.3852e-05-0.00022071i,-3.7782e-05+0.00019582i,-0.00033349+0.00042442i
-0.001705+3.0352e-05i,-0.0014046+0.001698i,-0.0011337+0.0023083i,-0.00052447+0.00098157i,0.00042844+0.00024866i,0.00031456+0.00031981i,-0.0010594-0.00012513i,-0.0015684-0.00027677i,-0.00076197-0.00035471i,-0.0008334-0.00012927i,-0.00050025+0.00055896i,-0.00014822+0.00082608i,-0.00025786+0.00055032i,0.00038278+0.00070083i,0.00088652-0.00012488i,0.0011416-0.00075034i,0.0010241-0.00014634i,0.00066591+0.00014058i,0.00061672+5.5175e-05i,0.0010119+0.00041483i,0.0011621+0.00059745i,0.00074073-9.326e-06i,0.00045613-9.6962e-05i
-0.00084527-0.00013355i,-0.0008987-9.9162e-06i,-7.9958e-05-0.00023722i,0.0011331-0.0015933i,0.00049295-0.0021531i,-0.00079094-0.0006748i,-0.001139-0.00084159i,-0.0010473-0.0013892i,-0.0010232-0.0010081i,-0.0005716-0.0008545i,3.0587e-05-0.00016511i,0.00064112+0.00019244i,0.00086495-0.00079213i,0.00035971-0.0011859i,-0.00063442-0.0002318i,-0.00075452+0.00042676i,-0.00027325+0.00035062i,-0.00018586-9.6628e-06i,1.7194e-05+0.00015281i,0.00029102+3.9638e-05i,0.00080878+2.929e-05i,0.00042751+9.4007e-05i,0.00023276+4.1938e-05i
-0.00029398-0.00047696i,0.00035097+2.1733e-05i,0.0013643-0.00023101i,0.0013251+4.9108e-05i,0.00054897+0.00098702i,-0.00034299+0.001037i,-0.00027573+0.00054064i,0.00048573+0.00047378i,-7.6597e-05+0.0012744i,-0.00013866+0.0019674i,0.00086318+0.0013963i,0.00074402-0.00012858i,-0.0002464-0.00084553i,-0.00046495-0.00033788i,-0.00082725+0.00013757i,-0.001383+0.0014679i,-0.0011111+0.0023343i,-0.00042059+0.0012585i,0.00014748+7.0696e-05i,0.00027974-0.00054383i,-7.4022e-06+0.00041105i,-0.00037825+0.0012277i,-0.00025889+0.00056047i
9.1723e-05+0.0024601i,-0.00048675+0.0022942i,0.00087071+0.0024433i,0.0022672+0.0010472i,0.0017765+0.00013633i,7.2626e-05+0.00071333i,-0.0010437+0.00061726i,-0.0011798-0.00038617i,-0.0011405-0.00010215i,-0.00058677+0.00078919i,-0.00016622+3.0973e-05i,-0.00060108-0.0013879i,-0.00041507-0.0012909i,-0.0002019-0.00025764i,0.00012013+0.00071223i,0.0003512+0.0017549i,-0.00011812+0.0020096i,-2.2756e-06+0.00080936i,0.00035853-0.00032042i,-0.00033174-0.00034325i,-0.0007557+0.00045514i,-0.00055442+0.00030823i,-0.00054984-9.1888e-05i
0.00063996+9.707e-05i,0.00036925+0.00065223i,-0.00032302+0.0021462i,0.00030226+0.0015572i,0.00098896+0.00035714i,0.00049533+0.0010367i,-0.00078513+0.0011716i,-0.00070365+0.00041097i,-0.00060834+0.00024318i,-0.001462-0.0001017i,-0.0015852-0.00035999i,-0.0014581-0.0003897i,-0.00073621+0.00068208i,0.00075426+0.0023098i,0.00068069+0.0022621i,0.00060535+0.0018698i,0.0013877+0.0011586i,0.001918-0.00023648i,0.001131-0.0010278i,-0.00028942-0.0009826i,-0.00057094-0.00037582i,-0.0002755-0.00027736i,0.00020399-0.00054185i
0.00028241+0.0014499i,0.00089889+0.0017587i,0.0024997+0.0016502i,0.0029471+0.0011347i,0.0018056+0.00014452i,0.0017429-0.00061791i,0.0013462-0.00013872i,0.00020705-0.00025279i,-0.00046037-0.00062589i,-0.00013116-0.0001087i,0.00010635+0.00082956i,-3.4718e-05+0.0010082i,-0.0003985+0.001375i,-0.00027346+0.001255i,0.00068698+0.00098171i,0.0016622+0.0010159i,0.0017745-0.00026208i,0.0014674-0.00083354i,0.0009296-0.00020633i,0.00075189-0.00030533i,0.00091467-0.00048389i,0.00056489+5.5876e-05i,0.00066811+0.00022664i
-0.0006799+0.00099572i,-0.00067577+4.4522e-05i,-8.5762e-05-0.00035974i,-0.00042219+1.3435e-05i,-0.0009919-0.0003357i,0.00017517-0.00015279i,0.00083025+0.0007148i,0.0005813+0.00047184i,0.0008108-0.00010702i,0.00084614-0.00044343i,0.00097841+0.00068753i,0.00054671+0.0015999i,0.00059275+0.0017093i,0.0011403+0.001846i,0.00076685+0.0014549i,0.00030648+0.00067085i,0.00014117+0.00020753i,1.2172e-05-0.00039559i,-0.0003562-0.00066349i,-0.00029922+0.00011412i,0.00017644+0.00093504i,0.00068467+0.00049497i,0.00045314+0.00035762i
0.00112-0.0017478i,0.0013743-0.00099314i,0.0010539-0.0012274i,0.00046176-0.0019181i,-0.00066539-0.0012973i,-0.0015224-4.7909e-05i,-0.00041614+0.00093791i,-0.00020801+0.0014377i,-0.00055009+0.0010022i,-0.0007758+0.0005169i,-0.00082133+0.00066583i,-0.00022336+0.00037786i,0.00036872+9.1568e-05i,0.00047199-0.00014557i,0.00047106-0.00065161i,0.00046363-0.00064064i,6.0609e-05-2.8949e-05i,-0.00067467+0.00029417i,-0.0014065+0.00040947i,-0.0010143+0.000573i,3.0584e-06+0.00094868i,0.00019485+0.00097193i,-0.00052187+0.00090142i
0.0018314-0.00079148i,0.0020348-0.00061824i,0.0024764-0.00015342i,0.0013893-0.0010041i,0.0002128-0.0012854i,0.00036549-0.0003166i,0.00049373+0.00058432i,-0.00031046+0.00067311i,-0.0011576+0.00081453i,-0.00038106+0.00064541i,0.00039039-0.0006682i,0.00017711-0.00095209i,9.0577e-06+5.0506e-05i,-0.00030795+0.00020472i,-0.00070358+0.00036903i,-0.00037609+0.00094371i,0.00035404+0.0016479i,0.00069414+0.0016443i,0.00073889+0.00037658i,0.0003288-0.00032414i,-0.00065547-0.00025899i,-0.00094372-0.00041972i,-0.00075201-3.8487e-05i
0.0015848-0.00073272i,4.2301e-05-0.0013112i,0.0014973-0.002273i,0.001468-0.0018767i,-0.00042647-0.0011703i,-0.0012925-0.00043326i,-0.00095198+8.3781e-05i,-0.00057922+0.00066473i,-0.00032254+0.00018129i,-0.00014371-0.0012443i,-0.00028436-0.0020161i,-0.00041719-0.0015541i,-0.00059943-0.00054662i,-0.00031286-0.00011862i,0.00014838+0.00074229i,-3.8781e-05+0.0017341i,0.00016553+0.0023795i,0.0009467+0.0015277i,0.0010901+0.00023595i,-1.4657e-05-0.00093193i,-0.00087891-0.0012043i,-0.00097669-0.00076587i,-0.0011395-0.0011198i
-0.00018939+0.00093553i,0.0018078+0.0020173i,0.0027558+0.0030142i,0.0016889+0.0024816i,0.00026855+0.0010719i,-0.00050808+0.00045751i,-0.00027287+0.00036099i,-0.00015268+0.00034288i,-0.0011519+0.00046484i,-0.0010978+0.00020362i,-0.00078455+5.844e-05i,-0.00096055+0.00017572i,-1.2691e-07+0.00088849i,0.0013136+0.0023229i,0.001699+0.0030413i,0.0014716+0.002205i,0.0012849+0.0011349i,0.0015218+0.00028263i,0.0015078-8.1995e-06i,0.00033664+0.00032375i,-0.00041614-0.00010086i,-0.00092708-0.0010696i,-0.00095343-0.0010051i
-0.0019473+0.00023131i,-0.0023139+0.0014172i,-0.0023792+0.0027903i,-0.0017986+0.0028189i,-0.00092461+0.0018295i,-0.00070284+0.00032109i,-0.00035366-0.00018343i,-0.00073604+0.0008547i,-0.00021578+0.0012772i,0.00092929+0.00016083i,0.00014722+8.3089e-05i,-0.0010198+0.00097233i,-0.0013492+0.001025i,-0.0010988+0.0011517i,4.2174e-05+0.00093393i,0.0014321+0.00058796i,0.0016032+0.00011291i,0.001008-0.0004411i,0.00025465-0.00085166i,0.00084321-0.0004927i,0.001005+0.00057068i,0.00033286+0.00072683i,0.00046981+1.678e-05i
0.00042462-0.0011732i,0.00043639-0.0010318i,-0.0001651-0.0022405i,-0.0015889-0.0020978i,-0.0024421-0.00075175i,-0.0016285+0.00037789i,-0.00094839+0.00039143i,0.00017682+0.00071801i,0.00091591+0.00097057i,9.8085e-05+0.00089628i,-0.00070325+0.0012487i,-5.5363e-05+0.0013562i,0.00048896+0.0013075i,0.00061921+0.00078044i,0.00074186+0.00050106i,0.00045455+0.00069211i,7.9278e-05+0.00038702i,-0.00014206-0.00029209i,-0.0001202-0.00012922i,0.00055127+0.0013382i,0.00029004+0.0014242i,-0.0010644+0.0012777i,-0.00086711+0.00071401i
-0.00063908-0.00042584i,0.00020795+0.00047182i,0.00039351+0.00060501i,-0.00012505-0.00019182i,-0.00039407-0.00038349i,-0.00016209+0.00071246i,-0.00013435+0.0007511i,-0.00062824+0.00040801i,-0.00098535+0.00040301i,-0.00064164+0.00098941i,8.3209e-05+0.0017814i,-0.00029921+0.0016989i,-0.00050869+0.00083281i,0.00021556+0.00056724i,0.00056549+0.00046846i,0.00017485-0.00035729i,0.00017367-0.00076765i,0.00033234-0.00014128i,-0.00017008+3.9852e-05i,0.00018025+0.00034574i,0.00011484+0.0010695i,-0.00048856+0.00094945i,-0.00088167+0.00044521i
