-0.0020766+0.0016275i,-0.0018097+0.0011855i,-0.0029784+0.00092465i,-0.0024553+0.00087737i,-0.0011759+0.0021996i,-6.6522e-05+0.0031643i,-0.0002641+0.0020719i,-0.00033987+0.0018929i,0.00085558+0.0019497i,0.0015992+0.001213i,0.0018899+0.00045876i,0.0014514-6.5836e-05i,0.00051857-0.000544i,0.00056211-0.00026784i,0.00088562-4.4613e-05i,0.00044927-0.0005399i,-0.00073443-0.00047653i,-0.00075305+0.00018011i,0.00045566-7.6287e-05i,0.0010487-0.0009345i,0.00071115-0.00097666i,0.00062119-2.2339e-05i,0.00039793-0.00012804i
-0.0013415+9.0041e-05i,-0.0012247+8.6626e-05i,-0.00026544+0.00075048i,0.00028141+0.0019789i,0.0010098+0.0016251i,0.00095959+0.00021697i,0.00013655-0.00018128i,-0.00071172+0.00054793i,-0.00078881+0.0010456i,-0.00068541+0.00053488i,-0.00067885-0.00017767i,7.5848e-05-0.00028459i,0.0009371+0.00063925i,0.00024445+0.00079003i,-0.00017441-0.00035333i,0.00010295-0.00085182i,4.9441e-05-0.00062648i,0.00026856-0.00026571i,0.00062201-0.00025046i,0.00071384-0.00032922i,0.00039032-9.0451e-05i,-0.00020922+0.0002219i,-0.00069961+0.00020484i
-0.0019961-9.7301e-05i,-0.0011983-0.00052971i,-0.00035604-0.0004887i,-0.0011752+0.00033892i,-0.0018245+0.0011574i,-0.0013569+0.0010597i,-0.00054494+0.00032221i,-0.0005943-0.00025167i,-0.0014866+4.8071e-05i,-0.0014055+0.00042242i,-0.0008026+0.00082422i,-0.00073277+0.000934i,-0.00045887+0.0007008i,0.0001195+0.00051937i,0.00015962+8.822e-05i,0.00039219+0.00014377i,4.27e-05+0.00053906i,-0.00050215-3.558e-05i,0.00017908-0.00059402i,0.0007339-9.1295e-05i,0.00038354+0.00099481i,-6.3146e-05+0.00059877i,0.0003709-0.00011071i
-0.0011421+0.0011303i,-0.00094703-0.00038245i,-0.0021489-0.00086352i,-0.00149-2.1945e-05i,-0.00039894+0.0012176i,-0.0007444+0.00078528i,-0.0013909-0.00025103i,-0.001399+0.00012908i,-0.0011404+0.0016067i,5.5247e-05+0.001712i,0.0013302+0.001638i,0.00072901+0.0014263i,-9.5853e-06+0.0018295i,-0.00074916+0.0019924i,-0.001629+0.00061009i,-0.00070321-0.00010779i,0.00049074-0.00012428i,8.1674e-05-0.00047588i,-0.00025455-0.0001712i,-0.0004595+5.9995e-05i,-0.00048881-0.00037456i,-0.00069961-0.00068283i,-0.00041724-0.001009i
0.0021581+0.0007495i,0.00218+0.001252i,0.003343+0.0017618i,0.0032503+0.00093887i,0.0011824+4.3139e-05i,-0.00049601-0.00011945i,-0.0015346-0.00010608i,-0.0024701+1.7226e-05i,-0.001701-0.00067013i,-0.00041821-0.000729i,-0.00034962+6.9777e-05i,5.5881e-05+0.00019096i,0.00046331+0.00013979i,4.8556e-05-0.00024649i,-0.00041347-0.00072024i,-4.9464e-05-0.00076206i,0.0010219-0.0007246i,0.00096375-0.00046815i,0.0006304-5.8008e-05i,0.00062207+0.00063239i,-0.00028279+0.00092123i,-0.00064485+0.00019231i,-0.00049006-1.0313e-05i
0.00050723+0.0021317i,0.00062966+0.0022034i,0.0009124+0.0023722i,0.0010337+0.001618i,0.00051362+0.00060711i,-0.001011-0.00042689i,-0.001397-0.0012779i,-0.0010533-0.0013573i,-0.00096221-0.00095603i,-0.00050673-0.0011154i,1.429e-05-0.0012974i,0.00031266-0.0013806i,0.00023661-0.0013798i,-0.00014097-0.00087243i,-0.00088543+0.0003559i,-0.0010091+0.00048266i,-0.00081872+0.00015372i,-0.00056644-0.00017413i,-4.3072e-05-0.00011743i,-0.00026256+0.00033054i,-0.0014677+0.00020571i,-0.0011381+2.5964e-05i,-0.00012217+0.00022985i
-0.0011397+0.00049654i,-0.0013224+0.0012553i,-0.00056083+0.0013269i,3.8419e-05+0.0017208i,-0.00018937+0.0018236i,-0.00024855+0.0015629i,-0.00014013+0.00012135i,0.00031429-0.00038389i,-0.00077235+0.0010593i,-0.0017255+0.0011377i,-0.0018128+0.00035165i,-0.0017682+0.00011313i,-0.00094091+0.00034392i,-0.00024844+0.00090509i,0.00038014+0.00048185i,0.0010941-0.00061176i,0.0014032-0.00096694i,0.00068701-0.00065976i,-0.00038651+0.0002292i,-0.00059529+7.3008e-05i,-0.00041643-0.00023532i,-0.00059417+4.0875e-05i,-0.00070122-0.00028992i
0.0016279+0.00051134i,0.0018135-0.00067826i,0.0017528-0.0016i,0.0013017-0.0013291i,0.00096896-0.00093914i,0.00035484-0.00010118i,-0.0013625+0.00088907i,-0.0017989+0.0010088i,-0.00045457+0.0011604i,-0.00014218+0.0012863i,-0.00056552+0.0012574i,-0.00053462+0.00079053i,0.00033577+0.00039526i,0.00095283+6.8706e-05i,0.00072925-0.00049036i,-0.00034422-0.00023883i,-0.0017718-3.9944e-05i,-0.0017479+0.0001865i,-0.00048848+0.00065461i,2.1709e-05+0.00024083i,-0.00016182+0.000239i,-9.6386e-05-0.00010865i,-9.9144e-06-0.00097456i
0.0018315+0.0010894i,0.0019465+0.00093036i,0.0020627+0.0020388i,0.001018+0.001401i,0.00037344+0.00058802i,-0.00045457+0.00021887i,-0.00099782-0.00029017i,-1.4367e-05-5.9046e-05i,0.00052132+0.00038269i,0.00050142+0.0002142i,0.00011412+0.00086482i,-0.00023501+0.00099791i,0.00022275-0.0004408i,4.6539e-05-0.00018221i,-0.00068978+0.00060231i,-0.00032744+0.00014859i,0.0003874-2.7444e-05i,0.00064923+0.00043922i,0.00063402+0.00019277i,-0.00034302-0.00028711i,-0.00067263-0.00012999i,-0.00038629+0.00012735i,-0.00026699+0.00011964i
-0.0018152-0.001952i,-0.0016889-0.0016791i,-0.00073753-0.00067515i,-0.00039187-0.00079947i,-0.00061357-0.00094779i,-0.00085835-0.00076387i,-0.0012976-0.00080309i,-0.0014169-0.00067805i,-0.00043488-0.00026637i,0.0010601-0.00010746i,0.0018634-5.2191e-05i,0.0010487+0.00012402i,-0.00021371+3.4566e-05i,-0.00040741-0.00012291i,-0.00057911-0.00017065i,-0.00075605+8.6294e-05i,-3.4213e-05-0.00057512i,0.00060391-0.00078494i,-2.7578e-05-0.0002736i,-0.00026005-0.00012159i,-0.00050687-0.00019615i,-0.00014187+0.00014808i,0.00020056+0.00089628i
0.0007417+0.00095268i,0.0011205+0.00041118i,9.8768e-05+0.0015755i,0.00036896+0.0015521i,0.00064878+0.0016556i,0.0006799+0.0016006i,-7.4353e-05+0.00039712i,-0.00098761-0.00085091i,-0.0010337-0.0017612i,-0.00084376-0.0014789i,-0.00047938-0.00099084i,-0.00017005-0.00083371i,-0.00022446-0.00095262i,-0.00025965-0.00079068i,-0.00013798-0.0001935i,-0.00029965-0.00018468i,-0.00023961+0.0001176i,-0.00025285+0.00030661i,0.00017936-0.00037959i,0.00062932-0.00095868i,-8.1256e-05-0.00062311i,-0.0008172-0.00019711i,-0.00048792-0.00021007i
-0.0011738+0.00023912i,-0.0015446+0.00021123i,-0.0010662-0.00030005i,-0.0014042-0.00048192i,-0.000678-8.8843e-05i,0.0001617-0.00034439i,-0.0010924-0.00030165i,-0.0025238-0.0005859i,-0.0019925-0.0013592i,-0.0012578-0.0012486i,-0.001214-0.00044726i,-0.00089809+0.00067417i,-0.0011569+0.00093426i,-0.0010838+0.00060655i,-0.00022785+0.00015534i,0.00010022-2.3643e-05i,-0.00032908+0.0001299i,-0.00068876+0.0003259i,-0.00073315+0.00033911i,-0.00061836+0.00046373i,-0.00041225+0.00020943i,-0.0004066+0.00064917i,-4.1394e-05+0.0010037i
0.0011076-1.368e-05i,0.00049119+9.0182e-05i,-0.00011638-0.00023077i,-0.00037562-0.00032191i,-0.00032318+0.00096101i,-0.0008327+0.0010916i,-0.001004-0.00024954i,-0.00083008-0.00053046i,-0.0011264+0.00020658i,-0.0010789+0.00092371i,-0.0011508+0.0010581i,-0.0011385+0.001369i,-0.00086912+0.0014345i,-0.00029533+0.00082296i,4.6412e-05+0.00040174i,0.00012028+0.0004784i,0.00058224-2.7506e-05i,0.0011582-0.00035074i,0.00069343+0.00021132i,-0.00064043+0.00068472i,-0.0010252+0.00066151i,-0.00035739+0.00025246i,-0.00026112-0.00016307i
-0.0029295+0.0014362i,-0.0041746+0.0017971i,-0.0040535+0.0014136i,-0.0029087+0.00058781i,-0.00073812+0.00052186i,-4.1314e-05+0.00037858i,-0.00082317-0.00067731i,-0.00034759-0.00067216i,0.00017677+0.0011881i,-0.00040179+0.0017418i,-0.0002446+0.0019191i,0.00053595+0.0018849i,0.0013843+0.00068044i,0.0016761+2.4173e-05i,0.0010087-0.00019378i,0.00025346-0.00022243i,-0.00015816-1.7534e-05i,-0.00034411-0.00050716i,2.9899e-05-0.00063028i,-0.00021531+8.4893e-05i,-0.00028224+0.00056313i,0.00023754+0.0007453i,-6.5607e-05+0.00090643i
-0.0025718-0.001078i,-0.0022497-0.00095308i,-0.0024865-0.0018384i,-0.0022575-0.0015423i,-0.0023002+0.00043301i,-0.0012146+0.0011576i,-6.8969e-05+0.0010117i,-0.00033828+0.00056049i,-0.00092648+0.00020909i,-0.0010529+0.00023442i,0.00015886+0.00036945i,0.00078357+0.00012613i,0.00018854+0.00078112i,-0.00023353+0.0012742i,-0.00029301+0.00060579i,-0.00023547-7.077e-05i,-0.00021877-0.00025263i,0.00015902-0.00073905i,-5.461e-06-0.0009675i,-0.00018329-0.00046742i,0.00012284+0.00017281i,0.00026211+0.00072558i,0.00042659+0.0012955i
0.00064458-0.0013675i,0.0019348-0.0020206i,0.0019707-0.0016745i,0.0010368-0.0013868i,-0.0002294-0.00067029i,-0.0013285-0.00010064i,-0.0014452-0.0010241i,-0.0015789-0.0016035i,-0.0013509-0.00064804i,-0.0011067-0.00034404i,-0.00093255-0.0011142i,-0.0010923-0.0012756i,-0.0014349-0.00086716i,-0.00096023-0.0013531i,-0.00085022-0.001764i,-7.6966e-05-0.0010264i,0.00072602-0.00041003i,0.00022792-1.5319e-06i,-0.00024863+0.00028968i,-0.00022171+0.00024535i,0.00032861+0.00041053i,0.00057436+0.00053518i,0.00014286+0.00062624i
-0.0015306+0.00065053i,-0.0015575+5.1915e-05i,-0.0010181+0.0011882i,0.00056648+0.0021339i,0.00071194+0.0022923i,-0.00091081+0.0020769i,-0.0017014+0.00061404i,-0.0015869+0.00031507i,-0.0018509+0.00052998i,-0.00096792-9.2446e-05i,0.00010586+1.0599e-05i,-0.00028207+0.00010782i,-0.00026069+0.0006411i,0.00015847+0.0010473i,8.7956e-05+0.0006558i,8.6823e-05+0.00072036i,-6.1761e-05+8.5677e-05i,-0.00060927-0.00023223i,-0.00023669+0.00062447i,-0.00030627+0.0001606i,-0.00055487-0.00067851i,-0.00075107-0.00080744i,-0.00090867-0.0007378i
-0.00067197+0.0035102i,-0.00015063+0.0040967i,0.00042716+0.0034939i,0.00073263+0.0014153i,0.00048326+0.00024444i,0.00069001-0.00072028i,0.000669-0.001507i,-0.00036524-0.00058269i,-0.00022185+0.00068938i,0.00027781+0.0012299i,0.0008229+0.0018271i,0.0010966+0.002288i,0.00046639+0.0012945i,0.00057439-0.00024994i,0.00083288-0.00038236i,0.00031058-0.00014395i,5.0636e-06-0.0002014i,0.00053183+0.00032643i,0.0011677+0.00048736i,0.00062519+0.00070357i,-0.00090225+0.00085004i,-0.0010488+0.00090438i,-2.0867e-05+0.00037731i
0.00072275-0.002657i,-0.0002849-0.0027228i,-0.0010791-0.0026251i,-0.0012913-0.0010446i,-0.0014814+0.00069839i,-0.0022973+0.0011124i,-0.0024812+0.00025838i,-0.0018209-0.00046634i,-0.00095195+0.00013685i,-0.00075359+0.0005733i,-0.00021215+0.00058459i,3.6606e-06+0.00085813i,0.00028488+0.00042305i,0.00024199+0.00016719i,-0.00024043+0.00043808i,-0.00010756-2.487e-05i,0.00014354-0.00094461i,0.00053609-0.00084904i,0.0011495-0.00053215i,0.00073819-0.00049366i,-0.00045774+0.0001887i,-0.000426+2.2435e-05i,0.00038743+0.00022599i
0.0011223-0.0015613i,0.0015247-0.0010492i,-0.00026503-0.00035917i,-0.0014299-0.00094997i,-0.00095407-0.0010674i,-0.0012667+0.00037661i,-0.0013564+0.00024706i,-0.00071695-0.00043951i,-0.0004852-0.00020429i,-0.0007084+1.201e-05i,-0.0010749+0.00013973i,-0.00073802+0.00021947i,-0.00061013+0.00026939i,-0.00049826+0.00021701i,-0.00037234-0.00016744i,-0.0004148-0.00045028i,-0.00078152-0.00025208i,-0.0011084-0.00041219i,-0.00055184-0.0010189i,-0.00042624-0.00021545i,-0.00087826+0.00058054i,-0.0010387+0.00033093i,-0.00095939+0.0002659i
-0.00081791+0.00059032i,-0.00040306+0.00030119i,-0.0012814+0.00062825i,-0.00081044+0.00010029i,0.00087149-0.00031452i,0.00080448-7.1734e-05i,-0.00067974+0.00016279i,-0.002526+0.00038894i,-0.0029313+0.00062282i,-0.002176+0.00030799i,-0.0020434-0.00011877i,-0.001148+0.00011787i,-0.00013758+0.00068303i,-0.00028986+0.001131i,-0.00065609+0.00093392i,-0.00044479+0.00066379i,-0.00058955+0.00082509i,-0.0011747+0.00033354i,-0.00085145+8.5756e-05i,-0.00058151+0.00019908i,-0.00098883-0.00032676i,-0.00083568-0.0010063i,-0.00044046-0.00065119i
-0.00070105+0.00090562i,-0.0012111+0.0019306i,-0.001462+0.0019453i,-0.00080069+0.00087607i,-1.3322e-05-0.00044099i,-0.00064461-0.0011394i,-0.0012233-0.00092605i,-0.00069746-0.00082439i,-0.00023207+2.9452e-05i,-0.00045637+0.0011298i,-0.00070134+0.0017178i,-0.00048673+0.0014569i,6.3702e-05+0.00031522i,-0.00030781-0.00070235i,-0.00052582-0.00077031i,-0.00017628-4.0406e-05i,0.00029926+0.00018746i,0.00083179+4.5295e-05i,0.00072367-0.00020888i,0.00019707-3.7555e-05i,-0.00034383+0.00059394i,-0.00076575+0.00024734i,-0.00039441-0.00056619i
0.00036559-0.0011642i,-0.00055782-0.0018284i,-0.00020584-0.0016206i,0.00091304-0.00071682i,0.0005484+0.0010151i,-3.0383e-05+0.0018627i,-0.00064614+0.0010085i,-0.0010564+0.00037269i,-0.00094226+5.6589e-06i,-4.4794e-05+0.0001202i,0.0010753+0.00010846i,0.0007672-4.6877e-06i,3.7307e-05-7.764e-05i,-0.00026507+0.00012373i,-0.00056495+0.00059604i,-0.00032434+0.00066815i,-0.00032627-0.00066117i,-0.00052858-0.001125i,0.00014891-0.00037651i,0.00079616+0.00029415i,2.8968e-05+0.001636i,-0.00041781+0.0013536i,0.00018723+0.00018206i
-0.00019679+0.0027917i,7.8676e-05+0.0027608i,-1.7435e-05+0.0026429i,-0.00017241+0.0011518i,-0.00075761+0.00078111i,-0.00077779-0.00011843i,-0.0012167-0.0011591i,-0.0018552-0.00078252i,-0.0021212-4.0958e-05i,-0.0012537+3.2716e-05i,0.00048489+0.00020334i,0.0012004+0.00030387i,0.00053756-0.00030898i,-0.00034994-0.00068835i,-0.00083772+0.00012496i,-0.00092165+0.00076453i,-0.00075098+0.00019748i,-0.00080521-0.00031107i,-0.00075034-0.00062292i,-0.00050807-0.00060539i,-0.00063707-0.00023433i,-0.00053681-0.0001601i,-0.0001982+0.00065683i
-0.00032624-0.001462i,4.4097e-05-0.00048457i,0.00035031+0.00019178i,3.2718e-05+0.00074012i,0.00039045+0.0012661i,-0.00033768+0.0014077i,-0.0012217+0.00068841i,-0.0013938-0.00034225i,-0.0015222-0.00075868i,-0.0019555-0.00047091i,-0.00213+0.00039303i,-0.0013319+0.00076172i,-0.0012664+0.0010499i,-0.001249+0.00094234i,-0.00077166+0.00058241i,-0.00071357+0.00032155i,-0.0004124+9.6092e-05i,5.1432e-05+0.0001582i,0.00013002+0.00024435i,-0.00017731+0.00034892i,-0.0005071+0.00051244i,-0.00039426+0.00011849i,0.00035405-0.00075051i
-0.00092387-0.00078353i,-0.0017719-0.00094209i,-0.001628-0.00094578i,-0.0014208-0.0011859i,-0.0015206-0.00096247i,-0.0018321+0.00034784i,-0.0021088+0.00020015i,-0.0021067-3.4428e-05i,-0.0021198-1.1967e-05i,-0.0023773+0.0005427i,-0.0018836+0.00172i,-0.00087917+0.0017417i,-0.00085324+0.0013666i,-0.0011094+0.001457i,-0.00071519+0.0011246i,-0.00085952+0.00046184i,-0.00068563-0.00018636i,0.00028498-0.00085348i,0.00077006-0.00025832i,0.00041527+0.00084801i,-0.00020185+0.00077689i,-0.00071592-0.00056499i,-0.00052673-0.00052873i
-0.001752+0.002559i,-0.002706+0.0017797i,-0.0014783+0.0013882i,0.00040476+0.00084019i,0.0022586-4.4699e-05i,0.0016327-0.00087899i,-0.0010223-0.00063122i,-0.0021502-0.00012086i,-0.0014139+0.00061916i,-0.00069118+0.0021858i,-0.00020921+0.0028035i,0.00016816+0.0019955i,0.00046552+0.0013359i,0.00066111+0.00046468i,0.00074572-0.00011523i,0.00059657+0.0001377i,0.0008794+0.00022825i,0.0011446+0.00049449i,0.00082628+0.00063745i,0.00052787+0.00095472i,0.00039761+0.0011865i,-0.00032243+0.0012726i,-0.00055646+0.00070433i
0.0025114-0.0024791i,0.0019851-0.0029684i,0.0019706-0.0033111i,0.00098729-0.0025397i,-0.0004961-0.00096509i,-0.0014843+7.9098e-05i,-0.002035-0.00065065i,-0.0010002-0.0012962i,0.00042288-0.00030399i,0.00079345+0.00025321i,0.00079382-0.00036431i,0.00023662-0.00030861i,0.00049543-7.9838e-05i,0.00058926-0.0010555i,-0.00023745-0.0016389i,-0.00023281-0.0010947i,-0.00037093-0.00022055i,-8.9816e-05-9.5742e-05i,0.00038962+0.00042278i,0.0011365+0.0004808i,0.0011261+0.00025868i,0.0010122+0.00021011i,0.00073654-0.00011826i
-0.00096936+0.0028923i,-0.0012436+0.0015824i,2.5903e-05+0.0018268i,0.0011907+0.0025181i,0.00034082+0.0024402i,-0.001199+0.0018777i,-0.0022628+0.00058275i,-0.0020724-0.00042605i,-0.00069708-0.00076319i,0.00056494-0.0012781i,0.00011528-0.0013235i,-0.00026264-0.00033028i,2.8132e-05+1.72e-05i,0.00031604-0.0002757i,0.00072317-0.00013674i,0.00088088-0.00047178i,-5.235e-05-0.0005317i,-0.00081765-0.00012288i,-0.00039216+7.2986e-05i,-9.1196e-05+0.00017861i,-6.4065e-05-6.0979e-06i,0.00012829-0.00045152i,4.5077e-05-0.00036315i
-0.0015596-0.00032276i,-0.0018599-0.00021208i,-0.0018373+7.3676e-05i,-0.0011983+0.0012315i,0.00026845+0.001703i,0.0010272+0.00093613i,3.538e-05+0.00014529i,-0.0015905-0.0006643i,-0.0028373-0.00062275i,-0.0028865-6.0833e-05i,-0.0028201+0.00012268i,-0.0023669-0.00024229i,-0.0011605+0.0001184i,-0.00047577+0.00033086i,1.0968e-05-4.9466e-05i,-0.00015734+0.00043634i,-0.0008413+0.00071393i,-0.0013997+0.00061525i,-0.0013585+0.00066457i,-0.0009514+0.00016837i,-0.00058256-0.0005879i,-0.00059362-0.00082096i,-0.00020079-0.00076641i
-0.002444+0.00040789i,-0.0018516+0.00034134i,-0.0011266+0.0014654i,-0.00019652+0.0015362i,0.0010794+0.00035948i,0.0011058-0.00056968i,-0.00015801-0.00085123i,-0.0016224+0.00011271i,-0.0021408+0.0013294i,-0.0020378+0.0022299i,-0.0018999+0.0024965i,-0.00070125+0.001545i,0.00034681+0.0010272i,0.00091234+0.0012456i,0.00083912+0.001096i,0.00067015+0.00028998i,0.00077352-0.00012692i,-0.00027583+0.00012856i,-0.001245+0.00097442i,-0.0007634+0.0010272i,-0.00016346+0.00075564i,-0.00013507+0.00047957i,0.00013714-0.00031263i
9.9907e-06+0.00028644i,-0.00057283+0.0004274i,-0.0010166+0.0013797i,-0.0016244+0.0019687i,-0.00095667+0.0021066i,-0.00029233+0.0015108i,-0.00069076+0.00072518i,-0.0010471+0.00078751i,-0.00068874+0.00049167i,0.0010452+7.0452e-05i,0.0022779+0.00055045i,0.001533+0.0016581i,0.00047133+0.001858i,9.3549e-05+0.0015699i,-0.00027031+0.001186i,-0.00056848+0.00092816i,0.00021397+6.7223e-05i,0.001026-0.0011875i,0.00066531-0.00045646i,0.00044728+0.00032286i,0.00061135+0.00031i,-0.00030076+0.00066332i,-0.00013539+0.00095633i
-0.0019944+0.0016352i,-0.0023322+0.00081465i,-0.0014556-0.00058016i,-0.00019522-0.0017868i,-0.00031006-0.0016613i,-0.00068645-0.0018525i,-0.0013606-0.0023395i,-0.0017014-0.0012249i,-0.00017629+0.0005594i,0.0012448+0.0015135i,0.0015346+0.00073769i,0.0018088-0.00058348i,0.0015253-0.00051388i,0.0006477+0.00016303i,8.4329e-05+0.00056146i,-0.00023613-2.987e-05i,-0.00059816-0.00076608i,-0.00066333-0.00052388i,-9.1272e-05-0.00073537i,0.00066116-0.00023444i,0.0012943+0.00033253i,0.0014777-0.00026388i,0.00059233-0.00029511i
-0.0014573+0.0017177i,-0.0013581+0.0023717i,-0.00057556+0.0026987i,0.00082523+0.0034547i,0.0015799+0.0035306i,0.0010563+0.0016647i,-0.00045001+9.0518e-05i,-0.0011356+0.00011817i,-0.0006449+0.00012177i,-0.00021438-0.00045336i,-0.00014914-0.0014045i,-0.00046665-0.0013878i,-0.00096455+5.7482e-05i,-0.00049922+0.0010514i,0.0003387+0.00089003i,0.0007679-0.00017912i,0.00057225-0.00045507i,-0.00046489+0.0001637i,-0.00050272+0.00051432i,4.3699e-05+0.00046366i,0.00021977-1.8573e-05i,0.00039564-0.00046177i,0.00052191+0.00016937i
-0.00016633-0.0011536i,-0.00090803-0.0013704i,-0.0005608-0.0018688i,-0.00085537-0.0017363i,-0.0014674+0.00050274i,-0.0010119+0.0020706i,-0.00052766+0.0011005i,-0.00069885-0.00040678i,-0.00129-0.00013363i,-0.0019119+0.00051813i,-0.0022098-3.1785e-05i,-0.0021782+0.00062267i,-0.0010213+0.0018902i,-0.00074858+0.0016177i,-0.00060619+0.00094673i,0.00018841+0.00024276i,0.00029637-0.00014306i,2.911e-05-4.0393e-05i,-0.00013917-1.096e-05i,-0.00068172+0.0005027i,-0.00067505+0.00028152i,0.00012331-0.00042104i,0.0001338-0.00033069i
-0.00017625-0.0020603i,-0.000459-0.0023001i,-0.0016835-0.0013158i,-0.0021356+8.8277e-05i,-0.0022764-0.00011741i,-0.0017458-0.00026771i,-0.00092415-0.00089309i,-0.00052177-0.0018886i,-0.00042814-0.00097313i,-8.1511e-05+0.0017782i,-0.00044922+0.0028846i,-0.00035806+0.0018988i,-0.00023789+0.00085125i,-0.00038763-7.7838e-05i,0.00012283-0.00039455i,-0.00010871-2.6441e-05i,-0.00054848+9.6102e-05i,-0.00063394-0.00058099i,-6.4129e-05-0.00093171i,0.00057547-0.00069443i,-0.00036242-0.00025885i,-0.0011035+0.0002643i,-0.00035363+0.00023922i
0.001867+1.2291e-06i,0.0024767-3.8935e-05i,0.0033898-0.0012594i,0.00274-0.001677i,0.00085238-0.0017289i,-0.0008087-0.0018376i,-0.0018236-0.0011933i,-0.0021485-0.0009159i,-0.0014867-0.0002113i,-0.00073202+0.0010929i,-0.00014835+0.00065858i,0.0011641-0.00015758i,0.0014695-2.9638e-05i,0.00080479+5.9191e-05i,-0.0007243-0.0006852i,-0.0015722-0.00090749i,-0.00091725+0.00036497i,0.00030356+0.0011442i,0.00099608+0.00059945i,0.0002534+0.00054554i,1.3805e-06+0.00077019i,-6.8682e-05-0.00037969i,-7.9561e-05-0.0008767i
0.002255-0.00095237i,0.0020284-0.00062624i,0.0011036-0.0010276i,0.0001253-0.0012154i,-0.00037466-0.0011083i,-0.0013695+0.00016999i,-0.0026654+0.0012146i,-0.0023332+0.00082417i,-0.0010042+0.00053325i,-0.00032698-1.2815e-05i,-0.00034568-0.0010091i,-0.0003998-0.0018413i,9.4426e-07-0.001228i,0.00040495-0.00077358i,0.00077824-0.00048027i,0.0003149-0.00036501i,1.1764e-05-0.00052427i,0.00025666-0.00061285i,-0.00028074-0.00031889i,2.5877e-06+0.00026852i,0.00040511+0.00025413i,-1.674e-05-0.00041385i,-0.00014986-0.00067335i
-0.0020358-0.0020243i,-0.0025035-0.0011334i,-0.0032841-0.00059708i,-0.002389+0.00020936i,-0.00079028+0.0015602i,-0.00037131+0.0021222i,-0.00031793+0.00079472i,-0.00074432+3.0909e-05i,-0.0013574-0.00038558i,-0.0017397-0.00082053i,-0.0022959-0.0014501i,-0.002272-0.0015129i,-0.0020539-0.0012541i,-0.0015317-0.00025862i,-0.00070537+0.00050342i,-0.00021943+0.0013459i,-0.00071089+0.0014055i,-0.00060572+0.0004867i,2.7902e-05+0.0004914i,-0.00028121+0.00036579i,-0.0012852+0.00044512i,-0.0018256+0.00092092i,-0.0011668+0.00088299i
0.00041054-0.0036339i,-0.00020749-0.0038281i,-0.00028509-0.0040816i,-0.00074202-0.0034617i,-0.0013353-0.0016499i,-0.0014315-0.00032702i,-0.0015267-0.00017306i,-0.0014295-0.00024701i,-0.0018805-9.337e-05i,-0.0024237+0.00029721i,-0.0022436+0.00060102i,-0.0024484+0.00096008i,-0.0017411+0.00076789i,-0.0006761+9.9008e-05i,-0.00054219-4.8341e-06i,0.00019549+0.000892i,0.00065121+0.0012533i,0.0003249+0.00073643i,0.00072654-0.00013086i,0.00055954+7.1416e-05i,0.00025772+0.00050852i,0.00032015+0.00073033i,-0.00010856+0.001125i
0.002188-0.00031732i,0.0012992+0.00055183i,0.00017635+0.0007614i,-0.0014574+0.00078736i,-0.0021791+7.2949e-05i,-0.002284-0.00070526i,-0.0011247-0.00039727i,4.8657e-06+0.0005263i,-0.00018667+0.00144i,-0.00016265+0.0016983i,2.642e-05+0.0013821i,0.00039749+0.00094813i,-3.739e-05+0.00023076i,-0.00069545+9.5104e-05i,-0.00013481+0.0011997i,-0.00013751+0.0013036i,-0.00040637+0.00050832i,-0.00046993-0.00047102i,-0.00014266-0.00062173i,0.00021119-0.00028157i,0.00046424-0.00055188i,0.00022332-0.00071129i,0.00049767-6.5477e-05i
0.0011508-0.0011719i,0.002097-0.0016228i,0.0024813-0.0021829i,0.00072116-0.00076952i,-0.0013089+0.00026452i,-0.0017244-0.00041413i,-0.00072633-0.0011027i,-0.00032466-0.00086914i,-0.00075961-0.0007553i,-0.00035348-0.00069204i,0.00021607+6.5991e-05i,0.00041445+0.00062625i,-0.00011441+0.00057149i,-0.00099743+0.00030226i,-0.00083211+0.00072543i,-0.00096176+0.0012351i,-0.0007616+0.000811i,-6.911e-05+0.00033337i,-0.00022007-4.3678e-05i,-0.00099496-3.0425e-05i,-0.00099658-0.00050808i,-0.00060635-0.001507i,-0.00050942-0.0012102i
-0.0026664+0.0019762i,-0.0023989+0.0021802i,-0.00099549+0.0020157i,0.00072799+0.0019552i,0.0013476+0.0018079i,0.00056117+0.0006876i,-0.00096356-0.00059383i,-0.0025206-0.00092456i,-0.0023414-0.00069532i,-0.0014734-0.00094232i,-0.0012354-0.0011378i,-0.0011592-0.00079816i,-0.0010216+0.0002179i,-0.001135+0.00073291i,-0.00074796+0.00080485i,-0.00049545+0.00054502i,-0.00025485+0.00018714i,0.00011632+0.0004855i,-0.00027541+8.1546e-05i,-0.0011221-0.0003182i,-0.0014718+0.00012143i,-0.0012187+3.608e-05i,-0.00087369-0.00025166i
