-0.0030314+0.0018319i,-0.0027027+0.0014259i,-0.0032131+0.0010109i,-0.0014851+0.0010058i,0.00064785+0.00092261i,0.0015083+0.00025657i,0.00027897+0.00084911i,-0.00021045+0.0014092i,0.00070121+0.0010351i,0.0011044+0.000682i,0.00097114+0.00028999i,0.00080243-0.00057598i,9.7803e-05-0.0012745i,3.8696e-05-0.0010535i,0.00014178-0.00025036i,3.1967e-05+0.0006379i,-9.8161e-05+0.00071377i,-0.00011058+0.00068043i,-0.00010063+0.00072859i,0.00034757+0.00076184i,0.00057134+0.00037666i,0.00012432+6.2977e-05i,7.0955e-05+3.9041e-05i
-0.0015677-0.002314i,-0.0008655-0.0019231i,-0.001756-0.00069986i,-0.0021393-0.00050992i,-0.00014691+0.00095162i,0.0013455+0.0016042i,0.0016392+0.00067714i,0.00105+0.0002592i,-9.8658e-05+0.00072132i,-0.00046937+0.001586i,-0.00024007+0.0015919i,0.0003288+0.00063829i,0.00053737-0.00037928i,0.000492+9.3856e-05i,0.00089378+3.5661e-05i,0.001485-0.00065249i,0.0020392-0.00081784i,0.001314-0.00052197i,-0.00065001-0.00045966i,-0.00033729-0.00072291i,0.0007982-0.00019925i,0.00077285-1.3261e-05i,0.00082247-0.00031644i
0.00023149+0.0017337i,-0.0007022+0.0012661i,-0.00094016+0.0026735i,-0.00013762+0.0028063i,0.0011058+0.0015442i,0.0020689+1.3823e-05i,0.00083442-0.00043961i,-0.00051523-0.00037214i,-0.0002126-9.8571e-06i,0.00037928+0.00097829i,0.00063109+0.0010495i,0.00070481-0.00017769i,2.8981e-05-0.00083474i,-0.00039709-0.00048304i,-4.5209e-05-0.000736i,0.00035449-0.00087762i,0.00020729+0.00010367i,0.00017687+0.0011012i,9.1345e-05+0.00054572i,-4.5308e-05+0.00051393i,0.00028954+0.00082485i,0.00054323+0.00055154i,0.00049568+0.00023649i
0.0038336-1.0209e-06i,0.0038052-0.0011502i,0.0029315-0.0035899i,0.0020076-0.0030627i,0.0010232-0.0013705i,-0.00029196+0.00010935i,-0.00062019+0.0009669i,-0.00029771+0.0010224i,-0.00030034+0.00027334i,0.00014474-0.0006646i,0.00040022-0.00056386i,0.00035164-0.00012127i,0.00058688+0.00033742i,0.00059005+0.00085872i,0.0001073+0.00082688i,-0.00082854+0.00055953i,-0.0019309+0.00011471i,-0.0015822-0.00028358i,-3.6098e-05-0.0006223i,0.00052473-0.00072837i,0.00077323-2.4003e-05i,0.00058024+0.00040344i,2.5207e-06+0.000295i
-0.0014242+0.0015598i,-0.00067751+0.0015885i,-0.0011947+0.0014132i,-0.00096236+0.00076117i,0.00095645+0.00034378i,0.0011841-0.00015722i,5.2783e-05-0.00054635i,-0.0014268-0.00060324i,-0.0012621-0.00026805i,-0.0010867-2.3088e-05i,-0.00096344-0.0007305i,-0.00094949-0.00029227i,-0.0016705-0.00012651i,-0.0015867-0.00076845i,-0.0014284-0.00038075i,-0.0014563+0.00035336i,-0.0011774+0.00086384i,-0.00055372+9.7375e-05i,-0.00013669-0.00055967i,-0.00019428-0.00020669i,1.4627e-05-6.3543e-06i,-0.00023641+1.657e-05i,-0.00077867-1.7717e-06i
-0.0011218-0.001939i,-0.00055506-0.0021417i,0.00034961-0.0024116i,0.00023921-0.0020324i,-0.00020162-1.8407e-05i,0.00041421+0.00054867i,0.00037907+0.00051923i,-0.00026817+0.001164i,-0.00099303+0.00046639i,-0.0012788-0.00035842i,-0.0011596-0.00010083i,-0.0013017+0.00048321i,-0.00095456+0.00085608i,-0.00027521+0.0010461i,-0.00024338+0.0011675i,-3.4701e-05+0.00061844i,0.00025731+0.00034851i,5.8994e-06+0.0007418i,0.00011528+0.00054571i,0.00061449-0.00030199i,0.0006544-0.00074358i,0.00019071-0.00069485i,-1.6607e-05-0.00041032i
0.004432-4.5478e-05i,0.0036593+0.00019654i,0.0017954-0.00027364i,0.00015048-0.00029206i,-0.00031192-0.0010934i,0.00011419-0.0013775i,0.0010147+0.00012892i,0.00091372+0.0012136i,0.00018908+0.0012474i,-0.00076349+0.00027618i,-0.0010771+0.00010872i,-0.00096145+0.00031748i,-0.00054096-0.00014986i,-0.00034809-0.00054902i,0.00092667+2.4974e-05i,0.0020427+0.00015218i,0.0018519-0.00068842i,0.0012507-0.00065156i,0.00047651-0.00026328i,0.00017015+3.4547e-05i,0.00061101+0.00083991i,0.00061858+0.0012017i,-0.000117+0.0010484i
-0.0001179+0.0015895i,-0.0012463+0.0018042i,-0.0012552+0.0021748i,-0.00061219+0.0029026i,0.00042499+0.0016917i,0.0012677+0.00034733i,0.0015733+5.8307e-05i,0.001107+0.00061382i,-0.00017881+0.0010673i,-0.0011983+0.00054461i,-0.00066092+0.00043284i,0.0009512+0.00044992i,0.0017854+0.00021983i,0.00092214-0.00029459i,0.00042427-0.00020417i,0.0011517-0.00031633i,0.0016623-0.00018338i,0.0010407+0.00023902i,0.0003199+4.9001e-05i,-0.00037114+0.00023995i,-0.00056682+0.00052769i,0.00017152+0.00096489i,0.00012178+0.0011714i
-0.0037192+0.00049821i,-0.003369+0.00027415i,-0.0022628-0.00056606i,-0.00042373-0.00024235i,0.000699+0.00090546i,0.00098531+0.00070039i,0.00093182-0.00030496i,0.0010545-0.0011387i,0.001365-0.00027092i,0.0013323+0.00061424i,0.0017059+0.00044339i,0.001813+0.00025442i,0.0015025-0.00030514i,0.00084659-0.00040835i,-0.00022159+0.0001571i,-0.00097124+0.00010184i,-0.00068989-0.00033727i,-0.00042387-5.8272e-05i,-0.0012027+0.00029669i,-0.0010053-0.00049686i,-0.00089133-0.00025812i,-0.00096+0.00049196i,4.5743e-05+0.0005514i
-0.00045784+0.00060172i,-0.00025935+0.00083327i,-0.00033479+0.00040436i,0.00034799-0.0003575i,0.00098108-4.8698e-05i,0.0010741+0.00062015i,0.00079809+0.00057876i,0.00012227+0.00047419i,8.9275e-05+0.00064932i,0.00058388+0.00062054i,0.00088952+0.00061005i,0.001694+0.00068678i,0.00075461+0.00051102i,-0.0011381+0.00057714i,-0.0016264-5.7095e-05i,-0.0016818-0.00023487i,-0.0013782+0.0007954i,-0.00088614+0.0011021i,-0.00034967+9.3105e-06i,-0.00054918-0.0010451i,-0.00075583-0.00086918i,-0.00054766-4.3816e-05i,0.00014388-0.00033454i
0.0011099-0.0064791i,-0.00024839-0.0063596i,-0.0025638-0.004325i,-0.0024732-0.0020306i,-0.0013244+0.00014246i,0.00029378+0.00038952i,0.00082056-0.00033947i,0.00040093-0.00040676i,-0.00034536+0.00016791i,-0.00099811+0.00053854i,-0.001026+0.00048278i,-0.0016768+0.00016433i,-0.0020044+2.2788e-05i,-0.0008331-0.00038011i,0.00018309-8.0824e-05i,-0.00021206+0.00023061i,-0.00064794+0.00020553i,4.653e-06+0.00059486i,0.00023542+0.0011055i,0.00069118+0.00027671i,0.0012797-0.00044225i,0.0010318-0.0003614i,0.00088576-0.00051036i
0.0043721+0.0013486i,0.0032848+0.001762i,0.00072825+0.00075426i,-0.00062844+0.00043866i,-0.00092198+0.0010228i,-0.00021208+0.0011016i,4.6946e-05+0.00086396i,-0.00098392+0.001001i,-0.0010874+0.00057672i,-0.00093149-0.00027605i,-0.0015078-0.00069526i,-0.0015631-0.0012018i,-0.0014831-0.00070835i,-0.0015127+5.8739e-05i,-0.00047243+0.00057979i,0.00029075+0.00047394i,2.8798e-05+0.00052035i,0.00043028+0.00082875i,0.0012198+0.00087371i,0.00097447-5.0827e-05i,0.00031424-0.00076286i,0.00067352-0.00071963i,0.00017729-0.00065657i
-2.0387e-05-0.0030529i,-0.00088831-0.0028084i,-0.0020622-0.0031807i,-0.0017599-0.00067403i,-0.0013813+0.001612i,0.00021568+0.0020924i,0.0013435+0.0021108i,0.00044504+0.0018096i,-0.00021353+0.0012621i,-0.00062658+0.00015708i,-0.0003936-0.00046658i,0.00042867-0.00051275i,0.00057976-0.00016754i,0.00068152+0.0007096i,0.00063598+0.00061291i,0.001172-8.105e-05i,0.001403-0.00013096i,0.00085889+0.00075167i,0.00053726+0.0012852i,0.00069929+3.0392e-05i,0.0011818-0.00048909i,0.00080217+0.00026425i,-0.00010065+0.00063527i
-0.0026037+0.00079438i,-0.0022658+0.00078337i,-0.0011773-0.00031518i,0.00047818-0.0012023i,0.0019028-0.00095712i,0.0022745-0.0010295i,0.0021719-0.00067448i,0.0014407-0.00015141i,3.1299e-05+0.00019194i,-0.00047729+0.00015933i,0.00027304+0.00095251i,0.00031183+0.001401i,-0.00045598+8.6233e-05i,-0.00010571-0.00019893i,0.00054314+0.00047355i,0.0011621+0.00095548i,0.0013505-2.404e-06i,0.00027249-0.0017075i,-0.00020457-0.0018119i,-3.2835e-05-0.0010706i,-0.00074907-0.00067556i,-0.00041076-0.0005723i,0.000252+7.8066e-05i
0.0019847-0.0025378i,0.0006043-0.0031868i,0.00040302-0.0038947i,-0.00014231-0.0025172i,-0.00075736-0.0011105i,-9.8628e-05-3.5873e-05i,0.00063889+0.00092431i,-0.00020105+0.0010594i,-0.00081313+0.0010198i,-0.00021006+0.0012022i,0.00079236+0.00078683i,0.001202+0.00031857i,-0.00021388+0.0005152i,-0.0017404+0.00017275i,-0.0020004+0.00019421i,-0.0012688-0.00022565i,-0.0012649-0.0012965i,-0.00087815-0.0020221i,0.00065885-0.0017984i,0.00095387-0.00071893i,0.00027757-0.00047763i,0.00013957-0.00044093i,-0.00018644-0.00051143i
0.0019023-0.0014835i,0.0020641-0.0019878i,0.00013059-0.00086771i,-0.00040805+0.00073308i,0.0006955+0.0013155i,0.0019697+0.0010899i,0.001947+0.00014376i,0.00049242+0.00012845i,-0.00065473+0.00058148i,-0.00024738+0.00061871i,0.00048561+0.00091751i,0.001105+0.00061375i,0.0010853+0.00085083i,0.00022025+0.001076i,-0.00030135-0.00016175i,-0.00031216-0.0010375i,0.00016888-0.00064049i,-0.00025132-0.00081735i,-0.0011191-0.0011556i,-0.00030261-0.00038048i,7.8619e-05+0.00059737i,-0.00059169+0.00041786i,-0.00085328-4.6153e-05i
-0.00047799+0.002213i,8.3264e-05+0.001996i,-4.6359e-05+0.00086854i,-7.1729e-05+0.0016479i,0.00018224+0.0011627i,0.00042348-0.0003618i,-0.00018432-0.00081168i,-0.00088117-0.0012022i,-0.00059988-0.0010049i,7.5392e-05-0.001116i,0.00015584-0.0017431i,-0.00033639-0.0019603i,-0.00069313-0.0013709i,0.0002886-0.0007882i,0.00081889-0.00053608i,0.00011457+0.00063549i,0.00082732+0.0015015i,0.0011401+0.0011611i,0.00050871+0.0012448i,-0.00010818+0.00172i,-0.000138+0.0011893i,-0.00045552+0.00028496i,-0.00065058-0.00062741i
-0.0024236+0.00012095i,-0.0020375-0.00054515i,-0.0010466+0.00025272i,-0.00084272+0.00099019i,-0.00074737+0.00064385i,4.5092e-05-0.00056198i,0.00087204-0.00055092i,0.00019008-0.00010093i,-0.0010236-0.00043752i,-0.0011694-0.0010163i,-0.0012791-0.00073661i,-0.0010655+0.00012578i,-0.00028257+0.00017639i,0.0001306-0.00029211i,0.00080165-0.0004193i,0.0013867+0.00019836i,0.0016414+0.0011983i,0.0013064+0.00097028i,0.00047035+0.00074056i,-0.00040777+0.00041869i,2.5834e-05+2.4318e-05i,0.00070565-0.00016702i,3.4747e-05-0.00014949i
0.0010243-0.0011728i,0.0010686-0.0025009i,0.00029663-0.0031265i,0.00047371-0.0015785i,0.00020734+0.00033558i,0.00031978+0.0014774i,0.00064772+0.00064313i,6.0785e-05-0.00079468i,-0.00045595-0.00017483i,-0.0010139+0.00071781i,-0.0011451+0.0015909i,-0.00091195+0.0018573i,-0.00055971+0.00066155i,-0.00015331+0.00027225i,0.0002455+0.00060547i,0.00025798+0.00042117i,-0.00045925+0.00052951i,-0.0014342+0.00075939i,-0.00090788+0.001151i,0.0001699+0.00069258i,-0.00032763-0.00041034i,-6.631e-06-0.00017864i,0.00062887+0.0001315i
0.0017195+0.00076571i,0.0011088-0.0014388i,0.0011002-0.0022983i,0.0016234-0.0028156i,0.0026808-0.0030435i,0.0028138-0.0017988i,0.00086407-0.00071046i,-0.00079643-0.00012938i,-0.00087553+0.00062722i,-0.00093034+0.00097407i,-0.00031028+0.0013185i,0.00036084+0.0013059i,-0.0008398-7.0732e-05i,-0.0016953-0.0015776i,-0.00092703-0.0013139i,0.00047768-0.0011299i,0.00051078-0.0015328i,-0.00070233-0.00065711i,-0.0006663+0.00022963i,0.00063475+0.00032244i,0.0012057+0.00014381i,0.00038308+0.00027976i,-0.00015734+0.00089274i
0.0011596+0.00016161i,0.00054468+0.0016463i,-0.0008448+0.00057912i,-0.0017154-0.00013228i,-0.0013108+0.00068625i,-0.00057187+0.00080757i,-0.00078097+0.00027926i,-0.0012256-0.00030829i,-0.00079944+4.2586e-05i,-0.00055305+0.0011755i,-0.00068068+0.00087638i,0.0002222-3.4647e-05i,0.00082604-0.00029177i,0.00024391+0.00019551i,-0.00033253+0.00014588i,-0.00037552-0.00091678i,-0.00097672-0.0015323i,-0.00059551-0.0018838i,0.00018471-0.0013272i,-0.00022406-0.00040655i,-0.00028639-0.00014211i,0.00035187+0.00024557i,0.00087108+0.00092564i
-0.0014959-0.00053454i,-0.0003681-0.00045182i,0.0010392-0.0017686i,0.0010325-0.00076357i,0.00019867+0.00067396i,0.00075842+0.0013258i,0.001151+0.00049799i,0.00066551+0.00062237i,2.7656e-05+0.001668i,0.00023505+0.0010511i,0.00094905-0.00058661i,0.00080953-0.0016486i,0.00055287-0.0011869i,0.00069026-0.0003186i,0.00057546-0.00019397i,0.00064452-0.00065574i,0.00074202-0.00060117i,0.00054196-0.00039279i,0.00011589+9.8697e-05i,-0.00052913-6.3608e-05i,-0.00077823-0.00017059i,-0.00050986-0.0001769i,-0.00028831-0.00040564i
-0.0014313-0.00061992i,-0.0010999-0.0010826i,-0.0018086-0.0013108i,-0.001548-0.0014449i,0.00028699-0.00091553i,0.0016208-0.00070631i,0.0018206-0.00047682i,0.001383-5.7808e-05i,0.0011863+0.00030223i,0.0015955-0.00057692i,0.0017629-0.00080273i,0.00077628-0.00072034i,0.00046189-0.00032465i,0.00093771+0.0005846i,0.0011515-0.00017078i,0.0012453-0.00017295i,0.0017079+0.00097158i,0.0013028+0.0010931i,5.9472e-05+0.00056807i,-0.00058876+0.00019809i,-0.00066253-0.00025244i,-0.00037675-3.9653e-05i,-0.00061355-0.00025007i
0.0039655+0.0017689i,0.0035784+0.0016936i,0.0039314+0.00054218i,0.0036929-0.00037118i,0.0021359-0.00011218i,0.0015513-0.0002382i,0.0012745-0.00058363i,0.0011939-0.00063904i,0.00094835+0.00010909i,0.0008203+5.4953e-05i,0.00015708-0.00018713i,-0.00079706+0.00026029i,-0.0012307+0.00045677i,-0.0012474+9.9182e-05i,-0.00084341-0.00020256i,0.00019294+0.00060854i,0.00043502+0.0010848i,-2.3443e-05+0.0012716i,-0.00022915+0.0012119i,-0.00022865-0.00020822i,3.1692e-05-0.00084044i,0.0001287-0.00021436i,0.00081957-0.0001751i
0.0010198+0.00081139i,0.00082159+0.00048807i,0.00051558-0.0007347i,0.00047713-0.00073466i,0.0008515-9.5117e-05i,0.001259+0.00069157i,0.00098229+3.3555e-05i,-0.00012681-0.00092994i,-0.0012002-0.00090998i,-0.0016142-0.00034524i,-0.0031687+0.0011042i,-0.0031098+0.0015883i,-0.0014673+0.00057863i,-0.00082664-3.1542e-05i,-0.0010835-0.00011752i,-0.00096895-0.00013514i,-0.00068769+0.00037746i,-0.0010051+0.00083269i,-0.0010539+0.00045776i,-0.00017684-0.00078335i,0.0005009-0.00039225i,0.00082577+0.00037938i,0.0010872+0.00016767i
-0.0042046-0.00070441i,-0.0033443-0.00012708i,-0.0020718+0.0011833i,-0.0014012+0.001725i,-0.00041637+0.0013993i,-0.00022835+0.00044742i,-0.0012322-0.0010294i,-0.0022937-0.0014847i,-0.0022466-0.00041134i,-0.0019715+0.00092009i,-0.001763+0.00078044i,-0.00026434-5.46e-05i,0.00083674-8.61e-05i,0.0010581-3.1827e-05i,0.00035633-0.0003989i,-0.00052787-0.00039856i,-0.00062195-0.00053015i,0.00011674-0.0012438i,0.00034033-0.0012515i,0.00020634-0.00036274i,-0.00020385-5.4612e-05i,-8.1657e-05-0.00012405i,0.00049149+0.00067932i
0.0023578-0.0013575i,0.0014439-0.0024416i,0.0014682-0.0033555i,0.00095624-0.0025828i,-0.00044283-0.0016212i,-0.0010852-0.00056204i,-0.00054472+2.0023e-05i,-0.00067943+0.00056323i,-0.00015385+0.0011687i,0.00052455+0.0009129i,0.00094594-9.3322e-05i,0.0024362-0.0012933i,0.0021524-0.0012327i,0.00041354-8.7389e-05i,0.0004299+0.000175i,0.0014395+0.00015732i,0.0018201-0.00035051i,0.0012714-0.0010534i,0.00014437-0.00070956i,-0.00032472-0.00026523i,-0.00035988-0.00055136i,-0.0003353-0.00071141i,-0.00073696-0.00077304i
0.0033801-0.0016987i,0.0034537-0.001901i,0.001897-0.0012539i,0.00033958-0.00095468i,0.00027468-0.00019269i,0.0010165+0.00037053i,0.0012772+0.00063136i,0.0010595+0.0010693i,0.0016629+0.00095379i,0.0018072+0.00039575i,0.0014097-0.00082321i,5.745e-05-0.0010681i,-0.00041007-0.00016828i,0.00011986+0.00064662i,0.00047616+0.0010147i,0.00034095+0.00091495i,-0.00025283+0.0012199i,-0.0012221+0.00058842i,-0.001461-0.00069444i,-0.0003684-0.00076559i,0.00047273-0.00048485i,0.00023438-0.00010941i,-0.00013235-4.7748e-05i
0.0017485+0.0017896i,0.0017079+0.0012357i,0.0024671+3.2578e-05i,0.0023901+0.00060327i,0.0018779+0.00096062i,0.0017282-0.00060115i,0.0012215-0.00062763i,0.00022362-3.2176e-05i,-0.00025539+0.00033202i,-0.00012894+0.00043439i,-0.00035111+0.00044367i,-0.0017495+0.0006377i,-0.0018049+0.00086584i,-0.000494+0.0011275i,-0.0001148+0.00099064i,0.00014141+0.00029381i,0.00020592+5.1374e-05i,4.2907e-05-0.00016679i,-0.00062441-0.00040846i,-0.00086425-0.00071811i,-0.00032046-0.0010281i,6.0821e-05-0.0016406i,-0.00084823-0.001456i
-0.00089994+0.0022199i,-0.0011302+0.0026248i,-0.0010058+0.0029185i,-0.00068362+0.0018442i,-0.00021973+0.0016897i,0.00029674+0.0010727i,0.0010131+0.00032129i,0.0015584+0.00046834i,0.00068802+0.00032452i,-0.00047311-0.00020742i,-0.0013468-0.00043145i,-0.0020872-0.00037537i,-0.001954-0.00024919i,-0.0017362-0.00012023i,-0.0015308-0.0005081i,-0.001096-0.00014497i,-0.0012703+0.00060886i,-0.0010874-9.051e-05i,-0.00079087-0.00062961i,-0.00035703-0.0010702i,0.00036379-0.0015106i,0.00096287-0.00053852i,0.0012408+0.00084993i
-0.00067662-0.00238i,0.00021913-0.0018953i,7.9829e-05-0.0015134i,-0.00049508-0.00034534i,0.00039235+0.00021789i,0.0019409-7.5994e-05i,0.0018976-0.0010757i,0.00046034-0.0013847i,-0.00078634-0.0012694i,-0.0014916-0.00047394i,-0.0018311+0.00055423i,-0.00062745+0.0010023i,0.00056626+0.0001051i,0.00068514-0.00038755i,0.00050016+0.0003437i,0.00029299+0.00018269i,5.4922e-05-0.00047951i,-0.00015952-0.00089285i,0.00013424-0.00063317i,0.00066525-0.0002486i,0.0009609+0.00020716i,0.00029644+0.0010841i,-0.0001004+0.0019338i
0.0018588-0.0039356i,9.1967e-05-0.0042211i,-0.0017861-0.0045408i,-0.0032957-0.0048797i,-0.0030712-0.0029868i,-0.0015455-0.0015304i,-0.00062116-0.0014677i,-0.0006131-0.0019096i,-0.00077907-0.0019885i,-0.001083-0.0015704i,6.8234e-05-0.00095768i,0.0017437-0.00018327i,0.0016682-0.00013425i,0.00062456+0.00038665i,0.00052378+0.00036492i,0.00043752-0.00084305i,0.00043201-0.00095128i,0.00022352+0.00061132i,-0.00027654+0.0019587i,-0.00068733+0.0014748i,-0.00086375+0.00064719i,-0.0004191-0.00021497i,-0.00044246-0.00027478i
0.0025024+0.0032946i,0.0037131+0.0025242i,0.0037029+0.0010306i,0.002919+0.00090692i,0.0021024+0.00098186i,0.0015353+0.00013502i,0.00085701-0.00048285i,-0.0001276+0.00049588i,-0.00049069+0.0012271i,-0.00017878+0.00058621i,0.00068395+0.00017265i,0.0012049+0.00016895i,0.00048284-0.00030157i,-0.00014255-0.00080285i,-0.00031477-0.00056172i,-7.5454e-05-0.00082309i,-7.6464e-05-0.0010604i,0.0001908-0.00051934i,0.00088793-0.00013137i,0.00032814-6.5344e-05i,-0.00042194-2.368e-05i,-0.00089913-6.4759e-05i,-0.00047525-0.0007467i
-0.00031855-0.001731i,-0.00075955-0.0026954i,-0.0019904-0.0020845i,-0.0021583-0.00051328i,-2.2037e-06+0.0010268i,0.0018118+0.0015131i,0.0015701+0.0013481i,0.00062407+0.0023191i,0.00022384+0.0027101i,0.00042431+0.0020106i,-3.2631e-05+0.0010673i,-0.00079661-0.00046255i,-0.00041363-0.00084767i,0.00068459-0.00066832i,0.001564-0.00028427i,0.0015285+9.7579e-05i,0.00098608-0.00071039i,0.00066819-0.00081637i,-0.00026269-0.0005344i,-0.0010697-0.0012604i,-0.00049271-0.0016075i,-0.00014079-0.001439i,-0.00051213-0.00052553i
-0.0024996+0.0019432i,-0.0017884+0.0016079i,-0.00027919+0.00128i,0.00046947+0.0011621i,0.00074415+0.0010487i,0.00054551+0.0005237i,0.00049377-0.00023169i,0.00011414+1.9886e-05i,0.00016793+0.0012608i,0.00040924+0.00064023i,-0.00045062-0.00013963i,-0.001516-0.00040298i,-0.0013719-0.00070381i,-0.00019174-0.00078495i,0.00049159-0.00036259i,0.0001899+0.00056222i,-6.1946e-05+0.0002911i,0.00020322-0.0014799i,-0.00032752-0.0023213i,-0.00069046-0.0017525i,-0.00012071-0.0010414i,0.00073332-0.0008719i,0.00096784-0.00044186i
0.00098187-0.0026526i,0.00087741-0.002646i,0.0008711-0.0024819i,-0.00051883-0.0010327i,-0.001684+6.3087e-05i,-0.00084136+0.00059179i,0.0013054+0.00043958i,0.001101-0.00059859i,0.0003802-0.0014022i,-9.7941e-06-0.001896i,-0.0012321-0.0018199i,-0.0010134-0.00088919i,0.00042998-0.00051688i,0.00063755-0.0003456i,0.00065667-6.881e-06i,0.0009765+0.00044163i,0.00040899+0.0001275i,0.00045468-0.00074244i,0.00087649-0.00071873i,0.00041435-0.00024774i,0.00023444+0.00021799i,0.00048592+0.00063757i,-0.0001048+0.00042555i
0.00016176+0.0030064i,0.00027046+0.0027327i,0.0014373+0.0022447i,0.0028232+0.0013385i,0.0031674+0.00068368i,0.0018678-0.00042089i,0.00072158-0.0025488i,0.00029746-0.0041909i,-0.00019982-0.0033077i,-0.00042445-0.0016066i,0.00019185-4.6818e-06i,0.00090107+0.00025982i,0.0012276-0.00031616i,0.00056156-0.00039212i,5.3119e-05-3.6772e-05i,0.00022888+0.00029078i,0.00029609+0.00026488i,0.00017711+4.2694e-05i,-0.0001963-0.00015431i,8.0507e-05-9.3796e-05i,-0.00014747+0.0002906i,-0.00072855+0.00060242i,-0.001159+1.1877e-05i
-0.0028416+0.0015554i,-0.0027922+0.0021326i,-0.0019896+0.0022156i,-0.00087158+0.0014542i,-0.00022345-0.00018925i,0.00055318-0.0006762i,0.00032996-0.0010793i,-0.00085841-0.0011084i,-0.0011766-0.00010007i,-0.00089195-1.6582e-05i,2.0678e-05-0.00013902i,0.0013437-0.0004076i,0.0011513-0.0015348i,0.00046343-0.0013593i,0.00017969-0.0011115i,8.7556e-05-0.00061895i,-0.00045887+0.00057289i,-0.0011805+0.0017537i,-0.0010852+0.0022728i,-0.00041753+0.0011928i,-0.00069201-0.00058431i,-0.00070887-0.001751i,-0.00034704-0.0014208i
-0.0017578-0.0018103i,-0.0020872-0.0015453i,-0.0024187-0.0016912i,-0.0019558-0.00033861i,-0.00014161+0.0017351i,0.0019303+0.0017619i,0.0017284+0.0011737i,-0.00010788+0.0021862i,-0.00079793+0.0038579i,0.00020432+0.0039135i,0.00091557+0.0019393i,0.00012692-0.00023872i,-0.00095904-0.0015891i,-0.00084883-0.0016623i,-0.00014232-0.0016618i,-2.6397e-05-0.0015838i,-0.00062393-0.00026087i,-0.00063984+0.001058i,-0.00022869+0.00099887i,-0.00010954+0.0010502i,-0.00012547+0.00013024i,-8.2116e-05-0.00073824i,0.00027677-0.00061865i
0.003654-0.001871i,0.0043868-0.0015484i,0.0029993-0.0020964i,0.0011702-0.0023596i,0.00089785-0.00050509i,0.0019502+0.0021002i,0.0023599+0.0031944i,0.0011899+0.0036755i,0.00074689+0.0029949i,0.0007893+0.0010025i,0.00087866-0.00045385i,9.2202e-05-0.0007451i,-0.0011456-0.0011675i,-0.0012873-0.00055534i,-0.0010002+0.00059218i,-0.00067591+0.00051289i,-0.00013464+0.00029102i,-0.00011054-7.0234e-05i,-0.00070868-0.00088899i,-0.00056271-0.0020414i,2.098e-06-0.0015094i,8.9874e-05-0.00011347i,0.00031888-0.00011333i
0.0039574+0.003712i,0.0029212+0.0035805i,0.0025812+0.0018413i,0.0024292-0.00079523i,0.0013162-0.0022659i,0.00039428-0.0013816i,0.00056218-0.00052447i,0.00093305-1.9693e-05i,0.0012486+8.3835e-05i,0.00081451-0.00064315i,-0.00033883-0.0013841i,-0.0011833-0.0010133i,-0.0013807-7.5004e-05i,-0.0013816+0.00018523i,-0.00092003+0.00094779i,-0.0005385+0.0017996i,-0.00029493+0.0010155i,-0.00030454-0.0008052i,-0.00035877-0.002129i,-0.00058309-0.0018428i,-0.00083679-0.00068848i,-0.0008398+5.262e-05i,-0.0012122+0.00010616i
-8.1977e-05+0.0037728i,0.00058915+0.0022361i,0.00099913+0.0012132i,0.00052889+0.00047653i,0.00034345-0.00039361i,0.0009596-0.0014188i,0.00079076-0.002557i,0.00043154-0.0030837i,-0.00010403-0.0029861i,-0.00062088-0.0019081i,-0.0013156-0.00048713i,-0.0014247+0.00067311i,-0.00040181+0.0014914i,-0.00056905+0.0020127i,-0.0010704+0.0017052i,-0.00018665+0.0014321i,0.00046656+0.0006582i,0.00086495-0.0010046i,0.00089876-0.0015917i,0.00048358-0.001103i,-0.00014959-0.00053392i,-0.00036676-0.00044861i,-0.00021487-0.00040695i
-0.0013701-0.0012687i,-0.0013646-0.0026251i,-0.00040391-0.00072387i,0.0012058+0.0014009i,0.0024133+0.0014375i,0.0020432-0.00091499i,0.0010143-0.0031527i,-0.00063929-0.0041752i,-0.0013691-0.0032529i,-0.0014701-0.00096056i,-0.0013353+0.0001537i,-0.00064855-0.00017525i,-0.00025186-0.00072745i,-0.0009141-0.0013372i,-0.0011164-0.0013141i,-0.00061722-0.0013298i,-0.00066318-0.0010705i,-0.00059088+0.00057652i,-0.00064197+0.0017318i,-0.00032478+0.001097i,7.4207e-05+0.00030033i,-0.00065035-0.00057189i,-0.00045599-0.00070091i
0.0040873-0.00023894i,0.0040811-0.00099838i,0.0028947-0.0021193i,0.00031286-0.0016454i,-0.00028178-0.0001157i,0.0007772+0.00051825i,0.00061969+0.00027223i,-0.0010319+0.00052501i,-0.0017516+0.00051939i,-0.0011418-9.5242e-05i,-5.4417e-05-0.00025679i,0.0012021-0.0002382i,0.0011268-0.00027935i,0.00058972-0.00061819i,0.00093661-0.00093096i,0.00087293-0.00094372i,-4.3796e-05-0.00024168i,-0.00071942+0.0013556i,0.00039803+0.0026271i,0.0014991+0.0025279i,0.0013607+0.0018086i,0.00096061+0.0010573i,0.0007699+0.00044712i
