-0.00072328-0.00026553i,-0.0018225-0.0017287i,-0.0014475-0.0019843i,0.00014124-0.00013701i,0.00132+0.0015964i,0.00049901+0.0014974i,-0.0015089+0.00073186i,-0.0023947+0.00023525i,-0.0013203+0.00031479i,8.4136e-05+0.00030763i,0.00039958+0.00022195i,0.00050482-3.6159e-06i,0.00083419-2.2431e-05i,0.00053533+0.00053892i,0.00027171-5.0002e-05i,-0.00019981-0.00045117i,-0.00037836-5.1734e-05i,4.0323e-05+8.3736e-05i,0.00017093+0.00028679i,-0.00023381+9.0451e-05i,0.00025532-0.00016738i,0.0010759-0.00052491i,0.0011015-0.00030476i
0.00094149-0.00020321i,0.00098949-0.00057926i,0.0012213-0.0010553i,0.00067752+0.00030493i,-0.00045089+0.00076847i,-0.0004539-0.00046664i,0.00050284-0.00017754i,0.00075644+0.00017891i,0.00037668-0.00035365i,2.742e-05-3.2605e-05i,0.00040289+0.00019725i,0.00061329+9.3413e-05i,-1.3711e-06+0.00019077i,-0.00040843+0.00023703i,-9.9177e-05+0.00022427i,0.00017739+5.3694e-05i,0.00023126-0.00024527i,0.00032197+0.00014647i,-0.00029803+0.00031154i,-0.00070192-0.00043448i,-0.00035149-0.00085735i,-0.00027307-0.00088257i,-0.00010281-0.00094341i
0.002095-0.00061528i,0.0014035+0.0006056i,0.0018247+0.0013422i,0.0016331+0.00057681i,0.00048612+0.00017126i,-0.00030589+0.00068289i,-0.00055239+0.0010279i,-0.00085318+0.00043701i,-0.00065118+0.00011687i,-0.00057683+0.00035475i,-0.00078192+0.00028986i,-0.00089396+0.00030566i,-0.00053922+0.0006522i,5.1681e-05+0.0012217i,0.00035179+0.00053713i,0.00037506-0.00048596i,0.0004383-0.00025894i,0.00086003-7.4991e-06i,0.00051879-0.00012639i,0.00033356-0.00013596i,-5.9419e-06+3.4586e-05i,-0.00030773-0.00044124i,0.00010397-0.00085711i
0.00020474-0.0022808i,-0.00032506-0.0013546i,-0.0011533-0.00088832i,-0.001168-2.9327e-06i,-0.00040719+0.0014186i,0.00042276+0.0021489i,0.00085022+0.0011137i,0.0005281+0.00017697i,0.00012883+0.00037875i,-0.00083879+0.0010628i,-0.00027198+0.00067639i,0.0013075-0.00044038i,0.0010808-0.0011098i,-0.00018308-0.00084939i,-0.0010916-0.00046973i,-0.0016595-5.7486e-05i,-0.0008356+0.00018625i,8.8757e-05-0.00011357i,-0.00051638-0.00093091i,-0.00033521-0.001208i,0.00072113-0.00063888i,0.00074293-0.00036725i,9.9854e-05+0.00018385i
-0.0002128+0.00090368i,0.00093158+0.00094518i,0.0017486+0.0016012i,0.0023672+0.00087017i,0.0023111-0.00014029i,0.0017664+0.00065524i,0.0008836+0.0010131i,0.00035631+0.00090509i,0.00034788+0.0003138i,-6.0594e-07-0.00049252i,-0.00055135-0.00028483i,-0.00012366-1.5775e-06i,6.5129e-06+4.0375e-05i,-0.0010085-3.6927e-05i,-0.00082689-0.00058276i,-0.00039103-0.00079502i,-0.00054603-8.9486e-05i,-0.00048115+0.00039228i,-0.00017099-0.0002603i,0.00049293-0.00067267i,0.00083746-0.00039505i,0.00073921-0.00024371i,-0.00035327-0.00023167i
0.0015136-0.00030953i,0.00028888-0.00013542i,0.00038776-0.00018556i,-0.00060572-0.00076467i,-0.0016184-0.0013264i,-0.0002797-0.00097515i,0.00084681-0.00047916i,0.00072879-5.0108e-05i,0.00024577-0.00021639i,0.00033049-0.00090093i,0.00051018-0.0009418i,0.00016564+0.0002544i,0.00090376+0.00070066i,0.0010882+0.00070486i,-0.0002881+0.00059687i,-7.1273e-05-0.00015625i,0.00038582-0.0003049i,-0.00036394+0.00051182i,-0.00028616+0.00055742i,0.00060242-0.00017018i,0.00071769-0.0005137i,0.0001993-2.5841e-05i,-8.9708e-05+0.00014404i
-0.0022539-0.0016218i,-0.0015888-8.2297e-05i,-0.0014242+4.5338e-05i,-0.00091642+0.00011332i,0.00036367+0.0012864i,0.0013601+0.0013723i,0.0007722+0.0010825i,-7.8566e-05+0.00063268i,0.000219+0.00027598i,-0.0001292+0.0010179i,2.1834e-05+0.0015338i,0.00035666+0.00086436i,0.00050258-0.00051735i,0.0013656-0.0011189i,0.00059557-0.00087052i,-0.00081723-0.00077455i,-0.00061344-0.00013289i,-0.00042515+0.00036542i,-0.00065347+0.00012567i,-0.00071829+1.5041e-05i,-5.4497e-05-0.00025401i,0.00072954-6.5715e-05i,0.00023542+0.00068887i
-0.00091897+0.0012378i,-0.00069512+0.0006286i,0.00033599+0.00033109i,0.0005716+8.9607e-05i,0.00089486-0.00015841i,0.0016506-0.00023318i,0.0016904+1.2388e-05i,0.00060485-0.00016124i,-0.00012843-4.3805e-05i,0.00014329-0.0004483i,0.00015234-0.00084642i,-0.00070584-0.00014809i,-0.00051823-0.00014918i,-0.00060105-0.00029139i,-0.00077363+0.0003401i,0.00030097+0.00036243i,0.00070607+0.00027193i,0.00039006+0.00021838i,0.0004448-8.4852e-05i,0.00052391+0.00014875i,0.00011874+0.00049589i,-0.00031524+0.00074241i,-0.00070951+0.00062261i
-0.0018774+0.0005067i,-0.00078909+0.00055567i,-0.00018987+0.00077117i,0.0004281+0.00072748i,0.00050691+0.0011765i,0.00019742+0.00074335i,0.00036803-0.00023091i,0.00015542-0.00051049i,-0.00048108-0.00010847i,-0.00023672+0.00087777i,-0.00032602+0.0013177i,-0.00079767+0.00033469i,3.9097e-06-0.00052225i,0.0012671-0.00042547i,0.0010542+0.00020265i,0.00010081+0.00036414i,-0.00038311-8.5331e-05i,7.3812e-05-0.00028065i,-0.00023682+0.00063i,-0.00056918+0.00064353i,-0.00031719+1.2028e-05i,4.025e-05-0.00036638i,0.00026337-1.1784e-05i
0.00012551+0.0017758i,0.00012996+0.0011201i,1.9056e-05+0.001569i,0.0010578+0.0023368i,0.0015622+0.0018061i,0.0017233+0.00029807i,0.0015271-9.743e-05i,0.00079586+0.0011216i,8.0547e-05+0.0011774i,2.6303e-05+3.8604e-05i,-0.00013622-0.00084932i,0.00010165-0.0006005i,0.0006194-0.00019081i,-0.00013993+0.00015788i,-0.00058653+0.00045439i,-0.00020397+0.00064684i,-9.5749e-05+0.00047937i,0.00027281-0.0002159i,0.0007775+0.0001432i,0.00067962+0.00035224i,0.0008736+0.00019311i,0.00014314-0.0002111i,-0.00102-0.0010203i
0.0013301-0.00089522i,0.0020416-0.00075097i,0.0018839+1.2289e-05i,0.0010721+0.00051855i,0.00049661+0.00066782i,0.00091062+0.0007934i,0.00093771-0.00013308i,0.00045377-0.00086772i,0.00020188-0.00089599i,-0.00018373-0.0011307i,-6.2794e-05-0.00049751i,0.00010493+0.00058369i,0.00011206+0.00088597i,0.00036696+0.00050177i,1.2319e-05-0.00015372i,-0.00070976-0.00099669i,-0.00078818-0.00106i,-0.0005215-0.00053778i,-0.00085373+0.00069297i,-0.00071808+0.0011093i,0.00013552-0.00044467i,-0.00024809-0.00095483i,-0.00057053-0.00023015i
-0.0011499-0.0018065i,-0.0015991-0.0013413i,-0.0028845-0.00079551i,-0.0026511+0.000277i,-0.0014773+0.002024i,-0.00018109+0.0014051i,0.00045058+0.00017972i,-5.2258e-05-0.00010691i,-0.00061735+0.00019541i,-0.00099042+0.0004132i,-0.00066307+0.00040463i,-0.00025269-0.00052518i,0.00024312-0.0013328i,0.00081725-0.0010092i,0.00036583-0.00024593i,-5.1087e-05+3.7999e-05i,4.9868e-05-0.00036681i,-0.00049492-0.0005988i,-0.00065847-0.00049425i,0.00010456-0.00010886i,2.4759e-05+0.00010931i,-0.00064316+4.6739e-05i,-0.0006843-7.787e-05i
-0.00051195-0.00032622i,-0.00050708-0.00014773i,-0.00050848-0.00063499i,-6.8469e-05-0.00046233i,4.7389e-05-1.3527e-05i,-7.157e-05-0.00015268i,0.00040814-0.00012427i,-0.00025143+0.00018108i,-0.0011975+0.00047661i,-0.00096372-0.00037424i,-0.00029051-0.0012153i,0.00015624-0.00083894i,0.00013096-0.00033909i,-3.6904e-05-0.0001347i,0.00012121-0.00052287i,0.00017795-0.00080477i,0.00013761-0.00017851i,-0.00011747+0.00022782i,-0.00075538+4.5206e-05i,-0.00017406-0.00033634i,0.00029555-4.6673e-05i,-0.00021671-0.00041536i,-0.00020087-0.0015257i
0.00048582+0.0015054i,0.00013608+0.0010642i,-0.00077643+0.00076611i,-0.0007866+0.0010886i,0.00044873+0.0015294i,0.0015859+0.00061432i,0.0018807-0.00017498i,0.00066273-0.00043532i,-0.00061042+6.9236e-05i,-0.00083922+0.0001147i,-0.00043638+0.00017502i,3.4242e-05+0.0004451i,-0.00060087-0.00018556i,-0.0011758-0.00030889i,-0.00026239+0.00028022i,0.0006074+0.00030356i,0.00032395+0.00010961i,3.6286e-06-0.00029312i,-0.00025764-0.00024973i,-0.00086392-0.00033509i,-0.0010012-0.0011478i,-0.00075294-0.00086445i,0.00019751-0.00011515i
