0.00050008+0.00094057i,0.00042658-0.0010545i,-3.8593e-05-0.0018037i,-0.00019138-0.0024451i,-0.00077208-0.0025046i,-0.0020565-0.0010805i,-0.0021215-0.00029491i,-0.00072919+0.00073797i,0.00059606+0.0010246i,0.00012267+0.00025477i,0.0002078+9.0834e-05i,0.00025842+0.00046768i,-0.00068898+0.00096804i,-0.00018002+0.0010266i,0.00062619+0.00056817i,0.00066068-0.00024047i,0.00046306-0.00039609i,0.00046699-0.00036723i,0.00027248-0.00046697i,-0.00035606-0.00060037i,-0.00083657-0.00091429i,-0.00046554-0.00060748i,2.5944e-05+0.00033919i
0.00088562-0.0011909i,0.00068564-0.001092i,4.281e-05-0.0028797i,-0.00034403-0.0028086i,-0.00064764-0.001404i,-0.00044174-0.00046368i,-0.0011407-0.00065935i,-0.0012491-0.0010395i,-0.00096539-0.00069927i,-0.0015295-0.00038386i,-0.0012011+0.00077654i,-0.00068603+0.0018102i,-0.00026452+0.001525i,0.00048056+0.00086184i,0.00029045+0.00020841i,0.00014894-0.00041141i,0.00065162-1.0517e-05i,0.0010817+0.00040206i,0.001068+5.7784e-05i,0.00062737+0.00042021i,-0.00013929+0.00058163i,-0.000287+9.342e-05i,-0.00035726+0.00022627i
-0.00023518-0.00042253i,0.00049011-0.00037883i,0.00023377+0.00020771i,-2.1028e-05+0.00087654i,-0.00034065+0.0016831i,-0.00023999+0.0012152i,-0.00049872-0.00067037i,-0.0011366-0.0015062i,-0.00088053-0.0014555i,-0.00052045-0.0010501i,-0.00070387-0.0007041i,-0.00050794-0.00077634i,0.00033841-0.0003257i,0.00076381+0.00034729i,0.000414+0.00098764i,0.00058384+0.0014958i,0.00046775+0.00090947i,0.00064516-0.00022318i,1.463e-05-0.00014901i,-0.00031868+0.00042607i,0.00047021+0.00025728i,-0.00033267-0.00027853i,-0.00032827-0.0010271i
-0.00099653-0.0011845i,-0.00071016-8.4184e-05i,-0.00092054+0.00044282i,-0.0013591+0.0003561i,-0.0014331+0.00059084i,-0.001112+0.00017483i,-0.00086068-0.0010097i,-0.00035411-0.00084558i,-0.00094988+0.00044317i,-0.0017116+0.00062753i,-0.0013415+0.00054257i,-0.00055621+0.00087893i,0.00066688+0.00036916i,0.0010695+0.00042026i,5.5317e-05+0.00025309i,-0.00033885+7.4066e-05i,4.8753e-05+0.00084709i,0.00091034+0.00060799i,0.0010531-0.00010472i,0.00030376-0.00089557i,0.00044109-0.001073i,0.00075965-0.00046517i,0.00026976-7.3644e-05i
0.0017862-0.00062946i,0.0019099-0.00052386i,0.0011488-0.0015127i,-0.00046052-0.0020757i,-0.0015204-0.0016385i,-0.0016205-0.001104i,-0.00087526-0.0014751i,-0.00065947-0.0019941i,-0.00079616-0.0016877i,-0.0010216-0.000785i,-0.00099419+0.00025856i,-3.6081e-05+0.0011596i,0.00051656+0.00095737i,0.0007058+0.0002782i,0.00060353+0.00025552i,0.00046914+9.8518e-05i,0.00033898+2.9263e-05i,0.00037656-0.00011036i,0.0008307-2.9523e-05i,-0.00011665+0.00062163i,-0.00054339-0.00023384i,2.9322e-05-0.001056i,0.00054356-0.00041411i
-0.00051445-0.0011092i,0.00029738-0.00015637i,0.00018995+0.00056333i,-0.00044973+0.00067498i,-0.00052645+0.00055748i,4.0671e-05-0.00020446i,0.00018572-0.0010012i,-0.00012287-0.00074577i,-0.00059869+4.5422e-06i,-0.00093577-3.5879e-05i,-0.0011018-0.00026721i,-0.0010343+0.00015331i,-1.1392e-05+0.00062315i,0.00029926+0.0010832i,-0.00066527+0.001006i,-0.00047184+0.00034559i,0.00061043+0.00041828i,0.00068465+0.00017537i,0.0011387-0.00039234i,0.00049297-0.00034508i,-0.00046451-0.0007718i,5.9187e-05-0.00090466i,0.00044746-0.00065449i
0.002329-0.00083143i,0.0021742-7.3326e-05i,0.0017013-0.001047i,0.00060552-0.0022216i,-0.00094434-0.0019617i,-0.0015171-0.0014975i,-0.0012995-0.0013204i,-0.000935-0.0010375i,-0.0010752-0.0009388i,-0.0010172-0.0005795i,-0.00027838-9.2576e-05i,8.4851e-05+0.00056036i,0.0003136+0.0015163i,0.00081659+0.0013829i,0.0010925+0.00074378i,0.0011746+0.00050142i,0.001442+0.0004981i,0.0013838+0.00047508i,0.0010229-0.0001758i,0.00017186-0.0005646i,-0.00034389-0.00020573i,0.00022416+0.00025169i,0.00050287+0.0005099i
-0.00016964+0.00062645i,-0.00029441+0.00017656i,-0.0010779-0.00061241i,-0.00063484+6.1343e-05i,0.00066762+0.00086614i,0.00054177+0.00045714i,-0.00017779-0.0010371i,-0.00049679-0.001591i,-0.001134-0.0010097i,-0.0024854-0.00064567i,-0.0028056+7.5681e-05i,-0.00063341+0.00066211i,0.0013708+0.0006264i,0.0012542+0.00087284i,0.00028935+0.0012259i,-0.00039646+0.0013641i,-0.00010863+0.0016442i,0.00068729+0.0018354i,0.000463+0.00064759i,-5.0607e-05-0.0003719i,-0.00041419-0.00055144i,-0.00039927-0.00050716i,-0.00034867-0.00013801i
-0.00054439+0.00095148i,-0.00067875+0.00078305i,0.00050276+0.0010651i,0.00092964+0.0011816i,0.00033206+0.0012085i,-0.00032548+0.00069968i,3.1204e-05-0.00038274i,5.6023e-05-0.00056005i,-0.00066402-0.00061003i,-0.0010421-0.00096589i,-0.0010345-0.00048216i,-0.0014692+5.3056e-05i,-0.00094914+0.00050553i,-0.00013585+0.00065759i,0.00032074+0.00044937i,0.00039542+0.00042872i,0.00033919+0.00097662i,0.00039045+0.0012594i,3.5695e-05+0.00097462i,-0.00061926+0.00032797i,-0.00095229-3.7701e-05i,-0.00035958+0.00038607i,-8.2829e-05+0.00042073i
0.0009072-0.0011486i,0.00048618-0.0016844i,0.00084139-0.0014825i,-0.00066039-0.00044159i,-0.0015276-0.00062953i,-0.0007089-0.00080502i,-0.00070298-0.00057924i,-0.00061817-0.00038531i,-0.00072813-7.1725e-05i,-0.0013948-0.00089949i,-0.0008955-0.00053187i,0.00028586+0.00058883i,0.00078524+0.00045i,0.0012008+0.00036087i,0.00098107+0.00091835i,-1.3669e-05+0.0012343i,-0.00047633+0.0011172i,4.2939e-05+0.0010819i,-0.00043319+0.00059523i,-0.00043876-8.3311e-05i,0.00026218-0.00062481i,-0.00018934-0.00057335i,-0.00031481-0.00024677i
-1.6543e-05-0.00016691i,-0.00059818-0.00079378i,-0.0010803+0.0010562i,-0.00076465+0.0011804i,-0.00061844+0.00016679i,-0.00044021-2.883e-06i,-3.4777e-05-0.00056001i,-0.00023249-0.00082655i,-0.00045601-0.00092611i,-0.0010798-0.00050789i,-0.0019227+0.0013003i,-0.001357+0.0021871i,-0.00038982+0.0012325i,-5.3713e-05+0.00019031i,0.00016631+5.1837e-05i,0.00025215+0.00011558i,0.00051726+0.0003332i,0.00066236+0.0006696i,-0.00025579+7.9711e-05i,-0.00078986-0.00073075i,-7.5814e-05-0.00025693i,9.0326e-05+0.00063697i,-0.00026106+0.00094058i
0.00010559+0.0024576i,0.0011102+0.0007853i,0.0024995+0.0004i,0.0024897+0.00092097i,0.0014304+0.0010862i,0.00091869-7.2399e-05i,-2.096e-05-0.0011464i,-0.001363-0.00081857i,-0.0010893-0.00040806i,-0.00078392-0.00058919i,-0.00082384-0.00034372i,-0.00041187-0.00028224i,-0.00021597-0.00056506i,-0.00034928+0.00028988i,-0.00033382+0.00044612i,-0.0001611-0.00029861i,-0.00011963+0.00010953i,0.00027228+0.00069643i,0.0007625+0.00043178i,0.00057126+0.0001805i,-8.9003e-05+0.00075214i,-0.00072867+0.00062402i,7.9779e-05+0.00011323i
0.0017979+0.00037085i,0.0017727+0.00012791i,0.001076-0.00013951i,9.4096e-05+7.2839e-05i,-0.00030601-0.0010839i,-7.9062e-05-0.001192i,-0.00024791-0.00083964i,-0.00019985-0.00067384i,-0.0011284-0.00011404i,-0.0015774-9.501e-06i,-0.00090962+2.3378e-05i,-0.00021868+0.00059717i,0.0002983+0.00051416i,0.00022282+0.00051789i,0.00056439+0.00085842i,0.00054659+0.0011703i,-0.00063461+0.0015201i,-0.00093498+0.00058576i,-0.00049194-7.4182e-05i,-0.00052602-2.8039e-05i,0.00024278+3.3734e-05i,0.00017963-0.00021732i,-0.00025894-8.6923e-05i
-0.0023322+0.0011134i,-0.0025232+0.00029507i,-0.0016959+0.0013292i,-4.3876e-05+0.0013194i,0.00078963+9.6654e-05i,0.0012325-0.00062185i,0.0018075-0.00080102i,0.00090757-0.00077323i,-5.1494e-05-0.0007681i,5.5608e-05-0.00017423i,-0.00061747+0.0010933i,-0.00039717+0.0012252i,0.00054547+0.00064297i,0.00032493-7.4609e-06i,0.00044777-0.00026294i,0.00074327+0.0002633i,0.00052427+0.00033878i,0.00052263+0.00031935i,0.00050637-0.00028637i,0.00059123-0.0008129i,0.00075099-0.00033169i,-0.00012652+7.4996e-05i,-0.00080932+0.0004309i
0.0016781-9.5261e-05i,0.0010868+0.00037205i,0.0011859-0.00081074i,0.00067828-0.0010227i,-0.00019359-0.00049027i,-0.00036733-0.00049856i,-0.00022094-0.00097278i,-0.00041017-0.0019981i,-0.00049724-0.0024849i,-0.00074837-0.0019296i,-0.0012484-0.001447i,-0.0003318-0.0011069i,0.00073109-0.00033277i,0.00055546+0.00081467i,0.00024797+0.0015508i,1.0674e-05+0.0012495i,0.00065882+0.00055174i,0.0016127+0.00028663i,0.0010234-0.00016844i,-0.00037319-0.00071484i,0.00015153-0.00045713i,0.00093709-0.00023347i,0.000905-5.4463e-05i
-0.00084918-0.00014387i,0.0003581-0.00087786i,0.00047044-0.0017899i,0.00031632-0.0013892i,-8.7351e-05-0.00085755i,-0.00041732-0.0012307i,9.8827e-05-0.00090686i,0.00027728-0.00091697i,-0.0004532-0.0016166i,-0.0012849-0.0016257i,-0.0010832-0.00058677i,0.00043267+0.00061859i,0.00086392+0.00089168i,0.00058289+0.00098925i,0.00059055+0.00082052i,0.00047593+0.00095961i,0.00068951+0.00096295i,0.0014521+0.00011656i,0.0014257+2.056e-05i,0.00090657+0.00038591i,-0.00024477+0.00031989i,-0.0014415-1.0067e-07i,-0.00093496-0.00015883i
0.0008194+0.0022828i,0.0011148+0.0016129i,0.0023624+0.00083154i,0.0030065+0.00026801i,0.0022995-0.00050979i,0.00064817-0.0017917i,0.00021324-0.0023436i,0.00078415-0.002081i,0.00099995-0.0020222i,-0.00046292-0.0016063i,-0.0015901-0.00049332i,-0.00073096+0.00063141i,1.207e-06+0.0012251i,0.00025584+0.0012529i,0.00099147+0.001295i,0.0012179+0.00079883i,0.00078792-1.1064e-05i,0.0003032-0.00015958i,-0.00013226-0.00026794i,-8.5594e-05-0.00088455i,8.7323e-05-0.001514i,0.00043503-0.0011369i,0.00051176-9.7475e-05i
-0.0020127-0.00051671i,-0.0014701+0.00015966i,-0.0013775+0.001889i,-0.00053849+0.0032049i,0.00043124+0.0023281i,0.00087703+0.00016496i,0.0004199-0.00098996i,0.00011748-0.00040255i,-0.00041012+0.00014489i,-0.0012305+0.00068843i,-0.00086506+0.00088414i,0.00035877+0.0011235i,-0.00051087+0.00056791i,-0.0010103-4.4297e-05i,0.00022167+0.00061421i,0.00050434+0.001646i,0.00027874+0.0020779i,-0.00042125+0.0011787i,-0.00022488-6.6243e-05i,0.00017889-0.00029398i,0.00012813-0.00019213i,-0.0002052-0.00014327i,-0.00029431-0.00056079i
0.0017006+0.00016511i,0.0014523-0.00024049i,0.0003889-0.00086036i,2.8504e-05-0.0009455i,-0.00018904-5.4112e-05i,-0.00064918-0.00069758i,-0.00066114-0.0015039i,-0.0007104-0.0011151i,-0.00099633-0.00087335i,-0.0018757-0.00080247i,-0.0022938-0.00010552i,-0.0011253+0.00051176i,0.00028661+0.00031817i,0.00026676+0.00052491i,0.0002697+0.0011616i,0.00058681+0.0014831i,0.00013025+0.0012877i,-7.3119e-06+0.00060076i,-0.00047874+1.1603e-10i,-0.00081438-2.7068e-05i,-0.00029213+9.4593e-05i,0.0001212-0.00036405i,4.5923e-05-0.00052043i
-0.00072839-0.00065984i,-0.000256+0.00084945i,0.00077536+0.0017867i,0.0012271+0.00101i,0.0013208+5.953e-05i,0.00079653-0.0008648i,-0.00034517-0.001607i,-0.00028907-0.001503i,-0.00014876-0.00079407i,-0.00053464-0.00027482i,-0.00065719+0.00086667i,-0.00048244+0.0011996i,3.0859e-05+0.00030679i,-0.00021204+0.00058028i,-0.00016105+0.0007289i,0.00022946+0.00095556i,0.00033022+0.0008369i,1.9128e-05+0.0001427i,-0.00092223+0.00019945i,-0.0010409-0.00010096i,-0.00053477-0.00038945i,-0.00028727-0.00035383i,-8.5124e-05+0.00017411i
0.0010466+0.0018424i,0.00067059+0.0015112i,0.00073659+0.0012629i,0.00057817+0.0009973i,-0.00054691+0.0009301i,-0.00099222-0.00040528i,-0.00067406-0.0011802i,-0.00053521-0.001188i,-0.00036771-0.001097i,-0.0004315-0.00026733i,-0.00013718+0.00080558i,0.00022936+0.0011092i,0.00016058+0.00087688i,0.00035429+0.000453i,0.0007094+0.00062946i,0.0010626+0.00067668i,0.0011064+0.00017111i,0.00072162-0.00027393i,0.00064867-0.00030228i,0.00032489-0.00052726i,-6.058e-05-0.00088257i,0.00073071-0.00069185i,0.00090599+0.00012602i
-0.00034331-0.00085439i,-0.00050243-0.00080743i,-0.0022913+0.00026738i,-0.0021295+0.00097487i,-0.00073389+0.00048703i,0.00037845-0.00041579i,0.0011121-0.00051616i,2.453e-05-0.00080297i,-0.0012162-0.001201i,-0.0018018-0.0011066i,-0.001366-0.00046015i,0.0001411+0.00035184i,0.00073725+0.0010073i,-3.278e-05+0.00079003i,-0.00035217+0.00014978i,-7.3432e-05-3.4117e-05i,0.00019039-0.00018033i,0.00013827-1.7218e-05i,1.1455e-05+0.00042503i,-0.00034418-5.6319e-05i,-0.00098345+6.5265e-06i,-0.00096885+0.00041362i,-0.00089834+0.00030771i
-0.00025947+0.0008471i,-0.00037419-0.00012778i,-0.0012422-0.00048956i,-0.0010377+0.00078423i,-0.0010535+0.0012263i,-0.00065476+3.7674e-05i,-0.00016227-0.0013133i,-0.00046411-0.0018529i,-0.00056966-0.0017274i,-0.0012411-0.0012271i,-0.0012352-0.00011603i,-0.00018481+0.0010315i,0.00060342+0.0012455i,0.00042903+0.0012548i,0.0003263+0.0014339i,0.00044365+0.0011198i,-0.00040906+0.00099441i,-0.00066448+0.00042678i,0.00014054-0.00030604i,0.00046452-0.00088196i,1.9789e-05-0.00050089i,-0.00019693+5.5741e-05i,0.000456+0.0005416i
-0.0016553-0.00086381i,-0.0018098-0.00078794i,-0.0021198-0.00047417i,-0.0015118+0.00016999i,-0.00091451+0.00045174i,-0.00054496+0.00019336i,-3.0189e-05-0.00045222i,-0.0002499-0.0010609i,-0.0013352-0.00024429i,-0.0015788+0.00046016i,-0.0010116+0.00053882i,-0.00025134+0.00040138i,0.00059211+0.00073063i,0.00046497+0.0021049i,0.00025375+0.0017739i,0.00024374+0.00083945i,-0.00010542+0.00054215i,-0.00015191-8.3368e-05i,0.00020594-0.00046468i,0.00048735-0.00033745i,0.00061956-0.0003445i,0.00071274+0.00015158i,0.00030578+0.00043067i
0.0017327-0.00046107i,0.0013219-0.001367i,0.0019079-0.0013477i,0.0012232-0.0013744i,0.00032174-0.0023307i,-0.00066214-0.0026239i,-0.00089705-0.0020758i,-0.0008504-0.0015693i,-0.00083216-0.0011675i,-0.0012056-0.00083576i,-0.0012899+0.00066927i,-0.00049289+0.0015028i,0.00084279+0.00090468i,0.0013179+0.0010637i,0.0007513+0.0014438i,0.00065739+0.0011892i,0.00048985+5.7682e-05i,3.594e-05-0.00031048i,-2.8142e-05-0.000299i,-8.9776e-05-0.0007485i,0.00056987-0.0005704i,0.00038332+0.00061668i,-0.00022379+0.0010275i
-0.001114-0.00038984i,-0.00073022+0.00050495i,-0.0003973+0.0013647i,-0.00027727+0.00067952i,0.00025389+0.00065923i,0.00047726+0.00086279i,0.000554-9.2223e-05i,-1.2572e-05-0.00084692i,-0.0012235-0.0012814i,-0.0014573-0.0011823i,-0.00047798+0.00021696i,3.7486e-05+0.0017353i,-0.00050423+0.0022177i,-0.00035504+0.0020938i,0.00052996+0.0016991i,0.00050336+0.0013925i,0.00076865+0.0015339i,0.0011834+0.00046727i,0.00020545-0.00089528i,-0.00043583-0.00041846i,-0.00011678+0.00014859i,0.00050738+0.00026504i,0.0004598-0.00078414i
0.002208-0.0014096i,0.0014509-0.0021256i,0.0003529-0.0031816i,-0.001193-0.0025199i,-0.0023489-0.0014703i,-0.0023233-0.0009549i,-0.0015335-0.00074357i,-0.0014645-0.0016619i,-0.00091446-0.0022432i,-0.0010549-0.0011525i,-0.0016829+0.00025161i,-0.00094124+0.0014746i,0.00017315+0.0018873i,0.00035858+0.0015462i,4.9375e-05+0.0005686i,-0.0001254+0.00025928i,0.00032717+0.00071401i,0.0008353+0.00049258i,0.00052702-0.00017945i,-5.741e-05-0.00034101i,-0.00027891-0.00036566i,-0.00061133-0.00061625i,-0.00055234-9.9926e-05i
-0.00033818-0.00082834i,-0.00076318-0.00032267i,-0.00049321-0.00040428i,-0.00040533+0.00034427i,-2.4076e-05+0.00012301i,0.00010046-0.00059089i,0.0001324-0.00048537i,-0.00035455+0.00011311i,-0.001239+3.2003e-05i,-0.0017081+0.00018927i,-0.00068074+0.00076849i,0.00048873+0.001174i,0.00048805+0.00107i,0.00082448+0.0001712i,0.0014806-0.00021952i,0.0015355+8.0367e-05i,0.00092446+0.00047161i,0.00060155+0.0007513i,7.4314e-05-0.00015477i,-0.00046824-0.00076683i,-0.00044986-0.00068046i,-0.00027651-0.00076164i,-0.00014192-0.00095421i
0.0014056-0.0010216i,0.00037526-0.0013285i,-0.00039224-0.0013534i,-0.0012968-0.00099219i,-0.0016568-0.00093323i,-0.00045509-0.00097882i,0.000287-0.0011701i,0.00045713-0.0015218i,-6.5726e-05-0.0011152i,-0.00083432-0.00055416i,-0.00080302+0.00020312i,-0.00010849+0.00074008i,0.00074185+0.00039023i,0.00070526+0.00076286i,2.0421e-05+0.0014604i,0.00048549+0.0015319i,0.0013095+0.0015284i,0.00081379+0.00054914i,0.00041984-0.00059243i,4.7769e-05-0.0005431i,-0.0002156-0.00031288i,-1.5865e-05+0.00041714i,-0.0001732+0.00094646i
0.0003036-0.0017345i,0.00022789-0.0021903i,-0.0015967-0.0028182i,-0.0021048-0.0017295i,-0.0022762-0.00024234i,-0.0022748-0.00050731i,-0.0010889-0.0010683i,-0.0011322-0.0016728i,-0.0016702-0.0028433i,-0.0019439-0.0019106i,-0.0017418+1.6544e-05i,-0.0004087+0.0011736i,0.0012145+0.0017499i,0.0016876+0.00061352i,0.0012882+0.00022488i,0.0013226+0.0003751i,0.0013145-0.00025811i,7.1245e-05-0.00059962i,-0.00076784-0.0006388i,-0.00021382-0.00052097i,0.00032612-0.00036364i,-0.0002963-0.00021625i,-0.00085064+0.00032624i
0.0020741+0.0014007i,0.0021423+0.00095725i,0.0017821-0.00025189i,0.0013287-0.00045804i,0.00071989+0.0001424i,-0.00033758-0.00070378i,-0.00053081-0.0010263i,-0.00032609-0.00019038i,-0.00071588-0.00086835i,-0.0014011-0.0012653i,-0.0017305-7.6259e-05i,-0.00075652+0.00064032i,0.00062048+0.00055747i,0.00019077+0.00081851i,-0.00033489+0.00061011i,-0.00025684+0.00025254i,4.1189e-05+0.0004369i,0.00070888+5.5075e-06i,0.0014246-0.00039728i,0.00091249+7.736e-05i,-0.00043516+0.00048848i,-0.0012548+9.3184e-05i,-0.0015544-0.00062259i
-0.0022526-0.0002914i,-0.0011676+3.7376e-05i,-0.0011386+0.00069651i,-0.0020362+0.00055475i,-0.00087804-0.00041438i,0.00085379-0.0011029i,0.00042598-0.0013491i,4.3387e-05-0.0013749i,0.00012085-0.0014152i,0.0005734-0.0015547i,0.00036003-0.00049514i,0.00053656+0.0005145i,0.00075293+0.00053017i,0.00018253+0.00066365i,-0.00015923+0.0001427i,-0.00043152-0.00027992i,-0.00013439+0.00045117i,0.00024946+0.00062006i,5.8605e-05+0.00024132i,0.00023474-0.00031016i,0.00031511-6.8846e-05i,-0.00024854+0.00014857i,-0.00073559-0.00033487i
-0.00040468-0.0016684i,-0.00081774-0.0017885i,-0.0013686-0.0016544i,-0.00171-0.00064504i,-0.0010168+0.00031711i,-0.00013734-8.6748e-05i,-0.000434-0.001299i,-0.00045166-0.0017401i,-0.00028396-0.0014956i,-0.001094-0.00091573i,-0.0018659+0.00014901i,-0.0013231+0.0012595i,-0.00049959+0.0011904i,-0.00031363+0.00052256i,-0.00036168+0.00049068i,-0.00014395+0.00077029i,-0.0003538+0.0016866i,-0.00059009+0.0016995i,-0.00038867+0.0004861i,-0.00042376-0.00055445i,-0.00036903-0.00078666i,-0.00047784-0.00098792i,-0.00037835-0.0011346i
0.00012027+0.00028137i,-0.00036541+0.00089844i,-0.00171+0.00056577i,-0.0020399+0.00064766i,-0.001534+0.00022162i,-0.00082642-0.00082468i,-0.00048941-0.0017933i,0.00020859-0.0022821i,0.00047378-0.00193i,-0.00010166-0.0012738i,-0.00057096-0.00028455i,-4.8934e-05+0.0011813i,0.00036842+0.0012725i,0.00054829+0.00089766i,0.00037802+0.0011327i,-0.00022722+0.00033916i,-0.00016533-6.1749e-05i,0.000776+0.00089345i,0.001034+0.00044156i,0.0005804-0.00076867i,-2.338e-05-0.00081881i,2.8851e-05+0.00012668i,0.00037438+0.00068424i
-0.0015492-0.00014267i,-0.0015419+0.00014134i,-0.0012314+0.001028i,-0.0010643+0.0013353i,-0.00078265+0.00044436i,-9.724e-05-0.0009487i,-0.00040415-0.0013915i,-0.00073021-0.00097762i,-0.00093579-0.0011469i,-0.0014121-0.00093528i,-0.00072427+0.00042564i,-0.00067085+0.00081685i,-0.00053149+0.00099884i,0.00021235+0.0013878i,0.000621+0.00089558i,0.00041308-6.7579e-05i,0.00035324-0.00013628i,0.00045177+0.00055463i,0.0005987-0.00020025i,0.00023694-0.0013279i,-0.00046003-0.00081786i,-0.00018203-0.00046068i,0.00010842+0.000125i
-0.0015701-0.00039152i,-0.0013046-0.00029033i,-0.00081461-0.0004459i,0.00013189+0.00074338i,0.00018309+0.0012248i,-0.0003258+0.0012579i,-0.00047204+0.00054922i,-6.4344e-05-0.00070169i,0.00054997-0.0019806i,9.6416e-05-0.0020057i,-2.5237e-05-0.0010721i,0.00037633-0.00040229i,0.00011438-0.00031766i,-0.00022467-0.00059425i,-0.0010162-0.00069137i,-0.0009063+0.00037753i,-0.00043617+0.0013845i,-0.00010591+0.0011701i,0.00051537+0.00049484i,8.7228e-05+0.00026045i,-0.0005352+0.00025765i,2.4416e-05+0.00033333i,0.00041008+0.00045803i
-0.0026403-0.00069431i,-0.0020141-0.00054563i,-0.0032479+0.00073239i,-0.0030911+0.0027367i,-0.001484+0.0021049i,-0.00050472-0.00034172i,-0.00079964-0.0018778i,-0.00096127-0.0020894i,-0.00045406-0.00097029i,-0.00079823-0.00044888i,-0.0010632-0.00030496i,-0.0001591+0.00079634i,0.00055991+0.0012536i,0.00044211+0.00050471i,-0.00012279+0.00018963i,0.00025249+0.00051129i,0.0012736+0.00082233i,0.0012306+0.00035112i,-0.00014129+0.00020558i,6.8465e-05+0.00022114i,0.0006535-8.1201e-05i,0.00027169-0.0006018i,0.00033948-0.00019232i
-0.0014777-9.4429e-05i,-0.0015113-0.00021611i,-0.0011304+0.0007029i,-0.00083391+0.001063i,-0.00086615+0.00086105i,-0.0013251-0.00011804i,-0.0012-0.00079674i,-0.00072498-0.00095079i,-0.00048133-0.0012249i,-0.00091963-0.001018i,-0.00098634-0.00079427i,-0.00038552+0.00026769i,0.00039331+0.00089161i,0.00054502+6.7664e-05i,-0.00055022-0.00027462i,-0.0010568-0.00029397i,-0.00074606+0.00037611i,-0.00049671+0.00075485i,-0.00018184+0.00026593i,-0.00014584-0.00032687i,9.9253e-05-0.00023099i,3.0043e-05+0.00079911i,-0.00035646+0.00076818i
0.0017362+0.0015914i,0.0025054+0.0028692i,0.0029642+0.0023406i,0.0019002-0.00022476i,0.0010348-0.0019286i,0.00017498-0.0020932i,-8.7554e-05-0.0018716i,-0.00074794-0.0019397i,-0.001424-0.0015952i,-0.0016971-0.0012264i,-0.0017059-6.1372e-05i,-0.0011149+0.00093898i,-0.0004986+0.00020134i,-0.00056335-0.0007409i,-0.00068018-0.00010494i,0.00020908+0.00084503i,0.00055779+0.00086725i,1.3433e-05+0.00036516i,-4.0868e-05-0.00063536i,0.00032363-0.00091862i,0.00051638-0.00027146i,0.00050483+0.00011419i,0.00056608+0.00011646i
-0.00025202-0.0022816i,-0.00075106-0.0012917i,-0.0010055-0.0013911i,-0.00060224-0.00072267i,-0.00031453-7.3914e-05i,-0.0002991-0.00070448i,-0.00031659-0.001898i,-0.00060597-0.0022914i,-0.00067148-0.0017891i,-0.0010163-0.00050003i,-0.0012492+0.0013979i,-0.00038276+0.0017909i,0.00089904+0.0008282i,0.0010652+0.0009028i,0.00036411+0.00055849i,-2.9765e-05+0.00027889i,-0.00010995+0.00082972i,-0.00037834+0.00062769i,-0.00013676-0.0003108i,0.00015423-0.0012032i,-0.00034117-0.0012237i,-0.00027902-0.00041566i,0.00029721+2.411e-05i
-0.0014371-0.00099331i,-0.00098743-0.0004503i,-0.0016528-3.3587e-05i,-0.0018208+0.0012229i,-0.0016079+0.0023695i,-0.0012945+0.001617i,-0.00033172+0.00030442i,7.8904e-05-0.0003245i,-0.0012446-0.00075516i,-0.002407-0.00035666i,-0.0017443+0.00097361i,-0.0003152+0.0015292i,0.00046465+0.0008572i,0.00050858+6.4796e-05i,0.00047987-0.00034648i,0.00018807+0.0001611i,-0.00018539+0.0010228i,4.1813e-05+0.0011842i,-5.0135e-05+0.00059623i,-0.00085002-0.00075386i,-0.0011799-0.0018233i,-5.46e-05-0.0013971i,0.00095569-0.00036618i
0.0014233-0.00027699i,-5.6331e-05-0.0012143i,-0.0018373-0.0012803i,-0.0017567-0.00024489i,-0.00036162+0.00027802i,-0.00016785+0.00010057i,-0.00077948-0.00090999i,-0.00076181-0.0013975i,-0.00087158-0.0017472i,-0.0011762-0.0014197i,-0.00074069-0.00022055i,-7.3571e-05+0.00033545i,0.00018999+0.00053469i,-0.00012772+0.00071339i,0.00031458+0.00033232i,0.00028615+0.0004189i,-0.00059859+0.00096173i,-0.00065983+0.0010316i,0.00025695-0.0001236i,0.0001258-0.0010237i,-0.00016287-0.00050211i,0.00045479-2.5051e-05i,0.0006579+0.00028751i
-0.00016621+0.00060909i,-0.0002928-0.00059677i,7.5115e-05-0.0006021i,0.00065314+0.00010713i,0.00014619-0.00051826i,-0.00012791-0.0021173i,-0.00034393-0.0022672i,-0.00061275-0.0013112i,-0.001216-0.00068331i,-0.0022071-0.00082444i,-0.0020237-0.00028485i,-0.0010422+0.00021525i,-0.00042501-0.00035643i,0.00021247+7.1579e-05i,0.0011074+0.0006843i,0.00091259+0.00095568i,-4.1811e-05+0.00082612i,-0.00028137+0.0002969i,-4.1488e-05+0.00052588i,-0.00028999-7.3591e-05i,-0.00049709-0.00082175i,-5.6045e-05-0.00090611i,0.0001997-0.0005149i
0.00099675+0.0011861i,0.0011316+0.0011312i,0.0026984+0.00060286i,0.0030725+0.00071153i,0.0016858+0.0012802i,0.00053727+0.00065721i,0.00044586-0.00032415i,0.00045102-0.00033886i,-5.7499e-05-2.6975e-05i,-0.0006136-0.00029648i,-0.0011356-0.00015222i,-0.0011433+0.00041852i,-0.00069112+0.00061838i,-0.000186+0.00034602i,0.00088366+0.00055665i,0.0012177+0.0010881i,0.0008566+0.00098224i,0.0010766+0.00082007i,0.0010296+0.00046858i,0.00027633+0.00030222i,-0.00033916-0.00040683i,-0.0005742-0.00064068i,-0.00066047-0.00016851i
