-5.3467e-05-4.9488e-05i,0.00039503+0.00042186i,-0.00069746-0.00063251i,-0.0013949-0.0013275i,-0.0010431-0.0014876i,-0.00063693-0.00065017i,-0.00060354+0.0005454i,8.2989e-06+0.0015838i,0.00036237+0.0016026i,0.00042651+0.0011971i,-0.00033878+0.00096287i,-0.00098203+8.2405e-05i,-0.00096757-0.00049472i,-0.000638-0.00064883i,-7.658e-05-0.00059699i,9.8467e-05+0.00027133i,0.00036519+0.0013854i,4.0426e-06+0.00036251i,-0.00023395-0.00017078i,0.00035597+8.8095e-05i,0.0011162-2.5411e-05i,0.00068913+0.00040257i,-0.00053247+0.00076682i
-0.0010994-0.0013349i,-0.0011993+5.7347e-05i,-0.0013413+0.0014479i,-0.00079211+0.0011574i,-0.00073594-0.00028361i,-0.00049429-0.00066099i,-0.00062452-0.00042103i,-0.00074726+9.1147e-05i,-0.00089622+0.00026002i,-0.0010542-0.00021684i,-0.00093191-0.00061189i,-0.00043571-0.00081221i,0.00041217+0.00023211i,0.00026617+0.0009351i,-5.7132e-05+0.00026022i,-9.9188e-05-0.00057272i,-2.611e-05+5.5458e-05i,0.00061774+0.0010411i,0.00087255+0.00097369i,0.00020977+0.00045953i,-0.00024008+0.00019609i,-0.00033786-0.00030417i,-3.8787e-06-0.00046054i
0.00018556-0.00087552i,-0.00056362-0.0014369i,-0.0013006-0.0012915i,-0.0014246-0.00067084i,-0.00062061-0.00018603i,0.00027657-0.00084911i,-7.2585e-05-0.0013439i,-0.0012776-0.00029449i,-0.0010181+0.00033772i,0.00042465+0.00056199i,0.00022106+0.00038989i,-0.00078645-0.0001055i,-0.00045935+0.00045754i,0.00077468+0.00073699i,0.00079447+0.00027022i,0.0012603-3.7976e-07i,0.0016306+0.00035558i,0.00080556-9.3924e-05i,2.0266e-05-0.00037137i,-0.00053215-0.0005537i,-0.00089693-7.8228e-05i,-0.00063779+9.8649e-05i,0.00065842-0.00063007i
0.00022455+1.235e-05i,0.00067513-0.00050021i,0.0011357+4.7331e-06i,0.00069163-0.00075225i,0.00052529-0.001496i,0.0010385-0.0011683i,0.0011284-0.00045228i,0.00013109+0.00050337i,-0.00072089+0.00093781i,-0.00064249+0.00086798i,-0.00085372+0.00067978i,-0.00077345+0.00053287i,-0.00073167-7.5993e-05i,-0.00024232-0.00046309i,0.00043777+3.0991e-05i,0.00032772+0.00047904i,0.00020691+0.00036181i,3.6309e-05+0.00021689i,-0.00029077+0.00018947i,-0.00035913+0.00013717i,0.00029364+0.00010772i,0.00040324+0.00038873i,0.00015507-0.00031166i
-0.00079623+0.002256i,-0.0017635+0.0022117i,-0.0019259+0.0016782i,-0.0012398+0.00073681i,-0.00078856-0.00052858i,-0.0010021-0.0015869i,-0.0010139-0.0011997i,-0.00070718-2.9607e-06i,-0.0010072+0.0010278i,-0.00072507+0.0011941i,-0.00073147+0.00056792i,-0.00067109+0.00016257i,-0.00062822+0.00027592i,-0.0008451+0.0001522i,-0.00093319-0.00019282i,-0.00060539+5.7132e-05i,0.00028402+0.00054615i,0.0008882+0.00089837i,0.00060809+8.9372e-05i,0.000422-0.00078914i,0.00073687-0.00074933i,0.00065927-0.00036758i,0.00020225+0.00024002i
-0.0030884+7.9639e-05i,-0.002926+0.00037753i,-0.0017849+0.00062832i,7.7498e-05+0.00063945i,0.0010108-0.00020531i,0.0009991-0.00092277i,0.00099349-0.00070633i,0.00018958-0.0005235i,-0.0014666-0.00035597i,-0.0016511-0.00016457i,-0.0010959+0.00048942i,-0.00084117+0.0010132i,-0.00011214+0.00035181i,-3.031e-05+0.00015264i,1.8416e-05-0.00013429i,-3.2679e-05+9.5415e-06i,-0.00047914+0.00067128i,0.00075283+0.00024257i,0.0013695+0.0002745i,0.00032014+0.00078938i,-0.00012772+0.00015246i,-7.9379e-05+0.00019523i,-0.00018175+0.00064246i
-0.00038002-0.0015719i,-0.0014513-0.0014667i,-0.0013358-0.00065738i,-0.0014829-0.00035156i,-0.0017149-0.0003987i,-0.0016126-6.5987e-05i,-0.0011957+0.00051178i,-0.00025336+0.00086276i,0.00025108+0.00083825i,0.00034928+0.0006225i,0.00045782+5.4633e-05i,0.00037177+0.00042616i,0.00027249+0.0006972i,0.00033021-0.00037833i,8.0746e-05-0.00090744i,-0.00050119-0.00084598i,-0.00063161-0.00046015i,-0.00015969-0.00057096i,0.00025609-0.00095235i,0.00013512-0.00049871i,-0.00059291+0.00010574i,-0.0010279+0.00013038i,-0.00075131-0.00024052i
0.00053991+0.00039256i,0.001121-0.00051249i,0.0009675+0.00011626i,0.0013431+0.00067426i,0.0014519+0.00036561i,0.00072329+0.00014698i,-2.5026e-05-0.00096779i,0.00045826-0.0011749i,0.00076682+0.00076743i,0.00032187+0.001455i,0.0003117+0.00047602i,-0.00045987-0.00017796i,-0.00084637-0.00027538i,-0.00055806+0.00032341i,-0.00078003+0.0006654i,-0.00056996-0.00027324i,1.5726e-05-0.00043653i,0.00010528-7.1453e-05i,0.00057156+0.00043012i,0.0001559+0.00049093i,-0.00094156-7.9883e-06i,5.6586e-05-0.00047769i,0.00093903-0.0010944i
0.0017641+0.00039482i,0.0010134+0.0018013i,-0.00064181+0.0012154i,-0.0016724+0.001072i,-0.0018613+0.00046754i,-0.0011785+0.00037007i,-0.00018687+0.00093404i,0.00015318+0.0016129i,-0.0004742+0.0016924i,-0.00090292+0.00097182i,-0.00089152+0.00085463i,-0.00025745+0.00049059i,0.00053918+7.2645e-05i,0.00063728-0.00024944i,0.00095174-0.00011055i,0.00064359+7.493e-06i,0.00021665-0.0009766i,-0.00012653-0.001116i,-0.00072163-0.00011751i,-0.00068378+0.00011544i,-0.00019501-0.00068163i,-0.00033429-0.00068908i,-0.00058694+6.3698e-05i
-0.0008693+0.0018697i,-0.002184+0.0014697i,-0.0025978+0.0010524i,-0.00067523+0.00080102i,-2.9094e-06+0.00046264i,2.9673e-05-0.00087243i,0.00036419-0.0012334i,0.0001674+0.00019792i,9.377e-05+0.00081707i,-0.00058606+0.00073254i,-0.0012188+0.0005833i,-0.0010332-0.00019375i,-0.0001155-1.0935e-05i,0.00061076+0.00063854i,0.00013482+0.00025377i,9.5134e-05-7.9595e-05i,0.00047387-0.00054794i,0.00021973-0.0010779i,-0.00039029-0.000374i,-0.00091416+0.00017474i,-0.0011027+0.00022471i,-0.0006406+0.00023622i,0.00012109+0.00018419i
-0.0013902+0.00078543i,-0.0027567+0.00083823i,-0.0023095+0.00096817i,-0.0010075+0.00076339i,0.00029093-4.7888e-05i,0.00048721-0.00071792i,-0.00064102-0.00052099i,-0.0011793+0.00031108i,-0.00055757+0.0014366i,-0.00042518+0.0011578i,-0.00053703+5.8747e-05i,-0.00093724-0.00017061i,-0.0013689+0.00046901i,-0.0014107+0.0015005i,-0.00096644+0.0011863i,-0.00032215+0.00057844i,0.00028697+0.00067274i,0.00048788+0.00024362i,0.00016693-0.00021163i,0.00025695-5.5184e-05i,0.00079491-0.0003788i,0.0011599-0.00078412i,0.00058392-0.00055184i
6.8834e-05-0.0010571i,-0.00015868-0.0011737i,-0.00043795-0.0011955i,-0.00072103-0.00093321i,-0.0013257-0.0011781i,-0.00091386-0.0011481i,-8.1699e-05-0.00047923i,-0.00040466-0.00015009i,-0.00044111-3.1528e-05i,0.00019042+0.00016774i,0.00024435-0.00032026i,-0.00045659-0.00080503i,-0.00029758-0.00014915i,0.00051987+0.00030365i,0.00029694+0.00029357i,9.9291e-05+3.3524e-05i,-7.4564e-05+3.7711e-06i,-0.00042278+0.00013985i,-0.00017026+1.4944e-05i,0.00020734+0.00039651i,-0.00025849+0.00061747i,-0.0001365+0.0006907i,0.00031028+0.00083433i
0.00018612-0.00075134i,-0.0001234+0.00038759i,1.1487e-05+0.00067186i,-1.8892e-05+0.00081806i,-8.3396e-05+0.00026971i,0.0005559-0.00084729i,0.00061699-0.0010185i,-0.00034833+1.9309e-06i,-0.00093162+0.00061281i,-0.0013016+0.0012358i,-0.0010389+0.0012062i,-0.00091943+0.00010146i,-0.0007654-0.00023473i,-4.0133e-05-2.5363e-05i,0.00066814+0.00054483i,0.0003632+0.00013307i,-0.00028895-0.00072035i,-0.00031522-0.00036494i,0.00049806+0.00036509i,0.00071231+0.00013479i,-2.7361e-05-0.00034169i,0.00022685-0.00022901i,7.0601e-05+0.00029262i
-0.00020726+0.00098633i,-0.001906-0.00065851i,-0.002591-0.0018015i,-0.0014679-0.0015639i,-0.00066929-0.00089041i,-0.0013682-0.00033408i,-0.0011311+0.00042531i,-0.00084669+0.0012256i,-0.0012941+0.0017033i,-0.00026252+0.001609i,0.00096799+0.00090903i,0.00087203+9.8527e-05i,0.00024755+0.00031897i,-0.00015307+0.00075423i,0.00018259+0.00054888i,7.7988e-05+0.00045287i,-0.00042277-0.00021519i,-0.0010384-0.0004373i,-0.00066693+8.0995e-06i,0.00025941-0.00020725i,-2.1067e-06-5.326e-05i,-0.00089628+0.00021708i,-0.00070614+0.00059804i
-0.00031877+0.00089002i,0.00043828+0.00035596i,0.0009518+0.00021271i,0.00090359-0.00060191i,0.00066826-0.0011787i,0.00063206-0.0014906i,0.00039301-0.00094763i,-0.00039281+0.0011136i,-0.0011559+0.001712i,-0.0012361+0.00097794i,-0.00044655-0.00011725i,0.00023525-0.00015496i,0.00078385+0.00078673i,0.00097901+0.00049971i,0.00091157+0.00014361i,0.00075484+0.00047437i,-0.00027739+0.00074518i,-0.00034025+0.00072921i,-0.00022891+0.00026926i,-0.00090623-0.00036651i,-0.00055915-0.00053158i,0.00063884-0.0002002i,0.00022608+8.6992e-05i
-0.00027128+0.00116i,-0.0007455+0.001401i,-0.00067324+0.0015709i,-0.00058746+0.00070144i,0.00025987-0.00033456i,-0.00011623-0.00022474i,-0.00072312+0.00028581i,-0.00090593+0.00079819i,-0.0012844+0.00080584i,-0.00085246+0.00021356i,-0.00055624+0.00024544i,-0.00080126+0.00057141i,-0.000549+0.00092016i,0.00038466+0.00040601i,0.0011489-0.00033083i,0.00027321-0.0003969i,6.951e-05-0.00013028i,0.00059072-0.00023414i,0.00045849-2.7942e-05i,0.00032637+0.0002274i,0.00022733-0.00021624i,-0.00045567-0.00081815i,-0.00075443-0.00069169i
-0.0010684+0.00057243i,-0.0012779+0.0002477i,-0.00053629+0.00054814i,-0.00023989+0.0001961i,-0.00029895-0.00017388i,-0.0003563-0.00095908i,-0.00036528-0.0010038i,-0.00048894+0.00037352i,-0.00067543+0.0009915i,-0.00051584+0.00071619i,-0.00086272-0.00045985i,-0.0010105-0.00097899i,-0.00035209+0.00014253i,0.00067441+0.0008818i,0.0011479+0.00082324i,0.00047139+0.00025008i,0.00011305+0.00018654i,-0.00051073-6.8704e-05i,-0.001145-0.00088656i,-0.0012344-0.0011319i,-0.001001-5.4389e-05i,-0.00029012+0.00047514i,0.00036564+0.00028056i
0.0011234+0.00038065i,-0.00026744+0.00030096i,-0.001689+1.0496e-05i,-0.0013241+0.00057802i,-0.00056357+0.00088149i,0.00038877+0.00070784i,0.00016162+0.0011679i,-0.00029907+0.00090739i,-0.00066314-4.9007e-05i,-0.00099493-0.00050083i,-0.0010222-0.0001661i,-0.00082938+0.00013128i,-0.00033458+2.2499e-05i,4.4008e-05+0.00057327i,0.00029986+0.00097778i,0.0004199+0.0001562i,0.00025649+4.2137e-06i,-0.00028202+0.00034282i,-0.00079433+0.00011505i,-0.00088022+0.00045306i,-0.00026921+0.0013123i,-1.9548e-05+0.0012695i,-0.00019089+0.00058917i
-0.00057061+0.00045842i,-0.00067377-0.00032724i,-0.00021663+8.1336e-05i,0.00015638-0.00011338i,0.00098103-0.0019507i,0.00038453-0.0028321i,-0.00054504-0.0019481i,-5.2131e-05-0.0010419i,-0.00020619-0.00054245i,-0.00038525+0.00029706i,-2.4238e-05-1.5812e-05i,-0.00097208-0.0010707i,-0.001444-0.0010515i,-0.00050792-0.00058698i,7.6523e-06+1.3998e-05i,0.0004058+1.8136e-05i,0.000818-0.00047577i,0.00068277-0.00051753i,0.00076272-0.00025251i,0.00019807+0.00018021i,-0.00030172+0.00048759i,-0.00058913-5.2917e-06i,-4.2351e-05-0.00091304i
-0.0014937+0.0035174i,-0.0024038+0.0020015i,-0.0017146+0.0016896i,-0.00038232+0.0022366i,0.00078912+0.0017482i,0.0011394-0.00034917i,8.5389e-05-0.0014075i,-0.00066377-0.00077204i,-0.0011804-0.00015717i,-0.0013354+0.00019595i,-0.00073547+0.00027732i,-0.00092619+0.00067853i,-0.0015257+0.0014596i,-0.0014662+0.0012512i,-0.00095519+0.0012356i,-0.00063539+0.0015211i,8.5865e-05+0.0012991i,0.00103+0.00072735i,0.00060643+0.00099869i,-0.00027395+0.0012036i,-0.00025122+0.00050957i,-8.6106e-05+0.000459i,0.00041935+0.00072575i
0.00018967+0.00082809i,0.00010436-0.00011843i,-0.00067264+0.00010675i,-0.00049258+0.00024626i,0.00065821+6.4125e-06i,0.0013555-0.00073986i,0.00086055-0.0014315i,-0.00059259-0.0010382i,-0.00077221-0.00023019i,-0.00016707+0.00082042i,-0.00046012+0.00060636i,-0.00030783-0.00028111i,-0.00032439+2.3595e-05i,-0.00071347+0.00079475i,-0.00028569+0.0004469i,-0.0002075-0.00046712i,0.00026092-0.00071443i,0.00075578-2.8208e-05i,0.00021244-2.8787e-05i,-1.7939e-05-0.0002863i,-0.00025008-0.0002689i,-0.00058727-0.00032167i,0.00014226-0.0006025i
0.00054048-0.0010454i,0.00097553+0.00045229i,3.3578e-05+0.0012598i,-0.00050998+0.0011583i,-0.00043458+0.00057559i,0.00097604-0.00042924i,0.00102-0.0010388i,-5.721e-05-0.00092859i,-0.00064946-0.0002852i,-0.00014112+2.4095e-05i,0.0004467+0.00018118i,0.00020698+0.00036743i,-0.00020763+0.00020009i,-0.00021632+0.00013077i,-0.00017275-6.7163e-05i,-0.00025825-0.00036052i,-0.00029955-0.00020125i,-0.0001469-1.2381e-05i,3.8526e-05-9.442e-05i,-0.000178-0.00039903i,-0.00040257+4.1424e-05i,0.00014188+0.00023304i,0.00044906+0.00017747i
0.00033102+0.00048941i,0.00028015+0.00045331i,-0.00073901+5.0192e-05i,-0.0011923-0.000646i,-0.0012607-0.0006322i,-0.0011593+0.00083418i,-0.0008006+0.000864i,-0.0010585-6.1756e-06i,-0.0015427+0.0010884i,-0.0010505+0.0015957i,-0.00022545+0.00098084i,-0.00013084+0.00036841i,-0.00056226+5.8318e-05i,-0.00037278-9.1703e-05i,-0.00021768-0.0002317i,-0.00042833-0.0002119i,0.00062089-0.00041776i,0.00080379+0.00019207i,-0.00026377+0.0010333i,0.00023898+0.0007557i,0.00010589+0.00053939i,-0.00048207+0.0011799i,-0.0004842+0.00099773i
-0.00077187-0.00064059i,-0.0009094-0.00012036i,-0.00017462+0.00031074i,4.5337e-05+0.0012587i,-0.00011872+0.0012611i,0.00015541-3.0187e-05i,0.00049133-0.0011789i,0.00036961-0.0010148i,-0.00025554+0.000122i,-0.0004256+0.00062466i,-0.00045203+0.00010338i,-0.0005523+0.0006823i,-0.00054839+0.00065639i,-0.00015866+0.00045692i,-0.000251+0.00018945i,-0.00047884-0.00054672i,-0.00021842-0.001207i,-0.00045411-0.00071584i,-0.00096715+0.00012059i,-0.00070109+0.0006157i,7.1181e-05+7.6754e-05i,0.00061311-0.00016093i,0.00064923+0.00021201i
-0.0004271-0.00051271i,-0.0016291+0.0003414i,-0.0019323+0.0011298i,-0.0013823+0.00043677i,-0.00053801-0.0010178i,-0.00018602-0.0011342i,-0.00046554-0.00012677i,-0.00078252+0.00094622i,-0.00059749+0.0013609i,9.1462e-06+0.00045255i,0.00074204-0.00062783i,0.00054855-0.0003101i,-0.00089069+0.00056324i,-0.00040254+1.9118e-05i,0.00027294-0.0007414i,0.00017362-0.00077437i,0.00026917+2.6397e-05i,-0.00025638+0.0008239i,-0.00050278-2.2531e-05i,-0.0010959-0.00059932i,-0.0012789-0.00010257i,-0.00025589+0.0001278i,0.00020395+0.00023649i
-0.00049036-0.0010114i,-0.0005886-0.0014523i,0.00059775-0.00094833i,0.00095336-0.00010131i,0.0012056+0.00023849i,0.0013061+1.2264e-05i,0.00017187-0.00045304i,-0.00099326-0.00016673i,-0.0012358+0.00082929i,-0.00031617+0.0012687i,0.0006303+0.00019041i,0.00052722-0.00042125i,-0.00042659-0.00033122i,-0.00039767-0.00038609i,0.0002443-0.00024301i,-7.4434e-05-0.00040395i,0.00019122-0.00053617i,0.00099249+2.3371e-05i,0.00082485+0.00023729i,0.00011507+0.00047457i,-0.00017235+0.00048441i,0.00016393-0.00059722i,0.00026486-0.00098008i
0.00024828-0.00017532i,0.00027179+0.00094484i,-0.0012805+0.0020573i,-0.0013964+0.0026873i,0.00038394+0.0023616i,0.0011743+0.0015219i,0.00018132+0.00083974i,-0.00053996+0.00074123i,-0.00088361+0.00084891i,-0.00079606+0.00060673i,-0.00056302+0.00038424i,-0.00056709+0.00033673i,-0.0001412-0.00042168i,9.3453e-05-0.00098363i,-9.0695e-05-0.00025268i,-0.00057799+0.00066942i,-0.0011624+0.00086526i,-0.001394+0.00027973i,-0.00061861+0.00038364i,0.00032626+0.00024234i,0.00075785-0.00025889i,0.00081035+2.3448e-05i,0.0010887+0.00065555i
-0.00071313+0.0026306i,-0.0010703+0.002388i,-0.0011791+0.0019051i,-0.0010173+0.00075475i,-0.00051362-0.00059362i,0.00020234-0.0013792i,-0.00022152-0.0013027i,-0.00092911-0.00032433i,-0.0015932+0.00035i,-0.0015718-6.7783e-06i,-0.00065299-0.00091945i,-0.00064479-0.0011283i,-0.00097304-0.00060296i,-0.00098782+3.2266e-05i,-0.00048848+0.00030399i,0.00029609+0.00025945i,0.0002907+0.00026438i,0.0001525+0.0006975i,0.00016541+0.00078516i,0.00046789+0.00023352i,0.0011904-7.61e-05i,0.0011605-0.00012711i,0.00055418+0.00060268i
-8.8213e-06-0.0014937i,-0.0017254-0.00058649i,-0.0032938+0.00031079i,-0.0032279+0.0010014i,-0.0021884+0.0020104i,-0.0004119+0.0021781i,0.0010219+0.0015807i,0.00078918+0.00098223i,-7.8589e-05+0.00089363i,-0.00088014+0.00086656i,-0.00070714-1.6546e-06i,-0.00023666-0.00051971i,0.00015273-0.0005132i,0.00035584-5.2599e-05i,0.00051362+0.00044109i,0.00013255+0.00046269i,-4.6855e-05-0.00014166i,0.0010037-0.00050515i,0.0013001-0.00027274i,0.00082799+7.4569e-05i,6.3385e-05+2.4295e-05i,0.00032324-0.0003399i,0.0013487-0.00040686i
-7.0914e-05+0.00044749i,-0.00071735-0.00042027i,-0.00096194-0.0021442i,-0.0010215-0.002681i,-0.00099096-0.0020653i,-0.00090304-0.001342i,-0.00011684-0.00057336i,2.2093e-05+0.00025365i,0.00017957+0.00061987i,0.00030365+0.00066473i,-0.0002734+0.0006034i,-0.0013252+0.00029084i,-0.0014724+0.00023683i,-0.00027296+0.00023071i,0.00059423+0.00010739i,8.6067e-05+0.0002885i,0.00025216+0.00059305i,0.0011783+0.0007631i,0.00050314+0.00125i,5.1477e-05+0.00094713i,7.2038e-05-0.00013981i,-0.00016975+0.00010832i,3.1632e-06+0.00059695i
0.0017238+0.00050731i,0.0019202+0.0011425i,0.0016752+0.0010698i,5.3501e-05+0.001183i,-0.00074086+0.00052119i,-0.00051035+0.00039481i,-8.5805e-05+0.00072565i,-0.00043024+0.0010642i,-0.0013336+0.0012275i,-0.0013983+0.0007941i,-0.00088234+0.00050477i,-0.000584+0.00094043i,0.00039222+0.0011682i,0.00064976+0.00031313i,0.00011096-0.0005782i,-0.00032982-0.0013442i,-0.00013731-0.0014788i,-1.9187e-05-0.00025833i,0.00012026+0.00073164i,0.00029814+0.00047524i,-1.4048e-05-2.6186e-05i,0.00022036+0.00013747i,0.00042351+0.00010903i
0.00052064-0.0001775i,0.00066281+0.00053257i,-0.00052286-0.00011629i,-0.0021774-9.1941e-05i,-0.0020543+0.0007719i,-0.0015992+0.0017355i,-0.00088488+0.0016882i,-0.00096843+0.0011248i,-0.00088793+0.00081429i,-0.0001492+0.00039907i,-0.00041471-0.00021355i,-0.00068179-0.0011641i,-0.0003054-0.0015063i,0.0005659-0.00053531i,0.0017537+0.00036107i,0.0020164+0.00044924i,0.0010321+0.00066335i,8.5845e-05+0.00026954i,-0.00041191-0.00016773i,-0.00043317+0.00034682i,-0.00015019+0.00060596i,-0.00019352-0.00014238i,0.00017713-0.00065102i
0.00067072+0.00053392i,-0.00023374+0.0013181i,-7.6232e-05+0.0006879i,0.001304-3.6607e-05i,0.0010102-0.00041353i,0.00045732-0.0013505i,0.00027885-0.00073669i,-0.0011201-0.00016516i,-0.0020317+0.0003447i,-0.0013222+0.00064163i,-0.00057693+0.00020445i,-0.00010817-5.3088e-05i,0.00026582+0.00055209i,0.0002599+0.0011701i,0.00052233+0.00092392i,0.00074866+0.00075512i,0.00024633+0.00079583i,-5.1191e-05+0.00058013i,-0.00011374+0.00061324i,-0.00026075+0.00056342i,-0.00041135+0.00050346i,-5.3795e-05+0.0010604i,0.00044515+0.0009764i
0.0011017+0.0015642i,-0.00047333+0.0021592i,-0.00064483+0.0026031i,-0.00073667+0.0017309i,-0.0007376+0.00011021i,-0.00015359-0.0001528i,0.00040954-0.0002106i,0.00041456-7.0587e-05i,-0.00021484-0.00010284i,-0.00020524-0.00037902i,-0.00035037-0.001028i,-0.00055815-0.0016878i,-7.8705e-05-0.0013704i,0.00082342-0.00034896i,0.00093343+0.00025564i,0.0003937+0.00033623i,0.00053128+0.00069906i,-7.0872e-05+0.00069175i,-0.00033354+0.00030535i,0.00041302+0.00046871i,0.0008491+0.00052994i,0.00068214-0.00028591i,0.00019098-0.0014191i
-0.0019538+0.00049002i,-0.0015346+0.00022073i,-0.0024449+0.00049353i,-0.0024457+0.00091986i,-0.0010041+0.00063666i,-3.4893e-06-2.9267e-05i,0.00011479+0.0002222i,-0.00093222-0.00020488i,-0.0011606-0.00095817i,-0.00011687-0.00088478i,0.00076722-0.00013525i,0.00085717-3.6712e-05i,0.00058846-0.00018288i,0.00017719+0.00020898i,-0.00027208-0.00015425i,0.00035274-0.00015344i,0.00041532+0.00018931i,3.9431e-05+1.3298e-05i,0.0003145+0.00036467i,0.00047691+0.00047701i,0.00080689+0.00051997i,0.0011241+0.00025719i,0.00062893+0.00013559i
0.00033038-0.0012638i,-0.00061956+0.00023715i,-0.0011853+0.00021022i,-0.0012423-0.00024372i,-0.00074245+0.00017162i,-0.00040834+0.001038i,-0.00052332+0.00022056i,-0.0013654-0.00060143i,-0.0019539+0.00060562i,-0.0012141+0.0011474i,0.0001212+0.00041671i,0.00055783-0.00020806i,-3.3719e-05-0.00043193i,0.00030057-0.00043887i,-6.8958e-05-0.00013053i,-0.0010076-0.00024572i,-0.00010747-0.00054561i,0.00074662-0.00016809i,5.4214e-05+0.0001203i,-0.00079803+2.0895e-05i,-0.00092398+0.0003952i,-0.00073332+0.00049231i,-0.00081066+5.9621e-05i
-0.0018553-0.00092838i,-0.0024369-0.0014073i,-0.0027376-0.0011181i,-0.0016051+7.0467e-05i,-0.00011227+0.0010702i,0.00044023+0.00076705i,-0.00021661+0.00031798i,-0.00081131+0.00076857i,-0.0012327+0.0014463i,-0.00080085+0.0010043i,0.00051554+0.00061984i,0.00040247+0.00064149i,-0.00068546+0.00061575i,-0.00097164+0.0006292i,-0.00054713+0.00024393i,-0.00049961-0.00023967i,-0.0010548-0.00011222i,-0.00075867-1.7229e-05i,-0.00019253-0.00053173i,-2.828e-05-0.00023895i,-3.8408e-06+0.00071823i,-0.00010821+0.00021316i,-6.0462e-05-0.00030729i
0.0010173+0.00025391i,0.0007091+0.00126i,0.00065766+0.001443i,0.00044083+0.00052183i,0.00013632-5.1034e-05i,0.00026063-0.00034023i,-0.00042231-0.00069005i,-0.0010106-0.00049167i,-0.00041443+0.00029199i,-0.00020207+0.00032071i,-0.00030078+0.00049886i,-0.0002541+0.00085583i,-0.00047882+0.00080984i,-8.6612e-06+0.00022726i,0.00048379-3.2865e-05i,-0.00020463-0.0001057i,-0.0001807-0.00044579i,1.0997e-05-0.0003565i,-7.705e-05+8.1584e-05i,-0.00035991-3.5333e-05i,-0.0012315+0.00010344i,-0.001114+0.00011345i,-0.0011001-0.00053368i
7.7561e-05+0.00097669i,-0.00059207+9.5601e-05i,-0.00094316-0.00037971i,-0.00044383-0.00099792i,0.00019418-0.0006719i,-0.00045667-0.00016154i,-0.0013532-6.1131e-05i,-0.0017245+0.00048061i,-0.002418-0.00018787i,-0.0018009-0.001396i,-0.00094456-0.00044488i,-0.00067643+0.00015733i,0.00017423-0.00054601i,0.00066114-0.0011363i,0.00031854-0.00060892i,0.00028056-0.0002186i,0.00084004-5.5381e-05i,0.00066006+0.00050035i,-1.2932e-05+0.00043342i,-0.00063638+0.00022795i,-0.00056305-3.0306e-05i,-0.00023291-0.00047463i,-0.00033345+0.00023544i
-0.00062945-0.00041763i,-0.00035032-0.00013245i,-0.00023589+0.00047456i,-0.00021706+0.00083883i,-0.00022345+0.00018546i,-0.00096622-7.0498e-05i,-0.0013504-7.2431e-05i,-0.0012853+0.00075131i,-0.0017508+0.0010622i,-0.0014634+0.00088363i,-0.00083248+0.00027845i,-0.0006316-6.7136e-05i,-0.00063294+0.0003101i,-0.0002298+0.00089118i,-0.00036031+0.00058418i,-0.00060223-0.00036282i,-0.00030779-0.0002118i,-0.00057559+0.0003236i,-0.0004819+0.00066958i,0.00010879-5.3159e-05i,0.00038784-0.00066897i,0.00066486-0.00025185i,0.0009678-0.00021557i
-6.0394e-05+0.00039941i,-0.00081977+0.00076133i,-0.0011878+0.0010961i,-0.001042+0.0010378i,-0.00048922+0.00011266i,-2.9033e-05-8.2999e-06i,0.00019388+0.00076537i,-0.0001434+0.00074097i,-0.00046593+0.00076076i,-0.00049199+0.00083505i,-0.0003557+0.00059691i,-0.00069458+4.9233e-05i,-0.00078939-0.00038469i,-0.00046868-0.00034419i,-0.00019049-0.00030252i,0.00019876-0.00025964i,7.6249e-06-0.00014546i,-0.00036467+0.0001375i,-0.00051111+0.00044848i,0.00010699+0.00078953i,-0.00020075+0.00071814i,-0.00049205+0.00034103i,-0.00010229+0.00048558i
-0.00038613+0.00073407i,-0.00076993+0.00055416i,-0.00013083+0.0010238i,0.0002965+8.5611e-05i,0.00073225-0.0011376i,0.0012529-0.0012196i,0.0007981-0.00097486i,0.00012358-0.00037646i,3.3534e-05+0.00069182i,-0.00010344+0.00089309i,-0.00038246+0.00053467i,-0.00047323+0.0003579i,-0.00099456+0.00036983i,-0.00095237+0.00043896i,-0.00022626+0.00028148i,8.1319e-05-4.7607e-05i,-0.00021151+0.0001121i,-0.00069406+1.3484e-05i,-0.00025345-8.6605e-05i,0.00018797+0.00045829i,0.00027626+0.0005091i,-0.00016452-0.00016056i,-0.00093664-0.00020453i
0.00088728-0.00039661i,-0.00048285-0.00029202i,-0.0017784-0.00015874i,-0.0024979+0.00017854i,-0.0016484+0.00020927i,-0.0012289-0.0003642i,-0.00016479+0.00014816i,0.00034872+0.001099i,-0.00049791+0.0009732i,-0.0012102+0.00015744i,-0.00060209-0.00035342i,0.00018412+5.5355e-05i,-0.00021693+0.0005434i,-0.0001543+0.00010206i,0.00082565-0.00011506i,0.00077849-0.00016233i,0.00049914+0.00040788i,0.00058778+0.00017628i,0.00048455-7.7113e-05i,4.8405e-05+0.00060668i,0.0001044+0.00029855i,0.00079249-0.00073546i,0.00028126-0.00092129i
