-0.00099216+0.0034221i,-0.00085846+0.001256i,-0.0018183-0.00042881i,-0.0012142-0.0017124i,-0.0012489-0.0016686i,-0.0010726-0.001062i,-0.00074145+4.428e-05i,-0.00069043+0.0011475i,-3.069e-05+0.00080505i,0.0005908-0.00039141i,0.0010682-0.00043287i,0.00063677+0.00039585i,-0.00010215-3.1368e-05i,4.2953e-06-0.00027056i,0.00012832+0.00010149i,0.00023777+0.00030847i,-0.00013183+0.00027027i,-0.00025919+6.835e-06i,0.00012522-0.00063336i,0.00057928-0.00092547i,0.00013299-0.0004727i,-0.00065163-0.0007789i,-0.00041831-0.0009841i
-0.00084247+0.0010375i,-0.00074435+0.0013615i,0.00063318+0.001711i,0.0015476+0.0017672i,0.0014449+0.00026554i,0.0014642-0.00023021i,0.0010685+0.00043902i,0.0006661+6.1415e-05i,-2.2873e-05-0.00075673i,-0.00038524-0.00094298i,-0.0010816-0.00023809i,-0.0022905+0.00057582i,-0.0022805+0.0014522i,-0.00069918+0.001062i,0.00032525-0.00027098i,-5.8383e-05-0.001065i,-0.00028401-0.00086325i,-0.00041404-0.00044522i,-0.0004757-0.00011032i,-0.00029934+0.00030949i,0.00015327+0.00012076i,0.00016123-0.00070294i,-0.00058978+0.0002677i
-0.0011109+0.0010266i,0.00065401+0.0012024i,0.0021917+6.3848e-05i,0.0024704-0.0032134i,0.0025257-0.0037001i,0.0013411-0.0021631i,0.00036474-0.001187i,0.00030651-0.0011403i,-0.00056125-0.00071508i,-0.0018178+0.00035468i,-0.0017703+0.0010496i,-0.00065434+0.0012776i,0.00066343+0.00088123i,0.00089381-8.5158e-05i,0.00074404-0.0012647i,0.0012753-0.0014372i,0.00093577-0.00092003i,-0.00017297-0.00087776i,-0.00011488-0.00053399i,-0.00019164+0.00012901i,-0.00080131+0.00012023i,-0.00067607-8.246e-05i,0.00016235+3.7444e-05i
-0.0015375+0.00015106i,-0.00089372+0.00068896i,-0.00035551+0.0023631i,0.00081257+0.0028319i,0.0010932+0.0011482i,0.0010092-0.00064947i,0.00057136-0.0015181i,0.00028078-0.0016608i,-0.00078325-0.0010272i,-0.0014381+0.00024474i,-9.4949e-05+0.001453i,0.00085618+0.0012098i,0.00093366+0.00072034i,0.00060533+0.00034815i,0.0005129+0.00011855i,0.00064519-0.00020952i,0.0002234-0.00057474i,0.00019293-0.00021922i,0.00010546-0.00027069i,-4.7196e-05-0.00057491i,-0.00012189-0.00045038i,-0.00064498+0.00023562i,-0.00071648+0.00025663i
-0.00054418+0.00048937i,-0.00082313+0.0010063i,-0.000151+0.00052621i,0.0011032-0.00073923i,0.0015322-0.0010354i,0.0015228-0.00078336i,0.00085316-0.00040241i,-0.00035122+0.00025121i,-0.0008419+0.00078135i,0.00011704+0.00047909i,0.001297+3.6455e-06i,0.0017931-0.00060072i,0.0014948-0.00073491i,0.00041064-0.00025773i,-9.6905e-05-0.00026415i,5.4641e-06+2.6224e-05i,0.00088123+0.00014104i,0.0011746-0.0010343i,0.00096639-0.0013983i,0.00061194-0.0011145i,0.00020254-0.0015792i,-0.00020658-0.0015369i,0.00016675-0.0013217i
-0.00025712+0.0022065i,-0.0003493+0.0021832i,0.0012248+0.0022525i,0.0023989+0.00090733i,0.0017699-0.0013484i,0.001653-0.0024689i,0.0020206-0.0010511i,0.0015754-6.8746e-05i,0.00076209+4.6226e-05i,0.00056367-0.00054905i,0.00011184-0.0022057i,-0.00065548-0.001771i,-0.00057499+0.00013381i,-0.00045956+0.00107i,-0.0010415+0.00063485i,-0.001338+0.00063129i,-0.0001145+0.00036849i,0.00098204-0.00037885i,0.00075314-0.00056367i,-0.00015845-0.00051212i,-0.00069837-0.0010913i,0.0001791-0.0013229i,0.0009374-0.0010792i
-0.0015602-0.0042102i,-0.0019655-0.0039407i,-0.0017068-0.0036987i,-0.00056914-0.0020285i,0.00030381-0.0013066i,8.817e-05-0.001113i,-0.00038782+0.00038255i,-0.00021189+0.00094998i,-0.00015486+0.0002044i,-0.00073884-5.1379e-05i,-0.0014754+0.00028849i,-0.0013561+0.00035704i,-0.00044042+0.00046003i,-0.00035037+0.00037499i,-0.00135+0.00076365i,-0.0015387+0.00066679i,-0.00036535+0.00018094i,0.00033174+0.00029145i,-4.736e-05+0.00062821i,0.00052395+0.00057902i,0.0005573-4.2122e-05i,0.00024593+0.00037134i,0.00086319+0.00084495i
0.0013817-0.001133i,0.001631-0.0010655i,0.00037927-0.0013689i,-0.00016089-0.0011354i,-0.00036106-0.00087652i,-0.00019303-0.0016631i,0.00049223-0.0010604i,0.00046793-0.00050776i,-0.00028271-0.00040511i,-0.00069998+0.00028596i,-0.0010258+0.0018192i,-0.00080381+0.0026015i,-0.00038672+0.0016761i,-0.00096355-6.212e-05i,-0.00094313-0.0015311i,-0.00031886-0.0011692i,-0.00038347+6.4365e-05i,-0.00038786+0.00088389i,0.00011332+0.0010172i,8.3293e-05+0.00031345i,0.00012931+0.000423i,0.00040596+0.0012468i,0.00072795+0.0012524i
0.00014764-0.00070902i,0.0016223-0.00019157i,0.0021375-0.0005849i,0.002342-0.00040761i,0.0004677-0.00052024i,-0.00086905-0.00091937i,4.9512e-05-0.00061017i,0.00070003-0.0012419i,-0.00022156-0.0024005i,-0.0015041-0.0010239i,-0.0019242+0.0011245i,-0.00085992+0.00056548i,0.00028653-0.00040409i,5.1532e-05-0.00030412i,0.0001064-0.00041921i,0.00049879-0.00041606i,0.00035306-0.00038924i,-0.0006604-0.00050139i,-0.00094743-0.00051386i,-0.00054256+2.7657e-05i,-0.00049958-1.5701e-05i,-0.00090161-0.00070696i,-0.00099031-0.00034412i
-0.0011932+0.00076928i,-0.00026388+0.0018719i,0.00097059+0.0019193i,0.0015765-0.00017333i,0.0019767-0.0016289i,0.0020866-0.0010868i,0.00094687-0.00096475i,-0.00073875-0.0015145i,-0.0020209-0.0011958i,-0.0018218-0.00026681i,-0.00084502+0.00029601i,-0.00050579+9.1514e-05i,-0.00015075-0.0011707i,0.00057346-0.0011538i,0.0011801+0.00015896i,0.0011758+0.00073347i,0.0003773-0.00045841i,-0.00018639-0.0012838i,-0.00060297-0.00033709i,-0.0011005+0.00022503i,-0.0012845+9.5213e-06i,-0.0011305-0.00040093i,-0.00084815-0.00045522i
0.00020034-0.0011508i,-0.00025146+0.00037149i,0.00059984+0.0011795i,0.0020588-0.00043892i,0.0018851-0.0019317i,-6.1806e-05-0.0016673i,-0.00024347-0.00027376i,0.00071358+0.0006556i,0.00046777-2.7391e-05i,-0.00013805-0.00092329i,-0.00013494-0.0015253i,-0.00012147-0.001813i,-6.1144e-05-0.0010497i,0.00060645-0.00013683i,0.00078164-4.045e-05i,0.00056458+4.6113e-05i,0.00030714+0.00031112i,0.00074496+0.00012516i,0.0010256-9.3109e-05i,9.0838e-05-0.00049428i,-0.00081358-0.0009243i,-0.0011262-0.001031i,-0.0009001-0.00037457i
0.0023828+0.00068571i,0.0010482+0.00035015i,0.00050546-0.0015091i,0.00091666-0.0034874i,0.0012457-0.0035556i,0.0003948-0.0029573i,0.00034323-0.00050264i,0.0013256+0.0017141i,0.0016307+0.0011394i,0.0010124-0.00038836i,0.00032326-0.00076964i,0.00026216+0.0004905i,0.00090253+0.0023921i,0.0011164+0.0025948i,0.00067992+0.0014103i,0.00038372+0.0011881i,0.00062386+0.0012977i,0.00058329+0.0011265i,0.00014913+6.0025e-05i,8.3191e-05-0.00082687i,-9.8473e-05-0.00088785i,-0.00059376-0.00059896i,-0.00052519+1.0533e-05i
-0.00091765+0.0012693i,-5.1884e-05-0.00095095i,0.00096273-0.0012396i,0.0026093-0.00084297i,0.0031376-0.0014574i,0.001357-0.0019918i,0.00041703-0.0012285i,0.0011699-5.7036e-05i,0.0011257-0.00012149i,0.00067423-1.3603e-05i,0.00046121+0.00067309i,0.00010718+0.00078502i,0.0001434+0.001056i,0.00040189+0.0013061i,-4.2763e-05+0.0012581i,-0.00053894+0.00046055i,-0.00028114+0.0001339i,-0.00029415+0.00070081i,-0.0012362-9.8024e-06i,-0.00095172-0.00013757i,0.0002016+0.00073077i,0.00045335-0.00021392i,0.00032988-0.0017495i
0.00075433-0.00042834i,0.0019656-0.00025898i,0.0015896+0.00027242i,0.0014305+0.00025805i,0.00128-0.00027063i,0.0011111-0.00038268i,0.00069466-0.00014778i,-0.00020429-0.00028748i,-0.00024932-0.00028881i,-2.4131e-05-0.00015926i,5.5718e-05+0.00055818i,-5.824e-05+0.0010129i,-0.00027981-7.9201e-05i,-0.00023912-0.00092423i,-5.7242e-05+0.000227i,-0.00057971+0.00086351i,-0.0014411+0.00071157i,-0.0010397+0.00031179i,-0.00019297-0.00050963i,0.0007408-0.00090439i,0.00025057-0.00094743i,-5.472e-06-0.00015901i,0.00038927+0.00034149i
0.0015301+0.001413i,0.0022167+0.0010683i,0.0027803+0.00038574i,0.0028279-0.00031001i,0.0020991-0.0010763i,0.0016135-0.0018122i,0.0012021-0.0017506i,0.00048344-0.00098189i,-0.0005796-0.00097854i,-0.0011533-0.00044534i,-0.00071899-0.00017692i,0.00050073-0.0006099i,0.00082185-0.00032914i,3.8894e-05-0.00068388i,0.0001157-0.0013506i,0.0002478-0.0015866i,3.5727e-05-0.0014005i,-0.0002748-0.00088129i,0.00018537-0.00010428i,0.0012029-0.00016499i,0.0007133-0.00027957i,0.00011827+0.00040569i,-0.00075397+0.00086819i
0.00070474+0.0014813i,-0.00026211+0.0026913i,-0.0007715+0.002023i,-0.0011793-0.00040818i,-0.00058174-0.0026319i,0.00051551-0.0019032i,0.00079478-0.00099056i,0.0002867-0.0014049i,-0.0013261-0.0011973i,-0.0023856-0.0001284i,-0.001304+0.00071389i,-9.06e-05+0.00053905i,6.2633e-05-0.00035097i,0.00048192-0.00027885i,0.00082905-0.00039751i,0.0013799-0.00095683i,0.0017057-0.0009959i,0.0011493-0.001386i,0.00071048-0.0003753i,6.2168e-05+0.00044228i,-0.00062838-0.00056452i,-0.00091348-0.00097441i,-0.0012045-0.00020099i
-0.0028202+0.0011481i,-0.0031872+0.0010437i,-0.002746+0.0007614i,-0.00012073+0.00047449i,0.0012504-4.4705e-05i,0.0010077-0.00063674i,0.00057834-0.00080473i,0.00056167-0.00075575i,0.00087599-0.00033038i,0.0005662-0.00010839i,-1.6148e-05-2.4976e-05i,-0.00032192+6.9614e-06i,0.000158+0.00019048i,0.00045006+0.00039211i,0.00021622+0.00016826i,0.00087534-0.00052732i,0.0012798-0.000368i,0.00072435+0.00059445i,-0.00016638+0.0009531i,-0.00053422+0.0006141i,0.00032137-0.0002844i,0.00027347-0.00091996i,-0.00068769-0.00084971i
0.00071011-0.0014206i,-3.3154e-05-0.0035577i,-0.00039511-0.0042817i,-1.1581e-05-0.0042282i,0.00054487-0.0041659i,0.00030196-0.0026444i,-7.2505e-05-0.0007978i,0.00041138-0.00056664i,0.00076995-0.000612i,0.00088873-0.00046845i,0.00078664-0.00081029i,0.00023049-0.00053803i,0.00023908+0.00020275i,-7.4199e-05+0.00078948i,-0.00059427+0.00048413i,-0.0010265+0.00047467i,-0.0011623+0.00075925i,-0.0011587+0.00084902i,-0.0012293+0.0013454i,-0.00082506+0.0010455i,-0.00028547+0.00059665i,5.3286e-05+0.00013448i,9.7835e-05-0.00033441i
0.0012206-0.0022597i,0.0022518-0.002773i,0.0019075-0.0025095i,0.0011284-0.0022537i,0.0015383-0.0029498i,0.0020343-0.001852i,0.0012563+0.00051163i,0.00086391+0.00091917i,0.0012361-0.00014599i,0.0016453-0.0015229i,0.0011097-0.0010048i,-2.5192e-05+0.00047908i,-0.00060767+0.00072771i,-0.00074994-0.00012801i,-0.00090185-0.00015224i,-0.0010085+0.00084967i,-0.0015655+0.0021103i,-0.0012092+0.0018727i,-0.00012327+0.00077374i,-0.00034213-0.00050779i,7.3355e-05-0.00096928i,0.00066207-6.6739e-05i,0.00012562+0.00012141i
0.0022075-0.00079181i,0.0032625-0.00048518i,0.0031495-0.0017461i,0.0016945-0.0020353i,0.00034634-0.0014678i,0.00033769-0.00069578i,0.00093932+0.00023127i,0.00044388+0.00029283i,-0.00088796-0.00040343i,-0.001678-0.00082496i,-0.0014492-0.00067685i,-0.00089688-7.6845e-05i,-0.00027404-0.00019911i,-0.0004554-0.00010072i,-0.00098597+0.00042592i,-0.0010718+3.3872e-05i,-0.00079735-4.8497e-05i,-0.00050628-0.00035115i,0.00034242-0.00053116i,0.00065432-0.00042898i,0.00046209-0.00049975i,0.0002628-0.00047171i,0.00027191+5.1298e-05i
