-0.00046428-0.0020989i,-3.951e-05-0.001862i,0.00032509-0.0011101i,0.00089886-0.00078009i,0.0010093-0.001069i,-0.00036096-0.00087301i,-0.0014715-0.0014096i,-0.0016545-0.0017952i,-0.0020928-0.00094543i,-0.0021394-0.0006043i,-0.0019887-0.00044069i,-0.00067752+8.5967e-05i,0.0006282-6.668e-05i,0.00029581-0.0010433i,0.00044126-0.00056418i,0.00097899-1.6114e-05i,0.00047791-0.00049566i,0.00041365-0.0011028i,0.00031334-0.0012887i,9.8682e-05-0.00036231i,-1.6382e-05+0.00086592i,-0.00095891+0.0010756i,-0.0011435+0.00046201i
0.00085141+0.00050024i,-0.00098408-3.5362e-05i,-0.001248-0.00088348i,5.0258e-07-0.00058381i,0.00029625+1.5522e-05i,0.00025425+6.9398e-05i,0.0004811-8.533e-05i,4.4649e-06-0.00098489i,-0.00056593-0.00091369i,-0.00052573-0.00039238i,-0.00045113-0.00096128i,-0.00017604-0.0011642i,-0.00029296-0.00041851i,-0.00046104-0.0007419i,-0.0007761-0.00090599i,-0.0013521-0.00075889i,-0.0011991-0.00089104i,-0.00063227-0.001185i,-0.00053622-0.0015108i,-0.00010241-0.0011753i,0.0010996-0.00080928i,0.0014674-0.00046991i,0.00095928-3.8231e-05i
0.0017349+0.0010434i,0.0025132+0.0013932i,0.0027807+0.0010775i,0.0019498+0.00027434i,0.00096057-0.00049762i,0.00024878-0.0006785i,-9.9256e-05-0.00058435i,-0.00040228-0.0014197i,-0.00065124-0.0020798i,-0.00048288-0.0015523i,9.3237e-05-0.00079839i,0.00037725-0.00010762i,-7.1648e-05-0.00053308i,0.00014469-0.00096608i,0.00045969-0.00066332i,0.00053954-0.00062975i,0.00057149-0.00055673i,-0.00030804-0.00016834i,-0.000257+0.00043297i,0.00016467+0.00072483i,-0.00022793+0.00018112i,-6.932e-05-0.00054255i,-5.9345e-05-0.00059525i
-0.00011696-0.00048382i,-0.00042887-0.001156i,-0.00052251-0.0012996i,-0.00058681-0.00038338i,-0.0003933-0.00018507i,-9.4936e-05-0.0011802i,-0.00050565-0.0020371i,-0.00058983-0.0023225i,-0.00063891-0.0021406i,-0.00095231-0.0015862i,-0.0010517-0.00026699i,-0.00090661-9.7323e-05i,-0.00068578-0.00090705i,-0.00063178-0.00085874i,-0.00068588-0.00031192i,-0.00073288-0.00051494i,-0.00069414-0.00092826i,-0.00051366-0.00095893i,0.00042317-0.0011943i,0.00058021-0.00047777i,-0.0004134+0.00053209i,-0.00088563+0.00069995i,-0.00050146+0.00070607i
0.00032978-0.0014628i,-0.00046528-0.0013473i,-0.00089791-0.00094934i,-0.0006812-2.1226e-05i,-0.00086566+0.00050463i,-0.00015093-4.7134e-05i,0.0012279-0.00069673i,0.00083895-0.0011586i,8.6326e-05-0.00098371i,-0.00067923-0.00012745i,-0.0011498-1.8134e-05i,-0.00092386-0.00031343i,-0.0011697+0.0001999i,-0.001805+0.00075072i,-0.0016136+0.00049785i,7.3852e-06-0.00031421i,0.00075639-0.00073176i,-7.6775e-06-0.00091278i,-0.00029511-0.00098214i,0.00023491-0.00029904i,0.00032767-8.3541e-05i,-0.00010079-0.00038011i,-0.0001569-0.00083039i
-0.00016584-0.00033841i,-0.00039106-0.00064661i,-0.00094227-0.00159i,-0.0006123-0.0013114i,0.00023179-3.8202e-05i,0.00029108+0.0007312i,0.00031067-0.00061065i,-0.00011268-0.0019626i,-0.00092178-0.002094i,-0.0013821-0.0011516i,-0.001083+0.00015625i,-0.00047416+0.00045548i,-0.00049014+0.00046303i,-0.00077531+7.5728e-05i,-0.00020563-0.00064246i,0.00079565-0.0007443i,0.00089096-0.00052457i,-0.00015691-0.00092394i,-0.00082744-0.00063585i,-0.0010797+0.00015988i,-0.00052926+0.00055434i,7.8231e-05+0.00031463i,0.00023332-0.0002733i
-0.0002968+0.00021497i,-0.001358+0.00082719i,-0.0015969-0.00035795i,-0.0014473-0.00066613i,-0.0011972-2.7739e-05i,-0.00066007+0.00022732i,-0.00083606-0.00039352i,-7.3293e-05-0.00058594i,0.00060759+0.00017862i,-0.00067643-0.00014197i,-0.0015725-0.00062259i,-0.00099993-0.00034592i,-0.00075389-0.00040626i,-0.00071524-0.00035837i,-0.0006573-7.5756e-05i,-0.00050253-0.00031602i,-0.00052939-4.3113e-05i,-0.00069458+0.00042911i,-0.00048266+0.00021132i,5.8484e-05-0.00075835i,0.00026007-0.00091572i,-0.00032075-0.00023911i,-0.0006709-0.00039273i
0.0012281-0.0016249i,0.0010415-0.0026493i,0.00047136-0.0025344i,0.00025829-0.0017253i,6.6948e-05-0.001419i,0.00023131-0.0010182i,0.00022268-0.00070464i,-0.00025685-0.0012425i,-0.00016896-0.0015216i,-0.0002181-0.0011909i,-0.001225-0.00081358i,-0.0015368-0.0001967i,-0.00036009-0.00010886i,0.00092573-0.00043621i,0.00079054-0.000415i,-4.9586e-05-0.00039821i,-0.00032248-0.000799i,-0.00020583-0.0010739i,-7.6865e-05-0.00087381i,0.00052401-0.00024589i,0.0004832-0.00020001i,0.00011625-0.00055769i,-0.00035868-0.00014862i
0.0021392+0.0002837i,0.0019024+0.00022766i,0.0014743+0.00059178i,0.00043199+0.00023083i,-0.00048918-0.0001812i,-0.00048947-0.000336i,-0.00010326-0.00036255i,-0.00020177-0.0013658i,-0.00032604-0.0020243i,-0.00048411-0.001278i,-0.00077984-0.00045456i,-0.00055087+0.00021588i,-0.00090038+0.0004605i,-0.00095443-4.5917e-05i,0.00018629-0.00059467i,0.00073419+0.00016137i,-4.5817e-05+0.00096388i,-0.00090266-5.3731e-05i,-0.00045216-0.00068631i,-0.0002058-0.00013134i,-0.00073487-0.00057145i,-0.00031005-0.00092552i,2.2762e-05-0.00011253i
-0.00056253-0.00059111i,-0.00029513-0.00058048i,-0.00091894-0.00074815i,-0.00098808-0.00075437i,-0.0002652-0.00022575i,-3.52e-05-0.00030534i,0.00069603-0.00076971i,0.00057314-0.0010043i,-0.00070169-0.0011809i,-0.0014504-0.0010259i,-0.0012377-0.00038627i,-0.00044789+0.00052967i,-0.0005956+0.0011607i,-0.00076497+0.0010467i,-0.00090942+0.00069748i,3.914e-05+0.00051032i,-0.00039523-6.7078e-05i,-0.0015503-0.0010005i,-0.00066838-0.00094111i,-0.00050448+4.4329e-05i,-0.0011985+0.00042657i,-0.00058608+0.00028574i,0.00039982-0.00036665i
