-0.0041765+0.0011454i,-0.0034488+7.5968e-05i,-0.0043651-0.00074546i,-0.004431-0.0012774i,-0.0039262+0.00021289i,-0.0022734+0.0021431i,-0.00042272+0.0028635i,0.0010149+0.0029874i,0.0013108+0.001586i,0.0015348+0.00020599i,0.0015341+0.00018549i,0.00089135-0.00015668i,0.00023568+5.2697e-05i,-0.00069553+0.00012005i,-0.00055392+8.8428e-05i,0.00026805+0.00033952i,0.00043068+0.00015864i,-1.4056e-05-0.00012952i,-0.00049498-0.00010964i,-0.00061033-9.1952e-05i,-0.00092615-0.00022481i,-0.00052751-0.00013425i,0.00038003+1.7167e-05i
0.0011507+0.0018333i,0.0016598+0.0013551i,0.001219+0.00085775i,-0.00021617-0.00053254i,-0.00097426-0.00055214i,-0.00053568+0.00098133i,0.00050899+0.001204i,0.00083813+0.0006661i,0.00055834+0.00045282i,0.00081806-0.00015314i,0.00060602-0.00024223i,-0.00027285+0.00033339i,-1.3606e-05-0.00015809i,-5.6758e-05-0.0007512i,-0.00057784-0.00080297i,-4.174e-05-0.00069403i,0.00060408+9.1089e-06i,0.00062779+0.00060491i,-2.6551e-05+0.00027i,7.306e-06-0.00040754i,-5.1869e-05-0.00074225i,-0.00047811+8.4023e-05i,-0.00027367+0.001013i
-2.761e-05+0.00046828i,0.0011068-1.3317e-05i,0.0016294-0.0014151i,0.00072792-0.0027429i,-0.00055246-0.0023083i,-0.0012257-0.001252i,-0.00078027-0.00023312i,-0.00016599+0.00071423i,-0.00058674+0.0012381i,-8.2682e-05+0.0011954i,0.00053364-0.00010636i,3.0433e-05-0.00069947i,-0.00022719-0.00026471i,-0.0002238-0.00022073i,-0.00041488-0.00029162i,-0.00038744+0.00030142i,-7.7782e-05+0.0004943i,2.4962e-05-0.00033258i,-0.00016987-0.00074584i,-2.3822e-05-0.00078449i,0.0004611-0.00051595i,2.5171e-05+0.00030671i,-0.00046157+0.000322i
0.00028599+0.0010255i,0.0015199+0.0016771i,0.0013235+0.00066105i,-0.00047827-0.00092706i,-0.0019165-0.0012163i,-0.0021579-0.00080583i,-0.0010874+0.00036701i,0.00022744+0.00095797i,0.00077207+0.00057407i,0.00060091+0.00062757i,0.00045832+0.00051543i,0.00060966-6.0085e-05i,0.00089738-7.4086e-05i,0.00080581-7.4877e-05i,0.00034083-0.00033303i,0.00046664-0.00032234i,-0.00018026-0.00046495i,-0.0011434-0.00056863i,-0.0010942-0.0002431i,-0.00058436+0.00060135i,-3.7525e-06+0.0013286i,0.00024921+0.0008806i,0.00028641-0.00027191i
0.00096771+0.0013891i,0.00021159+0.0010409i,0.0006736+0.00044352i,1.4757e-06+0.00024956i,-0.0013557+0.00057929i,-0.0011924+0.0007103i,-8.335e-05+0.0017671i,0.0010105+0.0018957i,0.0016514+0.00052596i,0.0018191-0.00027734i,0.0013673+0.00021219i,0.00041549-0.00011833i,-0.00036005-0.00031608i,-0.00055796-0.000175i,0.00018713-3.2317e-05i,0.00028743+0.00048579i,0.00046843+0.00049548i,0.00060435+0.00034178i,0.00019795-6.9412e-05i,0.00014371-0.00017214i,-0.00027135-3.5715e-05i,-0.00064986-0.00071239i,-0.00034223-0.00073099i
-0.00050854-0.00030319i,-0.00079023-0.00050423i,0.00030995-0.00076554i,0.0006118-0.00057149i,-0.00065475+0.00023747i,-0.0011343+0.00059799i,-9.1329e-05+0.00036517i,0.00056218+0.0003498i,0.00059939+0.00059376i,0.00036894+0.0010557i,-8.3726e-05+0.00072503i,-0.0010672-0.00040443i,-0.00093425-8.7922e-05i,-3.5681e-05+0.00048147i,-3.9661e-05-0.00071109i,-0.0004997-0.0014122i,-0.00081537-0.00085501i,-0.00023311-9.7948e-06i,1.3574e-05-0.00032649i,-1.913e-05-0.00042832i,0.00030969-6.2503e-05i,0.00019497+0.00070471i,-0.00011993+0.00078697i
0.0013387-4.4243e-05i,0.0008208-0.00025274i,0.00079851+0.00019292i,-0.00078893-0.00026935i,-0.0022493-0.00046276i,-0.0017942+0.00041096i,-0.00067696+0.00069735i,0.00030399-6.1513e-05i,0.00031458-0.00040515i,0.00055893-0.00042377i,0.0011405-0.00081947i,0.00014249-0.00045873i,-0.00038001-0.00010854i,2.5949e-05+0.00049065i,-9.9279e-05+0.0008976i,-6.1212e-06+4.9126e-05i,2.4492e-05-0.00035164i,-0.00034519-0.00010998i,-0.0013338-3.7316e-05i,-0.0011246-0.0003414i,-0.00083892-0.00012344i,-0.00083244+0.00015714i,-0.00039136+0.00023352i
0.00078114+0.0015757i,0.00067518-5.1058e-05i,0.00052725-0.00053655i,-0.00050859-0.0014613i,-0.0010566-0.0018894i,-0.00065459-0.00076615i,-0.00018289+0.00044399i,0.00051867+0.0010215i,0.0009851+0.001032i,0.0010532+0.0003731i,0.0019124-0.00020404i,0.001853-8.7592e-05i,0.00065335+0.00021763i,-0.00014179+0.0011017i,-0.00068244+0.0012996i,-0.00071438+0.0008012i,8.1743e-05+0.0003654i,0.00056394-0.00030121i,0.00032383-0.00034745i,0.00040311+8.0713e-05i,0.00018522+0.00039813i,0.00026806+0.00044885i,0.00014563+0.00068585i
-0.00083008+0.0021202i,0.00041959+0.0029442i,0.0016+0.0019557i,0.00096087-0.00041966i,0.0004187-0.00041226i,0.00053773+6.3503e-05i,0.0010285+0.00048848i,0.0013596+0.00016031i,0.00088262+0.00030765i,0.00044949+0.00072728i,0.00086901+8.7927e-05i,0.00090236-0.00038723i,0.00066547+0.0001507i,0.00018842+0.00054836i,0.00023615+0.00034712i,0.00026465+0.00074685i,-0.00033341+0.00042714i,1.7408e-05-0.00084583i,0.00054522-0.00074135i,0.00030304-0.000344i,0.00030647+0.00014969i,2.4679e-07+0.00063553i,-0.00031924+0.00036967i
-0.00032923+0.0022279i,0.00024443+0.0027731i,-0.00017121+0.0020625i,-0.00088894+0.00078341i,-0.0011549-4.8164e-05i,-0.0012802-0.00011664i,-0.00087668+0.00076258i,0.00013758+0.001224i,0.00053632+0.00062454i,0.00062278+0.00017268i,0.00057788+0.00031294i,0.0007091-8.7266e-05i,0.00069643+0.00029833i,0.00051104+0.00028065i,0.00052391-0.00047018i,0.00012739-0.00050197i,-6.9773e-05-0.00033278i,-0.00038067+0.00014738i,-0.0010133+0.00028737i,-0.0013288-0.00053942i,-0.0011616-0.00053519i,-0.0011214+0.00059251i,-0.0011773+0.0010429i
0.0022558-0.0021208i,0.0011675-0.002868i,-3.3411e-05-0.0047727i,-0.00099931-0.0045161i,-0.0026139-0.0021647i,-0.0023423+0.00052395i,-0.00041028+0.0011013i,0.00057901+0.00044489i,0.0004778+0.00083767i,0.00023195+0.00094083i,-3.2044e-05+0.00026577i,-0.00048437+4.7565e-06i,-0.0010337+3.0469e-05i,-0.001001-7.0357e-07i,-0.00045148+0.00028389i,0.00032143+0.00072818i,0.00013234+0.00042818i,-0.00059927-0.00029348i,-0.00035944-2.6288e-05i,0.00032068-0.00023577i,0.00064788-0.00032638i,5.2603e-05+0.00046008i,-0.0006294+0.00035903i
-0.0027247+0.0006046i,-0.0033412+0.00078887i,-0.0027282+0.00097611i,-0.00165+0.0015027i,-0.00052031+0.0026095i,-0.00035068+0.0029142i,-0.00034607+0.0026621i,-0.00017795+0.0022505i,-0.0005158+0.0017136i,-0.00015884+0.00075902i,0.00035584+5.6237e-05i,-3.7254e-05+0.00052482i,-0.0010086+0.00095796i,-0.0014049+0.00097639i,-0.00099139+1.2868e-06i,-0.00017385-0.00090779i,-0.00015473-0.00053328i,-0.00043515+0.00015801i,0.00016975+0.00023709i,0.00067933+0.00020384i,0.00050996+0.00038688i,-8.8988e-05+0.00095054i,-0.00041914+0.00088149i
-0.0010847-0.0028462i,-0.0015129-0.0026062i,-0.0019386-0.0026714i,-0.0024992-0.0023349i,-0.0024314-0.00054182i,-0.00099963+0.0010338i,-0.00011958+0.0013663i,-0.00016494+0.0016123i,-5.3297e-05+0.00090956i,-2.7342e-05+0.00021732i,-0.00068203+0.0010139i,-0.00081824+0.0014852i,-0.00018318+0.00055667i,-0.00049113+0.0001582i,-0.00048946+0.00058138i,0.00059458+0.00075781i,0.0010869-0.00028373i,0.00092556-0.00095479i,0.00059631+0.00013938i,0.00037811+0.00051296i,0.000248-0.00041142i,-0.00020676-0.00019024i,-0.00050016+9.262e-05i
-0.0012971-0.0022966i,-0.00085347-0.0026526i,-0.00086078-0.0013307i,-0.0010035-9.9595e-05i,-0.0012236-0.00037281i,-0.0011154-0.00053875i,-0.00052381-0.00023587i,1.1e-05+4.2066e-05i,-0.00045304+0.00022446i,-0.00098979+0.00056005i,-0.00030712+0.00092498i,-0.00019251+0.0012002i,-0.00010317+0.0011649i,0.0002275+0.0002564i,-0.00021056-0.00046467i,-0.00033136-1.3995e-05i,-0.00011042-0.00018452i,-0.00065429-0.00067391i,-0.00077231+0.0002412i,-0.00029554+0.00061386i,-0.00042301-1.8922e-05i,-0.00059088-0.0004256i,0.00012086+0.00034794i
-0.0011337+0.0026056i,-0.00095052+0.0032689i,-0.0014428+0.0021263i,-0.0022198+0.00074346i,-0.0024645+0.0011169i,-0.0024444+0.001503i,-0.0012582+0.00092023i,0.00047862+0.00034268i,0.00086146+0.00058552i,-0.00012746+0.00096161i,-0.00047333+0.00035011i,0.00056133+0.00022488i,0.0014922+0.00025329i,0.0015651-0.00037142i,0.00067299-0.00047272i,0.00058569+0.00041253i,0.00090501+0.00071094i,0.00060258-8.4782e-05i,0.00081473-0.0007756i,0.00082029-0.00069878i,0.00043845-0.00050604i,-0.00029362-0.0001222i,-0.00099855+0.00049181i
-0.00074774-0.00019724i,-0.0012352-0.00066628i,-0.0011673-0.0014191i,-0.00019707-0.0014002i,-0.00036042-0.0011288i,-0.0016248-0.00010661i,-0.0017252+0.00058806i,-0.00079338+0.00094971i,7.7593e-05+0.0013879i,0.00044008+0.0017924i,0.00027362+0.0014291i,0.00035723-8.163e-05i,-0.00011256-0.00016383i,-0.00065529+7.0439e-05i,-0.00072952-0.00010477i,-0.00052093+0.00043409i,-0.00052087+0.00072604i,-0.00045889+0.00022361i,-0.00042925-0.00062097i,-0.00083693-0.00058253i,-0.00051424-0.00017069i,-0.00047328+3.6088e-06i,-0.00071263+0.00051124i
-0.00044131+0.0019219i,-0.00054138+0.0020549i,-9.0158e-05+0.0020632i,-0.00017646+0.001554i,-0.0010592+0.0017689i,-4.5766e-06+0.0019552i,0.00071002+0.0014736i,0.0010493+0.0011794i,0.0012621+0.00045273i,0.0013401+1.6288e-05i,0.0015199-0.00022245i,0.00077289-0.0003013i,-0.0005738-0.00014226i,-0.0011118-0.00015397i,-0.00045553+0.00045787i,-3.7527e-05+0.00011066i,-0.00017267-0.00047399i,-0.00054302+0.00011234i,-0.00035077+0.00069395i,-0.00032964+0.00020069i,-0.00038244-0.00035701i,-0.00011784-0.00040207i,-0.00022118-6.368e-06i
-0.0024041-0.0019586i,-0.0020086-0.0032259i,-0.0032055-0.0050039i,-0.0036891-0.0045147i,-0.0031623-0.0020546i,-0.0019585-2.8105e-05i,-6.3712e-05+0.00016034i,0.00074585-0.00025507i,0.0008465+0.00022039i,0.00062506+0.00066252i,0.00029272+0.00043828i,-0.00023484+0.00037316i,-0.00087356+0.0004286i,-0.0013232+0.00055897i,-0.00087032+0.00075026i,1.5873e-05+0.00062411i,0.00040174+0.00028358i,0.0003477+0.00041431i,0.00094201+0.00029221i,0.0014436-0.00092289i,0.00053163-0.0014039i,-0.00045899-0.00089844i,-0.00046-0.00081438i
-0.002885-0.0011032i,-0.0029616-0.00082815i,-0.0031054-0.000863i,-0.0034644-0.00050167i,-0.0032414+0.0012034i,-0.0018082+0.0024968i,-0.00011013+0.0023261i,0.00023287+0.0011489i,-0.00032049+0.00043655i,-0.00025776+0.00039319i,7.364e-05+0.00071652i,-0.00037107+0.00091348i,-0.00086435+0.00073387i,-0.0013119+0.00036916i,-0.00070717+0.00073013i,0.00020356+0.00047554i,0.00033094-0.00054189i,0.00047432-0.0002911i,0.00013518+0.00068555i,-0.00041075+0.00026078i,-0.00019521-0.0008581i,-9.9238e-05-0.00032818i,-0.00023543+7.867e-05i
0.00075905+0.00027007i,0.00079499-0.0015311i,0.0012316-0.003087i,0.00037497-0.0031352i,-0.0014075-0.0016222i,-0.0017562+0.00032628i,-0.0010416+0.0016911i,-0.00059804+0.0015944i,0.00010926+0.00060402i,0.00097835+0.00093553i,0.0012748+0.0011107i,0.00081017+0.0010202i,0.00053556+0.00067126i,0.00033816+0.00031176i,-0.0001748+0.00065709i,0.0003544+0.00059016i,0.00060276-0.00055258i,-0.00012037-0.00079421i,-0.00063412-0.00057562i,0.0004813-0.00017916i,0.00056939+0.000336i,-0.00059762+0.00043199i,-0.00049033+0.00048243i
-0.00083715-0.00037725i,-0.00098476-0.00044073i,-0.0013403-0.00027231i,-0.0024347-0.00091355i,-0.0028228-0.00013479i,-0.0021566+0.0023342i,-0.00095808+0.0021748i,-0.00016871+0.00046411i,0.00050197+4.274e-05i,0.0014452+0.00057231i,0.0016786+0.00030232i,0.001319-0.0001479i,0.00068151-0.00022443i,-0.00086618-0.00016049i,-0.00085659+0.00015519i,-0.0003745+0.00026917i,-0.00025545-0.00016867i,1.6252e-05-0.00053006i,6.2375e-05-0.00015293i,0.00043522+0.00041929i,0.00078531-0.00027118i,0.00057744-0.0013456i,0.00047695-0.00070732i
0.0022918+0.0019008i,0.002246+0.0019651i,0.0016902+0.0012588i,-0.00030485-3.6633e-05i,-0.00096292-0.00063214i,-0.00041518-0.00073279i,-0.00015375-0.00077308i,0.00070618-0.00041063i,0.0012236-6.9586e-05i,0.0010234-0.00072407i,0.0011201-0.00099396i,0.00044442-0.00093597i,0.00012194-0.0010642i,0.00048949-0.00039388i,2.7509e-06-7.0728e-05i,-0.00032218-0.00042777i,4.1173e-05-3.9344e-05i,0.00069591+0.00095474i,0.0012636+0.00090223i,0.001082+0.00035i,0.00058008+0.00015451i,-8.5736e-05+0.00032538i,-0.00057765+0.00036849i
-0.00019674+0.0002975i,-0.0012187-0.00027703i,-0.0012372-0.00098139i,-0.0018136-0.0013018i,-0.0021718-0.0015389i,-0.0025669-0.00085826i,-0.0027484+0.00032102i,-0.0011842+0.00054126i,0.00053186+0.00063988i,0.0016792+0.00056873i,0.001549+0.00013056i,-5.3692e-05-0.00051797i,-0.0005703-0.00069621i,-0.00026406-0.00036042i,-0.00041308-0.00028096i,-0.0005496+0.00031702i,-0.00047624+0.00035811i,-0.00065157-0.00036477i,-0.00035221-0.00080486i,-0.00036803-0.00066406i,-0.00042898-0.00034671i,-0.0008044-0.00045206i,-0.0006361-0.00028798i
0.001087+0.00025129i,0.0014065-0.00027005i,0.0017885-0.0012216i,0.00015646-0.0016299i,-0.0019673-0.001248i,-0.0018666+0.00028348i,-0.00053565+0.0016401i,4.3242e-05+0.0011159i,7.128e-05+0.00024645i,2.8482e-05+0.00071659i,-0.00041749+0.00091702i,-0.0007264+0.00032092i,-0.00046148-0.0003781i,-0.00034225-0.00080696i,-9.252e-05-0.00055515i,-0.00014962-0.00033225i,-0.00027212+0.00017887i,-0.00044989+0.00072728i,-0.00083331+0.00020427i,-0.0012479-0.00055475i,-0.001268-3.2456e-05i,-0.001045+0.0010071i,-0.0002428+0.0010043i
-0.00061227+0.0020464i,0.0002158+0.0024744i,0.0010203+0.0017852i,0.00043125+0.00086881i,-0.0012845+0.0010968i,-0.0013735+0.0011862i,0.00026998+0.00084766i,0.00061192+0.00099474i,-0.00039552+0.00069052i,-0.00055424+5.8779e-05i,-0.00041498+4.3718e-05i,-0.00021638+6.9771e-05i,9.421e-05+0.00039049i,-0.00030445+0.00072272i,-0.00031071+0.0012162i,0.00033072+0.0012464i,0.00026782-8.1607e-05i,1.771e-05-0.00030672i,-0.00036341+7.3002e-05i,-0.00066995+0.00015121i,-0.00089563+0.00030423i,-0.0012841+0.00045917i,-0.00020141+0.00026301i
0.0012013+0.00028749i,0.0018999-0.00089465i,0.0020385-0.001832i,0.00035289-0.001002i,-0.0014441+0.00033262i,-0.0018707+0.00087224i,-0.00048756+0.00061016i,0.0011336+0.00038604i,0.0014845+0.00084633i,0.0011863+0.0012866i,0.00066127+0.00099909i,0.00064373+0.0010109i,0.00062451+0.0011176i,-9.6343e-05+0.00083787i,-0.00039088+0.00076253i,0.00022718+0.00052197i,0.00079981+0.00033722i,0.00022613+0.00031536i,-0.00022188+0.00057561i,-0.0001154+0.0004448i,-0.00031077-0.00047116i,-0.0001271-0.00066118i,0.00012136-0.00033059i
-0.0023186+0.001703i,-0.0025447+0.0023842i,-0.0024412+0.0043395i,-0.0017541+0.0040279i,-0.001491+0.0030244i,-0.0011213+0.0024646i,-0.00066797+0.0018435i,-0.00039535+0.0011471i,-0.00043743+0.0010302i,8.8132e-05+0.0010537i,0.00027253+0.0012139i,0.0011709+0.00066054i,0.0019237+0.00036503i,0.00087307+0.00064864i,0.00020268+0.00056054i,0.00070328+0.00099739i,0.00074137+0.00055234i,0.00017009-0.00051968i,-0.00038314-0.00090306i,-0.00037926-0.00051202i,-0.0001585-0.00062797i,-0.00053183-0.00062538i,-0.0010182-0.00037071i
0.00074203-0.0026739i,0.00082595-0.002126i,6.5981e-05-0.0029243i,-0.0015018-0.0039564i,-0.0018332-0.0019523i,-0.0010622+0.00085376i,-0.00061385+0.0013513i,-0.00022288+0.00032148i,0.00028326+0.00059564i,0.00064526+0.0013861i,0.00067192+0.0010614i,0.00018781+0.00062864i,-0.00026571-0.00021019i,-0.00096866-0.00098134i,-0.0015581-0.00050047i,-0.0012398-1.8712e-07i,-0.00050987+0.00020027i,-0.00033118+0.00024658i,-0.00048967-0.00071836i,-0.00037763-0.0011002i,-0.00010541-0.00068714i,-6.0183e-05+0.00018049i,-0.00056977+0.00065033i
-0.0012068-0.0016661i,-0.0011831-0.0013618i,-0.0010862-0.00051183i,-0.00086118-0.00020027i,-0.001108-0.00031855i,-0.0013378+6.0079e-05i,-0.00040761+0.00023796i,0.00063728+0.00037334i,0.00061491+0.0010325i,0.00052038+0.00072403i,0.0010426-0.00025735i,0.00078039-0.00056778i,-0.00038313-0.00011947i,-0.00048541-0.00012876i,-4.9887e-05+0.00041642i,-0.00077098+0.00061681i,-0.0010631+0.00020391i,-0.00069382-0.00031787i,-0.0003744-0.0006151i,8.0534e-05-0.00064083i,5.1334e-05-0.00071825i,-0.0011526-0.00033718i,-0.0014557-0.00056148i
0.00061568-0.00034986i,0.0019449-0.0011783i,0.0020303-0.0024787i,0.00035749-0.002638i,-0.0013902-0.0016316i,-0.0020494-1.5014e-05i,-0.00073533+0.0005588i,0.00033371-0.00046316i,0.00043107-0.00079964i,0.00033259-0.00066165i,-0.00010822-0.00070441i,-0.00095878-0.0004561i,-0.0014547+0.00020093i,-0.0016258+0.00015484i,-0.0007268-0.00027606i,0.00013598-0.00041888i,0.00017842-0.00072608i,-0.00024697-0.00094362i,-0.00043394-0.00092169i,-0.00055658-0.00084642i,-0.00029142-0.00048184i,8.9399e-05-0.0005891i,-1.2123e-05-0.00057125i
0.00075631-0.0012003i,0.00029186-0.0008757i,0.000633-0.0011879i,-0.0016005-0.00073423i,-0.0038443+0.00024363i,-0.0029843+0.0012409i,-0.00090763+0.0011626i,-0.00033083+0.00030292i,-0.00045916+0.00083559i,0.00035671+0.0013395i,0.00024559+0.00042358i,-0.00056746-0.00041428i,-0.00098154-0.00017972i,-0.0017141+0.00012116i,-0.0012855+0.00041494i,0.00032542+0.00070152i,0.00083433-0.00020499i,0.00077979-0.00070373i,0.0004933-0.00049791i,-0.00045024-0.00055465i,-0.0013545-0.00058386i,-0.00093855-0.00071675i,-0.00033529-0.00044144i
0.00078143+0.00026831i,0.0015345-0.00025201i,0.0011228-0.0017757i,-0.00049192-0.0024376i,-0.0024081-0.00027694i,-0.0019255+0.0017017i,-0.0010124+0.0012252i,-0.00038163+0.0012185i,0.00027617+0.0015351i,0.00067527+0.00057457i,0.0006527-0.00026603i,0.00014394-0.00024755i,-0.00014098+0.00039715i,0.00059617+0.0011898i,0.0014483+0.0013175i,0.0012556+0.0010701i,0.00022305+0.00072784i,0.00044734+7.9743e-05i,0.00086566-0.00087974i,0.00065725-0.00074885i,0.00040316-0.00016607i,9.0327e-05+0.00051596i,-0.00012959+0.00058331i
-0.00058872-0.0012272i,-6.4873e-05-0.0011612i,-0.00045477-0.0012158i,-0.0010902-0.0016947i,-0.0013287-0.00048224i,-0.00066276+0.00050696i,0.00015596+0.00081437i,0.0003022+0.00091942i,0.00041076+0.0008351i,0.00029295+0.0010927i,0.00026668+0.0012468i,0.00066036+0.00080356i,0.00055836+0.0006411i,-0.00014655+0.00040484i,-0.00078104+0.00020275i,-0.00035748+0.00054825i,0.00031006+0.0013i,-4.5021e-05+0.0006706i,0.0001199-7.091e-06i,9.1033e-05+0.00032094i,-0.00032485+0.00031606i,0.00032336-0.0003886i,0.00027426-0.00028011i
0.00010554+0.001173i,-4.4198e-05+0.0015756i,0.00040034+0.00062295i,-0.00025014-0.0010577i,-0.0014404-0.00062721i,-0.0016713+0.00047073i,-0.00072458+0.00068819i,0.00043242+0.00031346i,0.0005457+0.0011316i,0.00073673+0.0016993i,0.0014339+0.00075334i,0.0015982-0.0001851i,0.00093548-0.0012642i,-8.1152e-05-0.00096205i,6.9237e-05-0.00090017i,0.00039025-0.0009468i,0.00023898-0.00038235i,0.00011174+5.8711e-05i,-0.00039748+0.0005776i,-0.00043037+0.00067938i,-0.00033738-0.00038497i,-0.00089169-0.0009793i,-0.00085531-0.00014402i
0.00086939-3.2579e-05i,-0.00054165-0.0011627i,-0.0015515-0.0031899i,-0.00092563-0.0027411i,-0.0016156-0.0018083i,-0.0023004-0.0010082i,-0.0012821-3.9085e-05i,0.00015127+3.4294e-05i,0.0013953-0.00042398i,0.0022613-0.00019119i,0.0025429-0.00017054i,0.0012449-0.00062527i,-0.00017543-0.001083i,-0.0006661-0.00099615i,-0.00057997-1.3508e-05i,-0.00078636+0.00042001i,-0.00108+0.00039502i,-0.00013106+0.00074701i,0.0011967+0.0011321i,0.0016692+0.00093617i,0.0010062+0.0004148i,0.00023779+6.3815e-05i,-0.00032441-0.00021547i
0.0018426-0.00025345i,0.0020283-0.0015095i,0.002031-0.0017045i,0.00091484-0.0022471i,-0.0011549-0.0013492i,-0.0024365+0.00028604i,-0.0016827+0.001323i,-0.0002445+0.0020835i,0.00027494+0.0017538i,0.00073622+0.0003294i,0.00064992-0.0003421i,-0.00061083-0.0003272i,-0.0011822+5.6621e-05i,-0.00080038-1.8473e-05i,-0.00022761-0.00022613i,-0.00026154+0.00043386i,-0.0007995-1.713e-05i,-0.00026894-0.00044684i,0.00049427-0.000171i,0.00052827-0.00037793i,-0.00071379-0.00025592i,-0.0018782-4.8608e-05i,-0.0011762-0.00030493i
0.0032624+0.0012721i,0.0031805+0.0025773i,0.0026642+0.0016173i,0.00044805-0.00092572i,-0.001047-0.0022608i,-0.0018062-0.00075937i,-0.00038194+0.00074086i,0.0012263+0.001221i,0.0012065+0.001283i,0.0012278-0.00020115i,0.00067436-0.0013257i,-0.00034347-0.00098477i,-0.00090006-0.00066433i,-0.0007808-0.00059919i,-0.0010476-4.8127e-05i,-0.00085944+0.00027194i,-0.00011706+0.00014653i,-0.00037813+2.532e-05i,-0.00071153+3.4326e-05i,-0.0012965+3.6462e-05i,-0.0014446-7.4943e-05i,-0.00063689+0.00024928i,-0.00020558+4.3462e-05i
0.00081096-0.0005909i,0.0016181-0.00047133i,0.0017293-0.00064635i,0.00038267-0.0012973i,-0.00086867-0.0012315i,-0.00073549-0.00091064i,9.8385e-05-0.00035426i,0.00037613-0.00034483i,0.00081033-0.00068003i,0.00022084-0.00080736i,-0.00070502-0.00097732i,-0.00087361-0.00033249i,-0.00061247+0.00049219i,-0.00011003+0.00062992i,0.00031935-8.8301e-05i,0.00019824-0.00054265i,3.0959e-06-0.00062554i,0.0003229-0.00027287i,0.00020779+0.00016219i,0.00013648+4.4748e-05i,0.00043382-0.00034019i,0.00033598-0.00032042i,-0.00039116-0.00012385i
-0.0016022+0.0022049i,-0.00076577+0.0025509i,-0.00010419+0.002764i,-0.00029243+0.0023429i,-0.00094615+0.0015439i,-0.001046+0.00091377i,-0.0005206+0.0010188i,-4.9375e-05+0.0010442i,-0.00048868+0.00097478i,-0.00048701+0.0015254i,0.00038211+0.0019028i,0.00083832+0.0014075i,0.00059702+0.0012442i,-0.00030018+0.00065779i,-0.00049907+6.9364e-05i,4.9908e-05-0.00083517i,0.00034047-0.0018486i,7.1976e-06-0.0015476i,-0.00035825-0.00051916i,6.6212e-06-0.00069236i,0.00036015-0.00068995i,0.00030894+7.3025e-05i,0.00057184+0.00052777i
0.0017693+0.00056849i,0.0026493+0.00035807i,0.0034231-0.00041722i,0.0024985-0.0015294i,0.00082706-0.0011991i,-0.00041276-0.00053934i,-0.00027957-0.00020729i,0.0004525-0.00030176i,0.0008727+9.6016e-05i,0.00098121+0.00053792i,0.00094956-4.035e-05i,0.00055899-0.00094594i,0.00046407-0.0007266i,0.00033053-1.9935e-05i,-0.0005722+0.0001778i,-0.00039831+0.00087262i,-2.0602e-05+0.00039243i,0.00039026-0.00097643i,0.00067573-0.0008116i,0.00073141-0.00057109i,0.00094253-0.0007444i,0.00098092-0.00059921i,0.00091083-0.00028862i
0.00065324-0.00080585i,0.0013206-0.0015528i,0.00065729-0.0025066i,-0.0013839-0.002925i,-0.0021398-0.001962i,-0.0014657-5.5075e-05i,-0.00022991+0.00025967i,0.0008453-0.0005121i,0.00086688+0.0008939i,0.00081433+0.0019365i,0.0010165+0.0014621i,0.0011555+0.00052145i,0.0006345-8.2969e-05i,1.7284e-05-0.00040052i,-6.2115e-06-0.00087194i,-0.00019458-0.00051214i,0.00018018+0.0001796i,0.00011171-3.1728e-05i,-0.00014679-0.00036877i,0.00024274-0.00071572i,0.00013647-0.00056745i,-6.9225e-05+1.8873e-05i,-0.00054139+0.0003822i
-0.00068957-0.0020634i,-0.00065411-0.0024323i,-0.0018347-0.0027321i,-0.0027264-0.00092243i,-0.0024752+0.00056609i,-0.0012761+0.00072606i,-0.00017557+0.00044378i,0.00078667+0.00021975i,0.00086549+0.00022114i,0.00037809+0.00052357i,0.00066044+0.00080119i,0.00062918-0.00016593i,0.00016463-0.00072295i,-0.00019422+0.00026592i,-0.00043708+0.00075306i,-0.00040562+0.00051385i,0.00011793+0.00053876i,0.00071645+8.8369e-05i,0.00055243-0.00075585i,-0.00064195-0.00024795i,-0.0012238-0.00026355i,-0.00097384-0.00054146i,-0.00063341-3.0513e-05i
-0.00096885-1.9525e-05i,-0.00082875+0.00053567i,-0.00019422-6.7546e-05i,-6.6839e-05-0.00049351i,-0.00096302+0.00060295i,-0.0013125+0.0011358i,-0.00113+0.0014298i,-0.00037365+0.0011496i,0.00047712+0.00065414i,0.00071584+0.00048738i,0.00080015+0.00040974i,0.00046063+0.00040842i,-0.00050191+0.00053787i,-0.0012383+0.00075649i,-0.00051025+0.00058714i,-3.1429e-05+0.00045129i,-8.7971e-05+0.00018736i,-0.00012985+0.00027904i,5.1942e-05+0.00063336i,0.00026201+0.00072525i,-1.5624e-06+0.0004992i,-0.00031257+0.00040686i,-0.00015598+0.00041007i
