-0.0019268+0.00014391i,-0.001859-0.00020454i,-0.001484+8.8889e-05i,-0.00078213+0.00076884i,-0.00019068+0.0012292i,0.00063667+0.00054404i,0.00072297-0.00034592i,-9.7457e-05-0.00031459i,-0.0007139-0.00012124i,-0.00064696+0.0002294i,-0.00028073-0.00040579i,-0.00055372-0.00093704i,-8.9917e-06-0.0010875i,0.00058364-0.0010573i,0.00036512-0.00060594i,8.5423e-05-0.00040241i,0.00042803-0.00020399i,0.00052691-7.248e-05i,0.00023664-0.00058356i,0.00072376-0.0011554i,0.00079828-0.00032468i,-0.00021812+2.2743e-05i,-0.0007924-0.00068035i
-0.0012004-0.0027219i,-0.0018189-0.001851i,-0.0013834-0.00054307i,-0.0016604-0.00043609i,-0.0017443-0.0002687i,-0.0013333+0.00017233i,-0.00095215-0.00084893i,-0.00020304-0.0011713i,0.00037358-0.00016193i,0.00059946+0.00043083i,0.00049064-0.00016127i,0.0004631-0.00050035i,0.0010166-0.00026114i,0.00096338-0.00015122i,0.00044313-0.00057851i,0.00047527-0.00054492i,-2.0564e-05-0.00075692i,-0.00050248-0.00078126i,0.00015572+0.00011714i,0.00067816+0.00031901i,0.00021465-0.00027354i,-0.00027308-0.00055023i,-0.00040872-0.00035478i
0.001047+0.0010257i,0.0016319+0.001295i,0.00091504+0.0003198i,-0.00045035-0.00017881i,-0.00065067+0.00030583i,-0.00024075+0.00030483i,0.00018512-0.0004917i,0.0006161-0.00055319i,0.00061329+4.1424e-06i,-6.0856e-05-0.00010627i,-0.00059375-0.00034013i,-0.00030791-0.00093564i,-0.00045195-0.00069311i,-0.00076241-0.00011768i,-0.0001127+0.00020563i,7.2743e-05+0.00044443i,0.00022307+2.3077e-05i,-4.412e-05-0.00028835i,-0.0008727-8.5433e-05i,-0.00033738+0.00063295i,0.00079717+0.00093199i,0.00073938+0.00030015i,0.00075067+0.00028109i
0.00035866-0.0014682i,-0.001234-0.0011966i,-0.0021797-0.0013759i,-0.0022447-0.0010367i,-0.00222-0.00088055i,-0.0016854-0.00036695i,-0.00015915+0.00048445i,0.00053874+0.0003198i,0.00052072-0.00041751i,0.00022074-0.00057266i,-2.4704e-05-0.00033978i,-5.1341e-05-0.00043396i,1.1002e-05-0.00038489i,0.0005816-0.00027561i,0.00060788-0.0001863i,0.00030169-0.00076531i,0.00037232-0.00045534i,0.00029174-0.00015216i,0.00061093-0.00068743i,0.00095541-0.00056069i,0.00037662-0.00039827i,-0.00060593-0.00051535i,-0.00030525-0.00082159i
-0.00021905-0.00051497i,-0.0016314+0.00071311i,-0.0027785+0.00053939i,-0.003052+8.5433e-05i,-0.0022697+0.00068603i,-0.0014575+0.0012548i,-0.00066624+0.00082312i,-0.00023777-0.00033532i,9.3209e-05-0.00076619i,0.00081162+0.00028613i,0.00078146-0.00021917i,0.00092468-0.00071964i,0.00076184-0.0003159i,-0.00021113-8.6371e-05i,6.4573e-05+0.00025024i,0.00034629+0.000234i,-5.2263e-05+2.3061e-05i,-0.00040093-0.00011573i,-0.00029154-0.00025175i,-0.00040449-0.00062076i,-7.5525e-05-0.00026173i,0.00064038+2.4283e-05i,0.00031929-0.00033459i
-0.00050409+0.00070521i,0.00018123-0.00011719i,-0.00012972-0.00077453i,-0.0010698-0.00049357i,-0.00088162-7.5814e-05i,-0.00057846+8.4246e-05i,-3.0459e-05-0.0006257i,0.00013599-0.00067993i,0.00021841-0.00023817i,0.00069881-0.00043186i,0.00077458-0.00040672i,-0.00044118-0.00058917i,-0.0015309-0.00051664i,-0.00080198+0.00012221i,-5.0404e-05+0.00091966i,-0.00051853+0.00065379i,-0.00082091-0.00018233i,-0.00044521-9.5033e-05i,-0.00040768+1.1841e-05i,-0.00047559-0.00025941i,-0.00013754-0.00083591i,-0.00052634-0.0013934i,-0.00036531-0.00071432i
0.0012241+0.0011529i,0.00080476+0.00012855i,0.0014813+0.001141i,0.0013806+0.00069287i,0.00084129-0.0010232i,0.00015489-0.0014816i,-0.0010975-0.00057633i,-0.0015218+7.6785e-05i,-0.00031186-0.00015055i,0.0015057-0.00066459i,0.00094784-0.0015152i,-0.00077064-0.0022189i,-0.00090602-0.0019549i,0.00027992-0.00062321i,0.0010027+0.00022002i,0.00017221+0.00040373i,-0.00081898+9.7223e-05i,-0.00069173-0.00062605i,-1.37e-06-0.00058602i,0.00035586+0.00013703i,0.00082436+4.7467e-05i,0.00063615-0.00027242i,0.000342+0.00035756i
0.0017903+0.00046137i,0.00090266-0.00012734i,0.00038483-0.0017629i,-0.00079981-0.0019884i,-0.0019015-0.00087102i,-0.0013838-7.6163e-05i,-0.00086281+0.00044061i,-0.00038282+0.00013717i,0.00065889-0.00054817i,0.00050887-0.0012106i,-7.2736e-05-0.0012232i,-0.00029061-0.0015166i,0.00031506-0.0013376i,0.00022648-0.00086481i,-0.00030222-0.0005108i,0.00015114+0.00024859i,0.00014557-1.9599e-05i,-0.00038373-0.001214i,-0.00019451-0.0014142i,0.00068843-0.00072266i,0.00084772-0.00075049i,0.00083573-0.00075058i,0.0011742-3.9488e-05i
-0.00019134+0.0012372i,0.00062758+0.0014i,0.001155+0.00079799i,0.00025153+0.00013055i,0.00029017-0.0006843i,0.00012981-0.00052897i,-0.00065063+0.00019057i,-0.00071791+0.00061386i,8.2872e-05+0.0012185i,0.00095332+0.00083239i,0.00055427-3.4485e-06i,-0.00081234-0.00020462i,-0.00052445-0.0005133i,0.00031862-0.00055352i,0.00036069-0.00058545i,0.00054927-4.0671e-05i,0.000187+0.00049407i,-0.00026666-0.0001285i,8.2283e-05-0.0007908i,0.00080907-0.00063061i,0.0001158-0.00028655i,-0.00020641-0.00045923i,-0.00014959-0.00042875i
-0.0015225-0.0011212i,-0.0019261+6.9607e-05i,-0.0023141+0.00090874i,-0.0024185+0.00067286i,-0.0015913+0.000354i,-0.0010076+0.00014006i,-0.00058989-0.00016937i,-0.00024737-0.00056476i,-0.00030318-0.00063502i,-0.00028532-0.00075844i,5.3143e-05-0.00095912i,-0.00049952-0.00089564i,-0.0015637-0.0012148i,-0.0014238-0.0010844i,-0.00069021-0.00052152i,-0.00042785-0.00028443i,-0.00015092-0.00014333i,-8.1383e-06+0.00011847i,6.3319e-05+0.00026948i,0.00014132-0.00013148i,0.00040294-0.00026157i,0.00030433-0.00050217i,-0.00031247-0.00016824i
-0.00091668-0.0011082i,-0.001007-0.0012853i,-0.00014492-0.0013302i,0.00011932-0.00088197i,-0.00059919-0.00057183i,-0.00077419-0.00036895i,-0.00070249-4.1587e-05i,-0.0001794+0.00018576i,0.00037843+0.00032101i,0.00066887+0.00045286i,0.0007186+0.00025198i,0.00030248-0.00030812i,-0.00017256-0.0004227i,-0.00023261-0.00052915i,-0.00053728-0.00046546i,-7.1194e-05-0.00083375i,0.00050983-0.0012979i,-5.9584e-05-0.00089454i,0.00011081-0.00023061i,0.00015046-0.00013704i,-0.00060709-0.00034072i,-0.00052901-6.5318e-05i,-0.0001609+0.00034003i
-0.00066986-0.00019418i,-0.00013258+0.00054819i,-0.00011852+0.0012564i,-0.00029791+0.00099516i,-0.00087734-0.00039792i,-0.0015152-0.00040948i,-0.0015018-0.00015704i,-0.00099661+0.0001299i,-0.00020119+0.0003873i,0.00056991-1.741e-05i,0.00064375-0.00064903i,-0.00024684-0.0013189i,-0.00088212-0.0016377i,-0.00033995-0.0018942i,0.00054886-0.001148i,0.00063824+2.36e-05i,0.00030964+0.00030479i,0.00027003+0.00016908i,0.00039585-0.0002145i,9.2695e-05-0.0005653i,-0.00033699-0.00036058i,-0.0005308-0.00043484i,-0.00031215-0.00040253i
