-0.0015445-0.00075369i,-0.001466+0.00078303i,-0.0016133+0.0019141i,-0.00033262+0.0030588i,0.00057043+0.0037726i,0.00089764+0.0025268i,0.0013337+0.00079294i,0.0018334-0.00029302i,0.0020202-0.00073416i,0.0022138-0.00098183i,0.0025957-0.00080081i,0.0025963+0.00033388i,0.0018693-0.00017103i,0.00055272-0.0015358i,-0.00020376-0.00071455i,8.5806e-05-4.8212e-05i,0.00029968-0.00066776i,0.00020068-0.00072306i,-2.2544e-06+0.00018924i,-0.00017959+0.00037946i,-0.00053758-0.00024689i,-0.00074285-0.00023401i,-1.1467e-05+0.00037792i
0.00021342-0.00086521i,0.0012101-0.00168i,0.0003401-0.0015322i,0.00023525-0.00046372i,0.00095941+0.00048898i,0.00081889+0.00066146i,0.00054987-2.3509e-05i,0.0004906-0.00091677i,0.001218-0.0011076i,0.0016543-0.00038682i,0.00041639+0.00011665i,-0.0019003+0.00018253i,-0.0027465+0.00053082i,-0.0027259-0.00035418i,-0.0019177-0.0013469i,-0.00088418-0.0015456i,-0.00055389-0.001601i,-3.4659e-05-0.0011417i,9.9203e-05-0.00084923i,-0.00014809-0.00037037i,-0.00048163+0.00069488i,-0.00078965+0.00086909i,-0.00068859+0.00015465i
-0.00052533+0.002138i,0.00062243+0.0036734i,0.0015421+0.0043128i,0.0018663+0.002941i,0.0016858+0.0017099i,0.001111-0.00017582i,0.00072118-0.00092403i,0.00039133-0.0010048i,0.00077512-0.0018224i,0.00099678-0.0029692i,0.00064972-0.0030881i,0.00051727-0.002365i,0.00048313-0.0021466i,0.00035583-0.0019953i,0.0016821-0.0015806i,0.0028568-0.0011i,0.0017897-0.00086156i,0.00078279-0.00052765i,0.0007253-0.00020605i,0.00061919-0.00057564i,0.00025767-0.00079175i,-0.00029739-0.0005499i,-0.00037181-0.00058161i
-0.00089795-6.4876e-05i,-0.00061935-0.00075553i,0.00050134-4.2813e-05i,0.0014279+0.00078077i,0.0017487+0.00069576i,0.00074629+0.00053085i,7.7421e-05+0.00045543i,0.0014224+0.00011436i,0.0028573-0.00045752i,0.0028243-0.00031542i,0.0027706+0.00031152i,0.0022358+0.00050522i,0.00021949-7.2203e-05i,-0.0017073-0.0004069i,-0.0020713-0.00022319i,-0.0015412-3.1628e-05i,-0.00079334-0.00017607i,0.00011075-0.00026614i,0.00021683+0.00035697i,5.5537e-05+0.0010474i,0.00059105+0.00063043i,4.0749e-05+4.2268e-05i,-0.00047339-0.0001643i
0.0021715-0.00092394i,0.0013749-0.0024821i,5.9954e-05-0.0035339i,0.0001413-0.0026363i,0.00011182-0.0014854i,0.00099312-0.00099489i,0.0022361-0.0010107i,0.0023424-0.00091388i,0.0016522-0.0015017i,4.2904e-05-0.0017164i,-0.002166-0.0012581i,-0.0034227-0.0012178i,-0.0023201-0.00099i,-0.00088558-0.00062906i,-0.00023912-0.00096663i,0.00016464-0.0012487i,-0.00020918-0.00096687i,-0.0011209-0.0005202i,-0.0015236-0.00042969i,-0.0011255-0.00036514i,-1.1097e-05-0.0004507i,-0.0002502-0.00066449i,-0.0013201-0.00076557i
-0.00076316+0.0023027i,-0.00050045+0.0026796i,0.00013575+0.0023265i,2.9133e-05+0.0019503i,-0.00056472+0.0012215i,0.00029713+0.00061552i,0.0013965+0.0010789i,0.001503+0.00079841i,0.00073034-0.001428i,-0.00017799-0.003648i,0.00043008-0.0029992i,0.0022569-0.0012845i,0.0029233-0.00038387i,0.002415+0.00010905i,0.0019214-0.00013568i,0.00094688-0.00078681i,0.00016514-0.0010691i,0.00064587-0.0011146i,0.0014314-0.00026349i,0.0012265+0.00024383i,0.00064216-0.0002589i,0.00073141+0.00038616i,0.00045817+0.0005294i
-0.0013751-0.002507i,-0.0029599-0.0033858i,-0.0031201-0.0021695i,-0.0013483-0.00080488i,0.0001273-6.3192e-05i,-0.00024475+0.00052039i,-0.00051216+0.00027118i,0.00076035-0.0008143i,0.001211-0.0019062i,-0.00027812-0.0013377i,-0.0012055+0.00021334i,-0.00070479+0.001244i,-0.00076197+0.0009243i,-0.001753-0.00066312i,-0.0017639-0.0013943i,-0.001143-0.0010126i,-0.00058602-0.00036666i,-0.00024138+8.2182e-05i,-0.00018307+0.00033134i,-0.0002358+0.00025625i,-0.00040889-0.00027175i,-0.00053195-0.00038708i,-0.00077954+0.00014148i
0.001741-0.00043912i,0.0015737+0.00039424i,8.6197e-05+0.0011304i,-0.00054524+0.0014846i,-0.0011377+0.0012689i,-0.0012761+0.0010051i,0.00061369-5.0838e-05i,0.0018162-0.0011235i,0.00087212-0.0016836i,6.0407e-05-0.0023996i,-0.00026939-0.0024457i,-8.9409e-05-0.0018813i,0.0004063-0.0020205i,0.00058445-0.0030627i,0.00069009-0.0033828i,0.00031179-0.0022557i,-0.00073667-0.0010315i,-0.00090252-0.00033721i,-5.5103e-05-0.00053211i,-0.00027095-0.00073251i,-0.00091906-0.00016918i,-0.0012457+0.00069217i,-0.0006697+0.00017656i
-0.00088387-0.00015699i,-0.0015863-0.00032528i,-0.0017194+5.1551e-05i,-0.0010501-0.0010246i,0.00017077-0.0011445i,0.00027928-0.0003673i,0.00032191-0.00081603i,0.0010446-0.00084019i,0.0021581-0.00087487i,0.0029412-0.001407i,0.0026993-0.0013202i,0.0020786-0.00061397i,0.0016594+0.0001579i,0.0014423+0.00096773i,0.0011388+0.00071108i,0.00052018+0.00046025i,0.0002642+0.0004034i,0.0016052-0.00094861i,0.0028979-0.0015218i,0.0014736-0.00014851i,-1.8714e-06+0.0015248i,0.00055713+0.0015392i,0.0001976+0.00062786i
-0.0003903-0.00026377i,0.00051064+0.00020141i,0.00070303+0.0018858i,0.0014918+0.0022746i,0.0018591+0.0015954i,0.0022718+4.7832e-05i,0.0026447-0.0010712i,0.0025267-0.0014002i,0.0022518-0.0011592i,0.0021093-0.0013962i,0.00099341-0.00052796i,-0.00088697+0.0012351i,-0.0019823+0.00082229i,-0.0021443-0.000809i,-0.0021672-0.0013581i,-0.0014728-0.0014352i,-0.00093935-0.00055081i,-0.0012846+0.00075742i,-0.0011702+0.00078665i,-0.0012312+0.00036366i,-0.0013433+0.00067793i,-0.00075286+0.0011281i,-0.00018443+0.0011193i
