-0.0029923+0.00069891i,-0.0036397+0.00059708i,-0.0033936+0.0024311i,-0.00082384+0.0029646i,0.0010123+0.001569i,0.0010203+0.0013602i,-8.1233e-05+0.0029586i,-2.2577e-05+0.0035816i,0.0007406+0.0023995i,0.0009828+0.0012434i,0.00056117+0.00026152i,0.00054011-0.00091957i,0.00052373-0.0015057i,6.2299e-05-0.0013204i,-5.3802e-05-0.00019755i,9.021e-05+0.00069393i,0.00033939+0.00102i,-0.00022514+2.9134e-05i,-0.00036097-0.00052551i,0.00015527+0.00031698i,0.00012054-0.00056232i,0.00028708-0.00073206i,0.00026058+1.117e-06i
0.0035267+0.0017658i,0.0027751+0.00048534i,0.00087366-0.0015251i,-0.00069156-0.0029i,-0.001857-0.0028131i,-0.0021449-0.00052023i,-0.0012333+0.0016253i,-0.00049725+0.0020785i,-0.00018033+0.0014461i,0.00016304+0.00051355i,0.00074068+0.00066984i,0.00082442+0.00069578i,0.00061031+0.00029379i,0.00062776+5e-05i,0.00030886-4.2158e-05i,0.00027854-0.00061359i,0.00019807-0.00057406i,-0.0004856+3.135e-05i,-0.00018246+0.00071378i,-0.00029324+0.00091523i,-0.00049861+0.00013549i,-0.00015858-8.2991e-05i,0.00027114+0.00037795i
0.00092084+0.00093311i,0.001326-0.00081446i,0.0014228-0.0019043i,0.0015483-0.0021292i,0.00066987-0.0024236i,-0.00011532-0.0019693i,-0.00031458-0.00058987i,0.00051909+0.00053501i,0.00048984+0.00070662i,-0.00024381-9.5333e-06i,-0.00040542-0.00098636i,-5.7661e-05-0.00086704i,2.9706e-05-0.0008444i,0.0002661-0.00051622i,0.00098315+0.00052828i,0.00073837+1.1162e-05i,-8.0851e-05-0.00060541i,-0.00080194-0.00049763i,-0.00092162-0.00056951i,-0.00014775-4.9734e-05i,0.00011222+0.00070862i,-0.00035648+0.0014554i,-0.00065917+0.00087088i
0.0022293-0.00037223i,0.0027637-0.00069124i,0.0027934+0.00014999i,0.0014627-0.00012482i,0.00067573-0.00048432i,0.00079431+0.0002375i,0.00051341+0.0014269i,0.00035584+0.0022743i,-0.00030564+0.001257i,-0.00034535+0.00029341i,0.00041001-0.00030855i,0.00097309-0.00099141i,0.00078473-0.00070092i,0.00070791-0.0002428i,0.0010211+6.1789e-06i,0.0008831+0.00035494i,0.00045304+0.0010012i,0.00048752+0.0010043i,0.00087213+0.00056256i,0.00041107+0.00022122i,-0.00032595+0.00014917i,-0.00080016+1.3053e-05i,-0.00021865-0.00066347i
-0.0025873+0.0010356i,-0.0021674+0.0029772i,-0.00033519+0.0042276i,0.00083971+0.0032607i,0.00088224+0.0013574i,0.00084734+0.00027571i,0.00066155+0.00062116i,0.00062751+0.0013336i,6.3715e-05+0.00084821i,-0.00041398+0.00057041i,6.4293e-05+0.00047861i,0.00031278-0.00016372i,-0.00015385-0.00045137i,3.6894e-05-0.00077363i,0.00017011-0.0012259i,0.00048685-0.0009875i,0.00037891-0.00040324i,-0.00026542-0.00022089i,-0.00093293+9.9802e-05i,-0.0010819+0.00076638i,-0.00057369+0.00061105i,-0.00020557+0.00011715i,0.00010682+0.00010791i
-0.00010569+0.0019938i,-0.00041937+0.0028669i,-0.0003069+0.0010431i,0.00016853-0.0011629i,-0.00022624-0.0010514i,-0.00041432+0.00069234i,-1.8693e-05+0.0013418i,-0.0001729+0.0012236i,-0.00034906+0.00058488i,-0.00073654-0.00058557i,-0.00046206-0.0007569i,0.0003342+0.00037767i,-0.00072437+0.0010283i,-0.00064287-0.000154i,0.000246-0.00084619i,-0.00012781-0.00075478i,-0.00050185-0.0010105i,-0.00050396-0.00080447i,-0.00041491-0.00036097i,-0.0003474-5.1277e-05i,-0.00010944-0.00021913i,-0.00029967-0.00041944i,-0.00015297-0.00046147i
0.0010661+0.00040158i,0.0011179-0.0013539i,0.0014593-0.0022053i,0.0020039-0.0014321i,0.00089756-0.00069662i,0.00024433+8.1407e-05i,0.00014927+0.00037131i,-3.1044e-05-0.00012143i,-0.0003632-0.00021647i,-0.0010816+0.00038314i,-0.0017956+0.00074785i,-0.0013234+0.00048615i,-0.00021923+0.00015386i,0.00031777+6.8725e-05i,0.00025467+3.848e-05i,-0.00023994-0.00026062i,-5.678e-05-0.00065047i,0.00025369-0.001024i,-1.0208e-05-0.00090028i,8.8781e-06-0.0005309i,0.00029114-0.00044407i,0.00012868+0.00035683i,-6.2314e-06+0.00011352i
-0.0001383-0.00026901i,0.0011811+3.7372e-05i,0.0019967+0.0012013i,0.0013529+0.00076218i,0.0011551-6.7815e-05i,0.0012367-9.5283e-05i,0.00050512+0.00098942i,0.00041906+0.0013204i,0.00065922+0.00085318i,7.9166e-05+0.0013525i,-0.00029395+0.0018092i,0.0005709+0.0011327i,0.0013944+0.00024824i,0.00070221-0.00065888i,-1.4646e-05-0.00091274i,-0.00029399-0.00040346i,-0.00029056-0.00033981i,-1.4485e-05-4.1306e-05i,0.00064963+0.00061674i,0.0012645+0.00085239i,0.0012632+0.00052823i,0.0004368+0.00022467i,0.00027984+9.6696e-05i
0.0014669+0.0005257i,0.00080795-0.00021426i,0.0005628-5.3253e-05i,0.0011847-0.00087943i,0.0011573-0.0010314i,0.00030343-0.00012992i,-0.00044219+0.00099679i,0.00010421+0.0012162i,7.3342e-05+7.1394e-05i,-0.00044603+0.00019078i,-0.00022117+0.00085558i,-9.6454e-05+0.00043441i,0.0002909+0.00045457i,0.00018397+4.5352e-05i,-0.00020847-0.00077731i,-0.00093632-0.0012742i,-0.00038928-0.0011222i,0.00040896-0.00013789i,0.00023035+0.00049052i,-0.00069753+0.00068644i,-0.00055991+0.00088582i,0.0005865+0.0010964i,0.00024217+0.0007701i
-5.8789e-06+0.0017619i,-0.00023249+0.0016226i,-0.00025967+0.00082794i,0.00033952+0.00052678i,0.00089172+0.00065057i,0.00070149+0.00029534i,-4.9473e-05+0.00038597i,0.00026998+0.00042069i,0.00076539-0.00016215i,-0.00011634+6.1857e-05i,-0.00027059+0.00077805i,-3.8114e-05-1.1546e-05i,-0.00017164-0.00037988i,0.00026682+0.00058269i,0.00033445+0.00046268i,0.00015958+3.058e-05i,0.00024649-1.5689e-05i,3.877e-05-9.7178e-05i,-0.0002711+0.00056267i,-0.00043451+0.0004663i,4.8074e-05+4.9205e-05i,-1.4744e-05+0.00034i,0.00014985+0.00066298i
-0.0040007-1.5579e-05i,-0.0025554+0.0016i,-0.00087178+0.0027704i,0.00075748+0.0013848i,0.0013253+0.00071i,0.00066169+0.0010731i,-8.2364e-05+0.00088249i,-0.00011849+0.0004952i,-0.00017382+0.00062433i,-0.00045037+0.00058983i,1.4495e-05+0.00040892i,0.00081209+0.00016968i,0.00022256-0.00020129i,-0.00036758-0.00074467i,0.0001416-0.0013781i,-9.4459e-05-0.0012272i,-6.9695e-05-0.00099788i,0.00028693-0.00037495i,0.00064457+5.7695e-05i,0.0010469-0.00030032i,0.00044593-0.0015576i,-0.00064057-0.0010943i,-0.00040457+0.00043356i
-0.00041149-0.00025363i,0.00069648-0.00015144i,0.00077025-0.0010664i,0.00029797-0.00016431i,3.379e-05+0.00026633i,-0.00049548+1.0181e-05i,-0.00090011+0.00058547i,-0.00080871+0.00070223i,-0.00053212+3.0676e-05i,-0.00022525-7.8457e-05i,-0.00023165-0.00019336i,-0.0005281-0.0007216i,-0.00074657-0.00094254i,-0.00045547-0.0005945i,-0.0004528-4.6275e-05i,-0.0012347-0.00021236i,-0.00072707-0.00062455i,0.00036973-0.00036206i,-0.00010045+0.00046029i,-0.0006171+0.0007154i,-0.00048451+0.00059732i,-0.0003085+0.00039523i,-0.00021486-0.0006252i
0.0005485+0.0010886i,0.0012847+0.0015026i,0.001171+0.0005267i,0.0014436-0.0010629i,0.0018834-0.00044615i,0.00015425+0.00046641i,-0.00054431+0.00058138i,0.0011069+0.00097385i,0.0017882+0.0011641i,0.0011631+0.0011947i,0.00051014+0.0009533i,0.00017679+0.00031369i,0.00034734+0.00027282i,-0.00012832-0.00051097i,-0.00084181-0.0016633i,-0.0011167-0.001378i,-0.0012321-0.00028398i,-0.00079186+7.3202e-06i,-3.5945e-05+0.00087652i,-0.00038498+0.00098143i,-0.00031539-0.00027692i,-0.00058308-0.00010773i,-0.0014802+0.00045469i
-0.0016936+0.0021617i,-0.0021546+0.0015226i,0.00016222-6.2119e-05i,0.0024968-0.00043061i,0.0020105-0.00062558i,0.00059817-0.00024539i,0.00042261+0.00057983i,0.00065436+0.00032934i,0.00064832+0.00041483i,0.00068308+0.0010828i,0.00066939+0.00047053i,0.00040754-0.00045931i,0.00056042-0.00036082i,0.0011559+0.00031164i,0.0011223-0.00037871i,0.00084301-0.00063165i,0.00089467-0.00041259i,0.00079366-0.00060679i,0.00035421-0.00081845i,-0.0001005-0.00029755i,-0.00014372+0.00055082i,0.0002413-9.8434e-05i,0.00032947-0.00052413i
0.0022884-0.0020472i,0.0022858-0.0031319i,0.00055392-0.0035143i,-0.0010149-0.0032225i,-0.0012593-0.002186i,-0.0009865-0.00028512i,-0.00024674+0.00084973i,0.00040969+0.00096206i,0.0005016+0.00032458i,0.0003989+0.00020211i,0.0003043+0.00065367i,-0.00044241+0.0010019i,-0.00057366+0.00039108i,0.000121-2.4944e-06i,7.8951e-06+0.00033386i,-0.00059651-0.00041082i,-0.00055095-0.00099236i,-0.00065231-0.00047325i,-0.00055864-8.4842e-05i,-0.00013793+0.00047921i,-7.4686e-05+0.00069383i,-0.00021147+0.000376i,1.036e-05-0.00027308i
0.00078631+0.00048825i,0.0022387+0.0015602i,0.0039028+0.00081036i,0.0039335-0.00063975i,0.0026887-0.0017793i,0.0019685-0.0012662i,0.0017673-9.2779e-05i,0.0012896+3.986e-05i,0.00032197-0.00041024i,-0.00032015-0.0002236i,-0.0001949-0.00033676i,-0.00019752-0.00067497i,0.000229-0.0010472i,0.00018197-0.0010558i,-0.00041256-0.00078482i,-0.00061068-0.00053752i,-0.00037708+0.00014369i,-1.2866e-05+0.00037786i,0.00017992+0.00024321i,-1.6952e-05+0.00026418i,-0.00033478+0.00064517i,-0.00022072+0.0011188i,0.00026191+0.00072155i
-0.0017898+0.00177i,-0.00082041+0.0015686i,0.0015797+0.00095542i,0.0020661+0.0007656i,0.00019523+0.00072975i,-0.00032287+0.00080586i,0.00048532+0.0016492i,0.00063528+0.0017505i,0.0002478+0.00085564i,-9.5422e-05+9.3893e-05i,-0.00038919-0.00047093i,-0.00061518-0.0011008i,-0.00011851-0.0012888i,0.00066186-0.00076901i,0.00037543+6.4803e-05i,-0.00020962-0.00029416i,-0.0005749-0.00053389i,-0.00030753+6.5972e-05i,9.6354e-06+9.5005e-06i,-0.00012405+0.00038008i,-0.00021984+0.00061401i,0.00032171-0.00020005i,0.00079525-0.00087065i
0.0079415-0.011034i,0.0086127-0.014176i,-0.00074268-0.018443i,-0.0083371-0.012608i,-0.0099899-0.0030738i,-0.0056584+0.0039628i,-0.00036643+0.0035051i,0.0004243+0.00042557i,-0.0006001-0.0013399i,-0.0029186-0.0009071i,-0.00334+0.0010911i,-0.0013969+0.0021343i,-0.00025503+0.0018418i,0.00093711+0.0022141i,0.0017244+0.0025737i,0.00055704+0.00014976i,-0.00085242-0.0014187i,-0.00070453-0.00036113i,0.00017872-8.5474e-05i,0.00018872-4.4663e-05i,-4.5741e-05+0.00036454i,0.0005698-0.00028378i,0.001213-0.00097416i
-0.00013127-0.0019202i,-0.00013768-0.0026573i,-0.00060076-0.0030161i,-0.00076427-0.0011342i,-0.00068179+0.00044584i,-0.00040762+0.00097009i,-0.00059858+0.00063353i,-0.0010343-0.0002175i,-0.00025157-0.00033559i,0.00025201-0.0002406i,0.00020617+0.00030718i,-0.00010444+0.00064448i,-7.2962e-05+0.00078814i,0.00030545+0.00077404i,0.00015285+0.00023295i,5.8293e-05+0.00050196i,0.0005507+0.00063379i,0.00071941+0.00013228i,-8.3989e-05-0.00031308i,-0.00037395+4.9429e-05i,-4.9268e-05+0.00011479i,-7.5711e-05-0.00041676i,0.00013521-0.00024514i
-0.00029582+0.0022517i,0.00073717+0.0027621i,0.0013009+0.0016039i,0.0014483+0.0007301i,0.0018424+0.0010998i,0.00091523+0.0010446i,-0.00096267+0.0012423i,-0.0011629+0.001403i,-0.00015195+0.00133i,0.00080589+0.0015591i,0.0010442+0.00098782i,0.00065257+0.00075065i,0.00031746+0.00090622i,0.0002003+0.00029252i,8.1562e-05-0.00019712i,-2.3716e-05-0.00016401i,-0.00025115-0.00023155i,-0.00036758-0.00041924i,-0.00014949-0.00041256i,3.449e-05-0.0004344i,-0.00078467-0.00070712i,-0.00061364-0.00033366i,-0.00025517+0.00033233i
-0.00076085+0.0015864i,-0.0011313+0.0021363i,0.00088146+0.0029414i,0.0030582+0.0016542i,0.0030033+0.00024972i,0.0014359+0.00059028i,0.00079885+0.0005616i,0.0015241+4.7221e-05i,0.0016349-0.00030521i,0.00084346-3.4029e-05i,0.00059139+0.00094963i,0.001134+0.0012282i,0.00058668+0.00026991i,-0.0001904-3.4132e-05i,-0.00018202-0.00046682i,-0.00020416-0.00054193i,0.00027867-0.00020199i,0.00057868-0.00088228i,0.00066609-0.0015603i,0.00081248-0.00086727i,0.00042158-0.00011988i,0.00011952-0.00013772i,1.1635e-05-0.00011143i
0.00092193+0.00024754i,0.0010058-0.00034424i,0.0013825-0.0015997i,0.00088556-0.0022766i,0.00048189-0.0017445i,-0.00024672-0.0013419i,-0.00096938-0.00038717i,-0.00021427+0.00034499i,0.0010491+0.00071444i,0.001336+0.00022804i,0.00098519-0.00018183i,0.0008892-5.6538e-05i,0.00022993-0.00046411i,-0.00027573-0.00054825i,-0.00056826-0.00071501i,-0.00096082-0.0011399i,-0.00085066-0.00081027i,-0.00041077+8.3597e-05i,-0.00054491+0.00058137i,-0.00088718+0.00017588i,-8.5787e-05+0.00034675i,-0.00012045+0.00034659i,-0.00044049-2.4552e-06i
-0.00081494-0.00024299i,-0.0006483+0.00039524i,5.6345e-07+0.00073634i,-1.2339e-05+0.0013394i,-0.0011011+0.0011593i,-0.0014195+0.0017873i,-0.00032961+0.0023266i,0.00041715+0.0019213i,-0.0001821+0.001291i,-0.00067635+0.00038524i,-0.00038019+0.00040652i,-0.00020099+0.00052854i,-0.00057978-0.00062138i,-0.00013538-0.00089895i,0.00053097-0.00048181i,0.00068803+3.6405e-05i,0.00031963+0.00014414i,0.00033638-0.00034253i,0.0004355-0.00049069i,-1.1056e-05-3.3542e-05i,0.00032946+0.00042198i,0.00044545+0.00040143i,0.00017072+0.00045718i
-0.001079-0.00072069i,-0.001018+9.9263e-06i,-0.0017292-0.00019082i,-0.0012067-0.00044419i,-0.00061995-0.00019049i,-0.0004805+0.00071355i,6.5776e-06+0.001777i,0.001129+0.00095103i,0.0012598-0.0007228i,4.5639e-05-0.00084162i,-0.0010855-0.00068069i,-0.0011469-0.00055787i,-0.00024675+0.00060458i,0.0008425+0.0010574i,0.0013327+0.00041721i,0.00072919-0.00046892i,9.5994e-05-0.00093633i,-0.00020317-0.00059553i,-0.00020392-0.00014858i,-0.00051572-1.7932e-05i,-0.00064352+0.00029728i,-5.4711e-05+0.00035713i,0.00017083-0.00022657i
0.0010084-0.00045174i,0.0019791+0.00016357i,0.0022218-0.00025577i,0.0027267-2.261e-05i,0.0027459-3.1091e-05i,0.0014576+0.00058273i,-3.7009e-05+0.0010544i,-0.00063157+0.0010708i,-0.00060912+0.00030931i,-0.00069855-0.00012332i,-0.00083173-7.4866e-06i,-0.00031114-3.7431e-05i,0.00076454-0.00019022i,0.0012945-0.00070055i,0.0010313-0.0005641i,0.0008145-0.00018716i,0.00073062-0.00013145i,0.001246+0.00047307i,0.001097+0.000209i,9.7839e-05-0.00049941i,0.00040243-0.00062438i,0.00039262-0.00020472i,-0.00036388-0.00047319i
0.00027161+0.002066i,0.0010067+0.0024055i,0.0014335+0.0021471i,0.0022361+0.0012999i,0.0024778+0.001527i,0.0020118+0.0017091i,0.0013325+0.0017546i,0.00045844+0.0017092i,6.6197e-05+0.0011924i,0.00028277+0.00068098i,0.00038309+0.00074505i,0.0004092+0.00025404i,0.00023468-0.00037451i,0.00027371-0.00047286i,0.00026681-0.00074826i,0.00042997-0.00025756i,0.0011713+0.00034359i,0.00070466-0.00029414i,-0.00017453-0.00054661i,-2.9416e-05-0.00018034i,0.00018857-0.00014551i,0.00016958-4.686e-05i,-0.00017734+8.4671e-05i
0.00022357+0.0012796i,0.00027411+0.0023609i,0.0013004+0.0016075i,0.001675-0.00027748i,-0.00036661-0.0011291i,-0.0013654+0.00045153i,-0.00098919+0.0015505i,-0.00021447+0.001113i,0.00022486+0.00046112i,-0.00039269+9.6782e-05i,4.343e-05+0.0008304i,0.00051488+0.00085677i,0.00044668+0.00072835i,-0.00013226+0.00075238i,-0.0001922+9.9093e-05i,0.00022411-0.00061052i,-0.0006633-0.00062031i,-0.00096233-5.0834e-05i,-2.9337e-05+4.9704e-05i,0.00084108+4.7076e-05i,0.00068982-0.00022399i,0.00024312-0.0012709i,0.00014515-0.00088925i
0.0021124-0.0016954i,0.0015391-0.0030235i,0.0018484-0.0032751i,0.002245-0.0026003i,0.0014734-0.0018817i,-0.00043089+8.1756e-05i,-0.00059518+0.0018726i,0.00063782+0.0014952i,0.00024207+0.00076377i,-0.00027531+0.00053175i,0.00042786+0.00033307i,0.00064465+0.00029942i,0.00051886+0.00029162i,-7.1654e-05+0.00037475i,-0.00041804+0.00056153i,-0.0002364+0.00012116i,-1.2108e-05-0.0003336i,-0.0001693-0.00064553i,-0.00017469-0.00021551i,0.00022842-4.9372e-05i,0.00012054-0.00011875i,-1.6159e-05+0.00078394i,-0.00029688+0.0013478i
-0.00085314+0.0017982i,0.00063871+0.00093639i,0.0016883+0.00082835i,0.0020331+0.00040332i,0.0020745+0.00033502i,0.0014941+0.00014884i,0.00098978+0.00068257i,0.0006364+0.0014418i,0.00028445+0.0012741i,-5.6113e-05+0.00022012i,0.00032867-0.00084634i,0.00060097-0.00059085i,0.00041508+9.2525e-05i,-0.00011334-0.00017914i,-0.00079072-0.00020975i,-0.0011651-0.00050751i,-0.00046642-0.0011215i,0.00031191-0.00078821i,0.0004071+6.4292e-05i,-0.00046947+0.00055387i,-0.00042293+0.0004737i,-0.00028646-0.00014645i,-0.00048592+0.00023458i
-0.0030048+0.0014i,-0.0031613+0.0029587i,-0.0014558+0.0030037i,0.0010787+0.001711i,0.0021533+0.00034966i,0.0017213-8.4299e-05i,0.001202+0.00051434i,0.00025253+0.00059385i,-0.00053586-0.00010218i,0.00023393-0.00019126i,0.00093781-0.0004259i,0.0014756-0.00069367i,0.0018394-0.00038845i,0.0015158-0.00027452i,0.0007853-0.00055956i,-0.00016248-0.000895i,0.0001363-0.00028634i,1.4924e-05+0.00024461i,-0.0004139-0.0004206i,0.00038459-0.00083086i,0.00097412-0.00070036i,0.00024136+0.00034787i,-0.00030048+0.0010965i
-0.0015785-0.0010074i,-0.0024335-0.001491i,-0.0023481-0.0015508i,-0.00064454-0.0010948i,0.00097364-0.0004318i,0.0009457+0.00036778i,-0.00045317+0.001079i,-0.00061892+0.0015105i,-0.00012665+0.00046634i,0.0002644-0.00051537i,0.00049998-0.00060982i,0.00040406-0.00010132i,0.00015449+0.00018952i,-0.00016145-0.00036681i,-0.00031443-0.001021i,8.9449e-05-0.00022509i,0.00019772+0.00054066i,9.7272e-06+0.00026076i,-0.00011818+0.00031914i,0.00010921+0.0011042i,0.00076172+0.00083857i,0.00060787+0.0003909i,0.00017595+0.00057019i
0.0014967+0.00072227i,0.0027335+0.0005513i,0.0022637+0.00059709i,0.0016392+0.0011269i,0.0017635+0.0019121i,0.0013659+0.0022537i,0.00035589+0.0024054i,-3.4829e-05+0.0023718i,2.8224e-05+0.0013585i,-0.00026856+0.00090052i,-0.0007119+0.0012733i,-0.0001264+0.00060117i,0.00074652+0.00025055i,0.0011672-0.00022342i,0.001219-0.00016797i,0.00044281-0.00021894i,0.00041481-0.00043873i,0.0012914-0.00023313i,0.00082396-0.00012453i,0.00030042-0.00032525i,2.7952e-05+0.0003315i,0.00010555-2.2727e-05i,0.00041844-0.00085091i
-0.0022269+0.00076i,-0.0023505+0.0011497i,-0.0011173+0.0015189i,0.00067065+0.00094256i,0.0014296-5.4377e-05i,0.0010724-0.0002317i,-7.381e-05+2.9111e-05i,0.00031819+0.0001148i,0.00089143+0.00044183i,0.00044286+0.0010667i,-5.0061e-06+0.0014461i,-5.0518e-05+0.0015691i,-0.00011173+0.00065344i,0.00016216+7.9402e-05i,0.00094616-4.5209e-05i,0.00064282-0.00030207i,-0.0001821-5.5502e-05i,-7.2412e-06+1.7015e-05i,0.0004577+0.00010708i,-5.631e-05-0.00015946i,-0.00031587-0.00015388i,0.00012036+0.00020559i,0.00033449+0.00044043i
-0.00097355+0.00014223i,-0.0016296-0.0010373i,-0.001742-0.00060586i,0.0002882-0.00038257i,0.0007955-0.00027925i,-0.00011794-0.00034573i,-0.00034975+0.00024862i,0.00030774+0.00049623i,0.00078925+0.0012992i,0.0012989+0.0019937i,0.0014087+0.0018243i,0.00042702+0.0011614i,-6.3965e-05-9.0966e-05i,0.00012818-0.0010111i,0.00012884-0.00087062i,8.1717e-05-0.0009215i,0.00027394-0.00091629i,-0.0001018-0.00057426i,-0.00036957-0.0001744i,-0.00014652+0.00068637i,0.00037796+0.00051477i,0.00039434-7.4454e-05i,0.00064477+1.9565e-05i
0.00068842+0.0030845i,0.0028265+0.0033749i,0.0042353+0.0029157i,0.0040513+0.0023774i,0.002672+0.00082799i,0.00079547+0.00047575i,0.00010972+0.0010653i,0.00044276+0.00060129i,0.00037692-0.00078619i,0.00020258-0.0013868i,0.00059295-0.00057167i,5.7977e-05-0.0001966i,-0.00070776-0.0012206i,-5.2791e-05-0.0015894i,0.00049309-0.00030522i,0.00022349+0.00034135i,0.00019103+0.00034282i,3.4862e-05-0.00011605i,0.00013431-0.00023927i,0.00017492+0.00027734i,0.00022829+0.00086371i,0.00029732+0.00047108i,-0.00013765-0.00010133i
-0.0031114-0.0014074i,-0.0034547-0.00064663i,-0.0027651+0.00010092i,-0.0011906-0.00064346i,-0.00033925-0.00053199i,0.00023341+0.00039295i,0.0007873+0.00098738i,0.00025304+0.00076099i,-0.00015004+0.00036521i,-0.00032798+2.9207e-05i,-0.00037923+9.5657e-05i,0.00059125+0.0004691i,0.0011722+8.7388e-05i,0.0014617-0.00027989i,0.0010716+3.521e-05i,-0.00024095+0.00035282i,-0.00038015+0.0005248i,0.00013786+0.00023642i,-0.00014265-0.00026491i,-0.00012955-0.00060012i,-0.00032843-0.00014653i,-0.00087518+0.00028806i,-0.0006783+0.00041182i
-0.0018857-0.00010677i,-0.0011069-0.0012952i,-0.0005098-0.00025648i,0.00072562+0.001666i,0.0011103+0.0011113i,0.00023115+0.00013251i,6.0166e-05+0.0010969i,0.0002929+0.0019729i,-0.00017214+0.0015559i,-0.001028+0.00090916i,-0.00084369+0.00080853i,0.00048602+0.00040094i,0.0013283-0.0003521i,0.00059257-0.00047024i,-0.00017771-3.7403e-07i,-0.00037919+0.00073733i,-3.0641e-05+0.0013438i,0.00013652+0.00095553i,0.00012374+9.9008e-05i,-0.00019416-0.00030784i,6.7602e-05-0.00019818i,0.0004709-8.8111e-05i,0.00037786-6.9622e-05i
0.0012815+0.0012299i,0.0024589+0.0019695i,0.0026462+0.00069151i,0.0025291-0.0015436i,0.0015083-0.0021448i,0.0010074-0.00045803i,0.00067668+0.0018362i,0.00025421+0.0022129i,0.00072419+0.00091862i,0.00018984+0.00055283i,-0.0016444+0.00078652i,-0.0016879+0.00028585i,-9.5851e-05-0.00063513i,0.00068431-0.0011957i,0.00057972-0.0011091i,0.00055737-0.00078872i,0.00043106-0.00098757i,0.00031113-0.00035909i,0.00027425+0.00056829i,0.00027313+0.00029584i,0.00053247-0.0002237i,0.00074043-0.00029915i,0.00074487-0.00038367i
-0.0015348+0.00087511i,-0.0014722+0.0014594i,0.00010856+0.0016559i,0.0017868+0.001261i,0.0020065+0.00010942i,0.0012136-0.00054785i,0.00016409+0.00045609i,0.00094899+0.00069548i,0.0011828-0.00059646i,0.0004036-0.00107i,0.00043673+0.00061768i,0.00067983+0.0016683i,0.00023764+0.00016861i,-0.0001867-0.0013002i,-9.2153e-05-0.00087031i,0.000384-0.00070633i,0.00015954-0.0012863i,-3.6804e-05-0.0013612i,-6.6674e-05-0.0009872i,-0.00029802-0.00076697i,-0.0003619-0.0002956i,0.00025775-6.6716e-05i,0.00091712-4.1337e-05i
1.1538e-05-0.00046309i,0.00070411-0.00086307i,-0.00071773-0.00067146i,-0.0015657-0.0014491i,-0.001191-0.0012442i,-0.00069504+0.00029441i,9.168e-05+0.00099401i,0.00013371+0.0012272i,-0.00020778+0.0011943i,-0.00019681+0.0013065i,0.0005235+0.0013435i,0.001017+0.00057767i,0.0010017-0.00011631i,0.00072456+0.00026384i,0.00017666+0.00027104i,0.0001994-0.00034781i,0.000593-0.00076571i,0.00074031-0.00076245i,0.00087087-0.0005435i,0.00085059-0.00027036i,0.00043813+0.00027056i,-0.0004358+0.0010033i,-0.00090287+0.00074041i
0.0019405+0.0033336i,0.0027131+0.0029817i,0.0037624+0.0016747i,0.0036788+0.00051793i,0.0025454-0.00022623i,0.00084714-0.00042239i,-0.00010547+7.518e-05i,0.00049993+0.00020507i,0.0010148+0.00031049i,0.0014528+0.00068916i,0.0017723+0.00057207i,0.0016801+7.2546e-05i,0.0011782+8.9497e-05i,-0.00014641+0.00031137i,-0.00034121+0.00023707i,-0.00027877+0.00047401i,-0.00058456+0.00059393i,-0.0003029+0.00078011i,0.00025379+0.00044239i,0.00039386+1.3905e-05i,-5.3665e-05+0.00036072i,-0.00027764+6.3654e-05i,-8.1016e-05+2.3683e-05i
-0.00088852-0.00021855i,-0.0014358+0.00021231i,-0.0014486+0.00064793i,0.00043246+0.00075856i,0.0012432+0.00025402i,0.00033972+0.00084622i,0.00053577+0.0019232i,0.00050945+0.0010709i,0.00050651-0.00010548i,0.00084612-8.2983e-05i,0.00062455+1.6855e-05i,0.00044534+0.00045846i,0.00068392+0.00024341i,0.00025652+0.00017735i,0.0001831+8.2829e-05i,0.00036886-0.00011314i,6.0132e-05-0.00037958i,-0.00087229-0.00061258i,-0.00096071-6.6998e-05i,0.00021742+0.00039364i,0.00049886+0.00011014i,0.00028391-0.00048576i,0.000156-0.0010239i
0.0023406-6.7607e-05i,0.0041015-0.0005681i,0.0049924-0.001935i,0.0038061-0.0027071i,0.0014508-0.0017325i,0.00016175-7.157e-05i,-2.5126e-05+0.00031231i,0.00030516-0.00040317i,8.6927e-05-0.00053462i,-0.0006473-0.00067727i,-0.0012011-0.00084678i,-0.0011289-0.0010418i,-0.00090479-0.0001894i,-0.00084889+0.00086278i,0.00016865+0.00090739i,0.00050945+0.0005156i,-0.00032319+0.00026045i,-0.00056975+0.00039409i,-7.7578e-05+0.00011449i,0.00024278-8.5317e-05i,0.00025022-0.0001588i,0.00035962+0.00020937i,0.00018118+0.00016198i
-0.0017314+0.0040834i,-0.0022909+0.0037642i,-0.00038481+0.0033761i,0.0011106+0.0030201i,0.0011072+0.0013993i,0.00017976+0.00038949i,-1.1413e-05+0.0012036i,0.00014238+0.0019101i,-0.00045163+0.0011847i,-0.00064976+0.00072462i,-0.00040934+0.00046316i,0.00014932-3.238e-05i,0.00039321-0.0007634i,0.00012764-0.00099073i,2.8065e-05-7.1073e-05i,0.00028419+1.591e-05i,0.0013243+0.00031985i,0.0012647+0.0005384i,0.00058317-0.00014728i,0.00053985-0.00072804i,0.00077234-0.00051465i,0.00025974-0.00015912i,-4.757e-05+0.000246i
