-0.0029725+0.00049693i,-0.0019559+0.0010825i,-0.0018738+0.00020403i,-0.0016992-1.3868e-05i,-0.0010424+0.00054929i,-0.00049601+0.0010849i,0.00014901+0.0010396i,0.00018654+0.0006351i,0.00018883+0.00026157i,0.0004519+9.0302e-05i,0.00030171+0.00034229i,3.9254e-05+0.00032163i,-0.00020058+2.7872e-05i,-0.00045244+0.00036185i,-0.00021259+0.00049861i,0.00010192+0.00011555i,-0.00040491-0.00025975i,-0.00050373-0.0001307i,-0.0001668+0.00097549i,6.1541e-05+0.00058353i,0.00058573-0.00053292i,0.00034218-0.00040924i,0.00052512+0.00021143i
0.00064227-0.0018449i,-8.3298e-05-0.0014082i,-0.00028025-0.0011612i,-0.00052214-0.0010347i,-0.00089862-0.0009026i,-0.00034728-0.00059053i,2.6024e-07-0.00026218i,-0.00032287-0.00048445i,8.3688e-05-0.00066605i,0.00024346-0.0010103i,0.00011186-0.00031039i,0.00027472+0.00091555i,0.00021298+0.000895i,-9.3987e-06+0.0010234i,0.00039365+0.0010144i,0.00045328+0.00026999i,-4.2356e-05-0.00068294i,0.00017275-0.00070296i,0.00090764+0.00017658i,0.0012431+0.00036459i,0.0010014-0.00017169i,0.00041583-0.00037148i,0.00032488-0.00021388i
0.00087778-0.0012029i,0.0013501-0.00078271i,0.00025702-0.00042079i,-0.00082276-0.00012336i,-0.00087989+0.00079724i,-0.00068601+0.00039111i,-0.00053476-0.00089577i,-0.00079561-0.001837i,-0.0011276-0.0012525i,-0.0013939-0.00015644i,-0.00076633+8.4595e-05i,-0.00060321+0.00096333i,-0.00018819+0.00044034i,0.0005844-0.00026748i,0.0004399+0.00045779i,0.00067948+0.00045034i,0.00020693+0.0003488i,-0.00093793+6.2383e-05i,-0.0008561-5.7997e-05i,-0.00051319-0.00016675i,0.00052849-0.00012328i,0.0011958+0.00086757i,0.0010906+0.0010565i
-0.00015389+0.0010148i,0.00099351+0.0013315i,0.0010032+0.00081495i,0.00032662-0.00026601i,9.5917e-05+0.0001819i,0.00043066+0.0011359i,0.00044065+0.00050726i,0.00010738-0.0001064i,0.00015713+6.1493e-05i,2.0101e-05+0.00051834i,0.00050194+0.00062949i,0.00095233+0.00046655i,0.00011055-8.0311e-05i,-0.00010626-0.00023208i,-0.00042599+0.00032893i,-0.00077404+0.00039383i,7.8413e-05+0.00010543i,0.00051015+0.00010862i,1.98e-06-0.00041446i,0.00031143-0.00010462i,0.00080108+0.00029963i,0.0003436+0.00039352i,-0.00022848+0.00097163i
-0.00020385-0.00069904i,0.00046575-0.00072587i,0.0011443-0.0013408i,0.00044967-0.0012057i,-0.00060529-0.0012186i,-0.00059794-0.0012051i,0.00028654-0.00084607i,0.00078017-0.0012676i,0.00058651-0.0011803i,7.7742e-05+4.5266e-05i,-4.2508e-05+0.00067158i,0.00083621+0.0010642i,0.00081618+0.0018563i,-0.00016436+0.0022089i,-0.0010024+0.0015598i,-0.00050623+0.00092414i,-8.7484e-05+0.00067369i,-0.00042526+0.00041843i,-0.00021929+0.00077554i,8.1186e-05+0.0011519i,0.00027024+0.00039142i,0.00066934-8.5389e-05i,0.00032041+0.00023609i
-0.00068775+0.00031696i,-0.00031551-0.00063394i,-0.00046284-0.00089096i,0.00010259-0.00041073i,0.00059266-9.0702e-05i,0.00030452+0.00041054i,-0.00060177+0.00069917i,-0.00059232+0.00035251i,-0.00061456+3.2421e-06i,-0.0010291-0.00039043i,-0.00053903-0.00067513i,4.7505e-05-0.00012867i,0.00034718+0.00081089i,-0.00038251+0.00064644i,-0.00073426+0.00065706i,0.0003419+0.00084403i,0.00058467+0.00084485i,0.00039692+0.00095106i,0.0007277+0.0011581i,0.0002345+0.0014956i,-0.0003503+0.0011961i,-0.00014959+0.0014775i,0.00030207+0.00093941i
0.0024109-0.00012698i,0.0028394-0.0015947i,0.0027719-0.001484i,0.0016063-0.0011871i,0.00052834-0.0011063i,-0.00043826-0.00092671i,-0.00084192-0.001062i,7.1338e-05-3.9417e-06i,0.00112+0.0015095i,0.00098305+0.0015756i,0.00024535+0.00048116i,-0.00052325+0.00032718i,-0.0010193+0.0010835i,-0.0009104+0.0010501i,-0.0005698+0.00043007i,-3.0919e-05+0.00055291i,-0.00017343-0.00018461i,-0.00010196-0.00067063i,0.00021604-2.2186e-05i,-0.00013335-0.00023141i,-0.0010166-0.00053193i,-0.001275-0.00030516i,-0.00048533-0.00062568i
0.00098846+0.0016753i,0.0015439+0.0010288i,0.0020004+0.00085547i,0.0024945+0.00058472i,0.0026023+0.00033726i,0.00097528-0.00054095i,-0.00011452-0.0015153i,0.00017691-0.00086738i,0.00057905+0.00055295i,0.0012242+0.00075848i,0.0010828+0.00046033i,-5.178e-05+0.0001207i,-0.00054409-0.0003092i,-0.00074429+0.0002787i,-0.00080282+0.00078359i,-0.00057492+0.00044167i,-0.00067562+0.00059334i,-0.0010305+0.00061269i,-0.00049622+0.00015598i,0.00037175+5.678e-05i,0.0006278+5.2012e-05i,0.00066382-8.1461e-05i,0.00060899+0.00013354i
0.00088467+0.0012829i,0.0015909+0.0016677i,0.0012494+0.00033291i,0.0015763+8.8844e-05i,0.0021016+0.00031154i,0.0010599-0.0012616i,0.00066329-0.0019546i,0.00029149-0.001723i,-0.00027244-0.00080063i,0.00028513-6.4436e-05i,0.00081185-0.00033253i,0.0002595-0.00084925i,-0.00019329-0.00061365i,-3.008e-07+2.6232e-05i,-5.9419e-05+0.00071922i,-0.00039566+0.0013674i,-0.0012073+0.0010992i,-0.00082692+0.00010169i,-8.9183e-05-0.00019823i,-0.00021549+0.00015736i,-3.4178e-05+0.00059336i,2.3508e-06+0.00043459i,-0.00011581-0.00030627i
0.0018047+0.00098239i,0.001869+0.00040945i,0.0014216-0.00013079i,1.8258e-05-4.4372e-05i,-0.00047316-0.00032563i,-0.00017029-0.00034154i,-9.4957e-05-0.00049179i,1.1684e-05-0.0005342i,-0.0001161-0.00062227i,-0.00013514-0.00042546i,-0.00034192+0.00052646i,-0.00096592+0.00046481i,-0.0010571-0.00046109i,-0.00073889-0.00024772i,-0.00083222+0.00044769i,-0.00045254+0.00063151i,0.00064944+0.00063582i,0.00072977+0.00051431i,0.00085306+0.00050184i,0.0011427+0.00027027i,0.00084662-1.36e-05i,0.00061327+0.00020336i,0.00015927+0.00057099i
-0.00045056+0.0012013i,-0.00023424+0.0010993i,-0.00056883+0.0012071i,-4.4459e-06+0.0011555i,0.00069503+0.00050338i,0.00062026-0.00014164i,0.00025453-0.00017464i,-0.00017898-0.00015642i,-0.00039965-0.00035418i,-0.00063751-9.6443e-05i,-0.00045883+8.0942e-05i,0.00042206+6.3895e-05i,6.3948e-05+0.00024428i,-0.0006228+6.2504e-06i,-0.00025879-0.00022691i,0.00022231-0.00057578i,0.00044484-0.00062948i,0.00036909-0.00012406i,0.00057174+0.00032995i,0.00048444+0.00069848i,0.00057928+9.4719e-05i,5.4716e-05-0.00065774i,-0.00032193-0.00061761i
-0.00041467+0.0016401i,-0.00019247+0.0011326i,0.0011188+0.0013631i,0.0012683+0.0010198i,0.00081994+0.00066149i,0.00017389+0.0007238i,3.1382e-05-0.00025589i,0.00034324-0.0015073i,0.00040872-0.0008501i,0.00085481+0.00022006i,0.000418-6.2101e-06i,-0.00015775-0.00058037i,-9.7665e-05-0.0006584i,0.00013493-0.0010447i,0.00055861-0.00055577i,0.00058057+0.00029766i,0.00038682+0.00012475i,-3.1845e-06-3.6534e-05i,6.7968e-05-0.00023144i,0.00036769+0.00012401i,6.857e-05+0.00039562i,-0.00024051+0.00011451i,-3.74e-05+7.648e-05i
-0.0029974+0.0012878i,-0.0023549+0.0020594i,-0.001651+0.0034119i,-0.00030516+0.0035028i,0.00078266+0.0020981i,0.00060545+0.00056912i,0.00036981-0.00025536i,0.00019729-0.00044827i,-0.00011864+0.00079418i,-0.0002188+0.0017237i,1.7558e-05+0.00038302i,-0.00039154-0.00046857i,-0.0010319-0.00079571i,-0.00095073-0.00010141i,-0.0011031+0.00057805i,-0.00096935+7.4709e-05i,-0.00040154+0.00026146i,0.00031213-4.7285e-05i,0.0016347-0.00027636i,0.0017219+1.527e-05i,0.00015424+0.00057175i,9.8083e-05+0.00041676i,0.00086375+0.00013033i
-0.0016704-0.0027488i,-0.0017968-0.0019767i,-0.0019218-0.0012402i,-0.00027487-0.00073621i,0.0010764+0.00041769i,0.0008611+0.00054221i,-0.00017093-0.00012154i,-0.00096002-0.00064904i,-0.00052906-0.0011511i,0.00033891-0.0003852i,0.00017026+0.0014309i,0.00015355+0.0016866i,0.00050492+0.0010722i,0.001082+0.00087581i,0.0011132+0.000599i,8.2876e-05+0.00033609i,-7.1885e-05+0.00015886i,7.3116e-05+0.0003333i,-9.9237e-05+0.00056155i,-0.00014899+0.00057698i,0.00039203+0.00027462i,0.00082643-7.2087e-05i,0.000343+0.00033231i
0.0010364-0.00010413i,0.0019987-0.0010446i,0.00096222+9.2367e-06i,0.00064479+0.0003746i,0.0015429-0.00010076i,0.00057636-0.0010472i,-0.00019001-0.0017383i,3.0613e-07-0.0012944i,0.00013604-0.00045644i,0.00062943+0.00030412i,0.0005847+0.00037859i,-0.00045526+0.00036101i,-0.00083338+0.00035379i,-0.00075825+0.00066657i,-0.00074254+0.0011153i,-3.0121e-05+0.00070181i,0.0005823-3.5012e-05i,0.0010178-0.0002525i,0.00096999+1.609e-05i,0.00044119-0.00055742i,1.0681e-05-0.00066447i,-0.00020589+0.00027791i,-0.00092555+0.00019643i
-0.00075222+0.00045284i,-0.00057486+0.0015899i,-0.00066916+0.0016321i,-0.0004169+0.001983i,0.00049479+0.0012995i,0.00077059+0.00043501i,0.00046899+0.00028431i,-7.7411e-05+0.00014511i,-0.00031122+0.00052274i,-0.00029801-9.0138e-05i,2.7773e-05-0.00090373i,0.00059787-0.0008288i,2.4367e-05-0.00045565i,-0.00068374-0.00022634i,-0.00091678+5.8424e-05i,-0.00011112-0.00014384i,0.0010173+4.7086e-05i,0.0012056+0.00051788i,0.00089155+0.00027884i,0.0005642-0.00027089i,0.00038949+0.00020102i,0.00027142+0.00029209i,-7.5308e-05-0.00045326i
0.0011253-0.00097842i,0.0011296-0.00073953i,0.0017088+0.00028933i,0.0016609+0.00046918i,0.0016066+1.7651e-05i,0.0019122-9.6294e-05i,0.0010251-0.00027573i,0.00018087-0.00077864i,0.00072487-0.00092331i,0.00050403-0.00084444i,-0.00019706+0.00027886i,0.00034091+0.0015526i,0.00088555+0.001221i,0.00074181+0.00011128i,0.00028986-0.00035228i,-0.00029062-0.00022629i,0.00034156+0.00010445i,0.00071014+0.00041645i,0.00059304+0.00052849i,0.0014479+0.00014901i,0.0008122-0.00013781i,-0.00082624-9.1401e-05i,-0.00075853-0.00014313i
0.0026281+0.00016083i,0.0030057+8.2521e-05i,0.0016514-8.6712e-05i,0.00092931-0.00020062i,0.00091715+0.0002531i,-0.00023717+0.00020649i,-0.00058595+0.00010864i,0.00061173+0.00029563i,0.00072082+0.00031543i,0.00030605+0.00037598i,0.00049376-0.00015842i,0.00020475-6.2962e-05i,-0.00017027+0.00081741i,-0.00011262+0.00051629i,-0.00081756+0.00011674i,-0.00073409+0.00044378i,0.00090886+0.00041681i,0.0013005+0.00033861i,0.00013811+0.00055084i,5.3794e-05+6.3959e-05i,0.00054167-8.2543e-05i,0.00027597+0.00023296i,7.7093e-05+0.00021735i
0.00031079+0.00077364i,0.00016058+0.00029837i,8.5692e-05+0.00038473i,0.00042963+0.0011316i,0.00055952+0.00078776i,6.3558e-05-0.00021726i,-0.0005211-0.00074546i,-0.00028391-0.00055836i,-0.0002344-0.00037131i,-0.00098309+0.00042685i,-0.0014324+0.0005539i,-0.00031713-8.099e-07i,0.00073326-0.00015264i,0.00027846-0.00017037i,0.00018302+5.0059e-05i,-0.00019426+0.00051886i,0.00012192+0.00050954i,0.00012063+0.00035089i,-0.00035979+0.00020949i,-0.00070943-0.00034633i,-0.0011272-0.00065725i,-0.00047008-0.00057343i,-0.00047375-0.00038297i
-0.00059035+0.001298i,-0.00014685+0.0018407i,-4.5154e-05+0.00078483i,0.00055165+0.001323i,9.0364e-06+0.0020869i,0.00029655+0.0014428i,0.00037484+0.00038578i,6.3165e-06-0.00039575i,0.00061798-0.00018502i,0.0010735+0.0004674i,0.00064796+0.00035336i,0.00050826+0.00012562i,0.00045074+0.00018379i,0.00011755-0.00012196i,-0.00037779-0.00028883i,-0.00096213+0.00011494i,-0.00068554-0.000471i,-0.00055544-0.00061935i,-0.00023838+0.00017161i,-6.629e-05+0.00081823i,0.00020506+0.0011461i,0.00068205+0.001195i,-0.00024356+0.00084148i
-0.0011554+5.4154e-05i,-0.0014119+0.00016605i,-0.00077961-5.7698e-05i,6.8898e-06+8.2453e-05i,-0.00027755+0.00050572i,-0.00029762+0.00071143i,-6.7038e-05+0.00070353i,-0.00039034+0.00029411i,-1.695e-05+0.00035147i,0.00085014+0.00059104i,0.00056291+0.00093329i,-0.00026219+0.0011223i,-0.00070185+0.00099693i,-0.00080564+0.00028867i,-0.00039644-0.00026882i,-1.2699e-05+0.00030561i,0.00024631+0.00097599i,0.00091462+0.00068042i,0.00068199+0.0010451i,-0.00021662+0.0014249i,-0.00027051+0.00088855i,-0.00014754+0.00053962i,-0.00023564+0.00035891i
0.00055889-0.0017495i,-0.00075447-0.0017957i,-0.0021912-0.002113i,-0.0022966-0.0021584i,-0.0018903-0.0013724i,-0.00078127-0.00044494i,0.00036062-0.00032071i,0.00043581-0.001035i,0.00074598-0.0015777i,0.0010181-0.00050372i,0.00044205+0.00066196i,-0.00018508+0.00070989i,-3.066e-05+0.00058572i,0.00039515+0.0003274i,0.00073687-0.00015925i,0.00090581-5.9631e-05i,0.00064366-0.00011444i,0.00050289-0.00063133i,-6.3412e-05-0.00049808i,0.00010499-0.00044296i,0.00069993-7.4844e-05i,0.00061368+0.00039555i,0.00039403+0.00021344i
-0.0019429+0.00080733i,-0.0019021+0.0014653i,-0.00090679+0.0017345i,0.00027303+0.0015983i,0.0012973+0.00073476i,0.001492-0.00042484i,0.00036092-0.00053109i,-0.00069596-0.00013423i,-0.0006151+0.00051383i,-0.00018272+0.00062983i,-0.00017948+0.00046527i,0.00016018+0.00022913i,-0.00042434-0.00027577i,-0.00045822-0.00029087i,1.872e-05+0.00019819i,-7.4743e-05+0.00042294i,-0.00053101+0.00012379i,-0.0005326-0.00071358i,0.00030857-0.00073767i,0.00025703-0.00023923i,-0.00063433-0.0004102i,-0.00061685-0.00045004i,0.00023071-3.9523e-05i
-0.0017056-0.00021148i,-0.00090668+0.0013129i,-0.00044127+0.0022603i,-0.00012683+0.001752i,0.00047047+0.0010755i,0.00096808+0.0010997i,0.0011007+0.00019503i,0.00065453-0.00094617i,-0.00010367-0.00015851i,-4.7415e-05+0.0010635i,0.00029237+0.0013825i,0.00014655+0.00077097i,0.00019413+0.00028517i,-8.8462e-05-0.00033136i,-0.00048344-0.00031468i,-0.00041864+0.00053937i,-0.00042077+0.0010725i,-8.6401e-05+0.00076716i,-5.1237e-05+0.00039398i,-0.00025398+0.00048899i,1.457e-05+0.00023336i,-0.00023146+0.00026865i,-0.00075294+1.9217e-05i
-0.00053917-0.00032521i,-0.00066085+0.00035067i,-0.0020308-0.00020047i,-0.0020188-0.0008879i,-0.0008189-0.00051153i,-0.00037712+0.0006486i,-0.00045533+0.00090986i,-0.00037786-1.1041e-05i,0.00012985-0.00059583i,8.1023e-05-0.00021513i,0.00030847+0.00053349i,0.00041294+0.00099443i,4.7327e-06+0.00051967i,0.00045389+3.6735e-05i,0.00046796+0.00014659i,-0.00048563-0.00010143i,0.00011227-0.00012522i,0.00030332+0.00070029i,-0.00085489+0.00095305i,-0.00074472+0.00069292i,0.00084622+0.0003022i,0.00078531+3.4372e-06i,-0.00081986-0.00012952i
0.00022597-0.00042527i,0.0011544-0.0015822i,0.0014548-0.00079977i,0.00047606+0.00053354i,0.00031609+0.0012041i,0.00070037+0.00074788i,0.00029694-0.00038557i,-0.00018259-0.00091959i,-0.00076483-0.00076826i,-0.00058905-0.00024266i,-6.7135e-05+0.0006018i,2.6974e-05+0.00052843i,0.00020584-0.00040572i,0.0004928-0.0011966i,0.00060575-0.00043594i,0.00015424-3.6655e-05i,0.00039189-0.0001005i,0.0011743+9.4445e-05i,0.0007377-0.00011187i,0.00034327-0.00053316i,0.00039921-0.00050434i,0.00024884-0.00013946i,0.00027899-0.0005055i
-1.9914e-05+0.0015539i,0.0010883+0.0019758i,0.00057065+0.0027335i,0.00099521+0.0012902i,0.0022573+0.00037562i,0.0021515+0.00052483i,0.00087599-0.00051411i,-0.0003859-0.0012627i,-0.0007363-0.00033146i,-0.00013918+0.0007044i,0.00022267+0.00073832i,0.00060142+0.0001345i,0.00048762-0.00013077i,1.3432e-05-0.00071989i,0.00014661-0.00045722i,0.00061321+0.00039507i,5.7235e-05+0.00031967i,-0.00060683-0.00010682i,-0.00037711-0.00017259i,0.00013687+0.00044977i,0.00034432+5.0351e-05i,0.00065989-0.00077742i,0.00038096-0.00040909i
0.00047687-0.00052707i,0.00080797-0.00049974i,0.00062874-0.00044529i,-8.2982e-05-0.00017947i,0.00013032-0.00065007i,0.00078408-0.0012179i,0.00048919-0.0010069i,0.00022474-0.0005727i,0.00046902-0.00050986i,0.00046864-0.00084298i,5.9326e-05-0.0015388i,-8.8494e-06-0.00088114i,-0.00020713+0.00041132i,-0.0002103+0.0010562i,-0.00042847+0.0014692i,-5.7999e-05+0.00095819i,0.00025029+0.00021852i,0.0001465-0.00077049i,0.00012814-0.00057625i,0.00046221+0.0010372i,0.0010039+0.0011543i,0.00066873+0.00039749i,-0.0002368+3.1416e-05i
-0.00080607-0.00022458i,-0.00074658-0.00052765i,-0.00044777-0.00086135i,-0.0008024+0.00040073i,-0.00076839+0.00096287i,-0.00094174+0.00031929i,-0.0010463-0.00025486i,-0.00048324-0.0010772i,0.00021951-0.0017225i,0.00067818-0.00081097i,0.00036154+0.00042758i,0.00056135+0.00046307i,0.0010352-0.0004041i,0.001454-0.00026219i,0.0012153-0.00010174i,0.00044404-0.00028158i,0.00021206-5.7889e-05i,0.00066265+0.00013035i,0.00098224+0.00014374i,0.00069072+0.00014389i,0.00069634+0.00030427i,0.0004025+0.00010393i,-0.00034238-0.00041619i
-0.00012532-0.0019391i,-0.00065317-0.00096803i,-0.0011142-0.00078545i,-0.0004767-0.00080897i,0.00037149+5.113e-05i,0.0014126+0.00029792i,0.0012222-0.00082044i,-9.9601e-05-0.001507i,-7.044e-05-0.0011257i,0.00045261-5.1191e-05i,0.000536+0.00085443i,0.001149+0.00053567i,0.0015772+0.00075059i,0.00079963+0.00070398i,-0.00055242+3.1478e-05i,-0.00020593-0.00047245i,0.00094141-0.00066555i,0.0011459-3.8631e-05i,0.00097911+4.9653e-05i,0.0011633-0.0005122i,0.0012215-0.0002931i,0.00055061+0.00062925i,2.4654e-05+0.00068252i
-0.00077762-1.421e-06i,-0.00034501+0.00014434i,0.00046778-0.00018199i,0.0005423-0.00090318i,0.0011274-0.00072348i,0.0010484-0.00065634i,0.00060719-0.00077298i,0.00061873-8.3525e-05i,0.00065291+4.2011e-05i,0.00027407-0.00048855i,0.00030981-0.00072188i,0.00091417+0.00027815i,0.00060177+0.00053968i,0.00050656-0.00055748i,0.00073269-0.0012261i,0.00011258-0.00071079i,-0.00024081+0.00033863i,-0.00014914+0.00061454i,0.00020007+0.00059249i,0.00041303+0.00085071i,6.1983e-05+0.00061678i,0.00059742-0.00025428i,0.00046739-0.00066793i
0.00067524-0.00029649i,0.00032662-0.00083175i,-0.00026295-0.00094221i,-0.00035311-0.00048446i,0.00045941+6.9091e-05i,0.00061823-0.00030978i,0.00028957-0.00090301i,0.00036934-0.00087576i,4.4627e-05-0.00070012i,2.3888e-05-0.00069694i,0.00018416+3.4751e-05i,0.0001156+0.00038729i,6.2953e-05+1.7085e-05i,9.8036e-06-0.00029595i,3.3548e-05+0.00031608i,-0.00058587+0.0010989i,-0.00089131+0.00095371i,-0.00066012+0.00071415i,-0.00092613+0.00023027i,-0.0010578+7.6799e-05i,-0.0014138+0.00022681i,-0.00046423+0.00035087i,0.00046605+0.00032371i
0.0005409-0.0016658i,-0.00018701-0.00094751i,-0.000501-0.001108i,-0.0012912-0.0012712i,-0.00040555-0.00032994i,0.00026151+0.00011071i,6.1004e-05-0.0005578i,0.00032567-0.0014877i,0.00026161-0.0016741i,-0.00060427-0.0010931i,-0.00084073-0.0001009i,-0.00019264+0.0013509i,0.00034926+0.0020839i,0.00082745+0.001509i,0.00080927+1.6594e-05i,0.00051141-0.00068034i,5.106e-05-0.00067312i,0.00024817+7.8428e-05i,0.00044641+0.00051041i,0.00055784-0.0003013i,0.00089737-0.00022813i,0.001339+0.00020968i,0.00084519+0.00049693i
-0.00020767-0.00053027i,0.00096504-0.0008955i,0.0013065+0.00015157i,0.00076363+0.00029133i,0.00093932+0.0002229i,-7.2763e-05+0.00016224i,-0.0006903-7.2425e-05i,-0.0007202-0.00042646i,-0.00076431-0.00034899i,-0.0010156-8.425e-05i,-0.0002351-0.00028117i,0.00059676-9.5213e-05i,0.00052519-0.00013457i,0.00079794-2.4163e-05i,0.0012671+0.00053946i,0.0008271+0.0014478i,2.8538e-05+0.001556i,-0.00065305+0.00010881i,-0.00050474-0.00048962i,-8.2032e-05-0.00010319i,0.00024836+0.00072678i,-0.00029721+0.0010016i,-0.00056177+0.00072665i
-4.1148e-05+0.001279i,0.0013727+0.00014643i,0.0019185-0.00093407i,0.0017799-0.00046477i,0.0019326-0.00024076i,0.0012349-0.000917i,0.00093166-0.0011614i,0.00012848-0.0010083i,-7.329e-05-0.00092546i,0.00060815-0.00015173i,0.00034722+0.0011995i,-1.8253e-05+0.0019107i,0.00034979+0.0016222i,-0.0001052+0.0008999i,-0.00080501-0.0001986i,-0.00080421-0.00037286i,-0.00035425+0.00020141i,2.9503e-05+0.00033233i,0.00054718-0.00046045i,0.0012115-0.0009726i,0.0011143-0.00029667i,0.00029638-0.00051119i,0.00081682-0.00067973i
-0.00068283-0.00040077i,-0.0006023-0.00051561i,-0.0011267+0.00036014i,-0.0011012+0.0011187i,-0.00085288+0.00053855i,-0.0004472-0.00030947i,-0.00040353-0.00091851i,-6.3849e-05-0.00075181i,-0.00033173-1.0072e-05i,-0.00035855+0.0003192i,-0.0003577+0.00054264i,-0.00055323+0.00089732i,-0.00043717+0.00096702i,-0.00031988+0.0010067i,-0.0006126+0.00046936i,-0.00097332+0.00012013i,-0.00025453+0.00064243i,0.00014436+0.00053035i,0.00038456-7.2064e-05i,0.0006552-0.0001865i,0.00073264-0.00014248i,0.0012229+0.00012045i,0.001318+0.00062511i
0.00099597-0.0011184i,0.0010024-0.0020984i,0.0014157-0.0019226i,0.0012661-0.00039827i,0.00036151+0.00098089i,0.00027798+0.0012338i,0.00063718-0.00016085i,0.00020122-0.0014594i,-0.0007613-0.001472i,-0.0010382-0.00086667i,-0.00019615-0.00016674i,-0.00037904+0.00018526i,-0.0011984+3.9518e-05i,-0.0010272+0.00027884i,-0.00079104+0.00037648i,-5.0535e-06-0.00031223i,3.2122e-05+0.00030055i,3.4851e-05+0.00060346i,0.0010415-0.00026909i,0.00094665-0.00082294i,0.00057597-0.00035463i,0.00023167+0.00014597i,4.4128e-05-0.00029388i
0.0017311+0.00018876i,0.0013589-0.0001487i,0.0010762-0.001109i,0.00097182-0.0020841i,0.0012812-0.0016557i,0.0011826-0.0013123i,0.00054448-0.0019059i,0.00036808-0.0018177i,0.00070158-0.0012315i,0.00094264-0.00042898i,0.00062934-6.2912e-05i,-0.00017907-0.00049509i,0.00036817-0.00039091i,0.00079945-0.00012744i,-0.00017234-0.00017687i,-0.00070571-9.1595e-05i,5.3707e-05+0.0003645i,0.0004534+0.00034139i,-1.8296e-05+0.00047504i,-0.00050955+0.00066688i,-0.00066263+0.00057629i,-0.00011872+0.00029225i,0.00051657+0.00019442i
-0.0024869+0.00096009i,-0.0020077+0.0015411i,-0.0021923+0.0012912i,-0.00086109+0.0021613i,0.00038693+0.0026133i,0.00071044+0.0017343i,9.5508e-05+0.00016958i,-0.00063176-0.00088933i,-0.0011308-3.9788e-05i,-0.00065976+0.0012181i,0.00010733+0.00080451i,7.4491e-05-0.00011073i,0.0001302-0.00069822i,0.00043269-0.00069571i,-0.00016246-0.00045011i,-0.00046211-0.0003831i,-0.00015282+8.068e-05i,-0.00033443+0.00032896i,-0.0010727+0.00016054i,-0.0010929+0.00017675i,-0.0002394+4.9954e-05i,0.00044159-8.7782e-05i,-7.8668e-05-0.00098316i
-0.0017228+0.0025215i,0.00015742+0.002683i,0.0014181+0.0022284i,0.0014179+0.0019924i,0.0010075+0.0018448i,0.00092728+0.00073413i,0.00030664-0.0001476i,6.2496e-05-0.00068323i,-0.00048819-0.00034445i,-0.000742+0.00051341i,-4.6528e-05+0.0010122i,-0.00024304+0.00099865i,-0.00044602+0.00046731i,-0.00076398-0.00028888i,-0.0017138-0.0012078i,-0.0017118-0.00099418i,-0.0016085-0.0010047i,-0.0011653-0.00065866i,0.00047016+0.00059943i,0.0009166+0.00075947i,0.00040733+0.00069966i,-0.00032561+0.00026707i,-0.0008527-0.00066857i
-0.00012973-0.0014668i,-0.0012199-0.0015715i,-0.0012012-0.0017952i,9.7701e-06-0.00064055i,0.00014429+0.00025811i,-0.00052939-0.00065198i,-0.00077202-0.0019071i,-0.00096128-0.0024431i,-0.00071273-0.0023375i,-0.00062857-0.0017908i,-0.00031205-0.00081617i,8.9582e-05+0.00055309i,-0.00021011+0.00089637i,-0.00030957+0.00055501i,0.00038568+0.00038766i,0.0003244+0.00030854i,5.0308e-05+0.00017272i,0.00068416-1.0977e-06i,0.00049337+0.00014034i,-0.00027201+0.00012384i,-0.00071445-0.00019961i,-0.00043331-0.00060287i,0.00016021-0.00056501i
0.0013028-0.00092756i,0.0022131-0.0024887i,0.0029008-0.0031806i,0.0020919-0.0024301i,0.00048943-0.0011432i,-0.00010758-0.0001158i,-0.00027674-0.00026454i,-0.0016991-0.0012975i,-0.001878-0.0011682i,-0.0015993-0.00022818i,-0.0023049+0.00054578i,-0.0019215+0.0012662i,-0.00087391+0.0011681i,-0.00057026+0.00044613i,-2.3064e-05+0.00087608i,0.00084977+0.0012372i,-0.00028564+0.00058971i,-0.0007697+6.961e-05i,0.00016627-0.00032787i,-0.0002672-0.00021036i,-0.00066466+0.00047126i,-0.00068281+0.00027399i,-0.000642-6.5423e-05i
0.0010935-0.00032615i,0.0013504+0.0011905i,0.00093389+0.0033512i,0.00052082+0.0028432i,0.00024047+0.0016587i,-3.0812e-05+0.0025225i,0.0007453+0.0037116i,0.0032172+0.003224i,0.0054658+0.0016604i,0.005671+0.00029767i,0.0045345-0.00079378i,0.0037958-0.0016867i,0.0022288-0.0025128i,0.00034404-0.0027663i,-0.0002896-0.0020671i,-0.0012752-0.00071934i,-0.0013484+2.9849e-05i,-0.00067674+0.00092011i,-0.00016794+0.0015262i,-4.6848e-05+0.0010559i,0.0008386+0.0005074i,0.0013822+0.00023144i,0.00073224+0.00076663i
-0.0012441-0.00096845i,-0.0013903+0.00080612i,-0.0011096+0.0020952i,-0.00037971+0.001967i,0.00055077+0.0014022i,0.00081992+0.00053851i,0.00065004-0.0009359i,0.0012296-0.00084953i,0.0011563+0.00015544i,0.00044477+0.00040227i,-0.00034356+0.00032952i,-0.00066087-0.00067327i,-0.00059084-0.00092018i,-0.00035364-5.442e-05i,-0.00090578-2.7644e-05i,-0.0015764-0.00017903i,-0.00069603-7.9729e-05i,8.1119e-05+0.00066423i,-0.00017515+0.0010675i,-2.6713e-05+0.00010311i,0.00039042-0.00037987i,0.00022296-0.00023287i,0.00058012+0.00034226i
