-0.00040902-0.00080017i,-9.4945e-07-0.0017982i,0.00014147-0.001807i,-3.7672e-05-0.00084078i,-0.00091783+0.00066546i,-0.0009591+0.001626i,-0.00064151+0.0014829i,-0.0010771+0.0014411i,-0.0004376+0.0013629i,0.00094931+0.00080776i,0.0010167-0.0001676i,0.00049099-0.00073914i,0.00030682-0.0010042i,0.00030651-0.0010029i,-0.00055946-0.00025991i,-0.0012547+0.00014511i,-0.0009939+9.0675e-05i,-0.00066264-0.000445i,-0.00055317-0.00037872i,-0.00049176+0.00013266i,-6.9865e-05+0.00042174i,9.4851e-05+0.00073705i,4.6953e-05+0.00032984i
0.00050062+0.0028658i,0.0010956+0.0037505i,0.0036045+0.0037536i,0.0038443+0.0012746i,0.0023925-0.0015302i,-9.7736e-05-0.0023506i,-0.0018161-0.0015599i,-0.0013799-0.0004061i,-0.00032064+0.00046216i,0.00065022+0.00016404i,-0.00067417-0.00075337i,-0.0022916-0.0021382i,-0.0022571-0.0024036i,-0.00071894-0.0014966i,0.00072349-0.00096555i,0.00071489-0.00055776i,0.00053716-0.00044644i,0.0002372-0.00074891i,-4.0156e-05-0.00050097i,0.0002315-0.00046075i,0.0011814-0.0010892i,0.0013386-0.0012772i,0.00092024-0.0013117i
0.00030845+0.0018534i,-0.00019255+0.0026114i,0.0016648+0.0027155i,0.002541+0.00096229i,0.0015345-0.0014831i,-0.00066172-0.0017273i,-0.0022092+0.00037606i,-0.0020305-0.00011496i,-0.00079603-0.0012234i,0.00013861-0.0013601i,-9.3959e-05-0.0011947i,6.0835e-05-0.0017306i,0.0015091-0.0025154i,0.0023711-0.0019786i,0.0014887-0.0011354i,0.00013076-0.00071576i,-0.00019428-0.00050183i,-2.1605e-05-0.00046772i,0.00029877-0.00020851i,0.00080201+6.6789e-05i,0.00067384+0.0002097i,0.00058962+0.00085768i,0.00081429+0.0011852i
0.0014599+0.00062223i,0.0014485+0.0016306i,0.0015248+0.00072237i,0.0016922-0.00064311i,0.00018007-0.0010464i,-0.0011838-0.00066242i,-0.00069139-0.00029225i,0.00018524-2.3245e-05i,-1.544e-05-0.00039487i,-0.0002464-0.0011097i,0.0004114-0.0015141i,0.0017732-0.0012471i,0.0036239-0.00089791i,0.0036068+3.611e-05i,0.0020309+0.0010068i,0.0014393+0.001111i,0.00057021+0.0006581i,0.0002647+7.05e-06i,0.00086882+4.1548e-05i,0.0008827+0.00047318i,0.00080938+0.00082128i,0.0011502+0.00057274i,0.00095673+0.00020152i
0.0020197-9.0731e-05i,0.0027401+0.00098698i,0.0020867+0.0020791i,0.0021119+0.0017618i,0.0014406+0.00036842i,-0.00059119-0.0011087i,-0.001719-0.0014293i,-0.00189-0.0007718i,-0.0023869-0.00010589i,-0.0014392+0.00050202i,0.0010367+0.0015394i,0.0032981+0.0026986i,0.003369+0.0032423i,0.0019955+0.0029788i,0.00065689+0.0018491i,-0.0006595+0.0012604i,-0.00078624+0.0003913i,-0.00053614-0.00057618i,-0.00074233-0.00026665i,-0.0008418-0.00012045i,-0.00094785-0.00018785i,-0.00038474+6.4725e-05i,-1.148e-05+9.2923e-05i
0.00092649-0.00028092i,0.00053347+0.0010512i,0.00034972+0.0013971i,0.00070226+0.0017577i,0.00028975+0.0010372i,-0.00036193-0.00050797i,-0.00092196-0.00053995i,-0.001043+0.00018323i,-0.00048757+0.0010389i,0.00026918+0.0018154i,0.00061915+0.0024838i,0.00030863+0.0037029i,-0.00054204+0.0044547i,-0.00057833+0.002535i,-0.00038737+0.00055696i,-0.00088602+0.00019846i,-0.00010445-0.00018566i,0.0007633-0.00053729i,0.00092015-9.2215e-05i,0.00094134+7.1246e-05i,-0.00013347-0.0006401i,-0.0014106-0.00084208i,-0.0012517-0.0002691i
0.0011304+0.0006168i,0.0016591+0.00030565i,0.0022903+0.00099435i,0.003072+0.0010268i,0.0015635-0.00035083i,-0.0015162-0.00086095i,-0.0027168+8.0942e-05i,-0.0020482+0.00087207i,-0.0012734+0.00050039i,-0.00055919+0.00043815i,-0.0003092+0.0013504i,-0.00091768+0.0018787i,-0.002527+0.0020188i,-0.0026867+0.00094571i,-0.0010624-0.0009623i,-0.00051147-0.001842i,7.0356e-05-0.0017432i,0.00031131-0.00095594i,-0.00017291-1.7382e-05i,-0.00056308-0.00027487i,-0.00076237-0.00087126i,-0.00092447-0.00048124i,-0.0007931+4.9809e-05i
0.001834+0.0013213i,0.0021511+0.0032419i,0.0023324+0.0038641i,0.0021215+0.0025942i,0.0011716+0.00016374i,0.00021616-0.0012018i,-0.0010703-0.0006832i,-0.0013725-0.00078384i,-0.0012491-0.00067235i,-0.0016449+0.00096785i,-0.0022904+0.00081319i,-0.0030627-0.00079421i,-0.0032004-0.0018003i,-0.0020893-0.0027419i,-0.00079217-0.0025798i,0.00077482-0.001405i,0.0016052-0.00029272i,0.0010351-0.00010104i,0.00057608-4.3707e-05i,0.00027115+0.00029294i,0.00022707+0.00056395i,0.00038483+0.00030914i,0.00044038-0.00075791i
0.00021663+0.0006749i,-0.00084992+0.0012848i,-0.0007728+0.0020406i,-0.00025169+0.0015469i,7.3276e-05-0.00032748i,-0.0014268-0.0010547i,-0.0023385-0.0011962i,-0.0018438-0.0012146i,-0.0019454-0.00016278i,-0.0027129-7.0101e-05i,-0.0023363-0.0018389i,-0.0012844-0.0039033i,-0.00055095-0.0052927i,0.00084208-0.0045246i,0.0018751-0.0025849i,0.0021378-0.0010176i,0.0016186-0.00048999i,0.00048326-0.00017591i,0.00023879+2.9329e-05i,0.00055351+2.382e-06i,0.00055979-0.00047396i,0.0004414-0.0011393i,0.00058754-0.00032999i
0.0011984+4.014e-05i,0.0022002+0.00025373i,0.003099+0.00064072i,0.003059+0.0004732i,0.0015886+6.7386e-07i,-0.00050485-0.00018239i,-0.0013888-0.0002954i,-0.0011965-0.00014808i,-0.00078573-0.00045595i,-0.00037962-0.00123i,0.00022672-0.0027877i,0.0015433-0.0038351i,0.0037159-0.0032337i,0.0038057-0.0015717i,0.0024266-0.00038918i,0.001413+7.595e-05i,0.00034684+0.00057869i,-0.00050311+0.00051632i,0.00010327-0.00012547i,0.000908-0.00029933i,0.00088472-1.811e-05i,0.00085646-7.0289e-05i,0.0004356-0.00054752i
0.0011853+0.0020723i,0.0018566+0.0022165i,0.0025182+0.0025918i,0.0029972+0.002248i,0.0018356+0.00041165i,-0.00079179-0.0013289i,-0.0016393-0.0015868i,-0.0014324-0.0010921i,-0.00076938-0.00021934i,0.00054779-0.00040809i,0.0030355-0.00072579i,0.0051481+0.00022396i,0.0056495+0.0010414i,0.0037648+0.001863i,0.0019484+0.0025409i,0.0017067+0.0021416i,0.0008516+0.0012106i,0.00070709+0.00094864i,0.00074029+0.00095227i,0.00046451+0.00034165i,0.00033595+0.0002134i,0.00051463+0.0002856i,0.00054382-0.00066515i
0.0013469-0.0010778i,0.001167+0.00017943i,0.0010718+0.0006398i,0.00067016+0.0016875i,-0.00033574+0.0014203i,-0.0010511+0.00060056i,-0.0014376-0.00056487i,-0.0022811-0.0016095i,-0.0023465-0.0017698i,-0.00049999-0.0006886i,0.0019185+0.0015037i,0.0030859+0.0033243i,0.0029072+0.0039311i,0.0020947+0.0033751i,0.00059395+0.0021568i,-0.00029878+0.0017623i,0.00028613+0.00091773i,0.00081344+1.9234e-05i,0.00054434+0.00040059i,0.00050671+0.00069227i,0.00021635+0.00016136i,0.00025292+0.00036394i,0.00080324+0.0009543i
0.00019132+0.00068185i,0.0013276+0.0024353i,0.0027894+0.0031928i,0.0022929+0.0028659i,0.00032072+5.5619e-05i,-0.00084714-0.0024394i,-0.0010799-0.0016455i,-0.001819-0.00066649i,-0.0020837+0.0002773i,-0.00047391+0.0022245i,0.00022572+0.0031022i,-0.00043142+0.0031211i,-0.000683+0.0038679i,-0.0014407+0.0039873i,-0.0024166+0.0022158i,-0.0022421+0.00089395i,-0.0017885+0.00027936i,-0.0010812-0.00036717i,-0.00013801-0.00035222i,0.00018904-0.00012438i,-9.0414e-05-0.00038242i,-0.00072271+5.651e-05i,-0.0004264+0.001188i
-0.0010996-0.00029781i,-0.0020231+0.00087219i,-0.0013042+0.0017913i,-0.00072888+0.001125i,-0.00031468-0.00036118i,-0.00081282-0.00068249i,-0.0010648-0.00072408i,-0.0011606-0.00082066i,-0.0011378+6.5223e-05i,-0.0017325+0.0014333i,-0.0036507+0.0020441i,-0.0046048+0.0014384i,-0.0041606+0.0011685i,-0.0032805+0.00041282i,-0.0030854-0.00071845i,-0.0025315-0.00089908i,-0.0012698-0.00069361i,-0.00034231-0.00094521i,-0.00043052-0.0012167i,-0.00036901-0.00083047i,-0.00018392-0.00036931i,-0.00071799-0.00023651i,-0.000514-8.8023e-05i
0.00053272+0.00059989i,0.00019361+0.00032007i,0.0011684+0.00053678i,0.0013398+0.00036967i,5.6901e-05-0.00092251i,-0.0014726-0.001294i,-0.0016363-0.0016376i,-0.00087632-0.0014296i,-0.0014326-0.00099968i,-0.0016612-0.00099355i,-0.0018574-0.0014528i,-0.0032419-0.0017841i,-0.0046125-0.0012552i,-0.0036191-0.0017094i,-0.0014719-0.0026942i,-0.0006203-0.0027355i,-0.00013055-0.0016852i,0.00046387-0.0010934i,0.00097328-0.0004363i,0.0007589-0.00014922i,-0.00021192-0.00033528i,-0.0011835+8.9925e-05i,-0.0006146+2.4174e-05i
0.0014555-0.00073529i,0.0029554+0.0014129i,0.002875+0.0028915i,0.0024666+0.0021099i,0.001554+0.00023673i,-0.00023538-0.0012164i,-0.0013405-0.00076434i,-0.00085835-0.00027162i,-0.00073107-0.00122i,-0.00087735-0.0019867i,0.00033196-0.0024328i,0.00043178-0.0033103i,-0.00031696-0.0036617i,0.00029762-0.0029201i,0.0017188-0.0023734i,0.0020341-0.0014118i,0.0013128-0.0004126i,0.00085268-0.0001989i,0.00029047+0.00025688i,-3.7046e-05-0.00029293i,-0.00050996-0.00073017i,-0.00096263-0.0007149i,-0.00035226-0.0011399i
0.00051402+0.0015143i,0.0016643+0.0020317i,0.0027139+0.0016343i,0.0026045+0.00087805i,0.001675-4.5211e-05i,-0.0001047-0.00062752i,-0.0011608-0.00089464i,-0.0014078-0.00070673i,-0.0014031-0.00074381i,-0.00025314-0.0014541i,0.0019496-0.0023156i,0.0035513-0.0028638i,0.0039348-0.0031508i,0.0038076-0.0029084i,0.0035041-0.0025903i,0.0027304-0.0014507i,0.0018933-0.00033867i,0.0010933+8.3427e-05i,0.00042941+0.00049612i,-0.00032241+0.00047789i,-9.6579e-05-4.9566e-05i,0.00053728-0.00037619i,0.00068128-0.00046617i
0.00089272+0.0026489i,0.0016634+0.0034777i,0.002612+0.0047573i,0.0030892+0.0037906i,0.0019122+0.0012074i,0.0001043-0.00076212i,-0.0017106-0.0013046i,-0.0022988-0.00074972i,-0.0011438-1.0326e-05i,0.00060598+8.107e-05i,0.0023089+0.00060789i,0.0041113+0.00177i,0.0056593+0.0016442i,0.0053806+0.0013312i,0.0041981+0.0015704i,0.0029032+0.0012895i,0.0011177+0.00040905i,6.8717e-05-0.00051762i,-0.00023174-0.0012414i,-0.00014004-0.0009801i,0.00037154-9.96e-05i,0.000554+0.00040609i,0.00082984+0.00046402i
-0.0012101+8.2381e-05i,-0.0010057+0.0017776i,-0.0010117+0.0041093i,-0.00054674+0.0037791i,6.7845e-05+0.0020676i,0.00018785+0.00092155i,-0.00075118-0.00033515i,-0.001902-0.0010281i,-0.0017956+3.5904e-05i,-0.00072029+0.0015147i,0.0006579+0.0026725i,0.0021861+0.0033633i,0.0023531+0.0032686i,0.0015533+0.0026851i,0.0012389+0.0019806i,0.0008688+0.0017596i,0.00070851+0.00068745i,0.00057519-0.00035908i,0.00017966-0.00066703i,0.00021195-0.00046338i,0.00085109+0.00044002i,0.0011047+0.0012694i,0.0010306+0.0012005i
0.002759-0.00047398i,0.0029002+0.0004179i,0.002362-2.781e-06i,0.0012559-0.00037503i,-0.00052253-0.0015339i,-0.0025918-0.001894i,-0.0027884-0.00080539i,-0.0016175-0.00065059i,-7.859e-05-0.00056872i,0.0004471+0.0013659i,-0.00088327+0.0031534i,-0.0017372+0.0030904i,-0.0010534+0.003165i,-0.0004482+0.0030815i,-0.00023148+0.0025022i,-0.00032067+0.0016956i,-9.5682e-05+0.00051855i,0.00020923+0.0002162i,0.00055882+2.9065e-05i,0.00088303+0.00012071i,0.00047541+0.00037243i,-0.00031501+7.3977e-05i,-0.00061976-0.00014342i
0.0011743+0.0014258i,0.00203+0.0030199i,0.0024085+0.0038079i,0.0015209+0.0024244i,0.00048933-0.00071983i,-0.00050071-0.0024373i,-0.0010377-0.0018433i,-0.00084721-0.00065454i,-0.00077763+0.00045208i,-0.001428+0.00075433i,-0.0027474-0.00027335i,-0.0042767-0.00051374i,-0.0043517+0.0010955i,-0.0032914+0.0022887i,-0.0024922+0.0024179i,-0.0022691+0.001509i,-0.002049+0.00090858i,-0.0012688+0.0006904i,-0.00059651+0.00037604i,-0.00052023+7.587e-05i,-0.00066391-0.00073256i,0.00026318-0.0012109i,0.00057172-0.00082577i
-0.00065059-0.0011299i,-0.0014692+0.00072001i,-0.0027625+0.001198i,-0.00181+0.00065678i,-0.00085907+0.00059298i,-0.00092568+0.0002531i,-0.00038518-0.00027204i,-0.00046341-0.0013566i,-0.0015723-0.0024942i,-0.0022373-0.0025115i,-0.0024766-0.0030009i,-0.0027875-0.0028486i,-0.0021025-0.0012763i,-0.00091022-0.00076068i,-0.0006846-0.00065395i,-0.0010192+0.00015511i,-0.0011222+9.307e-06i,-0.00042982-0.00054573i,0.00062296-0.00030923i,0.0006439-0.00040949i,9.1489e-05+8.6087e-06i,-0.0003849-6.046e-05i,-5.4133e-05-0.001056i
-0.00064772-9.9524e-05i,-7.7517e-05+7.1095e-05i,0.0012349+0.0014704i,0.0023608+0.0018395i,0.0014731-0.00020712i,0.00018442-0.0011679i,-0.00033355-0.00071758i,-0.0012924-0.001467i,-0.0013721-0.0016762i,-0.00056167-0.0010215i,0.00068692-0.001768i,0.00098661-0.0028669i,5.0801e-05-0.0033199i,-0.00054689-0.0033487i,-0.00049608-0.0032154i,-0.00024074-0.0019659i,0.00014272-4.7972e-05i,0.00023063+0.00093646i,0.00045624+0.00076848i,0.000727-0.00035688i,0.00035325-0.00076713i,1.586e-05-0.00030347i,-0.00010176-2.7408e-05i
-0.0027502+0.0018172i,-0.0017213+0.0009675i,-0.0005373+0.0026235i,0.0010143+0.0036874i,0.0015091+0.002639i,0.0012629+0.00018822i,-0.00057477-0.00093222i,-0.0025665-0.00058735i,-0.0017536+0.00065122i,0.00094585+0.00096588i,0.0033383-0.0003233i,0.003835-0.0017256i,0.0024814-0.0026651i,0.00095858-0.0029883i,3.8875e-05-0.002765i,3.868e-05-0.001644i,0.00013684-0.00066028i,0.00014617+0.00021412i,0.00041594+0.00045059i,0.0006959+2.6059e-05i,0.00097989-0.00018796i,0.00075318+0.00039685i,0.00086724+0.00067065i
0.00057233+0.00078985i,0.0010674+0.002216i,0.0014232+0.0021077i,0.0019195+0.0014348i,0.001315+0.00017565i,-4.9809e-05-0.0005018i,-0.0019106-0.00086491i,-0.0025246-0.001299i,-0.0013976-0.00024787i,9.5341e-05+0.0013101i,0.0026345+0.0026495i,0.0044526+0.0022377i,0.0041482-8.2238e-06i,0.0031371-0.0014888i,0.0027943-0.0017372i,0.0024394-0.0011138i,0.00075612-0.00018427i,6.9816e-05+0.00023513i,0.00044902+0.00020168i,0.00053874+0.00018411i,0.00072653+9.239e-05i,0.00052402-0.00031931i,0.00010044+0.00015618i
0.00045417-0.00033344i,0.0011956+0.0013816i,0.0028456+0.0035486i,0.0030414+0.0039733i,0.00084593+0.002907i,-0.00054101+0.0008622i,-0.00054413-0.00067533i,-0.00058109-0.0013394i,-0.00079162-0.0013715i,-0.0011312+0.00057465i,-0.00092124+0.0023644i,0.0006057+0.0024757i,0.0021728+0.0021613i,0.0021696+0.00099458i,0.001666+0.00025008i,0.00089861+0.00029594i,-0.00026504-0.00016966i,-0.00067907+0.00023351i,-0.00055355+0.00074621i,-0.00012345+0.00021469i,-0.00012984-0.00017514i,-0.00053186-0.00013632i,-0.00064776-7.7548e-05i
-0.00051319+0.0012608i,-0.0006312+0.0028467i,-0.0010972+0.0037416i,0.00074713+0.0032228i,0.00086919+0.0016289i,-0.00052469+0.0006565i,-0.0014095-0.00067476i,-0.0023722-0.0019426i,-0.0034395-0.001209i,-0.0038883-0.00027538i,-0.0042437+5.1251e-05i,-0.0038375+0.0014812i,-0.0016963+0.0031911i,0.00062066+0.0033957i,0.0016253+0.0019669i,0.0012801+0.0009413i,0.00026722+0.00029346i,-0.00072931-0.00083262i,-0.00098643-0.001341i,-0.0006984-0.0013772i,-0.00019664-0.0010621i,-0.0002873+2.1422e-05i,-0.00089247+0.00040295i
-0.00073891+0.00058731i,-0.0012957+0.00089364i,0.00041779+0.00082585i,0.0023358+0.0011745i,0.0019132+0.00067909i,0.00024943-0.00039365i,-0.00064427-0.00069523i,-0.0013342-0.00016161i,-0.0018349+1.292e-05i,-0.0021903+0.00020327i,-0.0031132-0.00031646i,-0.003379+0.00027603i,-0.0018469+0.0013905i,0.00062403+0.0014587i,0.0013762+0.0014934i,0.00051973+0.0015581i,0.00052357+0.0005143i,0.0011034-0.000254i,0.00084546+3.3057e-05i,0.0003412+0.00063116i,0.00038838+0.0010642i,0.00091307+0.00027104i,0.00081552-0.00061668i
0.0012034+0.0011887i,0.0017265+0.0013951i,0.0031368+0.0026313i,0.0027667+0.002007i,0.0021015-0.0011628i,0.00044733-0.0023683i,-0.0017367-0.00096926i,-0.0018083-0.00017705i,-0.00088134+0.0002228i,-0.00033132-0.00076791i,0.000106-0.0025574i,-0.00034023-0.0028063i,-0.001569-0.00096548i,-0.0015285+0.001431i,-0.00025869+0.0018288i,0.00014921+0.0010275i,0.00059401-0.00032082i,0.00044515-0.0010199i,0.00020862-0.00080292i,0.00035483-0.0010652i,0.00062175-0.00034766i,0.00073126+0.00063689i,0.00029665+0.00040878i
-0.0003417+0.00049646i,0.00094006+0.001098i,0.001285+0.0014907i,0.0022448+0.00068964i,0.0018638-0.00090676i,-0.00035759-0.0015198i,-0.0020079-0.0015663i,-0.002197-0.0015739i,-0.00049092-0.0022043i,0.0011763-0.0019781i,0.0020004-0.0015038i,0.0015681-0.0021003i,-9.8494e-05-0.0023684i,-0.00081397-0.0014682i,-0.0010169-0.00070304i,-0.00079156-0.00073529i,-0.00017135-0.0010323i,0.00018336-0.0010446i,0.0015755-0.00028702i,0.002465+0.00059113i,0.0013069+0.00096119i,0.0007324+0.00053724i,0.0010106+0.00023536i
0.0015275+0.0016864i,0.00095004+0.0014177i,0.0023026+0.0028797i,0.0035593+0.0035523i,0.002259+0.00074785i,-5.7373e-05-0.001571i,-0.0016175-0.001108i,-0.0012775-0.00048046i,-0.00021083-0.00036324i,0.00080217+5.4641e-05i,0.0022831+0.00037273i,0.0030478-0.00040931i,0.0020786-0.0015802i,0.0013218-0.0014525i,0.0011683-0.00027933i,0.00032419-0.00012575i,0.00044959-0.00022666i,0.00062325+0.00023099i,0.00063903+0.00031381i,0.00097111+0.0004229i,0.00031043+4.2815e-05i,-0.00069115-7.0875e-05i,-0.00047831+0.00072117i
0.00068616+0.001691i,0.0012336+0.0021649i,0.0026343+0.0022i,0.0025507+0.0017635i,0.00128+0.00084763i,-0.00098924-0.00045166i,-0.0024032-0.001252i,-0.002386-0.0010697i,-0.0024151-0.00039889i,-0.0013939+0.00085537i,0.00043789+0.0021259i,0.0025731+0.0019561i,0.0035063+1.0097e-05i,0.0022979-0.0018039i,0.00078385-0.0020924i,6.119e-05-0.0013087i,-0.0001688-0.00044602i,0.00030169-0.0002566i,0.00024367-0.00086062i,-0.00013872-0.0010547i,-0.00053251-0.00042827i,-0.0008781-0.00040426i,-0.00087429-0.00066956i
-0.00025841+0.001324i,0.00011608+0.0025199i,0.0012916+0.0035035i,0.0015404+0.0022745i,0.00068603-0.00053287i,-0.00070891-0.0013374i,-0.00079735-0.00086815i,-0.00081297-0.0011701i,-0.00046372-0.00024334i,-0.0010147+0.0007995i,-0.0014376+0.001645i,3.825e-05+0.0033042i,0.0011951+0.0041679i,0.00072146+0.0026287i,-9.1399e-05+0.0010522i,-0.00047107+0.00094096i,-0.00020221+0.0012579i,0.00033978+0.0015526i,0.00028852+0.0020876i,0.00032301+0.0010878i,0.00038853-3.0885e-05i,-0.00085326-0.00055266i,-0.0015102-0.0010411i
-0.00099457+0.00042141i,-0.000566+0.00045795i,0.0002663+0.0025132i,0.00082257+0.0030369i,0.00039999+0.0014497i,-0.00016543-7.0333e-05i,-0.00045365-0.00018745i,-0.0010962-0.00023379i,-0.0012662-0.00035878i,-0.00070369-3.6883e-05i,-0.0010142+0.00073897i,-0.0014578+0.0022276i,-0.00042405+0.0040977i,0.0008751+0.003876i,0.00038923+0.002128i,-0.00018509+0.00088327i,-0.00040735+0.00033777i,-0.00020092+0.00039063i,-9.5446e-05+0.00062441i,-6.0838e-05+0.00041567i,0.00049866-0.00012487i,0.00039556-0.00037653i,-0.00068318+0.00011096i
0.0014822-0.00077176i,0.00063498+0.00030137i,0.00014976+0.0014042i,0.0005758+0.0013426i,0.00062419-0.00032273i,-0.00027059-0.0011131i,-0.00091209-0.00083632i,-0.0016358-0.00084763i,-0.001686-0.0012684i,-0.0012934-0.0014948i,-0.0014808-0.0016798i,-0.0020956-0.00057838i,-0.0021272+0.0011386i,-0.0010123+0.0011497i,-0.00044273-0.00038124i,-0.0010141-0.0022216i,-0.0010211-0.0020953i,-0.0012758-0.00095127i,-0.00073552-0.0011765i,0.00062358-0.0012429i,0.00069558-0.00043375i,0.00067146+7.7787e-05i,0.00059769-0.00028164i
0.0026433+0.003311i,0.0010858+0.0032645i,0.0021365+0.0025651i,0.002389+0.0012846i,0.0004677-0.0019137i,-0.0010789-0.0029786i,-0.0017215-0.0015739i,-0.0019013-0.0006407i,-0.00056423-0.00077343i,0.0015765-0.0016005i,0.0015507-0.0020309i,-0.00024597-0.0020202i,-0.001502-0.0014263i,-0.0020611-0.0001666i,-0.0012497-0.00011407i,-0.00083521-0.00099956i,-0.0014096-0.00087227i,-0.001488-0.0008677i,-0.00093007-0.0010811i,0.00083264-0.00052117i,0.0014868-1.6048e-05i,0.00073012+0.00012674i,0.0010787-2.8755e-05i
0.0008512+0.0031993i,1.4843e-05+0.0038958i,0.00077618+0.00373i,0.00073553+0.0024747i,-6.4747e-05-0.0010622i,-0.0024071-0.0023304i,-0.0036251-0.0014704i,-0.0028773-0.00038026i,-0.0019729+0.00021913i,-0.00020215+0.00055479i,0.00080828+0.00015944i,0.00061355-0.001006i,-0.00067937-0.0017533i,-0.0011935-0.0014421i,0.00051059-0.0010713i,0.0018513-0.0015092i,0.001922-0.0023214i,0.00060747-0.0024228i,-0.00034441-0.0016808i,-0.00026451-0.00096899i,-0.00073925+0.00013513i,-0.0014629+0.0012871i,-0.00090811+0.0016526i
0.00092905-0.0022451i,0.0017062+0.00017018i,0.0018063+0.00088224i,0.001687+0.00092792i,0.00046841+0.0013296i,-0.0008674+0.00042937i,-0.0013515+6.6752e-06i,-0.0015325-0.00034799i,-0.001347-0.0006737i,-0.00036244+0.00055035i,0.00058244+0.0014864i,0.001399+0.00029606i,0.0020758-0.00096354i,0.0022281-0.00057799i,0.0026297+0.00028801i,0.0034938+0.00011391i,0.0032795-0.00013836i,0.0019515-0.00015011i,0.0012092-0.00068052i,0.00036343-0.00098108i,-0.00067805-0.00097258i,-0.0010417-0.00078338i,-0.00095051-0.00067946i
-0.00022472-0.0012404i,0.00029207-0.00014095i,0.00024845+0.0020238i,0.0011196+0.0028875i,0.00049877+0.0010245i,0.00010601-0.001173i,-0.0001623-0.0022021i,-0.0016586-0.0018395i,-0.0022915-0.00069536i,-0.0012084+0.00034187i,0.00027741+0.00083669i,0.001798+0.0014839i,0.0031378+0.0019375i,0.0033525+0.00114i,0.002441+0.00057636i,0.0025035+0.0014971i,0.0036396+0.0008976i,0.003816+8.9591e-05i,0.0027966+0.00046634i,0.0017853+0.00061435i,0.0012553+0.00019883i,8.7283e-05-0.00070137i,-0.0014815-0.00080449i
-0.00080265+0.0006391i,-0.00057919+0.0010795i,-0.00025909+0.0021378i,0.00028164+0.0027931i,0.00028147+0.0012896i,-0.00022802-0.00096167i,-0.00079001-0.001848i,-0.00092112-0.0017938i,-0.0012464-0.0014854i,-0.0011598-0.00051017i,8.1267e-05+0.00093763i,0.00087368+0.0023454i,0.0013975+0.0031938i,0.0019493+0.0023686i,0.0012833+0.0019841i,0.00094577+0.0029924i,0.0013975+0.0029793i,0.0016202+0.0023463i,0.0013882+0.0016216i,0.0012028+0.00053815i,0.00064613-0.00016573i,-9.0828e-06-0.00055054i,9.6481e-05-0.001239i
0.0011777+0.0019622i,0.0017135+0.0021368i,0.0030841+0.0025037i,0.0033034+0.0021063i,0.0014559-0.00098826i,-0.0011768-0.0027911i,-0.0017878-0.0018999i,-0.0014657-0.00073089i,-0.00083548+0.00018707i,7.8651e-05+0.00067766i,-9.3932e-05+0.00050051i,-0.00042309+0.00092849i,-0.00054931+0.0019099i,-0.0011707+0.0022044i,-0.0020323+0.0022329i,-0.0019789+0.0024048i,-0.0011926+0.0032967i,-0.0011085+0.002708i,-0.0016512+0.0010705i,-0.0010144+0.00048315i,-9.6756e-05+0.00012063i,-0.00040889+0.00020653i,-0.00056214-0.00012114i
-0.0003974+0.001749i,0.00016234+0.0029877i,0.0017595+0.0043069i,0.0029016+0.0024727i,0.002172+0.00029158i,0.00055864-0.0020562i,-0.00066297-0.0026148i,-0.0014462-0.00099464i,-0.0007927+0.001052i,0.00061557+0.0020376i,0.00059327+0.00096365i,-0.0013349-0.00036856i,-0.0033985-0.00044674i,-0.0032572+0.00077791i,-0.0026867+0.0014255i,-0.0038408+0.00096043i,-0.0037288+0.0010065i,-0.0021367+0.0011854i,-0.00077085+0.001193i,0.00080907+0.0010005i,0.0014712+0.00049246i,0.0011593-9.8254e-05i,0.0013915+0.00029937i
-4.9786e-05-0.00022893i,0.00010327+0.0015913i,0.00074461+0.001595i,0.0017248+0.00063222i,0.0013612+1.7305e-05i,-1.7552e-05-0.0010516i,-0.0013723-0.0010982i,-0.0020882-0.00043208i,-0.0017886+5.9433e-05i,-0.00099735+0.00062257i,-0.00028885-0.00024626i,-0.00021453-0.0017596i,-0.0013219-0.0021672i,-0.0024142-0.0016214i,-0.0025363-0.0018764i,-0.002241-0.0021893i,-0.0023694-0.0015823i,-0.0018182-0.00086147i,-0.00080342-0.00092761i,-0.00019928-0.0010282i,0.00015794-0.00054573i,0.00026765+0.00044819i,0.00014503+0.00074435i
-0.0016131+0.0023037i,-0.0013619+0.0018273i,0.001069+0.0026967i,0.0032193+0.0024988i,0.0031449-0.00012692i,0.0021284-0.002532i,0.00040531-0.0019052i,-0.00088038-0.00070704i,-0.0013048-0.0006942i,-0.0010989-0.00066472i,-0.00062117-0.00063423i,0.00016174-0.00099664i,1.5692e-05-0.0010684i,-0.00088347-0.001536i,-0.00077197-0.0018435i,-7.7932e-05-0.0022646i,-0.00018709-0.0028019i,-0.00051215-0.0024471i,-0.00019811-0.0012928i,-0.00039847-0.00049553i,-0.001123-0.00063965i,-0.0017226-7.6792e-05i,-0.0018125+0.0010508i
