0.00014398+4.5522e-05i,-5.5141e-05-0.0010065i,-0.00086934-0.0034234i,-0.0013838-0.0051848i,-0.0020751-0.0042057i,-0.0019948-0.0017907i,-0.00070033-5.0279e-05i,0.00092437+0.0010507i,0.0013057+0.0014157i,0.00074628+0.00051513i,0.00060088+0.00026911i,0.00081057+5.3775e-05i,0.0003243+0.0005893i,-0.00026526+0.00078775i,-0.00086614-7.3907e-05i,-0.0013159-0.001054i,-0.00031103-0.0012226i,0.00030415-0.0010283i,-0.00035967-0.0006028i,-0.00044835+0.00038061i,-0.00057139+0.0014145i,-0.00084613+0.0013006i,-0.00050107+0.00036775i
-0.00043218+0.0020104i,0.0006208+0.0014134i,0.0022886+0.00039849i,0.0028894-0.001065i,0.0020905-0.0018162i,0.00059162-0.0011609i,-0.00096073-0.00068061i,-0.0011367-0.00054372i,-0.00076434+0.00015474i,-0.00035969+0.00031375i,-8.467e-05+0.00040231i,-0.00039964+0.00056102i,0.00010329+0.00035759i,0.00042835+0.00018098i,-0.00030528+7.0492e-05i,-0.00061548+5.8936e-05i,-0.00036997-0.0004894i,-0.00052415-0.0010374i,-0.00039646-0.00052783i,0.00018808+0.00023153i,-0.00011059-0.00013722i,-0.00043975-0.0006098i,-0.00072496-0.00070834i
-0.00066781+0.0011777i,0.00081969-0.0005469i,0.0025544-0.00044344i,0.002721-0.00043168i,0.0011248-0.00046435i,0.00020681+0.00034479i,-3.7498e-05+5.971e-05i,-0.0010292-0.00079687i,-0.002064-1.8873e-05i,-0.001608+0.0011192i,-0.00077536+0.0013303i,-0.00039032+0.0014933i,-0.00013002+0.0015577i,-0.00026144+0.0015569i,-2.0027e-05+0.0013679i,0.00041995+0.00033905i,5.9291e-05-0.00060834i,-0.00060005-0.00049179i,-0.00052893+0.0005225i,-0.00044117+0.0011676i,-0.00063374+0.00044562i,-0.00069744-0.00033048i,-0.00045318-0.00029407i
0.00050647+6.7622e-06i,-0.00045511-0.00053286i,0.0006525-0.0018622i,0.0007487-0.0024699i,0.00061654-0.0024497i,-3.8026e-05-0.0014793i,-0.00044263-0.0011521i,-0.00020442-0.0012087i,-0.00035694-0.00082966i,-0.00041184-0.00049815i,-0.00069124-0.0004941i,-0.0011613-0.00013052i,-0.00063198+0.00021643i,0.0001108+8.21e-05i,0.00033802+0.00057755i,0.00020475+0.00064439i,-3.2209e-06+0.00064418i,1.3924e-05+0.00072591i,0.00042863+0.00026423i,0.00081468-3.8194e-05i,0.00025239-0.00025715i,-0.00055112+0.00045575i,-0.0006533+0.00025141i
-8.5007e-05-8.676e-05i,0.00026752-0.0011929i,0.00073785-0.0016872i,0.00063404-0.0018284i,0.00061395-0.0016267i,-6.4504e-05-0.00084333i,-0.00074966-0.00049682i,-0.0009994-0.0010216i,-0.00086616-0.000788i,-0.00037964+0.00048179i,8.2146e-05+0.0010462i,-0.00010948+0.00040261i,-0.00074429-8.3916e-05i,-0.00032329-0.00026304i,8.4658e-05-0.00048049i,-4.4948e-05-0.00033079i,-0.00019469-8.4035e-05i,-0.00056028+2.7115e-05i,-0.00018268-1.0214e-05i,5.6501e-05+0.00084924i,-0.00025512+0.00058925i,5.6511e-05+6.6172e-06i,0.00028589-0.00018959i
0.00040431+0.00099706i,0.00092639-0.00021326i,0.0018572-0.00028183i,0.002309-0.0018414i,0.0012378-0.0028811i,0.00034351-0.0011142i,-0.0002529-6.2535e-05i,-0.00048184-0.0004516i,-0.00080515-0.00025338i,-0.0010724+0.00028821i,-0.0011045+0.00083223i,-0.001169+0.00060187i,-0.00040883-0.00028352i,9.2385e-05-0.00057682i,8.3713e-05-0.00048947i,-0.00013535+3.2932e-05i,-0.00035025+0.00012855i,-0.00015047-0.00052709i,-6.0623e-05-0.0005099i,-0.0002702-0.00038832i,-0.00015773-0.00039308i,0.00018557+0.0001648i,0.0010658+9.0522e-05i
0.0016701-0.00029065i,0.0010755-0.0013321i,0.0015802-0.0028973i,0.0012127-0.0035228i,-0.00076717-0.002926i,-0.0017263-0.0011166i,-0.0014749+1.175e-05i,-0.00077736-0.00066759i,-0.0011397-0.0017376i,-0.0016069-0.0014549i,-0.0011137-0.00023826i,-0.00085446+0.00038613i,0.0003406+0.00080828i,0.00090336+0.0014204i,0.00036409+0.0012101i,0.0001014+0.00039815i,0.00017574-0.00057357i,0.00017374-0.00072003i,3.5155e-05-0.00030742i,-0.00056623-0.00051891i,-0.00048541+8.7445e-05i,0.0003609+4.9054e-05i,-9.7e-05+4.1276e-05i
0.00030569+0.00023808i,-0.00027395+0.00046919i,-0.00064899-0.0015967i,-0.00031589-0.0025605i,-0.00017524-0.0012134i,-0.0006333+0.00026071i,-0.00041881+0.00032i,-0.0002997-0.00011779i,-0.0006476-0.00014439i,-0.00074169-0.00027702i,-0.0013298-0.00030899i,-0.0015502+0.00035833i,-0.0011295+0.0012603i,-0.00069218+0.0013936i,-0.00018389+0.0008652i,-0.00047964+0.00040359i,-0.00026234-3.5592e-07i,0.0006454-0.00034105i,0.00095795-0.00043417i,0.00059022-0.000749i,0.0006217-0.00054154i,0.00032188-0.0002538i,2.9168e-05-0.00064231i
0.00052177+0.0014648i,0.0008714+0.00019948i,0.0016181-0.0014466i,0.0020325-0.0026779i,0.0021748-0.0024521i,0.00073387-0.0011674i,-0.00085415-0.001074i,-0.0015466-0.00065355i,-0.0014011+0.00020265i,-0.00066851+0.00017566i,-0.00046918+0.00026694i,-0.00052009+0.0010439i,-0.00098142+0.0015835i,-0.0014423+0.0006104i,-0.00097359+0.00015173i,0.00014153+0.00069417i,-0.00042229+0.00026427i,-0.00085392+0.00034687i,-0.00053411+0.00087626i,0.00010645+0.00018887i,9.7702e-05-0.0001111i,-0.00020604-3.8755e-05i,-0.00029389+0.00022138i
-0.00070316-4.8415e-05i,-4.5426e-05-0.00026748i,0.00015733-0.0011481i,0.00045817-0.0021251i,0.0001765-0.0024997i,-0.0003528-0.0016347i,-0.00026182-0.0010842i,0.00012915-0.00083584i,-7.8527e-05-0.00057025i,-0.00053371+0.00033914i,-0.00083486+0.0010145i,-0.00080494+0.00043001i,7.7905e-05+0.00031289i,0.00060919+0.00063786i,0.0007501+0.00078966i,0.00040179+0.00042009i,-0.00033128+0.00027331i,-2.9164e-05+0.00099692i,0.00022305+0.0013811i,4.7579e-05+0.0011709i,-1.0451e-05+0.00079641i,-0.00037703-6.5238e-05i,-0.00062435-0.00012003i
-0.00014345+0.00033374i,0.0026487-0.0012663i,0.0035363-0.0020212i,0.0025645-0.0012227i,0.0015015-0.00035895i,0.00045634-0.00052367i,-0.00026199-0.00021747i,-0.00077342+0.00011825i,-0.0012984-0.00026494i,-0.00080183-1.5635e-05i,-0.00024658+0.00083063i,-0.00037906+0.0011604i,-0.00072546+0.00097994i,-0.00057759+0.0012621i,0.00022929+0.00067572i,0.00053021-0.00036536i,-9.9604e-05-0.00055709i,-0.00068642+1.2877e-05i,4.7188e-05+0.00070912i,0.00055216+0.00011962i,-2.6506e-05-0.00088743i,-0.00012401-0.00049631i,9.5329e-05-0.00020056i
-0.0011527+0.001224i,-0.000315+0.0010215i,0.00087384+0.0012117i,0.0010668+0.00021466i,0.0013761-0.0011212i,0.0015875-0.00079994i,0.00090247-0.00036656i,-0.00018965-0.00046774i,-0.00041488+0.00022781i,0.00068168+0.0014649i,0.001511+0.0010146i,0.0010994+0.00082188i,8.2361e-06+0.00091007i,-0.00043983+0.0010594i,-0.00038844+0.001186i,-0.00050383+0.00078431i,-0.00048826+4.0768e-05i,0.0005024-0.00020269i,0.0006361+0.00020758i,-0.00024077+0.00029796i,-0.00025973+0.00035979i,-9.7393e-05+0.00063234i,0.00014844+0.00059524i
-0.00035711+0.00024552i,0.0003564-0.00021712i,0.00077405-0.00089033i,0.0011075-0.0016687i,0.00093426-0.0018081i,0.00017669-0.00122i,-0.00015804-0.00069506i,-0.00024776-0.00049803i,-0.0010239-0.00098626i,-0.0014971-0.00076743i,-0.00099846-7.4584e-05i,-0.00034625+0.00043824i,-0.00047104+0.00077395i,9.3736e-05+0.0008101i,0.00048132+0.0010464i,0.00016244+0.00058825i,-0.0003895+5.0932e-05i,0.00020459-0.00045684i,0.0016166-0.00033834i,0.00093519+0.00021209i,0.00015156+0.00033563i,-0.00028636+0.00022076i,-0.00037211-0.0002964i
0.001129+0.0018054i,0.0023461+0.0001259i,0.0029058-0.0014914i,0.0021892-0.0018624i,0.0022045-0.0018823i,0.0010255-0.0015867i,-0.00016929-0.0011773i,-0.00079351-0.0014759i,-0.0012845-0.0016508i,-0.00095244-0.00059067i,-0.00049032+6.6928e-05i,-0.0005986+0.0006009i,-0.0010663+0.0012498i,-0.00081009+0.00063669i,-0.00043872-0.00077896i,-0.00060247-0.0012836i,-0.00012732-0.00058119i,-0.00014536+0.00012296i,-0.00040902-0.00020561i,-6.3896e-05-6.7749e-05i,-0.00014834+0.00084362i,-0.00029276+0.00063148i,-0.00058892-0.00012464i
0.0022064-0.00095388i,0.0021017-0.00061289i,0.002104-0.0018531i,0.0018752-0.0017199i,1.0028e-05-0.0010077i,-0.00119-0.0007526i,-0.00020939-0.0010155i,0.00023553-0.00099959i,-0.00058295-0.00048405i,-0.0012064-0.00076294i,-0.00056346-0.00043382i,-0.00010216+0.0006377i,-0.00014945+0.0011594i,-0.00021529+0.0010744i,0.00038399+0.0010746i,-6.143e-05+0.0012429i,-0.0005086+0.00050996i,-0.00040155+0.0003312i,-0.00028915+0.00029349i,-3.1236e-05+0.00059671i,-0.00037107+0.00047559i,-0.00051116-9.1735e-05i,-0.00078482+0.00030398i
-0.00062258-0.00074651i,-0.00087347+0.00064311i,-0.0002827+0.0010936i,0.00062263+0.00030793i,0.00040466-0.00030051i,-0.00057812-0.0006948i,-0.0012576-0.00039972i,-0.0009616-0.00060189i,-0.00053709-0.00062262i,5.6366e-05+0.00015164i,-7.8942e-05+0.0007335i,-0.00019021+0.00095326i,0.0003697+0.00053651i,-9.6015e-05-0.00023669i,-0.00074577-0.0004557i,-0.00015121+0.00034046i,-0.00025379+0.00075651i,-0.0010915+0.00034287i,-0.0010477-0.00063605i,-0.00012529-0.0007908i,-0.00010054+8.6702e-06i,-0.00050724-0.0002102i,-0.00054985-0.00039924i
-9.937e-05+0.00063075i,-0.00011987-5.9313e-05i,0.0011401-0.0015031i,0.0019571-0.0022026i,0.0016645-0.0022295i,0.00091885-0.0011654i,0.00055212-0.00042115i,-4.7054e-05-0.00080301i,-0.00098768-0.00086264i,-0.0011774+9.4201e-05i,-0.00067534+0.00072611i,-0.00019868+0.0010753i,-0.00015953+0.00077026i,-1.7362e-05+0.00061858i,-0.00017154+0.00079812i,-0.00060962+0.00077481i,-0.00082573+0.0013654i,-0.00049459+0.0010552i,0.00023569+0.00042523i,0.00060456+6.175e-06i,0.00072681-0.00047277i,0.00062022-0.00013664i,0.00057082-1.7202e-05i
0.00023354+0.00021926i,0.0009104-8.0273e-05i,0.00093474-0.0013856i,-0.00010477-0.0028579i,-0.00092764-0.002754i,-0.0018393-0.0015376i,-0.0012484-0.00070583i,-0.0010388-7.2777e-05i,-0.0022615+0.00062769i,-0.0025022+0.00065301i,-0.0012804+0.00042847i,-0.00089341+0.00078237i,-0.0010688+0.00098029i,-0.00084279+0.00067911i,-0.00062377+0.00090095i,-0.00051841+0.0010705i,-0.000226+0.00074363i,-0.00033675+6.3362e-05i,-0.00071464-0.00022655i,3.5387e-06-0.00046004i,0.00023527-0.00061531i,0.00043538+0.00032799i,-0.00034495+0.00016371i
0.0008167-0.0033377i,1.7844e-05-0.0033863i,-0.00081593-0.0038715i,-0.00074179-0.0031848i,-0.00032643-0.001205i,-0.00028381-0.00011808i,0.00026791-0.0001483i,-5.6669e-05-0.00096003i,-0.0012658-0.0016455i,-0.0010592-0.0015221i,-0.00025441-0.00092859i,-0.00047319+0.0003915i,-0.00020514+0.0010497i,0.00070043+0.00092523i,0.00053536+7.724e-05i,-0.00013916-0.00054122i,-0.00062228-0.00045276i,-0.00090548+0.00034194i,-0.00026159+0.0011868i,1.443e-05+0.00080907i,0.0003061+8.4081e-05i,0.00058965-0.00033143i,-0.00018302-0.0010565i
0.0015822-0.00045413i,0.0014151+0.00028585i,0.002061+6.8897e-05i,0.0020651-0.00063938i,0.00080267-0.0010637i,-0.00016654-0.00071039i,-0.00026698-0.00074614i,-0.00036198-0.00080424i,-7.0715e-05-0.00051722i,-0.00066404-0.00053195i,-0.0009831+8.727e-05i,-0.00018968+0.00068751i,9.3559e-05+0.00078408i,-0.00031063-4.5175e-05i,-0.00011538-0.00064446i,-0.00018255-0.0001879i,-0.00043159+0.00012977i,-0.00018524+0.00064978i,0.00012366+0.00027598i,0.00049335+3.788e-05i,0.00022276+0.0008189i,-0.0010914+0.00014361i,-0.0012335-0.00050642i
0.00095201+0.00054283i,-0.00048757-0.00052959i,-0.00036671-0.0022881i,0.0011916-0.0037528i,0.0013257-0.003727i,0.00043521-0.00221i,1.8768e-05-0.00080716i,-0.00068123-0.00083983i,-0.00096095-0.000801i,-0.00057578-0.00025788i,-0.00062495+0.00082963i,-0.00078016+0.0016678i,-0.0003333+0.0012892i,-0.00034166+0.00083828i,-0.00011857+0.00075277i,-0.00038478+0.0008949i,-0.00092516+0.00023219i,-0.00021983-0.00068139i,0.00020146-0.0010163i,-0.00014618-0.00058832i,-0.0004191+0.00049572i,1.3948e-05+0.00057498i,0.00064634+0.00029424i
0.00016405-0.0012993i,-0.00069968-0.0024175i,-0.0011212-0.0030308i,-0.00052265-0.002006i,0.00029258-0.00097295i,-0.00025166-0.00035857i,-0.00051767-4.9487e-05i,-0.00035614-0.0006373i,-0.00056694-0.00059117i,-0.0013014-0.00047707i,-0.0021026-0.00034591i,-0.0013536+0.00076647i,2.5757e-05+0.001239i,0.00013117+0.00082779i,-0.00047898-1.24e-05i,-0.00089773-0.0001966i,-0.00049961-0.00027657i,-3.5291e-05-0.00066255i,-0.00028473-0.00091351i,-0.00044862-0.00034424i,-1.241e-05+0.00025798i,0.00027934+0.00052348i,3.4071e-05+0.00067515i
0.0010338-0.00037787i,0.0020491-0.00053138i,0.0030619-0.0012711i,0.0029408-0.0025951i,0.0017153-0.0018747i,0.00011349-0.00032303i,-0.00099668+0.00062297i,-0.0014266-0.00030081i,-0.0013154-0.00079077i,-0.00037171+0.0002083i,2.5453e-05+0.00098257i,-0.00028526+0.001112i,-0.00026937+0.00089183i,-0.00042016+0.00020428i,-0.00023994-0.00016353i,0.00068432+0.00023645i,0.00096889+0.00025334i,-0.00046916-0.00051711i,-0.0011084-0.00097468i,-0.00070267-0.00070227i,-0.00064629-0.00052119i,-0.00037782-9.3202e-05i,0.00015693-0.00025458i
0.00014683-0.0012191i,-0.00031411-0.001653i,-0.00039548-0.0018077i,0.0004474-0.0017464i,0.00089647-0.00088533i,0.00032658+0.00027706i,0.00024875+0.00036641i,-0.00023997-0.00028944i,-0.00065607-0.00087785i,-0.00029116-0.00039955i,0.0004489+0.00091028i,0.00054644+0.0013823i,5.1678e-05+0.00079596i,0.00015844+0.00040048i,0.00051974+0.00042995i,0.00027542+0.0001759i,-0.00023283-0.00050714i,-9.1706e-05-0.00031206i,0.00030101+0.00094775i,0.00062914+0.00040764i,-0.00029142-0.00069222i,-0.0004701-0.00036738i,8.6455e-06-0.00021453i
-0.0011223-0.00014569i,-0.00065797+0.00027021i,0.00012882-0.00041682i,0.00088324-0.0014544i,0.00079612-0.00027845i,0.00012894+0.00072976i,-9.9696e-05+0.00055789i,-0.0008317-0.00019005i,-0.0014271-0.00030836i,-0.00064853+0.00021728i,-0.00012612+0.00098684i,-0.0010031+0.0017458i,-0.00088684+0.0016681i,0.00017741+0.0010038i,0.00014413+0.00021896i,-0.00066848+0.00031053i,-0.00082572+0.00058975i,-0.00056831+0.00065399i,-0.00039881+0.00072328i,-0.00036603+6.0518e-05i,2.9537e-05-4.4527e-05i,0.00013768-6.3508e-05i,-0.00025277-2.9261e-05i
-0.00053292-0.00038296i,-0.0011676-0.00099065i,-0.0012719-0.0016533i,-0.0011219-0.0013823i,-0.00078697-0.0015697i,-0.00092543-0.00095242i,-0.0010462-0.00060296i,-0.0013872-0.00087551i,-0.0013823-0.00063759i,-0.00068459-0.00067602i,-0.00065347-0.00029748i,-0.00028239+0.00072004i,-0.0001558+0.0015174i,7.4428e-05+0.00096014i,0.00052238+0.00030263i,0.00053811-0.0003308i,2.2439e-05-0.00076834i,-0.0003969-0.0011633i,-0.00043812-0.0010437i,-0.00066802-0.00023439i,-0.00013296-5.0897e-05i,0.00029941-0.00052008i,0.000654-0.00021482i
0.00048823+0.00049125i,4.8202e-06+0.0004595i,0.00050157-0.0012898i,0.00084658-0.0017911i,-4.9099e-05-0.00085911i,-0.00056176+0.0003906i,-0.00078044+0.00081979i,-0.001725+0.00056029i,-0.0016535-4.4522e-05i,-0.0011754+0.00017247i,-0.0008045+0.0005208i,-0.00016518+0.00054578i,-2.5534e-05+0.0007295i,0.00032765+0.00087119i,-2.0034e-05+0.00074713i,-0.00011486+0.00016535i,0.00036538-0.00053372i,0.00032287-0.00035114i,-8.4054e-05+6.8088e-05i,-0.00020795-1.323e-05i,0.00045648-0.00037157i,0.00034943-0.00059581i,-0.00056939+1.4831e-05i
-0.00016103+0.0011009i,0.00038923+0.0015721i,0.00092071-0.00054409i,0.0010766-0.0028332i,0.0012399-0.0017001i,0.00085646-0.00035005i,0.00028233-0.00025242i,-0.00018509+0.00014287i,-0.00049551+0.00043334i,-0.00089097-0.00054902i,-0.00067877-0.0004361i,0.00018184+0.00075876i,0.00085972+0.00093566i,0.00091529+0.00041722i,0.0001606+0.00072764i,-0.00012788+0.00087045i,0.00061016+0.00048327i,0.00097567+0.0004468i,0.00029996-0.00010288i,-5.2627e-05-0.00026055i,0.00039398-0.00013383i,0.00026679-0.00060092i,-0.00018874-0.00098693i
0.001144-0.0002293i,0.0018934-0.001162i,0.0025295-0.0021124i,0.0016295-0.0031203i,0.00039076-0.0032131i,3.5422e-05-0.0014496i,-0.0002921-0.00010849i,-0.00054229-0.00057431i,-0.00052348-0.0011839i,-0.00025901-0.00087013i,-0.00010906+0.00010195i,-0.00028133+0.00087815i,4.7508e-05+0.00066183i,0.00028385-0.00023559i,-9.3069e-06-0.00054517i,-0.00052503-2.3804e-05i,-0.00064561+3.526e-05i,-0.00030066-0.00050733i,0.00022362-0.00031938i,0.00049611+0.00040466i,0.00044139+0.00084549i,9.9427e-05+0.00042752i,6.2366e-05-0.00059474i
0.00034101-0.00069313i,-0.00069626-0.0001862i,-0.0015071-8.3194e-05i,-0.0011645-0.000663i,-0.00042113-0.0008075i,0.00028135+7.9216e-05i,0.00013184+9.6853e-05i,0.00027534-0.00076113i,9.953e-05-0.00092454i,-0.00055274-0.00053274i,-0.00014996-0.00019055i,0.00026051+0.00042408i,0.00071034+0.00052546i,0.0010775+9.5424e-05i,0.00064119+8.9616e-05i,-0.00068113+7.0667e-05i,-0.00090862+2.522e-05i,-0.00026847-4.7351e-05i,0.00066352-0.00025366i,0.0011011+8.8742e-05i,0.0010321+5.7605e-05i,0.00049548-0.00020908i,-0.00011934-0.00042571i
-0.00079068-0.001052i,-0.00054772-0.00028623i,0.00095641+0.00083138i,0.0018161+0.00080796i,0.001533+0.00029786i,0.0010397+0.00064706i,0.00030299+0.0010007i,-0.00035733+0.00067132i,-0.00060222+0.00028229i,-0.00060534-6.1961e-05i,-0.00037632-0.00037705i,1.585e-05-0.00018061i,0.00013068+0.0003611i,0.00018443+0.00014241i,0.00010478-0.00045107i,0.00022489-0.00030351i,-0.00030382+3.5515e-06i,-0.0011946-0.00053471i,-0.0012415-0.00027972i,-0.00049856+0.00021157i,3.6219e-05+3.2573e-05i,9.2507e-05-0.0006862i,0.00036136-0.0008528i
0.00026976-0.00012196i,0.00092034-0.0010255i,0.0024607-0.0025079i,0.0025561-0.0033813i,0.0011491-0.0032808i,-7.5967e-05-0.0021632i,-0.00056341-0.0014295i,6.3581e-05-0.0016852i,-0.00053416-0.0018568i,-0.0016695-0.001229i,-0.00099634+0.0007061i,0.00040961+0.001887i,0.00070977+0.001048i,0.00032564-0.00010417i,0.00041409-0.0004619i,5.0979e-05-0.00057375i,-0.0003481-0.00019462i,0.00011847-9.0906e-05i,0.00056599-0.00038896i,0.00067686-0.00012323i,0.00083396+0.00053444i,0.00055814+0.00058909i,0.00015654+3.8844e-05i
0.0001291+0.0007134i,0.0011222+0.00023847i,0.0016616+8.8646e-05i,0.00092147-0.00038745i,0.00012003-0.0011423i,-0.00021777-0.00087955i,-0.00010495-0.00075471i,0.00011156-0.00069691i,0.00018225-0.00021167i,8.2346e-05+0.00096187i,5.2364e-05+0.0013179i,0.00019335+0.00053442i,0.00031576+0.0004309i,4.1883e-05+0.00082217i,5.6891e-05+0.00024244i,0.00048795-0.00010588i,0.00014521+0.00019811i,-0.00015078-5.5327e-07i,-0.000115-0.00021471i,-0.00027978-0.00012223i,-3.9323e-05-0.00057012i,8.8774e-05-0.0010225i,-0.00041072-0.0007889i
0.0004734-9.9101e-07i,0.0010093-0.0014815i,0.0017796-0.0012724i,0.0025002-0.001265i,0.0019306-0.0019885i,0.00085808-0.0026986i,0.00076435-0.0022965i,0.00049953-0.0015632i,-0.00036162-0.00086037i,-0.00056786-0.00035315i,-0.00058057+0.00055013i,-0.00041704+0.0012593i,-0.00032962+0.00081555i,-0.00060747+0.0001223i,-0.00036255-0.00049858i,-0.00030348-0.00022126i,-0.00050547+6.035e-05i,-0.00051375-0.00012379i,-0.00016629+0.00016216i,-1.9658e-06+0.0011532i,-0.00023645+0.0011562i,-2.7268e-05-0.00013709i,-0.0001524-0.00085445i
0.0010153-0.0010351i,0.0011862-0.0021401i,0.0018519-0.0033i,0.0019691-0.0036975i,0.00089522-0.002893i,7.0273e-05-0.0012615i,0.00016891-0.00035694i,-0.00010237+4.5276e-05i,-0.00055238+0.00091171i,-0.00053261+0.0014349i,-0.00043251+0.0013788i,-0.00049031+0.0016881i,-0.00022423+0.0013625i,0.00026649+0.00064897i,0.0005433+0.00011393i,0.0010889+0.00018576i,0.00099575+0.00020016i,0.00020967-1.2207e-05i,0.00035244+1.7685e-05i,0.0010028+0.00038728i,0.0010221+0.00047286i,0.0011276+0.00049651i,0.00064876+0.00078159i
-0.00017058-0.0012732i,-0.00098793-0.00092057i,-0.0016771-0.0014002i,-0.0012169-0.00087743i,-0.0013395+0.00027839i,-0.00060279+0.00069088i,0.00073423+0.00041837i,8.8907e-05-0.00052883i,-0.00089235-0.00056297i,-0.0015047-0.00024022i,-0.0010884-0.0003111i,-0.00017644+0.00029554i,0.00046588+0.00066876i,0.0010508+3.9557e-06i,0.00090168-0.00037994i,0.0014072-0.00090665i,0.001088-0.0011488i,-0.00047313-0.00030437i,-0.0011908+0.00026407i,-0.0011866-5.5124e-05i,-0.00040525-0.00054155i,0.0005424-0.00034269i,0.00052196-4.0558e-05i
0.00014247-7.1053e-05i,0.00088315-0.00050208i,0.0023317-0.00041551i,0.0024349-0.0011839i,0.0017587-0.0024417i,0.00036817-0.0024732i,-0.0004902-0.0018317i,-0.00057943-0.0015035i,-0.00076756-0.0010362i,-0.00056085-0.00015007i,-0.00077919+0.00079296i,-0.00033796+0.001134i,0.00037363+0.0014618i,0.00011996+0.0013502i,-2.9816e-05+0.00052357i,0.00030362-0.00015212i,0.00066894-6.1151e-05i,0.0010658+0.00075739i,0.0016145+0.00103i,0.0014959+0.00046283i,0.00074684+0.00011071i,0.00041942+0.00066444i,-0.00030911+0.00056144i
4.6799e-05-0.0011229i,-0.00085914-0.0011214i,-0.0009536-0.0019572i,0.00021451-0.0020465i,0.00052983-0.0012091i,-0.00049756+5.3408e-05i,-0.0014156+0.00097197i,-0.0018244+0.00020435i,-0.0010907-0.0007372i,0.00019927-0.00040072i,0.00099808+0.00046497i,0.00030432+0.0011067i,-0.00067994+0.00068251i,-0.00033129+0.00021826i,0.00016905+0.00026741i,8.9372e-05+0.00060257i,0.00037712+0.00071343i,0.00039856-5.1191e-05i,-0.0003171-0.0006182i,6.7698e-05-7.4186e-05i,0.00038542+0.00068651i,7.7488e-05+0.00048433i,0.00040628-0.00038388i
0.0017625+0.00022877i,0.0015716-0.00024401i,0.0016522-0.0015444i,0.0017634-0.0033177i,0.0011944-0.0027847i,6.0006e-05-0.00087002i,-0.00058581+4.6031e-05i,-0.00035693-0.0004466i,0.00012606-0.00018549i,-0.00016256+0.0013164i,-0.001287+0.0019394i,-0.0017585+0.0010177i,-0.0010353+0.00071295i,-0.00046371+0.0011904i,5.1463e-05+0.0011637i,0.0006719+0.00044702i,3.7192e-05-0.00029671i,-0.00059522+2.1441e-05i,-6.5519e-05+0.00051071i,0.00047843+0.00060736i,0.00029101-0.00015434i,-0.00025815-0.0005008i,-0.00047224-0.00017948i
0.00025203+0.00093367i,0.0010637+0.00086734i,0.0021671+0.00010668i,0.0027649-0.00068723i,0.0017257-0.0012617i,0.00088369-0.0017561i,0.0011134-0.0017547i,0.00046453-0.0019941i,-0.00085177-0.00087198i,-0.0015983+0.00056622i,-0.0022825+0.00038416i,-0.0026767-0.00014337i,-0.0016601-0.00042074i,3.7551e-05+7.043e-07i,0.00015039+0.00011771i,0.00037972-0.00029999i,0.00066782+7.9264e-05i,0.00082552+0.00020027i,0.00082768-0.00044602i,0.0002339-0.00076372i,5.6141e-05-0.00034526i,-0.00015979-2.9658e-05i,-0.00052439-0.00010129i
-0.00087365-0.00047698i,-0.0011326-0.0012573i,-0.00064612-0.001101i,-0.00069052-0.00053678i,-0.0010519-0.00083383i,-0.00056709-0.00050813i,0.00011444-0.00030293i,2.7504e-05-0.0010027i,-0.00080618-0.0012455i,-0.00075002-0.00045086i,-0.001151+0.00038226i,-0.0016385+0.00061244i,-0.00054681+0.00068475i,-5.8153e-05+0.0010295i,-0.00024662+0.00096613i,6.9214e-05+0.00082073i,0.00025578+0.00046889i,-0.00018317-0.00061776i,-0.00091831-0.00061977i,-0.00064085-4.5197e-05i,0.00039995-0.00023505i,0.00068902-0.00022823i,0.00039421+0.00030643i
-0.002214+0.0011146i,-0.0013971+0.0010578i,0.00030465+0.0016555i,0.0027077+0.0013239i,0.0030212-0.00047552i,0.0026679-0.0017662i,0.0015761-0.0012281i,-0.00062186-0.00098117i,-0.0015629-0.00035483i,-0.00073315+0.00043473i,0.00088848+0.00013738i,0.0014744+0.00031461i,0.00051554-7.4078e-05i,-9.983e-05-0.00071292i,-0.00023869-0.00063616i,-2.6698e-05-0.00029132i,0.00080998+6.6053e-06i,0.00091296+2.1274e-06i,0.00075129+0.00012948i,0.00014687+0.00064956i,-0.0003468+0.00038242i,-8.7136e-05-0.00036045i,0.00011712-0.00059623i
0.00072323-0.00049019i,0.00044015-0.0013429i,0.00096378-0.0018282i,0.0015001-0.0030642i,0.0017123-0.003582i,0.00097617-0.00235i,0.00010377-0.0013149i,-5.8732e-05-0.0012735i,0.00010981-0.0010266i,0.00016222-0.00026523i,0.00023827+0.00060931i,0.00039895+0.00061963i,0.00011653+0.00020352i,0.00011357-0.00048213i,-0.00048705-0.00073859i,-0.0011099-0.00046059i,-0.00059861+9.1202e-05i,6.472e-05+0.0005209i,0.00014736+0.00055941i,0.00017853+0.00027794i,0.00033752-0.00016144i,0.00080923+3.3218e-05i,0.0002614+0.00071123i
