-0.0033771+0.00084674i,-0.0033165+0.0014875i,-0.0045501+0.0012405i,-0.0046457+0.0020103i,-0.003662+0.0028469i,-0.0025513+0.0021772i,-0.0019013+0.0015733i,-0.00061706+0.0016597i,0.00085787+0.0016332i,0.0010815+0.00057737i,0.0015287-0.00052191i,0.001991+5.6434e-05i,0.0012489+0.00026534i,0.00042181-0.00025189i,9.6234e-05-4.5584e-05i,-0.00047005+0.00031986i,-0.00053374+0.00037347i,-0.00022502-0.00012304i,-0.000227-0.00073232i,-0.0004713-0.00064992i,-0.0006009+0.00018437i,-0.00031294+0.00076508i,-0.00011125+0.00037479i
0.00091948+0.00034769i,0.00022613+0.0005327i,-0.0011559+0.00026882i,-0.0019058+0.00074991i,-0.0016827+0.0010797i,-0.0014455-0.00019573i,-0.0012408-0.00079958i,0.00021282+0.00010241i,0.0021939+0.0010792i,0.0025346+0.0023009i,0.001957+0.002323i,0.0018752+0.00083477i,0.0013144-0.00051011i,0.0011883-0.00081922i,0.00078429-0.00021828i,-0.0005009+0.00044859i,-0.00074158+0.00019602i,-0.00021443-0.00029333i,4.0882e-05+0.0004175i,0.00078344+0.00045988i,0.00064498-4.7123e-05i,-7.2685e-05+0.00021058i,3.4822e-05+0.00031851i
0.00066043+0.0022796i,0.00015486+0.0018281i,0.0017689+0.001869i,0.0023882+0.0017932i,0.0011039+0.0003287i,-0.00036721-0.00085903i,1.9617e-05-0.00075114i,0.00096724-0.00033902i,0.0012578+0.00092057i,0.0028873+0.0012218i,0.0040816+0.00014716i,0.0028591-0.00023564i,0.00054335-0.0002427i,-0.00094563-0.00027253i,-0.00023971-0.00037615i,0.00032568-0.00055596i,0.00038056-0.001007i,0.00019386-0.00095783i,-0.00035992-0.00017683i,-0.00020815+0.00020213i,-0.00091595-7.1642e-05i,-0.0017452+7.5604e-05i,-0.00062001+0.00065284i
0.0013424+0.00032907i,0.00074-0.00023559i,-7.0214e-05-0.00080973i,-0.00031347-0.0012211i,-0.00050522-0.0004308i,-0.00038272-0.00048376i,-8.1396e-08-0.001819i,-0.00014583-0.0029817i,0.0016193-0.0030182i,0.0030575-0.0021122i,0.0019291-0.0011849i,0.00065572-0.00063112i,0.00049015-0.00061711i,0.00047465-0.00065509i,0.00030671-0.00052702i,0.00049125-0.00051526i,0.0011666-0.0011074i,0.00095629-0.00075504i,-0.00049203-9.2164e-05i,-0.00064743+0.00017121i,-0.00030139+0.0008417i,-0.0003001+0.0010573i,-0.00033921+0.0013035i
0.00020685-0.00072935i,-0.00069585-0.00084704i,-0.0012408-0.00054944i,-0.00091462+0.00012163i,-0.00030602-5.6469e-05i,-0.0006234-0.00055534i,-0.0010446-0.0017745i,-0.00051055-0.0023855i,0.00034098-0.002351i,0.00069018-0.0022571i,0.00067492-0.0022073i,0.0011415-0.00092988i,0.00068244-0.00036346i,-4.228e-05-0.00014933i,-0.00054605+0.00093079i,-0.00024601+0.00072727i,-0.00027221-0.00049356i,-0.0013821-0.00088415i,-0.0021927-0.00049522i,-0.0014364-0.00053793i,2.8598e-05-0.0002674i,0.00011124-0.00031782i,0.00055189-0.0001886i
0.00063964-0.00061062i,0.00052565-0.00089543i,0.00023955-0.0015307i,-0.00080666-0.0012844i,-0.0017508-0.0003347i,-0.0011291+7.7009e-06i,-0.00013211-0.0004915i,-0.00035292-0.00045937i,-0.0011173-0.00015132i,-0.0021553-0.00049739i,-0.0017518+0.00024355i,-0.0004454+0.00099944i,0.00028106+0.00019796i,-0.00020211+0.00056008i,-0.00010102+0.00062454i,0.00050929-0.00058569i,0.00045798-0.00082196i,0.0001837+0.00041134i,0.00026725+0.0012419i,0.00075864+0.0011435i,0.0005298+1.2736e-06i,0.00074988-0.00098671i,0.0010707-0.00030117i
-0.00010638+0.0014781i,0.00019416-1.8879e-06i,0.0012669-0.0003979i,0.0012264-0.00075213i,0.00085709-0.0012386i,0.00045877-0.0011806i,-0.00019924-0.00084087i,0.00011581+0.00015451i,0.000485+0.0010862i,-0.0011845+0.0018098i,-0.0017277+0.0024621i,0.0003224+0.0021215i,0.0015291+0.00046907i,0.00056301-9.0184e-05i,-0.000418+0.00041836i,0.00023022+0.00013499i,0.00021346-9.4183e-05i,-0.00032435-0.00048412i,3.7952e-05-0.00070069i,0.00055416-0.0003119i,0.00019051-1.8063e-05i,-0.00016517-0.00075156i,0.00020147-0.00084444i
-0.0015581+0.0023423i,-0.0018691+0.0023949i,-0.0018425+0.0033795i,-0.0012195+0.0032616i,0.00023046+0.001644i,0.0012163+4.3229e-05i,0.0012603-0.00065423i,0.0012294-0.00049111i,0.0018292+0.00095808i,0.0012178+0.0032485i,0.0007066+0.0034428i,0.0014547+0.0012782i,0.0018623-0.00095311i,0.0018039-0.0014498i,0.00058836-0.00061576i,-0.00072883-0.00039443i,-0.00027467-0.00085278i,-7.9154e-05-0.0010283i,-0.00099271-0.00049451i,-5.4944e-05+0.00074926i,0.00083993+0.0013831i,-0.00011719+0.00092947i,-0.00018941-8.0787e-05i
0.001667+0.0014699i,0.0015289+0.0010136i,0.0017694+0.0012513i,0.0020562+7.8788e-05i,0.0023745-0.0010162i,0.0011557-0.0024886i,-0.00030344-0.0034218i,0.00048764-0.0028079i,0.002372-0.00099458i,0.0034703+0.0011738i,0.0030362+0.0020338i,0.0014458+0.00069325i,0.00028514-0.0015301i,0.0004641-0.0028593i,0.00041532-0.0024012i,0.0001631-0.00080709i,3.2286e-05-0.0004227i,-0.00083501-0.00097526i,-0.0010257-0.0011233i,-0.00077564-0.0011233i,-0.00051801-0.0012372i,-0.00016394-0.00042871i,-0.00057111+0.00020118i
-0.00065685+4.1805e-05i,-0.0013179+9.6139e-05i,-0.0025357+2.8632e-05i,-0.0019679+0.00038207i,-0.0013798+0.00037255i,-0.00089528-0.00012199i,-0.00085592-0.0004992i,-0.00037312-0.0011539i,0.0022576-0.0016753i,0.0039173-0.0014751i,0.0031669-0.00065952i,0.0019895+0.00015019i,0.0013119+0.00020748i,0.0011094-8.1708e-05i,0.00063525+0.00081482i,-0.00021379+0.00048509i,-0.00040756-0.00072881i,0.00039544-0.00044313i,0.00065595-5.6734e-05i,8.8927e-05-0.00019383i,-0.00027192+6.0014e-05i,0.00016908+0.00048696i,0.00095947+0.00082871i
0.0018213-4.6252e-05i,0.0013735-0.0011426i,0.00013009-0.0034325i,-0.00099776-0.004333i,-0.0011167-0.0032988i,-0.00083863-0.00090222i,-0.0012251+0.0001451i,-0.0010021-0.00019209i,-7.059e-05-0.0014039i,0.00053914-0.00222i,0.0011603-0.0012883i,0.0010724-0.00049689i,0.00027527-0.00017018i,-0.00037666+0.00043735i,-0.00043427+0.00018369i,8.7101e-06-0.00036665i,0.00018859-0.0005569i,-0.00043231+0.00022365i,-0.00070838+0.00078463i,-0.00042123+0.0012193i,-0.00082317+0.0010013i,-0.00058296-0.00025602i,0.00047773-0.00035869i
0.0002232-0.0013209i,0.0003734-0.0015819i,0.00012797-0.0021505i,-0.0014352-0.0013596i,-0.0014406-0.00060513i,-0.00061285-0.00039244i,-0.0015359-0.00030731i,-0.0021336-0.0003018i,-0.0018048-0.00092283i,-0.0014311-0.001716i,-0.00024884-0.0016815i,0.0014518-0.00017323i,0.0017869+0.0010998i,0.0013822+0.0014677i,0.00063683+0.0011483i,6.0551e-05+0.00034119i,1.4834e-06-0.00081681i,-0.00067269-0.001117i,-0.0011907-0.00026096i,-0.00040872-0.00016602i,0.0013383+9.9638e-06i,0.0013656-0.00015215i,0.00054597-4.4884e-05i
-0.0014925+0.00032573i,-0.00053846+0.00074897i,-0.0011218+0.0011838i,-0.0022716+0.0015958i,-0.0022545+0.00145i,-0.00041637+0.00019686i,0.00097567-0.00074119i,0.00051412-5.2618e-05i,-4.6621e-05+0.00084619i,-0.00055247+0.0010047i,-0.00019428+0.00091578i,0.0011782+0.00081898i,0.001378+0.00057258i,0.00061315+0.00010326i,0.00021749-3.4011e-05i,0.00023343-0.00016854i,-0.00048626-0.00051491i,-0.0013584-0.00092453i,-0.0013233-0.00068577i,-0.00016943-0.000492i,0.00046891-0.0013392i,-0.00032238-0.0020896i,-0.00088582-0.0012133i
0.00045747-0.00062411i,-0.00019482-0.00025572i,-0.0003835-0.0012914i,0.00029322-0.0015676i,0.00016332-0.0011418i,0.00017285-0.0013506i,0.0011687-0.0013179i,0.0027122-0.00029167i,0.0034606+0.0019961i,0.0030022+0.0035109i,0.001977+0.0031946i,0.0015925+0.0010082i,0.0012395-0.001443i,0.0010388-0.0022916i,0.00071129-0.0020251i,-0.000217-0.0011642i,-0.00072201-0.0010162i,-0.0012618-0.0016277i,-0.0012923-0.0016269i,-0.00078875-0.0012774i,-0.00058307-0.0013729i,-0.00093037-0.0015571i,-0.0010511-0.0015i
-0.0013464+0.00038227i,-0.0015282-0.0003216i,-0.0015449-0.00040171i,-0.00049811-0.00040933i,0.00042513-0.00031591i,0.0010073-0.00085018i,0.0017127-0.0015348i,0.0024972-0.0015939i,0.0039071-0.0012194i,0.0040938+9.7431e-05i,0.0026869+0.001817i,0.0015181+0.0012695i,0.00072126-0.0010117i,0.00060595-0.0022858i,0.000377-0.0019845i,-0.00053925-0.0006214i,-0.0010365+3.0832e-05i,-0.0012311-0.00038876i,-0.00058818-0.00033561i,0.00040505+0.00020029i,0.00060677+0.0003651i,0.00055762+0.00073777i,0.0010866+0.00040114i
0.0023891-0.00089088i,0.0016092-0.0022138i,0.0018737-0.0019791i,0.00058762-0.0017863i,-0.0018995-0.002305i,-0.002806-0.0027407i,-0.0019539-0.0023683i,-0.00075496-0.0022627i,0.00048786-0.0027323i,0.0022643-0.0031498i,0.0029352-0.0010846i,0.0018601+0.00048645i,0.00089835-0.00019708i,0.00017502-0.00016493i,-0.00050124+0.0005514i,-0.00051981+0.00022749i,-0.00043044-0.00060594i,-0.00050202-0.00065142i,-0.00055295-0.00056922i,-0.00071922-0.00035011i,-0.00074929+0.00014707i,-0.0003402+0.00080137i,5.1784e-05+0.0018315i
0.00256+0.0026382i,0.0027758+0.001275i,0.0038858+8.7243e-05i,0.0028884-0.00066915i,0.00061346-0.0017738i,-0.00059589-0.0021322i,-0.0006202-0.0026413i,-0.0011092-0.0034878i,-0.0010517-0.0034492i,5.7313e-05-0.0026771i,0.0011833-0.0016731i,0.0011514-0.00054153i,0.00032787+0.00072296i,-0.0009176+0.00089733i,-0.0015376+0.00015745i,3.7874e-06-0.00050214i,0.00057111-0.0010282i,-3.029e-05-0.00060296i,-8.8883e-05-0.00027461i,0.00034747-0.00018578i,0.00052574+4.2007e-05i,0.0002326-0.00058344i,-4.4426e-06-0.00085284i
0.0010957+0.00037726i,0.0011204+0.0014033i,0.0015055+0.0018216i,0.00090306+0.00038662i,0.0010056-0.0014467i,0.0012057-0.0015297i,0.0011551-0.00078246i,0.00052806-0.00057992i,-0.00071155-0.00048065i,-0.00064801-0.00044617i,0.00026877-0.00060879i,0.0011048+0.00032997i,0.0012482+0.00017902i,0.00103-0.00062617i,0.00056987-0.00068932i,0.00054639-0.0011452i,0.00027871-0.0016721i,-6.8539e-05-0.0021657i,0.0001261-0.0017109i,-6.2683e-05-0.00088199i,-0.00065643-0.00059582i,-0.0011709-0.00051786i,-0.00025192-0.00047232i
0.00054919-0.0015222i,-0.0003947-0.0014919i,-0.00097847-0.002369i,-0.00177-0.0024895i,-0.0018108-0.0019406i,-0.0010646-0.0014105i,-0.00068567-0.00015236i,-0.00042921+0.0018544i,-0.00038859+0.0042967i,-0.00094054+0.0049544i,-0.00071004+0.0032847i,0.00051228+0.0011907i,0.0020303-0.0011346i,0.002668-0.0021915i,0.0019719-0.0014692i,0.00074502-0.0016746i,-0.00016543-0.0022158i,-0.00029332-0.001902i,-0.00084422-0.0009694i,-0.00042414-0.00010491i,3.4845e-05-0.00016202i,-0.0001099-0.0010124i,-0.00024896-0.0013198i
-0.00098765+0.0016067i,-0.00049617+0.0024471i,5.6825e-05+0.0021969i,0.0011322+0.0015389i,0.0014653+0.00014603i,0.0015933-0.00066532i,0.0013682-0.00080514i,0.0019122+0.00022027i,0.0025726+0.003174i,0.0015293+0.0040742i,0.0011841+0.0031111i,0.0020896+0.0013243i,0.0026417-0.0016875i,0.0029625-0.0026947i,0.0024325-0.0013983i,0.0010181-0.00086218i,-0.00043631-0.00082765i,-0.0010659-0.00042949i,-0.00066874+0.00045712i,-0.00020526+0.00083768i,-0.00013204-3.2756e-05i,-0.00054683-0.00051262i,-0.0012656-0.00030595i
-0.0013827+0.0014265i,-0.0011227+0.001433i,-0.0012039+0.0016878i,-0.0013869+0.00085028i,-0.0013464+0.00018163i,-0.0013849-0.00076965i,-0.00054014-0.0022506i,0.0018031-0.0023316i,0.0042418-0.001288i,0.0042817-0.00011538i,0.0027016+2.76e-05i,0.001904-0.00062437i,0.0012514-0.00065681i,-0.00030808-0.00033593i,-0.0013101-0.00025323i,-0.0021415+0.00026482i,-0.002049+0.0010802i,-0.00077715+0.00095312i,0.00024515+0.00042752i,0.00063178+6.0132e-05i,0.00050776-0.00049333i,0.0003122-5.0967e-05i,0.00038294+0.00089423i
-0.0036235+0.0025404i,-0.0024732+0.0018587i,-0.0015905+0.0041291i,-0.00061933+0.0048842i,0.00057719+0.00285i,0.00064799+8.3317e-05i,0.00066884-0.0022711i,0.0020792-0.0040209i,0.0040845-0.0050595i,0.0055875-0.0037178i,0.0045846-0.00038064i,0.0016031+0.0015547i,-0.0020282+0.0012468i,-0.0043957-0.00029931i,-0.0044461-0.00063302i,-0.0026445+0.00040067i,-0.00049297+0.00048999i,-0.000534+9.1696e-05i,-0.00099176-5.3531e-05i,-0.0004973-0.00011975i,-0.0002546-0.00051064i,0.00027409-0.00086686i,0.0011539-0.00025024i
0.0016388-4.9615e-05i,0.00084308+5.7732e-05i,0.00025648-0.0011043i,-0.00044037-0.001331i,-0.00062118-0.0012183i,-0.00036325-0.0015115i,0.00036651-0.0015412i,0.00053503-0.0020937i,0.0005047-0.0035979i,0.00018634-0.0041959i,0.00017344-0.0024485i,-0.00024503+0.00021872i,-0.0015671+0.00088778i,-0.0025336+6.5447e-05i,-0.0025209+0.00035555i,-0.0012856+0.0004897i,0.00055178-0.00066468i,0.0007313-0.00079344i,-0.00020983+4.9892e-05i,-8.6411e-05+0.00013551i,6.303e-05+0.00029211i,-0.00038795+0.00076568i,0.00020682+0.00093438i
-0.0011715-0.00042248i,-0.0011627+0.0003496i,-0.0015008+0.00014168i,-0.0025872+3.4482e-05i,-0.0028007-4.4424e-05i,-0.0017078+0.00035115i,-0.0014135+0.0001999i,-0.0023966-0.0001046i,-0.0042931+0.00017332i,-0.0046894+0.00045689i,-0.0024089+0.00026287i,0.00021851+0.00032347i,0.0018521+0.00041894i,0.002814+0.00045884i,0.0031627+0.00077338i,0.0020753+0.00027165i,0.0007068-0.00074205i,9.8427e-05-0.0010924i,-0.00017454-0.00011968i,-0.0010285+0.0008254i,-0.0012501+0.00098668i,-0.00087472+0.0011855i,-0.00018312+0.00043132i
-0.0020267-0.00014316i,-0.0013716-0.0009094i,-0.0016255+9.6579e-05i,-0.002108+0.00068536i,-0.0013395+0.00060787i,-0.00024545+0.00011181i,-0.0002632-0.00037324i,-0.0014338+0.00096746i,-0.0031673+0.00306i,-0.0034701+0.0043403i,-0.0014161+0.0038635i,0.0023356+0.0023577i,0.0050769+0.0019808i,0.0057878+0.002123i,0.0051559+0.0013656i,0.0037485-0.00054785i,0.0018614-0.0022047i,-0.00013185-0.0026772i,-0.00068067-0.00098531i,0.00060253+0.00028074i,0.00089423-0.0001077i,-0.00061358-0.00054236i,-0.0010129-0.0011707i
6.5807e-05+0.00094138i,0.00095228-0.00013403i,-0.00025691-4.3194e-05i,-0.0023623+0.00064546i,-0.0026201+0.00030508i,-0.0011675-2.9143e-05i,-0.00043885-0.00024346i,4.6431e-05+0.00023428i,0.0010278+0.0022172i,0.0021094+0.0047186i,0.002274+0.0044238i,0.0027025+0.0024665i,0.0027586+0.0011843i,0.0010237+0.0004803i,-0.00013592-0.00042278i,-0.00021351-0.001097i,-0.00072311-0.0014796i,-0.00097102-0.0012824i,-0.0007818-0.00050649i,-0.00050277+1.1312e-05i,-0.00021422-0.00016795i,-0.00017604-0.00083324i,-0.00028461-0.00097826i
-0.00089555+0.00041599i,-0.0013193+0.0009402i,-0.0011426+0.00016357i,-0.00065074-0.001027i,-0.00063838-0.0014275i,0.00015105-0.0024268i,0.0019977-0.0027163i,0.0045935-0.00032853i,0.0071019+0.0025318i,0.0074903+0.0034168i,0.0044029+0.0019954i,0.00060053-0.0007557i,-0.0018785-0.0032611i,-0.0034513-0.0049005i,-0.0041057-0.0046032i,-0.0033265-0.0022673i,-0.0023271-0.0004374i,-0.0013701+0.00014373i,-0.0001704+0.00015258i,0.0001553-3.332e-06i,-0.00060338-0.00072147i,-0.00053621-0.00075412i,0.0004545-0.0002615i
0.00053216+0.0017864i,0.00070865+0.001808i,-0.00045352+0.0028867i,-0.0012533+0.003177i,-0.00032743+0.0011553i,0.00029611+0.00029199i,0.00078392+0.00026358i,0.0020266-0.00078915i,0.0051912-0.0019325i,0.006723-0.0020479i,0.0039249-0.0020294i,0.00080508-0.0030805i,-0.0018048-0.0048344i,-0.0034413-0.0060044i,-0.002981-0.0046114i,-0.0020946-0.0016979i,-0.00046665-1.8658e-05i,0.00023572+0.0007178i,-0.00053372+0.0014134i,-0.00013298+0.0012352i,0.00049429+0.00070867i,6.6653e-05+0.00046269i,1.1962e-06+0.00088965i
0.00036005-0.00025263i,0.00014773-0.00054963i,-0.00069437-0.0012936i,-0.0011981-0.0014876i,-0.00042341-0.0010648i,0.00024078-0.0011619i,-0.0010013-0.0018573i,-0.0015927-0.0036105i,-0.00085206-0.0060433i,1.583e-05-0.0065332i,0.0007845-0.0046764i,0.0011161-0.0019621i,0.0011403+0.00027554i,0.0013424+0.0017532i,0.0014605+0.0024373i,0.0011842+0.0018367i,0.0003871+0.0011043i,-0.00032844+0.00063643i,-0.00042205+0.00072853i,-0.0005279+0.00077922i,-0.00077576+4.0227e-05i,-0.00069361-0.00058639i,0.00011986+0.00024278i
-0.0008907+0.00054761i,-0.001498+0.0012014i,-0.0016183+0.0013403i,-0.00066775+0.00065859i,-0.000311+0.00062662i,0.00010965-0.00097811i,-2.987e-05-0.0023529i,-0.0014714-0.0031723i,-0.0030374-0.0039098i,-0.003731-0.0041306i,-0.0024387-0.0016679i,0.00064692+0.0027164i,0.0023956+0.0058772i,0.0021267+0.0071708i,0.0016867+0.0068184i,0.0012365+0.004548i,0.00059901+0.0014493i,-0.00028152-7.3396e-05i,-0.00088787+0.00022297i,-0.00018328+0.00051892i,0.00062607+0.00072882i,0.00075807+0.00045157i,0.001009-0.00075682i
6.0814e-05+0.0016085i,-0.00052996+0.001728i,-0.001011+0.0010819i,-0.002054+0.00069935i,-0.002079+8.0606e-05i,-0.0012169-0.0007711i,-0.0012565-0.00080107i,-0.002684+0.00033289i,-0.0049395+0.0018076i,-0.0052701+0.0029767i,-0.0021152+0.0031468i,0.0014994+0.0027617i,0.0019351+0.0038984i,-0.00026704+0.0039377i,-0.0011896+0.0020845i,-0.00042874+0.0007322i,0.00032285-0.00040432i,0.00075862-0.0010637i,0.00026522-0.00087806i,0.00052311-0.00083132i,0.0019826-0.001109i,0.0016957-0.00073873i,0.0011172-0.0011235i
0.0015554+0.00045386i,0.0019322-3.0929e-05i,-0.00039748-0.00020445i,-0.0016785-0.0010791i,-0.00040663-0.001664i,0.00041279-0.0018482i,0.00071938-0.00080634i,0.00040353+0.002856i,-0.00026072+0.0066572i,-0.00051708+0.007082i,0.00090273+0.0042058i,0.0020115+0.00023109i,0.0011846-0.0035864i,0.00037437-0.0063711i,-0.00060477-0.0064721i,-0.001323-0.0045613i,-0.00098663-0.0027721i,-0.00044345-0.0019151i,0.00040423-0.00068883i,0.0015292+0.00022676i,0.0024177-9.2891e-05i,0.0022663-0.00015228i,0.00084514+0.00044869i
0.0019641-0.0028436i,-0.0003361-0.00298i,-0.0018526-0.0039219i,-0.0023038-0.0025543i,-0.0022303-0.00071166i,-0.0015502+0.00032926i,-0.00034105+0.0010818i,0.0019519+0.0027885i,0.0046485+0.0052806i,0.0048961+0.0053083i,0.0035895+0.0025486i,0.0033029-0.0018252i,0.0043494-0.0062019i,0.0040755-0.0079624i,0.0015664-0.0066877i,-0.0004184-0.0042956i,-0.00073291-0.0027845i,-0.00029187-0.0017141i,-0.00052461-0.000401i,-0.001-2.2253e-05i,-0.0015498-0.00022007i,-0.002107-0.00025853i,-0.0020705+0.00017494i
-0.0014809+0.0024064i,-0.0010241+0.0029253i,-2.6104e-05+0.0040241i,0.0010854+0.0031165i,0.001495+0.0012317i,0.0010803-0.0009342i,0.00060358-0.0023207i,0.0032983-0.0025352i,0.0070246-0.0022024i,0.0080738-0.0015891i,0.0064461-0.0012272i,0.0046277-0.001259i,0.0037122-0.0010926i,0.0026806-0.00031121i,0.0007968+0.001105i,-0.00051329+0.0016002i,-0.00040104-1.877e-05i,-0.00086565-0.00082334i,-0.001657-0.00055966i,-0.0012647-0.00023874i,-0.0010453-0.00031426i,-0.0013766-0.00031962i,-0.0012982+0.00042031i
0.0001715-0.0005623i,-0.0010819-0.00053191i,-0.0021696-0.00082769i,-0.0028862-0.00063037i,-0.0027823-0.00036738i,-0.0016738-0.0011133i,-0.00032063-0.0030812i,0.0011721-0.0048745i,0.0026161-0.0064305i,0.0030913-0.0068502i,0.0018246-0.0034018i,-0.00048626+0.0018582i,-0.0023547+0.0060195i,-0.0038111+0.0073006i,-0.0037804+0.0066509i,-0.0018479+0.005041i,-0.00065249+0.0020833i,-0.00065125-0.00029261i,-0.0007991-0.00012799i,-0.00072856+0.00081707i,-0.0001808+0.00047254i,0.00032664-5.6332e-06i,0.00069281+0.00021225i
-0.0002785-0.0012056i,0.00051819-0.0021151i,-0.0016052-0.0033222i,-0.0032132-0.0023664i,-0.0024273-0.00084327i,-0.00056634-0.00053549i,6.0101e-05-0.0013796i,-0.00076578-0.00272i,-0.0024691-0.0049509i,-0.0034034-0.0054375i,-0.0028946-0.002583i,-0.0031605+0.001303i,-0.0049673+0.0030651i,-0.0063305+0.0028318i,-0.0049331+0.0025405i,-0.0016619+0.0018134i,0.00044769+0.00081976i,0.00053754-0.00043886i,-0.00018475-0.00042448i,8.009e-05+0.00047833i,0.00048523+0.00080012i,0.0004853+0.00082901i,0.0011354+0.00051615i
0.00014608-0.00012417i,-0.00091235+0.0003726i,-0.00069193+0.00052922i,-0.00044178-0.00020921i,-0.00033551-0.00064804i,0.00011573+0.00018365i,0.00016079+0.0003513i,-0.0023173+0.00055275i,-0.0058282+0.00086644i,-0.006453+0.00034201i,-0.0038241+0.00025202i,0.00033064-0.0010222i,0.0027877-0.0033259i,0.0023483-0.0037639i,0.0013511-0.0031508i,0.0012262-0.002762i,0.0014985-0.0026069i,0.00049407-0.0019929i,-0.00076492-0.00027647i,0.00012382+0.00035167i,0.0014306+0.00025312i,0.001153+0.0003055i,0.00044541-0.00041354i
-0.00053705-0.0012625i,1.834e-05-0.0008298i,-0.0016-0.0012624i,-0.0025826-0.00025298i,-0.0027711+0.0019897i,-0.0020865+0.0025634i,-0.0014526+0.0020261i,-0.002494+0.0031965i,-0.0041809+0.0058148i,-0.0037162+0.0069314i,-0.00082519+0.0043773i,0.0034698+0.00043605i,0.007589-0.0019015i,0.0088701-0.0025697i,0.0066777-0.0026591i,0.0028198-0.002788i,0.0011695-0.0026025i,0.00035438-0.0015796i,-0.00053643-8.746e-05i,-1.8148e-05+7.6377e-05i,0.00026834-0.00093454i,-0.00098172-0.0015163i,-0.0018394-0.0017604i
-0.0012964-0.00016527i,-0.001552-0.00062469i,-0.0025856-0.000479i,-0.0035254+0.00014671i,-0.0039346+0.00033786i,-0.0024661-0.0009515i,-0.00011464-0.0021711i,0.0024261-2.0936e-05i,0.0043488+0.0047559i,0.0042242+0.0081819i,0.0035496+0.0077527i,0.0037999+0.0055844i,0.0038725+0.0038102i,0.0029851+0.0021931i,0.0015204+0.0013293i,-5.8093e-05+0.00074109i,-0.00053924-0.00012629i,1.2422e-06-0.00046031i,0.00055326-0.00038931i,0.00031658-0.00074297i,-0.00020631-0.0017003i,-0.00050186-0.0020183i,-0.000765-0.0017671i
-0.00099544+0.00028652i,-0.0015426+0.0022479i,-0.0018492+0.0012674i,-0.0013677+0.00017525i,-0.0005414+1.9134e-05i,0.00062386-0.001171i,0.0028242-0.0023066i,0.0053561-0.0022065i,0.0074951-0.001093i,0.0080359+7.5936e-05i,0.0048512+0.0013574i,0.00045194+0.0019733i,-0.0034237+0.0013171i,-0.00687+0.0011139i,-0.0069056+0.0016073i,-0.0032626+0.0017219i,-0.00077851+0.00073784i,-0.00045173-0.00029955i,-0.00045937-0.0007722i,-0.00044422-0.00070052i,-0.00082192+0.00012885i,-0.00074955+0.00054425i,0.00015667+0.00075853i
-0.00044567-0.0036612i,-0.0016155-0.0046007i,-0.0019313-0.0042456i,-0.0025003-0.0029736i,-0.002748-0.0018692i,-0.00079956-0.00042715i,0.0012286-7.7474e-05i,0.0025627-0.0025131i,0.0055738-0.0055722i,0.0064943-0.0063745i,0.003914-0.0050988i,0.00061855-0.0048411i,-0.0030808-0.0054996i,-0.0060435-0.00441i,-0.0054685-0.0017634i,-0.0026386-0.00024446i,-0.00095922-9.2515e-05i,-0.001021-0.00044646i,-0.001405-0.00067511i,-0.0013101-0.00067139i,-0.0011801+0.00048899i,-0.0011273+0.0018571i,-0.00031602+0.002747i
-0.00039208-2.5675e-05i,0.00021342+0.00050846i,0.0001738+0.00024166i,0.00060785+0.00059794i,0.00025983+0.0011407i,-0.00079278+0.00090469i,-0.0010922-0.00017767i,-0.0010413-0.002694i,-0.00047773-0.0058605i,0.0002733-0.0074479i,0.0013625-0.0058731i,0.0036849-0.0036767i,0.0056925-0.0038856i,0.0051093-0.0046046i,0.0029869-0.0035928i,0.0012927-0.0027315i,0.0006643-0.0028489i,-8.5271e-05-0.0020558i,-0.00053568-0.00049547i,0.00049035+0.00054896i,0.00089553+0.0012018i,0.00045618+0.001313i,0.00040708+0.00085887i
0.0011674+0.00055581i,0.00023348+0.00076936i,-0.00072813+0.00039497i,-0.0018256+0.00044842i,-0.0021391-0.00022144i,-0.0027903-0.0019257i,-0.0035458-0.0031918i,-0.0042973-0.0027892i,-0.0060143-0.0018132i,-0.0065255-0.00064183i,-0.0039068+0.00041498i,0.0011416+0.0019804i,0.0056278+0.0035738i,0.0070448+0.0041652i,0.0060233+0.0030632i,0.0040732+0.0011024i,0.0023011-0.00079726i,0.00063934-0.0018756i,-0.00036328-0.00080564i,-0.0001314+0.00038516i,0.00021667-0.00010085i,-0.00029699-0.0011083i,-0.0011712-0.00099084i
-0.00015475-0.00017595i,5.0185e-05-0.0016607i,5.4655e-05-0.0016968i,-0.0013911-0.0012568i,-0.0019805-0.0020235i,-0.00066809-0.0046573i,-0.00043304-0.0052042i,-0.0029402-0.0017607i,-0.0061685+0.0026814i,-0.0072285+0.0057995i,-0.0054237+0.0052952i,-0.0032563+0.0040192i,-0.0016405+0.0050364i,-0.0001856+0.0062827i,0.00040507+0.0052906i,-0.00019654+0.0026326i,0.00027064+0.0011131i,0.0007302+0.000871i,0.0004894+0.00076797i,0.00055507+0.00025539i,0.00072556-0.00044284i,0.0011475-0.0011536i,0.00048273-0.0013408i
