6.787e-05+0.0016724i,0.0014269+0.00096002i,0.0011689+0.00053872i,0.00087125+0.00037948i,0.00040199+8.0649e-05i,-0.00058844-8.3072e-05i,-0.0011845+0.00048252i,-0.00069683+0.00069774i,4.5398e-05+0.0014389i,0.00066679+0.0012465i,0.00090017-0.00031522i,0.00057385-0.001083i,0.00011904-0.0012918i,-0.00063248-0.00077846i,-0.00096046-0.00050573i,-0.00013142-0.00028587i,8.1752e-05+0.00035725i,-0.00027788+0.0004355i,9.545e-05+0.00071077i,0.00039362+0.00038223i,0.00023985+0.0004042i,0.00010835+0.0010731i,0.00015094+0.00096332i
0.0008851-0.00082342i,0.0011838-0.00014226i,0.0016779+0.00048975i,0.00070947+0.0010524i,-0.00060055+0.00076285i,-0.00086136+0.00063139i,-0.00087011+0.00042165i,-0.00075059-0.00018117i,-0.00082614-0.0006891i,-0.00038203-0.00071851i,-3.0957e-05-0.0011374i,0.0003337-0.0018377i,0.00048201-0.0011061i,0.0005969-0.00036718i,0.00048763-0.00047339i,0.00031269-0.0004634i,0.00021769-0.00031718i,-0.00087002-0.00031515i,-0.0011104+0.00031286i,-8.1068e-05+0.0010857i,-0.00017251+0.00097837i,0.00043471+0.00048148i,0.0015005+6.9328e-05i
0.00058117-0.00031383i,0.00031424-0.00022197i,-0.00072739+0.00015575i,-0.00087447-4.3883e-05i,-0.00056617+0.00040733i,-0.00058314+0.0010184i,-0.00065161+0.00017343i,-0.0011026-0.00066666i,-0.0010527-0.00064891i,-0.00069834+0.00012431i,-0.00030996-0.00016921i,2.1856e-05-0.00082433i,0.00012239-0.00055565i,9.8018e-05-0.00044533i,0.00038518+0.00017371i,-0.00038047+0.00063779i,-0.00099696-5.8928e-05i,-0.00023681-0.00076342i,-0.00017839-0.0010987i,0.00032333-3.1965e-05i,0.00053196+0.00075225i,0.0002837+0.00024366i,0.00073695+8.4884e-05i
0.00039302-1.6535e-05i,0.00030885+0.00064299i,0.0011533+0.00052376i,0.0015606-0.00017763i,0.0012453-0.00041492i,0.00076405-0.00083287i,-0.00040775-0.0015581i,-0.0013314-0.0013345i,-0.00068936-0.00051637i,0.00012629-0.0005351i,0.00069706-0.00085987i,0.00069408-0.0002939i,8.2724e-05+0.00029309i,-2.8826e-05+0.00051813i,0.00028878+0.00056022i,0.00024173+0.00086137i,-0.00025506+0.0012098i,-0.0010039+0.00084147i,-0.0011687+0.00030288i,-0.0010473+0.00028112i,-0.00094456+0.00048788i,-0.00081651+0.00067267i,-0.00019016+0.00076943i
-0.0018549-0.00079977i,-0.001727-0.00059914i,-0.00074133+0.0010252i,-0.00011851+0.0015099i,0.00017511+0.0011276i,3.9729e-05+0.00050637i,-0.00039034-0.0003463i,-0.00066935-0.0001264i,-0.0013108+0.00081863i,-0.0010707+0.00091791i,-0.00041179+9.5807e-05i,8.4704e-05-0.0010291i,0.00025873-0.0016743i,3.4175e-05-0.00053144i,-0.00067193+0.00061881i,-0.0009155+0.00042974i,-0.00047421+0.00052297i,-0.00064838+0.00041161i,-0.00069882+0.0002101i,-0.00063839+0.00021265i,-0.00043794+0.00023693i,-0.00018834-7.568e-05i,0.001018-0.00090118i
0.00036488-0.0015032i,0.00075284-0.0011063i,0.0017263+0.00021848i,0.00096449+0.0010249i,1.6781e-05+0.0004189i,-0.00034937+5.1958e-05i,-0.00086573-0.00055591i,-0.0017664-8.1448e-05i,-0.0023406+0.00043855i,-0.0018178+0.00039749i,-0.0012563+4.6016e-05i,0.00020505-0.0008913i,0.0015223-0.0008961i,0.00099136-0.00020323i,0.00030739+0.0002007i,0.00065898+0.0005177i,0.00034729+0.00090946i,-0.00033364-8.7016e-05i,-9.8722e-05-0.00031623i,-7.2923e-05+0.00044952i,-0.00044394+0.000983i,0.00022392+0.00079117i,0.00013352-4.2472e-05i
0.0008958+0.0018204i,0.0012438+0.0027645i,0.0016169+0.0020217i,0.0017571+0.00039188i,0.001785-0.0014261i,0.0018304-0.0018522i,0.00097358-0.00087907i,-0.00079-0.00072099i,-0.0013478-0.0010596i,-0.00076995-0.0011714i,4.3473e-05-0.0011694i,0.000307+0.00015858i,4.8268e-05+0.00047429i,5.2829e-07+0.0003249i,0.00023382+0.0002106i,0.00051691-0.00049375i,0.00052896-0.00037315i,0.00055327+0.00040885i,0.00019352+0.00038295i,-0.00051455+0.00045434i,-0.00043449+0.00017728i,0.00013516-0.00028802i,0.00030779-0.00052443i
-0.0018176+0.001704i,-0.0017013+0.0020095i,-0.001071+0.0035944i,0.0007644+0.0030599i,0.00097848+0.0015566i,-3.8981e-05+0.00041811i,-0.00043852-5.282e-05i,-0.00081625-0.00033346i,-0.0011082+0.00012212i,-0.00071808+8.5251e-05i,0.00036616-0.00032568i,0.00085621-0.00013297i,0.00082548-0.00075533i,0.0006027-0.00060611i,0.00014334-0.0003296i,-0.0002204-0.00058512i,-0.00038347-0.00031401i,-0.0010968-0.00015684i,-0.0011458+3.2606e-05i,-0.00061954+0.0001343i,-0.00036723+0.00034971i,4.6947e-05+0.00049843i,-7.0892e-05+3.8162e-07i
-0.00031638+9.7803e-05i,0.00036727+0.00044934i,0.0012568-0.00059969i,0.0011542-0.0011583i,-1.5209e-05-0.0011684i,-0.00095463-0.00060002i,-0.0012576+0.00015444i,-0.00084488+0.00017312i,-0.00062267-0.00016329i,-0.0010109-0.00028115i,-0.00018728-5.9499e-06i,0.00079231+0.00041449i,0.0011481+0.00058765i,0.00080931+0.00049414i,0.00010195+0.00074244i,-0.00067212+0.00077389i,-0.0013417+0.00015507i,-0.0011394-0.00054021i,2.8735e-05-0.00089126i,0.00096654-0.00059299i,0.00066195-7.7858e-05i,9.2548e-05-6.0956e-05i,6.8137e-05-0.00049652i
0.0001762+0.0015786i,0.00034743+0.0022664i,0.0015725+0.0026978i,0.002625+0.0019156i,0.0023485+0.00050695i,0.00098732+4.3091e-05i,-0.00012453-7.1692e-05i,-0.00028886+0.00039487i,-0.00039647+0.00070813i,-0.00015403+0.00066757i,0.00043729+0.00034463i,0.0009106+0.00024098i,0.00072231-0.00019307i,0.0003685-0.00085808i,0.000472-0.00076936i,0.00080563-0.00019457i,0.00070651-0.00013656i,-0.00034339-0.00041666i,-0.0015709+0.00046784i,-0.0013509+0.00060984i,0.00036301-8.2873e-05i,0.0010788-6.0046e-05i,0.00092524+5.2474e-05i
0.00041395+0.00054513i,0.00054954+0.00095943i,0.00091976+0.00012032i,0.0016222-0.00049747i,0.0017614-0.00035467i,0.00032542-0.00033469i,-0.00064979-0.00061304i,-0.00065988-0.00041826i,-0.00065095-0.00076755i,-0.00066863-0.0011069i,-0.00084447-0.0011527i,-0.00037641-0.00048661i,8.6771e-05+0.00012115i,-0.00061218-7.8514e-05i,-0.00088027-0.00036753i,-0.00043777+9.8259e-05i,-0.00076763+0.00081918i,-0.0013251+0.00052903i,-0.0013433-2.5007e-05i,-0.0011818-0.00068292i,-0.0014815-0.0013607i,-0.0015334-0.0014145i,-0.00027285-0.0010169i
0.00037269-0.00012242i,0.00052816+0.0015467i,0.0017526+0.0027571i,0.002203+0.0016116i,0.0023372+0.00049275i,0.0024004-1.647e-05i,0.0011455-0.00045055i,-0.0009244-0.00065607i,-0.0010637+0.00073705i,-0.00047664+0.0014785i,-0.00024901-0.00021169i,9.772e-05-0.0010487i,-6.2371e-05-0.00079923i,-0.0003484-0.00053117i,-0.00047941+0.00019465i,-0.00027163+0.00047402i,-0.00012673+0.00012966i,3.1043e-05-0.00069084i,-0.00018585-0.0010946i,-0.00023671-0.00063475i,-4.072e-05-0.00065013i,-0.00013047-0.00019615i,-0.00011807+0.00058768i
0.0013035+0.0010192i,0.00063806+0.0011682i,0.00093371+0.00069763i,0.0012494-0.00017205i,0.00023369-0.00085336i,-0.00080218-0.00047084i,-0.0012009+0.00024232i,-0.0012862+0.00063335i,-0.0013826+0.0005524i,-0.00079126-0.0004274i,0.00031947-0.000868i,0.00068294-0.00054628i,0.00023204+6.1713e-05i,-0.00020302+3.2377e-05i,-0.00060121-0.00056852i,-0.00037289-0.00068991i,5.6805e-05-0.0004274i,-0.00030686-0.00092891i,-0.00065085-0.00067104i,8.8078e-05-0.0001122i,0.00054234+9.6431e-05i,-0.00030952-2.2864e-05i,-0.0004833-0.00028017i
-0.00162+0.00028514i,-0.0010437+0.00091428i,-0.00030644+0.0011425i,0.0006462+0.00064387i,0.0015634-6.8523e-05i,0.00094584-0.00079405i,-8.4377e-05-0.0011657i,-0.00049104-0.00057592i,-0.0015187-4.2422e-05i,-0.0016025+9.8219e-05i,-0.0013073+0.00013114i,-0.00094457+0.0001906i,-1.8031e-05-0.00019077i,0.00075403-0.00053717i,0.00063454-2.04e-05i,2.6775e-05+0.00012288i,-4.3614e-05-1.5792e-05i,-0.00015374+0.00043085i,-0.00051328+0.0007803i,-0.00055627+0.00047288i,-0.00015457-9.2759e-05i,2.8987e-05+1.7246e-05i,-0.00066274+0.00096864i
-0.0010779+0.00018784i,-0.0014453+0.00028407i,-6.4711e-06+0.0010049i,0.0024815+0.0014522i,0.0026092+0.0011087i,0.001473+0.00016014i,6.97e-05-6.8525e-05i,-0.00057027+8.3053e-05i,-0.0012259-0.00021257i,-0.0016225+0.00012544i,-0.0001961+0.00046464i,0.00039449-0.00043548i,0.00045113-0.00081043i,0.00077991-0.00027121i,0.00023761+0.00015826i,-0.00020936-0.0001697i,8.848e-05-0.00048572i,0.00024022-0.00035761i,0.00019403-0.00018687i,0.00027084-0.00029275i,0.00029249-0.00055039i,0.00028336-0.00039451i,-1.4682e-05+4.1976e-05i
-0.0010006+2.4156e-05i,-0.0002398+1.3174e-05i,-0.00085364-0.00072656i,-0.00098449-0.00018691i,-0.00018589+0.00016157i,4.4641e-05+0.0004423i,-0.0004542+0.0004703i,-0.00071282+0.00010783i,-0.00089586+0.00029098i,-6.3255e-06+3.4324e-05i,0.00080891-0.0008748i,0.00051161-0.00063182i,-0.00045154-0.00071861i,-0.00045451-0.0011757i,0.00070632-0.00033695i,0.0012223+8.9983e-05i,0.00058234-0.00024714i,-0.00053821-0.0011346i,-0.00044069-0.0020709i,0.0003143-0.0014531i,0.00012025-7.8498e-05i,4.0317e-05-0.00038833i,0.00016688-0.0012936i
0.001574-0.00047877i,0.0024608+8.4684e-05i,0.0029534+0.00039764i,0.0021389-8.6041e-05i,0.0017827-0.00091272i,0.0014679-0.00098104i,0.00043333+8.6242e-06i,-0.00051989+0.00086596i,-0.0013215+0.0008665i,-0.00065978+0.00056677i,-0.00025773-0.00054213i,-0.00021914-0.0015582i,-4.0353e-05-0.00034487i,3.1037e-05+0.00062212i,-0.00016875+0.00016825i,-0.00043684-0.00067343i,6.4259e-05-0.0010617i,-7.1216e-05-0.00021751i,-0.00046737+0.0007452i,-0.00081304+0.0003336i,-0.00034287-0.00054837i,-9.4328e-05-0.00026066i,-9.1674e-05-4.6995e-05i
-0.00056993+0.00018174i,-0.0013306+0.0004455i,9.3519e-05+0.0014188i,0.00074213+0.0015988i,0.00063229+0.0011622i,0.00033829+0.00017096i,-0.00046975-0.00053416i,-0.0011114-0.00027491i,-0.0015056+0.00020784i,-0.00045837-4.4286e-05i,0.0015497-0.00052153i,0.0017601-0.00018615i,0.00060262+0.00021887i,-0.00025548+0.00029854i,-0.00087652-0.00018981i,-0.001221-0.00012719i,-0.00090847+0.00045556i,-0.00034494+0.00070282i,0.00012406+0.00043858i,0.00038495-0.00022255i,-0.00024256-0.00088218i,-0.0003804-0.0005659i,-0.00021118-7.7408e-05i
0.0013935-0.00083259i,0.0011588-0.0010241i,0.0012333-0.0012805i,0.0015686-0.0010286i,1.4681e-05-0.00025717i,-0.00094463-3.0055e-05i,-0.00079665-0.00015384i,-0.0012277-0.00057513i,-0.00069665-0.00061812i,0.00011675-0.000345i,6.7899e-06-0.00020827i,-0.00026124-5.9372e-05i,1.1691e-05-4.1132e-05i,-1.1888e-05+0.00047766i,0.00020394+0.00063507i,0.00063629+0.00039722i,0.00043524+8.7751e-05i,-0.00052763+0.00053584i,-0.00076996+0.00050747i,-0.00012364-0.00072702i,-0.00032897-0.00091617i,-0.00069076+7.3997e-05i,-0.00034167+0.00043668i
-0.002232+3.6154e-05i,-0.00072274+0.001202i,0.00029651+0.0024715i,0.0013585+0.0030219i,0.0021424+0.0019254i,0.001918-0.00010916i,-1.2284e-05-0.00059055i,-0.0020646-0.00045553i,-0.0025643-0.00048547i,-0.0017433+0.00024066i,-0.00027069+0.00087026i,9.8322e-05+0.00050392i,-0.00033504-0.00022782i,-0.00048285-3.086e-05i,-0.00065757+8.7994e-05i,-0.00058811-0.00011853i,-0.00028076-0.0004466i,-9.2744e-05-0.0012497i,-5.2614e-06-0.00082319i,-0.00014722-0.0006043i,1.4826e-05-0.00011516i,1.9747e-05+0.00054418i,-0.00011325+0.0011705i
0.00098582+0.0003974i,-0.00030776+0.0015981i,0.00080331+0.0015614i,0.001626+0.0012254i,0.00058865+0.0010948i,0.00014775+0.0017454i,0.00054075+0.0017411i,0.00020456+0.00074242i,-0.00037272-0.00032943i,-0.00062047-0.00082607i,-0.0004233-0.00057243i,0.00058772+2.8658e-05i,0.00095278+0.00012244i,0.00042801-0.00076232i,0.00039766-0.00099523i,-0.00020254-0.00090659i,-0.00036109-0.00032691i,-0.00017893-5.6961e-05i,-0.00030744-0.00041837i,-0.00023044-0.00017456i,-0.00073496-0.00038118i,-0.00071759-0.00048245i,-0.00022649+0.0002878i
-0.00073341-0.00014813i,-0.00062974-1.0576e-05i,0.0004585+0.00021195i,0.00097807+5.4764e-05i,1.4096e-05-0.00016293i,-0.00087883+0.00029662i,-0.0018224-0.00058278i,-0.0019862-0.0014888i,-0.0015543-0.00049592i,-0.0011663-9.8495e-05i,-0.00038579-1.4554e-05i,0.00017868+0.00010415i,-0.00048659-0.00020278i,-0.0010796+1.543e-05i,-0.00070089-0.00010841i,3.6826e-05-0.00030673i,0.00014078-0.00057144i,-0.00011722-0.0005841i,4.6228e-06-0.00016219i,0.00027557+0.00024027i,0.00016168+0.00072766i,-0.00050268+0.00018241i,-0.00081845-0.00038155i
2.9349e-05+0.00067959i,-0.00053296+0.00061839i,0.0006415+0.0022807i,0.0017759+0.0018045i,0.0020259+7.1644e-05i,0.0005779-0.00095729i,-0.00062186-0.0010128i,-0.00041228-0.00044727i,0.00015724+0.00035671i,0.00015146+0.00039299i,0.00025444-0.00015134i,0.00043995-0.0006312i,0.00069472-0.00080574i,0.00077932-6.9701e-05i,0.00057614+0.00057586i,0.00060524+0.00018849i,0.00023671-0.00026943i,-0.00037334-0.00035011i,-0.00049245-2.3449e-05i,5.4934e-05+0.0001936i,0.00017529-0.00020566i,-0.00044942-0.00018037i,-0.00085383-0.00017898i
0.0014739-0.00023956i,0.0028634-0.00031971i,0.0030449-0.00044899i,0.0024212-0.00014756i,0.0011695-0.00061476i,0.00049125-0.00084126i,7.0432e-05-0.00079973i,-0.0006787-0.00067509i,-0.00074716-0.00051057i,9.2624e-05-0.00024312i,0.0009209-0.00024416i,0.0010016-0.00090892i,0.00054002-0.00064265i,-0.00014995-0.00039634i,-0.00050559-0.00043381i,-0.00012636+9.8029e-05i,-0.00015398+9.7499e-07i,-0.00040882-0.00079635i,-0.00071834-0.00050149i,-0.00047933+0.00027301i,-0.0005268-0.00010312i,-0.00036304-0.0004402i,0.00049757-0.00030712i
-0.00014733-0.0003127i,0.00098383+0.00080031i,0.00060664+0.0024837i,0.00021642+0.0029231i,0.00096845+0.0020944i,0.0004706+0.0011082i,-0.00019899-0.00062463i,-0.00067942-0.0018549i,-0.0011379-0.00099066i,-0.00092483+0.00014994i,-0.00072748+0.00013425i,0.0005353-0.00037497i,0.0012238-0.00055371i,0.0005312-5.339e-05i,1.2787e-05-0.00019609i,-0.00013467-0.00041226i,-0.00014433+7.7052e-05i,-0.00024034-3.6669e-07i,-5.9422e-05-0.00023637i,-0.00028736+4.9786e-05i,-0.00023279+0.00033814i,0.00037664+0.00056094i,0.00043311+0.00082074i
-0.0019425+0.00071109i,-0.0018378+0.00089212i,-0.00069327+0.0015616i,0.0012296+0.0015833i,0.0020274+0.00088516i,0.00087829-0.00047782i,-0.00051728-0.00092699i,-0.00099123-0.00084758i,-0.0015947-0.00063712i,-0.0011707+0.00024176i,0.00022385+0.00076794i,0.00095179-3.4885e-05i,0.00018579-0.0008338i,-0.00058027-0.00079286i,-0.00056761-0.00054959i,-0.00012608-0.0010371i,0.00024428-0.0015223i,0.0001047-0.00047716i,-8.4275e-05+0.00019407i,0.00051466+0.0003452i,0.00085843+0.00067374i,-1.044e-05+0.00058855i,0.00015528+0.00016026i
-0.0012596-0.0011343i,-0.00080768+2.5701e-05i,-0.00080316+0.0014921i,-0.00039852+0.0019417i,-4.8289e-05+0.0020597i,-0.0004416+0.0010233i,-0.0010207-0.00015669i,-0.0015171+0.00038418i,-0.0013292+0.00098598i,-0.00072411+0.0012746i,1.0574e-05+0.00071895i,0.00061592-0.00075321i,0.00042796-0.00081183i,0.00049862-0.00039226i,0.00037631-0.00024864i,-0.00097995-0.000741i,-0.0010837-0.00097691i,-0.00025561-0.00050466i,-7.9872e-05-0.00029293i,-0.00022718+0.0007404i,-0.00059762+0.0011648i,-0.00096168+0.00077864i,-0.00067204+0.0005537i
-0.0013577-0.00019337i,-0.0013798+0.00028046i,0.00035874+0.0011411i,0.0021155+0.00021077i,0.0021873-0.00047176i,0.00021641-0.00019189i,-0.0010814+0.00018639i,7.5826e-05-0.00020354i,0.00043922+0.0001571i,-5.1043e-05+0.00041986i,0.00028612+0.00048541i,0.00067003+0.00028287i,0.00044678-0.00014271i,0.00028462+0.00017984i,0.00010271+0.00037417i,-0.00022783-0.00018495i,-0.0007413-0.00088564i,-0.0012849-0.00061408i,-0.00014148+0.00046331i,0.00063492+0.00099905i,-0.00014642+0.00038331i,0.00039833-0.00041015i,0.00072668-0.00092985i
0.0015675-0.00085363i,0.0013845+0.00044488i,0.00082782+0.0011065i,0.00073257+0.0010112i,0.00028552+0.00042402i,-0.0003579-0.000222i,-0.00088332-0.00056351i,-0.0012999-0.00059782i,-0.0013237-0.00015165i,-0.00049322-0.00035472i,0.00070812-0.00069135i,0.00077855-0.00086829i,0.0004042-0.0008491i,0.00066916+2.4524e-05i,0.00099239-4.7976e-05i,0.00036427-0.00092751i,0.00043106-0.00091664i,0.00048761-0.00083883i,5.6933e-05-0.00058092i,-0.000886-0.00014013i,-0.00094795-0.00037895i,-0.00055551-0.00010498i,-0.0012015+0.00021684i
0.0023901+0.00099078i,0.0021079-7.067e-06i,0.0010897-0.00098728i,0.0010467-0.0010066i,0.00042502-0.0012305i,-0.00070387-0.0018995i,-0.0014359-0.00023297i,-0.0019928+0.0011582i,-0.0014632+0.00062346i,-0.00042962-0.00061405i,0.0003332-0.0010249i,0.0006277-0.00052742i,0.00065224+6.6412e-05i,0.0002358+0.00052508i,-2.1029e-05+0.0005765i,-0.00022993+0.00089034i,-0.00049878+0.00066788i,-0.00046348-0.0003368i,-0.00056458-0.0002786i,-0.00041405+0.00037516i,-0.000154+0.00057674i,0.00016136+1.9594e-05i,0.0010926-0.00048468i
-0.00060713+0.0020467i,0.00086452+0.0024073i,0.00080987+0.0017796i,0.0011854+0.0013011i,0.0015702+0.0010706i,0.00087999+0.00030539i,-3.4473e-06-0.00011404i,-0.00097093+0.00011113i,-0.001218+0.00022359i,-0.00041979+0.00012174i,0.00071258-0.00018104i,0.0011859-0.00095386i,0.00051112-0.0012221i,-4.6129e-05-0.00031814i,0.00038496+0.00029744i,0.00031134+0.0002912i,-0.00059995+0.00025239i,0.00014179+4.8183e-05i,0.0010345-0.00063332i,0.00074905-0.00073287i,0.00021387-0.00038855i,0.0003044-0.0004569i,0.00052901-0.00044478i
0.0018093+0.0014805i,0.0013448+0.0016433i,0.0025243+0.00026778i,0.0020424-0.00084801i,-0.00038599-0.0016621i,-0.0015092-0.0013929i,-0.0010352-0.00094107i,-0.0012687-0.00058467i,-0.0010283-0.00065876i,-0.00015849-0.00044039i,-0.00039089-0.00033261i,7.798e-05+7.7794e-06i,0.0012902+0.00065721i,0.0012044+0.0013644i,0.00040159+0.0011991i,0.0003747-0.00017218i,0.00051617-0.00095462i,-0.00017909-0.0011497i,-0.00077826-0.00070349i,-0.00018883-7.8244e-06i,-0.00033109-0.00021214i,-0.00076229-0.00065517i,-0.00020428-0.00074326i
-0.0013019+0.0013043i,-0.00085863+0.0022726i,-5.0091e-05+0.0025253i,0.001227+0.0017737i,0.0017431+0.0013241i,0.00092954+0.0005681i,-0.00059722+1.1822e-05i,-0.00079891-2.3563e-05i,-0.00055346-0.00019246i,-0.00025591-0.00023511i,0.00034178-0.00044665i,0.00094129-0.0008054i,0.0010016-2.9266e-05i,0.00048374+0.00049396i,0.00018352-1.6793e-05i,0.00014537-0.00049904i,0.00016197-0.00017006i,-0.00052496+5.8928e-06i,-0.00084799-0.000486i,-0.00040744-0.00063224i,-0.00027211-0.00025551i,0.00010174+2.181e-05i,0.00023352-0.00028911i
8.3532e-05-0.00065581i,0.00046366-0.00088572i,0.0015333-0.00098745i,0.0011937-0.00085988i,0.0005614-0.00038382i,0.0004923+0.00068674i,-0.00046353+0.00092206i,-0.0017197+0.00044702i,-0.0014114-5.4342e-05i,-0.00078366-0.00030946i,0.00021542-0.0005217i,0.00097001+0.00021127i,0.00056574+0.00093819i,-4.0899e-05+0.00076023i,-0.00019925+0.00012176i,-0.00068295-0.0003152i,2.2914e-05+0.00030816i,0.00041775+0.00040538i,-0.00043033-2.0785e-05i,-0.00078232-0.00013707i,-0.00050861+3.6688e-05i,1.1711e-05+2.1473e-05i,0.00030273+0.00018659i
0.00094071-0.0011276i,0.00098811+0.00054802i,0.001329+6.3551e-05i,0.00095093-0.00026851i,-0.00037674+0.00040949i,-0.0010776+0.0007452i,-0.00087372+0.00053956i,-0.0015465+0.00056042i,-0.0020928+0.00076689i,-0.00097829+0.00036455i,-0.00017744-3.2923e-05i,-0.00013247-0.00040594i,4.6724e-05-0.00044435i,0.00073441-0.00011695i,0.00067246-0.00049397i,0.0002711-0.00095996i,0.00095946-0.00069338i,0.00091056-0.00053944i,5.559e-05-0.0007113i,0.00017947-0.00023104i,0.00081358+5.5544e-05i,0.00081027+6.466e-05i,0.00018109+0.00040505i
-0.00037516+0.00031919i,1.4838e-05+0.00046815i,0.0017232+0.0016207i,0.0023368+0.0016469i,0.0021028+0.00015821i,0.00072439-0.0010887i,-0.00092658-0.00076364i,-0.0010745-0.00024688i,-0.00050891-0.00023316i,-0.00015388-8.1054e-05i,-0.00019365+0.00043917i,-0.00022121+0.00024704i,1.2673e-05-0.00043043i,0.00029348-0.00021946i,-0.00023693+4.5361e-06i,-0.00084024+0.00026504i,-0.00030087+0.00050231i,-0.0001735-0.00011659i,-0.00018942-0.0002466i,-0.00053574+3.4837e-05i,-0.00086772-9.5373e-05i,-0.00079992-0.0005334i,-0.00018151-0.00088835i
-0.00060052-0.00082049i,0.00034427-8.6973e-05i,0.0010764+0.0012101i,0.00056492+0.0019086i,0.00057744+0.0017278i,0.00074922+0.001192i,0.00021647+0.00019313i,-0.00086887-0.00078036i,-0.0011275-0.00079154i,-0.00031042-0.00041806i,6.2158e-07-2.0951e-05i,9.963e-05+9.697e-05i,0.00048531-0.00055895i,0.0010727-0.00063381i,0.0010295-0.00041885i,0.00044299-0.00042567i,-0.00014507-0.0011894i,8.1449e-05-0.0013193i,0.0003793-0.00090439i,0.00011814-0.00020569i,0.00058658+0.00023013i,0.00089172+0.00033042i,0.00032972+0.00022921i
2.1376e-05+0.0011777i,0.00089045+0.0020215i,0.0013832+0.0011916i,0.0010886-0.00017649i,0.0012462-0.0013693i,0.00059516-0.0014133i,-0.00080226-0.00025566i,-0.0017726-0.00032089i,-0.00088578-0.0010381i,-1.4867e-05-0.00044678i,-0.00013712-0.00029779i,9.6091e-05-0.0011397i,0.0011027-0.0012583i,0.00158-0.00079884i,0.0010116-0.00064673i,0.00067591-0.00067934i,0.00026593-0.00065969i,-0.00050549-0.0005939i,-0.00075605-0.00038277i,-0.00010968-0.00017997i,9.5818e-05-8.2987e-05i,-9.7844e-05-0.00021813i,-0.00016472-0.00017711i
0.00015496+4.9636e-05i,0.00074335+0.0021903i,0.0010681+0.0031116i,0.0014045+0.0027787i,0.0016876+0.0017237i,0.0016488+0.00087943i,0.0010861+0.00056133i,-0.0002065-9.1935e-06i,-0.0015359-0.00059484i,-0.00095169+0.0001346i,0.00036962+0.00049161i,0.00042095-7.1029e-05i,0.00025801-0.00011323i,0.00029726-0.00015255i,0.00011576-2.3694e-05i,-0.00075074-0.00095081i,-0.0013448-0.0017366i,-0.0010309-0.001103i,-0.00064911+0.00030002i,-0.00017587+0.00080073i,-0.0001421+0.00021517i,-0.00011177-0.00023749i,0.00038063+0.00011938i
-0.0011702+0.00084084i,-0.0011007+0.0012098i,-0.00035623+0.0020223i,0.00065066+0.0020803i,0.00064773+0.0017762i,-0.00030705+0.00097i,-0.0013554+0.0005005i,-0.0012389+0.00015386i,-0.0010101-0.00030756i,-0.0003888+3.563e-05i,0.00015046+5.0127e-05i,0.00044011-0.00077069i,0.00024645-0.0012647i,-0.00028105-0.00061247i,-8.5596e-05+0.0010184i,-0.00039278+0.00062692i,-0.00045728-0.0004967i,-0.00012722-0.00046349i,-0.00014009-0.00057066i,-0.00012688-7.6582e-05i,0.00028878+0.00044468i,0.00020239+1.2593e-05i,-0.00046572-0.00060121i
0.00084579+0.001198i,0.0012982+0.00022983i,0.0028874+0.00022134i,0.0036915+0.0010843i,0.0026464+0.0011617i,0.00098163-0.00035856i,-6.0949e-05-0.001438i,-0.00088023-0.0010299i,-0.0011786-0.00011664i,-0.00016491+1.9561e-05i,0.00087525+0.0001386i,0.0011122+4.3762e-05i,0.0012049-9.9375e-05i,0.00079738+0.00036876i,0.0007034+0.00042547i,0.00072259-0.00057606i,5.2118e-05-0.0009497i,-0.00056974-0.00037872i,-8.2321e-05+0.00025718i,0.00046155+0.00023911i,6.3934e-05-0.00053317i,-0.0003543-0.00045172i,-0.00060031-0.00037364i
-0.00083174+0.0014599i,-0.00028037+0.0010572i,0.00079121+0.0018811i,0.0012776+0.0018277i,0.0010877+0.00066158i,1.2991e-05-0.00039019i,-0.0017203-0.00063648i,-0.0021124+0.00013323i,-0.0010153+0.00029219i,0.00015561-0.00033861i,0.0008846-0.00074222i,0.0013367-0.0012632i,0.00080982-0.00061261i,-0.00030368+0.00053643i,-0.00069864+0.00043614i,-0.00086095-0.00026279i,-0.00094156-0.00066182i,-0.00065112-0.0010971i,-0.00023171-0.0012974i,-0.00049571-5.1542e-05i,-0.00022062+0.00063323i,0.00041094+0.0006582i,0.00011756+8.5349e-05i
-0.0022525+0.0013331i,-0.0011109+0.0013899i,-0.00062351+0.002891i,4.8564e-05+0.0036184i,0.00092472+0.0023881i,0.00046497+0.00026461i,-0.00068761-0.00043776i,-0.00096548-0.00043788i,-0.00055922-0.00080187i,0.00018715-0.0010699i,0.00087733-0.00068243i,0.0009342-0.0002371i,0.00084301-0.00079745i,0.00043453-0.0009508i,-0.00036866-0.00094529i,-0.00049755-0.00060856i,-5.3438e-05-0.00016339i,-0.00023156-0.00036101i,-0.00036886+0.00029369i,-0.0005578+0.00067673i,-0.00051561+8.581e-05i,-3.5739e-05+0.0001627i,-0.00011388+5.0267e-05i
