-0.00079674-0.00031342i,-0.00080398-0.00014274i,-0.00096929-0.00031761i,-0.00070215-0.00088895i,-0.00051847-0.00059159i,-0.0012839+0.0011893i,-0.0020286+0.0025503i,-0.0015344+0.0027594i,-0.00035883+0.003286i,0.00034158+0.0024654i,0.0002657+0.00013207i,-0.00026526-0.001088i,-0.00018682-0.0013006i,-9.8774e-05-0.00096196i,-0.00075134-0.00017178i,-0.00073162+3.9413e-05i,-0.00013223-0.00079842i,0.00075212-0.00078068i,0.0011109-0.00035209i,0.00084681-6.9306e-05i,0.0001038+0.0005155i,-0.00072978+0.0003885i,-0.00089657+0.00033374i
0.0006598+3.6011e-05i,0.0010818+0.0014438i,0.0016568+0.0011205i,0.0029837+6.7584e-05i,0.0029589-0.00061256i,0.0016105-0.00013994i,0.00026519+0.0002534i,-0.00062304+0.00028355i,-0.0010472+0.0011593i,-0.00057561+0.00066891i,-0.00010285-0.00046444i,-0.00028926-0.00041279i,-0.0002336-0.00030677i,-0.00021372+0.00011468i,-0.00094539+0.00031486i,-0.0013973+0.00023489i,-0.00020404+6.6399e-05i,0.00024793-0.00034339i,-0.00075463-0.00026317i,-0.0012054-0.00032229i,-0.00057844-0.00049258i,-5.8972e-05-9.8666e-05i,-0.00024761+0.00037503i
-0.00028188-0.0019092i,-0.00090686-0.00036121i,-0.0013007+0.00027774i,-0.001631+0.0011235i,-0.0014027+0.0018579i,-0.00085983+0.0024598i,-0.0013381+0.0015406i,-0.0016979+0.00056992i,-0.0018254+0.00085046i,-0.0010572+0.00096811i,0.00017552+0.00069553i,-0.00017251+1.797e-05i,-0.0009153-2.8663e-06i,-0.00063535-0.00046878i,0.00021898-0.0011828i,0.00030474-0.00085825i,0.00037484+0.00035053i,0.00052573+0.00061194i,0.00084043+0.00024498i,0.00052959+0.00047758i,-0.00040832+0.0005211i,-0.0005481+0.00031574i,-2.1108e-05+0.00073202i
0.001319-0.00066404i,0.00091218-0.0008022i,0.0010956-0.00058585i,0.0013723+0.00023126i,0.00085247+6.9153e-05i,-0.00047966-0.00015632i,-0.00079409-0.00012221i,-0.0013173+0.00021054i,-0.0018327+0.00094666i,-0.0013383+0.00094807i,-9.4417e-05-8.7316e-05i,-0.00018815-0.00048824i,-0.00040606-0.00022297i,4.9188e-06-0.00021305i,0.00042954-0.00032316i,-0.00011213-0.00024085i,-0.00047401+0.00016595i,7.5801e-06+0.000405i,0.00019321-9.9896e-05i,-0.00020481-0.00060851i,-0.00040968-0.0005598i,-0.00053644-0.00036893i,-0.00054137+9.0931e-06i
-0.00031399-0.001031i,0.00016745+0.00065619i,0.00033297+0.0007163i,0.00084668+2.3246e-05i,0.0011976-0.00067147i,0.00071144-0.00075564i,7.3073e-06-0.00055451i,-0.0010223-0.00038906i,-0.0018713+0.00075272i,-0.00094299+0.0011213i,-2.0225e-05+0.00023801i,-0.0005044+0.00012031i,-0.00073607+0.00050363i,0.000124+0.00079282i,0.00083576+0.00097106i,0.0010019+0.001026i,-8.0683e-05+0.00094677i,-0.00091576+0.00031295i,-0.0003294-0.00035173i,-0.00034906-0.00027778i,-0.00015933-0.00012044i,0.00034831-0.00048874i,0.00026541-0.00052348i
0.0012247+0.00019179i,0.00093518+0.0007545i,0.00072316+0.00023494i,0.00051839+9.7954e-05i,0.00041201-7.4166e-05i,-0.00044775-0.00013894i,-0.0018044+0.00028917i,-0.0019742+0.0010085i,-0.0011219+0.0016419i,-0.0001478+0.0011295i,7.5819e-05-2.3112e-05i,0.00013305-0.00062465i,0.0002037-0.0001729i,0.00015161+0.00013135i,-7.5096e-05+0.00046379i,-0.00033647+0.0007204i,-8.2247e-05+0.0004074i,0.00050739+0.00076813i,0.00062115+0.00092965i,0.00019371+0.00035338i,0.00010824-0.0001197i,0.00056273-0.00049167i,0.0005979-0.00059756i
0.0015457+0.0011538i,0.00073966+0.00077106i,0.0015603+0.00022404i,0.0018233-0.0010516i,2.124e-05-0.0019057i,-0.00093526-0.00080582i,-0.0010286+0.00067739i,-0.00099628+0.0012016i,-0.00088095+0.00093703i,-0.0010515+0.0008885i,-0.0010531+0.0011737i,-0.0012609+0.00090965i,-0.00052799+0.00038464i,0.00054889+2.2548e-05i,0.0008848-0.0003921i,0.0012868-0.00023347i,0.0014205+0.00030721i,0.00092421+0.00045282i,9.4285e-05+0.00065191i,-0.00057533+0.0010714i,-0.0013949+0.0011801i,-0.001044+0.00056438i,-0.00026684+0.00010784i
-0.00098778-0.00020664i,-0.00026617-0.00013983i,0.0010864+0.00030845i,0.0010371+4.0502e-05i,9.1985e-05-0.0008426i,-0.00033439-0.00085158i,-0.00047596-0.00059469i,-0.00066952-0.000338i,-0.0014775+0.00085178i,-0.0013662+0.0014296i,-0.00049544-0.00017402i,-0.00049522-0.0011718i,-0.00075626-0.0007389i,-0.00039208-0.00038341i,0.00019176-0.00020987i,9.5612e-05-0.00018174i,-0.00044338+1.079e-06i,-0.0005641-0.00044935i,0.00019782-0.00098192i,0.00033686-0.00058918i,0.00011076+0.00015822i,-0.00021099-8.5568e-05i,-0.00025531-0.00089094i
0.00012966-0.0022538i,0.00055599-0.0015706i,-0.0001531-0.00047598i,0.00048833+0.00063368i,0.0011729+0.0013542i,0.00032208+0.0014822i,-0.0012797+0.00083581i,-0.0023891+0.00044012i,-0.0025521+0.0014178i,-0.0016556+0.001809i,-0.00073557+0.00073314i,-0.00048343-0.00024007i,-0.00014724-0.00022633i,-0.0002656-0.00056532i,-0.00062759-0.0014118i,-0.00033409-0.0013677i,4.791e-05-0.00053883i,0.00047061-0.00041333i,0.00028427-0.00033506i,-0.00012874-0.00064434i,-3.6034e-05-0.00067116i,0.000106-0.00040802i,0.00038531+0.0001121i
0.0024735+0.00086399i,0.0024247+0.00082012i,0.0020337+0.00092545i,0.0011277-0.00051725i,0.00030059-0.0019479i,-0.0011885-0.0021244i,-0.0022301-0.00099696i,-0.0022153+0.00055825i,-0.0015756+0.0014465i,-0.00020104+0.0011063i,0.00045551+6.7135e-05i,0.00042453-0.00058318i,-1.7185e-05-0.00062863i,0.00015137-0.00038968i,0.00031947+0.00019522i,-0.00052584+0.00045395i,-0.00016534+3.2449e-05i,0.00033616-0.00028625i,-0.00020169+0.00049312i,-0.00079032+0.00059834i,-0.0012628+0.00016072i,-0.00075639+0.00040873i,-0.00033042+0.00048148i
0.0012034+0.0014382i,0.00080605+0.0012946i,0.000731+0.0013878i,0.00037553+0.00046282i,0.00016633-0.0012483i,-0.0005177-0.0010395i,-0.00095027+0.00072207i,-0.001505+0.0010129i,-0.0014747+0.0013182i,-0.00028069+0.0019154i,0.00087783+0.0016805i,0.0003977+0.0006087i,0.00074671-0.00032515i,0.0008882-5.3093e-05i,-8.8302e-05-0.00064066i,0.00048678-0.00048288i,0.0013354+0.00015471i,0.00052977+0.00097705i,-0.00054887+0.00070625i,-0.00038417-0.00027525i,0.00033895-0.00013695i,0.00030747+0.00023988i,-0.00019542+0.00012094i
6.7293e-05+0.00017606i,-0.00011142+0.00038386i,-0.00015578+0.00061636i,0.0008561-0.00079733i,0.001371-0.0012417i,-0.00028399-0.00077635i,-0.0013493-0.00064545i,-0.0012773+0.00063199i,-0.0020066+0.0018456i,-0.0018236+0.0014876i,-0.00029656+0.00056192i,0.00033738+0.00055403i,0.00015397+0.00096567i,0.00012938+0.00054458i,0.00037478-0.00033138i,1.5514e-05-0.00085694i,-0.00023591-0.00029687i,0.00018916+0.0012062i,0.00046989+0.0019245i,0.00014211+0.00090937i,-0.0005295+0.00015373i,-0.00022012-9.2436e-05i,0.0002022-0.0002195i
-0.00042106-0.00045021i,0.00054516-0.00042023i,0.00083029-7.2515e-05i,0.0010847-0.00033904i,0.00025176-0.0016362i,-0.00043117-0.0017674i,-0.0006624-0.00051227i,-0.0012681+0.00083938i,-0.0011695+0.0015268i,-2.0139e-05+0.0013555i,0.00068372+0.00018688i,0.00039402-0.00038168i,-0.00015154+0.00028855i,-0.00024439+0.0002515i,-5.8421e-05-2.8955e-05i,-0.00014449+0.00016156i,1.3725e-05+0.00035285i,0.00047718+0.00093683i,0.00055859+0.0013402i,0.00042908+0.00096254i,0.00035059-1.5047e-05i,0.00037956+0.00020962i,0.00023443+0.00052751i
-0.0008517-0.0011857i,-0.0015218+3.4445e-05i,-0.0012414+0.001325i,-0.00028416+0.0011779i,0.00049157+0.00024364i,2.01e-05+0.00051719i,-0.00070724+0.00049087i,-0.00093184-0.00011442i,-0.0011388+0.0011065i,-0.00077284+0.001329i,-0.00012947+0.00063773i,-0.00010773+0.00033705i,-0.00061255+2.423e-05i,-0.00066779+0.00053904i,-9.0117e-05+0.00084621i,-0.00016256+0.00023654i,-0.00011395-0.00047786i,-7.3795e-06-0.00038781i,-0.00019229-0.00015892i,-0.00027384-0.00022041i,0.00041027+0.00011285i,0.00056549+0.00030503i,-0.0002941+8.4698e-05i
0.0015582-0.00074033i,0.0013896-0.00082305i,0.00092897-0.00098807i,0.00031782-0.00085519i,-0.00063484-0.0015723i,-0.001183-0.0019953i,-0.0017512-0.0015468i,-0.0018251-0.00046341i,-0.0015285+0.00079217i,-0.00068652+0.001206i,0.00081175+0.00054331i,0.0014398+9.769e-05i,0.00064308-0.00019583i,0.00070297-0.00055709i,0.00065943-0.00047647i,0.00085174-0.0010398i,0.0010478-0.00087809i,0.00053676-5.9244e-05i,0.00059627+0.00021469i,0.00059605+3.7073e-07i,0.00023672-0.00054692i,0.00034315-0.0010609i,0.0010099-0.00031603i
-0.0010953+0.0021696i,-0.00031019+0.0017032i,0.0016311+0.0011692i,0.003008+0.001803i,0.0024542+0.0010875i,0.0015322-0.00043171i,0.00010288-0.00043384i,-0.0017752+2.5355e-05i,-0.0021183+0.00070969i,-0.00079886+0.0004017i,0.00082913-0.00050152i,0.00020866-0.00080036i,-0.00060834-0.00029684i,-0.00071081+0.00049053i,-0.00093286+0.00075814i,-0.00035712+0.00067237i,0.00015925+1.9639e-06i,0.00049477-4.4758e-05i,0.00032315+0.00062298i,0.00019058+0.0002645i,-0.00014368-0.00053983i,-0.00062909-0.00038228i,-0.00050806+0.0001347i
-0.001748-0.00037096i,-0.001439+0.0010084i,-0.00025248+0.00011272i,0.00065945-0.00040672i,0.00021067-0.00039574i,-5.2414e-05-0.00040566i,-0.00086605-0.00038027i,-0.0017366+0.00071451i,-0.001418+0.0014856i,-0.00068445+0.00038914i,-0.00038482-0.00041418i,-0.00074021+7.1331e-06i,-0.00068+0.00049206i,-2.6376e-06+0.00033689i,0.00043901-0.00034975i,3.9275e-06-0.0001873i,-0.00066533+0.00032953i,-0.00077274+2.4767e-05i,-0.00049444-0.00049487i,7.3714e-05-0.0011291i,-0.00017799-0.0013087i,-0.00064212-0.00016438i,-0.0002346+0.00022556i
-0.0010683+7.8527e-07i,6.5696e-05-0.00029424i,0.0006281+0.00052861i,0.0012626+0.00097619i,0.00143+0.00062637i,0.00075672+0.00011293i,-0.000115+0.00081909i,-0.00086368+0.0012907i,-0.0013425+0.00089667i,-0.0011031+0.00031693i,-0.00040904+0.00066109i,-0.00021277+0.00060087i,0.00041483+0.000233i,0.00051567-0.00025776i,-0.0002039-0.00045596i,-0.00034308-0.000162i,0.00017684-0.0001489i,0.00019415-0.00047999i,-9.4956e-05-0.00044046i,-0.00039507+0.00019601i,-0.00044088+0.00063812i,-9.6494e-05+0.0005385i,0.00037126+0.000931i
0.00097194-0.001399i,0.0015056-0.0020567i,0.00096501-0.00099088i,-0.00031958-0.00040412i,-0.00089874+7.0602e-05i,-0.00064104+3.4955e-06i,-0.00039228-0.00075784i,-0.001049-0.00094047i,-0.0017939-0.00042497i,-0.0015387+0.00043863i,-0.00060389+0.0010558i,-0.00032211+0.0005261i,0.00033602-2.5485e-05i,0.0012073-0.00041715i,0.00064655-0.00035768i,-0.00046993+0.00040697i,-0.00092221+0.00045555i,-2.1377e-06+0.00042825i,0.00079775+0.00046768i,0.00044248+0.00027868i,0.00028002-5.3881e-05i,-8.2997e-05+3.4534e-05i,-0.00057551+0.0001456i
0.0016246+0.0018844i,0.0021453+0.0020025i,0.0020715+0.00096941i,0.0017068-0.00058637i,0.0010644-0.0016589i,0.00029377-0.0010461i,-0.00048765-0.00034917i,-0.0017995-0.00049637i,-0.0021089-0.00026967i,-0.00074126-0.00015825i,-0.00076177-0.00050052i,-0.0012279-0.0005516i,-0.00045691+0.00034387i,-3.0791e-05+0.00097814i,-0.00045514+0.0004572i,-0.00078489+0.00026105i,-0.00083429+0.0004651i,-0.00010341+0.00055027i,0.00021302-5.224e-05i,0.00025554-0.00059813i,-4.5501e-05-4.137e-05i,-0.00076864-0.00012469i,-0.00097304-0.0004633i
-0.0013174+0.0016747i,-0.0021055+0.0011544i,-0.00059102+0.00041072i,0.0012705+4.0665e-05i,0.0016381-0.00012987i,-0.00027041-0.00068735i,-0.0013787+0.00018639i,-0.0013871+0.001421i,-0.0010439+0.0015865i,-0.00057601+0.0014603i,-0.00046551-6.5416e-05i,-0.00065708-0.0012382i,-0.00033354-0.00053361i,0.0003497+0.00050099i,-0.00016819+0.0011586i,-0.0014653+0.0010792i,-0.0010712+0.00066416i,9.3948e-05+0.00085817i,-0.00039641+0.00090283i,-0.0014487+0.00064416i,-0.0013098+0.00056205i,-0.00058842+0.00024336i,0.00012362+2.2479e-05i
0.00048489-0.002623i,0.00022073-0.0019142i,-1.7138e-05-0.0020042i,-0.00022536-0.0011197i,-0.0012003-0.00029541i,-0.0019646+0.00050642i,-0.0016121+0.0003454i,-0.0014658-0.00017642i,-0.0014836+0.00069121i,-0.0011448+0.0016909i,-0.00060795+0.00059891i,0.00029883-0.0011431i,0.00082605-0.0011208i,0.00017528+0.00032743i,-5.5601e-05+0.00047738i,0.00015469+2.6597e-06i,-0.00031074+4.2155e-05i,-0.0011526+0.00063424i,-0.00051243+0.00098826i,-1.6685e-06+0.00016308i,-0.00046129-0.00022694i,0.00018824+0.00013806i,0.0005481+0.00013708i
0.0003233+0.00096962i,0.00097991-7.3584e-05i,0.0018385+0.0003393i,0.0021407+0.0010379i,0.0015902-0.00092414i,0.00045476-0.001636i,-0.00054352-0.00043373i,-0.0012666+2.8469e-05i,-0.0018246-0.00018043i,-0.0011429+0.00025839i,-0.00015189+0.0001231i,8.7276e-05-0.00034681i,-9.8535e-05-0.00010088i,-0.00033942-0.00016892i,-0.00047516-0.00045248i,-0.00021389-0.00018024i,0.00030633+0.00058313i,0.00014578+0.00078514i,-0.00054331+0.00049739i,-0.00081475+0.00040973i,-0.0009315+0.00084126i,-0.00089833+0.00083016i,-0.00013998-0.00016105i
0.00049894-0.00095788i,0.00054112-0.00010614i,0.00089356-0.00091735i,0.00067179-0.0016946i,1.5521e-05-0.001625i,-0.00010851-0.001078i,-0.00035052-0.00070399i,-0.0013897-0.00043254i,-0.0020407+0.00012184i,-0.001537+0.00021062i,-0.00064416+4.5599e-05i,-9.449e-05+0.00027952i,0.00014934+0.00023224i,0.00031292-0.00027721i,0.00026992-0.00036434i,-3.8769e-05+0.00032454i,-0.00053683+0.00022736i,-0.00088608-0.00013876i,-0.00070385+2.2155e-05i,-0.00034548+0.0006776i,0.00044376+0.0010095i,0.00059113+0.00090382i,-0.0003951+0.00073557i
0.0021156+0.00042301i,0.0018384+0.00077302i,0.0023148+0.00057784i,0.0025284+0.00062286i,0.0011435-0.00073941i,-0.00050903-0.00097832i,-0.00079609+0.00086408i,-0.00095331+0.001514i,-0.00085658+0.00053245i,-0.00077807-0.00061292i,-0.00059242-0.001126i,1.0027e-05-0.0007251i,2.127e-05+0.00011563i,0.00079732+0.00058225i,0.00052031-0.00024382i,-0.00010064-0.00044895i,2.7847e-06+0.00036212i,-0.0002623+0.00058253i,-0.00014275+0.00034883i,-0.00035231-0.00023731i,-0.00030925-0.00049705i,0.0001922-4.8025e-05i,0.00023724+0.00026872i
0.0001197+0.0020432i,-0.00059185+0.0024831i,0.00072409+0.0017804i,0.0017339+0.00099453i,0.0014969-0.00089761i,0.00022551-0.0013826i,-0.0013308-0.00044371i,-0.0025938+0.00043533i,-0.0023636+0.00090882i,-0.00096301+0.00035622i,0.00024077+7.4072e-05i,0.00052296+0.00025753i,0.00058438-2.1791e-05i,0.0002323+0.00018015i,-8.4601e-05+0.00061296i,8.2786e-05+0.00048691i,0.00055105+0.00080899i,0.00060263+0.00072173i,0.00023637-0.00020563i,0.00047058-0.0004414i,0.0006306-0.00062352i,-4.0778e-05-0.00046522i,-0.00043878-0.00064466i
-0.0004915+0.00022119i,-0.00044341+0.00025111i,-0.00030346+0.00094865i,0.00056847+0.0004475i,0.0017151-0.00082304i,0.0014011-0.00087826i,-0.00010454+0.00023946i,-0.0022654+0.0011475i,-0.0027233+0.0012934i,-0.001452+0.00097915i,-0.00053162-0.00022573i,-0.00011458-0.00085913i,6.9034e-05-0.00050409i,-0.00049221-8.0646e-05i,-0.00075117+0.0003891i,-0.0006633+0.00091278i,-0.00038519+0.0011428i,0.00033807+0.00066523i,0.00049925-0.00061858i,0.00018796-0.0011588i,-0.00013957-2.9046e-05i,-0.00070689+0.00026585i,-0.001275-0.00027343i
0.000156-0.00028624i,-1.205e-06-4.1103e-05i,-0.001132-5.5001e-05i,-0.0014296+0.00011681i,-0.00044469-0.00015369i,-3.4115e-05-0.00032346i,-0.00039824+0.00019837i,-0.0016742+0.00059514i,-0.0019707+0.00059417i,-0.00095157-0.00028516i,-0.00061446-0.00078863i,-0.00097101-0.00055719i,-0.00063901+2.4766e-05i,9.982e-05+0.00060628i,0.00065903+0.00022064i,0.00059858+0.00054669i,0.00018382+0.0013431i,0.00017039+0.001064i,0.00037847+0.00036094i,-8.031e-05+0.00029057i,-0.00051193-6.2131e-07i,-0.00079653-0.00059812i,-0.0015224-0.00025655i
0.0019404-0.00072845i,0.0019924-0.00038599i,0.0019206-0.001418i,5.7697e-06-0.0015084i,-0.0017994-0.0013119i,-0.0013487+0.00041532i,-0.0010097+0.0011351i,-0.0014124+0.00053156i,-0.0013906+0.00085664i,-0.00057992+0.00096287i,-0.00018227+0.00043331i,0.00023445-2.7482e-05i,0.0012265+3.3498e-05i,0.0011055+0.00053067i,0.00035328+0.00033864i,0.0001785-0.00035959i,0.00045774-0.00070705i,0.00077464-0.00026666i,0.00093206+0.00063269i,0.00027967+0.00085287i,-9.9977e-05+4.5159e-06i,0.00010701+0.00011413i,4.2149e-05+0.00082071i
-0.00092713+0.0015195i,-0.00020267+0.0019978i,0.0011279+0.0011563i,0.0022614+0.00058832i,0.002826-0.00074666i,0.00079932-0.0012454i,-0.0010479-0.00089862i,-0.00096586-0.00033679i,-0.0012862+0.00033243i,-0.0011892+0.00014957i,-0.00084407-9.4345e-05i,-0.00071404+1.3133e-05i,-0.00013134+0.00040143i,-0.00018075+0.00025115i,-0.00089488-0.00025213i,-0.00030398-1.237e-05i,0.00048725+0.00071988i,0.00073353+0.00088673i,0.00050951+0.0002235i,0.00033213+0.00010396i,0.000797+0.00040392i,0.0012354-0.00015164i,0.00087187-0.00071752i
0.0016125-0.0011709i,0.0022249-0.0013269i,0.0018412-0.00098424i,0.00051675-0.0016021i,-0.00076505-0.0021699i,-0.0014056-0.001107i,-0.0016059-0.00010589i,-0.0014099+0.00035633i,-0.0012674+0.00063681i,-0.0010855+0.00046924i,0.00013956-0.00011207i,0.00053459+0.00018127i,-0.00056053+0.00071542i,-0.0009346+0.00071527i,-0.00045528+0.0009549i,-0.00037555+0.0005235i,-9.1926e-05+0.00037685i,0.0003326+0.00084125i,0.00029013+0.00060956i,0.00044015+0.00046899i,-1.8843e-05+0.0008265i,-0.00033488+0.00049764i,-0.00024709+6.3758e-05i
0.0023582+0.00078855i,0.0026382+0.0018877i,0.0020703+0.0014901i,0.001932+0.00082348i,0.0011815+0.0001927i,-0.00014149+0.0005969i,-0.00082938+0.00042515i,-0.001264-0.00075859i,-0.0018832-0.00011245i,-0.0014225+0.00044074i,0.00020731-0.00042704i,0.00037448-0.0011975i,-0.00032109-0.0011551i,-0.00012279+0.00011766i,0.00031073+0.001074i,0.00039393+0.00079956i,0.00064418+0.0010692i,-0.00020043+0.0012994i,-0.00066744+0.00078281i,-0.00051769-7.7009e-05i,-0.00039173-0.000211i,-0.00028682-0.00038655i,4.5674e-05-0.00042244i
-4.0252e-05-0.00050357i,0.00083288+0.00015753i,0.001225+0.00061375i,0.00094243+0.001509i,1.8006e-05+0.00075047i,-0.00033189-4.5996e-05i,-0.001024+3.1349e-05i,-0.002341+4.2221e-05i,-0.0023856+0.00068345i,-0.0012034+0.0011998i,-0.00038398+6.0702e-05i,-0.00014502-0.0011155i,-0.0002966-0.00086299i,-0.00049582-0.00032322i,-0.00051234-1.7559e-05i,-0.00037453-0.00037388i,-0.00064634+4.4949e-05i,-0.00060097+0.00074026i,-0.00027673+0.0011616i,9.5581e-05+0.00046335i,1.8639e-05-0.00044286i,5.0812e-05-0.00071121i,0.00042504-0.00047435i
-0.00101-0.00045847i,-0.00041103+0.00031708i,0.00016001+0.0015458i,0.00079847+0.0012922i,0.00069223-0.00029634i,-0.00016672-0.00098343i,-0.0011041-0.00026172i,-0.0020495+0.00040904i,-0.0018149+0.0012359i,-0.00018109+0.0015527i,0.00079343+0.00022111i,-0.00014138-0.00030287i,-0.00052635+0.00031501i,-5.4423e-05+0.00043975i,-8.7345e-05+0.00030898i,-0.00018202+0.00015028i,-0.00017648-4.2839e-05i,-0.00030104-0.0004649i,0.00010647-0.00038001i,4.082e-05+0.00014138i,-0.00049504+0.00017136i,-0.00054772-0.00032733i,-0.00023213-0.00055071i
0.00021774-0.00079784i,0.0001196-0.00026652i,0.00082608+0.0011764i,0.0012855+0.0010881i,0.001227+0.00012868i,0.00072886-0.00045791i,-0.00044215-0.00092373i,-0.0014061-0.0003919i,-0.0012779+0.0010539i,-0.00057719+0.0011304i,-0.00023264-7.7521e-05i,1.9525e-05-0.00070685i,-0.00018642+7.5339e-05i,-0.00033441+0.0006165i,0.00031275+0.00038513i,-0.00022789-0.00015089i,-0.0010747-0.00028775i,-0.00039778-3.5274e-05i,0.00017225-0.00063351i,0.00040444-0.00094381i,0.00013292-0.00078016i,0.00018196-1.0244e-05i,0.00015938+0.00047296i
-0.00044777-0.00069736i,-0.00071208-0.0014156i,4.5042e-05-0.00040493i,0.00095372+0.0005458i,0.00033829+0.00034586i,-0.00071683-0.00027254i,-0.0016893+0.00013753i,-0.0025776+0.0010749i,-0.002658+0.0016538i,-0.0013326+0.0014636i,-9.51e-05+0.00056098i,0.00022909-4.692e-05i,0.00032924+0.00042717i,0.00098264+0.00090711i,0.0016296+0.00050466i,0.0011406+0.00011514i,0.00028687+8.9234e-05i,-5.4472e-05+0.00082789i,2.8282e-05+0.00075134i,9.0788e-05+0.00059624i,0.00025957+0.00073356i,0.00048178+0.00043908i,0.00041011-0.00016811i
0.00011311+0.00026386i,0.00036519-0.0002324i,0.00040232-0.00012003i,0.0012874-0.00039541i,0.0018986-0.0012877i,0.00046611-0.0014291i,-0.00080122-0.001037i,-0.0012011+6.3435e-05i,-0.0016572+0.0011951i,-0.00095017+0.00097865i,-0.00016783-3.1256e-05i,-7.0674e-05-0.00054558i,-0.0011986+0.00035339i,-0.0010854+0.0011126i,0.00068254+0.00074397i,0.00096334-0.00038803i,0.00025085-0.00052876i,0.0003724+0.00025112i,0.001122+0.00060507i,0.00048213+0.00045554i,-0.0010213-0.00031667i,-0.0016911-0.00012016i,-0.0013733+0.0010323i
-0.00069015+0.00036445i,-0.0008173+0.00025242i,-0.00094899-0.00053188i,-0.00088148-0.00012298i,-0.0014433+0.00010464i,-0.0023009-0.00040505i,-0.0016953+0.00015985i,-0.0015623+0.0006556i,-0.0019809+0.0009715i,-0.0014074+0.00086285i,-0.00068195+1.0371e-05i,-0.0012482-0.00069761i,-0.0012923-0.0006231i,-0.00012112-0.00041963i,0.00071166-0.00047157i,0.00064365-0.00060482i,2.9236e-05+0.0001631i,-0.00036492-0.00010959i,9.7419e-05-0.00069661i,0.00058513-0.00056552i,0.00019501-0.00026704i,-0.00022032+2.2665e-05i,-0.00042388-0.00046676i
0.00072366-0.00074378i,0.0007183-6.4578e-05i,0.0024342+0.0002388i,0.003574-0.00016778i,0.0026164-0.00068552i,0.00082412-0.00084807i,-0.0005396-0.00037186i,-0.0011726+0.0006323i,-0.0016935+0.0012409i,-0.00106+0.00095275i,7.9547e-05+0.00018393i,0.00014223+0.00011539i,-0.00013394+0.00027725i,0.00049364-0.0003192i,0.0010223-0.00084162i,0.00044549-0.00048629i,-0.00057627-6.4963e-05i,-0.00031044-0.00026551i,0.00060594-0.0001489i,0.00013041+0.00073088i,-0.00063288+0.00075387i,-0.00033805+0.00030122i,2.8994e-05+0.00090771i
0.001053-0.00026578i,-5.4506e-05+0.00018052i,0.0003352+0.00035235i,0.00049434-0.00011689i,-0.00011527-0.00028113i,-0.00026237+8.9136e-06i,-0.00030454+0.00041831i,-0.0012165+0.00094341i,-0.0022486+0.0009318i,-0.0014117+0.00023143i,-0.00044112-0.00079356i,-0.00038685-0.0012626i,-0.0005423-0.00046345i,-0.00077377+0.00047389i,-0.00096521+0.00042572i,-0.0012433+0.00095154i,-0.0010749+0.0010698i,-8.7514e-05-0.00012505i,0.00036664-0.00024675i,-3.3771e-05+0.00018963i,-0.00044716-8.5029e-05i,-0.00045854+7.7699e-05i,-0.00035694+0.00011854i
0.0010121+0.00045403i,0.00083135+0.00065151i,0.0011192+0.00012304i,0.0014055-0.00032038i,0.00049218-0.00099791i,-0.00061935-0.0019081i,-0.0013348-0.0015249i,-0.0015257-0.00026427i,-0.0017525+0.00049222i,-0.001051+0.00059979i,4.5519e-05+0.00061509i,0.00026622-0.00031961i,6.5173e-05-0.00057307i,-2.0436e-05-0.00062012i,0.00023446-0.00094586i,1.1507e-05+0.00020853i,6.6278e-05+0.00089858i,0.00069197+0.00072023i,0.00054086+0.00042094i,-0.00028637-0.00034332i,-0.00052383-0.00071912i,0.00020476-0.00055548i,0.00037866+3.3051e-05i
-0.0021756+0.0014728i,-0.00096977+0.0017229i,3.1598e-05+0.0032621i,0.001556+0.0026924i,0.0024969+0.0010223i,0.001622-0.00032546i,5.4845e-05-0.0011374i,-0.0018245-0.00034406i,-0.0023219+0.00086879i,-0.0011117+0.00077047i,-0.00033259-0.00039534i,-0.00020465-0.0013486i,-0.00014622-0.00058748i,-8.7574e-05-0.00012364i,0.00044881-0.00033541i,0.00062498-0.00048249i,7.9743e-05-0.00042668i,-0.00036957+0.00035308i,-0.00032985+0.0011798i,-0.00020421+0.00073698i,0.00025892-0.00012375i,0.00039206+2.2471e-05i,-0.00023117+0.00039765i
-0.0019104-0.0010754i,-0.0017631-0.00011722i,-0.001248-0.00020665i,-0.00035296-0.00038609i,-0.00056327-0.00017863i,-0.00036347-0.00044704i,-0.00010941-0.00037987i,-0.0015345-3.5827e-05i,-0.0020383+0.00072369i,-0.0014456+0.00071982i,-0.0010728-0.0002007i,-0.0010165+3.1786e-05i,-0.00027159+0.00078049i,0.00045052+0.00054722i,0.00038291-0.00010495i,0.00013946-0.00038241i,-3.7729e-05-0.00039566i,-3.3868e-05-0.00030124i,0.00024279-0.00016345i,0.00035012+0.00044554i,0.00011362+0.00073242i,0.00020954-0.00026459i,0.00036733-0.00060979i
