0.0021407-0.0024678i,0.0007947-0.0016609i,-0.00090235-0.0011781i,-0.00049243-0.00030927i,0.00060015-0.00036956i,0.00054371-0.00017161i,-0.00020604+0.00036278i,-0.00092456+0.00027842i,-0.00094607-5.4121e-05i,-0.0013343-0.00050577i,-0.001231-0.00082025i,0.00018798-0.00095434i,0.00086954-0.0011985i,0.0014921-0.0011258i,0.00078525-0.0003849i,-0.00047798+0.000601i,-0.00064903-3.6321e-05i,-0.00017458-0.00060284i,0.00022836-0.00064448i,0.00023187-0.0010516i,-0.00022428-0.00076995i,-0.00033397-0.00021515i,0.0005101-6.4532e-06i
0.00068499-0.0035769i,-0.00010191-0.0025763i,-0.00074273-0.0030203i,-0.0010407-0.0016267i,-0.00093467+0.00032298i,-0.00045998+0.00019644i,-0.00042004-3.7499e-05i,-0.0010676+0.00058993i,-0.00069712+2.6699e-05i,-7.6029e-05-0.00086017i,-0.00021687-0.00032248i,-0.00021449+0.00094665i,8.7502e-05+0.0011551i,0.00094353+0.00056242i,0.00098711+0.00057188i,0.000605+0.00035245i,9.372e-05-0.00024478i,-0.00028718-3.3629e-05i,1.1233e-05-8.2731e-06i,0.0003017+7.0907e-05i,0.00061843+0.00011785i,0.0014322-0.00015525i,0.0011448-0.00047779i
-0.0011148-0.0014881i,-0.0018546+7.3554e-05i,-0.0023564+0.00067199i,-0.00085929+0.0016874i,0.00018785+0.0017917i,0.00045367+0.00066065i,0.00088987+0.00037929i,0.00024987+0.00081564i,-0.00023029+0.00078698i,-0.00016548+0.0010846i,-0.00032324+0.00066468i,-0.00040616+5.7042e-05i,-0.00038734+0.0001412i,-0.0002226-0.0002435i,0.00038699-0.00020136i,0.00061615-0.00021778i,-0.00012788-0.00027132i,-0.00077908+0.00024061i,-0.00017198+0.00062157i,6.4204e-05+0.00056412i,0.00015443-0.00027681i,0.00068342-0.00073301i,0.0012745-9.6393e-05i
0.00034184-0.00059961i,0.00042006+0.00036383i,0.00018729-0.0001633i,0.00047077-0.00028317i,0.0012022+0.00039196i,0.0011528-0.0001881i,0.0010783-0.00093667i,0.0010123-0.00041652i,0.00018093-4.2172e-05i,-0.0002578-0.00074237i,-9.8205e-05-0.00093264i,0.00015922-0.00052457i,0.0012928+0.00013479i,0.0016497+0.00063241i,-2.9219e-05+0.00060553i,-0.00074301+0.00071566i,0.00029144-0.00031125i,0.00084587-0.00060174i,0.00041732-0.00025382i,9.0375e-06-0.00076192i,0.00015264-0.00099657i,0.00028241-0.00028817i,0.00021391+3.721e-05i
-0.00080869+0.00062825i,-0.00045316+0.0013782i,0.00035196+0.0020965i,0.0018444+0.0019674i,0.0027706+0.00057757i,0.0020324-0.00094698i,0.0001855-0.00096698i,-0.00039914-0.00072103i,0.00022237+0.00015653i,0.00010451-2.5098e-05i,-1.8474e-06-0.0012352i,0.00030861-0.0016176i,0.00045433-0.0013616i,0.00067836-0.00094937i,0.00050758-0.00085717i,0.00014604-0.00069685i,0.00027125-0.00010573i,0.00043966-0.0007673i,0.00068483-0.0012349i,0.00081853-0.00044482i,-0.00019379+0.00032274i,-0.0008481+0.00011719i,-1.0227e-05-0.00026682i
0.00097526-9.1323e-05i,-0.0006049+0.00084269i,-0.0015794+6.7001e-06i,-0.00083312-0.00025527i,0.00064786-0.00065339i,0.00067397-0.00071818i,-0.00066578-0.00026657i,-0.00056565-0.00040195i,-9.6795e-05-0.0011527i,-0.00033051-0.0014581i,-7.5065e-05-0.00067046i,0.00044096-0.0001634i,0.000534+0.00051782i,0.00048643+0.00069009i,0.00030406-0.00037212i,0.00014983-6.8129e-05i,-7.3046e-05+0.00081945i,-0.00025635+0.00023404i,0.00014995-0.00065234i,-3.9247e-05-0.00035636i,8.0309e-05-1.6706e-05i,-2.981e-05-2.9623e-05i,0.00024533+0.00026528i
-0.0013546-0.0018269i,-0.0012393-0.0012618i,-0.0015021-0.00096258i,-0.00069235-6.3929e-05i,0.00099487+0.00038249i,0.0019897+0.00068172i,0.0013891+0.00040759i,0.0003338-0.00029464i,0.00012823-0.00056351i,4.2248e-05-0.0008109i,-0.00054951+9.1501e-05i,-0.00017988+0.0012033i,0.00040218+0.00082969i,0.0011157-0.00011121i,0.0014237-0.00067996i,0.0011038-0.0011026i,0.0011164-0.0014658i,0.00041059-0.00047122i,0.0001157+0.00026423i,0.00013131-0.00024165i,-9.4279e-05+0.00025711i,3.7264e-05+0.0010443i,7.6364e-05+0.00052836i
-0.00021015+7.4174e-05i,-0.00039832+0.00095092i,-0.00020648-6.5095e-05i,0.00085719-0.0003923i,0.0017944-0.0012059i,0.0014842-0.00077048i,-2.8283e-06+0.0001373i,-0.0001838-0.00075033i,0.00051032-0.0010511i,-5.3483e-05-0.000655i,-0.00047108-0.0011235i,-0.00011582-0.0014976i,0.00017555-0.00035417i,-0.00011033+0.0003794i,-2.6067e-06+0.00018859i,0.00030615+0.000267i,9.8385e-05+0.00058497i,-0.00019696+0.00020835i,0.00046936+0.0005448i,0.0014041+0.0014043i,0.0011307+0.00085596i,0.0009843-6.5038e-05i,0.0016241+0.00011788i
0.0012237-0.0010188i,0.00071414-0.00089546i,8.6575e-05-0.00064189i,0.00015656+0.00059555i,0.0010461+0.00049934i,0.0014261+0.000166i,0.00049366+0.00058221i,-0.00015963+0.00038334i,-0.00026292-0.00032803i,-0.00055635-0.0011579i,0.0003038-0.001052i,0.00093907-0.00038646i,0.00039113+9.6711e-06i,2.0091e-05-7.1612e-05i,-0.00019467-0.00046485i,0.00018411-0.00055998i,0.00043217-0.00043693i,0.00019001-7.2915e-05i,4.3975e-05-0.00032488i,0.00020408-0.0001749i,0.00029154+0.00085865i,0.00050333+0.0010929i,0.00014551+0.0001659i
0.0011059+0.00032591i,0.0015682-0.00044672i,0.0013027-0.00093722i,0.00068268+0.00017202i,0.00089228+4.1201e-05i,0.00091278-0.00063089i,-6.0016e-05-0.00018601i,-0.00059968-0.00051451i,-0.00087919-0.00070691i,-0.0010455-0.00050779i,-0.0010157-0.00015078i,-0.00065818+2.6452e-05i,-0.00058793+0.00055864i,-0.00026339+0.00049298i,0.00057575-0.00044749i,0.0010705-0.00084859i,0.0010088-0.00065834i,0.00019091-0.00012503i,-0.00064021-1.1314e-05i,-0.0010798-0.00047219i,-0.00031829-0.00088254i,7.0731e-05-0.0007922i,0.00019018-0.00081155i
0.00050046-0.0013416i,-2.6443e-05-0.00093792i,0.0001971-0.0021818i,0.00068077-0.0016236i,0.0015376-0.0010076i,0.0015689-0.0013697i,0.00011642-0.0011292i,-0.0009572-0.00040485i,-0.00015166-1.0332e-05i,-0.0002222+9.9388e-05i,-0.00085846-0.00048325i,-0.00022028-0.00099567i,0.00027839-0.00042067i,0.00082024+0.0002616i,0.00096808+0.00042947i,0.0001833-6.1817e-05i,-0.00085248-0.00078974i,-0.0014078-0.00031923i,-0.00055403+0.00080661i,0.00025543+0.0003816i,0.00037851-0.00068609i,0.00048894-0.001057i,0.00036919-0.0014701i
