-0.001969+0.00076107i,-0.001214+0.0015246i,-0.0021083+0.002861i,-0.0019136+0.003121i,-0.00081694+0.0039569i,-0.00036519+0.0029973i,-0.00015828+0.00083893i,0.00034327+0.00058656i,0.00060388+0.00080552i,0.00092498+0.00098451i,0.0012194-0.00022773i,0.001203-0.0012942i,-7.3404e-06-0.0012551i,-0.0010086-0.0010623i,-0.0010742-0.000658i,-0.00058648-0.00035297i,0.00020872+6.2339e-05i,0.00070522-5.0171e-05i,0.00052807+3.1423e-05i,-0.00036476+0.00021962i,-0.00061508-0.00024003i,-0.0003042+0.00023091i,-6.9946e-06+0.00028289i
-0.00029098-0.0016847i,0.00069159-0.00063172i,0.00098389-0.00029271i,-0.00012499-0.00025918i,-0.0010482-0.00011063i,-0.00066055-0.00024596i,0.00064206+1.368e-05i,0.0011719+0.00051978i,0.00073067-0.0001559i,0.00010785-0.00068866i,0.00014576-0.00021021i,9.425e-05+4.9837e-05i,1.8007e-05+0.00016736i,0.00024221-2.8005e-05i,-5.8619e-05-0.00044995i,-4.0817e-05-8.3207e-05i,0.00034979+8.1644e-05i,0.00040234-1.6088e-05i,0.00050899+0.00024086i,5.1701e-05+0.00010669i,-0.00070116+8.5774e-05i,-0.001123+0.00054451i,-0.00067247+0.0010108i
-0.0014715+6.7127e-06i,-0.0032431+0.0001356i,-0.0028854-0.00029096i,-0.0016959-7.2327e-05i,-0.0018037+0.00057432i,-0.0010764+0.0014601i,0.00051254+0.0010141i,0.00046914+0.00041471i,-0.00069+0.00073026i,-0.00098294+0.00092859i,-0.00041515+0.00043776i,0.0003054+0.00021878i,0.00073189+0.00054449i,0.000602+0.00045474i,-0.00010186+0.00037348i,-9.5336e-05+7.2124e-05i,6.8503e-05-0.00024381i,2.7057e-05-0.000161i,0.0003493-5.4076e-05i,2.3231e-05-2.6752e-05i,-0.00052506-0.0003031i,-0.00048427-0.00032577i,-0.00042598-0.00017347i
-0.002139-0.0014158i,-0.0024875-6.2459e-05i,-0.002144+0.0019218i,-0.0011571+0.0016573i,-0.00077004+0.00083009i,-0.00063172+0.00050277i,0.00024875-8.5926e-05i,0.00071591-0.0010807i,0.00059839-0.0015857i,0.00037195-0.00086877i,0.0004771-0.00056946i,0.00038368-0.00071554i,0.00036353-0.00078137i,0.00094333-0.00065668i,0.00088514-0.00055831i,0.00025966-0.00037436i,-0.00018186-5.8389e-05i,-0.00076892-0.00012994i,-0.00079643-0.00015713i,-0.00062096-8.4142e-05i,-0.00030835-0.00034473i,-0.00022398-0.00033345i,2.4942e-05-8.9591e-06i
0.001057+0.00014938i,0.00077943-0.00053385i,0.00095645-0.0010431i,0.00074373-0.0013405i,0.00046378-0.001229i,-0.00053424-0.0010379i,-0.0003304-0.00056111i,-0.0001305-0.00016131i,-0.00056015+0.00011033i,-0.0011203+5.5281e-05i,-0.0018192-0.00050194i,-0.0011835-0.00056966i,-0.00010557+9.4869e-05i,-0.0004301+0.00026142i,-0.00044298-0.00015686i,6.8373e-05+0.00046191i,0.00016564+0.0005441i,0.00019853-0.00017184i,0.00011126-0.00027748i,0.00020057-0.00058024i,1.975e-05-0.00039515i,-7.1469e-05+0.00030646i,7.2022e-06+0.00042889i
-0.00086355-4.484e-05i,-0.0013896+0.00032292i,-0.00074357+0.00062049i,0.00043925-0.00011757i,0.00077002-0.00074204i,0.00074097-0.0002268i,0.00074399-8.5187e-05i,0.0003316-0.00054658i,-0.00024347-0.00086128i,-2.7117e-05-0.00053782i,-5.272e-06-0.0003814i,-0.00045813-0.00054983i,-0.00054087-0.00055399i,-0.00021432+3.3173e-05i,-0.00047719+0.00019902i,-0.00074321-0.00012225i,-0.00030852-0.00019688i,2.3756e-05+0.00019327i,0.00027575-4.2005e-05i,0.00021254-0.00085227i,0.00018512-0.00060329i,-0.00013054-7.7238e-05i,0.00023745-0.00010084i
-0.00088157-0.0010105i,0.00029648-0.0003723i,0.00075599+0.00035475i,0.00058617-5.7837e-05i,-3.7788e-05-0.00086012i,0.00065335-0.0012703i,0.0010664-0.00076962i,-8.2026e-05-0.00028066i,-0.00066643-0.0002611i,-0.0007506-0.0001925i,-0.00058603-9.468e-05i,0.00015613-0.00076003i,0.00099372-0.0012477i,0.0010872-0.00092492i,0.00050937-0.00046775i,0.00053988+0.00015108i,0.00038694+0.00071158i,-0.00013609+0.00085143i,-6.6887e-05+0.00050055i,-0.0004321+1.4676e-05i,-0.00035733-0.00053038i,0.00012029-0.00087777i,-0.00024369-0.00078297i
-0.0011845+0.000234i,-0.00086919+0.0012036i,-0.0012645+0.0018067i,-0.0010332+0.0019719i,-0.00030917+0.0012011i,0.00032029+0.00068727i,0.00041472+0.00036876i,6.4675e-05+9.9846e-05i,-0.00024247+1.7152e-05i,1.0167e-05+0.00022546i,0.00059204+0.00031271i,0.00077229-0.00021649i,0.00068139-0.00055143i,0.00064827-0.0007877i,-0.00041938-0.001451i,-0.0012512-0.0009643i,-0.00033187+0.00037208i,0.00034903+0.00088146i,-0.00012235+0.00064401i,-0.00061478+0.0004273i,-0.00038578+0.00071858i,-0.00038789+2.2073e-05i,-0.00031875-0.00090749i
-0.0016994+0.0024234i,-0.00082175+0.0027715i,-0.0010461+0.0023039i,-0.0011356+0.0016885i,7.9351e-05+0.0016682i,0.00094984+0.0012192i,0.0008917+0.00015753i,-7.1604e-05-0.00091808i,-0.000707-0.0011417i,0.00011458-0.00024308i,0.00039328-0.00020935i,0.00041658-0.00059525i,0.00068739-0.00087668i,0.00080672-0.00085477i,0.00082771-0.0004788i,0.00087225-9.0535e-05i,0.00034613+0.00049921i,-0.00041019+0.00059736i,-0.00097303+0.00012981i,-0.00038997+2.1682e-05i,0.00035627+0.0003999i,0.0002139+5.1935e-05i,0.00042053-0.00032294i
-0.0012925-0.00055975i,-0.0010598-0.00077924i,-0.00022524+2.5494e-05i,0.00019734+0.0009764i,-0.00056031+0.0014349i,-0.0014006+0.0016972i,-0.0018051+0.0010951i,-0.0012845-0.00022503i,-0.00058794-0.00057607i,0.00014655-0.00032295i,0.00086211-0.00066274i,0.00068251-0.000754i,6.3561e-05-0.00078287i,-8.1335e-05-0.0011581i,0.00013096-0.00089194i,0.00023235-5.0232e-05i,0.00030524+0.00063788i,0.00097372+0.00065607i,0.0012283+9.5107e-05i,0.00051042+0.00016841i,0.00022774+0.00033i,0.00074465-0.00015649i,0.0012318-9.7659e-05i
0.00050897+0.00038537i,0.00052096-0.00021104i,0.00083286-0.00040594i,0.0010533-0.00072725i,0.0009048-0.00080061i,-0.00050692+0.00055155i,-0.00049673+0.00070384i,0.00034954-0.0002136i,0.00093837-0.0015257i,0.0013205-0.0018957i,0.00052411-0.0010889i,-0.00051811-0.00031702i,-0.00082099+0.0002878i,-0.0010894-0.00020382i,-0.00061388-0.0003482i,0.00025831+0.00029962i,0.00039846+0.00030297i,3.9785e-06+0.00047916i,-0.00012389+0.00084874i,-0.00068186+0.00024815i,-0.0010988-0.00037639i,-0.00073962+0.00025744i,-0.00033667+0.00061505i
0.00038484-0.00048184i,-0.0001864+0.00021982i,-0.00036507+0.00032669i,-0.00045213-0.00042496i,-0.0020616-0.0010791i,-0.0023002-0.00090492i,-0.0015017-0.00011427i,-0.00042191+9.1268e-06i,0.00054652-0.00054611i,-0.00010016-0.00082101i,-0.0004895-0.00018854i,0.00014545+2.2602e-05i,-0.0003413-0.00030397i,-0.0004883-0.00037035i,0.00037393-0.0010507i,0.00073286-0.0015076i,0.00044739-0.00058632i,0.00042201+8.0988e-05i,0.00033927+0.00032429i,-7.424e-05+0.00022735i,0.00023741-4.4199e-05i,-3.3768e-05-0.00025617i,-0.00086083-0.00014408i
-0.0025687-0.00044649i,-0.0021328-0.00086525i,-0.0014227-0.00061106i,-0.0011357+0.00087254i,-0.00043997+0.0014895i,0.00019534+0.00063864i,0.0005935-0.00031338i,-0.00014101-0.0009133i,-0.00067327-0.00036698i,0.00015559+0.00073759i,0.0010255+0.00046897i,0.00066019-0.00045099i,0.00018559-0.00050668i,-0.0002126-0.00050003i,5.5219e-05-0.00096211i,0.00078611-0.00060283i,0.00056229+0.00062303i,7.5387e-05+0.00059515i,5.2348e-05-0.00035078i,0.00055853-0.00027414i,0.00081151+0.00039403i,-0.00011462-0.00015637i,-0.00020345-0.00082741i
0.00099109-2.1474e-05i,0.00012066-0.00087966i,0.00013842-0.0014444i,-2.1634e-05-0.0021165i,-0.001571-0.002387i,-0.0017934-0.00098766i,-0.0012239+4.0029e-05i,-0.00050295-0.00052893i,0.00073321-0.00049594i,0.0011144+0.00016987i,0.00065265+0.00082556i,-0.00042597+0.00044378i,-0.0010424+0.00019327i,-0.00052103+0.00083435i,-0.00055794+0.00085592i,-0.00094399+0.000594i,-0.00097249+0.0010412i,-0.00035158+0.0012169i,0.00042158+0.00028259i,0.00035492-0.00016265i,-8.1211e-05+0.00047554i,-0.00013633+0.00073241i,-0.00020054+0.00069885i
0.0007992-9.605e-05i,0.00044145-0.00098532i,0.00083487-0.0020207i,0.00095155-0.0021561i,-0.00010453-0.0011968i,-0.0010445-0.00050367i,-0.0011212+0.00014669i,-0.00023346+0.00026035i,0.00077634-0.0005083i,0.00042454-0.0011529i,-0.00062729-0.00089739i,-0.00096235-8.1051e-05i,-0.00062882+0.00058117i,0.00038681+0.00070597i,0.00045979+0.00052785i,0.00060425+0.00030307i,0.00061864+3.2361e-05i,-0.00035056-0.00045363i,-0.00018513-0.00039418i,-0.00049479-0.00034564i,-0.0005505-0.00024267i,-0.00043764+9.3387e-05i,-0.00071363-0.00019061i
-0.0011411-0.0011347i,-0.00078454-0.0005198i,-0.00057308+0.0006103i,0.00011029+0.0010441i,0.00047874-0.00011896i,0.0010904-0.00012538i,0.00065942+0.00013785i,-0.00037627-0.0012631i,-0.00051629-0.0017998i,-0.0005889-0.0012044i,-0.00010583-0.0009037i,-0.00017112-0.00087833i,-0.00064838-0.00094545i,-0.00039101-0.0010612i,3.1931e-05-0.00071632i,0.00018232-0.00076706i,3.6776e-06-0.00083376i,6.2456e-05-0.00056571i,0.00031706-0.0010243i,0.00028085-0.00044761i,-0.00017886+0.00054639i,-0.00046069+0.00019306i,-1.7199e-05-0.00039719i
-0.0013902-0.00015215i,-0.0020373+0.00098177i,-0.0020033+0.00065032i,-0.0012765-0.00038022i,-0.00097815-7.3121e-05i,-0.0006235+2.8873e-05i,-0.00040065-0.0012726i,-0.00053994-0.002164i,-0.00072859-0.0015951i,-0.0012565-0.00010317i,-0.001062+0.0010184i,-0.00072494+0.00019636i,-0.00089358-0.0010886i,-0.00070595-0.001221i,-0.00040544-0.00076233i,-2.1802e-05-0.00027246i,-2.2584e-06-0.00010698i,-0.00030946-0.00032909i,0.00061097-0.00047321i,0.00090758-0.00011886i,0.00045272+0.00034889i,0.00018422+0.00084586i,2.604e-05+0.00083002i
-0.00043826-0.00012972i,-0.00044826-5.1768e-05i,-0.00041617+0.00036579i,0.0003944+0.00026616i,0.00061239+0.00015426i,0.00027728+0.00055945i,3.2565e-05+0.00021636i,0.00036149-0.00081185i,0.0010351-0.00095112i,0.0010412-0.00032099i,0.00046955+0.00025539i,-0.00024242+0.00048407i,-0.00057687+3.5509e-05i,-0.0005831-0.0002494i,-0.0005549-0.00063273i,-0.00045016-0.00028501i,-0.00059016+0.00075749i,-0.00066727+0.00086475i,-0.00015313+0.00060151i,0.000181+0.00035383i,-0.00082902-1.5369e-05i,-0.001659-2.0031e-05i,-0.00069477+0.00064719i
-0.0002135-0.00035351i,-0.00024493+0.00074792i,-0.0011852+0.0010132i,-0.0016707+0.001191i,-0.0016793+0.0026364i,-0.00077743+0.0026112i,0.00058368+0.00068994i,0.0005924-0.00091222i,-0.00032435-0.00061544i,-0.00049943+0.00033795i,-0.00015276+0.00068559i,0.0001401+0.00012042i,0.00022919-0.00063152i,0.00030357-0.0006206i,0.00037382-0.00034362i,-9.1318e-06-0.00011172i,-0.000258-0.00066642i,2.2881e-05-0.0010555i,0.0001364-0.00094145i,-7.81e-05-0.0002496i,-0.00034048+0.00026059i,-0.00048146+6.8036e-05i,-0.00034976-0.0009023i
-0.0011558-0.001893i,-0.0018272-0.002251i,-0.0024336-0.0028788i,-0.0022138-0.0023474i,-0.0019173-0.0013634i,-0.0014491-0.00064877i,-0.00026176+4.8025e-06i,7.9214e-05+0.00077374i,0.00017803+0.0002867i,-0.0002327-0.00020671i,-0.00083299-8.2325e-05i,-0.00021851+6.3996e-06i,0.00010164+5.4834e-05i,0.00051547-0.00060695i,5.4148e-05-0.00074939i,-0.00078965-0.00026609i,6.2582e-05-0.00022481i,0.00087494-0.00040832i,0.0010629-0.00057348i,0.0012694-0.00055247i,0.00045221-0.00046829i,-0.00048292-0.00092286i,-0.00024858-0.0011309i
-0.0005286+0.0008601i,6.2679e-05+0.00081455i,-0.00011542+0.0012271i,-0.00087669+0.0013293i,-0.00076244+0.00062782i,-0.00043743+0.00073878i,-0.0007286+0.00037477i,-0.00078156-1.0801e-06i,-0.00070969-4.8158e-05i,-0.00019346-7.488e-05i,0.00063287-0.00018019i,0.00072619-1.8346e-05i,0.0005428+0.00024056i,0.00057221+0.00021485i,-0.00032905-0.0002137i,-0.00090198-0.00056057i,-0.00018488+0.00040811i,-2.8712e-05+0.001205i,-0.00028835+0.00027815i,0.00016398-0.00067785i,0.00051313-0.00085709i,0.00013127-0.00048572i,3.7926e-05-0.00041452i
-0.00016742+0.0011357i,0.00073604+0.001532i,0.0015212+0.0016275i,0.0019481+0.00057964i,0.0020545+0.00061415i,0.00082453-0.0003647i,0.00030829-0.0010737i,9.4326e-05-0.00047882i,3.0146e-05-0.00032906i,0.00048657+1.9658e-05i,9.5209e-05+0.00014309i,-0.00023373-6.293e-05i,-0.00056419+0.00016151i,-0.00089106+0.00034622i,-0.00060164-0.00012335i,-0.00027718-0.00018668i,-2.7905e-05+0.000135i,-8.4351e-06-0.00036025i,0.00023004-0.00043134i,3.6628e-05-0.00043774i,-0.00025565-0.00040452i,0.00024216+0.00046584i,0.00067253+0.00060959i
-0.0016176-0.0003577i,-0.0013555+0.00015974i,-0.00094982-0.00015234i,-0.00086565-0.0010307i,-0.0015862-0.0012605i,-0.00041134-0.00028947i,0.0016695-0.00047539i,0.001007-0.0013797i,-0.00015818-0.0017069i,-0.00053085-0.0014848i,-0.00095745-0.00081876i,-0.00054844-0.00075136i,-0.00068133-0.00044846i,-0.00083888-0.00026575i,-3.7198e-05-0.00055098i,0.00014093-0.00060618i,0.00024523-0.00028884i,0.00037174+0.00036581i,-0.000421+0.00063403i,-0.00072514-0.0002851i,-0.00042264-0.00090724i,-0.00022215+0.0001827i,-0.00023561+0.00070737i
-0.00027959+0.00095417i,-0.00059691+4.8294e-06i,-0.00083725-0.00095493i,-0.00076244-0.0012278i,-0.00067524-0.0014515i,-0.00026436-0.0012551i,-0.00016507-0.001188i,-0.0004562-0.0012783i,-0.00023789-0.00032968i,-0.00032851+0.00035879i,-0.00051741+0.00036718i,-7.1052e-05+0.00014049i,-0.00058223+0.00017748i,-0.00098704+0.00015059i,-0.00039536+0.00034933i,0.00075607-0.00012754i,0.00062756+1.2515e-05i,-0.0001427+0.0011384i,-0.00021143+0.0010303i,-0.00054407+4.6587e-05i,-0.00050591-0.00040756i,-0.00016357+0.00022546i,0.00013132+5.937e-05i
-0.0016739-0.000867i,-0.0010568-0.00071336i,-9.5736e-05-0.00075644i,-0.00047324-0.00046681i,-0.0015485-0.00046102i,-0.0019237-0.00030458i,-0.001504+0.0003788i,-0.0009413+0.00031813i,-0.00070961-0.00079899i,-0.00039029-0.0010607i,-0.00019301-0.00033667i,-1.8351e-06-0.00054467i,0.00045417-0.00095534i,0.00090114-0.00077984i,0.00096093-0.00032491i,0.00025276+3.8178e-05i,0.00050627+0.00016938i,0.00037644+0.00037275i,-8.3653e-05-0.00030271i,0.00023052-0.00020822i,-0.00033564+0.00070047i,-0.00095242+0.00051564i,-0.00061535-0.00016764i
-0.0023032-0.0017934i,-0.001291-0.0014046i,-0.00054996-0.00033013i,-0.0011343+0.00040018i,-0.0011179+0.0014962i,-4.1146e-05+0.00123i,0.00044508+0.00031319i,0.00049639+0.0003182i,-0.00010717+0.00054793i,-3.8874e-05+0.00050862i,0.00011273+0.00051588i,-0.00028464-0.00032437i,0.0001812-0.0012396i,0.0004619-0.0012909i,-0.00012946-0.0010474i,-2.5064e-05-0.00060615i,0.00036211+0.00023802i,0.00050802+0.00067448i,0.00084455+0.00040907i,0.00053093+0.00031247i,-0.00036526+0.0003795i,-0.0004033+0.00059351i,0.00019203+0.00076108i
-0.0010604+0.00051941i,-0.0014934+0.0012385i,-0.0011795+0.0020984i,-0.00034156+0.0025674i,0.00063111+0.0021728i,0.00069573+0.00032106i,0.00081505-0.00074302i,0.00062721-0.0001448i,0.00017349+0.00059479i,-0.0002485+0.00063827i,-0.00059627+0.00071928i,-0.00053767+0.00048692i,-0.0008725+0.00020772i,-0.0012859+0.00021803i,-0.0011593+0.00094498i,-0.00054371+0.0011699i,3.1082e-05+0.00030125i,0.00036371-4.7873e-06i,0.00020975-0.00052893i,-7.6608e-05-0.00066182i,-0.00015531+8.9154e-05i,-0.00031305+0.00058248i,-0.0002992+0.00075012i
-0.0002947+0.00033932i,-0.00020681+0.0013018i,-0.0018064+0.00050583i,-0.0024863-0.00096591i,-0.0016555-0.0013437i,-0.00089082-0.00033087i,-0.00056759+0.00015688i,-0.00010611-7.7054e-05i,-4.9164e-05+0.00026087i,5.5175e-05+0.00060292i,-6.026e-05+0.00062437i,-0.0001768+0.00076523i,0.00051022+0.00027014i,0.0011483-0.00068276i,0.0004982-0.0012113i,-0.00021114-0.0013772i,-0.00020403-0.0006677i,3.4133e-05-2.0143e-05i,7.9376e-05+2.0469e-05i,-0.00015668+0.00031048i,7.2145e-05+0.00038557i,0.00030988+0.00035003i,-0.00012595+0.00043143i
-0.00193-0.00041341i,-0.0023036-0.00031733i,-0.002242-0.00010373i,-0.0021062+0.00029554i,-0.0019757+0.00031976i,-0.0012953+0.00085227i,-0.00039138+0.00070607i,0.00034582-0.00012035i,-3.0408e-05-0.00051265i,-0.00061649-0.00025735i,-0.00030285+0.000319i,0.00053098+0.00055944i,0.00040834-0.00014654i,2.4036e-05-0.0010841i,0.00054227-0.00078515i,0.00017649+0.00049643i,-4.7151e-05+0.0010662i,4.7772e-06+0.00078742i,-0.00046121+0.00021863i,0.00022056-0.00026983i,0.00077131-0.00015627i,0.00037645-0.00030052i,-0.00012289-0.00024443i
-0.00018361+9.2043e-05i,0.00062674-0.00088508i,0.0014972+0.00052536i,0.0019292+0.0011413i,0.0020678+0.00038231i,0.0016915+0.00022306i,0.0012857+0.00031968i,0.00088391-0.00011852i,0.00048321-0.00085718i,1.9588e-05-0.0011177i,-1.0619e-05-0.0010462i,8.3965e-05-0.0011683i,-0.0006259-0.00046649i,-0.0014247+0.00040881i,-0.0012574+0.00075382i,-0.00083699+0.0006333i,-0.00022066+0.00051031i,0.00067107+0.00083888i,0.00028202+0.00088398i,-0.00029837+0.00021384i,-0.00038694+3.4756e-05i,-0.00019929+0.00017911i,0.00047238-0.00049208i
0.00087042+0.00093689i,-0.0003369+5.0802e-07i,-0.00051424-0.001819i,6.7883e-05-0.0023096i,-0.00039372-0.0016071i,-0.0016891-0.0010255i,-0.0013155-2.6325e-05i,-0.00018233+0.00047179i,-0.00012472+0.00012461i,-4.9945e-06+0.00021228i,-1.2053e-05+0.00059937i,-0.00015676+0.00064597i,0.00041799-0.00013166i,0.0012994-0.00050349i,0.00092141+0.0002242i,0.00062447+0.00065084i,0.0011459+0.00016252i,0.0017904-0.00055705i,0.0016648-0.00065701i,0.00068986-0.00014047i,0.00012153+7.9939e-05i,-0.00016426+0.00014166i,0.00013292-9.2798e-05i
-0.0023967+0.0011256i,-0.0011316+0.00095466i,-0.00036505+0.0015491i,0.00050409+0.0013406i,0.0010394+0.0013142i,0.00059557+0.00032478i,0.00014171-0.00076401i,0.00016142-0.00029575i,-0.0008834-0.00034345i,-0.0015436-0.00063471i,-0.00068221-0.00030102i,-0.00010426+9.4537e-05i,0.00086509-0.00015222i,0.00066208-0.00042533i,-1.1724e-05-0.00029566i,0.00075199-0.0002782i,0.0010608-0.00012723i,0.00023587-0.00062024i,-0.00061955-0.00098046i,-0.00067862-5.8858e-05i,-0.0008027+0.00012791i,-0.00086986-0.0004324i,-0.00071+4.9917e-05i
0.00036066-0.00010626i,0.0010566+0.00014327i,0.00039479-4.376e-05i,-0.00033633-0.00023595i,-0.00071101-0.0010522i,-0.00063115-0.00027082i,-0.00027576+0.00097009i,-0.00051275+0.00097143i,-0.00013154+0.00033561i,0.00024284+0.00019225i,-3.2697e-05+0.00023805i,0.00034952+0.00028016i,0.00053559+0.00031251i,0.0004909-0.00036569i,-3.6307e-05-0.00081521i,-0.00034165-0.00055606i,-0.00023996-0.00021258i,0.00011056-0.00017038i,0.00047203-6.2579e-05i,0.00036068+0.00024219i,-0.00021516-0.00012693i,0.00013798-0.00061796i,-7.6879e-05-0.00030347i
0.00071684-0.00037483i,-0.00011087+0.00018466i,-0.00041149-0.00025568i,-0.00022223-0.0010331i,-0.00017233-0.00020875i,-0.00055483+0.00030432i,5.3815e-05+0.00027292i,0.0011505+0.00014907i,0.0011092+0.00065356i,0.00032248+0.0011778i,0.00011171+0.0015906i,-8.366e-05+0.0017418i,-0.00082339+0.00094103i,-0.00058812+0.00049996i,0.00024297+0.00016917i,0.00057036-0.00034452i,0.0003989-0.00016544i,7.3465e-05+0.00032026i,-0.00030906-0.00027561i,-0.00019922-0.0002185i,1.8796e-05+0.00043527i,-0.00017105-9.4336e-05i,-0.00014921-0.0006556i
0.00094623+0.00040299i,0.00026548+0.00023474i,0.0013941-0.0011657i,0.0019249-0.0018305i,0.00097085-0.0015747i,-0.00059929-0.0011666i,-0.00094074-0.00074535i,0.00013814-0.00081738i,0.00068117-0.00097016i,0.00018221-0.00044897i,-0.00051122+0.00054544i,-0.00054599+0.00075933i,0.0003756+0.00097169i,0.00036725+0.0013563i,3.2371e-05+0.0011819i,-0.00016441+0.000443i,-0.00090487-3.9836e-05i,-0.0011262-0.0003178i,-0.0012843-0.00044671i,-0.00056331-0.00018024i,0.00067497+0.00037018i,0.0011049+0.00060027i,0.0011386+0.00081215i
0.001534-0.0010366i,0.0023395-0.0013056i,0.0031447-0.001172i,0.0016023-0.0014783i,0.00040959-0.0017632i,-0.00071921-0.0018812i,-0.0015978-0.00089008i,-0.0005781+0.00041895i,0.00048667+0.00029211i,0.00044508-0.0012374i,0.00034863-0.0017716i,7.1186e-05-0.00094872i,-1.7427e-05-7.4934e-05i,0.00015303+8.9016e-05i,0.00074897-2.9639e-05i,0.0009787-4.6404e-05i,5.8923e-05+0.00033538i,-0.00021719+0.00084765i,0.00028668+0.0010411i,0.00084553+0.00091437i,0.00081489+0.00082067i,0.00043559+0.00059958i,0.00041624+0.00025948i
0.0001338-0.0004174i,-0.00017899+8.7915e-05i,-0.00075615+0.00062861i,-0.0017894+0.0011809i,-0.0016366+0.0010695i,-0.00075669+0.00072296i,-0.00021331+7.6544e-06i,-0.00044313-0.0004357i,-0.0010995-2.2355e-05i,-0.00091095+0.00012131i,-0.00014349-0.00054923i,0.0001509-0.00058181i,0.00031892-0.00039531i,0.00019214-0.00046252i,0.00031279-0.00053519i,0.00021033-0.00063545i,-0.00017308-0.00038515i,-0.00044513-0.00033498i,-0.00035502-0.00016218i,-0.00014434-0.00021856i,-0.00043816-0.00024841i,-0.00058218+0.00027628i,-0.00021356+0.00050701i
-0.0020739+0.00046818i,-0.0021259+0.0013297i,-0.00084329+0.0004557i,-8.6899e-05-0.00016932i,-0.0013548+0.00050554i,-0.0017046+0.00064302i,-0.00062022+0.00027372i,0.00017035-0.00071072i,-4.9985e-05-0.0015073i,-0.00057802-0.0019023i,-0.00030556-0.0013888i,5.051e-05-0.0010559i,0.00035496-0.0013711i,0.00066393-0.0012738i,0.00025611-0.00068203i,0.00011086+4.0048e-05i,0.00033245+0.00067464i,-0.00019372+0.0010156i,-0.00055683+0.00043155i,0.00024989-0.00024098i,0.00058727-5.9586e-05i,-0.00034415+0.0002511i,-0.00044471+0.00071516i
-0.0014659-0.00084095i,-0.00082041-0.0024658i,-0.001312-0.003104i,-0.0023242-0.0020984i,-0.0025871-2.9813e-05i,-0.0022649+0.0010446i,-0.0014904+0.0010398i,-0.00064206+0.00025138i,-0.00014913-0.00032653i,-0.00067775-9.1755e-05i,-0.00094414+2.6354e-05i,-0.00017178-0.00029229i,0.00083412-0.00056177i,0.0011423-0.00029523i,0.00056212+0.00017596i,9.97e-07+0.00036495i,-0.00035917+0.0005883i,3.1608e-05+0.00054772i,0.00041263+0.00076239i,-0.00028506+0.00079903i,0.00029761+0.00039958i,0.0011325-6.2367e-05i,-0.00022146-0.00057304i
0.00051112-0.00017653i,0.00024027+0.00032142i,0.00020263+0.0013672i,0.00032155+0.001127i,0.00012617+0.00029828i,0.00028592-0.00038265i,0.0012518-0.0009819i,0.0010454-0.00055313i,-0.00023169+7.4066e-05i,-0.00073967+0.00074249i,-0.00041869+0.0016455i,-0.00044833+0.0012648i,-0.00039055+0.00070485i,-8.0037e-05-1.7899e-05i,-0.00012532-0.00057968i,-0.00048823-0.00038473i,-0.0001581-0.00031814i,-0.00022172-0.00018234i,-0.00017561-0.00010436i,-0.00056469-0.00027486i,-0.0011492-0.00045751i,-0.00049954-0.00098373i,4.4011e-05-0.00094248i
0.0004342+0.00061479i,0.00082787-0.00042661i,0.0017293+3.7878e-05i,0.0013146+0.00070658i,0.00011885+0.00081202i,-0.00053163+0.00045402i,-0.0004932-0.00044888i,-0.00082163-0.00087515i,3.4904e-05-0.0012195i,0.00061518-0.0013196i,0.0003736-0.0012484i,0.00016317-0.00037763i,0.00049592+0.00019238i,0.00052507+0.0011004i,-0.00021397+0.0014898i,-0.00048965+0.00021568i,6.4056e-05-0.00072495i,0.00038334-0.00090235i,-0.00030463-0.00039459i,-0.00066268+4.6029e-05i,7.518e-05+0.00029681i,0.00072013+0.0008429i,0.00013561+0.00067842i
-0.00125-0.0019827i,-0.0021678-0.0012073i,-0.0031644-0.00072776i,-0.0037556+0.00024031i,-0.003481+0.0012574i,-0.0022199+0.0021315i,-0.0007513+0.0020181i,0.00045987+0.00080582i,0.00081545+0.00054899i,0.00040632+0.00082395i,0.00028446+0.00086083i,0.00063625+0.00076109i,0.00095573+0.00034787i,0.00081418-0.00040968i,4.9316e-05-0.00054588i,-0.00052765+0.00013383i,-1.4552e-05+0.00057455i,0.00016083+0.00028436i,0.00011735-0.0001793i,-4.9606e-05-0.00030818i,-0.00045629-0.00056022i,-0.00010538-1.2288e-05i,0.00064081+0.00066911i
-0.0019855-1.0282e-05i,-0.0012026+0.00076798i,-0.0011844+0.0011304i,-0.0010798+0.0015776i,-0.00028535+0.0016253i,0.00086391+0.0010442i,0.00090028-0.00019214i,-9.7516e-05-0.0014352i,-0.00025255-0.0018082i,0.00024731-0.0012506i,2.101e-05-0.00020617i,-0.00029586-0.00020716i,-0.0003812-0.00060394i,-0.00076413-0.00089993i,-0.00059323-0.0013166i,-0.00019987-0.00098994i,4.1966e-05-0.00025932i,0.00094167+6.1294e-05i,0.0011829-0.00010475i,0.0001702-0.00016862i,-0.00059359+0.00052602i,-0.00030476+0.0010621i,-0.00043639+0.00060053i
