-0.00012243-0.00021911i,0.00069737-0.0013846i,0.0015597-0.0014499i,1.4733e-05-0.00049063i,-0.0028986+0.00056203i,-0.0034407+0.0014927i,-0.0024666+0.0014687i,-0.0018905+0.0012466i,-0.0015593+0.0016884i,-0.00061265+0.0016646i,-0.00019467+0.00034322i,-0.00048036-0.0010152i,-0.00043299-0.0014067i,-0.00037152-0.00056122i,-0.0007169-0.00046022i,-0.00062074-0.00049923i,6.9067e-05+0.00034077i,0.00057055+0.00037773i,0.00041573+0.00044028i,-0.00054127+0.00045552i,-0.00092496-0.00012595i,-0.00022212-0.00038398i,0.00053849-0.00082029i
0.00014525-0.002184i,0.00055231-0.0020315i,0.00049843-0.0016759i,-0.00037373-0.0020528i,-0.0013195-0.0013499i,-0.0018568-0.00026691i,-0.0016882+0.00075784i,-0.0016193+0.0014248i,-0.0018451+0.00046121i,-0.0016198-0.00062354i,-0.00085422-0.00049845i,-5.7876e-06-4.0445e-05i,0.00038675-0.00012032i,7.2305e-05+0.00017683i,-0.0001656+0.0006094i,2.1851e-05+0.00076605i,-4.2291e-05+0.0010111i,0.0001776+0.00082939i,0.0013715+0.00053383i,0.0016375+0.001042i,0.00082269+0.00072178i,0.00059606+0.00010528i,0.0003589+0.00043366i
0.0011437-0.00091437i,0.0012905+0.0001054i,0.0022871+0.00033464i,0.0020266-0.0004096i,-0.00083195-0.0007892i,-0.0030674-0.00013334i,-0.0021593+0.00019062i,-0.00095151-0.00014136i,-0.0010876-0.00036851i,-0.0011801+0.00060385i,-0.00074777+0.00055712i,-0.00058111-0.00048871i,-0.00045259+0.00012282i,0.00032932+0.00091055i,0.00079353+0.00050645i,0.00060566+0.00045498i,-0.00029464+0.00086342i,-0.00070637+0.0007357i,-0.00039544+0.00016282i,0.00056659-0.00070254i,0.0011916-0.0010108i,-3.4653e-05-0.00028096i,-0.00098331+0.00024284i
0.0007745+0.0015515i,0.0022176+0.0014061i,0.001974+0.000743i,0.0016827-0.00053485i,0.0013192-0.00037087i,-0.00059161-8.8904e-05i,-0.0022993+0.00036323i,-0.0023184+0.00099123i,-0.0015863+0.00093431i,-0.00046038+0.00073246i,0.00056471+0.00054474i,0.00053832-0.00024778i,4.362e-05-0.00026948i,-0.00014006+0.00040193i,0.00045709+0.00052649i,0.00077572+0.00071707i,0.00052475+0.00024437i,6.8159e-05-0.00021636i,0.00012736-0.0007028i,8.7593e-05-0.00055752i,-0.00072639-0.00076638i,-0.00064294-0.0012201i,6.3091e-05-0.00070492i
-0.00056+0.0016069i,-0.0012024+0.0011707i,-0.0012017+0.0015806i,-0.00091539+0.0013075i,-0.0018879+6.0046e-05i,-0.002381-0.00092749i,-0.0016711-0.00072547i,-0.0011358-0.00011193i,-0.0010565+0.00042088i,-0.00071711+0.00011775i,-0.00045241-0.00074486i,7.0488e-05-0.00076876i,0.00041315-0.00061543i,-0.00067042-0.00026449i,-0.00078499+0.00023798i,-1.5301e-05+0.00033211i,5.8531e-05+0.00020841i,-4.8617e-05+0.00014403i,-0.00020379+0.00010128i,-1.244e-05-9.4441e-05i,0.00016572-0.00020367i,-6.7249e-05-0.00023485i,-0.00040642-7.4597e-05i
0.001679-0.000481i,0.0016705-0.00088147i,0.0020196-0.001301i,0.0011611-0.0010461i,-0.0010269-0.00058116i,-0.0025493+0.0010411i,-0.0025997+0.0015045i,-0.0023227+0.00075533i,-0.0015736+0.0007491i,-0.00077003+0.00057517i,0.00015628+6.5723e-05i,0.0010018-0.0003727i,0.00049802-0.00097525i,0.00010923-0.00054276i,0.00068771-2.1189e-05i,0.00087176+0.00032008i,-0.00018299+0.00030596i,2.0726e-05+0.00049304i,4.7436e-05+0.00056152i,-0.00064754-0.00021845i,-0.00063002-0.00013896i,-0.00044347-0.00011121i,-0.00086582-0.00016246i
-0.0011277-0.0024937i,-0.00063834-0.0010768i,-0.00040835+0.00021583i,-0.00050231+0.00055401i,-0.0016698+0.00012391i,-0.0019747-0.00035462i,-0.0015962+0.00050407i,-0.0016408+0.00083334i,-0.0014359+0.00075691i,-0.00079105+0.001027i,0.00018734+0.00076059i,0.00021996+0.00027251i,-0.00057774-0.00025352i,-0.0015154-0.00066096i,-0.0017024-0.00075864i,-0.0006204-0.00024801i,0.00018196-4.6202e-05i,0.00023802-0.00022901i,0.00042804+0.00011457i,0.00084938+0.00042634i,0.00094141+0.00066755i,0.00097999+0.00034921i,-6.6013e-05-0.00069507i
0.0018729+0.0031723i,0.0014304+0.0023226i,0.0017606+0.00031193i,0.0012447-0.0016783i,-0.00036546-0.0025929i,-0.002786-0.0016697i,-0.0028825-1.5165e-05i,-0.0016714+0.00058413i,-0.00041449+0.00052405i,0.00039485+1.4965e-05i,0.00049673-0.00010954i,-0.00035755+0.00037016i,-0.00079592+0.0003489i,-0.00094295+0.00044952i,-0.00093233+0.00027379i,-0.00084185-0.00018391i,-0.00064283-0.00060575i,-0.00090278-0.0011487i,-0.0006821-0.00098092i,1.5784e-05-0.00031299i,-0.00027933+1.4184e-05i,3.6745e-05-8.2843e-07i,0.00059606-0.00012137i
-4.6699e-05-0.0026234i,0.0012019-0.0019838i,0.001443-0.0015329i,-0.00022794-0.0014551i,-0.0019164+0.00010292i,-0.0021264+0.0011695i,-0.0018835+0.0017857i,-0.0020562+0.0014297i,-0.0020366-0.00017709i,-0.0015094-5.4145e-05i,-0.00037388+0.00076554i,0.00045671+0.0010117i,0.00034612+0.00097488i,0.00021113+0.00078509i,0.00014038+0.0012234i,0.0002381+0.00056462i,0.00036934-0.00011879i,-0.00033591+0.00076393i,-0.000165+0.0014601i,-5.5029e-05+0.00085793i,-0.00051368+0.0001392i,-0.00031362+9.2315e-05i,0.00042778+0.0001311i
0.00067758+0.00093206i,0.00036953+0.0003777i,0.0015507+0.0014341i,0.001721+0.00070717i,3.4798e-05-0.0011787i,-0.00087955-0.0014048i,-0.0014571-0.00048971i,-0.0026806-0.00014053i,-0.0024097-7.9444e-05i,-0.00047186-8.5102e-07i,0.00059926+0.00033414i,0.00047426+1.3725e-05i,9.0693e-06-0.00050733i,-0.00023002+0.00054172i,-0.00031077+0.0013513i,-0.00077172+0.0011346i,-0.0008583+0.00029652i,-0.00040191-0.00056316i,-0.00089426-0.00020374i,-0.0011787+0.00043257i,-0.00097531-5.5385e-05i,-0.00021249-0.00019165i,0.00018096+0.00064811i
-0.0012474+0.00080015i,-0.00096502+0.0017353i,0.00085057+0.0026044i,0.0021712+0.0016203i,0.00036593-0.00018597i,-0.0023265-0.00034347i,-0.003116-0.00035578i,-0.0025069-0.00026392i,-0.0017625+0.00046836i,-0.00075409+0.001391i,-0.00027537+0.0016294i,-0.00041585+0.0011521i,-0.00022328+0.00017594i,-6.3942e-06-0.00011657i,0.00020156+0.0004122i,-0.00012719+0.0003164i,-0.00064578-1.3619e-05i,9.592e-06+0.00018266i,0.0011795+0.00016246i,0.0012594+0.00018028i,0.00025584+0.00015932i,-0.0003266-4.7674e-05i,0.00029298+0.00075215i
0.00074716-0.00086371i,0.00057015-0.00023645i,0.0012644-0.00081062i,0.0011979-0.0018726i,-0.00050585-0.0016755i,-0.0024181+0.00053409i,-0.0025856+0.0017921i,-0.0011852+0.0011723i,-0.00052964+0.0006i,-0.00022224+0.0002637i,5.4555e-05-0.00044686i,0.0003681-0.00040208i,0.00054814-6.6539e-05i,0.00096642-0.00037683i,0.0010635-0.00049331i,0.00018745+4.5716e-05i,0.00022557+0.00066761i,0.00029053+0.00014787i,-0.00028167-0.00073108i,-0.00049242-0.00027421i,-0.00092463+0.000413i,-0.00095639+0.00038176i,-7.6447e-06-0.00031037i
0.0012337-0.00011939i,0.0025288-9.5001e-05i,0.0023338-0.001625i,0.00030343-0.0016283i,-0.0012527-0.00080192i,-0.0025521+0.00044306i,-0.0021986+0.001171i,-0.0016205+0.00067958i,-0.0013307+0.0001158i,-0.00043316+0.00014028i,0.00046247+0.001013i,7.2397e-05+0.0009486i,-3.2003e-05-0.00035863i,0.00053778-0.00064171i,0.00059869-0.00012486i,0.00023731+0.00023527i,-0.00039561-0.00019787i,-0.00093211-0.00098506i,-0.00082009-0.00069346i,-0.00061987-0.00066116i,-0.00050128-0.00098978i,-0.00026559-0.00068555i,-0.00028565-0.0004729i
0.0015901+0.00090959i,0.0024628+0.0025511i,0.0030416+0.0028979i,0.0014977+0.0002112i,-0.00094464-0.0012968i,-0.002429-0.00022412i,-0.0030057+0.0011806i,-0.0027081+0.0011672i,-0.0020817+0.00083372i,-0.00084709+0.00075203i,0.00065821-0.00049352i,0.001031-0.0011245i,0.00036061-0.00038308i,0.00042071+0.00035906i,0.00085096+0.00037656i,0.00058441-0.00011411i,4.7031e-05-5.5914e-05i,-0.00030748+0.00022039i,-0.00071708-0.00023184i,-0.00036343-0.00067373i,0.00078617-0.00085756i,0.00096208-0.00028283i,0.00050241+0.00031558i
-0.0004538+0.0027092i,0.0001758+0.0014998i,0.00054429+0.00085746i,-2.67e-05+0.00030565i,-0.0019926-0.00079721i,-0.0036097-0.00061958i,-0.0035754+0.00071239i,-0.0031607+0.00073383i,-0.0027872+0.00067098i,-0.001065+0.00090018i,0.00028227+0.00066251i,-5.567e-05-0.00011809i,-0.00076153-0.00038299i,-0.00049591+5.3551e-05i,-0.00021867+0.00043168i,0.00019184+0.00014576i,0.00088693-0.00060167i,0.00090865-0.00047904i,0.00025993+0.00023134i,-0.00040581+0.00075731i,-0.00012726+0.0013037i,-0.0003694+0.00054945i,-0.00060726+7.0583e-06i
0.00021598-0.00065954i,0.0013962-0.00051638i,0.0011139-0.00092863i,8.8886e-05-0.0017612i,-0.0015235-0.0015539i,-0.0035958+4.486e-05i,-0.0031169+0.0014119i,-0.0014989+0.0010363i,-0.00078779+0.0003955i,-6.6814e-05-0.00039055i,0.00010898-0.0012128i,-0.00037345-0.00072362i,-0.00054911-0.00011135i,-0.00054678+0.00020171i,-0.0005535+0.00022331i,-0.00054128+0.00022948i,-0.0005575+0.00065465i,-0.00071631+0.00040056i,-0.0011011+0.00020479i,-0.00082044+0.0003084i,0.00030586+0.00034892i,-4.4083e-05+0.00021243i,-0.00014779+0.00016955i
0.00049993-0.00082063i,0.0010121-0.00077783i,0.0018398-0.0013595i,0.00079818-0.00022592i,-0.0012849+0.00025025i,-0.0021296+0.00027787i,-0.002197+0.00075079i,-0.0020898-0.00010699i,-0.0013119-0.00018196i,-0.00064731+0.00046866i,0.00035495-0.00027954i,0.00085608-0.00038524i,0.00045481-3.1128e-05i,0.000338+0.00095773i,0.00019291+0.0011393i,0.00015167+0.00054072i,0.00041303+1.1381e-05i,0.00060801-3.2693e-05i,-3.6653e-06+0.00058253i,-3.4756e-05+0.0010081i,0.00030244+0.00092646i,-0.00042056+9.363e-05i,-0.00041865-0.00039248i
0.0025074-0.0010143i,0.0036978-0.00066033i,0.0044764-0.00021877i,0.002556-0.00095555i,-0.00080967-0.0013788i,-0.0029584-0.00076874i,-0.0025903+3.834e-06i,-0.0018715+0.00067357i,-0.0018016+0.00077058i,-0.0012089+0.00053385i,0.00029114+4.4018e-05i,0.00069931+7.6676e-05i,-9.4749e-07+0.0004227i,-0.00022539+0.00081098i,-2.2584e-05+0.0012918i,-0.00014333+0.00097433i,-0.00062077+0.00095023i,-0.00072114+0.0011964i,-0.00037271+0.0011235i,-0.00040507+0.00077917i,-0.00038452+0.00055322i,-0.00072052+0.00066577i,-0.00077353+0.00030137i
-0.0014968+0.00093298i,5.5199e-05+0.0020998i,0.0019565+0.0031112i,0.0021061+0.0016881i,0.00040252+0.00025584i,-0.0011175+0.00021763i,-0.0014257+0.00086609i,-0.0016571+0.00080671i,-0.0020058+0.0011469i,-0.0012309+0.0019073i,-0.00060349+0.0015089i,-0.00064995+0.0006835i,-0.00079293+0.00056118i,-0.00060033+0.0006286i,-0.00053534+0.00024861i,-0.0007255+0.00041152i,-0.00057518-2.7323e-05i,-0.00095073-0.0010312i,-0.0010571-0.00066885i,-0.00029152-9.4043e-05i,-5.1908e-05+4.9813e-05i,-0.00061086+0.0004888i,-0.00067346+0.0011184i
0.002288+0.0017341i,0.0016912+0.0016516i,0.0014739+0.00010732i,0.00083349-0.0016772i,-0.0011209-0.0016152i,-0.0032706-6.9479e-05i,-0.0030694+0.0010203i,-0.0020587+0.0013667i,-0.0012992+0.00069668i,-0.00014328+0.00046645i,0.00054227+0.00015224i,0.00037935+0.00027717i,-3.8758e-05+0.00068517i,-5.8002e-05+0.00062154i,6.375e-05+0.00064217i,0.00021536+0.0010399i,0.00076255+0.00094357i,0.000788+0.00050544i,-6.1091e-05+0.00040696i,-0.00086439+0.00053726i,-0.001047+0.0004536i,-0.0008996+0.00044197i,-0.00066044+0.00038662i
-4.3552e-05-0.0013319i,0.00052757+5.7507e-05i,0.001164-0.00035973i,0.00042375-0.00087982i,-0.0017258-0.00093839i,-0.0032776-0.00022059i,-0.0025822+0.00087662i,-0.0013405+0.00074253i,-0.00072721+0.00044682i,-0.0004566+0.00050973i,-0.00012751-0.00042135i,-3.8422e-05-0.00057784i,-0.00013994+0.0003439i,-6.7887e-05+6.1845e-05i,0.00043564-0.0011404i,0.00092333-0.00081508i,0.0011218+0.00041531i,0.00047421+0.00062898i,-0.00045119+0.00022594i,-9.3793e-05-0.00045946i,0.00026742-0.00041078i,-6.618e-05-7.5484e-05i,-0.00068647-0.00047987i
0.00062256+0.00034868i,8.9745e-05-0.0010612i,0.00091202-0.0011735i,-0.00041297-0.00030245i,-0.0019675+0.00017087i,-0.0025866+0.00092107i,-0.0023115+0.0017311i,-0.0012843+0.0015576i,-0.00058434+0.00061112i,5.3899e-05+9.0878e-05i,0.000649-4.9111e-05i,0.00015026-0.00049252i,-0.00010156-0.00079744i,-3.3682e-05+0.00013393i,-0.00059095+0.00020471i,-0.0002953+0.00014821i,0.00060328+0.0005329i,0.00094172+0.00064603i,-7.6262e-05+0.00055475i,-0.00054058+0.00018086i,0.00060217-0.00025066i,0.00050836-0.0002543i,-0.00045734+0.000711i
0.0027391-0.00078585i,0.0029405+0.00035689i,0.0025147-0.00061488i,0.0020207-0.0026309i,0.00035746-0.0028486i,-0.0020824-0.0016212i,-0.0020349-0.00037908i,-0.00070354+0.00032878i,-0.00014433+0.00053818i,0.00018555+0.00067954i,-5.8801e-07+0.00024384i,-0.00046867-0.00010884i,-0.00018701+0.00022735i,0.00024122+0.00087449i,0.00047762+0.00079427i,0.0007772-0.0001735i,0.00017681-0.00041648i,-0.00063112-0.00045744i,-0.00060774-0.00013008i,-0.00011502+0.00055463i,-0.00015246+0.00085876i,-0.0010161+0.00067393i,-0.00061285+0.00046836i
0.00076649+0.00096594i,0.001874+0.00041629i,0.0022048-0.00082216i,0.0010381-0.00082404i,-0.00090947+5.5846e-05i,-0.0022394+0.00051157i,-0.0030452+0.00035662i,-0.0024559-0.00041993i,-0.0014883-0.00037484i,-0.000562+0.00052565i,0.0011071+0.0007657i,0.0012097+0.00053483i,0.00032537+0.00050497i,5.1873e-05+0.00063561i,0.00015535+0.00034732i,0.00031394+2.7059e-05i,0.00015034-0.00063932i,-9.7243e-05-0.00030646i,0.00020834+0.00034577i,0.00071252+5.9936e-05i,0.00022767-0.00038172i,-0.00023511-0.00066258i,0.00021502-0.00063085i
0.00094751+0.0015444i,0.0021545+0.0023768i,0.0024074+0.0018291i,0.0010909+0.00050061i,-0.0014427-0.00033505i,-0.0031317-9.033e-06i,-0.0025919+0.0006098i,-0.0014917+0.00069978i,-0.00083486+0.00056407i,-0.00021953+0.00042797i,0.00033253+0.00065298i,0.00013614+0.00010458i,-0.0010429-0.00071409i,-0.0011096-0.00027109i,-2.1629e-05+0.00094727i,0.00030742+0.0014427i,-0.00013297+0.00086675i,-0.00068025+7.5609e-05i,-0.00064376-0.00046703i,-0.00017709-0.00075764i,-1.1457e-05-0.00066426i,-0.00039955-0.00030582i,-0.0006066-0.00030167i
0.0012515+0.00043056i,4.2328e-05+0.00055479i,-0.00065258-0.0004173i,-0.00041801-0.001477i,-0.0015991-0.0020558i,-0.0030291-0.0011681i,-0.0032663+0.00025676i,-0.0023137+0.0004853i,-0.001065+0.00049522i,-0.00038995+0.0003542i,5.4025e-05-0.00052333i,0.00014111-0.001296i,3.7977e-05-0.00088306i,0.0001971-0.0003684i,0.00058084-0.00025039i,0.00062088+4.7771e-05i,-0.00024414+0.00040656i,-0.00048097+0.00048126i,9.586e-05+0.00032412i,6.4633e-06+6.1026e-05i,-0.00018492-5.3185e-05i,-0.00015279-6.6209e-05i,-0.00020833+9.0366e-06i
0.00092473-0.0018266i,0.0010413-0.0011921i,0.0015308-0.0019666i,0.00094238-0.0024942i,-0.001677-0.0021342i,-0.0036999-0.00072189i,-0.0031852+0.00048791i,-0.0016716+0.00052924i,-0.0006706-6.8146e-06i,7.1109e-05+0.00036559i,0.00046395+0.00019819i,0.00014402-0.0004634i,0.00062389-0.00054385i,0.0016517+0.00022379i,0.0015606-4.8811e-05i,0.0013382-0.0002253i,0.00071365+9.2102e-05i,0.00025711-0.00032983i,-3.6226e-05+0.00025985i,1.1704e-05+0.00083608i,-0.00013702+0.00029058i,5.3554e-06+4.6315e-05i,0.00046375-2.2181e-05i
0.001767+0.00054425i,0.0013519+0.00073305i,0.0012364-0.0010671i,0.001023-0.0018132i,-0.0012894-0.0015599i,-0.0033328-0.00047705i,-0.0029854+0.0008199i,-0.0018596+0.00088547i,-0.0014614-6.3115e-05i,-0.0011892+0.00040816i,-0.00085327+0.0011002i,-0.00010564+0.00046207i,0.00028218+0.00030525i,0.00041045+0.00066398i,0.00054771+0.00061522i,-0.00032826-0.00032658i,-0.00048718-0.00060911i,0.0003499+0.00083422i,0.00031439+0.0017079i,-0.00023176+0.0006482i,-0.00040131-0.00035103i,5.9539e-05-0.00083219i,0.00062056-0.00066225i
0.0013358-0.00055141i,0.0018092+0.00028424i,0.0018452+0.00047929i,0.00052258+9.705e-05i,-0.0010498+0.00036254i,-0.0020119+0.00095823i,-0.0018069+0.0011554i,-0.0010182+0.0011712i,-0.0010844+0.001162i,-0.0010982+0.0011448i,-0.00080959+0.00025785i,-0.00073146-0.00047552i,-0.00056901-0.0010567i,-2.6294e-05-0.001197i,0.00056479-0.00033952i,0.00057757+0.00050258i,3.3057e-05+0.00040677i,-0.00010908+0.00027773i,-0.00042128+0.00025751i,-0.00091402-0.00026733i,-0.0004718+5.2358e-06i,0.00022603+9.8843e-05i,0.00013084-0.00031311i
0.0013279+0.00017923i,0.0011674+0.0007032i,0.0021326+0.00085433i,0.0014971-0.00031851i,-0.00038965-0.00090118i,-0.0022192+0.00020729i,-0.0026613+0.0011674i,-0.0018834+0.0011139i,-0.0012444+0.0010922i,-0.00044727+0.0007097i,-0.00018708+4.0541e-05i,-0.0006146+5.2128e-05i,-0.0002231+0.00024586i,3.442e-06+0.00085859i,-0.00055137+0.00087493i,-0.0011656+5.3184e-05i,-0.00095779-0.00011301i,-0.00032835+0.00010432i,-0.00069496-4.3717e-05i,-0.0014277-9.9302e-05i,-0.0011568-0.00024209i,-0.00058633-0.00019731i,-0.00065843-0.00040529i
-0.00051305+0.00036772i,-0.00029503+0.00051821i,0.00013539+0.000707i,0.00024608+9.6521e-05i,-0.00090798-0.00057746i,-0.0026206-0.00065496i,-0.0033956-0.0002317i,-0.0027169+0.00044492i,-0.0016324+0.00060173i,-1.0997e-05+0.00078741i,0.0015863+0.00063469i,0.0011165+0.00035064i,0.0005429-9.1773e-05i,0.00066147-0.00075608i,0.00016437-0.0010314i,-0.00055086-0.001005i,-0.00042701-0.0011758i,-0.0001243-0.0006588i,-0.00040954-0.00022773i,-0.00032108-0.00027402i,1.2515e-05+0.00066194i,-0.00018023+0.00091797i,4.6895e-05-0.00021643i
0.0021898-0.00069967i,0.0020389-0.00074095i,0.0019412-0.0020708i,0.00064504-0.0028285i,-0.0021598-0.0022039i,-0.0040226-0.00072814i,-0.0033411+0.00084516i,-0.0018727+0.0011781i,-0.0015226+0.00042452i,-0.00066791-7.9093e-05i,0.00072195-1.0033e-05i,0.00037935+0.0007395i,-0.00061921+0.00038195i,-0.00038397+8.5501e-05i,0.00049733+0.00072892i,0.00086946+0.00055247i,0.00033497+0.00023719i,-0.00055993+0.0004634i,-0.0013353+0.00041868i,-0.00096269+8.7946e-05i,-0.00012161-0.00011445i,-9.5599e-05-0.00040086i,-0.00027828-0.00058749i
0.0018772+0.0022162i,0.0020751+0.0018639i,0.0030906+0.00048296i,0.0019027-0.001489i,-0.0010946-0.0024635i,-0.002825-0.0017347i,-0.0023814+0.0001195i,-0.0011037+0.00047498i,0.00016427-3.1696e-05i,0.00021363-0.00030783i,-0.00035353-0.00022879i,-0.00041362+7.767e-05i,5.7614e-05+0.00018067i,0.00035273+0.00033339i,0.00088446+0.00023143i,0.0011966-3.9681e-05i,0.00038098-0.00043864i,-0.00013342-0.00094182i,-0.00021363-0.00080929i,-0.00010818-0.00060566i,8.9629e-05-0.00049924i,-0.00072772+0.0001358i,-0.00087821+0.00015568i
0.00064042+0.00060668i,0.0019248+0.00059715i,0.0023708-0.00013821i,0.0010381-0.00069585i,-0.0011956-0.00010401i,-0.0026213+0.0014212i,-0.0023532+0.0011978i,-0.0013781+0.00031331i,-0.0011832-9.4156e-05i,-0.0002425-6.6697e-05i,0.00075137+9.1504e-07i,0.00058224-0.00045232i,9.182e-05-0.00086476i,-6.7834e-05+0.00019515i,0.00041937+0.00069659i,0.00068588+0.00044193i,-0.00038694+9.9118e-05i,-0.0010587-0.00067579i,-0.00074121-0.00032407i,-0.0001831-0.000274i,0.00051857-0.00068573i,0.00028585-0.00085513i,0.0004568-0.00051669i
0.0010845+0.00018255i,0.00099415+0.0015337i,0.001751+0.001713i,0.0012692+0.0002305i,-0.00073281-0.00033427i,-0.0022112-0.00020892i,-0.0022087+0.0001473i,-0.0020588+1.0615e-05i,-0.0019761+0.00028663i,-0.00080957+0.0012858i,9.6856e-06+0.00097207i,0.00063461-5.0396e-05i,0.001413-0.00057531i,0.0011076+5.5293e-06i,0.00036763+0.00071013i,-0.0004141+0.00072141i,-0.00032653+0.00031695i,0.00039118-0.00038469i,0.00043912-0.0012841i,0.00031041-0.00083336i,0.00020839+0.00010846i,-0.00018561+0.00057857i,-0.00059003+0.00023408i
-0.00040874+0.0011462i,0.00047566+0.00069703i,0.00091164+0.00022822i,0.0010493-0.001319i,0.00034867-0.0025029i,-0.001497-0.00077056i,-0.002034+0.00093663i,-0.0014742+0.00092985i,-0.0015363+0.00035845i,-0.0015765+1.238e-05i,-0.00086272-6.4332e-05i,-3.5322e-05+1.8119e-05i,0.00063752+8.5761e-05i,0.00070588+0.00078549i,0.0007204+0.00080101i,0.00081596+0.0010968i,0.00026606+0.0016381i,0.00017515+0.00073708i,0.00031563+0.00014239i,0.00024124+2.3301e-05i,0.00024786-5.3995e-05i,0.00026926+0.00027754i,0.00066757+0.000515i
-0.00016214-0.0014146i,0.0012837-0.00022893i,0.0011617+0.00038746i,-0.00034091-8.9136e-05i,-0.0016297-0.00073649i,-0.0017013-7.8742e-05i,-0.0017856+0.00095145i,-0.0011233+0.00091904i,5.7439e-05+0.00070369i,-0.00010517+0.0004668i,0.00037035-0.00031229i,0.001062-0.0010061i,0.00071355-0.00030941i,0.00035116+0.00072062i,0.00023596+0.00075849i,0.00013148+0.00056126i,0.0005475+0.0014337i,0.00030563+0.0013712i,0.00018915+0.00039745i,0.00027749+0.00020378i,-0.00039608-9.9639e-07i,-0.00045033+2.0506e-05i,4.0939e-05+8.4452e-06i
0.00076138-0.00088163i,0.0012937-0.00030892i,0.0016526-0.00033533i,0.0010006-0.001786i,-0.0006478-0.0023718i,-0.0022972-0.0010888i,-0.0021801+5.7393e-05i,-0.0019912+9.8287e-05i,-0.0025205-0.00035296i,-0.0014836-3.8127e-05i,0.00019229+2.1302e-07i,0.00045101-0.0010166i,0.00078065-0.00082352i,0.0012863+0.00026714i,0.00066149+3.6818e-05i,9.1671e-05+8.5582e-05i,8.7479e-05+0.0003255i,-0.00054922+0.00011862i,-0.00050945+0.00069492i,0.00056855+0.00097799i,0.0010914+0.00037327i,0.00052995+0.00041004i,0.00060369+0.0011158i
0.0020955+0.00032299i,0.0017714+0.00062921i,0.0013778+0.00067486i,-9.0289e-05-0.00031851i,-0.002205-0.00057192i,-0.003976+0.00022162i,-0.0034844+0.0008383i,-0.0021122+0.00095097i,-0.00095725+0.00035973i,0.00032884+0.00024573i,0.00064251+0.00019962i,0.00048897-0.00049407i,0.00053006-5.0653e-05i,0.0005458+0.0006729i,0.00034693+0.00045347i,-0.00036639-0.00028075i,-0.00065108-0.00082425i,-0.00081434-0.00066335i,-0.00038036+7.0639e-05i,0.00025558+0.0014835i,-3.4318e-05+0.001445i,-0.00012813+0.00024153i,9.402e-06-1.7815e-05i
0.00024592+0.0018947i,0.0013613+0.0018022i,0.001858+0.0018667i,0.0019671+0.00061854i,0.00086542-0.00029211i,-0.0011051-0.00083803i,-0.0020855-0.00049628i,-0.0020082-0.00012286i,-0.0015251+0.00042729i,-8.1833e-05+0.0013552i,0.0010368+0.00096388i,0.0010225-0.00034023i,0.00075186-0.00079471i,0.00061297-0.0004943i,0.000213-0.00067957i,2.9442e-05-0.00055754i,-0.00042736+2.08e-05i,-0.00088822-2.7352e-05i,-0.0011241-0.00019719i,-0.0010356-0.00031666i,-0.00023675-0.00041236i,-0.00044715-0.00058087i,-0.000731-0.00097903i
0.00085723+0.00058728i,0.0013038+0.0021101i,0.0016255+0.001807i,0.00041768+0.00095781i,-0.00084382+0.00034742i,-0.00089416+6.3008e-05i,-0.0012251+0.00087648i,-0.0015039+0.0010512i,-0.0010489+0.00087814i,-4.4413e-05+0.0011336i,0.0013009+0.0010998i,0.0012367+0.00092982i,-0.00053474+0.00031139i,-0.001537-0.00055998i,-0.00093668-0.00046437i,-0.00031076-0.00035869i,9.7239e-05-0.0003296i,-4.9597e-05-6.0978e-05i,-0.00032286-0.00045822i,1.5973e-05-0.00062302i,0.00042781-0.0005862i,0.00016186-0.00021919i,-0.00033833+0.00028248i
0.0016754+0.0001834i,0.0010114+0.00077077i,0.00098048+0.0001904i,0.0001707-9.6053e-06i,-0.00073786-0.00076406i,-0.002048-0.0011036i,-0.0028669+8.2505e-05i,-0.0021429+0.001233i,-0.0011139+0.00059649i,-0.00041639+0.00021687i,-5.4659e-05+0.00016966i,0.00053642+1.9586e-05i,0.00077753+4.6064e-05i,0.00035369+0.00035047i,0.0001217+0.00035299i,0.00016821-2.8945e-05i,0.000384-0.00022095i,0.00024956+0.00015159i,-0.00030325+0.00051462i,-0.00058252+0.00035285i,-0.00067276+0.00011541i,-0.00051659-0.00039602i,-7.9344e-05-0.00050395i
-8.8873e-05+0.00057277i,0.0011266+0.00063732i,0.0019581+0.00047236i,0.0014287+0.00049568i,-0.00073292-0.00071084i,-0.0020364-0.0011503i,-0.0023198-0.00062165i,-0.0024702-0.00045984i,-0.0018866-0.00067192i,-0.000239-0.00033839i,0.00098756+0.00041238i,0.00047435+0.00024737i,-0.00066893-0.00013299i,-0.00069025-0.00012443i,-0.00048928-0.00032927i,-0.00072113-0.00088942i,-0.0011839-0.00056335i,-0.0020346+0.00036935i,-0.0021746+0.00038771i,-0.0015171-0.00043549i,-0.00045959-0.00041282i,0.00027506-0.00015718i,0.00031822-0.00018553i
