-0.0017012+0.00089665i,-0.0010599+0.0017853i,-0.0011105+0.00050169i,-0.00091331-0.00092888i,-0.0019688+0.00046988i,-0.0017905+0.0016344i,-0.00091151+0.00083263i,-0.00057424-0.00031806i,0.0002723-0.00081295i,0.0006611-0.00054519i,0.00036487-0.00075908i,0.00022773-0.0011025i,-0.00038021-0.0013323i,-0.0011298-0.001024i,-0.001545-0.00052212i,-0.00047286-0.00020164i,0.0008009+9.5914e-05i,0.0015245-5.7538e-05i,0.0017168-0.00019211i,0.00094303+0.00014365i,-1.5451e-05+0.00068197i,-0.00077497+0.00078949i,-0.00038684+0.00028701i
6.1656e-05+0.0010548i,0.0002663+0.0018708i,0.0011997+0.0014164i,0.0018358+0.00049979i,0.0019325-0.00068488i,0.0020489-0.0014463i,0.0014449-0.001671i,0.00062171-0.00096689i,0.00024064-0.00044801i,-0.00043436-0.00057354i,-0.0010338-0.00026926i,-0.00030426-0.00019962i,4.7585e-05+0.00053529i,-0.00063493+0.0013157i,-0.0011685+0.0014225i,-0.00059184+0.0011849i,0.00037379+0.00075896i,0.0010015+0.00047049i,0.00069332-7.9908e-05i,-8.7443e-05-0.0005094i,-0.0003844-0.00045187i,-0.00048987-0.00063654i,8.2839e-05-0.00090251i
-0.00057305+0.00032588i,0.00023195-0.00013335i,0.00058707-0.00017233i,-3.8872e-05-0.00052804i,-6.3377e-05-0.0013271i,0.00049758-0.0010452i,0.0003113-0.00070823i,0.00076405-0.0013373i,0.00065784-0.0015668i,-7.1317e-05-0.0017656i,-1.5904e-05-0.001812i,-0.0001825-0.00079841i,-0.00057938+0.00024047i,-0.00059773+0.00081242i,-0.00097684+0.0009824i,-0.00086094+0.0013891i,6.1134e-05+0.001125i,0.00079061+2.3981e-06i,0.00077778-0.000596i,-0.00032617-3.661e-05i,-0.00093265+0.00028131i,-0.00059991-0.00056102i,-4.5947e-05-0.0008627i
0.00029354+0.00037807i,6.6974e-05+0.0013049i,-3.8852e-05+0.0011769i,0.00050428+0.00032974i,0.00033046-0.0003261i,4.8396e-05-0.00016583i,0.00020348+1.0069e-05i,-0.00023628+0.00014795i,-0.00054035+0.00025492i,0.00039791+0.00029955i,0.0013501+0.00012192i,0.0014118-0.00034454i,0.00073716+0.00048691i,1.6088e-05+0.0016299i,-5.3819e-05+0.00059698i,-0.00011104-0.00066902i,5.133e-05-0.00075277i,-0.00034999-0.00041866i,-0.001035-0.00023661i,-0.00092347-0.00044737i,-0.00042013-3.04e-05i,-0.00023899+0.00050317i,-3.2009e-05-0.00013173i
-0.00067728+0.00062991i,-0.0013561+0.0011166i,-0.0011593+0.00075813i,-0.00026303+0.00066805i,0.00029372-0.00036451i,0.00095214-0.00065452i,0.0016154-0.00045569i,0.0010025-0.00085381i,-5.4148e-05-0.0011301i,-5.862e-05-0.0010194i,-0.0001356-0.00086489i,-0.00031165-0.00062367i,-0.0005013-0.00033202i,-0.00060486-7.3244e-05i,-0.00070991-0.00028856i,-0.00033255-0.00075203i,-0.00017396+1.3157e-05i,9.7959e-05+0.00074463i,0.0003895-2.8946e-05i,0.00046331-0.00032722i,-0.00025279-0.00040903i,-0.00064387-0.00076771i,-0.0001186-0.00087403i
0.0013693-0.00054424i,0.0014031-0.0015516i,0.0009815-0.0020492i,-0.00010817-0.0018345i,-0.00070546-0.0018912i,-0.0006386-0.0010449i,0.00054411-0.00011165i,0.0012544-0.00040902i,0.00080511-0.0016721i,-3.4213e-05-0.0016337i,-0.00068471-0.0006641i,-0.00026069-5.3336e-05i,0.00060826+0.00031127i,0.00056829+0.00020082i,0.00061167+0.0005792i,0.0009378+0.0009738i,5.006e-06+0.00059584i,-0.00059555+0.00034167i,-0.0004598+8.7911e-05i,0.00022086-5.397e-05i,-8.3245e-05+0.00022154i,-0.00083683+0.0001504i,-0.00083261-0.00038293i
0.00049062-0.00023698i,0.0018984-0.00039705i,0.0025511-0.00053281i,0.0020037-0.00069473i,0.0010246-0.00097628i,0.00058685-0.00032991i,0.00081576-0.00023247i,0.00081816-0.0010017i,3.2139e-05-0.00091498i,-0.00036313-0.0011878i,-0.00041833-0.0013703i,-0.00084878-0.00055634i,-0.00081243+0.00016066i,6.7173e-05+0.00029713i,0.00026283+0.00019432i,-0.00025068+5.0027e-05i,0.00040787+0.00053414i,0.0010562+0.00026651i,0.00088787-0.00011394i,0.00048163-7.1092e-05i,0.00057567+2.6443e-05i,0.00082556+0.00015094i,0.00099804-0.00031725i
-0.00050835+7.4317e-05i,0.00028135+0.00033751i,-0.00021803+8.33e-05i,-0.00049954+2.0763e-05i,-6.2136e-05+0.00069465i,-0.00033793+0.00090896i,-9.5935e-05+0.00076086i,0.00068666+0.00021368i,0.00069024-0.0010601i,-0.00022343-0.0012109i,-0.0015537-0.00073902i,-0.0013542-0.00011056i,-0.00032083+0.00071313i,-8.146e-05+0.0010622i,-0.00096683+0.00088361i,-0.0019024+0.00083575i,-0.0019844+0.00051836i,-0.0010775+5.1211e-05i,0.00011507-0.00028799i,-0.00038283-0.0010178i,-0.00090829-0.0007532i,-0.00057611+0.0007657i,-0.00058937+0.00099609i
0.00050057+0.00064663i,0.00054811+0.00017267i,0.0022029-0.0014724i,0.0024242-0.0022341i,0.00095665-0.002683i,0.00043148-0.0024839i,0.0010529-0.0015042i,0.0019006-0.0025173i,0.001963-0.0048247i,0.0007564-0.0042709i,-1.8739e-05-0.0015186i,-0.00056705+8.4802e-05i,-0.001022+0.0005633i,-0.00064714+0.00046893i,6.4632e-05+0.0001595i,0.0010818-5.4946e-05i,0.0013857-0.00084453i,4.5902e-05-0.00086023i,-0.00045535-0.00059765i,8.087e-05-0.00037549i,0.00016652-0.00030913i,-0.00063255-0.00012108i,-0.00061238+0.00037296i
-0.00087539-0.00033489i,-0.0020549-0.00010552i,-0.0027974-0.00032108i,-0.0021041-0.00034261i,-0.0016856+0.0013146i,-0.00092962+0.0013062i,-0.0016475-0.00028565i,-0.0031935+0.00017413i,-0.0032249+0.0012129i,-0.0018877+0.0023348i,-0.00033922+0.0025959i,0.00055442+0.0010515i,0.0010589-0.00010598i,0.00061536-0.00070647i,-0.0004356-0.0006604i,-0.00074339+0.00015415i,-0.00057467+0.0001925i,-0.00047752-2.9316e-05i,0.0002312-0.00021779i,0.0011179-0.00023542i,0.00051275-0.00035963i,-0.00028645-0.00080795i,0.0001053-0.000466i
4.4124e-05-0.000193i,-0.00053704-5.6993e-05i,2.9391e-06+0.0006945i,-9.7433e-05+0.00024682i,-0.00099932-0.00043748i,-0.00063045-0.0012237i,-0.00023656-0.0012166i,-0.00047348-5.0316e-05i,-0.0011911+0.00098949i,-0.00062698+0.00082617i,5.685e-05+0.00026026i,-0.0001032+0.00017436i,0.00032089+0.00014756i,0.00031168-0.00062441i,-0.00026853-0.00049135i,-0.00064862+0.00082962i,-0.00072243+0.0011906i,0.00013386+0.000634i,0.0011453-0.00028399i,0.00091001-0.00063647i,0.00041692-0.00035641i,0.00097704-0.00022377i,0.00071315+5.9682e-05i
-0.0013319-0.001288i,-0.0018751-0.00081168i,-0.0019182-0.00052835i,-0.0011009-3.5183e-05i,-0.00045449-0.00010901i,5.2511e-05+5.8546e-05i,0.00046284-0.00014872i,-9.376e-05-0.00045669i,-0.00092432-0.00046935i,-0.0012481-0.00073353i,-0.0015537-0.00071207i,-0.00030079-0.00060175i,0.00022116-0.00088468i,-0.0002204-0.00065763i,-0.00036123+0.00020689i,-0.00064679+0.00038781i,-0.00023786+0.00024628i,0.00042634+0.0004807i,0.00053114+0.00060504i,0.00014107-0.00029954i,-0.00021006-0.0012746i,-0.00040079-0.0011819i,-0.00024637-0.00061343i
0.0010255-0.00050655i,0.00065492-0.0014494i,0.00010573-0.00091302i,-0.001462-0.00054978i,-0.0021991-0.00096533i,-0.001324-2.543e-05i,-0.00045386+0.00070485i,-4.0764e-05-0.00014157i,-0.00021678-0.00044791i,-0.00024995+0.0003097i,-0.00014971+0.00089632i,0.00015351+0.0011875i,0.00022383+0.00069547i,-0.00047371+0.00023875i,0.00014526+0.00033166i,0.0008216+0.00046629i,9.0477e-06+0.00014459i,-0.00012664-0.00063703i,0.00025702-0.0011414i,0.00014238+8.9693e-05i,-0.00030906+0.00075446i,-0.00082233-6.8497e-05i,-0.00060608-0.00077166i
-0.0016551+0.00013024i,-0.0010747+0.0012233i,-0.0008096+0.0017867i,-0.00036044+0.0016753i,-1.3168e-05+0.00081933i,0.00066722-0.00067529i,0.00037729-0.0015543i,-0.00059424-0.0021532i,-0.00076509-0.0015961i,-0.00022173-0.00013848i,0.00038575+0.00062415i,-1.3314e-05+0.00025786i,-3.2631e-05-0.00014255i,0.00043944-9.6706e-06i,0.00079657-0.00064493i,0.00054087-0.00098273i,-0.00027-0.00021085i,2.9936e-06-0.00018764i,0.00051656-0.00094699i,-0.00025491-0.00066775i,-0.00062325+0.00037234i,-0.00058245+0.0011362i,4.3212e-05+0.00033084i
-0.0017766-0.0012586i,-0.0029605-0.00071622i,-0.00367+8.5895e-05i,-0.0033008+0.00037132i,-0.0017197+0.00022137i,-0.00041058+0.00069526i,-0.00049992+0.00072553i,-0.00093711+0.00017563i,-0.00086488-0.00021058i,-0.00062874-0.00044397i,-0.00015777-0.00089744i,0.00029902-0.0013671i,0.00027708-0.0016456i,0.00070883-0.0015072i,0.00074428-0.00089976i,-0.00028778-0.00082752i,-0.0010782-0.00077375i,-0.00075769+0.00021971i,-1.1685e-05+0.00098035i,0.00033192+0.0003171i,0.00020805-0.00080923i,0.0009294-0.00070115i,0.0013508+6.9321e-06i
-0.00051319-0.00065005i,0.00043033+0.0001717i,0.00079207+0.00090659i,0.0010377+0.0020104i,0.0014873+0.0021412i,0.0022054+0.0002796i,0.0015468-0.0010023i,0.0008389-0.00066583i,0.00021473-0.0001074i,-0.00019447-0.00026119i,6.6439e-06-0.0007091i,0.00012311-0.0010813i,0.00013902-0.00085323i,-0.00016707-0.0006888i,-0.00026099-0.00025242i,3.4552e-05+0.00089411i,0.00030198+0.0011761i,4.6424e-05+0.00022007i,-0.00029441-0.00015464i,0.0002697+0.00015032i,0.0005332-0.00012498i,0.00012825-0.00055966i,2.337e-06-0.00040173i
3.2971e-05-0.00086914i,0.00021765-0.0012096i,-0.00050195-0.00088308i,-0.0011626-0.0007175i,-0.0016833+0.00033477i,-0.0009741+0.0014274i,0.00046174+0.00070942i,0.00072252-0.00048051i,0.00017479-0.0008214i,-0.00045498-0.00064969i,-0.0012763-6.9949e-05i,-0.00069583+0.00042383i,0.00027187+0.00015709i,-0.00011814-0.00023416i,-0.00040965-6.3346e-05i,-0.00056275+0.000275i,-0.00046103+0.00020342i,-0.00011906-0.00019496i,-0.00020363-0.00033069i,-0.00017882-0.00058456i,-0.00069846+8.406e-06i,-0.0007134+0.0001229i,-0.0002185-0.00050111i
-0.00072764-0.00085366i,-0.0013344-0.0013408i,-0.0024641-0.0016895i,-0.0023396-0.00077111i,-0.002738+0.00032594i,-0.0021872+0.0012794i,-0.00052732+0.00081649i,0.00080255-7.5103e-05i,0.00067368-0.0011713i,-0.00029296-0.0017294i,-0.0011576-0.0010916i,-0.00062233-0.00025655i,0.00016959-0.0001547i,5.8864e-05-0.00043658i,0.00011294-0.0003505i,0.00037573+0.00021392i,5.3652e-06+0.00063395i,-0.00016488+0.0001252i,-0.00033498-0.0005757i,-0.00039376-0.00017678i,-0.00026796+0.00069785i,-0.0002123+0.00063651i,-0.00011217-0.00050123i
0.00022701+0.00012708i,-5.8959e-05-5.0922e-05i,0.0010042+0.00025929i,0.0010704+0.00067129i,0.0007907+0.0003293i,0.00021943+8.5393e-05i,-0.00010118+0.00088642i,-4.3648e-05+0.00061435i,-9.7443e-05-0.00049843i,-7.8751e-05-0.00018742i,-4.3257e-05-0.00023574i,-0.00036053-0.00038669i,-0.00053802-0.00020386i,-0.00051461-0.000725i,6.079e-05-0.00094049i,0.00031348-0.00055878i,0.00019878-0.00021742i,-9.8271e-05-0.00047212i,5.3174e-06-0.0013866i,0.00055768-0.00082637i,8.3223e-05-0.0003595i,-0.00037804-0.00069709i,0.00016288-0.00048913i
-0.0019119+0.00036589i,-0.0014117+8.5487e-05i,-0.00094821+0.00072606i,-0.00014086+0.0012899i,7.455e-06+0.00025365i,-6.8194e-05-0.0014458i,-0.00026441-0.0015644i,5.6968e-05-0.0008274i,0.00057565-0.00043602i,0.00047896-0.00046082i,-9.2689e-05+1.6513e-05i,-0.00023413+0.00021146i,-0.00030006+6.36e-05i,-0.00037628-0.00036683i,-9.8199e-05-0.00073359i,0.00011335-0.00077343i,0.00074027-0.0012371i,0.00046555-0.0014382i,-0.00010542-0.00069982i,-0.00041716+0.00029648i,-0.00035584+0.00040945i,-5.3514e-05+0.00013802i,-4.3523e-05-1.2183e-07i
0.00032008+0.0013791i,0.000321+0.00065652i,-0.0001924+0.00021083i,-0.00070533+0.00018201i,-0.00089039-1.6312e-06i,-0.00078248-0.00049184i,-0.00064514-0.0010179i,-0.00065776-0.00064257i,-0.00032818-0.00026836i,-0.00042834-0.00039615i,-0.00078086-0.00032278i,-0.00070398+0.00041329i,-0.0010165+0.00031942i,-0.0010014-0.00031375i,-2.8628e-05+0.00046693i,4.0568e-06+0.00040745i,-0.00038864-0.0002732i,-0.00041654-0.00041214i,-0.00035625-0.00044065i,-4.5079e-05-7.3119e-05i,-7.6069e-05+4.6425e-05i,0.00066548+1.4125e-05i,0.0010049+0.00053417i
-0.00084484+0.00034833i,-0.00095731+0.00039486i,-0.0015134-0.00086847i,-0.0013547-0.00050824i,-0.001115+0.00083097i,-0.00015459+0.0010596i,0.00030329+0.0002534i,0.00040585-0.000986i,-0.00028951-0.0014409i,-0.001456-0.00066354i,-0.0014409+0.00026432i,-0.00095411+0.00082379i,0.0005605+0.00045704i,0.00089242+0.00016849i,-0.00052336+0.00036164i,-0.00050574+0.00049238i,6.8102e-05+0.00025633i,0.00058891-4.2921e-05i,0.00042667-0.00031298i,-0.00038031-0.00068315i,-0.00060387-0.00054163i,-0.00034856-0.00023402i,-0.0004109-0.00023592i
0.00043431+0.001618i,0.00050759+0.0018474i,0.001457+0.0023008i,0.0029884+0.00076674i,0.002917-0.00084791i,0.0014802-0.0013348i,0.00015274-0.0016596i,-0.0001268-0.0016683i,0.00032861-0.0016763i,0.00034707-0.0016733i,1.1012e-05-0.0012876i,-3.375e-05-0.00077688i,-0.00014232-0.00051568i,-0.00051536+0.00017631i,-0.00023645+0.0011937i,0.00013303+0.0012409i,-4.8824e-05+0.00051165i,-0.00034013+0.00036758i,-0.00055915+0.00033909i,9.6438e-05-0.00074297i,0.00023604-0.00016667i,6.8471e-05+0.00022979i,0.00056533-0.00063209i
-0.00099334-0.00047208i,-0.0017662-0.00071319i,-0.0018521-0.0005395i,-0.00063505-0.00057027i,6.1915e-05-0.00080515i,-0.0001959-0.00056897i,0.00019391-0.00077341i,0.0012299-0.0014817i,0.00068069-0.0023624i,-0.00067057-0.0022021i,-0.00065242-0.0013155i,0.00074739-5.6118e-05i,0.0014535-1.6858e-05i,-0.00013813-0.00014458i,-0.00085516+0.0007222i,0.00038333+0.0013465i,0.0006766+0.00047239i,0.0003876-0.00013451i,0.00015307+0.00026222i,0.00031393-0.00051734i,0.00068461-0.0015851i,0.00047809-0.00094655i,4.6417e-05-0.00034199i
0.0011241-0.00034418i,0.0016796+0.000582i,0.0020824+0.001576i,0.0020464+0.0017831i,0.00092012+0.00068853i,0.00024306+0.00030006i,0.00075582+0.00049987i,0.00049081+0.00079192i,-0.00024874+0.0011541i,-0.00053741+0.00034425i,-0.0006717-0.00020945i,-0.00086048-0.00045396i,-0.00085357-0.00043845i,-0.00031965+0.00024215i,-0.00029295+0.0002984i,-0.00033847+7.4466e-05i,-0.0004036-0.00030699i,-0.00058425-0.00078627i,0.00056932-0.0009143i,0.0015057-0.00069875i,0.0011555-1.4946e-05i,0.00089095+0.00043393i,0.00039396+5.8213e-05i
-0.00022691+0.001416i,-0.0002014+0.0015053i,0.00033193+0.0012368i,0.0011338-0.00036181i,0.0016525-0.0015604i,0.0010913-0.0017302i,0.00037397-0.00065594i,-0.00032101+0.00024049i,-0.00030742+0.00068167i,-0.00019658+0.00064215i,-0.00015241+0.00042492i,-0.00055494+0.00067066i,-0.00037852+0.00044529i,0.00057052+0.00080209i,0.00057199+0.0018705i,0.00049409+0.001494i,0.00014486+0.0011252i,-0.00036639+0.00071052i,-0.0003836-0.00045857i,-9.2948e-06-0.00078609i,0.00082246-0.00055305i,0.00057295+0.00011604i,6.6478e-05+0.00063979i
-0.00018237+0.00015731i,0.00014918-0.00017315i,-0.00028952+0.00017472i,-0.00087258+0.00013116i,-0.0011414-7.638e-05i,-0.00044094-0.00065084i,-0.00023108-0.00057575i,-0.00025298-0.00053835i,-6.9647e-05-0.0011137i,0.00012972-0.0011256i,0.00073324-0.00041556i,0.00076641-9.5228e-05i,0.00020105-0.00017858i,-0.00014383-2.0134e-06i,-8.1008e-06-0.00012694i,1.4156e-05-0.00029369i,-4.2888e-05-0.0004369i,6.9434e-05-0.00074758i,-0.00042997-0.00054951i,-6.7138e-05-0.00037828i,9.7704e-05-0.00022273i,-0.0008998+0.00040127i,-0.00089694+0.00057302i
0.0010405-8.4781e-05i,-2.3084e-05-0.00046974i,-0.00038367+2.9249e-05i,0.00019329+9.7755e-05i,0.00056025-0.00097643i,0.00046418-0.0014863i,0.00074149-0.00081205i,0.00037968-0.00072691i,1.4403e-05-0.0013975i,-7.1316e-05-0.0019903i,0.000212-0.0019241i,0.00021041-0.0011439i,-0.00025884-0.00067561i,-0.00012619-0.00066574i,0.00030295+0.00031906i,0.00060917+0.0010139i,0.0011809+0.0004331i,0.0006637-1.421e-05i,0.0002512+0.00013644i,0.00032599+0.00013825i,-8.5661e-05-0.00024009i,-0.00033593+0.00060818i,-0.00065258+0.0011131i
-0.00086736-0.00094696i,0.0005078-0.00052904i,0.0011476+0.0011633i,0.0011514+0.0012038i,0.00099667+0.00061599i,0.00040134-7.2589e-05i,0.0002483-0.0011639i,-4.5581e-06-0.0013902i,-0.00094936-0.00099804i,-0.0010596-0.00057002i,-3.8259e-07-0.0002593i,0.0008886-0.00020927i,0.0014682-0.00054089i,0.0020115-0.00073058i,0.0018523-0.00076775i,0.00080735-0.00095842i,0.00020164-0.00058262i,-5.401e-05+0.00031009i,-0.00012469+0.00046985i,1.1153e-05+7.725e-05i,0.00040618-0.00038355i,0.00086572-0.00038958i,0.0011424-0.00070602i
-0.00053207-0.00017069i,-0.00042119-0.00033592i,-0.0010462+0.00040483i,-0.0013788+0.00098085i,-0.00045556+0.00066838i,0.00056291-0.00094351i,-9.8863e-05-0.0011484i,-0.00082426-0.00090773i,-0.0010204-0.0019247i,-0.00096068-0.0014337i,-0.0012382+0.00018194i,-0.0013359+0.00080284i,-0.00090935+0.00099419i,-0.00093568+0.00093171i,-0.00063745+0.00040772i,-0.00031299-0.00039708i,-0.00046429-0.00047989i,-0.00058614+0.00064542i,-0.00040254+0.00073304i,-0.00045896+0.00017065i,-0.00058019+0.00020545i,-0.0005254-0.00045977i,-0.0009046-0.001313i
0.00072766+0.00017315i,0.001536-0.00020726i,0.0018128-0.00063664i,6.9216e-05-0.00041895i,-0.0014893-0.00065451i,-0.0012001-3.991e-05i,-0.00026344+0.00057599i,9.8435e-05+0.00023803i,-0.00017724+0.00020453i,-0.00035477+0.00059193i,-0.00022414+0.00088526i,-1.3544e-05+0.00033109i,-0.00014435+0.00016712i,-0.00038831+0.00096051i,-0.0002015+0.00063125i,0.00018114-0.00025187i,-0.00034369-0.00018483i,-0.00053026-0.00023885i,0.00044713-0.00014099i,0.00076888-0.00036098i,0.00014567-0.00059702i,0.00039248-0.00028288i,0.00028084+5.3358e-05i
-0.0002728+9.1532e-05i,-0.00060709-0.00033814i,-0.00032205-0.0010081i,-0.00055554-0.00094941i,-0.0012442-0.00067993i,-0.00092565+0.00017733i,-0.00030342+0.0010797i,0.00066442+0.00040576i,0.00066956-0.00028945i,0.00011396-0.00036898i,0.00047706-0.00012506i,0.00028703+0.0002429i,0.00019201+0.00068621i,0.00036324+0.00067427i,0.0009063+0.00014962i,0.0012116-0.00073135i,0.00065765-0.0009056i,-7.1534e-05+0.00012906i,-3.3826e-05+0.00029917i,0.00050326-0.00015233i,0.00071754-0.00037955i,0.00041757-0.0010455i,0.00013272-0.001099i
-0.00090235-0.0011607i,-0.0016704-0.0015597i,-0.0025024+0.000188i,-0.0021498+0.00084443i,-0.0009327+0.00027225i,2.6533e-05+0.00050463i,6.0865e-05+7.1601e-07i,-8.3064e-05-0.00076615i,0.00083724-0.0008677i,0.0011927-0.00070195i,0.00071571-0.0016295i,0.0005344-0.0027914i,0.00036774-0.0014104i,0.00011467+0.00013155i,2.9309e-05-0.0004333i,0.0002431-0.00048795i,-5.382e-06+0.00047163i,-0.0004118+0.0011372i,-7.513e-05+0.00028949i,0.00037304-0.00028031i,0.00051959+7.4267e-06i,0.00042133+0.00028252i,0.0007894-0.0001264i
0.00069743+1.8937e-05i,0.0016774-0.00089304i,0.0019347-0.00063365i,0.001469-0.0003804i,0.00068713-0.00081717i,-0.00010825-0.00062768i,-7.1607e-05-0.0002483i,0.00028399-0.00078923i,0.00030486-0.0016118i,0.00014271-0.0023362i,-0.00027108-0.0019971i,-0.0013095-0.0012371i,-0.0017463-0.0011167i,-0.00079859+7.4555e-05i,0.00011398+0.0010129i,0.0009659+0.00042419i,0.00076318+0.00029381i,0.00022917+0.0010068i,0.00059981+0.0003866i,0.00081227-6.5015e-05i,-0.00020262+0.00051272i,-0.00067567+0.0002292i,-0.00046829+1.9346e-05i
0.0017888-0.00015766i,0.0014868-0.0006327i,0.00067041-0.0013043i,0.00036883-0.002092i,-0.00016374-0.0023848i,-0.00070189-0.0011401i,-0.00091663+5.5084e-05i,-0.00074254-0.00047979i,-0.0007125-0.0013036i,-0.00092563-0.001352i,-0.00084539-0.0013348i,-0.0004787-0.00068931i,-0.00015724+0.00015522i,0.00031638+0.00052139i,0.00063542+0.00080853i,0.00019101+0.00052341i,-0.00045942+0.00020336i,-0.0011244-0.00030766i,-0.00079319-0.00024432i,-0.00027803+0.00031644i,-0.00048072+0.00019033i,0.0001536+0.00013725i,0.00049344+9.928e-05i
-0.00035534+0.00024702i,1.8279e-05+0.0001351i,0.00059826+3.5247e-05i,0.00046949-9.452e-05i,-0.00072268-0.0015326i,-0.0014781-0.0016788i,-0.0009897-0.00034316i,-0.00053449+0.00035646i,-0.00084441-0.0005178i,-0.0011993-0.0013843i,-0.0014922-0.0007725i,-0.0011493+0.00078417i,-0.00013077+0.0017468i,-0.00049007+0.0016995i,-0.0013029+0.0011398i,-0.0010292-0.00014223i,-0.00060447-0.00028389i,0.00029666+0.00026501i,-0.00015064+4.4343e-05i,-0.00094537-0.0001735i,-0.00083953-0.00017542i,-0.00054828-0.00057015i,0.00016854-0.00070569i
-0.0002949+0.0015271i,0.00055446+0.00070119i,0.0019982+0.0007155i,0.0025955+0.00056262i,0.0022123+0.00011908i,0.001523-0.00046171i,0.0005119-0.00028936i,0.00081499+0.00035375i,0.0010637+0.00055792i,0.00035588+2.3721e-05i,-0.00027321-0.00028515i,-0.00047065-0.00049015i,-0.00018857-0.00038922i,-0.00033756+0.00041539i,-0.0003663+0.0012699i,-5.9305e-05+0.001004i,0.00019517+0.000631i,0.00089264-2.0566e-05i,0.00084755-0.0009596i,0.00054167-0.0011424i,0.00037264-0.00043376i,-0.00039846+2.5903e-05i,-0.00049397+1.329e-05i
-0.00063919+0.00093775i,-0.00059798+0.00051087i,0.00063905+2.8168e-05i,0.0013016+0.00078614i,0.00019861+0.00052054i,-0.00026172-0.00035265i,0.0011094-0.0010274i,0.0015186-0.0011367i,0.0017162-0.0014771i,0.0014142-0.0015136i,0.00083519-0.001258i,0.00024127-0.00076544i,-0.00033351-0.00056923i,-0.00014865-0.00036976i,3.6543e-06-0.00049661i,0.00066172-0.00090334i,0.0014975-0.00054222i,0.0012648-0.00039881i,0.00047905-0.00017387i,0.00033405+0.00025918i,0.0010372-0.00042083i,0.00064825-0.00099369i,-0.00012779-0.00032339i
-0.00043118+0.0007629i,0.00010172+0.0011554i,0.00032099+0.0012855i,0.0010988+0.00072231i,0.0013809+0.00021528i,0.00042101-0.00063072i,-0.00028636-0.0020769i,-4.49e-05-0.0030516i,0.0002333-0.003174i,0.00015807-0.002286i,-0.00020979-0.0016287i,-0.00018324-0.0010429i,-0.00039511-0.00067238i,-0.00055943-0.00068237i,-0.00074092-0.0007556i,-6.2462e-05-0.00048446i,0.00077006+0.00032203i,0.0001753+0.0003252i,0.0003056+0.00019515i,0.00098042+0.00020415i,0.0002571+0.0002134i,0.00032923+0.00043233i,0.00092014+0.00078526i
-0.00029281-0.0011108i,1.1963e-05-0.0011346i,0.00027903-0.0010456i,-0.00053898-0.0009862i,-0.001079-0.0011841i,-0.00074927-8.4959e-06i,-0.00079092+0.00061123i,-0.00048812-2.5322e-05i,-0.00056579-0.00034588i,-0.0015995-0.00067056i,-0.0017537-0.0011779i,-0.0010554-0.00090907i,-0.0004359-5.744e-05i,7.1731e-05+0.00087563i,0.00038249+0.00083422i,0.00071376+3.9651e-05i,0.00020728+0.00015034i,-0.0010161+0.00051013i,-0.00053284+0.0011275i,0.0010241+0.0011475i,0.0013755+0.00024055i,0.00037165+0.00033314i,-0.0008059+0.00068035i
0.00071088-2.8701e-05i,0.000301+0.00049802i,0.0015015+0.00088346i,0.002064+0.00060886i,0.0013501-7.3527e-05i,0.00041959-0.00030729i,2.0275e-05+0.00025007i,0.00012259+0.00077686i,-4.5077e-05+0.00026556i,-8.1719e-05-0.00034393i,-1.9937e-05-0.00045532i,0.00022561+1.1501e-05i,-0.00025025+0.00047374i,-0.00057718+9.192e-05i,-0.00061693-0.00021571i,-0.00015957+0.00024258i,0.00061559+0.00093603i,0.00019957+0.00041855i,-2.3115e-05+0.00032552i,-0.00011703-0.00023626i,0.00077827-0.0013886i,0.00086696-0.00085873i,0.00038171-0.00018808i
4.3761e-05+0.0008815i,-0.00023394+0.0012809i,0.00028412-0.00014031i,0.00057708-0.000684i,-0.00091063-0.00068724i,-0.00090039-0.0011156i,0.00036071-0.00087027i,0.0019005-0.0010924i,0.002331-0.0014589i,0.0009695-0.001476i,-0.00019305-0.00045263i,0.00014734+0.00085657i,0.00074458+0.0015366i,0.00098133+0.0016092i,0.0004447+0.0011341i,2.606e-05+0.00018528i,0.00033473-0.00048241i,0.00037245-0.00021418i,-7.076e-05+9.4738e-05i,6.7697e-05+0.00014024i,0.00042873+0.00025735i,0.00054763-0.00039295i,-0.00011738-0.00064344i
1.7472e-05-0.00036168i,0.00070526-0.00036748i,0.00030631+0.00027069i,-0.00051004-0.00035705i,-0.00042122-0.0013367i,-1.9618e-05-0.00093393i,0.00041459-0.00089793i,0.0010547-0.00137i,0.00080925-0.0013005i,0.00018271-0.00044284i,0.0001335-0.00022499i,0.00039038-0.0010243i,0.00079264-0.00098971i,0.00051707-0.00014546i,0.00011606+0.0004172i,0.00018701+0.00052664i,0.00018247-0.00054447i,0.00017071-0.0013051i,-1.7566e-05-0.0009054i,-0.00025221-0.00044394i,-0.00019247-0.00024397i,-0.00013244+8.3439e-06i,0.00013555+0.00067358i
