2.4199e-05-0.0006671i,0.00014922-0.001781i,-0.00013845-0.0021599i,-0.00037367-0.0020725i,-0.0013945-0.001756i,-0.0011055-0.00094054i,0.00025391-0.00027582i,0.00034257-0.0001489i,-3.9772e-05-0.00013134i,0.00026673-0.00013282i,0.00033096-0.00067967i,5.2272e-05-0.0011083i,-0.0001127-2.5226e-05i,-0.00018575+0.0007633i,-0.00010375+0.00064254i,-0.00046884+0.0010389i,-0.00077194+0.001201i,-0.00050544+0.00039969i,8.9983e-05-0.00064953i,0.00054519-0.0012186i,-0.00022271-0.0010421i,-0.00041465-0.00081679i,0.0003909-0.00059033i
-5.2316e-05-0.00092666i,0.00012269-0.001071i,0.00055604-0.001049i,0.0013568-0.00068772i,0.0013857-0.0013545i,0.0011904-0.0017373i,0.0014957-0.001387i,0.0010395-0.0016452i,0.00039693-0.0016539i,0.00016227-0.0012616i,0.00017891-0.00062612i,-0.00020652+5.8189e-05i,-0.00062488+6.7674e-05i,-0.00047885-0.00033724i,-0.00019719+0.00011234i,-0.00011487+0.00056319i,-0.00063065+0.00050033i,-0.0010098+0.00010683i,-0.00046864-0.00036943i,0.00038358-0.00029343i,0.00064985+0.0004311i,9.1917e-05+0.00078238i,-0.00040805+0.0010237i
-0.0019308-0.00072364i,-0.0011723-0.00078471i,0.00023899-0.00044173i,0.0014889-0.00027538i,0.0021136+2.682e-05i,0.00191+0.00057501i,0.0016192+0.00076803i,0.0010637+0.00029015i,0.00024472-0.00012254i,0.00012051-0.00030937i,1.5197e-05+4.0488e-05i,7.6225e-06+3.8518e-05i,0.00036511-0.00053902i,0.00056033-0.0004639i,-0.00028659+0.00015244i,-0.00050604-8.1071e-05i,0.00011695-0.00070547i,-9.5447e-06-0.00027331i,-0.00020546-0.00011567i,-0.00036136-0.0008038i,-0.00030975-0.00072631i,-0.00034793+0.00052224i,-0.00050876+0.00041613i
0.0017726+0.00031842i,0.0012578-0.00017898i,0.0011743-0.00031408i,0.0020608-0.00045578i,0.001696-0.00079774i,0.00093851-0.00076714i,0.00095441-0.00019095i,0.00081246-4.0143e-05i,0.00074716+3.36e-05i,0.00077493+0.00042191i,0.00054245+0.00089902i,-0.00019881+0.0013428i,-0.0017231+0.0011776i,-0.0018414+0.00041328i,-0.00077787-0.00011595i,-7.5694e-05-0.00021797i,1.3643e-06+0.00019265i,-0.00024421+0.00062966i,-0.00016811+0.00039772i,4.0699e-05+0.00019676i,0.00033891+0.00015541i,-9.4386e-05-2.5092e-05i,-5.1196e-05+0.00028928i
0.0012599+0.0014992i,0.00022637+0.00099836i,0.00080281-0.00057768i,0.002168-0.0013792i,0.00233-0.0018039i,0.0017264-0.0015486i,0.0016535-0.0011304i,0.0022455-0.00084118i,0.002376-0.0007733i,0.00076539-0.00028943i,-0.0010006+0.00055411i,-0.00023872+0.00033527i,0.00026136-9.0465e-05i,-0.00070298-0.00019457i,-0.00097218-0.0002509i,-0.0012343+0.00011429i,-0.0014616+0.00063423i,-0.00027374+0.00036578i,0.0002511+0.00030774i,-0.00011186-0.00033747i,-0.00040405+0.00020914i,-0.00047822+0.00088387i,-0.0011891+0.00051381i
-0.00083593+0.0010922i,-0.0004215+0.00059283i,0.0013658-0.00068264i,0.001708-0.0010856i,0.0013129-0.0011467i,0.0013781-0.00061054i,0.00094962+0.00025752i,-0.00012034-0.00034712i,-8.0407e-05-0.0005996i,-0.00029393+0.00043424i,-0.0011597+0.0010972i,-0.00082632+0.00059125i,-0.00071185-0.00032493i,-0.0012795-0.0006988i,-0.0012485-0.00073326i,-0.0005959-0.00049073i,-0.00018528+0.00069135i,6.3979e-05+0.00070766i,6.4572e-05-0.00055536i,0.00019917-0.00082927i,-7.8542e-06-0.0012227i,-0.00011002-0.0010894i,0.00040584+7.9431e-05i
-0.0014116-0.0014937i,-0.0006204-0.0013438i,-0.00083241-0.00051824i,0.0001182+0.00055984i,0.001729+0.0012921i,0.0022129+0.0012927i,0.0017358+0.00033134i,0.00095802-0.0010074i,-0.00036594-0.0009098i,-0.0016049+0.00014894i,-0.0012636+0.00093258i,0.00017337+0.0010958i,0.00058289+0.00031857i,0.00019939-0.00036285i,-4.1542e-05-0.00012417i,0.00020744-0.00015198i,-0.00037077-0.00044396i,-0.00097531-0.00042199i,-0.00095453-0.00018503i,-0.0013459-0.00060885i,-0.0013111-0.00020208i,-0.00065999+0.00047404i,0.00020546+0.00049651i
-0.0014415+0.0013878i,-0.00036201+0.00070276i,0.00034955-1.5597e-05i,0.00066141+4.0886e-05i,0.0010744-0.00059112i,0.0016443-0.00064016i,0.0017195-0.0007641i,0.0010114-0.00068846i,0.00021304+0.00058568i,-0.00032291+0.00079884i,-0.00076391+0.00028679i,-0.0015223+0.00071312i,-0.0014881+0.0007572i,-0.00067024+0.00020322i,-0.001054-0.00066513i,-0.0016101-0.00081385i,-0.0011814+0.00016061i,-0.00065472+0.00018438i,-0.00046718-0.00083397i,-0.00052628-0.00085845i,-0.00011272-0.00054597i,0.00022532+5.2289e-05i,6.3557e-05+0.00040284i
0.0011288-0.0001978i,0.00088743-0.00023933i,0.0010933-0.00015218i,0.0019404-0.00037158i,0.0022028-0.00064376i,0.001795-0.00071826i,0.0018359-0.00018693i,0.0015429-0.00010614i,0.00057524-0.00044958i,2.3107e-05-0.00017876i,-0.00099079+0.00056704i,-0.0017724+0.001135i,-0.0015361+0.0015983i,-0.001245+0.0016543i,-0.00035256+0.00086799i,-0.00038022+0.00043124i,-0.00056539+0.00020543i,-0.00061099+0.00033839i,-0.0009628+0.00085279i,-0.00050414+0.00069622i,4.3487e-06-0.00022443i,0.00039181-0.00093956i,0.00023522-0.00061619i
0.00056904+0.0010565i,0.001566+0.00039015i,0.002365-6.1189e-05i,0.0026863+8.6475e-05i,0.0031725-0.00053902i,0.0023619-0.0012611i,0.0011189-0.001199i,0.00022167-0.000788i,-0.00039263-0.00056357i,-0.0016041-6.6077e-05i,-0.001949+9.0904e-05i,-0.0011701+0.00019016i,-0.00063086+0.00058691i,-0.00049743+0.00032829i,-0.00039854-3.9658e-05i,-0.00045367-3.0725e-05i,-0.00041422-0.00032614i,-0.00023582-0.00057447i,-4.4764e-05-0.00043526i,0.00014511-0.00014941i,-0.00039848-0.00016708i,-0.00050056+8.366e-05i,-0.00043392+0.00045059i
-0.0010859+0.0010089i,0.00022498+0.0007028i,0.00099579+0.0016422i,0.00073958+0.0015145i,0.0017875+0.0016071i,0.002483+0.00076515i,0.0022288-0.0013116i,0.001018-0.0017341i,-0.00056247-0.001245i,-0.0012567-0.00061341i,-0.001588+0.00016475i,-0.001029+0.00017339i,-0.00049615+0.00033038i,-0.00047729-6.7296e-05i,-0.00085374-0.0003624i,-0.00054265-0.00051019i,-0.00011039-0.0006585i,-0.00049697-0.00071371i,-0.00058518-0.00040627i,-0.00062877-1.7126e-05i,-0.00064673+2.765e-05i,-5.4208e-05-5.728e-05i,0.00024557+3.7936e-05i
-0.0020261-0.0017134i,-0.0022908-0.0010489i,-0.0023605+0.00070952i,-0.0013719+0.00067711i,-0.00024738+0.00057567i,0.0011641+0.0011507i,0.0019877+0.00037568i,0.001214-0.00060739i,0.00047008-0.00056664i,8.3389e-05-0.00045504i,-0.0001815-0.00054185i,-4.5098e-05+8.1459e-05i,0.00039187+0.00061162i,0.00023591-0.00038966i,2.1983e-05+2.7745e-05i,-0.00016561+0.00090082i,-0.0001742+8.4879e-05i,-0.00068856-0.0012135i,-0.00080282-0.0014601i,-0.00085764-0.0007257i,7.5151e-05-0.00041066i,0.0011424-0.00037784i,0.00055067-0.00014357i
0.00076778+0.0021129i,0.0021836+0.0014556i,0.0035602+0.0002403i,0.0035277-0.00094406i,0.0029494-0.0026368i,0.0016649-0.0029091i,0.00064774-0.00090164i,0.00085384+0.00070329i,0.00084062+0.00088582i,7.2379e-05+0.00057968i,-0.0013667-0.00016922i,-0.0025666-0.00021959i,-0.0025958+0.00036157i,-0.0016186-0.00011996i,-0.00070237-0.00072608i,-0.00024178-0.0011912i,7.7617e-05-0.00075038i,0.00027265+0.00017496i,7.0017e-05-0.0002487i,7.1677e-05-0.00038384i,-0.00033776-0.00039418i,-0.00037725-0.00042689i,0.00026115-0.00026719i
0.00089241+0.0006741i,0.0012112+4.0016e-05i,0.0026662-0.001017i,0.0032116-0.0027514i,0.002234-0.0031788i,0.0013032-0.0020187i,0.00090786-0.00034299i,0.00012178+0.00051945i,0.00039725+8.1541e-05i,0.00094684-0.00030595i,4.1979e-05-2.2859e-05i,-0.0012483-0.00015446i,-0.0018119-0.00074363i,-0.0013282-0.00026525i,-0.00029008-8.2398e-05i,0.00055411+0.00031567i,0.00055663+0.00093723i,-0.0001603+0.00043495i,0.00015623+0.00014454i,0.00037774+0.00046641i,4.322e-05+0.00077167i,0.00016293+0.00086126i,-0.00011043+0.00050792i
0.0013085-0.001821i,0.0010699-0.0018497i,0.00078555-0.0015456i,0.00031042-0.00095745i,4.2837e-05+3.4326e-05i,0.00064833+0.00014477i,0.0015153-6.3897e-05i,0.0015557-0.00058416i,0.0005872-0.0011946i,-0.00035855-0.0014673i,-0.00038557-0.0012825i,0.00011383-0.0005889i,-0.0004203-0.00038247i,-0.0010274-0.00037421i,-0.0010391-0.00030516i,-0.00071507-0.00093315i,-5.6389e-05-0.00095822i,0.0003331-0.00053211i,-2.1487e-05-0.00014038i,-0.00021289-0.00048126i,0.00031236-0.00024509i,0.00088819+0.00044447i,0.001031+0.00055445i
0.00043014+0.0019282i,0.002251+0.0019619i,0.0024087+0.0019406i,0.0025235+0.00032169i,0.0018059-0.00024292i,0.0010992-0.00095106i,0.0010913-0.001595i,0.00025716-0.00098862i,-0.00064018-0.00058627i,-0.00036095-0.00078974i,0.00018794-0.00067362i,-0.00014965+8.1337e-05i,-0.00036307+0.00016961i,-0.00084565+0.00010065i,-0.0014391+3.039e-05i,-0.00047328+0.00051449i,0.00065871+0.00046067i,0.0011348-0.00021609i,0.00029964-0.00091347i,-0.00066028-0.00080949i,-0.00074207-0.00032713i,-0.00099726-0.00039822i,-0.00073789-0.00019045i
-0.00076134+0.0017275i,0.00019275+0.00038748i,0.00075568-0.00058041i,0.001725-0.0014399i,0.0023591-0.002183i,0.0017195-0.0020096i,0.00077251-0.0004826i,0.00065617-0.00019721i,0.0012409-0.00086406i,0.00094319-0.00064147i,5.8689e-05-0.0002981i,-0.00073438-0.00067194i,-0.0014789-0.00084638i,-0.0011179-0.00097623i,-0.00035382-0.00097083i,-0.00027567-0.00030586i,0.0006108-0.0001147i,0.00042537-0.00064109i,-0.00025215-0.00075125i,0.00061856-0.00016668i,0.00057576-0.00028033i,0.00055966-0.00058455i,0.00084885-0.00019338i
-0.00074043+0.00038052i,0.00058715-0.00047714i,0.001231-0.0011443i,0.0018854-0.0012092i,0.0024552-0.00070277i,0.001944-0.00082599i,0.0012775-0.0013222i,0.0014652-0.00080989i,0.0011711-0.00013022i,0.00017658-0.00065961i,-0.00040366-0.000723i,-0.0011095-0.0006309i,-0.0019286-0.00099829i,-0.0015654-0.00043122i,-0.00044778-0.00055136i,7.618e-05-0.00072928i,8.2058e-05+0.00014266i,6.1714e-05+0.00072752i,0.00078333+0.00040041i,0.00088518+0.0001239i,0.00036248+0.00030966i,-0.00039258+0.00057382i,-0.00078002+0.00046136i
0.0012185-0.0002306i,0.0011632-0.0001228i,0.0021801-0.00042569i,0.0029667-0.0017411i,0.0019557-0.002161i,0.00015135-0.0015355i,-0.00050662-0.001112i,-1.6836e-05-0.0013742i,0.00072515-0.00066548i,0.00056526-0.00023272i,-0.00043979-0.0012233i,-0.00083036-0.0015225i,-0.00040731-0.0011562i,6.9868e-05-0.00041484i,0.00058342+0.00043985i,0.00034667+0.00015028i,-0.00038111+0.00030144i,-0.00075118+0.0006196i,-0.00066054+0.000357i,-9.0922e-05+0.00066654i,0.00026788+0.00028765i,0.00021244-0.00085858i,-4.379e-05-0.00114i
-0.00020446-0.0013255i,0.00058824-0.00058888i,0.0015791-0.00033018i,0.0015636-0.0011198i,0.0010503-0.0016751i,0.00084998-0.0012555i,0.0012493-0.0012964i,0.0013545-0.0011921i,0.0002767-0.00022595i,-0.00039785+0.00043434i,-0.00094128+0.00035763i,-0.0011758-0.000562i,-0.0011784-0.00095872i,-0.00072838+0.00018892i,0.00010642+0.00048799i,0.00081911-9.7312e-06i,0.00071641+0.00050304i,0.00025515+0.00035695i,0.00037272-0.00045538i,0.00050544-0.0002666i,0.00015181+0.00053273i,-0.00017748+0.00021835i,-0.00057867-0.00027489i
0.0018909+0.0010686i,0.0028246+0.0010564i,0.0032909+0.00015312i,0.0033374-0.0003786i,0.0025258+0.00039743i,0.0015986+5.802e-05i,0.00078273-0.00087783i,0.00061345-0.000783i,0.0005012-8.3058e-05i,-1.2676e-05+3.73e-05i,-0.00018293-8.383e-05i,-0.00054253-0.00051999i,-0.00097395-0.0011208i,-0.0012761-0.0010887i,-0.0015042-2.0892e-05i,-0.00067865+0.00033676i,0.0001823-3.0665e-05i,0.00018218-8.9671e-05i,0.00024872-9.3947e-05i,0.000249+0.00024566i,0.0004255+0.00037054i,0.00084821+3.3776e-05i,0.00024008+8.6919e-05i
0.00040518+0.0019412i,0.0009441+0.0012142i,0.0010532+0.00081023i,0.0012522+0.0001748i,0.0012987+2.3672e-05i,0.00089244-1.9924e-05i,0.0012709-0.00056049i,0.0012802-0.00034503i,0.00018203+0.00030207i,-0.00023945+0.0008522i,0.00031305+0.00062865i,0.0010099-0.00087286i,0.00028256-0.0015522i,-0.00026185-0.0013986i,-0.00031333-0.00075277i,-0.00020807+0.00042196i,9.7882e-05+0.00061591i,0.00055027+4.8369e-05i,0.00089176+0.00050746i,0.00053916+0.00031256i,0.00024134-0.00089546i,-0.00044174-0.00072437i,-0.00082738+1.803e-05i
-0.00050153+0.00026901i,0.00084948+0.00014419i,0.0015388-0.00075423i,0.001813-0.0009379i,0.0023241-0.00099283i,0.0018018-0.00080841i,0.00070781-0.00059295i,0.00041818-0.00064632i,0.00046018-0.00011375i,-0.00024196+0.00046476i,-0.00063696+0.00042564i,2.0586e-06-0.00051567i,0.00018688-0.0013763i,0.00028823-0.00069015i,0.00035923+0.00045037i,-0.00014762+0.00071093i,0.00012125+0.00093962i,0.00018296+0.0011031i,-0.0005487+0.00078582i,-0.0010565-0.00021695i,-0.00013823-0.0012014i,0.0006654-0.00061735i,0.00015007-0.00012136i
-0.001065-0.00067952i,-0.00087473+0.00032085i,-0.0002316+0.00016243i,0.0011737-0.00082134i,0.0021883-0.001286i,0.0020867-0.0010257i,0.0012521-0.00098173i,0.00069029-0.00060916i,0.00057165-0.00025941i,0.00037266-0.00024528i,-0.00041856-0.00010506i,-0.00080033-0.00062008i,-0.00034524-0.00079452i,1.7424e-05-0.0005243i,0.00013669-0.00096417i,-0.00097738-0.0010889i,-0.0010569-0.00026399i,-0.00026115+0.00067735i,0.00027189+0.0006941i,3.8438e-05+0.0001866i,8.1631e-05+0.00030414i,-0.00028862+0.00032947i,-0.00035796-8.7468e-05i
0.00050778-0.0015383i,-0.0004212-0.0015451i,-0.0004098-0.0022268i,0.00052564-0.0028718i,0.00072713-0.0018167i,9.0432e-05-0.00015513i,0.0002845+0.00046092i,0.0013074+0.00059527i,0.0012925+0.00029515i,-0.00027671-0.0001027i,-0.00045973+6.0246e-05i,6.1821e-05+0.00028829i,8.7497e-05-0.00023008i,0.0003458-0.00041375i,-0.00019396+1.156e-05i,-0.00034376+0.000342i,0.0002224+0.00034068i,0.00052014+0.00039783i,0.00053881+3.2741e-05i,-0.00012283-0.00016283i,-0.00057029+0.00024733i,0.00049822+0.00079294i,0.00070006+0.0010087i
-0.00026892-0.00059617i,0.00056373-0.00062719i,0.0012221-0.0011459i,0.0019784-0.0014082i,0.0023316-0.0010114i,0.0022492-5.3417e-05i,0.0013641+0.00031816i,0.00040232-0.00070451i,0.00044084-0.00089547i,0.00041298+7.9364e-05i,0.00035398+1.9977e-05i,-0.00047562-0.00063508i,-0.00079482-9.9201e-05i,-0.00029152+0.00028698i,-0.00025948-1.2618e-05i,-0.00034222+0.00024201i,-0.00032993+0.00023301i,-0.00015614-3.9754e-07i,6.1757e-06-0.00043103i,-0.00023748-0.00031265i,-0.00060562+0.00029491i,-0.00076709+0.00054936i,-0.0010283-8.6081e-05i
-0.00051199+0.00063467i,-0.00079799+0.0011483i,-0.0002052+0.00090219i,0.00071885+0.00061853i,0.001588+0.00013404i,0.0013523-0.00082674i,0.00069826-0.0011271i,0.00051716-0.00044925i,-0.00036617-0.00016236i,-0.0010251-0.000174i,-0.00036088+0.00024949i,-3.1193e-05+0.00023034i,-0.0002994+0.00021964i,-0.00091887+0.0005726i,-0.00098882+0.00056696i,-0.00029768+0.00070322i,-0.00015094+0.00048305i,-0.00010185-0.00015027i,0.00033216+0.00016964i,0.00060374+0.00063795i,0.00062225+0.00051682i,0.00026624+0.00061591i,6.3062e-06+0.0013788i
-0.0021672+0.00067816i,-0.0015317+0.00017144i,-0.00068784+0.00094289i,-0.00013472+0.0016838i,0.00049509+0.0012385i,0.0010622+0.00047083i,0.0013492-0.00056793i,0.00094101-0.00099989i,0.00013115-0.0010454i,-0.00094263-0.00056052i,-0.0008941-0.00010674i,0.00017502-0.00066755i,0.00072783-0.0012997i,-0.00013895-0.00075493i,-0.0012536+0.00042273i,-0.0012671+0.0012981i,-0.0011073+0.0014396i,-0.00036062+0.0009408i,1.4651e-05+0.00040753i,-0.0002443+0.00010483i,-0.00025222+5.9244e-05i,-0.00029973+6.4343e-05i,-0.00051899-0.000229i
-0.0036641-0.00051087i,-0.0026626-8.522e-05i,-0.00076918-0.00042771i,-0.00048798-0.001234i,0.00024915-0.001666i,0.0011584-0.001899i,0.0015262-0.0015977i,0.0011497-0.00095399i,-1.3083e-05-0.0008315i,-0.0010724-0.00061117i,-0.00087677-0.0003821i,-0.00014134+0.00049992i,0.00062843+0.0015888i,0.00050018+0.0010335i,1.802e-06+0.00055679i,-0.00049164+0.0013124i,-0.00049132+0.0015065i,0.00038643+0.0012649i,0.00097504+0.00081983i,0.0012954+0.00020402i,0.00085171-0.00051449i,0.00044577-0.00042047i,3.6949e-05+0.00064449i
-0.00035815-0.00015225i,-0.0011335-0.00098729i,-0.0002737-0.0021877i,0.00060061-0.0020199i,0.00071054-0.00097527i,0.00035242-0.00014839i,0.00066613+0.00060495i,0.00097855+0.00041432i,0.00044786-0.00027207i,-0.00032032-0.00010339i,-0.00056175+0.00021165i,-2.9582e-05+0.00036106i,0.00012229-9.5648e-05i,0.00045496-0.0004523i,0.00044396-0.00056701i,-0.00028848-1.014e-05i,-0.00042064+0.0006895i,-0.00055736+0.00055816i,-0.000252-9.9141e-05i,-0.0003197-0.00035529i,-0.00071216-0.00078869i,-0.00042895-0.0012042i,-9.3115e-05-0.00077543i
-0.002446-0.0024614i,-0.0016015-0.001375i,-0.00043628-0.00095163i,-0.00011798-0.0011016i,-6.9815e-05-0.00071577i,0.00082197+1.3627e-06i,0.00087605-0.00052795i,0.00028043-0.0015724i,-0.00040837-0.00093813i,-0.00068364-0.00010418i,-0.00049683+0.00037402i,-0.00049895+0.0003703i,-0.00039237+0.00033453i,-0.00018043+0.00027478i,-0.000395+4.6221e-06i,-0.00095687+0.00017081i,-0.0011951-0.00015794i,-0.00084952+0.00033401i,-0.00053181+0.00093671i,-0.0012796+0.00025067i,-0.0013766-0.00077811i,-0.00025827-0.00070681i,0.00064364-0.00022123i
-0.00016351-0.0031166i,-0.00030357-0.0032521i,-5.27e-05-0.0022123i,0.001313-0.0017347i,0.0014819-0.00056185i,0.00024813-0.00011961i,9.2374e-05-0.00067934i,0.00043641-0.001029i,-6.2829e-05-0.0012892i,-0.00061034-0.00055287i,-0.0007363-0.00010327i,-0.00074325+0.00011672i,-0.00053906+0.0010582i,-0.00069901+0.0013642i,-0.00053403+0.00077569i,-0.00051361+0.00067312i,-0.0013942+0.00072149i,-0.0015284+0.00056297i,-0.0011301+7.9843e-05i,-0.00055574-0.00042007i,0.00020212-0.0008045i,0.00033799-0.00062098i,-0.00022125+6.7038e-05i
0.0017866-0.0015714i,0.0018157-0.00082979i,0.0015129-0.0007546i,0.0020354-0.0013775i,0.0023335-0.00095405i,0.0019569-0.00071817i,0.0015096-0.00055843i,0.0013255-0.00064648i,0.0012786-0.00055849i,0.0009035+0.00015675i,-0.00040959+0.00076119i,-0.0010111-4.174e-05i,-0.00033084-0.00073884i,-0.00062251+0.0002505i,-0.0014904+0.0007471i,-0.0015338+0.0010126i,-0.0014454+0.00087729i,-0.0010494+0.00035758i,-0.00037164+0.00056555i,-0.00011952+0.00028152i,-2.8027e-05-0.00025125i,-0.00035982+8.3973e-05i,-0.0007874+0.00064968i
0.0030741+0.0032717i,0.0022013+0.0028029i,0.0021008+0.0017209i,0.0026539+0.00014801i,0.0032953-0.0016206i,0.0018472-0.0011154i,0.00030841-0.00073502i,0.00050906-0.0013517i,0.0010066-0.00082954i,0.00092202-0.00034295i,0.00037489-0.00013842i,-0.00016057+0.00040487i,-0.0010694+0.00088717i,-0.0021376+0.00071037i,-0.0019345+0.00028665i,-0.00084777+6.3526e-05i,-0.00037441-0.00028066i,-0.00061002+0.00023428i,-0.00018348+0.00027781i,-0.00041577-8.2758e-05i,-0.0013075+0.00073737i,-0.001251+0.00064721i,-0.00056444+9.3973e-05i
0.0015714+0.0021007i,0.0025722-0.00034481i,0.0020993-0.0022875i,0.0010677-0.0018527i,0.00029174-0.00035618i,0.00014516+5.5668e-06i,0.00024277-0.00030996i,0.00036805-0.00078261i,0.00036421-0.00048845i,0.00015049+0.00022064i,-0.00025924+0.00029593i,-0.0010875+0.00063034i,-0.0014654+0.0011952i,-0.00085245+0.00098103i,-0.00062055+0.0007739i,-0.00034993+0.0011055i,4.9287e-05+0.00085441i,-0.00026938+0.00011848i,-0.00051359+2.0594e-05i,0.00017578+0.00036043i,0.00010065-3.6357e-06i,-0.00027181-0.00033257i,0.0002087+0.000493i
-0.0023348+0.0029328i,5.0196e-05+0.0021625i,0.0018622+0.0017321i,0.0023608+0.0015549i,0.0021092+0.0010816i,0.001829-0.00039633i,0.0016933-0.0010426i,0.0017711+0.00077996i,0.00090042+0.0015381i,0.000121+0.00079798i,-0.00047575+0.00097789i,-0.0011358+0.0012565i,-0.0011766+0.0010872i,-0.0014715+0.0012948i,-0.0022439+0.00071756i,-0.0018521+0.00016803i,-5.95e-05+0.0002005i,0.00089694-0.00018942i,0.00050005+0.0003475i,0.00038334+0.00074058i,-0.00031805+0.00017893i,-0.0011861+1.8025e-06i,-0.0011188+0.00025497i
-0.0017869-0.00058196i,-0.00046072+0.0007805i,0.0013271+0.00025817i,0.0024335-0.0011076i,0.0026738-0.0010514i,0.0020839-0.0003841i,0.00092193+0.00017559i,4.1313e-06+0.00018654i,-0.00067436-0.00017787i,-0.00051469-0.00041319i,-0.00041514-0.00023498i,-0.0016057+0.0004475i,-0.0021282+0.0013763i,-0.0013613+0.001146i,-0.00088541+0.00031129i,-0.00040041+0.00085314i,-0.00038981+0.0014165i,-0.0011524+0.00073285i,-0.00092526-0.00015859i,-0.00026951-0.00037877i,-0.00018184-0.00049202i,-0.00060609-9.9145e-05i,-0.0011782+0.00049319i
0.00064688-0.0025283i,0.00079045-0.0025354i,0.0006264-0.0015297i,0.0011562-0.00071054i,0.0014081-0.0011212i,0.0009967-0.00071725i,0.000638-0.00074164i,0.00089591-0.00062178i,0.0010447+0.00026628i,0.00072584+0.0005419i,-0.00031619+5.557e-05i,-0.0020834-0.00038612i,-0.0024198-0.00021344i,-0.0015615-0.0002073i,-0.00090778-0.00044573i,-0.00099835+0.00010091i,-0.0012098+0.00039879i,-0.00077823-0.00012144i,6.818e-06-0.00047424i,0.00011394-0.00048706i,-0.00050164-0.00029365i,-0.00047568+0.00039743i,1.2111e-05+0.00024059i
0.0020373+0.0015069i,0.001917+0.00061538i,0.0031493-0.0010183i,0.0034177-0.0018325i,0.0028488-0.0021933i,0.0016532-0.0022482i,0.00061231-0.0015852i,0.0003604-0.00091426i,0.00014201-0.00013983i,-0.00031581-0.00016328i,-0.00037691-0.00092163i,-0.00059113-0.00074212i,-0.0014403-5.5655e-05i,-0.0018138+4.7247e-05i,-0.0011719+0.00039633i,-0.0010041+0.00092113i,-0.0010334+0.00028397i,-0.0010067-0.00025793i,-0.00082212-1.2647e-05i,-0.00073398-6.3399e-05i,-0.0012453-0.00039789i,-0.0012682+2.6365e-05i,-0.00028786+0.00042487i
0.0011544+0.001553i,0.00084948+0.00112i,0.002352-0.00018469i,0.0029076-0.001368i,0.002389-0.001402i,0.0018162+0.00040591i,0.00085873+0.0013291i,0.00035668+0.0010376i,0.00049524+0.00058135i,-0.00018154+0.0003172i,-0.0013848+0.00015543i,-0.0021181-0.00062261i,-0.0020726-0.00075934i,-0.0018464-0.00019424i,-0.0017153+0.00014868i,-0.0018386+0.00042632i,-0.0019196+0.00033765i,-0.0015763-0.00013463i,-0.0013109-0.0011913i,-0.0010444-0.0013772i,-0.00044281-0.00059398i,-0.00031136-0.00018561i,-0.00052105-0.00038542i
-0.00071356+0.0016727i,0.00088416+0.0019409i,0.0011115+0.0023728i,0.0015495+0.0015888i,0.0023983-9.4649e-06i,0.0022626-0.00062146i,0.0012593-0.00018278i,0.00064848+0.00016535i,0.0002394+0.00067948i,0.00057636+0.00027401i,0.00055717-0.0010577i,-0.0002718-0.0016904i,-0.0017111-0.0014587i,-0.0024407-0.00071842i,-0.0020794-0.00014422i,-0.0017893-0.00017348i,-0.00091248+0.00027072i,-0.00048968+0.00066821i,-0.00056095+0.0005097i,-0.00013018+2.3902e-05i,-0.00013619+0.00025168i,-0.0010577+3.5017e-06i,-0.00076665-0.00089186i
0.0019641-0.0014127i,0.0018298-0.0012906i,0.0020411-0.0010937i,0.0020242-0.0014203i,0.0019287-0.0015903i,0.001303-0.00093545i,0.00032254-0.0001915i,-0.00016181-0.00066689i,-0.00043269-0.0010778i,-0.00077336-0.00014614i,-0.0010404+0.00024973i,-0.00050137-0.00018407i,-0.00072235-0.00073024i,-0.001943-0.00087155i,-0.0016608-0.00097473i,-0.00051388-0.0009193i,-5.0662e-05-0.00027035i,0.00023144+0.00033531i,0.00019659+0.00034633i,-0.0004001-0.00025304i,0.00013116-0.00062565i,0.00040889-0.00034683i,0.00012216+0.00024703i
-0.0014516-0.0015019i,-0.00098436-0.0010313i,-0.00034497-0.00039706i,0.0004886-0.00017486i,0.0017065-4.6019e-05i,0.0019218+0.00050597i,0.0016124+0.00059566i,0.00119+0.00018428i,0.00058918-0.00068537i,-0.00022858-0.0012534i,-0.00064371-0.0010755i,-0.00051216-0.0010712i,-0.00024695-0.0014027i,-0.00017714-0.0014569i,-0.00056552-0.0010284i,-0.00051788-0.00022984i,-0.00030346+0.0007665i,-0.00015349+0.00060877i,-0.00031163-0.00031841i,-0.00053781-0.00049862i,-0.00041845-0.00030728i,-0.00036539-0.00037134i,-1.594e-06-0.00073441i
0.0036008-0.0011009i,0.0029575-0.0022809i,0.0031111-0.0031817i,0.0028891-0.0036808i,0.0012825-0.0025004i,-0.0001824-0.00073579i,0.00017068+0.00028602i,0.00070837-3.3676e-05i,0.00080253-0.00094332i,0.00039947-0.001041i,-0.0003484-2.0813e-05i,-0.00084446+0.00020062i,-0.0011807-0.0005487i,-0.0005167-0.00047083i,-0.0003031-0.00024494i,-0.00023893+8.975e-05i,0.00023348+0.00044642i,-0.0003094-0.00086976i,-0.00027767-0.0011729i,-0.00036696-3.214e-05i,-0.00052711+0.00053426i,-0.000196+0.00034245i,0.00010315-0.00014771i
