-0.00077314-0.00040337i,-0.0011314-0.00049443i,-0.0015845-0.00098167i,-0.0012622-0.00058318i,-0.00057449+0.00057053i,9.3507e-05+0.0010211i,0.00068839+0.0017017i,0.0015297+0.0021512i,0.00097494+0.0014351i,-9.4399e-05-0.00011258i,-0.00073184-0.0011019i,-0.0011376-0.00082137i,-0.00015343-0.00071363i,0.00058991-0.00024621i,-0.00020778+2.6263e-05i,-0.0004394+8.8017e-05i,-0.00010555-0.00022482i,0.00011051-0.00033035i,0.00022735+0.00047751i,0.00016263+0.0011438i,0.00069257+0.0010492i,0.00065784+0.00048917i,-0.00027152+0.00021941i
-0.002393-0.00049949i,-5.5731e-05-0.0016874i,0.0019929-0.0023666i,0.0026134-0.0028488i,0.0023476-0.0026072i,0.0031429-0.0014725i,0.0037392-0.00034694i,0.0029323-0.0009057i,0.0017761-0.0012436i,0.00049631-0.00011823i,0.00068531+0.00070613i,0.0014113+0.0011394i,0.0019416+0.00081255i,0.0019705+0.00030567i,0.0014357+0.00036021i,0.00093901-0.0003299i,0.00041943-0.0013722i,-3.9901e-05-0.0010837i,-0.0004456-0.00040151i,-0.00020303-0.00033324i,0.00038905-0.00055099i,-4.0411e-05-0.00098868i,-0.00059628-0.00069915i
0.0013442+0.0014342i,0.0017678+0.0012035i,0.00051741+0.0019585i,0.00039765+0.0015183i,0.0015465-0.00066757i,0.0014728-0.0022847i,1.0519e-05-0.0027205i,-0.0014111-0.0026659i,-0.0014026-0.0026721i,0.00080799-0.0022381i,0.0020948-0.0011485i,0.0012555-0.00045268i,0.0010046-1.3582e-05i,0.0016551-5.8378e-05i,0.0014016-0.00078307i,0.00090375-0.001661i,0.00082786-0.0016214i,-5.8595e-05-0.00098685i,-0.00034546-0.001239i,-1.7842e-05-0.0013145i,-4.0522e-06-0.0013363i,0.00065799-0.0011883i,0.00031455-0.00067853i
0.0017862-0.00020657i,0.00080966+0.00041159i,0.00061401-0.000494i,-0.00014955+0.00027824i,-0.0014704+0.0021627i,-0.00091723+0.0015071i,4.21e-05+0.00025711i,-0.0007-0.00051495i,-0.0019314-0.00058028i,-0.0017337+0.00036174i,-0.0010725+0.00078164i,-0.00069613-0.00012203i,0.00049795-0.0012633i,0.0010098-0.0010764i,0.00065239+8.101e-05i,0.0015025+0.00029946i,0.0017434+0.00042549i,0.0011096+0.00025966i,0.00069265+9.2954e-07i,0.00031113-0.00046515i,3.4672e-05-0.00029161i,-4.0106e-05+0.00050406i,-0.0010043+0.0011493i
-0.00098493-0.0019299i,-0.0011298-0.00083031i,-0.00056724+0.00051702i,0.00010243+0.00039791i,0.00058928-0.00040117i,0.0002821-0.00017861i,-0.00048584+0.00029802i,-4.1315e-05+0.0015205i,-0.00032231+0.0025753i,-0.001729+0.00095961i,-0.00178-0.00064632i,-0.0015522-0.0010482i,-0.0019157-0.00090376i,-0.0014693-0.00032915i,-0.00055161-0.00019744i,-0.000407+0.00016105i,-0.00032896+0.00093063i,0.00039491+0.0014133i,0.00042625+0.0010966i,-0.00022428+0.0010898i,-0.0001859+0.0016448i,-0.00038706+0.0007381i,-7.9405e-05-0.00051886i
0.00041921+1.6015e-05i,-0.001078-0.0021518i,-0.0023419-0.0037329i,-0.0018789-0.0034529i,-0.0007241-0.002226i,1.416e-05+4.4261e-05i,0.00063377+0.0024573i,0.0016945+0.002595i,0.0020347+0.00076897i,0.00034765-0.00068456i,-0.0016577-0.00089311i,-0.0020797-0.00055706i,-0.0015101+0.00050795i,-0.0011692+0.00121i,-0.0015722+0.00068242i,-0.0017833-0.00017524i,-0.0017401-0.00034192i,-0.0014135+0.0001785i,-0.0002322+0.00042589i,0.00039358+0.00085486i,0.00056179+0.0011613i,0.00059231+0.00055152i,6.8762e-05+0.00024968i
0.00070908-0.0008287i,0.0019705-0.00086185i,0.0029242-0.0011036i,0.0017755-0.0011862i,0.00021394-0.00068961i,0.00065306+0.00099675i,0.0027234+0.0018043i,0.0037003+0.0013015i,0.0022304+0.00078611i,0.0017429-0.00019403i,0.0022165-0.00086201i,0.001919+3.5078e-05i,0.0015301+0.0011064i,0.0021163+0.00056614i,0.0017457-0.00028449i,0.0004529-0.00088675i,-0.00031118-0.001532i,-0.00087122-0.0019185i,-0.00057352-0.0015008i,-0.00060694-0.00081514i,-0.00083218-0.00032989i,-0.00079364-0.00031895i,-0.00046642+0.00014497i
0.0029952+0.0013539i,0.0018205+0.0016067i,0.00020466+0.00096479i,-0.00054639+0.0013488i,0.0001387+0.0020571i,0.0015231+0.0020756i,0.0026514+0.0011977i,0.0018128-8.3455e-05i,0.0003211-0.00095063i,0.00034947-0.00048766i,0.0020398+0.00067051i,0.0027911+0.00070957i,0.0023376+2.6736e-05i,0.0014948-0.00056928i,0.0010515-0.00076569i,0.0010986-0.00082545i,0.00086772-0.0013501i,0.00038405-0.0017343i,-0.0003588-0.0014426i,-0.00037901-0.0016454i,0.00026645-0.0014013i,0.00032164-0.0005124i,0.00036598+4.9728e-05i
-0.00076566-0.00013422i,0.00016374-0.00028976i,0.0013852-0.00060265i,0.0009427-0.001202i,0.00075661-0.0015324i,0.00099151-0.001139i,0.00066927-0.001482i,2.9297e-05-0.0018877i,-0.0013393-0.0011296i,-0.0012314-0.00052621i,0.00016675-0.00039621i,0.00070255-0.00058748i,2.6154e-06-0.00071517i,-0.00065481-0.00058649i,-0.00026805-0.00097931i,0.00061872-0.0014866i,0.0011245-0.00099585i,0.0011735-0.00016781i,0.001468-6.8916e-05i,0.0015123-0.00013592i,0.00084552-0.00040081i,0.0001205-0.00080987i,-0.00037628-0.00094183i
-0.00070883-0.0018696i,-0.0018082-0.0016484i,-0.0023318-0.0014512i,-0.0016969-0.0015061i,-0.0021442-0.0014676i,-0.002311-0.0018362i,-0.0016996-0.0030702i,-0.00094062-0.0021918i,-0.00049637-0.00019048i,-0.00045268-0.00016532i,-0.00049321-0.0016334i,-0.0015147-0.0015848i,-0.0018306-0.0001917i,-0.0014156+0.00086227i,-0.00083927+0.00095001i,-0.00011493+0.0007252i,-1.805e-05+0.0013479i,-0.00038297+0.0012125i,-0.0007025+0.00056751i,-0.00020108+0.00033434i,0.00066464+0.00010018i,0.00068504-0.00023234i,0.00087501-0.00050221i
0.00043464-0.00083769i,0.00030337-0.00085689i,-0.00052453-0.00072489i,-0.00077249+0.00011277i,-0.00074555+0.0020334i,-0.00035366+0.0023026i,-0.00026708+0.0018965i,-0.00036265+0.0019328i,0.00069015+0.00089792i,0.00077657-0.00083223i,-0.0010837-0.0012794i,-0.0026025-0.00041134i,-0.0023813+0.00020294i,-0.00095079+0.0010939i,0.00016246+0.0017071i,-6.2063e-05+0.0010889i,-0.00027287+0.00030877i,-0.00037452+0.00073777i,-0.00037221+0.001416i,-0.00039763+0.00079007i,-0.0005896+0.0002051i,-0.00044204+0.00023641i,-0.00023441+0.00019616i
0.00095257+0.003311i,0.0020413+0.0030896i,0.0023049+0.0018363i,0.0026121+0.0013048i,0.0032525+0.0010271i,0.0029069+0.002082i,0.0018419+0.0028248i,0.0014093+0.0020322i,0.00090559+0.0010261i,-0.00035793+0.0002586i,-0.00057957+0.00049076i,0.00054304+0.0012611i,0.0010342+0.0011769i,0.0015255+0.00039252i,0.0011276+1.8466e-05i,-0.000878-0.00049966i,-0.0018628-0.00084167i,-0.0013949-0.0011694i,-0.00026237-0.0010954i,9.2911e-05+0.00010556i,-0.00067603+0.00031263i,-0.0011779+9.5174e-05i,-0.00056481+0.00059863i
-0.00040793+0.0013107i,0.00043647+0.00095098i,0.0013758-0.00014729i,0.00084885-0.0011878i,0.00010597-0.0014004i,0.00077336+0.00044707i,0.001605+0.0013878i,0.001101+0.001312i,-0.00057703+0.001641i,-0.0013496+0.0023654i,0.00048036+0.0026968i,0.002603+0.0021664i,0.0025572+0.0012728i,0.0015135-0.00066802i,0.0013937-0.0024691i,0.00145-0.0022337i,0.0010791-0.0011017i,0.00084537-0.00056654i,0.00071045-0.00061016i,-4.461e-05-0.0014006i,-0.0006439-0.0014871i,-7.2783e-05-4.4778e-05i,0.00011881+0.00085391i
-0.0023317-0.00075117i,-0.0021877-0.0013273i,-0.00040613-0.00043237i,0.00015727+0.0007547i,-0.00054682+0.0013602i,-0.00082198+0.00059003i,-0.00058079-0.00041811i,-9.2257e-05-0.0010773i,0.0002408-0.00054021i,0.00067766+0.00067364i,0.00083117+0.00087551i,0.00028564+0.00022533i,3.4331e-05-8.7294e-05i,-0.00085655-0.00025139i,-0.0011506-0.00095015i,-0.00098255-0.001242i,-0.00014133-0.0008408i,0.0007499-0.00039909i,0.00063227+0.00025646i,0.00043664+0.00093395i,0.00060364+0.0012842i,0.00096316+0.00061624i,0.00014898-0.00028519i
0.0040506-0.0014272i,0.0032608-0.0015531i,0.0021797-0.0010456i,0.0015282-0.00083203i,0.0010557-9.1361e-05i,8.085e-05+9.8673e-05i,-0.00035932-0.0012474i,-0.00068609-0.0015449i,-0.00086357-0.00056166i,-0.00054141-0.0010968i,-0.00094216-0.0023854i,-0.0018045-0.0026246i,-0.0025471-0.001633i,-0.0022765+0.0001047i,-0.0011588+0.00089716i,-0.00075794+0.00051515i,-0.0011363+0.00039728i,-0.00090499+0.00055151i,0.00055308+0.00066606i,0.00096161+9.3927e-05i,0.00065106-0.00018873i,0.00034379+0.00053338i,-0.00028289+0.00031117i
0.0014793+0.00024929i,0.001333+0.00039307i,0.00015472+0.00010228i,6.5717e-05-0.00070045i,0.00058592-0.001326i,0.00099393-0.0015382i,0.00079803-0.0014807i,0.00039132-0.0018884i,-0.00050997-0.0017973i,-0.001174-0.0014027i,-0.001442-0.0014762i,-0.0011454-0.0013536i,-0.00015771-0.00018813i,0.0012506+0.0012038i,0.0021165+0.0030231i,0.0011444+0.0038194i,-0.0005001+0.0018503i,-0.0013605-0.0006737i,-0.0012866-0.00058094i,-0.0011392+0.00093515i,-0.00058156+0.0010429i,0.00034177+0.00059036i,0.00080291+0.00073245i
0.0005253+0.0046434i,0.00015933+0.0043694i,0.00014156+0.0017256i,-0.00048419-0.0003198i,-0.00026627-0.00035343i,0.0015334+0.00072373i,0.0019807+0.0015852i,0.00039761+0.00067479i,-0.0007646-0.0003255i,-0.00046907+2.45e-05i,0.00036097-0.00012662i,0.001416+0.00017593i,0.0021385+0.00044206i,0.0014042+0.0001754i,0.00084829+0.00027039i,0.00097838-0.00011384i,0.00080944-0.00068261i,0.00035393-0.00039181i,-0.00025619+0.00032883i,-0.00053743+0.0011942i,-0.00024983+0.00096931i,0.00013505+0.00010502i,0.00065137+0.0011002i
-0.00339-0.0013318i,-0.0028446-0.0019041i,-0.00043511-0.0007938i,0.0014681+0.00014114i,0.0021801+0.0014797i,0.0018879+0.0032744i,0.00083169+0.0029986i,-0.00073912+0.0029293i,-0.0010888+0.0038963i,0.00086794+0.0039567i,0.0018971+0.004091i,0.0015996+0.0038724i,0.0013367+0.0016986i,0.0010215-0.0005956i,0.00020475-0.0016494i,-0.00025815-0.0017477i,0.0006861-0.0013194i,0.0017867-0.0013528i,0.0013933-0.0013568i,0.00019701-0.00038275i,0.00011973+0.0010953i,-0.00010559+0.0011474i,-0.00065773+0.00077869i
0.0021265-0.0016229i,0.0024827-0.0025801i,0.0026492-0.0018643i,0.00094085-0.00091867i,-0.00077039-0.00033068i,-0.00066665+0.00090679i,0.00042799+0.001498i,0.0017002+0.0021258i,0.0022303+0.0027711i,0.0019829+0.0015884i,0.0015824+0.0002739i,0.00056791+0.0002754i,-0.00092845-0.0002426i,-0.0017859-0.0008247i,-0.0023614-0.00085917i,-0.0014537-0.00085521i,-3.4833e-05-0.0008387i,0.00068074-0.00066327i,0.0011254-0.00043753i,0.00044884-0.00046202i,-4.5541e-05-0.0007874i,2.5639e-05-0.0008698i,4.3772e-05-0.00024947i
0.0028701+0.00059292i,0.0038111+0.00045034i,0.0025565+0.0014219i,0.0014509+0.0016877i,0.00096118+0.00042634i,-0.00099341-0.0011154i,-0.0009184-0.0016582i,0.0014768-0.00090757i,0.0026444-4.8803e-05i,0.0017078-0.00021767i,-0.00011543-0.0022963i,-0.0015624-0.0040218i,-0.0021444-0.0035421i,-0.0015862-0.0018231i,-0.00054667-0.00018946i,-0.00066952+0.00059518i,-0.0013205+0.00051496i,-0.00092168+0.00033905i,-0.00016588+0.00048431i,-0.0004693+0.00034218i,-0.00025192+0.00038944i,0.00010046+0.00042817i,0.00018508-0.0003149i
0.00090043+0.0029836i,0.0008109+0.0034858i,-0.00015003+0.0022066i,9.7957e-05+0.00062625i,0.00076265+0.00033899i,0.0020831-0.0003316i,0.0021089-0.0027037i,0.0005364-0.0042971i,-0.00047239-0.0045525i,-0.0011152-0.003754i,-0.0013295-0.002437i,-0.00054413-0.0023347i,0.00035501-0.0023823i,0.00044783-0.0017199i,0.00085735-0.00063398i,0.0011813-0.00012955i,6.2753e-05-0.00016329i,-0.00075672+0.00047014i,-0.0012615+0.00060681i,-0.00098558+0.00047088i,-0.0010526+0.00078649i,-0.0013791+0.00073856i,-0.00046812+0.00012795i
-0.0030506+0.00094139i,-0.001975+0.00054724i,-0.00037707-0.00016044i,0.0012159+0.00049959i,0.0029086+0.00072482i,0.0040475-0.0003494i,0.002666-0.0008925i,-0.00039524-0.00088546i,-0.0024118-0.0011957i,-0.0016732-2.9577e-06i,0.00010867+0.0014025i,0.0012286+0.0019821i,0.0016831+0.00092569i,0.0025747-0.00078398i,0.0024746-0.0011383i,0.0018341-0.00040308i,0.0018491-0.00056765i,0.0013449-0.001639i,0.00053553-0.001348i,1.1609e-05-4.889e-05i,0.00018704+0.00014743i,0.00037356+0.0003224i,0.00024595-0.0001154i
-0.0013085-0.0012481i,-0.0016783-0.0019194i,-0.0014715-0.0013233i,-0.00031525-0.00028687i,0.0011492+0.00056189i,0.0011018+0.0025847i,0.00053995+0.004055i,-0.00048992+0.0039344i,-0.0009115+0.0035074i,0.0003063+0.0028547i,0.0012894+0.0026059i,0.00134+0.0022833i,0.0015479+0.0012957i,0.0017513+0.00054247i,0.0014101+0.00065521i,0.00080877+7.0819e-05i,0.00019359-0.0011445i,-2.0923e-06-0.0021098i,0.00020872-0.0023693i,3.2153e-05-0.0019309i,-8.9444e-05-0.0011003i,0.00023135-0.00027862i,0.0010694-0.00038252i
0.0028631-0.0017226i,0.0028503-0.00033814i,0.00074308+0.0012366i,-0.0011283+0.0022259i,-0.0023751+0.0041021i,-0.002485+0.004878i,-0.0020218+0.0041128i,-0.00051079+0.0038786i,0.0016783+0.0039877i,0.0028073+0.0031259i,0.00235+0.0017433i,0.0009225+0.00072052i,0.00052627+0.00055264i,0.00081727+0.00035102i,-7.1969e-05-0.00014837i,-0.00090752+3.4779e-05i,-0.00078295+4.366e-05i,3.8724e-05-0.00036297i,0.00029584-0.00021399i,-1.1946e-05-0.00018137i,-0.00031334-0.00084471i,-0.00055315-0.00057651i,-0.000658+9.7429e-05i
0.002927+0.0034834i,0.003944+0.0029032i,0.0040409+0.0010571i,0.0024351+4.8567e-05i,0.00022623-0.00039651i,-0.0015128-0.001269i,-0.0012541-0.0014258i,-0.00011765-0.00068092i,0.0014521-0.00071924i,0.0012423-0.0017787i,-0.0010802-0.0029843i,-0.0020421-0.0027653i,-0.0020754-0.0019494i,-0.0028179-0.0012938i,-0.0023364-0.00036269i,-0.0010141+0.00020235i,-0.00069065+0.00046477i,-0.00034+0.0013967i,8.3034e-05+0.0025094i,-0.00039375+0.0016884i,-0.0012758+0.0010224i,-0.0011989+0.00070252i,-0.0011511+0.00037971i
-0.0032738+0.0010171i,-0.0031451-0.00033142i,-0.00123-0.00081286i,0.00064455-0.0010148i,0.0023054-0.0018991i,0.0028855-0.0043724i,0.0016608-0.0049285i,1.2613e-05-0.0044042i,-0.0017989-0.0047057i,-0.0034128-0.0045008i,-0.0032023-0.0035493i,-0.0018344-0.0029268i,-0.0018148-0.0025301i,-0.0019767-0.0023707i,-0.00078299-0.0015702i,0.00046985-0.00080695i,-0.00014546-0.00042767i,-0.00062597+8.2469e-05i,-0.00033398+0.00033957i,-0.00023181+0.00047083i,-0.00036937+0.00043878i,-0.00098399-0.00020577i,-0.00099968-0.00066249i
-0.00056696-0.00044427i,0.00073638-0.0014481i,0.00094134-0.00079951i,0.00080635-0.0015i,0.0022376-0.0027599i,0.0032645-0.003027i,0.0032465-0.002222i,0.00094666-0.0012238i,-0.0017043-0.0013365i,-0.0020372-0.00066918i,-0.00071971+0.0011945i,0.00068877+0.0011842i,0.0023412+0.00067967i,0.0026206+0.0002145i,0.0010106-0.0012148i,-0.00055901-0.001416i,-0.00066682-0.00085334i,-0.00058459-0.0014058i,-0.00061646-0.0018345i,4.8445e-05-0.0015154i,0.0011745-0.001127i,0.001862-0.00072913i,0.00057063-0.00051927i
0.0042924+0.00043315i,0.0045643+0.0022004i,0.0032076+0.002785i,0.0010971+0.0022235i,0.00054539+0.0032428i,0.0013515+0.0050802i,0.0017051+0.0054375i,0.001192+0.0044235i,0.00030564+0.003245i,0.001291+0.0026239i,0.0029032+0.0018507i,0.0026012+0.00095747i,0.0020439+0.00059758i,0.0020272+0.00050857i,0.0013284-0.00024487i,0.00061445-0.0009563i,0.00076901-0.0007332i,0.00069765-0.00069319i,-0.00021415-0.0012241i,-0.00022433-0.00064594i,-9.1838e-05+0.00011235i,0.00034051-4.6339e-05i,0.0012587-0.00019923i
-8.3618e-05+0.002968i,0.0010407+0.0035738i,0.00041221+0.0020183i,0.00054482+0.0018495i,0.00096999+0.0037363i,0.00015456+0.0054137i,-0.0013695+0.0053772i,-0.0011865+0.0044595i,0.0012123+0.0029758i,0.0026018+0.00029448i,0.0022463-0.0013519i,0.00063504-0.0012363i,-0.00094701-0.0013106i,-0.00072764-0.0011162i,-0.00017345-0.00034353i,8.1189e-05+0.00055085i,0.00067395+0.0007347i,0.001195+0.00055852i,0.00043781+0.0012366i,-0.0005217+0.0018817i,-0.00082136+0.0018349i,3.4792e-05+0.0012156i,0.00090369-0.00013174i
-0.0050913+0.00065444i,-0.0044208+0.00016896i,-0.0012665-8.9843e-05i,3.7173e-05-0.0010185i,-0.0012554-0.0017641i,-0.0032264-0.0023209i,-0.0033677-0.0021129i,-0.0022155-0.0011238i,-0.00063389-0.00065781i,-1.3092e-05-0.00072825i,-0.00069229-0.00125i,-0.0018898-0.001674i,-0.002565-0.00092669i,-0.0029349+0.00040405i,-0.0021912+0.0012356i,-0.00053042+0.0013254i,0.00026172-2.9904e-05i,0.00076568-0.00033476i,0.00025606+0.00041291i,-0.00049226+0.00047426i,-0.0007721+0.00068676i,-0.00057592+0.0011945i,-0.00066069+0.00096085i
0.0019303-0.003279i,-4.5919e-05-0.0036647i,-0.0027-0.0029725i,-0.0026358-0.002703i,-0.0015274-0.0024271i,-0.0016424-0.001734i,-0.0020823-0.0024577i,-0.002224-0.0039577i,-0.0025537-0.0042444i,-0.0026777-0.0032572i,-0.0021799-0.0015805i,-0.00080592-0.00047826i,0.00016623+0.00034884i,0.00035198+0.00079339i,0.00026826+0.00093132i,-0.0001003+0.00046172i,-0.00012238+0.00035837i,-0.00086853+0.00024989i,-0.00096222-0.00045577i,-0.00013966-0.00080089i,-0.00039747-0.0011409i,-0.0010872-0.001171i,-0.00075617-0.00046582i
0.0036619+0.0025895i,0.0051727+0.0015708i,0.004645+0.00046722i,0.0045687-0.00025642i,0.0051904-0.0011348i,0.0061539-0.0016672i,0.0057797-0.0020316i,0.003633-0.0014481i,0.00026709-7.3222e-05i,-0.0019767+0.00087826i,-0.0017616+0.0016912i,-0.0003549+0.0020388i,0.00091636+0.0006684i,0.0013822-0.00046061i,0.0019523+0.0002452i,0.0010923+0.0013029i,-0.00028747+0.001822i,-0.00051761+0.0012441i,-0.00032983+8.0754e-05i,-0.00020564-0.00079994i,-0.00045181-0.0013953i,-0.00038608-0.0016647i,-0.0010615-0.0016745i
-0.0031329+0.0015829i,-0.0016605+0.003268i,-0.00096879+0.0038316i,9.0294e-05+0.0038514i,0.0019401+0.0035899i,0.0044669+0.0031976i,0.00602+0.0029422i,0.0053112+0.0020207i,0.0034383+0.001897i,0.0025645+0.0020372i,0.002713+0.0018173i,0.0025457+0.00091992i,0.0021125-0.00095776i,0.0022117-0.0032325i,0.0023579-0.0039947i,0.0010926-0.002189i,9.4586e-05-0.00026479i,-0.00015058+0.00053516i,-0.00057934+2.8715e-05i,-0.00029684-0.00043035i,0.00093932-7.7705e-05i,0.0015656-0.00030589i,0.0013535-0.0011795i
-0.0046737+0.00040211i,-0.00309+0.00066123i,0.000283+0.00074589i,0.0024665+0.0011409i,0.0017371+0.0031365i,0.00040767+0.0040522i,9.1375e-05+0.0033938i,0.00052258+0.0021192i,0.002277+0.0013078i,0.0044243+0.00033205i,0.003715-0.0014629i,0.00013254-0.0031026i,-0.0023796-0.0029841i,-0.0025949-0.0019903i,-0.0022487-0.0018184i,-0.0013424-0.0010163i,1.7709e-05-0.0001792i,0.00025511-0.00026846i,-0.00031306-0.00047831i,-0.0002377+0.00045975i,0.00012383+0.0016008i,0.0009101+0.0016415i,0.0017136+0.0012465i
0.0030315-0.0016826i,0.002855-0.001584i,0.0018199+0.0014443i,0.0010856+0.0021606i,-0.00089969+0.00046554i,-0.0044216+0.00059133i,-0.0068658+0.0014647i,-0.0064967+0.00094523i,-0.0042452-4.763e-05i,-0.0020658-0.0013914i,-0.0017321-0.002349i,-0.0025084-0.0021129i,-0.002691-0.0010287i,-0.002038+0.00086616i,-0.001385+0.0016993i,-0.00078568-8.0088e-05i,-0.00028102-0.0014774i,-0.00051498-0.00094219i,-0.00093771+1.4813e-06i,-0.0010957+0.00045194i,-0.00085187+0.0011548i,-0.00041885+0.0015254i,6.2951e-06+0.0012364i
0.0045254+0.0025142i,0.0037915+0.0025529i,9.547e-05+0.00013679i,-0.0019939-0.0016291i,-0.0021171-0.001813i,-0.0026661-0.0023141i,-0.0038074-0.0019923i,-0.0047752-0.0012049i,-0.0049756-0.00047421i,-0.0044317+0.00055981i,-0.0030794+0.0016381i,-0.00086892+0.0023858i,0.0014314+0.0025817i,0.0022165+0.0025762i,0.0017938+0.0024602i,0.0010902+0.0015274i,0.00016401-9.588e-05i,-0.00049812-0.0014958i,-0.00093269-0.0013231i,-0.0013696-0.0017867i,-0.0017977-0.0027964i,-0.0019856-0.0017693i,-0.0014569+0.00053799i
-0.0043141+0.0028418i,-0.0024473+0.0014734i,-0.00098973-0.00070147i,-0.00021374-0.0017137i,0.0016049-0.0023436i,0.0047323-0.0036764i,0.0053397-0.0035699i,0.0028011-0.0018343i,0.00045649+0.00018359i,0.00092095+0.001843i,0.0025246+0.0031321i,0.0026013+0.0028062i,0.0023773+0.00051214i,0.0021869-0.0014169i,0.0021735-0.0018292i,0.0017872-0.0017624i,0.00185-0.00054943i,0.00072405+0.00060776i,-0.00079475-0.00080636i,-0.0006464-0.0014285i,-0.00053854-0.00088409i,-0.0010997-0.0011287i,-0.0011608-0.00052082i
-0.0057246-0.0021501i,-0.0047416-0.0015697i,-0.0013567-0.00025797i,0.0022393+0.0019244i,0.004159+0.0036069i,0.0060035+0.001929i,0.0069549-0.0010427i,0.0068103-0.0026324i,0.0051361-0.0019742i,0.0036914-0.0010739i,0.0031989-0.0013171i,0.0020709-0.001957i,0.0011791-0.0036603i,0.00046111-0.0046045i,-0.0005487-0.0036277i,0.00012342-0.002136i,0.0005306-0.00013567i,0.00075237+0.0010767i,0.0014727+0.00071507i,0.0010102-8.9927e-05i,0.001128+0.00019211i,0.0012068+0.00021857i,0.00073465-0.00071536i
0.0027657-0.0034964i,0.0030685-0.0032146i,0.0040984+3.2486e-05i,0.0054379+0.0023561i,0.0043908+0.0038724i,0.0021196+0.0060436i,0.0015126+0.0058939i,0.0027579+0.0030922i,0.0033179+8.3598e-05i,0.0025847-0.0014745i,0.0016418-0.0028633i,0.00029199-0.0040925i,-0.0010432-0.0030659i,-0.0016566-0.00080598i,-0.0020458+0.0004136i,-0.0016927+5.6249e-05i,-0.0011462-0.00019468i,-0.0010561+0.00012041i,-0.00088607+0.00043059i,-0.00034381+0.00082119i,0.00099202+0.0012933i,0.0019533+0.0015678i,0.0020702+0.001134i
0.0031671+0.0017497i,0.0026723+0.0019766i,-0.00010348+0.0027743i,-0.0033316+0.0034719i,-0.005665+0.0030869i,-0.0066101+0.0020333i,-0.0075265+0.0015867i,-0.0065963+0.0018469i,-0.0046294+0.0023749i,-0.0035534+0.0022019i,-0.0031133+0.00093201i,-0.0025038+9.1609e-06i,-0.0011883+0.00099372i,0.001373+0.0021856i,0.002687+0.0023288i,0.0018143+0.0016659i,0.00026195+0.00024374i,-0.00073036-0.0008203i,-0.0012691-0.0012104i,-0.0017735-0.00058488i,-0.00098749+0.00099291i,0.00018385+0.0017206i,0.00071949+0.00052226i
-0.0037982+0.0029726i,-0.0053652+0.0026601i,-0.0060965+0.0020992i,-0.0054181+0.00030807i,-0.0033459-0.0013313i,-0.002392-0.0021402i,-0.004088-0.00023253i,-0.0061675+0.0029678i,-0.0056559+0.0034786i,-0.0032245+0.0024642i,-0.0013491+0.0022291i,0.00019239+0.0025601i,0.0023644+0.0025175i,0.0036558+0.0021509i,0.0030064+0.0011074i,0.0014634-0.00036212i,0.00047841-0.00062757i,-0.00057929-0.00058276i,-0.00070259-0.0011817i,-0.0006535-0.0017026i,-0.001737-0.0015138i,-0.0022782-0.0012575i,-0.0017175-0.00083302i
-0.0030587-0.0015409i,-0.002852-0.002625i,-0.0024064-0.0020427i,-0.00048731-0.0026756i,0.0025398-0.0048623i,0.004199-0.0065818i,0.0028669-0.0042924i,0.00039902-0.0003148i,0.00058109+0.0012982i,0.0021193+0.0005975i,0.0022984+0.0002411i,0.0015241+0.0013885i,0.0011033+0.0009777i,0.00023565-0.0010054i,-0.00041844-0.0018042i,2.6901e-05-0.0013281i,0.0011126-0.0009761i,0.001592-0.00046297i,0.0016019-0.00036505i,0.0014082-0.0010642i,-9.6642e-05-0.001333i,-0.0015424-0.00082839i,-0.0016134+6.8356e-05i
-0.0029553-0.002435i,-0.0022892-0.0012478i,0.00058794+0.0015832i,0.0043973+0.0020424i,0.0065337+0.0030047i,0.009949+0.0029261i,0.013208-0.0010864i,0.012614-0.0044655i,0.0083036-0.0033074i,0.0055988-0.00085036i,0.0050093-0.001555i,0.0025975-0.003321i,0.00029673-0.0035306i,-1.5616e-05-0.0023174i,-0.00024571-0.00059278i,0.00039535+0.00029767i,0.0013094+0.00022928i,0.0015555-0.0004338i,0.0015816-0.00064727i,0.0015828+0.00042001i,0.0013899+0.0013308i,0.0010651+0.0007517i,0.00038512-0.00035521i
-0.0016343+0.0027967i,-0.0010532+0.0038673i,-0.00068033+0.0069168i,0.0020212+0.006136i,0.0049069+0.0040925i,0.0055232+0.0012154i,0.0043561-0.00342i,0.0030586-0.0069176i,0.0012232-0.0061737i,0.00021898-0.0027153i,0.00055192-0.0017611i,0.00059571-0.002625i,0.00063168-0.002306i,0.0016393-0.00075869i,0.0027624-0.00011477i,0.0025197+7.4179e-06i,0.0011986+0.00033107i,-4.9953e-05+0.00044088i,-0.00065121+0.0004238i,-0.00042738+0.00070832i,0.0007605+0.0017563i,0.0020713+0.0020731i,0.0025562+0.00042657i
0.020313-0.0010376i,0.020442-0.0096503i,0.016575-0.024501i,0.00073048-0.0221i,-0.013723-0.011419i,-0.018861+0.0028622i,-0.014177+0.01229i,-0.0083045+0.011513i,-0.004296+0.005075i,-0.0056178-0.00049373i,-0.0084444+0.00075672i,-0.0067607+0.0048908i,-0.004053+0.0082097i,-0.0044861+0.010757i,-0.0056342+0.010252i,-0.00353+0.0052733i,-0.00092861-0.00024991i,-0.00088286-0.00078268i,-0.00044091+0.0025934i,0.0011929+0.0037578i,0.0015826+0.00057781i,-1.4624e-06-0.0026644i,-0.001673-0.0020554i
