0.00031094-0.00030164i,-0.00011129-8.8678e-05i,-0.0023782+0.00033819i,-0.0026654-0.00043541i,-0.0017844+0.00075308i,-0.0014372+0.0022579i,-0.0004494+0.0025943i,0.00043672+0.0018223i,0.00071193+0.0007333i,0.00032865-0.00024042i,0.00021529-0.0011193i,0.00051034-0.0013045i,0.00048364-0.00053813i,0.00043645-4.8276e-06i,0.000118+0.00032364i,0.00045486+0.00019726i,0.00085842-3.1236e-05i,0.00016513+0.00015715i,-0.00041923+0.00066927i,-0.00065018+0.00083693i,-0.00022677+0.00030125i,0.00022376-0.00043291i,0.00028378-0.00038703i
-0.00016396-0.0010247i,-0.0010845-0.00081775i,-0.00068067-0.00024131i,-0.00053455-0.00020428i,-4.475e-05-0.00011805i,5.1792e-05+0.00087412i,-0.00041158+0.00068009i,-0.00044259-0.0010785i,-8.7228e-05-0.0013585i,-6.7985e-05-8.7366e-05i,-0.0004701+0.0002039i,-0.00092411-0.00044881i,-0.00092284-0.00029487i,-0.00083471+0.00019403i,-0.00079757+0.00030778i,-0.00020229-0.00031533i,-0.00016521-0.00048507i,-0.00026207+0.00044381i,-0.00052095-5.7271e-05i,-0.00064946-0.00080197i,-0.00040782-0.00068718i,-0.00045961-0.00093248i,-0.0005125-0.0010584i
0.00015698-0.0023725i,-0.0012563-0.0034095i,-0.002617-0.002907i,-0.0027744-0.00056658i,-0.0021279+0.00094787i,-0.00075933+0.0014816i,0.00086383+0.00068096i,0.0018493-0.00027142i,0.00043245-6.0877e-05i,-0.00047471+0.00042654i,-0.00023097+0.00081648i,0.00021262+0.00071848i,0.00094621+0.00021187i,0.00070519-0.00026705i,0.00060235+0.00037368i,0.00094556+0.0012507i,0.00095778+0.0005301i,0.00061531-0.0012157i,0.00079581-0.0011342i,0.00038002-0.00047598i,-7.8811e-05-0.00017384i,-0.000173-2.5201e-05i,-0.00062207+0.00015535i
-0.00017633-0.0031687i,-0.0007674-0.0025927i,-0.0010943-0.0020857i,-0.0015546-0.0013307i,-0.0017435-0.00023894i,-0.0009863+0.00036877i,0.00038863-0.00032591i,0.00044336-0.0015234i,-0.00012778-0.0021801i,-0.00055479-0.0017565i,-0.00027241-0.0006229i,-7.5269e-05+0.00022357i,-4.2267e-05+7.9276e-05i,5.5472e-05+7.4022e-05i,0.0001928-0.00061666i,0.00056825-0.00082461i,-8.3669e-05+0.00014217i,0.0002191+7.6969e-06i,0.00073707-0.0010628i,0.00062761-0.00076197i,0.00051162-9.3308e-05i,1.7113e-05+0.00018771i,-0.0001408+0.00046999i
0.0015123-0.0034091i,1.881e-05-0.0025825i,-0.0015327-0.0011174i,-0.0013967+9.7203e-05i,-0.0019849+0.0002699i,-0.0012856-0.00016334i,0.0004677-0.0001672i,0.00049586-0.00078202i,5.1985e-05-0.0014741i,-0.00045185-0.00068385i,-0.00075073-0.00033246i,-0.00061396+0.00015795i,-0.00082845+0.00072948i,-0.00054699+0.00081109i,-0.00019763+0.00049033i,0.00069056+0.00020873i,0.0011618-0.00015011i,0.00054708-0.00025966i,0.00030473-0.00036525i,-0.00015143-0.00063567i,-0.00036153-0.0010005i,-0.00032443-0.00055301i,-0.00047746-0.00043782i
0.0020173+0.00037017i,0.001167-0.00055809i,-0.00033048-0.0012751i,-0.00095553-0.0015602i,-0.00025777-0.0016087i,0.0002094-0.0013252i,0.0005031-0.0010872i,0.0011778-0.0010879i,0.0012483-0.001098i,0.00057927-0.00097717i,0.00043296-0.00098428i,0.00065087-0.00097994i,0.00071894-0.00086592i,7.4354e-05-0.001187i,-0.00026093-0.0010317i,-8.0072e-06+0.0001216i,-0.00035702-0.00038915i,-0.00066794-0.0012136i,-0.00017073-0.0016217i,0.00041574-0.0017327i,0.00012611-0.00063245i,-0.00050835+0.00012706i,-0.00021311+0.00014047i
0.00074592-6.337e-05i,-0.00043227-0.00074545i,-0.0016617-0.0012008i,-0.0015355-0.00065494i,-0.0014368+0.00081427i,-0.0015441+0.0011561i,-0.00030304+0.00058849i,0.00088703+8.9414e-05i,0.00073872-0.00044641i,0.00066429-0.00068143i,0.00041959-0.00010637i,0.0012065-6.7218e-05i,0.0016918-0.00071144i,0.00045597-0.0003203i,6.6299e-05+0.00086568i,0.001141+0.00087744i,0.0017417+0.00024233i,0.0014958-0.00036997i,0.00079398-0.0007193i,0.00028171-0.00041609i,0.00039331-0.00036471i,0.00021213-0.00083218i,-0.00014393-0.0005901i
-0.002243-0.0015586i,-0.0027225-0.00090194i,-0.0018327+0.0012368i,0.00046027+0.001151i,0.0011338-9.799e-05i,0.0006024+0.00031337i,0.00069625+0.00059392i,0.00034601-0.00031334i,0.00026685-0.00043547i,0.00067937+0.00024069i,0.0017189-0.00028413i,0.0020866-0.00096i,0.0014781-0.0007749i,0.00047154-0.00047706i,-0.00022092-0.00018493i,-3.9755e-05-0.0001386i,-4.5398e-05-0.00019102i,0.00071912-0.00026336i,0.0011133+1.1405e-05i,0.00063254+6.8662e-05i,0.00074418+0.00014564i,0.00047189+0.00018096i,-0.00012524-1.3554e-06i
-0.0030228-0.0021447i,-0.0038446-0.0024608i,-0.0045344-0.0019771i,-0.0023804-0.00021038i,-0.00043727+0.0014048i,0.00024078+0.0012561i,5.3203e-07+0.00061553i,-0.00032623-0.0003463i,0.00052033-0.00086251i,0.00028157+0.00046037i,0.0002182+0.0018949i,0.0010581+0.0018974i,0.00091455+0.00082737i,0.00062519-9.168e-05i,0.0012052+0.00024554i,0.0010407+0.00033718i,0.00064767-0.00020218i,4.3046e-05-0.00082773i,0.00027619-0.00073524i,0.0012753-0.00058633i,0.00085324-9.8611e-05i,-0.0001181+0.00068304i,-0.00059955+0.00063954i
-0.00090121-0.00078371i,-0.0010052-0.00073989i,-0.0017013+7.4147e-05i,-0.0015836+0.00050581i,-0.00076058+0.00064497i,-0.00113+0.00076296i,-0.0011096+0.00051706i,0.0001392-0.00079965i,-8.8059e-05-0.0021088i,-0.00091062-0.0016913i,-0.00053928-0.00073992i,-1.5861e-05-0.00049164i,-5.9634e-05+3.4183e-05i,-0.00038743+0.00015651i,-0.00015616-0.00018808i,0.00054699+0.00034862i,0.0010248+0.00057682i,0.0009578+0.00051402i,0.00084016+0.00048298i,0.00052799+0.00034248i,0.00025664-0.0003558i,0.00070524-0.00046273i,0.00069274+0.00025557i
8.6969e-05+0.0013779i,-0.00092844+0.001393i,-0.00037391+0.0018069i,0.00051484+0.00068916i,0.00093961-8.1027e-05i,0.0012258-0.00088269i,0.00076926-0.0016809i,-9.2382e-05-0.0021094i,-0.00026804-0.0016867i,0.00098233-0.00058334i,0.0010522-0.00031507i,0.00099803-0.00037278i,0.0018157-0.00079325i,0.001185-0.00055846i,-0.00046105+0.00024119i,-0.00119+0.00010047i,-0.00052423-0.00024796i,0.00049778-0.00074821i,0.00073594-0.00062056i,0.00065743+0.00018188i,0.00050227+0.0004444i,-4.6223e-05+0.00044376i,-7.143e-05+0.00057841i
0.0007294+0.00067885i,-0.00020023-0.00063756i,-0.000493-0.00048563i,-0.0006751+0.00012827i,-0.00056669-7.9405e-05i,-0.00016246-0.00033069i,0.00033582-0.00033294i,0.001122-0.0013972i,0.00059556-0.0015558i,-0.00033993-0.00070065i,-0.0003754-0.00088283i,-0.00017427-0.00098489i,0.00040071-9.4907e-05i,0.00038882+0.000366i,-0.00040904+0.0002518i,-0.0013372-5.3083e-05i,-0.00084937-2.046e-05i,0.00048718+0.00054283i,0.00045928+0.00063602i,0.0002979-8.919e-05i,0.00043863-0.00060268i,0.0005101+8.7531e-05i,0.00029556+0.00024278i
-0.000402-7.7087e-05i,0.00067781-0.00079449i,-2.979e-05-0.00055516i,-0.0012501-0.00030365i,-0.0019757+0.00020167i,-0.0017244+0.0005523i,-0.00027229+0.00042371i,-0.00033746-0.0003921i,-0.00095431-0.0013368i,-0.0006061-0.001464i,2.5582e-05-0.00086811i,0.00091832+0.00070721i,0.0012849+0.0022019i,0.00074766+0.0018229i,-0.00045802+0.0011789i,-0.0010878+0.00020095i,-0.0008102-0.00083544i,-0.0001637-0.00061924i,0.00011436+0.00092362i,1.108e-05+0.0012632i,0.0006555+0.00071029i,0.001014+0.00041105i,0.00064358-0.00033324i
-2.0292e-05+0.00021541i,-0.0001043-0.00066272i,-0.00052623+0.00039252i,0.00042876+0.0017705i,0.0010293+0.001328i,0.00082446+0.00014057i,0.0004619-0.0009022i,4.6349e-05-0.0018112i,-0.00012771-0.00095961i,-1.4041e-05+3.4089e-05i,6.8485e-05+3.2211e-05i,0.00064831+2.0823e-05i,0.0015253-3.2455e-05i,0.00098789-0.00073919i,0.00025034-0.0017152i,-3.5984e-05-0.0010104i,0.00011177+0.0001699i,0.00043827+0.00027472i,0.00053281-7.7891e-06i,0.00057364+0.00024813i,0.00026692+0.00077822i,5.3093e-05+0.00055924i,0.00043653+0.00092915i
-0.002151-0.0016036i,-0.0024941-0.0007721i,-0.0028471-0.00042452i,-0.0025827-0.00010295i,-0.0013939-6.2671e-05i,-0.00024541+0.0003038i,-7.968e-05+0.00072348i,-2.2032e-05-0.00021543i,1.7953e-06-0.0010842i,-0.0002475-0.00050338i,-6.6036e-05+0.00076098i,-7.1436e-05+0.00073608i,5.1532e-05+0.00037908i,0.00036649+0.00043754i,-0.00021876-0.00027907i,-0.00085003-0.00056019i,-0.00073669+0.00031605i,-0.0005401+0.00023239i,-0.00016055-0.00039153i,0.00029892+0.00034142i,0.00012716+0.00070389i,-0.00036448-5.0002e-05i,-0.00039959-0.00056849i
0.0012815+0.00066653i,0.0010414-0.00018671i,0.00077857-0.00010499i,0.00026708-0.00056378i,-0.00090338-0.0007994i,-0.0016315-3.3854e-06i,-8.6991e-05+0.00050818i,0.00082061+0.00034466i,0.00059819+0.00010547i,0.00017843+0.00013595i,-0.0002413-0.0002346i,-0.0002831-0.00040244i,-0.0011079+0.00021488i,-0.0019023+0.00066126i,-0.0017219+5.445e-05i,-0.001069-0.00064514i,-0.00052625-0.00029817i,-0.00091622+0.00010592i,-0.001193+0.00060549i,-0.00055945+0.0006773i,0.00022526+0.00018782i,0.00032208-0.00018008i,-0.00038412-0.00060098i
-0.0010557-0.0020207i,-6.0296e-05-0.0013809i,0.00029072-0.00025352i,0.00010336-1.2205e-05i,-0.00054389+0.00021669i,-0.00022298+0.0004739i,0.00048687-6.567e-05i,0.00023713-0.0014485i,-0.00046885-0.0018873i,-0.00055049-0.00091213i,-0.00095464+4.4746e-05i,-0.00094671+0.00053284i,-0.00021579+0.0010963i,0.00081018+0.0010544i,0.0010597+0.0006101i,0.00044127-0.00027538i,-9.6921e-05-0.0009262i,9.0114e-05-0.00069122i,0.00026199-0.00029509i,0.0008624-0.00021502i,0.0003032+0.00011764i,-0.0005099+0.00045408i,0.00019993+0.00082874i
0.00021894-0.0034227i,0.00068604-0.0028835i,-0.00088777-0.0019227i,-0.0018165-0.00060356i,-0.0011279+0.00031728i,-0.00026224+0.0003328i,0.00020492-0.00033548i,0.00037265-0.0013488i,-0.00022275-0.00088607i,-0.00081957-0.00038114i,-0.00047145-0.00097573i,-0.00015156-0.000764i,0.00057722-0.00013149i,0.0011629+0.00061389i,0.00048663+0.00091752i,3.3675e-06-0.00037421i,0.00050466-0.000607i,0.0005116-0.00057907i,0.00011651-0.0013152i,-4.326e-05-0.0012304i,-0.00066069-0.00048349i,-0.00061303+0.00059304i,-0.00041239+0.00081529i
0.0010391+0.00060392i,1.5349e-05+0.0011749i,0.00018267+0.0013059i,-0.00031851+0.0012428i,-0.0017645-4.4573e-06i,-0.0012528-0.00065995i,-0.00092332-0.00011652i,-0.0010673-8.1236e-05i,-0.00036695-0.00077864i,-0.00061426-0.0012821i,-0.00077636-0.0012475i,-0.00042685-0.00084058i,0.00036724-0.0011572i,0.00094275-0.00067752i,0.0011204+0.00039942i,0.00049613+0.00031447i,-0.00020508-0.00014063i,-0.00022535+0.00026719i,-3.4657e-05+0.00075093i,2.7041e-05+0.00028124i,-0.00079879-0.00055381i,-0.00057764-0.00013971i,0.00042655-0.00015234i
-0.00052001+0.0027534i,-0.00057327+0.0023313i,2.2736e-05+0.001257i,0.0013211+0.00076337i,0.0019203+0.00096641i,0.0013391+0.0011008i,0.0008567+0.00098187i,0.00047178-0.00063814i,-0.00024465-0.0014029i,-0.00044634+0.00026288i,-0.00032858+0.00048621i,-0.00045854-0.00047706i,-7.3463e-05-0.00032472i,0.00039163-3.2539e-05i,0.00075375+0.00013064i,0.00068682+0.00029509i,0.00023809+0.00055473i,0.0003189+8.6613e-05i,-4.789e-05-0.0010665i,-5.0124e-05-0.00094094i,-4.4029e-06-0.00057201i,-0.00010649-0.00045496i,3.2555e-08-6.0161e-05i
-0.0013564-0.0017177i,-0.0027168-0.0015418i,-0.0035794-5.5406e-05i,-0.0018386+0.00035999i,0.00034977+0.00012802i,0.001656+0.00063241i,0.001667+0.00060233i,0.0011997-0.00050763i,0.00055017-0.00063726i,-0.00020969-0.0002015i,-0.00022378+0.00031319i,5.9936e-05+0.00047145i,-0.00044066+0.00083825i,0.00014103+0.00083616i,0.0016829-0.00014977i,0.0019167-0.00041726i,0.0010623-0.00031091i,0.00092697-0.00052531i,0.0011589-0.0010144i,0.00040074-0.0013961i,-0.00035844-0.0013935i,-0.00067583-0.00060298i,-3.8743e-05-0.00010864i
-0.00094169-4.1905e-05i,-0.002067-0.0012038i,-0.0039323+0.00023957i,-0.0034279+0.0020064i,-0.0020116+0.0025129i,-0.00055329+0.0012059i,0.00041306+0.00026614i,0.00018671-0.00082843i,0.00020699-0.0017791i,-0.0002523-0.0011503i,0.00010115-0.00056601i,0.00060769-0.00080045i,0.00087802-0.00024843i,0.00085791+0.00039302i,0.00058129+0.0003423i,0.00094316+0.00028468i,0.00097001+0.00036468i,0.00049447+0.0003982i,0.00052589-0.00010062i,0.00060307-0.00038904i,1.9659e-05-0.00049899i,-0.00031063-3.8659e-05i,-3.8529e-05+0.00053471i
-0.00097068-0.0003573i,1.4105e-05-0.0010151i,0.00025519-0.00062187i,3.2368e-05+0.00019888i,-0.00064774+0.00042149i,-0.0012063+0.000542i,-0.0008774+0.00042001i,-0.0004967-0.00061791i,-0.00049073-0.00074088i,-0.00039189-7.4874e-05i,-0.00015477-0.00071334i,-7.0261e-05-0.00072706i,-0.00046781+0.0010578i,-0.00050987+0.0017906i,0.00050392+0.0013108i,0.0015552+0.0010996i,0.00088043+0.00090107i,-0.00053933+0.00052309i,-0.0011291+0.00055686i,-0.00042235+0.00041241i,0.00067306-0.00081018i,0.00081928-0.00075562i,0.00092872-0.00019218i
0.0057216-0.004334i,0.0031355-0.0049186i,-0.00069377-0.0037874i,-0.0024751-0.0021921i,-0.002643-0.0014643i,-0.0019705+0.00034184i,0.00019768+0.0010862i,0.0013782-0.0001497i,0.00065386-0.0011587i,0.00036148-0.00024313i,0.0003864+0.0010963i,0.00035823+0.0014894i,-0.00016308+0.001963i,-0.00033959+0.0031811i,8.7192e-05+0.003192i,0.00028079+0.0021796i,-0.0002794+0.0018586i,-0.00039257+0.00086036i,0.00048723+1.7382e-06i,0.0019987+0.00019696i,0.002421-1.9422e-05i,0.00076315-0.00023015i,-0.0011362+0.0003955i
0.0034095-0.0023946i,0.0010409-0.0037314i,-0.0023152-0.0042089i,-0.0033646-0.0033948i,-0.002487-0.0017186i,-0.0014166-0.00045543i,-0.0004164-0.00024425i,-0.00025097-0.00062006i,-0.00058019-0.00071229i,-0.00013935-0.00019065i,0.00082394-0.0001294i,0.0010394-0.00053115i,0.0005664+4.255e-05i,-0.00050935+0.0013808i,-0.0016105+0.0022211i,-0.0015115+0.0015955i,-0.0010065+0.0010479i,-0.0009016+0.00047883i,-0.00073623+0.00066013i,0.00021447+0.00066071i,0.00079544-0.00013214i,0.00023319-0.00013957i,-0.00042842-0.00010711i
0.00092884-3.6967e-05i,0.00025517-0.00012246i,-0.00092786-0.00089213i,-0.0013655-0.00039859i,-0.001021+0.00014843i,-0.0012003+1.6776e-05i,-0.00082598-0.00044293i,0.00033846-0.0013053i,0.00013527-0.0023708i,-0.00076943-0.002396i,-0.00056232-0.00092979i,-0.00023687+0.00047998i,-0.00041546+0.0010965i,-0.00075106+0.0013768i,-0.00074964+0.0017826i,-3.0925e-05+0.0019895i,6.0754e-05+0.0011347i,-0.0006378-0.00016136i,-0.00028602-0.0011658i,0.00093312-0.0011487i,0.0012344-0.00089775i,0.0016375-0.00077833i,0.0017511+6.1217e-05i
-8.8351e-05-0.002152i,-0.00090353-0.0023522i,-0.0020887-0.001102i,-0.0022006+0.00020712i,-0.0017202+0.00070686i,-0.0010014+0.00055474i,4.3569e-05+6.4747e-05i,0.00052937-0.00035451i,0.00019585-0.0010969i,-0.0005438-0.00065685i,-0.00044391-0.00012695i,-7.0834e-05+0.00074174i,-0.0011394+0.00084163i,-0.0016329+0.00016756i,-0.00094184+0.00029849i,-0.0009687+0.00021518i,-0.0013264-4.1741e-05i,-0.0010258-0.00076327i,-0.00049895-0.0012609i,0.00017215+0.00012205i,0.00051067+0.0014065i,0.00034854+0.0012309i,-6.7814e-06+0.00090915i
-0.0012735-0.0012196i,-0.0024474-0.0014734i,-0.0039513-0.00093878i,-0.0030493+0.00068928i,-0.001338+0.00042328i,-0.00034857-0.00044077i,0.0010196-0.00011593i,0.0013862-0.0010085i,0.0001605-0.001448i,-0.00065008+0.00014304i,-4.9929e-05+0.00095103i,-6.1776e-05+0.00052478i,-0.00062623+0.00051719i,-0.0010208+0.00010424i,-0.0010954-0.00027371i,-0.0011133-0.00032192i,-0.001266-0.00014365i,-0.00091771-0.00062572i,-0.00090511-0.0010811i,-0.00080168-0.00032555i,-0.0003224+0.00050145i,-0.00058402+0.00052426i,-0.00020243+0.00031681i
0.0012518-0.0019129i,-0.00022155-0.0014953i,-0.0012541-0.0021167i,-0.0010633-0.0011515i,-0.001056+0.00056611i,-0.00019322+0.0012126i,0.0008374+0.00051964i,0.0013077-0.00076001i,0.0015314-0.0014176i,0.0013654-0.0012927i,0.00095539-0.00088984i,0.00053264-0.00045313i,-0.00053139-0.00010122i,-0.0017308+2.2852e-05i,-0.0021441+0.0002788i,-0.0018654-0.00014209i,-0.0011626-0.0010094i,-0.00040319-0.0018738i,5.7021e-05-0.0020807i,-0.00010692-0.0011609i,-0.00039517-0.00019523i,0.00017689+0.00055764i,-8.1608e-05+0.001245i
0.00079141-0.00016538i,0.00046327-0.00058485i,-0.0014752-0.00091206i,-0.0024067-0.0013028i,-0.0013174-0.0011561i,4.0843e-05-0.00058098i,0.00015598-0.00067557i,-0.0006011-0.00091572i,-0.00071673-0.001493i,-0.00030878-0.0009723i,-0.00030213-0.00019719i,-0.00016133-0.00037523i,-0.001033-0.0007383i,-0.0019691-0.0017592i,-0.0018162-0.0018835i,-0.001235-0.0017094i,-4.2767e-05-0.00094843i,0.00034428-0.000709i,-0.00010604-0.0011225i,-0.00047966-0.00043846i,-0.00043126+0.00010682i,-0.00055957+0.0002272i,-0.00076111+0.00049436i
0.00083646-0.0033099i,-0.0011558-0.0034533i,-0.0021551-0.0019351i,-0.0024796-0.00048172i,-0.0020391+8.8478e-05i,-0.0013619+0.00086497i,0.00013061+0.00088639i,0.001212+8.8313e-05i,0.00085414-0.00030808i,0.00020698+0.0007692i,3.2902e-05+0.000978i,0.00014147+0.00050549i,-3.7837e-05+0.00038464i,-0.00036727-3.0026e-05i,-0.00064507-0.00063444i,-0.00035325-0.000863i,0.00029053-0.001175i,0.00040499-0.0022821i,0.00058378-0.0024536i,0.000274-0.0010456i,-0.00031758+0.0004223i,-0.00028623+0.00083645i,-0.00032379+0.00075732i
0.0017971+0.0022932i,0.0014618+0.0026843i,0.0013064+0.0012869i,0.0022426-0.00095466i,0.0011546-0.0015985i,-0.00024882-0.00032147i,5.3959e-05+0.0012497i,0.00034469+0.00082387i,0.00026273+3.9861e-05i,0.00052312-9.7524e-05i,0.00099332-0.00040302i,0.00079702+0.00010261i,0.00013605-0.00032022i,-0.00046918-0.0024394i,-0.0008295-0.0026097i,-0.00061305-0.0014991i,0.00026883-0.0012438i,0.00085758-0.0013091i,0.00069006-0.0014697i,0.00096894-0.00054208i,0.00080491+0.00091828i,0.00037942+0.0010612i,-0.00038909+0.0007495i
0.0017805-0.00027876i,0.0011179-0.00027195i,-1.5799e-05-0.0003318i,-0.00047185-0.00047164i,-0.0012006-0.00038457i,-0.0012101+7.3672e-05i,0.00023463+0.00031014i,0.00080181-0.00085346i,0.00090609-0.0019115i,0.00061577-0.0017684i,0.00072571-0.0011587i,0.0011119-0.00063792i,0.00074589-0.00073809i,0.00066049-0.0012342i,0.00097628-0.0011154i,0.0013857-0.00046638i,0.0010856-0.00020097i,0.00055313-0.0011088i,0.00028527-0.0021257i,-5.5246e-05-0.0015555i,-0.00063061-0.00013425i,-0.00079391+0.0010385i,-0.00045183+0.00064458i
-0.0024141-0.0019807i,-0.0037361-0.00071932i,-0.0044894+0.0016923i,-0.003012+0.0026497i,0.00012736+0.0021848i,0.001665+0.0022057i,0.00066395+0.0010201i,-0.00086996-0.001563i,-0.0016701-0.0021587i,-0.0013926-0.00072969i,-0.00066596+2.6246e-05i,-3.2993e-05+0.00069475i,0.00027965+0.00039987i,0.0012754-0.00061009i,0.0021318-0.00051145i,0.0022729-0.00060259i,0.0020109-0.00077833i,0.0020124-0.00077105i,0.0027089-0.0014199i,0.0021726-0.0014197i,0.00045609-0.0009322i,-0.00071635-7.7519e-06i,-0.0011394+0.00045233i
0.00062562-0.00018135i,-0.00011486+0.00028711i,-0.00061071-0.00058443i,-0.00034788-0.0017433i,-0.00055516-0.0016337i,-0.0014558-0.0010889i,-0.00042598-0.00067572i,0.00096678-0.0013573i,0.00042704-0.0013709i,-0.00061295-7.6023e-05i,-0.00075076+0.00093698i,-0.0001324+0.00098491i,0.00041564+0.00018612i,0.0010427-0.00054723i,0.0017401-0.00046917i,0.001771+0.00024485i,0.0010121+0.00013945i,0.00063926-0.00086011i,0.0013576-0.0012448i,0.0019168-0.00069415i,0.0012342-0.00026841i,0.00013453-0.00068248i,-0.00030684-0.00046942i
0.00051477-0.0021894i,-6.7161e-05-0.0032163i,-0.0021128-0.0034193i,-0.004248-0.0016637i,-0.0039591+0.0013681i,-0.0024602+0.0027534i,-0.00045501+0.0017693i,0.0015332-0.00069787i,0.0017749-0.0020175i,0.0013206-0.00066824i,0.0008065+0.00076144i,0.00013542+0.0010022i,-9.4263e-05+0.00072808i,0.00057794+0.0010885i,0.00081936+0.0015937i,0.00049983+0.0015309i,0.00046807+0.00098438i,0.00095058-8.0183e-05i,0.0019718-0.00055596i,0.0022794+2.1057e-05i,0.0012033+0.00014186i,0.0001893+8.3318e-05i,7.2392e-06+0.00038653i
0.00037771-0.0034377i,-0.0011325-0.0032322i,-0.002592-0.00075083i,-0.0022061+0.0009446i,-0.00089659+0.00063452i,-0.0005591+0.00039966i,2.6409e-05+0.00074071i,0.001393+0.00036069i,0.0013458-0.00059581i,0.0002872-0.00068366i,-5.9919e-05-0.00030368i,-0.0001024-0.00024065i,0.00043253+0.00060041i,0.00098487+0.0012148i,0.00090798+0.00048648i,0.0011636+0.00019631i,0.00062489+0.00054297i,0.00069153+0.00050161i,0.0023856-0.00017725i,0.0024293-0.0002514i,0.00107-0.00020041i,0.0001614-0.00038413i,-0.00097444-0.00010448i
0.0021241+0.00051011i,0.00040116+0.00016999i,-0.00023539-4.3032e-05i,0.00036373-0.00084012i,4.2358e-05-0.0018418i,-0.00016231-0.0014247i,0.00074827-0.00025503i,0.0011026-2.4996e-05i,0.00054458-0.00026048i,0.00013691-0.00047141i,-0.00028379-0.00056495i,0.00029751-0.00027172i,0.0010984+0.00065028i,0.0011915+0.0015682i,0.00019202+0.0019143i,-0.00019778+0.002152i,0.00045419+0.0016885i,0.00098298+0.0012115i,0.001196+0.00094161i,0.0014031+0.00063609i,0.001387+0.00041126i,0.00041373-0.0003775i,-3.7594e-05-0.00073304i
0.00088908-0.0020833i,-0.00026559-0.0020533i,-0.002458-0.0010907i,-0.0033046-0.00015436i,-0.0016715+0.00026451i,-0.00018364+0.00069387i,-0.00058295-0.00044393i,-0.0002303-0.0012425i,0.00037505-0.00028664i,0.00041626+0.00054082i,0.00056204+0.00079536i,0.00062287+0.00054141i,0.0010624+0.00052025i,0.00062087+0.0016117i,-0.00087555+0.0021365i,-0.00061322+0.00097256i,0.00034862+0.00048429i,0.0010949+0.0009152i,0.0015853+0.00095219i,0.0011452+0.00059689i,0.00039049-0.00023829i,-0.00025898-0.00070063i,0.00047205-0.00023019i
-0.002428-0.0035671i,-0.0050406-0.0038035i,-0.0054242-0.0016129i,-0.0030203+0.00065768i,-0.00065573+0.00039068i,-0.00020567-0.00015542i,-0.00020131+0.00057534i,0.00020414+9.8415e-05i,0.00012257-0.0012736i,0.00011355-0.00099064i,-7.0788e-05-0.00051637i,-0.00028166-0.00053938i,0.00016333-0.00011753i,0.00077354+0.00085566i,2.1485e-07+0.0013868i,-0.0010491+0.0011189i,-0.00066797+0.00020508i,9.1073e-05-0.00036003i,0.00070988-0.0002464i,0.001496+0.00034392i,0.0010044+0.00066188i,-7.3233e-05+0.00038336i,-2.626e-05-0.00015642i
0.00050142-0.00077406i,-0.0012649+0.00034492i,-0.0021495+0.0021582i,-2.6945e-05+0.0020104i,0.00049151+0.00098637i,-0.0002308+0.00010359i,-7.1467e-06+0.00032479i,0.00049554-0.0001965i,-0.00061943-0.00082566i,-0.0015115-0.0010653i,-0.0011022-0.0015576i,-0.00049574-0.00087631i,-0.00033861-2.1469e-05i,-0.00099715+0.00030684i,-0.0019192+1.3294e-05i,-0.0020061+8.8018e-07i,-0.0015781+0.00047241i,-0.00063612+0.0010257i,0.00089138+0.0010434i,0.0017839+0.001488i,0.001963+0.0027768i,0.0013447+0.0022053i,0.0006468+0.00010878i
0.0034951-0.0037159i,0.0017593-0.0055776i,0.0002658-0.0055183i,-0.00044071-0.0036593i,-0.0004236-0.0016513i,-0.00013526+4.662e-05i,0.0006143+0.00057451i,0.0016688-0.0010601i,0.0010296-0.0019119i,-0.0011135-0.0015865i,-0.0012736-0.0015403i,-0.00040119-0.0016373i,6.1558e-05-0.00064443i,-7.6837e-05+0.00020345i,-0.00091534+0.00036422i,-0.0012419+0.00012258i,-0.00075597-0.00024956i,-0.00018916+0.00058368i,-0.00011908+0.00094895i,7.5672e-05+0.0012403i,0.00045573+0.0013028i,0.00013056+0.00018746i,0.00075612-0.00018166i
0.0046253-0.0050532i,0.0020465-0.0060365i,-0.0016679-0.0058958i,-0.0025892-0.0037934i,-0.002117-0.0017737i,-0.0015784-0.0001803i,-0.0001869+5.0706e-05i,0.0014489-0.0012031i,0.0015976-0.0014982i,0.00024801-0.0011766i,-0.00011283-0.0014184i,0.0010856+6.5861e-06i,0.00017038+0.002066i,-0.0018563+0.0017795i,-0.0026701+0.00021255i,-0.0024287-0.0010555i,-0.0016524-0.0012085i,-0.00087552-0.00052743i,6.904e-05-0.00010004i,0.00079809+0.00017453i,0.0012792-1.8158e-05i,0.0012891+0.00030865i,0.0011695+0.00081452i
0.0035892-0.00032508i,0.0019406+4.359e-05i,-0.00045968+0.00089917i,-0.0015859+0.0018899i,-0.0012882+0.0029378i,-7.5659e-05+0.0033427i,0.00033825+0.001645i,-0.00049278-0.0009907i,-0.0010472-0.0023382i,-0.0010537-0.0023635i,-0.00028783-0.0020247i,0.00078618-0.00050014i,0.00021099+0.0015921i,-0.00059753+0.00089816i,-0.00036423-0.00045819i,-0.00058714-0.00031452i,-0.00086387+0.00038375i,-0.00058439+0.00040828i,-0.00012888+0.00054329i,9.8566e-05+0.0009508i,0.00015671+0.0010689i,0.00014022+0.0013902i,0.00026518+0.0016731i
