0.0034124+0.00019672i,0.0034184-0.0016915i,0.0020708-0.0034664i,-0.0003831-0.0028278i,-0.0021195-0.0017477i,-0.0026011+0.00033666i,-0.0013658+0.001366i,-9.9588e-06+0.0011664i,0.0013713+0.00091867i,0.0012763-4.5357e-05i,0.00077408-0.00055797i,0.00046029-0.00094656i,-0.00039019-0.000574i,-0.00099804-0.00017097i,-0.00085169-0.00065132i,-0.00017422-0.00056245i,2.1037e-05-0.00033048i,-0.00034795+0.00013627i,-0.00078133-0.00036241i,-0.0011778-0.00094027i,-0.00075489+3.6462e-05i,-0.00058029+0.00095067i,-0.0013703+0.00039378i
0.0091015-0.014655i,0.0011309-0.043548i,-0.02592-0.071124i,-0.049013-0.060011i,-0.026641-0.004804i,0.028032+0.032749i,0.050838+0.018163i,0.02847-0.0037737i,0.0038577+0.0036469i,0.0028054+0.01709i,0.0084181+0.011449i,0.009582+0.00076292i,0.01065-0.0031795i,0.010297-0.0033723i,0.0069287-0.0044314i,0.0029534-0.006386i,0.0027437-0.0086731i,0.0050635-0.013202i,0.0026892-0.016653i,-0.0031805-0.011977i,-0.0067221-0.0031401i,-0.0056637+0.0020042i,-0.0038722+0.0032201i
-0.028127-0.0045901i,-0.063696+0.0018454i,-0.080487+0.015434i,-0.044138+0.017464i,0.026979+0.0020374i,0.082642-0.0077918i,0.091612-0.016224i,0.054145-0.024252i,0.01898-0.010641i,0.014863-0.00027028i,0.011964-0.0085234i,0.0036148-0.016606i,0.0024643-0.018898i,0.0022711-0.014752i,0.00081718-0.0050402i,-1.903e-05+0.0027001i,-0.0020049+0.0073121i,-0.004386+0.010669i,-0.0052682+0.011967i,-0.0048906+0.010299i,-0.00424+0.0079233i,-0.003526+0.0035308i,-0.0030751-0.0015475i
-0.0013821+0.016013i,0.00073848+0.044144i,0.014912+0.073739i,0.025489+0.057909i,0.0034173-0.014728i,-0.045874-0.081206i,-0.080099-0.073563i,-0.060235-0.021218i,-0.0088085+6.1651e-05i,0.01397-0.010621i,0.0061874-0.012486i,-0.0048091-0.0049064i,-0.01229-0.0016264i,-0.013912+0.00012405i,-0.009581+0.0016796i,-0.005269+0.00078116i,-0.0057967-0.0026253i,-0.0095747-0.0041244i,-0.010474-0.00033385i,-0.0041598+0.004193i,0.004187+0.0039167i,0.006876+0.0017529i,0.0053581+0.0018552i
-0.00070727+0.030631i,0.013202+0.042142i,0.027099+0.021295i,0.0048021-0.011421i,-0.043961-0.0091655i,-0.064035+0.012861i,-0.046913+0.017965i,-0.025026+0.011152i,-0.0099786-0.0018979i,-0.0091211-0.013756i,-0.016987-0.0075812i,-0.016196+0.005055i,-0.012689+0.010153i,-0.0093369+0.009049i,-0.0016886+0.003512i,0.0051332-0.001362i,0.010089-0.00048497i,0.015508+0.0028269i,0.019222+0.0019502i,0.015841-0.0038368i,0.0070861-0.0062033i,0.00057815-0.0037521i,-0.0019779-0.0021789i
0.023127-0.0099865i,0.046826-0.033399i,0.051996-0.055062i,0.020411-0.037497i,-0.018584+0.034567i,-0.026255+0.11639i,0.0029179+0.13298i,0.029099+0.071508i,0.0062124+0.007715i,-0.023086-0.0014843i,-0.012634+0.010003i,0.0059454+0.0096524i,0.013027+0.0086682i,0.014138+0.0086216i,0.0084105+0.0043287i,-0.00097342+0.0020624i,-0.0065334+0.0035416i,-0.0072646+0.0050395i,-0.0072387+0.0023541i,-0.0075653-0.0016479i,-0.007633-0.0023857i,-0.0061009-0.00076931i,-0.0015771-0.00011225i
0.0036488+0.00064914i,-0.013335+0.0065449i,-0.049168+0.029087i,-0.040956+0.068569i,0.0442+0.075613i,0.12321+0.025881i,0.11183-0.025042i,0.045665-0.028519i,0.003692+0.0025219i,-0.0010865+0.025807i,0.0060803+0.02351i,0.01084+0.010516i,0.011835+0.0017872i,0.0086028-0.0020903i,0.0020113-0.0014306i,-0.00099432-0.00073865i,0.00051691-0.0055033i,-0.0001007-0.013508i,-0.0045785-0.014759i,-0.0076809-0.0062169i,-0.0050523+0.0026885i,-0.00058888+0.0046565i,-0.00075218+0.0029484i
-0.011823-0.023873i,-0.024233-0.039664i,-0.013315-0.034137i,0.026375-0.020326i,0.062627-0.039874i,0.07392-0.079906i,0.049998-0.090553i,0.0080939-0.053657i,-0.0051036-0.0016998i,0.012694+0.018151i,0.018104+0.0045045i,0.0061315-0.0097267i,-0.001452-0.014658i,-0.003413-0.01367i,-0.0013341-0.0059609i,0.0025978+0.0031195i,0.0046332+0.0079073i,0.0045648+0.011249i,0.005564+0.014873i,0.0080555+0.013739i,0.007882+0.0077242i,0.0059707+0.0026702i,0.0052816-0.00045242i
0.0094717+0.013436i,0.03375+0.041175i,0.078843+0.051933i,0.097474-0.0042341i,0.026909-0.096841i,-0.091535-0.1254i,-0.13221-0.068326i,-0.072465-0.0113i,-0.0022297-0.0021071i,0.022245-0.012466i,0.016254-0.013808i,0.0032681-0.0074785i,-0.005612-0.0014754i,-0.0034357+0.003302i,0.0026618+0.0039616i,0.0030324-0.0015573i,-0.0035485-0.0062573i,-0.010899-0.0051111i,-0.010336-0.0016832i,-0.004842-0.0019649i,-0.0015821-0.0050268i,-0.0023542-0.0051233i,-0.0032426-0.0013147i
-0.030086+0.011816i,-0.057746+0.002044i,-0.07543-0.03744i,-0.090788-0.063908i,-0.11022-0.016242i,-0.10274+0.061214i,-0.061472+0.082618i,-0.016171+0.054692i,0.010905+0.01095i,0.0091139-0.022206i,-0.0075824-0.02098i,-0.010609-0.0024488i,-0.0052827+0.0062063i,-0.0056569+0.0046941i,-0.0050663-9.3709e-05i,-0.0016155-0.0031547i,0.0031019-0.0031096i,0.010017-0.0046933i,0.011783-0.0093231i,0.0058552-0.010744i,-0.0013784-0.0071892i,-0.0040471-0.0038933i,-0.0036513-0.0036498i
0.024926-0.006297i,0.052834-0.025066i,0.03842-0.052329i,-0.029226-0.037339i,-0.064016+0.047214i,-0.022233+0.13164i,0.029007+0.1246i,0.028737+0.046308i,-0.0094387-0.0086586i,-0.032114-0.011027i,-0.022668+0.0020017i,-0.006377+0.0050967i,0.0022488+0.002174i,0.0058514-0.00095926i,0.0020824-0.0029474i,-0.004717+0.00021579i,-0.0063971+0.0057697i,-0.0050181+0.0089089i,-0.0047205+0.011088i,-0.0048931+0.011953i,-0.0036154+0.010875i,-0.0012876+0.010102i,0.0014185+0.0092798i
0.0021315+0.029995i,-0.018731+0.075853i,-0.04653+0.13216i,-0.024991+0.16275i,0.06372+0.12052i,0.14294+0.024303i,0.1285-0.04338i,0.053515-0.043491i,-0.0049306-0.010459i,-0.024848+0.01628i,-0.013686+0.021624i,0.0024945+0.0095209i,0.0053754+0.00010414i,0.0024341+0.0025584i,0.001348+0.0067706i,0.0017739+0.0051584i,-3.2438e-06-0.0008341i,-0.0053368-0.0062563i,-0.0087481-0.006983i,-0.0066948-0.0032591i,-0.0014046-0.00017661i,9.3645e-05-0.00059187i,-0.0028101-0.00093109i
-0.0089767-0.042638i,-0.0092481-0.078904i,0.000127-0.078935i,0.027207-0.037229i,0.049598-0.027551i,0.035132-0.064946i,-0.0018064-0.065284i,-0.020528-0.010652i,-0.0075059+0.037731i,0.01384+0.044376i,0.015827+0.023015i,0.0046137+0.0060049i,-0.0013334-0.0002589i,-0.00076647-0.0046076i,0.0013802-0.004277i,0.0036203-7.8534e-05i,0.0057049+0.0037703i,0.0085521+0.005129i,0.012376+0.0046703i,0.013714+0.0016702i,0.010139-0.0031227i,0.0073771-0.0056098i,0.0081314-0.006323i
0.023962+0.0076486i,0.065416+0.028775i,0.12003+0.032584i,0.13002-0.0181i,0.043377-0.081751i,-0.075179-0.088605i,-0.10835-0.046735i,-0.051234-0.0077395i,0.011211+0.0030505i,0.033495+0.0010305i,0.026038+0.00013322i,0.0084594-0.00057616i,-0.00087344-0.0003499i,0.00033626-0.00065069i,0.0025981-0.003916i,0.00014186-0.0058929i,-0.0038019-0.0025712i,-0.0043287+0.0035135i,-0.005498+0.0060928i,-0.0088067+0.0044644i,-0.0088986+0.0035027i,-0.0073376+0.0037006i,-0.0050592+0.0050537i
-0.057679+0.0016128i,-0.11547-0.0033882i,-0.14858-0.018249i,-0.12804-0.014726i,-0.078091+0.037364i,-0.030591+0.1055i,0.015302+0.11253i,0.045684+0.045451i,0.04155-0.020328i,0.022239-0.04082i,0.01003-0.029749i,0.0072861-0.010343i,0.0036799-0.00057444i,-0.0051232+0.0015396i,-0.0088517+0.0027814i,-0.0041752+0.0016233i,0.0010663-0.002007i,0.0025279-0.009088i,0.00045514-0.014676i,-0.0021405-0.011369i,-0.0023703-0.0048827i,-0.0022928-0.0033094i,-0.004117-0.00558i
0.025877-0.0094197i,0.059447-0.029493i,0.062936-0.04901i,0.020418-0.044322i,-0.0049567-0.0033764i,0.025932+0.041735i,0.043423+0.040706i,0.0080342+0.0080743i,-0.028654-0.015885i,-0.035567-0.020548i,-0.026009-0.012384i,-0.010548-0.0021424i,0.002074+0.0039604i,0.0068528+0.0069089i,0.0050047+0.0082073i,0.0016549+0.008498i,0.0010072+0.005837i,0.0020503+0.0031439i,0.0036887+0.0052997i,0.0068921+0.0064299i,0.0082925+0.0043027i,0.0071239+0.0042646i,0.0063875+0.006132i
-0.007777+0.063075i,-0.013217+0.12773i,-0.0026608+0.15686i,0.034273+0.1129i,0.08511+0.018887i,0.11122-0.08102i,0.078755-0.12173i,0.0086406-0.080315i,-0.03801-0.01286i,-0.042159+0.020446i,-0.025409+0.017892i,-0.0099843+0.0033047i,-0.0026486-0.0033871i,0.0045472-0.00010606i,0.0098868+0.0010393i,0.0078668-0.0020459i,0.00054057-0.0025927i,-0.0067496+0.0012191i,-0.010111+0.0032134i,-0.010268+0.0011681i,-0.0081352-0.0014348i,-0.0055449-0.00159i,-0.004387-0.00033005i
0.0051327-0.05605i,0.0044309-0.12142i,-0.0081913-0.14916i,-0.034647-0.10799i,-0.072682-0.061417i,-0.10332-0.042808i,-0.095062-0.018562i,-0.04474+0.023054i,0.0024668+0.047883i,0.019546+0.046735i,0.018699+0.031686i,0.012703+0.012671i,0.0087248-0.0036749i,0.0053146-0.015459i,0.002475-0.017166i,0.0019774-0.011067i,0.0015712-0.0053806i,0.0025692-0.0028216i,0.0037129-0.0039204i,0.0021068-0.0051466i,-0.00031104-0.0041489i,0.00083808-0.0033466i,0.0050815-0.0042359i
0.044996+0.028218i,0.076907+0.05427i,0.075414+0.047533i,0.01866+0.0090058i,-0.056568+0.0022814i,-0.11761+0.03368i,-0.1268+0.0612i,-0.065412+0.059199i,0.0082182+0.034325i,0.03567+0.010087i,0.024017+0.0021084i,0.0043515+0.0038662i,-0.0082259+0.0051516i,-0.013941+0.0037378i,-0.015542+0.0011483i,-0.011209+0.0010849i,-0.0025404+0.0020998i,0.0043298+0.0031147i,0.0053041+0.0056782i,0.0038707+0.0088787i,0.0023417+0.0098114i,-0.000375+0.0076391i,-0.004188+0.0048801i
-0.069167-0.013674i,-0.14386-0.023551i,-0.1768+0.0087792i,-0.11304+0.082125i,-0.0029451+0.14394i,0.082137+0.17292i,0.11677+0.14307i,0.094299+0.052276i,0.046924-0.023295i,0.020147-0.044575i,0.013413-0.038106i,0.007484-0.022143i,-0.0011301-0.0045083i,-0.0089375+0.0092865i,-0.0089408+0.014395i,-0.0038572+0.0085967i,-0.0034553+0.0011947i,-0.0061956-0.00085274i,-0.0064342-0.0014228i,-0.0041372-0.0022193i,-0.0012748-0.0017495i,2.0413e-05-0.002659i,-0.00073298-0.004798i
0.042507-0.010752i,0.10458-0.006636i,0.16127+0.011309i,0.1632+0.021699i,0.14131+0.0052035i,0.13894-0.027275i,0.1273-0.041215i,0.077766-0.03768i,0.016965-0.032383i,-0.017326-0.021801i,-0.019969-0.0088584i,-0.0080275+0.00040286i,0.005294+0.0051382i,0.017249+0.00771i,0.020718+0.0080804i,0.014542+0.0046121i,0.0065057+0.00068828i,0.0019065-0.0011263i,0.0018169-0.0014072i,0.0043366-0.0022337i,0.0053083-0.004059i,0.0047745-0.0013646i,0.0054639+0.0055998i
-0.044672+0.072661i,-0.062925+0.13269i,-0.043838+0.13044i,0.020074+0.032639i,0.056214-0.088131i,0.030316-0.16406i,-0.016631-0.17665i,-0.053879-0.11182i,-0.061559-0.024549i,-0.049566+0.016509i,-0.036429+0.021217i,-0.01913+0.01249i,-0.0027361-0.002013i,0.0059926-0.012345i,0.0075355-0.015964i,0.0029495-0.011355i,6.7792e-05-0.0010603i,0.0019387+0.0065253i,0.0032972+0.0072764i,-5.4049e-05+0.0032502i,-0.0037772-0.00018577i,-0.0049025-0.0030162i,-0.0057152-0.0063816i
0.011242-0.067965i,0.019355-0.16329i,0.018523-0.24701i,-0.02979-0.23612i,-0.11298-0.13604i,-0.16879-0.03269i,-0.16534+0.020818i,-0.1036+0.028992i,-0.036393+0.028804i,0.0039504+0.036118i,0.023766+0.030518i,0.018647+0.013106i,0.00022023-0.0003231i,-0.010683-0.0087751i,-0.012288-0.011759i,-0.0083049-0.0081412i,-0.0035277-0.0027169i,-0.00053728-0.0007665i,-0.0011849-0.0026788i,-0.0037164-0.0031176i,-0.0048444-0.00061166i,-0.0025215+0.00099969i,0.0028506-0.0010996i
0.063052+0.06168i,0.10086+0.12612i,0.063456+0.16067i,-0.028844+0.14495i,-0.063836+0.12754i,-0.032928+0.14097i,0.00091522+0.15168i,0.021358+0.12511i,0.044491+0.069395i,0.052867+0.023585i,0.040449+0.0032957i,0.02387-0.00097009i,0.0065431+0.0055414i,-0.0083646+0.014829i,-0.01277+0.01961i,-0.0058017+0.015018i,0.0026537+0.0051486i,0.0038614-0.0031171i,-0.00018237-0.0053104i,-0.0018426-0.0020954i,-0.00088893+0.0010939i,-0.0015061+0.0037826i,-0.0038049+0.0071402i
-0.075381-0.037149i,-0.18093-0.066633i,-0.23877-0.04736i,-0.16922+0.031572i,-0.031676+0.085588i,0.084565+0.070207i,0.13131+0.028755i,0.1037-0.0059721i,0.047249-0.032281i,0.012004-0.051067i,-0.0036257-0.051481i,-0.0071274-0.030249i,0.003393-0.0070718i,0.014031+0.0057753i,0.016479+0.0073149i,0.011483+0.0012956i,0.0027074-0.0027628i,-0.0020492-0.00034819i,-0.0022263+0.0039752i,-0.00079085+0.0064763i,0.0024+0.0053826i,0.0067576+0.0007825i,0.0072326-0.0045784i
0.081657-0.032986i,0.18874-0.049072i,0.2766-0.046711i,0.26139-0.042941i,0.16787-0.074667i,0.068726-0.13402i,0.0078726-0.16216i,-0.014828-0.1299i,-0.027507-0.075558i,-0.041146-0.033814i,-0.041096-0.0092185i,-0.025984-0.00090091i,-0.0070084-0.0030903i,0.0087912-0.0089326i,0.015076-0.011223i,0.010027-0.009389i,0.00089609-0.0050609i,-0.0047716-0.00013406i,-0.004227+0.0027209i,-0.00092116+0.001101i,0.00025577-0.0017891i,-0.00066473-0.0012158i,-3.244e-05+0.0022229i
-0.068849+0.074808i,-0.13393+0.15942i,-0.14978+0.19609i,-0.089216+0.12806i,-0.052763+0.038848i,-0.092431+0.024083i,-0.12847+0.047094i,-0.10568+0.056209i,-0.060837+0.057364i,-0.035385+0.060606i,-0.020034+0.057792i,-0.0055426+0.035753i,-0.005406+0.003865i,-0.01428-0.013953i,-0.018358-0.016022i,-0.016315-0.0078922i,-0.010494+0.0012527i,-0.0030984+0.002996i,0.0022769-0.00054204i,0.0027852-0.0041255i,0.00034077-0.0052009i,-0.0038006-0.0059251i,-0.0089512-0.0057377i
-0.013217-0.081698i,-0.018631-0.18938i,-0.033908-0.26611i,-0.073106-0.21805i,-0.09272-0.068384i,-0.056478+0.074556i,-0.0092081+0.14138i,0.015592+0.1208i,0.030189+0.071774i,0.050442+0.044029i,0.05874+0.024896i,0.038516+0.010912i,0.011351+0.011658i,-0.0032751+0.013328i,-0.0065069+0.010895i,-0.0028112+0.0086731i,0.0015237+0.0053842i,0.0042828+0.0028008i,0.0032435+0.0016758i,-0.00081096+0.0016711i,-0.0017607+0.0042992i,0.0031233+0.0080918i,0.0090198+0.0082883i
0.066065+0.095829i,0.14826+0.19033i,0.1888+0.23628i,0.15876+0.18509i,0.13427+0.09573i,0.16766+0.027419i,0.20002-0.028804i,0.1612-0.060059i,0.092891-0.06214i,0.051909-0.060253i,0.030067-0.057325i,0.013219-0.041133i,0.003968-0.01487i,0.003441+0.008694i,0.0065811+0.019112i,0.0082466+0.014518i,0.0066419+0.0057356i,0.0020298-0.00042379i,-0.0023557-0.0020718i,-0.0030707-0.00083111i,-0.002177-0.001749i,-0.003599-0.003611i,-0.0052618-0.0028043i
-0.080481-0.031648i,-0.17712-0.060802i,-0.21256-0.061409i,-0.13128-0.029061i,-0.039093-0.028056i,-0.01707-0.086786i,-0.041878-0.1351i,-0.06168-0.1204i,-0.059829-0.076679i,-0.056408-0.0532i,-0.056639-0.037578i,-0.038773-0.01575i,-0.009584-0.0077868i,0.007866-0.012034i,0.012008-0.014278i,0.0070847-0.012124i,-0.00082476-0.0076165i,-0.0025029-0.0035258i,0.00017215-0.001658i,0.0033244-0.0019446i,0.0050736-0.0036881i,0.0054807-0.0075086i,0.0053649-0.01146i
0.096648-0.042314i,0.19324-0.10069i,0.20586-0.15783i,0.097357-0.15976i,-0.016747-0.10363i,-0.10109-0.046976i,-0.16832-0.00042709i,-0.16662+0.045942i,-0.11072+0.06609i,-0.069436+0.069596i,-0.043645+0.069395i,-0.02048+0.047884i,-0.0092998+0.0214i,-0.0036716+0.0052185i,-3.1061e-05-0.0048515i,0.00054228-0.0061548i,0.002014-0.0014319i,0.0013546+0.00089695i,-0.0011826-2.7091e-05i,-0.0035535-0.00055101i,-0.0069184+0.0016998i,-0.0087733+0.0091992i,-0.008222+0.015591i
-0.069367+0.069066i,-0.14862+0.14762i,-0.17452+0.19444i,-0.1179+0.15917i,-0.058037+0.11256i,-0.013185+0.14165i,0.044033+0.18636i,0.078947+0.15983i,0.07179+0.0999i,0.059134+0.064923i,0.058024+0.043634i,0.044683+0.02164i,0.018236+0.0052285i,-0.0025217-0.0013756i,-0.012475+0.00058505i,-0.010381+0.0038912i,-0.0041525+0.0035802i,-0.0014708+0.0026982i,-0.0020866+0.0022515i,-0.003061+0.0015428i,-0.00072423+0.00049581i,0.0017434-0.0031689i,0.0015394-0.0069201i
-0.0064921-0.085435i,-0.009267-0.14345i,-0.010261-0.11547i,0.0063467-0.0045198i,0.054663+0.050406i,0.10687+0.0086931i,0.1368-0.033691i,0.13673-0.048962i,0.11101-0.053379i,0.087412-0.052161i,0.062915-0.052396i,0.031404-0.038943i,0.012818-0.01599i,0.0043776-0.0026686i,0.0012235+0.002997i,0.0027883+0.0012939i,0.0011962-0.0022557i,-0.00035534-0.0029977i,6.1564e-06-0.00096859i,0.0017863+0.0021011i,0.006901+0.0024398i,0.011545+0.00087766i,0.013873+0.00094796i
0.035+0.095387i,0.086948+0.17598i,0.13015+0.18125i,0.12669+0.082561i,0.077584-0.01975i,0.021058-0.081399i,-0.025087-0.13104i,-0.060157-0.13562i,-0.066266-0.09566i,-0.057916-0.064386i,-0.051471-0.043822i,-0.034852-0.025511i,-0.017022-0.013796i,-0.0058644-0.0032889i,0.0030969+0.002595i,0.005991+0.0022158i,0.0027606+0.0013872i,-0.0014517+0.00056817i,-0.001394-0.0021153i,-0.00028509-0.0053343i,-0.0058933-0.0072865i,-0.01535-0.006543i,-0.01997-0.0046155i
-0.058426-0.036487i,-0.091974-0.094039i,-0.062223-0.16417i,-0.012786-0.19549i,-0.043739-0.14957i,-0.11902-0.043558i,-0.14378+0.044139i,-0.1187+0.061558i,-0.088835+0.039279i,-0.067985+0.024436i,-0.046728+0.025855i,-0.023137+0.024999i,-0.0078858+0.015243i,-0.00054995+0.0063818i,0.0027187-0.00030421i,0.00058225-0.0042305i,-0.001802-0.0018272i,-0.0011721+0.0012584i,-0.0011622+0.0025418i,-0.0027459+0.0035i,-0.0029021+0.0034458i,0.0027029+0.0027768i,0.010231-0.00094007i
0.097404+0.011375i,0.15942+0.015781i,0.11724+0.03139i,-0.0073719+0.063111i,-0.048545+0.10418i,0.012482+0.13236i,0.063721+0.13308i,0.070095+0.11224i,0.052822+0.08371i,0.034817+0.065558i,0.027211+0.048119i,0.016572+0.021195i,0.002438+0.0051342i,-0.00286-0.00015939i,-0.0039402-0.0018328i,-0.0030452+0.00074888i,-0.00051285+0.001126i,-0.002157+0.00119i,-0.0036773+0.0034904i,-0.001757+0.0070655i,0.0018247+0.010972i,0.004666+0.012991i,0.0018271+0.014041i
-0.076449+0.034017i,-0.16348+0.049366i,-0.22412+0.042728i,-0.18935+0.045001i,-0.072916+0.057872i,0.049239+0.027494i,0.09874-0.034097i,0.072384-0.056291i,0.041577-0.026266i,0.035311-0.0021834i,0.03054-0.0048026i,0.018105-0.0082642i,0.0089188-0.0029787i,0.0034251+0.0014214i,-0.0012993+0.0037083i,-0.0022062+0.0056302i,-0.00055982+0.0055506i,0.0020894+0.002766i,0.0066137-0.0015091i,0.0092549-0.0054524i,0.008189-0.010944i,0.0037574-0.017831i,-0.0019897-0.020025i
0.044413-0.079622i,0.11857-0.12866i,0.21199-0.098427i,0.25881-0.032409i,0.20227-0.040275i,0.078918-0.09964i,-0.023539-0.11168i,-0.051861-0.072829i,-0.023618-0.042033i,0.0086202-0.030848i,0.012089-0.020128i,0.0020682-0.0011339i,-0.0011742+0.010452i,0.00068622+0.011408i,0.0055187+0.0088789i,0.0082179+0.0015487i,0.0057907-0.0021634i,0.0035448-0.00035583i,0.0010602-0.0019124i,-0.0020313-0.0052833i,-0.0051231-0.0052056i,-0.0049621+0.0010374i,0.0028076+0.010475i
-0.01988+0.086916i,-0.052645+0.18095i,-0.091774+0.21338i,-0.095333+0.13898i,-0.073733+0.050594i,-0.087116+0.035703i,-0.09352+0.071326i,-0.050137+0.079639i,-0.00825+0.033031i,-0.0046-0.014118i,-0.0072026-0.019821i,0.0069993-0.01084i,0.019993-0.012255i,0.02064-0.015692i,0.013893-0.013057i,0.0060259-0.0070043i,0.0018266-0.0036041i,-0.0014547-0.0049401i,-0.0067443-0.0047376i,-0.012402+0.00013269i,-0.014877+0.0056081i,-0.013467+0.0074416i,-0.012626+0.0031004i
-0.05831-0.078i,-0.098247-0.18055i,-0.10687-0.26721i,-0.098415-0.25018i,-0.087455-0.13026i,-0.034658+0.0065603i,0.031574+0.059627i,0.047379+0.030617i,0.0069275-0.0030764i,-0.035893-0.0084949i,-0.037285-0.0048781i,-0.018144-0.010872i,-0.011153-0.015606i,-0.012589-0.01249i,-0.011903-0.0099542i,-0.011526-0.0069711i,-0.010446-0.0037429i,-0.0078879-0.0017869i,-0.0048911+0.0014616i,0.0001488+0.0056617i,0.0081677+0.0061829i,0.015935+0.0010152i,0.017892-0.006506i
0.084742+0.065482i,0.17926+0.15797i,0.23217+0.23008i,0.19493+0.21935i,0.13225+0.14345i,0.10894+0.056337i,0.093381-0.009401i,0.042123-0.036702i,-0.010984-0.0056056i,-0.024543+0.050623i,-0.016159+0.06064i,-0.018377+0.029041i,-0.03046+0.0062149i,-0.032791+0.0044253i,-0.021046+0.0095093i,-0.0050258+0.0077608i,0.0021489+0.0029497i,0.00058181+0.0035842i,0.0018728+0.0056687i,0.0065135+0.0026248i,0.0056886-0.0023758i,-0.0020666-0.00051269i,-0.008735+0.007432i
-0.080168+0.014552i,-0.1698+0.012992i,-0.22198+0.0062418i,-0.16705+0.0030662i,-0.077052-0.022044i,-0.047749-0.065605i,-0.058321-0.069284i,-0.051425-0.022933i,-0.0030765+0.02011i,0.053842+0.029448i,0.066279+0.024131i,0.040485+0.027662i,0.023423+0.037438i,0.023281+0.036208i,0.019964+0.022862i,0.0091282+0.010169i,0.00070908+0.0052973i,1.9884e-05+0.0061549i,0.0017641+0.0040805i,-0.0010412-0.0025966i,-0.0059821-0.0073851i,-0.0059672-0.0094067i,-0.0015862-0.0099425i
0.08481-0.059805i,0.17656-0.14509i,0.22278-0.23434i,0.14679-0.25114i,0.015184-0.16344i,-0.057172-0.043097i,-0.057788+0.018608i,-0.018169+0.022696i,0.023544-0.0096286i,0.040214-0.061066i,0.033065-0.077915i,0.020538-0.049046i,0.015979-0.019879i,0.014654-0.011832i,0.010078-0.011026i,0.0027872-0.0093061i,-0.0025345-0.0076524i,-0.00084168-0.0058337i,0.00022362-0.0057707i,-0.0030531-0.003135i,-0.0026757+0.0046076i,0.0031619+0.009636i,0.0082239+0.0083277i
-0.032558+0.073471i,-0.074531+0.15689i,-0.11653+0.21785i,-0.12037+0.21242i,-0.081336+0.18231i,-0.032594+0.1603i,-0.0052159+0.11836i,-0.011254+0.054034i,-0.043728+0.0019087i,-0.084481-0.018747i,-0.089131-0.016002i,-0.044586-0.014629i,-0.0064468-0.025703i,-0.00083348-0.028797i,-0.0034605-0.014886i,0.00014053+0.0028056i,0.0064004+0.0094403i,0.005763+0.0014718i,-0.00036517-0.0033323i,-0.0027315+0.00013452i,-0.0025541+0.0011785i,-0.0058282-0.0026856i,-0.010554-0.0051344i
-0.034878-0.082649i,-0.087423-0.13553i,-0.12968-0.10703i,-0.099011+0.015087i,0.0053961+0.083293i,0.091199+0.046165i,0.09421+0.0071809i,0.049875+0.0076767i,0.0083936+0.037237i,-0.01352+0.084325i,-0.015419+0.1012i,-0.0137+0.068801i,-0.019481+0.035519i,-0.019279+0.025443i,-0.0081674+0.017771i,0.00048241+0.0054172i,-0.00070294-0.0026285i,-0.0081092+0.00048589i,-0.0091952+0.0070557i,-0.0022214+0.0063574i,0.0024641+0.0020409i,0.0044061+0.00096196i,0.0077638+0.0032854i
0.04273+0.056743i,0.1199+0.10222i,0.20776+0.099074i,0.23767+0.020435i,0.18034-0.061449i,0.091001-0.086964i,0.037298-0.062346i,0.035808-0.015195i,0.070394+0.011333i,0.11019+0.0085572i,0.11362-0.0021506i,0.070713-0.0080622i,0.030702-0.0050956i,0.01937-0.0039492i,0.014874-0.010129i,0.008829-0.01622i,0.0019953-0.016739i,-0.0012721-0.0082183i,0.0011494+9.7432e-05i,0.0021399+0.0018389i,0.00087198+0.0028749i,-0.0011228+0.0034643i,-0.0027471+0.0014618i
-0.064991+0.012188i,-0.10413+0.021539i,-0.082621+0.001065i,-0.022104-0.057128i,-0.017331-0.093102i,-0.067756-0.064005i,-0.080683-0.028102i,-0.052473-0.046902i,-0.034757-0.087625i,-0.02583-0.11378i,-0.015188-0.1078i,-0.0038404-0.06454i,0.0031565-0.027332i,-0.0010143-0.014394i,-0.010222-0.0068802i,-0.016391+0.0021934i,-0.012278+0.011796i,0.0029175+0.0099324i,0.0098939-0.0022411i,0.0045984-0.0084609i,0.0019347-0.0081554i,0.0024419-0.0090285i,0.0010976-0.0094133i
0.048798-0.0099914i,0.073009-0.048987i,0.016605-0.078318i,-0.096971-0.049026i,-0.13455+0.01914i,-0.062561+0.073197i,0.00042287+0.076043i,-0.013006+0.046919i,-0.068115+0.027766i,-0.12072+0.034057i,-0.12335+0.043645i,-0.075707+0.028589i,-0.039326+0.0045279i,-0.032032+0.001028i,-0.023167+0.011615i,-0.0079598+0.014751i,0.00045019+0.0066028i,-0.0039791-0.0027436i,-0.010268-0.0055201i,-0.0093272-0.0036893i,-0.0085238-0.0017009i,-0.010603+0.0047139i,-0.0094601+0.013422i
-0.014116+0.039688i,-0.01528+0.085207i,-0.004482+0.10045i,0.0071361+0.079815i,0.021554+0.062932i,0.050902+0.030374i,0.058115+8.8914e-06i,0.029952+0.026864i,0.021105+0.095469i,0.051045+0.1405i,0.069459+0.12207i,0.042652+0.070807i,0.01245+0.047361i,0.019491+0.042094i,0.033675+0.024421i,0.030842+0.00711i,0.0201-0.003115i,0.0058361-0.0057629i,-0.0057958+0.0023561i,-0.0085102+0.0096586i,-0.0058252+0.0096041i,0.001036+0.0054715i,0.0094785-0.0020566i
