-0.0022015-0.00036557i,-0.00098688+0.0011231i,-0.0017036+0.0024549i,-0.002464+0.0024775i,-0.0026435+0.0026807i,-0.0024788+0.0028295i,-0.0016757+0.0010976i,-0.001235+0.0002446i,-0.0017739+0.00037781i,-0.0012882+0.00089356i,5.3071e-05+0.0005543i,0.0011855-0.00088393i,0.0015103-0.0013575i,0.0008127-0.0015071i,0.000246-0.0017547i,-0.00015114-0.001029i,-0.00031447-0.00070571i,-0.00014373-0.0010005i,3.0731e-05-0.00063773i,-0.00055424-0.00014179i,-0.00040504+7.6381e-05i,0.00010055+5.0424e-05i,0.0002656-0.00029483i
0.001171-0.00047392i,-0.00030849-0.00044006i,-0.00068272-0.0010546i,-0.0016326-0.0013637i,-0.0031347-0.00079401i,-0.0037134+0.00035859i,-0.0019999+0.00030157i,0.00020423-0.001834i,0.00039746-0.0041779i,-0.00043774-0.0040782i,-0.00035059-0.0026204i,0.00047353-0.001365i,0.00041116-0.00061988i,3.3445e-05-0.00026852i,0.00062898+6.6657e-05i,0.001431-0.0002187i,0.0016978-0.00029425i,0.0014161+0.00069243i,0.0014979+0.00092214i,0.00085497+0.00025216i,-0.00030573+0.00052061i,-0.00077663+0.00041887i,-0.00012965+0.00024156i
-0.0016832-0.0028681i,-0.001539-0.0020611i,-0.0031603-0.00075835i,-0.0047352+1.5344e-05i,-0.0044052+0.00024442i,-0.0030231+0.00052708i,-0.0012989+0.00036265i,-0.00024506-0.00088098i,-0.001513-0.0029339i,-0.0030011-0.0028948i,-0.0026948-0.0006362i,-0.0017015+4.5082e-05i,-0.00050838+4.6381e-05i,0.00031995+0.00030856i,-0.0003168+0.00033436i,-0.00055686+0.00022474i,-0.00018546+5.9152e-05i,0.0002506-0.00070158i,0.001148-0.001065i,0.0013789-0.0010732i,0.00064349-0.0010209i,-0.00033182-0.0010185i,-0.0011812-0.00099598i
-0.00079632+0.001122i,-0.0013408+0.0018936i,0.00010759+0.0011656i,0.0014972-0.00017515i,0.00050903-0.00070331i,-0.0011037-0.00011123i,-0.0013481-6.6463e-05i,-0.00098861-0.0011177i,-0.0023951-0.0016292i,-0.003396-0.001881i,-0.0018076-0.0015989i,-0.00018487-0.0012396i,0.00032833-0.0012771i,-0.00027408-0.0010229i,-0.00044112-0.0012445i,0.00016187-0.0011595i,0.00030006-0.00071701i,-0.00021371-0.00090315i,-0.00076951-0.0010235i,-0.00025844-0.00040215i,-0.00041936+0.00027207i,-0.0010155+0.00028726i,-0.0011066+0.00013592i
-0.00043329-0.00018958i,-0.00042301-0.00011719i,-0.00096637+0.00074215i,-0.0017709+0.00091575i,-0.001876-0.00040098i,-0.0009891-0.00096385i,-3.8915e-05+0.0002283i,0.00039868+0.00075991i,-1.6763e-05+0.00040274i,-0.0011905+0.0005641i,-0.00054704+0.001131i,0.0010155+2.5842e-05i,0.0012517-0.001258i,0.00088643-0.00051259i,0.00056203+0.00021106i,0.00053267-0.00017334i,0.00028064-0.00053536i,-8.1886e-05-0.00075927i,-0.0010707-0.0010836i,-0.0017206-0.00061778i,-0.001448+0.00047487i,-0.0012488+0.00019577i,-0.0011408-0.00053147i
-0.00063429+0.00011096i,-1.1097e-05+0.00057822i,0.00012379+0.00083852i,-0.0013735+0.00050298i,-0.0028412-0.00065199i,-0.002815-0.0014734i,-0.0018339-0.0012057i,0.00012137-0.0011516i,0.0020875-0.00083376i,0.001364+0.00029269i,0.00062138+0.00046045i,0.00028202-0.00034735i,-0.00020949-0.00067376i,-0.00021154-0.00016598i,-0.000268-0.0001899i,-0.00015806-0.00068194i,0.0003394-0.00028556i,0.00051728+0.0005272i,0.00052314+0.00041723i,0.00074892+0.00037407i,0.00060271+0.0011646i,0.00045597+0.0015689i,0.0007507+0.00062421i
-0.0011862-0.0021923i,-0.0025306-0.0019793i,-0.0020046-0.0021406i,-0.0010635-0.0020417i,-0.0023062-0.0013627i,-0.0033902-0.00081993i,-0.0019263-0.00063181i,-0.0002769-0.0013921i,0.00029437-0.0024727i,0.00059171-0.0025831i,0.00018493-0.0014506i,1.3482e-06-0.00083561i,-6.3021e-05-0.0012449i,-0.00018803-0.00075434i,0.00016909+0.00011902i,0.00073139+5.676e-05i,0.0011196-0.00013434i,0.0012024+0.00019685i,0.00085035-6.0606e-05i,0.00091203-0.00027083i,0.00093822-8.5944e-05i,0.0004815+0.00045044i,0.00071738+0.00092449i
0.00052872+0.0014637i,0.0018259+0.001736i,0.0015826+0.0015016i,-0.00023312+4.9447e-05i,-0.001049-0.0018592i,-0.0011208-0.001461i,-0.00078729-0.00032938i,-0.00039936-0.00165i,0.00031782-0.0038596i,0.0004693-0.0041958i,0.00024681-0.002858i,0.00015926-0.0014619i,-0.00041949-0.00078906i,-0.00074803-0.0007954i,-5.1352e-05-0.00065985i,0.001272-0.000573i,0.0021946-0.00039172i,0.0020752+0.00062456i,0.0013747-9.6197e-05i,0.00062546-0.0013867i,0.00036492-0.0010029i,0.00073319-0.00047881i,0.00076205-0.00097536i
-0.0024243+0.0031452i,-0.0015813+0.0024529i,0.00020419+0.0026393i,0.0015808+0.001424i,0.00096048+0.00040398i,-0.00081275-0.00082351i,-0.0014915-0.001177i,-0.0018308-0.0009563i,-0.0024857-0.0024458i,-0.0026681-0.0025525i,-0.0022136-0.0015098i,-0.00069427-0.00052375i,0.00015865+8.721e-05i,-0.00048305-3.4954e-05i,-0.0011748-0.00072416i,-0.00063579-0.0010931i,0.0008882-0.0011306i,0.0015175-0.0017366i,0.00071433-0.0018317i,0.0003484-0.0013308i,0.00012438-0.0010506i,-0.00072149-0.00032599i,-0.0012234-0.00017699i
-2.8376e-05+0.0015677i,0.0015673+0.0017685i,0.0015747+0.00212i,0.0011882+0.001473i,0.00086598+0.00063365i,-0.00012091+0.00052161i,-0.00026084+0.00062321i,-0.00042233-0.00032382i,-0.0013358-0.0016765i,-0.0021683-0.0019678i,-0.0015-0.00043367i,0.00022905+0.0003536i,0.00091549-2.6854e-05i,0.00087326+0.00020649i,0.00033583+0.00035531i,0.00014309-1.9714e-05i,0.00052831-0.00015886i,0.00013846-9.4267e-05i,-0.00039033-0.00059951i,-0.0012488-0.00027324i,-0.0021033+0.00021326i,-0.0020783+0.0001743i,-0.0015984+0.000393i
-0.0020303+0.0014217i,-0.001951+0.0025309i,-0.0017657+0.0030031i,-0.0024488+0.0014141i,-0.0034011+0.00040716i,-0.0032699+0.00015268i,-0.0022035+6.604e-05i,-0.0010661+0.0001789i,-0.00063776+0.00028801i,-0.00083301+0.00083285i,-0.00019978+0.00061085i,0.00065832-0.00066193i,0.00057151-0.0014543i,0.00060155-0.00051805i,0.00073098+0.00085415i,0.0003195+0.001615i,-3.7667e-05+0.0013692i,-0.00032753-0.00021732i,-0.00075514-0.00058329i,-0.00073443-0.00024874i,-0.00012489+0.00015593i,-0.00047959+0.0010082i,-0.00082355+0.00094179i
0.0031544+0.00067818i,0.0038753-0.00037335i,0.0041522-0.0014327i,0.0031842-0.0023575i,-0.00083191-0.0023144i,-0.0028781-0.00075174i,-0.0016233+0.00015991i,-0.00034909-0.00097922i,0.0002104-0.0018873i,0.000134-0.0014324i,0.0005718-0.0018733i,0.0010364-0.0022879i,0.0008215-0.001508i,0.00075201-6.7227e-05i,0.0010948+0.00038826i,0.0015002-0.0001379i,0.0016881-0.00034712i,0.00058643-0.0001398i,9.1034e-06+3.3051e-05i,0.0001594+0.00011495i,-5.6067e-05+0.00097495i,0.00049123+0.00082496i,0.00062396+0.00035477i
-0.0011023-0.00070418i,-0.0011961+6.1252e-05i,-0.0024299+0.00021063i,-0.0035677+0.00024369i,-0.0041374+0.00058414i,-0.004009+0.00041415i,-0.0017571-0.00063816i,0.00018419-0.0020677i,0.00064811-0.0032525i,0.00034838-0.0024783i,-0.000616-0.001123i,-0.00074931-0.00059706i,4.8656e-05-0.00012253i,0.00059425-0.00066033i,0.00055809-0.00088271i,0.00070205-8.0904e-05i,0.00067067+5.0505e-05i,0.00049528-0.00013958i,0.0006143-0.0002861i,0.00054011-0.00072805i,0.0005285-0.00089749i,0.00015951-0.00098266i,0.00036615-0.0010831i
-3.3505e-05-0.0011029i,5.0132e-05-0.0015487i,0.00031156-0.0011452i,-0.00072888-0.00070286i,-0.0025802-0.00060201i,-0.0026279-9.5063e-05i,-0.0019181+0.00011575i,-0.0017928-0.00070325i,-0.0017115-0.0016275i,-0.0022015-0.0022861i,-0.0025833-0.0022995i,-0.0016263-0.0014828i,-0.00077119-0.00049337i,-0.00027792-0.00076797i,0.00054282-0.0012311i,0.00056155-0.0015736i,0.00051767-0.001616i,0.0001732-0.0012331i,-3.355e-05-0.0015027i,-1.405e-05-0.0016328i,-0.00015258-0.0010006i,-0.00066384+0.00019573i,-0.0015161+0.0002349i
0.00023102+0.0026222i,0.0016892+0.0033099i,0.002536+0.0032682i,0.0026764+0.0014718i,0.00084306-0.0010052i,-0.0013456-0.001407i,-0.0016224+0.00047971i,-0.00087568+0.00067714i,-0.00077811-0.0011736i,-0.0013348-0.0021104i,-0.0011039-0.0011275i,0.00024607+0.00085126i,0.00024761+0.0018601i,-0.0012322+0.0010562i,-0.00085008-0.00035642i,0.0002568-0.00086462i,0.000146-0.0009201i,0.0002012-0.00088205i,0.00061264-0.0009442i,0.00023737-0.00060933i,-0.00097765+0.00034488i,-0.0016115+0.00051469i,-0.0014169+0.00050963i
-0.0014268+0.001401i,-0.001299+0.00094987i,-0.00095383+0.00091967i,-0.00089861+0.00060337i,-0.00094433+0.00044424i,-0.0016532+0.00048808i,-0.0014282-8.8273e-05i,-0.00021817-5.1037e-05i,-0.00021045-0.00014093i,-0.0015511-0.00011943i,-0.0015004+0.00023755i,-0.00012798+0.00043435i,0.0007798+0.00037221i,0.00083898+0.00015012i,0.0011219+0.00066242i,0.00076352+0.00082506i,0.00029122-0.00049992i,7.7385e-05-0.0010751i,-0.00037795-0.00056055i,-0.00018228+0.00032481i,0.00025366+0.00043018i,-0.00038396+0.00046932i,-0.0010431+0.00057872i
0.00090248+0.0010205i,0.0017687+0.00016829i,0.0019054-0.00068286i,0.001447-0.001366i,0.00078057-0.00090685i,-0.0007547-0.0004192i,-0.00067283-0.00031011i,0.00055177-0.0017529i,0.0010515-0.0018772i,0.0010255-0.00094873i,0.0017464-0.00094102i,0.0026438-0.00096838i,0.0019624-0.001244i,0.001065-0.001092i,0.00080744-0.00018626i,0.00056642+0.00037535i,0.00024468+0.00034162i,0.0004079+0.00082127i,0.00068529+0.0013292i,0.00053646+0.00074089i,0.00065858+0.00058811i,0.00087517+0.0010963i,0.0013149+0.0010447i
-0.0010479-0.0021171i,-0.0026813-0.00047455i,-0.0028267+0.00036232i,-0.0027244+0.00042151i,-0.0037185+1.0662e-05i,-0.0029389+0.00045412i,-0.0010855-0.00022706i,-0.00023244-0.0030042i,-0.00070913-0.0049224i,-0.0012442-0.0033349i,-0.00045597-0.0010712i,0.00029219-0.0009195i,0.00068979-0.0010631i,0.0010467-0.00037064i,0.00077245-0.00038425i,0.00065733-0.00056452i,0.00086581+0.00013195i,0.0013009+0.00063489i,0.0010508+0.00031103i,2.3747e-05-3.1347e-05i,-5.4444e-05+1.7899e-05i,0.00028545+4.6142e-05i,8.1204e-05+0.0002877i
0.00086098-0.0019533i,0.0012012-0.0017838i,-0.00022241-0.0021789i,-0.0028117-0.0023896i,-0.0043013-0.0023109i,-0.004283-0.0011488i,-0.0035638+0.00015698i,-0.0028528-0.00051078i,-0.0020037-0.0023547i,-0.0017232-0.0029085i,-0.0014423-0.0029257i,-0.00028949-0.0029547i,0.00059329-0.0020059i,0.0012861-0.0011107i,0.0011385-0.00057243i,0.00096895-0.0010685i,0.00095403-0.0014213i,0.0006202-0.0016492i,0.00054023-0.0020997i,-1.8327e-05-0.001471i,-6.5056e-05-0.00045265i,0.00020504-7.61e-05i,0.00035282-0.00039898i
0.00080124+0.00073391i,0.00034839+0.0010654i,0.0010253+0.0014193i,0.0012476+0.00065083i,-0.00024811-0.00051519i,-0.0019897+0.00014738i,-0.0017979+0.0017142i,-0.00081587+0.0013722i,-0.00081888-3.8946e-05i,-0.00096828-0.0014022i,-0.0014092-0.0015054i,-0.00048129-0.00052923i,0.00043825-0.00013428i,0.0001424-0.00018768i,0.00014939-5.4917e-05i,0.00052498+0.00039246i,0.0011113-0.00012075i,0.00078237-0.00061395i,0.00026861-0.00086879i,0.00055034-0.0008576i,-0.00034846-0.00037215i,-0.001052+0.00055569i,-0.00068338+0.0013135i
9.578e-05-0.00010318i,0.00061138-0.0011362i,-0.00033771-0.0018521i,-0.002144-0.0015348i,-0.0017176-0.00091257i,-0.0011429-0.00029263i,-0.00078431+0.000279i,0.0005958+0.0006368i,0.00040518+0.00037799i,-0.0020429+0.00054373i,-0.0032781+0.00053695i,-0.0026848-0.00020806i,-0.001886-0.00046035i,-0.0013266+0.00039916i,-0.0012599+0.0011i,-0.0014226+0.00079484i,-0.001566+0.00013105i,-0.00097408+0.00041214i,-0.00068214+0.00081986i,-0.00080656+0.00041578i,-0.00059046+0.00025611i,-5.1688e-05+0.00044891i,0.00013271+0.00068601i
0.0022244+0.0017906i,0.0029581+0.0018476i,0.0031427+0.001044i,0.0022871-0.00045892i,0.00027433-0.0014208i,-0.0012388-0.0024553i,-0.001136-0.001335i,0.0013877-0.00067259i,0.003431-0.0023409i,0.002266-0.0021894i,0.0013677-0.00043538i,0.0011249+0.00044612i,0.0010695+6.0989e-05i,0.0013982-0.00012101i,0.0010824+0.0007319i,0.0010202+0.00092448i,0.0012682-0.00012985i,0.00069129-0.00024046i,0.00049176+0.00060239i,0.0014433+0.0010385i,0.0012492+0.00035567i,0.00066737-0.00036617i,0.00089723-0.0001949i
-0.00044711-0.00036917i,-0.00031961-0.000941i,0.00021525-0.0015177i,0.00039291-0.0024159i,-0.00098278-0.0021772i,-0.0027453-0.0014663i,-0.0022264-0.0016102i,0.00056168-0.003144i,0.0015803-0.0045047i,0.0011704-0.0026289i,0.0010668+0.00029768i,0.0015507+0.0011464i,0.0012222+0.00080419i,0.00025225+0.0012938i,-0.00010467+0.00095601i,3.0387e-05+8.2098e-05i,0.00021333-0.0003477i,0.00082199+0.00050211i,0.0009858+0.00090449i,0.00078252+4.6172e-05i,0.00013894-0.00062795i,-0.00075497-0.00044843i,-0.00039876-0.00016434i
0.00064338+6.6992e-06i,-0.00031439+0.00044942i,-0.00082802+0.00037663i,-0.0012843-0.00061927i,-0.0025412-0.00084721i,-0.0031635-0.0001013i,-0.0020529-0.00023076i,-0.0015023-0.0024608i,-0.0025703-0.0052055i,-0.0025973-0.0054321i,-0.00060794-0.0042676i,0.00042804-0.0031502i,0.00010563-0.0019065i,-0.00020993-0.0010053i,0.00021821-0.0011361i,0.0013638-0.00056499i,0.001578+0.00034525i,0.00085352-0.00014959i,0.0011145-0.0015801i,0.0013791-0.0014899i,7.5399e-05-0.0013549i,-0.00092082-0.0013289i,-0.0012244-0.00055995i
-0.00085136-0.00022916i,-0.0012737-0.00052219i,-0.0020677-0.00047546i,-0.0022825+0.00019414i,-0.0024257+0.00024488i,-0.0021807+0.00080945i,-0.0013211+0.0012732i,-0.0015415+0.00051107i,-0.0033429-0.0012167i,-0.0033244-0.0019083i,-0.0006336-0.0018694i,0.0010138-0.0011265i,0.0011013-4.3359e-05i,0.0012475+0.00025875i,0.0014056-0.00015296i,0.0014339-0.00090494i,0.0015123-0.00086125i,0.00075395-0.00066906i,-3.1109e-05-0.0006377i,-0.00058624-0.00058398i,-0.00062567-0.00050702i,-9.951e-05-0.00021543i,-0.00052201+0.00053559i
0.00029533-0.00083093i,0.00011942-0.00076337i,-0.00061373+0.0002799i,-0.0021994+0.00056248i,-0.003437-0.00018466i,-0.003256-0.00028466i,-0.0018877+0.0010471i,-0.0011874+0.001944i,-0.0019661+0.0015221i,-0.0025938+0.0006875i,-0.0029474-0.00028607i,-0.0023248-0.001151i,-0.00096265-0.00078259i,-0.00045561+0.00034244i,-0.00010798+0.00024259i,0.00039014-0.00030215i,0.00054288-0.00054576i,0.00033084-0.00068i,-0.00051822-0.00058612i,-0.00036388+0.00014782i,0.00026084+0.00059087i,2.6727e-05+0.00040699i,-0.00032838+0.00085224i
0.00104-0.0033433i,8.9345e-05-0.0036676i,-0.0018052-0.0039518i,-0.0017355-0.0030078i,-0.0021461-0.0022604i,-0.00282-0.002034i,-0.0015364-0.00088779i,0.00153-0.00041048i,0.0030442-0.0010698i,0.0012821-0.0017436i,-0.00034992-0.0015816i,-0.00022033-0.00089365i,0.0001879-0.00098628i,0.00032714-0.001013i,0.00073152-0.00045303i,0.00060194-0.00052494i,1.5173e-05-0.0010086i,-0.00059869-0.00068371i,-0.00044451+0.00079403i,0.00020114+0.001337i,0.00048598+0.00010812i,-5.8703e-05-0.00084122i,-3.076e-05-0.00061963i
-0.0016547-0.00092497i,-0.00072667+0.00041538i,-0.00080783+0.0015471i,-0.001496+0.0017012i,-0.0022883+0.0019015i,-0.0019668+0.00097159i,0.00037764-0.00021927i,0.0027966-0.0027369i,0.0036334-0.0044061i,0.002681-0.0023695i,0.0013399+0.00086977i,0.00071983+0.0022759i,0.00039325+0.0011797i,-0.0001154-0.00038413i,0.00064137-0.00044439i,0.0012222-5.2122e-05i,0.00090963-0.00029693i,0.001521+0.00012272i,0.0017529-0.00010114i,0.0010993-0.00060821i,0.0010441-0.00023907i,0.00084232+0.00025177i,0.00049226+0.001105i
-0.00058102+0.00077089i,0.00011874+0.0007462i,0.00010674+0.00026019i,3.7808e-05-0.00094732i,-0.00082655-0.0018588i,-0.0019836-0.0013793i,-0.0019053-0.00085161i,-0.00072021-0.00273i,-0.00040075-0.0057697i,7.1685e-06-0.0056057i,0.00064439-0.0027443i,-0.00018944-0.0016717i,-0.00081559-0.0012776i,-0.00064408+5.821e-06i,0.0001098+0.00093697i,0.00059797+0.0012466i,0.0002307+0.00078323i,0.00049695+0.00028651i,0.0013911+0.00023811i,0.0010927-0.00052819i,3.5926e-05-0.0012355i,-0.00025954-0.00075726i,-0.00082193-0.00015672i
0.00057711-0.00032865i,0.00098908+0.00031412i,0.0010582+6.3775e-05i,-2.0395e-05-0.00017806i,-0.001499-0.00027295i,-0.0017324-0.00045582i,-0.0011795-0.00070868i,-0.0015567-0.0031366i,-0.0024915-0.0051215i,-0.0025103-0.0041721i,-7.1599e-05-0.0020337i,0.0022786-0.0012594i,0.0014002-0.00064185i,-0.00013583+9.5484e-06i,-0.00053866-0.00067777i,-0.00055463-0.0010242i,-0.00049603-0.00024846i,-0.00022184-0.0006538i,0.00065591-0.0010854i,0.00060094-0.00069486i,-0.00010586-0.00058804i,-0.00026856-0.00039893i,0.0001377+0.00041405i
-0.0017537-0.00090966i,-0.0024639+0.00065324i,-0.0032851+0.0013332i,-0.0029525+0.00068694i,-0.0034398-0.00021043i,-0.0024048-0.00040813i,-0.00097672-0.0004918i,-0.0019855-0.00052574i,-0.0045769-0.00027299i,-0.0057644+0.00041322i,-0.0031177+0.00038638i,-0.00072944+0.00014527i,0.00053772+8.7552e-05i,0.0010931+0.00068711i,0.0008807+0.00048372i,0.0013013-0.00041119i,0.0014535-0.0010857i,0.00051879-0.0013606i,-0.0002501-0.001437i,-0.00014972-0.0011429i,0.00052431+1.4819e-05i,0.00084234+0.00061267i,0.00088929+0.00067024i
0.0010279-0.00048964i,0.0021567-0.001391i,0.00027253-0.00056594i,-0.0026107-0.001766i,-0.0045803-0.0020919i,-0.0048937-0.00047864i,-0.0034287+0.00036814i,-0.001167+0.0003471i,0.00036803+0.00026231i,0.00048902+0.00033607i,0.00025529-0.00068111i,0.0001398-0.0012396i,0.0010237-0.0011365i,0.0015393-0.00089578i,0.00071546-0.00061009i,0.0007827-0.00062975i,0.0013349-0.00082325i,0.00081843-0.00046282i,0.000491+0.00057186i,0.00037514+0.00038623i,0.00055979+5.9983e-06i,0.00010482+0.00044498i,-0.00045625+0.00046061i
-0.001121+0.00011195i,-0.0001079+0.00031019i,0.00015071-0.0002017i,0.00020031-0.00041052i,-0.00077094+0.00010785i,-0.0017047+0.0005694i,-0.00067663+0.00045885i,0.0025983+0.00013807i,0.0043986-0.00039561i,0.0028994-0.00033616i,0.00078464+0.00022356i,-4.9108e-05+0.00030001i,0.00030857+0.00060745i,0.00099065+0.00029259i,0.00091238-0.0011465i,0.00073116-0.0019666i,0.00052812-0.0019231i,-0.00011052-0.00099891i,-0.00048288-8.6622e-06i,-0.00062929+0.00010783i,-0.0002096-0.00026307i,0.00025112-0.00032861i,-0.00039145-9.7553e-05i
0.0035213-0.00029008i,0.0036431-0.0011056i,0.002873-0.0015837i,0.00022769-0.0016395i,-0.0021047-0.00043992i,-0.001766+0.00021952i,-0.00012462-0.00087717i,0.0012405-0.002903i,0.0020245-0.0055858i,0.00060455-0.0053082i,-0.00042231-0.0029079i,0.00030718-0.0014376i,-0.00012957-0.0011395i,-0.0007003-0.00090006i,-0.00034907+0.00056635i,7.3464e-05+0.0011677i,0.00050074+0.0002709i,0.0011195+0.0001852i,0.0015605+0.00060958i,0.001931+0.00067457i,0.0011533+0.00074021i,0.00016037+0.00049467i,-5.0666e-07+0.00016722i
-0.0013087+0.0013414i,-0.0015507+0.00073437i,-0.0014506-0.00012952i,-0.00088904-0.0017964i,-0.00057671-0.0028929i,-0.0018326-0.00191i,-0.0025782-0.0012496i,-0.0015518-0.003519i,-0.001407-0.005916i,-0.0022318-0.0051777i,-0.0020743-0.0021921i,-0.00073726-0.00019228i,-0.00052293+0.00033371i,-0.00085103+0.0015324i,-0.00012695+0.0022083i,0.00014605+0.00057241i,1.8975e-05-0.00027535i,-2.3501e-05+8.5816e-05i,2.3686e-05-0.00035122i,0.00018821-0.00041641i,0.00034351+0.00020455i,0.00037679+0.00030448i,0.00029282+0.00040516i
0.00098282-0.00437i,0.00062271-0.0048648i,0.0011991-0.0041493i,-0.00045666-0.0035616i,-0.0027235-0.0031017i,-0.0035619-0.00059951i,-0.0026818+0.0012725i,-0.0014696+0.00040784i,-0.0026187-0.001979i,-0.0042479-0.001801i,-0.0032913+0.00018947i,-0.00074446+0.00067252i,0.00060721+0.00010177i,0.00053756+0.00013707i,0.0013186-0.00053162i,0.0022795-0.00085976i,0.0019384-0.00018365i,0.00093719-0.0013268i,0.00010472-0.0023483i,0.0003709-0.0017629i,0.00062715-0.0009284i,0.00021333-0.00022187i,-3.0407e-05-8.7562e-05i
0.00040578+0.0015492i,0.00040262+0.0034898i,-0.001747+0.0021436i,-0.0031526+0.00020642i,-0.0034481-0.00020011i,-0.0034587+0.00053434i,-0.0017547+0.0013606i,-7.4538e-05+0.0014034i,-0.00021236+0.00053027i,-0.00066885-0.00044543i,0.0006495-0.00072936i,0.0010125-0.00081624i,-0.00025688-0.0001816i,0.00024087+0.00037687i,0.0016885+0.00068802i,0.0025379+0.00049084i,0.0031235+0.00028325i,0.0021125+0.00081411i,0.00072089+9.4152e-05i,0.00022385-4.9302e-05i,3.1979e-05+0.00046565i,3.5705e-05-0.00024931i,0.00021988-5.3447e-05i
0.00028222+0.001142i,0.0019426+0.00023448i,0.0039773-0.00071905i,0.0033932-0.0017121i,0.0017638-0.0026165i,0.00043076-0.0028928i,-0.00010768-0.0028845i,0.0011386-0.0020512i,0.0019976-0.0008197i,0.0019917+0.00022899i,0.0017216+8.281e-05i,0.0010455-0.00038478i,6.701e-05-0.0003236i,-0.0010166-0.00054579i,-0.0015375-0.00096964i,-0.0011298-0.00057112i,-0.00031961-0.00018013i,-0.00041514-0.00037744i,-0.0006405+8.7127e-05i,-0.0010347+0.00084197i,-0.0013497+0.0006009i,-0.00089976+0.00042535i,-0.00042096+0.00094061i
0.0006544+0.0032649i,0.00091539+0.0038926i,0.00094685+0.0038291i,0.00091066+0.0010681i,-0.00080845-0.0013836i,-0.0031664-0.0010471i,-0.0022093-0.00080157i,6.9937e-05-0.0017666i,0.0017773-0.0034625i,0.0026841-0.0047725i,0.0022823-0.0042122i,0.00097787-0.0023022i,0.0002906-0.00061505i,0.00072574+9.2217e-05i,0.0013084-0.00034034i,0.0019955-0.0013296i,0.0021142-0.00091066i,0.00152+0.00023817i,0.0013075+0.00012245i,0.00062706-0.00040019i,-0.00040825-0.00015206i,-0.00071648-0.00022267i,-0.0010986+0.00010845i
-0.0019746-0.0039707i,-0.0035796-0.0050905i,-0.0040866-0.0054937i,-0.0040871-0.0027523i,-0.0038197+0.00046218i,-0.0034627+0.0020589i,-0.0024459+0.0019984i,-0.001351-0.00021427i,-0.0011888-0.0034975i,-0.0018388-0.003661i,-0.0017052-0.0016491i,-0.0005328-0.0010497i,0.00041319-0.0011268i,9.2321e-05-0.00061104i,-0.00021295+0.00061125i,3.1881e-05+0.0012889i,0.00031266+0.0011708i,0.00036926+0.00085409i,0.00043036+0.00023339i,0.00066621-0.00043329i,0.0009649+3.0789e-05i,0.0010648+0.00083459i,0.00059416+0.00080623i
0.0015568+0.0021432i,0.0034801+0.0030287i,0.003714+0.0024244i,0.0021765-0.0015046i,-0.0004536-0.0034472i,-0.0021962-0.0019298i,-0.001626-0.00012631i,-0.0011422-8.5656e-05i,-0.0022969-0.0013643i,-0.0041932-0.0015062i,-0.0035625-0.00065257i,-0.0013363-0.00039619i,-0.00042469-0.00022193i,-0.0005168+6.6049e-05i,-0.00035326+0.00054994i,0.00015465+0.0006699i,-0.00032556-0.00038169i,-0.00057304-0.0010166i,-0.00078131-0.00032785i,-0.00098919-0.00021089i,-0.0014407-0.00079976i,-0.0010095-0.00078984i,-6.8447e-05-0.00033611i
-0.0028884-0.0012195i,-0.0031688-0.0013043i,-0.0032975-0.0015892i,-0.0029103-0.00072352i,-0.0026426-0.00071472i,-0.0023619-0.0014662i,0.00070303-0.00083243i,0.0034671-0.00030175i,0.002225-0.000482i,0.00034951-0.00030982i,0.00076022+0.00043023i,0.0021446-0.00019474i,0.0018841-0.0014977i,0.0012326-0.0016456i,0.0015062-0.00086861i,0.0019224-0.00033468i,0.0021293-0.0008565i,0.0018221-0.00088835i,0.0012943-0.00014556i,0.00086951-0.00020301i,0.00079836-0.0012158i,0.00064848-0.0016308i,0.00010044-0.00055963i
0.0022841+0.0036581i,0.0051023+0.0030352i,0.0050863+0.0028192i,0.001383+0.0010464i,-0.0020323-0.0016105i,-0.0024875-0.0022145i,-0.0012943-0.0020537i,0.00083095-0.002143i,0.0018807-0.000877i,0.0010318+0.00083756i,0.00043106+0.00077941i,0.00053523+0.00011063i,-0.00040524+0.00056782i,-0.00089558+0.0012788i,-4.8825e-05+0.0012661i,0.0011171+0.0012288i,0.0010261+0.00085291i,0.00043408+0.00067684i,0.00029321+0.00066441i,3.3545e-05+0.0010627i,-0.00037531+0.00099983i,-0.00025023+0.00078517i,-0.00034344+0.001307i
-0.00059202+0.00013702i,-0.001028-0.00061765i,-0.0013731-0.0016188i,-0.0011532-0.0020149i,-0.0020523-0.00231i,-0.0036623-0.0017161i,-0.0026856-0.0015104i,0.00028025-0.0041108i,0.0016532-0.007085i,0.0012312-0.0071625i,0.0015643-0.0048696i,0.0021014-0.0023168i,0.00077347-0.00055556i,-0.00026581-0.0005195i,-0.00020146-0.0018661i,0.00026335-0.001612i,8.7566e-05-0.0013147i,-0.00019833-0.0012286i,-0.00035195-0.00092686i,-0.00015632-0.0010617i,-3.8515e-05-0.00069877i,-0.00098227+3.1243e-05i,-0.0013688+0.00025863i
