-0.0022274-0.0013799i,-0.0027075-0.0011875i,-0.0035429-0.00091449i,-0.0023111-0.00019659i,-0.0011312+0.0013352i,-0.00077665+0.0011954i,-0.00036368+0.00050847i,0.00069948+0.00064527i,0.0010526+0.00089841i,0.00016473+0.00071748i,-2.0451e-05+0.00026979i,0.00022099-0.00021419i,0.00016139-0.00067866i,-0.00056817-0.00057846i,-0.0015801-0.00061068i,-0.00054146-0.00067208i,0.00022177-0.0012444i,-6.9865e-05-0.00059864i,-3.8656e-05+1.8524e-05i,-0.00055932-0.00072822i,-0.00077489-0.00077368i,-0.00055424-0.00058865i,-0.00022449-0.00064937i
0.0059664-0.0024815i,0.0048046-0.0048238i,0.0025983-0.0073846i,0.00090524-0.0055493i,8.6928e-05-0.0020511i,-0.00034564+0.00017174i,0.00040282-0.0003297i,0.0010876-0.0011953i,0.00010041-0.0021945i,-0.0019771-0.0033171i,-0.0029392-0.0018786i,-0.002431+0.00035943i,-0.001046+0.0017976i,0.0010046+0.0023585i,0.0019457+0.0022432i,0.0013347+0.0015997i,0.0010577+0.0013785i,0.00035805+0.0013471i,-0.00062684-4.6817e-05i,-0.0004949-0.00094035i,1.4046e-05-0.00057001i,0.00024684-0.00026933i,0.00045865-6.1581e-05i
-0.0076173+0.0036034i,-0.0056764+0.0063405i,-0.0023671+0.0089552i,0.0016315+0.0066311i,0.004432+0.003582i,0.0051064-6.94e-05i,0.0028664-0.0018836i,-1.9576e-05-0.0010116i,-0.0023129+1.5209e-05i,-0.0026486+0.0014418i,-0.0017289+0.0025572i,-0.0013716+0.0017509i,-0.0015166+0.00075601i,-0.0024706+0.0005387i,-0.0023201+0.00015267i,-0.0012256-0.0001757i,-0.00015218-0.00084771i,8.4184e-06-0.00044418i,-0.00019304+0.00090373i,-0.00017644+0.00068671i,-0.00047364-7.0162e-05i,-0.00036155+3.5841e-05i,-0.00049166+0.00041616i
-0.0035529+0.0019378i,-0.0033365+0.0037685i,-0.0018879+0.0048483i,0.00086264+0.0033445i,0.0028585+0.0011364i,0.002765-0.0018491i,0.00079426-0.0028937i,-0.00041921-0.0016115i,-0.00094982+0.001228i,-0.00099306+0.0037585i,1.177e-05+0.0035421i,0.0012737+0.0022208i,0.0015734+0.0013i,0.00056611+0.00036689i,0.0001762-0.00028892i,0.0004078-0.00021975i,0.00070336-0.00036681i,0.00047642-0.00016963i,-0.00028834+0.0003996i,-0.0001246-0.000313i,-1.7708e-05-0.00081345i,-0.00052023-0.00063246i,-0.00051035-0.00048808i
0.00041127+0.00039578i,0.00055304-8.026e-05i,0.00029065+0.0011609i,0.00043489+0.0008526i,0.00097277-0.0013122i,0.00059735-0.0023238i,-2.4e-05-0.0014257i,-4.4366e-06-0.00024436i,0.00049102+0.0010732i,0.0011404+0.0011928i,0.0018424+0.00050307i,0.0017224-0.0003126i,0.001088-0.0013654i,0.0009875-0.0017121i,0.00043205-0.00097813i,-0.00026143-0.00040088i,-4.5778e-06+0.00036252i,0.00012722+0.00055625i,2.428e-05+9.5009e-05i,0.00022797-0.00053573i,6.2088e-05-0.00076216i,-0.00015041-0.00070538i,0.00030475-0.00099024i
-0.0014855-0.0013778i,-0.00083469-0.0011589i,6.5976e-05+0.00013087i,0.0010116+0.00067897i,0.00071765+0.00088532i,0.00079082+0.00012202i,0.00083413-0.00068028i,0.00074996-0.00019441i,0.00094701+0.00035136i,0.0013637+0.00045957i,0.001346+0.00013342i,4.0146e-05-0.0010493i,-0.00024756-0.0019056i,0.00016986-0.0010487i,-0.00083446-6.0584e-05i,-0.0013115+0.00032846i,-0.00096964-6.813e-05i,-0.0011167-0.00015062i,-0.00097614-0.00010363i,-0.0008604-0.00025133i,-0.00096687-0.00064653i,-0.0011879-0.0012075i,-0.00022133-0.001099i
0.0010522+0.00030228i,0.00020029-0.00048272i,-0.00078797-0.0013257i,-0.00097712-0.0013375i,-0.00045888-0.00017204i,-0.00048661+0.00055176i,0.00027698+0.00038625i,0.0017814-0.00034798i,0.0018608-0.0012627i,0.00063989-0.00095992i,-0.00096887-0.00039187i,-0.0013997-0.00033352i,-0.0010809-0.00053383i,-0.0010291-0.00049543i,-0.00084499-0.00047053i,0.00016046+0.00023619i,0.00048905+0.00064658i,-0.00070352+0.00045982i,-0.00091402+0.00033408i,-0.00044363+0.00053428i,-0.00016317+0.00037406i,-0.00028207+1.3856e-05i,-0.00072139-7.4764e-06i
-0.000627-0.00072673i,-0.00090184-0.00060451i,-0.00048708+0.00032661i,-0.00034932+0.0014846i,6.0967e-05+0.001896i,0.00089378+0.0012168i,0.0010658+0.00030621i,3.2522e-05-0.00027988i,-0.0005296-0.00074299i,-0.00077649-0.00077296i,-0.0014583-0.00039448i,-0.0011773+0.00052335i,-0.0011417+0.0013548i,-0.00074479+0.00096627i,0.00069947+0.00067118i,0.0015167+0.0008713i,0.00068214+0.0008178i,-0.00042612+0.00051523i,-0.00033691+0.000521i,0.00025212+0.00061069i,-0.00016491+0.0004412i,-0.00070425+0.00041039i,-0.0001582+0.00010271i
0.001827-0.0021052i,0.0015153-0.0016102i,-4.0355e-05-0.00055765i,-0.00040505-0.00029359i,0.00088846+0.00026831i,0.0017447+0.00016907i,0.0017127-0.00011408i,0.00047151+0.000157i,-0.001464+0.00027503i,-0.0022817+0.0013701i,-0.0015792+0.0025091i,-0.00048973+0.0030122i,2.8903e-05+0.0017159i,0.00056919-0.00012009i,0.0011095-0.00083521i,0.00065708-0.00089012i,0.00078798-0.00032531i,0.0019804+0.00052161i,0.0017178+0.00046044i,0.00073195+1.6915e-05i,0.0010778-0.00065045i,0.0010831-0.00084468i,0.00016501+0.00032614i
0.0015703+0.0011113i,0.0018091+0.00079415i,0.0028218+0.00067975i,0.0034028+0.00014107i,0.003594-0.00088214i,0.0028735-0.0014321i,0.001358-0.00099868i,0.00032568-0.00012191i,-3.3992e-05+0.0011469i,0.00011549+0.001919i,0.00069403+0.00093826i,0.001163+0.00021021i,0.00092213+0.00018732i,0.0009544-0.00059254i,0.00073317-0.00081422i,0.00057389-0.000961i,0.00032909-0.00087425i,0.00017233+8.9547e-05i,0.00049166-7.7475e-05i,9.5581e-05-0.00013365i,-0.00080066+0.00013i,-0.00056307+5.4337e-05i,0.00032742+1.6018e-05i
-0.0023309+0.00018765i,-0.0017672+0.00048526i,-0.00060633+0.00074405i,0.00076545+0.00052405i,0.0011124-0.00029641i,0.00046468-0.0011155i,0.00012234-0.0007456i,0.00043791+0.00032735i,0.00061686+0.0014638i,0.0011761+0.00093438i,0.0013407-0.00025305i,0.0014718-0.00092613i,0.0016603-0.0011674i,0.00033303-0.0008391i,-0.00088273-0.0013426i,-0.00060048-0.0020503i,-0.00061295-0.0013742i,-0.00092588-0.00015154i,-0.0012834+0.0001672i,-0.0012604+0.00051968i,-0.0011621+0.00041412i,-0.00053428-0.00024377i,4.9007e-06+0.00025701i
0.0028869-0.00076861i,0.0021715-0.0022679i,0.0002767-0.0029154i,6.6341e-05-0.0027542i,0.00051421-0.0018761i,-6.932e-05-0.0010581i,-0.00041412-0.00093531i,0.00067099-0.00091878i,0.0014044-0.00057806i,0.0014743-0.0007088i,0.00084581-0.00093109i,-0.00028019-0.00033353i,-0.00092598+4.114e-05i,-0.00061555+0.00017539i,-0.00021376+0.00019373i,0.00051971-0.00013967i,0.00055764-0.00017188i,-0.0002096-0.00019281i,-0.00086694+0.00020395i,-0.0013846+0.00069931i,-0.0010784+0.00034346i,-0.00066814-0.00022488i,-9.8941e-05-0.00073857i
-0.00026946+0.0011065i,-0.00022097+0.00070201i,-0.0011635+0.00043758i,-0.0015896+0.00023162i,-0.0016279+0.00016491i,-0.0012261+0.00037224i,0.00016717+0.00072647i,0.00094907+0.00020681i,7.0114e-05-0.0010545i,-0.001374-0.0015107i,-0.0012571-0.00091884i,-0.0007739+0.00030592i,-0.00024681+0.00064824i,-0.00015719+0.00080143i,-0.00038882+0.0018861i,0.0001508+0.00093272i,0.00031723-0.00045012i,-0.00066295+9.3527e-05i,-0.00086919-3.5667e-05i,-0.00041963-0.00059281i,-0.00020825+0.00017731i,1.5044e-05+0.00043372i,0.00020519-0.00070583i
-0.00032347-0.00060577i,0.0012801-0.00043257i,0.0020255+0.00068138i,0.0012357+0.0016577i,0.00087811+0.0016382i,0.0012431+0.00064526i,0.0013369+0.00029789i,0.0010095+0.00025387i,-0.00017933+0.00026741i,-0.0013959+0.00045581i,-0.0017423+0.00068767i,-0.00061299+0.0012523i,0.00095557+0.0014485i,0.00044051+0.00054749i,0.00073192-0.00022436i,0.0012402+0.00063761i,0.00060169+0.0010862i,0.00023604+0.0010309i,-0.00015157+0.00097605i,-6.9548e-06+0.00052373i,-0.00022078+7.9416e-05i,-0.00030248-0.00010779i,0.00041919-0.00032687i
0.00060045+0.00013342i,0.00058739+0.00032461i,0.00030895+0.00067681i,0.00027209+0.00072549i,0.00095562+0.00047999i,0.0018924+0.00066246i,0.0015621+0.00013367i,-4.4504e-05-0.00026193i,-0.00080276-0.00014212i,-0.0010511+0.00068243i,-0.0005919+0.00092853i,0.00087206+0.00015055i,0.0011801-0.00054752i,0.00098334-0.00043444i,0.0013056-0.00011825i,0.0014954+7.0854e-05i,0.0012181+0.00012858i,-0.00013857-0.00014902i,-0.00019363-0.00032255i,0.00020047+0.00052742i,-0.00081772+0.00098629i,-0.00064773+0.0001991i,-0.00030336-0.00013789i
0.0016451-0.0015204i,0.0012438-0.0020331i,-9.2991e-05-0.001491i,1.2226e-05-0.00063198i,0.0010674-0.0007013i,0.0013737-3.9154e-05i,0.00060836+0.00036218i,-0.00046845+1.9826e-05i,-0.00089619+0.00058883i,-1.2182e-05+0.00090117i,0.00093936+0.00062746i,0.00058211-0.00030851i,0.00011613-0.00082895i,0.00045709-0.00093377i,0.00074943-0.0008327i,0.00023459-0.00038358i,-0.00052669-0.00026064i,-0.00078111-2.655e-05i,-8.1748e-05+0.00021385i,0.00038282-0.00035374i,0.00084387-0.0010826i,0.0010087-0.00087477i,0.00076967-0.00043283i
-0.00063646+0.0014576i,0.00044943+0.0016237i,0.00074962+0.00076368i,0.001805+0.00055453i,0.0027229-0.00010093i,0.0025386-0.0015569i,0.0010909-0.0014284i,0.00049446+0.00011114i,0.00099305+0.0014545i,0.00098288+0.00088921i,0.00011303-0.00054759i,-0.0007983-0.00045289i,-0.0012567+0.00037774i,-0.0013996+0.00052268i,-0.0017858+9.0082e-05i,-0.00066031+0.00014397i,0.0002672+0.0001015i,-9.8962e-05-0.00039054i,-0.00031279-0.00010968i,-0.00064003+0.00050247i,-0.0010694+0.0013022i,-0.000586+0.00093895i,-4.1374e-05-0.00041698i
-0.002612+0.00021629i,-0.0015808-0.00085166i,-0.001114-0.0012829i,-0.00073912-0.0013781i,0.00053343-0.0014507i,0.0013029-0.0010068i,0.0002483-0.00017829i,0.00017341-0.00036461i,0.0010246-0.0010006i,0.0004683-0.00085446i,-8.1932e-05-0.00014791i,-0.00034715+0.0006303i,6.2074e-06+0.00066637i,0.00056831+0.00085018i,0.00078062+0.0012461i,0.00030553+0.00035787i,-1.8393e-05+0.0002482i,0.0002558+0.00095191i,0.00018244+0.0016113i,0.0004277+0.00076339i,0.00054103-0.00016911i,0.0003234+8.3602e-06i,0.00032761+0.00016685i
0.0016916+0.0010556i,0.0015203+7.8949e-05i,0.0014696+0.00014205i,0.00035258-0.0004109i,-0.0015222-0.0012546i,-0.0018388-0.00075033i,-0.00055056-7.9832e-06i,0.0010238-0.00038643i,0.00073801-0.0008702i,-0.00089691-0.00070964i,-0.001335-4.5079e-05i,-7.7081e-05+0.0003064i,0.00079283+0.00085866i,0.00024546+0.0016393i,-1.7599e-05+0.0015326i,0.00058575+0.0010944i,0.00092345+0.0010544i,0.00099324+0.0013678i,0.00043409+0.00090129i,-0.00035256+1.1827e-05i,-0.00072228-0.0002755i,-0.00068344-6.3165e-05i,-0.00023041+0.0002502i
0.0002943-0.0010296i,-0.0011856-0.0017281i,-0.0023573-0.0025056i,-0.0020002-0.0023317i,-0.00090464-0.00072138i,-5.8031e-06+0.00057028i,0.00061906+0.00017971i,0.00033531-0.00082277i,-0.00065247-0.001201i,-0.0010979+1.7443e-05i,-5.2819e-05+0.00058446i,0.0015688-0.00046458i,0.001902-0.0012408i,0.0013126-0.00093589i,0.00066355-8.2189e-05i,0.00099649-0.00020483i,0.0010693-0.00122i,0.0011163-0.0021048i,0.0014555-0.0014827i,0.00070732-0.00041502i,-0.00010985-7.8367e-05i,-0.00076977-0.00016883i,-0.00097162-1.7431e-05i
0.00056797+0.0011116i,-0.00011891+0.00097691i,-0.0012841+0.0010689i,-0.0023505+0.00048625i,-0.00080597+0.0007826i,0.0011172+0.0013514i,0.00068399+0.00085295i,-0.00074563-0.00028296i,-0.0016368+0.00010411i,-0.0011955+0.0010503i,-0.00021733+0.00030758i,-0.00013337-0.00061761i,-0.00085859-0.00078396i,-0.00082638-0.00023545i,-0.00075099-0.00066968i,-0.00036833-0.0016506i,-0.00013239-0.0012796i,-0.00033029-0.0012152i,-0.00030565-0.0016386i,1.4011e-05-0.00093525i,-0.00057762+0.00062526i,-0.00098091+0.00095406i,-0.00037681-0.00059812i
0.0011148-0.00036912i,0.00049911-8.7447e-05i,-0.00025595+0.00065703i,0.00033578+0.0012369i,0.00089443+0.0012637i,0.00036786+0.00086881i,0.00022066+0.00071863i,-0.00011925+0.0015025i,-0.0013841+0.0019191i,-0.0012658+0.0016126i,-0.00015937+0.00046929i,-0.00035283-0.00071956i,-0.0010066-0.00033021i,-0.0010296+0.00067759i,-0.00050013+0.00068473i,-0.0002733-7.0706e-05i,-0.00027338-0.00016263i,-0.00036675+9.366e-06i,-0.00029239+0.00040612i,-9.2611e-05+0.00054486i,-2.7864e-05+0.00070994i,-0.00016587+0.00057754i,-0.00031216+0.00010844i
-0.0019197-0.00049016i,-0.00075636+0.00040941i,0.00056985+0.0014995i,0.0012081+0.0013867i,0.0028907+0.00029308i,0.0043254-0.00022888i,0.0026738-0.00032427i,0.0016147+0.00027445i,0.0013011+0.00097602i,0.00047788+0.00099454i,-0.00066092+0.0010616i,-0.0013881+0.0013036i,-0.0006842+0.00089871i,2.4683e-05+0.00014201i,-0.00045148-0.00011917i,-0.00095548+0.00026112i,-0.00064906+0.00078475i,-0.00081965+0.00083723i,-0.0010645+0.00060218i,-0.00049872+0.00036955i,-0.00058392-0.00018115i,-0.00079085-0.00061507i,-0.00066689-0.00038354i
0.0001483-0.0028828i,-0.00075305-0.0029787i,-0.0010687-0.0013872i,-0.0006955-0.00077621i,0.0008365-0.0011651i,0.0021586-0.00045785i,0.0017622-0.00024539i,0.0015444-0.00060925i,0.0011659-0.00041088i,0.00047193-0.00037843i,0.00029534-0.00023421i,0.00089738+0.00057962i,0.0014445+0.0013017i,0.00037141+0.0013571i,-0.00048876+0.0011961i,0.00046951+0.00098314i,0.00051372+2.1803e-05i,0.00012142-0.00057475i,0.00056168+0.00080997i,0.00035074+0.001456i,-9.2859e-05+0.00052706i,0.00039099-0.0002329i,0.00087899-0.00034039i
0.0024302-0.00098874i,0.0018696-0.0025554i,0.00072606-0.0037732i,-0.0013463-0.0040742i,-0.0016444-0.0030105i,-0.00068837-0.00072291i,-0.00023058-0.00015662i,0.00020481-0.0016696i,0.00040076-0.0022925i,-0.00016639-0.0016039i,-0.00041696+0.00015302i,0.00078395+0.0011716i,0.0019915-0.00044878i,0.0022824-0.0011583i,0.0013455-5.7661e-05i,0.00051632+0.00060717i,0.00092172+0.00077915i,0.00087704+0.00023303i,0.00023667-0.0005486i,-0.00032802-0.00070002i,-0.0007333-0.00091844i,-0.00017277-0.0014225i,0.00078932-0.0008746i
-0.0016921+0.00067206i,-0.00207-0.00069493i,-0.0014303-0.0017264i,-0.0010342-0.0011238i,-0.00088378-4.3031e-05i,-0.00069103+0.00030407i,-0.001524+0.00046715i,-0.0024202-0.00064837i,-0.0023916-0.0014452i,-0.0016785-0.00048442i,-0.00043939-0.00010524i,0.00032207-0.00082451i,1.8873e-06-0.0016564i,0.00031458-0.0020236i,0.00075252-0.0012326i,0.00085235-0.00080226i,0.0005799-0.00066986i,0.00036904-0.00063105i,-0.00014374-0.00071898i,-0.00026588-0.00046124i,0.00011947-0.00040201i,0.00032866-0.00020184i,3.9244e-05-6.8685e-05i
0.0015877+0.00062833i,0.0020465+0.00084528i,0.0012483+0.0010627i,0.00057642+0.0015679i,0.00047225+0.0014859i,0.00075487+0.00034489i,0.00081691+0.0011041i,0.00028194+0.0015944i,-0.00095588+0.00083648i,-0.0015233+0.00053303i,-0.0011603+0.00014616i,-0.0010591-0.00073428i,-0.0013626-0.0011471i,-0.0013865-0.00034105i,-0.00065914+0.00021513i,-0.00061281-0.00020409i,-0.0011334-0.00063261i,-0.001071-0.00048836i,-0.0011745-0.00034085i,-0.0010265-0.00063269i,1.3776e-05-3.3643e-05i,0.00037393+0.00063906i,0.00018461+0.0014258i
0.0021491-0.0021744i,0.0022813-0.0031113i,0.0016529-0.0035382i,0.00075727-0.0027331i,7.1857e-05-0.0015513i,-4.4968e-05-0.00051647i,0.00053246+0.00039277i,0.00097021+0.00167i,0.00033151+0.0025993i,-0.0003557+0.0016845i,-0.00067283+0.00033809i,-0.0015023+0.00011766i,-0.0015566+0.00072188i,-0.00081282+0.0011562i,-0.00033021+0.00069515i,-2.4631e-05-0.00056514i,1.6016e-05-0.00041011i,-5.3714e-05-0.00077789i,0.00050605-0.00062793i,0.00058944+0.00011215i,0.0002099-0.00042346i,0.00036229-0.001139i,0.00010855-0.00012256i
0.0020489-0.0020499i,0.0020434-0.0025643i,0.00044608-0.00099105i,-0.00018199+0.00057275i,0.0008443+0.0015529i,0.0016324+0.00073688i,0.0018524-0.0010759i,0.0020765-0.0010306i,0.001572+0.00026728i,0.00094671+0.00092807i,-6.0512e-06+0.0016173i,-0.00046169+0.0024261i,0.00018664+0.0026208i,0.00034159+0.0015748i,0.00036283+0.00055704i,0.00042269+0.00028397i,0.00077586+0.00031554i,0.00087433+0.00052606i,0.0004814+0.00024571i,5.2196e-05+0.00020248i,-0.0005939-0.000161i,-0.00017468-0.00075721i,0.00057066-0.00019654i
-0.0022238-0.00077488i,-0.00089651-0.00037032i,0.00024012+0.00067887i,0.0020084+0.0007246i,0.0035619-0.0002516i,0.0034033-0.0012431i,0.0026249-0.00099912i,0.0030371-0.0010893i,0.0026539-0.0015745i,0.0018258-0.0014032i,0.0021472-8.0275e-05i,0.0023236+0.00083799i,0.0024724+0.00031513i,0.0024253+4.5102e-05i,0.0015844+1.8902e-05i,0.0010666-0.0002509i,0.00065648-0.00060568i,-0.00041753-0.00062207i,7.602e-05-0.00062537i,0.00077947+0.00016514i,0.00048055+0.00082903i,0.00017077-0.000537i,-0.00031313-0.00079514i
0.0016401-0.00060831i,0.0020564-0.00081214i,0.002748-0.00051712i,0.0027019-0.00095101i,0.0020444-0.0017847i,0.0015199-0.0021368i,0.00063437-0.0012452i,-0.00048202-0.0015403i,-0.0015575-0.0031758i,-0.00085545-0.0028803i,0.00069601-0.0012697i,0.0020127-0.00066638i,0.001791-0.00078877i,0.00026875-0.00081158i,0.00025709-0.00077699i,0.0011987-0.00069879i,0.0012825-0.00069999i,0.0010852-0.00064847i,0.0012335-0.00011784i,0.00052438+0.00023601i,-5.1513e-05-0.00012078i,-0.00026567-9.7474e-05i,-0.00064343-0.00085633i
0.0017821+0.0011787i,0.0012255-0.0013143i,-0.00039952-0.002939i,-0.0016594-0.0017904i,-0.0015724-0.00028438i,-0.00062573-0.00015172i,-0.00098032-3.5573e-05i,-0.0020271-0.00037877i,-0.0028618-0.001538i,-0.0025626-0.0023947i,-0.0019973-0.0022186i,-0.0013246-0.0019824i,-0.00012811-0.0017453i,0.00026329-0.0014764i,0.00034479-0.0014963i,0.00069159-0.0012391i,0.00089413-0.00031585i,0.00033171+0.00072828i,1.9751e-05+0.00076783i,0.00023109+0.00043838i,-0.00020867+0.00050752i,-0.00012825-7.0681e-05i,0.00096781-0.00056426i
0.0010443+9.1305e-05i,0.0031196-0.00056948i,0.0031393-0.0017531i,0.0017068-0.0024247i,0.00036851-0.0018575i,-0.00049324-0.0012346i,-0.00059932+0.0005889i,-0.0011811+0.0022826i,-0.0027585+0.0026969i,-0.0033109+0.0019956i,-0.002721+0.0013384i,-0.0027757+0.00047781i,-0.0023029+0.00015539i,-0.0012017+0.00093422i,-0.00095509+0.0014029i,-0.00032344+0.00056405i,0.00043075-0.00062806i,0.00049079-0.00038487i,0.00043567+0.00033864i,0.00037025+0.00044517i,0.00022623+0.00012946i,0.00027768+0.00044385i,0.00036409+0.0011825i
0.0028321+0.00023785i,0.00058097-0.00029576i,-0.00079402-0.00035953i,-0.0011978-6.9621e-05i,-0.0013354+0.00073925i,-0.0013937+0.0015879i,-0.00060163+0.0017365i,0.00022654+0.0019173i,0.00051758+0.0023373i,0.00039908+0.0024573i,0.000211+0.0018992i,0.00013835+0.0014221i,0.00045991+0.001278i,0.0011227+0.00032849i,0.0011567-6.334e-05i,0.00083695+0.00040097i,0.00034438+0.0005839i,-0.00057658+0.00047889i,-0.00080967+0.00037455i,-0.00047099+0.00036268i,0.00076011+3.257e-05i,0.001267-0.00025017i,0.00033159-0.00054i
-0.0015211+0.0012481i,0.00076486+0.00053516i,0.0032685+0.00050807i,0.0029809+0.00056432i,0.0018697+0.00065015i,0.0013401+3.6148e-05i,0.0011919-0.00055931i,0.0018794-0.00026758i,0.0025846+0.00032772i,0.002714+0.00093865i,0.0027471+0.0014429i,0.0026355+0.0011607i,0.0013303+0.0007066i,-9.99e-05+0.00024738i,0.00016943-0.00017753i,0.00062908+0.00011779i,3.3228e-05-8.1166e-05i,-0.00061868-0.00056454i,0.00017386+0.00024748i,0.00063612+0.00084851i,-0.00022572+0.00023554i,-0.00053133-0.00031923i,-0.00073159-0.00073651i
0.0017092+0.00096643i,0.0020835-0.0010013i,0.0013301-0.0020169i,-4.2711e-05-0.00098378i,-0.00051751-0.00092758i,-0.00012286-0.0020395i,0.00050739-0.0026736i,0.0013082-0.0032694i,0.0019515-0.0035613i,0.001954-0.0029005i,0.0020242-0.0014119i,0.002148-0.00050592i,0.0018342-0.00083622i,0.0013052-0.00081894i,0.0010312-0.00044143i,0.00051077-0.00051101i,0.00034677-0.00064589i,0.00064894-0.00028883i,0.00071505+0.00016188i,0.00033752-0.00034592i,-0.00025967-0.0012193i,-0.00037852-0.00084845i,-0.000428-7.6431e-05i
0.001694+0.0021833i,0.0028815+0.0012034i,0.0032238+6.182e-05i,0.0028734+2.2614e-05i,0.0019277+0.0006064i,0.0007934+0.000717i,-6.2026e-05+0.00026331i,-0.0012014-0.0013373i,-0.0018231-0.0029054i,-0.0019642-0.0032923i,-0.0012415-0.0027937i,-0.00027624-0.0021304i,0.00042785-0.0013335i,0.00084435-0.00050856i,0.00050448-0.00023598i,0.00010765-0.00015323i,-0.00024062+0.00013625i,-0.0006962-0.00014158i,-0.00095352+2.0607e-05i,-0.00088234+0.00046325i,-0.00072273-0.0005852i,-0.0001675-0.00090229i,-0.00051731-0.00046253i
0.0016242+0.00079102i,0.0010511-0.0010406i,0.00069696-0.0012523i,0.0017007-0.0010668i,0.0026722-0.001303i,0.0024948-0.001005i,0.00034763-0.00034568i,-0.0022679-2.7127e-05i,-0.0036206+0.00015723i,-0.0038805+0.00058394i,-0.0029031+0.00049588i,-0.0012339-0.00048173i,-0.00044344-0.0013035i,-0.0012156-0.00049124i,-0.0017971+0.00050809i,-0.00087424+0.00025116i,-0.0003571+0.00019421i,-0.00063187-0.00062078i,-0.00035722-0.0010215i,-7.728e-05-0.00016968i,-0.00031107-0.0002539i,-2.775e-05-0.00080362i,0.00042361-0.00023279i
0.00038133-0.0014505i,-0.00011879-0.0012947i,-0.00096632-0.00084707i,-0.0017941-0.0014103i,-0.0011785-0.0013286i,-0.00027469-0.0004411i,0.00039319+0.00021527i,-0.00013195+0.0015169i,-0.00089971+0.0032553i,-0.001038+0.0041067i,-0.0014767+0.00396i,-0.0017768+0.0025418i,-0.00177+0.0010761i,-0.00089561+0.00012805i,-3.504e-05+0.0004879i,-0.00018029+0.00013552i,0.00019968-0.00071538i,0.0004083+4.4415e-05i,0.00027068+0.0014809i,0.00011649+0.0021057i,0.000243+0.0011128i,0.00044646-9.9538e-05i,0.00011884-0.00071016i
0.0027148-0.0029392i,0.0015042-0.0025838i,4.684e-05-0.0015794i,-0.0013905-0.00043254i,-0.0024025+0.00057813i,-0.0015502+0.00081764i,0.00071722+0.00050746i,0.0025802+0.0013856i,0.0029799+0.0019458i,0.0028218+0.0018054i,0.0016716+0.0027749i,0.00051137+0.0025161i,0.00041842+0.0010861i,0.00057912-0.00039357i,0.00075324-0.001546i,0.00059579-0.0013009i,0.0006156+0.00020408i,0.00071086-0.00013414i,0.0011943-0.0010182i,0.0013755-0.0007447i,0.00059068-0.001326i,-0.00029641-0.0012236i,0.00013805-0.00024164i
-0.00073829-0.0019935i,-0.00064243-0.0036914i,-0.0010163-0.0029731i,-0.00059109-0.00057309i,0.0004561+0.0012531i,0.00095011+0.0006631i,0.00079897-0.00034614i,0.0014503-0.0013063i,0.0027372-0.0019116i,0.0031191-0.0016091i,0.0026944-0.00096524i,0.001656-0.00010383i,0.00032174+0.00026992i,-0.0001598-2.9176e-05i,2.5135e-05-0.00068551i,-0.00011276-0.00091457i,0.00014444-0.00055032i,0.00063076-0.00026734i,0.00050002-0.00016232i,0.00075608-0.00013285i,0.0008534-0.00038714i,0.00045341-0.00068333i,-0.00062502-0.00079493i
-0.00079779-0.00057579i,-0.00034452-0.0011071i,-0.00057915-0.00021052i,0.00078634+0.00083454i,0.0017387+0.0014711i,0.001917+0.0011071i,0.0010291-0.00011985i,0.0003376-0.0015878i,2.7493e-05-0.002914i,-0.00051082-0.0035543i,-0.00095628-0.0032354i,-0.00058052-0.0020953i,0.00066815-0.0012486i,0.0013747-0.00061862i,0.00093951-0.00026756i,0.00038867-0.00029163i,0.00060638-0.00027465i,0.00042855-0.00057839i,-0.00022856-0.00099401i,-0.00044758-0.00048673i,-0.00021175+0.00026494i,-0.00054968+0.00064348i,-0.00082857+0.0010586i
0.0016441+0.0010115i,0.0015162-0.00020624i,0.00029569-0.0022978i,-0.000239-0.0016536i,-0.0001219+0.00027713i,-0.00014316+0.0018287i,-0.00012572+0.0021249i,-0.00088211+0.00065778i,-0.0028868-0.0011821i,-0.0047983-0.0017873i,-0.0050353-0.0011054i,-0.0030572-0.00021349i,-0.00070562-0.0003465i,0.00074407-0.00068813i,0.0010285-4.024e-05i,0.00085932-1.9227e-05i,0.0011619-0.00025612i,0.0012111-0.0002479i,0.00050018+0.00038984i,-0.00026508+0.0010058i,-0.0001483+0.00060743i,0.00034575-0.0004319i,0.00095885-0.00085773i
0.00044963+0.00072715i,0.0017022+0.0005029i,0.001835+0.0013921i,0.0010724+0.0014199i,0.00059084+0.00013006i,0.0013477-0.00028521i,0.0012512+0.00059687i,-0.0002243+0.00093837i,-0.0025361+0.0019882i,-0.0035042+0.0040247i,-0.002441+0.0044977i,-0.001278+0.0026576i,-3.3668e-05+0.00032877i,0.00062229-0.00082871i,0.00031896-0.000472i,-0.00017423+0.00026957i,0.0003352+0.00013627i,0.00032971+6.9461e-06i,-0.00034947+9.2892e-05i,-0.00013786-1.3811e-05i,4.068e-05-0.00038785i,0.00061821-0.00078066i,0.00025399-0.0003787i
