-0.0013121+0.0010764i,-0.00057795+1.5218e-05i,-0.001702+0.00081689i,-0.00178+0.0010984i,-0.00055038+0.00025092i,-0.0011792-0.00011115i,-0.0023801+0.00039575i,-0.0014551+0.0012688i,-2.1822e-05+0.0012209i,0.00068281+0.00053771i,0.0004256-1.8895e-05i,8.8907e-05-0.00019308i,0.00026826-0.00066641i,-0.00054698-0.00041644i,-0.0013277-0.00031692i,-0.0005299-0.0011266i,0.00010165-0.0011508i,0.00010387-0.0011191i,0.00036948-0.00091824i,0.0003339-0.0004191i,3.989e-06-0.00068508i,-0.00025284-0.00095511i,3.819e-05-0.00030054i
-0.00021626-0.0017106i,7.5417e-06-0.00098371i,-0.00096898+4.9829e-05i,-0.00030285+0.0011806i,0.00099643+0.0013018i,0.0013427+0.00020298i,0.00036777-0.00025149i,-0.0016369-0.00027908i,-0.0018467-2.3493e-05i,-0.00060365+0.00032812i,-0.00039165-5.4183e-05i,-0.00076859-0.00021215i,-0.00028938+0.00033148i,-0.0003458-2.0355e-05i,-0.00042871-0.00091917i,-0.00019822-0.00098991i,-1.3431e-05-0.00046617i,-0.00021811-0.0001057i,-0.00065138+0.00012663i,-0.00090746-0.0001942i,-0.00044766-0.00020193i,-0.0001536+0.000162i,0.0003311-0.00032621i
-0.00050639-0.00031707i,3.1244e-05-0.00041037i,0.00041426-2.8162e-06i,0.00081674-0.00038667i,0.00076787-0.0024352i,0.0002401-0.0032708i,-0.00078084-0.0017988i,-0.0016386-5.6246e-06i,-0.0019318+0.0010773i,-0.00096351+0.00079046i,2.8319e-05+0.0001066i,0.00047346-8.378e-07i,5.6592e-05+0.00051522i,-0.00034103+0.00068319i,3.5609e-05+0.00012352i,0.00018271-0.00020104i,0.00079573-0.00063159i,0.00094234-0.00052112i,0.00074164-3.9204e-05i,0.00050558-0.00054817i,-0.00019176-0.00061324i,0.00039436-0.00036653i,0.0003345-0.00035361i
0.00059795+0.00052515i,-0.00029245+0.00065606i,-0.00081838+0.00031858i,-0.00055242-0.00089835i,-0.00029075-0.0012774i,-0.0011783-0.0013827i,-0.0021151-0.0011895i,-0.0023365+0.00027264i,-0.0010492+0.0012026i,1.6734e-05+0.00079887i,0.00019753+1.0853e-05i,-7.1759e-05-2.6967e-05i,0.00024673+0.00052294i,0.00098418+0.00031151i,0.0007209+0.00044274i,0.00030712+0.00037438i,-0.00010154+0.00014577i,-0.00037134+0.00024178i,-0.00051642-0.00027657i,-1.6245e-05-0.0005275i,9.9121e-05-0.00026357i,-0.00025498-0.00012004i,-0.00019365-8.9522e-05i
-0.00038565+0.00012766i,0.0012438+0.00062253i,0.0022086+4.9498e-07i,0.0019658-0.0010481i,0.0012309-0.0020574i,0.0011318-0.0020422i,0.00039467-0.00096587i,0.0001605+0.00021293i,-0.00035814+0.00044595i,-0.00096189+0.00037934i,-0.00019048+0.0007527i,6.2754e-05+0.0007598i,0.00026299-0.00022805i,0.00092006-0.00041864i,0.00064846-7.5226e-05i,0.00016711-0.00040414i,-0.00051262+0.00017065i,-0.00070514+0.00031306i,-0.00056742-0.00023901i,-0.00031179+9.7263e-05i,0.00043022+0.00087821i,0.00058981+0.0012468i,-0.00020321+0.0011278i
-0.0021835+0.00096602i,-0.0027084+0.0004579i,-0.0022362+0.0022014i,-0.000234+0.0025523i,0.0014132-4.5461e-05i,0.0007591-0.0015656i,-0.0010142-0.00084226i,-0.0020967+0.00020995i,-0.0019813+0.0010662i,-0.00089914+0.0013585i,-7.8894e-05+0.00056524i,-0.00015377+4.6115e-05i,-0.00016824-0.000248i,0.00033671-0.00034787i,0.00059045-0.00018007i,0.00010289-0.00026187i,-0.00038945-0.00066733i,-1.7637e-07-0.0007251i,0.00017708-3.4398e-05i,-0.00030073+0.00051164i,-0.00088965+9.8789e-05i,-0.00098029-0.00058717i,-0.00012077-0.00030251i
0.0010625+0.00085462i,0.0011873+0.00067593i,0.0030827+0.00041003i,0.0034642+0.000444i,0.001417-0.00042175i,-0.00043719-0.0010624i,-0.001513-0.00043634i,-0.0018345+0.00020378i,-0.0010008+0.00064927i,0.00017061+0.00040107i,0.00073607+0.00016654i,0.000393-9.4539e-05i,-0.00074597-0.0006541i,-0.00149-0.000491i,-0.0010424+9.0879e-05i,-0.0004135+3.2247e-05i,0.0001261-0.00033018i,0.00044463-0.00060896i,1.1443e-05-0.00084555i,-0.00058332-0.00037245i,-0.00037165-0.00042353i,0.00047813-0.00073209i,0.00092864-0.00032341i
-0.0022202+0.00075001i,-0.0022666+0.0011139i,-0.0014313+0.0020995i,0.00069311+0.0016751i,0.0018527+9.3671e-06i,0.00085172-0.0020366i,-0.0012388-0.0021163i,-0.0023805-0.00096723i,-0.0020836+3.1423e-05i,-0.00087228+0.00069169i,-9.0108e-05+0.00073015i,-0.00015585+0.0010937i,-0.00071401+0.00069318i,-0.0010047-0.00047894i,-0.00043872-0.00024081i,0.00036252+0.00017596i,0.00066499-0.00091792i,0.00029807-0.0013777i,-0.00025514-0.0005216i,-0.00037412+0.00021325i,0.00025291+0.00088772i,-0.00020177+0.00069229i,-0.00062303+0.0003516i
-0.0010429-0.0004505i,0.00031725-7.8797e-05i,0.0016178-0.0003452i,0.002122-0.0012548i,0.0023546-0.0012384i,0.0011177-0.0014325i,-0.00070075-0.0011995i,-0.0012005-0.00071317i,-0.00041826+0.00030034i,-8.9884e-05+0.0002362i,-0.00051608-0.00024264i,-0.00075578+0.00032661i,-0.00072067+0.0012633i,-6.9781e-05+0.00071121i,0.00077262+0.00036094i,0.00058126+0.00092924i,-4.9675e-05-4.4366e-05i,-7.063e-05-0.00053646i,1.5746e-05+0.00024776i,-0.00041712+0.00020592i,-0.00040179-0.00053921i,0.0001166-0.00084942i,0.00040552-0.00034287i
-0.00083541+0.0012255i,-0.0013238+0.0014485i,-0.0011565+0.0027662i,-5.1697e-05+0.0025834i,0.0010285+0.00052293i,-2.8853e-05-0.000815i,-0.0014933-0.00026447i,-0.0015228+0.0015443i,-0.0010763+0.0014517i,-0.00077827+0.00051019i,-0.00089719+0.00057547i,-0.00065012+0.00079785i,-0.00039141+0.00087515i,-0.0006817+0.00091378i,-0.00089014+0.0011876i,-0.00030827+0.00074793i,9.0888e-06-0.00040059i,0.00036554-0.001055i,0.00040919-0.001193i,0.00040383-0.00069684i,0.00049845-0.00018628i,0.00028222-0.00026852i,5.5803e-05-0.00011556i
5.5105e-05+0.00048566i,0.00025171+0.00060078i,0.0011635-0.001152i,0.0010371-0.0024021i,-9.466e-06-0.002218i,-0.00041104-0.0016154i,-0.00045101-0.0010042i,-0.00043776-0.00026074i,-0.00039303+0.00028475i,-0.00064361+0.00051333i,0.00042942+0.00021293i,0.0012471-3.9615e-05i,0.00060956+9.6182e-05i,0.00025869-0.00025725i,0.0010185-0.00044674i,0.001229+0.00066262i,0.00064791+0.001287i,0.00025797+0.00072947i,0.00018309-8.9147e-05i,0.00013968+2.39e-05i,0.00017896+1.426e-05i,0.00022424-8.1944e-05i,-0.00016507+0.00058901i
-0.00080414+0.0002584i,-0.0010832+0.00091537i,-0.0021398+0.002278i,-0.0018427+0.0034776i,-0.00042638+0.0018906i,0.00017243-0.00032334i,-0.0006052-0.00093916i,-0.0014696-0.00071004i,-0.00081672+0.00018747i,0.00090056+0.0011992i,0.0011441+0.0013523i,7.4846e-05+0.00047424i,-0.00022852-0.00071762i,0.00066316-0.0011778i,0.00038478-0.00090738i,-0.00044496-0.00062679i,-0.00025527-0.00013534i,0.00079595-0.00020542i,0.001073-0.0002591i,0.00060894+0.00044972i,0.00063837+0.00077446i,0.00019367+0.00043075i,-0.00043828+0.00052344i
0.0011121-0.00094517i,0.00084145-0.00090496i,0.00092161-0.0014679i,0.0009747-0.0014927i,0.00060486-0.0011528i,-0.00011197-0.00088272i,-0.0010446+0.00010005i,-0.001352+0.00059784i,-0.00078233+0.00027094i,-0.00042549+0.0004242i,-0.00055971+0.00072325i,-0.0008382+0.0010312i,-0.0011573+0.00064971i,-0.00083103-3.745e-05i,0.00019537-0.00021992i,0.0010672-4.7635e-05i,0.00098928+0.00041082i,0.00021873-0.00031172i,0.00028663-0.00070733i,0.00011896-0.00069326i,-0.00056268-0.00034026i,-0.00049415+0.00036869i,-7.2938e-05+0.00051453i
9.9716e-05-0.00085402i,-0.00014212+0.00030592i,-0.00083311+0.0018465i,-7.4285e-05+0.0018271i,0.0016648+7.8269e-05i,0.0018438-0.0011551i,0.0010943-0.00087094i,1.9176e-05+7.4072e-05i,-0.0013524+0.00059987i,-0.00096796+0.00025858i,-0.00015826-1.0749e-06i,-0.00012808+4.6998e-05i,0.00028418-0.00024658i,0.00053101-0.0011665i,0.00021192-0.00066527i,-0.00083675+0.00014166i,-0.0010306-0.00046637i,-0.00090036-0.0010672i,-0.00071434-0.0010062i,-0.0004344-0.00090428i,-0.0004448-0.00036027i,-0.00063489+0.0001204i,-0.00054192-1.5329e-05i
-5.3716e-06+0.002734i,5.1327e-05+0.0016889i,0.0011256+0.00037423i,0.0018203-0.0010368i,0.0019932-0.0020037i,1.157e-05-0.0029877i,-0.0014212-0.002803i,-0.0014623-0.00091798i,-0.00092378+0.00021956i,-8.2569e-05-0.00024894i,-0.00029557-0.00047194i,-0.00039772-0.00044636i,-0.0010781-0.00026321i,-0.0009781+5.4903e-05i,0.00012609+3.9878e-05i,6.504e-05+0.00050541i,8.8586e-05+0.00065825i,0.0006856+0.00046512i,0.00070645+0.00017478i,0.00054475+4.6786e-05i,4.2607e-05-5.2516e-05i,-0.00039409-0.00056675i,0.00022161-0.00043301i
-0.0007053+0.00051094i,-0.001612+0.00053122i,-0.0011721+0.0018493i,-3.7903e-05+0.0018618i,0.001271-0.00033524i,0.00085421-0.0025709i,-0.0010609-0.0020211i,-0.0015521-0.00056092i,-0.0010881+0.0001057i,-0.00083351+5.4489e-05i,-0.00010092+8.8172e-05i,-0.00014037+0.00045555i,-0.00029134+0.00085912i,-0.00015549+0.00077622i,-0.00060306+7.4299e-05i,-0.0010487-0.00026386i,-0.0010234+4.6883e-05i,-0.00054044-0.00037727i,0.00013441-0.00098526i,-2.7685e-05-0.00049286i,-0.00011786+4.3908e-05i,0.00042717+0.00041671i,0.00046518+0.00075443i
-1.6719e-05-0.0009939i,0.00059881-0.00087671i,0.00019645-0.00069409i,0.00078786-0.00081555i,0.00085205-0.00066871i,0.00090465-0.00072277i,0.00074983-0.0012567i,0.00027626-0.0014484i,2.6572e-05-0.0010672i,-4.2183e-05-0.00030832i,9.3482e-05-0.0002633i,-0.00032752-0.00024263i,-0.00051257-0.00039357i,-3.4437e-05-0.00011306i,0.00014234+0.00011648i,0.0006902+0.000533i,0.00067496+0.00084817i,-0.00054144-3.3081e-06i,-0.0011755-0.00089527i,-0.00079189-0.0009089i,-0.00018429-0.00042748i,-0.00018282-7.8384e-05i,-0.00089121-2.5529e-05i
-0.0012218-0.00014617i,-0.0006927+0.00045142i,-0.00042276+0.0023649i,0.00024945+0.0022704i,0.0013393+0.000655i,0.0016824-0.00053718i,0.00028678-0.00032583i,-0.00070259+0.00043982i,-0.0012462+0.00067376i,-0.00072275+9.7093e-05i,-5.5095e-05-1.1528e-05i,0.00016109+0.00026966i,-0.00016644+0.00033374i,-0.0002935+0.0005935i,-7.8682e-05+0.00049918i,-0.00022923+0.00025261i,0.00015287+2.4666e-05i,0.00042951-0.00097964i,0.00037761-0.0013132i,0.00015001-0.0006786i,-0.00017541-0.0002689i,0.00042168-4.7496e-05i,0.00035241-0.00076249i
8.6409e-05-0.00017432i,0.00018929-0.00026136i,0.00051099-0.00083749i,0.0010051-0.0011928i,0.0012449-0.0011934i,0.00014326-0.00063687i,-0.0015195-0.00021616i,-0.00215+0.00027122i,-0.0013236+0.00064251i,-0.00038343+0.00080966i,-0.00070572+0.00085603i,-0.0011111+0.00083527i,-0.00015096+0.0010066i,0.0011243+0.0004014i,0.0016851-0.00081284i,0.00082743-0.00091559i,7.6575e-05-0.00063439i,0.00014098-0.0010644i,0.00013366-0.0015774i,-0.00042688-0.00073725i,-0.00058058+4.1726e-06i,0.00011227-0.00013714i,0.00039158+0.00020162i
-0.0020257+0.00050951i,-0.00021712+0.00095076i,0.00014801+3.1221e-06i,0.0005654-0.00043365i,0.0011385-0.00025664i,0.0013289-0.00113i,0.00048194-0.00061001i,-0.00083168+0.0006775i,-0.0007785+0.0013966i,-0.00032671+0.0008529i,-2.2538e-05+0.00032831i,-0.0001416+0.00061015i,-0.00069989+0.00024933i,-0.00024085-0.00010089i,0.00020362+0.00021512i,-0.0001489+0.00033108i,-0.0002264+0.00029662i,0.00025445-0.00026877i,-6.4472e-05-0.00079206i,-8.449e-05-0.0003509i,0.00032023+0.00041306i,0.00022715+0.00021555i,2.069e-05+0.00028915i
0.00010437+0.0014172i,-0.00048502+0.0017146i,0.00036153+0.00205i,0.00088761+0.001299i,0.00063532-0.00056229i,2.1452e-05-0.0021486i,-0.0018535-0.002042i,-0.0029585-0.00062912i,-0.0019031+0.00037009i,-0.00063372+8.6159e-05i,-0.00029706-0.00049308i,-0.00048066-0.00032609i,0.0001385+0.00037086i,0.00040131+0.00054252i,2.616e-05-0.00034252i,-0.00031938-0.0010933i,-0.0001442-0.0012357i,0.00048175-0.00077711i,0.00066526+4.9246e-05i,0.00018879+0.00024208i,-3.6726e-05+9.7945e-05i,0.00051235-7.8045e-05i,0.00066411-0.00043704i
-0.00013766+0.00026907i,0.00046625-0.00054508i,-0.00067231-0.00081975i,-0.00012365-0.00047371i,0.00085945-0.00080611i,4.1869e-05-0.0016687i,-0.0011749-0.00082837i,-0.0016938+0.00016118i,-0.0012584+0.00035664i,-0.0010048+0.00024266i,-0.00028053+3.2793e-05i,0.00066999+0.00010856i,0.0010896+0.00031293i,0.0010638+8.4707e-05i,0.00086445-0.00010155i,2.9443e-05-0.00041733i,0.00012013-0.00089615i,0.00040119-0.00086358i,0.00031827-0.00051372i,0.00057515-6.7954e-05i,0.00040911-0.00021944i,0.00026559-1.8691e-05i,-0.00014549+0.00090381i
-0.0016443+8.0788e-05i,-0.0013321+0.0003641i,-0.00036439+0.0024284i,0.0003713+0.0031839i,0.00066703+0.0010728i,0.00060521-0.0016286i,-0.00029562-0.0022577i,-0.0013528-0.00071973i,-0.0016309+0.00051347i,-0.0010765-3.022e-06i,-0.00024045-0.00044304i,-5.3358e-05-0.00012436i,-0.00095238-0.00016524i,-0.0014622-0.00019547i,-0.0011766+0.00015992i,-0.00068866+0.00024914i,-1.8351e-05-0.00025666i,-6.9698e-05+0.00047089i,-0.00031884+0.00095525i,-0.00028026-0.00028978i,-0.00029678-0.00085958i,-0.00040526-0.00019698i,-0.00066446+0.00021649i
6.149e-05+0.00013369i,0.0005447-6.1471e-05i,7.2734e-05+0.00013454i,-0.00020171-0.00084396i,0.00055079-0.001781i,5.3051e-05-0.0016077i,-0.0013805-0.0007349i,-0.0014105-0.00028161i,-0.0006983-6.3155e-05i,-7.5784e-05+0.00071586i,0.00026731+0.0010748i,0.00051527+0.00065255i,0.00064363+0.00022874i,0.00033739-3.0697e-05i,-0.00021896-0.00019786i,0.00020442-0.00016356i,0.00095425+3.9608e-05i,0.00051588+0.0004929i,-0.00023398+0.00020417i,-0.00040296-0.00013529i,-0.00048909+0.00023419i,-0.00041997-7.2283e-05i,-0.00062216-0.00062886i
0.00036826+0.00048026i,0.00041287+0.00049332i,4.7368e-05+0.00099767i,0.00062381+0.0020807i,0.0010578+0.0010024i,0.00030001-0.0010657i,-0.0011254-0.0014364i,-0.0022379-0.00040366i,-0.0020496-1.5317e-05i,-0.00093616-0.00020234i,2.4348e-05+0.00041434i,0.00049934+0.0018428i,0.00042686+0.0022164i,-0.00057006+0.0015503i,-0.00060886+0.00081579i,0.00023641-3.973e-05i,0.00095148-0.00078673i,0.0003276-0.001037i,-0.00077549-0.00082922i,-0.0010747-3.06e-05i,-0.0001105-0.00023049i,0.00027358-0.00018505i,-0.00065969+0.00040379i
0.0010742-0.00036817i,0.0011239+0.00058991i,0.00085761+0.00088025i,0.0014357-0.00047141i,0.0013475-0.0018138i,-0.00086408-0.0027068i,-0.0020013-0.0016235i,-0.0018868+0.00012503i,-0.0012601+0.00028093i,-0.00075886-1.2319e-05i,-0.00050174-0.00020362i,-0.00065551-0.00023974i,2.9772e-05-7.2504e-05i,0.00029905-0.00015369i,9.7131e-05-0.00064979i,9.5831e-05-0.00046768i,0.00059698-0.00020222i,0.00050279-0.00032415i,0.00014611+0.00014008i,-0.00032496+0.0011381i,-0.00042485+0.0013731i,2.32e-05+0.0010732i,-0.00010441+0.00052208i
0.00046546-0.00081988i,-0.0012459+0.00070226i,-0.0018615+0.0010592i,-0.0011576+0.00071831i,-0.00039712+9.9825e-05i,-0.00036868-0.0010307i,-0.0011396-0.0019331i,-0.0015014-0.0011309i,-0.0015554+0.00070645i,-0.0014003+0.001369i,-0.00058761+0.00084374i,-0.00035566+0.0012386i,-0.00071798+0.0013272i,-0.00059376+0.00072957i,-0.00027866+8.8285e-05i,0.000124-0.00084392i,-1.7108e-05-0.0011396i,-0.00033246-0.0013236i,-0.00077035-0.0011229i,-0.0011532-0.00022231i,-0.00077459+0.0002794i,-0.00064281-0.00038795i,-0.00063666-0.0011352i
0.00024878+0.0014674i,0.00037756+0.0013466i,0.0015377+0.0012475i,0.0025737+8.8893e-06i,0.0025082-0.0013152i,0.0010189-0.0019291i,-0.00090435-0.0014976i,-0.001843+0.00027008i,-0.001338+0.0015131i,-9.0096e-05+0.0010509i,0.00066332+0.0005671i,0.00042356+0.00084281i,0.00061633+0.00082514i,0.00069704+0.00060554i,0.00064891+1.4073e-05i,0.0010398-0.00034964i,0.0012916-0.00074236i,0.0010287-0.0010503i,0.00024167-0.00074173i,-0.00021259-0.00040801i,-0.00050099-0.00027633i,-0.00083424-0.00036984i,-0.00014994-0.00048479i
-4.7964e-05+0.00034806i,-0.0012017-0.00019102i,-0.0010185+0.00032597i,-0.00020193+0.00045833i,-0.00014868-0.00059906i,-0.0009683-0.0014807i,-0.0011752-0.0011884i,-0.0015126-0.00063587i,-0.0011751+5.8535e-05i,0.00045258+0.00067258i,0.0011073+0.00063984i,0.00071319+0.00035614i,-0.00048014+0.00053148i,-0.001084+0.00076716i,-0.0010261+0.00075106i,-0.00071239+0.00010117i,-0.00033516-0.00037775i,-0.00011116-0.00025941i,-0.00045679+5.0871e-05i,-0.00043701-0.00037654i,0.00041049-0.00074111i,0.00042413-0.0005351i,9.8726e-05-0.00056542i
0.00092598-0.00049482i,0.0014078+0.00068739i,0.0022193+0.001091i,0.0020476+0.00061781i,0.0012742-0.00021308i,-8.6189e-05-3.5097e-05i,-0.00099638-4.4921e-05i,-0.0018047+0.00022897i,-0.0016064+0.00043402i,-0.00048965+0.00025046i,0.00015873+0.00041159i,3.5145e-05+0.0009909i,-2.642e-05+0.0014868i,1.1589e-05+0.0011031i,-0.00058201+0.00022081i,-0.00068005+0.00017714i,-0.00036119+7.1062e-05i,-5.8216e-05+0.0001508i,-0.00010857-0.00017903i,-0.00025109-0.00013318i,-0.00017934+0.00049036i,-6.5045e-05+0.00020541i,-0.00031465-0.00045376i
0.00028948-0.00043814i,-0.0015367+2.9767e-05i,-0.0022809+0.00032981i,-0.0014759+0.00016976i,-0.00043095-0.00076212i,-6.7872e-05-0.00073329i,-0.0007233-0.00023452i,-0.0015775+0.00013888i,-0.0014353+0.0010799i,-0.00081504+0.00099168i,-0.00043715+0.00012208i,0.00011691+2.0697e-05i,0.00035298+0.00017884i,0.00077386-0.00043321i,0.0012522-0.00082694i,0.0012495-0.0004117i,0.00068155+0.00023373i,-0.00023943-5.2201e-05i,-0.00035642-0.00030534i,-0.00010999-0.00014037i,0.0001746-0.00011993i,0.00093465+0.00022572i,0.00081171+0.00018107i
0.00031314+8.0315e-05i,0.0017709+0.0010696i,0.0019818+0.00096527i,0.0020065-0.00020125i,0.00090319-0.0011756i,-0.00075338-0.0011931i,-0.0010371-0.00061203i,-0.00098303+0.00056491i,-0.0010592+0.0011137i,-0.00066789+0.00026911i,-0.00026923-0.00017299i,3.6793e-05+0.00018116i,-0.00024221+0.00043396i,-0.00031085-0.00011368i,-0.00022518-0.00035542i,-0.00037727-0.00030765i,-1.7069e-05-0.00055375i,0.00024832+0.0001747i,-0.00022771+9.6033e-05i,-0.00018607-0.00036701i,-0.00016503+0.00018611i,-0.00065124+0.00027333i,-0.00040984+0.00030221i
-0.0016466+0.00069712i,-0.0017193+3.6557e-05i,-0.002007+0.0007362i,-0.00087156+0.0011526i,0.00082226+0.00032025i,0.00077653-0.0013035i,-0.00040763-0.0017795i,-0.001628-0.00021767i,-0.0021387+0.0013001i,-0.0012209+0.0015666i,0.00025489+0.001223i,0.00016674+0.00078826i,-0.00027526-0.00029477i,-5.5934e-05-0.0011222i,-1.6188e-05-0.00088834i,-0.00035744+0.0002397i,-0.00024365+0.00096486i,0.00022923+0.00033103i,0.00022781-0.0007962i,0.00040794-0.0010513i,0.00032512-0.00038479i,0.00020269+0.00017679i,-0.00014823+0.00015006i
0.0001711-0.00038957i,0.0010998-3.7081e-05i,0.0008166+0.00018002i,-0.00021464-0.00013332i,0.00074759-0.00097938i,0.0016732-0.0021525i,0.00016865-0.0016397i,-0.00067498-0.00019328i,-0.00078362+0.00058198i,-0.00070631+0.00061157i,-0.00011367-0.00016253i,0.00064374-0.00055829i,0.00095097-0.00061813i,0.00094963-0.00036951i,3.8849e-05-0.00013106i,-0.00013377+3.6723e-05i,0.00090785-5.9984e-05i,0.00070437-0.00052087i,-0.00032683-0.00027426i,-0.00054251+0.00042211i,-0.00055731+0.00067288i,-0.00073119+0.00047654i,-0.00018669+0.00019345i
-0.0021461+0.00057498i,-0.0009317-0.00010211i,-0.00047624+0.0011768i,0.00051571+0.0010971i,0.0018748-0.00068144i,0.0012733-0.0018822i,-0.00046919-0.001636i,-0.00085496-0.00066569i,-0.0011215+9.5563e-05i,-0.000662+0.00031056i,-0.00031703+0.00014155i,-0.00046631-0.00079374i,-6.453e-05-0.00071287i,-0.00014359+0.00031272i,1.8159e-05+0.00087142i,0.00099901+0.00081903i,0.0014434+0.00046061i,0.0012359-0.00032781i,0.00077864-0.00091982i,-1.6082e-05-0.0012047i,9.1187e-05-0.00082411i,0.00079716+0.00043476i,0.0008899+0.00046455i
0.00063866-0.00018167i,0.00057365+4.0385e-05i,0.001183-0.00070384i,0.0016647-0.00084273i,0.001374-0.00068028i,0.00073537-0.0010995i,-0.00055275-0.00086526i,-0.0016948+7.2153e-05i,-0.0019076+0.0010926i,-0.0013395+0.0011759i,-0.00029693+0.0007224i,0.00040305+0.0010195i,0.00079572+0.0010739i,0.00097528-0.00014146i,0.00037876-0.00069305i,9.6448e-05-0.00092409i,0.00014373-0.0017027i,0.00025022-0.0015044i,0.0005562-0.00061229i,6.1311e-05-0.00016018i,-0.00039453+0.00062815i,-0.00040963+0.00074501i,-0.0005698+0.00050597i
0.0014222-0.0018633i,0.00040393-0.0013162i,-0.00113+0.000125i,-0.0012606+0.00062613i,-0.0013237+0.00056446i,-0.0011676-0.00012218i,-0.0014145-0.0006769i,-0.0018868+0.00031054i,-0.0016248+0.00043927i,-0.0017958+0.00010207i,-0.001121+5.6679e-05i,-4.0006e-05-0.00027183i,0.00044448-0.00069564i,0.00021696-0.00080377i,-0.00077188-0.00058113i,-0.00090361-0.00027931i,0.00018405-0.00084325i,0.00063938-0.001355i,-0.0003349-0.00095322i,-0.00068618-0.00011839i,-0.00029594+0.00062772i,-0.00040021+0.00060557i,-0.00022504-0.00010449i
-0.00059466-3.134e-05i,0.00065985+0.0012366i,0.00084415+0.0013825i,0.0008058+0.00097182i,0.0018959-0.00083097i,0.0015568-0.0011609i,-0.0003296-0.00044955i,-0.00074527-8.284e-05i,-0.00048286+0.0012768i,-0.00032019+0.0014558i,-0.00059253+0.00056321i,-0.00053489+0.00025337i,-0.00063921-0.00020012i,-0.0013116-0.00064424i,-0.00029504-0.00056023i,0.00052396-3.2314e-05i,0.00012224+0.0001407i,-0.00050859+6.6174e-06i,-0.0009937+0.00031802i,-0.00068513+0.0009784i,0.00017255+0.00068308i,0.0011045+0.00093994i,0.00050599+0.001271i
-0.00068039-0.00043143i,-0.00084459-0.00020195i,-0.00086597-0.00010258i,-0.00065452-0.001541i,-7.5933e-05-0.0029778i,-0.00012501-0.0029908i,-0.0021936-0.0023323i,-0.0032054-0.00078605i,-0.003014+0.0012065i,-0.0016647+0.0019013i,-7.1637e-05+0.0015262i,0.00016796+0.00057984i,0.00038677-0.00010386i,0.001041-0.00086176i,0.001304-0.00085634i,0.0010523-6.0559e-06i,0.00063358-0.00031112i,0.00015635-0.00086638i,-0.00062285-0.00098906i,-0.0005411-0.00072314i,-0.00019771+0.00010793i,-0.00061711+6.4199e-05i,-0.00034446-0.00022842i
-0.00041464+0.0026401i,-0.00082752+0.0026991i,-0.00079038+0.0018608i,0.0009908-1.0955e-05i,0.0017464-0.0015788i,9.6904e-05-0.001297i,-0.0021519+3.6015e-05i,-0.0025944+0.00066074i,-0.0015662+0.0011156i,-9.3785e-05+0.0011326i,0.0011312+0.00026951i,0.00096131+0.00064919i,-0.00070525+0.00088843i,-0.0011119+0.00059753i,-0.00054242+0.00046793i,0.00012032+7.6523e-05i,0.00024789-0.00026509i,-0.00016539-0.00093719i,-0.00017223-0.00069389i,2.8892e-05-0.00027976i,-0.00054813-0.00062546i,-0.00043568-0.00090792i,0.00066856-0.00090257i
0.00062886-0.00058121i,-9.23e-05-0.00016445i,-0.00041998-0.00099267i,-0.00018618-0.0021182i,0.00019264-0.0021078i,-0.00034177-0.0015567i,-0.0011898-0.00090443i,-0.0011803-0.00012747i,-0.0010674-0.00026673i,-0.00097794-0.00025291i,-0.00085144-0.00015171i,-0.00053804-3.3928e-05i,-0.00099504+1.2949e-05i,-0.0010235+0.00015533i,-0.00016783-0.00034712i,0.00052616-0.00078575i,0.00058468-0.00046996i,0.00021276+0.00018244i,0.0009433+0.0011706i,0.00053064+0.00088198i,-0.00027639-9.4788e-05i,-0.00048013-0.0010427i,-0.00037784-0.00062708i
0.00021003+0.00090387i,5.1494e-05+0.0017535i,0.00097128+0.0025312i,0.0019238+0.0011435i,0.0021008-0.00093803i,0.00054306-0.0026567i,-0.0017512-0.0023488i,-0.0021935-0.00063088i,-0.0012487+0.00085264i,-0.0011823+0.00093458i,-0.00079642-0.00015087i,-9.891e-05-0.00025456i,6.7211e-05+0.00068436i,-0.0002985+0.00041092i,-0.00034311+0.000241i,0.00031669+0.00063895i,0.00039267+0.00010285i,6.9601e-05-0.0011056i,-0.00026151-0.0013804i,-0.0005473-0.00048009i,-0.00058215+8.2902e-05i,-7.0677e-05+0.00010721i,6.5869e-05+0.00043446i
-0.0010367+0.00024437i,-0.0011229-9.6879e-05i,-0.0013462+0.00039479i,-0.00088469-0.00018046i,0.00080511-0.00082413i,0.00083763-0.00094505i,-0.00078579-0.0011914i,-0.0015801-0.00054336i,-0.0018717+0.00048257i,-0.0014868+0.00049578i,-0.0010561-0.00034193i,-0.00084386-0.00025762i,-0.00053205-0.00010381i,-0.00050958-0.00019357i,-6.8994e-05-0.00025363i,0.0003897-0.00032662i,0.0005196-0.00039466i,-0.00023244-0.00087398i,-0.0013225-0.00073011i,-0.00073011-0.00016877i,0.00034797+9.712e-05i,-5.8913e-05+9.9961e-05i,-0.00053826-0.00030107i
