0.001303-0.0010329i,0.0011511-0.0026245i,-3.2685e-05-0.0042084i,-0.0015113-0.0031205i,-0.0018958+0.00025361i,-0.0017638+0.0028722i,-0.0010908+0.0031028i,-0.0001803+0.0015681i,0.00059404+8.0369e-05i,0.0012215-0.00079836i,0.00060846-0.0011339i,-0.00073446-0.00078581i,-0.00042331-0.00018265i,0.00015715+6.4586e-05i,0.00038569+0.00014001i,0.00045923+0.00056861i,3.3881e-05+0.0007422i,4.9602e-06+0.000697i,0.00049578+0.0004713i,0.00074216+0.00032732i,0.00062538+4.3948e-05i,0.00028786-0.00031709i,-0.00049605-9.1141e-05i
-0.00078165-0.00081521i,-0.00068631-0.001561i,-0.00044758-0.0013495i,0.00049174-0.00063473i,0.0012104-6.3332e-05i,0.00074189-0.00088888i,0.00018486-0.0013686i,0.00013291-0.00090147i,0.00031129-0.001168i,0.00065266-0.00098727i,0.00079919-4.6486e-05i,-0.00046581+0.00031366i,-0.0020558-0.00023883i,-0.0025139+0.00011666i,-0.0017147+0.00079067i,-0.00028999+0.00023964i,0.00051661+0.00050044i,0.00034497+0.00089291i,0.00023566+0.00030977i,-3.7506e-05-7.8605e-05i,6.7387e-05-0.00023641i,-0.00021378+0.00025237i,-0.00030638+1.6569e-05i
-0.0017394+4.9974e-05i,-0.0021235+0.00011662i,-0.0022376+0.00069675i,-0.00030149+0.0023014i,0.0010682+0.0018571i,0.0018499+0.00029329i,0.0019714+0.0008811i,0.00065727+0.00075127i,-0.0005797+0.00034534i,-0.00034409+0.00026316i,0.00014855-0.00089119i,0.00060651-0.0010116i,0.0007983-0.00012915i,-0.00012955+0.00071834i,-0.00093491+0.00085198i,-0.00045424+0.00068145i,-9.3986e-05+0.00070159i,-8.289e-05+0.00046791i,0.0002684+0.0001084i,0.0006029-0.00020113i,7.1758e-06-0.00019382i,-0.00069195-0.00059777i,-0.00093481-0.00058829i
-0.00098892-0.00088278i,-0.0010374-0.0010487i,-0.0017564-0.0011717i,-0.0021754-0.00024492i,-0.0010691+0.00077914i,0.00077661+0.0010766i,0.0013043+0.0010325i,0.0007895+0.00091419i,0.00043454+0.00087449i,0.00049072+0.00061364i,0.00019267+0.00052181i,-0.0002296+0.00044627i,-0.00041556+0.00054023i,-0.00049913+0.00059888i,-0.00046884+0.00087563i,-0.00065585+0.00074558i,-0.00069743-0.00032874i,0.00019777-0.000629i,0.00058553-0.00012985i,0.00050543-0.00027951i,0.0011596-0.00025858i,0.00082901+0.00033282i,-4.5539e-05-1.108e-05i
0.00092673-0.00066391i,-5.9493e-06-0.00092297i,0.00032127-0.00093059i,0.00079418-0.000121i,0.00083698-0.0002079i,0.0013669-0.00041646i,0.0011474-0.00033081i,0.00095494-0.00072614i,0.00069448-0.00058261i,0.00052213-0.00066581i,0.0005298-0.001162i,-3.513e-05-0.0012961i,5.1002e-07-0.00099707i,5.4157e-05+0.00021608i,-1.0533e-05-0.00013824i,0.00061593-0.00088721i,0.00068675-0.00019215i,9.5051e-05+0.0004427i,0.00033502+0.00054139i,0.00047108+0.0001901i,0.00055322+1.8849e-05i,0.00024052+0.00034308i,-0.00026364+0.00026512i
9.5581e-06-0.0015078i,0.00084587-0.0016381i,0.0015731-0.0015015i,0.0013808-0.0011084i,0.00052419-0.00041221i,0.00088358+8.8629e-05i,0.0012259+0.0007167i,0.00087827+0.00035541i,0.00035316-0.00083474i,-3.6681e-05-0.00064554i,-0.00061075+5.0916e-06i,-0.0003281+0.00046348i,0.00015035+0.00023142i,0.00013384-0.00031491i,-0.00044648-0.00028959i,-0.0012225-0.00040908i,-0.0015116-0.00031345i,-0.00096771+0.00019287i,-0.0003371+0.00050688i,-0.00036054-0.00013409i,-0.00035742-0.0010053i,4.139e-05-0.0013724i,0.00015669-0.00070206i
-0.0026593-0.00014105i,-0.0031372+7.6537e-05i,-0.0029969+0.00048138i,-0.00096879+0.00069461i,0.0011081+0.0012386i,0.0011472+0.00097336i,0.00020297-6.5571e-07i,-0.00034233-0.00016296i,-0.000411+0.00049299i,-0.00050484+0.00044695i,-0.00024318-0.00017559i,0.0001919-0.00049004i,-1.2169e-05-0.00075798i,-0.00024621-0.00054661i,-0.00012369-1.5326e-05i,-0.00020414+0.00018466i,-3.6448e-05-0.00029155i,0.00016261-0.00034995i,-0.00012155-0.00023146i,-0.00075677-0.00049199i,-0.00058488-3.5463e-05i,-0.00018419+0.00053995i,6.0453e-05+0.0003968i
-0.0007635-0.0014395i,-0.00034713-0.0018639i,-0.0011043-0.0014532i,-0.0015605-9.5729e-05i,-0.00038678+0.0014102i,0.00028675+0.0019681i,0.00038072+0.0014294i,-0.00045356+7.1625e-05i,-0.00055981-0.00051879i,0.00061595-0.00051528i,0.00050326-0.00067222i,-0.00038046-0.000515i,-0.00010657-0.00054341i,0.00012501-0.00018276i,0.00091402-3.3642e-06i,0.0020853-0.00032393i,0.0014128-3.4879e-05i,0.00023785+0.00037417i,-0.00030582-3.2816e-05i,-0.00055797-0.00036052i,-9.3363e-05+0.00013196i,0.00015027-0.00024108i,0.00054415-0.00065824i
-0.0015383+2.7803e-06i,-0.0019542+0.00076561i,-0.0013375+0.0012136i,0.00032865+0.0011928i,0.0019599+0.0004865i,0.0013195+4.4223e-05i,0.00074892+0.00033127i,0.0012384+0.00049457i,0.0015065+0.000706i,0.0007218+0.00010638i,0.00056509-0.00036806i,0.00052107+0.00037288i,0.00013246+0.00067476i,0.00040695+0.00095187i,-0.00043497+0.00091293i,-0.00082971+0.00060798i,-0.00089959+0.00011921i,-0.0003844+3.3444e-05i,0.00016718+0.00025674i,0.00013634-0.00020273i,5.6807e-05-5.7058e-05i,-7.1961e-05+0.00038039i,-4.3546e-05+0.00026161i
0.00058665+0.00039377i,0.0020283-0.0011288i,0.0021289-0.0019615i,0.0019584-0.0011968i,0.0011784+0.00048119i,0.00047581+0.00048871i,0.00030138-0.00034497i,0.00019999-0.00067566i,0.00055654-0.00050094i,0.0011197-0.00012823i,0.00056789-0.00062281i,-8.2829e-05-0.0014588i,-0.00052584-0.0014681i,-0.001073-0.00027389i,-0.00054905+0.00048577i,-2.5228e-05+0.0010177i,-0.00019131+0.000877i,0.00015467-0.00010358i,0.00043332-0.0012565i,-5.8401e-05-0.00044705i,-0.00059746+0.00045953i,-0.00071653-0.00043645i,-0.00081412-0.00036769i
-0.00073294-0.0019143i,-0.0026598-0.00090393i,-0.0036009-0.00073695i,-0.0016204-0.00080777i,0.00057192-0.00050788i,0.001406+0.00068149i,0.0018526+0.0007127i,0.00084248+2.6063e-05i,-0.00034792-0.00053583i,-0.00076276-0.0011631i,-0.00061763-0.0010204i,8.146e-05+0.00018605i,0.00046367+0.0013547i,0.00098374+0.0016096i,0.00081889+0.00054714i,0.00044067-0.00038052i,0.00044651+0.00020436i,-3.9175e-05+4.3026e-05i,-0.00059159-0.00072357i,-0.0010797-0.00086465i,-0.0011181-0.00067037i,-0.00030898-0.0010666i,0.00014346-0.00098788i
0.002231-0.0023628i,0.0032483-0.003604i,0.0013469-0.0033834i,-0.00082991-0.0019317i,-0.0014361-0.00030611i,-0.0012485+0.00034039i,-0.0001743-0.00021076i,0.00032739-0.00045783i,5.995e-05-0.001166i,0.00038554-0.0014173i,0.00063719-0.00045428i,0.00034162-0.00027454i,-0.00030806-0.0011269i,-0.0001655-0.00062445i,0.00072811+0.00091761i,0.00093973+0.001069i,0.00054859+0.00070932i,0.00046779+0.00049173i,0.00056052-0.00015964i,0.00033768-0.0007732i,-2.7104e-06-0.00036867i,-0.00026666-4.9542e-05i,-0.00059929-0.00010567i
-0.0023918-0.00015165i,-0.0030965+0.00025649i,-0.0025244+0.00039587i,-0.0011529+0.00086162i,-0.00041856+0.0011804i,0.00021573+0.0013561i,0.00072523+0.00083763i,0.00054778+0.00050655i,0.00084152+0.00046635i,0.0010505-0.00050253i,0.00011462-0.00078977i,-0.00033176-0.00017901i,-1.6561e-05+5.9123e-06i,0.0005663-9.5753e-05i,0.0008413-0.00028917i,0.0010599-0.00016709i,0.0006657+0.0002922i,0.00016369+0.0010224i,0.00040341+0.0010485i,5.9169e-05-0.00026686i,-0.00015561-0.0013626i,0.000177-0.00092934i,0.00045508+3.6547e-05i
0.001568-0.0018353i,0.0020015-0.0030655i,0.0019577-0.0035372i,0.0019231-0.0019712i,0.0011198+6.1646e-06i,3.2084e-05+0.00024439i,0.00013436+0.00022182i,0.0010596+7.39e-05i,0.0013791-0.00034279i,0.00081329-0.00011846i,-0.00035983-9.4537e-07i,-0.00094082-0.00031335i,-0.00022232-4.5674e-05i,6.3708e-05+0.00024716i,-0.00014168+1.2468e-05i,0.00081098-0.00042145i,0.0007044-0.00066734i,0.00026329-0.00034253i,0.00076439-0.00026559i,0.00061016-0.0008194i,0.00025726-0.00057195i,8.929e-05+0.00042284i,-0.00011873+0.00088995i
-0.0019087-1.0488e-06i,-0.0021607-0.00044459i,-0.0031479-0.0006975i,-0.0025531-0.00063637i,-0.00044212-0.00036544i,0.0012497+0.00054435i,0.0015154+0.0014111i,0.00047993+0.00049223i,0.00050368-0.00067256i,0.00081338-0.00049184i,0.00040192-0.00056924i,-0.0004555-0.00074248i,-0.00087205-0.00039203i,-0.00042009+0.00070752i,0.00016378+0.0013022i,0.00032821+0.00059194i,-0.00011719+0.00047526i,0.00033501+0.00090724i,0.00032597+0.00056002i,-0.00018092+0.00019249i,0.00027107+0.00099741i,0.00054424+0.00078618i,0.00079715-0.0005048i
0.00084158-0.0011589i,0.0017177-0.0020112i,0.00088079-0.00096294i,0.00025462+0.00025998i,0.00024254+0.00083265i,0.00068209+0.0006843i,0.00047817+0.00085808i,-0.00025568+3.4826e-05i,0.00031029-0.00066806i,0.00035775+0.00041957i,-0.00049935+0.00089629i,-0.00027447+0.00058752i,0.00036388+0.00086235i,0.00078192+0.00056648i,0.00047797+0.00060491i,0.00010094+0.00078467i,-0.00086891+0.00037644i,-0.0013966-0.00011143i,-0.00047299-0.00022657i,0.00027381+0.00035712i,0.00058886+0.00049242i,0.00078102+0.00031726i,0.00039274+9.4559e-05i
0.0020524-0.0016822i,-0.00081897-0.0024506i,-0.0016077-0.0024697i,-0.0011964-0.0010831i,-0.0014431-9.7435e-05i,-0.00086206+0.00090809i,0.00012652+0.001569i,-0.00013857+0.0003709i,-0.00077129-0.00081787i,-0.0010158-0.00094492i,-0.0011832-0.00086283i,-0.00089995-0.00034623i,0.00018148+2.6946e-05i,0.0011946-0.00025854i,0.0011526+9.7853e-05i,0.00091387+0.00050638i,0.0011989+0.00056681i,0.0012305+0.0004075i,0.0013388-0.00019196i,0.0015584-0.00098606i,0.0012253-0.00053493i,0.0006658+0.0010399i,0.00077655+0.0012602i
0.0010378-0.0015694i,0.0021295-0.0018322i,0.0027963-0.0011591i,0.0019608+0.00020219i,0.0012865+0.0012729i,0.00026916+0.0016334i,-0.00037577+0.00108i,3.4735e-05+0.001011i,-0.00015581+0.0010814i,-0.00034447+9.6898e-05i,0.00010055-0.00093334i,0.00023-0.00061404i,-2.9964e-05-0.00028657i,-0.0005083+0.00022107i,-0.00050618+0.00043874i,-0.00010037+0.00022647i,-0.00020508+0.00069293i,0.00015415+0.0016404i,0.00037239+0.0011421i,0.00011868+0.00018983i,8.2681e-05+0.00016036i,-0.00011609+0.00052214i,0.00023533+0.00052018i
-0.00077853+0.00077106i,-0.0018305-0.00058155i,-0.0031712-0.0021601i,-0.0026651-0.0025727i,-0.00084985-0.0026562i,0.00031128-0.0022989i,0.00086093-0.00083862i,0.00089076+0.00036402i,0.0012614+0.00051702i,0.00074952+0.00051975i,-0.00073259+9.5325e-05i,-0.00099765-0.0002398i,-0.00035057-6.3315e-05i,0.00043311-0.00010853i,0.00045051-0.00011971i,-0.00032841-9.4938e-05i,-0.00091904-0.00032855i,-0.00060762-0.000844i,0.00021817-0.00048417i,0.00028234+0.00024336i,0.00033041-0.00076575i,0.00091861-0.001027i,0.0005261-0.00019823i
-0.00028313+0.0025057i,0.0013622+0.0016058i,0.0027813+0.002681i,0.0015548+0.0030218i,0.00040476+0.0017975i,-0.0003847+0.00065764i,-0.00053666+0.00027139i,4.6267e-05+0.00027896i,0.00072887+5.9998e-05i,0.001092+9.6274e-05i,9.109e-05-0.00029584i,-0.00064702-0.0012983i,-0.00092325-0.0011361i,-0.0010307-6.0679e-05i,-0.0006086+0.00042421i,0.00037788+0.00067323i,0.00085724+0.00078194i,0.0003073+0.00037195i,0.00022175+4.7482e-05i,-3.9041e-06-0.00036074i,-0.00089918-0.0007202i,-0.0004881-0.00011471i,0.00049959+0.00056598i
-0.0016561-0.0036723i,-0.0037043-0.0042439i,-0.0043434-0.0041013i,-0.0027277-0.0014822i,-0.00043024+0.0011928i,0.0010936+0.0022753i,0.0011687+0.0010789i,0.00098732+0.00041001i,0.00028005-0.00041724i,-0.00093208-0.0003622i,-0.0010692+0.0004135i,-0.00018473+0.00055569i,0.00094303+0.0003129i,0.00066345-0.00014743i,0.00058595-0.0011226i,0.00095768-0.00097436i,-5.6761e-06-0.00050335i,-0.0010294-0.00076938i,-0.0013137-0.0008855i,-0.0007737-1.454e-05i,-0.00015192+3.1267e-05i,0.00023111-0.00064356i,0.00017392-0.00025234i
0.0014949-0.00074373i,0.0004213-0.001505i,-0.00081281-0.001726i,-0.00029015-0.00045822i,0.00071629+3.7107e-06i,0.00055816-0.0005984i,0.00059643-0.00027893i,-9.4477e-05-0.00045473i,-0.00069722-0.00025878i,-0.00025796+0.00022094i,0.0001241-0.00056173i,0.00021065-0.00092592i,0.0002691-0.00044194i,0.00044243-0.00064878i,0.00048967-0.0011096i,0.00045552-0.0010341i,0.00030739-0.00084927i,0.000795-0.00075593i,0.0017819-0.00081813i,0.0016805-0.00017076i,0.00082862+0.00039347i,0.0007188-0.00016911i,0.00091305-7.1677e-05i
-0.0033258-0.0029285i,-0.003278-0.0031055i,-0.004244-0.001743i,-0.0033647+0.00032297i,-0.0011533+0.0028985i,0.00079447+0.0035628i,0.0014898+0.0021693i,0.0011215+0.0011767i,0.00025747+0.00067371i,0.00070799+0.00053332i,0.0016142+0.00047045i,0.0013688+0.00028714i,0.00050868-3.9085e-05i,-0.00057803-0.00019186i,-0.0011472+0.00023086i,-0.0006869+0.00090461i,-0.00035714+0.0010115i,-0.00053732+0.0011649i,-0.00071659+0.0010898i,8.8165e-05+0.0010484i,0.00066397+0.00085823i,0.00078365+0.00014094i,0.0010979-0.00020476i
-0.0004433-0.00014077i,0.00035098-0.00069108i,-0.00034575+0.00015186i,-0.00069355+0.0016643i,-0.00016548+0.0019458i,0.00091601+0.00012302i,0.001148-0.00048392i,0.00093802-6.9876e-05i,0.00080299-0.00055123i,0.00072333-0.00045617i,0.00028014+0.00034109i,-0.00075238+0.00027994i,-0.00081682+4.1709e-05i,-0.00042725-0.00021311i,-0.00044977+4.8749e-05i,-0.00037164+0.00025542i,-0.00083188-0.00022014i,-0.0013141-0.00040998i,-0.0001309-0.0010098i,0.0013746-0.0014913i,0.00077006-0.0010466i,-0.00032579-0.00080721i,-0.00031383-0.0007908i
-0.0013054-0.0034441i,-0.0020989-0.0037059i,-0.0021317-0.0027931i,-0.0012264-0.0013111i,0.00088815+0.00036364i,0.0018687+0.0015372i,0.0014363+0.00060165i,0.00067484-0.00088149i,0.00033007-0.0010673i,0.00045577-0.00076714i,-0.00013348-0.00053952i,-0.00010858-0.00070055i,0.00097809-0.00045011i,0.0012527+0.00028986i,0.00073282+0.00037883i,0.00067401+0.00048396i,0.0016327+0.0005524i,0.0018002+0.00084195i,0.00085613+0.00030288i,0.00046663-0.00033203i,0.00014966+0.00034315i,8.6034e-05+0.001462i,1.1944e-05+0.0012244i
-0.00069567-0.0020468i,-0.001197-0.0025044i,-0.00080094-0.00073737i,-8.7637e-05+0.00096639i,0.00031106+0.00088746i,0.00078908+0.00095666i,0.00044026+0.00085844i,0.00011706-0.00020484i,-0.00055052-0.000767i,-0.00054872+6.2816e-06i,0.00055711+0.0015232i,0.0005353+0.0018572i,6.1426e-05+0.00075731i,-0.0008975-2.9563e-05i,-0.00085519-0.00053592i,0.00011095+0.00014609i,0.00027265+0.00076235i,-0.00091644+0.00038234i,-0.0015367-0.00051387i,-0.00093901-0.001059i,-0.00058156-0.00023864i,-0.00050173+0.0013492i,-0.0002564+0.0015265i
-0.0009244-0.0023031i,-0.0011991-0.0024608i,-0.00029516-0.0018199i,-0.00031693-0.0012208i,-0.0008544-3.2508e-05i,0.00021377+0.00081472i,0.00077753+0.0012487i,8.1114e-05+0.00080215i,-0.00049617+0.00027437i,-0.00072303+0.00012122i,-0.0012989-0.00011881i,-0.00080288-0.0011044i,0.00033818-0.00090405i,0.00053035-0.00017782i,0.00066287+2.2854e-05i,8.6152e-05+0.00012763i,-0.00021133-8.047e-05i,0.0004266-0.00043318i,0.0009934-0.00072154i,0.0010776-0.00021013i,0.00042598+0.00048241i,-9.0902e-05-6.7537e-05i,0.00041288-0.00073086i
0.0011117+0.00027i,0.0016745-0.00098697i,-3.2369e-05-0.0013069i,-0.0012981-0.0011362i,-0.00015297-0.00017621i,0.0011899+0.00065579i,0.0012748+0.0015048i,0.0014956+0.0021281i,0.0014554+0.00084053i,0.00092902-0.00036303i,0.0010755-0.00080286i,0.0014999-0.00068208i,0.0014647+0.00071151i,0.0012399+0.00078616i,0.00063755+0.00017726i,-9.5486e-05+0.00049574i,-0.00034301+0.0010892i,4.853e-05+0.0016417i,0.00019933+0.0013471i,0.000142+0.00020665i,-5.8074e-05-0.0002223i,0.00038992-0.00027497i,0.00032988+4.1956e-05i
-0.00098786-0.0014052i,-0.0012617-0.002168i,-0.00047773-0.0029835i,0.00097906-0.0033116i,0.0015856-0.0024996i,0.00091761-0.0011626i,0.00029772-0.00075045i,0.00088127-0.00054557i,0.00083543-0.00070238i,0.00037389-0.00033553i,0.00015608+0.00032645i,-0.00084073+0.00083746i,-0.00075962+1.0043e-07i,0.00048798-0.0010828i,0.00028311-0.00077551i,-0.00072419-0.00025581i,-0.0007332+0.00017954i,-0.00034304+0.00034024i,-0.00045969-0.00047296i,0.00013963-0.00082656i,0.00084214-0.00056149i,0.00030666-0.00028551i,5.5577e-05-0.00048142i
0.00031668-0.0030806i,-0.00098583-0.0024931i,-0.0025668-0.00038686i,-0.0029455+0.0015925i,-0.0018381+0.0022915i,-0.00067291+0.0023175i,0.00053002+0.00065006i,0.0012375-0.0014574i,0.00099396-0.0017494i,0.00072739-0.001454i,0.00031313-0.0012848i,-8.1009e-05-0.0010912i,0.00026105-0.00069636i,0.0010493-0.0004942i,0.0019815-9.831e-05i,0.0016319+0.00087686i,0.00071461+0.00051177i,0.00096341-0.00018008i,0.0011402-6.8557e-05i,5.2285e-05+0.00023198i,-0.00067284+0.00041534i,-0.00021285+0.00045939i,-0.0010143+8.1092e-05i
-0.00050806-0.00060767i,-0.0011826-0.00083019i,-0.0010418-0.00082046i,-0.00047847-0.00022712i,-0.00026354+0.0006232i,-0.00021946+0.0015106i,0.00045491+0.0018171i,0.00019875+0.0010086i,-0.00091166-0.0002179i,-0.0010502+0.00039379i,-0.00020614+0.00093872i,0.0006779+0.00078886i,0.00044749+0.0011348i,-0.00044367+0.0014048i,-0.00057738+0.00042806i,-0.00044801+0.00020085i,-0.00050117+0.00075018i,-0.00064444+0.00083254i,-0.0006703+0.00056727i,-0.00055351-4.096e-06i,-0.00079635-0.0004092i,-0.00071233-0.0007405i,-0.00015985-0.00042322i
0.00095621-0.0016623i,0.0013491-0.0022788i,0.00084483-0.0021784i,0.00030144-0.00077816i,0.0011055+0.00054722i,0.0020562+0.00010014i,0.0013664-0.00060326i,0.00019129-8.7652e-05i,-0.00011758-7.7152e-05i,0.00064992-0.00068359i,0.0011382-0.0013214i,0.00060482-0.0017101i,1.0278e-05-0.0024716i,-8.1229e-05-0.0022868i,-0.00029722-0.0011442i,-0.00064357+6.0968e-05i,-0.0004556+0.00053416i,0.00057708+0.00013162i,0.00099281+0.00037624i,-0.00015856+0.00086632i,-0.00056036+0.0004653i,0.00016416-0.00037423i,0.00025311-0.00048867i
-0.00022609-0.0012881i,-0.00077794-0.00095334i,-0.0013523-0.0013615i,-0.001213-0.0011872i,-0.0014247-0.00026388i,-0.0015262+0.0002361i,-0.0008212+0.00037566i,-4.7982e-05+2.0842e-05i,0.00035485-0.00061964i,0.0007646-0.001038i,0.0014328-0.00079997i,0.0021592+0.00038276i,0.0021051+0.0010315i,0.0013467+0.00096519i,0.00043257+0.00047876i,0.00039181+0.00027388i,0.00074451+0.0012078i,0.00070465+0.0014043i,-0.00034496+0.00065946i,-0.00097155-0.00074916i,-0.00017377-0.001124i,0.00023118-0.00034369i,8.0421e-05+0.00044331i
-0.0017027-0.0031142i,-0.0032308-0.003959i,-0.0042029-0.0026999i,-0.0032182+0.00094801i,-0.0016925+0.0028665i,-0.00085569+0.0022114i,-0.00052706+0.00084286i,4.6367e-05-0.00083334i,0.00085143-0.0014517i,0.00053733-0.00033664i,-0.00088354+0.00061647i,-0.0015207+0.00083196i,-0.0015084+4.6704e-06i,-0.0013678-0.0013925i,-0.0012325-0.0015386i,-0.00074953-0.0008058i,-0.0005851-0.00059811i,-0.0008568-0.0004161i,-0.00054612-0.00030158i,-0.00045924-2.1944e-06i,-0.00015408+0.00010811i,0.0003285-0.00014836i,0.00027597+6.6194e-05i
-0.00043625-0.00035572i,-0.00030616+0.00042384i,-0.00048371+0.00038305i,-0.00015801+0.0014286i,0.00017124+0.0026768i,0.0010622+0.0028504i,0.0017893+0.0017477i,0.00036614+0.00058886i,-0.00074202+0.00018349i,0.00026711+0.00054763i,0.0013247+0.00034911i,0.0018033-0.00093219i,0.0019416-0.0013192i,0.0018047-0.00087521i,0.0016532-0.00017522i,0.0013637+0.00088804i,0.00099862+0.0013474i,0.0011562+0.0008471i,0.0011865+0.00048454i,0.00042238+0.00072313i,0.00026596+0.00098128i,-0.00018475+0.00062115i,-0.00021326-0.00050192i
-0.00010421-0.0035158i,-0.0012951-0.0051766i,-0.0018253-0.0051791i,-0.002081-0.0030343i,-0.0011284-0.0015455i,0.00016839-0.00052618i,0.00016409+6.8568e-05i,-0.00023629+7.4408e-05i,0.0003238-0.0002642i,0.0011995-0.00029258i,0.0017992+5.7604e-05i,0.00093947+0.00068699i,-0.00015131+0.0014728i,-0.0005394+0.0010657i,-0.00080492+0.00051764i,-0.0006903+0.0011479i,0.00039782+0.0013026i,0.00099274+0.0013374i,0.00040889+0.0010382i,8.2986e-05+9.3966e-05i,0.00055601-0.00087326i,0.0010679-0.00046765i,0.0011096+0.00011469i
-0.0017709-0.001354i,-0.00085574-0.0019813i,-0.00053376-0.0010106i,-0.00068659+0.00086259i,-0.00034727+0.0016628i,0.00031962+0.0013895i,9.963e-05+0.0010386i,-0.00058663+0.000336i,-0.00044378-0.00017075i,0.00061466-0.0001964i,0.0010442-0.00023213i,-3.4098e-05-0.00087311i,-0.0010598-0.0016175i,-0.00084519-0.0015572i,0.00024454-0.0010622i,0.00037615-0.0012566i,-1.1681e-05-0.0011231i,-0.00031894-9.7428e-05i,-0.00065266+0.00051222i,-0.00035863+7.0894e-05i,3.7857e-05-0.00093138i,0.00051923-0.0011422i,0.00044501-2.4813e-05i
-0.0012391+0.00026634i,-0.002767-0.00021813i,-0.0029016+0.00048332i,-0.0014191+0.0012587i,-0.00076243+0.0021082i,-0.00051563+0.0018744i,-0.00011309+0.00063478i,-0.00028258-0.00024537i,-9.8185e-05-0.00013504i,0.00069907-0.00021763i,0.00091661+5.4773e-05i,0.0013095+0.00058243i,0.0020217+0.00091298i,0.0012+0.0016357i,4.6204e-06+0.0020312i,-0.00047921+0.0015345i,0.00055999+0.00049001i,0.0018412+0.00014976i,0.001411+0.00026914i,2.7627e-05+7.1507e-05i,-0.00059962+0.00041142i,-0.00021998+6.9277e-06i,-2.8058e-05-0.00060128i
0.00052395+0.00068906i,0.0016162-0.0014835i,0.0025098-0.0013324i,0.0029683-0.00059499i,0.0029635-0.00024638i,0.0023691-0.00016921i,0.001907-0.00032412i,0.00090208-9.7567e-05i,-0.00054288-0.00012154i,-0.0010047-0.00026322i,-0.0012685+0.00048579i,-0.0020529+0.001164i,-0.0028388+0.00067258i,-0.0027439-0.00086387i,-0.0023427-0.0013952i,-0.0018465-0.00035773i,-0.0012376+0.00069055i,-0.00050416+0.00080294i,-0.00016931+0.00010831i,-0.00024335-0.00028359i,-0.00021212-0.00055187i,5.4804e-05-0.00053518i,0.00096954-0.00031848i
-0.0007274-0.0010311i,-0.00087327-0.0011302i,-0.00050514-0.00078646i,-0.00024315-0.0007405i,-0.00031982+0.00020572i,-0.0003867+0.00091502i,-0.00091596+0.00081075i,-0.0012906+0.00023012i,-0.00084582-0.00037941i,0.00043031-0.00038759i,0.0010962-0.00080148i,0.001662-0.0017091i,0.0021466-0.0017128i,0.001418-0.0016214i,0.00052125-0.00098832i,0.00080847-0.0002284i,0.00078056-0.00032367i,0.00019196-0.00040453i,0.00033138-0.0006193i,0.00029329-0.0005562i,0.00010911-8.4094e-05i,0.00067767+0.00061378i,0.0004421+0.00082566i
-0.00063029-0.0017735i,-0.00097044-0.0033538i,-0.0027885-0.0031522i,-0.0036865-0.0009337i,-0.0017663+0.00064011i,0.00044465+0.00015213i,0.00075577-0.00062818i,0.0010645-0.00078645i,0.0012877-0.00080078i,0.0012952-0.00085611i,0.0011578+0.00010821i,0.00063643+0.0018556i,-5.1349e-05+0.0023483i,-0.0008211+0.0018503i,-0.0015012+0.0015432i,-0.00082742+0.0011892i,0.00028337+0.0009352i,0.00042277+0.00046545i,-7.0296e-05+4.124e-05i,-0.00046834-9.7864e-05i,-0.000168+0.00025834i,0.0004462+0.00041332i,0.00076102-0.00015627i
-0.00058842+1.8754e-05i,-0.00094863-0.00010819i,-3.0266e-05+0.00018483i,0.0013175+0.00093522i,0.0016367+0.0011463i,0.00060323+0.0012857i,-4.6978e-05+0.00046194i,-0.00025788-0.00043215i,0.00012353+4.6475e-06i,0.00075644-0.00033635i,-7.189e-06-0.0015147i,-0.0009162-0.0020918i,-0.0005085-0.0017755i,-6.6293e-05-0.0014508i,-0.00039015-0.001262i,-0.00043555-0.00018796i,-0.00027584+0.00069868i,-0.00079364+9.5344e-05i,-0.00083112-0.00051299i,-0.00045714-0.00016732i,-0.00012555-2.4121e-06i,0.00034281+8.4904e-05i,0.00033829-3.2378e-06i
6.5069e-06+0.00096408i,0.001183-0.00010781i,0.0028463-0.00046609i,0.0029962-0.00098754i,0.0018166-0.0015128i,0.00071279-0.00073712i,0.00050292+0.00066256i,0.00027334+0.001135i,-5.1911e-05-9.0974e-05i,0.0011025-0.0010366i,0.0021275-0.00091967i,0.0021859-0.00056682i,0.0023005-2.8901e-06i,0.0022303+0.00090517i,0.0016439+0.0015169i,0.0011253+0.00042227i,0.0013833-0.00066231i,0.0011865-0.00061787i,0.0007331-8.7281e-05i,0.00055647+4.4009e-05i,0.00079323-6.7989e-05i,0.00050414-0.00053195i,-0.00028633-0.00080816i
0.0017361-0.00099213i,0.0018138-0.0013446i,0.0013241-0.0019119i,0.0004519-0.0010555i,0.0009529+1.9023e-06i,0.0012466+0.00020739i,0.00057699-3.6821e-05i,0.00013962-0.00043218i,-0.00035442-0.00080373i,-8.934e-05-0.0012198i,0.00015685-0.00073271i,-0.00067517+0.00038875i,-0.0014642+0.00062052i,-0.0023322+0.00068903i,-0.0028861+0.00077391i,-0.0023061+0.0010793i,-0.0012302+0.001675i,-0.00080936+0.0013346i,-0.00044731+0.00079472i,-0.0004188-0.0002816i,-0.00050625-0.0011362i,-0.00079068-0.00036442i,-0.00022854+0.00033126i
