-0.0013279+0.0010487i,-0.0020401+0.0013983i,-0.0031675+0.00097898i,-0.0023605+0.00087933i,-0.0019235+0.0017782i,-0.0018913+0.0019713i,-0.00054969+0.00083431i,0.00058529-3.6555e-05i,0.00083287+7.396e-05i,0.00098465-3.7392e-05i,0.00088661-6.9585e-05i,0.00019023+0.00027i,-2.0079e-05+0.00013199i,-0.00023965-0.00030354i,-0.00062546-0.00017309i,-0.00094946+0.00064786i,-0.0011355+0.00042566i,-0.001093-0.00031833i,-0.00038237-0.000624i,-0.00013925-0.00063151i,9.2763e-05-0.00042303i,0.00052042-6.4146e-05i,0.00022474-0.00029042i
0.0015807-0.00029176i,0.00089653-0.00060065i,0.00010044-0.00012868i,-0.00015318-0.00051765i,0.00055101-0.00078547i,0.00089152-0.00054526i,0.00069162-0.0004384i,0.00042392-0.00067214i,0.00095393-0.00066975i,0.0010912-0.00029154i,0.00043698+9.1342e-05i,0.0002703+0.00049776i,0.00028656+0.0007987i,5.5762e-05+0.00016677i,0.00047309+8.0155e-05i,0.00068138+0.00068685i,0.00013761+0.00056959i,-3.4768e-05+1.4965e-05i,0.0002292+0.00012341i,0.00040502-0.00040823i,0.00052061-0.00089574i,0.00049408-0.0008098i,0.00064518-0.00095474i
-0.0017139+0.0017954i,-0.0015864+0.0021597i,-0.00067447+0.0013544i,-0.00049892+0.0011877i,-0.00021886+0.0011522i,7.4087e-05+0.00037333i,0.00012081-0.00042224i,-3.2936e-09-0.00010166i,-0.00061908-0.00030611i,-0.00065593-0.00086284i,-0.00020725-0.00063179i,-0.00018134-6.6878e-05i,0.00016637+0.00015862i,0.00086251-0.00049581i,0.0011495-0.00099426i,0.0011574-0.0011665i,0.00096288-0.00089045i,3.9656e-05-0.00048053i,-0.00052992-7.8782e-05i,-6.1975e-05+2.5414e-06i,0.00031471+4.9156e-05i,-0.00051399-0.00038134i,-0.0010735-4.8974e-05i
-0.00035465-0.00049453i,-0.00045127+0.00020361i,-0.0011054+0.00073683i,-0.0012919+0.00038125i,-0.00078401-0.00017044i,-0.0001542+0.00018411i,0.00069511+0.00046669i,0.00059832+0.00051256i,-0.00028118+1.6575e-05i,-0.00049009-0.0008583i,0.00018896-0.00077271i,0.00081235-0.00029561i,0.00035051-0.00048406i,0.00048344-0.00077841i,0.00083802-0.00035779i,0.00067392+0.0002449i,0.00053786+0.00033401i,0.00035094+0.0002796i,0.0001899+0.00080782i,-0.00021089+0.0006225i,-0.00047186+0.00038902i,-0.00052805+0.00050259i,-0.00083934+0.00045057i
0.00072296+0.0019207i,-2.4797e-05+0.0018988i,0.00028895+0.0007384i,0.00049527-0.0001978i,0.00029896-0.0002772i,-0.00056456-7.0445e-06i,-0.00026853+8.0319e-05i,0.00069932-0.00071892i,0.00033905-0.00034167i,-0.00023259-3.5918e-05i,3.8221e-05-0.00039387i,0.00011989+0.0002401i,4.5847e-05+8.349e-05i,0.00034015+2.0772e-06i,0.00025722+0.00047712i,0.0003892+0.00036375i,0.00020521+0.00010946i,-0.00030173+0.00042542i,2.0547e-05+0.00020583i,9.393e-05-0.0001894i,-3.7839e-05-0.00023124i,-4.0848e-05+7.4392e-05i,-0.00025962+0.00069113i
0.00027052+0.0025373i,0.00042482+0.0016091i,0.00025653+0.0013534i,0.00091503+0.00021483i,0.001053-2.7961e-05i,0.00030855-7.2207e-05i,-0.00043607-0.00041164i,-0.00096929-0.00017733i,-0.0011341+0.00048659i,-0.0014071+0.00057985i,-0.00135+0.00031221i,-0.00064616+0.00056501i,-0.00040483+0.0006827i,-0.00054811+0.00017502i,-0.00089404+0.00027953i,-0.0011067+0.00040265i,-0.00026393+4.6472e-06i,0.0002153-0.00065921i,4.4843e-05-0.00059928i,0.00052972-0.000342i,0.00079593-0.00045785i,0.00053518-0.00032626i,0.00049303+0.0003195i
-0.00089428+0.0002547i,-0.0012328-0.0004214i,-0.0010811+0.00015376i,-0.0011556+0.00053289i,-0.00052083-0.00015977i,0.00047554-0.00034612i,0.00068694+4.7977e-05i,-0.00026801-0.00020194i,-0.00096456-2.2162e-05i,-0.0006625+7.392e-05i,-0.00026357-0.00043395i,-0.00046887-0.00018974i,-0.00076446-0.0005639i,-0.00066933-0.00063966i,-0.00040401-0.00070131i,-0.00012732-0.00011274i,0.00031067+0.00022917i,0.00050706-0.00043352i,0.00021189-0.00018249i,0.00038065+1.3203e-05i,0.00021234+5.8885e-05i,-0.00050108-8.2229e-06i,-0.00049671-0.00037453i
-0.00028575+5.2228e-05i,-9.2663e-05+0.0010716i,-2.8478e-05+0.00096277i,-0.00084972+0.00033515i,-0.00085496+0.00035016i,-0.0008042+3.252e-05i,-0.00065909-0.00033847i,-0.00027144+1.3518e-05i,-0.00051594+0.0011075i,-0.00019676+0.00092069i,0.00037104-4.0702e-05i,0.00025967-8.4379e-05i,0.00051776-6.9213e-05i,0.00092141+0.00044327i,0.00082787+0.00068426i,0.000449+0.00040595i,0.00019596+7.0544e-05i,-0.00033601-0.00035799i,-0.00066417+0.00034291i,-0.00053896+0.00041932i,-0.00075299-2.137e-05i,-8.8287e-07-5.1726e-06i,0.00043168+0.0001053i
-0.00042822+0.00040926i,0.0005441+0.00035931i,0.001054+0.00065222i,-9.2819e-05+0.00079143i,-8.3314e-05+0.00065792i,0.00042431+0.00059436i,0.00048753+0.00099795i,0.0011513+0.0013989i,0.0009648+0.001466i,0.0008511+0.0011216i,0.0016875+0.00038739i,0.0015864-0.00039819i,0.00071084-0.00038765i,0.00051968-0.0002002i,0.00016305+0.00064698i,-0.0004828+0.00057773i,-0.00077805-0.00057948i,-0.00075936-0.00081925i,0.00010144-0.00026185i,0.00072887+8.4459e-05i,0.00066362+0.00011779i,0.00060154+2.6618e-05i,-8.5307e-05-0.00034642i
-0.0013528-0.00084563i,-0.0015886+0.00074174i,-0.0018536+0.00084896i,-0.001303+0.00095656i,-0.00018472+0.00078526i,0.0005935+0.00058945i,0.00020088+0.00044482i,-0.00021331-9.0779e-05i,-0.00021947-5.646e-05i,0.00042058+0.00046227i,0.00060934+0.00047773i,-0.0003451+0.00039137i,-0.00043888+0.00013984i,0.00011304-7.203e-05i,-0.0001151-0.00012248i,-0.00016855-0.00038256i,5.0685e-05-0.00033787i,0.00015343-0.00074622i,0.00056649+0.00010945i,7.6531e-06+0.001001i,-2.8098e-05+0.00089352i,0.00056814+0.0010007i,0.00033727+0.001157i
-0.00038171+0.00025957i,-0.00088087+0.0011806i,2.7641e-05+0.0013173i,0.00058467+0.00062433i,0.00054285+0.00021665i,0.00031897+7.4978e-06i,0.00014174-0.00052486i,0.00048971-0.0016165i,-0.0001548-0.0014761i,-0.00052516-0.00027544i,4.4696e-05+0.00075219i,-0.00023343+0.00078341i,-0.0012503-0.00020936i,-0.0014967-0.00022971i,-0.0009384+5.6978e-05i,3.9466e-05-0.00042188i,0.00078844-0.0005339i,0.00094384-0.00055054i,0.0004444-0.00084575i,0.00015082-0.00073783i,0.00020176-0.0003161i,-0.00018789-0.00062553i,-0.0001326-0.0002645i
-0.00012+0.0001313i,-0.00086784+0.00013129i,-0.00082859+0.00022557i,-0.00092646-0.00028826i,-0.0007451-0.00094034i,-0.00014753-0.00078422i,0.00015784-0.0006273i,0.00039358-0.00085602i,0.00095733-0.0003887i,0.00094251-6.6732e-05i,0.00094898-0.00035301i,0.00059528-0.00021348i,7.1053e-05+0.00012767i,7.0029e-05+0.00010836i,0.00031118+0.00039743i,0.00066996+0.000814i,0.00021754+0.00055436i,0.00042037+0.00025353i,0.00071279+0.00013506i,0.00066662-0.00028356i,0.0010946-1.125e-05i,0.00070851+0.00041239i,8.5233e-05+0.00053181i
0.0010221+0.00038786i,-0.00073493+0.0010152i,-0.0018865+0.00092522i,-0.00087899+0.00051336i,-7.0833e-05+0.00096719i,4.2868e-05+0.0013948i,0.00020552+0.0010282i,-0.00019944+0.00066586i,-9.7395e-07+0.00074627i,0.00035763+0.00096751i,0.00021932+0.00043714i,0.00043739+0.00019241i,0.0006055+0.00024936i,0.00040685-0.00045122i,0.00075963-0.00033206i,0.00083333+0.00038748i,0.00015558+0.00034723i,-0.00022559-9.7738e-05i,-0.00024165-0.00025216i,0.00021802-0.00041733i,-9.7434e-05-0.00076167i,0.00014857-0.00069011i,0.00073186-5.1497e-05i
-1.2707e-05+0.00071899i,5.2213e-05+0.00038099i,0.0005319+0.00018129i,0.0010314+8.8695e-05i,0.00093806+1.8993e-05i,0.0011584-0.00048194i,0.001062+9.4204e-05i,0.00085143+0.00072358i,0.00044703+0.00042013i,-0.00012479+0.00012891i,0.00017984-1.7131e-05i,2.9229e-05-0.00050869i,-0.00073131-0.00070643i,-9.491e-05+0.00016536i,0.00015608-0.00021059i,-0.00077749-0.00075182i,-0.00083631-0.00058603i,-0.00027189-0.00033817i,-0.00043934+7.2071e-06i,-0.00056253-9.5532e-05i,-0.00050662-0.00021943i,-0.00053458+4.6493e-05i,0.00010422+5.4298e-05i
-0.00065114+0.00012798i,-0.0020993+0.00043198i,-0.0021169+0.0008078i,-0.00086892+0.00063124i,-0.00019154+0.00013849i,-0.00013837-4.2381e-05i,-0.0002809-0.00059307i,-3.5357e-05-0.00075664i,-7.6221e-05-5.8116e-05i,9.866e-06+0.00015002i,0.00027219-0.00053728i,0.00029576-0.0010355i,0.00093432-0.00017119i,0.0007543+8.2675e-05i,-7.77e-05-1.2312e-05i,-0.00030766-0.00010366i,-0.00016047-7.6691e-05i,-5.0802e-05-7.2225e-05i,0.00010835+9.149e-05i,-0.00044738-2.4874e-05i,2.0802e-05-0.00032856i,0.00071388+0.00037278i,1.2523e-05+0.00064076i
-0.00060611+0.00075981i,-0.00029644+0.00091389i,0.00015976+0.00060457i,0.00039183+6.2426e-05i,0.00042458-0.00012899i,0.00055577+0.00024074i,0.00034549+0.00035546i,0.00032029+0.00019556i,0.00052971+0.00097996i,2.848e-05+0.00059028i,-0.00059341-0.00010777i,-0.00032143+0.00013019i,0.00055704+0.00049426i,0.00092139+0.00049682i,0.00079219-0.00020758i,0.00038199-0.0005548i,-0.00027837-0.00016972i,-0.00036559-0.00015042i,-0.00043224+3.8142e-05i,-0.0010954+0.00028229i,-0.00097693-0.00017i,-0.00042165-8.8065e-05i,-1.8533e-05+0.0001194i
0.00031542+0.00038986i,-0.00089038+0.0005949i,-0.0014061+0.00021785i,-0.00070205-3.9101e-05i,0.0002926+2.8679e-05i,0.00058044-0.00014733i,-0.00025797+0.00040876i,-0.00034464+0.00038158i,1.1465e-06+0.00037337i,5.7011e-05+0.0004433i,0.00063313+0.00028409i,0.00035117-0.0001571i,0.00013501-3.2394e-05i,0.00070564+0.00036095i,0.00068734+0.00044031i,0.00036614+0.00078884i,0.00014983+0.00055701i,-0.00053248+0.00015343i,-0.00084553+0.00057579i,-0.00058942+0.00023709i,0.00026476-0.00027748i,0.00067636-0.0003087i,0.00015276+0.00057461i
-0.0015572-0.00024486i,-0.002887-3.7073e-05i,-0.0027877-0.00016656i,-0.0022921+0.00052791i,-0.00089298+0.001158i,0.00016961+0.00073415i,-9.196e-05-0.00015317i,-0.0004315-0.00057886i,-0.00034741-0.0007803i,0.00022288-0.00028591i,4.9951e-05+0.00068525i,1.6734e-05+0.00097893i,-4.3283e-05+0.00059811i,-0.00034556-0.00062189i,-0.00091189-0.0014656i,-0.00070501-0.0015507i,-0.00012679-0.00040582i,-3.7475e-05+0.00021297i,-5.6379e-05-0.00026503i,0.00012633-0.00064077i,0.00047136-0.0004685i,0.00032241-0.00025793i,-0.00041202-0.00030392i
3.5633e-05+0.001098i,-0.00044692+0.0011623i,0.00037222+0.0016523i,0.00067681+0.00255i,0.00011655+0.0012181i,0.00034498-0.00026811i,0.0006034+5.2017e-05i,-0.0003493+0.00071775i,-0.0007809+0.00050562i,-0.00017882-5.5993e-05i,0.00017638-0.00036902i,0.00021632-1.757e-05i,-0.00015543+0.00034863i,-0.00062445+0.00025435i,-0.00036263+0.00077481i,-0.00015424+0.00037716i,-0.00021369-5.1565e-06i,-5.1927e-05+0.00020307i,-0.00028332-0.00012631i,-0.0006488-0.00049949i,-0.00067051-0.00017551i,-5.6152e-05+0.00022581i,0.00014459-0.00036688i
-0.00075297+0.0010196i,-0.0013979+0.00062606i,0.00013809+0.00025599i,0.0016589+0.00089093i,0.0014997+0.00062755i,0.0011644+0.00042179i,0.00086658+0.00079823i,0.00035075+0.00089458i,4.5143e-05+0.00062186i,7.2376e-05+0.00030588i,0.0003554+0.0006111i,0.00071134+0.00071835i,0.00056146+5.7533e-05i,0.00057935-0.00053876i,0.00047622-0.00073084i,-0.00030447-0.00093618i,-0.00024137-0.00093637i,0.00013945-0.00049779i,6.6982e-05-0.00025793i,0.00027145-0.00044472i,0.00063092-0.00052167i,0.00031047-0.001096i,0.0007511-0.0010166i
0.0032887-0.0020122i,0.0019435-0.0016877i,0.00010675-0.001998i,-0.001219-0.002063i,-0.0015849-0.00073862i,-0.0016817+7.2402e-05i,-0.00087573+0.00045987i,0.0003741+0.0006119i,0.0007838-1.6159e-05i,8.5824e-05+0.00037686i,-0.00040688+0.00086945i,3.3895e-05+0.0014202i,0.00042272+0.0016243i,0.00091307+0.00065271i,0.0014072-0.00031239i,0.0019442-0.00017292i,0.0015357+0.00033846i,0.00077116+0.00073374i,0.00069099-6.9768e-05i,0.00075179-0.0010214i,0.0010279-0.0010123i,0.00066413-0.0008697i,-0.00012109-0.0011502i
-0.0010028-0.00048006i,-0.0020428-0.00106i,-0.0021323-0.00044528i,-0.0014608-0.0001803i,-0.0011795-9.1713e-05i,-0.00039623+0.00029221i,-9.2646e-05+0.00029865i,-0.00067648-0.00016677i,-0.00070033-8.6911e-06i,0.00019054+6.9993e-06i,0.00067695-0.000133i,0.0006601+0.00070273i,0.00031197+0.0005374i,0.00037966-0.00043922i,0.0009118-0.00049363i,0.00057285+0.00037166i,-4.0326e-05-0.00016768i,-0.00021854-0.00081064i,2.9449e-05-0.00045638i,-0.00049842-0.00026947i,-0.00097357+1.154e-05i,-0.00082807+0.00022082i,-0.00054159-0.00013092i
-0.00022545+0.00086472i,-0.001171+0.001808i,-0.0014906+0.0018959i,-0.0011266+0.0014504i,-0.00089395+0.0013027i,-0.00088708+0.00072054i,-0.00072321+0.00017078i,-0.00031328-0.00041457i,0.00019444-0.00081172i,0.00065927-0.00025057i,0.00041104+0.00052477i,1.496e-05+0.00048735i,-0.00017071+0.0003959i,-0.00044905+7.4794e-05i,-0.00039132+0.00026317i,6.7583e-05+0.00077042i,0.00011718+0.0003442i,-0.00021568-0.00069829i,-3.0979e-05-0.00090589i,-0.00033656-0.00062319i,-0.00058389-0.00048125i,-0.00061311-0.00035573i,-0.00040797-0.000864i
0.0012225+0.0021291i,0.0016434+0.0018212i,0.0019347+0.0011767i,0.0018006+0.00059665i,0.00096542-0.00034754i,0.00032019-0.00089158i,0.00032601-0.00032182i,1.0595e-05+0.00016032i,-0.00013676+0.00051081i,0.00019474+0.00022722i,0.00047526-1.773e-05i,-0.00012597+0.00031363i,-0.00040126+0.00022748i,-0.00048738+0.00016628i,-0.00077324+0.00049696i,-0.0005479+0.0010568i,-0.00024825+0.00068491i,0.00021693-0.00026399i,0.0010016-0.00043581i,0.0010275-0.00028928i,0.0010661-2.4061e-06i,0.0011421-7.5141e-05i,0.00060235+1.1909e-05i
-0.0008296+0.0011572i,0.00028476+0.0002821i,0.00031489-0.00099756i,0.00025699-0.0018546i,0.00025452-0.0021487i,-0.00054044-0.0015619i,-0.00096452-0.00084044i,-0.0006871-0.0004083i,-0.00030028-0.00011284i,0.00054576-0.00016823i,0.0002803-0.00024562i,-0.00041374-0.00038958i,-0.00051974-0.00042895i,-0.00042105+6.6728e-05i,-0.00016268-0.00018236i,2.3808e-05-0.000753i,-0.00015495-0.00068891i,-0.00034829-0.00022389i,-0.00060122+0.00059485i,-0.00054844+0.00025449i,-0.00046323+0.00026433i,-0.0001148+0.00094876i,0.00024636+0.0010965i
-0.0011473+0.0015269i,-0.0019816+0.0021972i,-0.0022419+0.0011i,-0.00096036+0.0006004i,-6.2e-06+0.00057469i,-0.00015104+9.4513e-05i,-0.00054351+1.8066e-05i,-0.00089831+0.00041706i,-0.00060469+0.00010053i,0.00028472+5.6948e-05i,0.00047311+0.00065254i,-7.7282e-05+0.00063575i,0.00014711+0.00052454i,0.00038477+0.00053174i,-0.00027241+0.00022796i,-0.00038535-0.00035209i,9.2566e-05-0.00032042i,0.00022417+0.00042226i,0.00017713+0.00035327i,-3.5942e-05-0.00025635i,-0.00047137-9.4215e-05i,-0.00052212-0.00019785i,-0.00060777-0.00010776i
-0.0015063-0.0010907i,-0.0010453+0.0004721i,-0.0012079+0.0016198i,3.7523e-05+0.0015535i,0.001042+0.0019287i,0.0012738+0.001218i,0.00078198-0.00012592i,0.00075425+0.0002299i,0.00063269+0.0011146i,0.00021697+0.0014033i,0.00021842+0.00019137i,0.00045545-0.00086097i,0.00029946-0.00031324i,-0.00019758+7.5246e-06i,-0.00040388-0.00043571i,-0.00025541-0.00061732i,-0.00091158-9.6401e-05i,-0.00055483+0.00065886i,2.0459e-05+0.00063411i,-0.00038862+8.493e-05i,-0.00054359-0.00037156i,-6.242e-05-0.00018156i,-0.00014846+0.00015i
0.00025238+0.0010973i,-0.001227+0.0017236i,-0.0015551+0.0011131i,-0.00048729-0.00046551i,0.00032888-0.00072793i,3.5073e-05-0.00031934i,-0.0003085+0.00021474i,0.00020648+0.00018789i,0.00063336-0.00050164i,0.00016034-0.00021366i,-0.0006866-0.00028764i,-0.00077788-0.00024378i,-0.00044087+4.2288e-05i,-0.00026474-0.00018091i,-0.00063127+3.334e-05i,-7.2048e-05+0.00037818i,0.00031661-5.6874e-05i,4.1989e-05-0.0008017i,0.00031584-0.00079184i,0.00014942-0.00099698i,-0.00026588-0.00082663i,-0.00071005-0.00080375i,-0.00021515-0.0010887i
0.0018847-0.0003978i,0.0012732-0.0014071i,8.8568e-05-0.0018376i,-0.0014466-0.00084305i,-0.0015585-0.00038113i,-0.001032-0.0002315i,-0.00079808-0.00038341i,-0.0003006-0.00076574i,-0.00017383-0.00013792i,0.00016023+0.00059858i,0.00025055+0.00039693i,9.9538e-05-0.00017906i,-0.00027993-0.00030519i,-0.00021464-0.00013631i,0.00042105-0.00064216i,9.0282e-06-0.00051533i,-0.00013451+0.00061527i,0.00055094+0.0011063i,-0.00021488+0.00046063i,-0.0011738-0.00037256i,-0.0006171-0.00029198i,-0.00019563+0.00098508i,-8.7626e-05+0.0010474i
0.00030631-0.00033561i,-0.00035603+0.0010669i,-0.0012573+0.001544i,-0.0003137+0.0017735i,0.00015486+0.0014057i,0.00014255-0.00013976i,0.00054793-0.00065044i,4.5562e-05+0.00019426i,8.7558e-05+0.00057231i,0.00049582+0.00072597i,-1.7276e-05-9.3696e-06i,-5.6664e-05-0.0006021i,4.0228e-05+3.4517e-05i,-7.4488e-05+0.00011596i,-0.00043337-0.00045646i,-0.0011794-0.00037307i,-0.0014483-0.00034126i,-0.001408-0.00075972i,-0.00013355-0.00042223i,0.00037504+0.00016195i,0.00023218+0.00035727i,0.0003666+0.00079571i,9.9166e-05+0.0013776i
-0.0018258+0.00010765i,-0.00086857+0.00071694i,-0.00043909+0.0012344i,-1.0694e-05+0.00050994i,0.00086578-0.0004739i,0.0013311-0.00067683i,0.00078064-0.00084656i,-0.00064787+3.1934e-05i,-0.00040415+0.0010632i,0.00044829+0.00064074i,0.00024698+0.00016105i,-2.3919e-05+0.00033577i,-0.00017069+0.00048206i,-0.00056969+9.2773e-05i,-0.0011557+8.4875e-05i,-0.0010131+0.00042523i,-0.00012161+0.00027589i,0.00042424+0.00022417i,0.0014015+0.00060399i,0.0012996+0.00017246i,0.0007533-6.8766e-05i,0.00040308+0.00048856i,-0.0001346+0.00069334i
-0.00013412+0.0020445i,0.00023154+0.0024506i,0.00027862+0.001303i,0.0007462+0.00057668i,0.00087529+0.00048506i,0.0010701-3.4854e-05i,0.00072684+0.00041288i,-3.6463e-05+8.4979e-05i,0.00017793-0.0011986i,0.00060935-0.0012014i,0.00033925-5.547e-05i,0.00033391+0.00062716i,0.000447+0.00070169i,0.00012424+0.00094293i,-0.00037538+0.00068363i,9.5127e-05+6.4114e-05i,0.00038012-2.8359e-05i,0.0005338-0.00031314i,0.00069225-0.00025708i,0.00026501+0.00013162i,6.2178e-05-0.00012931i,0.00012823+0.00022692i,-7.7189e-05+0.00099717i
-5.1663e-05-0.00034024i,-0.0016805-0.00051746i,-0.001832-0.00095465i,-0.00064218-0.0014459i,-0.00031177-0.00068917i,-0.00077116-7.7364e-05i,-0.00043698-0.00016172i,0.00055962+0.0002329i,0.0011126+0.00040175i,0.0010674+0.00024845i,0.0010123-0.00014054i,0.00025373-0.00033954i,-0.00052996-0.00017899i,-0.00033799-0.00030968i,-8.0258e-05-0.00011915i,0.00020151+5.3804e-05i,0.00072933+0.00014493i,0.001174+0.00023135i,0.00065019-0.00017854i,0.00011451-0.00060237i,0.00010665+3.9299e-05i,-0.00029642+0.00051292i,-0.00048544+0.00045999i
-0.00029898+0.00051335i,-0.00090854+0.0016393i,-0.0015174+0.0010018i,-0.0015775+0.00040382i,-0.0008833+0.00071749i,-0.00021293+0.00041124i,-0.00086387-0.00017497i,-0.00084088-4.0557e-05i,-0.00031761+0.00030046i,-0.00029823+0.00074059i,-0.00021575+0.00088019i,-0.00011857+0.00021802i,0.00030321-0.00042289i,0.0010322-0.00040767i,0.0013898+0.0002981i,0.0011486+0.0008396i,0.00073543+0.00029519i,0.0001927-0.00023077i,-0.00031432-0.00037599i,-0.001114-2.1402e-05i,-0.0014029-0.00027951i,-0.00094979-0.00077601i,-7.7291e-05-0.00069209i
0.00033104+0.00020771i,0.00090205-0.00015293i,0.00063831-9.8185e-05i,-0.00050446-0.00069324i,-0.00082775-0.00091768i,-8.6515e-05-4.8722e-05i,0.00026232+0.00061211i,0.00013455+0.00036216i,0.00033168-0.00050194i,0.00028551-0.00080277i,0.00040547-0.00047361i,0.00070714+0.00065553i,0.00091285+0.00084207i,0.0011248+0.00047821i,0.00074043+0.00028051i,0.00047462+0.00016751i,-1.4424e-06+0.00050485i,-0.0004974+0.00060563i,-0.00029444-8.8816e-05i,0.00020095-7.4666e-05i,0.00020142+0.00013846i,0.00020974+0.00025317i,0.00015366+0.00053654i
-0.0022815-0.0020602i,-0.0028636-0.0013065i,-0.0021554-0.00025974i,-0.0016549+0.00048067i,-0.00093683+0.0010404i,0.00018022+0.0015004i,-5.2224e-05+0.001436i,-0.00060315+0.00031911i,-0.00058465+0.00011137i,-0.00010567+0.0009584i,-3.7939e-05+0.00036134i,-0.00029214-0.00011198i,-0.00051061+0.00022572i,-0.0004309-0.00019059i,0.00052109-0.00048431i,0.0017134-0.00078082i,0.0010333-0.00054243i,6.4649e-05-8.8441e-05i,1.7075e-05+0.00049939i,-7.2253e-05+0.00052203i,0.00042677+9.4132e-05i,0.00089502-0.00029359i,5.9914e-05-0.00022637i
0.00035418+0.0023618i,5.1108e-05+0.0015224i,0.00060649+0.00074253i,0.00023441+0.00023312i,-0.00051375-0.00022141i,-0.00082842+0.00064356i,-0.00059196+0.00051346i,0.0001265+0.00019156i,0.00067609+0.00055733i,0.00061577+0.00075938i,-0.00023557-9.7431e-05i,-0.00084799+7.1521e-05i,3.3494e-05+0.00070841i,0.00062903+0.0011257i,0.00010771+0.0011275i,0.00011607+0.00042507i,-0.0005849+0.00068104i,-0.0009451+0.00074654i,-0.00044291-0.00021313i,-0.00026493-0.00016072i,-0.00023959+0.00044006i,-0.00044482+0.00086338i,-0.000472+0.0012668i
-0.00033278+0.0007513i,-0.0011452+0.0003238i,-0.00037656+0.00029048i,4.7279e-05-0.0002423i,-0.00034623-0.0012401i,-0.00028234-0.00086741i,-0.00012954+0.00077628i,-0.00010699+0.0012178i,0.00076656+0.00092768i,0.0012713+0.00032383i,0.0010198-0.00069339i,5.3484e-05-0.00049649i,-0.00016479+0.00019503i,-2.3513e-05+0.0010879i,-0.00015606+0.0012141i,-0.00053835+0.0010975i,-0.00071652+0.0013237i,-0.00054453+0.00099467i,-1.1247e-05+3.79e-05i,0.00056544-0.00086493i,-0.00010681-0.00086993i,-0.00098665-0.00022003i,-0.00082287-0.00025039i
-0.00020195+0.001804i,0.00097429+0.0029956i,0.00078131+0.0030178i,0.00065884+0.002118i,0.00056995+0.0013329i,-0.00051807+0.00049773i,-0.00085319-0.00011376i,-0.00037405-0.0001719i,-0.00017381+0.000566i,-0.00034037+0.00022777i,-0.00043755-0.00026227i,0.00011783-4.0708e-05i,0.000649+3.7267e-05i,0.00032965-0.00025341i,-0.00031896-0.00016381i,-0.00053476-4.8283e-05i,-4.2068e-05+0.00047947i,-0.00029692+0.001053i,-0.0011197+0.00054873i,-0.00073714-2.0923e-05i,0.0004014-0.00043452i,0.00042036-0.00084207i,0.00039416-0.00077382i
-0.0017769+0.00033294i,-0.0019441+0.00061066i,-0.0009585+0.0010063i,-6.6237e-05+6.0967e-05i,0.00048002-0.00031952i,0.00024429+2.0452e-05i,-3.7482e-05-0.00012852i,0.00019252-8.0627e-05i,0.0004318-6.2711e-05i,0.00049031+3.6179e-05i,0.00025174-0.00013202i,0.0003618+9.6924e-05i,0.0011226+0.00034431i,0.0008443-0.00047101i,0.00018142-0.00066573i,3.9508e-05+0.00012974i,-0.00025306+0.00085203i,-0.00080007+0.0003246i,-0.0011805-0.00067807i,-0.00074817-0.0013577i,-0.00033337-0.00064097i,-0.00050693-0.00027556i,-0.00040584-0.00073663i
-0.0013727-0.00056893i,-0.0016442+0.00025297i,-0.0010072+0.00075447i,-0.00067319+0.00086229i,-0.0006582+2.5635e-05i,-0.00016768+2.1728e-05i,0.00014759+0.00053924i,-3.717e-05+0.00011814i,-2.3413e-05-0.00028702i,0.00065569-0.00061826i,0.001172-0.00041949i,0.000715+0.00062902i,-4.9761e-05+0.00077443i,0.00042287-4.3683e-05i,0.00083286-0.00056471i,0.0012235-0.00045187i,0.0014131-0.00052087i,0.00091806+0.00015511i,0.00086476+0.001179i,0.00053389+0.00071086i,-0.00026886+0.00011891i,-0.00022593+0.00019207i,-0.00029771+0.00019592i
-0.00031123-3.1841e-05i,0.00067556+0.00094561i,0.00076148+0.0014079i,1.8568e-05+0.00097285i,-0.00034149+0.00068984i,-2.6219e-05+0.00049926i,0.00016964+0.00033751i,-0.00045987-8.5614e-05i,-0.00027192-0.00040445i,-9.0505e-05-0.00044985i,0.00013292-0.00068894i,0.00020162-0.00069902i,0.00018509-0.00025109i,0.0003003-0.00040318i,-0.00077758-0.00063991i,-0.0016019-9.0795e-05i,-0.0010282-0.00051095i,-0.00033009+0.00013811i,-0.00089484+0.00057934i,-0.00096386+0.00013846i,-0.0002603+0.00031533i,-0.00018771-0.00012265i,-0.00039762+1.449e-05i
0.00076255+0.00035657i,-0.00014283-0.00030132i,-0.00023836-0.0011615i,0.00044267-0.0013109i,0.00067398-0.0011548i,0.00044392-0.00082641i,0.00018852+0.00038083i,0.00030912+0.00071401i,0.00016126+9.81e-05i,0.00020412+0.00038264i,2.9241e-05+0.00048515i,-0.0002431+3.5998e-05i,7.645e-05-8.2854e-05i,0.00086298+0.00033178i,0.0010168+0.00069527i,0.00077533+0.00074135i,0.00073301+8.0342e-05i,0.00075415-0.00037912i,0.00014538+4.6316e-05i,2.7846e-06+0.00014717i,0.00032187+7.606e-05i,0.00017059+0.00023828i,0.00088881-6.9259e-05i
