2.3923e-05+0.00029276i,-0.00027462-0.0012561i,-0.0010099-0.0012145i,-0.002103+0.00015959i,-0.0029817+0.0018703i,-0.0026679+0.0019071i,-0.0017904+0.0017211i,-0.00075943+0.0017712i,-0.00020603+0.00032661i,-0.00026687-0.0011024i,8.6806e-05-0.0015511i,0.00036309-0.00088295i,-0.00035202-0.00016941i,-0.00075767+0.00030176i,-0.00013002+0.00071208i,0.00062288+0.00029024i,0.001306+1.9162e-05i,0.00067939-0.00058426i,0.00047659-0.00072287i,0.00073391+0.00051457i,0.00073037+0.00055889i,0.00071124+0.00016115i,0.00013836-0.00025988i
-0.00046226+0.00023721i,-0.0011258+0.00057217i,-0.00059968+0.00053737i,-0.00042527+0.00038293i,-0.00097171-8.2271e-06i,-0.00089835+0.00020547i,-0.00039066+0.00023895i,-0.00060746-0.00013487i,-0.00021952-0.00053182i,0.00025737-0.00024104i,2.1083e-06+0.00015477i,-0.00079109+8.6086e-05i,-0.00071012-0.00039453i,2.9227e-06-0.0005042i,-0.00037655-0.00048974i,-0.0006385-0.00055603i,-0.00064064-0.00076428i,-0.00046987-6.6967e-05i,-3.9255e-05+0.00069386i,0.00038293+0.00020408i,0.00098484-0.00028751i,0.00060261-0.0002729i,0.00028289+2.1755e-05i
-0.00038412+0.00066654i,0.0004782+0.00090266i,0.00076277+0.00066061i,-0.0010886+5.3811e-05i,-0.0016402+0.00044243i,-0.001632+0.00060396i,-0.0025442-3.9205e-05i,-0.0018905-0.0005064i,-0.0014117-0.00012654i,-0.0012109-0.00043806i,-0.00062847-0.0012496i,-0.0008134-0.0011147i,-0.00032558-0.00064396i,6.3648e-05+0.00025917i,-0.00025386+0.00089895i,1.0398e-05+0.0007129i,0.00039962-3.6044e-05i,0.00037837-0.00046361i,-5.4394e-05+8.6024e-05i,-0.00010179+0.00059309i,0.00080499+0.00056439i,0.0013091+0.00013804i,0.00061674+0.00041393i
-0.00022262-0.00034234i,-0.0012377-0.0004537i,-0.002131+0.00034066i,-0.0024161+0.0012076i,-0.0026148+0.0014334i,-0.0014501+0.0018122i,-0.0011829+0.0023478i,-0.0022203+0.0018433i,-0.0014755+0.00083028i,-0.00037835+0.00023099i,-0.00056389+0.00028534i,0.00023158+0.00018723i,0.00055803-0.00031786i,-0.00022875+3.9559e-05i,-0.00043633+0.00099049i,-0.00013671+0.00082656i,-0.00014951+0.0010264i,-0.0005524+0.0010393i,-0.00082662+0.00022803i,-0.00020693+0.00022617i,-0.00016261+0.00024445i,-0.00044962-0.0001998i,-0.00027258+2.5649e-05i
0.0012434-0.0027354i,-0.00047706-0.0021902i,-0.002949-0.0020387i,-0.004299-0.0013411i,-0.0041881+0.00017538i,-0.0036305+0.0018204i,-0.0020898+0.0025847i,-0.001194+0.0015207i,-0.0006059-4.976e-05i,-0.00025503-0.00066762i,-0.00092955-0.00041689i,-0.0012628+5.4009e-05i,-0.00050527+0.00027811i,9.5884e-05+0.00039275i,6.9798e-05+0.00037685i,0.00035709-0.00040796i,0.00094979-0.00099745i,0.00072866-2.2493e-05i,0.00044603+0.0011841i,0.00048298+0.0012321i,-3.8222e-05+0.00065887i,-0.00037905+7.5309e-05i,-5.6647e-05+1.2308e-05i
0.0011132+0.001499i,-0.00012312+0.0012965i,0.00028433+0.0015656i,0.00060428+0.00021069i,-0.00031117-0.00067234i,-0.0021431+0.00052954i,-0.0020978+0.00072749i,-0.00089798+0.00039479i,-0.00032081+0.00064287i,0.0005592+0.00077562i,0.00084769+0.00078111i,-0.00016437+0.00093665i,-0.00035338+0.00085222i,-9.3193e-05+0.00065935i,4.7886e-05+0.00069571i,0.00025015+0.00077227i,8.873e-05+0.00012896i,0.00058166-0.00025524i,0.00098291-0.00020981i,0.00026087-0.00089469i,-0.00028983-0.00106i,-0.00039546-0.0001967i,7.0458e-05+0.00049981i
0.00055243-0.00043381i,-0.00015393-0.0006075i,-0.00018141-0.00038741i,-0.0010741-0.00054503i,-0.0013913-2.3655e-05i,-0.0019568+0.00056973i,-0.0025441+0.00083286i,-0.0018763+0.001061i,-0.0010016+0.000332i,-0.00046776-0.00048679i,0.00037846-0.00035141i,0.00094959-5.3991e-05i,0.00098709+4.1749e-05i,0.00018738+0.00073383i,0.00013794+0.00081492i,0.00084994+8.6459e-05i,0.00070961+0.00051592i,0.00021971-4.0935e-05i,0.00027052-0.0007644i,-9.7176e-07+0.00021839i,-5.0658e-05+0.00067884i,9.0961e-05+0.00033146i,0.0004339+0.00017877i
0.0018935+0.0011183i,0.0017187+0.0010562i,0.0020737-0.00067034i,0.0011721-0.0022052i,6.8876e-05-0.0026919i,-0.0006764-0.0019824i,-0.0011267-0.00085918i,-0.00087558+0.00047397i,-0.0011608+0.0013424i,-0.0012693+6.1463e-05i,-0.00082443-0.00082797i,-0.00079474-0.000512i,-0.00101-0.00045624i,-0.00069999+3.9571e-05i,-0.00017407+0.00085349i,0.00022528+0.0013703i,0.00034296+0.0010337i,5.999e-05+0.00042281i,-0.00027305+0.0001773i,0.00010839+0.00039375i,-5.9636e-06+0.00082394i,-0.00097535+0.0010656i,-0.00087479+0.00059842i
0.0017179+0.00056428i,0.00052423-0.00021043i,-0.000597-0.0015038i,-0.0021464-0.001139i,-0.0037956-0.00044351i,-0.0044209+2.0038e-05i,-0.0027349+0.00067015i,-0.0013461+0.0011919i,-0.00099873-0.00011468i,-0.00026842-0.0009857i,-0.00075422-0.0002641i,-0.001478+0.00089938i,-0.0013275+0.0006422i,-0.00021594+0.00024018i,0.00089934+0.00090201i,0.00074961+0.0011292i,0.00019622+0.00073934i,-0.00019639-0.00037389i,-0.00017953-0.0002929i,-0.00050264+0.00032051i,-0.00058844-0.00045259i,-0.00050524-0.00043949i,-0.00063034-0.00038473i
0.0007241+0.0026344i,0.0017463+0.001163i,0.0011106+0.00023662i,0.00053797-0.0008767i,0.00052405-0.0010882i,-0.00015165-0.00068665i,-0.00038332-0.0006822i,-0.00060657-0.00037688i,0.00015457-0.0001489i,0.00072346+0.00039436i,0.00032993+0.00080058i,-1.8114e-05+0.0010321i,-0.00041874+0.0013841i,-0.00046466+0.0014184i,-0.00012368+0.0014114i,-0.00021158+0.0015912i,-0.00016804+0.0011342i,0.00031586+0.0002026i,0.00035319-0.00031469i,-0.00013985-0.00068864i,-0.0001717-0.00031159i,-0.0001669+0.00022202i,-0.00017286+1.5781e-05i
-0.00026682+0.00061411i,-0.0019718+0.00080139i,-0.002593+0.001496i,-0.0023089+0.0019218i,-0.0016092+0.0022422i,-0.0014552+0.0015787i,-0.0012501+0.00076647i,-0.00040977+0.00020942i,-0.00083656-0.00030049i,-0.00044926-0.00018845i,0.00060065-0.0004474i,0.00065569-0.00061453i,0.0005804-0.00068088i,0.00055507-0.00055302i,0.00061526+0.00015269i,0.00071439-4.1189e-05i,0.00015016-0.00016724i,0.00016862-3.0921e-05i,0.0011527-9.1708e-05i,0.0010665-0.00089539i,0.00051271-0.0012103i,0.00030574-0.00067244i,0.00020869-8.3158e-05i
0.00093548+0.0029967i,0.0015476+0.0021801i,0.0027026+0.0015747i,0.0020279+0.00039331i,0.00035616-0.0016171i,-0.00053888-0.0022061i,-0.0011916-0.0012312i,-0.0016953-0.00037613i,-0.00077776-0.00032668i,1.7341e-05-0.00045241i,0.00032285-0.00082744i,9.0788e-05-0.0011298i,-0.00032014-0.001311i,0.00016644-0.00092657i,0.00021733+0.00065101i,-0.00054596+0.0012586i,-0.00059128+0.00045177i,-0.00039281-0.00034408i,-0.00054755-0.00049928i,-0.00030595-0.00051325i,3.6691e-05-0.00072411i,-0.00039452-0.00036798i,-0.00086663-6.2212e-05i
-1.0464e-05+0.0017777i,0.00020203+0.0023938i,-0.0008052+0.0025287i,-0.00084183+0.0020982i,-0.0012245+0.0018905i,-0.0016727+0.0016064i,-0.0010138+0.0011588i,-0.0011425+0.00057804i,-0.0016535+0.00017921i,-0.001076-0.00018487i,-0.00037894-0.00081037i,-0.0001481-0.00114i,-0.00039278-0.00019787i,-0.00089022+0.00044095i,-0.0007263+0.00050974i,0.00030291+0.00088336i,0.00025732+0.0008238i,-0.00037673-0.00026988i,-0.00029549-0.00098283i,-0.00030526-0.00081594i,0.00012442-0.00045663i,0.00054071+8.0988e-05i,0.00033483+0.00039737i
-0.00010506-0.00058501i,-0.00021475-0.0016085i,-0.00086246-0.002314i,-0.0013582-0.0017528i,-0.0021676-0.0005569i,-0.0018698+0.0011697i,-0.0012348+0.0014645i,-0.0010285+0.00075306i,-0.0012473-0.00018235i,-0.0012782-0.00067454i,-0.0013735-0.00028668i,-0.00081935+0.00033216i,-0.00035835+0.0012867i,-0.00041052+0.0016638i,-0.00038161+0.0017342i,1.8179e-05+0.0015705i,0.00021951+0.00051184i,-0.00079221-0.00032027i,-5.9446e-05+5.4296e-05i,0.00081327+0.00096006i,0.00023082+0.00070126i,0.00028103+0.00024435i,0.00045791-8.491e-05i
0.0006854+0.0015446i,0.001405+0.0027501i,0.00085973+0.0020618i,0.00066615+0.0015422i,0.00072222+0.0012853i,-0.00031192-4.3818e-05i,-0.00093258-0.00032551i,-0.00045258+0.00036526i,-0.00012377+0.00084438i,0.00046786+0.00082288i,0.00068448+0.00013911i,0.00089396+0.00015503i,0.00089635+0.00035991i,0.00012478-0.0001286i,-0.00018176-0.00056406i,0.00021341-9.1112e-05i,0.00055711+0.00037397i,0.00069801+0.00020665i,0.00048634-7.1545e-05i,0.00032018-0.00033326i,-3.6928e-05-0.00028446i,-0.0009354+0.00024779i,-0.00087193+0.00027737i
-0.00034492+0.0021731i,-0.0017688+0.0021937i,-0.0015057+0.0015274i,-0.0011754+0.0010581i,-0.0019681+0.00077174i,-0.0019748+0.00066087i,-0.0018205+0.00050557i,-0.00083655+0.00049021i,3.5684e-05-0.00012233i,0.00068625-0.00020534i,0.001379+0.00023988i,0.0012583-0.00027925i,0.00087467-0.00020465i,0.00069676+0.00041207i,0.0006181+0.00050065i,0.00048194+0.00026456i,0.00025524+0.0001205i,0.00034768-3.815e-07i,0.00056927+0.00056791i,0.00058056+0.0012821i,0.00025369+0.0011126i,-0.0003496+0.00027359i,-0.00095529+0.00022619i
0.00095115-2.432e-05i,0.00053735-0.0012947i,5.2139e-05-0.0010813i,-0.0016901+3.5164e-05i,-0.0025415+0.00044049i,-0.0019793+0.00052713i,-0.0016411+0.00044099i,-0.00088541+0.00043399i,-2.4346e-05+0.00011207i,0.00048394-0.00037594i,0.000318-0.00077991i,-0.00040407-0.0016056i,-0.00077622-0.0020256i,-0.00029148-0.0011431i,0.00011885-0.0010392i,0.00051348-0.0010646i,2.0637e-05-0.0011248i,-0.00030523-0.0015359i,0.00011792-0.0011801i,-0.00019228-0.0009663i,-0.00053019-0.00095953i,0.00012624-0.00062805i,0.0001018-0.00016323i
-0.00034909+0.0010848i,-0.00098843+0.0013964i,-0.00091993+0.00061845i,-0.00084392+0.00058404i,-0.0015457+0.0013831i,-0.0015928+0.0013112i,-0.00099049+0.00061282i,-0.00023857+0.00015206i,-8.9549e-05-0.00046642i,-0.00043328-0.00069553i,-0.00036231-0.00023812i,-0.001023+0.0001322i,-0.0015044+1.3748e-05i,-0.00089521+0.00067683i,-0.0001496+0.0007236i,0.00025639+0.00016288i,0.00028539-0.00023159i,-0.00016531-0.00069459i,8.1278e-05-0.0012648i,0.00031459-0.00022614i,1.2433e-05+0.00030253i,9.6003e-05-8.0489e-05i,0.00015302+0.00015872i
0.0024761-0.00068892i,0.0012809-0.0010419i,-0.00014659-0.0025846i,-0.0019762-0.0023965i,-0.0024427-0.0011234i,-0.0020854+0.00041695i,-0.0010698+0.0011482i,-0.00094316+0.00085748i,-0.0010782+0.00025145i,-0.00080698-2.6461e-05i,-0.0011584+7.4658e-05i,-0.0010965+4.1005e-05i,0.00019394+0.00022694i,0.0011685+0.00096958i,0.0004309+0.0014252i,0.00040575+0.00084282i,0.00096773+0.00033707i,0.00068945-0.00056674i,-7.981e-05-0.0010855i,-0.00061204-0.00042145i,-0.00062863+0.00020685i,-0.00036387+0.00011444i,6.024e-05-0.0003053i
0.00089971+0.0012987i,0.00054889+0.00037597i,0.00035408+0.00010912i,-0.00076782-0.00028041i,-0.0021081+0.00088069i,-0.0022932+0.0017961i,-0.0016321+0.0014559i,-0.00077947+0.0011084i,-6.2329e-05-0.00010348i,-0.00024708-0.00097429i,-9.7148e-05+5.3209e-07i,-2.3082e-05+0.00085394i,-3.6252e-05+0.00045448i,0.00010061-0.00023379i,0.00027088+0.0003242i,0.00031507+0.00056743i,0.0002814-2.7028e-05i,0.0010674-0.0011058i,0.0016368-0.0016363i,0.00098904-0.0010699i,8.4822e-06-0.00043004i,-7.0475e-05-0.00026665i,9.0872e-05+0.00035101i
0.0026592+9.204e-05i,0.0025349+0.00010428i,0.0020874+7.5474e-05i,0.00017654-0.00044057i,-0.0010299-0.0013175i,-0.001545-0.00089634i,-0.0015514-0.00012742i,-0.00092013-6.1413e-05i,0.00041582-9.6459e-05i,0.00074609-8.9106e-05i,0.00031907-8.1054e-05i,-0.00029231-0.00030357i,-9.4557e-05+2.8683e-05i,4.2811e-05+0.00067937i,-4.0252e-05+0.0015411i,-0.00011281+0.0016283i,-0.00058862+0.00077763i,-0.00030224+0.00071953i,-0.00039413+0.00016939i,-0.000789+0.00014074i,0.00011078+6.6026e-06i,0.00059213-0.00046936i,0.00020632-0.00048377i
7.5569e-05-0.00036648i,-0.00097701-0.00068555i,-0.00096907-0.00036785i,-0.00042562-0.00038133i,-0.00071035+0.00033275i,-0.001188+0.00087223i,-0.0010876+0.00032133i,-0.00059096-0.00039358i,-3.7595e-05-0.0003289i,0.00074358+9.373e-06i,0.00054497-0.00025168i,-8.47e-05-0.00084522i,0.00011364-0.00064047i,-0.0002216-1.749e-05i,-0.00077115-0.00031708i,-0.00018115-0.00086213i,0.00069837-0.00072299i,0.00065316+6.5936e-05i,0.00035712+0.00024809i,0.00012952+0.00073366i,-0.00037304+0.00048765i,-0.00038295-0.00018635i,-6.8944e-05+0.00041736i
1.9853e-05-7.4022e-05i,-0.00012897+0.00098881i,-0.00052324+0.0010864i,-0.0014488+0.001177i,-0.0016422+0.0014509i,-0.00072453+0.0013319i,0.0002289+0.001628i,0.00044146+0.0012503i,0.00049259+0.0003079i,0.00041074-0.00054494i,9.176e-05-0.00074618i,-0.00038424-0.00078576i,-0.00078809-0.00019942i,4.0236e-05+0.00070109i,0.00049142+0.00059835i,0.00060519-0.00048967i,0.00085461-0.0012365i,0.00029535-0.00036733i,0.00028964+0.00057328i,0.00056234+0.0011073i,0.00024577+0.0017686i,7.5701e-05+0.0012677i,-0.00044909+0.00079571i
-0.0006339-0.00012726i,-0.0008932+0.00024425i,-0.0019656+0.00015072i,-0.0024509-0.00063261i,-0.0021736+3.3611e-05i,-0.0013203+0.00099324i,-0.00078841+0.00021674i,-0.0012895-0.00064313i,-0.00098469-0.00024934i,-0.00043552+0.00021253i,-0.00031228+9.1855e-05i,0.00027136+8.9397e-05i,0.00063317+0.0006509i,0.00049346+0.00024699i,0.00053075-0.00047755i,0.00010014-0.00041408i,-0.00071697-0.00037369i,-0.00070239-0.00084745i,1.5221e-07-0.00047512i,0.00018211-7.1207e-05i,0.00063796-0.000728i,0.0013076-0.00023819i,0.00084614+0.00046598i
0.0012612+0.0024621i,0.00087113+0.0014356i,-0.00022498-0.00041066i,-0.0011149-0.001705i,-0.0013502-0.0014688i,-0.0016874-0.00051753i,-0.0012622+0.00044745i,-0.00093031+0.00085436i,-0.00077758+0.0003569i,-0.00032822-0.00012249i,-0.0003189-0.00027694i,-0.00083371-0.00018556i,-0.00086622+8.9879e-05i,-0.00020424+0.00042608i,-7.9405e-05+0.0010026i,8.7315e-08+0.00080094i,0.00069302+0.00039025i,0.00086589+0.00010554i,9.4026e-05-0.00029174i,-0.00020062-0.00023438i,0.00076852+0.00033346i,0.0011929+0.00059279i,0.00033029+0.00030844i
2.7213e-06-7.6549e-05i,-0.00057462-0.00042177i,-0.0011716-0.0014488i,-0.0017342-0.0014814i,-0.0019421-0.00016783i,-0.0017417+0.00054711i,-0.0016166+0.00010056i,-0.00068578-0.00031784i,0.00027279+0.00052681i,0.00028542+0.0009026i,-1.5864e-05-0.00031387i,-0.00061369-0.00069505i,-9.4464e-05-0.00043916i,0.0003874-0.00011434i,0.00046192+0.00015974i,0.0010299+0.00019423i,0.00072628+0.00072033i,0.00038132+0.00073266i,-0.00019509-0.0003977i,-0.00037639-0.00012378i,0.00019079+7.3923e-05i,0.0012628-0.00070671i,0.0013669+0.00032118i
0.0011323+2.821e-05i,0.0019677-0.00037102i,0.0016363+0.0004102i,0.00067006+0.00049422i,0.00015197+0.00021726i,-0.00021698+0.00010385i,-0.00035122-4.0361e-05i,-0.00046189+9.4509e-05i,-0.00018852+0.00019222i,-0.00068623+0.00018146i,-0.0012196-6.6193e-05i,-0.00090893-0.00044321i,-0.00084767-0.0012309i,-0.00045151-0.0013347i,4.2593e-05-0.00084208i,-9.9026e-05+0.00021554i,-0.00011533+0.00049436i,0.000305-0.00026656i,0.00041012-0.00034556i,-0.00029667+0.00014216i,-0.00053068+0.00058941i,0.00019571+0.00070825i,0.00024554+0.00075286i
-0.0012045+0.0020677i,-4.9737e-05+0.0019296i,-0.00065757+0.001969i,-0.0022387+0.001675i,-0.0024689+0.00076417i,-0.0011526+0.00041905i,-0.0012076+0.00023269i,-0.0018006-0.00043846i,-0.001366-0.00062402i,-0.00045246-0.00098898i,-5.0269e-05-0.00055195i,-0.00040072+2.7381e-06i,-0.00064239-2.9274e-05i,-0.00056714-0.00030504i,-0.00046629+0.00013305i,-0.00048716-0.00026719i,-0.00019328-0.0011385i,-0.00011469-0.00050743i,-0.000356-0.00045467i,-0.00041186-0.00057527i,-3.1209e-05-0.00052072i,-1.6377e-05-0.00045703i,-0.00057457-0.00011174i
0.00057449+0.00017029i,-0.00026774+8.7793e-06i,-0.0006984-0.00021176i,-0.0019861+0.00076178i,-0.0024273+0.0010681i,-0.0017431+0.0017819i,-0.0015087+0.0017578i,-0.0014669+0.00028113i,-0.0012322-0.00021961i,-0.00048281+0.00028906i,-3.9011e-05+0.0009941i,0.00036241+0.00077564i,0.0008663+0.00037177i,0.0001113+0.00027295i,-0.00071842+0.00072284i,-0.00015459+0.0011828i,0.00031047+0.0010582i,1.8915e-05+0.0009008i,-0.00025634+0.00057549i,4.526e-05+0.00054388i,0.00018549+0.00048519i,-0.00046185+0.00020519i,-0.00061658-0.00027504i
0.0010783-2.7096e-05i,0.00068306-0.00037361i,0.00012224-0.0010648i,-0.0013589-0.0012238i,-0.0031455-0.00016892i,-0.0029708+0.00090034i,-0.0017622+0.0013908i,-1.7969e-06+0.0014904i,0.00067899+0.0012338i,0.00060031+0.00070699i,0.00089135+0.00069453i,0.0006239+0.0013081i,6.3549e-05+0.0014125i,0.00022521+0.0016369i,1.754e-05+0.0012259i,0.00026155+0.000108i,0.0010854+0.00013508i,0.00079124+0.00015101i,0.00021677+9.2095e-05i,-3.8922e-05+0.00032357i,-5.5914e-06-0.00010238i,6.0828e-05-0.00081532i,7.5207e-05-0.00025749i
0.0010487-0.0019691i,0.00025686-0.00091682i,-0.00092191-0.0014571i,-0.0017294-0.0015343i,-0.0025201-0.00034781i,-0.0022823+0.00099548i,-0.00076535+0.00063175i,2.8085e-05-0.0011886i,0.00057845-0.001429i,0.00083959-0.00083397i,0.00035421-0.000323i,5.1819e-07+0.00045053i,0.00054463+0.00054643i,0.0013889-0.00033702i,0.0017892-0.00061608i,0.0020103+0.00044326i,0.0015616+0.00024151i,0.00085998-0.0004052i,0.00013111-0.00060295i,0.00010201-0.00063057i,0.00027542-0.0002872i,0.00054187+7.8343e-06i,0.0004492+0.00032206i
-0.00029187-0.00034806i,-0.0020246-4.4328e-05i,-0.0044728+0.00081536i,-0.00484+0.00083735i,-0.0041492+0.00038986i,-0.0031297+0.00094478i,-0.0011688+0.0013063i,-4.8087e-05+0.00051558i,-0.00031164-0.00078966i,0.00011038-0.00072979i,0.0010598+0.0001828i,0.00063004+0.00046366i,2.8685e-05+0.00021699i,3.5874e-06+0.00036888i,0.00016092+0.00071791i,-0.0002569+0.00073426i,-0.00015722+0.00043984i,0.00067783+0.00030777i,0.00062535-0.00073319i,9.4591e-05-0.00076747i,-0.00092929-0.00019902i,-0.00087452-0.00061125i,1.8848e-05-0.00024135i
-0.00035455-0.0012468i,-0.00040517-0.00089442i,-0.0012334-0.0011371i,-0.0023595-9.7919e-05i,-0.0030231+0.0012063i,-0.0021844+0.0010014i,-0.0021287+0.00032622i,-0.0022271-0.00054392i,-0.0024354-0.0016276i,-0.0020384-0.0005292i,-0.0011034+0.00096687i,-0.0014231+0.00080667i,-0.0014801+0.00087753i,-0.00061076+0.00036626i,-0.00078619+6.2261e-05i,-0.00084059+0.00070707i,-0.00014692+7.1455e-05i,0.00095224-0.00059354i,0.001321-0.00035143i,0.00098086-0.00026513i,0.00063907-0.00038686i,0.00062376-0.00093843i,0.00043695-0.0013298i
0.0022156+0.00016346i,0.00078603+0.00059769i,0.00096865-0.00012495i,0.00051104+0.00012957i,-0.0015412+0.00052953i,-0.0014485+0.00046061i,-0.0013419+0.00033279i,-0.0021059+0.00031411i,-0.0015907-0.00038705i,-0.00071686-0.00093884i,-0.00015126-3.9896e-05i,0.00011305+0.0006465i,-0.00011781+0.00069654i,-0.00077024+0.0010086i,-0.001294+0.0012552i,-0.00069626+0.0014402i,-0.0004404+0.001076i,-0.00050952+0.00041083i,-0.00043912+5.3408e-05i,2.4044e-05+3.0657e-05i,-6.5924e-05+0.00041532i,-0.00038964-0.00050706i,-2.681e-06-0.0010579i
-0.00042852+2.0492e-05i,-0.00063129+0.0006467i,-0.00046128+0.0006565i,-0.0010734-0.00015846i,-0.0017334-0.00014498i,-0.0021555+0.00073271i,-0.0019462+0.00063649i,-0.00083719+0.00074383i,-0.00060402+0.001462i,-0.00087292+0.00049832i,-0.00044667-0.00053495i,0.00049752+7.8026e-05i,0.00069522+0.00071092i,0.00066816+0.00046887i,0.00092914+0.00049846i,0.0014622+0.00099382i,0.0011867+0.00076612i,-0.00012027+0.00054625i,-0.00045035+0.00036546i,0.00041061-8.5873e-05i,0.00051244+0.00045241i,-0.00016509+0.00093313i,1.0591e-05+0.00055698i
-0.00024846+0.00056634i,-0.0008006-0.00053718i,-0.0015894-0.00097521i,-0.0017805-0.0015415i,-0.0017845-0.00071145i,-0.0022745+0.00042967i,-0.00097056+0.00031067i,8.817e-06-0.00080747i,-0.00027121-0.0016809i,-0.00015021-0.0008604i,-0.00044621+0.00024453i,-0.00041395+0.00020732i,1.3176e-05-0.00076006i,0.00065414-0.00087105i,0.0010903-0.00064008i,0.0011174-0.00014516i,0.00053234+0.00027889i,0.00018954+4.7402e-05i,0.00032814+0.00033913i,-0.00030291+0.00043493i,-0.0004742-5.3002e-05i,-6.005e-05-0.00052593i,-0.00054025-0.00036518i
0.00057048+0.0031999i,0.001819+0.0010172i,0.0032081+0.001159i,0.0027478+0.001603i,0.0017315+0.00046086i,0.00067445-0.00074565i,-0.00039178-0.0010449i,-0.0011253-5.7206e-05i,-0.00091225-0.00016735i,0.00031097-0.0016242i,0.00066015-0.001478i,-0.00080801-0.0003479i,-0.0023699+0.00017256i,-0.0017051+0.00045643i,-0.00091194+0.00024262i,-0.00091461-0.00038601i,0.00012871-0.00053681i,0.00061303-0.00086026i,0.00060429-0.0010133i,0.00064468-0.00040385i,2.3073e-05-0.00030044i,-0.00058531-0.0002551i,3.2327e-05-4.4525e-05i
0.00056-0.0025168i,1.0696e-05-0.0023554i,-0.00049035-0.0020574i,-0.0015996-0.0013107i,-0.0035809-0.00014845i,-0.0025302+0.0001896i,-0.00089319+0.00021852i,-0.00081844+0.00020188i,-0.00078494-0.00039753i,-0.0009636-0.00072127i,-0.00038154+0.00037445i,0.00040847+0.0011601i,0.00030908+0.00093742i,0.00027736+0.00097208i,0.00058097+0.00074972i,0.00024043+0.00011768i,0.00040434+0.00013279i,-1.3045e-07+0.00046381i,-0.00033644+0.00038288i,0.00088898+0.00012853i,0.00077424+0.00079236i,-0.00053426+0.0012506i,-0.00044745+0.00019145i
0.00034957+0.0011101i,0.0005727+0.0018165i,0.00023975+0.00069076i,-0.0010238-0.00027013i,-0.0013993+0.00039889i,-0.0011876+0.00048057i,-0.001873+0.00018784i,-0.0021698+0.0011608i,-0.0017134+0.0014331i,-0.001516+0.00030208i,-0.00086311-0.00048351i,0.00046269-7.3727e-05i,0.00092853+0.0010546i,0.00080774+0.0015261i,0.00027456+0.00087278i,-0.00011618+4.5255e-05i,0.00060224+0.0001104i,0.00068488+0.00052575i,-0.00019944+0.001016i,-0.00025433+0.00056883i,-0.00012169+0.00013428i,0.00018304+0.00018442i,0.00023675-2.7986e-05i
-0.0017681+0.0015901i,0.00038232+0.0014501i,0.0019096+0.0013629i,0.0016896+0.0014594i,0.0002809+0.00065046i,-0.0012305+0.00043564i,-0.0016167+0.00086102i,-0.0010098+0.00041717i,0.00026316+0.00024073i,0.0010391+0.00075669i,0.00049978+0.0011871i,-0.00015757+0.00071015i,2.1291e-05-0.00026319i,0.00086535-0.00068875i,0.0013096-0.00024435i,0.00088954+0.00029475i,0.00024763-0.0004441i,-0.00051845-0.00074236i,-0.00046574+9.6889e-05i,2.2278e-05+6.4934e-06i,0.00059055+4.6799e-06i,0.00057872+2.6743e-05i,0.00025351-0.00014945i
-0.0010072+0.00038084i,-0.00090301+0.0020637i,-0.00084842+0.0022136i,-0.00053711+0.0023564i,-0.0016028+0.0020496i,-0.0010869+0.0012183i,1.16e-05+0.00055919i,-0.00028845-0.00016404i,-0.00015898-0.0006393i,0.00049748-0.0006455i,0.0006976-0.0012652i,0.00053301-0.0011769i,0.00021498-0.0012387i,6.1575e-05-0.0018275i,-0.00057529-0.0013872i,-0.00059255-0.00138i,-0.00012035-0.0016377i,-0.00016931-0.00089258i,-0.00080739-0.00025104i,-0.00044852-6.3037e-05i,0.00022657-3.7101e-05i,0.00040499-0.0002593i,0.00062933-0.0005994i
0.0015095-0.00010772i,0.00068176-0.00071732i,0.00065035-0.0019156i,-0.0008523-0.0016527i,-0.0027152-0.00010625i,-0.0021468+0.00098511i,-0.0014128+0.0016198i,-0.0011246+0.00090461i,-0.00022316-2.8232e-05i,2.2499e-05-0.00041445i,-0.00042598-0.00072808i,-0.00063676-0.00099783i,-0.00078759-0.00059798i,-0.00037485+0.00038542i,-0.00026209+0.0007365i,-0.00077629+0.00067796i,-0.00082279+0.00012957i,-0.00023897+0.00030852i,-0.00014513+0.00074239i,0.00021646+0.00098514i,-0.00010995+0.00097428i,-0.00012759+0.00069708i,-0.00018869+0.00059714i
-0.0014921+0.00034518i,-0.0013518+0.0015803i,-0.0011491+0.0021374i,-0.001147+0.0016933i,-0.0010418+0.0012833i,-0.0011163+0.0014131i,-0.00045175+0.00099869i,-0.00052067-0.0002017i,-0.0010337-0.00032238i,-0.00081155+9.383e-05i,-7.4991e-05-0.00033011i,0.00031142-0.00027885i,0.0006464+0.00079625i,0.00074186+0.0017453i,0.00035703+0.0018984i,0.00016555+0.0010786i,0.00038633-0.00046593i,0.0003788-0.0015123i,0.00014324-0.0013964i,0.00031119+3.5181e-05i,0.00010902+0.00080271i,-0.00067715+0.0002692i,-0.00069179-0.0005762i
