-0.001158-0.00068566i,-0.00066474-0.0014666i,-0.00053601-0.0017254i,-0.0010061-0.0012268i,-0.0012209-0.00034115i,-0.0013493+0.00038493i,-0.00052311+0.0013338i,0.00018709+0.0012853i,0.00085137+0.00068269i,0.0014599+0.00016311i,0.00085368-2.4906e-05i,7.5422e-05-1.706e-05i,7.7816e-05-0.00060688i,0.00029935-0.00080901i,0.00034249+9.4411e-05i,0.00030994-8.7882e-05i,0.00081445-0.00043126i,0.0011464-1.7699e-05i,0.00057255-0.00033192i,-0.0004904-0.00022037i,-0.0013739-1.355e-05i,-0.0012698-0.00028417i,-0.00070867-0.00040775i
0.00040038-0.00092697i,-0.00018604-0.0020245i,-0.00083096-0.00090323i,-0.00052133+0.0001374i,-0.00040798-0.00047688i,-0.00064745+0.00011913i,-0.00068711+0.00085059i,-0.00051383-3.9948e-05i,-0.00019411-4.0714e-05i,0.00060688-0.00016822i,0.00086526-0.00025387i,0.00076399+0.00049537i,0.00033748+0.0013673i,-7.598e-05+0.0014974i,-0.00044995+0.00072336i,-0.0006873-0.00028085i,-0.00036248-0.00043035i,-0.00012104+4.4859e-05i,0.00027491+0.00054419i,-0.00010778+0.0012929i,-0.00066811+0.00080156i,-3.077e-05+4.8971e-05i,0.00072214-0.00041966i
-0.00097065-0.0035798i,-0.0023321-0.0023453i,-0.0036621-0.0005144i,-0.0033805+0.0014663i,-0.0016471+0.0027869i,0.00090436+0.0022775i,0.0021165+0.0016742i,0.0012454+0.0006199i,0.00063317-0.00017451i,-0.0001696+0.00065789i,-0.00083065+0.0013492i,-0.00059508+0.00056942i,0.00022058-0.00040193i,0.00065264-0.00081585i,0.000791+0.00018374i,0.00082569+0.00083475i,0.00085639+0.00060768i,0.0011227+0.0004784i,0.0010922+0.00011542i,0.00074173+0.00024511i,0.00065489+0.00041711i,-0.00033438+0.00027879i,5.4082e-05-4.657e-05i
-0.00052987-0.00031339i,-0.00051875-0.00086906i,-0.00077704-0.0012181i,-0.00041024-0.00050945i,0.00042475+0.00064578i,-0.00067502+0.00075145i,-0.0016267-0.00056114i,-0.00082007-0.00062128i,-0.00051951-0.00011754i,-0.00018377-0.00049001i,0.00018881-0.0005588i,-0.00031199-2.0759e-05i,-0.00045841+0.00070293i,-0.00041009+0.0010629i,-0.0005524+0.00055837i,5.4334e-05-6.0421e-05i,0.00032282+4.7005e-06i,0.00019586+0.00016852i,-5.547e-05+0.0002481i,0.00014572+0.00023792i,0.00016167+0.00036515i,-0.00065312+0.00011176i,-0.00098762-0.00025778i
-0.0016899-0.00084621i,-0.00095836-0.00025736i,-0.00042047+0.00038999i,0.00083005+0.0011796i,0.0020757+0.0018436i,0.0020404+0.0013293i,0.0012099+0.0011501i,0.00027871+0.001377i,0.00018064+0.00070036i,0.00023062+0.00017865i,0.0005427-7.6655e-06i,0.00052474+9.7343e-05i,0.00052078-0.00041049i,0.00050598-0.0006151i,0.00024736-0.00014955i,1.4809e-05+0.00027503i,-0.00062595+0.00026164i,-0.0010624+0.00063181i,-0.00076794+0.00038497i,-0.00054224-0.00042852i,-0.00029595-0.00070463i,9.3786e-05-0.00060485i,-0.00012133-0.00057479i
-0.00081463-0.00099469i,-0.00088688-0.0013275i,-0.0023959-0.00093815i,-0.0030962+0.00029039i,-0.0021251+0.00073788i,-7.2025e-05+6.6298e-05i,0.00029943-0.00052984i,-0.00078698-0.00021014i,-0.00083722+0.00011359i,-0.00063408+0.0008937i,-0.00084448+0.0011106i,-0.0010559+5.6709e-05i,-0.001154-1.2942e-06i,-0.00046756+0.00012435i,0.00029877+0.00035424i,-0.00016134+0.00055606i,-0.00040281+0.00093848i,-3.6495e-05+0.0012607i,0.00017657+0.00043963i,6.831e-05-0.00027839i,0.00044124+0.00015181i,0.00048649+0.00057003i,0.00035993+0.00023937i
0.0012183-0.00026749i,0.0010055-0.00068761i,0.00083201-0.0010286i,0.00042441-0.00061089i,0.00012133+0.00020289i,0.00029556-0.00069329i,0.000114-0.00052952i,-0.00016189+0.00055315i,0.00046029+0.0010406i,0.00025629+0.00070894i,-0.00029707+0.00095897i,-0.00015503+0.0010435i,0.00035956+0.00036482i,0.00017633-8.494e-05i,-0.00020993+0.00066974i,-5.1008e-05+0.0010208i,0.00013112+0.00043879i,0.00040269+0.00039349i,0.00032196-0.00020958i,0.00056666-0.00061067i,0.00065736-0.00010407i,-0.00017475-0.00018868i,-0.00032239-0.00025428i
0.00023126-7.1285e-05i,0.00056532-0.00055821i,0.0003604+0.00039232i,0.0005525+0.0011279i,0.0013303+0.0010052i,0.0013375+0.00026922i,0.00093822+0.00012704i,0.00034426+0.00047344i,0.00026428+0.00019595i,0.0004383-6.2863e-06i,-0.00016162-0.00057201i,-0.00051265-0.00047869i,-0.00024796-0.00017803i,-0.0001323+0.00011773i,0.00012082+0.00045674i,0.00033365+0.00036188i,0.0006277+0.00047899i,0.00074012+1.7646e-05i,0.00084105-8.0164e-05i,0.00043174-1.0034e-05i,0.00020186-0.00034764i,-0.00016908-2.6704e-05i,-0.00090111+0.00057651i
0.0011654+0.0010243i,0.00026205-0.00045744i,0.00044544-0.0022504i,0.001117-0.0020991i,0.00071884-0.00066637i,-0.00028014+0.00020225i,-0.001189-0.00022534i,-0.00071057+8.2862e-05i,0.00049856+0.0012615i,0.00065746+0.001187i,0.00015784+0.00037423i,-0.00031671+0.00055874i,-8.0091e-05+0.0011471i,0.00018339+0.0019303i,0.00022996+0.0016522i,0.00020662+0.0011318i,0.00088278+0.0011181i,0.00095274+0.00085694i,0.00016633+4.2119e-05i,0.00029415-0.00015291i,-0.00029175-0.00030156i,-0.00058727-0.0011134i,-0.00018396-0.0012974i
0.00080198-0.00083278i,0.00041071-0.0020182i,0.00098068-0.0018886i,0.0022947-0.00090597i,0.0021817-0.00092121i,0.00072635-0.00060961i,-0.00047444+0.00010389i,-0.00072697+0.00014968i,-0.00030609+0.0004755i,0.000356+5.6025e-05i,0.00056044-0.00048037i,-0.00018476-0.00045341i,-0.00094655-0.00073389i,-0.00048264-0.00054057i,-4.6578e-05-0.0001628i,-7.5001e-06+0.00058969i,0.0001959+0.00072485i,0.00036638+0.00031816i,0.00076879-0.00031142i,0.00019477-0.00087208i,-0.00052844-0.0005798i,-0.00026118-0.00020563i,-0.00047503-7.1157e-05i
-0.0021397-0.0012312i,-0.0019516+6.4605e-05i,-0.0024467+0.0008807i,-0.0013823+0.0016401i,0.00088051+0.0018569i,0.0017054+0.00015008i,0.00082583-0.00054852i,4.5146e-05+0.0007243i,-0.00033989+0.0012752i,-0.00048558+0.00056415i,0.00054107-0.00033804i,0.0012279-0.00024336i,0.00084187+0.00048641i,0.0004783+5.5886e-05i,-0.0001647-0.00011923i,-0.00049918+0.00070768i,-0.00029737+0.00025775i,0.00018098-0.00042212i,0.00015229-0.0002404i,-0.00030202-0.00014774i,-0.00035069-0.00052218i,-2.2264e-05-0.00099285i,-0.00024853-0.00057358i
-0.0021366+0.0016611i,-0.0012297+0.00041192i,-0.0010229+0.001098i,0.00045395+0.001704i,0.0018417+0.00042889i,0.0011168-0.0011077i,2.137e-05-0.0017359i,-0.0013116-0.00086436i,-0.0015581+0.00014716i,-0.00063706+0.00043255i,0.00029236+0.0005139i,0.00054923-0.00014495i,0.00023196-0.00090445i,0.00062702-0.00070476i,0.00039159+0.00042519i,0.00019537-5.4717e-05i,0.00047155-0.00039996i,0.00017551-5.1528e-05i,-0.00025944-0.00067765i,0.00020029-0.00038879i,0.0004697+0.00096979i,0.00043545+0.0010932i,0.00061537+0.00091395i
-0.00038486-0.0015332i,-0.00059911-0.0017198i,-0.0016122-0.0013478i,-0.0017632-9.6704e-05i,-0.00068926+0.0011422i,0.00040417+0.001238i,0.00067402+0.00079745i,0.0004018+0.00034858i,0.000114+0.0010011i,-0.00046949+0.0020053i,-0.00035834+0.0017986i,0.00073016+0.00058291i,0.0021964+0.0005048i,0.0013839+0.001094i,-0.00015052+0.00078087i,-0.00025081+0.00020911i,4.3471e-05-0.00036538i,0.00025378-0.00047915i,3.1104e-05+9.0352e-05i,-0.00021409+0.00012681i,-0.00042485+0.00013608i,-0.00043587-0.00025399i,-3.3533e-05-3.5803e-05i
-0.00126-0.0018524i,-0.0020011-0.0017904i,-0.0022279-0.00071792i,-0.0018812-6.601e-05i,-0.0011312+0.00047748i,-6.998e-05+0.00095862i,0.00059111+0.00047084i,0.00053455-1.5433e-05i,0.00033303+0.00053559i,0.00032514+0.00078588i,0.0008233+0.00052024i,0.00094512+0.00093538i,0.00079823+0.0010172i,0.00051402+0.00036829i,0.00030568+0.00010951i,0.00042964-5.4977e-05i,0.00055357-0.00012239i,0.00092878-0.00043137i,0.00092351-0.00092756i,0.00022677-0.00104i,0.00025337-0.0004076i,0.00045709-0.00063339i,-0.00047615-0.00099483i
-0.00085903-0.001652i,-0.0014381-0.0016851i,-0.0019112-0.0015266i,-0.0018102-7.2268e-05i,-0.0005056+0.0014018i,3.9587e-05+0.0014911i,-0.00024848+0.00050303i,3.8448e-06-0.00024921i,0.0001897+0.00014673i,0.00022754+0.00046672i,0.00030961+0.00038217i,0.00088126+0.00032934i,0.00089361+0.00045163i,0.000283+0.00056168i,0.00025322+0.00043619i,-0.00012249-0.00043845i,-0.0008456-0.00081155i,-0.00027997-5.8041e-05i,0.00024298+0.00022871i,-0.00025659+0.00030164i,-0.00098651+0.00036714i,-0.00050129+0.00023815i,0.00083469+0.00039213i
-0.00094643-0.00082842i,-0.0007955-0.00073709i,0.00034082+0.0017003i,0.0010367+0.0024976i,0.0015483+0.0010103i,0.0019829-0.00057159i,0.0019581-0.00027589i,0.0013199+0.00016062i,0.0010092+0.00037143i,0.0010119+0.0010264i,0.00099683+0.00096872i,0.00032829+0.00078554i,-0.00031165+0.00033799i,-0.00049911+2.3801e-05i,-0.0007961+0.00037862i,-0.00038583+0.00088178i,-5.7182e-05+0.0010355i,0.00064973+0.00079972i,0.00093555+0.00018781i,0.00038381+0.00026369i,0.00047542+0.00064075i,0.00061344+0.00022309i,0.00039626-0.00039789i
0.00050243+0.002043i,0.00082155-0.00028328i,0.00032329-0.0023729i,0.00043815-0.0022533i,0.0015233-0.0018557i,0.00015049-0.0023759i,-0.00084918-0.0019855i,-0.00037949-0.000382i,4.435e-05+0.0012248i,0.00013661+0.0011798i,-5.951e-05+0.00021958i,-0.00039857+0.00013884i,-0.0012957+0.00086357i,-0.001922+0.00060981i,-0.00071631+6.3296e-05i,0.00021723+0.00025366i,0.00028861+0.00050748i,0.0009077+0.00067488i,0.0012229+0.00062552i,0.00026055+0.00086314i,-0.00077393+0.00096036i,-0.00036572+0.00092326i,0.00018104+0.00055766i
6.2868e-05+0.00055493i,3.0475e-05+0.00049308i,-0.00060381+0.00065357i,-0.00028082+0.00062225i,0.0013346+0.00050628i,0.00097734+7.9466e-05i,0.00013509+2.2201e-05i,0.0002497+2.8424e-05i,0.00021157+0.00012695i,0.00010429+0.00010087i,6.0334e-05-0.0001818i,0.00047384-0.00014953i,0.00058641-0.00030726i,0.00055111-0.00034623i,0.0007703+0.00016887i,0.00079894+0.00018601i,0.00026018+0.00065186i,-0.00056422+0.00057671i,-0.00067346-0.00022695i,-0.00013512-0.00019066i,-0.00041221+0.00013875i,-0.00055869-1.557e-05i,-0.00058218+0.00015999i
-0.00029443+0.0008323i,-0.0010326+0.00032582i,-0.0011089-0.00035766i,-0.0003743-0.00068452i,0.00070101+0.00018804i,0.0010593+0.00095065i,0.00090411+0.00037604i,0.0013356-2.6718e-05i,0.00093311+0.00037687i,0.00019302+0.00042863i,-0.00027517+0.00035397i,-0.0002814+0.00057169i,-0.00037405+0.0013937i,-0.00056389+0.0015538i,-0.00056096+0.00048993i,-0.00051607+0.00038101i,-0.0001209+0.00052273i,0.00090878+0.00084128i,0.0010633+0.00042985i,0.00037993-0.0009824i,0.00015019-0.00091172i,-0.00046704-0.0002977i,-0.00098841+0.00020768i
-0.00020561-0.00073895i,-0.00091608+6.3023e-05i,-0.0011071+0.0002683i,0.00039105+0.00056932i,0.0023066+0.00052173i,0.0025251-0.00046418i,0.0019146-0.00075392i,0.00081629-0.00031975i,0.00047165+0.00041112i,0.00073091+0.00062322i,0.00079477+0.00038635i,0.000295+0.00048173i,0.00032196+0.00087695i,-2.704e-05+0.00057198i,-0.00091439+1.5195e-05i,-0.00034159-4.0499e-05i,0.00055195-0.00024277i,0.001218-0.00031338i,0.0006368-0.00067471i,0.00064927-0.0011721i,0.00099547-0.00098534i,0.00034513-0.00015004i,-4.4091e-05+0.00072326i
-0.00028922-0.00095337i,-0.0010837-0.00066839i,-0.0013887-0.00051314i,-0.0006393+0.00050796i,-0.00015229+0.0018902i,0.00025134+0.0011961i,0.00031497+0.00046621i,-0.00047022+0.0001728i,-0.0011098+0.00019223i,-0.0014517+0.00053982i,-0.0015056+0.00067341i,-0.00053108+0.00049567i,6.3228e-05+0.00069858i,-0.00043319+0.00063621i,-0.00053514+0.00048576i,9.9099e-05+0.00036099i,0.00043888+3.4211e-05i,-1.3789e-05+0.00055254i,-0.00046022+0.00045344i,-0.00043579-0.00034908i,-0.00010689-0.00068921i,1.0609e-05-0.00025147i,-0.00017357-0.00015471i
-0.0012265+0.0016507i,-0.0015571+0.00085902i,-0.002293-0.0009826i,-0.00068692-0.001084i,0.0013765-0.00038945i,0.0012396-0.000676i,0.00060899-0.00083265i,0.00056424-0.00043245i,0.0003767-6.5985e-05i,3.6225e-05+2.427e-05i,-0.00049324-3.7464e-05i,-0.00093496-0.00027178i,-0.0006918-0.00088666i,-0.00051839-0.00054774i,-0.00070727+0.00027872i,-0.00077899+0.00023983i,-5.8941e-05-0.00016947i,0.00037808-0.00020534i,0.00018095-0.00063054i,-0.00028803-0.00034518i,-0.00051264+0.0010475i,-5.3545e-05+0.0015109i,0.00040427+0.00071351i
-0.0019078-0.0015704i,-0.0018874+0.00039658i,-0.0018253+0.0012022i,-0.00076284+0.0017306i,-0.00020381+0.002446i,0.00045299+0.0017611i,0.00081614+0.0007807i,0.00061489+6.2238e-05i,-0.00014418-9.6496e-05i,-0.0001997+0.00032891i,0.00077073+0.00029405i,0.00096214-0.00026271i,0.00071061-0.0006342i,0.00076236+0.00016668i,0.00026946+0.0009826i,-0.00053635+0.00038006i,-0.00069266-0.00024531i,-0.00019393+0.00012684i,0.00021486+0.00024563i,0.00032938-0.00048578i,0.00024532-0.0011593i,-0.00083816-0.00056735i,-0.0014309+0.00034918i
0.00019604-0.0013894i,-0.00010093-0.0023715i,-0.00060089-0.0018622i,-0.00084818-0.00039028i,-0.00034748+0.00035089i,0.00025568+0.00011741i,0.00034424+0.00017501i,-0.00046837+0.00063079i,-0.00059619+0.00098029i,0.0002536+0.0011997i,0.00055074+0.0012905i,0.00064944+0.00088572i,0.00026827+0.0004726i,-0.0003727+0.00092021i,-0.0001441+0.00082253i,0.0006863+0.00030576i,0.00074185-4.1918e-05i,0.0005944-0.00091428i,0.00049517-0.0010742i,0.00011177-8.3036e-05i,0.000787+9.6469e-05i,0.00067565-0.00022762i,-0.00018954-3.6921e-05i
-0.0011688-0.00092312i,-0.0017679-0.0017144i,-0.0016297-0.0011789i,-0.00081899+0.00033952i,-0.00013378+0.00058214i,0.00060088-0.00037059i,0.00080458-0.00049288i,-0.00049441+3.1522e-05i,-0.00060732+0.00089772i,0.00017115+0.0012567i,0.00012499+0.00080283i,0.00018851+0.00028758i,0.00056393+0.00057442i,1.5777e-05+6.1918e-05i,-0.00046303-0.00068517i,-4.632e-05-0.00093044i,8.1856e-05-0.00051011i,0.00050734-0.00045863i,0.00096791-0.00051539i,0.0010448-0.00054722i,0.00075539-0.0002386i,0.0011009+8.0702e-05i,0.00077164+0.00058908i
-0.0011688-0.00083888i,-0.0012327-8.6171e-05i,-0.00064623+0.0011129i,0.00019069+0.0026782i,0.00085331+0.0025133i,0.00097884+0.0012131i,0.00047357+0.00038384i,-0.00011319+9.6908e-05i,-7.7429e-06+0.00023698i,0.000444+0.00046561i,0.00022437+0.00069412i,0.00024828+0.00094211i,0.00034231+0.00024883i,0.00020305-0.00050981i,-0.0002914-0.00041666i,-0.00021136-0.00041982i,-0.00022175-0.00015327i,-0.00043476-0.00046063i,-0.00026715-0.0011773i,-0.00016691-0.00061203i,4.4703e-05+0.00042393i,-8.7165e-05+0.00038914i,-0.00035487-0.00020245i
-0.00082556-0.00037017i,-0.00044888-0.00024309i,-0.00095474-0.0007861i,-0.00063432-0.0009114i,0.00015272+0.00087255i,0.00031914+0.0015588i,-1.9745e-05+0.00037408i,-0.00047073-5.958e-05i,6.3579e-06+0.00027373i,0.00062416+0.00042668i,-0.00010829+0.0015721i,-0.00090912+0.0015892i,-0.00010944+0.00036384i,0.00072108-0.00025133i,0.00056345-0.00040987i,0.00021251-0.00072574i,0.00031385-0.00049537i,0.00070417+2.5989e-05i,0.00035888-0.00026231i,-0.00036296-0.00027773i,-0.00038748-0.00016483i,8.165e-05-0.00060071i,0.00031461-0.00026627i
0.0006754+0.0015011i,0.00023627+0.0015363i,0.00078187+0.00018868i,0.0019115-0.00031341i,0.0014499-0.00013224i,0.00046536-0.00060142i,-0.00027855-0.0010963i,-0.00038744-0.00096893i,-0.00019404+0.00026041i,2.9732e-05+0.0010264i,0.00011596+0.00020405i,0.0001115-0.00069311i,0.00036453-0.00037349i,0.00024632+7.4591e-05i,-1.9071e-05+0.00059864i,1.7366e-05+0.00052124i,0.00091717+0.00048702i,0.0017705+0.00090052i,0.00098807+0.00059818i,-0.00031581+0.00056158i,-0.00048428+0.00032317i,-0.00032692+0.00012197i,-2.7351e-05+0.00014782i
-0.0014406-0.00096405i,-0.001783-0.00045993i,-0.0027899+0.00061826i,-0.0019599+0.0017612i,-0.00049826+0.0013949i,0.0002111+0.00050609i,0.00065982+0.00048426i,0.00063121+0.00074669i,-0.00037016+0.00092241i,-0.00081204+0.00065453i,0.00019924+0.00034385i,0.00077243+0.00031944i,0.00036439+0.0002787i,0.00016151+0.00012158i,0.0010794+5.8688e-05i,0.00041389+0.0004885i,-0.00061999+0.00088795i,0.00032528+0.0003357i,0.0011799-0.00026079i,0.0011502-0.00026533i,0.00044227-0.00035108i,-0.00032332-0.00089268i,-0.00059993-0.0010782i
-1.2985e-05+0.00045091i,-0.00034372+0.00033346i,0.00036996+0.00063242i,0.0014829+0.0014372i,0.0027503+0.0021141i,0.0020358+0.0013627i,0.00025098+0.00027126i,0.00012889-6.6253e-05i,0.00053987-0.00013017i,0.00027935+0.00037845i,-0.00043251+0.000723i,-0.00049616+0.00031989i,0.00051921-0.00048607i,0.00032037-6.5553e-05i,-0.00030824-1.8095e-06i,0.00019238-0.00027019i,0.00041689+0.00037604i,0.00032899+0.00016613i,-0.00021437-0.00027577i,6.0429e-05-9.7495e-05i,0.00025616+0.00011091i,0.00010998-0.00036069i,0.00012735-0.0001174i
-0.0018504-0.00033464i,-0.0014136-0.00063308i,-0.00076615+0.00097596i,-0.00023379+0.0017427i,0.0010258+0.0010361i,0.0017169-0.00028713i,0.0011742-0.0011594i,0.00067607-0.00069194i,0.00023906+0.00044896i,0.00012429+0.00071938i,0.00032955+0.00058686i,-0.0006351+0.00050501i,-0.0012978+0.00019933i,-0.00068614-0.00024758i,-0.00047777-0.00011195i,-0.00070454-0.00022464i,-0.00070533-0.00062036i,-0.00085832-0.00032568i,-0.00020831-6.9392e-06i,0.00042248-0.00017503i,-0.00032689-0.00026491i,-0.0016856+0.0003597i,-0.0015733+0.00093683i
-0.001505+0.00047674i,-0.0013524+0.00011135i,-0.0015587-0.00016868i,-0.001038+1.2368e-05i,0.000535-0.00010422i,0.00094785-0.0005247i,0.00046724-0.00017084i,-0.00010159+0.00072571i,-0.0005944+0.00091882i,-0.00054119+0.00011122i,-0.00064963-0.00049301i,-0.00057888-0.00027814i,0.00020282-0.00060295i,-0.00049936-0.00016932i,-0.00094274+0.00067597i,0.00028657-5.7986e-05i,0.00038992-0.00015994i,-0.00022166+0.00038706i,-0.00055843-0.00046292i,-0.00072659-0.00083286i,-0.0010167-3.2764e-05i,-0.00095327+0.00010876i,-8.1973e-06+7.3118e-05i
-0.00019383+0.00061747i,-0.0018113+6.1771e-05i,-0.0023965+0.00042447i,-0.00071306+0.0015271i,0.00027678+0.0022712i,0.0006308+0.0018654i,0.00040933+0.0012127i,-0.00017403+0.00086325i,-0.000552+0.00071429i,-0.00021161+0.00074561i,0.00047938+0.00040992i,0.00020716+0.00048834i,-0.00049881+0.00062362i,-0.00081214-6.4233e-05i,-0.00051264-0.0008692i,-0.00020935-0.00072059i,-0.00049409+0.00014945i,-0.0005105+1.1118e-05i,-9.5446e-05-0.000108i,0.00053957+0.00020963i,0.00050868+0.00039947i,-9.9691e-05+0.00010307i,0.00013405-1.3854e-05i
0.0007757+0.00082314i,0.00014455+0.00026866i,1.8277e-05+0.00016294i,0.00054787+0.00037428i,0.0010159+0.00058067i,0.00045369-0.00019532i,0.00016304-0.00014631i,0.00037408+0.00031517i,0.00071504+0.00065692i,0.00087628+0.0012877i,0.00038889+0.001349i,1.0055e-05+0.00065177i,-0.00016625+0.00013873i,-0.00013638+0.0010019i,0.00050191+0.00098831i,0.00084217+0.00071728i,0.00033886+0.00070737i,-0.00030399+0.00021209i,-0.00060108+6.8152e-05i,-0.00031051+3.221e-05i,0.00026136-0.00027176i,0.00042425-0.00021922i,0.00012412-4.9353e-06i
-0.0012059+0.001681i,-0.00039109+0.0010227i,0.0010926+0.0001726i,0.001249+7.8119e-05i,0.0011257+1.6337e-05i,0.0010228-0.0004244i,0.00017892-0.0001231i,-0.00049996+0.0009564i,-0.00054368+0.0015077i,0.00021038+0.00084536i,0.0009543-0.0001622i,0.0003857-0.0005028i,-0.00016255-0.00051418i,-0.00038855-0.00013867i,-9.8605e-05+5.9461e-05i,0.00069396+0.00052713i,0.00082409+0.00040465i,0.00048729+0.00010352i,6.749e-05+0.00015118i,0.00013909-0.00068725i,0.00025864-0.00098256i,0.00048541-0.00085161i,0.00075095-0.00021758i
-0.00091322-0.0011814i,0.00014702-0.00050485i,-0.00042292+0.00013863i,-0.00017109+0.0011592i,0.00073822+0.0013911i,0.0013954+1.3928e-05i,0.0014385-2.3735e-05i,0.0008429+0.00026525i,0.00067033+0.00095719i,0.00096494+0.0011019i,0.00015917+0.00085003i,-0.00015102+0.00097456i,3.5616e-05+0.0010573i,-8.912e-05+0.00090036i,-0.00061485+0.00069173i,-0.00030548+0.00029693i,0.00041442-0.00047067i,0.00035784-0.0012979i,0.00032333-0.0012259i,0.00018787-0.0013902i,0.00031884-0.0016058i,0.00070142-0.00088996i,0.00011218-0.00027247i
-0.0023381+0.0001865i,-0.0026199-0.00030512i,-0.0016143+0.00031031i,-6.2531e-05+0.00143i,0.0011922+0.0012033i,0.00037041-0.00022818i,-0.00056303-0.00043931i,-1.7668e-06-0.0003623i,0.00039144+1.0451e-05i,0.00039135+0.0010396i,6.2897e-05+0.00072318i,0.00034357-0.0006218i,0.00064178-0.00028642i,0.00013083+0.00040664i,0.00015899-0.00010279i,0.0001047-0.0015066i,0.00015867-0.0014931i,0.00093368-0.00081002i,0.0012273-0.0010345i,0.00051139-0.00055108i,-0.00059605+0.00032221i,-0.00074435+0.00064619i,-0.00020365+0.00061398i
-0.001647+0.0018091i,-0.00028119+0.0018096i,0.0010153+0.001481i,0.0013129+0.0014823i,0.0016597+0.0013035i,0.0015231-0.00025227i,-0.00012211-0.0013637i,-0.0013056-0.00096715i,-0.00046615-0.00015232i,0.00033885+9.9801e-05i,0.00032763+0.00019106i,8.6322e-05+0.00035698i,0.00014475+0.00048235i,0.00051781+0.00042214i,0.00063669+0.00016053i,0.00075531-4.5389e-05i,0.00041525+0.00036663i,-0.00019565+0.00014984i,-0.00032006-0.00022462i,-0.00027277+0.0003859i,0.00021543+0.00094847i,-0.00035108+0.00037923i,-0.0010194-0.00025412i
0.002424-0.0020123i,0.00094914-0.002396i,-0.0013875-0.0030965i,-0.0024056-0.0021359i,-0.0021734-0.00086932i,-0.0020248+0.00035226i,-0.0015994+0.00088048i,-0.00062496+0.0020783i,-7.4554e-05+0.0022671i,-0.00034253+0.0014672i,-0.00056056+0.0013289i,-0.00034867+0.00094752i,0.00023031+0.0011091i,0.0012442+0.0014431i,0.0010258+0.001421i,0.00025641+0.00093127i,0.00029587+0.00022567i,0.00034288-0.00056077i,9.6766e-05-0.00046355i,-0.00018534-5.6475e-05i,-0.00076478-0.00020405i,-0.00072783-5.0223e-05i,-0.00022509+0.00047694i
0.00057322-0.00091123i,0.0010233-0.0014659i,-7.9848e-06-0.0017911i,-0.00069384-0.0015681i,0.000991-0.0011673i,0.0022636-0.00091587i,0.00083873-0.00010543i,0.00076568+0.0008867i,0.0011668+0.0013291i,-0.00039416+0.0014273i,-0.00067042+0.00088987i,0.0001043+0.00044164i,-0.00015182+0.00074038i,7.5932e-05+0.0011025i,0.00036252+0.00098131i,0.00022946+0.0010594i,0.00056309+0.00075396i,0.00057792-0.00034615i,4.3717e-05-2.8455e-05i,-0.00017288+0.00028654i,-0.00025178-0.00019647i,-0.0002482-8.3846e-05i,-0.00013268+0.00037254i
-0.00039502-0.00058852i,-0.00051353+0.00026975i,-0.00013385+0.00021911i,-0.00029709-9.8278e-05i,0.00039848+0.0004065i,0.0014669+5.3068e-05i,0.0008196+7.68e-05i,0.00022602+0.0001908i,0.00022457+0.00065944i,0.0004249+0.0011467i,0.00097806+0.00072378i,0.001126-0.00027258i,0.00047301-0.00080202i,0.0004513-0.0010331i,0.00022007-8.4613e-05i,-0.00016738+0.0013086i,9.8254e-05+0.00048843i,0.00030343-0.00051895i,0.0002782-0.00038418i,0.00038303+0.0002653i,-2.6068e-05+0.00073978i,-0.00016186+0.00057385i,0.00025599-4.6138e-05i
0.0021472-0.001535i,0.00057822-0.0025577i,-0.0015407-0.0029105i,-0.0029055-0.00068313i,-0.0027605+0.00055665i,-0.0023007+0.00048674i,-0.0010324+0.00076879i,-0.00038901+0.00030574i,-0.00055266-0.00026251i,0.00038509-1.3684e-05i,0.0007289+5.0977e-05i,0.00010394+0.00014047i,-0.00089863+0.00023191i,-0.0009697+0.00037592i,0.00029234+3.2137e-05i,0.0006013+0.00020448i,-0.00028037+5.525e-05i,-0.00052944-0.00032212i,-0.00016657+3.9414e-05i,0.00013017+0.00015681i,-0.00014718+0.00052701i,-0.00053979+0.00061045i,-0.00029266-0.00010114i
3.9219e-05+0.00043479i,-0.00069025+8.5923e-05i,0.00010771-0.00033198i,0.0017089-0.00033455i,0.0022484+0.00043974i,0.0017371+0.00034488i,0.00054073-0.00053195i,0.00036544-0.00078606i,0.00016161-2.53e-05i,-0.000641+0.00018255i,-0.0008142-0.00057143i,-0.00091084-0.00075263i,-0.0007139-6.9341e-05i,-8.343e-06+0.0003354i,0.00078742-1.5984e-05i,0.00088793+0.00020128i,0.00055985+9.9891e-05i,0.00052217-0.00043447i,0.00028018-0.00019648i,-5.2345e-05+0.00035545i,-0.00050621+0.00048333i,-0.00028767+0.00061021i,2.7556e-05+0.00031246i
-0.00014888-0.0024916i,-0.0016557-0.0021821i,-0.003596-4.3579e-05i,-0.0023069+0.00223i,8.3073e-05+0.0031866i,0.00083969+0.0025485i,0.00035652+0.00098926i,-0.00017278+0.00016007i,-0.00070236+0.00031601i,-0.00097539+0.00087198i,-0.00049118+0.0012279i,0.00058733+0.0012547i,0.001296+0.0011182i,0.00043228+0.0010144i,-0.00042017+0.00020512i,0.00040687+0.00011751i,0.0012848+0.00077361i,0.00048281+0.00069562i,0.00022409+0.00050402i,-0.00058449+0.00048903i,-0.0020264+0.00065357i,-0.0011638+0.00053613i,0.00026941+0.0003674i
