-0.0001107+0.0014655i,0.00099062+0.00097152i,0.00086846+0.0016807i,0.00078208+0.0016419i,0.00054865+0.00051277i,0.00061691+8.4707e-05i,0.00082088+0.00048964i,0.00076282+0.0011254i,0.00026248+0.00080895i,-3.0984e-05+0.00068867i,-0.00021384+0.00057583i,-0.00065059+0.00072346i,-0.0012406+0.0007355i,-0.0015096+0.00016866i,-0.001161+1.3519e-05i,-0.00081354+0.00013673i,-0.00012726+0.0002193i,-0.00015537+0.00047992i,6.2439e-05+0.00056066i,0.0011959+0.00026076i,0.00089097-0.00082032i,0.00052822-0.001175i,0.00031081-0.00059886i
-0.00036056-0.00016648i,-0.00013287+3.3472e-05i,-0.00078824+0.00042124i,-0.0015793+0.00031094i,-0.0014736+4.2202e-05i,-0.00080368-0.00079618i,5.2213e-06-0.00049444i,0.00010052+2.3578e-05i,0.00011894-0.00013454i,0.0002606+0.00046267i,0.00025964+0.00010764i,1.1772e-05-0.00069638i,-2.9298e-05-0.00092292i,-0.0004573-0.0008225i,-0.00052355-0.0007732i,-0.00021016-0.00059883i,-0.00075315-0.00026075i,-0.001489-0.00019579i,-0.0012078-0.00050235i,-0.00045424-0.00062087i,0.00020306-0.00028155i,0.00020381+0.00032457i,-0.00010657+0.00093571i
0.0013367-3.9099e-06i,7.316e-05-0.00026967i,3.5545e-05+9.8403e-05i,-0.00029646-0.00047641i,-0.00046443-0.0013123i,-0.0010534-0.00041562i,-0.0012665+0.00043767i,-0.00016843+2.9085e-05i,0.00074768+0.00027703i,0.00027985+0.00029993i,-0.00029473-0.0006978i,-0.00026815-0.00078851i,-0.00015356+0.00015116i,-0.00032639+0.00068688i,-0.00015214+0.00045597i,0.00024968+0.00037927i,-7.1355e-05+6.3791e-05i,2.1177e-05-0.00046642i,0.00026248-0.00060521i,6.4015e-05-0.0003998i,-5.3526e-05-0.00023896i,-2.7026e-05+0.00047861i,0.00030707+0.00043661i
-0.0012158+0.0029729i,-0.0001911+0.0018881i,0.0010916+0.0020013i,0.00079012+0.0017139i,0.00084725+0.00088761i,0.0011263+0.0012131i,0.00022412+0.0014603i,-0.00094404+0.0019087i,-0.001196+0.0017341i,-0.00022227+0.00015183i,0.00062379-0.00024096i,0.00015034-0.00037104i,-0.00080013-0.0013105i,-0.0012202-0.00094213i,-0.00082607-0.00026051i,-0.00014632-8.4953e-05i,6.879e-05-0.00012702i,-0.00062909-0.0003705i,-0.00086984-5.094e-05i,-0.00048725-0.00039656i,-0.00037504-0.00027068i,-0.00024745+0.00051399i,0.00023864+0.00048672i
0.00095517+0.00032892i,0.0012057-0.00023684i,-3.8178e-05-0.0005883i,-0.0011308+9.4214e-05i,-0.0014815+0.0011462i,-0.00098463+0.0015257i,-0.00049799+0.001281i,-0.0006658+0.0011241i,-0.00018705+0.00094376i,-6.6253e-05+0.00064373i,0.00017288-9.8131e-06i,0.00054447-0.00059614i,0.00013318-7.756e-05i,-0.00066526+8.9482e-05i,-0.00062063+2.6001e-05i,0.00011869+0.00058598i,0.00062444+0.0010764i,-9.848e-05+0.00055019i,-0.00059909+0.00032301i,-0.00040611+0.00037817i,-0.00025017+0.0010082i,-0.00015735+0.0012221i,-5.0122e-05+0.00040142i
-0.0017557-0.0013186i,-0.0011245-0.0007276i,-0.0013776-0.00068859i,-0.001428-0.00050225i,-0.00052528+0.0009363i,-0.00017279+0.0012217i,-7.0783e-05+0.00023361i,0.00090614-0.00036038i,0.00072706-0.00027829i,-0.00039262-4.3004e-05i,-0.00076615-0.00011426i,-0.00069984+0.00025777i,4.7572e-05-8.8422e-05i,0.00077339-0.00014199i,0.0004343-0.00020915i,0.00013887-0.00069735i,0.00049306-0.00010801i,2.5627e-05+1.9099e-05i,-0.00026306+2.2708e-05i,-0.00031894+0.0002508i,-0.00040603-0.00045437i,-6.9086e-05-0.0005735i,-0.00021017-0.00061007i
-0.0022017+0.00088326i,-0.002521+0.0019136i,-0.002509+0.0026357i,-0.0015984+0.0025568i,-0.0008756+0.0017629i,-0.00028228+0.00058241i,0.00063736-0.00069828i,-0.00029654-0.00095447i,-0.0012642+9.9589e-05i,-0.0008947+0.00028845i,-0.00012818-3.2925e-05i,0.0005356+0.00029206i,0.000542-0.00014158i,0.00038524-0.0012528i,0.00032938-0.0013599i,-2.6441e-05-0.00068563i,0.00010795-6.8113e-05i,0.00037348+2.181e-06i,0.0007467-0.00042157i,0.00064294-0.00055774i,0.00014576-0.0003109i,-0.00011673-0.00052775i,-0.00043365-0.0010322i
0.00035487-0.0011428i,-0.00028312-0.0014848i,-0.0013726-0.0010749i,-0.001464+0.00045227i,-0.00073371+0.0016497i,5.7109e-05+0.0014907i,0.00011657+0.0006276i,-0.00058141+0.00038584i,-0.0010458+0.00052076i,-0.00020584+0.00019818i,0.00066901+0.00018573i,0.0005151+0.00027371i,-4.693e-05+0.00013192i,1.4263e-06-0.00031583i,0.00054686-0.00060366i,0.00034292-0.00096915i,-7.3554e-05-0.00085254i,-0.00040847-0.00063992i,-0.00067292-0.00069758i,-0.0005242-0.00010922i,2.5558e-05+0.00048036i,0.00061325+0.00049051i,2.0236e-05+6.2522e-05i
0.00053816-0.00093449i,-6.4384e-05-0.00010674i,-0.00011266+0.00059218i,-0.00077873+0.0011509i,-0.0010855+0.00091266i,-6.737e-05+0.00083732i,0.00033386+0.001305i,0.00060765+0.00056119i,0.00087739-7.7535e-05i,0.00014433+0.00050733i,-0.00045906+0.00049201i,-0.00030351+0.00011975i,0.00034333-6.9455e-05i,0.00061392-0.00030396i,0.00035689-0.00034916i,0.00046074+0.0005278i,0.00038558+0.0012351i,-0.00064263+0.0004518i,-0.0012816-0.00033522i,-0.00087037+8.7201e-05i,-0.00030226+0.00076097i,-0.00050431+0.00085161i,-0.00029773+0.000316i
0.00089558+0.00036648i,0.00034675+0.00021426i,-0.00083119+0.00041324i,-0.0014759+0.00066987i,-0.00078609+0.00046305i,0.00038381-0.00052592i,0.0004778-0.00073406i,0.00058298-0.00017803i,0.0003837+0.00015952i,0.00018013+0.00048579i,0.00038668+0.00040607i,-0.0002569+9.7576e-05i,-0.00093271+3.7368e-05i,-0.0011784-0.00059922i,-0.00096672-0.00091424i,-0.00061407-0.00026959i,-3.8717e-05+0.00033504i,5.2054e-05+0.00021573i,-7.8604e-05+0.00033994i,-8.8298e-05+0.00032817i,0.00016357+0.00015157i,-0.00038168-0.00019917i,-0.00090145-0.00015607i
