-0.0033545+0.0014593i,-0.002374+0.00049266i,-0.0021146+0.0010672i,-0.001765+0.0019106i,-0.00092521+0.002802i,-0.00010779+0.001975i,0.00029035+0.0013923i,0.00038303+0.0015894i,0.00070698+0.0010641i,0.00097537+1.1712e-06i,0.00068337-2.2608e-06i,0.00023801+5.183e-07i,4.8814e-05-0.00026793i,0.00021555-0.00066084i,0.00024302-0.00064922i,0.00055317+4.4413e-05i,0.00075348+0.00032049i,0.0006935-6.3947e-05i,0.00078698-0.00028962i,0.00017327-0.00035222i,-0.00056546-1.2769e-06i,-0.0007796+1.3496e-05i,-0.00039207-0.00061499i
0.0019876+0.0014083i,0.0021587+0.0021073i,0.0025369+0.0023487i,0.0019263+0.0011535i,0.0010834-0.00083318i,0.000392-0.0014167i,-0.0004685-0.00038702i,-0.0006708+0.0008467i,-0.00016241+0.0013195i,0.00040375+0.0013733i,0.0007597+0.00088496i,0.00057952+0.0011051i,0.00031156+0.0013954i,-0.00024622+0.0014559i,-0.00096589+0.0012744i,-0.00010014+0.00062579i,0.00066792+0.00013216i,-2.28e-05+0.0005343i,-0.00043444+0.00050124i,-0.00023636-0.00038492i,0.00062939+0.00056289i,0.00036945+0.0016864i,0.00016161+0.00074802i
-0.00048623+0.00092816i,0.00046803+0.0015321i,0.00036821+0.0014948i,-0.0010172+0.00091587i,-0.0015485+0.0008487i,-0.00075773+0.0010872i,0.0002746+0.00047116i,0.0010703-0.000118i,0.0014394-0.000122i,0.0020387-0.00050247i,0.0020245-0.00045231i,0.0012545+0.00061461i,0.00043292+0.0017721i,-9.8551e-05+0.0019607i,0.0002393+0.00065886i,0.00075128+0.00018459i,0.00033562+3.4333e-05i,-0.00014974-0.00096775i,0.00036392-0.00073474i,-6.9638e-05+0.00026161i,-0.00084545-0.00011416i,-0.00060086-0.00078924i,-0.00033063-0.00042703i
-8.3938e-05+0.0010373i,0.0014702-0.00010069i,0.0027787+0.00010218i,0.0024416+0.0001227i,0.0018071-2.4332e-05i,0.00068935-0.0003157i,-0.00076436-0.00072834i,-0.00092015-0.00083611i,0.00010182-0.00041629i,0.00069949-0.0002691i,0.00086759-0.00080424i,0.00060328-0.00087227i,0.00085989-0.00078758i,0.0013101-4.1058e-05i,0.00077683+0.00072574i,0.00041932+0.00085935i,0.00076007+0.00044634i,0.00033813+0.00063437i,-0.00058302+0.00026563i,-0.00075991-0.00031528i,-0.0001676-0.00017444i,-6.3974e-05+0.00043474i,-0.00033356+0.0006395i
-0.001481-0.00016377i,-0.0014866+0.0015841i,-0.0012317+0.0034738i,0.00012345+0.0027062i,0.0013377+0.0024639i,0.0011892+0.0021629i,0.00066302+0.00064094i,0.00057382-0.00028644i,-0.00027431-0.00036445i,-0.00024715-0.00040245i,0.00018469-0.00094533i,2.7827e-05-0.0017054i,0.00060361-0.0010905i,0.00035606-0.00024653i,-0.00043302-0.00033285i,-0.00075426-3.3116e-05i,-0.00076994+0.00059411i,-0.00026469+0.00042136i,-0.00034629-0.00036608i,-0.00027187-0.00028374i,-6.9783e-05-0.00012703i,-0.00024507+0.00021443i,-0.00027958+0.00065199i
0.0017431+7.0152e-05i,0.00072758-0.0012835i,0.00073245-0.0020224i,0.00090696-0.0024362i,0.00094071-0.0022524i,0.00052817-0.0010907i,0.00017122-0.00072466i,-0.00016066-0.00092539i,-0.001021-0.00053928i,-0.0011036-0.0001969i,-0.00056259+3.0801e-05i,0.00010681+0.00014241i,-0.0006166+0.00017751i,-0.0013805+0.00039904i,-0.0009593-0.00033058i,-0.00030451-0.00078812i,0.00057615-0.00068165i,0.00077648-0.00030144i,2.6701e-05+0.00035951i,-0.00034951+0.00081676i,3.7525e-05-1.047e-05i,-0.00016146-0.0012206i,-0.0003928-0.00070483i
-0.0019081-8.2435e-05i,-0.0011885+0.00078228i,-0.00059252+0.0015035i,7.8228e-05+0.0026119i,-0.00025242+0.002823i,-0.0013083+0.0018057i,-0.0012196+0.0013302i,-0.0008627+0.001397i,-0.001238+0.0012395i,-0.0012659+0.00162i,-0.00070582+0.0017557i,-0.00030324+0.00097377i,-0.00038949+0.00020655i,-0.0005332-0.00015216i,-0.00055302+0.00011153i,-0.00049138-6.5461e-05i,-0.00021101-7.1659e-05i,0.00026893+0.00018262i,0.00098735+0.0002958i,0.00081465+0.00018191i,-0.00063239+2.6951e-05i,-0.00074532-8.5492e-05i,-0.00019651-0.00070961i
-0.00022876+0.0013325i,-4.6858e-05+0.0011145i,-7.1069e-05+0.00096177i,0.00028759+0.0008879i,0.0002123+0.0014313i,-0.0002956+0.0015043i,0.00021984+0.001114i,0.00046661+0.0013567i,0.00023738+0.00093374i,0.00043131+0.00082512i,0.00065881+0.0010191i,0.00053277+0.00078838i,-0.00015399+0.00045589i,-0.00069993-8.2381e-05i,-0.00022407+0.00015209i,-0.00045768+0.00074934i,-0.00064656+0.00062899i,0.00041668+3.1815e-05i,0.00069384+0.00016304i,0.0002116+0.00061765i,-0.0001326+0.00057895i,2.0994e-05+0.00064286i,0.00038395+2.8329e-05i
-0.00036613-0.0004619i,-0.00017328-0.0002215i,-0.00061463+0.00041231i,-0.00071946+0.0011742i,-0.00089394+0.0014014i,-0.0010819+0.0018559i,-0.00022332+0.0022587i,0.00026007+0.001227i,0.00037979+0.00012684i,0.0004492-1.8089e-05i,0.00040274+0.00038552i,0.00030972+0.00071658i,0.00056257+0.00058835i,0.00089169+0.00060247i,0.0006198+0.0012406i,0.00080299+0.001678i,0.00080722+0.0011723i,0.00016798-9.7803e-05i,0.00022563-0.00099173i,0.00011744-0.00048618i,-0.00063914+0.00035817i,-0.00071116+0.00036185i,-0.00062679+0.00078442i
-0.00039072-0.0012065i,-3.6433e-06+8.4539e-06i,-0.00061486-0.00011096i,-0.0016343-0.00057473i,-0.0024307+0.00070804i,-0.00124+0.0013447i,0.0010121+0.0011722i,0.001342+0.00073675i,0.00055609+0.0004807i,0.00019052+0.0007746i,0.00029483-0.00019388i,0.00039055-0.0015323i,0.00096835-0.0015277i,0.0014023-0.0010629i,0.0010476-0.00033214i,0.0010232-0.0003666i,0.00077412-0.00036086i,0.00053942-8.2413e-05i,0.00062741+0.00085693i,0.0005736+0.00139i,0.0005549+0.00060822i,0.00032941+0.00020591i,-2.811e-06+0.00027944i
-0.00079195+0.00022233i,0.0007871+6.9943e-05i,0.00079613+0.00066031i,0.00084316+0.00059334i,0.0012669-5.7876e-05i,0.0014499+0.00020036i,0.0017545+0.00032591i,0.0009435-0.00016445i,-0.00048239+0.00032753i,-0.00030897+0.00080163i,0.00021499+0.00052204i,0.00026706-0.00033098i,0.00069683-0.00084718i,0.00031468-0.00034205i,3.7981e-05-9.3167e-05i,0.00031255-0.00029559i,0.0011951+0.00031239i,0.0012312+0.0002902i,-7.1564e-05+0.00032536i,-0.00042095+0.00034482i,-1.941e-05-0.00028394i,0.00021901-0.00039155i,4.313e-05-0.00016732i
-0.0010635-0.00095193i,-0.0021115+0.0012947i,-0.0021451+0.0012551i,-0.0016332+0.00026942i,-0.0015035+0.00020399i,-0.0019171+0.00024607i,-0.0013755+0.00029031i,-0.00093504-1.382e-05i,-0.0017532-0.00088421i,-0.0015101-0.00064523i,-0.00067791+0.00015297i,0.00036204+0.00040167i,0.00045017-0.00042892i,0.00029378-0.0015766i,0.00039228-0.0016294i,9.1629e-05-0.0011598i,-5.8659e-05-0.00069755i,0.00047248-0.00089898i,0.00095349-0.0013273i,0.00085793-0.00034154i,-0.00016253+0.00067755i,-0.00082151-6.4438e-05i,-0.00056807-0.000448i
-0.00036551-0.0013632i,0.00088827-0.00010673i,0.00074379+0.00089723i,-0.001279+0.0013803i,-0.0019154+0.0020531i,4.0622e-05+0.0020636i,0.00056774+0.0012589i,-0.00046554+4.756e-05i,-0.00061152-0.00055062i,7.6189e-05+0.00019602i,0.00092522+0.00087937i,0.00055886+0.0009115i,-0.00054451+0.00026461i,-0.00066674-0.00074188i,-0.00051289-0.00045132i,-0.00061617-0.00047749i,-0.00061149-0.00089316i,-0.00025628-0.00011732i,-0.00028913+0.00057375i,-0.00074213+0.00048484i,-0.00079338+4.5252e-05i,-0.00070598-0.00040479i,-0.00036825+0.00026335i
-0.0012693+0.0005944i,-0.00081585+0.0017907i,-3.8273e-05+0.0017139i,0.00050391+0.0014227i,-0.00016344+0.001973i,-0.0010581+0.0011751i,-0.00089063+0.00018554i,-0.00062175-0.00015927i,9.736e-05-0.00050147i,0.00018817-0.00042527i,-0.00017863-0.00046265i,0.00056129+2.4841e-05i,0.00091796+0.00052839i,0.0006746+0.00081906i,0.00024078+0.00090603i,0.00068183+0.00050555i,0.00092633+0.00017159i,0.0007579-0.00037i,0.00062953-0.000317i,0.00062591+5.3979e-06i,0.00061875+0.00037643i,0.00013322+0.00032169i,-0.00016808-5.1471e-05i
0.00028898-0.00027016i,-1.4131e-07-9.1798e-05i,-0.00033661+0.00018128i,-0.00044766-0.00061967i,-0.00032971-0.00016361i,-0.00096319+0.00058465i,-0.0012257+0.00057088i,-0.00059621+0.00092648i,0.00022318+0.0014815i,0.00031858+0.00081096i,0.00010351+0.00011933i,0.0001906+2.2341e-05i,0.00061403-0.00045672i,0.0009316+0.00030874i,0.00098313+0.00063892i,0.00066924+0.00067917i,0.00050881+0.00082139i,0.00063763+0.00056286i,0.00035014+0.00052943i,0.00027182+0.00054488i,0.00011666+0.00048122i,-0.00015321+0.00031283i,-0.00070625+0.0002609i
8.4017e-06+0.00068965i,0.00071956+0.0018565i,0.0011487+0.002501i,0.0013088+0.0016138i,0.0016188+0.0010812i,0.00034236+0.0014275i,-0.0010036+0.0017071i,-0.00065008+0.0019344i,-0.00057264+0.0018798i,-0.0011433+0.0011115i,-0.0008533+0.00040044i,4.7197e-05+0.00046344i,0.001002+0.00051264i,0.00086368+0.00025767i,0.00035877+4.9055e-05i,0.00069594+0.00042467i,0.00074424+0.00070893i,0.000493-5.5851e-05i,-0.0002073-0.00062667i,-0.00040988-0.00016514i,-0.00047493+9.7483e-05i,-0.00039094-5.2263e-05i,-0.00044328-0.00010038i
0.0024237-0.0015653i,0.0014699-0.0011862i,0.00033779-0.0012228i,0.00011137-0.0020471i,-0.00057516-0.00070746i,-0.0015682+0.0015903i,-0.001006+0.0016703i,0.00045206+0.00060067i,0.0012748-0.00035047i,0.0014292-0.00046128i,0.00090543+0.00016355i,0.00044203+5.8901e-05i,0.00090627-0.00067451i,0.00041146-0.00017398i,-0.00036798+0.00063595i,-0.00075237+0.00029198i,-9.0185e-05-0.00019527i,0.00082937-0.00030409i,0.00062036-0.0010445i,0.00031163-0.001206i,-0.00014788+2.3505e-05i,-0.00053912+0.00040088i,8.8613e-05-0.00025696i
-0.0022789+0.00034725i,-0.00065646+0.0010006i,-0.00016269+0.0028392i,-0.00036502+0.0040305i,0.00019532+0.0037914i,0.0011372+0.0029801i,0.0012326+0.001761i,0.00079038+0.00073471i,0.00020488+0.00030143i,-0.00016334+0.00030137i,0.00069285+0.00024645i,0.00075288+0.00055038i,-0.00073964+0.00040008i,-0.0010466+0.00028821i,-0.0005506+0.00062649i,-0.00032316-0.00046035i,8.7428e-05-0.0012373i,-1.1173e-05-0.00098733i,-0.00018433-0.00035399i,0.00021121+1.983e-05i,0.00038173+0.00045385i,0.00033349+0.00024966i,0.0012849-0.00059865i
0.0016372-0.0014198i,0.00092685-0.0015293i,0.00054363-0.0017529i,6.3235e-05-0.0018188i,-0.00047753-0.0015593i,0.00024072-0.00073077i,0.0016725-0.00034308i,0.0015425+0.00036607i,0.00091393+0.0007242i,0.00051312-3.285e-05i,-0.00068583-0.00050473i,-0.00081529-0.00038412i,-0.00033155-0.00021252i,0.00047764-0.00013048i,0.00081045+0.00047027i,0.00086663+0.0012167i,0.00055349+0.001733i,-0.00029454+0.0016705i,-0.00034184+0.00078518i,0.00020089-5.4754e-06i,0.00052137-0.00027175i,0.00036861-4.9289e-05i,0.00063161+9.3401e-05i
0.0010882+0.0002785i,0.001416+0.00069415i,0.0010852+0.00041183i,0.0004877+4.9399e-05i,-0.001258+0.00012632i,-0.0025532-3.8112e-05i,-0.001353-0.00071784i,0.00058955-0.0010863i,0.00082919-0.00098253i,0.00063074-3.6702e-05i,0.00085464+0.00036494i,0.00026233-0.0003249i,0.00025336-0.00041779i,0.000368+3.3036e-05i,-0.00017833+0.00012748i,-0.00028461+0.00035024i,0.00012242+0.0011968i,0.00029501+0.0012043i,6.9202e-07+0.00018915i,-0.00023145-9.6364e-05i,-0.00039345-0.00015621i,-0.00068834-0.00073819i,-0.00041814-0.00058045i
0.0011992+0.00047105i,0.0001197+9.7399e-05i,-0.0011469-0.00084471i,-0.0018409-0.0014612i,-0.0018639-0.00099769i,-0.00066348-0.00034544i,-4.8407e-05-0.0012933i,-0.00034379-0.0014327i,0.00045805+0.00039978i,0.0011184+0.00086021i,0.00022896+0.00075463i,-0.00056841+0.00070576i,-0.00049633+0.00025193i,-0.00034556+3.6714e-05i,-0.00011098+0.00030085i,0.00074604+0.00071216i,0.0016215+0.00051773i,0.0015509+0.00047037i,0.00045225+0.00021938i,-0.00091551-0.00039353i,-0.00099535-0.00053304i,-0.00052799+5.6161e-05i,-5.9225e-05+0.00051371i
0.00087741+0.00098729i,0.0018302+0.00081686i,0.0022105+0.00054495i,0.0020241+0.00048352i,0.00085185+1.079e-05i,-0.00014626-5.6576e-05i,-0.0005242-0.00090689i,-0.0004085-0.0009992i,0.00010872+0.00056115i,0.00097258+0.0011173i,0.00036187+0.0012628i,-0.00077362+0.0015316i,-0.0010772+0.00095412i,-0.00030671+0.00087139i,0.00048306+0.0015337i,0.00027213+0.00088768i,-0.00029356-0.00060956i,0.00064195-0.00041732i,0.0017888-0.0001675i,0.0014763-0.00010138i,7.8202e-05+9.0695e-05i,-0.00045005-0.00051154i,0.00027852-0.00039436i
-0.0016707-0.0014617i,-0.0028343-1.1826e-05i,-0.002768+0.0010089i,-0.0022738+0.0016883i,-0.0016224+0.0022832i,-0.00074772+0.0018074i,-0.0011726+0.00064745i,-0.0016177+0.00013065i,-0.0009338+4.2748e-05i,-0.00016003-0.00012568i,0.00061466+0.00030695i,0.0018894+0.0013716i,0.0020719+0.0017612i,0.001051+0.0012432i,0.00048405+0.00057706i,0.00033069+0.00038594i,-3.7713e-05+0.00015897i,-0.00022317+0.00036978i,1.9487e-05+0.00037977i,0.00033975-0.00039201i,0.00043708+9.1551e-05i,-0.00022678-3.8104e-05i,-0.00081752-0.00055704i
0.0013266+0.001088i,0.001769+9.2016e-05i,0.002601-0.00079495i,0.0025677-0.00084843i,0.00050792-0.00062778i,-0.001242+0.00010451i,-0.0018002+0.0023414i,-0.0017393+0.0032773i,-0.0006657+0.0015933i,6.8615e-05+0.00041953i,0.00028631+0.0011156i,0.00085684+0.0014931i,0.00086889+0.00073311i,0.00020776-4.8893e-05i,-0.00027732+2.5355e-05i,0.00014101+0.00085591i,0.00076751+0.0012788i,0.00069704+0.0010876i,0.00048244+0.00028854i,2.4665e-05-0.00012036i,-0.00039586+0.00016526i,0.00011778+0.00022107i,0.00035859-0.00027546i
-0.0012155-0.0004183i,-0.00089316-2.1961e-05i,-0.00083405+0.0011688i,-0.0010694+0.0018415i,-0.0006843+0.001409i,0.00015982+0.0015662i,0.00053547+0.0017334i,0.00087634+0.0019764i,0.00025096+0.0018941i,-0.0004239+0.00092038i,0.00021738-0.00020335i,0.000998-0.00046973i,0.0017418-0.00038191i,0.0015969-0.0001257i,0.0015921+0.00023203i,0.0015717+0.00083019i,0.0007062+0.00054983i,0.00031447+0.00018989i,0.00026158-6.275e-05i,-0.00027599+0.00029866i,-1.3392e-05+0.00038667i,0.00091107-0.00046498i,0.00052665-0.00089004i
-0.00090357-0.0017845i,0.00060126-0.0010734i,0.00069182-0.00023511i,-0.00019143+0.00054593i,-0.00045709+0.00017095i,0.0003632+0.00020382i,0.0017864+0.00065406i,0.0026852+0.0011029i,0.0019441+0.0012575i,0.00094713+0.0008867i,0.00071834+0.00023191i,0.00080033-0.00047445i,0.0010528-0.0010295i,0.00096891-0.00074386i,0.00061868-0.00045691i,0.00091623-0.00064936i,0.00082974-0.00034198i,0.00084907-0.0001231i,0.0010997-0.000168i,0.00087469-0.00079714i,0.00044142-0.0011775i,-0.00023062-0.00025284i,-0.00076078+0.00027385i
0.0016914+7.1143e-05i,0.0023898-0.00017479i,0.0024602-0.0012082i,0.00041421-0.0025862i,-0.0015619-0.0023165i,-0.0016644-0.0009891i,-8.3351e-05-0.00075632i,0.0013943-0.0012672i,0.0020286-0.00089447i,0.0018057+0.00018601i,0.0010572+0.00020224i,-0.00038779-0.00023158i,-0.00090097-0.00020129i,0.0001642+0.00057733i,0.0011646+0.0014278i,0.00060387+0.00091754i,0.00017412-0.00011754i,0.00084085-5.3462e-05i,0.00064345+0.00013184i,-0.0001337+0.00016764i,-0.00060196+0.0001746i,-0.00048564-9.3633e-05i,-0.00056937-0.00034875i
-0.0016074-0.00096093i,-0.0013686-0.0012084i,-0.00099364-0.0006701i,-0.0016791+6.2956e-05i,-0.0025066+0.00094145i,-0.00215+0.00031313i,-0.0011316-0.0012699i,-0.00027599-0.0020419i,0.00062949-0.0014861i,0.0006752-0.001018i,0.0002935-0.00016743i,-0.00064818+0.00033439i,-0.001153+0.00063604i,-0.00074614+0.001015i,0.00062236+0.00028092i,0.0012404-8.1752e-05i,0.00039587+0.00068439i,0.00054234+0.00051008i,0.00092428+0.00013352i,0.00074354+0.00034701i,-8.5689e-05+0.00044413i,-0.00081368-0.00024244i,-0.00034601-0.00089017i
-0.0016646-0.00061751i,-0.001381+0.00098585i,-0.0016537+0.0024615i,-0.0016035+0.003614i,-0.00097845+0.0038483i,-0.0010503+0.0031231i,-0.0024346+0.00117i,-0.0033641+0.00023787i,-0.0021707+0.00042886i,-0.00067001-0.00012506i,-0.00061702-0.00090828i,-0.0002021-0.000745i,0.0002769+5.7872e-05i,-0.00021324+0.0001945i,-0.00023032+7.1279e-05i,0.00017493+0.0001439i,-0.00043388+0.00010761i,-0.00055153-0.00012598i,-0.0004199-0.00024142i,-0.00055584-0.00021588i,-0.0013022-0.00051662i,-0.001644-0.00043838i,-0.0014933-0.00029757i
-0.0010661+0.00076954i,-8.3037e-05+0.00097473i,0.00067943+0.0006772i,0.00077766+0.00063677i,0.00084116+0.00018305i,0.00010563-0.00021372i,-0.00051941+0.0011752i,-0.001449+0.0023402i,-0.0021589+0.0023043i,-0.0017767+0.0016659i,-0.0012492+0.001163i,-0.0006771+0.00082619i,0.00033393+0.00087397i,0.0011365+0.00041837i,0.001133+0.00015992i,-0.00015423+0.00088844i,-0.0013363+0.0010602i,-0.00092234+0.00045306i,-0.00071482+0.00017491i,-0.00065656+0.00088688i,-6.8772e-05+0.0011199i,-0.00031293-9.5329e-05i,-0.00040577-0.00089224i
0.00042538+0.0007961i,0.00049716-0.00012491i,0.00056447-0.0016032i,-0.00089611-0.00079156i,-0.0024072+0.00050435i,-0.0026691+0.001573i,-0.001838+0.0025412i,-0.00030852+0.0031764i,0.00090934+0.0027341i,0.00048775+0.0017951i,-0.00072164+0.00074202i,-0.00021886+0.00032833i,0.0010887+0.00071071i,0.0013143-0.00026958i,0.0010274-0.00086392i,0.001071-0.00040356i,0.0010493+0.00080437i,0.00073243+0.0011414i,0.00016961+0.00048086i,0.00016036-0.0004258i,0.0008425-0.00073066i,0.001125-0.00016052i,0.00072108+0.00019882i
-0.00013137+0.00086451i,0.00047781+0.00095606i,0.00050552+0.00073275i,-0.00024704-0.00059536i,-0.0012381-0.00015231i,-0.0010493+0.002155i,0.00052155+0.0026548i,0.0016929+0.0019024i,0.0012247+0.0016121i,0.00029926+0.001709i,0.00046073+0.0015468i,0.00012072+0.0014478i,-0.00048066+0.00098009i,-0.00028979+0.00015226i,0.00051499+0.00013756i,0.00079068+0.00015814i,0.0012055-2.4722e-05i,0.0010899-0.00024562i,0.00013757+0.00012603i,-0.00031471+3.8953e-05i,-0.00032484-0.00058223i,0.00026045-0.00066897i,0.00024039-0.00046936i
-0.00080823+0.0013697i,0.00025828+0.00096482i,0.0013998+0.0002697i,0.0017966+4.2976e-05i,0.0015012+9.577e-05i,0.0014006-0.00031038i,0.0025137-0.00059065i,0.0034391-0.0010665i,0.0029421-0.0015702i,0.0023153-0.0015371i,0.0024327-0.00078918i,0.0023017+0.00032858i,0.00096675+0.00048021i,-0.00041241-0.00064337i,-0.00070084-0.00037302i,-0.00084618+0.00029567i,6.0562e-05+0.00014973i,0.00027027+5.3141e-05i,-0.00044029-0.00021718i,6.1002e-05-0.00096487i,0.00024488-0.0015482i,-0.00067961-0.0014988i,-0.00098463-0.0013365i
0.0010153+0.0011929i,0.00090319+0.00074903i,0.00147+0.0005948i,0.00087915+0.00036914i,-1.1582e-05+7.7249e-05i,0.00018637-0.00081835i,0.0006399-0.0012632i,9.8765e-05-0.0020048i,6.5243e-05-0.0019377i,0.00024507-0.0013473i,0.00086426-0.001511i,0.00099678-0.0018448i,0.00034317-0.0012027i,0.00060606+0.00041031i,0.00034385+0.0011867i,-0.0005733+0.0012849i,-0.00026392+0.00079106i,-0.00032794+0.00042615i,-0.0010235+0.00046382i,-0.0010929+0.00056851i,-0.00093929+0.00038299i,-0.00080699-0.00012941i,-0.0011105-0.00050192i
0.0010919-0.0018451i,0.00092836-0.002244i,-0.00012088-0.0030718i,-0.00050451-0.0026169i,-0.00038465-0.0011845i,0.00031399-0.00092812i,0.00074154-0.0015861i,-0.00046037-0.002107i,-0.0019243-0.0018283i,-0.0027472-0.001925i,-0.0022326-0.0016761i,-0.0015052-0.00051556i,-0.0013707-8.1072e-06i,-0.00070756-1.494e-05i,-3.9745e-05+9.5998e-05i,0.00013109+0.00020033i,0.00023214+0.00020639i,0.00014168+0.00056706i,-0.00018553+0.00065256i,-0.00093359+0.00016107i,-0.0010816+0.00020115i,-0.0010907+0.00045394i,-0.0015175+0.000315i
-0.0011918+0.0024999i,-0.00054218+0.0033595i,0.0013086+0.0037426i,0.0025426+0.0023238i,0.001517+0.00054003i,-0.00026536-0.00013222i,-0.0022592+0.00015728i,-0.0031503+0.00070495i,-0.0030562+0.0012511i,-0.0018896+0.0013663i,-0.0017137+0.00069335i,-0.0017238+0.0002889i,-0.00080663+0.0004347i,-0.00032408-0.00047437i,6.1286e-05-0.00031365i,-7.6669e-06+0.00046239i,0.00039487-3.2852e-05i,0.0016158+0.00071508i,0.0010545+0.0014142i,-0.00065137+0.00099827i,-0.0008527+0.00079762i,-0.0004575+0.00092823i,-0.0006481+0.0010546i
0.002624+0.0014149i,0.0017073+0.00056932i,0.0011134-0.00059324i,0.0012764-0.0018844i,0.00082881-0.0021036i,-0.00076747-0.00081114i,-0.0017896+0.0010053i,-0.0011717+0.0021298i,6.44e-05+0.0035764i,0.00088881+0.0029925i,0.00062925+0.0016232i,-0.00026886+0.0016242i,-0.0007566+0.00090267i,-0.00043171+0.00032858i,0.00012763+0.00080737i,-0.00018466+0.00075823i,-0.00040411+0.0001374i,-0.00023853-0.00017097i,-0.0008753+0.00012918i,-0.00073517+0.00023908i,0.000246+0.00033201i,0.00045299+0.00015547i,0.00094071-7.9375e-05i
0.0021947+0.00044135i,0.0019271-0.0003388i,0.001246-0.00073794i,0.0011942-0.0010118i,0.00066806-0.00061833i,-6.163e-05+0.00078909i,-0.00037912+0.0026803i,0.00010426+0.0033322i,0.001028+0.0029997i,0.00049482+0.0023293i,4.596e-05+0.0014403i,0.00041844+0.0012652i,0.00018186+0.0015375i,-0.00030664+0.00087601i,0.00030505+0.00024619i,0.0015643+0.00035534i,0.0015083+0.0008134i,0.00035044+0.00043886i,-0.00017401-0.00032271i,0.00067476-0.00069844i,0.0009998-0.00051149i,0.00061472+0.00010533i,0.00061789+0.00037333i
-0.00092722+0.0003822i,-0.001853+0.00090397i,-0.0029752+0.0016606i,-0.0021671+0.0016345i,-0.00070727+0.0022021i,9.2229e-05+0.0012638i,0.0020149+0.00068882i,0.0032754+0.0012085i,0.0028687+0.00052442i,0.0022314-0.0001255i,0.0017565-0.00059452i,0.0016631-0.00071762i,0.0016007-0.00030148i,0.0012569+0.00035193i,0.00075138+0.00056064i,-0.00026329+0.0002862i,-0.00067244+0.00012107i,-0.0002234+0.0008237i,4.4809e-05+0.0010807i,-0.00053333+7.235e-05i,-0.0013411-0.00064095i,-0.00077307-0.00050386i,-0.00027562-0.0002952i
0.0015921-0.0014579i,0.0021178-0.0017044i,0.0020918-0.0014519i,0.00094916-0.0011799i,0.00013148-0.00046706i,-3.0194e-05+0.0010054i,0.00076081+0.000977i,0.0020371-0.0010616i,0.0012372-0.0020886i,0.00060988-0.0018099i,0.00014812-0.0011746i,-0.00021907-0.0012618i,3.5546e-05-0.0011058i,0.00026429+0.00016285i,-3.2112e-05+0.00098083i,-0.00060853+0.0015303i,0.00033688+0.001705i,0.0008127+0.00077723i,-5.2761e-06-0.00012619i,-3.0903e-05-7.5828e-05i,-5.9109e-05-7.2922e-05i,-0.0005378-0.000312i,-0.00046089-0.00054511i
-0.00065752-0.00055227i,-0.0021991+0.00020083i,-0.0032054+0.00089364i,-0.0035491+0.00081381i,-0.0032789+0.00036892i,-0.0023381+0.0005239i,-0.0009806-0.00097581i,-0.00064885-0.0023359i,-0.0011184-0.0016046i,-0.0014324-0.00092474i,-0.0013365-0.00052024i,-0.00086195-0.00095322i,0.00016221-0.0012449i,0.0009825-0.0010402i,0.00068607-0.00017064i,0.00049221+0.00060526i,0.00067385+0.00018748i,0.0010366-0.00019924i,0.0010721-0.00085973i,0.00059761-0.00041107i,-0.00074129+0.0010958i,-0.0017389+0.00063034i,-0.00070528-0.00052628i
0.00072025-0.0022533i,-0.00042397-0.0016369i,6.7716e-05-0.001725i,-1.9861e-05-0.0021268i,-0.001145-0.0011988i,-0.0010377-0.00030858i,-0.00054518-0.00097175i,-0.00062103-0.0015132i,-0.00092938-0.00054931i,-0.00064911-0.00027243i,-0.00056632-0.0010234i,-0.00048951-0.0011166i,-0.00020611-0.0012335i,-0.00010559-0.0013831i,5.3429e-06-0.00078721i,-3.095e-05-9.8846e-05i,6.8566e-05+0.00051163i,0.00041551+0.00075674i,-0.00023091+0.00065138i,-0.001064+0.00088424i,-0.00067245+0.0008687i,-3.6353e-05+0.00047532i,0.00054069+0.00052945i
-0.0022623-0.001427i,-0.002793-0.00053075i,-0.004718+0.00076691i,-0.0043435+0.0029826i,-0.0033246+0.0037252i,-0.0021487+0.0030519i,-0.0010284+0.0018952i,-0.0012161+0.00094841i,-0.0010745+0.00072311i,-0.00048681+0.00045878i,-0.0003133+4.8179e-05i,0.000265+0.00011886i,0.00080365+0.0009857i,0.00050449+0.0014116i,4.564e-05+0.00084471i,0.00028235+8.9511e-05i,0.00086223-0.00040495i,-3.0972e-06+0.00024973i,-0.00072522+0.0010293i,-0.00061882+0.00064411i,-0.00016442+0.00018329i,0.00088758+0.00032498i,0.00091966-0.00016041i
0.0028248+0.00015967i,0.0035418-0.0013621i,0.0033445-0.0034699i,0.0010601-0.0039471i,-0.0012011-0.0016224i,-0.0027801+0.00078621i,-0.0024762+0.0016328i,-0.00060421+0.0023283i,0.0010239+0.0016691i,0.0014988+0.00030367i,0.00080997+0.00039949i,0.00036983+0.00096325i,-0.00034885+0.001143i,-0.00057213+0.00091663i,-0.00018852+0.00083571i,0.00043101-1.833e-05i,0.00039832-0.00083682i,-0.00030605-0.00016391i,-0.00019733+0.00034324i,0.00056979+4.3469e-05i,0.0011327-0.00072924i,0.0011479-0.00016008i,0.00077801+0.00055592i
