0.0008568+0.00034372i,0.0011212-0.00080774i,-0.00042767-0.0013429i,-0.001528-0.0012113i,-0.0009863-0.001399i,-0.00045044-0.00093271i,-0.00011369+0.00086165i,0.00084249+0.0022776i,0.0021177+0.0016764i,0.0019418+0.00015541i,0.0011122-0.00038633i,0.00064551-0.00068353i,5.4733e-05-0.00055003i,-2.7858e-05-9.6711e-05i,0.0005236-7.0143e-05i,-9.7975e-05-4.9327e-06i,-0.00059975-3.4973e-06i,4.9996e-06+0.00041037i,5.803e-05+0.0001494i,0.00025555-0.00018654i,0.0001619+0.00026641i,-0.0009073+0.00014485i,-0.0012366+0.00048081i
-0.0022742+0.0039458i,-0.0010553+0.0038073i,0.00058737+0.0035495i,0.0023367+0.001055i,0.0026588-0.00033333i,0.00098114-0.00054809i,0.00024683+0.00064842i,0.0012286+0.0016986i,0.00080958+0.00066286i,0.00054505-7.111e-05i,0.0013499-0.00039107i,0.0011976-0.00092811i,0.00081057-0.0011669i,0.0011325-0.0013784i,0.0010566-0.00066898i,0.0002067+0.00016624i,0.00021089+4.8691e-05i,1.7455e-05-0.00051189i,-0.00033708-0.0003386i,0.00032439+0.00025466i,0.0013953+0.00037664i,0.00086372-0.00050399i,0.00018011-0.00050225i
-0.0090454+0.008673i,-0.0051208+0.0059646i,0.0016711+0.0070317i,0.0082494+0.0046194i,0.011209+0.0005621i,0.0086181-0.0026946i,0.0035055-0.00076487i,0.001091+0.0023516i,0.0011667+0.0032142i,0.0026816+0.0027992i,0.0035209+0.00060498i,0.0026765-0.002214i,0.0018238-0.0030252i,0.0016706-0.0022856i,0.0019632-0.0013209i,0.0016992-0.00051666i,-1.6652e-05-0.00048018i,-0.00069445-0.00021925i,-0.00016088-0.00021961i,1.4778e-05-0.00055494i,2.5519e-05+5.4372e-05i,0.00010305-0.00014981i,0.00012377-0.00061823i
0.010359-0.0091391i,0.0068073-0.0075058i,-0.00082792-0.010353i,-0.0062505-0.0083046i,-0.0071669-0.0037575i,-0.0055237+0.0002153i,-0.0026151+0.00068138i,-0.00029569-0.00047791i,0.00091988-0.0015379i,-0.0003918-0.0022421i,-0.0023119-0.0007674i,-0.0029486+0.0016491i,-0.0020236+0.0024192i,-0.0015922+0.0017555i,-0.0025573+0.0012138i,-0.0020887+0.0001937i,-0.00037702-0.00057451i,0.00044985-0.00035625i,0.00027545+0.00026136i,-0.00023492+0.00031673i,-0.00048547-0.00036013i,0.00020874-0.00025438i,0.0002666+0.00050232i
0.0017801-0.0043991i,0.0016732-0.0039741i,-0.00042031-0.004699i,-0.0016499-0.0023397i,-0.0006834+0.00048733i,0.00065232+0.0017753i,0.0012466+0.0014004i,0.00069965+0.00040785i,-0.00065231-0.00023312i,-0.0017749+0.00033658i,-0.0015532+0.001572i,-0.00075102+0.0013409i,-0.00023607+0.00042236i,-0.00064423+0.00012037i,-0.0011115+9.0967e-05i,-0.00071267+0.00062882i,0.00028341+0.00072267i,0.00055139+0.00041612i,-0.0001298-1.7757e-05i,-1.7498e-05-0.00029719i,-1.5018e-05+0.00020425i,-0.00058255+0.00058732i,-0.00052544-0.00024755i
0.004011-0.0053763i,0.0033826-0.0048025i,0.00084116-0.004686i,-0.00011111-0.0026499i,-0.00086566-0.00040586i,-0.0014296+0.00076955i,-0.00022427+0.0007736i,6.4735e-05+0.00053933i,-0.0003568+0.00028235i,-0.00075649-0.00012827i,-0.0011715-2.4349e-05i,-0.0010363+0.00097329i,-6.2331e-05+0.0013509i,0.00013259+0.00099126i,-4.6464e-05+0.00035757i,0.00010455+0.0002477i,0.00018757+0.00012202i,0.00014833+0.00022183i,0.00063918+0.00016902i,0.00081068-0.0003589i,0.00070149-0.00073577i,0.00044707-0.00058805i,-5.5399e-06-0.00010903i
0.0021959+0.00097136i,0.0015283-0.00018832i,0.00070674-0.003194i,0.00053769-0.0031421i,0.0008442-0.0019179i,0.0010616-0.0016015i,0.0014365-0.0012954i,0.0014125-0.00040035i,0.0015845+0.00010256i,0.0014372-0.00017814i,0.00065834+0.00028202i,-0.00026102+0.00042652i,-0.00041484-7.9405e-05i,7.0177e-05+2.5728e-05i,-7.4851e-05+0.00021909i,-0.00056109+0.00074445i,-0.00029843+0.00093111i,0.00011943+0.00065251i,0.00025411+0.00043875i,0.0008319-9.7408e-05i,0.00068729-0.0002619i,0.00032759-0.00023272i,-0.00013407-1.5836e-05i
0.0013379+0.00022469i,0.0014439-0.00058282i,0.00086661-0.00077923i,-0.00034271-8.2964e-07i,-0.00064732+0.00012257i,-0.0011391+0.0004039i,-0.001136+0.00053776i,-0.0012495+7.7138e-05i,-0.00084084-0.00011094i,0.00048604-0.0001508i,0.00017563+7.1063e-05i,0.00040424+0.00092386i,0.0010601+0.001473i,-0.00026532+0.00021677i,-0.0010111-0.00051656i,-0.00030831+0.00016181i,-0.00028275+0.00075243i,-0.00061047+0.00082665i,-0.0005431-8.0959e-05i,-0.00046694-0.00027176i,-0.0005989-0.00028621i,-1.9913e-05-0.00033368i,0.00043478+0.00026244i
0.002501+0.002797i,0.0032492+0.0016059i,0.0042114+0.00023033i,0.0035578+0.00020754i,0.0018085+0.00083574i,0.0010064+0.0019448i,0.00076189+0.0025158i,0.00030051+0.0018141i,-0.00050878+0.0009881i,-0.00071774+0.00062309i,-0.00039508+0.00014774i,-0.00037047+0.00051779i,-0.00019245+0.00091425i,0.00044027+0.00047827i,0.00020237-0.00068814i,-0.00040081-0.001167i,-0.00018949-0.0001508i,0.0001289+0.000615i,-0.00037645+0.00011466i,-0.00084101-5.8869e-05i,-0.00034903-0.00035252i,-2.8311e-05-0.00020524i,0.00025828+0.00033836i
-0.00082484-0.0012971i,-0.00044889-0.0013722i,0.00026279-0.002422i,0.0011457-0.0019146i,0.0021835-0.0013016i,0.0026852-0.00074087i,0.0026931-0.00014684i,0.0016968-3.9285e-05i,0.00041026+0.00010172i,0.00013455+0.00034654i,0.00023855+0.00097566i,0.00044756+0.00063018i,0.00072709+0.00040623i,0.00038676+0.00032231i,5.5152e-05-0.0003103i,0.00017158+0.00023603i,0.00015633+0.001115i,-0.00024871+0.00050955i,-0.00052793+0.00068002i,-0.00039491+0.00086883i,-0.00031301+0.00061929i,-0.00077451+0.00052935i,-0.00095191-0.00035976i
9.4307e-05-0.00099917i,-0.00014567-0.00089346i,-0.0013677-0.00088262i,-0.0012865-0.00047071i,-0.00011651-0.00014341i,0.00034027+5.1528e-06i,-0.00040887+0.00011859i,-0.00097429-0.00012121i,-0.00044657+0.00013428i,-0.00031535+0.00025531i,-0.00065111-0.00033221i,-0.00066017-0.0007239i,0.00020145-0.00033376i,0.00068945+0.00025129i,0.00010194+0.00062816i,-4.2244e-05+0.00039437i,-5.4609e-06+0.00014234i,0.00025774+0.00068932i,0.00074894+0.0003478i,0.00040626+0.00017815i,0.00034921+0.00023479i,0.00040161-4.6858e-05i,0.00037899+0.00081527i
6.8801e-05-0.00080957i,0.0011045-0.00011411i,0.0020358+0.00037836i,0.0025001+0.00085135i,0.0019189+0.00040547i,0.00099574+6.7125e-06i,0.00047679+7.3758e-05i,-0.00015052+0.0011384i,-0.00070137+0.0018201i,-0.00085849+0.00049144i,-0.0010955-0.00046657i,-0.00071475+0.00017386i,0.00011364+0.0012161i,0.00072625+0.001018i,0.00089923+0.00010931i,-6.9196e-05+2.7289e-05i,-0.00068181+0.00017605i,-0.00037872-0.00049751i,0.00046214-0.001346i,0.00072535-0.00070783i,5.5056e-05-4.3906e-05i,-0.00032564+0.00015842i,-0.00017938+0.0004408i
0.0015639-0.0023044i,0.0014843-0.0025974i,-8.7033e-05-0.0036356i,-0.001008-0.0027863i,-0.00035071-0.00080428i,0.00012651+0.00020551i,0.00058377+0.00061807i,-0.0001673-1.9049e-05i,-0.00024846-0.00019164i,4.1959e-05-0.00012087i,-0.00054889-0.00055696i,-0.00067028-0.00066967i,-0.00054339-0.00025729i,-0.00024595+0.00021897i,3.307e-06-1.15e-06i,-0.0004821+0.00044604i,-0.00066535+0.00073867i,-0.00077474+0.00093908i,-0.00043194+0.0011202i,0.00033121+0.00053674i,-0.00015678-0.0002137i,-0.00031089-0.00015935i,0.00076428+0.00049689i
0.00092304-0.0015802i,0.00011613-0.001697i,-0.0001366-0.0014931i,-4.5682e-05-0.00087659i,-0.00012798-0.00017198i,-8.5332e-05-0.00016589i,0.00046834-0.00050209i,0.00053481-5.2342e-05i,0.00025739+0.00022069i,8.3971e-05-0.00024916i,-0.0002437-0.00042671i,-6.3096e-06+0.00031474i,0.00043777+0.00026483i,-4.7341e-06-0.00010597i,-0.00065612+0.00047022i,-0.00039718+0.00061335i,0.00026022+1.1898e-05i,-0.00031915-0.00028048i,-0.00047002-0.00012513i,-0.00067302+0.00014298i,-0.0010208-9.603e-05i,-0.00045398-0.00053978i,0.0001481-0.00051696i
-0.00037122+0.00045755i,0.001571+6.2992e-06i,0.0035681-0.00053878i,0.0035248-7.9747e-05i,0.0020792+0.00033277i,0.00050563+0.00048308i,-9.4126e-05+0.00094589i,0.00023488+0.00087736i,-0.00016521+0.0002646i,-0.00059223+0.000497i,-0.00032254+0.0010514i,-0.00016925+0.00072215i,-0.00035985-0.0003046i,-0.00015012-0.00069784i,-0.00013868-0.00031565i,3.2538e-05-0.00023565i,0.00021133-0.00034397i,7.0378e-05+5.7363e-05i,0.00028352+8.8686e-05i,0.00052882+0.00016956i,-7.9845e-05+0.00016221i,-0.00068442+0.00011839i,-0.00074274+0.0011799i
0.00096-0.0032827i,0.00019244-0.003455i,9.2442e-05-0.0034735i,-0.00018282-0.0018101i,0.00043131+0.000315i,0.0016338+0.0016622i,0.0010167+0.00092221i,0.00010864+0.00053694i,0.00025898+0.0008637i,0.00065607+0.00063856i,0.00040105+0.00032764i,-0.00012618+0.0001349i,-4.6075e-05+0.00049719i,1.3044e-05+0.00091875i,-0.00054695+0.00060195i,-0.00090379+7.8168e-06i,-0.0005479-4.8128e-05i,-0.00057737+0.00021021i,-0.00044781+0.00059877i,-3.5852e-05+0.00034274i,-0.00063467-0.00030017i,-0.0013126-0.00034942i,-0.0007515-0.00038105i
0.0021471+2.2453e-05i,0.0026912+4.3e-05i,0.0027354+0.00016719i,0.001177-0.00039322i,0.00034034-0.00080827i,0.0012646-0.00046439i,0.00081891+0.00044981i,0.00049667+0.0009795i,0.0013791+0.00064334i,0.0012192+0.0002194i,0.00032205+0.00056744i,-0.00050619+0.00015351i,-0.00013479-0.00034656i,0.00066849+1.6933e-07i,0.00033123+8.8416e-05i,-0.00011789+4.4487e-05i,-0.00062902+5.8631e-05i,-0.00073746+0.00032962i,0.00027395+0.00016944i,0.00027045+0.00021001i,-0.00055138-0.00010247i,-0.00024942-0.00015146i,0.00038077+9.4995e-05i
0.0014403+0.00079027i,0.0018583-0.0012429i,0.0022109-0.0018085i,0.0022611-0.0010479i,0.0018757-0.00021608i,0.0010065+0.0006125i,0.00082822+0.0011657i,0.0010957+0.00043242i,0.00085686-0.00014932i,0.00021896-0.00056973i,-0.00083783-0.00093846i,-0.0012398-0.00087929i,-0.00069453-0.00075582i,-5.9613e-05-0.00027256i,-0.00025752+0.00010533i,-0.00083576+0.00052433i,-0.0010014+0.00016224i,-0.00051648-0.0005927i,0.00052397-0.0006255i,4.2597e-05-0.00024878i,-0.0006581-0.00051312i,0.00044465-0.0010303i,0.00067258-0.00093358i
0.0016808+0.0010601i,0.001718-0.00030243i,0.001609-0.0013661i,0.0013594-0.0013617i,0.0012911-0.00021619i,0.00095963+0.00029803i,0.00025448+0.0006327i,3.7408e-06+0.00037938i,-0.0001115-0.00027461i,-0.00044662-0.00027433i,-0.00049775+4.3278e-05i,-0.00061187+0.00047448i,-0.00024079+0.00028438i,0.00065783+0.00012351i,0.000342+0.00089294i,-0.0010179+0.00078248i,-0.0014077-0.00044432i,-0.00093697-0.00084164i,-0.00030816-0.00075999i,0.00035265-0.00026504i,-0.00012109+0.00035615i,-0.00022994-8.5683e-05i,-3.1868e-05-3.059e-05i
0.0012056-0.00045081i,0.00072079-0.0011923i,0.0002951-0.0016773i,-0.00051124-0.0011844i,-0.00067614-0.00022317i,-0.00061051+0.00093242i,-0.001128+0.00069577i,-7.5737e-05-2.014e-05i,0.00041071-9.0614e-05i,-0.00091203+0.00024393i,-0.0018305-7.2957e-05i,-0.0015724+0.0003343i,-0.00016116+0.00075525i,0.00036231+0.00015632i,-2.9138e-06-5.4486e-05i,4.7325e-05+0.00048202i,9.5595e-05+0.0010803i,-0.00031318+0.001313i,-0.00037067+0.00057547i,0.00034106-0.00083045i,0.00039937-0.00072321i,1.1791e-05-0.00012803i,-0.00018188-0.00030584i
-0.00018424+0.00097364i,0.00079735+0.00090993i,0.0028967+0.00075267i,0.0033914+0.0008066i,0.0013674+0.0017639i,0.00023254+0.0019128i,-0.00032092+0.0016758i,-0.00041403+0.0014631i,0.00054255+0.0010883i,0.0011364+0.0009375i,0.00097874+0.0011074i,0.00083218+0.00134i,0.00028785+0.00070781i,-2.1871e-05-0.00037943i,0.0005293-0.00033418i,0.0001973+0.0008048i,-8.8997e-05+0.00057081i,0.0005312-0.00074213i,0.001008-0.00087855i,0.00038757+4.3935e-05i,0.00039226+5.9211e-05i,0.00078729-0.00049772i,0.00066657-0.00050506i
-0.00058784-0.00063185i,-0.0020933-0.0018446i,-0.002812-0.001521i,-0.0015493-0.0002562i,0.00035358+0.0003814i,0.00094821-0.00015088i,0.00045553-0.00021784i,3.0933e-05+0.0005181i,0.000598+0.0010803i,0.0009006+0.0012927i,0.00091572+0.00065385i,0.0013864+0.00024428i,0.0014682+0.00032498i,0.0014086+0.00047417i,0.00063803+0.0010046i,-4.3913e-05+0.00093615i,-1.7123e-05+0.00026362i,-0.0005246+0.00028796i,-0.00033666+0.00063317i,0.00049631+0.00094616i,0.00046085+0.00047098i,-0.00028064-0.00074079i,-0.0010703-0.00078364i
0.00049603-0.00076148i,0.00068208+0.00023024i,0.00053896+0.00094742i,0.00040958+0.0013254i,-0.00096488+0.0018173i,-0.0017731+0.0016854i,-0.00068997+0.0014325i,-0.00011299+0.00074609i,-4.5251e-05-0.00012093i,7.5476e-05-0.00059369i,0.00078514-0.00088324i,0.00076965-0.00070281i,0.00029614-0.00071207i,0.00047726-0.00020302i,0.00024057+0.00040494i,-0.00034246+9.3727e-05i,-0.00054828+0.00042739i,-0.00040492+0.00054374i,-0.00014147+0.00066177i,-0.00021837+0.00084183i,-0.0005484+0.00075867i,-0.00023466+0.00080622i,-0.00013253+0.00039035i
-0.0016483+0.000593i,0.00021456-0.00024572i,0.002496+0.00024327i,0.0035592+0.00068536i,0.0033902+0.00085692i,0.0025687+0.0011117i,0.0005953+0.0014422i,-0.00024527+0.0016007i,-0.00031363+0.0013309i,-0.00094043+0.00090121i,-0.00077074+0.00041505i,-0.00022136-0.00070197i,0.00019282-0.0012102i,0.00039667-0.00064948i,-0.0003244-0.00024831i,-0.00049604+0.0002953i,0.00077759+0.0006708i,0.0020126-9.0749e-05i,0.00068138-0.00038588i,-0.00078413-0.00054514i,-0.00069375-0.00071614i,-0.00088358-0.00049468i,-0.00081005-0.00038321i
-7.0786e-05-0.0010518i,0.00063744-0.0010921i,-0.00047882-0.0011982i,-0.00017539-0.00062204i,0.00075743-6.5308e-05i,0.0011772-0.00014155i,0.00073045+9.7758e-05i,0.00099949+0.0006535i,0.0013764+0.00044069i,0.00053923+1.328e-05i,-0.00040594-0.00067154i,-0.0014178-0.00055008i,-0.0020261+0.00024018i,-0.0014036+0.00018553i,-0.00051331-0.00030493i,2.1637e-05-0.00046699i,6.887e-05-0.00038379i,0.00039801-0.00062064i,0.00051053-0.00056258i,0.00046847+4.4987e-05i,0.0010663+0.00030676i,0.00084721+0.00018279i,-0.0003714-0.00055736i
0.00084376+0.00065404i,0.001115+0.00043657i,0.0013295-0.00015042i,0.0016327-0.0010051i,0.0014649+1.1486e-05i,0.00058626+0.00088318i,0.00018617+0.0011709i,1.3841e-05+0.0013559i,0.00046618+0.001602i,0.00087603+0.0015951i,0.00059673+0.0011283i,0.00021714+0.00050857i,-0.00011036-0.00014643i,0.0001183+5.9092e-05i,0.00058825+0.00023405i,0.00081401-2.3355e-05i,0.00010883+0.00013031i,-5.4089e-05-1.298e-05i,-0.00011287-0.00024043i,-0.00030051-0.00051702i,8.2274e-05-0.00075465i,0.00070731-0.0006951i,0.0002594-0.00018326i
0.0013032-0.0017074i,0.0013465-0.001414i,0.0013629-0.0021135i,-0.0001319-0.0014652i,-0.00059602+0.00045193i,-0.00044588+0.0014708i,8.8836e-06+0.00080044i,0.00011448-9.1951e-05i,-0.00014528+0.00014722i,-0.00085952-0.00020495i,-0.0015989-0.00024987i,-0.0010979+0.00017541i,-0.00062511+0.00066238i,-0.00070787+0.00038301i,-0.00026394-0.00045159i,-0.0003268-0.00056588i,-0.00034631-1.6564e-05i,-0.00015052-0.00015895i,3.7203e-06-1.2773e-05i,-7.5002e-05+0.00017884i,-0.00043653-0.00050289i,-3.454e-05-0.00077003i,0.00032634+6.6389e-05i
0.0011417+0.00068176i,0.0006836+0.00089725i,0.00052305+0.00088385i,0.00096199+0.00081485i,0.0013438+0.00061898i,0.0019467+0.00076711i,0.0015136+0.00050445i,0.00032771+8.1314e-05i,0.0003892+0.00047763i,0.00067897+0.00047932i,0.00069868+0.00037847i,0.00063069+0.00046778i,0.00024053+0.00043523i,-0.00033287+0.00027392i,0.00013218-0.00044392i,0.00051569-9.8728e-05i,0.00016083+0.0009028i,0.00028564+0.00080201i,-6.1053e-05+0.00011004i,-1.5363e-05-3.5125e-06i,0.00050708-1.9008e-05i,0.00034891-0.00064537i,4.568e-05-0.00083923i
0.00099903+0.00026959i,0.0012375-0.0006324i,0.0020565-0.0016575i,0.0019512-0.0016005i,0.0011566-0.0014665i,-5.1648e-05-0.00074498i,-0.00067269+0.00051931i,0.00022986+0.00080086i,0.00073291-0.00022998i,0.00018663-0.00094526i,-0.00051036-0.0013219i,-0.00032568-0.0010111i,0.00033044+0.00047581i,0.00030393+0.00053743i,0.00025105-7.571e-05i,0.00038675+0.00042519i,-0.00017521+0.00049269i,-0.00097419-4.9162e-05i,-0.0011068-0.00023901i,6.4723e-05-0.00064836i,0.00073054-0.0010018i,0.00049867-0.0010908i,0.00021402-1.5122e-05i
0.00039061+0.00071271i,-0.00029237+0.00077833i,-9.1662e-07+0.00048496i,0.00058632+0.00013363i,0.00078088-3.011e-05i,0.00056003+0.00071162i,0.00040403+0.0010704i,0.00023932+0.00022578i,-0.00059175-0.00049113i,-0.001311-0.00047414i,-0.001135-0.00016659i,-0.00066735-9.6551e-05i,-0.00063691+0.00019886i,-0.00024603+0.00030918i,-8.8301e-05+6.2797e-05i,-0.00056609+0.00020457i,-0.0010144+0.00074975i,-0.0006996+0.0010791i,-0.00055621+0.001328i,-8.3897e-05+0.00053154i,0.000252+9.9805e-06i,0.00042818+0.00041315i,0.0008255+0.00069872i
0.0018416+0.00041221i,0.0023209-0.00039607i,0.0020291-0.0021829i,0.0011293-0.0020599i,0.00092393-5.826e-05i,0.001062+0.0013541i,0.00071255+0.001049i,0.00046038+0.00079296i,-0.00025961+0.00085433i,-0.00014048+0.0010926i,-0.00013527+0.00080612i,-0.00011143+0.00069316i,0.00015705+0.0011298i,5.7561e-05+0.0011051i,-0.00015602+0.00040712i,-0.00085552-0.00043138i,-0.0013025-0.0003126i,-0.00076475+0.0003278i,-0.00011964-3.6525e-05i,-8.4288e-05-0.00084249i,0.00021542-0.00073504i,0.00028282+0.00010055i,-9.3866e-05+0.00061691i
0.00090144-0.0011544i,-5.7235e-06-0.0014256i,-0.00076859-0.0018304i,-0.0015093-0.00087121i,-0.0013205+0.00034364i,-0.00050871+0.00059776i,-0.00031877+0.00064472i,0.00026162+3.2555e-05i,0.0013605-0.00025237i,0.0011106+0.00037847i,0.00027739+0.0004147i,0.00052078+0.00069832i,0.00044625+0.0010709i,0.0001377+0.00068806i,0.00033042+0.00042824i,0.0001463+0.00033085i,0.00061729+0.00074792i,0.00074562+0.0012917i,0.00030434+0.00073016i,-0.00034877+0.00061021i,-0.0010092+0.0012994i,-0.00084965+0.00092149i,-0.00027177+0.00017961i
8.9341e-05-0.0014291i,0.0011345-0.00049574i,0.0014428-0.00028587i,0.0011393-1.8661e-05i,7.7467e-05+0.0011591i,-0.00050252+0.0016365i,-0.00075133+0.00085096i,-0.00056759+0.00050285i,-0.00022954+0.00071474i,-0.00030889+0.00094488i,-0.00038627+0.0016272i,0.00026276+0.0018718i,0.00073592+0.0014002i,-2.2391e-05+0.0011483i,-0.00071635+0.00065591i,-0.00081075-1.1152e-05i,-0.00056713+0.00026979i,-5.9916e-06+0.00047473i,0.00067642+0.00056376i,0.00043304+0.0010685i,0.0004661+0.00089953i,0.00088018-2.4727e-06i,0.0012355-0.00022337i
-0.00065247-0.0012631i,-0.00097859-0.0029391i,0.00019783-0.0042632i,0.00099866-0.0028802i,0.001046-0.00097298i,0.0013692-0.00031789i,0.0011674+5.9639e-05i,-0.00032051+0.0003765i,-1.8045e-05+0.00031632i,0.0011263+0.00080811i,0.00057843+0.00098802i,-0.0002819-0.00011752i,-0.00022084-0.00038613i,-0.00018298-0.00011261i,0.00011664+0.0004105i,0.00067649+0.0006234i,0.00061124+0.00073631i,0.00073021+0.00057148i,0.00050887+0.00054869i,0.00050252+0.00082519i,0.00040168+0.00053774i,0.00037121+0.00046711i,0.00011438+0.00074326i
0.0017292-0.00082181i,0.0015397-4.5615e-05i,0.0006366-0.000383i,0.0001987-0.00076735i,-0.00038695-0.00031883i,-0.0011944+0.00058812i,-0.00092439+3.2758e-05i,-0.00024007-0.00052382i,-0.00049427-0.00067256i,-0.0009318-0.0010053i,-0.00056338-0.00076294i,-0.00053299-0.00054959i,-0.00070041-0.00023613i,-0.00023531+0.00018708i,-0.00054898-0.00011153i,-0.00049909-0.00026283i,0.00015173+0.0006055i,0.00067251+0.00062734i,0.00089167+0.00035637i,0.00073195-0.00010798i,0.00015299-0.00040666i,-6.4139e-05+0.00021616i,-0.00019349+0.00058709i
0.0012572-0.0026326i,0.0027067-0.0038744i,0.002232-0.0030096i,0.0012223-0.0011344i,0.00056892+0.0006612i,0.00039682+0.0017432i,0.00041667+0.0015921i,-9.8678e-05+0.0018999i,0.00026251+0.0019604i,0.00042212+0.0015327i,0.00017088+0.0010448i,-0.00051431+0.00032918i,-0.00063371-0.00029287i,5.3937e-05-0.00022032i,0.0010765+0.00025604i,0.00096695+0.00095418i,-1.8361e-05+0.0014342i,-0.00020528+0.00097703i,0.00019042+0.00029014i,-8.6088e-07+0.00051768i,-0.000793+0.00087263i,-0.00066696-0.00015248i,-0.00061136-0.00010117i
0.0010331+0.00082609i,0.00072439+0.00076286i,0.00055495-0.00076776i,-0.00012724-0.00015198i,-0.00054404+0.0014505i,0.0005475+0.0013213i,0.00087197+0.00067563i,6.1547e-05+0.00073908i,-0.00091626+0.00045192i,-0.00057198-0.00017136i,-0.00068285+0.00016633i,-0.00051518+0.0014242i,-3.533e-05+0.0015138i,-0.00056518+0.00091194i,-0.00065708+0.00072694i,-0.00035867+0.0011829i,-0.00034967+0.0013878i,-0.00033545+0.00073295i,-5.0511e-05+0.0001345i,8.0606e-05-0.00045474i,4.7237e-05-0.00029705i,-0.00030502-9.2276e-05i,-3.1471e-05-0.00026695i
0.0011668+0.00033985i,0.0013194-0.00054275i,0.001549-0.0004171i,0.001087+0.0004998i,0.00072577+0.00030444i,0.0008067-2.3628e-05i,0.00027953-3.0583e-05i,-0.00021269+0.00011182i,0.00017237-5.9965e-05i,4.2917e-05+0.00014428i,-0.00025013+0.0002441i,0.00035418-0.00013974i,0.00075059+0.00029689i,0.0001372+0.00029422i,-2.803e-05-0.00058071i,0.00030645-0.00022929i,0.00049419+0.00035942i,0.00049555-0.00039693i,0.00027159-0.00062716i,0.00052894-8.0399e-05i,0.00084215+6.0757e-05i,0.0010625-0.00020152i,0.00099956-0.00021728i
-0.00096658+0.0010567i,-0.00123+0.0012495i,0.00028427+0.00021014i,0.0019022-0.00065603i,0.0023108-0.00059843i,0.001133-0.00024162i,0.00010782+0.00010689i,0.00032694+0.0004074i,0.00050653+0.00072772i,0.00051527+0.00050312i,0.00052873-0.00040485i,0.00058605-0.00062288i,9.2847e-05+3.9613e-05i,-0.00095318-8.26e-05i,-0.0009334-0.00022781i,9.6093e-05+0.00030683i,-0.00017665+0.0012435i,-0.00051814+0.0015086i,-9.8769e-05+0.0010521i,0.00018014+0.00052248i,7.2752e-05-0.00023755i,-0.00021711-0.00044092i,-0.00032322-0.00018361i
-0.00013142+0.00024156i,0.0005907+0.00043362i,0.0013595+0.00065687i,0.0021483+0.0021395i,0.0023746+0.0025715i,0.0024179+0.00081534i,0.0015723-3.6305e-05i,0.00062647-5.9861e-05i,0.00039567+0.00050532i,0.00047718+0.00065371i,0.00035144-0.0002769i,-0.00032483-0.00084784i,-0.00058164-0.00064657i,-0.00051974-0.00027572i,-0.00029562+0.00026378i,0.00010764+0.00080717i,-3.8423e-05+0.00052028i,-0.00071012-0.00010935i,-0.0010001-0.00051865i,-0.00023541-0.00071908i,0.00016959-0.00060686i,8.5842e-05-0.0010371i,0.00025012-0.0013036i
-0.0011552-0.0025404i,-0.0010252-0.002267i,-0.0010906-0.0014833i,-0.00079688+0.00022177i,-0.00010431+0.0010643i,0.00025138+0.0009096i,0.00023588+0.0006676i,0.00064302+0.00068303i,0.0006453+0.00041162i,0.00010292+0.00034083i,-0.00025581+0.0012953i,6.2378e-05+0.0015147i,2.2765e-05+0.0010775i,-0.00045158+0.00061157i,-7.1559e-05+0.00026929i,0.00046979+0.00014074i,3.6065e-05+0.00016728i,-0.0002647+0.00010725i,0.00057861+4.892e-06i,0.00026985+0.00017235i,-0.00044415-0.00040883i,0.00024839-0.00095431i,0.00026869-0.00095732i
-0.00016407-0.00047509i,0.00097482-0.0001494i,0.0016877-0.00037046i,0.0014556+3.6746e-05i,0.0013606+0.0014425i,0.0010991+0.0019941i,0.0006872+0.00079461i,0.0008584+0.0005437i,0.00071412+0.0017142i,-0.00015328+0.0017079i,-0.00080273+0.00023622i,-0.00035782-1.0518e-05i,0.0005302+0.00065213i,0.00041296+0.00069993i,4.9232e-05+0.00049135i,-0.0001647+0.00040281i,-0.00043395+0.00060203i,-0.00042291+0.00040152i,-8.2651e-05+0.00018385i,-0.0004994+0.00010425i,-0.00077726-1.5359e-05i,-0.00034377+0.00075263i,-8.61e-05+0.0011229i
0.0017052-0.00053125i,0.0012526-0.0014021i,0.0026645-0.0025095i,0.0014326-0.0012214i,-0.00027671-0.00058237i,-0.00063529-0.00081778i,-0.00092076-0.00029172i,-0.00041608+0.00056991i,0.00040719+3.9603e-05i,0.00031705-0.00030126i,-0.00036991+0.0005801i,-0.00036672+0.0010174i,-0.00018445+0.00047876i,-0.00030109-0.00088931i,0.00010079-0.0011852i,0.00026386-0.00031334i,-0.00033735-0.00051559i,-0.00069946-9.2644e-05i,-0.00049482+0.00080071i,0.00017288+0.0006069i,0.00044213+0.00096449i,0.00063313+0.0017429i,0.00083039+0.001061i
-0.00022923+0.0018003i,0.00029136+0.0014846i,0.0013369+0.00086381i,0.0010815+0.00054802i,0.0006548+0.00083506i,0.00098872+0.00073046i,0.00077089+0.00081527i,0.00016599+0.0011497i,0.00041146+0.0011584i,0.00072607+0.00095621i,0.001118-0.00030075i,0.0014724-0.00092684i,0.00097428-0.0006164i,0.00031815-6.5478e-06i,0.00019449+0.00045202i,-0.00012169+0.00029083i,0.00018213-0.00061303i,0.00061531-0.00088977i,0.00016943-0.001034i,-0.00017926-0.00092354i,-0.00011914-5.4474e-06i,-0.00034405+0.0007973i,0.00043829+0.00078718i
