-0.0017528-0.0010924i,-0.0012678-0.0021428i,-0.0012891-0.0019878i,-0.0013003-0.00094658i,-0.0015135+0.00042361i,-0.00099502+0.0015845i,0.00024745+0.0020442i,0.00142+0.0016983i,0.002543+0.0015907i,0.0020485+0.00042803i,0.00037362-0.00049337i,-0.00016843-0.0010802i,-3.5889e-05-0.0014451i,-0.00021702-0.0010119i,-0.00024308-0.0008077i,-4.6742e-05-0.00062816i,8.2816e-05-0.00043994i,0.00033-0.00014824i,0.00078491-9.477e-05i,0.00088521-0.0003449i,0.00043449-0.00032182i,0.00016003+0.00050988i,0.00017856+0.00094071i
0.00029911+0.00022449i,0.00076046-0.00043605i,0.0016775-0.00013997i,0.0013449-0.00011413i,0.00025067+0.00021354i,-0.0010647+0.00053276i,-0.000825+0.00090493i,-5.5352e-05+0.00028329i,0.00029725-0.00058576i,-3.6962e-05-0.00037395i,-0.00034298+8.0671e-05i,-0.00065861+0.00030951i,-0.00023573+0.00060383i,0.00015358+0.00094355i,-0.00068117+0.0001476i,-0.00026509-0.00019019i,0.00054004-0.00018902i,0.00044502-0.00071021i,0.00050778-0.0012173i,0.00028258-0.00088194i,-8.106e-05+7.453e-05i,-0.000461-3.4368e-05i,-0.00072309-0.00030846i
-0.00045077-0.0010038i,6.1778e-05-0.00091824i,0.00019152-0.0012031i,-6.1649e-05-0.0011792i,-0.00062844-0.00013707i,-0.00064826+0.00060521i,-0.0002254+0.00074767i,0.00021683+0.00051256i,0.00029185+0.00032326i,0.00012578+0.00047372i,0.00067014+0.00050902i,0.00081828-7.6227e-05i,0.00076602-0.00013584i,0.00056346+0.00035999i,0.00036656+0.00078507i,0.00064636+0.00050571i,0.00055055+2.126e-05i,2.4443e-05+6.0846e-05i,-0.00071171-0.00035925i,-0.00075465-0.00066988i,-0.00022516-0.00018159i,-7.7663e-05+0.00030007i,0.00020271+0.00018942i
0.00028469-0.0011543i,0.00037832-0.0014439i,0.00054839-0.00041114i,0.00041229+0.00029095i,0.00070103-0.00053215i,0.00011725-0.00051262i,-0.00057926-8.2127e-05i,0.00015404-9.3833e-05i,0.001408-0.00018204i,0.0012558-5.1544e-05i,0.00054914+0.00015068i,0.00027736-0.00061513i,6.9808e-05-0.00046991i,0.00033378-0.00077222i,0.00040674-0.00084458i,-0.00023989-0.00027211i,-0.00034575-0.000237i,-0.00014069-0.00048571i,-0.00015069-0.00064696i,-0.00024901-0.00017288i,-0.00033237+8.1506e-05i,4.5864e-05-0.00014233i,-0.00033609+0.00023252i
0.0019112-0.00043536i,0.0021267-0.00063564i,0.0012861-0.0011588i,0.00017784-0.0011949i,-0.00020315-0.00010716i,-0.00017566+0.0014426i,0.00047054+0.0017457i,0.0018211+0.00090199i,0.0017368+0.00012883i,0.00084293-0.0006744i,6.4103e-05-0.00062213i,-0.00040736+6.529e-05i,0.00022015+0.00039059i,0.00072867+0.0010158i,-3.1403e-05+0.0015265i,5.2989e-05+0.00050908i,0.00014007-0.00022252i,-0.00013864+0.00025899i,0.00033562+0.00070329i,0.00042341+0.00052053i,0.00033522-0.00017171i,0.00087007-0.00024003i,0.00026925-0.00078182i
0.00042874+0.0020885i,0.0016421+0.0013191i,0.0028323+0.00097764i,0.0022933+0.00047134i,0.001233-0.00053157i,-0.0001779-0.00052004i,-0.0011034+0.00039363i,-0.00077103+0.00081604i,-0.00063713+0.00079352i,-0.00052366+0.00025874i,-3.6801e-05-0.00031387i,0.0003781-0.00010906i,-0.0001812+0.00021785i,-0.00094847-3.5597e-05i,-0.00062319-0.00020698i,0.00031253-6.957e-05i,9.1957e-06+0.0001811i,-0.00059128-8.3395e-05i,-0.00051521-0.00038057i,-0.00024915-0.00043706i,-0.00060993-0.00021258i,-0.00073061-0.00034521i,-0.00073837-5.2523e-06i
-0.00036087+0.00067866i,0.0013507+0.00024701i,0.0019395-0.0012463i,0.0012024-0.0011285i,0.00049354+0.00010614i,0.00034167+0.0009622i,-1.4742e-05+0.0016093i,-0.00037083+0.0010917i,-0.00035541-0.00011402i,-0.00053253+0.00017557i,0.00025222+0.00057788i,0.00023549+0.00028412i,-9.269e-05+0.00099314i,-0.00062417+0.0010107i,-0.0014839+3.494e-05i,-0.00067776-6.075e-05i,0.00061089+0.00016258i,0.00028205+0.00039465i,-0.00095772+0.00050749i,-0.00058919+0.00025478i,-0.00015956-0.00030137i,0.00021674-0.00012734i,0.00061899+0.00033051i
-0.00065503-0.00058789i,-0.00081143-0.00099383i,-0.0017585-0.00082753i,-0.0019171-0.00014632i,-0.00098028+0.00027674i,-0.0011132+0.00025114i,-0.00073035+0.00021742i,0.00058274+0.00049615i,0.0005514+0.00084278i,0.00030119+0.00045653i,0.00091589-0.00043159i,0.0010354-0.00037432i,0.00036283+0.00035697i,-0.00012968+0.00037356i,-9.3657e-05-0.00049569i,7.2937e-05-7.6168e-05i,-0.00017909+0.00056279i,1.164e-05-6.4063e-05i,8.4228e-05-0.00012657i,0.00028766-0.00065866i,0.0006805-0.00050776i,0.00081226+0.00035074i,0.00093351+0.0010972i
0.00070872-0.0021733i,0.00071847-0.0016807i,0.00042239-0.00059869i,-4.9801e-05+0.00026991i,-0.00097645+0.0011343i,-0.0015043+0.0020989i,-0.00074909+0.0020255i,0.00015972+0.0014375i,0.00087122+0.00056872i,0.00062467-0.00044577i,-7.815e-05-5.0786e-05i,-0.00026606+0.00078929i,-8.7002e-06+0.0014125i,-5.8324e-05+0.0016055i,-0.00068229+0.0009305i,-0.00056087+0.00065753i,-0.00073401+0.00063636i,-0.0012878-3.2012e-05i,-0.00039417-0.00013537i,0.00079254+0.0012659i,0.00022151+0.0018416i,7.4687e-05+0.00055587i,0.00028314-7.1422e-05i
0.00052452+0.00042596i,0.00030606+0.00065953i,0.00098404-0.00023103i,0.001209-0.0013069i,0.0012126-0.0014226i,0.0014318+6.6747e-05i,0.00021917+0.0015545i,-0.00070717+0.0012737i,-0.00059853+0.00053692i,-0.00035299-9.7046e-05i,-0.00024956-0.00029858i,-0.0007686-0.00019849i,-0.00087973-0.00017957i,-0.00045946-0.00069249i,-0.0004937-0.00076441i,-0.00030891-7.5374e-05i,-6.4723e-05+7.4144e-05i,-0.00038036-3.0134e-05i,-0.00040561-0.00016933i,-0.00028236-0.00051078i,-0.00018696-5.2541e-05i,0.00046294+0.00036902i,0.00046892+0.00049329i
0.0006266-0.0016919i,0.00020491-0.0021794i,5.9933e-05-0.0018669i,-0.00042937-0.00051211i,-0.0010754+0.00053511i,-0.0013343+0.00047537i,-0.0011611+0.00027866i,0.0002628+0.00015439i,0.00099381-0.00027299i,0.00099664-0.0007129i,0.00082107-0.00066278i,0.00019332-0.00041287i,0.00035445-0.00039171i,0.00069799-0.00029746i,0.00058137+1.829e-05i,0.0002771+0.00045386i,0.00024585+0.00071254i,8.1785e-05+0.00079108i,0.00010049+0.00054404i,0.00057048+0.0002394i,0.00028637-0.0006158i,0.00017829-0.0010021i,0.00075421-0.00080989i
0.00025308-0.0001192i,0.0019222+0.00062951i,0.00069703+0.00076708i,-0.00023133-3.5195e-05i,-0.00014774+0.00069503i,-0.00093895+0.00099922i,-0.0010865+0.00066894i,8.8019e-05+0.00072988i,0.00054598+0.00020026i,-0.0001861-0.00027994i,-3.3687e-05-0.00042i,-0.00012319-0.00023493i,-0.00026651-0.00027035i,0.00061761-0.00079763i,0.00081573-0.0005912i,0.00030493+5.4175e-05i,0.00037125+0.00074788i,0.00040869+0.00011643i,-6.8509e-05-0.00092845i,-0.0010741-0.00099397i,-0.00075833-0.00068626i,-0.00014297+0.00026226i,-0.00047168+0.00093211i
-0.00032228+0.0016525i,0.00095144+0.001066i,0.0018771+0.00064189i,0.002015+0.00055421i,0.00081385+0.0003339i,-0.00053598+0.00081426i,-0.00067382+0.0018334i,-0.00015473+0.0018447i,0.00035083+0.0011127i,6.1669e-05+0.0010282i,9.2196e-06+0.00031449i,-0.00043414-0.00021466i,-0.00017306+4.5661e-05i,0.0010413-0.00017118i,0.00067935-0.00088201i,0.00019487-0.00061435i,0.00018237-0.0006152i,9.5961e-06-0.00070454i,-0.00092896+0.0001005i,-0.0014+0.00026192i,-0.00052283+1.4744e-05i,0.00021294-0.00017798i,0.00062+1.537e-05i
-0.00080318-0.00073152i,0.00057172-5.2907e-05i,8.0912e-05-0.00018618i,-0.0014415-0.0007471i,-0.0013366-0.00068079i,-0.00076336+7.1966e-05i,-0.0005217+0.00072805i,-0.0002374+0.0008014i,0.00073093+0.0006697i,0.00036674+0.00068618i,-0.00021128+8.6754e-05i,0.00054894-0.00028768i,0.00089612-0.00021777i,0.00041974+0.00015758i,-0.00028082+0.00070299i,-0.00038025+0.00070435i,0.0002289+0.00031277i,0.00026086+0.00029595i,-0.00011508-4.0484e-05i,-0.00029408-5.8236e-05i,-0.00038395+0.00024199i,-0.00050952+5.7728e-05i,-0.00032236-0.00052341i
-4.7184e-05+0.0008028i,0.00086707+0.00043648i,0.0015533-0.00033396i,0.00053575-0.00073493i,-0.0005961+0.00051193i,-0.00098087+0.001372i,-0.00070161+0.0015422i,-0.000187+0.0012447i,0.00084166+0.00010179i,0.001419-0.00059589i,0.0009445-0.00027847i,2.0951e-05-0.00025101i,-0.00023265-0.00013013i,0.00030478+0.0006804i,0.00037342+0.00094593i,-5.2778e-05+0.00092561i,-0.00027753+0.00081411i,0.00028497-0.00034008i,0.00091552-0.0010227i,0.00050547-0.00090481i,0.00048909-0.00042598i,0.00046237+0.00060628i,-0.00026302+0.00099858i
-0.00054998+0.001291i,0.00038501+0.00045413i,0.001814-0.00028167i,0.0018038-0.00075151i,0.00029324-0.00078842i,-0.00053609+8.6246e-05i,-0.00068564+0.00074373i,-0.0011793+0.00095407i,-0.00086376+0.0010106i,0.00057558+0.00044841i,0.00087815-4.2994e-05i,0.00034275-0.00020344i,0.00018914-0.00091943i,0.00020853-0.0011289i,-0.00018034-0.00064301i,-0.00055513-7.4255e-05i,-0.00023436+0.00026641i,-0.00010436+3.5162e-05i,-0.00060446+0.00020153i,-0.001026+0.00019827i,-0.0012797-0.00014767i,-0.00063842-0.00026166i,0.00057651-0.00022824i
0.001867-7.6723e-05i,0.002447-0.00012782i,0.0019918-0.00091187i,0.0010299-0.0014357i,0.00057645-0.001121i,-0.00047746-1.883e-05i,-0.00061764+0.00081945i,4.5742e-05+0.00081876i,0.00040934+0.00043808i,0.00092248+0.00023406i,0.00046126+0.00034904i,-0.00062687+0.00025453i,-0.00055412+0.00036853i,-0.00033821+0.001448i,-0.0003333+0.0013738i,-0.00049949+9.1838e-05i,-0.00033244-0.00073294i,0.00020097-0.00065493i,-0.00028643-0.00044899i,-0.00044621-0.00045903i,0.0002992-0.00014235i,0.00011502+2.1758e-05i,2.4939e-05-9.6125e-05i
0.00042807+0.00088123i,0.000895-0.00012152i,0.00094762-0.00070769i,0.00061478-0.0010103i,-0.00029414-0.001481i,-0.0010632-0.0013839i,-0.0012097+1.4852e-05i,-0.0003765+0.00078979i,0.00017265+0.00082161i,0.00049238+0.0010077i,0.00067554+0.00093425i,6.2878e-05+1.5424e-05i,-0.00035882-0.00063944i,-0.00025455-0.00061959i,3.9284e-05-0.00045599i,0.00018907+0.00064922i,-0.00025549+0.0010036i,-0.00035135+0.00098655i,-0.00010549+0.0008131i,-4.3141e-06+4.8461e-05i,-0.00020027-0.00068149i,-0.00031027-0.00010602i,-0.00029133+0.00076539i
-0.00071329+0.0010859i,6.5624e-05+0.00072803i,0.0005624+5.9942e-05i,0.00016535+0.00041896i,-0.00042924+0.00074789i,-0.00086319+0.00036862i,-0.0011968+0.00065864i,-0.0010651+0.0011875i,-0.00052067+0.0010459i,-4.8475e-05+0.00085232i,0.00022961+5.2387e-05i,0.00070453-0.00065819i,0.00069809-0.00069772i,9.1331e-05-0.00062255i,-0.00030544-0.00064136i,-0.00059788+4.3891e-06i,-0.00041365+0.00065334i,-0.00058829+0.00027845i,-0.00072437+9.6363e-05i,-0.00032185+0.00037716i,-0.00033659+0.00028214i,-0.00046842+8.1585e-05i,-0.00026658+4.0481e-06i
0.00018866+0.00014904i,0.00085037-0.00036469i,0.00041746-0.00035034i,3.7031e-05-0.00032675i,0.00020491+0.00014498i,-0.00089997+0.00046818i,-0.0010401+0.00063589i,0.00027342+0.0014142i,0.00049745+0.00073202i,0.00028268-0.00051968i,0.00071218-0.00029984i,0.00056479+0.00031816i,-0.00012386+0.0001173i,0.00019776-0.0007883i,0.00015906-0.0010807i,-0.00011098-0.001079i,0.00014413-0.00085161i,-9.8159e-05-0.00052585i,-0.00018918-5.4764e-06i,-0.00050761-0.0001319i,-0.00017384-0.00045194i,7.8126e-05-0.0008828i,-0.00030999-0.00080661i
0.00069167+0.0013181i,0.0018533+0.0015908i,0.0027033+0.00039828i,0.0016072-0.00049677i,0.00022556-8.6678e-05i,0.00012384+0.00063354i,0.00020787+0.0010041i,4.1347e-05+0.00080143i,-0.00084514+0.00071976i,-0.00099729+0.00033444i,-0.00056798-0.000596i,-0.00074568-0.00088649i,-5.6873e-05-0.00017759i,0.00048638+0.0001818i,0.00010218-0.00036627i,7.9595e-05+0.00017128i,-0.00028294+0.00058357i,-0.00063627+5.81e-06i,7.0637e-06-0.00030622i,0.0012472+4.3065e-05i,0.0016916+0.0010258i,0.0011372+0.0012588i,0.00038282+0.00041485i
-0.0012041+0.00047175i,0.00024018-0.00028192i,0.0005158-0.00049589i,-3.2711e-05-0.00051504i,0.00034204-7.7638e-05i,0.00058731-6.6233e-05i,0.00060929+2.0833e-05i,0.00012961+0.00027806i,-0.0004008+0.00028785i,-0.00014278+0.0009172i,0.0006274+0.00069667i,0.00060959-0.00021474i,-4.654e-05-0.00056553i,0.00033806-0.00086763i,0.00051387-0.00071801i,0.00031567-5.1427e-05i,0.00028253-0.00042621i,-0.00050344-0.00084959i,-0.0006915-0.00038932i,0.00032167-0.00033689i,0.00064517-8.201e-05i,0.0010123+0.00093885i,0.0011111+0.00086141i
0.0014123-0.00037456i,0.0010678-0.00070614i,0.00092069-0.001493i,0.00031508-0.0013636i,-0.00033616-6.5717e-05i,-0.00072147+0.0009562i,-0.00044618+0.0013872i,0.00024704+0.001121i,0.00043609+0.00052421i,5.0528e-05-1.4142e-05i,1.4253e-06-0.00012373i,0.0002452+0.00040665i,-5.6467e-05+0.00052674i,-0.0002899+0.00077108i,-0.00012+0.00089185i,-0.0004789+0.00042315i,-0.00096395+0.00027056i,8.2551e-05+0.00092436i,0.00089414+0.0012796i,0.00032996+0.00056677i,-0.00030756+0.00018472i,-0.0011287+0.00030464i,-0.00061615+0.00024195i
-0.00037047-0.0017054i,-0.00052665-0.0016016i,7.7431e-05-0.00029128i,-0.00028029+0.00046818i,-0.00094514+0.000317i,-0.0012323+0.00076872i,-0.00060996+0.0013545i,0.00080635+0.0013451i,0.0012427+0.0011463i,0.00049045+0.00094086i,0.00047755+0.00043794i,0.00079355-0.00017354i,0.00026371-0.00044916i,8.4138e-05-0.00037632i,0.00016111-0.00070999i,-3.523e-05-0.0012286i,-1.3419e-06-0.0013772i,0.00059351-0.00045201i,0.00070744+0.00053043i,0.00014404+0.00058467i,-0.00038137-0.00030705i,-2.6868e-06-0.00099788i,0.00040886-0.00069161i
0.0021133-0.00081219i,0.0017585-0.00042486i,0.0015812-0.00083507i,0.00049782-0.0013928i,-0.0016097-0.0010741i,-0.0017528+0.00016465i,-0.00055696+0.0013492i,-6.8113e-05+0.001363i,0.0002799+0.00060593i,-0.00043742-4.9802e-05i,-0.00095036-0.00012451i,-0.00024783+0.00011048i,3.3743e-06+0.00028308i,-0.0001183+6.2404e-06i,-0.00041226+8.701e-05i,-0.00074618+0.0002812i,-0.00051538-4.9683e-06i,-2.8062e-05+3.7879e-05i,-0.00028565+8.717e-05i,-0.00036103+0.00085155i,-0.00039368+0.0012696i,-0.00093967+0.00051967i,-0.0015249-0.00014494i
-0.00021222-0.0024913i,-0.00069297-0.0023997i,-0.001036-0.002269i,-0.0012502-0.0015451i,-0.0011147-5.3103e-05i,-0.00084143+0.0012784i,0.00023522+0.0016639i,0.00058142+0.0015186i,-0.00020521+0.0013838i,-0.00048477+0.0011021i,-0.00027546+0.00060608i,0.00021874-0.00010362i,0.00089246+0.00030977i,0.0013544+0.0012665i,0.0010833+0.0006695i,-0.00038011-0.0002639i,-0.00065821-5.995e-05i,-0.00049641+0.00078368i,-0.00052578+0.00044688i,-0.00017423+9.6115e-05i,0.00012951+0.00089171i,8.8465e-06+0.00044169i,-0.00037959-0.00018284i
0.0018186+0.0012084i,0.0032908+0.00062788i,0.0035383+0.00021335i,0.0020066+0.00010374i,0.00085709-0.00036948i,0.00027275-0.0005707i,-0.00043132+4.9212e-05i,-0.00026529+0.00085457i,0.00014691+0.0013085i,-0.00049139+6.2173e-06i,-0.00049069-0.0014026i,-0.00024338-0.00080411i,-0.00032498-0.00010724i,0.00061428-0.00051491i,0.00078717-0.00056852i,9.8082e-05-7.4228e-05i,-0.00056868+0.00027949i,-0.00021955+0.00023685i,0.00038784+0.0010056i,-1.446e-05+0.00061431i,-4.7718e-07-0.00063418i,0.00035426-4.4812e-05i,-0.00013786-6.3934e-05i
0.0014542+0.00071891i,0.0022055+0.00015075i,0.0010772-0.00057271i,2.0956e-05-0.00099836i,-0.00026157-0.001185i,-0.001202-0.00055735i,-0.0014991+2.2753e-05i,-0.0005685+0.00013841i,0.00039806+0.00074104i,0.00084058+0.00089758i,0.00011476+0.00026474i,-0.00029813+5.7157e-05i,0.0002498+0.00016582i,0.00022163+0.00011452i,-0.00012005-0.00024789i,-0.00049024-0.00011995i,-0.00081202+0.00051973i,-0.00031052+0.00094062i,-0.00041922+0.00053759i,0.00031208+0.00042694i,0.00067656+0.0007028i,0.00029162+0.00057899i,5.2641e-05+0.00048713i
0.0018109-0.00018758i,0.0015943-0.00062988i,0.0011964-0.0011974i,-4.8931e-05-0.0011211i,-0.0017491-0.00046831i,-0.0022021+0.00054696i,-0.0018856+0.0011117i,-0.0009262+0.00038017i,0.00027073-0.00010069i,-8.1445e-06+0.00059652i,-0.00099056+0.00081987i,-0.00092136+0.00051419i,0.00018678-0.00026958i,0.00080972+0.00026327i,0.00030922+0.0017533i,-0.00036981+0.0012876i,0.00014745+0.00043475i,0.00033668+0.00039992i,0.00046194+0.00058586i,0.00085174+0.0010974i,0.00046364+0.001201i,0.00021843+0.00052929i,0.00072572-0.00053805i
0.0024812-0.00013227i,0.0039735-0.00094872i,0.0037005-0.0016096i,0.0018845-0.0016098i,0.00056348-0.0008116i,-0.00087127+0.00038794i,-0.0012269+0.000784i,-7.5838e-05+0.00035929i,0.00083273-0.00028196i,0.00090504+0.00028778i,0.0011693+0.00029248i,0.000839-0.00037063i,-7.9244e-05-0.00026617i,-0.00073448+0.00068964i,-0.00062642+0.00065171i,-6.3722e-05+0.00027562i,0.00020992-0.00024118i,-6.9804e-05-0.00037444i,-0.0001439-4.7248e-05i,-8.6242e-07-0.00026876i,-0.00047657-0.00055451i,2.9865e-05-0.00094131i,0.00046211-0.00070092i
0.00047991+0.0015712i,0.00074222+0.0014959i,0.00035095+0.00056326i,-0.00031561-0.00081105i,-0.00038692-0.00097774i,-0.00043497+0.00052029i,0.00042805+0.0014544i,0.0013712+0.0010131i,0.00095922+0.00048336i,0.00034302+0.000434i,0.00028286-0.00010699i,3.4071e-05-0.00073185i,-0.00011006-0.00044548i,-0.00030002+5.2578e-05i,-0.00041383+0.00021074i,-0.00040068+0.00027448i,-0.00051425-0.00021813i,-0.00021645-0.00055464i,-0.00017006-8.4443e-05i,-0.00024212+0.00033957i,-0.00052641+0.0010271i,-0.00039664+0.001225i,-5.3831e-05+0.00037042i
-0.00038725-9.6489e-05i,0.00060672-0.0010015i,0.00074935-0.00055609i,-1.5062e-05+0.0010203i,-0.00060154+0.001499i,-0.00057735+0.0013824i,-0.00082413+0.0013878i,-4.2649e-05+0.0005543i,0.00076413-0.00026119i,0.00085215-0.00058287i,0.00079699-0.00033173i,0.00035583-0.00083539i,0.0003514-0.0016955i,0.00031384-0.0010754i,-0.00033208+0.00016832i,-0.00097065+0.00042034i,-0.00062675-7.1382e-05i,-0.0003157-0.00042555i,-0.0001817-0.00033061i,-0.00055997-4.2992e-05i,-0.0010085+0.00045134i,-0.00056063+0.00031936i,-0.00018234+3.7659e-05i
-0.0011287+0.0014461i,-0.0004451+0.0015143i,0.0017556+0.00098436i,0.0020598+0.00028453i,0.0011637-0.00054894i,0.00018792+4.4049e-05i,-0.0014895+0.0011529i,-0.0014433+0.0012582i,-0.0002923+0.0010022i,9.4453e-06+0.00069133i,0.00010982+9.01e-05i,0.00052903-0.00035303i,0.0002145+7.349e-05i,-0.00077762-0.00013787i,-0.00068179-0.00049554i,-6.2813e-06+0.00012909i,-0.00015433+0.00061837i,-0.00039221+0.00029362i,-0.00084173+0.00040686i,-0.00091596+8.9508e-05i,-6.3916e-05+3.1287e-05i,0.00051701+0.00013384i,0.0002097-6.5272e-05i
-0.0008513+0.00095698i,-0.00079032+0.0013597i,-0.00066438+0.0014419i,4.3818e-05+7.8853e-06i,-0.00046755-7.3801e-05i,-0.0011824+0.0010483i,-0.0013066+0.001553i,-0.0010973+0.0015379i,-0.00064396+0.0016583i,-0.0002703+0.0009565i,0.00051288-6.0674e-05i,0.0011076-0.00056056i,0.0010545-4.246e-05i,0.00040738-0.00048853i,-0.00052486-0.00093939i,-0.00048092-0.00067451i,0.00042334-0.00055637i,0.00082513+0.00035592i,0.00045701+0.00063268i,-0.00029825+0.00025888i,-0.00049883-5.0972e-05i,-0.00026662-0.0002899i,0.00076264-0.00029267i
-0.0020836+0.00025594i,-0.0019912+0.0025831i,-0.00035412+0.0042333i,0.0018068+0.0036211i,0.002172+0.0021138i,0.00082835+0.00088222i,-0.00061389-0.00027975i,-0.00064072-0.00072148i,-0.00076672-6.1906e-05i,-0.00014794+0.0001582i,0.00084204-4.7071e-05i,0.00048706+8.2564e-05i,0.00063077+0.00060008i,0.00052553+0.00077872i,-0.00033519-0.000288i,-0.0005984-0.00051006i,-0.0007826-0.00027764i,-5.7829e-07-0.0012673i,0.0004389-0.0013539i,-0.00043096-0.00083764i,-0.0010938-0.00048148i,-0.00075227+0.00035173i,-0.00042157+0.00026712i
-0.0019532+0.0016181i,3.9324e-05+0.0011471i,0.0018839+0.00092711i,0.0022021+0.00046462i,0.0012365+0.00021846i,-0.00031933+0.00037141i,-0.00094459+0.00055995i,-0.00053178+0.00054641i,0.00013041+0.00062792i,0.0005301+0.0003741i,0.00096545-0.00016685i,0.001098-0.00036803i,0.00064863-0.00058726i,0.00022625-0.000817i,0.00012792-0.00056637i,0.00069169-5.4093e-05i,0.00021975+0.00051901i,-0.00098876-1.5687e-05i,-0.00090216-0.0014055i,0.00027986-0.00092387i,0.00028741+5.5564e-05i,-0.00067474+8.1844e-05i,-0.0004464-0.00014165i
0.00025378+0.0014451i,-0.00072836+0.00041683i,-0.00043882-0.0001902i,0.00019767-0.00039184i,8.2593e-05-0.0007217i,-0.00030951-0.00065626i,-0.0002165-5.1521e-05i,0.00017643+0.00026182i,0.00062914+0.00069608i,0.00020998+0.00072242i,-8.6828e-05+0.0001829i,0.00026224+0.00040898i,0.00069919+0.0010079i,0.00039957+0.0008213i,-0.00030845+0.00073348i,-0.0010976+0.00066888i,-0.00052289-0.00051012i,0.00075993-0.00064142i,0.00098351+0.00012243i,0.00012446+0.00086193i,-0.00086764+0.0010295i,-0.00099427+0.00076144i,-0.00059471+0.00083315i
0.0014511+0.00021269i,0.0020977-0.00025692i,0.0015916+0.00037078i,0.00081145+0.0012509i,0.00048366+0.001613i,-0.00093428+0.001282i,-0.0010663+0.0010954i,4.2943e-05+0.0012889i,-3.3317e-05+0.00065987i,-0.0003721+0.00021775i,-0.00030021-0.00034766i,0.00071064-0.00042157i,0.001446+0.00038271i,0.0010208+0.00042078i,0.00031077-0.0002524i,0.00037233-0.00036721i,-2.2584e-05-0.00039339i,-0.00045503-0.00021547i,-0.00013684+0.00083222i,-7.3567e-06+0.0012222i,-0.00013688+0.0004825i,0.00030131-0.00054337i,0.00029747-0.00084414i
0.001641-0.00016191i,0.0018505+0.00033938i,0.0019463-0.00032056i,0.001285-0.00058837i,0.00040322+0.00048832i,4.8647e-05+0.0010053i,7.0078e-05+0.00077945i,-3.3205e-05+0.00076834i,0.00017467+0.00057177i,-6.7037e-05+0.00020336i,-0.00056118-0.00028825i,-0.000161-0.00097144i,0.00021991-0.0015588i,0.00024557-0.00093083i,-0.00043962-0.00034302i,-0.00029767-0.00010982i,5.1906e-05-0.00013809i,-0.00041838+1.789e-07i,-0.00077053+0.00065145i,-0.00078443+0.00055714i,0.00024052-5.2384e-05i,0.001318-0.00017018i,0.00078992-0.00022853i
-0.0012459-0.0013968i,-0.00086746-0.0012133i,-0.0010778-0.00092474i,-0.0004477-0.00015491i,0.00015348+0.00088061i,8.5397e-05+0.0010764i,-0.00042424+0.0011274i,-0.0004082+0.00033017i,0.00034482-0.00018361i,0.00016805+0.00027484i,-0.00015534+0.00019461i,6.3918e-05-0.00069411i,0.00057664-0.0010872i,0.00091292-0.00079415i,0.00052318-0.00082832i,0.00012861-0.00019378i,-0.00027125+0.00087129i,-0.00013679+0.00079917i,0.00012487+7.626e-05i,-0.00041816-0.00055152i,-0.00056647-0.00073424i,-6.4975e-05-0.00023162i,0.00014622+5.1385e-05i
9.877e-05-0.0014986i,0.00065593-6.3317e-05i,-0.00067261+0.00049216i,-0.0015017+0.0008369i,-0.00092653+0.0011819i,0.00010991+0.0014417i,0.00014146+0.00094131i,1.5836e-05-0.00042644i,0.00018115-0.00073557i,0.00024213+0.0003868i,-0.00045018+0.00086061i,-0.0013782+0.00047676i,-0.0014428+6.1657e-05i,-7.5123e-05-0.00052243i,0.001343+0.0003691i,0.00061605+0.0011323i,-0.00028183+0.0010818i,-0.00022334+0.00081555i,-0.00054706+1.7475e-05i,-0.0001623-0.0008134i,7.9593e-05-0.00068807i,-0.00027017+0.00051497i,-0.0003485+0.0011742i
0.0008457+0.00045008i,0.001685+0.00054494i,0.0016-0.00080454i,0.00072332-0.0016615i,-0.00044775-0.0013624i,-0.0013145-7.9102e-05i,-0.00091111+0.00089645i,0.00065969+0.00078001i,0.0012435+0.00033673i,0.0011695-0.00025228i,0.00063401-0.00041987i,0.0003559+0.00019514i,0.00043695+0.00076159i,-0.00025783+0.00055802i,-0.00053496+0.00020381i,-0.00024642-0.00012183i,3.4793e-05-0.0001613i,-0.00015683+0.00035254i,0.00011158+0.00091897i,0.00016109+0.00072576i,-0.00019294+0.00034576i,-0.0004089+0.00017525i,-0.0007105-6.5352e-05i
0.00051073-0.0011739i,0.001205-0.0020043i,-2.2204e-06-0.0020884i,-0.0008993-0.0008287i,-3.783e-05+0.00087922i,-0.0002597+0.0018396i,-0.00055612+0.0015715i,0.00055405+0.00077739i,0.0011011+0.00032896i,0.00064923-0.00010779i,-6.7175e-05-0.00055488i,0.00024059-0.00033796i,0.00092249-4.4169e-05i,0.00049275+0.00018205i,-0.00014514+0.00055743i,-0.00029998+0.00012341i,0.00060111-0.00019348i,0.00051984-0.00019724i,-0.00073052+0.00015599i,-0.0010643+0.00039623i,-0.001232+0.00036283i,-0.0014714+0.00082834i,-0.00070618+0.0011852i
