-0.0020475-0.00075863i,-0.0022765-0.00055945i,-0.003066+4.7124e-05i,-0.0027509+0.00075671i,-0.0017573+0.0015731i,-0.00048637+0.0022428i,0.00029767+0.0028637i,0.00070615+0.0020332i,0.00074289+0.00088535i,0.00021836+0.00060579i,0.00048588-7.6621e-05i,0.00081817-0.00057425i,0.00041902-0.00079833i,0.0003191-0.00093864i,-3.1434e-05-0.00081091i,-5.9746e-05-0.00045388i,0.00032193-0.00056744i,-0.00010919-0.00038019i,-0.00010782-2.0385e-05i,-0.0003419+1.1847e-05i,-0.00058295+0.00050876i,-0.0013153+0.00067442i,-0.0012086+0.00025782i
-0.00016901-0.00024304i,-0.0010153-0.00048196i,-0.00072229-0.00060183i,-0.00068641-0.0011146i,-0.00072708-4.7122e-05i,-0.00039676+0.00095947i,-0.00028611+0.00058909i,-1.3191e-05-0.00011211i,9.9226e-05-0.00057094i,-0.00013821-0.00094724i,0.00020909-0.0014594i,0.00079829-0.0017223i,0.0014323-0.0021839i,0.00095286-0.0013433i,-0.00040937-0.00055313i,-0.00083664-5.0372e-05i,-0.00068929+0.00012543i,0.00023387-0.00030703i,0.0011308-0.00048657i,0.00078389-0.00023721i,0.00030007-0.00019027i,0.00043512-8.6671e-05i,0.00074814-2.363e-05i
-0.00011182-0.00023031i,-0.00049358-0.00041139i,-0.00012312-0.0015044i,-0.00032434-0.0010134i,-0.001059-0.0002176i,0.00010323+0.00049778i,0.0010072+0.0010208i,0.00043314+0.00073304i,-0.00037563+0.00033712i,-0.00085099+0.00014591i,9.6804e-05-0.00071483i,0.00085747-0.001138i,0.0008024-0.0012631i,0.00069985-0.0012136i,-5.6542e-05-0.0012069i,-0.00095214-0.00071428i,-0.00076281-0.00057349i,-0.00038625-0.00046695i,-0.00030597-0.00025286i,5.0824e-06-0.00065859i,2.1435e-05-0.00081474i,-0.00011117-0.00036642i,0.0001055+0.00034538i
-5.8713e-07+0.00077699i,0.00091405+0.0010795i,0.00072683+0.0021694i,-0.00031997+0.0017254i,-0.00049205+0.0011064i,0.00018802+0.0009125i,0.00042133+0.00068968i,0.00016686+0.00076844i,3.1304e-05+0.00041051i,2.2175e-05-0.00022235i,0.00038171-0.0003556i,7.1605e-05-0.00065754i,-0.00016465-0.0018757i,9.0587e-05-0.0019975i,0.00055924-0.00066054i,-0.00028896+0.00040715i,-0.0013913+0.0010666i,-0.0012583+0.00088679i,-0.0008799-7.9153e-06i,-0.0003192-0.00014598i,0.00086905+0.00024397i,0.00092023+0.00031655i,0.00020276+0.00048341i
0.0001978+0.0021795i,0.00080587+0.0022273i,0.00042756+0.00075027i,0.0016354-0.00022914i,0.0024193+0.0015173i,0.0012731+0.0024075i,-1.195e-06+0.0015797i,-0.00092587+0.00059152i,-0.00075845+5.2373e-05i,-0.00030756-0.00030197i,-0.00050186-0.00047918i,-0.00055293-0.00085325i,-0.00089639-0.0012304i,-0.00032128-0.0012806i,0.00068198-0.00046156i,-0.00031477-0.00012774i,-0.0013256+0.00024708i,-0.00058042+0.00030662i,0.00014215-0.00024224i,0.00048421-0.00073899i,0.00033759-0.00067388i,0.00085195-0.00048778i,0.00074267-0.00011592i
-0.0019949+0.00069906i,-0.0016997+0.0009965i,-0.00083486+0.0014561i,0.00042769+0.0013724i,0.0009943+0.0010956i,0.0010298-0.00011303i,0.00073919-0.0012939i,0.00056529-0.0012933i,0.00020101-0.00017855i,-0.00046002+0.00024815i,-0.0005314-0.00028747i,0.00010323-0.00062641i,0.00022926-0.0013362i,-0.00023393-0.0019862i,-0.00056475-0.0015447i,-0.000796-0.00082791i,-0.00089152-5.9102e-05i,-0.0011169+0.00063977i,-0.0011114+0.00090354i,-0.00010887+0.00081494i,0.00036754+4.2608e-05i,-0.00033562-0.00069472i,-0.00011358-0.00058181i
0.00024848+0.00071196i,3.2756e-05-0.00064655i,-0.00032241-0.00025569i,-0.00048529+0.00024463i,-0.00062553+0.00057849i,-0.00090081+0.0013917i,-0.0012159+0.001359i,-0.00091283+0.00057222i,-0.00049873-3.747e-05i,-6.7312e-05-0.00013151i,-0.00010632-5.2625e-05i,-0.00038728-0.00037799i,-3.8853e-06-0.0011112i,0.00040151-0.00058498i,0.00054398-0.00089597i,0.00043638-0.0018553i,0.00072744-0.0016243i,0.0008757-0.00082764i,5.8688e-05+0.0002787i,-0.00039319+0.00021151i,-0.00015842-0.00017199i,0.00036348-4.2548e-05i,0.00054651+0.00011915i
-0.0009033-0.00039341i,0.00011022+0.0001869i,0.0012667+0.00044251i,0.0018353+0.0004273i,0.00090211+0.00083883i,-0.00017856+0.0008763i,0.00049641+0.00022597i,0.0010885-0.0005623i,0.00074037-0.00010032i,0.00047163+0.00049893i,0.00076979-0.0002045i,0.0011479-0.0012779i,0.00054102-0.0010774i,-8.0019e-05-0.00056044i,0.0001177-0.00040039i,-0.00012593-0.00083177i,-0.0003833-0.00092827i,-0.00058706-0.00030449i,-0.00044767-6.2528e-05i,4.8089e-05+6.2398e-05i,0.00048984+0.0002565i,0.00038368-5.7262e-05i,-0.00039039-0.00054928i
0.0008417-0.00082503i,-0.00021122-0.00042198i,-0.0011164+0.00014385i,-0.0014395+0.00022948i,-0.0012206+0.00012294i,-0.0010562+0.00028444i,-0.00053942+0.00056405i,-0.000184+0.00039323i,-0.00055942+0.00041605i,-0.00031736+0.00022316i,0.00045086-0.00021243i,0.00042033-0.00077557i,0.00022373-0.00044208i,0.00065058-9.4043e-05i,0.00046149-0.00020941i,0.00014378-0.00051122i,0.00016723-0.00056103i,-0.00043335-0.00057438i,-0.00016206-0.00023286i,9.6154e-05-0.00049793i,3.7951e-05-0.00050018i,0.00085626-0.00053997i,0.0010492-0.0010546i
-0.0020651-5.1678e-05i,-0.0014756+0.00049258i,-0.0010843+0.00047932i,-4.3772e-05+0.00031089i,0.0010828+0.0012646i,0.001325+0.0018254i,0.0019066+0.0014048i,0.0010446+0.0006575i,0.00025829+0.00052386i,0.00058376+0.0013574i,0.00045605+0.0009915i,0.0002875-0.00065167i,0.00061768-0.0013239i,0.00048712-0.00087941i,0.00029336-0.00044477i,0.00078343-0.00053982i,0.00061363+0.00026962i,-0.00020987+0.00052076i,-0.00023634-0.00016272i,-0.00026471-5.4876e-05i,-0.00038995+2.824e-05i,4.6075e-05+1.0817e-05i,0.0002848+0.00028592i
0.0024964-0.00083903i,0.0014725-0.0010388i,0.00010671-0.00096661i,-0.0013142-0.00085342i,-0.0016844-0.00035137i,-0.00080878+0.0006743i,0.0003975+0.0010631i,0.00067392+0.00052652i,-5.9708e-06+0.00033699i,-0.0010781+0.00020684i,-0.0014226-0.00055514i,-0.0014017-0.00036241i,-0.0014378-0.00036277i,-0.001013-0.00038319i,-0.00037302-0.00059826i,0.00017866-0.0010124i,0.000101-0.00055017i,3.2141e-05-0.00016243i,8.8225e-05+3.5854e-05i,-0.00025042-4.0478e-05i,-0.00054332-0.00088525i,-0.00065822-0.0013011i,0.00013716-0.0012828i
0.0003124+0.00081776i,0.00096835+0.0004918i,0.0015478+0.00012732i,0.00081744+1.7579e-05i,6.3949e-05+0.00049992i,0.00035694+0.00099381i,0.00020252+0.00048683i,-0.00043555+4.4801e-05i,-0.0011451+7.4594e-05i,-0.0012497-0.00031508i,-0.00080461-0.00097099i,-0.00033677-0.0011423i,-0.00053559-0.0012678i,-0.00083226-0.0013881i,-0.00034186-0.0011244i,0.00038185-0.00068561i,0.00031841-0.00016158i,-0.00043545-0.000158i,-0.00058032-0.00088637i,0.0003501-0.00043897i,0.00012727-0.00036636i,-3.5283e-05-0.00061759i,0.00027852+0.00015009i
0.0014753+0.001301i,0.00091103+0.00094219i,0.0006715+0.001174i,0.0009295+0.0006481i,0.0007365+2.8215e-06i,1.4803e-05-0.00059838i,0.00020441-0.00088647i,0.00088623-0.00034302i,0.0008218-2.7423e-05i,0.00010478-0.0012567i,-0.0003332-0.0019479i,-0.00055199-0.00082014i,-0.00057107-0.00044247i,-0.00034858-0.0010409i,-0.00016643-0.00085173i,0.00010057-0.00048993i,0.00022117-0.00022831i,-0.00018881+0.00064506i,-0.00021209+0.00076034i,8.1469e-05-0.00044981i,0.0010539-0.00065025i,0.0014007-0.00016476i,0.00011709+5.3462e-05i
0.0015085-0.00090528i,0.0011374-0.0015989i,0.00018954-0.0017373i,-0.00047465-0.00060042i,-0.00055041+0.00060206i,-0.00031085+0.00094321i,-0.00021772+0.0012929i,0.00012311+0.00036351i,0.00063016-0.00037567i,0.00069837-0.00035868i,0.00012551-0.0010172i,-0.00057782-0.00093268i,-7.8627e-05-0.00045981i,0.00042945-0.0013585i,0.00017573-0.0016793i,-0.00029155-0.00064995i,-4.3067e-05-1.3495e-05i,0.0003224-0.00054011i,-0.00029282-0.00078626i,-0.00045255-0.00084423i,8.354e-05-0.00076177i,-0.00020745-0.00046678i,-0.00038281-0.00054714i
-0.0013193+0.0022211i,-0.00085296+0.0024576i,-0.0002881+0.0031905i,0.0003828+0.0027489i,0.0011846+0.0016842i,0.0013322+0.00083205i,0.0010627+0.00030901i,-0.00013172+0.00066438i,-0.00055368+0.00064893i,0.00010428+1.1777e-05i,0.0012262-7.0184e-05i,0.0017826-0.0010286i,0.0010854-0.0011367i,0.00062584+0.00019933i,-0.00037077+0.00027335i,-0.00044463-0.00080334i,0.00067936-0.00026527i,0.00010055+0.00066418i,-0.00025684+0.0002429i,0.00074015-9.5052e-05i,0.00095289-0.00074975i,0.00095348-0.0010566i,0.00032606-0.00030885i
-0.0023307+0.0004914i,-0.0033673+0.00070931i,-0.0031494+0.00076285i,-0.0018228+0.0011467i,-0.00072137+0.0017734i,-0.00027899+0.0016285i,-0.00042531+0.00091565i,-0.00077992+0.00018177i,-0.0012816-0.00012469i,-0.00087164-0.00020233i,0.00055731+8.6293e-05i,0.00060935-0.00062355i,0.00032549-0.0018858i,0.00081871-0.0018247i,0.00037359-0.00093902i,-0.00029905-0.00039071i,4.3101e-05-0.00035823i,1.7303e-05-3.8519e-05i,-0.00029745-4.2723e-05i,-0.00057782-0.00065929i,-0.00062294-0.00017102i,0.00014431+0.00020423i,0.00064806+0.00039438i
-0.00052034+0.0011493i,0.00017652+0.0014016i,0.00073532+0.0019953i,0.00065097+0.0022666i,-0.00016148+0.0017976i,0.00063903+0.0011494i,0.0016799+0.00085165i,0.0008409+0.0001583i,0.00016834-0.000507i,-0.00011265-0.00030428i,-1.1655e-05-0.00024469i,0.00027617-0.00096895i,0.00064086-0.0011632i,8.6832e-05-0.00087301i,9.1806e-05-0.00096511i,0.0010174-0.00027882i,0.001149+0.0001627i,0.00074844+0.00015757i,-0.00011243+0.00088803i,-0.00019143+0.00088326i,-8.595e-05+0.00014457i,-0.00021205-0.00044393i,-0.00035198-0.0014772i
0.0025333+0.00017197i,0.0026116+0.00049645i,0.0020517-0.0003163i,0.00092684-0.00042168i,-3.0202e-05-0.00015744i,-0.00047711+0.00064701i,-0.00089694+0.000631i,-0.00061065+0.00072666i,-0.00065657+0.00032553i,-0.00057104-0.00087432i,0.00023346-0.0018898i,3.4298e-06-0.0020301i,-0.00051134-0.00086866i,-0.00014621+0.00013171i,1.926e-05+0.00067185i,-0.0006615+0.00020714i,-0.00022951-0.0007124i,0.00036602+0.0001664i,-0.00036847+0.00057341i,-0.00019179-7.8002e-05i,0.00042416-0.00037042i,0.00043858+0.00011526i,5.7169e-05+0.00061112i
-0.00086569+0.0022299i,-0.0011699+0.0017068i,0.00014885+0.0013421i,0.00069975+0.0014892i,0.00044954+0.0025071i,0.00092179+0.0024911i,0.00067441+0.0018087i,-0.00026793+0.0014277i,-0.0004419+0.00067791i,-5.9038e-05+0.00025506i,-0.00030438+3.9081e-05i,-0.00039076-0.00049203i,-0.0003696-0.0008566i,-0.00072305-0.00073764i,-0.00055466-0.00068441i,2.506e-05-0.00079831i,0.0003265-0.00031803i,1.7501e-05+2.6368e-06i,0.00014996-0.00068122i,6.4307e-05-0.00055907i,-7.806e-05-1.5919e-06i,0.00036181+0.00012684i,0.00020695-0.00023168i
9.7424e-05-0.0025588i,-0.00053764-0.0013995i,-0.0020184-0.0016887i,-0.0029147-0.00071151i,-0.0020763+0.0017717i,-0.00062608+0.002357i,-0.00017631+0.001135i,0.0002038+0.000737i,0.0004875-9.2512e-05i,-0.00026666-0.00022014i,-0.0006062+0.00013426i,0.00050133+8.8354e-05i,0.00088638-0.0001593i,0.00049945-0.00042884i,0.0013359-0.00010343i,0.00078332+0.00029473i,-0.00060616-0.0001845i,-0.00074539-0.0011625i,-0.0011229-0.0010914i,-0.00070077-0.0010577i,0.00014166-0.00051178i,0.00013526+0.00028767i,0.00017166+0.00051634i
-0.0025325-0.00074348i,-0.0019762-0.00059396i,-0.0012468+0.00083018i,-0.0003202+0.0011698i,0.00084542+0.00036782i,0.0013034+0.00063895i,0.0011869+0.00063501i,0.00063496-0.00054044i,0.00018057-0.00022715i,0.00080838+0.00031059i,0.00080386-0.00017028i,4.7464e-05-0.00036483i,-0.00021745-0.00045751i,-0.00018169-0.00095316i,-0.00034089-0.0012682i,0.00023823-0.00097401i,0.00091827-0.00044293i,1.4677e-05-0.00063195i,-0.00023733-0.00065167i,7.4831e-05+0.00011757i,-0.00014146-0.00018813i,0.00040528-0.00046211i,0.00046412+0.00057901i
-0.00055932-0.0016322i,0.00041874-0.00094894i,0.0009952-0.00097656i,0.00034037-0.00061222i,-0.00070321+0.00021648i,-0.0010011+0.00056945i,-0.00028391+0.0010332i,4.1891e-05+0.00060189i,-0.00059047-4.3151e-05i,-0.000905-0.0003293i,-0.00018011-0.00069114i,-0.00043737-0.00051954i,-0.00033981+4.7547e-06i,0.00014805+8.321e-05i,2.3473e-05-0.00072421i,-0.00030931-0.00092741i,-0.00027381+6.5845e-05i,-0.00016471+0.0005482i,-0.00037426+0.00030149i,-4.0899e-05+9.4624e-05i,0.00061881+0.00022863i,0.00058237+0.00022023i,-0.00020358-0.00039221i
7.0215e-05-0.0001543i,0.00025982-0.00034298i,0.00040807-0.00078999i,0.00050948-0.0007932i,0.00050833-3.7516e-05i,0.00033313+0.0011699i,0.00020504+0.0010008i,0.00072444+0.00025582i,0.00071778+0.0001566i,0.00036306-0.000948i,0.00056453-0.0021076i,0.0010311-0.0016077i,0.00060138-0.0016265i,-0.00030519-0.0016611i,-0.00012142-0.00061518i,0.0004876+0.00023065i,0.00020701+0.00019319i,-0.00041567-0.00016183i,-0.00078123-8.9242e-05i,-0.0011664+0.00067217i,-0.0010603+0.00077952i,-0.00033666-6.6804e-05i,0.0004278-0.00037429i
0.00077968-0.0010462i,0.00049762-0.00072805i,0.00015484-0.00014741i,-4.6647e-05+0.00047775i,-0.00067458+0.00075722i,-3.8407e-05+0.0013298i,0.000654+0.0017726i,-0.00027609+0.0012131i,-0.0010301+0.00049839i,-0.0009514-0.00050657i,-0.00064537-0.0010687i,0.00023851-0.0011267i,0.0011266-0.00088579i,0.0010381+0.00013126i,0.00014541+0.00073002i,-0.00010824+2.2201e-05i,0.00027881-0.0011623i,0.00024619-0.0012355i,0.00041281-0.00053354i,0.0002187+0.00046077i,6.6019e-05+0.00093873i,0.0006411+0.00026328i,0.00075777-9.8672e-05i
-0.0012271+0.00038873i,-0.0013617+0.00099921i,-0.0021892+0.0014125i,-0.0013693+0.0017869i,-0.00038205+0.001995i,0.00027642+0.0014228i,0.0010466+0.00037845i,0.00031667+6.8032e-05i,-0.00064391+0.00036832i,-0.00012483-0.00024969i,0.0001535-0.0013515i,0.00015183-0.0016868i,0.00067468-0.0015131i,0.00094156-0.00096264i,0.00046508-2.5004e-06i,-0.00013022-0.00042639i,0.00027146-0.001191i,0.00042888-0.0011345i,0.00047334-0.00075581i,0.00095219-0.00041271i,0.00063756-0.00013773i,3.8653e-06-0.00033798i,2.2606e-05-0.00034925i
-0.00023952-0.00067508i,-0.00015946-0.00060828i,0.00037193-0.00046881i,-0.00058361-0.0010581i,-0.0013293-0.00067489i,-0.0007452+0.00062218i,0.00020729+0.001056i,0.00015238+0.0010032i,0.00015357+0.00085248i,-0.00033825-3.4579e-05i,-0.00069253-0.0011801i,-0.000596-0.0017483i,-0.00037291-0.0015501i,0.00024368-0.0011501i,0.00017411-0.00091661i,-0.00027787+0.00025726i,5.8796e-05+0.00076261i,0.00020018+0.00071769i,-9.8437e-05+0.00032343i,0.0008019-0.0006403i,0.00061009-0.00066505i,-0.0002161-0.00041167i,0.00026422+0.00021414i
-0.00081091-0.0011401i,-0.0012954-0.00026483i,-0.0018448+0.00088525i,-0.0014907+0.0014943i,-0.00038774+0.0023909i,0.00066491+0.0024282i,0.0011606+0.0015435i,0.00076953+0.00076774i,-0.00041659+0.00039638i,-0.0014644+0.00011044i,-0.00099123-0.00035813i,-0.00018897-0.00079783i,0.00050455-0.0015838i,0.00030111-0.0017679i,-0.00035201-0.00034223i,-0.00049864+0.0012392i,5.637e-05+0.0012912i,0.00036454+0.00041279i,0.0005596+0.00021079i,1.6467e-05+0.00043616i,-0.00033382+0.00024833i,-0.00035843+0.00023768i,-0.00071024+0.00016467i
0.0012532+0.0014276i,0.0012707+0.00035657i,0.00082939-0.00012045i,0.00041653+0.00015709i,0.00024023+0.00024906i,-0.00026814+0.00025497i,-0.00033557+0.00065903i,0.00065457+0.00096618i,0.0010799+0.00095364i,4.3659e-05+0.0010021i,-0.0011648-9.3154e-05i,-0.001101-0.00088862i,-0.001198-0.00070977i,-0.0013355-0.00090328i,-0.00084297-0.0007275i,-0.00036033-0.00026158i,0.00036971-0.00026688i,0.00042259-0.00015136i,-0.00047469+0.00011182i,-0.00015422-0.00012414i,0.00070455-0.00070527i,0.00067528-0.00098285i,0.00050842-0.00058681i
0.00080258-0.00015344i,0.00045179-0.00017267i,0.00077674-0.0012392i,0.00045931-0.0006231i,0.00022933+0.00027728i,-0.00043455+0.0012285i,0.00022808+0.0015205i,0.0011712+0.0013569i,6.9396e-05+6.4393e-05i,-0.001005-0.0010781i,-0.00086744-0.0011234i,-0.00055738-0.00037737i,-0.00047804-5.0921e-05i,-0.00013489-0.000704i,0.00048658-0.00081897i,0.00061311-0.00082223i,-0.00010147-0.00088574i,-0.0008131-0.0004595i,-0.001092-0.00053508i,-0.00027875-0.000872i,0.00019569-0.00015579i,-0.00021486-0.0002068i,0.00041369-0.00043281i
-0.00014974+0.0018392i,7.5444e-06+0.0013416i,0.00063146+0.0011938i,0.00090193+0.00024656i,0.00077192-1.7954e-05i,0.00036645+0.0011086i,0.00051425+0.0013603i,6.3825e-05-6.2641e-05i,1.0784e-05-0.0008319i,0.0009524-0.00048123i,0.0010304-0.001055i,0.0010439-0.0013696i,0.0012902-0.0018698i,0.00076969-0.0022529i,-0.00063988-0.0012557i,-0.0011421-0.0008381i,-9.4001e-05-0.0007653i,0.00021603+0.00010173i,-0.00042888-4.2836e-05i,-0.00085133-0.0010663i,-0.00077744-0.00085135i,-0.00030672-0.000524i,-0.00033741-0.00086948i
-0.00099755+0.0010775i,-0.000237+0.0022906i,0.00064281+0.0030305i,0.00072315+0.002339i,0.00073582+0.0019302i,0.00085949+0.001789i,0.00053493+0.0013406i,-0.00018486+0.00098329i,-0.00036851+0.00076243i,0.00064856+0.00030889i,0.0011906-0.0001575i,0.00093731-0.00055338i,0.0006712-0.0017514i,0.00023113-0.0021597i,-0.00057344-0.0011881i,-0.0011656-0.00065417i,-0.0010367-0.00034374i,-0.00081687+0.00056623i,-0.00070065+0.0003151i,-0.00010296-0.00078704i,0.00031425-0.0007797i,0.00050486-0.00013505i,0.00060442-0.00022831i
0.0010377+0.00068157i,0.00085092+8.6309e-05i,0.001141-0.0010225i,0.00029794-0.0005811i,-0.00073644+5.0651e-05i,-0.00069515+0.00048804i,-0.00016448+0.00096021i,-0.00025365+0.0015343i,-0.00051519+0.0020084i,0.00030354+0.00074529i,0.0006049-0.0012582i,3.2094e-05-0.0021216i,8.74e-05-0.002104i,6.1975e-07-0.0016077i,-0.00071598-0.00056111i,-0.0014357+9.8277e-05i,-0.0016913-0.00017175i,-0.0011507-0.00035811i,-0.00086331+0.00040363i,-0.00050785+0.0016256i,0.00014669+0.0014716i,0.00010369+0.00029047i,-0.00022669-0.00016373i
-0.00029382-0.00024819i,-0.00053378-0.000839i,0.00064622-0.0012943i,0.00083362-0.00026255i,0.00040981+0.00091793i,2.5472e-05+0.0017752i,0.00020497+0.0011868i,0.00098059+0.00038021i,0.00024673+0.0005804i,-0.00037394+0.00039105i,-0.00035024-0.00030033i,-0.00098691-0.00088701i,-0.0006093-0.0013282i,0.0001171-0.0014232i,0.0001227-0.00060283i,0.00078535-0.00012975i,0.0016037-0.00025609i,0.00072058+9.5314e-05i,-0.0003253+6.6743e-05i,-0.00014288+0.00021214i,0.00042884+0.00030593i,0.0004668+2.4498e-06i,-0.00043049+0.00029106i
0.0020387-0.00027175i,0.0020239-0.00011244i,0.0011519-0.00071579i,-0.00019485-0.00083995i,-0.00062096-0.0003075i,-0.00047516+0.0015786i,0.00015182+0.0022379i,0.00015262+0.001361i,2.3955e-05+0.00023193i,0.00029905-0.0011907i,5.6118e-05-0.0018169i,-0.00054481-0.00089631i,-0.001426-0.0004727i,-0.0023552-0.00073401i,-0.0012988-0.00054386i,0.00014415-0.00050287i,0.00065843-0.0001451i,0.00069026-7.1793e-05i,0.00036456-0.0005886i,-0.00015312-0.00057993i,-0.00030325+2.9676e-05i,-0.00011055+0.00011146i,-2.4994e-05+0.00032971i
-0.0016468+0.0011268i,-0.0016302+0.00086328i,-0.00050549+0.0010113i,-0.00057169+0.0012309i,-0.00094908+0.0012181i,-0.00028677+0.00045112i,0.00071546+0.00050826i,0.0003708+0.00086201i,3.3831e-05+0.00099977i,-4.8189e-05+0.00046399i,4.3012e-05+0.00015564i,0.00030227+0.00056546i,-0.00026064+0.00070872i,-2.1881e-05+0.00035122i,0.00028528-0.00018727i,8.0527e-05-0.0007572i,-0.00027882-0.00098756i,-0.0009537-0.0009661i,-0.00088275-0.00015598i,-0.0010424+0.00079939i,-0.00095195+0.00039507i,0.00043489-3.3964e-05i,0.00047809+0.00012207i
-0.002065+0.0006894i,-0.0017697+0.0017127i,-0.0021862+0.0023523i,-0.0017633+0.0035463i,-0.0012097+0.0036295i,-0.0001245+0.0023284i,0.00060885+0.00051295i,0.00020186-0.00071226i,-0.00012111-0.00054196i,0.00051982+0.00022992i,0.0010925+0.00029678i,0.00086972-5.5848e-05i,0.00047201-0.00083231i,-0.00023181-0.0011207i,-0.00065765-0.00050251i,-0.00071393-9.3537e-05i,-0.000305+6.8034e-05i,-0.00016112+0.00059519i,-0.00023408+0.00077993i,0.00026182+0.00065019i,0.00071196+0.0010009i,0.00057337+0.0010479i,0.00048835+0.00061138i
-0.00052359+0.0011474i,-0.0014271+4.5726e-05i,-0.00052435-0.00024472i,0.00087041+0.00028983i,0.00020649+0.0004937i,-0.00053767+0.00055203i,-8.1507e-05+0.00031808i,-0.00010436-0.0003163i,-0.00072274+0.00027048i,-0.00058297+0.00070821i,0.00067758-0.00065567i,0.00129-0.0014867i,0.00097798-0.0015534i,0.0010348-0.001364i,0.00053293-0.00087054i,-8.502e-05-0.00082331i,-0.00015494-0.00095807i,-0.00014888-0.000476i,0.00064971-0.00013759i,0.0015588-8.8893e-05i,0.001402-0.00060119i,0.0005104-0.00086747i,0.00042341-0.00040049i
0.00044833+0.00012402i,-0.0001813-0.00029394i,-0.00022713+0.0003052i,-0.00027661+0.0010967i,-0.0005537+2.9699e-05i,-0.00010687-0.0002295i,7.9901e-05+0.00073565i,-0.00056326+0.00090501i,-0.0010295+0.00098218i,-0.00077097+0.00034924i,0.00018398+3.3593e-05i,0.00061534+3.6196e-05i,0.00073034-0.00097912i,0.0011606-0.0016095i,0.00054191-0.00098706i,-5.8786e-05+0.00013274i,-8.7031e-05-0.00024356i,6.1012e-06-0.0012093i,-0.00045244-0.0015093i,-0.00061914-0.0008629i,5.4355e-05-0.0007753i,0.00050751-0.0014716i,-0.00014649-0.00098173i
0.0023091+0.00014383i,0.001983+0.00029681i,0.0016869-0.00085087i,0.0007031-0.0015081i,-0.00019986-0.00077792i,-0.00081971+0.00035055i,-0.00024144+0.0010812i,0.00055224+0.00079885i,0.00052089-0.00015905i,0.00034548-0.00064883i,0.00054085-0.0012837i,4.7072e-05-0.0017419i,-0.00088498-0.0017273i,-0.00079619-0.00089095i,-0.00083803+4.0401e-05i,-0.00034336-0.0002438i,0.00013807-0.00032571i,0.00019104-0.00077631i,-2.8599e-05-0.00065928i,-0.00047935+0.00013497i,-0.000156+0.00015317i,-0.00048264-0.00022595i,-0.00071766-0.0001885i
-0.0021992-0.0014315i,-0.0013585-0.00039319i,-0.0020518+0.00032486i,-0.0017831+0.00052576i,-0.00026098+0.00076426i,0.00016097+0.0016914i,0.0014845+0.0012512i,0.0024156+0.00041848i,0.00058875-0.00013957i,-0.00074124-0.00083703i,-0.00045879-0.0011441i,6.8163e-05-0.0015979i,1.7054e-05-0.0012854i,0.00013991-0.00077553i,0.00075759-0.00092659i,0.00035741-0.00058109i,-0.00035426-0.00034698i,-0.00033668-0.0001902i,-0.0005174+9.5349e-05i,-0.00079235+0.0006086i,-0.00049646+0.00060669i,0.0001738+0.00032321i,0.00067863+0.0006361i
-0.00092522-0.00075592i,-0.0011228-0.00091264i,-0.0019708-0.00073077i,-0.002374+0.00050911i,-0.0017058+0.0020375i,-0.00046635+0.0023142i,0.00078568+0.0011698i,0.00080801+0.00023568i,-0.00014653+0.00026742i,-0.00073192+0.00013161i,-0.0017071-0.00012777i,-0.0019375+6.891e-05i,-0.001613+0.00042944i,-0.0015425+0.00054816i,-0.00073847+0.00022938i,0.00049534+0.00071721i,0.00071894+0.00096475i,-9.6389e-05-0.00016885i,0.00034446-0.0011399i,0.00040141-0.0012856i,0.00039327-0.00031877i,7.1681e-05+0.00072813i,-0.00017278+0.00044908i
-0.00060684+0.00031927i,0.00010036-0.00065729i,0.00076161-0.00048603i,0.0010391+0.0003161i,0.00085991+0.00096058i,0.00094938+0.0016427i,0.0011295+0.0015237i,0.0011377+0.001703i,0.00062666+0.0017526i,0.00013375-5.1744e-05i,0.00043571-0.00071376i,0.00031192+5.9048e-05i,0.00056412-0.00023686i,0.00069826-0.00048422i,4.2777e-05+0.00021191i,1.7953e-06+0.0010281i,-0.00036984+0.00029699i,-0.00052732-0.00012249i,0.00022367+0.00044294i,0.00044403-5.2239e-05i,0.0001168-0.00033952i,-9.3885e-05-0.00018498i,5.5393e-05-0.00027962i
0.00043049-0.00096741i,0.00059898-0.0015076i,-7.58e-05-0.0017383i,-0.0013851-0.00094448i,-0.0013276-0.00049889i,-0.00097231+0.00076793i,-0.00062197+0.00094312i,0.00010889-9.7606e-05i,0.00054397-0.0005014i,0.00045246-0.00070591i,0.00026999-0.00020329i,0.00023917+0.00043335i,0.00054058-0.00019973i,0.0010428-0.00094644i,0.0010473-0.00046991i,0.0012206+0.00019407i,0.0010989+0.00017523i,0.00065183+1.2094e-05i,0.00014655-0.00030368i,-2.2889e-05-0.00053015i,5.3929e-05-0.00052572i,-7.352e-05-0.00030688i,0.00013135+0.00056891i
0.0016257-0.00025219i,0.00097525-0.00017592i,0.00011358-0.00080726i,-0.00047858-0.00080381i,-0.00046407+0.00098012i,6.043e-05+0.0022587i,0.00026674+0.0015902i,0.00017891+0.00030743i,-3.9095e-05-0.00013327i,-0.00022482-0.00023963i,0.00022114-0.00071137i,0.0007442-0.00073027i,0.00093936-0.00063097i,0.00044383-0.00085639i,-0.00014156-0.00024116i,0.00070681+0.00068936i,0.0013458+0.0006755i,0.00070854+0.00037712i,-0.00020967-4.1608e-05i,-0.0005297-0.0001036i,-0.00015549-0.00062198i,7.6488e-05-0.0011661i,-0.00017984-0.0010577i
