-0.0014584+0.00052902i,-0.00073798+0.00045246i,-0.00044193-7.0248e-05i,-0.00090759-0.00062507i,-0.0012776+0.0014984i,-0.00074261+0.0037421i,0.00041688+0.0039283i,0.0013442+0.003524i,0.0010283+0.0023451i,0.0003443+0.0011777i,0.00039145+9.0543e-05i,-5.1009e-05-0.0007197i,-0.00042286-0.0013903i,-0.00053473-0.0016434i,-0.00054163-0.001089i,-0.00039665-0.00052526i,-0.00010111-0.00046354i,0.00030873-3.2924e-05i,0.0005951+0.00037471i,0.00043964+0.0005887i,0.00034474+0.00069612i,0.00043+0.00069736i,0.00028338+0.00064458i
-0.00084148+0.0025001i,-0.00025021+0.00065018i,-0.00055663-8.0034e-05i,-0.0011714-0.00061937i,-9.1114e-05+1.3134e-05i,-0.00055724+0.0011513i,-0.0024381+0.00012878i,-0.0036376-0.00088099i,-0.0037456-0.00053413i,-0.0024278+0.00082143i,-0.00031859+0.00083481i,0.0005006-3.0495e-05i,0.00015583-0.00016257i,0.00038213-0.00031491i,0.00057304+0.00010421i,0.00045684+0.00038887i,0.0005307-0.00017672i,0.00017757-0.0007179i,-0.0002167-0.0010758i,-0.00044708-0.00016354i,-0.00030748+0.00081809i,0.00053149+0.00035144i,0.0014484-0.00025718i
0.0013004-0.0011212i,0.0013509-0.0006142i,0.00093433-0.00072789i,-0.00010235-0.00018052i,-0.00092543+0.0015098i,-0.00047321+0.0024894i,-0.001045+0.0025858i,-0.002692+0.0033735i,-0.003086+0.0037852i,-0.0016634+0.0023655i,-3.8534e-05+0.00056663i,0.0013624-0.00042053i,0.0014918-0.0013168i,0.00097724-0.0017707i,0.00062444-0.0014537i,0.00034256-0.0015984i,0.00039421-0.0014392i,0.00045281-0.00077034i,0.0010352+0.00018689i,0.0009618+0.00049632i,0.00049816-0.00017639i,0.00096653-4.7881e-05i,0.00092598+0.00040408i
-0.00029466-0.00063834i,0.00020699-0.0019589i,-0.00023313-0.002782i,-0.001407-0.0017067i,-0.0014472+0.00072718i,-5.2058e-05+0.0029596i,0.0012407+0.0029786i,0.0021201+0.0028303i,0.0026789+0.0023214i,0.0017788+0.00057921i,9.8402e-05-0.0006459i,-0.00031557-0.00098255i,0.0001458-0.0010107i,-0.00039576-0.0008841i,-0.00090557-0.0007473i,-0.00025091-0.00098091i,0.00026324-0.0010557i,0.00011272-0.0011341i,-1.423e-05-0.00085405i,8.0297e-05-0.00038415i,0.00016594+6.3609e-05i,-0.00014091+0.0005933i,-0.00062417+0.00015379i
0.00071259+0.00065902i,0.00072564+0.00053978i,-0.00056751+0.00059798i,-0.0022116+0.00053793i,-0.0016848+0.00049629i,0.00027907+0.0007964i,0.0016873+0.00019648i,0.002368-0.00029595i,0.0018478-0.00036613i,0.00066681-9.6871e-05i,-0.00087999-9.2641e-05i,-0.0016614-0.00020893i,-0.0010225+0.00014853i,-0.0011513+0.00045782i,-0.0015764+0.00052818i,-0.00035768+0.00057218i,-0.00023229+6.0897e-05i,2.5139e-05-0.00092839i,0.00032653-0.00089475i,-0.00037992-0.00050615i,-0.00015519+4.5832e-05i,0.00047865+0.0003713i,0.00028927+9.2409e-05i
0.0023775+0.0020231i,0.0022712+0.00072862i,0.0020731-0.0012852i,0.00098538-0.0021817i,-0.00029692-0.0019141i,-0.00039777-0.0016367i,3.1808e-05-0.0019944i,9.4527e-05-0.0032415i,-0.0010961-0.0038907i,-0.0020191-0.0023733i,-0.0014451-1.4519e-05i,-0.00079231+0.00090705i,-0.0011939+0.00036876i,-0.00084801+4.1072e-05i,0.00031118+0.00058221i,0.00080811+0.00073047i,0.00044441+0.00013063i,-0.00015241-0.00020608i,-0.00099788-0.00035193i,-0.0013917-0.00035873i,-0.000912-0.00022063i,0.00041555+0.0002461i,0.00089211+4.9394e-05i
0.0036452-0.00041072i,0.0035153-0.00012319i,0.0021676-0.0019366i,0.00047257-0.0029151i,-0.00095664-0.00099399i,-0.0018216+0.00030027i,-0.0023801-0.0005134i,-0.0032204-0.0012475i,-0.0032599-0.00028768i,-0.0024292+0.00093682i,-0.00070099+0.0011895i,0.00097359+0.00090201i,0.00092753+0.0013824i,0.0010575+0.00080047i,0.0012867+0.00026039i,0.00057425+7.9213e-05i,0.0001539-0.00025943i,0.00029232-4.8843e-05i,0.00049198-0.00011359i,0.00013997-0.00048085i,-0.0004772+9.7915e-05i,-0.00059535+0.00074069i,-0.00013788+0.00032519i
0.00089919+0.0016051i,0.0013892+0.00013578i,0.0010964-0.00064941i,0.00030653-0.0013919i,-6.8435e-05+7.5992e-05i,-0.0012697+0.0016818i,-0.0028659+0.0014262i,-0.0032266+0.0017729i,-0.0024431+0.002424i,-0.00064728+0.0018483i,0.00043695+0.00038176i,0.00085155-0.00083182i,0.0016822-0.0010752i,0.0018417-0.00073509i,0.0010838-0.000731i,-1.4091e-06-0.00080686i,-0.00052299-0.00026116i,-0.00028325+0.00029315i,1.713e-05-0.00017i,-8.3323e-05-0.00056959i,8.8818e-05-0.00026402i,0.00037924+9.2868e-05i,-0.00034329+0.00023609i
-0.00081402-0.0022744i,-0.00011132-0.00035717i,0.00060647+0.00022535i,0.00042652+0.00029368i,0.00095146+0.0019326i,0.0022041+0.0032144i,0.0023822+0.0038446i,0.0016921+0.0040247i,0.00076882+0.00333i,0.00030476+0.0016773i,0.00032468+0.00025373i,0.00022395-0.00079316i,0.00045301-0.0016933i,0.00056923-0.0013096i,0.00060204-0.00060953i,0.0013721-0.0010019i,0.0015631-0.00093696i,0.00096117-0.00025843i,0.00077861+8.9677e-05i,0.0003667-2.784e-05i,0.00020022+0.00013i,4.1254e-05+0.00063676i,0.00012327+0.00034637i
-0.00050616+0.00073533i,-0.00024722-0.00018521i,0.00055763-0.00071578i,0.0010151-0.00041243i,0.001584-0.00040833i,0.0027542-0.00047471i,0.0030234-0.0004641i,0.0032383-0.0015312i,0.0027508-0.0019544i,0.00060673-0.0011197i,-0.00087289-0.00045667i,-0.00073414-0.00014195i,-0.00097495+0.0003718i,-0.00081642+0.00050279i,-0.00010049+0.0005173i,-3.0639e-05+0.00021974i,0.00027895-0.00054515i,0.00014819-0.0005003i,-0.00029652-0.00025745i,-2.6692e-05-0.00054716i,-0.00031189-0.00021608i,-0.00087522+0.00038301i,-0.00052896+0.00054423i
0.0025353+0.0014597i,0.0017774+0.00091604i,0.001007-0.00050316i,-1.3106e-05-0.00074113i,-0.00028324-0.00098483i,3.634e-06-0.0014583i,-0.00019385-0.0023544i,-0.00065927-0.0031609i,-0.0007657-0.0026055i,-0.00054531-0.00032631i,-0.00038139+0.0019605i,-0.00057147+0.0022172i,-0.00088941+0.001493i,-5.0005e-05+0.00099863i,0.00074249+0.00067195i,0.00069606+0.00014925i,0.00057794+0.0004195i,0.00062938+0.00071666i,0.0004807+0.00064823i,-0.00014198+0.00088622i,-0.0001741+0.00010282i,5.4444e-05-0.00038536i,-0.00039531+7.8079e-05i
-0.00074343-0.0013399i,0.00045443-0.0017949i,0.001178-0.0012528i,-0.0005829-0.0002262i,-0.0024737+0.0016202i,-0.0030596+0.0011362i,-0.0036588-0.00081138i,-0.0042868-0.0010218i,-0.003839+0.00042203i,-0.0024629+0.0013441i,-0.00051208+0.0010063i,0.00067937+0.00092955i,0.00085119+0.00010741i,0.0011597-0.00058723i,0.0014608-0.00029643i,0.0014107-0.00013151i,0.00038569-0.00030448i,-0.0002704-0.00090804i,0.00018758-0.0012323i,0.00018614-0.00098797i,0.00025914-9.6031e-07i,0.00043266+0.00098113i,0.0005428+0.0014608i
0.0010573+0.0015466i,0.0017834+0.00085413i,0.0013591-0.00053645i,0.00078248-0.0010117i,0.00058572-6.2482e-05i,-0.00053973+0.0014438i,-0.0017068+0.0023349i,-0.0025693+0.00294i,-0.0020953+0.0030699i,-0.00080152+0.0011062i,0.00028874-0.0011961i,0.00081134-0.0014392i,0.00082937-0.00079402i,0.00042094-0.00020923i,0.00035965-0.00054199i,0.00083465-0.00097535i,1.9554e-05-0.00093134i,-0.00098027-0.00094438i,-8.7169e-05-0.00046943i,0.00081111-2.289e-05i,-3.9193e-05+0.00011312i,-0.00080254+0.00033536i,-0.00074005+0.00013386i
-0.00081449+0.00073392i,0.00016938-0.00073722i,0.00056074-0.0018772i,-0.00048196-0.0019134i,-0.0011398-0.00014501i,0.0001296+0.0019779i,0.0019303+0.0027951i,0.0025217+0.0028846i,0.0026128+0.0015988i,0.0022026-0.00031199i,0.0014766-0.00085166i,5.613e-05-0.0004335i,-0.00086738-0.00087666i,-0.00067502-0.0017245i,-0.00029372-0.0010311i,-5.2917e-05-8.9811e-05i,5.2431e-06-0.00021926i,-1.339e-05-0.00019824i,0.00031487+0.00014637i,0.00069924+0.00028672i,0.00093629+0.00021947i,0.00066417-0.00010657i,0.00032542-0.00028194i
-0.001882+0.00072859i,-0.0014475+0.0011535i,-0.00091038+0.0014406i,-0.00022302+0.0013368i,0.00062576+0.0016957i,0.0014741+0.00081116i,0.002244-0.00082923i,0.0015709-0.00092873i,3.9054e-05-0.0016216i,-0.00089502-0.0015756i,-0.0015494-0.00060021i,-0.0020813-0.0009108i,-0.0018646-0.0005376i,-0.0021922+0.00022259i,-0.0019279+5.0821e-05i,-0.00067929-3.5297e-05i,-6.4606e-05+0.00020358i,0.00015004+0.00046218i,-0.00021029+0.00024716i,9.1228e-05-0.00039932i,0.00030464-0.00087056i,-6.3211e-05-0.0002351i,-0.00058294+0.0002937i
0.0016551-0.00019489i,0.0011467-0.001984i,0.0016853-0.0024751i,0.001137-0.003137i,0.0006294-0.0031217i,0.00086197-0.002085i,0.00064865-0.0018797i,-0.00017342-0.0018302i,-0.0010139-0.00088973i,-0.0018325+0.000666i,-0.0018532+0.0015483i,-0.0013591+0.001879i,-0.00033904+0.0012806i,0.00057605+0.00048903i,0.00053052+0.00034116i,0.00062373+0.00046679i,0.00018471-2.3521e-05i,-0.00020739-0.0011595i,-6.8089e-05-0.0013665i,-0.00042964-0.00064219i,-0.0004634-0.00010828i,-0.00043364+0.00020037i,-0.00031961+0.00074838i
0.001747-0.00077066i,0.00090602-0.00072184i,0.0012104-0.0018215i,0.0015604-0.0011813i,-0.00051324+0.00088746i,-0.0028162+0.0019394i,-0.0038808+0.00067037i,-0.004126-0.00055565i,-0.0026939+8.9178e-05i,-0.00024686+0.0016126i,0.00096174+0.0012484i,0.0012312-0.00015388i,0.001651-0.00022738i,0.0014651-0.0003902i,0.00062149-0.00093095i,0.00029583-0.0012891i,0.00022383-0.0015964i,-0.00019112-0.00095035i,-0.00046803-0.00059331i,0.00023834+0.00044456i,0.00049492+0.0018235i,0.00015902+0.0013162i,0.00057331+0.00042783i
0.0030338+0.0021567i,0.0031751-0.0001925i,0.0026102-0.0011555i,0.0015834-0.0015753i,0.0008823-0.00047767i,8.6515e-06+0.0011823i,-0.00051069+0.0018213i,-0.00062449+0.0019611i,-0.00027765+0.0018592i,0.00079218+0.00080462i,0.0015228-0.00084664i,0.00093561-0.0011861i,0.00065528-0.0011579i,0.00099891-0.0010662i,0.00069612-0.00098176i,-0.00021966-0.00066283i,-1.6189e-05-0.0002839i,0.0002233-0.00036457i,-0.00044622+0.00011006i,-0.0004789+0.00032432i,-0.00041174+0.00064065i,-0.00035032+0.00082247i,-0.00016923-1.8071e-05i
-0.00096394-0.0025314i,0.00049214-0.0020916i,-0.0003059-0.0012389i,-0.0012547-0.00059087i,-0.00035022+0.0015364i,0.00064797+0.0032867i,0.0015856+0.0024713i,0.0020652+0.0013643i,0.0016129+0.00014485i,0.00036089-0.0014147i,-0.0011629-0.0019471i,-0.0013876-0.0017535i,-0.0013901-0.0012874i,-0.0013915-0.00061774i,-0.0013145-0.00028797i,-0.00048961-0.00046707i,0.00038234-0.00024762i,-0.0003906-4.4263e-05i,-0.00059075-6.1404e-05i,-0.00011822-6.9795e-05i,0.00034524+0.00037388i,-7.8311e-06+0.00071419i,-0.00020879+0.00010536i
-0.001277+0.0010016i,-0.00026738+0.00076408i,0.00029703+0.00079562i,0.00024983+0.0017982i,0.0010889+0.0019704i,0.0023394+0.00070112i,0.0021153-0.00025402i,0.00052627-0.0004124i,-0.00067771-0.00088081i,-0.00099483-0.0013664i,-0.001074-0.00066731i,-0.0014212+4.5785e-05i,-0.001067-3.7571e-05i,-0.00076048+8.6995e-05i,-0.0012671+0.00062163i,-0.00069044+0.0013803i,-0.00028507+0.0014128i,-0.00014277+0.00025244i,0.00038543-0.00076845i,0.00018934-0.00090027i,-0.00051522-0.00045304i,-0.0011394-0.00066373i,-0.0013543-0.00097744i
5.7883e-05-0.0026623i,-0.00054047-0.0019151i,-0.00032398-0.0016877i,-0.00033394-0.0018013i,-0.00022891-0.0010378i,-0.00057564-0.0006471i,-0.0012206-0.0013166i,-0.0014389-0.0010324i,-0.0018987-8.9558e-05i,-0.0019868+0.0012153i,-0.0018724+0.0018826i,-0.0014803+0.0021804i,-0.00070739+0.0022427i,-0.00025256+0.0016971i,0.00036222+0.00094947i,0.0012881+0.00011301i,0.00095355-0.00049784i,8.8605e-05-0.00038672i,-0.00055118+0.0003905i,-0.00049877+9.3437e-05i,0.00043374-0.00077701i,0.00047022-0.00059193i,0.00025759-0.00010366i
0.0011759+0.0018173i,0.0010124+0.00061657i,0.00040435-5.4081e-05i,-0.00043302-0.00069089i,-0.0012051-0.000327i,-0.0025047+0.00069565i,-0.0031796+0.00098155i,-0.0029218+0.00083608i,-0.0022299+0.0018519i,-0.0012993+0.0028021i,-3.6378e-05+0.0022763i,0.0014433+0.0012186i,0.0014458+0.00093384i,0.00086039+0.0010332i,0.00029485+0.0006903i,-5.8411e-07+4.5244e-05i,-0.00045176-0.00073049i,-0.00096808-0.00071255i,-0.00053261-0.00018788i,-0.00012296-0.00010697i,0.00038665+0.00058649i,0.00080185+0.00075935i,0.00089699+0.00010807i
0.00040135-0.0017887i,0.00061578-0.0014276i,0.00065226-0.002743i,0.00091122-0.0033121i,0.00039338-0.00018675i,-0.00082934+0.0024328i,-0.0012441+0.0025408i,-0.00051766+0.0020613i,0.00044218+0.001778i,0.001389+0.0012129i,0.002029+7.8456e-05i,0.00078958-0.0013189i,-0.00029192-0.0022202i,-1.1087e-05-0.0015544i,-6.4668e-05+5.6569e-06i,-0.00013757+0.00058563i,-0.000286+0.00052711i,-0.00028033+0.00051516i,0.00026582+0.00015678i,0.00096409-0.00022501i,0.00081921-4.38e-05i,-0.00019675-0.00014134i,-0.00018142-4.4144e-05i
-0.00244+0.00099295i,-0.0023439+0.00042086i,-0.0025769-0.00016395i,-0.0027864+0.0011766i,-0.0019908+0.0030515i,0.00052229+0.0040997i,0.0017439+0.0026272i,0.0012824+0.00029175i,0.0004576-0.0014105i,-0.00070973-0.0017254i,-0.00079103-0.0010547i,-0.000105-0.00070996i,-0.00059562-0.00030626i,-0.0010089+0.00024283i,-8.9989e-05+0.00081884i,0.00029342+0.00064964i,0.00038365+0.00082173i,0.00085996+0.0017291i,0.00050966+0.0014437i,0.00043946+0.00035139i,0.00013521+5.2836e-05i,-0.00031361+0.0008335i,-0.00019309+0.00072658i
-0.0016465-0.00040325i,1.7958e-05+0.00042715i,0.00080716+0.00037543i,0.00037867+0.00088458i,0.0011471+0.0015975i,0.0028957+0.0010384i,0.0021968-0.00015719i,0.00040099-0.0009871i,-0.00060348-0.001302i,-0.0014328-0.0013804i,-0.0022237-0.00080041i,-0.0016332+0.00015842i,-0.00059137+0.00035457i,-0.00076164+5.5389e-05i,-0.00026552+0.00038385i,0.00061097+0.00091185i,-0.00029637+0.00032628i,-0.001117-0.00088463i,-0.00028497-0.0010261i,-0.00024222-0.00057685i,-0.00019648+3.3877e-06i,-5.3708e-05+0.00033075i,-0.00034553+0.00038333i
0.0031016+0.0028986i,0.0013524+0.0017129i,0.0010178-0.00092681i,0.00021151-0.0015684i,-0.0013623-0.0011962i,-0.001496-0.0007396i,-0.00084283-0.00027329i,-0.0015247+0.00034684i,-0.0030192+0.00059007i,-0.0032749+0.00089459i,-0.0024919+0.0012539i,-0.00099891+0.0011778i,0.00017951+0.0014982i,0.00098594+0.0011541i,0.0011124+7.6766e-05i,0.00090842-0.00056314i,0.00076517-0.00088281i,0.0003157-0.00081305i,0.00030573-0.00052382i,0.00035105+9.3635e-05i,0.00016555+0.00032593i,0.00017411+0.00035443i,-0.00041889+0.00060417i
0.0026363-0.0045331i,0.0016596-0.0031292i,0.00047566-0.0033716i,-0.0010749-0.0028488i,-0.0029788-0.0011923i,-0.0032494+0.00051032i,-0.0014007+0.0019944i,-0.00052195+0.0024832i,0.00032485+0.0019409i,0.00025787+0.001149i,-0.00011051+0.00071087i,0.00041925+0.00098505i,0.00038904+0.0004317i,-8.8314e-05-0.00015139i,-5.6123e-05+8.2275e-05i,0.00016483+0.00011433i,0.00019122-9.8091e-05i,0.00021134-0.00012023i,0.0001595+0.00039984i,0.00032268+0.00085205i,-0.00013946+0.00034286i,3.0091e-05-0.00044264i,0.00045029-0.00053482i
0.00030491-0.00075287i,-0.00012642-0.0019365i,0.00061913-0.0036585i,0.00082866-0.0030354i,5.4208e-05-0.00043938i,-0.0009705+0.0013914i,-0.00072838+0.0017152i,0.00070697+0.0014531i,0.0018074+0.0011984i,0.0018203+0.00034867i,0.0017483-0.00026351i,0.0013501+0.00014145i,0.00085542+0.00019503i,0.00027254-0.00014642i,2.9649e-05-0.00096135i,-0.00029064-0.0013744i,-0.00014559-0.00062992i,0.00038431+0.00031467i,0.00095214+0.00073573i,0.0010897+0.00055804i,0.00068269+0.00023123i,0.00044979-0.00010945i,0.00073185+0.00017552i
-0.0015094+0.001561i,-0.00099172+0.0021404i,-0.00029818+0.0013683i,-0.00067628+0.00060839i,9.3506e-05+0.0009981i,0.0016683+0.0014199i,0.00086091+0.00070096i,0.00037747-0.0011146i,0.00089936-0.0020565i,0.00057394-0.0022711i,0.0007832-0.0020067i,0.0012219-0.0011051i,0.00025655-0.0011601i,-0.00049486-0.0011757i,-0.00033391-0.00052268i,-1.2575e-05-0.00033044i,0.00025219-0.00065016i,0.00067182-0.00087963i,2.3175e-05-0.00084683i,-0.00034569-0.00057751i,0.00026013-0.00029985i,0.00087259+0.0005219i,0.00062309+0.00096596i
0.0015032+0.0035726i,0.0015531+0.0012163i,0.0013154+0.00041491i,0.0011426+0.00030257i,0.0015401-0.00013482i,0.0010796-0.00027165i,-0.00038096-0.00092312i,-0.0015263-0.0017113i,-0.0022927-0.0016057i,-0.0020758-0.0012167i,-0.0014767-0.00063371i,-0.0012945-7.6503e-05i,-0.0013481+0.00032726i,-0.00094618+0.0001233i,-0.00026457-0.00013718i,-0.00016602+0.00020346i,0.00025936-0.00027185i,0.00074815-0.00057155i,-0.0001878-0.0010019i,-0.0012425-0.00094388i,-0.00073118+0.00039054i,-0.00028518+0.0015478i,-0.00037268+0.001701i
0.00092462+0.0018443i,0.0017066+0.0007781i,0.0014194-0.0005975i,0.00033609-0.000828i,-0.00017289-8.7524e-06i,0.00016619-0.00036596i,3.0214e-05-0.00028859i,-0.001639+0.0010768i,-0.0029668+0.0021539i,-0.0026319+0.0024034i,-0.0012988+0.001926i,-0.00066964+0.00091656i,-0.00029859+0.00022712i,0.0006588+0.00068832i,0.00056037+0.0011871i,0.00068064+0.00076039i,0.0011822-0.0007072i,0.00028713-0.0014114i,-0.00050091+2.1787e-05i,-0.00069633+0.00095059i,-0.00030632+0.00039865i,-0.0001969+0.00088425i,-0.00045543+0.0014114i
0.0017803-0.0026541i,0.00054837-0.003087i,-0.0011268-0.0030522i,-0.0020078-0.00079347i,-0.0028997+0.00042356i,-0.003149+0.0010968i,-0.0014416+0.0011755i,2.3835e-05+0.001672i,0.0010276+0.0019752i,0.0016937+0.0018907i,0.0012684+0.002769i,0.00085694+0.0029965i,0.00084497+0.0022138i,0.00037698+0.00054292i,-0.00024529-0.00022403i,7.5107e-05+0.00040799i,0.00017818+0.0004159i,8.8827e-05+0.00024271i,0.00034089+0.00040184i,2.5141e-05+0.00090613i,0.00047735+0.00060147i,0.0015775-6.24e-05i,0.00068849-0.00012922i
0.00070333-0.00095223i,-0.0010451-0.00099881i,-0.00026852-0.0025523i,-6.0644e-05-0.0023521i,-0.00065238-0.00033483i,-0.00022796+0.00085691i,0.00023153+0.00094711i,0.001231+7.9137e-05i,0.0022081-0.0012198i,0.0016826-0.0007061i,0.00085162-0.00034138i,8.9975e-05-0.00047396i,-0.00055546-0.00045973i,-0.00070386-0.00056769i,-0.00028538+0.00025355i,0.00025706+0.00072372i,0.00058757+0.0005586i,0.00085197+0.00081502i,0.0012164+0.00080849i,0.001312+0.00025944i,0.00074551-0.00012559i,0.00058578+0.00016824i,0.00086353+0.0002936i
-0.00058031-0.00076237i,8.4421e-06-0.0006864i,-0.00081271-0.0020511i,-0.0031294-0.0013588i,-0.0034805+0.0012121i,-0.0015046+0.0022357i,5.0551e-05+0.00089472i,-9.8023e-05-0.0012193i,-0.00041887-0.0020866i,-0.0013058-0.0022661i,-0.0017608-0.0019642i,-0.000258-0.00055969i,0.00018826-0.00019066i,0.00012318-0.00096058i,0.00029966-0.00052467i,0.001133+0.00025763i,0.0017478+0.00049626i,0.00116+1.189e-05i,0.00036385-0.00077539i,-0.00036459-0.00057682i,-0.00017484+4.1656e-05i,0.00062415-0.00044849i,0.00042095-0.000958i
-7.8411e-05-0.0015582i,0.00015291-0.0010073i,-0.00031779-0.0019683i,-0.0014147-0.0022213i,-0.00092785-0.00031807i,-0.00096559+0.0015179i,-0.0011842+0.0011716i,-0.0012963-0.00023374i,-0.002189-0.00052491i,-0.0023088-0.00076004i,-0.0018866-0.00097089i,-0.0016119+0.00011744i,-0.00149+0.001195i,-0.00093653+0.00092519i,-0.00030435+0.00067549i,0.00033842+0.00052403i,0.00067836-0.00010864i,0.00042376-0.00085802i,0.00017641-0.0013511i,0.00026985-0.001004i,0.00047166-0.00033014i,0.00015434+0.00014356i,-0.00026976-3.937e-05i
0.0026403+0.00023619i,0.0012878-0.0015139i,-0.00020768-0.0024021i,-0.0011498-0.0016453i,-0.001224+0.00021692i,-0.00067277+0.0018782i,-0.0002782+0.0018874i,-0.0009339+0.0019614i,-0.0015419+0.0018876i,-0.0013354+0.0013483i,-0.00093213+0.0014127i,-0.0002402+0.00098489i,0.00081041+0.00020808i,0.0010098-0.00010651i,0.00072833-0.00023606i,0.00011049-5.3837e-05i,-0.00021083-0.00026188i,-5.7107e-05-4.4312e-05i,-0.00029848+0.00034732i,-0.00035718+0.00035959i,0.00053451+0.00049807i,0.00062695+0.00098573i,0.00053606+0.00090431i
0.00025169-0.0018039i,0.00024921-0.0015396i,0.00032299-0.00044341i,0.00033565+0.0012498i,0.00019704+0.0027033i,0.00045802+0.0028198i,0.00021068+0.0021572i,0.00029138+0.0015175i,0.00043354+0.00079237i,0.00052858+0.00075793i,0.00088125+0.00074562i,0.00082772-0.000811i,0.00040344-0.0017601i,-0.00047552-0.001427i,-0.0011274-0.00041847i,-0.00052845+0.00034198i,0.00012489+0.00029068i,-0.0001016+0.00030558i,-0.00056347+0.00065739i,-0.00041643+0.00015128i,0.00039035+0.00022725i,0.00071758+0.00051152i,0.00037742+0.00064466i
0.0012182-0.001184i,0.0009801-0.0007531i,0.0015401-0.0013618i,0.00082829-0.0024077i,-0.00016256-0.0011823i,-0.00045249+0.001432i,0.00082224+0.0013778i,0.0020108-0.00022591i,0.0016199-0.00089969i,0.00060201-0.0014754i,0.00044724-0.0018049i,-0.00018222-0.0012413i,-0.00066277-0.00091778i,-0.00015353-0.00181i,-0.00048805-0.0011498i,-0.00063297+0.00044949i,-2.5019e-05+0.00037789i,0.00032771-0.00017472i,0.00022187-0.00042056i,2.8293e-05-0.00047671i,0.00011867-0.00048107i,0.00037033-0.00068566i,0.00024405+1.4849e-05i
0.0010899-0.0030846i,0.00067357-0.0023792i,1.4802e-05-0.0041492i,-0.0013899-0.0041955i,-0.0021326-0.0025793i,-0.0014462-0.00073112i,-0.00071752-0.00089468i,-0.00088616-0.0022177i,-0.0023141-0.0027623i,-0.0029165-0.0026827i,-0.0018817-0.0013411i,-0.00064603-0.00090069i,4.8266e-08-0.00073804i,-0.00035939-0.0002417i,0.00015754-0.00039006i,0.00095022+0.00027325i,0.001056+0.0012533i,0.0014053+0.00068988i,0.00096402-0.00015948i,-0.00015244+0.00017145i,-3.8093e-05+0.00027651i,0.00035353+8.6175e-06i,7.3761e-05+0.00027271i
-0.00089648+0.0017561i,-0.0015149+0.00025407i,-0.0021054-0.00040656i,-0.0024682-7.3143e-05i,-0.0019515+0.00040568i,-0.00071654+0.00079973i,-0.0011422+0.00094895i,-0.0035283+0.00087279i,-0.0044659+0.0012382i,-0.0030181+0.0010332i,-0.0011436-3.8091e-05i,0.00017237-0.00067553i,0.00069741-0.00042806i,0.00030645+0.00024003i,0.000295+0.00058424i,0.00036729+0.00031344i,-0.00035402-0.00038317i,-0.00085038-0.0012734i,-0.00096502-0.00071017i,-0.0013134+6.369e-05i,-0.0010617+0.00013901i,-0.00060657-0.00029562i,-0.00061209+0.00026421i
-0.00012728+9.1579e-05i,-0.00056343-0.00071779i,-0.0013589-0.001002i,-0.0014915-0.00014261i,-0.001829+0.0012713i,-0.001631+0.0022017i,-0.0015645+0.0028671i,-0.0018712+0.0033123i,-0.0010932+0.0032553i,0.00058797+0.0025094i,0.001359+0.0013766i,0.0016179+0.00083111i,0.0013326+0.00066496i,0.0003671+9.4282e-05i,0.00013195-0.00028439i,3.8624e-05+3.9988e-06i,5.8621e-05-0.00036515i,0.00015439-0.00039982i,-0.00025198+0.00069242i,-0.00032302+0.0011681i,-0.00017213+0.00086559i,-0.00062687+0.0010667i,-0.00080948+0.00093524i
0.0015871+0.0016524i,0.0015855+0.001242i,0.0022399+0.0010887i,0.0019963+0.001765i,0.001424+0.0022593i,0.001764+0.0026265i,0.0015894+0.002351i,0.0015054+0.0010984i,0.0019084-0.00026513i,0.0022125-0.0011187i,0.0016748-0.0014462i,0.00096351-0.002175i,0.0013971-0.0022739i,0.0012081-0.0014931i,2.6677e-05-0.0012378i,-4.1444e-05-0.0014738i,0.00028927-0.00087056i,-0.00015527+0.00021803i,-0.00018917-6.2842e-05i,0.00082878-0.00098678i,0.0010419-0.00054848i,2.9756e-05+0.0012929i,-0.00030638+0.0018614i
-0.0013703+8.2734e-05i,-0.0002134-0.00029932i,0.00088788-0.00096384i,0.0010847-0.00072481i,0.001564+0.00072192i,0.0021652+0.0018625i,0.0015427+0.00017318i,0.00059569-0.0017073i,-6.3602e-05-0.0019731i,-0.00069683-0.0014324i,-0.0013588-0.00060372i,-0.0013293-0.00060229i,-0.00084387-0.00049516i,-0.0011077-0.00015565i,-0.0016657+0.00030165i,-0.0011629+0.00050587i,-7.1971e-05+0.00052065i,0.00076437+0.00048521i,0.00038733-0.00033373i,0.00010688-0.00058217i,-0.00011479+0.0004442i,-0.00072521+0.0007587i,-0.00032248+0.00036608i
0.00024422-0.00061445i,0.0010949-0.0017643i,0.0011554-0.0040383i,0.00065395-0.0041113i,0.0010423-0.0024332i,0.0012745-0.0013688i,0.00054051-0.001877i,-0.001245-0.0027036i,-0.0029718-0.0020057i,-0.0037763-0.00039652i,-0.003429+0.00066366i,-0.0021992+0.00094937i,-0.0020366+0.00087614i,-0.001967+0.00045524i,-0.00038259+1.1219e-05i,0.00074423-0.00053536i,0.0008003-0.00076645i,0.00091716-0.00027496i,0.00045496-0.00049036i,-0.00051477-0.00099732i,-0.0003468-0.00055422i,0.00049304+0.00044358i,0.00098452+0.00060547i
