0.0010912+0.00084368i,0.0023991+0.0004976i,0.0012732-0.00012257i,0.00027254+0.00078689i,-0.00047842+0.001881i,-0.0012407+0.0014957i,-0.00099005+0.0017351i,-0.0001936+0.0023546i,0.00035097+0.0028839i,0.00057386+0.0021891i,0.0011554+0.00050736i,0.0014775-0.0006101i,0.0004021-0.00066559i,5.1409e-05-0.0004658i,0.00075501+3.7073e-05i,0.00054034+0.00024292i,2.5957e-05-0.00013618i,-0.0002228-0.00030636i,0.00033525-0.00027902i,0.00024151-0.00070898i,-0.00020894-0.0010337i,0.00036864-0.00098481i,0.00085873-0.0012311i
0.00070963+0.00013034i,0.00022326-8.5039e-05i,0.00014282-0.00068251i,0.00052935+5.7319e-05i,-2.7336e-05+0.0020844i,-9.1839e-05+0.0027035i,0.00035476+0.0020654i,-0.00025341+0.0011373i,-0.0011183-0.00022149i,-0.00035452-0.00036769i,-0.00044995-0.00021086i,-0.00073519-0.00067575i,-1.3525e-05-0.00016739i,-0.00064827+0.00068046i,-0.0010078-0.00017336i,-0.00031185-0.00031796i,-0.00051298+0.00043141i,-0.00041061+0.00020168i,0.0002744-0.00021036i,0.00072098+0.00038949i,0.00081082+0.00088576i,0.00020165+1.3212e-05i,-2.0008e-05-0.000298i
0.0024462+0.0015152i,0.0025005+0.00051452i,0.0020761-0.00038347i,-0.00017001-0.00087295i,-0.0024798+2.9876e-05i,-0.0030466+0.00077147i,-0.0016942+0.00014905i,-0.00086976-0.00076434i,-0.001192-0.0011592i,-0.00097132-0.00063462i,-0.0006875+4.5193e-05i,-0.00089705-0.00015259i,-0.0011299-0.00040643i,-0.00065349+6.8616e-05i,-2.3452e-06+0.00027444i,0.00026117+0.00066693i,-7.1409e-05+0.00097802i,0.00029068-9.6532e-06i,0.00052083-0.00069015i,0.000198-0.00014325i,5.1955e-05-1.0702e-05i,-7.9724e-06-0.0004446i,-0.00036792-0.00049068i
-0.0012603-0.0010172i,-0.0011837-0.00047588i,-0.0016067+0.00040691i,-0.0018388+0.0012744i,-0.0027265+0.0022765i,-0.0027712+0.0021688i,-0.0011742+0.00042685i,-0.00050482-0.0010287i,-0.0014683-0.0014141i,-0.0017898-0.00040969i,-0.00067765+0.00041133i,-0.00048303+0.00025441i,-0.00085448+0.00064289i,-0.00024318+0.0012174i,6.1783e-05+0.00083089i,-0.00011437-3.2335e-05i,-0.0006472+0.00047393i,-0.00092843+0.00048406i,-0.00042816-0.00037168i,4.8005e-05-0.0002835i,-0.0002866+5.9089e-05i,-0.00043736+0.00012362i,-0.00026133-0.00011099i
-0.00086755+0.00054469i,0.00010155+0.0009578i,0.00014848+0.00068871i,-0.00094551+0.0013608i,-0.0011432+0.0021582i,-0.00032952+0.0026776i,0.00029634+0.0016304i,-0.00020879-0.00027377i,-0.0017618-5.7401e-05i,-0.0022999+0.00058241i,-0.0012057+0.00049396i,-0.00020308+0.00075038i,-0.00024235+0.0010045i,0.00033875+0.0010909i,0.0011181+0.00040341i,0.00070309-0.00031279i,0.0003022+0.00040625i,0.00012627+0.0010618i,0.0001452+0.00084055i,0.00030085-5.1659e-05i,0.00010351-9.2349e-05i,-0.00033827+0.00063141i,-0.00046601+0.00086805i
7.0145e-05+0.00063568i,0.00025628+0.0011192i,0.0004279+0.00063279i,-0.0001698+0.00023817i,-5.8942e-05+0.00078315i,0.00016983+0.0010989i,0.00015621+0.0001405i,0.00011092-0.0005308i,-0.00070304-0.00080273i,-0.001118-0.00046474i,-0.00066595-2.8716e-05i,-4.4122e-05-0.00042795i,-1.0647e-05-0.00010381i,-0.00029558+0.00040659i,0.00019736-0.00032697i,0.00045845-0.0011943i,0.00012555-0.00097867i,-0.00036516-0.000427i,-0.00031923-0.00050145i,0.00026752-0.00080572i,0.00019554+3.5856e-05i,-0.00031017+0.00043883i,-1.3371e-05-0.00039737i
-0.0011897-0.0013974i,-0.0015185-0.0011243i,-0.0026036+6.6806e-05i,-0.0032925+0.001323i,-0.003411+0.0016446i,-0.0026473+0.0011634i,-0.0010691+0.00032153i,-0.00064736-0.00030542i,-0.0011061+3.6214e-05i,-0.001197-0.0002396i,-0.00047009-0.0001056i,0.00061573+0.0011314i,0.0012197+0.00097345i,0.00058567+0.00039191i,5.2604e-05+0.00017244i,0.0003885+0.00010552i,0.00047321+0.00049642i,-8.7778e-05+0.00062137i,3.3828e-05+4.5992e-05i,0.0004593-0.00062848i,-5.6092e-05-0.0010968i,-0.00017373-0.0011691i,0.00021349-0.00035867i
0.0013275+0.002086i,0.0015845+0.0013652i,0.0021401+0.00026225i,0.0013494-0.0003505i,-0.00036592+0.00061832i,-0.0016832+0.00095161i,-0.001816+0.00016356i,-0.0015975-0.00044455i,-0.0016591-0.0001458i,-0.0014442+0.00051433i,-0.0011704+0.00029213i,-0.00062306-0.00070743i,-0.0002185-0.00023863i,-9.1793e-05+0.00085615i,-0.00011081+0.00021661i,0.00032119-0.00021784i,0.0001776+0.0005397i,-0.00053726+0.00089109i,-0.00034631+0.00043051i,-5.1427e-05-0.0001745i,-0.00048325-0.00086169i,5.0357e-05-0.00077236i,0.00033561+0.00033417i
0.0011632-0.0018858i,0.00047273-0.0020374i,0.00050806-0.0010966i,-0.00095831+0.00025089i,-0.0026043+0.0018278i,-0.0024946+0.0028293i,-0.00095454+0.0013149i,-0.00061119-3.5421e-05i,-0.0014744-0.00015125i,-0.001825-0.00011236i,-0.0016282-0.00034372i,-0.0012335-0.00042862i,-8.2886e-05-0.00049651i,0.00037537-0.00025634i,-0.00038396-4.2403e-05i,0.00018292-0.0011097i,0.00074372-0.0014361i,0.00072393-0.00014751i,0.0013885+0.00010149i,0.0010098-2.2697e-05i,0.00061871+0.00015753i,0.00073311-0.00016349i,0.00037701-0.00032162i
0.0013007+0.00019144i,0.00090963-0.00037217i,0.00082213-0.00066677i,-0.00096972-0.00023103i,-0.0018544+0.0011488i,-0.0011803+0.0028295i,-0.0010724+0.0027559i,-0.0018282+0.00063018i,-0.002277-0.00035713i,-0.0024797+4.3851e-07i,-0.0017434+0.00046839i,-0.00035029+0.00051969i,-0.00041146+0.00030283i,-0.0010959-0.000434i,-0.00060643-0.00047901i,-0.00019645+0.00035365i,0.00023333+0.00018098i,0.0012779-6.8018e-05i,0.00094031-0.00024786i,-0.00024427-0.00019749i,-0.00018982+8.7179e-05i,0.00058396+0.00032421i,0.00072026+0.00081663i
0.0014132+0.0006934i,0.0012818-1.9757e-05i,0.0010584+0.0001001i,0.00038918+0.00064079i,-0.00027495+0.0015859i,-0.0012407+0.0019768i,-0.0017875+0.00062237i,-0.0012432-0.00045096i,-0.001578-4.1631e-05i,-0.0021764-0.00014703i,-0.001572-0.00032735i,-0.0009427-0.00024729i,-0.00042052-0.00079375i,-0.00081928-0.00048715i,-0.0018152-0.00030884i,-0.0012775-0.00057741i,-0.00024419-0.00057555i,2.741e-05-0.0005778i,0.00010495-0.00054804i,0.00050147-0.00014205i,0.00081831+0.00051459i,0.00056426+0.00036941i,0.0010618+0.0003228i
0.00011234+0.0011917i,0.0015227+0.00069255i,0.0015262+6.7026e-05i,-0.00050397+0.00057665i,-0.0017826+0.0017631i,-0.00065318+0.0015695i,0.00036378+0.0011727i,-0.00039253+0.00044274i,-0.0013413-0.00051215i,-0.0011429-0.0009602i,-0.00064223-0.00059938i,-0.00080422-2.7887e-05i,-0.00070738+0.00033267i,-0.0010579+0.0014841i,-0.0010375+0.0017034i,-6.4611e-05+0.0010926i,0.0005094+0.00083683i,0.00069957+0.00031762i,0.00070424-0.00012331i,0.00028944+0.00011906i,-0.0010199+0.00058628i,-0.0018878+0.0010642i,-0.0011926+0.00097639i
0.00094547-0.00089125i,0.0016703-0.00087801i,0.00051135-0.0012831i,-0.0016601-0.00015295i,-0.003194+0.0024093i,-0.0021468+0.0029835i,-0.00053823+0.001095i,-0.00071225-0.00076449i,-0.001407-0.00090062i,-0.0016749+0.00038488i,-0.001686+0.0011129i,-0.00094916+0.0013512i,-0.00031706+0.00054619i,-2.3576e-05-0.00027199i,-0.00024301-0.00053126i,-0.00048974-7.9789e-05i,-8.615e-05+0.0002778i,0.00059789+0.00014194i,0.00069323-0.00034083i,0.00071576-0.00047282i,0.00058221-0.00020688i,-5.0057e-06+0.00046436i,-0.00021364+0.0011505i
0.00031547-0.00065756i,-0.00046471-0.00079839i,-0.0015676-0.000513i,-0.0015647-4.3091e-05i,-0.0010912+0.0016948i,-0.0010738+0.0027847i,-0.0015222+0.001947i,-0.0015906+0.00018589i,-0.002005-0.0008419i,-0.0023664-0.00040767i,-0.0023102-7.4578e-05i,-0.0018311-0.00012705i,-0.00096251+4.9948e-05i,4.8987e-05+0.00050483i,0.00026623+0.00038742i,0.00050438+0.00034544i,0.0007826+0.00044955i,0.0002158+0.00013026i,0.00028803+0.00013931i,0.00042772+0.00011501i,0.00035715+9.2883e-05i,0.00050265+0.00094906i,0.00072058+0.00076718i
-0.0013834-0.001665i,-0.0012915-0.00053633i,-0.0012743+0.00027251i,-0.0027074+0.0010227i,-0.003698+0.0021655i,-0.0019874+0.0023423i,-0.0003441+0.00091248i,-0.00096699-3.2482e-05i,-0.0026176+9.4206e-05i,-0.0025269+0.00038979i,-0.0010352+0.00040259i,-0.00028268+0.00064787i,0.00023411+0.00071678i,0.00055388+0.00056557i,-3.8368e-05-0.00010429i,-0.00065124-0.0011199i,-0.0013455-0.0014784i,-0.0014794-0.00076121i,-0.0007402-0.00048602i,-7.1512e-06-0.0004953i,0.00098609+0.00016072i,0.00098795+0.00043747i,0.00086574+0.00043153i
0.00068476-0.0007533i,-0.00049872-0.0010126i,-0.0020314-0.0011799i,-0.0028515+0.00042301i,-0.0020789+0.0030224i,-0.00033751+0.003963i,0.0012063+0.0017513i,0.00047443+0.00020191i,-0.0014016-0.00023646i,-0.0021981-9.6942e-05i,-0.0014234-0.00062531i,0.00011204-0.00059258i,-8.3109e-05+0.00034081i,-0.00022202+0.00014054i,0.00028617+6.0221e-05i,9.9909e-05+0.00061595i,-0.00034238+0.00043351i,-0.00024764+0.00026849i,0.00056431-0.0002844i,0.00061914-0.00041784i,8.0346e-05+0.00012663i,0.00019852+0.00057333i,0.0004133+0.000351i
0.0013546-0.0012462i,0.00036733-0.0024853i,-0.0013986-0.0032615i,-0.0030298-0.0017632i,-0.003995+0.00048677i,-0.0035686+0.00062429i,-0.0039994-0.0012163i,-0.0070096-0.0027313i,-0.0086816-0.0005297i,-0.0070473+0.0028038i,-0.0040084+0.0039674i,-0.0015154+0.0036417i,0.00029643+0.0027605i,0.0016427+0.0015964i,0.0020197+0.00071019i,0.001807+0.00016789i,0.00091356-0.00033902i,0.00017165-0.0010384i,0.00020239-0.0010648i,-0.00026729-0.00086174i,9.1767e-05-0.00055209i,0.00044065+0.00018149i,0.00020431+0.00044191i
-0.00033196-0.0010932i,-0.00090566-0.00039501i,-0.001256-8.2466e-05i,-0.0021091+0.00059858i,-0.0029634+0.0019741i,-0.0019866+0.0025479i,-0.00050831+0.0016012i,3.9709e-05+0.00022117i,-0.00072747+0.00032667i,-0.0016283+0.00058309i,-0.001038-0.0001119i,-0.00017614-0.00024416i,-0.00018854-0.00010677i,-0.00037649-0.00027247i,0.00016631+0.00024586i,0.00033744+0.00023145i,-0.00027746-0.00080879i,-0.00016463-0.0010192i,0.00049557-0.00022555i,0.0011687-0.00015615i,0.0010775-0.00069122i,-0.00046634-0.00046477i,-0.00067374+7.9906e-05i
0.0014915+0.00079738i,0.0020068+0.00055853i,0.0015666+0.00079452i,-0.00040682+0.00073185i,-0.0014712+0.0015605i,-0.0010341+0.0030145i,-0.0001269+0.0024085i,0.00020901+0.0007575i,-0.00072122+0.00079049i,-0.00094997+0.00091543i,-0.00037058-3.1307e-05i,-0.00010409-0.00031415i,-0.00042153+0.00018105i,-0.00029609+0.00047977i,-0.00010027+0.00042688i,-0.00046984+0.00013306i,-0.0004564-0.00050851i,-3.0416e-05-0.00055509i,-7.0938e-05-0.00056815i,-0.00065168-0.00058093i,0.0001925-0.00072328i,0.00046885-0.00038931i,-0.00015731+8.4169e-05i
6.3953e-05-0.00070504i,0.00030631-0.00064495i,-0.00043961+9.7686e-05i,-0.0018874+0.0014972i,-0.0031668+0.0016373i,-0.0021616+0.0013655i,-0.00036591+0.00065004i,-0.00032695-0.001216i,-0.0014546-0.0010186i,-0.0017555-0.00022869i,-0.00090264-1.6857e-05i,-0.00035698+0.00018411i,-0.00054475+0.00018486i,-0.00043208-6.9972e-05i,-0.00049121-9.7077e-05i,1.0658e-05-4.3579e-05i,0.00011338-0.00016823i,-0.00038512+0.00011311i,-0.00061372+0.0002361i,-0.000187-0.00013054i,-0.00031434-0.00087002i,-0.00034376-0.000767i,-7.049e-06-0.00033284i
0.0024529+0.00077767i,0.0013334-0.00055824i,0.00045938-0.0016873i,-0.00083388-0.0018992i,-0.0022078-6.0646e-05i,-0.0025209+0.0016424i,-0.0016197+0.0013852i,-0.0011003+0.00099558i,-0.001526+0.0012419i,-0.0014385+0.000782i,-0.00087298-0.00010369i,-0.00082461-0.00015143i,-0.00083957+0.00035701i,0.00020394+0.0007455i,0.00095284-0.00029878i,0.00056228-0.00093886i,-0.00012934-0.00037358i,-0.0010613-0.00045295i,-0.001073+3.0528e-05i,-2.0134e-06+0.001106i,0.00073323+0.0011432i,0.00043973+0.00053468i,0.00053599-0.00011258i
6.3723e-05+9.8871e-05i,0.00099838-0.00034728i,0.0004826-0.0010597i,-0.0013039-0.00037964i,-0.0026598+0.0017991i,-0.001863+0.0027858i,-0.00026444+0.0013482i,-0.00038014-0.00075032i,-0.0013886-0.0016044i,-0.0012448-0.0014037i,-0.00089634-0.00088144i,-0.0010854-0.00021527i,-0.0010558+2.5634e-05i,-0.00056004-0.00012717i,0.00038572+0.00043781i,0.0010302+0.00079845i,0.00043554+0.00059565i,0.00010168+0.00058581i,0.00043984-6.8974e-05i,0.00016043-0.000589i,0.00034425-0.00034738i,0.00028629+4.3895e-05i,-0.00025928+0.00029525i
-0.00066675+0.00052579i,-0.00058574-0.00015948i,-0.00047528-0.00036151i,-0.00090075+0.00020093i,-0.002081+0.0015595i,-0.0022592+0.0024415i,-0.0012439+0.0012967i,-0.00023198-9.4503e-05i,-0.00062763-0.00055052i,-0.001559-0.00048016i,-0.0011779-0.00013705i,-0.0003918+8.1968e-05i,-0.00013285+0.00038139i,0.0002182+0.00045439i,0.00037998+0.00026385i,0.00036321+0.00011789i,-0.00019245-1.7484e-05i,-0.00039501-0.00046943i,0.00024599-0.00046755i,0.00027588-0.00022816i,-6.8417e-05-0.00027022i,-0.00020639+9.822e-05i,-0.00035041+0.00019185i
-0.00028059+0.00010512i,0.00033782-0.00071663i,-0.0003064-0.0013308i,-0.0011068-0.00046117i,-0.0011261+0.0016322i,-0.00087939+0.0024377i,-0.00032306+0.0013975i,-0.00057867-0.00025228i,-0.0012181-0.001193i,-0.0013192-0.0013569i,-0.0010501-0.00046588i,-0.0013404-0.00036044i,-0.0012771-0.0010471i,-0.00020935-0.00075246i,0.0004398-0.00015033i,0.00018756-0.00035449i,-6.2843e-05-0.00048191i,0.00035895-0.00025327i,0.0014113-0.00024331i,0.0018221-0.00024698i,0.0007265-0.00039222i,0.00036569-3.2737e-05i,0.0011397+0.00026578i
-0.00072472+0.00087271i,-0.0005067+1.9357e-05i,-0.0002593+0.00030021i,-0.0012619+0.0013947i,-0.0026328+0.0021011i,-0.0010438+0.0026045i,6.7188e-06+0.0017208i,-0.00090607-5.7958e-05i,-0.0018329-0.00062751i,-0.0024216+0.0001355i,-0.0018108+0.00049036i,-0.0006052+0.00016449i,-0.00094136-0.00028924i,-0.0013488-0.0011009i,-0.00029816-0.0010079i,0.00031525-2.7e-05i,0.00051787+0.00012811i,0.00076968+0.00040109i,0.00092144+0.00023118i,0.00088243-0.00056447i,0.0010601-0.00084489i,0.00096123-5.3193e-05i,0.00051332+0.00067926i
-0.00020335-5.7836e-06i,0.000617+0.00014503i,0.0013812+0.00078925i,8.3082e-05+0.00053404i,-0.0015346+0.00094765i,-0.0020445+0.0011087i,-0.0015357+0.00061365i,-0.00059959+2.1747e-06i,-0.00080492+0.00011701i,-0.001445+0.0005566i,-0.0016399+0.000309i,-0.0013175-0.00011295i,-0.00057834-0.00079425i,-7.5435e-05-0.00058516i,0.0003017-5.3549e-05i,0.00066784+0.00021825i,0.00046492+8.5233e-05i,0.00026945-0.0005905i,-0.00019113-0.00035729i,-0.00029009+0.00034705i,-0.00054019+0.00065067i,-0.0012567+0.0002867i,-0.0014195+0.00074244i
-0.0010098+0.0011069i,-0.00027156+0.0007753i,-0.00024394+0.00057164i,-0.00036738+0.0010421i,-0.0010795+0.0023889i,-0.0011535+0.0019668i,-0.00073228-0.00034891i,-0.0012634-0.0013206i,-0.0019333-0.0010703i,-0.0021278-0.00095639i,-0.0013063-0.00026208i,2.9213e-05+0.0004431i,0.00052294+0.00031322i,6.2843e-05+4.4632e-06i,-0.00061159+3.8637e-05i,-0.00041522+0.00042721i,2.6322e-05-0.00013028i,0.00045141-0.00054151i,0.00087799-0.00035941i,0.00046957+0.00014275i,-0.00032285+0.00034829i,-0.00083143-4.0683e-05i,-0.0010216-6.3586e-05i
0.00056318+0.0015299i,-0.00042829+0.0021993i,4.3493e-05+0.0022666i,-0.00030527+0.0019423i,-0.001668+0.0014439i,-0.0016522+0.00035889i,-0.0014262-0.00019236i,-0.0014203-0.00075123i,-0.0012427-0.0015877i,-0.0012636-0.00098421i,-0.0011814-8.6109e-05i,-0.0012126+0.00057023i,-0.00168+0.00078961i,-0.0014089+2.1384e-05i,-0.00064117-0.00023571i,-0.00012907+0.00013833i,0.00022282-0.00020869i,-9.1366e-05+4.0267e-05i,-0.00077558+0.00075816i,-0.0010127+0.00043729i,-0.00017503-6.6183e-05i,0.00053526+0.00017815i,0.00046251+0.00033061i
0.00099186+0.001071i,0.0015184+0.0011032i,0.00092315+0.0014222i,0.00030028+0.0017854i,-0.0012938+0.0020977i,-0.001748+0.0020686i,-0.00050765+0.0010409i,-0.00028181+0.0001444i,-0.0010394-0.00046199i,-0.0010295-0.00063389i,-0.00047081-8.1085e-05i,0.00056494+0.00031685i,0.0011644+0.00050577i,0.00060957+0.00056657i,-0.00021431-4.0543e-05i,-0.00039317-0.00043258i,-0.00052111-0.00076526i,0.00024608-0.00086189i,0.0009631-0.00013456i,0.00025388-0.00020093i,-0.00072677-0.00061541i,-0.00061381-0.00021257i,6.0814e-05+0.00040203i
0.00077727+0.00036815i,0.00046149-0.00010386i,0.00025113-0.00086283i,2.6175e-05-0.00076797i,-0.00031872+0.00082744i,-0.001009+0.00083898i,-0.0010658+0.00044225i,-0.0013096-2.8743e-05i,-0.00219-0.00074611i,-0.0022211-0.001082i,-0.0016471-0.00067024i,-0.0011833+2.9086e-05i,0.00013361+0.00080361i,0.00080879+0.00076927i,0.00016595+8.8456e-05i,-0.00023479-0.00025975i,0.00039518+3.1461e-05i,0.0013297+0.0003158i,0.0010994+0.0004291i,0.00066398+8.0846e-05i,0.00047892+0.00019935i,-0.00015335-0.00017089i,-0.00025376-0.00030989i
0.0011219-0.0016522i,-0.0007334-0.0017769i,-0.0013325-0.0019533i,-0.0015641-0.0010298i,-0.0025832+4.9894e-05i,-0.0026339+0.00075639i,-0.00079565-0.00023439i,-0.00017778-0.001488i,-0.00029408-0.0013247i,-8.7519e-05-0.00047638i,-0.00039315-0.00035161i,-0.00059815+6.606e-05i,0.00013035-7.0311e-05i,0.00071765-0.00067657i,0.00014568+0.00011437i,-0.00026324+0.00016373i,-0.00014118-0.00030425i,-4.0173e-05-0.00012735i,-0.00012893-0.00014644i,0.00049099-3.2154e-05i,0.0015853-0.00014361i,0.0012848-0.00078753i,0.00065808-0.0011843i
0.0017491-0.0014156i,0.00078851-0.00084673i,9.8728e-06-0.00056932i,-0.0011037-0.00089975i,-0.0022748+0.00092996i,-0.0021743+0.0023089i,-0.00077395+0.0011289i,-0.00035303-0.0004957i,-0.0012193-0.00039266i,-0.0012378+0.00017976i,-0.00061919+0.00069512i,-0.00068345+0.00088668i,-0.0009005+0.00027627i,-0.0009238-0.00045887i,-0.00043099-0.00072039i,0.00076712-0.00035683i,0.00096158+6.705e-05i,9.1385e-05-0.00019986i,-0.00027042+5.5828e-05i,-0.00014118+0.00056837i,0.00014681+0.00053463i,0.00072013+0.00051355i,0.00036916-0.00011297i
6.2729e-05-0.00011648i,9.1668e-05+0.0013065i,-0.00090575+0.0020841i,-0.0015046+0.0016956i,-0.00094622+0.0019709i,-0.00042373+0.0013686i,-3.5948e-05-0.00023325i,-0.00052483-0.0013308i,-0.0014856-0.00074543i,-0.001486+4.5916e-05i,-0.00096026-0.00014668i,-0.00026102-0.00032518i,-9.7108e-05+4.2468e-05i,-0.00060598-0.00024173i,-0.00020456-0.0010867i,0.00032587-0.00051686i,4.8277e-05+0.00024361i,-5.6237e-05+0.00080249i,0.00033835+0.00062378i,0.00058293+0.00014385i,0.00040066+0.00036077i,0.00051366-0.00016136i,0.00029666-0.00079813i
0.00046884-0.0011931i,-0.00035289-0.0011393i,-0.0012525-0.00028152i,-0.0015067+0.00050343i,-0.0017446+0.0021372i,-0.0015849+0.0032269i,-0.00049112+0.002093i,-6.7899e-05+0.00025624i,-0.00062092-0.00011158i,-0.000702+0.00014627i,-0.00011644+0.00031735i,-0.00046225+0.00010261i,-0.00064315+4.9539e-06i,0.00021112+0.00057992i,0.00035118+0.00033732i,6.9234e-06-0.00058517i,0.00030749-0.0010613i,0.00048006-0.00025538i,0.00054479+0.00047517i,0.00176+0.00061129i,0.0011149+0.0007423i,6.0929e-05+0.00079605i,7.8788e-05+0.00046318i
0.00096766+0.00015204i,0.00068338-0.00011362i,0.00060278-0.00024013i,-0.00043507-6.3186e-05i,-0.0019967+0.0016928i,-0.0015648+0.0026231i,-0.00033809+0.0018838i,-0.00023467+0.00034912i,-0.00051207-0.00048738i,-0.0015472+3.6847e-05i,-0.0017377+0.00030211i,-0.00094527-0.00022514i,-0.00070464-0.00020376i,-0.00075876-0.00014052i,-0.00079907-0.000494i,-0.00030084-0.00011354i,0.00082079+5.177e-05i,0.00092033-0.000145i,0.00053609-0.00030793i,0.00051549-0.00013957i,0.00054602-0.00014548i,-0.000196-0.00065074i,-0.0001604-0.00030893i
-0.00018928-0.0012665i,-0.0015704-0.0011446i,-0.0020168-0.0010598i,-0.0021618-0.00014808i,-0.0026481+0.0017842i,-0.0021769+0.0026613i,-0.00082047+0.0015301i,-0.00059366+0.00017688i,-0.0014331-0.0001229i,-0.0022073-0.00023914i,-0.001912-0.00032159i,-0.0014241-0.0001506i,-0.0010388+0.00060201i,-0.00034448+0.0010399i,-0.00047188+0.0010539i,0.00021784+0.00074523i,0.00064848-0.00014006i,-0.00019968-0.00070905i,-0.00068143-0.00066839i,-0.00048652+8.8769e-05i,0.00070676+0.00036664i,0.0008153-5.7149e-06i,-3.6118e-05+1.2642e-05i
0.00063286-0.0010128i,0.00099151-0.0011692i,0.0005931-0.0018549i,-0.00088144-0.0011686i,-0.0024657+0.0011289i,-0.002354+0.0028838i,-0.0012992+0.0017917i,-0.0013694+0.00014555i,-0.0027428-0.00025676i,-0.0020966-0.00050613i,-0.0012395-0.0010742i,-0.0011774-0.00023405i,-0.0010862+0.00032044i,-0.00066731-0.00011224i,0.00037031-0.00058732i,0.00098124-0.00054439i,0.00083963-0.00077017i,0.00012942-0.0013618i,0.00056054-0.0010234i,0.0016462+0.00033246i,0.00094736+0.00054245i,-0.00037783+0.00015621i,-0.00099899+0.00025982i
0.00020003-8.6214e-05i,-0.00015054-0.00092503i,-0.00052625-0.00096749i,-0.0018473-7.6254e-05i,-0.0016972+0.0019011i,-0.0011496+0.0025702i,-0.00069214+0.0011082i,-0.0011268-0.00052475i,-0.0022693-0.00049333i,-0.0022142-0.00020985i,-0.0017677-0.0011273i,-0.0013318-0.0012766i,-0.00095436-0.0009179i,-0.00077112-3.4334e-05i,-0.00087817+9.2007e-05i,-0.00080603-0.00012651i,-0.00031332+0.00072197i,-0.00051131+0.00043562i,-0.00097563-0.00015527i,-0.0012245-0.00026512i,-0.00083369-0.00066655i,-0.00030174-0.00073802i,0.00020209-0.00055166i
0.00043112-0.00033963i,0.00049424-0.0006336i,0.00076216-0.0012267i,-0.00098971-0.00094597i,-0.0035315+0.00044715i,-0.003798+0.0016203i,-0.0019298+0.0012081i,-0.0010214+8.4064e-05i,-0.0014665-0.00086995i,-0.0015692-0.00078118i,-0.00098063-0.00031358i,-0.00023839-0.00054609i,-0.00042176-0.00016213i,-0.00062285-0.00010918i,-0.00034982-0.00047958i,-0.00058147-0.0003109i,-0.00046939-0.00042076i,-2.8878e-05-0.00080051i,0.00043584-0.00096539i,0.00091995-0.0013548i,7.1079e-05-0.00098535i,-0.00076205-0.00011477i,-0.0006472+0.00056087i
0.0005904+0.00052906i,0.0021221+0.00093321i,0.0018241+0.00096276i,0.00060261+0.00032279i,-0.00019913+0.0013733i,-0.00096839+0.0017303i,-0.00086477+0.0010093i,-0.00093512-0.00029193i,-0.0015841-0.0010129i,-0.0017014-0.0004014i,-0.00095174-0.00033208i,-0.00015074-0.00067869i,-0.00013677-0.00043057i,-0.00030127-0.0002422i,-1.4475e-05-0.00037299i,-6.1644e-05-0.0001124i,-4.2112e-05-0.00034444i,1.7408e-05-0.00095944i,7.2473e-05-0.00097488i,-3.4739e-05-0.00038985i,0.00016772+4.2565e-05i,-0.00025859+0.00039666i,-0.0006676+0.00045417i
-0.0020105-0.0010685i,-0.0017492-0.0005726i,-0.0017893+0.0011123i,-0.002437+0.0019827i,-0.0025115+0.002199i,-0.0015178+0.0024i,-0.00047385+0.0012804i,-0.00068425-2.4154e-05i,-0.0016183-0.00017213i,-0.0016899-4.9361e-05i,-0.00075217+8.8923e-05i,-0.00037521+0.00033596i,0.00019814+0.00045085i,0.00016435-0.00048315i,-0.00059049-0.00083707i,-0.00051855-0.00038028i,-0.00034132-0.00044838i,-0.00050694-0.00033235i,6.3641e-05-0.0004951i,0.0005155-0.0010357i,0.00051276-0.0008963i,0.00070686-0.00040992i,0.00053052-0.00025613i
0.00074771-8.5351e-05i,0.0013967-0.0001148i,0.0017944-0.000291i,0.00054961-0.00035104i,-0.0012786+0.00073029i,-0.0018136+0.0016801i,-0.0002135+0.0012195i,0.00063827+0.00049703i,-1.4497e-05+0.0005265i,-0.00027042+0.00076845i,-0.00015535+0.0010723i,-4.651e-05+0.00093951i,-0.00031227+0.00079119i,-0.00054498+0.00058389i,-0.0011162+0.00047901i,-0.00074241-0.00050827i,-0.000211-0.001023i,-0.00067376+3.4565e-05i,-0.00042048+0.00032406i,0.00035966-2.3409e-06i,0.00052551+0.00014819i,-0.00011355-0.00010527i,-0.00068069+4.807e-05i
0.0020594-0.0013528i,0.00090825-0.0026836i,0.00027929-0.0039958i,-0.00088086-0.0030029i,-0.0024633-0.00070259i,-0.0025639+0.001307i,-0.00095763+0.0010747i,-0.00029778-0.00045701i,-0.00054763-0.0011135i,-0.0013731-0.0014646i,-0.0013163-0.0013551i,-0.00081683-0.00078542i,-0.00076669+0.00032235i,-0.00015953+0.00077403i,0.0007566+0.00053804i,0.000684-0.0001172i,0.0003809-0.0002953i,4.5711e-05-5.1994e-05i,0.00020932-0.00054166i,0.000235-0.00010629i,-0.00033822+6.2621e-05i,-0.00035105-0.0002436i,-0.0004119+0.00021906i
